   akalpayitvāntas tasmād MVibhr_6c	akalpayitvA-antar tasmAt MViBH-_6c
   sānyarūpaṃ prakāśayet MVibhr_150d	sa-anya-rUpam prakASayet MViBH-_150d
   sāpekṣāyā api grāhya- MVibhr_42c	sa-apekzAyAH api grAhya MViBH-_42c
   sāmānādhikaraṇyena MVibhr_26c	sAmAnADikaraNyena MViBH-_26c
   sāmānādhikaraṇyenā- MVibhr_119c	sAmAna-aDikaraNyenA MViBH-_119c
   sāmānyadṛṣṭau cānyasya MVibhr_69c	sAmAnya-dRzwO ca-anyasya MViBH-_69c
   sāmānyamātrakhyātir vā MVibhr_51c	sAmAnya-mAtra-KyAtiH vA MViBH-_51c
   siddhapratyayasāmarthya- MVibhr_93c	sidDa-pratyaya-sAmarTya MViBH-_93c
   siddhe 'pi siddhasāmarthyam MVibhr_96a	sidDe api sidDa-sAmarTyam MViBH-_96a
   suṣuptāv iva bhūcchāyā MVibhr_48c	suzuptO iva BUt-CAyAH MViBH-_48c
   so 'siddho dūṣakaḥ katham MVibhr_95d	saH asidDaH dUzakaH kaTam MViBH-_95d
   smarāmīti ca pramoṣāt MVibhr_46c	smarAmi-iti ca pramozAt MViBH-_46c
   smarāmīti ca vijñānaṃ MVibhr_71a	smarAmi-iti ca vijQAnam MViBH-_71a
   smarāmīti pramoṣas sa- MVibhr_17c	smarAmi-iti pramozaH sa MViBH-_17c
   smarāmīti vivekān na MVibhr_70a	smarAmi-iti vivekAt na MViBH-_70a
   smṛtatvenāvivikte cet MVibhr_162a	smRta-tvena-avivikte ced MViBH-_162a
   smṛtigocaravibhramaḥ MVibhr_56b	smRti-gocara-viBramaH MViBH-_56b
   smṛtitvāśaṅkayā nātra MVibhr_44a	smRti-tva-ASaFkayA na-atra MViBH-_44a
   smṛtipramāṇaphalayor MVibhr_68a	smRti-pramANa-PalayoH MViBH-_68a
   smṛtibījasya bodhakaḥ MVibhr_145b	smRti-bIjasya boDakaH MViBH-_145b
   smṛtibījasya bodhakāḥ MVibhr_46b	smRti-bIjasya boDakAH MViBH-_46b
   smṛter anyad udāhṛtam MVibhr_71b	smRteH anyat udAhRtam MViBH-_71b
   smṛtau syād vā sadā bhramaḥ MVibhr_69d	smRtO syAt vA sadA BramaH MViBH-_69d
   syāt sarvaivaṃvidhā bādhā MVibhr_162c	syAt sarvA-evaMviDA bADAH MViBH-_162c
   syāt suṣupte 'pi vibhramaḥ MVibhr_9b	syAt suzupte api viBramaH MViBH-_9b
   syāt smṛtād avivekāc ca MVibhr_56a	syAt smRtAt avivekAt ca MViBH-_56a
   syād anyathā trapākaram MVibhr_82d	syAt anyaTA trapAkaram MViBH-_82d
   svakāle tasya vastutā MVibhr_138d	sva-kAle tasya vastu-tAH MViBH-_138d
   svataḥprāmāṇyavādinām MVibhr_83b	svatas-prAmANya-vAdinAm MViBH-_83b
   svapne 'py avartamānasya MVibhr_138a	svapne api avartamAnasya MViBH-_138a
   svapne hi niradhiṣṭhāno MVibhr_11c	svapne hi niraDizWAnaH MViBH-_11c
   svayaṃ kalpayati hy ayam MVibhr_146d	svayam kalpayati hi ayam MViBH-_146d
   svayaṃ tu vārttikakṛtā MVibhr_127c	svayam tu vArttika-kRtAH MViBH-_127c
   svātmahāniprasaṅgataḥ MVibhr_141b	svAtma-hAni-prasaFgataH MViBH-_141b
   svāntasyopaplavaḥ svapne MVibhr_145a	svAntasya-upaplavaH svapne MViBH-_145a
   svānte keśādivibhramaḥ MVibhr_72d	svAnte keSa-Adi-viBramaH MViBH-_72d
   hānirūpā ca vidyate MVibhr_24b	hAni-rUpA ca vidyate MViBH-_24b
   hīnā sā ced avedikā MVibhr_42d	hInA sA ced avedikA MViBH-_42d
   hetur indriyayoginaḥ MVibhr_17d	hetuH indriya-yoginaH MViBH-_17d
   hetūpaghāte khalu tat MVibhr_45a	hetu-upaGAte Kalu tat MViBH-_45a
   hetau phalaṃ na niyataṃ MVibhr_115c	hetO Palam na niyatam MViBH-_115c
   hetvabhāvāc ca nāsty asau MVibhr_108b	hetu-aBAvAt ca na-asti asO MViBH-_108b
   hetvabhāvāt tu yujyate MVibhr_117b	hetu-aBAvAt tu yujyate MViBH-_117b
   hetvabhāve phalābhāva- MVibhr_114c	hetu-aBAve Pala-aBAva MViBH-_114c
