   yuktidīpikā //	yukti dIpikA //
        tasmāttatsaṃyogādacetanaṃ cetanāvadiva liṅgam /	tasmAt tad saMyogAt acetanam cetanAvat iva liFgam /
        guṇakartṛtve ca tathā karteva bhavatyudāsīnaḥ // ISk_20 //	guNa kartR tve ca taTA kartA iva Bavati udAsInaH // ISc _20 //
        puruṣasamparkād hi grahaṇadhāraṇavijñānavacanohāpohakriyā	puruza samparkAt hi grahaNa DAraNa vijQAna vacanoha apoha kriyA
   yathānyāyābhiniveśānāṃ karaṇadharmāṇāṃ	yaTA anyAya aBiniveSAnAm karaNa DarmANAm
   pratyayarūpāṇāmivopalabdheścetanāśakteścādhyavasāyavṛttimanurudhyamānāyāstadbhāvasanniveśināṃ	pratyaya rUpANAm iva upalabDeH cetanA SakteH ca aDyavasAya vRttim anuruDyamAnAyAH tad BAva sanniveSinAm
   sattvādīnāṃ vyāpāravatāmabhisambandhād vyāpārāviṣṭāyā ivopalabdhiḥ /	sattva AdInAm vyApAravatAm aBisambanDAt vyApAra AvizwAyAH iva upalabDiH /
   yatastatrāyamanekakālapravṛttamithyāpratyayābhyāsavāsanāpekṣo	yatas tatra ayam aneka kAla pravRtta miTyA pratyaya aByAsa vAsana apekzaH 
   bhavabījaheturjñānaviśeṣaḥ prāṇabhṛtāmavabhāsate / śrotramupalabhyate	Bava bIja hetuH jQAna viSezaH prANaBRtAm avaBAsate / Srotram upalaByate
   tvakcakṣurjihvā ghrāṇamityādi / tathā puruṣaḥ karmaṇāṃ kartā, puruṣaḥ	tvac cakzuH jihvA GrANam ityAdi / taTA puruzaH karmaNAm kartA, puruzaH
   sukhaduḥkhayoriti / tasmātkaraṇasya grahaṇarūpatā puruṣasya ca	suKa duHKayoH iti / tasmAt karaNasya grahaNa rUpa tA puruzasya ca
   kartṛrūpatā, sambandhyantarasamparkādanyagatānyatropalabhyamānā	kartR rUpatA, sambanDi antara samparkAt anya gatA anyatra upalaByamAnA
   bhaktyādhyavasātavyā, na paramārthataḥ / uktaṃ ca	BaktyA aDyavasAtavyA, na paramArTataH / uktam ca
        cetanādhiṣṭhātā buddhiścetaneva vibhāvyate /     	cetanA aDizWAtA budDiH cetanA iva viBAvyate /
        kartṛṣvavasthitaścātmā bhoktā karteva lakṣyate //	kartRzu avasTitaH ca AtmA BoktA kartA iva lakzyate //
        āha, saṃyogātpararūpatāpattāvatiprasaṃgaḥ, aviśeṣāt / yadi	Aha, saMyogAt para rUpa tA pattO= ati prasaMgaH, aviSezAt / yadi
   cetanasaṃyogād buddhyādīnāṃ pratyayavadupacāraḥ vyāpitvādasya	cetana saMyogAt budDi AdInAm pratyaya vat upacAraH vyApi tvA Adasya
   ghaṭādibhirapi saṃyogo na pratiṣidhyata ityataḥ prāptasteṣāmapi	Gawa AdiBiH api saMyogaH na pratiziDyate iti atas prAptaH tezAm api
   pratyayavadupacāraḥ / atha saṃyogāviśeṣātkaraṇānāmeva pratyayavadupacāro	pratyaya vat upacAraH / aTa saMyoga aviSezAt karaNAnAm eva pratyaya vat upacAraH 
   na ghaṭādīnāṃ, viśeṣastarhi vaktavya iti /      	na Gawa AdInAn, viSezaH tarhi vaktavyaH iti /
        ucyate  tadaprasaṃgaḥ / śaktyapekṣatvāt sphaṭikādivat /	ucyate tad aprasaMgaH / Sakti apekza tvAt sPawika Adi vat /
   yathopadhānasaṃyogaviśeṣe satyākāśasphaṭikayoḥ sphāṭikamevopadhanasarūpaṃ	yaTA upaDAna saMyoga viSeze satya AkASa sPawikayoH sPAwikam eva upaDana sarUpam
   pratyavabhāsate śaktito nākāśam, evaṃ puruṣasaṃyogāviśeṣe buddhighaṭayoḥ	pratyavaBAsate SaktitaH na AkASam, evam puruza saMyoga aviSeze budDi GawayoH
   śaktito buddhireva cetanārūpāpannevopalabhyate, na ghaṭaḥ /	Saktitas budDiH eva cetanA rUpApan= eva upalaByate, na GawaH /
        āha, puruṣasya vikāryatvaprasaṃgaḥ, rūpāntaropādanāt / yadi tarhi	Aha, puruzasya vikArya tva prasaMgaH, rUpa antara upAdanAt / yadi tarhi
   karaṇasambandhātpuruṣaḥ kartṛtvopacāraṃ viṣayasarūpatāṃ ca pratipadyate,	karaNa sambanDAt puruzaH kartR tva upacAram vizaya sarUpa tAm ca pratipadyate,
   prāptamasyāpi sphaṭikavadrūpāntaropādānādvikāryatvam / atha nāsya	prAptam asya api sPawika vat rUpa antara upAdAnAt vikArya tvam / aTa na asya
   viṣayarūpāpattiḥ, na tarhi karaṇasvarūpaḥ puruṣa iti /	vizaya rUpa ApattiH, na tarhi karaNa svarUpaH puruzaH iti /
        ucyate  na, bhaktito 'bhyupagamāt /	ucyate na, BaktitaH aByupagamAt /
   buddhirupāttaviṣayendriyavṛttyupanipātāttādrūpyaṃ pratipadyate /	budDiH upAtta vizaya indriya vRtti upanipAtAt tAdrUpyam pratipadyate /
   buddhirūpaṃ tu sannidhānamātrācchaktiviśeṣayogātphalabhoktṛtvācca rājani	budDi rUpam tu sanniDAna mAtrAt Sakti viSeza yogAt Pala BoktR tvAt ca rAjani
   bhṛtyajayaparājayopacāravatpuruṣa upacaryate / na tvasau	BRtya jaya parAjaya upacAra vatpuruzaH upacaryate / na tu asO
   buddhisaṃparkāttadrūpo bhavati / ata evāsya satyāṃ cetanāśaktau	budDi saMparkAt tad rUpaH Bavati / atas eva asya satyAm cetanA SaktO
   vyavasāyakartṛtvaṃ pratiṣidhyate, mā bhūt viṣayarūpāpattau	vyavasAya kartR tvam pratiziDyate, mA BUt vizaya rUpa ApattO
   satyāmanekasvabhāvatvādikāryatvaprasaṃgaḥ /	satyAm aneka svaBAva tva Adi kArya tva prasaMgaH /
   tasmādviṣayasamparkādapyavikāryaḥ puruṣaḥ, na hyasya	tasmAt vizaya samparkAt api avikAryaH puruzaH, na hi asya
   nityatvātkiṃcidanugrahāya nāpaghātāya / āha ca	nitya tvAt kiMcid anugrahAya na apaGAtAya / Aha ca
        muṣṭiryathā vikīrṇaḥ sūcyagre sarṣapādīnām /	muzwiH yaTA vikIrNaH sUcI agre sarzapa AdInAm /
        tiṣṭhanti na sūkṣmabhāvāttadvad dvandvāni sarvajñe //	tizWanti na sUkzma BAvAt tadvat dvandvAni sarvajQe //
        iti / cetanāśaktiyogāttu draṣṭṛtvamasya svābhāvikam / evaṃ	iti / cetanA Sakti yogAt tu drazwR tvam asya svABAvikam / evam
   cedyayuktaṃ	cedya yuktam
        varṣātapābhyāṃ kiṃ vyomnaścarmaṇyasti tayoḥ phalam /	varza AtapAByAm kim vyomnaH carmaNi asti tayoH Palam /
        carmopamaścetso 'nityaḥ khatulyaścedasatsamaḥ //	carma upamaH ced saH anityaH Ka tulyaH ced asat samaH //
        iti tadayuktam / kiṃ kāraṇam ? yasmādavikāryarūpasyākāśasya	iti tat ayuktam / kim kAraNam ? yasmAt avikArya rUpasya AkASasya
   sannidhānamātrānmeghapayorajodhūmaprabhṛtibhirabhinnadeśatvādatyantaśuddhasyāpi	sanniDAna mAtrAt meGa payaH rajaH DUma praBRtiBiH aBinna deSa tvAt atyanta SudDasya api
   malinamiva rūpamupalakṣyate, na ca vikāryatvam, evamanātmano 'pi syāt /	malinam iva rUpam upalakzyate, na ca vikArya tvam, evam anAtmanaH api syAt /
   tadyuktametatpuruṣasaṃyogātkaraṇasya pratyayopacāraḥ, puruṣasya ca	tat yuktam etat puruza saMyogAt karaNasya pratyaya upacAraH, puruzasya ca
   guṇasaṃyogātkartṛtvopacāra iti /	guNa saMyogAt kartR tva upacAraH iti /
        āha, ayuktametat / kasmāt ? saṃyogānupapatteḥ / puruṣasya hi guṇānāṃ	Aha, ayuktam etat / kasmAt ? saMyoga anupapatteH / puruzasya hi guNAnAm
   ca saṃyogaḥ parikalpyamāno 'nyatarakarmajo vā parikalpyate yathā	ca saMyogaH parikalpyamAnaH anyatara karma jaH vA parikalpyate yaTA
   sthāṇuśyenayoḥ, ubhayakarmajo yathā meṣayoḥ, saṃyogajo vā	sTANu SyenayoH, uBaya karma jaH yaTA mezayoH, saMyoga jaH vA
   dvyaṅgulākāśayoḥ, svābhāviko vā yathāgnyuṣṇayoḥ, śaktinimitto vā yathā	dvi aFgula AkASayoH, svABAvikaH vA yaTA agni uzNayoH, Sakti nimittaH vA yaTA
   cakṣurūpayoḥ, yogyatālakṣaṇo vā yathā matsyodakayoriti ? tanna	cakzu rUpayoH, yogya tA lakzaNaH vA yaTA matsya udakayoH iti ? tat na
   tāvadanyatarakarmaja ubhyakarmajaśca saṃyoga eṣāmupapadyate / kasmāt ?	tAvat anyatara karma jaH uBya karma jaH ca saMyogaH ezAm upapadyate / kasmAt ?
   vibhutvāt / na svābhāvikaḥ anirmokṣaprasaṃgāt / yathāgneḥ	viBu tvAt / na svABAvikaH anirmokza prasaMgAt / yaTA agneH
   svābhāvikādauṣṇyānmokṣo na bhavati evamātmanaḥ	svABAvikAt OzNyAt mokzaH na Bavati evam AtmanaH
   svābhāvikatvādguṇasaṃyogādanirmokṣaprasaṃgaḥ syāt / śaktinimittaśca / kim	svABAvika tvAt guNa saMyogAt anirmokza prasaMgaH syAt / Sakti nimittaH ca / kim
   ? anirmokṣaprasaṃgādeva, sa na bhavatītyanuvartate / svasvāmiśaktinimitte	? anirmokza prasaMgAt eva, sa na Bavati iti anuvartate / sva svAmi Sakti nimitte
   hi saṃyoge parikalpyamāne śaktyoḥ satatāvasthānādanirmokṣa eva prasajyeta	hi saMyoge parikalpyamAne SaktyoH satata avasTAnAt anirmokzaH eva prasajyeta
   / yogyatālakṣaṇaḥ śaktimātrarūpatvādasaṃvedyo 'tastadasiddhiḥ / kiṃca	/ yogya tA lakzaNaH Sakti mAtra rUpa tvAt asaMvedyaH atas tat asidDiH / kiMca
   prayojanāntarānupapatteḥ / pravṛttyanuguṇaṃ hi yogyamityucyate / tasyā eva	prayojana antara anupapatteH / pravRtti anuguNam hi yogyam iti ucyate / tasyAH eva
   tu pravṛtte puruṣārthamapohya nimittāntaraṃ śakyaṃ kalpayitum /	tu pravRtte puruza arTam apohya nimitta antaram Sakyam kalpayitum /
   ākasmikatve ca niyamadvaitānupapattiḥ / tasmādayuktaṃ puruṣasya guṇānāṃ ca	Akasmika tve ca niyama dvEta anupapattiH / tasmAt ayuktam puruzasya guNAnAm ca
   yogyatālakṣaṇaḥ sambandhaḥ / na yādṛcchikaḥ / mokṣakāraṇaniyamānupapatteḥ	yogya tA lakzaNaH sambanDaH / na yAdRcCikaH / mokza kAraNa niyama anupapatteH
   / saṃyogakāraṇapratidvandvaṃ kaivalyakāraṇam / yadi ca yādṛcchiko	/ saMyoga kAraNa pratidvandvam kEvalya kAraNam / yadi ca yAdRcCikaH 
   guṇapuruṣasaṃyogaḥ syāttasyājñānānnivṛttirnāstīti	guNa puruza saMyogaH syAt tasya ajQAnAt nivRttiH na asti iti
   tadarthasyābhyutthānasyānarthakyaṃ prāptaṃ viśeṣānupapatteśca kāraṇāntaraṃ	tad arTasya aByutTAnasya AnarTakyam prAptam viSeza anupapatteH ca kAraNa antaram
   kalpayitum / ata etadapyayuktamiti / na vaiṣayikaḥ, anirmokṣaprasaṃgāt /	kalpayitum / atas etat api ayuktam iti / na vEzayikaH, anirmokza prasaMgAt /
   satatameva hi puruṣasya viṣayitvamavyāvṛttaṃ guṇānāṃ ca	satatam eva hi puruzasya vizayi tvam avyAvRttam guNAnAm ca
   viṣayatvamityanirmokṣaprasaṃga eva syāt / etāvāṃśca saṃyogaḥ	vizaya tvam iti anirmokza prasaMgaH eva syAt / etAvAn= ca saMyogaH
   parikalpyamānaḥ parikalpyeta / sarvathā ca nopapadyate /	parikalpyamAnaH parikalpyeta / sarvaTA ca na upapadyate /
   tasmāttatsaṃyogādityayuktamabhidhātumiti /	tasmAt tad saMyoga Aditya yuktam aBiDAtum iti /
        ucyate  saṃyogānityatvādiha caupakārikaparikalpanādadoṣaḥ /	ucyate saMyoga anitya tvAt iha ca OpakArika parikalpa nAda dozaH /
   ihānekavidhaḥ saṃyogaḥ / tadyathā prāptipūrvikā prāptiḥ / yathodāhṛtaṃ	iha anekaviDaH saMyogaH / tat yaTA prApti pUrvikA prAptiH / yaTA udAhRtam
   anyataraja ubhayakarmajaḥ saṃyoga ityādi / yatrāsau na saṃbhavati tatra	anyatara jaH uBaya karma jaH saMyogaH ityAdi / yatra asO na saMBavati tatra
   sannidhimātrasāmānyād bhaktyā kalpyate / tadyathākāśasya gavādibhiḥ /	sanniDi mAtra sAmAnyAt BaktyA kalpyate / tat yaTA AkASasya gavA AdiBiH /
   pradeśairiti cenna abhāvāt / te 'pi hi niravayavatvādākāśasya bhaktyā	pradeSEH iti ced na aBAvAt / te api hi niravayava tvAt AkASasya BaktyA
   kalpyante, mā bhūtkṛtakatvānityatvadoṣaprasaṃgaḥ /	kalpyante, mA BUt kRtaka tva anitya tva doza prasaMgaH /
   tasmātpradeśopacārātkāryamapyupacaritam / anyastu śāstrīyaḥ saṃyogo	tasmAt pradeSa upacArAt kAryam api upacaritam / anyaH tu SAstrIyaH saMyogaH 
   'rthanimittaḥ / tatrānekasaṃyogopapatteriha	arTa nimittaH / tatra aneka saMyoga upapatteH iha
   puruṣāntaḥkaraṇayorabhinnadeśatvātsannidhimātrasāmānyādbhāktaṃ saṃyogaṃ	puruza antaHkaraNayoH aBinna deSa tvAt sanniDi mAtra sAmAnyAt BAktam saMyogam
   parikalpyaivamucyata ityadoṣaḥ // 20 //	parikalpya evam ucyate iti adozaH // 20 //
             kārikā 21	kArikA 21
        āha, vijñātaṃ saṃyogadvayam / ayaṃ tvanyo 'rthanimittaḥ śāstrīyaḥ	Aha, vijQAtam saMyoga dvayam / ayam tu anyaH arTa nimittaH SAstrIyaH
   saṃyogo bhavatā paribhāṣyate / tatra vaktavyaṃ kimartho 'sāviti ?	saMyogaH BavatA pariBAzyate / tatra vaktavyam kimarTaH asO= iti ?
        ucyate	ucyate
        puruṣasya darśanārthaḥ	puruzasya darSana arTaH
        dṛṣṭirdarśanam / arthaśabdo nimittavacanaḥ / darśanamartho 'syāsau	dRzwiH darSanam / arTa SabdaH nimitta vacanaH / darSanam arTaH asya asO
   darśanārthaḥ / darśananimitto darśanahetuḥ darśanakāraṇa ityarthaḥ /	darSana arTaH / darSana nimittaH darSana hetuH darSana kAraNaH iti arTaH /
   etaduktaṃ bhavati  sannidhānāviśeṣe sati ātmana ākāśādeśca	etat uktam Bavati sanniDAna aviSeze sati AtmanaH AkASa AdeH ca
   yasmāddṛkchaktiyuktaḥ puruṣaḥ tasmātkāryakāraṇatāmāpannena pradhānena saha	yasmAt dRS Cakti yuktaH puruzaH tasmAt kArya kAraNa tAm Apannena praDAnena saha
   bhoktṛtvena saṃbadhyate, nācaitanyādākāśādaya iti / athavā arthaśabdaḥ	BoktR tvena saMbaDyate, na AcEtanyAt AkASa AdayaH iti / aTavA arTa SabdaH
   phalavacanaḥ / yathā tṛptyarthā bhujikriyā tṛptyau satyāṃ nivartate	Pala vacanaH / yaTA tRpti arTA Buji kriyA tRptyO satyAm nivartate
   prāptyarthā gamikriyā prāptau satyām, evaṃ puruṣasya pradhānena	prApti arTAH gami kriyA prAptO satyAm, evam puruzasya praDAnena
   darśanārthaḥ saṃyogaḥ darśane sati nivartate / tathā ca vakṣyati dṛṣṭā	darSana arTaH saMyogaH darSane sati nivartate / taTA ca vakzyati dRzwA
   mayetiyupekṣaka eko dṛṣṭāhamityuparataiketi (ISk 66) /	mayA itiyupekzakaH ekaH dRzwA aham iti uparata ekA iti (ISj 66) /
        āha, evamapi śabdādyupalabdhisamakālameva nivṛttiprasaṃgaḥ / kiṃ	Aha, evam api Sabda Adi upalabDi sama kAlam eva nivRtti prasaMgaH / kim
   kāraṇam ? tasyāmapyavasthāyāṃ śakyaṃ vaktuṃ dṛṣṭā prakṛtiriti /          	kAraNam ? tasyAm api avasTAyAm Sakyam vaktum dRzwA prakRtiH iti /
        ucyate yadyapyetadevaṃ tathāpi yathā puruṣasya darśanārthaḥ saṃyogaḥ	ucyate yadi api etat evam taTA api yaTA puruzasya darSana arTaH saMyogaH
        kaivalyārthastathā pradhānasya	kEvalya arTaH taTA praDAnasya
        kaivalyamiti vivekaparicchinnaṃ	kEvalyam iti viveka paricCinnam
   sattvādibhirasaṃsargadharmitvamātmanaḥ, so 'rtho 'sya so 'yaṃ	sattva AdiBiH asaMsarga Darmi tvam AtmanaH, saH arTaH asya saH ayam
   kaivalyārthaḥ / satyapi hi darśanāviśeṣe pradhānaṃ puruṣasya kaivalyārthaṃ	kEvalya arTaH / sati api hi darSana aviSeze praDAnam puruzasya kEvalya arTam
   pravartate / yadāsya buddhistamaso 'ṅgitvādye guṇāḥ kāryarūpāpannāḥ	pravartate / yadA asya budDiH tamasaH aFgi tvA Adye guNAH kArya rUpa ApannAH
   śiraḥpāṇyādaya ādhyātmikā, bāhyāśca gavādayaḥ,	SiraH pANi AdayaH ADyAtmikA, bAhyAH ca gavA AdayaH,
   kāraṇarūpāpannāścālocanakriyāsaṃkalpābhimānādhyavasāyalakṣaṇāḥ, so	kAraNa rUpa ApannAH ca Alocana kriyA saMkalpa aBimAna aDyavasAya lakzaNAH, saH 
   'hamityaviśiṣṭapratyayopasaṃhāraṃ karoti tadā pravartata eva / yadā tvanye	aham iti aviSizwa pratyaya upasaMhAram karoti tadA pravartate eva / yadA tu anye
   guṇāḥ prakṛtibhūtā vikārabhūtāḥ kāryabhūtāḥ kāraṇabhūtā acetanāḥ parārthā	guNAH prakRti BUtAH vikAra BUtAH kArya BUtAH kAraNa BUtAH acetanAH para arTA
   anyo 'haṃ na prakṛtirna vikṛtirna kāryaṃ na kāraṇaṃ nācetanaḥ svārtha iti	anyaH aham na prakRtiH na vikRtiH na kAryam na kAraNam na acetanaH sva arTaH iti
   bhinnapratyayopasaṃhāraṃ karoti tadā nivartate / so 'yaṃ puruṣasya	Binna pratyaya upasaMhAram karoti tadA nivartate / saH ayam puruzasya
   dṛkchaktinimittaḥ pradhānasya ca kaivalyāvadhiparicchinnaḥ puruṣārthaḥ /	dRS Cakti nimittaH praDAnasya ca kEvalya avaDi paricCinnaH puruza arTaH /
        satyapi pāribhāṣikatve	sati api pAriBAzika tve
        paṅgvandhavadubhayorapi saṃyogaḥ	paFgu anDavat uBayoH api saMyogaH
        etaduktaṃ bhavati / prāgapi kāryakāraṇasambandhātpuruṣe	etat uktam Bavati / prAk api kArya kAraNa sambanDAt puruze
   caitvanyamavasthitam / tadyathā agnerdahanaṃ paraśośchedanamasati dāhye	ca etu anyam avasTitam / tat yaTA agneH dahanam paraSoH Cedanam asati dAhye
   chedye na vyajyate / tatsannidhānasamakālameva tu vyajyate / ityataḥ	Cedye na vyajyate / tad sanniDAna sama kAlam eva tu vyajyate / iti atas 
   pradhānamapekṣate / tathā pradhānamapyantareṇa puruṣopakāraṃ	praDAnam apekzate / taTA praDAnam api antareNa puruza upakAram
   svakādasarmarthamaniṣpannakāryasamaṃ cetitamanarthakama syādityataḥ	svakAdasarmarTam anizpanna kArya samam cetitam anarTa kama syAt iti atas 
   puruṣamapekṣate / tatra ubhayoritaretarāpekṣā taṃ	puruzam apekzate / tatra uBayoH itaretara apekzA tam
   saṃyogamadhikārabandhamāhurācāryāḥ / paṅgvandhadṛṣṭāntastu	saMyogam aDikAra banDam AhuH AcAryAH / paFgu anDa dRzwAntaH tu
   nāntarīyakamātrapradarśanārtham / yathā paṅgurnāntareṇāndhaṃ dṛkchaktyā	na antarIyaka mAtra pradarSana arTam / yaTA paFgurna antareNa anDam dRS CaktyA
   viśiṣṭenārthenārthavānbhavati andhaśca nāntareṇa paṅguṃ viśiṣṭenārthena,	viSizwena arTena arTavAn Bavati anDaH ca na antareNa paFgum viSizwena arTena,
   evaṃ pradhānaṃ nāntareṇa puruṣaṃ kṛtamapi kāryaṃ draṣṭuṃ śaktamanavadhikaṃ	evam praDAnam na antareNa puruzam kRtam api kAryam drazwum Saktam anavaDikam
   ca pravartamānaṃ viśeṣābhāvānnaiva nivartate / tathā puruṣaḥ satyapi	ca pravartamAnam viSeza aBAvAt na eva nivartate / taTA puruzaH sati api
   cetanatve nāntareṇa pradhānamupalabhyābhāvādupalabdhā bhavediti	cetana tve na antareNa praDAnam upalaBya aBAvAt upalabDA Bavet iti
   pradhānamapekṣate / tasmāditaretarāpekṣayā saṃyogatve kalpyamāne yaduktaṃ	praDAnam apekzate / tasmAt itara itara apekzayA saMyoga tve kalpyamAne yat uktam
        vinā sargeṇa bandho hi puruṣasya na yujyate /	vinA sargeNa banDaH hi puruzasya na yujyate /
        sargastasyaiva mokṣārthamaho sāṃkhyasya sūktatā //	sargaH tasya eva mokza arTam aho sAMKyasya sUkta tA //
        iti tadayuktam / kasmāt ? na hyasau vinā sargeṇa na yujyata iti / āha	iti tat ayuktam / kasmAt ? na hi asO vinA sargeNa na yujyate iti / Aha
   ca	ca
        dṛśyadarśanabhāvena prakṛteḥ puruṣasya ca /	dRSya darSana BAvena prakRteH puruzasya ca /
        apekṣā śāstratattvajñairbandha ityabhidhīyate //	apekzA SAstra tattva jQEH banDaH iti aBiDIyate //
        evaṃ vināpi sargeṇa yasmādbaddhaḥ pumānguṇaiḥ /	evam vinA api sargeNa yasmAt badDaH pumAn guNEH /
        tasmādviphalatāṃ yātu manorathamanorathaḥ //	tasmAt viPala tAm yAtu manoraTa manoraTaH //
        iti siddhaḥ saṃyogaḥ /	iti sidDaH saMyogaH /
        tatkṛtaḥ sargaḥ // ISk_21 //	tad kRtaH sargaH // ISc _21 //
        pradhānapuruṣayorhi bhoktṛbhogyabhāvāpekṣanimitto 'yaṃ tattvasargo	praDAna puruzayoH hi BoktR Bogya BAva apekza nimittaH ayam tattva sargaH 
   mahadādiḥ, bhāvasargaśca dharmādiḥ, bhūtasargaśca brāhmādiḥ pravartate /	mahat AdiH, BAva sargaH ca Darma AdiH, BUta sargaH ca brAhma AdiH pravartate /
   sā cāpekṣā puruṣānantyānna nivartata ityato 'rthavatīnāṃ hi prakṛtīnāṃ	sA ca apekzA puruza AnantyAt na nivartate iti atas arTavatInAm hi prakRtInAm
   tadaparisamāpterna nivṛtirasti // 21 //	tad aparisamApteH na nivRtiH asti // 21 //
         // iti śrīyuktidīpikāyāṃ saptatipaddhatau pañcamamāhnikaṃ dvitīyaṃ	// iti SrI yuktidIpikAyAm saptati padhatO paQcamam Ahnikam dvitIyam
   ca prakaraṇam //	ca prakaraNam //
             kārikā 22	kArikA 22
        evaṃ kāraṇāntarapratiṣedhātprakṛteḥ puruṣārtho 'yaṃ vyaktabhāvena	evam kAraNa antara pratizeDAt prakRteH puruza arTaH ayam vyakta BAvena
   vipariṇāma iti sthitam / tatredānīṃ vipratipattirācāryāṇām / kecidāhuḥ	vipariNAmaH iti sTitam / tatra idAnIm vipratipattiH AcAryANAm / kecid AhuH
   pradhānādanirdeśyasvarūpaṃ tattvāntaramutpadyate / tato mahāniti /	praDAnAt anirdeSya svarUpam tattva antaram utpadyate / tatas mahAn iti /
   patañjalipañcādhikaraṇavārṣagaṇānāṃ tu pradhānānmahānutpadyata iti /	pataQjali paQca aDikaraNa vArza gaNAnAm tu praDAnAt mahAn utpadyate iti /
   tadanyeṣāṃ purāṇetihāsapraṇetḥṇāṃ mahato 'haṃkāro vidyata iti pakṣaḥ 	tad anyezAm purANa itihAsa praNetHNAm mahataH ahaMkAraH vidyate iti pakzaH 
   mahato 'smipratyayakartṛtvābhyupagamāt / ahaṃkārātpañca tanmātrāṇīti sarve	mahataH asmi pratyaya kartR tva aByupagamAt / ahaMkArAt paQca tanmAtrANi iti sarve
   / mahataḥ ṣaḍaviśeṣāḥ sṛjyante pañca tanmātrāṇyahaṃkāraśceti	/ mahataH zaz aviSezAH sRjyante paQca tanmAtrANi ahaMkAraH ca iti
   vindhyavāsimatam / tathā ahaṃkārādindriyāṇīti sarve / bhautikānīndriyāṇīti	vinDya vAsi matam / taTA ahaMkArAt indriyANi iti sarve / BOtikAni indriyANi iti
   pañcādhikaraṇamatam / ekarūpāṇi tanmātrāṇītyanye / ekottarāṇīti	paQca aDikaraNa matam / eka rUpANi tanmAtrANi iti anye / eka uttarANi iti
   vārṣagaṇyaḥ / indriyāṇi saṃskāraviśeṣayogātparigṛhītarūpāṇīti kecit /	vArzagaNyaH / indriyANi saMskAra viSeza yogAt parigRhIta rUpANi iti kecid /
   paricchinnaparimāṇānītyapare / vibhūnīti vindhyavāsimatam / adhikaraṇamapi	paricCinna parimANAni iti apare / viBUni iti vinDya vAsi matam / aDikaraNam api
   kecittrayodaśavidhamāhuḥ / ekādaśakamiti vindhyavāsī / tathānyeṣāṃ mahati	kecid trayodaSaviDam AhuH / ekAdaSakam iti vinDyavAsI / taTA anyezAm mahati
   sarvārthopalbdhiḥ, manasi vindhyavāsinaḥ /	sarva arTa upalbDiH, manasi vinDya vAsinaH /
   saṃkalpābhimānādhyavasāyanānātvamanyeṣām, ekatvaṃ vindhyavāsinaḥ / tathā	saMkalpa aBimAna aDyavasAya nAnAtvam anyezAm, ekatvam vinDya vAsinaH / taTA
   karaṇaṃ nirlikhitasvarūpaṃ śūnyagrāmanadīkalpam, prākṛtavaikṛtikāni tu	karaNam nirliKita svarUpam SUnya grAma nadI kalpam, prAkRta vEkRtikAni tu
   jñānāni prerakāṅgasaṃgṛhītāni pradhānādāgacchanti ceti pañcādhikaraṇaḥ, na	jQAnAni preraka aFga saMgRhItAni praDAnAt AgacCanti ca iti paQca aDikaraNaH, na
   tu tathetyanye / kāraṇānāṃ mahatī svabhāvātivṛttiḥ pradhānāt, svalpā ca	tu taTA iti anye / kAraNAnAm mahatI svaBAva ativRttiH praDAnAt, su alpA ca
   svata iti vārṣagaṇyaḥ / sarvā svata iti patañjaliḥ / sarvā parata iti	svatas iti vArzagaNyaH / sarvA svatas iti pataQjaliH / sarvA paratas iti
   pañcādhikaraṇaḥ / buddhiḥ kṣaṇiketi ca kālāntarāvasthāyinītyapare /	paQca aDikaraNaH / budDiH kzaNikA iti ca kAla antara avasTAyinI iti apare /
   evamanekaniścayeṣvācāryeṣu ye tāvatpradhānamahatorantarāle	evam aneka niScayezu AcAryezu ye tAvat praDAna mahatoH antarAle
   tattvāntaramicchanti tatpratikṣepāyācāryaḥ svamatamupanyasyati /	tattva antaram icCanti tad pratikzepAya AcAryaH sva matam upanyasyati /
        prakṛtermahān	prakRteH mahAn
        prakṛtermahānutpadyate / mahānbuddhirmatirbrahmāpūrtiḥ khyātirīśvaro	prakRteH mahAn utpadyate / mahAn budDiH matiH brahma ApUrtiH KyAtiH ISvaraH 
   vikhara iti paryāyāḥ / sa tu deśamahattvātkālamahattvācca mahān /	viKaraH iti paryAyAH / sa tu deSa mahat tvAt kAla mahat tvAt ca mahAn /
   sarvotpādyebhyo mahāparimāṇayuktatvānmahān /	sarva utpAdyeByaH mahA parimANa yukta tvAt mahAn /
        anyasya tu pakṣe naivāhaṃkāro vidyata iti pratiṣedhavivakṣayedamāha /	anyasya tu pakze na eva ahaMkAraH vidyate iti pratizeDa vivakzayA idam Aha /
        tato 'haṅkāraḥ	tatas ahaFkAraH
        tasmānmahato 'haṃkāra utpadyate /	tasmAt mahataH ahaMkAraH utpadyate /
        yaḥ punarāha, mahataḥ ṣaḍaviśeṣāḥ sṛjyante pañca	yaH punar Aha, mahataH zaz aviSezAH sRjyante paQca
   tanmātrāṇyahaṃkāraśceti tannirāsārthamāha	tanmAtrANi ahaMkAraH ca iti tad nirAsa arTam Aha
        tasmādgaṇaśca ṣoḍaśakaḥ /	tasmAt gaNaH ca zoxaSakaH /
        tasmādahaṃkārātṣoḍaśako gaṇa utpadyate, pañca tanmātrāṇi	tasmAt ahaMkArAt zoxaSakaH gaNaH utpadyate, paQca tanmAtrANi
