   1. daivapuruṣākārādhyāye 21 verses	1. dEva-puruza-AkAra-aDyAye 21 verseH-
   YY_8.1cd/.bhraṣṭapramāṇa[K.bhraṣṭā pramāṇena] prakaroti[K.karoti] bhaṅgaṃ	YY_8.1cd/.Brazwa-pramANa-[K.BrazwA pramANena] prakaroti[K.karoti] BaFgam
   digvakrasaṃsthā ca na[K.na ca] siddhidā syāt//	diS-vakra-saMsTA ca na[K.na ca] sidDi-dA syAt//
   YY_8.2ab/.prāgbhāgahīnā nagarasya neṣṭā purodhasāṃ[K.purodhaso]	YY_8.2ab/.-prAc-BAga-hInA nagarasya na-izwA puroDasAM[K.-puroDaso]
   dakṣiṇabhāgavakrā/	dakziNa-BAga-vakrA/
   YY_8.2cd/.narendrajāyāśubhadā parasyām udag baleśasya nṛpasya madhye//	YY_8.2cd/.-narendra-jAya-aSuBa-dA parasyAm udak baleSasya nRpasya maDye//
   YY_8.3ab/.sattvair alīḍhaṃ na pipīlamakṣikāmalāvilaṃ vā[K.tad]	YY_8.3ab/.-sattvEH alIXam na pipIlam-akzikA-mala-Avilam vA[K.tad]
   vijayapradaṃ haviḥ/	vijaya-pradam haviH/
   YY_8.3cd/.dravyāṇy anūnāni paṭuḥ purohito juhoti samyag vijayāya	YY_8.3cd/.-dravyANi anUnAni pawuH purohitaH juhoti samyak vijayAya
   bhūbhṛtām//	BUBRtAm//
   YY_8.4ab/.gandhamālyacarukumbhabhājanasrukkuśavyajanasarpiṣāṃ yadā/	YY_8.4ab/.ganDa-mAlya-caru-kumBa-BAjana-sruj-kuSa-vyajana-sarpizAm yadA/
   YY_8.4cd/.bhaṅgavismṛtinipātahīnatā pārthivasya na bhavet tadā	YY_8.4cd/.-BaFga-vismRti-nipAta-hIna-tA pArTivasya na Bavet tadA
   śubham[K.tadā bhavec chivam]//	SuBa-m[K.tadA Bavet Sivam]//
   YY_8.5ab/.śāntāyāṃ diśi yadi śaṅkhatūryaśabdāḥ saptīnāṃ	YY_8.5ab/.SAntAyAm diSi yadi SaFKa-tUrya-SabdAH saptInAm
   plutamibhabṛṅhitāni[K.rutagajabṛṃhitāni] vā syuḥ/	plutam-iBa-bRFhitA-ni[K.ruta-gaja-bRMhita-ani] vA syuH/
   YY_8.5cd/.puṃsāṃ vā pramuditaceṣṭitapralāpāḥ śrūyante yadi ca jayo 'sti	YY_8.5cd/.puMsAm vA pramudita-cezwita-pralApAH SrUyante yadi ca jayaH asti
   homakāle//	homa-kAle//
   YY_8.6ab/.apratirathaḥ samasto yātrāliṅgas tathā 'bhayaś ca[K.'bhayasya]	YY_8.6ab/.a-pratiraTaH samastaH yAtrA-liFgaH taTA aBayaH ca[K.-aBayasya]
   gaṇaḥ/	gaNaH/
   YY_8.6cd/.svastyayanaśarmavarmā 'parājitāḥ puṣpasaṃjñāś ['parājitā	YY_8.6cd/.svastyayana-Sarma-varmA aparAjitAH puzpa-saMjQAH [-aparAjitA
   ''yuṣyasaṃjñāś] ca//	aayuzya-saMjQA-AS] ca//
   YY_8.7ab/.indraś candraś citi[K.candreti] gaṇo yat[K.yaṃ] te candraś ca	YY_8.7ab/.indraH candraH citi[K.candreti] gaNaH yat[-K.yan] te candraH ca
   bhūtabhūteti/checked	BUta-BUta-iti/Cecked
   YY_8.7cd/.sūktaṃ mahāvyāhṛtayo mantrāśīrvaiṣṇavā[K.sūktamahāvyāhṛtayaḥ	YY_8.7cd/.su-uktam mahAvyAhRtayaH mantra-ASIrvEzNa-vA[K.sUkta-mahAvyAhRtayaH
   prājāpatyāś ca ye] mantrāḥ//	prAjApatyAH ca ye] mantrAH//
   YY_8.8ab/.prājāpatyāś coktā home[K.uktāḥ kāle (lacuna) rājño] nirgacchato	YY_8.8ab/.-prAjApatyAH ca-uktAH home[K.uktAH kAle (lacuna) rAjQo] nirgacCataH-
   'nu gamane ca/	anu gamane ca/
   YY_8.8cd/.agnipurohitasaṃsthāny ato[K.home 'gniprohitasaṃsthāni] nimittāni	YY_8.8cd/.agni-purohita-saMsTAni ato[K.home agni-prohita-saMsTAni] nimittAni
   vakṣyāmi[K.gṛhṇīyāt]//	vakzyAmi[K.gRhNIyAt]//
   YY_8.9ab/.kṛte 'pi yatne 'tikṛśaḥ [ū.'pi kṛZaḥ] kṛśānur	YY_8.9ab/.kRte api yatne ati-kRSaH [U.-api kRZaH] kRSAnuH-
   yātavyakāṣṭhāvimukho natārciḥ/	yAtavya-kAzWA-vimuKaH nata-arciH/
   YY_8.9cd/.vāmīkṛtāvartaśikho [ū.vāme kṛtāvartaśikho] 'tidhūmo	YY_8.9cd/.-vAmIkRta-Avarta-SiKaH [U.vAme kRta-Avarta-SiKo] ati-DUmaH-
   vicchinnasākampavilīnamūrtiḥ//	vicCinna-sAkampa-vilIna-mUrtiH//
   YY_8.10ab/.śimaśimāyati[K.śimiśimāyati,ū.simisimāyati] yasya [ū.cāsya]	YY_8.10ab/.-Sima-Sima-Ayati[K.Simi-SimA-Ayati-,U.simi-simAyati] yasya [U.ca-Asya]
   havir hutaṃ sura\-.dhanuḥ\-.sadṛśaḥ kapiśo [ū.kapilo] 'thavā/	haviH hutam sura\-.DanuH-\-.sadRSaH kapiSaH [U.kapilo] aTavA/
   YY_8.10cd/.rudhirapītakababhruharicchaviḥ paruṣamūrttir aniṣṭakaro	YY_8.10cd/.ruDira-pItaka-baBru-hari=-CaviH paruza-mUrttiH anizwa-karo
   'nalaḥ//	analaH//
   YY_8.11ab/.śvakharakarabha [ū.kharakarabhaka]vānarānurūpo	YY_8.11ab/.-SvaKara-karaBa [U.Kara-karaBaka-]vAnara-anurUpaH-
   nigaḍavibhīṣaṇaśastrarūpabhṛd vā/	nigaxa-viBIzaNa-Sastra-rUpa-BRt vA/
   YY_8.11cd/.śavarudhiravasāsthivasta[K.ū.majja]gandho hutabhug aniṣṭaphalaḥ	YY_8.11cd/.-Sava-ruDira-vasA-asTi-vaH-ta[K.U.-majja]ganDaH hutaBuj anizwaPalaH
   sphuliṅgakṛc ca//	sPuliFga-kRt ca//
   YY_8.12ab/.carmavipāṭanatulyaninādo	YY_8.12ab/.-carma-vipAwana-tulya-ninAdaH-
   jarjaramandavi[K.mandravi,ū.dardura]rūkṣaravo vā/	jarjara-manda-vi[K.-mandra-vi,U.-dardura]rUkza-ravaH vA/
   YY_8.12cd/.ākulayaṃś ca purohitasabhyān [ū.purohitamartyān]	YY_8.12cd/.A-kulayan ca purohita-saByAn [U.purohita-martyAn-]
   dhūmacayair[K.ū.dhūmalavair] aśivāya [ū.na śivāya] hutāśaḥ//	DUma-cayEH-[K.U.-DUma-lavEr] aSivAya [U.na SivAya] hutASaH//
   YY_8.13ab[K.14ab]/.svāhāvasānasamaye svayam ujjvalārciḥ	YY_8.13ab[K.14ab]/.-svAha-avasAna-samaye svayam ujjvala-arciH
   snigdhapradaksiṇaśikho[K.snigdhaḥ pradaksiṇaśikho] hutabhug nṛpasya/	snigDa-pradaksiNa-SiKo[K.-snigDaH pradaksiNa-SiKo] hutaBuj nRpasya/
   YY_8.13cd[K.14cd]/.gaṅgādivākarasutājalacāruhārāṃ dhātrīṃ samudrarasanāṃ	YY_8.13cd[K.14cd]/.gaFgA-Adi-vAkara-sutA-jala-cAru-hArAm DAtrIm samudra-rasanAm
   vaśagāṃ karoti//	vaSa-gAm karoti//
   YY_8.14ab/.hārakundakusumendu[K.ū.kumudendu]saṃnibhaḥ saṃhato 'ṅgasukhado	YY_8.14ab/.hAra-kunda-kusuma-indu[K.U.-kumuda-indu]-saMniBaH saMhataH aFga-suKa-daH-
   mahodayaḥ/	mahA-udayaH/
   YY_8.14cd/.aṅkuśābjajalavāraṇacchavir[K.ū.aṅkuśātapanivāraṇākṛtir] hūyate	YY_8.14cd/.aFkuSa-abja-jala-vAraNa=-Cavir[K.U.aFkuSa-Atapa-nivAraNa-AkRtir] hUyate
   'lpatapasāṃ na [ū.'lpa upamāna] havyabhuk//	alpa-tapasAm na [U.-alpaH upamAna] havyaBuj-//
   YY_8.15ab/.cāmīkarāśokakirīṭaratna[K.kuraṇṭakābja]vaidūryanīlotpalasaṃnibhe	YY_8.15ab/.cAmIkara-aSoka-kirIwa-ratna[K.-kuraNwaka-abja]-vEdUrya-nIla-utpala-saMniBe
   'gnau/	agnO/
   YY_8.15cd/.na dhvāntam antar bhavane 'vakāśaṃ karoti	YY_8.15cd/.na DvAntam antar Bavane avakASam karoti
   ratnāṃśuhṛtaṃ[K.hataṃ] nṛpasya//	ratna-aMSu-hRtaM[K.-hataM] nRpasya//
   YY_8.16ab/.yeṣāṃ rathaughārṇavameghadantināṃ samaḥ svano[K.samasvano]	YY_8.16ab/.yezAm raTa-oGa-arNava-meGa-dantinAm samaH sva-no[K.-sama-svano]
   'gnir yadi vā 'pi dundubheḥ/	agniH yadi vA api dunduBeH/
   YY_8.16cd/.teṣāṃ madāndhebhaghaṭāvaghaṭṭitā bhavanti yāne timirābilā	YY_8.16cd/.-tezAm mada-anDa-iBa-GawO=-aGawwitAH Bavanti yAne timirAbilA
   [timiropamā] diśaḥ//	[timira-upamA] diSaH//
   YY_8.17ab/.dhvajakumbhahayebhabhūbhṛtām anurūpe vaśam eti bhūbhṛtām/	YY_8.17ab/.-Dvaja-kumBa-hayeBaBUBRtAm anurUpe vaSam eti BUBRtAm/
   YY_8.17cd/.udayāstadharādharādharā himavadvindhyapayodharā dharā//	YY_8.17cd/.udaya-astaDara-aDara-aDarA himavat-vinDya-payoDarA DarA//
   YY_8.18ab/.dviradamadamahīsarojalājair ghṛtamadhunā[K.ghṛtamadhunoś] ca	YY_8.18ab/.dvirada-mada-mahI-saroja-lAjEH GRta-maDunA-a[K.-GRta-maDunA-uS] ca
   hutāśane sagandhe/	hutASane sa-ganDe/
   YY_8.18cd/.praṇatanṛpaśiromaṇiprabhābhir bhavati puraś churitā nṛpasya	YY_8.18cd/.-praNata-nRpa-SiraH-maNi-praBABiH Bavati puras CuritAH nRpasya
   dīptiḥ[K.puraś churiteva bhūr nṛpasya]//	dIptiH[K.puraH CuritA-iva BUH nRpasya]//
   YY_8.19ab/.agnyāśritaṃ yat phalam uktam asmiṃs nṛjātakarmādiṣu[K.taj	YY_8.19ab/.agni-ASritam yat Palam uktam asmin nR-jAta-karma-Adizu[-K.ta-j
   jātakarmādiṣu] pauṣṭikeṣu/	jAtakarma-Adizu] pOzwikezu/
   YY_8.19cd/.yajñeṣu sarveṣu ca vahnikāryeṣv evaṃ vaded yasya	YY_8.19cd/.-yajQezu sarvezu ca vahni-kAryezu evam vadet yasya
   yathānurūpam//E19	yaTA-anurUpam-//E19
   YY_9.1ab/.janmarkṣam ādyaṃ daśaman tu karmaṃ[K.daśamaṃ ca karma]	YY_9.1ab/.janma-Rkzam Adyam daSaman tu karma-M[K.da-Samam ca karma]
   sāṃghātikaṃ ṣoḍaśam ṛkṣam ādyāt/	sAMGAtikam zoxaSam Rkzam AdyAt-/
   YY_9.1cd/.aṣṭādaśaṃ syāt samudāyasaṃjñaṃ vaināśikaṃ viṃśatibhāt	YY_9.1cd/.-azwAdaSam syAt samudAya-saMjQam vEnASikam viMSati-BAt-
   tṛtīyam[K.viṃśatibhis tribhiś ca]//	tRtIya-m[K.viMSatiBiH triBiH ca]//
   YY_9.2ab/.yat pañcaviṃśaṃ khalu mānasaṃ tat ṣaḍṛkṣa evaṃ puruṣas tu	YY_9.2ab/.yat paQcaviMSam Kalu mAnasam tat zaz-RkzaH evam puruzaH tu
   sarvaḥ/	sarvaH/
   YY_9.2cd/.rājño navarkṣāṇi vadanti jātideśābhiṣekaiḥ sahitāni tāni//	YY_9.2cd/.-rAjQaH nava-RkzANi vadanti jAti-deSa-aBizekEH sahitAni tAni//
   YY_9.3ab/.rājño 'bhiṣekarkṣam uśanty amiśraṃ sādhāraṇe dve saha ṣaḍbhir	YY_9.3ab/.-rAjQaH aBizeka-Rkzam uSanti amiSram sADAraNe dve saha zaxBiH-
   ādyaiḥ/	AdyEH/
   YY_9.3cd/.kimtv atra doṣāś ca guṇāś ca sarve pradhānam ekaṃ puruṣaṃ	YY_9.3cd/.kimtu atra dozAH ca guNAH ca sarve praDAnam ekam puruzam
   bhajante//	Bajante//
   YY_9.4ab/.kūrmopadiṣṭāni hi deśabhāni rājño 'bhiṣekāhani ca ''bhiṣekam/	YY_9.4ab/.kUrma-upadizwAni hi deSa-BAni rAjQaH aBizeka-ahani ca aaBizekam/
   YY_9.4cd/.yā jātayaś bhasya[K.ca 'pi] bhavanty atas tā vargāṃś ca vakṣyāmi	YY_9.4cd/.yAH jAtayaH Basya-[K.ca api] Bavanti atas tAH vargAn ca vakzyAmi
   yathākrameṇa[K.vakṣyāmi daivajñanirākulārtham]//	yaTA-krameNa[K.vakzyAmi dEvajQa-nirAkula-arTam]//
   YY_9.5ab/.pūrvātrayaṃ sānalam agrajānāṃ rājñāṃ tu puṣyeṇa sahottarāṇi/	YY_9.5ab/.-pUrvA-trayam sa-analam agrajAnAm rAjQAm tu puzyeNa saha-uttarANi/
   YY_9.5cd/.sapauṣṇamaitraṃ pitṛdaivataṃ ca prajāpater bhaṃ ca kṛṣīvalānām//	YY_9.5cd/.-sapa-OzNa-mEtram pitR-dEvatam ca prajApateH Bam ca kRzIvalAnAm-//
   YY_9.6ab/.ādityahastābhijidāśvināni vaṇigjanānāṃ pravadanti bhāni/	YY_9.6ab/.a-Aditya-hasta-aBijit-ASvinAni vaNij-janAnAm pravadanti BAni/
   YY_9.6cd/.mūlatrinetrānilavāruṇāni bhāny ugrajāteḥ prabhaviṣṇutāyāḥ//	YY_9.6cd/.-mUla-trinetra-anila-vAruNAni BAni ugra-jAteH praBavizNu-tAyAH//
   YY_9.7ab/.saumyendra[K.aindra]citrāvasudaivatāni sevājanasvāmyam	YY_9.7ab/.-sOmya-indra-[K.A-Endra]-citra-avasu-dEvatAni sevA-jana-svAmyam
   upāgatāni/	upAgatAni/
   YY_9.7cd/.sārpaṃ viśākhāśravaṇe bharaṇyaś cāṇḍālajāter	YY_9.7cd/.-sArpam viSAKA-SravaNe BaraNyaH cANxAla-jAteH-
   abhinirdiśanti[K.iti nirdiśanti]//	aBinirdiSanti[-K.-iti nirdiSanti]//
   YY_9.8ab/.raviravisutabhogam āgataṃ kṣitisutabhedanavakradūṣitaṃ/	YY_9.8ab/.raviH-avi-suta-Bogam Agatam kziti-suta-Bedana-vakra-dUzitaM/
   YY_9.8cd/.grahaṇagatam atho 'lkayā hataṃ niyatamukhākara[K.niyatam	YY_9.8cd/.-grahaNa-gatam aTo alkayA hatam niyata-muKa-Akara-[K.-niyatam
   uṣākara]pīḍitaṃ ca yat//	uzA-kara]-pIxitam ca yat//
   YY_9.9ab/.tad upahatam iti pracakṣate prakṛtiviparyayajātam[K.yātam] eva	YY_9.9ab/.tat upahatam iti pracakzate prakRti-viparyaya-jAta-m[K.yAtam] eva
   vā/	vA/
   YY_9.9cd/.nigaditapara[K.pari]vargadūṣitaṃ[K.dūṣaṇaṃ] kathitaviparyayagaṃ	YY_9.9cd/.-nigadita-para[K.-pari]varga-dUzita-M[K.dUzaNaM] kaTita-viparyaya-gam
   samṛddhaye//	samRdDaye//
   YY_9.10a/.rogābhiyāgamavittanāśakalahā[K.rogābhiyāgamavittanāśakalahāḥ]	YY_9.10a/.roga-aBiyAgama-vitta-nASa-kalaha-a[-K.raH-ga-aBiyA-Agama-vitta-nASa-kalahAH]
   sampīḍite janmabhe	sampIxite janma-Be
   YY_9.10b/.siddhiṃ karma na yāti karmaṇi hate bhedās tu sāṃghātike/	YY_9.10b/.-sidDim karma na yAti karmaNi hate BedAH tu sAMGAtike/
   YY_9.10c/.dravyasyopacitasya sāmudayike saṃpīḍite saṃkṣayo	YY_9.10c/.-dravyasya-upacitasya sAmudayike saMpIxite saMkzayaH-
   YY_9.10d/.vaināśe tu bhavanti kāyavipadaś cittāsukhaṃ mānase//	YY_9.10d/.-vEnASe tu Bavanti kAya-vipadaH citta-asuKam mAnase//
   YY_9.11ab/.nirupadrutabho nirāmayaḥ sukhabhāg puṣṭatanur[K.naṣṭaripur]	YY_9.11ab/.-nirupadruta-Bo nirAmayaH suKa-BAj puzwa-tanuH-[K.nazwari-pur]
   dhanānvitaḥ/	Dana-anvitaH/
   YY_9.11cd/.ṣaḍupadrutabho vinaśyati tribhir anyaiś ca saha 'vanīśvaraḥ//	YY_9.11cd/.-zaz-upa-druta-Bo vinaSyati triBiH anyEH ca saha avanISvaraH//
   YY_9.12ab/.na bhavati śarīrapīḍā yasya vinā śāntibhir bhapīḍāyām/	YY_9.12ab/.na Bavati SarIra-pIxA yasya vinA SAntiBiH BapIxAyAm/
   YY_9.12cd/.tasya śarīravipattiḥ pākānte devalaḥ prāha//	YY_9.12cd/.tasya SarIra-vipattiH pAka-ante devalaH prAha//
   YY_9.13ab/.sarveṣāṃ pīḍāyāṃ dinam ekam upoṣito 'nalaṃ juhuyāt/% VḍhP	YY_9.13ab/.-sarvezAm pIxAyAm dinam ekam upozitaH analam juhuyAt/% VXP
   YY_9.13cd/.sāvitryā kṣīrataroḥ samidbhir amaradvijānuraktaḥ[K.rataḥ]//	YY_9.13cd/.-sAvitryA kzIra-taroH samidBiH amara-dvija-anuraktaH[K.rataH]//
   YY_9.14ab/.gokṣīrasitavṛṣabha[K.vṛṣa]śakṛnmūtraiḥ patraiś ca pūrṇakośāyāḥ/	YY_9.14ab/.-go-kzIra-sita-vRzaBa[K.-vRza]-SakRt-mUtrEH patrEH ca pUrNa-koSAyAH/
   YY_9.14cd/.snānaṃ janmani duṣṭe svācāravatāṃ harati pāpam//	YY_9.14cd/.-snAnam janmani duzwe su-AcAravatAm harati pApam//
   YY_9.15ab/.karmaṇi madhughṛtahomo daśāham akṣāramadyamāṃsādaḥ/	YY_9.15ab/.karmaNi maDu-GRta-homaH daSa-aham akzAra-madya-mAMsa-AdaH/
   YY_9.15cd/.dūrvāpriyaṃgusarṣapaśatapuṣpaśatāvarīsnānam//	YY_9.15cd/.-dUrvA-priyaMgu-sarzapa-Sata-puzpa-SatAvarI-snAnam//
   YY_9.16ab/.sāṃghātike 'bhitapte[K.tu tapte] māṃsamadhukrauryamanmathāṃs	YY_9.16ab/.sa-aMGAtike aBitapte[-K.tu tapte] mAMsa-maDukrOrya-manmaTAn=-
   tyaktvā/	tyaktvA/
   YY_9.16cd/.snāto[K.dānto] dūrvāṃ juhuyād dānaṃ dadyād yathāśakti//	YY_9.16cd/.-snAto[-K.-dAnto] dUrvAm juhuyAt dAnam dadyAt yaTASakti//
   YY_9.17ab/.sāmudayike 'pi[K.tu] dadyāt kāñcanarajatāny upahate[K.upadrute]	YY_9.17ab/.sAmudayike api-[K.tu] dadyAt kAQcana-rajatAni upahate[-K.upadrute]
   dhiṣṇye/	DizNye/
   YY_9.17cd/.vaināśike 'nnapānaṃ vasudhāṃ ca guṇāṇvite dadyāt//	YY_9.17cd/.-vEnASike anna-pAnam vasuDAm ca guNa-aNvite dadyAt//
   YY_9.18ab/.mānasatāpe homaḥ saroruhaiḥ pāyasair dvijāḥ pūjyāḥ/	YY_9.18ab/.mAnasa-tApe homaH saroruhEH pAyasEH dvijAH pUjyAH/
   YY_9.18cd/.gajamadaśirīṣacandanabalātibalavāriṇā snānam//E18% ḥere Kern's	YY_9.18cd/.-gaja-mada-SirIza-candana-bala-ati-bala-vAriNA snAnam//E18% Here KeH-n-as
   version ends.	version ends.
   YY_10.1ab/.ārirādhayiṣuṇā narādhipaṃ vāraṇāśritam idaṃ śubhāśubham/	YY_10.1ab/.Ari-rADayizuNA narADipam vAraNa-ASritam idam SuBa-aSuBam/
   YY_10.1cd/.jñeyam ādaravatā vipaścitā vāraṇeṣu nṛpater jayasthitiḥ//	YY_10.1cd/.-jQeyam AdaravatA vipaScitA vAraNezu nRpateH jaya-sTitiH//
   YY_10.2ab/.sārddhaṃ hastaśataṃ dairghyā sāvaṃśaṃ vipulā śatam/	YY_10.2ab/.-sArdDam hasta-Satam dErGyA sAvaMSam vipulA Satam/
   YY_10.2cd/.caturastrā 'thavā vṛttā vārī vāraṇavṛddhidā//	YY_10.2cd/.-catur-astrA aTavA vRttA vArI vAraNa-vRdDi-dA//
   YY_10.3ab/.daśāvagāhena karā vistīrṇā daśa copari/	YY_10.3ab/.da-SAva-gAhena karAH vistIrNAH daSa ca-upari/
   YY_10.3cd/.adhaḥkhātasya padavī hastamātrā prakīrtitā//	YY_10.3cd/.aDas-KAtasya padavI hasta-mAtrA prakIrtitA//
   YY_10.4ab/.karttavyaṃ pūrvato dvāram uttaraṃ vā śubhāvaham/	YY_10.4ab/.karttavyam pUrvatas dvAram uttaram vA SuBa-Avaham/
   YY_10.4cd/.dakṣiṇaṃ paścimaṃ vā 'pi na karttavyaṃ kathañ cana//	YY_10.4cd/.-dakziNam paScimam vA api na karttavyam kaTan cana//
   YY_10.5ab/.meḍhakastambhamāt tṛṇāṃ vṛkṣāgraṃ nāvanau kṣipet/	YY_10.5ab/.meXaka-stamBamAt tRNAm vRkza-agram nAvanO kzipet-/
   YY_10.5cd/.pūrvāprāc cottarāgrāc ca saṃyojyā nityam argalā//	YY_10.5cd/.-pUrvA-prAt ca-uttara-agrAt ca saMyojyA nityam argalA//
   YY_10.6ab/.daśa vistārato dvāraṃ pārśvayos tasya mātṛkāḥ/	YY_10.6ab/.daSa vistArataH dvAram pArSvayoH tasya mAtRkAH/
   YY_10.6cd/.caturdaśa karotsedhā niḥkhātya caturaḥ karān//	YY_10.6cd/.-caturdaSa kara-utseDAH niHKAtya caturaH karAn-//
   YY_10.7ab/.ṣaṭ ṣaṇmeḍhāntarasthāś ca meḍhakāḥ pañca pañca ca/	YY_10.7ab/.zax zaz-meXa-antara-sTAH ca meXakAH paQca paQca ca/
   YY_10.7cd/.caturhastanikhātās te samucchrāyān vadāmy ataḥ//	YY_10.7cd/.-catur-hasta-niKAtAH te samucCrAyAn vadAmi atas-//
   YY_10.8ab/.ṣaṭ saptāṣṭanavotsedhā daśa veti yathākramam/	YY_10.8ab/.zaz sapta-azwa-nava-utseDA daSa vA-iti yaTAkramam/
   YY_10.8cd/.nava vā daśa vā vedhā mātṛkā yāḥ ṣaḍaṅgulāḥ//	YY_10.8cd/.nava vA daSa vA veDAH mAtRkAH yAH zaz-aFgulAH//
   YY_10.9ab/.vedhahānyāvaśeṣāḥ syur mātṛkāḥ kramaśo 'parāḥ/	YY_10.9ab/.veDa-hAnya-avaSezAH syuH mAtRkAH kramaSas aparAH/
   YY_10.9cd/.iti dvārasamāso 'yaṃ vāryyās saṃparikīrttitaḥ//	YY_10.9cd/.-iti dvAra-samAsaH ayam vAryyAH saMparikIrttitaH//
   YY_10.10ab/.madhvābhadantāḥ suvibhaktadehā na copadigdhā na kṛśāḥ kṣamāś	YY_10.10ab/.-maDu-ABa-dantAH suviBakta-dehAH na ca-upadigDAH na kRSAH kzamAS
   ca/	ca/
   YY_10.10cd/.gātraiḥ samaiś cāpasamānavaṃśā vārāhatulyair jaghanaiś ca	YY_10.10cd/.-gAtrEH samEH cApa-samAna-vaMSAH vArAha-tulyEH jaGanEH ca
   bhadrāḥ//	BadrAH//
   YY_10.11ab/.vakṣo 'tha kakṣā valayaḥ ślathaś ca lambodaras tvagvṛhatī	YY_10.11ab/.vakzaH aTa kakzA valayaH SlaTaH ca lambodaraH tvac-vRhatI
   galaś ca/	galaH ca/
   YY_10.11cd/.sthūlā ca kukṣiḥ saha mecakena saiṃhī ca	YY_10.11cd/.sTUlA ca kukziH saha mecakena sEMhI ca
   dṛgmandamataṅgajasya//	dRS-manda-mataFga-jasya//
   YY_10.12ab/.mṛgās tu hrasvādharabālameḍhrās	YY_10.12ab/.-mRgAH tu hrasva-aDara-bAla-meXra-as
   tanvaghrikaṇṭhadvijahastakarṇāḥ/	tanu-aGri-kaNWa-dvija-hasta-karNAH/
   YY_10.12cd/.sthūlekṣaṇāś ceti yathoktacihnaiḥ saṅkīrṇanāgā	YY_10.12cd/.-sTUla-IkzaNAH ca-iti yaTA-ukta-cihnEH saFkIrNa-nAgA
   vyatimisracihnāḥ//	vyatimisra-cihnAH//
   hn	hn
   B	B
   YY_10.13ab/.pañconnatiḥ sapta mṛgasya dairghyam aṣṭau ca hastāḥ	YY_10.13ab/.paQca-unnatiH sapta mRgasya dErGyam azwO ca hastAH
   pariṇāhamānam/	pariNAhamAnam/
   YY_10.13cd/.ekadvivṛddhāv atha mandabhadrau saṃkīrṇanāgo 'niyatapramāṇaḥ//	YY_10.13cd/.eka-dvivRdDO aTa mandaBadrO saMkIrNa-nAgaH aniyata-pramANaH//
   YY_10.14ab/.bhadrasya varṇo harito madasya mandasya hāridrikasannikāśaḥ/	YY_10.14ab/.Badrasya varNaH haritaH madasya mandasya hAridrika-sannikASaH/
   YY_10.14cd/.kṛṣṇo madaś cābhihito mṛgasya saṃkīrṇanāgasya mado vimiśraḥ//	YY_10.14cd/.kRzNaH madaH ca-aBihitaH mRgasya saMkIrNa-nAgasya madaH vimiSraH//
   YY_10.15ab/.sthapatir ataḥ prayato gajaśālāṃ narapatimandiradaksiṇabhāge/	YY_10.15ab/.-sTa-patiH atas prayataH gaja-SAlAm narapati-mandira-daksiNa-BAge/
   YY_10.15cd/.avaniguṇān avalokya vidadhyāt kṛtabalihomasurācanaśāntiḥ//	YY_10.15cd/.avani-guNAn avalokya vidaDyAt kRta-bali-homa-surAcana-SAntiH//
   YY_10.16ab/.yātudhānaditisarpasaṅkulā sannikṛṣṭavibudhadvijālayā/	YY_10.16ab/.yAtuDAna-diti-sarpa-saFkulA sannikRzwa-vibuDa-dvija-AlayA/
   YY_10.16cd/.śarkarāsthicayabhasmadūṣitā pārthivadviradadoṣadā mahī//	YY_10.16cd/.-SarkarA-asTi-caya-Basma-dUzitA pArTiva-dvirada-doza-dA mahI//
   YY_10.17ab/.kiñcid abhyunnatā bhūḥ praśastadrumā gobhir adhyāsitā sādhu	YY_10.17ab/.kiQcit aByunnatA BUH praSasta-drumA goBiH aDyAsitA sADu
   madhye samā/	maDye samA/
   YY_10.17cd/.bhūritoyā 'ghanā hṛddṛgāhlādinī śalyadoṣair vinā	YY_10.17cd/.-BUri-toyA aGanA hRd-dRS-AhlAdinI Salya-dozEH vinA
   sānunādasvanā//	sa-anunAda-sva-nA//
   YY_10.18ab/.snigdhapallavadrumā pradakṣiṇāmbuvāhinī/	YY_10.18ab/.-snigDa-pallava-drumA pradakziNa-ambu-vAhinI/
   YY_10.18cd/.svarāṣṭravṛddhidā mahī hitā 'tha nāgavājinām//	YY_10.18cd/.-sva-rAzwra-vRdDi-dA mahI hitAH aTa nAga-vAjinAm//
   YY_10.19ab/.bhadramandamṛgamiśradantināṃ śvetaraktakanakopamāsitāḥ/	YY_10.19ab/.Badra-manda-mRga-miSradantinAm Sveta-rakta-kanaka-upama-asitAH/
   YY_10.19cd/.bhūmayo dviradapuṣṭivṛddhidā bhūbhṛtām api yaśaḥ sukhāvahāḥ//	YY_10.19cd/.-BUmayaH dvirada-puzwi-vRdDi-dA BUBRtAm api yaSaH suKa-AvahAH//
   YY_10.20ab/.jyeṣṭhā caturviṃśatir eva hastā dvidvyūnite	YY_10.20ab/.jyezWA caturviMSatiH eva hastAH dvi-dvi-Unite
   madhyajaghanyaśāle/	maDya-jaGanya-SAle/
   YY_10.20cd/.vistāratas taddviguṇāś ca dīrghāstambhāś ca	YY_10.20cd/.vistArataH tad-dviguNAH ca dIrGA-stamBAH ca
   vistārasamucchritāḥ syuḥ//	vistAra-samucCritAH syuH//
   YY_10.21ab/.jyeṣṭho 'ṅgulāni bahulo daśaṣaḍyutāni madhyas tu pañcadaśa	YY_10.21ab/.jyezWaH aFgulAni bahulaH daSa-zaz-yutAni maDyaH tu paQcadaSa
