   Abhinanda: Kādambarīkathāsāra	ABinanda: KAt-ambarI-kaTA-sAra
   tayoḥ kādambarī nāma kanyāsti navayauvanā /	tayoH kAdambarI nAma kanyA-asti nava-yOvanAH /
   lakṣmīm upahasantīva rūpalāvaṇyavibhramaiḥ // AKad_5.14 //	lakzmIm upahasantI-iva rUpa-lAvaNya-viBramEH // AKat-_5.14 //
   tayā saha mahat prema bālyāt prabhṛti me tathā /	tayA saha mahat prema bAlyAt praBRti me taTA /
   yathaikam eva jānāti jano jīvitam āvayoḥ // AKad_5.15 //	yaTA-ekam eva jAnAti janaH jIvitam AvayoH // AKat-_5.15 //
   viditvā dagdhavṛttāntam imaṃ sapadi māmakam /	viditvA dagDa-vRttAntam imam sapadi mAmakam /
   sāgrahīn niyamaṃ bālā vāryamāṇāpi bandhubhiḥ // AKad_5.16 //	sAgrahIt niyamam bAlA vAryamANA-api banDuBiH // AKat-_5.16 //
   mahāśvetāsya duḥkhasya yāvan na labhate 'vadhim /	mahASveta-asya duHKasya yAvat na laBate avaDim /
   tāvan mayā na kartavyaṃ pāṇigrahaṇam ātmanaḥ // AKad_5.17 //	tAvat mayA na kartavyam pANigrahaNam AtmanaH // AKat-_5.17 //
   ato yathā yathā tasyā yauvanaśrīr vijṛmbhate /	atas yaTA yaTA tasyAH yOvana-SrIH vijRmBate /
   tathā tathā tato dhatte khedaṃ citrarathaḥ param // AKad_5.18 //	taTA taTA tatas Datte Kedam citraraTaH param // AKat-_5.18 //
   saṃdiṣṭaṃ tena me putri yatasvāvahitā tathā /	saMdizwam tena me putri yatasva-avahitA taTA /
   yathemaṃ durgrahagranthiṃ vimuñcati tava svasā // AKad_5.19 //	yaTA-imam durgraha-granTim vimuQcati tava svasA // AKat-_5.19 //
   atas taralikā tatra mayā prakaraṇocitam /	atas taralikA tatra mayA prakaraNa-ucitam /
   prahitā bahu saṃdiśya śvaś cāganteha sā punaḥ // AKad_5.20 //	prahitAH bahu saMdiSya Svas ca-Aganta-iha sA punar // AKat-_5.20 //
   itītthaṃ kathayā nītvā mahāśvetāśrame dinam /	iti-itTam kaTayA nItvA mahA-Sveta-ASrame dinam /
   candrāpīḍaḥ prayāte 'stam arke saṃdhyāvidhiṃ vyadhāt // AKad_5.21 //	candrApIxaH prayAte astam arke saMDyA-viDim vyaDAt // AKat-_5.21 //
   tatrendrāyudham ānīya saṃyamya nicule kvacit /	tatra-indrAyuDam AnIya saMyamya nicule kvacid /
   mahāśvetodite deśe parṇaśayyām akalpayat // AKad_5.22 //	mahA-Sveta-udite deSe parNa-SayyAm akalpayat // AKat-_5.22 //
   tasyāṃ tasya niṣaṇṇasya śrāntasyāpi yathāśrutām /	tasyAm tasya nizaNNasya SrAntasya-api yaTASrutAm /
   kathām āścaryabahulāṃ tām eva dhyāyataś ciram // AKad_5.23 //	kaTAm AScarya-bahulAm tAm eva DyAyataH ciram // AKat-_5.23 //
   punaś cintayataḥ senāṃ vaiśampāyanam eva ca /	punar cintayataH senAm vESampAyanam eva ca /
   pattralekhāṃ ca sā rātrir gatā prāyeṇa jāgrataḥ // AKad_5.24 //	pattra-leKAm ca sA rAtriH gatA prAyeNa jAgrataH // AKat-_5.24 //
   indrāyudhas tu bāṣpārdrāṃ mahāśvetāmukhe dṛśam /	indrAyuDaH tu bAzpa-ArdrAm mahA-SvetA-muKe dRSam /
   sapratyabhijñam aśvo 'pi bhṛśaṃ mānuṣavad dadau // AKad_5.25 //	sa-pratyaBijQam aSvaH api BRSam mAnuza-vat dadO // AKat-_5.25 //
   prayātāyāṃ tu yāminyāṃ kṛtaprābhātikakriye /	prayAtAyAm tu yAminyAm kRta-prABAtika-kriye /
   samādher utthitāṃ buddhvā mahāśvetāṃ tadantikam // AKad_5.26 //	samADeH utTitAm budDvA mahA-SvetAm tad-antikam // AKat-_5.26 //
   candrāpīḍe praviṣṭe 'tha nātidūrodite ravau /	candra-ApIxe pravizwe aTa na-ati-dUra-udite ravO /
   sagandharvakumārāsau tatas taralikā yayau // AKad_5.27 //	sa-ganDarva-kumArA-asO tatas taralikA yayO // AKat-_5.27 //
   sā praviśya mahāśvetāṃ praṇipatyopaviśya ca /	sA praviSya mahA-SvetAm praNipatya-upaviSya ca /
   siddhārthāsīti tatpṛṣṭā valitagrīvam abravīt // AKad_5.28 //	sidDArTA-asi-iti tat-pRzwA valita-grIvam abravIt // AKat-_5.28 //
   tvatsaṃdeśaṃ niśamyoktaṃ yattayā bhartṛdārike /	tvad-saMdeSam niSamya-uktam yat-tayA BartR-dArike /
   tattvaṃ tacchāsanāyātakeyūrakamukhācchṛṇu // AKad_5.29 //	tattvam tat-SAsana-AyAtakeyUraka-muKAt-SRNu // AKat-_5.29 //
   atha keyūrakaḥ prāha nānabhijñāsi cetasaḥ /	aTa keyUrakaH prAha na-anaBijQA-asi cetasaH /
   svasya svameva cedaṃ te manmanaḥ kiṃ parīkṣase // AKad_5.30 //	svasya svam-eva ca-idam te mad-manaH kim parIkzase // AKat-_5.30 //
   athavā bhūmir asyāham upālambhasya bhūyasaḥ /	aTavA BUmiH asya-aham upAlamBasya BUyasaH /
   tapovananivāsinyāṃ tvayi svagṛhavartinī // AKad_5.31 //	tapaH-vana-nivAsinyAm tvayi sva-gRha-vartinI // AKat-_5.31 //
   ākarṇya tava saṃdeśavacas taralikāmukhāt /	AkarNya tava saMdeSa-vacaH taralikA-muKAt /
   eṣa te pratisaṃdeśaḥ priyasakhyā niveditaḥ // AKad_5.32 //	eza te pratisaMdeSaH priya-saKyAH niveditaH // AKat-_5.32 //
   iti śrutvā mahāśvetā kṣaṇaṃ niścalalocanā /	iti SrutvA mahA-SvetA kzaNam niScala-locanA /
   cintayitvā kim apy antaś candrāpīḍam abhāṣata // AKad_5.33 //	cintayitvA kim api antar candra-ApIxam aBAzata // AKat-_5.33 //
   rājaputra tavākāraḥ sadācāraś ca peśalaḥ /	rAja-putra tava-AkAraH sat-AcAraH ca peSalaH /
   tanoti sarvabhāvena niḥspṛhāṇām api spṛhām // AKad_5.34 //	tanoti sarva-BAvena niHspRhANAm api spRhAm // AKat-_5.34 //
   kādambarīvacaś cedaṃ śrutaṃ keyūrakāt tvayā /	kAdambarI-vacaH ca-idam Srutam keyUrakAt tvayA /
   tatra ko vā pratīkāraḥ svayaṃ madgamanād ṛte // AKad_5.35 //	tatra kaH vA pratIkAraH svayam mad-gamanAt Rte // AKat-_5.35 //
   ito na dūre gandharvarājadhānī tadadya tām /	itas na dUre ganDarva-rAjaDAnI tat-adya tAm /
   paśyāsmadanusedhena śvo gantāsi svavāhinīm // AKad_5.36 //	paSya-asmad-anuseDena Svas gantAsi sva-vAhinIm // AKat-_5.36 //
   udāttamadhurāmetāṃ darśayantyā tavākṛtim /	udAtta-maDurAm-etAm darSayantyA tava-AkRtim /
   bahu gandharvalokasya mayāpyupakṛtaṃ bhavet // AKad_5.37 //	bahu ganDarva-lokasya mayA-api-upakRtam Bavet // AKat-_5.37 //
   candrāpīḍas tu tāṃ prāha bahūktvā bhavagaty alam /	candrApIxaH tu tAm prAha bahu-uktvA Bava-gati alam /
   anatikramaṇīyaṃ me munīnām api śāsanam // AKad_5.38 //	anatikramaNIyam me munInAm api SAsanam // AKat-_5.38 //
   prāvartata tato gantuṃ sa mahāśvetayā saha /	prAvartata tatas gantum sa mahA-SvetayA saha /
   padbhyām eva niyujyāśvaṃ prati keyūrakaṃ dṛśā // AKad_5.39 //	padByAm eva niyujya-aSvam prati keyUrakam dRSA // AKat-_5.39 //
   keyūrako 'grato gatvā kādambaryai nyavedayat /	keyUrakaH agratas gatvA kAdambaryE nyavedayat /
   tasyāgamanam ākāraṃ guṇāṃś cāhitavismayān // AKad_5.40 //	tasya-Agamanam AkAram guNAn ca-Ahita-vismayAn // AKat-_5.40 //
   sa gatvā kiñcid adhvānaṃ candrāpīḍaḥ samāsadat /	sa gatvA kiQcid aDvAnam candrApIxaH samAsadat /
   gandharvarājanagarīm aparām amarāvatīm // AKad_5.41 //	ganDarva-rAja-nagarIm aparAm amarAvatIm // AKat-_5.41 //
   āsādya rājadhānīṃ ca tuṅgasphaṭikatoraṇām /	AsAdya rAjaDAnIm ca tuFga-sPawika-toraNAm /
   sapta kakṣā atikramya kanyāntaḥpuram abhyagāt // AKad_5.42 //	sapta kakzAH atikramya kanyA-antaHpuram aByagAt // AKat-_5.42 //
   keyūrakopadiṣṭena vartmanātha praviśya saḥ /	keyUra-kopadizwena vartmanATa praviSya saH /
   bhāsvanmaṇimayastambhaṃ śrīmaṇḍapam alokayat // AKad_5.43 //	BAsvat-maNi-maya-stamBam SrI-maNxapam alokayat // AKat-_5.43 //
   tanmadhye maṇiparyaṅkamadhyāsīnāṃ mahīyasā /	tad-maDye maNi-paryaFkam-aDyAsInAm mahIyasA /
   ratnābharaṇacitreṇa straiṇena parivāritām // AKad_5.44 //	ratna-ABaraNa-citreNa strENena parivAritAm // AKat-_5.44 //
   dehaprabhāvitānena ratnakāntyabhibhāvinā /	deha-praBA-vitA-anena ratna-kAnti-aBiBAvinA /
   prataptakanakoddyotadhautā vidadhatīṃ diśaḥ // AKad_5.45 //	pratapta-kanaka-uddyota-DOtAH vidaDatIm diSaH // AKat-_5.45 //
   taṭastham apy ārdrayataḥ sadācāram abhindataḥ /	tawa-sTam api ArdrayataH sat-AcAram aBindataH /
   sthitāṃ navasya lāvaṇyasindhor antas taraṅgiṇaḥ // AKad_5.46 //	sTitAm navasya lAvaNya-sinDoH antar taraFgiNaH // AKat-_5.46 //
   sarvopameyabhāvānām upamānatvam āgatām /	sarva-upameya-BAvAnAm upamAna-tvam AgatAm /
   kādambarīṃ dadarśāsau dūravisphāritekṣaṇaḥ // AKad_5.47 //	kAdambarIm dadarSa-asO dUra-visPArita-IkzaNaH // AKat-_5.47 //
   parātiśayakoṭistharūpalāvaṇyasampadam /	para-atiSaya-kowi-sTa-rUpa-lAvaNya-sampadam /
   tasyāṃ nirūpayann antar acintayad atha kṣaṇam // AKad_5.48 //	tasyAm nirUpayan antar acintayat aTa kzaNam // AKat-_5.48 //
   satyaṃ na kaścid āścaryanirmāṇeṣv avadhir vidheḥ /	satyam na kaScid AScarya-nirmANezu avaDiH viDeH /
   īdṛśāny api ratnāni sraṣṭuṃ prabhavati sma yaḥ // AKad_5.49 //	IdRSAni api ratnAni srazwum praBavati sma yaH // AKat-_5.49 //
   moghaṃ yāti hareḥ kālo lakṣmīṃ vakṣasi bibhrataḥ /	moGam yAti hareH kAlaH lakzmIm vakzasi biBrataH /
   dehārdhena vahan gaurīṃ vañcitaś candraśekharaḥ // AKad_5.50 //	deha-arDena vahan gOrIm vaQcitaH candraSeKaraH // AKat-_5.50 //
   kṛtam akṣṇāṃ sahasreṇa nirnimeṣeṇa vajriṇaḥ /	kRtam akzNAm sahasreNa nirnimezeNa vajriNaH /
   ananyakarmaṇā yena nityam eṣā na dṛśyate // AKad_5.51 //	ananya-karmaNA yena nityam ezA na dRSyate // AKat-_5.51 //
   ityādi cintayaty asminn atha citrarathātmajā /	ityAdi cintayati asmin aTa citraraTa-AtmajA /
   pratyudyayau mahāśvetām abhyutthāya sasambhramam // AKad_5.52 //	pratyudyayO mahA-SvetAm aByutTAya sa-samBramam // AKat-_5.52 //
   mahāśvetā tu niḥśaṅkam āliṅgya snehanirbharam /	mahASvetA tu niHSaFkam AliFgya sneha-nirBaram /
   tāṃ candrāpīḍanirdeśapuraḥsaram abhāṣata // AKad_5.53 //	tAm candra-ApIxa-nirdeSa-puraHsaram aBAzata // AKat-_5.53 //
   ayaṃ hi bhārate varṣe sārvabhaumasya bhūpateḥ /	ayam hi BArate varze sArvaBOmasya BUpateH /
   tārāpīḍasya tanayaś candrāpīḍa ihāgataḥ // AKad_5.54 //	tArApIxasya tanayaH candra-ApIxaH iha-AgataH // AKat-_5.54 //
   aneneha praviṣṭena dṛṣṭer viṣayavartinā /	anena-iha pravizwena dRzweH vizaya-vartinA /
   bhavatv akhilagandharvakuṭumbakamahotsavaḥ // AKad_5.55 //	Bavatu aKila-ganDarva-kuwumbaka-mahA-utsavaH // AKat-_5.55 //
   atha kādambarī tasmin pakṣmotkṣepavikāsinīm /	aTa kAdambarI tasmin pakzma-utkzepa-vikAsinIm /
   ākarṇaprasṛtāpāṅgāṃ ciraṃ dṛśam apātayat // AKad_5.56 //	AkarNa-prasRta-apAFgAm ciram dRSam apAtayat // AKat-_5.56 //
   dvāreṇa vivṛtenātha tenaiva nijamāyayā /	dvAreNa vivRtena-aTa tena-eva nija-mAyayA /
   madano 'ntaḥ praviśyāsyā babandha hṛdaye padam // AKad_5.57 //	madanaH antar praviSya-asyAH babanDa hRdaye padam // AKat-_5.57 //
   ratnapīṭhopaviṣṭe tu candrāpīḍe tadantike /	ratna-pIWa-upavizwe tu candra-ApIxe tad-antike /
   adhyāsātāṃ kathām ekāṃ haṃsacitrarathātmaje // AKad_5.58 //	aDyAsAtAm kaTAm ekAm haMsa-citra-raTa-Atmaje // AKat-_5.58 //
   lajjāstimitam āsīnām atha kādambarīṃ balāt /	lajjA-stimitam AsInAm aTa kAdambarIm balAt /
   mahāśvetā gṛhācāraṃ candrāpīḍe nyadhāpayat // AKad_5.59 //	mahASvetAH gRha-AcAram candra-ApIxe nyaDApayat // AKat-_5.59 //
   śarīranirviśeṣāsyāḥ kādambaryāḥ priyā sakhī /	SarIra-nirviSeza-asyAH kAdambaryAH priyA saKI /
   madalekhābhidhānāsya caraṇākṣālanaṃ vyadhāt // AKad_5.60 //	mada-leKA-aBiDAna-asya caraNa-AkzAlanam vyaDAt // AKat-_5.60 //
   kādambarī tu sasvedaprakampikarapallavā /	kAdambarI tu sa-sveda-prakampi-kara-pallavAH /
   tāmbūlacchadmanātmānaṃ svayam asmai nyavedayat // AKad_5.61 //	tAmbUla=-CadmanA-AtmAnam svayam asmE nyavedayat // AKat-_5.61 //
   tadaṅgulitalasparśamādhuryahṛtamānasā /	tad-aFguli-tala-sparSa-mADurya-hRta-mAnasA /
   nālakṣayata sā ratnavalayaṃ skhalitaṃ karāt // AKad_5.62 //	na-alakzayata sA ratna-valayam sKalitam karAt // AKat-_5.62 //
   candrāpīḍo 'pi tatpāṇisaṃsparśasukhasampadā /	candrApIxaH api tad-pANi-saMsparSa-suKa-sampadA /
   tadā tribhuvanādhīśam ivātmānam amanyata // AKad_5.63 //	tadA triBuvana-aDISam iva-AtmAnam amanyata // AKat-_5.63 //
   tatas tūṣṇīm upāsīne sarvasmin kanyakājane /	tatas tUzNIm upAsIne sarvasmin kanyakA-jane /
   śukaśārikayor āsit kalahaḥ kelikāraṇam // AKad_5.64 //	Suka-SArikayoH Asit kalahaH keli-kAraNam // AKat-_5.64 //
   tatprasaṅge ca sotprāsaṃ tayoḥ kalahavṛddhaye /	tad-prasaFge ca sa-utprAsam tayoH kalaha-vRdDaye /
   candrāpīḍo 'bravīd yena sarvā jahasuraṅganāḥ // AKad_5.65 //	candrApIxaH abravIt yena sarvAH jahasuH-aFganAH // AKat-_5.65 //
   tāś ca dantaprabhādhautadiṅmukhā madhurasvarāḥ /	tAH ca danta-praBA-DOta-diFmuKAH maDura-svarAH /
   candrāpīḍagiro jahrustarāṃ kādambarīmanaḥ // AKad_5.66 //	candrApIxa-giraH jahrustarAm kAdambarI-manaH // AKat-_5.66 //
   kṣaṇamātre vyatīte 'tha praviśya prāha kañcukī /	kzaNa-mAtre vyatIte aTa praviSya prAha kaQcukI /
   rājaputryau yuvāṃ draṣṭuṃ devī nirvighnam icchati // AKad_5.67 //	rAja-putryO yuvAm drazwum devI nirviGnam icCati // AKat-_5.67 //
   krīḍāparvatake kṛtvā sutāramaṇimandire /	krIxA-parvatake kRtvA su-tAra-maNi-mandire /
   candrāpīḍaṃ sukhāsīnam āyātaṃ mātur antikam // AKad_5.68 //	candra-ApIxam suKa-AsInam AyAtam mAtuH antikam // AKat-_5.68 //
   tatrādhyāsitaparyaṅkaṃ keyūrakapuraḥsarāḥ /	tatra-aDyAsita-paryaFkam keyUraka-puraHsarAH /
   mukhyāḥ kādambarīsakhyaś candrāpīḍaṃ siṣevire // AKad_5.69 //	muKyAH kAdambarI-saKyaH candra-ApIxam sizevire // AKat-_5.69 //
   snānānulepanāhārakriyāḥ sa tadupāhṛtaiḥ /	snAna-anulepana-AhAra-kriyAH sa tad-upAhRtEH /
   cakre 'martyapuraprāpyair vibhavair upapāditāḥ // AKad_5.70 //	cakre amartya-pura-prApyEH viBavEH upapAditAH // AKat-_5.70 //
   atha mandaprabhe bhānau bheje kādabarī nijam /	aTa manda-praBe BAnO Beje kAdabarI nijam /
   madalekhādvitīyaiva mahāprāsādamastakam // AKad_5.71 //	mada-leKA-dvitIyA-eva mahA-prAsAda-mastakam // AKat-_5.71 //
   candrāpīḍaṃ ca tatrasthā krīḍāparvatavartinam /	candrApIxam ca tatrasTA krIxA-parvata-vartinam /
   niravarṇayadākarṇaprasṛtāpāṅgayā dṛśā // AKad_5.72 //	niravarNa-yat-AkarNa-prasRta-apAFgayA dRSA // AKat-_5.72 //
   candrāpīḍe tadā tasyāḥ kaṭākṣās tīkṣṇakoṭayaḥ /	candra-ApIxe tadA tasyAH kawAkzAH tIkzNa-kowayaH /
   samaṃ nipetus tasyāṃ ca kusumāyudhasāyakāḥ // AKad_5.73 //	samam nipetuH tasyAm ca kusumAyuDa-sAyakAH // AKat-_5.73 //
   kaṭākṣair upanītaṃ ca kṣipraṃ kṛtasamāgamaiḥ /	kawAkzEH upanItam ca kzipram kRta-samAgamEH /
   tallāvaṇyaṃ pibantīva madalekhām uvāca sā // AKad_5.74 //	tat-lAvaNyam pibanti-iva mada-leKAm uvAca sA // AKat-_5.74 //
   na mayā madano nāma kathāsvapi sakhi śrutaḥ /	na mayA madanaH nAma kaTAsu-api saKi SrutaH /
   adya pratyakṣato dṛṣṭaḥ sa candrāpīḍavigrahaḥ // AKad_5.75 //	adya pratyakzatas dRzwaH sa candra-ApIxa-vigrahaH // AKat-_5.75 //
   na mahāśvetayā kiñcid uktaṃ prakṛtavastuni /	na mahA-SvetayA kiQcid uktam prakRta-vastuni /
   atha cehānayantyāmuṃ sarvam uktam anakṣaram // AKad_5.76 //	aTa ca-iha-AnayantyA-amum sarvam uktam anakzaram // AKat-_5.76 //
   api nāma vikāro me tadānīṃ lakṣitas tayā /	api nAma vikAraH me tadAnIm lakzitaH tayA /
   kiṃ vā na lakṣayed eṣā dṛṣṭamanmathavikriyā // AKad_5.77 //	kim vA na lakzayet ezA dRzwa-manmaTa-vikriyA // AKat-_5.77 //
   adyāpi nijasaṃkalpaviruddhāṃ vikriyām imām /	adya-api nija-saMkalpa-virudDAm vikriyAm imAm /
   manasaḥ saṃharāmy eva sthūlām api yathātathā // AKad_5.78 //	manasaH saMharAmi eva sTUlAm api yaTA-taTA // AKat-_5.78 //
   kiṃ tv asau śeṣahāro 'syāstulyaṃ maṇḍanam ākṛteḥ /	kim tu asO Seza-hAraH asyAH-tulyam maNxanam AkRteH /
   urasy anicchato 'py asya tūrṇam āmucyatāṃ tvayā // AKad_5.79 //	urasi anicCataH api asya tUrNam AmucyatAm tvayA // AKat-_5.79 //
   madalekhā gṛhītvā taṃ hāraṃ gatvā tadantike /	mada-leKA gRhItvA tam hAram gatvA tad-antike /
   tathovāca yathā tena pratyuktā sā na kiñcana // AKad_5.80 //	taTA-uvAca yaTA tena pratyuktA sA na kiQcana // AKat-_5.80 //
   āmucyata tataḥ kaṇṭhe hāro 'sya madalekhayā /	Amucyata tatas kaNWe hAraH asya mada-leKayA /
   śaradindukarodāraprabhāpūritadiṅmukhaḥ // AKad_5.81 //	Sarad-indu-kara-udAra-praBA-pUrita-diFmuKaH // AKat-_5.81 //
   candrāpīḍaś ca hāreṇa rarāja kṛtamaṇḍanaḥ /	candrApIxaH ca hAreNa rarAja kRta-maNxanaH /
   pūrṇendur iva nakṣatrakalāpaparivāritaḥ // AKad_5.82 //	pUrNa-induH iva nakzatra-kalApa-parivAritaH // AKat-_5.82 //
   kādambarī ciraṃ tv enam avalokya niśāgame /	kAdambarI ciram tu enam avalokya niSA-Agame /
   prāsādaśikharāt tasmān mandamandam avātarat // AKad_5.83 //	prAsAda-SiKarAt tasmAt manda-mandam avAtarat // AKat-_5.83 //
   utthāya candrāpīḍo 'tha kṛtasaṃdhyāvidhis tataḥ /	utTAya candrApIxaH aTa kRta-saMDyA-viDiH tatas /
   avālambata dehena śayyāṃ cintāṃ ca cetasā // AKad_5.84 //	avAlambata dehena SayyAm cintAm ca cetasA // AKat-_5.84 //
   kiṃ syur gandharvakanyāyā vilāsāḥ sahajā ime /	kim syuH ganDarva-kanyAyAH vilAsAH sahajAH ime /
   utemaṃ janam uddiśya bālāṃ nartayati smaraḥ // AKad_5.85 //	uta-imam janam uddiSya bAlAm nartayati smaraH // AKat-_5.85 //
   dṛṣṭirnipuṇadūtīva yathā tvasyā viceṣṭate /	dRzwiH-nipuNa-dUtI-iva yaTA tu-asyAH vicezwate /
   tathā sambhāvanā hīyaṃ mama cetasi vartate // AKad_5.86 //	taTA samBAvanA hi-iyam mama cetasi vartate // AKat-_5.86 //
   avaimi puṣpitas tāvat kiṃnarānusṛtikramaḥ /	avEmi puzpitaH tAvat kiMnara-anusRti-kramaH /
   sa kālapariṇāmena na jāne kiṃ phaliṣyati // AKad_5.87 //	sa kAla-pariNAmena na jAne kim Palizyati // AKat-_5.87 //
   athavā yauvanonmādakṛta eṣa mama bhramaḥ /	aTavA yOvana-unmAda-kRtaH eza mama BramaH /
   kva mānuṣyaḥ kva gandharva iti kiṃ tena saṃgatam // AKad_5.88 //	kva mAnuzyaH kva ganDarvaH iti kim tena saMgatam // AKat-_5.88 //
   ātmasambhāvanā ceyamāstāmasadṛśakramā /	Atma-samBAvanA ca-iyam-AstAm-asadRSa-kramAH /
   kālena vyajyate sarvaṃ kathaṃ ca mama sainikāḥ // AKad_5.89 //	kAlena vyajyate sarvam kaTam ca mama sEnikAH // AKat-_5.89 //
   iti cintayatas tasya nidrā sucirasambhṛtā /	iti cintayataH tasya nidrA su-cira-samBRtA /
   cakāra mukulākāre cakṣuṣī ā niśātyayāt // AKad_5.90 //	cakAra mukula-AkAre cakzuzI A niSA-atyayAt // AKat-_5.90 //
   aparedyur athotthāya kṛtaprābhātikakramaḥ /	aparedyus aTa-utTAya kRta-prABAtika-kramaH /
   kādambarīmahāśvete dṛṣṭvā labdhvā cirād iva // AKad_5.91 //	kAdambarI-mahA-Svete dRzwvA labDvA cirAt iva // AKat-_5.91 //
   tadanujñāṃ tadādiṣṭagandharvaparivāritaḥ /	tad-anujQAm tad-Adizwa-ganDarva-parivAritaH /
   sa indrāyudham āruhya pratasthe pṛtanāṃ prati // AKad_5.92 //	saH indrAyuDam Aruhya pratasTe pRtanAm prati // AKat-_5.92 //
   atha kenāpy upāyena labdhamārgam asau nijam /	aTa kena-api upAyena labDa-mArgam asO nijam /
   saṃniviṣṭaṃ sarastīre skandhāvāraṃ vyalokayat // AKad_5.93 //	saMnivizwam saraH-tIre skanDAvAram vyalokayat // AKat-_5.93 //
   tatra dṛṣṭvā nṛpān sarvān mantriputraṃ rahasy asau /	tatra dRzwvA nRpAn sarvAn mantri-putram rahasi asO /
   svavṛttāntavidaṃ cakre pattralekhāṃ viśeṣataḥ // AKad_5.94 //	sva-vRttAnta-vidam cakre pattra-leKAm viSezataH // AKat-_5.94 //
   niśi tasyām atītāyām anyedyur udite ravau /	niSi tasyAm atItAyAm anyedyus udite ravO /
   keyūrakastam āgatya hemakūṭād abhāṣata // AKad_5.95 //	keyUrakaH-tam Agatya hemakUwAt aBAzata // AKat-_5.95 //
   kādambarī na paṭvīti tvām abhīṣṇaṃ didṛkṣate /	kAdambarI na pawvI-iti tvAm aBIzNam didRkzate /
   vismṛtaṃ śayanīye ca śeṣahāram upāharat // AKad_5.96 //	vismRtam SayanIye ca Seza-hAram upAharat // AKat-_5.96 //
   keyūrakavacaḥ śrutvā sametaḥ pattralekhayā /	keyUra-kavacaH SrutvA sametaH pattra-leKayA /
   candrāpīḍaḥ punas tūrṇaṃ hemakūṭam athāgamat // AKad_5.97 //	candrApIxaH punar tUrNam hemakUwam aTa-agamat // AKat-_5.97 //
   abhivandya mahāśvetāṃ ślāghitāgamanas tayā /	aBivandya mahA-SvetAm SlAGita-AgamanaH tayA /
   kādambarīm athāpaśyat pattralekhāpuraḥsaraḥ // AKad_5.98 //	kAdambarIm aTa-apaSyat pattra-leKA-puraHsaraH // AKat-_5.98 //
   udyānanalinītīrakalpite himamandire /	udyAna-nalinI-tIra-kalpite hima-mandire /
   kadalīdalaśayyāntarniṣaṇṇāṃ mlānavigrahām // AKad_5.99 //	kadalI-dala-SayyA-antar-nizaNNAm mlAna-vigrahAm // AKat-_5.99 //
   tadālokanamātreṇa muhur āśvāsiteva sā /	tad-Alokana-mAtreNa muhur ASvAsitA-iva sA /
   tata utthātum icchantī śayānaivāsta tadgirā // AKad_5.100 //	tatas utTAtum icCantI SayAnA-eva-asta tad-girA // AKat-_5.100 //
   tataḥ kuśalasampraśnasukhamātrapavitritāḥ /	tatas kuSala-sampraSna-suKa-mAtra-pavitritAH /
   nānānarmavilāsārdrāḥ prāvartanta tayor giraḥ // AKad_5.101 //	nAnA-narma-vilAsa-ArdrAH prAvartanta tayoH giraH // AKat-_5.101 //
   tathā tatra ciraṃ sthitvā tāṃ tathā vaśavartinīm /	taTA tatra ciram sTitvA tAm taTA vaSa-vartinIm /
   bhaṅgībhaṇitibhir vyaktam āvedya nijam āśayam // AKad_5.102 //	BaFgI-BaNitiBiH vyaktam Avedya nijam ASayam // AKat-_5.102 //
   tadabhyarthanayādiśya pattralekhāṃ tadantike /	tad-aByarTa-naya-AdiSya pattra-leKAm tad-antike /
   keyūrakadvitīyo 'sau jagāma kaṭakaṃ punaḥ // AKad_5.103 //	keyUraka-dvitIyaH asO jagAma kawakam punar // AKat-_5.103 //
   tatrojjayinyāḥ samprāptaṃ pūrvedyur lekhahārakam /	tatra-ujjayinyAH samprAptam pUrvedyus leKahArakam /
   avalokya tadānīṃ taṃ lekhaṃ svayam avācayat // AKad_5.104 //	avalokya tadAnIm tam leKam svayam avAcayat // AKat-_5.104 //
   pitur ājñāṃ tato jñātvā śīghrāgamanaśaṃsinīm /	pituH AjQAm tatas jQAtvA SIGra-Agamana-SaMsinIm /
   keyūrakakare nyasya taṃ lekhaṃ kūṇitekṣaṇaḥ // AKad_5.105 //	keyUraka-kare nyasya tam leKam kUNita-IkzaNaH // AKat-_5.105 //
   tadartham atha saṃmantrya saha mantrisutena saḥ /	tad-arTam aTa saMmantrya saha mantri-sutena saH /
   evam etad iti dhyāyan prasthānasthairyam agrahīt // AKad_5.106 //	evam etat iti DyAyan prasTAna-sTEryam agrahIt // AKat-_5.106 //
   satyaṃ vacmi bhavatprasādarasikaṃ ceto mamaitatpadaṃ gantuṃ necchati kiṃ	satyam vacmi Bavat-prasAda-rasikam cetaH mama-etat-padam gantum na-icCati kim
   tu śāsanam idaṃ nollaṅghanīyaṃ guroḥ /	tu SAsanam idam na-ullaFGanIyam guroH /
   manyuḥ samprati sahyatāṃ punar ihāgantāsmi kādambarīṃ saṃdiśyeti	manyuH samprati sahyatAm punar iha-AgantAsmi kAdambarIm saMdiSya-iti
   sabāṣpagadgadam asau keyūrakaṃ prāhiṇot // AKad_5.107 //	sa-bAzpa-gadgadam asO keyUrakam prAhiNot // AKat-_5.107 //
   vaiśampāyanam abhyabhāṣata bhavān saṃvāhayan vāhinīṃ paścād eṣyati yāmi	vESampAyanam aByaBAzata BavAn saMvAhayan vAhinIm paScAt ezyati yAmi
   satvaram ahaṃ svalpair ito vājibhiḥ /	sa-tvaram aham su-alpEH itas vAjiBiH /
