   oṃ tatsadbrahmaṇai namaḥ	om tad-sat-brahmaNE namaH
   dṛṣṭāmusāriṇī caiṣāṃ kalpanā |	dRzwA-musAriNI ca-ezAm kalpanA |
   dakṣiṇayā parikrītānāmṛtvijāṃ lobhadarśanāt |	dakziNayA parikrItAnAm-RtvijAm loBa-darSanAt |
   tathā satyasyāḥ smṛteranyathāpyupapattāvaṣṭakādiśrutivanna mūlaśrutiḥ	taTA satyasyAH smRteH-anyaTA-api-upapattO=-azwaka-Adi-Sruti-vat-na mUla-SrutiH
   kalpayituṃ śakyate |	kalpayitum Sakyate |
   ato bādhābhāve 'pi mūlabhedābhāvānneyaṃ smṛtiḥ pramāṇam || MJaiNyC_1,2.8-9	atas bADa-aBAve api mUla-Beda-aBAvAt-na-iyam smRtiH pramANam || MJENyC_1,2.8-9
   (caturthe padārthaprabalyādhikaraṇe sūtrāṇi 5 - 7)	(caturTe padArTa-prabalya-aDikaraNe sUtrANi 5  7)
   śiṣṭākope 'viruddham iti cet / Jaim_1,3.5 /	SizwA-kope avirudDam iti ced / JEm_1,3.5 /
   na śāstraparimāṇatvāt / Jaim_1,3.6 /	na SAstra-parimANa-tvAt / JEm_1,3.6 /
   api vā kāraṇagrahaṇe prayuktāni pratīyeran / Jaim_1,3.7 /	api vA kAraNa-grahaNe prayuktAni pratIyeran / JEm_1,3.7 /
   START MJaiNy 1,3.10-11	START MJENi 1,3.10-11
   caturthādhikaraṇaṃ bhāṣyamatenā'racayati -	caturTa-aDikaraNam BAzya-matenA-aracayati -
   ācāntenetyamā mā vā smṛtireṣā na mā bhavet /	AcAntena-iti-amA mA vA smRtiH-ezA na mA Bavet /
   vedaṃ kṛtveti yaḥ śrautaḥ kramastena virodhataḥ // MJaiNy_1,3.10 //	vedam kRtvA-iti yaH SrOtaH kramaH-tena viroDataH // MJENi-_1,3.10 //
   ācāntyādiḥ padārtho 'tra kramo dharmaḥ padārthagaḥ /	AcAnti-AdiH padArTaH atra kramaH DarmaH padArTa-gaH /
   dharmasya dharmyapekṣatvādabādhādasti mānatā // MJaiNy_1,3.11 //	Darmasya DarmI-apekza-tvAt-abADAt-asti mAnatA // MJENI-_1,3.11 //
   'kṣuta ācāmet ' iti vihitaṃ puruṣārthamācamanam |	akzutaH AcAmet a iti vihitam puruza-arTam-Acamanam |
   yadā tu kratumadhye kṣutādi nimittaṃ prapnoti tadā naimittikamācamanaṃ	yadA tu kratu-maDye kzuta-Adi nimittam prapnoti tadA nEmittikam-Acamanam
   kratvaṅgatvena smṛtyā vidhīyate |	kratu-aFga-tvena smRtyA viDIyate |
   ' ācāntena kartavyam ' iti |	a AcAntena kartavyam a iti |
   seyaṃ smṛtirna pramāṇam |	sA-iyam smRtiH-na pramANam |
   kutaḥ |	kutas |
   virūddhatvāt |	virUdDa-tvAt |
   'vedaṃ kṛtvā vediṃ karoti ' iti śrutau pūrvakālavācinā tvāpratyayena	avedam kRtvA vedim karoti a iti SrutO pUrva-kAla-vAcinA tvA-apratyayena
   kramaḥ pratīyate |	kramaH pratIyate |
   vedo nāma darbhamayaṃ saṃmārjanasādhanam |	vedaH nAma darBa-mayam saMmArjana-sADanam |
   vedirāhavanīyagārhapatyamadhyavartinī caturaṅgulakhātā bhūmiḥ |	vediH-AhavanIya-gArhapatya-maDya-vartinI catur-aFgula-KAtA BUmiH |
   tayormadhye yadi kṣutādinimittamācamanaṃ kuryāt , tadā śrutyuktaṃ	tayoH-maDye yadi kzuta-Adi-nimittam-Acamanam kuryAt , tadA Sruti-uktam
   nairantaryaṃ virūdhyeta |	nErantaryam virUDyeta |
   tasmādveṣṭanasmṛtivadācamanasmṛtirna pramāṇamiti prapte -	tasmAt-vezwana-smRti-vat-AcamanasmRtiH-na pramANam-iti prapte -
   brūmaḥ- vedavedyādiśrutyuktapadārthavadācamanādayaḥ smṛtyuktā	brUmaH veda-vedya-Adi-Sruti-ukta-padArTa-vat-Acam-ana-AdayaH smRti-uktA
   anuṣṭheyapadārthāḥ |	anuzWeya-padArTAH |
   kramastu padārthaniṣṭho dharmaḥ |	kramaH-tu padArTa-nizWaH DarmaH |
   sa ca padārthānupajīvati |	sa ca padArTAn-upajIvati |
   tata upajīvyavirodhātkrama eva bādhyate |	tatas upajIvya-viroDAt-kramaH eva bADyate |
   natu krameṇā'camanasya bādho 'sti |	na-tu krameNa-Aacamanasya bADaH asti |
   tasmādiyaṃ smṛtiḥ pramāṇam |	tasmAt-iyam smRtiH pramANam |
   asminneva vārtikakāraḥ prakārāntareṇa vicāradvayaṃ cakāra ||	asmin=-eva vArtikakAraH prakAra-antareNa vicAra-dvayam cakAra ||
   MJaiNyC_1,2.10-11 ||	MJENyC_1,2.10-11 ||
   START MJaiNy 1,3.12	START MJENi 1,3.12
   tatra prathamaṃ vicāraṃ darśayati -	tatra praTamam vicAram darSayati -
   śākyoktāhiṃsanaṃ dharmo na vā dharmaḥ śrutatvataḥ /	SAkya-uktA-hiMsanam DarmaH na vA DarmaH SrutatvataH /
   na dharmo nahi pūtaṃ syādgokṣīraṃ śrvadṛtau dhṛtam // MJaiNy_1,3.12 //	na DarmaH na-hi pUtam syAt-go-kzIram SrvadRtO DRtam // MJENi-_1,3.12 //
   'brahmacaryamahiṃsāṃ cāparigrahaṃ ca satyaṃ ca yatnena rakṣet ' iti	abrahmacaryam-ahiMsAm ca-aparigraham ca satyam ca yatnena rakzet a iti
   śrutāvahiṃsādirdharmatvenoktaḥ |	SrutO=-ahiMsAdiH-Darma-tvena-uktaH |
   sa eva dharmaḥ śākyenāpyuktaḥ |	saH eva DarmaH SAkyena-api-uktaH |
   tasmācchākyasmṛtirdharme pramāṇamiti cet |	tasmAt-SAkya-smRtiH-Darme pramANam-iti ced |
   na |	na |
   svarūpeṇa dharmasyāpi gokṣīranyāyena śākyasaṃbandhe	svarUpeNa Darmasya-api go-kzIra-nyAyena SAkya-saMbanDe
   satyadharmatvaprasaṅgāt |	satya-Darma-tva-prasaFgAt |
   tadīyagranthenāhiṃsādirnāvagantavyaḥ |	tadIya-granTena-ahiMsA-AdiH-na-avagantavyaH |
   tasmānna sā smutirdharme pramāṇam || MJaiNyC_1,2.12 ||	tasmAt-na sA smutiH-Darme pramANam || MJENyC_1,2.12 ||
   START MJaiNy 1,3.13	START MJENi 1,3.13
   vicārāntaraṃ darśayati -	vicAra-antaram darSayati -
   sadācāro 'pramā mā vā nirmūlatvādamānatā /	sat-AcAraH apramA mA vA nirmUla-tvAt-amAna-tA /
   aṣṭakāderivaitasya samūlatvātpramāṇatā // MJaiNy_1,3.13 //	azwaka-AdeH-iva-etasya sa-mUla-tvAt-pramANa-tA // MJENi-_1,3.13 //
   holākotsavādisadācārasya mūlabhūtavedābhāvādaprāmāṇyamiti cet |	holAka-utsava-Adi-sat-AcArasya mUla-BUta-veda-aBAvAt-aprAmANyam-iti ced |
   na |	na |
   vaidikaiḥ śiṣṭaiḥ parigṛhītatvenāṣṭakādivadvedamūlatvāt |	vEdikEH SizwEH parigRhIta-tvena-azwaka-Adi-vat-veda-mUla-tvAt |
   ata eva manvādibhirgranthagauravabhayādviśeṣākāreṇānupadiṣṭo 'pi sadācāraḥ	atas eva manu-AdiBiH-granTa-gOrava-BayAt-viSeza-AkAreNa-anupadizwaH api sat-AcAraH
   sāmānyākāreṇopadiṣṭaḥ |	sAmAnya-AkAreNa-upadizwaH |
   "śrutiḥ smṛtiḥ sadācāraḥ"ityevaṃ dharme pramāṇopanyāsāt |	"SrutiH smRtiH sat-AcAraH"iti-evam Darme pramANa-upanyAsAt |
   tasmācchiṣṭacāra pramāṇam || MJaiNyC_1,2.13 ||	tasmAt-Sizwa-cAra pramANam || MJENyC_1,2.13 ||
   (pañcameśāstraprasiddhārthaprāmāṇyādhikaraṇe[āryamlecchādhikaraṇeṭasūtre 8	(paQcama-ISa-astra-prasidDa-arTa-prAmANya-aDikaraNe[ArI-amlecCa-aDikaraNewa-sUtre 8
   teṣv adarśanād virodhasya samā vipratipattiḥ syāt / Jaim_1,3.8 /	tezu adarSanAt viroDasya samA vipratipattiH syAt / JEm_1,3.8 /
   śāstrasthā vā tannimittatvāt / Jaim_1,3.9 /	SAstra-sTA vA tad-nimitta-tvAt / JEm_1,3.9 /
   START MJaiNy 1,3.14-15	START MJENi 1,3.14-15
   pañcamādhikaraṇamāracayati -	paQcama-aDikaraNam-Aracayati -
   yaṃvāndiśabdāḥ kiṃ dvyarthā no vār''yamlecchasāmyataḥ /	yaMvAn-di-SabdAH kim dvi-arTAH naH vAr-aayamlecCa-sAmyataH /
   dīrghaśūkapriyaṅgvādyā dvaye 'pyarthā vikalpitāḥ // MJaiNy_1,3.14 //	dIrGaSUka-priyaFgu-AdyAH dvaye api-arTAH vikalpitAH // MJENi-_1,3.14 //
   yatrānyā iti śāstrasthā prasiddhistu balīyasī /	yatra-anyAH iti SAstra-sTA prasidDiH-tu balIyasI /
   śāstrīyadharme tenātra priyaṅgvādi na gṛhyate // MJaiNy_1,3.15 //	SAstrIya-Darme tena-atra priyaFgu-Adi na gRhyate // MJENI-_1,3.15 //
   'yavamayaśrcarurbhavati ' 'vārāhī upānahāvupamuñcate ' iti śrūyate |	ayavam-aya-SrcaruH-Bavati a avArAhI upAnahO=-upamuQcate a iti SrUyate |
   tatra yava śabdamāryā dīrghaśūkeṣu prayuñjate varāhaśabdaṃ ca sūkare |	tatra yava Sabdam-AryAH dIrGa-SUkezu prayuQjate varAha-Sabdam ca sUkare |
   mlecchāstu yavaśabdaṃ priyaṅguṣu , varāhaśabdaṃ ca kṛṣṇaśakunau |	mlecCAH-tu yava-Sabdam priyaFguzu , varAha-Sabdam ca kRzNa-SakunO |
   tathā sati lokavyavahāreṇa niśrcetavyeṣu śabdārtheṣvāryamlecchaprasiddhyoḥ	taTA sati loka-vyavahAreNa niSr-cetavyezu Sabda-arTezu-Ari-amlecCa-prasidDyoH
   samānabalatvādubhayavidhā aṣyarthā vikalpena svīkāryā iti prapte -	samAna-bala-tvAt-uBayaviDAH azi-arTAH vikalpena svIkAryAH iti prapte -
   brūmaḥ- śāstrīyadharmāvabodhe śāstraprasiddhirbalīyasī |	brUmaH SAstrIya-Darma-avaboDe SAstra-prasidDiH-balIyasI |
   pratyāsannatvādavicchinnapāramparyāgatatvācca |	pratyAsanna-tvAt-avicCinna-pAramparya-Agata-tvAt-ca |
   śāstre yavavidhyarthavāda evaṃ śrūyate - ' yatrānyā oṣadhayo mlāyante,	SAstre yavaviDi-arTa-vAdaH evam SrUyate  a yatra-anyAH ozaDayaH mlAyante,
   athaite modamānā ivotiṣṭhanti ' iti |	aTa-ete modamAnAH iva-utizWanti a iti |
   itarauṣadhivināśakāle 'bhivṛddhirghaśūkeṣu dṛśyate, na tu priyaṅguṣu |	itara-ozaDi-vinASa-kAle aBivRdDiH-Ga-SUkezu dRSyate, na tu priyaFguzu |
   teṣāmitarauṣadhiparipākātpūrve pacyamānatvāt |	tezAm-itara-ozaDi-paripAkAt-pUrve pacyamAna-tvAt |
   vārāhopānadvidhyarthavādaśrcaivaṃ bhavati - ' varāhaṃ gāvo 'nudhāvanti '	vArAha-upAnat-viDi-arTa-vAdaSrca-evam Bavati  a varAham gAvaH anuDAvanti a
   iti |	iti |
   gavāmanudhāvanaṃ śūkare saṃbhavati na tu kṛṣṇaśakunau |	gavAm-anuDAvanam SUkare saMBavati na tu kRzNa-SakunO |
   tasmāddīrghaśūkdiryavādiśabdārthaḥ |	tasmAt-dIrGa-SUkdiryava-Adi-Sabda-arTaH |
   atra vārtikakāraḥ pīluśabdamudājahāra |	atra vArtikakAraH pIlu-Sabdam-udAjahAraH |
   taṃ ca mlecchā hastini prayuñjate, āryāstu vṛkṣe |	tam ca mlecCAH hastini prayuQjate, AryAH-tu vRkze |
   tatrāviplutavyavahārasyār''yeṣu saṃbhavādvṛkṣa eva pīluśabdārthaḥ ||	tatra-avipluta-vyavahArasya-Araayezu saMBavAt-vRkzaH eva pIlu-Sabda-arTaH ||
   MJaiNyC_1,2.14-15 ||	MJENyC_1,2.14-15 ||
   START MJaiNy 1,3.16	START MJENi 1,3.16
   asminnevādhikaraṇe gurumatamāha -	asmin=-eva-aDikaraNe guru-matam-Aha -
   yavādyarthānirṇayena tadvākyaṃ na prameti cet /	yava-Adi-arTa-anirNayena tat-vAkyam na pramA-iti ced /
   na śāstrasya balitvena tatprasiddhyār'thanirṇayāt // MJaiNy_1,3.16 //	na SAstrasya bali-tvena tad-prasidDyAr-aTa-nirNayAt // MJENi-_1,3.16 //
   spaṣṭo 'rthaḥ || MJaiNyC_1,2.16 ||	spazwaH arTaH || MJENyC_1,2.16 ||
   START MJaiNy 1,3.17-18	START MJENi 1,3.17-18
   asminnevādhikaraṇe vārtikakāramatena varṇakāntaramāracayati -	asmin=-eva-aDikaraNe vArtikakAra-matena varNaka-antaram-Aracayati -
   yo mātulavivāhādau śiṣṭācāraḥ sa mā na vā /	yaH mAtula-vivAha-AdO Sizwa-AcAraH sa mA na vA /
   itarācāravanmātvamamātvaṃ smartabādhanāta // MJaiNy_1,3.17 //	itara-AcAra-vat-mAtvam-amAtvam smarta-bADanAtaH // MJENi-_1,3.17 //
   smṛtimūlo hi sarvatra śiṣṭācārastato 'tra ca /	smRti-mUlaH hi sarvatra Sizwa-AcAraH-tatas atra ca /
   anumeyā smṛtiḥ smṛtyā bādhyā pratyakṣayā tu sā // MJaiNy_1,3.18 //	anumeyA smRtiH smRtyA bADyA pratyakzayA tu sA // MJENi-_1,3.18 //
   keṣuciddakṣiṇadeśeṣu mātulasya duhitaraṃ śiṣṭāḥ pariṇayanti |	kezucid-dakziNa-deSezu mAtulasya duhitaram SizwAH pariNayanti |
   so 'yamāyāraḥ pramāṇaṃ, śiṣṭācāratvāt , holākādyācāravat , iti cet |	saH ayam-AyAraH pramANan, Sizwa-AcAra-tvAt , ha-ulAka-Adi-AcAra-vat , iti ced |
   na |	na |
   smṛtiviruddhatvena kālātyayāpadiṣṭatvāt |	smRti-virudDa-tvena kAla-atyaya-apadizwa-tvAt |
   tathā ca smṛtiḥ-	taTA ca smRtiH-
   "mātulasya sutāmūḍhvā mātṛgotrāṃ tathaiva ca |	"mAtulasya sutAm-UXvA mAtR-gotrAm taTA-eva ca |
   samānapravarāṃ caiva tyaktvā cāndrāyaṇaṃ caret" || iti |	samAna-pravarAm ca-eva tyaktvA cAndrAyaNam caret" || iti |
   na ca smṛtyācārayormūlavaidānumāpakasāmyātsamabalatvamiti śaṅkanīyam |	na ca smRti-AcArayoH-mUla-vEdAnumApaka-sAmyAt-sama-bala-tvam-iti SaFkanIyam |
   holākādisadācārasya manvādismṛtivadvedānumāpakatvāyogāt |	holAka-Adi-sat-AcArasya manu-Adi-smRti-vat-vedAn-umApakatva-ayogAt |
   nahīdānīntanāḥ śiṣṭā manvādivaddeśakālaviprakṛṣṭaṃ vedaṃ divyajñānena	na-hi-idAnIntanAH SizwAH manu-Adi-vat-deSa-kAla-viprakRzwam vedam divya-jQAnena
   sākṣātkartu śaknuvanti |	sAkzAtkartu Saknuvanti |
   yena śiṣṭacāro mūlavedamanumāpayet |	yena Sizwa-cAraH mUlavedam-anumApayet |
   śaknoti ca yaḥ kopi śiṣṭo yatra kvāpi deśaviśeṣe kālaviśeṣe ca yaṃ	Saknoti ca yaH kopi SizwaH yatra kvApi deSa-viSeze kAla-viSeze ca yam
   kañcanāpi holākādyācarasya mūlabhūtaṃ smṛtigranthamavalokayitum |	kaQcanA-api holAka-At-yAcarasya mUla-BUtam smRti-granTam-avalokayitum |
   tasmācchiṣṭācāreṇa smṛtirevānumātuṃ śakyate, natu śrutiḥ |	tasmAt-Sizwa-AcAreNa smRtiH-eva-anumAtum Sakyate, na-tu SrutiH |
   anumitā ca smṛtirvirūddhayā pratyakṣayā smṛtyā bādhyate |	anumitA ca smRtiH-virUdDayA pratyakzayA smRtyA bADyate |
   ata evā'huḥ-	atas eva-AahuH-
   "ācārāttu smṛtiṃ jñātvā smṛtiśrca śrutikalpamam |	"a-AcArAt-tu smRtim jQAtvA smRtiSrca Sruti-kalpamam |
   tena dvayantaritaṃ teṣāṃ prāmāṇyaṃ viprakaṣyate" || iti |	tena dvayantaritam tezAm prAmANyam viprakazyate" || iti |
   tasmādīdṛśasyā'cārasyāprāmāṇyamabhyupeyam || MJaiNyC_1,2.17-18 ||	tasmAt-IdRSasyA-acArasya-aprAmANyam-aByupeyam || MJENyC_1,2.17-18 ||
   START MJaiNy 1,3.19	START MJENi 1,3.19
   tatraivāparaṃ varṇakamāracayati -	tatra-eva-aparam varNakam-Aracayati -
   laukiko vākyago vār'thastrivṛdādeḥ samatvataḥ /	lOkikaH vAkya-gaH vAr-aTaH-trivRt-AdeH samatvataH /
   ubhau vidhyarthavādaikavākyatvādastvihāntimaḥ // MJaiNy_1,3.19 //	uBO viDi-arTa-vAda-eka-vAkya-tva-AdaH-tu-iha-antimaH // MJENi-_1,3.19 //
   'trivṛdvahiṣpavamānam' iti śrutau vivṛcchabdasya traiguṇyaṃ	atrivRt-vahizpavamAnam-a iti SrutO vivRcCabdasya trEguNyam
   lokasiddhor'thaḥ |	loka-sidDor-aTaH |
   vākyaśeṣādṛktrayātmakeṣu triṣu sūkteṣvavasthitānāṃ	vAkya-Seza-adRS-trayA-Atmakezu trizu sUktezu-avasTitAnAm
   bahiṣpavamānātmakastotraniṣpādanakṣamāṇām ' upāsmai gāyatā naraḥ ' --	bahizpavamAna-Atmaka-stotra-nizpAdana-kzamANAm a upa-asmE gAyatA naraH a --
   ityādīnāmṛcāṃ navakamarthaḥ |	ityAdInAm-RcAm navakam-arTaH |
   tatra dharmaniṇaye vedasya prabalatve 'pi padapadārthanirṇaye lokavedayoḥ	tatra Darma-niNaye vedasya prabala-tve api pada-padArTa-nirNaye loka-vedayoH
   samānabalatvādubhāvapyarthau vikalpeva grahītavyāviti cet |	samAna-bala-tvAt-uBO=-api-arTO vikalpA-iva grahItavyO=-iti ced |
   maivam |	mA-evam |
   laukikārthasvīkārapakṣe vidhivākyer'thastraiguṇyam, arthavādavākye	lOkika-arTa-svIkAra-pakze viDi-vAkyer-aTaH-trEguNyam, arTavAda-vAkye
   stotriyāṇāmṛcāṃ navakam , ityevaṃ	stotriyANAm-RcAm navakam , iti-evam
   vidhyarthavādayorvaiyadhikaraṇyādekavākyatvaṃ na syāt |	viDi-arTa-vAdayoH-vEyaDi-karaNyAt-eka-vAkya-tvam na syAt |
   ata ekavākyatvāya stotriyāṇāṃ navakamityeva vidhivākye niyator'thaḥ ||	atas eka-vAkya-tvAya stotriyANAm navakam-iti-eva viDi-vAkye niyator-aTaH ||
   MJaiNyC_1,2.19 ||	MJENyC_1,2.19 ||
   (ṣaṣṭhe mlecchaprasiddhārthaprāmāṇyādhikaraṇe sūtram)	(zazWe mlecCa-prasidDa-arTa-prAmANya-aDikaraNe sUtram)
   coditaṃ tu pratīyetāvirodhāt pramāṇena / Jaim_1,3.10 /	coditam tu pratIyeta-aviroDAt pramANena / JEm_1,3.10 /
   START MJaiNy 1,3.20-21	START MJENi 1,3.20-21
   ṣaṣṭhādhikaraṇamāracayati -	zazWa-aDikaraNam-Aracayati -
   kalpyaḥ pikādiśabdārtho grāhyo vā mleccharūḍhitaḥ /	kalpyaH pikA-Adi-Sabda-arTaH grAhyaH vA mlecCa-rUXitaH /
   kalpya āryoṣvasiddhatvādanāryāṇānamādarāt // MJaiNy_1,3.20 //	kalpyaH Arya-Uzu-asidDa-tvAt-anAryANAnam-AdarAt // MJENI-_1,3.20 //
   grāhya mlocchaprasiddhistu virodhādarśane sati /	grAhya mlA-ucCa-prasidDiH-tu viroDa-adarSane sati /
   pikanemādiśabdānāṃ kokilādyarthatā tataḥ // MJaiNy_1,3.21 //	pika-nema-Adi-SabdAnAm kokila-Adi-arTa-tA tatas // MJENi-_1,3.21 //
   āryāḥ pikādiśabdaṃ na kvāpyarthe prayuñjate, mlecchāśrca na pramāṇabhūtāḥ	AryAH pikA-Adi-Sabdam na kvApi-arTe prayuQjate, mlecCASrca na pramANa-BUtAH
   tasmānnigamanirūktavyākaraṇaiḥ pikanemādiśabdānāmarthaḥ kalpanīya iti cet	tasmAt-nigama-nirUkta-vyAkaraNEH pika-nema-Adi-SabdAnAm-arTaH kalpanIyaH iti ced-
   maivam |	mA-evam |
   āryaprasiddhivirodhasyādṛṣṭatvenedṛśe viśaya	Arya-prasidDi-viroDasya-adRzwa-tvena-IdRSe viSaya
   mlecchaprasiddherapyādaraṇīyatvāt |	mlecCa-prasidDeH-api-At-araNIya-tvAt |
   kalpyamānādabyavasthitādarthādvare mleccharūḍhiḥ |	kalpyamAnAt-abi-avasTitAt-arTAt-vare mlecCa-rUXiH |
   yatredṛśyā api rūḍherabhāvastatra nirūktādayaśrcaritārthāḥ |	yatra-IdRSyAH api rUXeH-aBAvaH-tatra nirUkta-At-aya-Srcarita-arTAH |
   tasmādanārya prasiddhyā pikaḥ kokilaḥ, nemaśabdor'dhavācī , tāmarasaśabdaḥ	tasmAt-anArya prasidDyA pikaH kokilaH, nema-SabdoH-aDavAcI , tAmarasa-SabdaH
   padmavācī, ityevaṃ draṣṭavyam || MJaiNyC_1,2.20-21 ||	padma-vAcI, iti-evam drazwavyam || MJENyC_1,2.20-21 ||
   START MJaiNy 1,3.22	START MJENi 1,3.22
   asminnevādhikaraṇe gurumatamāha -	asmin=-eva-aDikaraNe guru-matam-Aha -
   arthābodhādapramāṇaṃ pikālambhanacodanā /	arTa-aboDAt-apramANam pikA-AlamBana-codanA /
   maivaṃ mlecchaprasiddhyāpi tabdodhādaviruddhayā // MJaiNy_1,3.22 //	mA-evam mlecCa-prasidDyA-api tabdoDAda-virudDayA // MJENi-_1,3.22 //
   spaṣṭo 'rthaḥ || MJaiNyC_1,2.22 ||	spazwaH arTaH || MJENyC_1,2.22 ||
   (saptame kalpasūtrāsvataḥ prāmāṇyādhikaraṇe sūtrāṇi 11 - 14 ) /	(saptame kalpa-sUtrAsu-atas prAmANya-aDikaraNe sUtrANi 11  14 ) /
   prayogaśāstram iti cet / Jaim_1,3.11 /	prayoga-SAstram iti ced / JEm_1,3.11 /
   nāsaṃniyamāt / Jaim_1,3.12 /	na-asaMniyamAt / JEm_1,3.12 /
   avākyaśeṣāc ca / Jaim_1,3.13 /	avAkya-SezAt ca / JEm_1,3.13 /
   sarvatra ca prayogāt saṃnidhānaśāstrāc ca / Jaim_1,3.14 /	sarvatra ca prayogAt saMniDAna-SAstrAt ca / JEm_1,3.14 /
   START MJaiNy 1,3.23-24	START MJENi 1,3.23-24
   saptamādhikaraṇamāracayati -	saptama-aDikaraNam-Aracayati -
   apauruṣeyāḥ kalpādyāḥ kṛtrimā vā na kṛtrimāḥ /	apOruzeyAH kalpa-AdyAH kRtrimAH vA na kRtrimAH /
   śrutismatyordharmabuddheḥ svato mātvaṃ yataḥ samam // MJaiNy_1,3.23 //	Sruti-smatyoH-Darma-budDeH svatas mAtvam yatas samam // MJENi-_1,3.23 //
   puṃnāmokteḥ pauruṣeyāḥ kāṭhakādyasamatvataḥ /	puMnAma-ukteH pOruzeyAH kAWaka-Adi-asamatvataH /
   tatropalebhire kecidāpastambādikartṛtām // MJaiNy_1,3.24 //	tatra-upaleBire kecid-Apastamba-Adi-kartR-tAm // MJENi-_1,3.24 //
   baudhāyanāpastambā śrvalāyanakātyāyanādināmāṅkitāḥ kalparsūtragranthāḥ,	bODAyana-apastambA SrvalAyana-kAtyAyana-Adi-nAma-aFkitAH kalparsUtra-granTAH,
   nigamaniruktādiṣaḍaṅgagranthāḥ, manvādismṛtayaśrcāṣauruṣeyāḥ,	nigama-nirukta-Adi-zaxaFga-granTAH, manu-Adi-smRta-yaH-rcAzOruzeyAH,
   dharmabuddhijanakatvāt, vedavat |	Darma-budDi-janaka-tvAt, veda-vat |
   na ca mūlapramāṇasāpekṣatvena vedavaiṣamyamiti śaṅkanīyam |	na ca mUla-pramANa-sApekza-tvena veda-vEzamyam-iti SaFkanIyam |
   utpannāyā buddheḥ svataḥ- prāmāṇyāṅgīkāreṇa nirapekṣatvāt |	utpannAyAH budDeH svataH prAmANya-aFgIkAreNa nirapekza-tvAt |
   maivam |	mA-evam |
   uktānumānasya kālātyayāpadiṣṭatvāt |	ukta-anumAnasya kAla-atyaya-apadizwa-tvAt |
   baudhāyanasūtram , āpastambasūtram, ityevaṃ puruṣanāmnā te granthā ucyante	bODAyana-sUtram , Apastamba-sUtram, iti-evam puruza-nAmnA te granTAH ucyante
   na ca kāṭhakādisamākhyavatpravacananimittatvaṃ yuktam |	na ca kAWaka-Adi-samAKya-vat-pravacana-nimitta-tvam yuktam |
   tadgranthanirmāṇakāle tadānīntanaiḥ kaiśrcidupalabdhatvāt |	tad-granTa-nirmANa-kAle tadAnIntanEH kESrcit-upalabDa-tvAt |
   taccāvicchinnapāramparyeṇānuvartate |	tat-ca-avicCinna-pAramparyeNa-anuvartate |
   tataḥ kālidāsādigranthavatpauruṣeyāḥ |	tatas kAli-dAsa-Adi-granTa-vat-pOruzeyAH |
   tathāpi vedamūlatvātpramāṇam || MJaiNyC_1,2.23-24 ||	taTA-api veda-mUla-tvAt-pramANam || MJENyC_1,2.23-24 ||
   START MJaiNy 1,3.25	START MJENi 1,3.25
   atraiva gurumatamāha -	atra-eva guru-matam-Aha -
   kalpe sarvatithau darśakāryatokteḥ śrutirna mā /	kalpe sarva-tiTO darSa-kArya-tA-ukteH SrutiH-na mA /
   na kalpe sādhyavedatvaprahāṇāddurbalatvataḥ // MJaiNy_1,3.25 //	na kalpe sADya-veda-tva-prahANAt-durbala-tvataH // MJENi-_1,3.25 //
   sarvatithau darśayāgakartavyatāṃ kalpasūtrakāra āha -"sarvāsu	sarva-tiTO darSa-yAga-kartavyatAm kalpasUtra-kAraH Aha -"-sarvAsu
   tithiṣvamāvāsyā kartavyā"iti |	tiTizu-amAvAsyA kartavyA"-iti |
   śrutistvamāvāsyāyāmeva tithau kartavyatāṃ brūte |	SrutiH-tu-amAvAsyAyAm-eva tiTO kartavyatAm brUte |
   tataḥ kalpasūtrarūpeṃṇa vedena viruddhatvādiyaṃ śrutirna mānamiti cet |	tatas kalpasUtra-rUpeMNa vedena virudDa-tvAt-iyam SrutiH-na mAnam-iti ced |
   maivam |	mA-evam |
   kalpasya vedatvaṃ nādyāpi siddham |	kalpasya veda-tvam na-adya-api sidDam |
   kintu yatnena sādhyam |	kintu yatnena sADyam |
   na ca tatsādhayituṃ śakyam |	na ca tad-sADayitum Sakyam |
   pauruṣeyatvasya samākhyayā tatkarturupalambhena ca sādhitatvāt |	pOruzeya-tvasya samAKyayA tad-kartuH-upalamBena ca sADita-tvAt |
   ataḥ kalpasūtrasya durbalatayā na śruteraprāmāṇyam || MJaiNyC_1,2.25 ||	atas kalpa-sUtrasya durbala-tayA na SruteH-aprAmANyam || MJENyC_1,2.25 ||
   (aṣṭame holākādhikaraṇe sūtrāṇi 14 - 23)	(azwame holAka-aDikaraNe sUtrANi 14  23)
   anumānavyavasthānāt tatsaṃyuktaṃ pramāṇaṃ syāt / Jaim_1,3.15 /	anumAna-vyavasTAnAt tad-saMyuktam pramANam syAt / JEm_1,3.15 /
   api vā sarvadharmaḥ syāt tannyāyatvād vidhānasya / Jaim_1,3.16 /	api vA sarva-DarmaH syAt tat-nyAya-tvAt viDAnasya / JEm_1,3.16 /
   darśanād viniyogaḥ syāt / Jaim_1,3.17 /	darSanAt viniyogaH syAt / JEm_1,3.17 /
   liṅgābhāvāc ca nityasya / Jaim_1,3.18 /	liFga-aBAvAt ca nityasya / JEm_1,3.18 /
   ākhyā hi deśasaṃyogāt / Jaim_1,3.19 /	AKyA hi deSa-saMyogAt / JEm_1,3.19 /
