   {...} = akṣara unclear	{...}  akzaraH unclear
   agnikārya dhūmaḥ |	agni kArya DUmaH |
   harṣādiviśeṣāścādṛśyāḥv tatrāyaṃ prayogaḥ | romaharṣādiviśeṣasya dṛśyatve	harza Adi viSezAH ca adRSyAHv tatra ayam prayogaH | romaharza Adi viSezasya dRSya tve
   dṛśyānupalbdhiḥ prayoktavyā | śītasparśasya dṛśyatve kāraṇānupalabdhiḥ |	dRSya anupalbDiH prayoktavyA | SIta sparSasya dRSya tve kAraNa anupalabDiH |
   tasmādbhavasādhano 'yam | rūpaviśeṣāddhidūrād dahanaṃ paśyati |	tasmAt Bava sADanaH ayam | rUpa viSezAt hi dUrAt dahanam paSyati |
   śītasparśastvadṛśyo romarṣādiviśeṣāśca | teṣāṃ	SIta sparSaH tu adRSyaH romarza Adi viSezAH ca | tezAm
   kāraṇaviruddhopalabdhyābhāvaṃ pratipadyata iti tatrāsya prayoga iti || |40	kAraNa virudDa upalabDyA aBAvam pratipadyate iti tatra asya prayogaH iti || |40
   pratiṣedhyasya yat kāraṇaṃ tasya yad viruddhaṃ tasya yat kāryaṃ	pratizeDyasya yat kAraNam tasya yat virudDam tasya yat kAryam
   tasyopalabdhirudāhartavyā  yatheti | ayaṃ pradeśa iti dharmī | yogo yuktam	tasya upalabDiH udAhartavyA yaTA iti | ayam pradeSaH iti DarmI | yogaH yuktam
   | romaharṣādiviśeṣāiyuktaṃ romaharṣādiviśeṣayuktam, tasya sambandhī puruṣo	| roma harza Adi viSezAi yuktam roma harza Adi viSeza yuktam, tasya sambanDI puruzaH 
   romaharṣādiviśeṣayuktapuruṣaḥ, tadvān na bhavatīti sādhyam | dhūmāditi	roma harza Adi viSeza yukta puruzaH, tadvAn na Bavati iti sADyam | DUmAt iti
   hetuḥ |	hetuH |
   romaharṣādiviśeṣasya pratyakṣatve dṛśyānupalabdhiḥ | kāraṇasya	romaharza Adi viSezasya pratyakza tve dRSya anupalabDiH | kAraNasya
   śītasparśasya pratyakṣatve kāraṇānupalabdhiḥ | vahanstu pratyakṣatve	SIta sparSasya pratyakza tve kAraNa anupalabDiH | vahanH tu pratyakza tve
   kāraṇaviruddhopalabdhiḥ prayoktavyāḥ | trayāṇāmapyadṛsyatve 'yaṃ prayogaḥ	kAraNa virudDa upalabDiH prayoktavyAH | trayANAm api adRsya tve ayam prayogaH
   | tasmādabhāvasādhano 'yam | tatra dūrasthasya	| tasmAt aBAva sADanaH ayam | tatra dUra sTasya
   pratipatturdahanaśītasparśaromaharṣādiviśeṣā apratyakṣāḥ santo 'pi,	pratipattuH dahana SIta sparSa roma harza Adi viSezAH apratyakzAH santaH api,
   dhūmastu pratyakṣo yatra, tatraitat pramāṇam | dhūmastu yaduśastaddeśe	DUmaH tu pratyakzaH yatra, tatra etat pramANam | DUmaH tu yat uSaH tad deSe
   sthitaṃ śītaṃ nivartayituṃ samarthasya vahnaranumāpakaḥ sa iha grāhyaḥ |	sTitam SItam nivartayitum samarTasya vahnaranumApakaH saH iha grAhyaH |
   dhūmamātreṇa tu vahnimātre 'numite 'pi na śītasparśanivṛtiḥ, nāpi roma	DUma mAtreNa tu vahni mAtre anumite api na SIta sparSa nivRtiH, na api roma
   42 ime sarve kāryānupalabdhyādayo daśānupalabdhiprayogāḥ	42 ime sarve kArya anupalabDi AdayaH daSa anupalabDi prayogAH
   svabhāvānupalabdho saṃgrahanupayāntīti ||	svaBAva anupalabDaH saMgrahanupayAnti iti ||
   43 pārampayeṇārthāntaravidhipratiṣedhābhyāṃ prayogabhede 'pi ||	43 pArampayeNa arTa antara viDi pratizeDAByAm prayoga Bede api ||
   tasmād yatra dhūmastatrāgniḥ | yatrāgnistatra na śītasparśaḥ | yatra na	tasmAt yatra DUmaH tatra agniH | yatra agniH tatra na SIta sparSaH | yatra na
   śītasparśastatra śītakāryāṇi romaharṣādiviśeṣāḥ kathaṃ syuḥ || 41 ||	SIta sparSaH tatra SIta kAryANi roma harza Adi viSezAH kaTam syuH || 41 ||
   pūrvamupalabdhikṣaṇaprāptasyānupalabdhirekaḥ pratiṣedhaheturuktaḥ, atha	pUrvam upalabDi kzaNa prAptasya anupalabDiH ekaH pratizeDa hetuH uktaH, aTa
   kathaṃ kāryānupalabdhyādibhiḥ svabhāvaviruddhopalabdhyādibhiśca pratiṣedha	kaTam kArya anupalabDi AdiBiH svaBAva virudDa upalabDi AdiBiH ca pratizeDa
   iti cet? tatrāha 	iti cet? tatra Aha 
   ime iti | avyavahitoktāḥ | sarve iti nikhilā daśasaṅkhayāpariccinnāḥ |	ime iti | avyavahita uktAH | sarve iti niKilAH daSa saFKayA pariccinnAH |
   anupalabdhiprayogāśca svabhāvānupalabdhāvantabhavanti || 42 ||	anupalabDi prayogAH ca svaBAva anupalabDO= antaBavanti || 42 ||
   svabhāvānupalabdhiprayogaścānyaḥ, kāryānupalabdhyādirapyanyaḥ | tathā hi 	svaBAva anupalabDi prayogaH ca anyaH, kArya anupalabDi AdiH api anyaH | taTA hi 
   kāryānupalabdhyādiṣu arthāntarapratiṣadhaḥ, svabhāvaviruddhopalabdhyadiṣu	kArya anupalabDi Adizu arTa antara pratizaDaH, svaBAva virudDa upalabDi adizu
   cārthāntaravidhiḥ | kathaṃ tarhi tasyāmantarbhava iti cet? tatrāha 	ca arTa antara viDiH | kaTam tarhi tasyAm antar BavaH iti cet? tatra Aha 
   arthāntaretyādi |	arTa antara ityAdi |
   harṣādiviśeṣanivṛttiravasātuṃ śakyeti na dhūmamātraṃ heturiti	harza Adi viSeza nivRttiH avasAtum SakyA iti na DUma mAtram hetuH iti
   draṣṭavyamiti || 41 ||	drazwavyam iti || 41 ||
   yadi ekaḥ pratiṣedhaheturuktaḥ, kathamekadaśābhāvahetavaḥ? ityāha  ime	yadi ekaH pratizeDa hetuH uktaH, kaTam ekadaSa aBAva hetavaH? iti Aha ime
   sarve ityādi | ime anupalbdhiprayogāḥ | idamananaraprakrāntā nirdiṣṭāḥ |	sarve ityAdi | ime anupalbDi prayogAH | idamana nara prakrAntAH nirdizwAH |
   tatra kiyatāmapi grahaṇe prasaktaḥ? āha  kāryānupalabdhyādaya iti |	tatra kiyatAm api grahaNe prasaktaH? Aha kArya anupalabDi AdayaH iti |
   kāryānupalabdhyadīnāmai trayāṇāṃ caturṇā vā garahaṇe prasaktaḥ? āha 	kArya anupalabDi adInAmE trayANAm caturNA vA garahaNe prasaktaH? Aha 
   daśeti | tatra daśānāmapyudāharaṇamātrāṇāṃ grahaṇaprasaṅga satyāha  sarva	daSa iti | tatra daSAnAm api udAharaNa mAtrANAm grahaNa prasaFga satya aha sarva
   iti |	iti |
   etaduktaṃ bhavati  aprayuktā api prayuktodāharaṇasadaśāśca | sarva eveti |	etat uktam Bavati aprayuktAH api prayukta udAharaNa sadaSAH ca | sarve eva iti |
   daśagrahaṇamantarena sarvagrahaṇe kriyamāṇe prayuktodāharaṇakātsnrya	daSagrahaNam antarena sarva grahaNe kriyamANe prayukta udAharaNakAt snrya
   ramyeta | daśagrahaṇāt tu udāharaṇakātsnrye 'vagate	ramyeta | daSagrahaNAt tu udAharaNa kAt snrye avagate
   sarvagrahanāmatiricyamānamudāhṛtasadṛśakātsnryāvagataye jāyate |	sarva graha nAma tiricyamAnam udAhRta sadRSa kAt snrya avagataye jAyate |
   te svabhāvānupalabdhau saṃgrahaṃ tādātmyena gaccanti |	te svaBAva anupalabDO saMgraham tAdAtmyena gaccanti |
   svabhāvānupalabdhisvabhāvā ityarthaḥ || 42 ||	svaBAva anupalabDi svaBAvAH iti arTaH || 42 ||
   nanu ca svabhāvānupalabdhiprayogād bhidyante kāryānupalbdhyādayaḥ, tat	nanu ca svaBAva anupalabDi prayogAt Bidyante kArya anupalbDi AdayaH, tat 
   kathamantarbhavanti? ityāha  pāramparyeṇeti | prayogabhede 'pīti |	kaTam antarBavanti? iti Aha pAramparyeNa iti | prayoga Bede api iti |
   prayogasya śabdavyāpārasya bhede 'pyantarbhavanti | kathaṃ prayogabhedaḥ?	prayogasya Sabda vyApArasya Bede api antarBavanti | kaTam prayoga BedaH?
   ityāha  arthāntaravidhīti | pratiṣedhyādarthādarthāntarasya	iti Aha arTa antara viDi iti | pratizeDyAt arTAt arTa antarasya
   vidhirupalabdhiḥ svabhāvaviruddhādayupalabdhiprayogeṣu | pratiṣedhaḥ	viDiH upalabDiH svaBAva virudDAdayupalabDi prayogezu | pratizeDaH
   kāryānupalabdhyādiṣu prayogeṣu | arthāntaravidhinā, arthāntarapratiṣedhena	kArya anupalabDi Adizu prayogezu | arTa antara viDinA, arTa antara pratizeDena
   44 prayogadarśanābhyāsāt svayamapyevaṃ vyavaccedapratītirbhavatīti svārthe	44 prayoga darSana aByAsAt svayam api evam vyavaccet apratItiH Bavati iti sva arTe
   'pyanumāne 'syā prayoganirdeśaḥ ||	api anumAne asyAH prayoga nirdeSaH ||
   yahyaparthāntaravidhipratiṣedhābhyā prayogabheda eva, tathāpi paramparayā	yahi aparTa antara viDi pratizeDAByA prayoga BedaH eva, taTA api paramparayA
   tasyā mantarbhāvo 'bhipretaḥ, na tu vastutaḥ | tathāhi kvacit	tasyAH mantarBAvaH aBipretaH, na tu vastutas | taTA hi kvacid 
   kāryānupalbdhī dhūmābhāvena dhūmahetorapratibaddhasāmarthyasya abhāve	kArya anupalbDI DUma aBAvena DUma hetoH apratibadDa sAmarTyasya aBAve
   siddhe abhāvapratītirbhavati | yatra yatra dhūmābhāvastatra	sidDe aBAva pratItiH Bavati | yatra yatra DUma aBAvaH tatra
   tatropalabdhilakṣaṇāprāptasyaiva taddhetoranupalabdhiriti	tatra upalabDi lakzaNa aprAptasya eva tad hetoH anupalabDiH iti
   svabhāvānupalabdhāvantarbhavati |	svaBAva anupalabDO= antar Bavati |
   pratipattu ṇāṃ cintābhedād bhedaḥ  kasyacit kāryābhāvadvāreṇa	pratipad tu NAm cintA BedAt BedaH kasyacid kArya aBAva dvAreNa
   hetvabhāvapratītiḥ, kasyacittu svabhāvadvāreṇa | tathaiva	hetu aBAva pratItiH, kasyacid tu svaBAva dvAreNa | taTA eva
   vyāpakānupalabdheḥ kāraṇānupalabdheśca paramparayā antarbhāvo 'vagantavyaḥ	vyApaka anupalabDeH kAraNa anupalabDeH ca paramparayA antarBAvaH avagantavyaH
   | svabhāvaviruddhopalabdhī cāgninā śotābhāvapratītiḥ |	| svaBAva virudDa upalabDI ca agninA Sota aBAva pratItiH |
   yatrāgnistatropalabdhilakṣaṇaprāptasya śītasparśasyaivānupalabdhiriti	yatra agniH tatra upalabDi lakzaNa prAptasya SIta sparSasya eva anupalabDiH iti
   svabhāvānupalabdhāvantarbhāvaḥ |	svaBAva anupalabDO= antarBAvaH |
   viruddhavyāptopalabdhāvapi hetvantarāpekṣayā sarvavarṇeṣu prakāśasvabhāvo	virudDa vyApta upalabDO= api hetu antara apekzayA sarva varNezu prakASa svaBAvaH 
   'pi svabhāvānupalabdhivadeva | tathā kāraṇaviruddhakāryopalabdhāvapi	api svaBAva anupalabDi vat eva | taTA kAraNa virudDa kArya upalabDO= api
   dhūmenāgnisiddhiḥ | śītanivṛtau ca tatra tadviparītasya	DUmena agni sidDiH | SIta nivRtO ca tatra tad viparItasya
   romaharṣādiviśeṣayuktapuruṣasyābhāvasiddhiḥ | sā ca	roma harza Adi viSeza yukta puruzasya aBAva sidDiH | sA ca
   tatropalabdhilakṣaṇaprāptatā{dsi}hapuruṣasyānupalabdhiriti	tatra upalabDi lakzaNa prApta tA{dsi}ha puruzasya anupalabDiH iti
   svabhāvānupalabdhāvevāntarbhavati | || 43 ||	svaBAva anupalabDO= eva antarBavati | || 43 ||
   ye ca kāryakāraṇadvayavyāptyabhedairbhedābhavenopacārāt svabhāvānupalabdho	ye ca kArya kAraNa dvaya vyApti aBedEH Beda aBavena upacArAt svaBAva anupalabDaH 
   antarbhavanti ityāhuḥ, teṣāṃ tadupacāreṇantarbhāvaḥ, paramārthatastu na	antarBavanti iti AhuH, tezAm tad upacAreNantarBAvaH, paramArTataH tu na
   pratijñaikadeśasyāpi hetutve sati paramparārtho 'pi na ramyaḥ |	pratijQa eka deSasya api hetu tve sati paramparA arTaH api na ramyaH |
   svabhāvaviruddhopalabdhyādiṣu ca vijātīyapramāṇena nivṛtyābhidhānamiti kiṃ	svaBAva virudDa upalabDi Adizu ca vijAtIya pramANena nivRtya aBiDAnam iti kim
   kena samānaṃ syāt | svārthānumāne prayoge na sambhavati |	kena samAnam syAt | sva arTa anumAne prayoge na samBavati |
   tatrānupalabdhiprayogaprakāraviśeṣā ekādaśa iti kuta iti cet? tasmādāha 	tatra anupalabDi prayoga prakAra viSezAH ekAdaSaH iti kutas iti cet? tasmAt Aha 
   prayogadarśanetyādi |	prayoga darSana ityAdi |
   ca prayogāḥ bhidyante | yadi prayogāntareṣvarthāntaravidhipratiṣedhau,	ca prayogAH Bidyante | yadi prayoga antarezu arTa antara viDi pratizeDO,
   kathaṃ tarhi antarbhavanti? ityāha  pāramparyeṇeti | praṇālikayetyarthaḥ |	kaTam tarhi antarBavanti? iti Aha pAramparyeNa iti | praNAlikayA iti arTaH |
   etaduktaṃ bhavati  na sākṣādete prayogā dṛśyānupalabdhimabhidadhati,	etat uktam Bavati na sAkzAt ete prayogAH dRSya anupalabDim aBidaDati,
   dṛśyānupalabhdyabhicāriṇastvarthāntarasya vidhi niṣedhaṃ vābhidadhati |	dRSya anupalaBdi aBicAriNaH tu arTa antarasya viDi nizeDam vA aBidaDati |
   tataḥ praṇālikayāmīṣāṃ svabhāvānupalabdhau saṃgrahaḥ, na sākṣāditi || 43	tatas praNAlikayA amIzAm svaBAva anupalabDO saMgrahaH, na sAkzAt iti || 43
   yadi prayogabhedādeṣa bhedaḥ, parāthānumāne vaktavya eṣaḥ, śabdabhedo hi	yadi prayoga BedAt eza BedaH, parATa anumAne vaktavyaH ezaH, Sabda BedaH hi
   prayogabhedaḥ, śabdaśca parārthānumānam? ityāśaṅkayāha 	prayoga BedaH, SabdaH ca para arTa anumAnam? iti ASaFkayA Aha 
   prayogadarśanetyādi | prayogāṇāṃ śāstraparipaṭhiṭānāṃ darśanam=	prayoga darSana ityAdi | prayogANAm SAstra paripaWiwAnAm darSanam=
   upalambhaḥ, tasya abhyāsaḥ= punaḥ punarāvartanam, tasmānnimittāt |	upalamBaH, tasya aByAsaH punar punar Avartanam, tasmAt nimittAt |
   svayamapīti | pratipatturātmano 'pi | evam ityanantaroktena kameṇa |	svayam api iti | pratipattuH AtmanaH api | evam iti anantara uktena kameNa |
   vyavaccedasya pratītirbhavatīti itiśabdastasmādarthe |	vyavaccet asya pratItiH Bavati iti iti SabdaH tasmAt arTe |
   45 sarvatra cāsyāmabhavavyavahrasādhanyāmanupalabdhau yeṣāṃ	45 sarvatra ca asyAm aBava vyavahra sADanyAm anupalabDO yezAm
   svabhāvaviruddhādīnāmupalabdhyā kāraṇādīnāmanupalabdhyā ca pratiṣedha	svaBAva virudDa AdInAm upalabDyA kAraNa AdInAm anupalabDyA ca pratizeDa
   uktaḥ, teṣāmupalabdhilakṣaṇaprāptānāmevo palabdhiranupalabdhiśca veditavyā	uktaH, tezAm upalabDi lakzaNa prAptAnAm evo palabDiH anupalabDiH ca veditavyA
   prayogāṇāṃ darśanam= pratītiḥ | tasyāḥ paunaḥpunyenāvartanam= abhyāsaḥ |	prayogANAm darSanam pratItiH | tasyAH pOnaHpunyena Avarta nam aByAsaH |
   tasmāt prayogeṣvabhyāsātiśayāt svayamapi yadā kasyacit	tasmAt prayogezu aByAsa atiSayAt svayam api yadA kasyacid 
   vyavaccedapratītirbhavati, tadā prayogarūpeṇaiva pratītirbhavati | ata eva	vyavaccet apratItiH Bavati, tadA prayoga rUpeNa eva pratItiH Bavati | atas eva
   svārthānumāne 'pi anupalabdhiprayogasya viśeṣanirdeśaḥ |	sva arTa anumAne api anupalabDi prayogasya viSeza nirdeSaH |
   vyavaccedapratītiḥ pratiṣedhapratyāyanamiti śeṣaḥ | yadvā 	vyavaccet apratItiH pratizeDa pratyAyanam iti SezaH | yat vA 
   vyavaccedapratītiḥ viśeṣapratipattiriti śeṣaḥ || 44 ||	vyavaccet apratItiH viSeza pratipattiH iti SezaH || 44 ||
   svabhāvānupalabdherviśeṣa uktaḥ | kāryānupalabdhyādau tadbhāvāt	svaBAva anupalabDeH viSezaH uktaH | kArya anupalabDi AdO tad BAvAt
   kathamavyabhicāritvamiti cet? tatrāha  abhāveti | abhāvavyavahārasādhanyo	kaTam avyaBicAri tvam iti cet? tatra aha aBAva iti | aBAva vyavahAra sADanyaH 
   bahuprakārā yā anupalabdhayo 'bhihitāḥ, tāḥ sarvāstadviśetā eva draṣṭavyāḥ	bahu prakArAH yAH anupalabDayaH aBihitAH, tAH sarvAH tad viSetAH eva drazwavyAH
   | yadi kāraṇāderupalabdhi 	| yadi kAraNa AdeH upalabDi 
   tadayamarthaḥ  yasmāt svayamapyevamanenopāyena pratipadyate,	tat ayam arTaH yasmAt svayam api evam anena upAyena pratipadyate,
   prayogābhyāsātḥ tasmāt svapratipattāvapyupayujyamānasyāsya prayogabhedasya	prayoga aByAsAtH tasmAt sva pratipattO= api upayujyamAnasya asya prayoga Bedasya
   svārthānumāne nirdeśaḥ | yat punaḥ parapratipattāvevoyujyate, tat	sva arTa anumAne nirdeSaH | yat punar para pratipattO= eva uyujyate, tat 
   parārthānumāna eva vaktavyamiti || 44 ||	para arTa anumAnaH eva vaktavyam iti || 44 ||
   nanu ca kāryānupalabdhyādiṣu kāraṇādīnāmadṛśyānāmeva niṣedhaḥ,	nanu ca kArya anupalabDi Adizu kAraNa AdInAm adRSyAnAm eva nizeDaH,
   dṛśyaniṣedhe svabhāvānupalabdhiprayogaprasaṅgāt tathā ca sati na teṣāṃ	dRSya nizeDe svaBAva anupalabDi prayoga prasaFgAt taTA ca sati na tezAm
   dṛśyānupalabdheniṣedhaḥ, tat kathameṣāṃ prayogāṇāṃ	dRSya anupalabDenizeDaH, tat kaTam ezAm prayogANAm
   dṛśyānupalabdhāvantarbhāvaḥ? ityāha sarvatra cetyādi | abhavaśca	dRSya anupalabDO= antarBAvaH? iti Aha sarvatra ca ityAdi | aBavaH ca
   tadvayavahāraśca abhāvavyavahārau | svabhāvānupalabdhāvabhāvavyavahāraḥ	tad vayava hAraH ca aBAva vyavahArO | svaBAva anupalabDa avaBAva vyavahAraH
   sādhyaḥ | śiṣṭeṣvabhāvaḥ | tayoḥ sādhanyāmanupalabdhau | sarvatra ceti |	sADyaH | Sizwezu aBAvaH | tayoH sADanyAm anupalabDO | sarvatra ca iti |
   ca śabdo hiśabdasyārthe | yasmāt sarvatrānupalabdhau yeṣāṃ pratiṣedha	ca SabdaH hi Sabdasya arTe | yasmAt sarvatra anupalabDO yezAm pratizeDa
   uktasteṣāmupalabdhilakṣaṇaprāptānāṃ dṛśyānāmeva pratiṣedhaḥ | tasmād	uktaH tezAm upalabDi lakzaNa prAptAnAm dRSyAnAm eva pratizeDaH | tasmAt 
   dṛśyānupalabdhāvantarbhavaḥ |	dRSya anupalabDO= antarBavaH |
   kuta etad dṛśyānāmeva? ityāha  svabhāvetyādi | atrāpi cakāro hetvarthaḥ |	kutas etat dRSyAnAm eva? iti Aha svaBAva ityAdi | atra api cakAraH hetu arTaH |
   yasmāt svabhāvaviruddha ādiryaṣāṃ tesāmupalabdhyā, kāraṇamādiryeṣāṃ	yasmAt svaBAva virudDaH AdiH yazAm tesAm upalabDyA, kAraNam AdiH yezAm
   teṣāmanupalabdhyā pratiṣedha uktaḥ, tasmād dṛśyānāmeva pratiṣedha	tezAm anupalabDyA pratizeDaH uktaH, tasmAt dRSyAnAm eva pratizeDa
   ityarthaḥ |	iti arTaH |
   yadi nāma svabhāvaviruddhādyupalabdhyā kāraṇādyanupalabdhyā ca pratiṣedha	yadi nAma svaBAva virudDa Adi upalabDyA kAraNa Adi anupalabDyA ca pratizeDa
   uktaḥ, tathāpi kathaṃ dṛśyānāmeva pratiṣedhaḥ? ityāha  upalabdhirityādi |	uktaH, taTA api kaTam dRSyAnAm eva pratizeDaH? iti Aha upalabDiH ityAdi |
   atrāpi cakāro hetvarthaḥ | yasmād ye virodhinaḥ vyāpya  vyāpakabhūtāḥ	atra api cakAraH hetu arTaH | yasmAt ye viroDinaH vyApya vyApaka BUtAH
   kāryakāraṇabhūtāśca jñātāḥ, teṣāmavaśyamevopalabdhiḥ, upalabdhipūrvā	kArya kAraNa BUtAH ca jQAtAH, tezAm avaSyam eva upalabDiH, upalabDi pUrvA
   cānupalabdhi 	ca anupalabDi 
   46 anyeṣāṃ virodha kārya kāraṇabhāvābhāvāsiddheḥ ||	46 anyezAm viroDa kArya kAraNa BAva aBAva asidDeH ||
   lakṣaṇaprāptasyānupalabdhiḥ syāt, tadā kāryādeḥ pratiṣedhasiddhiḥ	lakzaNa prAptasya anupalabDiH syAt, tadA kArya AdeH pratizeDa sidDiH
   sambhavati, nānyatra || 45 ||	samBavati, na anyatra || 45 ||
   svabhāvaviruddhādirapi yadi upalabdhilakṣaṇaprāpta eva syāt, tadā	svaBAva virudDa AdiH api yadi upalabDi lakzaNa prAptaH eva syAt, tadA
   viparītapratiṣedhe samarthaḥ, nānyathā | kathamiti cet? tatrāha 	viparIta pratizeDe samarTaH, na anyaTA | kaTam iti cet? tatra Aha 
   anyeṣāmiti |	anyezAm iti |
   virodhaśca kāryakāraṇabhāvaśca abhāvaśca virodhakāryakāraṇabhāvābhāvāḥ,	viroDaH ca kArya kAraNa BAvaH ca aBAvaH ca viroDa kArya kAraNa BAva aBAvAH,
   teṣāmamasiddhirityuktam | tadevaṃ ye nopalabdhilakṣaṇaprāptāsteṣāṃ	tezAmam asidDiH iti uktam | tat evam ye na upalabDi lakzaNa prAptAH tezAm
   virodhī'siddhaḥ, virodhābhāvo 'pyasiddhaḥ, kāryakāraṇabhāvo 'siddhaḥ,	viroDI asidDaH, viroDa aBAvaH api asidDaH, kArya kAraNa BAvaH asidDaH,
   kāryakāraṇabhāvābhāvo 'pyasiddhaḥ  ityetat pradarśitaṃ bhavati |	kArya kAraNa BAva aBAvaH api asidDaH iti etat pradarSitam Bavati |
   veditavyā= jñātavyā | upalabdhyanupalabdhī ca dveyeṣāṃ staḥ, te dṛśyā eva	veditavyA jQAtavyA | upalabDi anupalabDI ca dveyezAm staH, te dRSyAH eva
   | tasmāt svabhāpraviruddhādyu palabdhyā kāraṇādyanupalabdhyā	| tasmAt svaBA pravirudDa Adyu palabDyA kAraNa Adi anupalabDyA
   copalabdhyanupalabdhimatāṃ viruddhādīnāṃ pratiṣedhaḥ kriyamāṇo dṛśyānāmeva	ca upalabDi anupalabDimatAm virudDa AdInAm pratizeDaH kriyamANaH dRSyAnAm eva
   kṛto draṣṭavyaḥ |	kRtaH drazwavyaH |
   bahuṣu codyeṣu prakrānteṣu parihārasamuccayārthaścakāro hetvartho bhavati	bahuzu codyezu prakrAntezu parihAra samuccaya arTaH cakAraH hetu arTaH Bavati
   | yasmādidaṃ cedaṃ ca samādhānamasti, tasmād tattaccodyamayuktamiti	| yasmAt idam ca idam ca samADAnam asti, tasmAt tat tat codyama yuktam iti
   cakārārthaḥ || 45 ||	cakAra arTaH || 45 ||
   kasmāt punaḥ pratiṣedhyānāṃ viruddhādīnāmupalabdhyanupalabdhī veditavye?	kasmAt punar pratizeDyAnAm virudDa AdInAm upalabDi anupalabDI veditavye?
   ityāha  anyeṣāmiti | upalabdhyanupalabdhimadbhayo 'nye 'nupalabdhā eva ye	iti Aha anyezAm iti | upalabDi anupalabDimat BayaH anye anupalabDAH eva ye
   teṣāṃ virodhaśca kāryakāraṇabhāvaśca kenacit saha abhāvaśca vyāpyasya	tezAm viroDaH ca kArya kAraNa BAvaH ca kenacid saha aBAvaH ca vyApyasya
   vyāpakasyābhāve na sidhyati, yasmāt tato	vyApakasya aBAve na siDyati, yasmAt tatas 
   virodhakāryakāraṇabhāvābhāvāsiddhe kāraṇād upalabdhyanupalabdhimanta eva	viroDa kArya kAraNa BAva aBAva asidDe kAraNAt upalabDi anupalabDimantaH eva
   viruddhādayo niṣedhyāḥ | ubhayavatnaśca dṛśyā eva | tasmād dṛśyānāmeva	virudDa AdayaH nizeDyAH | uBayavatnaH ca dRSyAH eva | tasmAt dRSyAnAm eva
   pratiṣedhaḥ |	pratizeDaH |
   tadayamarthaḥ  virodhaśca kāryakāraṇabhāvaśca vyāpakābhāve vyāpyābhāvaśca	tat ayam arTaH viroDaH ca kArya kAraNa BAvaH ca vyApaka aBAve vyApya aBAvaH ca
   dṛśyānupalabdhereveti | ekasannidhāvaparābhāvapratīto jñāto virodhaḥ |	dRSya anupalabDeH eva iti | eka sanniDO= apara aBAva pratItaH jQAtaH viroDaH |
   kāraṇābhimatābhāve ca kāryābhimatābhāvapratyaye 'vasitaḥ kāryakāraṇabhāvaḥ	kAraNa aBimata aBAve ca kArya aBimata aBAva pratyaye avasitaH kArya kAraNa BAvaH
   | vyāpakābhimatābhāve ca vyāpyābhimatābhāve niścite niścito	| vyApaka aBimata aBAve ca vyApya aBimata aBAve niScite niScitaH 
   vyāpyavyāpakabhāvaḥ | tatra vyāpyavyāpakabhāvapratītenimittamabhāvaḥ	vyApya vyApaka BAvaH | tatra vyApya vyApaka BAva pratIte nimittam aBAvaH
   pratipattavyaḥ | iha gṛhīte vṛkṣābhāve hi śiśapātvābhāvapratītau pratīto	pratipattavyaH | iha gRhIte vRkza aBAve hi SiSapAtvA aBAva pratItO pratItaH 
   vyāpyavyāpakabhāvaḥ | abhāvapratipattiśca sarvatra dṛśyānupalabdhereva |	vyApya vyApaka BAvaH | aBAva pratipattiH ca sarvatra dRSya anupalabDeH eva |
   tasmādvirodham, kāryakāraṇabhāvam, vyāpyavyāpakabhāvaṃ ca smaratā virodha	tasmAt viroDam, kArya kAraNa BAvam, vyApya vyApaka BAvam ca smaratA viroDa
   kāryakāarṇabhāva vyāpyavyāpakabhāvaviṣayābhāvapratipattinibandhanaṃ	kArya kAarNa BAva vyApya vyApaka BAva vizaya aBAva pratipatti nibanDanam
   dṛśyānupalabdhiḥ smartavyā | dṛśyānupalabdhyasmaraṇe virodhādīnā	dRSya anupalabDiH smartavyA | dRSya anupalabDi asmaraNe viroDa AdInA
   47 viprakṛṣṭaviṣayā punaranupalabdhiḥ pratyakṣānumānanivṛttilakṣaṇā	47 viprakRzwa vizayA punar anupalabDiH pratyakza anumAna nivRtti lakzaNA
   saṃśayahetuḥ ||	saMSaya hetuH ||
   tathāhi  upalabdhilakṣaṇaprāptasya niyatānuṣaṅgīṇo ye dṛṣṭāstatsannidhāne	taTA hi upalabDi lakzaNa prAptasya niyata anuzaFgINaH ye dRzwAH tad sanniDAne
   kasyacit tirobhāve tena saha virodhasya pratyāyanaṃ śakyam | yacca	kasyacid tiroBAve tena saha viroDasya pratyAyanam Sakyam | yat ca
   sannihitaṃ tadapi tathaiva viruddham | tadupalabdhau tu virodhābhava iti	sannihitam tat api taTA eva virudDam | tad upalabDO tu viroDa aBavaH iti
   niścīyate |	niScIyate |
   evamupalabdhilakṣaṇaprāptasya yasya sattve	evam upalabDi lakzaNa prAptasya yasya sattve
   upalabdhilakṣaṇaprāptamadṛṣṭapūrva yadupalabhyate, tadabhāve nopalabhyate	upalabDi lakzaNa prAptam adRzwa pUrva yat upalaByate, tad aBAve na upalaByate
   | tattasmādutpadayate iti taddvayoḥ kāryakāraṇabhāvo niścīyate | yadabhāve	| tat tasmAt utpadayate iti tad dvayoH kArya kAraNa BAvaH niScIyate | yad aBAve
   'pi yadupalabdhiḥ, taddvayoḥ kāryakāraṇabhāvābhāvo niścīyate | evamapi	api yat upalabDiH, tad dvayoH kArya kAraNa BAva aBAvaH niScIyate | evam api
