   Cīvaravastu	SIva-ravaH-tu
   dharmyayā kathayā saṃdarśya samādāpya samuttejya saṃpraharṣyotthāyāsanāt	DarmyayA kaTayA saMdarSya samAdApya samuttejya saMpraharzya-utTAya-AsanAt
   prakrāntaḥ /	prakrAntaH /
   atha bhagavān yathābhiramya śrāvastyāṃ viharati / yena vaiśālī tena	aTa BagavAn yaTA-aBiramya SrAvastyAm viharati / yena vESAlI tena
   cārikāṃ prakrāntaḥ / anupūrveṇa cārikāṃ caran vaiśālīm anuprāptaḥ /	cArikAm prakrAntaH / anupUrveNa cArikAm caran vESAlIm anuprAptaH /
   vaiśālyāṃ viharati markaṭahradatīre kūṭāgāraśālāyām* / atha bhagavān	vESAlyAm viharati markawa-hrada-tIre kUwAgAra-SAlAyAm* / aTa BagavAn
   pūrvāhṇe nivāsya pātracīvaram ādāya vaiśālīṃ piṇḍāya prāvikṣat* (MSV II	pUrvAhNe nivAsya pAtra-cIvaram AdAya vESAlIm piNxAya prAvikzat* (MSV II
   88) tena khalu samayena saṃbahulā bhikṣava ārāmadvāre aśucimrakṣitāni	88) tena Kalu samayena saMbahulAH BikzavaH ArAma-dvAre aSucimrakzitAni
   śayanāsanāni śocayanty ātāpayanti praviṣajanti / adrākṣīd bhagavān	Sayana-AsanAni Socayanti AtApayanti pravizajanti / adrAkzIt BagavAn
   saṃbahulān bhikṣūn ārāmadvāre aśucimrakṣitāni śayanāsanāni śocayata	saMbahulAn BikzUn ArAma-dvAre aSucimrakzitAni Sayana-AsanAni Socayata
   ātapayataḥ praviṣajataḥ / dṛṣṭvā ca punar asyaitad abhavat* / yad api	AtapayataH praviza-jataH / dRzwvA ca punar asya-etat aBavat* / yat api
   śrāddhā brāhmaṇagṛhapatayaḥ prapīḍya prapīḍya tvaṅmāṃsaśoṇitaṃ dānāni	SrAdDAH brAhmaNa-gRhapatayaH prapIxya prapIxya tvac-mAMsa-SoNitam dAnAni
   dadati puṇyāni kurvanti tad api bhikṣavo mātrayā pratisaṃkhyāya	dadati puNyAni kurvanti tat api BikzavaH mAtrayA pratisaMKyAya
   paribhuṃjanta iti viditvā vaiśālīṃ piṇḍāya caritvā kṛtabhaktakṛtyaḥ	pariBuMjante iti viditvA vESAlIm piNxAya caritvA kRta-Bakta-kRtyaH
   paścādbhaktapiṇḍapātapratikrāntaḥ pātracīvaraṃ pratiśāmayya pādau	paScAt-Bakta-piNxa-pAta-pratikrAntaH pAtra-cIvaram pratiSAmayya pAdO
   prakṣālya vihāraṃ prāvikṣat pratisaṃlayanāya / atha bhagavān sāyāhne	prakzAlya vihAram prAvikzat pratisaMlayanAya / aTa BagavAn sAyAhne
   pratisaṃlayanād vyutthāya purastād bhikṣusaṃghasya prajñapta evāsane	pratisaMlayanAt vyutTAya purastAt Bikzu-saMGasya prajQapte eva-Asane
   niṣaṇṇaḥ / (260r1 = GBM 6.832) niṣadya bhagavān bhikṣūn āmantrayate sma /	nizaNNaH / (260r1  GBm 6.832) nizadya BagavAn BikzUn Amantrayate sma /
   ihāhaṃ bhikṣavaḥ pūrvāhṇe nivāsya pātracīvaram ādāya vaiśālīṃ piṇḍāya	iha-aham BikzavaH pUrvAhNe nivAsya pAtra-cIvaram AdAya vESAlIm piNxAya
   prāvikṣam* / adrākṣam ahaṃ bhikṣavaḥ saṃbahulān bhikṣūn ārāmadvāre	prAvikzam* / adrAkzam aham BikzavaH saMbahulAn BikzUn ArAma-dvAre
   aśucimrakṣitāni śayanāsanāni śocayata ātapayataḥ praviṣajataḥ / dṛṣṭvā ca	aSucimrakzitAni Sayana-AsanAni Socayate Atapayatas praviza-jataH / dRzwvA ca
   punar me etad abhavat* / yad api śrāddhā brāhmaṇagṛhapatayaḥ prapīḍya	punar me etat aBavat* / yat api SrAdDAH brAhmaNa-gRhapatayaH prapIxya
   prapīḍya tvaṅmāṃsaśoṇitaṃ dānāni dadati puṇyāni kurvanti tad api bhikṣavo	prapIxya tvac-mAMsa-SoNitam dAnAni dadati puNyAni kurvanti tat api BikzavaH-
   mātrayā pratisaṃkhyāya paribhuṃjante / sādhu bhikṣavaḥ śraddhādeyasya	mAtrayA pratisaMKyAya pariBuMjante / sADu BikzavaH SradDA-deyasya
   mātrāparibhojitāyāḥ kālaparibhojitāyā vīciparibhojitāyāḥ	mAtrA-pariBojitAyAH kAla-pariBojitAyAH vIci-pariBojitAyAH
   saṃkhyāparibhojitāyā mitaparibhojitāyāḥ / (MSV II 89) atha bhagavāñ	saMKyA-pariBojitAyAH mita-pariBojitAyAH / (MSV II 89) aTa BagavAn-
   chraddhādeyasya mātrādiparibhojitānāṃ varṇaṃ bhāṣitvā bhikṣūn amantrayate	CradDA-deyasya mAtrA-Adi-pariBojitAnAm varNam BAzitvA BikzUn amantrayate
   sma / tasmāt tarhi bhikṣavo na vinā pratyāstaraṇena sāṃghikaṃ śayanāsanaṃ	sma / tasmAt tarhi BikzavaH na vinA pratyAstaraNena sAMGikam Sayana-Asanam
   paribhoktavyam aśucimrakṣitaṃ śayanāsanaṃ ca / tatkṣaṇād eva śocayitavyam	pariBoktavyam aSucimrakzitam Sayana-Asanam ca / tad-kzaNAt eva Socayitavyam
   anyathā sātisāraḥ /	anyaTA sa-atisAraH /
   atha bhagavān pūrvāhṇe nivāsya pātracīvaram ādāya vaiśālīṃ piṇḍāya	aTa BagavAn pUrvAhNe nivAsya pAtra-cIvaram AdAya vESAlIm piNxAya
   prāvikṣad āyuṣmatānandena paścācchramaṇena / adrākṣīd bhagavān anyataraṃ	prAvikzat AyuzmatA-Anandena paScAcCramaNena / adrAkzIt BagavAn anyataram
   puruṣaṃ kālakapṛṣṭham* / dūrād eva dṛṣṭvā ca punar āyuṣmantam ānandam	puruzam kAlaka-pRzWam* / dUrAt eva dRzwvA ca punar Ayuzmantam Anandam
   āmantrayate / paśyasi tvam ānanda etaṃ puruṣaṃ kālakapṛṣṭham* / evaṃ	Amantrayate / paSyasi tvam Ananda etam puruzam kAlaka-pRzWam* / evam
   bhadanta / eṣa ānanda puruṣaḥ kāśyapasya samyaksaṃbuddhasya pravacane	Badanta / ezaH Ananda puruzaH kASyapasya samyaksaMbudDasya pravacane
   pravrajita āsīt* / tatrānena sāṃghikaṃ śayanāsanaṃ kalpapratyāstaraṇena	pravrajitaH AsIt* / tatra-anena sAMGikam Sayana-Asanam kalpa-pratyAsta-raNena
   malapratyāstaraṇena paṭṭikāṃ surucikāṃ loḍhakaṃ kṛtvā paribhuktam* / tasya	mala-pratyAstaraNena pawwikAm surucikAm loXakam kRtvA pariBuktam* / tasya
   karmaṇo vipākena paṃca janmaśatāni kālakaprṣṭho jātaḥ / yāvad etarhy api	karmaNaH vipAkena paMca janma-SatAni kAlaka-przWaH jAtaH / yAvat etarhi api
   kālakapṛṣṭho jāta iti / viditvā vaiśālīṃ piṇḍāya caritvā pūrvavad yāvat	kAlaka-pRzWaH jAtaH iti / viditvA vESAlIm piNxAya caritvA pUrvavat yAvat-
   pratisaṃlayanād vyūtthāya purastād bhikṣusaṃghasya prajñapta evāsane	pratisaMlayanAt vyUtTAya purastAt Bikzu-saMGasya prajQapte eva-Asane
   niṣaṇṇaḥ / niṣadya bhagavān bhikṣūn āmantrayate sma / adyāhaṃ bhikṣavaḥ	nizaNNaH / nizadya BagavAn BikzUn Amantrayate sma / adya-aham BikzavaH
   pūrvāhṇe nivāsya pātracīvaram ādāya vaiśālīṃ piṇḍāya (MSV II 90) praviṣṭaḥ	pUrvAhNe nivAsya pAtra-cIvaram AdAya vESAlIm piNxAya (MSV II 90) pravizwaH
   / tatrāham adrākṣaṃ puruṣaṃ kālakapṛṣṭham* / sa kāśyapasya	/ tatra-aham adrAkzam puruzam kAlaka-pRzWam* / sa kASyapasya
   samyaksaṃbuddhasya pravacane bhikṣur āsīt* / tatrānena sāṃghikaṃ	samyaksaMbudDasya pravacane BikzuH AsIt* / tatra-anena sAMGikam
   śayanāsanaṃ kalpapratyāstaraṇena pūrvavad yāvat paṃca janmaśatāni	Sayana-Asanam kalpa-pratyAsta-raNena pUrvavat yAvat paMca janma-SatAni
   kālakapṛṣṭho jātaḥ / tasmāt tarhi bhikṣavo 'dyāgreṇa na bhikṣuṇā	kAlaka-pRzWaH jAtaH / tasmAt tarhi BikzavaH adya-agreNa na BikzuNA
   kalpapratyāstaraṇena sāṃghikaṃ śayanāsanaṃ paribhoktavyam* / paribhuṃkte /	kalpa-pratyAsta-raNena sAMGikam Sayana-Asanam pariBoktavyam* / pariBuMkte /
   sātisāraḥ / api tu dvābhyāṃ pratyāstaraṇābhyāṃ paribhoktavyaṃ ghanena vā	sa-atisAraH / api tu dvAByAm pratyAstaraNAByAm pariBoktavyam Ganena vA
   ekapuṭena / pailottikena vā dvipuṭena /	eka-puwena / pElottikena vA dvi-puwena /
   bhikṣavaś citropacitrāṇi pratyāstaraṇāni dhārayanti dīrghadaśāni /	BikzavaH citra-upacitrANi pratyAstaraNAni DArayanti dIrGa-daSAni /
   brāhmaṇagṛhapatayo 'vadhyāyanti kṣipanti vivācayanti / bhagavān āha /	brAhmaNa-gRhapatayaH avaDyAyanti kzipanti vivAcayanti / BagavAn Aha /
   nīlaṃ kardamaṃ kaṣāyaṃ vā pratyāstaraṇaṃ śastralūnaṃ kṛtvā dhārayitavyam*	nIlam kardamam kazAyam vA pratyAstaraNam Sastra-lUnam kRtvA DArayitavyam*
   / anyathā sātisāraḥ /	/ anyaTA sa-atisAraH /
   bhikṣavaḥ kuṇḍūrogeṇa (260v1 = GBM 6.833) bādhyante / tasya cīvarakāṇi	BikzavaH kuNxU-rogeNa (260v1  GBm 6.833) bADyante / tasya cIvarakANi
   pūyaśoṇitopaliptāni durgandhitāni makṣikākīrṇāni / sa piṇḍapātaṃ praviṣṭaḥ	pUya-SoNita-upaliptAni durganDitAni makzikA-AkIrNAni / sa piNxa-pAtam pravizwaH
   / taṃ dṛṣṭvā brāhmaṇagṛhapatayo 'vadhyāyanti kṣipanti vivācayanti / etat	/ tam dRzwvA brAhmaNa-gRhapatayaH avaDyAyanti kzipanti vivAcayanti / etat-
   prakaraṇaṃ bhikṣavo bhagavata ārocayanti / bhagavān āha / tasmād anujānāmi	prakaraNam BikzavaH BagavataH Arocayanti / BagavAn Aha / tasmAt anujAnAmi
   kaṇḍūpracchādanaṃ dhārayitavyam* / paṃcabhiḥ ṣaḍbhir vā divasaiḥ	kaNxU-pracCAdanam DArayitavyam* / paMcaBiH zaxBiH vA divasEH
   śocayitavyam* / anyathā sātisāraḥ /	Socayitavyam* / anyaTA sa-atisAraH /
   bhikṣavaḥ kuṣṭharogeṇa bādhyante / te sāṃghikāni śayanāsanāni paribhuṃjate	BikzavaH kuzWa-rogeNa bADyante / te sAMGikAni Sayana-AsanAni pariBuMjate
   / prāsādeṣu puṣkariṇyāṃ dvārakoṣṭhake pariṣaṇḍāyāṃ caṃkrameṣu	/ prAsAdezu puzkariNyAm dvAra-kozWake parizaNxAyAm caMkramezu
   saṃsthānavṛkṣeṣu tiṣṭhanti / durgandhān makṣikābhir ākīrṇān* / (MSV II 91)	saMsTAna-vRkzezu tizWanti / durganDAn makzikABiH AkIrNAn* / (MSV II 91)
   tān dṛṣṭvā brāhmaṇagṛhapatayo 'vadhyāyanti kṣipanti vivācayanti / etat	tAn dRzwvA brAhmaNa-gRhapatayaH avaDyAyanti kzipanti vivAcayanti / etat-
   prakaraṇaṃ bhikṣavo bhagavata ārocayanti / bhagavān āha /	prakaraNam BikzavaH BagavataH Arocayanti / BagavAn Aha /
   kuṣṭharogābhibhūtasyāhaṃ bhikṣavo bhikṣor āsamudācārikān dharmān	kuzWa-roga-aBiBUtasya-aham BikzavaH BikzoH AsamudAcArikAn DarmAn
   prajñāpayiṣyāmi / kuṣṭharogābhibhūtena bhikṣuṇā sāṃghikam śayanāsanaṃ	prajQApayizyAmi / kuzWa-roga-aBiBUtena BikzuNA sAMGikam Sayana-Asanam
   layanaṃ ca na paribhoktavyam* / prāsādādiṣu yathāparikīrtiteṣu sthāneṣu	layanam ca na pariBoktavyam* / prAsAda-Adizu yaTA-parikIrtitezu sTAnezu
   sthātavyam* / sāmghikī prasrāvakuṭī varcaḥkuṭī ca na praveṣṭavyā /	sTAtavyam* / sAmGikI prasrAvakuwI varcaHkuwI ca na pravezwavyAH /
   pratigupte sthāne saṃghena tasya vāso deyaḥ / upasthānaṃ ca kartavyam* /	pratigupte sTAne saMGena tasya vAsaH deyaH / upasTAnam ca kartavyam* /
   kuṣṭharogābhibhūto bhikṣur yathāprajñaptān āsamudācārikān dharmān na	kuzWa-roga-aBiBUtaH BikzuH yaTA-prajQaptAn AsamudAcArikAn DarmAn na
   samādāya vartate saṃgho vā sātisāro bhavati /	samAdAya vartate saMGaH vA sa-atisAraH Bavati /
   āyuṣmān upālī buddhaṃ bhagavantaṃ pṛcchati / labhyaṃ bhadanta	AyuzmAn upAlI budDam Bagavantam pRcCati / laByam Badanta
   sugatacīvaram atirekacīvarakalpena dhārayitum* / na labhyam upālin* /	sugata-cIvaram atireka-cIvara-kalpena DArayitum* / na laByam upAlin* /
   labhyaṃ bhadanta kauśeyaṃ cīvaraṃ tricīvarādhiṣṭhānena	laByam Badanta kOSeyam cIvaram tricIvara-aDizWAnena
   atirekacīvarādhiṣṭhānena dhārayitum* / labhyam upālin yatheṣṭhataḥ / evaṃ	atireka-cIvara-aDizWAnena DArayitum* / laByam upAlin yaTezWataH / evam
   pūrṇakaṃ śāṇakaṃ labhyam /	pUrNakam SANakam laByam /
   uddānam* /	uddAnam* /
   bhāṅgeyaṃ keśacīvaraṃ nāgnyaṃ keśalucanaṃ parṇaśāṭīm* /	BAFgeyam keSa-cIvaram na-agnyam keSa-lucanam parNa-SAwIm* /
   ajinaṃ sāntarottaraṃ tirīṭim aṅganīlakam* /	ajinam sa-antara-uttaram tirIwim aFga-nIlakam* /
   śrāvastyāṃ nidānam* / athānyatamo bhikṣur yena bhagavāṃs tenopasaṃkrāntaḥ	SrAvastyAm nidAnam* / aTa-anyatamaH BikzuH yena BagavAn tena-upasaMkrAntaH
   / upasaṃkramya bhagavataḥ pādau śirasā vanditvaikānte (MSV II 92) asthāt*	/ upasaMkramya BagavataH pAdO SirasA vanditvA-ekAnte (MSV II 92) asTAt*
   / ekāntasthitaḥ sa bhikṣur bhagavantam idam avocat* / icchāmy ahaṃ	/ ekAnta-sTitaH sa BikzuH Bagavantam idam avocat* / icCAmi aham
   bhadanta bhāṅgeyaṃ cīvaraṃ dhārayitum* / bhagavān āha / tīrthikadhvaja eṣa	Badanta BAFgeyam cIvaram DArayitum* / BagavAn Aha / tIrTikaDvajaH eza
   mohapuruṣaḥ yaduta bhāṅgeyaṃ cīvaram* / tasmān na bhikṣuṇā bhāṅgeyaṃ	moha-puruzaH yat-uta BAFgeyam cIvaram* / tasmAt na BikzuNA BAFgeyam
   cīvaraṃ dhārayitavyam* / dhārayati sātisāro bhavati /	cIvaram DArayitavyam* / DArayati sa-atisAraH Bavati /
   aparo bhikṣur gatvā bhagavantam idam avocat* / icchāmy ahaṃ bhadanta	aparaH BikzuH gatvA Bagavantam idam avocat* / icCAmi aham Badanta
   keśacīvaraṃ dhārayitum* / bhagavān āha / tīrthikadhvaja eṣa mohapuruṣaḥ /	keSa-cIvaram DArayitum* / BagavAn Aha / tIrTika-DvajaH eza moha-puruzaH /
   pūrvavad yāvat sātisāro bhavati /	pUrvavat yAvat sa-atisAraH Bavati /
   aparo bhikṣur bhagavantam idam avocat* / icchāmy ahaṃ bhadanta nāgnyaṃ	aparaH BikzuH Bagavantam idam avocat* / icCAmi aham Badanta na-agnyam
   samādātum* / bhagavān āha / tīrthikadhvaja eṣa mohapuruṣaḥ yaduta nāgnyam*	samAdAtum* / BagavAn Aha / tIrTika-DvajaH eza moha-puruzaH yat-uta na-agnyam*
   / api tu tricīvaraṃ mayānujñātaṃ kimarthaṃ nāgnyaṃ samādadāsi / tasmān na	/ api tu tri-cIvaram mayA-anujQAtam kim-arTam na-agnyam samAdadAsi / tasmAt na
   bhikṣuṇā nāgnyaṃ samādātavyam* / samādadāti / āpadyate sthūlātyayaḥ / atha	BikzuNA na-agnyam samAdAtavyam* / samAdadAti / Apadyate sTUla-atyayaH / aTa
   sa (261r1 = GBM 6.834) bhikṣur nāgnyam alabhamānaḥ śikṣāṃ pratyākhyāya	sa (261r1  GBm 6.834) BikzuH na-agnyam alaBamAnaH SikzAm pratyAKyAya
   hānāyāvṛttaḥ / bhikṣavaḥ saṃśayajātāḥ sarvasaṃśayacchettāraṃ buddhaṃ	hAnAya-avRttaH / BikzavaH saMSaya-jAtAH sarva-saMSaya=-CettAram budDam
   bhagavantaṃ papracchuḥ / paśya bhadantāsau bhikṣur nāgnyam alabhamānaḥ	Bagavantam papracCuH / paSya Badanta-asO BikzuH na-agnyam alaBamAnaH
   śikṣāṃ pratyākhyāya hānāyāvṛttam* / bhagavān āha / na bhikṣava etarhi	SikzAm pratyAKyAya hAnAya-avRttam* / BagavAn Aha / na BikzavaH etarhi
   yathā atīte 'py adhvani ahrīkyadoṣād dārikāṃ na labdhavāṃs tac chrūyatām*	yaTA atIte api aDvani ahrIkya-dozAt dArikAm na labDavAn tat SrUyatAm*
   bhūtapūrvaṃ bhikṣavo dhṛtarāṣṭro nāma haṃsarājo babhūva / tasya duhitā	BUta-pUrvam BikzavaH DRtarAzwraH nAma haMsarAjaH baBUva / tasya duhitA
   svayaṃvarāvatīrṇā / śrutvā nānādigdeśanivāsinaḥ pakṣiṇaḥ sannipatitāḥ /	svayaMvara-avatIrNAH / SrutvA nAnA-diS-deSa-nivAsinaH pakziNaH sannipatitAH /
   ekaikaḥ saṃlakṣayati māṃ varayiṣyatīti / tayā (MSV II 93) dārikayā mayūro	ekEkaH saMlakzayati mAm varayizyati-iti / tayA (MSV II 93) dArikayA mayUraH-
   dṛṣṭaḥ / sā kathayati / eṣa mama bharteti / tasyāparaiḥ samākhyātam* /	dRzwaH / sA kaTayati / eza mama BartA-iti / tasya-aparEH samAKyAtam* /
   tvam anayā vṛta iti / sa kalāpaṃ pūrvīkṛtya nartitum ārabdhaḥ / sa	tvam anayA vRtaH iti / sa kalApam pUrvIkRtya nartitum ArabDaH / sa
   dhṛtarāṣṭreṇa dṛṣṭaḥ / kathayati / kimartham ayam nṛtyatīti / aparaiḥ	DRtarAzwreNa dRzwaH / kaTayati / kimarTam ayam nRtyati-iti / aparEH
   samākhyātam* / tava duhitā vṛtā iti / sa kathayati / hrīvyapatrāpyaviyukto	samAKyAtam* / tava duhitA vRtAH iti / sa kaTayati / hrI-vya-patra-api-aviyuktaH-
   'yaṃ nāham asmai duhitaraṃ dadāmīti / sa śrutvā mayūro dhṛtarāṣṭrasakāśaṃ	ayam na-aham asmE duhitaram dadAmi-iti / sa SrutvA mayUraH DRtarAzwra-sakASam
   gatvā gāthāṃ bhāṣate /	gatvA gATAm BAzate /
   svaro manojño rucitaraś ca varṇo vyāmapramāṇāni ca varhakāṇi /	svaraH manojQaH rucitaraH ca varNaH vyAma-pramANAni ca varhakANi /
   grīvā ca vaidūryamaṇeḥ samānā dadāsi kasmān na bhavān sutāṃ me //	grIvA ca vEdUrya-maNeH samAnAH dadAsi kasmAt na BavAn sutAm me //
   dhṛtarāṣṭraḥ prāha /	DRtarAzwraH prAha /
   svaro manojño rucitaraś ca varṇo vyāmapramāṇāni ca varhakāṇi /	svaraH manojQaH rucitaraH ca varNaH vyAma-pramANAni ca varhakANi /
   grīvā ca vaidūryamaṇeḥ samānāhrīkyadoṣāt tu na te dadāmi // iti //	grIvA ca vEdUrya-maNeH samAna-ahrIkya-dozAt tu na te dadAmi // iti //
   kiṃ manyadhve bhikṣavaḥ / yo 'sau mayūraḥ eṣa evāsau bhikṣus tena kālena	kim manyaDve BikzavaH / yaH asO mayUraH ezaH eva-asO BikzuH tena kAlena
   tena samayena / tadāpy eṣa ahrīkyadoṣād dārikām alabhamāno duḥkhī durmanā	tena samayena / tadA-api eza ahrIkya-dozAt dArikAm alaBamAnaH duHKI durmanA
   pakṣiṇamadhyād avakrāntaḥ / etarhy apy asau nāgnyam albhamāno duḥkhī	pakziNa-maDyAt avakrAntaH / etarhi api asO na-agnyam alBa-mAnaH duHKI
   durmanā bhikṣusaṃghamadhyāt prakrāntaḥ /	durmanAH Bikzu-saMGa-maDyAt prakrAntaH /
   aparo 'pi bhikṣur bhagavantam idam avocat* / icchāmy ahaṃ bhadanta keśān	aparaH api BikzuH Bagavantam idam avocat* / icCAmi aham Badanta keSAn
   luṃcitum* / bhagavān āha / muṇḍanaṃ mayā samanujñātam* / kasmāt tvaṃ keśān	luMcitum* / BagavAn Aha / muNxanam mayA samanujQAtam* / kasmAt tvam keSAn
   luṃcasi / tīrthikadhṛta eṣa mohapuruṣaḥ yaduta keśaluṃcanam* / tasmān na	luMcasi / tIrTika-DRtaH eza moha-puruzaH yat-uta keSa-luMcanam* / tasmAt na
   hi bhikṣuṇā keśā luṃcitavyāḥ / luṃcati / sātisāro bhavati / (MSV II 94)	hi BikzuNA keSAH luMcitavyAH / luMcati / sa-atisAraH Bavati / (MSV II 94)
   aparo 'pi bhikṣur bhagavantam idam avocat* / icchāmy ahaṃ bhadanta	aparaH api BikzuH Bagavantam idam avocat* / icCAmi aham Badanta
   parṇaśāṭikāṃ dhārayitum* / bhagavān āha / tīrthikadhṛtam etan mohapuruṣaḥ	parNa-SAwikAm DArayitum* / BagavAn Aha / tIrTika-DRtam etat moha-puruzaH
   / pūrvavad yāvat sātisāro bhavati /	/ pUrvavat yAvat sa-atisAraH Bavati /
   aparo 'pi bhikṣur bhagavantam idam avocat* / icchāmy ahaṃ bhadanta ajinaṃ	aparaH api BikzuH Bagavantam idam avocat* / icCAmi aham Badanta ajinam
   dhārayitum* / bhagavān āha / tīrthikadhvajam etan mohapuruṣaḥ / yaduta	DArayitum* / BagavAn Aha / tIrTika-Dvajam etat moha-puruzaH / yat-uta
   ajinam* / dhārayati pūrvavad yāvat sātisāro bhavati /	ajinam* / DArayati pUrvavat yAvat sa-atisAraH Bavati /
   aparo 'pi bhikṣur bhagavantam idam avocat* / icchāmy ahaṃ bhadanta	aparaH api BikzuH Bagavantam idam avocat* / icCAmi aham Badanta
   sāntarottareṇa cīvareṇa yāpayitum* / tricīvaraṃ mayā mohapuruṣa	sa-antara-uttareNa cIvareNa yApayitum* / tri-cIvaram mayA moha-puruza
   samanujñātam* / kasmāt tvaṃ sāntarottareṇa yāpayasi / tasmān na bhikṣuṇā	samanujQAtam* / kasmAt tvam sa-antara-uttareNa yApayasi / tasmAt na BikzuNA
   sāntarottareṇa cīvareṇa yāpayitavyam* / yāpayati / sātisāro bhavati /	sa-antara-uttareNa cIvareNa yApayitavyam* / yApayati / sa-atisAraH Bavati /
   aparo 'pi bhikṣur bhagavantam idam avocat* / icchāmy ahaṃ (261v1 = GBM	aparaH api BikzuH Bagavantam idam avocat* / icCAmi aham (261v1  GBm
   6.835) bhadanta tirīṭiṃ dhārayitum* / tirīṭi iti valkalaḥ / bhagavān āha /	6.835) Badanta tirIwim DArayitum* / tirIwi iti valkalaH / BagavAn Aha /
   tīrthikadhvaja eṣa pūrvavad yāvat sātisāro bhavati /	tIrTika-DvajaH eza pUrvavat yAvat sa-atisAraH Bavati /
   aparo 'pi bhikṣur bhagavantam idam avocat* / icchāmy ahaṃ bhadanta	aparaH api BikzuH Bagavantam idam avocat* / icCAmi aham Badanta
   aṃganāḍikāṃ dhārayitum* / bhagavān āha / āgārikadharmas tarhy eṣāho	aMganAxikAm DArayitum* / BagavAn Aha / AgArika-DarmaH tarhi ezA-Aho
   mohapuruṣā yadutāṃganāḍikā / pūrvavad yāvat sātisāro bhavati /	moha-puruzAH yat-uta-aMga-nAxikA / pUrvavat yAvat sa-atisAraH Bavati /
   (MSV II 95)	(MSV II 95)
   aparo 'pi bhikṣur bhagavantam idam avocat* / icchāmy ahaṃ bhadanta	aparaH api BikzuH Bagavantam idam avocat* / icCAmi aham Badanta
   sarvanīlaṃ cīvaraṃ dhārayitum* / bhagavān āha / āgārikā hy enaṃ dhārayanti	sarva-nIlam cIvaram DArayitum* / BagavAn Aha / AgArikAH hi enam DArayanti
   / tasmān na bhikṣuṇā sarvanīlaṃ cīvaraṃ dhārayitavyam* / pūrvavad yāvat	/ tasmAt na BikzuNA sarva-nIlam cIvaram DArayitavyam* / pUrvavat yAvat-
   sātisāro bhavati / evaṃ sarvapītaṃ sarvalohitam avadātaṃ na kalpayaty eva	sa-atisAraH Bavati / evam sarva-pItam sarva-lohitam avadAtam na kalpayati eva
   uddānam* /	uddAnam* /
   dīrghadaśaṃ channadaśaṃ {MS phaṇadaśaṃ} kambukoṣṇīṣaveṣṭanam* /	dIrGa-daSam Canna-daSam {n PaNa-daSan} kambuka-uzNIza-vezwa-nam* /
   kutapam uṣṭrakambalaṃ plīhakānandaḥ sāntarottaram* //	kutapam uzwra-kambalam plIhaka-AnandaH sa-antara-uttaram* //
   aparo 'pi bhikṣur bhagavantam idam avocat* / icchāmy ahaṃ bhadanta	aparaH api BikzuH Bagavantam idam avocat* / icCAmi aham Badanta
   dīrghadaśaṃ cīvaraṃ dhārayitum* / bhagavān āha / tīrthikadhvajaḥ pūrvavad	dIrGa-daSam cIvaram DArayitum* / BagavAn Aha / tIrTika-DvajaH pUrvavat-
   yāvat sātisāro bhavati /	yAvat sa-atisAraH Bavati /
   aparo 'pi bhikṣur bhagavantam idam avocat* / icchāmy ahaṃ bhadanta	aparaH api BikzuH Bagavantam idam avocat* / icCAmi aham Badanta
   channadaśaṃ {MS phaṇadaśaṃ} cīvaraṃ dhārayitum* / bhagavān āha /	Canna-daSam {n PaNa-daSan} cIvaram DArayitum* / BagavAn Aha /
   tīrthikadhvaja eṣa mohapuruṣa pūrvavad yāvat sātisāro bhavati /	tIrTika-DvajaH eza moha-puruza pUrvavat yAvat sa-atisAraH Bavati /
   aparo 'pi bhikṣur bhagavantam idam avocat* / icchāmy ahaṃ bhadanta	aparaH api BikzuH Bagavantam idam avocat* / icCAmi aham Badanta
   kambukaṃ dhārayitum* / bhagavān āha / āgārikadhvaja eṣa mohapuruṣa	kambukam DArayitum* / BagavAn Aha / AgArika-DvajaH eza moha-puruza
   pūrvavad yāvat sātisāro bhavati /	pUrvavat yAvat sa-atisAraH Bavati /
   aparo 'pi bhikṣur bhagavantam idam avocat* / icchāmy ahaṃ bhadanta uṣṇīṣaṃ	aparaH api BikzuH Bagavantam idam avocat* / icCAmi aham Badanta uzNIzam
   dhārayitum* / bhagavān āha / āgārikadhvaja eṣa mohapuruṣa pūrvavad yāvat	DArayitum* / BagavAn Aha / AgArika-DvajaH eza moha-puruza pUrvavat yAvat-
   sātisāro bhavati / (MSV II 96)	sa-atisAraH Bavati / (MSV II 96)
   aparo 'pi bhikṣur bhagavantam idam avocat* / icchāmy ahaṃ bhadanta	aparaH api BikzuH Bagavantam idam avocat* / icCAmi aham Badanta
   śiroveṣṭanaṃ dhārayitum* / bhagavān āha / āgārikadhvaja eṣa mohapuruṣa	SiraH-vezwanam DArayitum* / BagavAn Aha / AgArika-DvajaH eza moha-puruza
   pūrvavad yāvat sātisāro bhavati /	pUrvavat yAvat sa-atisAraH Bavati /
   aparo 'pi bhikṣur bhagavantam idam avocat* / icchāmy ahaṃ bhadanta kutapaṃ	aparaH api BikzuH Bagavantam idam avocat* / icCAmi aham Badanta ku-tapam
   dhārayitum* / bhagavān āha / āgārikadhvaja eṣa pūrvavad yāvat sātisāro	DArayitum* / BagavAn Aha / AgArika-DvajaH eza pUrvavat yAvat sa-atisAraH-
   bhavati /	Bavati /
