   Guṇakāraṇḍavyūha sūtra	GuNa kAraNxavyUha sUtra
   ahamapi gamiṣyāmi jetārāme jināśrame /	aham api gamizyAmi jetA ArAme jina ASrame /
   viśvabhuvaṃ munīndraṃ taṃ draṣṭumicche sasāṃghikam //	viSvaBuvam muni indram tam drazwum icCe sa sAMGikam //
   tadahaṃ bhavatā sārddhaṃ tatra gantuṃ samutsahe /	tat aham BavatA sArdDam tatra gantum samutsahe /
   tanmāṃ nītvā munīndraṃ taṃ saṃdarśayitumarhati //	tat mAm nItvA muni indram tam saMdarSayitum arhati //
   iti saṃprārthite tena brāhmaṇaḥ sa sukuṇḍalam /	iti saMprArTite tena brAhmaNaH sa su kuNxalam /
   devaputraṃ tamālokya pratibravīti bodhayan //	deva putram tam Alokya pratibravIti boDayan //
   ahamanyatra loke 'pi sattvān paśyan prabodhayan /	aham anyatra loke api sattvAn paSyan praboDayan /
   bodhimārge niyujyaivaṃ gamiṣyāmi tadāśrame //	boDi mArge niyujya evam gamizyAmi tad ASrame //
   tvameva prathamaṃ gatvā tatra jetāśrame vane /	tvam eva praTamam gatvA tatra jetASrame vane /
   vihārasthaṃ munīndraṃ taṃ saṃdarśaya sasāṃghikam //	vihAra sTam muni indram tam saMdarSaya sa sAMGikam //
   tatsaddharmāmṛtaṃ pītvā saṃbodhinihitāśayaḥ /	tad sadDarma amRtam pItvA saMboDi nihita ASayaH /
   triratnabhajanaṃ kṛtvā saṃcarasva sadā śubhe //	tri ratna Bajanam kRtvA saMcarasva sadA SuBe //
   ityuktvā sa mahāsattvo brāhmaṇaḥ prasthitastataḥ /	iti uktvA sa mahAsattvaH brAhmaNaH prasTitaH tatas /
   antarhitaḥ kṣaṇādvahnirivāśe 'bhigacchati //	antarhitaH kzaNAt vahniH iva ASe aBigacCati //
   (Gkv 139)	(Gku 139)
   tad dṛṣṭvā deavaputro 'sau mudāścaryakulāśayaḥ /	tat dRzwvA deava putraH asO mudA AH carya kula ASayaH /
   natvākāśe muhuḥ paśyaṃścireṇa gacchate gṛhe //	na tu AkASe muhur paSyan= cireNa gacCate gRhe //
   tatra sattvālayāsīnāḥ brāhmaṇaṃ tamanusmaran /	tatra sattva Alaya AsInAH brAhmaNam tam anusmaran /
   taddupadiṣṭamādhāya tiṣṭhate saṃcarecchubhe //	tat dupadizwam ADAya tizWate saMcaret SuBe //
   triratnabhajanaṃ kṛtvā saṃcarante sadā śubhe //	tri ratna Bajanam kRtvA saMcarante sadA SuBe //
   evaṃ sa trijagannatho lokeśvaro jinātmajaḥ /	evam sa trijagan= aTaH loka ISvaraH jina AtmajaH /
   devānapi prayatnena bodhayitvā pramodayan /	devAn api prayatnena boDayitvA pramodayan /
   bodhimārge niyujyaivaṃ cārayati jagaddhite //	boDi mArge niyujya evam cArayati jagat hite //
   evaṃ tasya jagadbhartuḥ puṇyaskandhaṃ mahattaram /	evam tasya jagat BartuH puNya skanDam mahattaram /
   aprameyamasaṃkhyeyamityākhyātaṃ munīśvaraiḥ //	aprameyam asaMKyeyam iti AKyAtam muni ISvarEH //
   tatrāsya trijagadbhartuḥ smṛtvāpi nāma sarvadā /	tatra asya trijagat BartuH smRtvA api nAma sarvadA /
   dhyātvāpi praṇatiṃ kṛtvā bhajantu bodhivāṃchinaḥ //	DyAtvA api praNatim kRtvA Bajantu boDivAMCinaH //
   ye bhajanti mudā tasya na te gacchanti durgatim /	ye Bajanti mudA tasya na te gacCanti durgatim /
   sadā sadgatisaṃjātāḥ prānte yānti sukhāvatīm //	sadA sat gati saMjAtAH prAnte yAnti suKAvatIm //
   tatrāmitābhanāthasya pītvā dharmāmṛtaṃ sadā /	tatra amita ABa nATasya pItvA Darma amRtam sadA /
   bodhicaryāvrataṃ dhṛtvā saṃyāsyanti jinālayam //	boDi caryA vratam DRtvA saMyAsyanti jina Alayam //
   ityādiṣṭaṃ munīndreṇa śrutvā sarve sabhāśritāḥ /	iti Adizwam muni indreNa SrutvA sarve saBA ASritAH /
   lokāstatheti vijñapya prābhyanandan prabodhitāḥ //	lokAH taTA iti vijQapya prAByanandan praboDitAH //
   // iti śuddhāvāsikasukuṇḍaladevaputroddharaṇaprakaraṇaṃ samāptam //	// iti SudDAvAsika sukuNxala deva putra udDaraNa prakaraNam samAptam //
   12. siṃhaladvīpa rākṣasī paribodhanoddhāraṇa prakaraṇam	12. siMhala dvIpa rAkzasI pariboDana udDAraNa prakaraNam
   atha gaganagaṃjo 'sau bodhisattvo jinātmajaḥ /	aTa gagana gaMjaH asO boDisattvaH jina AtmajaH /
   viśvabhuvaṃ munīndraṃ taṃ punarnatvaivamabravīt //	viSvaBuvam muni indram tam punar natvA evam abravIt //
   adyāpi sa mahāsattvo nāyāti bhagavanniha /	adya api sa mahAsattvaH na AyAti Bagavan= iha /
   kadeha samupāgacchet kutra gacchati sāmpratam //	kadA iha samupAgacCet kutra gacCati sAmpratam //
   (Gkv 140)	(Gku 140)
   iti tenābhisaṃpṛṣṭe viśvabhūḥ sa sudhākhiraḥ /	iti tena aBisaMpRzwe viSvaBUH sa suDA KiraH /
   gaganagaṃjamālokya tamevaṃ punarādiśat //	gagana gaMjam Alokya tam evam punar AdiSat //
   tataḥ saṃprasthito 'sau ca lokeśvaḥ prabhāsayan /	tatas saMprasTitaH asO ca lokeSvaH praBAsayan /
   sihaṃladvīpa ālokya ca lokeśvara rākṣasīrabhigacchati //	sihaMla dvIpaH Alokya ca lokeSvara rAkzasIH aBigacCati //
   divyātisundaraṃ kāmarupaṃ dhṛtvā sa bhāsayan /	divya ati sundaram kAmarupam DRtvA sa BAsayan /
   tatrābhisarate cittaṃ rākṣasīnāṃ pramodayan //	tatra aBisarate cittam rAkzasInAm pramodayan //
   tamāyātaṃ samupālokya prauḍhakāmātisundaram /	tam AyAtam samupAlokya prOXa kAma ati sundaram /
   sarvāsāṃ rākṣasīnāṃ tatkāmarāgaṃ samutthitam //	sarvAsAm rAkzasInAm tad kAma rAgam samutTitam //
   tadā tāḥ pramadāḥ sarvā rākṣasya madanākulāḥ /	tadA tAH pramadAH sarvAH rAkzasya madana AkulAH /
   navayauvanakantāṃgā ratirupātisundarāḥ //	nava yOvana kanta aMgAH ratiH upAti sundarAH //
   bhūtvā taṃ samupālokya purataṃ samupāśritāḥ /	BUtvA tam samupAlokya puratam samupASritAH /
   tatpādāmburuhe natvā buvatyevaṃ samādaram //	tad pAda amburuhe natvA buvati evam samAdaram //
   svāgataṃ te bhavān hi kaccit sarvatra kauśalam /	svAgatam te BavAn hi kaccit sarvatra kOSalam /
   saṃpaśyan tarpayāsmākamanugṛhītumarhasi //	saMpaSyan tarpayA asmAkam anugRhItum arhasi //
   asmākaṃ yauvanīnāṃ yatsvāmī bhartā patiḥ prabhuḥ /	asmAkam yOvanInAm yat svAmI BartA patiH praBuH /
   kasyā api hi naiko 'pi vidyate hi kadācana //	kasyAH api hi na ekaH api vidyate hi kadAcana //
   tadāsmākaṃ bhavān svāmī bhartā patiḥ prabhuḥ suhṛt /	tadA asmAkam BavAn svAmI BartA patiH praBuH suhRd /
   bhavatu nāgatiścāpi trātā dvīpaḥ parāyaṇaḥ /	Bavatu na AgatiH ca api trAtA dvIpaH parAyaNaH /
   śaraṇyaṃ ca sadā loke sanmārgadeśako 'ci ca //	SaraNyam ca sadA loke sat mArga deSakaH aci ca //
   sadā te śaraṇe sthitvā samādiṣṭaṃ tathā tvayā /	sadA te SaraNe sTitvA samAdizwam taTA tvayA /
   tathā sarvā vayaṃ dhṛtvā saṃcariṣyāmahe mudā //	taTA sarvAH vayam DRtvA saMcarizyAmahe mudA //
   santyatra vividhā bhogyā divyāmṛtarasottamāḥ /	santi atra viviDAH BogyAH divya amRta rasa uttamAH /
   vastrāṇi vividhānyevaṃ vividhabhūṣaṇāmyapi //	vastrANi viviDAni evam viviDa BUzaNAmi api //
   ramaṇīyāstaḍāgāśca krīḍodyānavanāni ca /	ramaNIyAH taxAgAH ca krIxA udyAna vanAni ca /
   prāsādā ramaṇīyāśca dīrghikāśca manoramāḥ //	prAsAdAH ramaNIyAH ca dIrGikAH ca manoramAH //
   santi dravyāṇi sarvāṇi ratnāni vividhānyapi /	santi dravyANi sarvANi ratnAni viviDAni api /
   sarvopakaraṇavastūni supathyānyauṣadhānyapi //	sarva upakaraNa vastUni su paTyAni OzaDAni api //
   etānīmāni sarvāṇi tvadadhīnāni sarvadā /	etAni imAni sarvANi tvad aDInAni sarvadA /
   tadbhavān samupālokya svecchayā dātumarhati //	tad BavAn samupAlokya sva icCayA dAtum arhati //
   (Gkv 141)	(Gku 141)
   yathākāmaṃ sukhaṃ bhuktvā sahāsmābhiḥ sadā raman /	yaTAkAmam suKam BuktvA saha asmABiH sadA raman /
   svecchayā saṃcaraṃstiṣṭhan vasatvihaiva sarvadā //	sva icCayA saMcaran= tizWan vasatu iha eva sarvadA //
   bhavadvaśe samāśritya sarvā vayaṃ samāsarāt /	Bavat vaSe samASritya sarvAH vayam samAsarAt /
   pūrayitvāpyabhiprāyaṃ cariṣyāmo yathāsukham //	pUrayitvA api aBiprAyam carizyAmaH yaTAsuKam //
   tadasmākaṃ bhavān svāmī bhūtvātraiva sadā raman /	tat asmAkam BavAn svAmI BUtvA atra eva sadA raman /
   sthātumarhasi rājeva pālayannaḥ suduḥkhitāḥ //	sTAtum arhasi rAjA iva pAlayannaH su duHKitAH //
   bhavato bhajanaṃ kṛtvā kariṣyāmaḥ samīhitam /	BavataH Bajanam kRtvA karizyAmaH samIhitam /
   tattiṣṭhatu sadehaiva mānyatra vrajatu kvacit //	tat tizWatu sa deha eva mA anyatra vrajatu kvacid //
   evaṃ tābhiḥ samākhyātaṃ niśamya sa jagatprabhuḥ /	evam tABiH samAKyAtam niSamya sa jagatpraBuH /
   sarvāstāḥ pramadāḥ paśyan bravītyevaṃ puraḥ punaḥ //	sarvAH tAH pramadAH paSyan bravIti evam puras punar //
   yathā mayopadiṣṭaṃ hi yuṣmābhiḥ kriyate yadi /	yaTA mayA upadizwam hi yuzmABiH kriyate yadi /
   tathā yuṣmadvaśe sthitvā cariṣyāmīha sarvadā //	taTA yuzmad vaSe sTitvA carizyAmi iha sarvadA //
   yathākāmaṃ sukhaṃ bhuktvā yuṣmābhiḥ saha sarvadā /	yaTAkAmam suKam BuktvA yuzmABiH saha sarvadA /
   raman sarvamabhiprāyaṃ pūrayiṣyāmi vo dhruvam //	raman sarvam aBiprAyam pUrayizyAmi vaH Druvam //
   iti tena samādiṣṭaṃ śrutvā tāḥ pramadā api /	iti tena samAdizwam SrutvA tAH pramadAH api /
   sarvāstaṃ puruṣaṃ kāntaṃ saṃvīkṣyaivaṃ bruvanti ca //	sarvAH tam puruzam kAntam saMvIkzya evam bruvanti ca //
   tvadādiṣṭaṃ vayaṃ śrutvā na cariṣyāmahe katham /	tvad Adizwam vayam SrutvA na carizyAmahe kaTam /
   avaśyaṃ te vaśe sthitvā kariṣyāmo yathoditam //	avaSyam te vaSe sTitvA karizyAmaH yaTA uditam //
   tadasmākaṃ vacaḥ śrutvā bhuktvāsmābhiḥ sukhaṃ saha /	tat asmAkam vacaH SrutvA BuktvA asmABiH suKam saha /
   yathākāmaṃ ramannatra saṃcaratāṃ yathecchayā //	yaTAkAmam raman= atra saMcaratAm yaTA icCayA //
   iti tābhiḥ samākhyātaṃ niśamya sa jagatprabhuḥ /	iti tABiH samAKyAtam niSamya sa jagatpraBuH /
   sarvāstā rākṣasīḥ paśyan bravītyeva prabodhayan //	sarvAH tAH rAkzasIH paSyan bravIti eva praboDayan //
   yadi yūyaṃ mayākhyātaṃ dhṛtvā sarvāścariṣyatha /	yadi yUyam mayA AKyAtam DRtvA sarvAH carizyaTa /
   tacchṛṇudhvaṃ samādhāya deśitaṃ vo hitaṃ mayā //	tat SRNuDvam samADAya deSitam vaH hitam mayA //
   viramya daśapāpebhyo dhṛtvā brahmavihārikam /	viramya daSa pApeByaH DRtvA brahma vihArikam /
   triratnabhajanaṃ kṛtvā caradhvaṃ poṣadhaṃ vratam //	tri ratna Bajanam kRtvA caraDvam pozaDam vratam //
   yadyetadvratamādhāya caratha sarvadādarāt /	yadi etat vratam ADAya caraTa sarvadA AdarAt /
   tadā yuṣmadvaśe sthitvā tiṣṭheyamiha saṃraman //	tadA yuzmad vaSe sTitvA tizWeyam iha saMraman //
   (Gkv 142)	(Gku 142)
   iti tena samādiṣṭaṃ śrutvā tāḥ pramadā api /	iti tena samAdizwam SrutvA tAH pramadAH api /
   sarvāstatheti vijñapya kurvantyevaṃ ca tatpuraḥ //	sarvAH taTA iti vijQapya kurvanti evam ca tat puras //
   svāmin yathā tvayādiṣṭaṃ tathā vayaṃ caremahi /	svAmin yaTA tvayA Adizwam taTA vayam caremahi /
   tadetadvidhimasmākaṃ samupādeṣṭumarhasi //	tat etat viDim asmAkam samupAdezwum arhasi //
   iti saṃprārthitaṃ tābhinirśamya sa jinātmajaḥ /	iti saMprArTitam tABinirSamya sa jina AtmajaH /
   tāḥ sarvāstā bodhitā matvā samīkṣyaivaṃ bravīti tat //	tAH sarvAH tAH boDitA matvA samIkzya evam bravIti tat //
   śṛṇudhvaṃ yadi vāṃchāsmin yuṣmākaṃ satsukhe sadā /	SRNuDvam yadi vAMCA asmin yuzmAkam sat suKe sadA /
   vratarājavidhānaṃ ca upadekṣyāmi vistaram //	vratarAja viDAnam ca upadekzyAmi vistaram //
   ādau puṇyasukhotsāhaṃ dhṛtvā śuddhāśayā mudā /	AdO puNya suKa utsAham DRtvA SudDa ASayAH mudA /
   tīrthe snātvā viśuddhāṃgā prāvṛtya śuddhacīvaraiḥ //	tIrTe snAtvA viSudDa aMgA prAvRtya SudDa cIvarEH //
   abhyarcya sadguruṃ natvā triratnaśaraṇaṃ gatāḥ /	aByarcya sat gurum natvA tri ratna SaraNam gatAH /
   śrīmallokeśvaraṃ dhyātvā samabhyarcya yathāvidhim //	SrImat loka ISvaram DyAtvA samaByarcya yaTAviDim //
   tataścārghādikaṃ datvā saṃstutvā stutijalpanaḥ /	tatas ca arGa Adikam datvA saMstutvA stuti jalpanaH /
   aṣṭāṃgaiḥ sādaraṃ natvā kṛtvā vāpi pradakṣiṇān //	azwa aMgEH sa Adaram natvA kRtvA vA api pradakziNAn //
   sadhātudravyaratnādidakṣiṇān śraddhayādarāt /	sa DAtu dravya ratna Adi dakziNAn SradDayA AdarAt /
   upaḍhokya samālokya kṛtājaliputā mudā //	upaXokya samAlokya kRta ajali putA mudA //
   pāpānāṃ deśanāṃ kṛtvā dhṛtvā puṇyānumodanām /	pApAnAm deSanAm kRtvA DRtvA puNya anumodanAm /
   saṃbodhiopraṇidhiṃ dhṛtvā prārthageta jagacchubhe //	saMboDia upraNiDim DRtvA prArTa geta jagat SuBe //
   evaṃ kṛtvā vrataṃ nityamahnāyāme tṛtīyake /	evam kRtvA vratam nityam ahnAya Ame tRtIyake /
   bhogyaṃ nirāmiṣaṃ bhuktvā kuruta vratapālanām //	Bogyam nirAmizam BuktvA kuruta vrata pAlanAm //
   evaṃ nityaṃ samādhāya kṛtvā vratamidaṃ sadā /	evam nityam samADAya kRtvA vratam idam sadA /
   triratnaśaraṇaṃ kṛtvā saṃcaradhvaṃ jagaddhitaṃ //	tri ratna SaraNam kRtvA saMcaraDvam jagat hitam //
   etatpuṇyānubhāvena pariśuddhatrimaṇḍalāḥ /	etat puNya anuBAvena pariSudDa tri maNxalAH /
   sadā sadgatisaṃjātāḥ saddharmaśrīguṇāśayāḥ //	sadA sat gati saMjAtAH sat Darma SrI guNa ASayAH //
   satsukhāni sadā bhuktvā niḥkleśā vijitendriyāḥ /	sat suKAni sadA BuktvA niHkleSAH vijita indriyAH /
   sarvatra bhadratāṃ kṛtvā gamiṣyatha sukhāvatīm //	sarvatra BadratAm kRtvA gamizyaTa suKAvatIm //
   tatrāmitābhanāthasya pītpā dharmāmṛtaṃ sadā /	tatra amita ABa nATasya pItpA Darma amRtam sadA /
   trividhāṃ bodhimāsādya saṃbuddhapadamāpsyatha //	triviDAm boDim AsAdya saMbudDa padam ApsyaTa //
   (Gkv 143)	(Gku 143)
   evaṃ matvā mahatpuṇyaṃ poṣadhavratasaṃbhavam /	evam matvA mahat puNyam pozaDa vrata saMBavam /
   yadīcchatha sadā bhadraṃ taccaradhvaṃ sadā vratam //	yadi icCaTa sadA Badram tat caraDvam sadA vratam //
   ityevaṃ tatsamādiṣṭaṃ śrutvā tāḥ pramadā api /	iti evam tat samAdizwam SrutvA tAH pramadAH api /
   rākṣasyo muditāḥ sarvā dhartumicchanti tad vratam //	rAkzasyaH muditAH sarvAH Dartum icCanti tat vratam //
   tatastāḥ pramadāḥ sarvā rākṣasyo 'pi prabodhitāḥ /	tatas tAH pramadAH sarvAH rAkzasyaH api praboDitAH /
   yathāvidhi samādhāya caranti poṣadhaṃ vratam //	yaTAviDi samADAya caranti pozaDam vratam //
   etatpuṇyānubhāvena sarvāstā vimalāśayāḥ /	etat puNya anuBAvena sarvAH tAH vimala ASayAH /
   vimuktakāmasaṃrāgā bhavanti brahmacārikāḥ //	vimukta kAma saMrAgAH Bavanti brahmacArikAH //
   tadā tāsāṃ ca sarvāsāṃ rākṣasīnāṃ manāṃsyapi /	tadA tAsAm ca sarvAsAm rAkzasInAm manAMsi api /
   kleśaduḥkhairna bādhyante 'pahāribhiḥ kadāpi ca //	kleSa duHKEH na bADyante apahAriBiH kadApi ca //
   tāsāmāghācittaṃ ca naivābhijāyate kvacit /	tAsAm AGAcittam ca na eva aBijAyate kvacid /
   daśākuśalasaṃrāgaṃ kasyāścāpi na jāyate //	daSa akuSala saMrAgam kasyAH ca api na jAyate //
   sarvā śraddhānusāriṇyaḥ saddharmaguṇasādhane /	sarvA SradDA anusAriNyaH sat Darma guNa sADane /
   tathā dharmānusāriṇyo bhavanti prāptasaṃvarāḥ //	taTA Darma anusAriNyaH Bavanti prApta saMvarAH //
   catuḥsatyāgamapraptāḥ prāptamārgacatuṣṭayāḥ /	catur satya Agama praptAH prApta mArga catuzwayAH /
   kāścicca śrotāapatifalaprāptāḥ prabodhitāḥ //	kAScid ca SrotAa patifala prAptAH praboDitAH //
   tathānyāḥ sakṛdāgāmifalaprāptāḥ kāścit saddharmasādhane //	taTA anyAH sakRdAgAmifala prAptAH kAScid sat Darma sADane //
   kāścidarhatvasaṃprāptāḥ pariśuddhatrimaṇḍalāḥ /	kAScid arha tva saMprAptAH pariSudDa tri maNxalAH /
   pratyekāṃ bodhimanyāśca kāścitsaṃbodhilālasāḥ //	pratyekAm boDim anyAH ca kAScid saMboDi lAlasAH //
   evaṃ tadupadeśamāsādya sarvāstāḥ pramadā api /	evam tat upadeSam AsAdya sarvAH tAH pramadAH api /
   saddharmābhitā bhadrā bhavanti bodhimānasāḥ //	sat Darma aBitAH BadrAH Bavanti boDi mAnasAH //
   evaṃ tasya jagadbhartuḥ prasādāstāḥ pramoditāḥ /	evam tasya jagat BartuH prasAdAH tAH pramoditAH /
   śikṣāsaṃvaramāsādya pracaranti jagaddhite //	SikzA saMvaram AsAdya pracaranti jagat hite //
   tatastā nanditāḥ sarvāḥ śāstāraṃ tamupasthitāḥ /	tatas tAH nanditAH sarvAH SAstAram tam upasTitAH /
   kṛtājalipuṭā natvā prārthayantyevamādarāt //	kRta ajali puwAH natvA prArTayanti evam AdarAt //
   yadbhavān svayamālokya sarvānasmān durāratān /	yat BavAn svayam Alokya sarvAn asmAn durAratAn /
   kṛtyā bodhayan dharme niyojayati sadguro //	kRtyAH boDayan Darme niyojayati sat guraH //
   (Gkv 144)	(Gku 144)
   tadasmākaṃ bhavāṃcchastā suhṛnmitraṃ ca sadguruḥ /	tat asmAkam BavAM= CaH tA suhRd mitram ca sat guruH /
   saddharmaṃ samupādiśya sadeha sthātumarhati //	sadDarmam samupAdiSya sadA iha sTAtum arhati //
   vayaṃ sarvā bhavacchikṣāstadbhavaccharaṇe sthitāḥ /	vayam sarvAH Bavat SikzAH tad Bavat SaraNe sTitAH /
   bhavatā yadyathādiṣṭaṃ tatkariṣyāmahe tathā //	BavatA yat yaTa Adizwam tat karizyAmahe taTA //
   na purā rākṣasīvṛttiṃ kariṣyāmaḥ kadācana /	na purA rAkzasI vRttim karizyAmaH kadAcana /
   śikṣāsaṃvaramādhāya cariṣyāmo vrataṃ sadā //	SikzA saMvaram ADAya carizyAmaH vratam sadA //
   jambūdvīpe yathā martyā viramya daśapāpataḥ /	jambUdvIpe yaTA martyAH viramya daSa pApataH /
   saṃvṛtisukhabhuṃjānā jīvanti sadguṇāratāḥ //	saMvRti suKa BuMjAnAH jIvanti sat guNa aratAH //
   tathā vayaṃ viramyātra daśakulamārgataḥ /	taTA vayam viramya atra daSa kula mArgataH /
   sadvṛtisukhabhuṃjānā jīvema sadguṇāratāḥ //	sat vRti suKa BuMjAnAH jIvema sat guNa aratAH //
   sadaitad vratamādhāya triratnabhajanāratāḥ /	sadA etat vratam ADAya tri ratna BajanA ratAH /
   sarvaṃ sattvahitaṃ kṛtvā saṃcariṣyāmahe śubhe //	sarvam sattva hitam kRtvA saMcarizyAmahe SuBe //
   tadasmān kṛpayā paśyannevaṃ cānugrahaṃ sadā /	tat asmAn kRpayA paSyan= evam ca anugraham sadA /
   kṛtvā saddharmamādiśya viharatviha mānyataḥ //	kRtvA sadDarmam AdiSya viharatu iha mAnyataH //
   iti saṃprārthitaṃ tābhiḥ sarvābhiḥ sa jinātmajaḥ /	iti saMprArTitam tABiH sarvABiH sa jina AtmajaH /
   lokeśvaraḥ samākarṇya tā vīkṣya vadate punaḥ //	loka ISvaraH samAkarNya tAH vIkzya vadate punar //
   nāhaṃ sadeha tiṣṭheyaṃ sarvatrāpi suduḥkhinaḥ /	na aham sa dA iha tizWeyam sarvatra api su duHKinaH /
   prāṇinaḥ svayamālokya samuddhartuṃ caremahi //	prANinaH svayam Alokya samudDartum caremahi //
   tadetatsaṃvaraṃ dhṛtvā yūyamevaṃ samāhitāḥ /	tat etat saMvaram DRtvA yUyam evam samAhitAH /
   triratnabhajanaṃ kṛtvā saukhyaṃ bhuktvābhitiṣṭhata //	tri ratna Bajanam kRtvA sOKyam BuktvA aBitizWata //
   kāle kāle 'hamāgatya yuṣmākaṃ hitasādhane /	kAle kAle aham Agatya yuzmAkam hita sADane /
   deśayiṣyāmi saddharmasaṃbuddhapadasādhānam //	deSayizyAmi sadDarma saMbudDa pada sADAnam //
   evaṃ saṃbodhayan sarvā rākṣasīstāḥ sa rākṣasaḥ /	evam saMboDayan sarvAH rAkzasIH tAH sa rAkzasaH /
   lokeśvaro mahāsattvaḥ saṃprasthitastato drutam //	loka ISvaraH mahAsattvaH saMprasTitaH tatas drutam //
   tato 'ntarhita ākāśe gatvenduriva bhāsayan /	tatas antarhitaH AkASe gatvA induH iva BAsayan /
   prahlādayan jagallokaṃ carate satvahitotsukaḥ //	prahlAdayan jagat lokam carate satva hita utsukaH //
   taṃ khe gataṃ prabhāsvantaṃ dṛṣṭvā tāḥ sakalā api /	tam Ke gatam praBAsu antam dRzwvA tAH sakalAH api /
   rākṣasyo vismayotpannāstiṣṭhanti pratinanditāḥ //	rAkzasyaH vismaya utpannAH tizWanti pratinanditAH //
   (Gkv 145)	(Gku 145)
   tataḥ prabhṛtī tāḥ sarvā rākṣasyo 'pi samāhitāḥ /	tatas praBRtI tAH sarvAH rAkzasyaH api samAhitAH /
   tacchikṣāsaṃvaraṃ dhṛtvā saṃcarante sadā śubhe //	tat SikzA saMvaram DRtvA saMcarante sadA SuBe //
   evaṃ sa trijagannātho rākṣasīrapi bodhayan /	evam sa trijagannATaH rAkzasIH api boDayan /
   bodhimārge niyujyāpi cārayati sadā śubhe //	boDi mArge niyujya api cArayati sadA SuBe //
   evaṃ tasya jagadbhartuḥ puṇyaskandhaṃ mahattaram /	evam tasya jagat BartuH puNya skanDam mahattaram /
   aprameyasaṃkhyemityākhyātaṃ munīśvaraiḥ //	aprameya saMKyem iti AKyAtam muni ISvarEH //
   tattasya trijagadgartuḥ śaraṇaṃ samupāśritāḥ /	tat tasya trijagat gartuH SaraNam samupASritAH /
   dhyātvāpyuccārya nāmāpi smṛtvāpi bhajatādbhavam //	DyAtvA api uccArya nAma api smRtvA api BajatAt Bavam //
   ye tasya trijagadbhartuḥ śraddhayā śaraṇe sthitāḥ /	ye tasya trijagat BartuH SradDayA SaraNe sTitAH /
   dhyātvāpyuccārya nāmāpi smṛtvā bhajanti sarvadā //	DyAtvA api uccArya nAma api smRtvA Bajanti sarvadA //
   te sadā sadgatiṃ yāntiṃ na kadācana /	te sadA sat gatim yAntim na kadAcana /
   bhadraśrīguṇasaṃpattisamāpannā bhavantyapi //	BadraSrI guNa saMpatti samApannAH Bavanti api //
   sadā sattvahitādhāne saddharmasādhanāratāḥ /	sadA sattva hita ADAne sat Darma sADana AratAH /
   triratnabhajanaṃ kṛtvā saṃprayāyuḥ sukhāvatīm //	tri ratna Bajanam kRtvA saMprayAyuH suKAvatIm //
   tatrāmitābhanāthasya pītvā dharmāmṛtaṃ sadā /	tatra amita ABa nATasya pItvA Darma amRtam sadA /
   arhanto bodhimāsādya saṃbuddhapadamāpnuyuḥ //	arhantaH boDim AsAdya saMbudDa padam ApnuyuH //
   ityādiṣṭaṃ munīndreṇa viśvabhuvā niśamya te /	iti Adizwam muni indreNa viSvaBuvA niSamya te /
   sarve sabhāśritā lokāḥ prābhyanandan prabodhitāḥ //	sarve saBA ASritAH lokAH prAByanandan praboDitAH //
   // itisiṃhaladvīparākṣasīparibodhanoddharaṇa prakaraṇam //	// iti siMhala dvIpa rAkzasI pariboDana udDaraNa prakaraNam //
   13. vārāṇasī kṛmi kīṭoddhāraṇa prakaraṇa	13. vArANasI kRmi kIwa udDAraNa prakaraNa
   atha gaganagaṃjo 'sau bodhisattvaḥ kṛtāṃjaliḥ /	aTa gagana gaMjaH asO boDisattvaH kRtAMjaliH /
   viśvabhuvaṃ munīndraṃ ca praṇatvaivamavocata //	viSvaBuvam muni indram ca praNatvA evam avocata //
   bhagavan sa mahāsattvo lokeśvaro jinātmajaḥ /	Bagavan sa mahAsattvaH loka ISvaraH jina AtmajaH /
   nādyāpiha samāyāti kadāgacchettadādiśa //	na adya apiha samAyAti kadA AgacCet tat AdiSas //
   (Gkv 146)	(Gku 146)
   iti tenoditaṃ śrutvā viśvabhūḥ sa munīśvaraḥ /	iti tena uditam SrutvA viSvaBUH sa muni ISvaraH /
   gaganagaṃjamālokya taṃ punarevamabravīt //	gagana gaMjam Alokya tam punar evam abravIt //
   tataḥ saṃprasthitaścāsau lokeśvaro vilokayan /	tatas saMprasTitaH ca asO loka ISvaraH vilokayan /
   vārāṇasyāṃ samuddhartuṃ sattvān samabhigatcchati //	vArANasyAm samudDartum sattvAn samaBigatcCati //
   dṛṣṭvā sa prāṇino 'nekānasaṃkhyeyān suduḥkhitān /	dRzwvA sa prANinaH anekAn asaMKyeyAn su duHKitAn /
   saviṇmūtramṛdālagnāṃstiṣṭhatyevaṃ vicintayan //	sa viz mUtra mRdA lagnAn= tizWati evam vicintayan //
   hā pāpaṃ kathametāni saviṇmutrāśrītānyaham /	hA pApam kaTam etAni saviz mutra aSrItAni aham /
   kṛmyasaṃkhyasahastrāṇi proddhareyaṃ prabodhayan //	kRmya saMKya sahastrANi prodDarA iyam praboDayan //
   tatra sa cintayan matvā sattvān kṛpayā saṃvilokayan /	tatra sa cintayan matvA sattvAn kRpayA saMvilokayan /
   bhramararupamādhāya bharmate tadupācaran //	Bramara rupam ADAya Barmate tat upAcaran //
   namo buddhāya dharmāya saṃghāyeti praṇoditam /	namaH budDAya DarmAya saMGAya iti praNoditam /
   madhuraśabdamuccārya bhramate sa viyaccaran //	maDura Sabdam uccArya Bramate sa viyat caran //
