   yogācārabhūmau	yoga AcAra BUmO
   (Dutt 138)	(Dutt 138)
   Vīryaṃpaṭalam (Chapter 1.12)	VIryaMpawalam (ChapteH 1.12)
   uddānaṃ pūrvavadveditavyama /	uddAnam pUrvavat veditavyama /
   tatra katamadbodhisattvasya svabhāvavīryam / yo bodhisattvasya	tatra katamat boDisattvasya svaBAva vIryam / yaH boDisattvasya
   cittābhyutsāho 'prameyakuśaladharmasaṃgrahāya sattvārthakriyāyai /	citta aByutsAhaH aprameya kuSala Darma saMgrahAya sattva arTa kriyAyE /
   uttaptaśca niśchidraścāviparyastaśca tatsamutthitaśca kāyavāṅmanaḥ	uttaptaH ca niSCidraH ca aviparyastaH ca tat samutTitaH ca kAya vAc manaH
   parispandaḥ / ayaṃ bodhisattvasya vīryasvabhāvo veditavyaḥ /	parispandaH / ayam boDisattvasya vIrya svaBAvaH veditavyaH /
   tatra katamadbodhisattvasya sarvavīryaṃm / tatsamāsato dvividhaṃ	tatra katamat boDisattvasya sarva vIryanm / tad samAsataH dviviDam
   veditavyam / gṛhipakṣāśritaṃ pravrajitapakṣāśritañca /	veditavyam / gRhi pakza ASritam pravrajita pakza aSri taQca /
   tatpunarubhayapakṣāśritamapi trividhaṃ veditavyam / sannāhavīryaṃ	tad punar uBaya pakza ASritam api triviDam veditavyam / sannAha vIryam
   kuśaladharmasaṃgrāhakaṃ sattvārthakriyāyai ca /	kuSala Darma saMgrAhakam sattva arTa kriyAyE ca /
   tatredaṃ bodhisattvasya sannāhavīryam / iha bodhisattvaḥ pūrvameva	tatra idam boDisattvasya sannAha vIryam / iha boDisattvaH pUrvam eva
   vīryārambhaprayogādevaṃ cetaso 'bhyutsāhapūrvakaṃ sannāhaṃ sannahyate / sa	vIrya AramBa prayogAt evam cetasaH aByutsAha pUrvakam sat na aham sat nahyate / sa
   cedahamekasattvasyāpi duḥkhavimokṣahetormahākalpasahasratulyai	ced aham eka sattvasya api duHKa vimokza hetoH mahAkalpa sahasra tulyE
   rātrindivasairnaṃrakavāsenaiva nānyagativāsena yāvatā kālena bodhisattvā	rAtrindivasEH naMraka vAsena eva na anya gati vAsena yAvatA kAlena boDisattvA
   anuttarāṃ samyaksaṃbodhimabhisaṃbudhyante tenaiva	anuttarAm samyaksaMboDim aBisaMbuDyante tena eva
   koṭīniyutaśatasahasraguṇitena kālenāhamanuttarāṃ samyaksaṃbodhimāsādayeyam	kowI niyuta Sata sahasra guNitena kAlena aham anuttarAm samyaksaMboDim AsAdayeyam
   / tathāpi cotsaheyam / na nānuttarāyāḥ samyaksaṃbodherarthena prayujyeyam	/ taTA api ca utsaheyam / na na anuttarAyAH samyaksaMboDeH arTena prayujyeyam
   / na ca prayukta vīryaṃ saṃsrayeyam / prāgeva nyūnatareṇa kālena	/ na ca prayukta  vIryam saMsrayeyam / prAk eva nyUnatareNa kAlena
   tanutareṇa ca duḥkhena / idamevaṃrūpaṃ bodhisattvasya sannāhavīryam / yo	tanutareNa ca duHKena / idam evaMrUpam boDisattvasya sannAha vIryam / yaH 
   bodhisattvaḥ evarūpe bodhisattvānāṃ sannāhavīrye 'dhimuktimātrakaṃ	boDisattvaH eva rUpe boDisattvAnAm sannAha vIrye aDimukti mAtrakam
   prasādamātrakamapyutpādayet so 'pi tāvadbodhisattvo dhīro 'pramāṇasya	prasAda mAtrakam api utpAdayet saH api tAvat boDisattvaH DIraH apramANasya
   bodhāya vīryārambhasya dhātuṃ paripoṣayet / prāgeva yo bodhisattvaḥ	boDAya vIrya AramBasya DAtum paripozayet / prAk eva yaH boDisattvaH
   īdṛśenaiva sannāhavīryeṇa samanvāgataḥ syāt na ca punastasya	IdRSena eva sannAha vIryeNa samanvAgataH syAt na ca punar tasya
   bodhisattvasya bodherarthe sattvānāmarthāya kiñcidasti duṣkaraṃ karaṇīyaṃ	boDisattvasya boDeH arTe sattvAnAm arTAya kiQcid asti duzkaram karaNIyam
   karma yatrāsya bodhisattvasya saṃkoco vā syāt cetaso duṣkaraṃ vā kartum /	karma yatra asya boDisattvasya saMkocaH vA syAt cetasaH duzkaram vA kartum /
   tatra katamadbodhisattvānāṃ kuśaladharmasaṃgrāhakaṃ vīryam / yadvīryaṃ	tatra katamat boDisattvAnAm kuSala Darma saMgrAhakam vIryam / yat vIryam
   dānapāramitāprāyogikaṃ dānapāramitāsamudāgamāya yadvīryaṃ	dAna pAramitA prAyogikam dAna pAramitA samudAgamAya yat vIryam
   śīlakṣāntivīryadhyānaprajñāpāramitāprāyogikaṃ (Dutt 139)	SIla kzAnti vIrya DyAna prajQApAramitA prAyogikam (Dutt 139)
   yāvatprajñāpāramitāsamudāgamāya / tatpunaḥ samāsataḥ saptākāraṃ veditavyam	yAvat prajQApAramitA samudAgamAya / tat punar samAsatas sapta AkAram veditavyam
   / acalaṃ	/ acalam
   sarvakalpavikalpakleśopakleśaparapravādiduḥkhasaṃsparśairavicālyatvāt /	sarva kalpa vikalpa kleSa upakleSa para pravAdi duHKa saMsparSEH avicAlya tvAt /
   gāḍhaṃ satkṛtya prayogitvāt / aprameyaṃ	gAXam satkRtya prayogi tvAt / aprameyam
   sarvavidyāsthānasamudāgamapratyupasthānatvāt / upāyaprayuktaṃ	sarva vidyA sTAna samudAgama pratyupasTAna tvAt / upAya prayuktam
   prāptavyasyārthasyāviparītamārgā nugatatvāt samatāprativedhācca /	prAptavyasya arTasya aviparIta mArgAH nugata tvAt sama tA prativeDAt ca /
   samyagvīryamarthopasaṃhitasya prāptavyasyārthasya prāptaye praṇihitatvāt /	samyak vIryam arTa upasaMhitasya prAptavyasya arTasya prAptaye praNihita tvAt /
   pratataṃ sātatyaprayogitvāt / vigatamānaṃ tena vīryārambheṇānunnamanāt /	pratatam sAtatya prayogi tvAt / vigata mAnam tena vIrya AramBeNa anunnamanAt /
   ityebhiḥ saptabhirākāraiḥ kuśaladharmasaṃgrahāya vīryārambhaprayogo	iti eBiH saptaBiH AkArEH kuSala Darma saMgrahAya vIrya AramBa prayogaH 
   bodhisattvānāṃ kṣipraṃ pāramitāparipūraye 'nuttarasamyaksaṃbodhyadhigamāya	boDisattvAnAm kzipram pAramitA paripUraye anuttara samyaksaMboDi aDigamAya
   saṃvartate / yataśca sarveṣāṃ bodhikarakāṇāṃ kuśalānāṃ dharmaṇāmevaṃ	saMvartate / yatas ca sarvezAm boDi karakANAm kuSalAnAm DarmaNAm evam
   samudāgamāya vīryameva pradhānaṃ śreṣṭhaṃ kāraṇaṃ na tathānyat /	samudAgamAya vIryam eva praDAnam SrezWam kAraNam na taTA anyat /
   tasmādvīryamanuttarāyai samyaksaṃbodhaye iti nirdiśanti tathāgatāḥ /	tasmAt vIryam anuttarAyE samyaksaMboDaye iti nirdiSanti taTAgatAH /
   sattvārthakriyāvīryaṃ punarbodhisattvānāṃ veditavyamekādaśaprakāram /	sattva arTa kriyA vIryam punar boDisattvAnAm veditavyam ekAdaSa prakAram /
   tadyathā śīlapaṭale / yattatra śīlayuktaṃ tadiha vīryaṃ vaktavyam / ayaṃ	tat yaTA SIla pawale / yat tatra SIla yuktam tat iha vIryam vaktavyam / ayam
   viśeṣaḥ /	viSezaH /
   tatra katamadbodhisattvasya duṣkaravīryam / tat trividhaṃ draṣṭavyam /	tatra katamat boDisattvasya duzkara vIryam / tat triviDam drazwavyam /
   yadbodhisattvo nairantaryeṇa cīvarasaṃjñāṃ piṇḍapātasaṃjñāṃ	yat boDisattvaH nErantaryeNa cIvara saMjQAm piNxapAta saMjQAm
   śayanāsanasaṃjñāmapi ātmasaṃjñāmakurvan kuśaleṣu dharmeṣu bhāvanāsātatyena	Sayana Asana saMjQAm api Atma saMjQAm akurvan kuSalezu Darmezu BAvanA sAtatyena
   prayukto bhavati / idaṃ bodhisattvasya prathamaṃ duṣkaravīryam /	prayuktaH Bavati / idam boDisattvasya praTamam duzkara vIryam /
   punarbodhisattvastena tathārūpeṇa vīryārambheṇa ā nikāyasabhāganikṣepāt	punar boDisattvaH tena taTArUpeNa vIrya AramBeNa A nikAyasa BAga nikzepAt
   sarvakālaṃ prayukto bhavati / idaṃ dvitīyaṃ bodhisattvasya duṣkaravīryam /	sarvakAlam prayuktaH Bavati / idam dvitIyam boDisattvasya duzkara vIryam /
   punarbodhisattvaḥ samatāprativedhaguṇayuktena nātilīnena	punar boDisattvaH samatA prativeDa guNa yuktena na ati lInena
   nātyārabdhenāviparītenārthopasaṃhitena vīryeṇa samanvāgato bhavati / idaṃ	na ati ArabDena aviparItena arTa upasaMhitena vIryeNa samanvAgataH Bavati / idam
   bodhisattvasya tṛtīyaṃ duṣkaravīryaṃ veditavyam / asya khalu	boDisattvasya tRtIyam duzkara vIryam veditavyam / asya Kalu
   bodhisattvānāṃ duṣkaravīryasya balaṃ sattveṣu karuṇā prajñā ca	boDisattvAnAm duzkara vIryasya balam sattvezu karuNA prajQA ca
   saṃgrahaheturveditavyaḥ /	saMgraha hetuH veditavyaH /
   tatra katamadbodhisattvasya sarvatomukhaṃ vīryam / taccaturvidha	tatra katamat boDisattvasya sarvatomuKam vIryam / tat caturviDa
   draṣṭavyam / kliṣṭadharmavivarjakaṃ śukladharmāvarjakaṃ karmapariśodhakaṃ	drazwavyam / klizwa Darma vivarjakam Sukla Darma Avarjakam karma pariSoDakam
   jñānavivardhakañca / tatra kliṣṭadharmavivarjakaṃ bodhisattvasya	jQAna vivarDa kaQca / tatra klizwa Darma vivarjakam boDisattvasya
   vīryamanutpannānāñca	vIryam anutpanna anAQca
   saṃyojanabandhanānuśayopakleśaparyavasthānānāmanutpādāyotpannānāñca	saMyojana banDana anuSaya upakleSa paryavasTAnAnAm anutpAdAya utpanna anAQca
   prahāṇāya / tatra śukladharmāvarjakaṃ bodhisattvasya (Dutt 140) vīryaṃ	prahANAya / tatra Sukla Darma Avarjakam boDisattvasya (Dutt 140) vIryam
   yadanutpannānāñca kuśalānāṃ dharmāṇāmutpattaye vīryam / utpannānāñca	yat anutpannAnAQca kuSalAnAm DarmANAm utpattaye vIryam / utpanna anAQca
   sthitaye asaṃmoṣāyai vṛddhivipulatāyai yadvīryam / tatra karmapariśodhakaṃ	sTitaye asaMmozAyE vRdDi vipula tAyE yat vIryam / tatra karma pariSoDakam
   bodhisattvasya vīryaṃ yat trayāṇāṃ karmaṇāṃ viśuddhaye saṃgrahāya	boDisattvasya vIryam yat trayANAm karmaNAm viSudDaye saMgrahAya
   kuśalasya kāyakarmaṇo vākkarmaṇo manaskarmaṇaśca / tatra jñānavivardhake	kuSalasya kAya karmaNaH vAkkarmaNaH manaskarmaNaH ca / tatra jQAna vivarDake
   bodhisattvasya vīryam / yacchru tacintābhāvanāmayyāḥ prajñāyāḥ	boDisattvasya vIryam / yat Sru tacintA BAvanA mayyAH prajQAyAH
   samudāgamāya parivṛddhaye saṃvartate /	samudAgamAya parivRdDaye saMvartate /
   tatra katamadbodhisattvasya satpuruṣavīryam / tatpañcavidhaṃ draṣṭavyam /	tatra katamat boDisattvasya sat puruza vIryam / tat paQcaviDam drazwavyam /
   anirākṛtaṃ sarveṇa sarvaṃ chandaprayogānirākaraṇatayā / anyūnaṃ	anirAkRtam sarveNa sarvam Canda prayoga anirAkaraNa tayA / anyUnam
   yathopāttatulyādhikavīryānubṛṃhaṇatayā /	yaTA upAtta tulya aDika vIrya anubRMhaNa tayA /
   alīnamuttaptadīrghakālika nirantaravīryārambhāyāsaṃkucitāviṣaṇṇacittatayā	alInam uttapta dIrGa kAlika  nirantara vIrya AramBAya asaMkucita avizaNNa citta tayA
   / aviparītamarthopasaṃhitopāyaparigṛhītatayā / uttaptaprayogañca	/ aviparItam arTa upasaMhita upAya parigRhIta tayA / uttapta prayogaQca
   bodhisattvānāṃ vīryamanuttarāyāṃ samyak saṃbodhāvabhikaraṇatayā /	boDisattvAnAm vIryam anuttarAyAm samyak saMboDO= aBikaraNa tayA /
   tatra katamadbodhisattvānāṃ sarvākāraṃ vīryam / tatṣaḍākāraṃ saptākārañca	tatra katamat boDisattvAnAm sarva AkAram vIryam / tad zaz AkAram sapta AkAraQca
   aikadhyamabhisaṃkṣipya trayodaśākāraṃ veditavyam / sātatyavīryaṃ	EkaDyam aBisaMkzipya trayodaSa AkAram veditavyam / sAtatya vIryam
   nityakālaprayogitayā / satkṛtyavīryaṃ nipuṇaprayogitayā / naiṣyandikaṃ	nitya kAla prayogi tayA / satkRtya vIryam nipuNa prayogi tayA / nEzyandikam
   vīryaṃ pūrvavīryahetubalādhānatayā / prāyogikaṃ vīryaṃ pratisaṃkhyāya	vIryam pUrva vIrya hetu bala ADAna tayA / prAyogikam vIryam pratisaMKyAya
   kuśalapakṣaprayogitayā / akopyavīryaṃ sarvaduḥkhasaṃsparśairavikopyatayā	kuSala pakza prayogi tayA / akopya vIryam sarva duHKa saMsparSEH avikopya tayA
   'nanyathābhāvopagamanatayā	ananyaTA aBAva upagamana tayA
   asaṃtuṣṭivīryamalpāvaramātraviśeṣādhigamāsantuṣṭatayā / idaṃ tāvat	asaMtuzwi vIryam alpa avara mAtra viSeza aDigama Asantuzwa tayA / idam tAvat 
   ṣaḍvidhaṃ sarvākāraṃ vīryaṃ yena samanvāgato bodhisattvaḥ ārabdhavīryaḥ	zaxviDam sarva AkAram vIryam yena samanvAgataH boDisattvaH ArabDa vIryaH
   sthāmavān vīryavānutsāhī dṛḍhaparākramaḥ anikṣiptadhuraḥ kuśaleṣu	sTAmavAn vIryavAn utsAhI dRXa parAkramaH anikzipta DuraH kuSalezu
   dharmeṣvityucyate / saptavidhaṃ punaḥ chandasahagataṃ bodhisattvasya	Darmezu iti ucyate / saptaviDam punar Canda sahagatam boDisattvasya
   vīryaṃ punaḥ punaranuttarāyāṃ samyaksaṃbodhau tīvracchanda	vIryam punar punar anuttarAyAm samyaksaMboDO tIvra= Canda
   praṇidhānānuvṛṃhaṇatayā sāmyayuktaṃ bodhisattvasya vīryaṃ yadanyatamena	praNiDAna anuvRMhaNa tayA sAmya yuktam boDisattvasya vIryam yat anyatamena
   kleśopakleśenāsaṃkliṣṭacetaso 'paryavasthitasya yena vīryeṇa bodhisattvaḥ	kleSa upakleSena asaMklizwa cetasaH aparyavasTitasya yena vIryeNa boDisattvaH
   kuśaleṣu dharmeṣu tulyocittavihārī saṃbhavati / vaiśeṣikaṃ vīryaṃ	kuSalezu Darmezu tulya ucitta vihArI saMBavati / vESezikam vIryam
   bodhisattvasyānyatamenopakleśenopakliṣṭacetasaḥ [paryavasitacetasaḥ]	boDisattvasya anyatamena upakleSena upaklizwa cetasaH [paryavasita cetasaH]
   tasyopakleśasya prahāṇāya yadādīptaśiro nirvāṇopamaṃ vīryam / eṣakaṃ	tasya upakleSasya prahANAya yadAdIpta SiraH nirvANa upamam vIryam / ezakam
   vīryaṃ bodhisattvasya sarvavidyāsthānaparyeṣaṇatayā / śikṣāvīryaṃ	vIryam boDisattvasya sarva vidyA sTAna paryezaNa tayA / SikzA vIryam
   bodhisattvasya teṣveva paryeṣiteṣu dharmeṣu yathāyogyaṃ yathārhaṃ	boDisattvasya tezu eva paryezitezu Darmezu yaTAyogyam yaTArham
   dharmānudharmapratipattisaṃpādanatayā / parārthakriyāvīryaṃ bodhisattvasya	Darma anuDarma pratipatti saMpAdana tayA / para arTa kriyA vIryam boDisattvasya
   pūrvavadekādaśavidhaṃ veditavyam / ātmanaḥ samyakprayogārakṣāyai (Dutt	pUrvavat ekAdaSaviDam veditavyam / AtmanaH samyak prayoga ArakzAyE (Dutt
   141) skhalitasya ca yathādharmapratikaraṇatāyai vīryaṃ saptamaṃ	141) sKalitasya ca yaTADarma pratikaraNa tAyE vIryam saptamam
   bodhisattvasya / itīdaṃ trayodaśākāraṃ bodhisattvasya vīrya	boDisattvasya / iti idam trayodaSa AkAram boDisattvasya vIrya
   sarvākāramityucyate /	sarva AkAram iti ucyate /
   vighātārthikavīryaṃ cehāmutrasukhañca bodhisattvānāṃ vīryaṃ kṣāntivad	viGAta arTika vIryam ca iha amutra suKaQca boDisattvAnAm vIryam kzAnti vat 
   draṣṭavyam / tatrāyaṃ viśeṣaḥ / yā tatra kṣāntiḥ seha vīryamabhyutsāho	drazwavyam / tatra ayam viSezaH / yA tatra kzAntiH sA iha vIryam aByutsAhaH 
   vaktavyaḥ /	vaktavyaH /
   tatra katamadbodhisattvasya viśuddhaṃ vīryam / tatsamāsato daśavidhaṃ	tatra katamat boDisattvasya viSudDam vIryam / tad samAsataH daSaviDam
   veditavyam / anurūpamabhyastamaślathaṃ sugṛhītaṃ kālābhyāsa prayuktaṃ	veditavyam / anurUpam aByastam aSlaTam su gRhItam kAla aByAsa  prayuktam
   nimittaprativedhayuktamalīnamavidhuraṃ samaṃ mahābodhipariṇamitañceti /	nimitta prativeDa yukta m alInam aviDuram samam mahAboDi pariNami taQca iti /
   iha bodhisattvo yena yenopakleśenātyarthaṃ bādhyate / tasya	iha boDisattvaH yena yena upakleSena atyarTam bADyate / tasya
   tasyopakleśasya prahāṇāyānurūpaṃ pratipakṣaṃ bhajate / kāmarāgasya	tasya upakleSasya prahANAya anurUpam pratipakzam Bajate / kAma rAgasya
   pratipakṣeṇāśubhāṃ bhāvayati / vyāpādapratipakṣeṇa maitrīm /	pratipakzeNa aSuBAm BAvayati / vyApAda pratipakzeNa mEtrIm /
   mohapratipakṣeṇedaṃpratyayatā pratītyasamutpādaṃ bhāvayati /	moha pratipakzeNa idaMpratyaya tA  pratItyasamutpAdam BAvayati /
   vitarkapratipakṣeṇānāpānasmṛtim / mānapratipakṣeṇa dhātuprabhedaṃ	vitarka pratipakzeNa anApAna smRtim / mAna pratipakzeNa DAtu praBedam
   bhāvayati / idamevaṃbhāgīyaṃ bodhisattvasya anurūpaṃ [vīrya]mityucyate /	BAvayati / idam evaMBAgIyam boDisattvasya anurUpam [vIrya]m iti ucyate /
   iha bodhisattvo na ādikarmika tatprathamakarmikavīryeṇa samanvāgato	iha boDisattvaH naH Adi karmika  tad praTama karmika vIryeNa samanvAgataH 
   bhavati / yaduta cittasthitaye ' 'vavādānuśāsanyām /	Bavati / yat uta citta sTitaye a avavAda anuSAsanyAm /
   nānyatrābhyastaprayogo bhavati paricitaprayogaḥ / itīdaṃ	na anyatra aByasta prayogaH Bavati paricita prayogaH / iti idam
   bodhisattvasyābhyastaṃ vīryamityucyate /	boDisattvasya aByastam vIryam iti ucyate /
   na cāpi bodhisattvaḥ abhyastaprayogo bhavati avavādānuśāsanyāṃ	na ca api boDisattvaH aByasta prayogaH Bavati avavAda anuSAsanyAm
   cittasthitimārabhya / api tvādikarmika eva sa bodhisattvastasmin prayoge	citta sTitim AraBya / api tu Adi karmikaH eva sa boDisattvaH tasmin prayoge
   'ślathaprayogo bhavati sātatyasatkṛtyaprayogitayā / itīdaṃ	aSlaTa prayogaH Bavati sAtatya satkRtya prayogi tayA / iti idam
   bodhisattvasyāślathaṃ vīryamityucyate /	boDisattvasya ASlaTam vIryam iti ucyate /
   punarbodhisattvo guruṇāmantikāta svayameva vā bāhuśrutyabalādhānatayā	punar boDisattvaH guruNA AmantikAta svayam eva vA bAhu Srutya bala ADAna tayA
   'viparītagrāhitayā cittasthitaye vīryamārabhate / itīdaṃ bodhisattvasya	aviparIta grAhi tayA citta sTitaye vIryam AraBate / iti idam boDisattvasya
   sugṛhītaṃ vīryamityucyate /	su gRhItam vIryam iti ucyate /
   punarbodhisattvaḥ evamaviparītagrāhī śamathakāle śamathaṃ bhāvayati /	punar boDisattvaH evam aviparIta grAhI SamaTa kAle SamaTam BAvayati /
   pragrahakāle cittaṃ pratigṛhaṇāti / upekṣākāle upekṣāṃ bhāvayati /	pragraha kAle cittam pratigRhaNAti / upekzA kAle upekzAm BAvayati /
   idamasya kālaprayuktaṃ vīryamityucyate /	idam asya kAla prayuktam vIryam iti ucyate /
   (Dutt 142)	(Dutt 142)
   punarbodhisattvaḥ śamathapragrahopekṣānimittānāṃ	punar boDisattvaH SamaTa pragraha upekzA nimittAnAm
   samādhisthitivyutthānanimittānāṃ copalakṣaṇāsaṃpramoṣa prativedhāya	samADi sTiti vyutTAna nimittAnAm ca upalakzaNA saMpramoza  prativeDAya
   sātatyakārī bhavati satkṛtyakārī / itīdaṃ bodhisattvasya	sAtatyakArI Bavati satkRtya kArI / iti idam boDisattvasya
   nimittaprativedhaṃ vīryamityucyate /	nimitta prativeDam vIryam iti ucyate /
   punarbodhisattvaḥ paramodārān paramagambhīrānacintyāprameyān	punar boDisattvaH parama udArAn parama gamBIrAn acintya aprameyAn
   bodhisattvānāṃ vīryārambhanirdeśān śrutvā nātmānaṃ paribhavati na	boDisattvAnAm vIrya AramBa nirdeSAn SrutvA na AtmAnam pariBavati na
   salīnacitto bhavati / nāpi cālpamātrakeṇāvaramātrakeṇa viśeṣādhigamena	sa lIna cittaH Bavati / na api ca alpa mAtrakeNa avara mAtrakeNa viSeza aDigamena
   santuṣṭo bhavati / nottari na vyāyacchate / itīdaṃ bodhisattvasyālīnaṃ	santuzwaH Bavati / na uttari na vyAyacCate / iti idam boDisattvasya AlInam
   vīryamityucyate /	vIryam iti ucyate /
   punarbodhisattvaḥ kālena kālamindriyairguptadvāratāṃ bhojane mātrajñatāṃ	punar boDisattvaH kAlena kAlam indriyEH gupta dvAra tAm Bojane mAtra jQa tAm
   pūrvarātrāpararātraṃ jāgarikānuyuktatāṃ saprajānan	pUrvarAtra apararAtram jAgarikA anuyukta tAm sa prajAnan
   vihāritāmityevaṃbhāgīyān samādhisaṃbhārān samādāya vartate / teṣu codyukto	vihAritAm iti evaMBAgIyAn samADi saMBArAn samAdAya vartate / tezu ca udyuktaH 
   bhavati / aviparītañcārthopasaṃhitaṃ sarvatra yatnamārabhate / itīdaṃ	Bavati / aviparI taQca arTa upasaMhitam sarvatra yatnam AraBate / iti idam
   bodhisattvasyāvidhuraṃ vīryamityucyate /	boDisattvasya aviDuram vIryam iti ucyate /
   punarbodhisattvo nātilīnaṃ nātyārabdhaṃ vīryamārabhate / sama yogavāhi	punar boDisattvaH na ati lInam na atyArabDam vIryam AraBate / sama yogavAhi
   sarveṣu cārambhakaraṇīyeṣu samaṃ satkṛtyakārī bhavati / iyaṃ	sarvezu ca AramBa karaNIyezu samam satkRtya kArI Bavati / iyam
   bodhisattvasya samaṃ vīryamityucyate /	boDisattvasya samam vIryam iti ucyate /
   punarbodhisattvaḥ sarvavīryārambhānabhisaṃskṛtānanuttarāyāṃ	punar boDisattvaH sarva vIrya AramBAn aBisaMskRtAn anuttarAyAm
   samyaksaṃbodhau pariṇamayatīdaṃ bodhisattvasya samyak pariṇamitaṃ	samyaksaMboDO pariNamayati idam boDisattvasya samyak pariNamitam
   vīryamityucyate /	vIryam iti ucyate /
   ityetatsvabhāvavīryādikaṃ viśuddhavīryāvasānañca bodhisattvānāṃ vīrya	iti etad svaBAva vIrya Adikam viSudDa vIrya avasAnaQca boDisattvAnAm vIrya
   mahābodhiphalaṃ yadāśritya bodhisattvā vīryapāramitāṃ paripūrya anuttarāṃ	mahAboDi Palam yat ASritya boDisattvAH vIrya pAramitAm paripUrya anuttarAm
   samyak saṃbodhimabhisaṃbuddhā abhisaṃbhotsyante 'bhisaṃbudhyante ca /	samyak saMboDim aBisaMbudDAH aBisaMBotsyante aBisaMbuDyante ca /
   iti bodhisattvabhūmāvādhāre yogasthāne dvādaśamaṃ vīryapaṭalaṃ samāptam /	iti boDisattva BUmO= ADAre yoga sTAne dvAdaSamam vIrya pawalam samAptam /
   (Dutt 143)	(Dutt 143)
   Dhyānapaṭalama (Chapter 1.13)	DhyAna pawalamaH (ChapteH 1.13)
   uddānaṃ pūrvaṃvadveditavyam /	uddAnam pUrvaMvat veditavyam /
   tatra katamo bodhisattvānāṃ dhyānasvabhāvaḥ /	tatra katamaH boDisattvAnAm DyAna svaBAvaH /
   bodhisattvapiṭakaśravaṇacintāpūrvakaṃ yallaukikaṃ lokottaraṃ	boDisattva piwaka SravaNa cintA pUrvakam yat lOkikam loka uttaram
   bodhisattvānāṃ kuśalaṃ cittaikāgryañcittasthitiḥ śamathapakṣyā vā	boDisattvAnAm kuSalam citta ekAgryaQcitta sTitiH SamaTa pakzyA vA
   vipaśyanāpakṣyā vā yuganaddhavāhimārgaṃ tadubhayāpakṣyā vā / ayaṃ	vipaSyana apakzyAH vA yuga nadDa vAhi mArgam tad uBaya apakzyAH vA / ayam
   bodhisattvānāṃ dhyānasvabhāvo veditavyaḥ /	boDisattvAnAm DyAna svaBAvaH veditavyaH /
   tatra katamadbodhisattvānāṃ sarvaṃdhyānam / tad dvividhaṃ draṣṭavyam /	tatra katamat boDisattvAnAm sarvaMDyAnam / tat dviviDam drazwavyam /
   laukikaṃ lokottarañca / tatpunaryathāyogaṃ trividhaṃ veditavyam /	lOkikam loka uttaraQca / tat punar yaTAyogam triviDam veditavyam /
   dṛṣṭadharmasukhavihārāya dhyānaṃ bodhisattva samādhiguṇanirhārāya dhyāna	dRzwa Darma suKa vihArAya DyAnam boDisattva  samADi guNa nirhArAya DyAna
   sattvārthakriyāyai dhyānam /	sattva arTa kriyAyE DyAnam /
   tatra yadbodhisattvānāṃ sarvavikalpāpagataṃ	tatra yat boDisattvAnAm sarva vikalpa apagatam
   kāyikacaittasikaprasrabdhijanakaṃ paramapraśāntaṃ	kAyika cEttasika prasrabDi janakam parama praSAntam
   manyanāpagatamanāsvāditaṃ sarvanimittāpagataṃ dhyānam / idameṣāṃ	manyana apagatam anAsvAditam sarva nimitta apagatam DyAnam / idam ezAm
   dṛṣṭadharmasukhavihārāya veditavyam /	dRzwa Darma suKa vihArAya veditavyam /
   tatra yadbodhisattvānāṃ dhyānaṃ	tatra yat boDisattvAnAm DyAnam
   vicitrācintyāpramāṇadaśabalagotra saṃgṛhītasamādhinirhārāya saṃvartate /	vicitra acintya apramANa daSa bala gotra  saMgRhIta samADi nirhArAya saMvartate /
   yeṣāṃ samādhīnāṃ sarvaśrāvakapratyekabuddhā api nāmāpi na prajānanti kutaḥ	yezAm samADInAm sarva SrAvaka pratyekabudDAH api nAma api na prajAnanti kutas 
   punaḥ samāpatsyante / yacca bodhisattvavimokṣābhibhvāyatanakṛtsnāyatanānāṃ	punar samApatsyante / yat ca boDisattva vimokza aBiBvAyatana kRt snA AyatanAnAm
   pratisaṃvid araṇā praṇidhijñānādīnāṃ [guṇānāṃ]	pratisaMvid  araNA  praNiDi jQAna AdInAm [guNAn AM]
   śrāvakasādhāraṇānāmabhinirhārāya saṃvartate / idaṃ bodhisattvasya dhyānaṃ	SrAvaka sADAraNAnAm aBinirhArAya saMvartate / idam boDisattvasya DyAnam
   samādhiguṇābhinirhārāya veditavyam / sattvārthakarmaṇi dhyānaṃ	samADi guNa aBinirhArAya veditavyam / sattva arTa karmaNi DyAnam
   bodhisattvasyaikādaśākāraṃ pūrvavadveditavyam / yaddhyānaṃ niśritya	boDisattvasya ekAdaSa AkAram pUrvavat veditavyam / yat DyAnam niSritya
   bodhisattvaḥ sattvānāṃ kṛtyeṣvarthopasaṃhiteṣu sahāyībhāvaṃ gacchati /	boDisattvaH sattvAnAm kRtyezu arTa upasaMhitezu sahAyIBAvam gacCati /
   duḥkhamanapanayati / duḥkhitānāṃ nyāyamupadiśati / kṛtajñaḥ kṛtavedī	duHKam anapanayati / duHKitAnAm nyAyam upadiSati / kRtajQaH kRtavedI
   upakāriṣu pratyupakāraṃ karoti / bhayebhyo rakṣati / vyasanasthānāṃ śokaṃ	upakArizu pratyupakAram karoti / BayeByaH rakzati / vyasana sTAnAm Sokam
   prativinodayati / upakaraṇavikalānāmupakaraṇopasaṃhāraṃ karoti / samyak	prativinodayati / upakaraNa vikalAnAm upakaraNa upasaMhAram karoti / samyak 
