   govardhanācārya-viracitā	govarDana-AcArya--viracitA
   nītā svabhāvam arpita-vapur api vāmyaṃ na kāminī tyajati |	nItA svaBAvam arpita--vapuH api vAmyam na kAminI tyajati |
   hara-dehārdha-grathitā nidarśanaṃ pārvatī tatra ||GAss_311||	hara--deha-arDa--graTitA nidarSanam pArvatI tatra ||GAsH-_311||
   nāgara-bhogānumita-sva-vadhū-saundarya-garva-taralasya |	nAgara---Boga-anumita--sva--vaDU--sOndarya--garva--taralasya |
   nipatati padaṃ na bhūmau jñāti-puras tantu-vāyasya ||GAss_312||	nipatati padam na BUmO jQAti-puraH tantu--vAyasya ||GAsH-_312||
   nipatati caraṇe koṇe praviśya niśi yan nirīkṣate kas tat |	nipatati caraNe koNe praviSya niSi yat nirIkzate kaH tat |
   sakhi sa khalu loka-purataḥ khalaḥ sva-garimāṇam udgirati ||GAss_313||	saKi sa Kalu loka-puratas KalaH sva--garimANam udgirati ||GAsH-_313||
   na vimocayituṃ śakyaḥ kṣamāṃ mahān mocito yadi kathaṃcit |	na vimocayitum SakyaH kzamAm mahAn mocitaH yadi kaTaMcid |
   mandara-girir iva garalaṃ nivartate nanu samutthāpya ||GAss_314||	mandara-giriH iva garalam nivartate nanu samutTApya ||GAsH-_314||
   niyataiḥ padair niṣevyaṃ skhalite'narthāvahaṃ samāśrayati |	niyatEH padEH nizevyam sKalite-anarTa-Avaham samASrayati |
   sambhavad anya-gatiḥ kaḥ saṅkrama-kāṣṭhaṃ durīśaṃ ca ||GAss_315||	samBavat anya-gatiH kaH saFkrama-kAzWam durISam ca ||GAsH-_315||
   nija-pada-gati-guṇa-rañjita-jagatāṃ kariṇāṃ ca sat-kavīnāṃ ca |	nija-pada--gati--guNa-raQjita--jagatAm kariNAm ca sat-kavInAm ca |
   vahatām api mahimānaṃ śobhāyai sajjanā eva ||GAss_316||	vahatAm api mahimAnam SoBAyE sat-janAH eva ||GAsH-_316||
   nottapane na snehaṃ harati na nirvāti na malino bhavati |	na-uttapane na sneham harati na nirvAti na malinaH Bavati |
   tasyojjvalo niśi niśi premā ratna-pradīpa iva ||GAss_317||	tasya-ujjvalaH niSi niSi premAH ratna--pradIpaH iva ||GAsH-_317||
   nihitān nihitān ujjhati niyataṃ mama pārthivān api prema |	nihitAn nihitAn ujJati niyatam mama pArTivAn api prema |
   bhrāmaṃ bhrāmaṃ tiṣṭhati tatraiva kulāla-cakram iva ||GAss_318||	BrAmam BrAmam tizWati tatra-eva kulAla-cakram iva ||GAsH-_318||
   nirbharam api sambhuktaṃ dṛṣṭyā prātaḥ piban na tṛpyāmi |	nirBaram api samBuktam dRzwyA prAtar piban na tRpyAmi |
   jaghanam anaṃśukam asyāḥ koka ivāśiśira-kara-bimbam ||GAss_319||	jaGanam anaMSukam asyAH kokaH iva-ASiSira-kara--bimbam ||GAsH-_319||
   niviḍa-ghaṭitoru-yugalāṃ śvāsottabdha-stanārpita-vyajanām |	nivixa--Gawita-Uru--yugalAm SvAsa-uttabDa--stana-arpita--vyajanAm |
   tāṃ snigdha-kupita-dṛṣṭiṃ smarāmi rata-niḥsahāṃ sutanum ||GAss_320||	tAm snigDa---kupita--dRzwim smarAmi rata--niHsahAm su-tanum ||GAsH-_320||
   nirguṇa iti mṛta iti ca dvāv ekārthābhidhāyinau viddhi |	nirguNaH iti mRtaH iti ca dvO eka-arTa-aBiDAyinO vidDi |
   paśya dhanur-guṇa-śūnyaṃ nirjīvaṃ tad iha śaṃsanti ||GAss_321||	paSya DanuH--guNa--SUnyam nirjIvam tat iha SaMsanti ||GAsH-_321||
   nija-sūkṣma-sūtra-lambī vilocanaṃ taruṇa te kṣaṇaṃ haratu |	nija--sUkzma-sUtra--lambI vilocanam taruNa te kzaNam haratu |
   ayam udgṛhīta-vaḍiśaḥ karkaṭa iva markaṭaḥ purataḥ ||GAss_322||	ayam udgRhIta-vaxiSaH karkawaH iva markawaH puratas ||GAsH-_322||
   nāgara gītir ivāsau grāma-sthityāpi bhūṣitā sutanuḥ |	nAgara gItiH iva-asO grAma--sTityA-api BUzitA su-tanuH |
   kastūrī na mṛgodara-vāsa-vaśād visratām eti ||GAss_323||	kastUrI na mRgodara--vAsa--vaSAt visra-tAm eti ||GAsH-_323||
   nakha-likhita-stani kura-baka-maya-pṛṣṭhe bhūmi-lulita-virasāṅgi |	naKa-liKita--stani kura-baka-maya--pRzWe BUmi-lulita-virasa-aFgi |
   hṛdaya-vidāraṇa-niḥsṛta-kusumāsra-śareva harasi manaḥ ||GAss_324||	hRdaya--vidAraNa--niHsRta--kusuma-asra--SarA-iva harasi manaH ||GAsH-_324||
   nītā laghimānam iyaṃ tasyāṃ garimāṇam adhikam arpayasi |	nItA laGimAnam iyam tasyAm garimANam aDikam arpayasi |
   bhāra iva viṣama-bhāryaḥ sudurvaho bhavati gṛha-vāsaḥ ||GAss_325||	BAraH iva vizama--BAryaH su-durvahaH Bavati gRha-vAsaH ||GAsH-_325||
   na ca dūtī na ca yācñā na cāñjalir na ca kaṭākṣa-vikṣepaḥ |	na ca dUtI na ca yAcQA na ca-aQjaliH na ca kawAkza-vikzepaH |
   saubhāgya-mānināṃ sakhi kaca-grahaḥ prathamam abhiyogaḥ ||GAss_326||	sOBAgya--mAninAm saKi kaca-grahaH praTamam aBiyogaH ||GAsH-_326||
   niśi viṣama-kusuma-viśikha-preritayor mauna-labdha-rati-rasayoḥ |	niSi vizama--kusuma--viSiKa--preritayoH mOna--labDa--rati--rasayoH |
   mānas tathaiva vilasati dampatyor aśithila-granthiḥ ||GAss_327||	mAnaH taTA-eva vilasati dampatyoH aSiTila--granTiH ||GAsH-_327||
   nija-gātra-nirviśeṣa-sthāpitam api sāram akhilam ādāya |	nija--gAtra--nirviSeza--sTApitam api sAram aKilam AdAya |
   nirmokaṃ ca bhujaṅgī muñcati puruṣaṃ ca vāra-vadhūḥ ||GAss_328||	nirmokam ca BujaFgI muQcati puruzam ca vAra-vaDUH ||GAsH-_328||
   nṛtya-śrama-gharmārdraṃ muñcasi kṛcchreṇa kañcukaṃ sutanu |	nRtya--Srama--Garma-Ardram muQcasi kRcCreNa kaQcukam su-tanu |
   makarandodaka-juṣṭaṃ madana-dhanur-vallir iva colam ||GAss_329||	makaranda-udaka--juzwam madana--DanuH--valliH iva colam ||GAsH-_329||
   nāhaṃ vadāmi sutanu tvam aśīlā vā pracaṇḍa-caritā vā |	na-aham vadAmi su-tanu tvam aSIlA vA pracaNxa--caritAH vA |
   prema-svabhāva-sulabhaṃ bhayam udayati mama tu hṛdayasya ||GAss_330||	prema--svaBAva--sulaBam Bayam udayati mama tu hRdayasya ||GAsH-_330||
   na nirūpito 'si sakhyā niyataṃ netra-tribhāga-mātreṇa |	na nirUpitaH asi saKyA niyatam netra-tri-BAga--mAtreNa |
   hārayati yena kusumaṃ vimukhe tvayi kaṇṭha iva deve ||GAss_331||	hArayati yena kusumam vimuKe tvayi kaNWaH iva deve ||GAsH-_331||
   nakha-daśana-muṣṭi-pātair adayair āliṅganaiś ca subhagasya |	naKa-daSana--muzwi-pAtEH adayEH AliFganEH ca suBagasya |
   aparādhaṃ śaṃsantyaḥ śāntiṃ racayanti rāgiṇyaḥ ||GAss_332||	aparADam SaMsantyaH SAntim racayanti rAgiNyaH ||GAsH-_332||
   na guṇe na lakṣaṇe'pi ca vayasi ca rūpe ca nādaro vihitaḥ |	na guNe na lakzaNe-api ca vayasi ca rUpe ca na-AdaraH vihitaH |
   tvayi saurabheyi ghaṇṭā kapilā-putrīti baddheyam ||GAss_333||	tvayi sOraBeyi GaNwA kapilA--putrI-iti badDA-iyam ||GAsH-_333||
   niṣkāraṇāparādhaṃ niṣkāraṇa-kalaha-roṣa-paritoṣam |	nizkAraNa-aparADam nizkAraNa--kalaha--roza--paritozam |
   sāmānya-maraṇa-jīvana-sukha-duḥkhaṃ jayati dāmpatyam ||GAss_334||	sAmAnya--maraNa-jIvana--suKa--duHKam jayati dAmpatyam ||GAsH-_334||
   na prāpyase karābhyāṃ hṛdayān nāpaiṣi vitanuṣe bādhām |	na prApyase karAByAm hRdayAt na-apEzi vitanuze bADAm |
   tvaṃ mama bhagnāvastita-kusumāyudha-viśikha-phalikeva ||GAss_335||	tvam mama Bagna-avastita--kusumAyuDa--viSiKa--PalikA-iva ||GAsH-_335||
   nātheti paruṣam ucitaṃ priyeti dāsety anugraho yatra |	nATa-iti paruzam ucitam priyA-iti dAsa-iti anugrahaH yatra |
   tad-dāmpatyam ito 'nyan nārī rajjuḥ paśuḥ puruṣaḥ ||GAss_336||	tat--dAmpatyam itas anyat nArI rajjuH paSuH puruzaH ||GAsH-_336||
   nihitāyām asyām api saivaikā manasi me sphurati |	nihitAyAm asyAm api sA-eva-ekA manasi me sPurati |
   rekhāntaropadhānāt pattrākṣara-rājir iva dayitā ||GAss_337||	reKA-antara-upaDAnAt pattra-akzara--rAjiH iva dayitA ||GAsH-_337||
   nidhi-nikṣepa-sthānasyopari cihnārtham iva latā nihitā |	niDi-nikzepa--sTAnasya-upari cihna-arTam iva latA nihitAH |
   lobhayati tava tanūdari jaghana-taṭād upari romālī ||GAss_338||	loBayati tava tanu-udari jaGana--tawAt upari romAlI ||GAsH-_338||
   nihitārdha-locanāyās tvaṃ tasyā harasi hṛdaya-paryantam |	nihita-arDa--locanAyAH tvam tasyAH harasi hRdaya--paryantam |
   na subhaga samucitam īdṛśam aṅguli-dāne bhujaṃ gilasi ||GAss_339||	na suBaga samucitam IdRSam aFguli-dAne Bujam gilasi ||GAsH-_339||
   nītvāgāraṃ rajanī-jāgaram ekaṃ ca sādaraṃ dattvā |	nItvA-AgAram rajanI--jAgaram ekam ca sa-Adaram dattvA |
   acireṇa kair na taruṇair durgā-pattrīva muktāsi ||GAss_340||	acireNa kEH na taruNEH durgA-pattrI-iva muktA-asi ||GAsH-_340||
   nakṣatre'gnāv indāv udare kanake maṇau dṛśi samudre |	nakzatre-agnO indO udare kanake maNO dRSi samudre |
   yat khalu tejas tad akhilam ojāyitam abja-mitrasya ||GAss_341||	yat Kalu tejaH tat aKilam ojAyitam abja-mitrasya ||GAsH-_341||
   na savarṇo na ca rūpaṃ na saṃskriyā kāpi naiva sā prakṛtiḥ |	na savarNaH na ca rUpam na saMskriyA kA-api na-eva sA prakRtiH |
   bālā tvad-virahāpadi jātāpabhraṃśa-bhāṣeva ||GAss_342||	bAlA tvad--viraha-Apadi jAta-apaBraMSa--BAzA-iva ||GAsH-_342||
   na vibhūṣaṇe tavāsthā vapur guṇenaiva jayasi sakhi yūnaḥ |	na viBUzaNe tava-AsTA vapuH guNena-eva jayasi saKi yUnaH |
   avadhīritāstra-śastrā kusumeṣor malla-vidyeva ||GAss_343||	avaDIrita-astra--SastrA kusumezoH malla-vidyA-iva ||GAsH-_343||
   netrākṛṣṭo bhrāmaṃ bhrāmaṃ preyān yathā yathāsti tathā |	netra-AkRzwaH BrAmam BrAmam preyAn yaTA yaTA-asti taTA |
   sakhi manthayati mano mama dadhi-bhāṇḍaṃ mantha-daṇḍa iva ||GAss_344||	saKi manTayati manaH mama daDi-BANxam manTa--daNxaH iva ||GAsH-_344||
   nānā-varṇaka-rūpaṃ prakalpayantī manoharaṃ tanvī |	nAnA--varNaka-rUpam prakalpayantI manoharam tanvI |
   citrakara-tūlikeva tvāṃ sā pratibhitti bhāvayati ||GAss_345||	citrakara--tUlikA-iva tvAm sA pratiBitti BAvayati ||GAsH-_345||
   iti vibhāvyākhyā-sametā na-kāra-vrajyā ||	iti viBAvi-a-AKyA--sametAH na-kAra-vrajyA ||
   pa-kāra-vrajyā	pa-kAra-vrajyA
   pathikāsaktā kiṃcin na veda ghana-kalam agopitā gopī |	paTika-AsaktA kiMcid na veda Gana-kalam agopitA gopI |
   keli-kalā-huṅkāraiḥ kīrāvali mogham apasarasi ||GAss_346||	keli-kalA--huFkArEH kIra-Avali moGam apasarasi ||GAsH-_346||
   praṇamati paśyati cumbati saṃśliṣyati pulaka-mukulitair aṅgaiḥ |	praNamati paSyati cumbati saMSlizyati pulaka-mukulitEH aFgEH |
   priya-saṅgāya sphuritāṃ viyoginī vāma-bāhulatām ||GAss_347||	priya-saFgAya sPuritAm viyoginI vAma-bAhu-latAm ||GAsH-_347||
   praviśasi na ca nirgantuṃ jānāsi vyākulatvam ātanuṣe |	praviSasi na ca nirgantum jAnAsi vyAkula-tvam Atanuze |
   bālaka cetasi tasyāś cakra-vyūhe'bhimanyur iva ||GAss_348||	bAlaka cetasi tasyAH cakra--vyUhe-aBimanyuH iva ||GAsH-_348||
   paśyānurūpam indindireṇa mākanda-śekharo mukharaḥ |	paSya-anurUpam indindireNa mAkanda--SeKaraH muKaraH |
   api ca picu-manda-mukule maukuli-kulam ākulaṃ milati ||GAss_349||	api ca picu-manda--mukule mOkuli-kulam Akulam milati ||GAsH-_349||
   pratibimba-sambhṛtānanam ādarśaṃ sumukha mama sakhī-hastāt |	pratibimba--samBRta-Ananam AdarSam su-muKa mama saKI--hastAt |
   ādātum icchasi mudhā kiṃ līlā-kamala-mohena ||GAss_350||	AdAtum icCasi muDA kim lIlA--kamala--mohena ||GAsH-_350||
   prācīnācala-mauler yathā śaśī gagana-madhyam adhivasati |	prAcIna-acala--mOleH yaTA SaSI gagana--maDyam aDivasati |
   tvāṃ sakhi paśyāmi tathā chāyām iva saṅkucan mānām ||GAss_351||	tvAm saKi paSyAmi taTA CAyAm iva saFkucan mAnAm ||GAsH-_351||
   prāṅgaṇa-koṇe'pi niśāpatiḥ sa tāpaṃ sudhāmayo harati |	prAFgaNa-koNe-api niSApatiH sa tApam suDA-mayaH harati |
   yadi māṃ rajani-jvara iva sakhi sa na niruṇaddhi geha-patiḥ ||GAss_352||	yadi mAm rajani-jvaraH iva saKi sa na niruNadDi geha-patiH ||GAsH-_352||
   pati-pulaka-dūna-gātrī svacchāyāvīkṣaṇe'pi yā sabhayā |	pati--pulaka-dUna--gAtrI sva=-CAyA-vIkzaNe-api yA sa-BayA |
   abhisarati subhaga sā tvāṃ vidalantī kaṇṭakaṃ tamasi ||GAss_353||	aBisarati suBaga sA tvAm vidalantI kaNwakam tamasi ||GAsH-_353||
   pratibhūḥ śuko vipakṣe daṇḍaḥ śṛṅgāra-saṅkathā guruṣu |	pratiBUH SukaH vipakze daNxaH SRFgAra--saFkaTA guruzu |
   puruṣāyitaṃ paṇas tad-bāle paribhāvyatāṃ dāyaḥ ||GAss_354||	puruzAyitam paNaH tad--bAle pariBAvyatAm dAyaH ||GAsH-_354||
   para-mohanāya mukto niṣkaruṇe taruṇi tava kaṭākṣo 'yam |	para-mohanAya muktaH nizkaruNe taruNi tava kawAkzaH ayam |
   viśikha iva kalita-karṇaḥ praviśati hṛdayaṃ na niḥsarati ||GAss_355||	viSiKaH iva kalita-karNaH praviSati hRdayam na niHsarati ||GAsH-_355||
   prapadālambita-bhūmiś cumbantī prīti-bhīti-madhurākṣī |	prapada-Alambita-BUmiH cumbantI prIti-BIti--maDura-akzI |
   prācīrāgra-niveśita-cibukatayā na patitā sutanuḥ ||GAss_356||	prAcIra-agra--niveSita---cibuka-tayA na patitA su-tanuH ||GAsH-_356||
   prātar upāgatya mrṣā vadataḥ sakhi nāsya vidyate vrīḍā |	prAtar upAgatya mrzA vadataH saKi na-asya vidyate vrIxA |
   mukha-lagnayāpi yo 'yaṃ na lajjate dagdha-kālikayā ||GAss_357||	muKa--lagnayA-api yaH ayam na lajjate dagDa--kAlikayA ||GAsH-_357||
   paśyottaras tanūdari phālgunam āsādya nirjita-vipakṣaḥ |	paSya-uttaraH tanu-udari PAlgunam AsAdya nirjita-vipakzaH |
   vairāṭir iva pataṅgaḥ pratyānayanaṃ karoti gavām ||GAss_358||	vErAwiH iva pataFgaH pratyAnayanam karoti gavAm ||GAsH-_358||
   pramada-vanaṃ tava ca stana-śailaṃ mūlaṃ gabhīra-sarasāṃ ca |	pramada--vanam tava ca stana-SElam mUlam gaBIra--sarasAm ca |
   jagati nidāgha-nirastaṃ śaityaṃ durga-trayaṃ śrayati ||GAss_359||	jagati nidAGa--nirastam SEtyam durga-trayam Srayati ||GAsH-_359||
   proñchati tavāparādhaṃ mānaṃ mardayati nirvṛtiṃ harati |	proQCati tava-aparADam mAnam mardayati nirvRtim harati |
   svakṛtān nihanti śapathāñ jāgara-dīrghā niśā subhaga ||GAss_360||	sva-kRtAn nihanti SapaTAn jAgara--dIrGA niSA suBagaH ||GAsH-_360||
   priya āyāte dūrād abhūta iva saṅgamo 'bhavat pūrvaḥ |	priyaH AyAte dUrAt aBUtaH iva saFgamaH aBavat pUrvaH |
   māna-rudita-prasādāḥ punar āsanna-para-suratādau ||GAss_361||	mAna-rudita--prasAdAH punar Asanna-para--surata-AdO ||GAsH-_361||
   pūrva-mahī-dhara-śikhare tamaḥ samāsanna-mihira-kara-kalitam |	pUrva--mahI--Dara--SiKare tamaH samAsanna--mihiH-a-kara--kalitam |
   śūla-protaṃ sarudhiram idam andhaka-vapur ivābhāti ||GAss_362||	SUla--protam sa-ruDiram idam anDaka--vapuH iva-ABAti ||GAsH-_362||
   parivṛtta-nābhi lupta-trivali śyāma-stanāgram alasākṣi |	parivRtta--nABi lupta--tri-vali SyAma--stana-agram alasa-akzi |
   bahu-dhavala-jaghana-rekhaṃ vapur na puruṣāyitaṃ sahate ||GAss_363||	bahu-Davala--jaGana-reKam vapuH na puruzAyitam sahate ||GAsH-_363||
   prārabdha-nidhuvanaiva sveda-jalaṃ komalāṅgi kiṃ vahasi |	prArabDa--niDuvanA-eva sveda--jalam komala-aFgi kim vahasi |
   jyām arpayituṃ namitā kusumāstra-dhanur-lateva madhu ||GAss_364||	jyAm arpayitum namitA kusuma-astra--DanuH--latA-iva maDu ||GAsH-_364||
   puṃsāṃ darśaya sundari mukhendum īṣat trpām apākṛtya |	puMsAm darSaya sundari muKa-indum Izat trpAm apAkRtya |
   jāyājita iti rūḍhā jana-śrutir me yaśo bhavatu ||GAss_365||	jAyA-ajitaH iti rUXA jana--SrutiH me yaSaH Bavatu ||GAsH-_365||
   prasaratu śarat-triyāmā jaganti dhavalayatu dhāma tuhināṃśoḥ |	prasaratu Sarat-triyAmAH jaganti Davalayatu DAma tuhina-aMSoH |
   pañjara-cakorikāṇāṃ kaṇikākalpo 'pi na viśeṣaḥ ||GAss_366||	paQjara-cakorikANAm kaNikA-kalpaH api na viSezaH ||GAsH-_366||
   prathamāgata sotkaṇṭhā cira-caliteyaṃ vilamba-doṣe tu |	praTama-Agata sa-utkaNWA cira--calitA-iyam vilamba--doze tu |
   vakṣyanti sāṅga-rāgāḥ pathi taravas tava samādhānam ||GAss_367||	vakzyanti sa-aFga-rAgAH paTi taravaH tava samADAnam ||GAsH-_367||
   patite'ṃśuke stanārpita-hastāṃ tāṃ niviḍa-jaghana-pihitorum |	patite-aMSuke stana-arpita-hastAm tAm nivixa--jaGana--pihita-Urum |
   rada-pada-vikalita-phūtkṛti-śata-dhuta-dīpāṃ manaḥ smarati ||GAss_368||	rada-pada--vikalita-PUtkRti--Sata--Duta-dIpAm manaH smarati ||GAsH-_368||
   paritaḥ sphurita-mahauṣadhi-maṇi-nikare keli-talpa iva śaile |	paritas sPurita--mahOzaDi--maNi--nikare keli-talpaH iva SEle |
   kāñcī-guṇa iva patitaḥ sthitaika-ratnaḥ phaṇī sphurati ||GAss_369||	kAQcI--guNaH iva patitaH sTita-eka-ratnaH PaNI sPurati ||GAsH-_369||
   prāvṛṣi śaila-śreṇī-nitambam uhhan dig-antare bhramasi |	prAvRzi SEla--SreNI-nitambam uhhan diS--antare Bramasi |
   capalāntara ghana kiṃ tava vacanīyaṃ pavana-vaśyo 'si ||GAss_370||	capala-antara Gana kim tava vacanIyam pavana-vaSyaH asi ||GAsH-_370||
   prati-divasa-kṣīṇa-daśas tavaiṣa vasanāñcalo 'tikara-kṛṣṭaḥ |	prati-divasa--kzINa-daSaH tava-eza vasana-aQcalaH ati-kara-kRzwaH |
   nija-nāyakam atikṛpaṇaṃ kathayati kugrāma iva viralaḥ ||GAss_371||	nija--nAyakam ati-kRpaNam kaTayati ku-grAmaH iva viralaH ||GAsH-_371||
   pathika kathaṃ capalojjvalam ambuda-jala-bindu-nihvaham aviṣahyam |	paTika kaTam capala-ujjvalam ambuda--jala--bindu--nihvaham avizahyam |
   mayapura-kanaka-dravam iva śiva-śara-śikhi-bhāvitaṃ sahase ||GAss_372||	maya-pura-kanaka--dravam iva Siva-Sara--SiKi--BAvitam sahase ||GAsH-_372||
   pathikaṃ śrameṇa suptaṃ dara-taralā taruṇi sumadhura-cchāyā |	paTikam SrameNa suptam dara-taralA taruNi su-maDura--=-CAyA |
   vyālambamāna-veṇiḥ sukhayasi śākheva sārohā ||GAss_373||	vyAlambamAna-veNiH suKayasi SAKA-iva sa-ArohAH ||GAsH-_373||
   pradadāti nāparāsāṃ praveśam api pīna-tuṅga-jaghanorūḥ |	pradadAti na-aparAsAm praveSam api pIna--tuFga--jaGana-UrUH |
   yā lupta-kīla-bhāvaṃ yātā hṛdi bahir adṛśyāsi ||GAss_374||	yA lupta--kIla-BAvam yAtA hRdi bahis adRSyA-asi ||GAsH-_374||
   prātar nidrāti yathā yathātmajā lulita-niḥsahair aṅgaiḥ |	prAtar nidrAti yaTA yaTA-AtmajA lulita--niHsahEH aFgEH |
   jāmātari mudita-manās tathā tathā sādarā śvaśrūḥ ||GAss_375||	jAmAtari mudita--manAH taTA taTA sAdarA SvaSrUH ||GAsH-_375||
   praṇaya-calito 'pi sakapaṭa-kopa-kaṭākṣair mayāhita-stambhaḥ |	praNaya--calitaH api sakapa-wa-ka-upa-kawAkzEH mayA-ahita--stamBaH |
   trāsa-taralo gṛhītaḥ sahāsa-rabhasaṃ priyaḥ kaṇṭhe ||GAss_376||	trAsa-taralaH gRhItaH sahAsa-raBasam priyaH kaNWe ||GAsH-_376||
   priya-durnayena hṛdaya sphuṭasi yadi sphuṭanam api tava ślāghyam |	priya-durnayena hRdaya sPuwasi yadi sPuwanam api tava SlAGyam |
   tat-keli-samara-talpī-kṛtasya vasanāñcalasyeva ||GAss_377||	tat-keli--samara-talpI--kRtasya vasana-aQcalasya-iva ||GAsH-_377||
   pavanopanīta-saurabha-dūrodaka-pūra-padminī-lubdhaḥ |	pavana-upanIta--sOraBa-dUra-udaka-pUra-padminI--lubDaH |
   aparīkṣita-svapakṣo gantā hantāpadaṃ madhupaḥ ||GAss_378||	aparIkzita--sva-pakzaH gantA hanta-Apadam maDupaH ||GAsH-_378||
   prema-laghū-kṛta-keśava- vakṣo-bhara-vipula-pulaka-kuca-kalaśā |	prema-laGU-kRta-keSava vakzo-Bara--vipula--pulaka-kuca-kalaSAH |
   govardhana-giri-gurutāṃ mugdha-vadhūr nibhṛtam upahasati ||GAss_379||	govarDana--giri--guru-tAm mugDa--vaDUH niBRtam upahasati ||GAsH-_379||
   priya-viraha-niḥsahāyāḥ sahaja-vipakṣābhir api sapatnībhiḥ |	priya-viraha--niHsahAyAH sahaja--vipakzABiH api sapatnIBiH |
   rakṣyante hariṇākṣyāḥ prāṇā gṛha-bhaṅga-bhītābhiḥ ||GAss_380||	rakzyante hariNa-akzyAH prANAH gRha-BaFga-BItABiH ||GAsH-_380||
   prakaṭayasi rāgam adhikaṃ lapanam idaṃ vakrimāṇam āvahati |	prakawayasi rAgam aDikam lapanam idam vakrimANam Avahati |
   prīṇayati ca pratipadaṃ dūti śukasyeva dayitasya ||GAss_381||	prINayati ca pratipadam dUti Sukasya-iva dayitasya ||GAsH-_381||
   praviśantyāḥ priya-hṛdayaṃ bālāyāḥ prabala-yauvata-vyāptam |	praviSantyAH priya-hRdayam bAlAyAH prabala-yOvata--vyAptam |
   nava-niśita-dara-taraṅgita-nayana-mayenāsinā panthāḥ ||GAss_382||	nava--niSita--dara--taraFgita--nayana-mayena-asinA panTAH ||GAsH-_382||
   praṇayāparādha-roṣa-prasāda-viśvāsa-keli-pāṇḍityaiḥ |	praNaya-aparADa--roza--prasAda--viSvAsa--keli--pANxityEH |
   rūḍha-premā hriyate kiṃ bālā-kutuka-mātreṇa ||GAss_383||	rUXa--premAH hriyate kim bAlA--kutuka--mAtreNa ||GAsH-_383||
   pūrvair eva caritair jarato 'pi pūjyatā bhavataḥ |	pUrvEH eva caritEH jarataH api pUjyatA BavataH |
   muñca madam asya gandhād yuvabhir gaja gaūjanīyo 'si ||GAss_384||	muQca madam asya ganDAt yuvaBiH gaja gaUjanIyaH asi ||GAsH-_384||
   prathamaṃ praveśitā yā vāsāgāraṃ kathañcana sakhībhiḥ |	praTamam praveSitA yA vAsAgAram kaTaQcana saKIBiH |
   na śṛṇotīva prātaḥ sā nirgamanasya saṅketam ||GAss_385||	na SRNoti-iva prAtar sA nirgamanasya saFketam ||GAsH-_385||
   pūjā vinā pratiṣṭhāṃ nāsti na mantraṃ vinā pratiṣṭhā ca |	pUjA vinA pratizWAm na-asti na mantram vinA pratizWA ca |
   tad-ubhaya-vipratipannaḥ paśyatu gīr-vāṇa-pāṣāṇam ||GAss_386||	tad--uBaya--vipratipannaH paSyatu gIr--vANa-pAzANam ||GAsH-_386||
   pūrvādhiko gṛhiṇyāṃ bahu-mānaḥ prema-narma-viśvāsaḥ |	pUrva-aDikaH gRhiNyAm bahu-mAnaH prema--narma--viSvAsaH |
   bhīr adhikeyaṃ kathayati rāgaṃ bālā-vibhaktam iva ||GAss_387||	BIH aDikeyam kaTayati rAgam bAlA--viBaktam iva ||GAsH-_387||
   pulikata-kaṭhora-pīvara-kuca-kalaśāśleṣa-vedanābhijñaḥ |	pulikata-kaWora--pIvara--kuca-kalaSa-ASleza--vedanA-aBijQaH |
   śambhor upavīta-phaṇī vāñchati māna-grahaṃ devyāḥ ||GAss_388||	SamBoH upavIta--PaNI vAQCati mAna--graham devyAH ||GAsH-_388||
   priya āyāto dūrād iti yā prītir babhūva gehinyāḥ |	priyaH AyAtaH dUrAt iti yA prItiH baBUva gehinyAH |
   pathikebhyaḥ pūrvāgata iti garvāt sāpi śata-śikharā ||GAss_389||	paTikeByaH pUrva-AgataH iti garvAt sA-api Sata--SiKarAH ||GAsH-_389||
   pṛṣṭhaṃ prayaccha mā spṛśa dūrād apasarpa vihita-vaimukhya |	pRzWam prayacCa mA spRSa dUrAt apasarpa vihita-vEmuKya |
   tvām anudhāvati taraṇis tad api guṇākarṣa-taraleyam ||GAss_390||	tvAm anuDAvati taraNiH tat api guNa-Akarza--taraleyam ||GAsH-_390||
   priyayā kuṅkuma-piñjara-pāṇi-dvaya-yojanāṅkitaṃ vāsaḥ |	priyayA kuFkuma--piQjara--pANi--dvaya--yojana-aFkitam vAsaH |
   prahitaṃ māṃ yācñāñjali-sahasra-karaṇāya śikṣayati ||GAss_391||	prahitam mAm yAcQA-aQjali--sahasra-karaNAya Sikzayati ||GAsH-_391||
   prācīrāntariteyaṃ priyasya vadane'dharaṃ samarpayati |	prAcIra-antaritA-iyam priyasya vadane-aDaram samarpayati |
   prāg-giri-pihitā rātriḥ sandhyā-rāgaṃ dinasyeva ||GAss_392||	prAg-giri--pihitA rAtriH sanDyA-rAgam dinasya-iva ||GAsH-_392||
   para-pati-nirdaya-kulaṭāśoṣita śaṭha neṣyatā na kopena |	para-pati--nirdaya--kulawA-Sozita SaWa na-izyatA na kopena |
   dagdha-mamatopataptā rodimi tava tānavaṃ vīkṣya ||GAss_393||	dagDa-mamatA-upataptAH rodimi tava tAnavam vIkzya ||GAsH-_393||
   prāṅgaṇa eva kadā māṃ śliṣyantī many-kampi-kuca-kalaśā |	prAFgaNaH eva kadA mAm SlizyantI many--kampi--kuca-kalaSA |
