   oṃ namo vighnavināyakāya |	om namaH viGna-vinAyakAya |
   tato vaibhāṇḍakistasya vāraṇaṃ śatruvāraṇam /	tatas vEBANxakiH-tasya vAraNam Satru-vAraNam /
   bhuvyavatārayāmāsa mantrairvāhanamuttamam // Valc_2,12.38 //	Buvi-avatArayAmAsa mantrEH-vAhanam-uttamam // Valt-_2,12.38 //
   haryyakṣasya tu dāyādo rājā bhadrarathaḥ smṛtaḥ /	haryyakzasya tu dAyAdaH rAjA BadraraTaH smRtaH /
   putro bhadrarathasyāsīt vṛhatkarmmā prajeśvaraḥ // Valc_2,12.39 //	putraH BadraraTasya-AsIt vRhat-karmmA prajA-ISvaraH // Valt-_2,12.39 //
   vṛhadarbhaḥ sutastasya yasmāt yajñe vṛhanmanāḥ /	vRhadarBaH sutaH-tasya yasmAt yajQe vRhan-manAH /
   vṛhanmanāstu rājendro janayāmāsa vai sutam // Valc_2,12.40 //	vRhan-manAH-tu rAja-indraH janayAmAsa vE sutam // Valt-_2,12.40 //
   nāmnā jayadrathaṃ vīraṃ yasmāddṛḍharatho nṛpaḥ /	nAmnA jayadraTam vIram yasmAt-dRXaraTaH nRpaH /
   āsīt dṛḍharathasyāpi viśvajit kulanandanaḥ // Valc_2,12.41 //	AsIt dRXaraTasya-api viSva-jit kula-nandanaH // Valt-_2,12.41 //
   dāyādastasya karṇastu vikarṇastasya cātmajaḥ /	dAyAdaH-tasya karNaH-tu vikarNaH-tasya ca-AtmajaH /
   tasya putraśatantvāsīdaṅgānāṃ kulavardhanam // Valc_2,12.42 //	tasya putra-Satantu-AsIt-aFgAnAm kula-varDanam // Valt-_2,12.42 //
   vṛhadarbhasuto yastu rājā nāmnā vṛhanmanāḥ /	vRhadarBa-sutaH yaH-tu rAjA nAmnA vRhan-manAH /
   tasya patnīdvayaṃ cāsīt vainateyasute śubhe // Valc_2,12.43 //	tasya patnI-dvayam ca-AsIt vEnateya-sute SuBe // Valt-_2,12.43 //
   yaśodevī ca satyā ca tābhyāṃ vaṃśastu vidyate /	yaSodevI ca satyA ca tAByAm vaMSaH-tu vidyate /
   jayadrathastu rājendro yaśodevyāṃ vyajāyata // Valc_2,12.44 //	jayadraTaH-tu rAja-indraH yaSodevyAm vyajAyata // Valt-_2,12.44 //
   satyāyāṃ vijayo nāma brahmakṣatrottaraḥ smṛtaḥ /	satyAyAm vijayaH nAma brahma-kzatra-uttaraH smRtaH /
   vijayasya dhṛtiḥ putrastasya putro dhṛtavrataḥ // Valc_2,12.45 //	vijayasya DRtiH putraH-tasya putraH DRta-vrataH // Valt-_2,12.45 //
   dhṛtavratasya putrastu satyakarmmā mahāyaśāḥ /	DRta-vratasya putraH-tu satyakarmmA mahA-yaSAH /
   tasya putrastvadhirathaḥ suta ityaparābhidhaḥ // Valc_2,12.46 //	tasya putraH-tu-aDiraTaH sutaH iti-apara-aBiDaH // Valt-_2,12.46 //
   yaḥ karṇaṃ pratijagrāha tena karṇastu sūtajaḥ /	yaH karNam pratijagrAha tena karNaH-tu sUtajaH /
   karṇasya vṛṣasenastu pṛthusenastadātmajaḥ // Valc_2,12.47 //	karNasya vRzasenaH-tu pRTusenaH-tad-AtmajaH // Valt-_2,12.47 //
   pṛthusenānvaye vīro vīraseno bhaviṣyati /	pRTu-sena-anvaye vIraH vIrasenaH Bavizyati /
   gauḍabrāhmaṇakanyāṃ yaḥ somaṭāmudvahiṣyati // Valc_2,12.48 //	gOxa-brAhmaNa-kanyAm yaH somawAm-udvahizyati // Valt-_2,12.48 //
   tadanvavāyajanmāno rājāno 'mitapauruṣāḥ /	tad-anvavAya-janmAnaH rAjAnaH amita-pOruzAH /
   saptadvīpapatīn vīrāḥ kariṣyanti vaśānugān // Valc_2,12.49 //	sapta-dvIpa-patIn vIrAH karizyanti vaSa-anugAn // Valt-_2,12.49 //
   tadvaṃśe sāmantaseno bhūtvā pālayitā valī /	tad-vaMSe sAmantasenaH BUtvA pAlayitA valI /
   āvindhyādāsetubandhāddharitrīṃ sāgarāmbarām // Valc_2,12.50 //	AvinDyAt-A-setu-banDAt-haritrIm sAgara-ambarAm // Valt-_2,12.50 //
   siṃhagiriruvāca:	siMha-giriH-uvAca:
   tasmāddhemantaseno 'bhūdrājan tava pitāmahaḥ /	tasmAt-hemantasenaH aBUt-rAjan tava pitAmahaH /
   dhāma dhāmnāṃ mahimnāñca dviṣadbalahutāśanaḥ // Valc_2,12.51 //	DAma DAmnAm mahimnAQca dvizat-bala-hutASanaH // Valt-_2,12.51 //
   tasmādvijayaseno 'bhūccoḍagaṅgasakho nṛpaḥ /	tasmAt-vijayasenaH aBUt-ca-uxagaFga-saKaH nRpaH /
   yo 'jayat pṛthivīṃ kṛtsnāṃ catuḥsāgaramekhalām // Valc_2,12.52 //	yaH ajayat pRTivIm kRtsnAm catur-sAgara-meKalAm // Valt-_2,12.52 //
   tasya putro 'si vallāla sārvvabhaumamahīkṣitaḥ /	tasya putraH asi vallAla sArvvaBOma-mahIkzitaH /
   pratyarthi-pṛthivīpālā yasya te śaraṇaṃ gatāḥ // Valc_2,12.53 //	pratyarTi--pRTivIpAlAH yasya te SaraNam gatAH // Valt-_2,12.53 //
   brahmakṣatrasya yo yonirvvaṃśaḥ kṣatriyapūrvvajaḥ /	brahma-kzatrasya yaH yoniH-vvaMSaH kzatriya-pUrvvajaH /
   senavaṃśastatojātaḥ yasmiñjāto 'pi pāṇḍava // Valc_2,12.54 //	sena-vaMSaH-tatas-jAtaH yasmin-jAtaH api pANxavaH // Valt-_2,12.54 //
   dveṣṭi yaḥ pāṇḍavaṃ mūḍho durbuddhiśca vinindati /	dvezwi yaH pANxavam mUXaH durbudDiH-ca vinindati /
   sa viṣṭhāyāṃ kṛmirbhūtvā pacyeta narake ciram // Valc_2,12.55 //	sa vizWAyAm kRmiH-BUtvA pacyeta narake ciram // Valt-_2,12.55 //
   sa vallabhānandacandraścandramāyutavallabhaḥ /	sa vallaBa-Ananda-candraH-candramAyuta-vallaBaH /
   tasyedānīṃ mahārāja kāryyaṃ bhavati śāsanam // Valc_2,12.56 //	tasya-idAnIm mahA-rAja kAryyam Bavati SAsanam // Valt-_2,12.56 //
   tasyāsti kanyakāratnaṃ rūpeṇānupamaṃ bhuvi /	tasya-asti kanyakA-ratnam rUpeNa-anupamam Buvi /
   suprabhāmiva nābhāgastāṃ kanyāṃ hara paurava // Valc_2,12.57 //	su-praBAm-iva nABAgaH-tAm kanyAm hara pOrava // Valt-_2,12.57 //
   uccandre sā yāti vālā gaurīṃ snātuṃ yadā yadā /	uccandre sA yAti vAlA gOrIm snAtum yadA yadA /
   tadā tadā tvarayati draṣṭuṃ tāmaruṇo 'ruṇam // Valc_2,12.58 //	tadA tadA tvarayati drazwum tAm-aruNaH aruNam // Valt-_2,12.58 //
   daṇḍadvayāvaśeṣāyāṃ rajanyāmaruṇodayam /	daNxa-dvaya-avaSezAyAm rajanyAm-aruNA-udayam /
   vilokya ghariyāreṣu viśvasanti na naigamāḥ // Valc_2,12.59 //	vilokya GariyArezu viSvasanti na nEgamAH // Valt-_2,12.59 //
   iti vallālacarite vyāsapurāṇe puruvaṃśakīrttanaṃ nāma dvādaśo 'dhyāyaḥ |	iti vallAla-carite vyAsapurANe puruvaMSakIrttanam nAma dvAdaSaH aDyAyaH |
   atha trayodaśo 'dhyāyaḥ |	aTa trayodaSaH aDyAyaH |
   vyāsa uvāca:	vyAsaH uvAca:
   vedaḥ smṛtiḥ sadācāraḥ svasya ca priyamātmanaḥ /	vedaH smRtiH sat-AcAraH svasya ca priyam-AtmanaH /
   samyaksaṃkalpajaḥ kāmo dharmmamūlamidaṃ smṛtam // Valc_2,13.1 //	samyak-saMkalpa-jaH kAmaH Darmma-mUlam-idam smRtam // Valt-_2,13.1 //
   adhyāpanañcādhyayanaṃ yajanaṃ yājanaṃ tathā /	aDyApanaQca-aDyayanam yajanam yAjanam taTA /
   dānaṃ pratigrahaṃ karmma brāhmaṇānāmudāhṛtam // Valc_2,13.2 //	dAnam pratigraham karmma brAhmaNAnAm-udAhRtam // Valt-_2,13.2 //
   śrūtismṛtī ca viprāṇāṃ cakṣuṣī devanirmmite /	SrUti-smRtI ca viprANAm cakzuzI deva-nirmmite /
   kāṇastatraikayā hīnaḥ dvābhyāmandhaḥ prakīrttitaḥ // Valc_2,13.3 //	kANaH-tatra-ekayA hInaH dvAByAm-anDaH prakIrttitaH // Valt-_2,13.3 //
   vaivāhikegnau kurvvīta gṛhyakarmma yathāvidhi /	vEvAhika-ignO kurvvIta gRhya-karmma yaTAviDi /
   pañcayajñavidhānañca paktiñcānvahikīṃ gṛhī // Valc_2,13.4 //	paQcayajQa-viDAnaQca paktiQcAnvahikIm gRhI // Valt-_2,13.4 //
   adhyāpanaṃ brahmayajñaḥ pitṛyajñastu tarpaṇam /	aDyApanam brahma-yajQaH pitR-yajQaH-tu tarpaNam /
   homo daivo balibhoto nṛyajño 'tithipūjanam // Valc_2,13.5 //	homaH dEvaH bali-BotaH nRyajQaH atiTi-pUjanam // Valt-_2,13.5 //
   devatātithibhṛtyānāṃ pitḥṇāmātmanaśca yaḥ /	devatA-atiTi-BRtyAnAm pitHNAm-AtmanaH-ca yaH /
   na nirvvapati pañcānāmucchvasanna sa jīvati // Valc_2,13.6 //	na nirvvapati paQcAnAm-ucCvasan-na sa jIvati // Valt-_2,13.6 //
   ekarātraṃ vasan vipraḥ kṣatriyaścātithiḥ smṛtaḥ /	eka-rAtram vasan vipraH kzatriyaH-ca-atiTiH smRtaH /
   anityā hi sthiti ryasmāttasmādatithirucyate // Valc_2,13.7 //	anityAH hi sTiti ryasmAt-tasmAt-atiTiH-ucyate // Valt-_2,13.7 //
   vaiśyaśūdrāvapi prāptau kuṭumbe 'tithidharmmiṇau /	vESya-SUdrO=-api prAptO kuwumbe atiTi-DarmmiNO /
   bhojayet sahabhṛtyai stāvānṛśaṃsyaṃ pradarśayan // Valc_2,13.8 //	Bojayet saha-BRtyE stO=-a-AnRSaMsyam pradarSayan // Valt-_2,13.8 //
   svadāranirato nityaṃ paradāravivarjjitaḥ /	sva-dAra-nirataH nityam para-dAra-vivarjjitaH /
   kṛtahomastu bhuñjīta sāyaṃprātarudāradhīḥ // Valc_2,13.9 //	kRta-homaH-tu BuQjIta sAyaMprAtar-udAra-DIH // Valt-_2,13.9 //
   sarvvataḥ pratigṛhṇīyādavṛttyā karṣito dvijaḥ /	sarvvataH pratigRhNIyAt-avRttyA karzitaH dvijaH /
   na bhaveddoṣabhāk tena jvalanārkasamo hi saḥ // Valc_2,13.10 //	na Bavet-doza-BAj tena jvalana-arka-samaH hi saH // Valt-_2,13.10 //
   bhūtānāṃ rakṣaṇaṃ dānamijyādhyayanameva ca /	BUtAnAm rakzaNam dAnam-ijyA-aDyayanam-eva ca /
   śivārcanaṃ kṣatriyāṇāṃ tathā nārāyaṇārccanam // Valc_2,13.11 //	Siva-arcanam kzatriyANAm taTA nArAyaNa-arccanam // Valt-_2,13.11 //
   nityodyukto dasyuvadhe raṇe kuryyāt parākramam /	nitya-udyuktaH dasyu-vaDe raNe kuryyAt parAkramam /
   nāsya kṛtyatamaṃ kiñcit rājño dasyuvinigrahāt // Valc_2,13.12 //	na-asya kRtyatamam kiQcid rAjQaH dasyu-vinigrahAt // Valt-_2,13.12 //
   cāṭabhāṭataskarebhyo mahāsāhasikādibhiḥ /	cAwaBAwa-taskareByaH mahA-sAhasikA-AdiBiH /
   pīḍyamānāḥ prajā rakṣet kāyasthaiśca viśeṣataḥ // Valc_2,13.13 //	pIxyamAnAH prajAH rakzet kAyasTEH-ca viSezataH // Valt-_2,13.13 //
   sammānadānasatkāraiḥ vaidikān vāsayet sadā /	sammAna-dAna-satkArEH vEdikAn vAsayet sadA /
   rājanyo dharmmakṛtyañca kuryyādeva prayatnataḥ // Valc_2,13.14 //	rAjanyaH DarmmakRtyaQca kuryyAt-eva prayatnataH // Valt-_2,13.14 //
   paṇḍitaṃ nītiśāstrajñaṃ nityañca pratipālayet /	paNxitam nIti-SAstra-jQam nityaQca pratipAlayet /
   niyojayet sabhāmadhye nityaṃ sadbhiśca saṃyutaḥ // Valc_2,13.15 //	niyojayet saBA-maDye nityam sadBiH-ca saMyutaH // Valt-_2,13.15 //
   saṃviśet tūryyaghoṣeṇa pratibudhyettathaiva ca /	saMviSet tUryya-GozeNa pratibuDyet-taTA-eva ca /
   śāstrāṇi cintayedbuddhyā sarvvakarttavyatāṃ tathā // Valc_2,13.16 //	SAstrANi cintayet-budDyA sarvu-akarttavyatAm taTA // Valt-_2,13.16 //
   dṛṣṭvā jyotirvvido vaidyān dadyāt gāṃ kāñcanaṃ mahīm /	dRzwvA jyotiH-vvidaH vEdyAn dadyAt gAm kAQcanam mahIm /
   niveśikāni ca tathā śrotriyāṇāṃ gṛhāni ca // Valc_2,13.17 //	niveSikAni ca taTA SrotriyANAm gRhAni ca // Valt-_2,13.17 //
   ya eva dharmmo nṛpateḥ svarāṣṭrapratipālane /	yaH eva DarmmaH nRpateH sva-rAzwra-pratipAlane /
   tameva kṛtsnamāpnoti pararāṣṭraṃ vaśaṃ nayan // Valc_2,13.18 //	tam-eva kRtsnam-Apnoti para-rAzwram vaSam nayan // Valt-_2,13.18 //
   devabrāhmaṇabhaktaśca pitṛkāryyaparāyaṇaḥ /	deva-brAhmaNa-BaktaH-ca pitR-kAryya-parAyaNaH /
   svabhāryyānirato nityaṃ ṣaḍbhāgārhaḥ sadā nṛpaḥ // Valc_2,13.19 //	sva-BAri-yAnirataH nityam zaz-BAga-arhaH sadA nRpaH // Valt-_2,13.19 //
   ekāṃśena balaṃ dhāryyaṃ dānamaṃśadvayena ca /	eka-aMSena balam DAryyam dAnam-aMSa-dvayena ca /
   ekāṃśena prakṛtaya ekāṃśenādhikāriṇaḥ // Valc_2,13.20 //	eka-aMSena prakRtayaH eka-aMSena-aDikAriNaH // Valt-_2,13.20 //
   ekāṃśenātmabhogaśca kuṭumbādiprapālanam /	eka-aMSena-Atma-BogaH-ca kuwumba-Adi-prapAlanam /
   āyasyaivaṃ ṣaḍavibhāgai rvyayaṃ kuryyānmahīpatiḥ // Valc_2,13.21 //	Ayasya-evam zaz-aviBAgEH rvyayam kuryyAt-mahIpatiH // Valt-_2,13.21 //
   sandhyāmupāsya kurute gītaṃ vādyaṃ manoharam /	sanDyAm-upAsya kurute gItam vAdyam manoharam /
   nṛtyagītaiśca jagdhīṃ vā strībhirniśi sukhāvahām // Valc_2,13.22 //	nRtya-gItEH-ca jagDIm vA strIBiH-niSi suKa-AvahAm // Valt-_2,13.22 //
   gorakṣāṃ kṛṣivāṇijyaṃ kuryyādvaiśyo yathāvidhi /	gorakzAm kRzi-vANijyam kuryyAt-vESyaH yaTAviDi /
   dānaṃ deyaṃ yathāśaktyā brāhmaṇānāñca bhojanam // Valc_2,13.23 //	dAnam deyam yaTASaktyA brAhmaNa-anAQca Bojanam // Valt-_2,13.23 //
   dambhamohavinirmmuktastathā vāganasūyakaḥ /	damBa-moha-vinirmmuktaH-taTA vAc-anasUyakaH /
   svadāranirato dāntaḥ paradāravivarjjitaḥ // Valc_2,13.24 //	sva-dAra-nirataH dAntaH para-dAra-vivarjjitaH // Valt-_2,13.24 //
   dhanairviprān bhojayitvā yajñakāle tu yājakān /	DanEH-viprAn BojayitvA yajQa-kAle tu yAjakAn /
   aprabhutvañca vartteta dharmmeṣvādehapātanāt // Valc_2,13.25 //	apraBu-tvaQca vartteta Darmmezu-Adeha-pAtanAt // Valt-_2,13.25 //
   yajñādhyayanadānāni kuryyānnityamatandritaḥ /	yajQa-aDyayana-dAnAni kuryyAt-nityam-atandritaH /
   pitṛkāryyaparaścaiva viṣṇuśivārccanāparaḥ // Valc_2,13.26 //	pitR-kAryya-paraH-ca-eva vizNu-Siva-arccanA-paraH // Valt-_2,13.26 //
   varṇatrayasya śuśrūṣāṃ kuryyācchūdraḥ prayatnataḥ /	varNa-trayasya SuSrUzAm kuryyAt-SUdraH prayatnataH /
   dāsavadbrāhmaṇānāṃ ca viśeṣeṇa samācaret // Valc_2,13.27 //	dAsa-vat-brAhmaNAnAm ca viSezeNa samAcaret // Valt-_2,13.27 //
   ayācitapradātā syāt kṛṣiṃ vṛttyarthamāśrayet /	ayAcita-pradAtA syAt kRzim vRtti-arTam-ASrayet /
   śuddhā tu vṛttistasyaiva kāru-cāraṇa-karmma ca // Valc_2,13.28 //	SudDA tu vRttiH-tasya-eva kAru--cAraNa-karmma ca // Valt-_2,13.28 //
   pākayajñavidhānena yajeddevānatandritaḥ /	pAkayajQa-viDAnena yajet-devAn-atandritaH /
   tasya tu dvijaśuśrūṣā paro dharmmaḥ prakīrttitaḥ // Valc_2,13.29 //	tasya tu dvija-SuSrUzA paraH DarmmaH prakIrttitaH // Valt-_2,13.29 //
   dhāraṇaṃ jīrṇavastrasya viprasyocchiṣṭabhojanam /	DAraNam jIrNa-vastrasya viprasya-ucCizwa-Bojanam /
   svadāreṣu ratiścaiva paradāravivarjanam // Valc_2,13.30 //	sva-dArezu ratiH-ca-eva para-dAra-vivarjanam // Valt-_2,13.30 //
   lavaṇaṃ madhutailaṃ ca dadhi takraṃ ghṛtaṃ payaḥ /	lavaNam maDu-tElam ca daDi takram GRtam payaH /
   na duṣyecchūdrajātīnāṃ kuryyāt sarvvasya vikrayam // Valc_2,13.31 //	na duzyet-SUdra-jAtInAm kuryyAt saru-u-asya vikrayam // Valt-_2,13.31 //
   kriyābhedaistu sarvveṣāṃ bhṛtivṛttiraninditā /	kriyA-BedEH-tu sarvu-ezAm BRti-vRttiH-aninditA /
   sīrabhedaiḥ kṛṣiḥ proktā manvādyairbrāhmaṇādiṣu // Valc_2,13.32 //	sIra-BedEH kRziH proktAH manu-AdyEH-brAhmaNa-Adizu // Valt-_2,13.32 //
   brāhmaṇaiḥ ṣoḍaśagabaṃ caturūnaṃ tathāparaiḥ /	brAhmaNEH zoxaSa-gabam caturUnam taTA-aparEH /
   dvigavaṃ vāntyajaiḥ sīraṃ dṛṣṭvā bhūmārddavaṃ tathā // Valc_2,13.33 //	dvi-gavam vAnti-ajEH sIram dRzwvA BUmArddavam taTA // Valt-_2,13.33 //
   bhūmiṃ bhitvauṣadhiṃ chitvā hatvā kīṭapipīlikām /	BUmim BitvA-ozaDim CitvA hatvA kIwa-pipIlikAm /
   punanti khalu yajñena karṣakā devapūjanāt // Valc_2,13.34 //	punanti Kalu yajQena karzakAH deva-pUjanAt // Valt-_2,13.34 //
   vaidikaiḥ karmmabhiḥ puṇyairniṣekādirdvijanmanām /	vEdikEH karmmaBiH puNyEH-nizeka-AdiH-dvijanmanAm /
   kāryyaḥ śarīrasaṃskāraḥ pāvanaḥ pretya ceha ca // Valc_2,13.35 //	kAryyaH SarIra-saMskAraH pAvanaH pretya ca-iha ca // Valt-_2,13.35 //
   garbhādhānamṛtau puṃsaḥ savanaṃ spandanāt purā /	garBADAna-m-RtO puMsaH savanam spandanAt purA /
   turyye 'ṣṭame vā sīmanto janane jātakarmma ca // Valc_2,13.36 //	turyye azwame vA sImantaH janane jAtakarmma ca // Valt-_2,13.36 //
   niṣkramastṛtīyamāsi nāma vyuṣṭe śatāhani /	nizkramaH-tRtIyamAsi nAma vyuzwe SatAhani /
   ṣaṣṭhe 'nnaprāśanaṃ cūḍā janyabde vā yathākulam // Valc_2,13.37 //	zazWe annaprASanam cUxAH janyabde vA yaTA-kulam // Valt-_2,13.37 //
   karṇavedho vratādeśo vedārambhaḥ kriyāvidhiḥ /	karNaveDaH vrata-AdeSaH veda-AramBaH kriyA-viDiH /
   keśāntaḥ snānamudvāho vivāhāgniparigrahaḥ // Valc_2,13.38 //	keSAntaH snAnam-udvAhaH vivAha-agni-parigrahaH // Valt-_2,13.38 //
   tretāgnisaṃgrahaśceti saṃskārāḥ ṣoḍaśa smṛtāḥ /	tretAgni-saMgrahaH-ca-iti saMskArAH zoxaSa smRtAH /
   navaitāḥ karṇavedhāntāḥ mantravarjjaṃ kriyā striyāḥ // Valc_2,13.39 //	nava-etAH karNa-veDa-antAH mantra-varjjam kriyA striyAH // Valt-_2,13.39 //
   vipro garbhāṣṭame varṣe kṣatra ekādaśe tathā /	vipraH garBa-azwame varze kzatraH ekAdaSe taTA /
   dvādaśe vaiśyajātistu vratopanayamarhati // Valc_2,13.40 //	dvAdaSe vESya-jAtiH-tu vrata-upanayam-arhati // Valt-_2,13.40 //
   tasya prāptavratasyāyaṃ kālaḥ syādviguṇādhikaḥ /	tasya prApta-vratasya-ayam kAlaH syAt-viguNa-aDikaH /
   vedavratacyuto vrātyaḥ sa vrātyastomamarhati // Valc_2,13.41 //	veda-vrata-cyutaH vrAtyaH sa vrAtya-stomam-arhati // Valt-_2,13.41 //
   brāhmo daivastathaivārṣaḥ prājāpatyastathāsuraḥ /	brAhmaH dEvaH-taTA-eva-ArzaH prAjApatyaH-taTA-AsuraH /
   gāndharbbo rākṣasaścaiva paiśācaścāṣṭamo 'dhamaḥ // Valc_2,13.42 //	gAnDarbbaH rAkzasaH-ca-eva pESAcaH-ca-azwamaH aDamaH // Valt-_2,13.42 //
   ete dharmmāstu catvāraḥ pūrvvaṃ vipre prakīrttitāḥ /	ete DarmmAH-tu catvAraH pUrvvam vipre prakIrttitAH /
   gāndharbbo rākṣasaścaiva kṣatriyasya praśasyate // Valc_2,13.43 //	gAnDarbbaH rAkzasaH-ca-eva kzatriyasya praSasyate // Valt-_2,13.43 //
   aprārthitaḥ prayatnena brāhmastu parikīrttitaḥ /	aprArTitaH prayatnena brAhmaH-tu parikIrttitaH /
   prārthitārthapradānena prājāpatyaḥ prakīrttitaḥ // Valc_2,13.44 //	prArTita-arTa-pradAnena prAjApatyaH prakIrttitaH // Valt-_2,13.44 //
   āsuro draviṇādānāt gāndharbbaḥ samayānmithaḥ /	AsuraH draviNa-AdAnAt gAnDarbbaH samayAt-miTas /
   rākṣaso yuddhaharaṇāt paiśācaḥ kanyakācchalāt // Valc_2,13.45 //	rAkzasaH yudDa-haraNAt pESAcaH kanyakAcCalAt // Valt-_2,13.45 //
   tisrastu bhāryyāḥ kṣatrasya bhāryaikā brāhmaṇasya tu /	tisraH-tu BAryyAH kzatrasya BAryA-ekA brAhmaNasya tu /
   ekaiva bhāryyā vaiśyasya śūdrasya ca vidhīyate // Valc_2,13.46 //	ekA-eva BAryyA vESyasya SUdrasya ca viDIyate // Valt-_2,13.46 //
   kṣatriyā vaiśyā śūdrā ca kṣatriyasya prakīrttitā /	kzatriyA vESyA SUdrA ca kzatriyasya prakIrttitA /
   ekaiva bhāryyā viprasya brāhmaṇī tu vidhīyate // Valc_2,13.47 //	ekA-eva BAryyA viprasya brAhmaNI tu viDIyate // Valt-_2,13.47 //
   vaiśyaiva bhāryyā vaiśyasya śūdrā śūdrasya kīrttitā /	vESyA-eva BAryyA vESyasya SUdrA SUdrasya kIrttitA /
   brāhmaṇo nodvahet kanyāmasavarṇāṃ kadācana // Valc_2,13.48 //	brAhmaNaH na-udvahet kanyAm-asavarNAm kadAcana // Valt-_2,13.48 //
   brāhmaṇādvaiśyakanyāyāmambaṣṭho yo vyajāyata /	brAhmaNAt-vESyaka-nyAyAm-ambazWaH yaH vyajAyata /
   sa tu śūdratvamāpanno vivahenna tato viśām // Valc_2,13.49 //	sa tu SUdra-tvam-ApannaH vivahet-na tatas viSAm // Valt-_2,13.49 //
   śūdrābhāryyasya pātityaṃ rājanyasya yaducyate /	SUdra-aBAryyasya pAtityam rAjanyasya yat-ucyate /
   naitanmama mataṃ jñeyaṃ sā tenonnīyate yataḥ // Valc_2,13.50 //	na-etat-mama matam jQeyam sA tena-unnIyate yatas // Valt-_2,13.50 //
   patet vipraśca vaiśyaśca śūdrāṃ kanyāmudāvahan /	patet vipraH-ca vESyaH-ca SUdrAm kanyAm-udAvahan /
   pātityaṃ nāsti kṣatrasya śadrūdāropasaṃgrahāt // Valc_2,13.51 //	pAtityam na-asti kzatrasya Sadru-udAra-upasaMgrahAt // Valt-_2,13.51 //
   viprakanyāvivāho 'pi kṛto rājarṣibhiḥ purā /	vipra-kanyA-vivAhaH api kRtaH rAjarziBiH purA /
   tejīyasāṃ na doṣāya vahneḥ sarvvabhujo yathā // Valc_2,13.52 //	tejIyasAm na dozAya vahneH sarvu-aBujaH yaTA // Valt-_2,13.52 //
   rājā no nāvamantavyo nṛbuddhyā manurabravīt /	rAjA naH na-avamantavyaH nR-budDyA manuH-abravIt /
   mahatī devatā hyeṣā nararūpeṇa tiṣṭhati // Valc_2,13.53 //	mahatI devatAH hi-ezA nara-rUpeNa tizWati // Valt-_2,13.53 //
   anuṣṭhitantu yaddevairmunibhiryadanuṣṭhitam /	anuzWitantu yat-devEH-muniBiH-yat-anuzWitam /
   nānuṣṭheyaṃ manuṣyaistaduktaṃ karmma samācaret // Valc_2,13.54 //	na-anuzWeyam manuzyEH-tat-uktam karmma samAcaret // Valt-_2,13.54 //
   ūḍhāyāṃ hi savarṇāyāmaviprāṃ kāmamudvahet /	UXAyAm hi savarNAyAm-aviprAm kAmam-udvahet /
   tasyāmutpāditaḥ putro na savarṇāt prahīyate // Valc_2,13.55 //	tasyAm-utpAditaH putraH na savarNAt prahIyate // Valt-_2,13.55 //
   kṣatrājjātaḥ kṣatriyāyāṃ kṣatriyaḥ syāt na saṃśayaḥ /	kzatrAt-jAtaH kzatriyAyAm kzatriyaH syAt na saMSayaH /
   vaiśyāyāṃ ca tathaiva syāt śadrāyāmapi caiva hi // Valc_2,13.56 //	vESyAyAm ca taTA-eva syAt SadrAyAm-api ca-eva hi // Valt-_2,13.56 //
   yāvanna vindate jāyāṃ tāvadarddho bhavetpumān /	yAvat-na vindate jAyAm tAvat-ardDaH Bavet-pumAn /
   nārddhaṃ prajāyate sarvvaṃ prajāyete iti śrutiḥ // Valc_2,13.57 //	na-ardDam prajAyate sarvvam prajAyete iti SrutiH // Valt-_2,13.57 //
   sakāmāyāntu kanyāyāṃ saṅgame nāstyatikramaḥ /	sa-kAma-AyAntu kanyAyAm saFgame na-asti-atikramaH /
   kintvalaṃkṛtya satkṛtya sa evaināṃ samudvahet // Valc_2,13.58 //	kintu-alaMkRtya satkRtya saH eva-enAm samudvahet // Valt-_2,13.58 //
   savarṇāmudvahet bhāryyāṃ prathamaṃ dharmmasiddhaye /	savarNAm-udvahet BAryyAm praTamam Darmma-sidDaye /
   tatohyapratilomena yathākāmaṃ vahennṛpaḥ // Valc_2,13.59 //	tatohya-pratilomena yaTAkAmam vahet-nRpaH // Valt-_2,13.59 //
   viṣādyathāmṛtaṃ grāhyamamedhyāt kāñcanaṃ yathā /	vizAt-yaTa-amRtam grAhyam-ameDyAt kAQcanam yaTA /
   nīcādyathottamā vidyā strīratnaṃ duṣkulāttathā // Valc_2,13.60 //	nIcAt-yaTA-uttamA vidyA strI-ratnam duzkulAt-taTA // Valt-_2,13.60 //
   striyoratnānyatho vidyā dharmmaḥ śaucaṃ subhāṣitam /	striyaH-ratnAni-aTo vidyA DarmmaH SOcam su-BAzitam /
   vividhāni ca śilpāni samādeyāni sarvvataḥ // Valc_2,13.61 //	viviDAni ca SilpAni samAdeyAni sarvu-ataH // Valt-_2,13.61 //
   yatra nāryyastu pūjyante ramante tatra devatāḥ /	yatra nAryyaH-tu pUjyante ramante tatra devatAH /
   yatraitāstu na pūjyante sarvvāstatrāphalāḥ kriyāḥ // Valc_2,13.62 //	yatra-etAH-tu na pUjyante sarvvAH-tatra-aPalAH kriyAH // Valt-_2,13.62 //
   prajanārthaṃ mahābhāgā pūjārhā gṛhadīptayaḥ /	prajana-arTam mahABAgA pUjA-arhAH gRha-dIptayaH /
