   maṅgalācaraṇam	maFgala-AcaraNam
   aṅgāṅgi-bhāvam ajñātvā kathaṃ sāmarthya-nirṇayaḥ |	aFga-aFgi-BAvam ajQAtvA kaTam sAmarTya--nirNayaH |
   paśya ṭiṭṭibha-mātreṇa samudro vyākulīkṛtaḥ // Hit_2.149 //	paSya wiwwiBa--mAtreNa samudraH vyAkulIkRtaH // Hit-_2.149 //
   siṃhaḥ pṛcchati--katham etat ?	siMhaH pRcCati---kaTam etat ?
   damanakaḥ kathayati-	damanakaH kaTayati-
   kathā 9	kaTA 9
   dakṣiṇa-samudra-tīre ṭiṭṭibha-dampatī nivasataḥ | tatra cāsanna-prasadā	dakziNa--samudra--tIre wiwwiBa-dampatI nivasataH | tatra ca-Asanna--prasadA
   ṭiṭṭibhī bhartāram āha-nātha ! prasava-yogya-sthānaṃ nibhṛtam	wiwwiBI BartAram Aha-nATa ! prasava--yogya-sTAnam niBRtam
   anusandhīyatām |	anusanDIyatAm |
   ṭiṭṭibho 'vadat-bhārye, nanv idam eva sthānaṃ prasūti-yogyam |	wiwwiBaH avadat--BArye, nanu idam eva sTAnam prasUti--yogyam |
   sā brūte-samudra-velayā vyāpyate sthānam etam |	sA brUte--samudra--velayA vyApyate sTAnam etam |
   ṭiṭṭibho 'vadat-kim ahaṃ tvayā nirbalaḥ samudreṇa nigrahītavyaḥ |	wiwwiBaH avadat-kim aham tvayA nirbalaH samudreNa nigrahItavyaH |
   ṭiṭṭibhī vihasyāha-svāmin ! tvayā samudreṇa ca mahad antaram | athavā-	wiwwiBI vihasya-aha-svAmin ! tvayA samudreNa ca mahat antaram | aTavA-
   parābhavaṃ paricchettuṃ yogyāyogyaṃ ca vetti yaḥ |	parABavam paricCettum yogya-ayogyam ca vetti yaH |
   astīha yasya vijñānaṃ kṛcchreṇāpi na sīdati // Hit_2.150 //	asti-iha yasya vijQAnam kRcCreNa-api na sIdati // Hit-_2.150 //
   api ca-	api ca-
   anucita-kāryārambhaḥ svajana-virodho balīyasā spardhā |	anucita-kArya-AramBaH sva-jana-viroDaH balIyasA sparDA |
   pramadā-jana-viśvāso mṛtyor dvārāṇi catvāri // Hit_2.151 //	pramadA-a-jana--viSvAsaH mRtyoH dvArANi catvAri // Hit-_2.151 //
   tataḥ kṛcchreṇa svāmi-vacanātmā tatraiva prasūtā | etat sarvaṃ śrutvā	tatas kRcCreNa svAmi-vacana-AtmA tatra-eva prasUtA | etat sarvam SrutvA
   samudreṇāpi yac chakti-jñānārthaṃ tad-aṇḍāny avahṛtāni | tataṣ ṭiṭṭibhī	samudreNa-api yat Sakti-jQAna-arTam tat--aNxAni avahRtAni | tatas wiwwiBI
   śokārtā bhartāram āha-nātha ! kaṣṭam āpatitam | tāny aṇḍāni me naṣṭāni |	Soka-ArtA BartAram Aha-nATa ! kazwam Apatitam | tAni aNxAni me nazwAni |
   ṭiṭṭibho 'vadat-priye ! mā bhaiṣīḥ ity uktvā pakṣiṇāṃ melakaṃ kṛtvā	wiwwiBaH avadat--priye ! mA BEzIH iti uktvA pakziNAm melakam kRtvA
   pakṣi-svāmino garuḍasya samīpaṃ gataḥ | tatra gatvā sakala-vṛttāntaṃ	pakzi-svAminaH garuxasya samIpam gataH | tatra gatvA sakala--vRttAntam
   ṭiṭṭibhena bhagavato garuḍasya purato niveditam-deva, samudreṇāhaṃ	wiwwiBena BagavataH garuxasya puratas niveditam--deva, samudreNa-aham
   sva-gṛhāvasthito vināparādhanenaiva nigṛhītaḥ |	sva-gRha-avasTitaH vinA-aparADanena-eva nigRhItaH |
   tatas tad-vacanam ākarṇya garutmanā prabhur bhagavān nārāyaṇaḥ	tatas tad--vacanam AkarNya garutmanA praBuH BagavAn nArAyaNaH
   sṛṣṭi-sthiti-pralaya-hetur vijñaptaḥ | sa samudram aṇḍa-dānāyādideśa |	sRzwi--sTiti-pralaya--hetuH vijQaptaH | sa samudram aNxa--dAnAya-AdideSaH |
   tato bhagavad-ājñāṃ maulau nidhāya samudreṇa tāny aṇḍāni ṭiṭṭibhāya	tatas Bagavat--AjQAm mOlO niDAya samudreNa tAni aNxAni wiwwiBAya
   samarpitāni | ato 'haṃ bravīmi-aṅgāṅgi-bhāvam ajñātvā ity ādi |	samarpitAni | atas aham bravImi--aFgA-aFgi-BAvam ajQAtvA iti Adi |
   rājāha-katham asau jñātavyo droha-buddhir iti |	rAjA-aha--kaTam asO jQAtavyaH droha-budDiH iti |
   damanako brūte-yadāsau sa-darpaḥ śṛṅgāgra-praharaṇābhimukhaś cakitam	damanakaH brUte-yadA-asO sa-darpaH SRFga-agra--praharaNa-aBimuKaH cakitam
   ivāgacchati tadā jñāsyati svāmī | evam uktvā saṃjīvaka-samīpaṃ gataḥ |	iva-AgacCati tadA jQAsyati svAmI | evam uktvA saMjIvaka--samIpam gataH |
   tatra gataś ca mandaṃ mandam upasarpan vismitam ivātmānam adarśayat |	tatra gataH ca mandam mandam upasarpan vismitam iva-AtmAnam adarSayat |
   saṃjīvakena sādaram uktam-bhadra ! kuśalaṃ te |	saMjIvakena sa-Adaram uktam--Badra ! kuSalam te |
   damanako brūte-anujīvināṃ kutaḥ kuśalam | yataḥ-	damanakaH brUte-anujIvinAm kutas kuSalam | yatas--
   sampattayaḥ parādhīnāḥ sadā cittam anirvṛttam |	sampattayaH para-aDInAH sadA cittam anirvRttam |
   sva-jīivite'py aviśvāsas teṣāṃ ye rāja-sevakāḥ // Hit_2.152 //	sva---jIivite-api aviSvAsaH tezAm ye rAja--sevakAH // Hit-_2.152 //
   anyac ca-	anyat ca-
   ko 'rthān prāpya na garvito viṣayiṇaḥ kasyāpado 'staṃ gatāḥ	kaH arTAn prApya na garvitaH vizayiNaH kasya-ApadaH astam gatAH
   strībhiḥ kasya na khaṇḍitaṃ bhuvi manaḥ ko vāsti rājñāṃ priyā |	strIBiH kasya na KaNxitam Buvi manaH kaH vA-asti rAjQAm priyA |
   kaḥ kālasya bhujāntaraṃ na ca gataḥ ko 'rthī gato gauravaṃ	kaH kAlasya BujAntaram na ca gataH kaH arTI gataH gOravam
   ko vā durjana-vāgurāsu patitaḥ kṣemeṇa yātaḥ pumān // Hit_2.153 //	kaH vA durjana--vAgurAsu patitaH kzemeNa yAtaH pumAn // Hit-_2.153 //
   saṃjīvakenoktam-sakhe ! brūhi kim etat ?	saMjIvakena-uktam--saKe ! brUhi kim etat ?
   damanaka āha-kiṃ bravīmi manda-bhāgyaḥ | paśya-	damanakaH Aha-kim bravImi manda--BAgyaH | paSya-
   majjann api payorāśau labdhvā sarpāvalambanam |	majjan api payaH-rASO labDvA sarpa-avalambanam |
   na muñcati na cādatte tathā mugdho 'smi samprati // Hit_2.154 //	na muQcati na ca-Adatte taTA mugDaH asmi samprati // Hit-_2.154 //
   yataḥ-	yatas--
   ekatra rāja-viśvāso naśyaty anyatra bāndhavaḥ |	ekatra rAja--viSvAsaH naSyati anyatra bAnDavaH |
   kiṃ karomi kva gacchāmi patit o duḥkha-sāgare // Hit_2.155 //	kim karomi kva gacCAmi patit aH duHKa--sAgare // Hit-_2.155 //
   ity uktvā dīrghaḥ niḥśvasyopaviṣṭaḥ | saṃjīvako brūte-mitra ! tathāpi	iti uktvA dIrGaH niHSvasya-upavizwaH | saMjIvakaH brUte-mitra ! taTA-api
   sa-vistaraṃ manogatam ucyatām |	sa-vistaram manogatam ucyatAm |
   damanakaḥ sunibhṛtam āha-yadyapi rāja-viśvāso na kathanīyas tathāpi bhavān	damanakaH su-niBRtam Aha-yadi-api rAja--viSvAsaH na kaTanIyaH taTA-api BavAn
   asmadīya-pratyayād āgataḥ | mayā paralokārthināvaśyaṃ tava hitam ākhyeyam	asmadIya--pratyayAt AgataH | mayA para-loka-arTinA-avaSyam tava hitam AKyeyam
   | śṛṇu, ayaṃ svāmī tavopari vikṛta-buddhī rahasy uktavān -saṃjīvakam eva	| SRNu, ayam svAmI tava-upari vikRta-budDiH rahasi uktavAn -saMjIvakam eva
   hatvā sva-parivāraṃ tarpayāmi |	hatvA sva--parivAram tarpayAmi |
   etac chrutvā saṃjīvakaḥ paraṃ viṣādam agamat | damanakaḥ punar āha-alaṃ	etat SrutvA saMjIvakaH param vizAdam agamat | damanakaH punar Aha-alam
   viṣādena | prāpta-kālakāyam anuṣṭhīyatām | saṃjīvakaḥ kṣaṇaṃ vimṛśyāha	vizAdena | prApta-kAla-kAyam anuzWIyatAm | saMjIvakaH kzaNam vimRSya-Aha
   sva-gatam-suṣṭhu khalv idam ucyate | kiṃ vā durjana-ceṣṭitaṃ na vety etad	sva--gatam--suzWu Kalu idam ucyate | kim vA durjana--cezwitam na vA-iti etat-
   vyavahārān nirṇetuṃ na śakyate | yataḥ-	vyavahArAn nirNetum na Sakyate | yatas--
   durjana-gamyā nāryaḥ prāyeṇāpātra-bhṛd bhavati rājā |	durjana--gamyAH nAryaH prAyeNa-apAtra-BRt Bavati rAjA |
   kṛpaṇānusāri ca dhanaṃ devo giri-jaladhi-varṣī ca // Hit_2.156 //	kRpaNa-anusAri ca Danam devaH giri--jalaDi-varzI ca // Hit-_2.156 //
   kaścid āśraya-saundaryād dhatte śobhām asajjanaḥ |	kaScid ASraya--sOndaryAt Datte SoBAm asat-janaH |
   pramadālocana-nyastaṃ malīmasam ivāñjanam // Hit_2.157 //	pramadA-locana--nyastam malImasam iva-aQjanam // Hit-_2.157 //
   ārādhyamāno nṛpatiḥ prayatnān na toṣam āyāti kim atra citram |	ArADyamAnaH nRpatiH prayatnAt na tozam AyAti kim atra citram |
   ayaṃ tv apūrva-pratimā-viśeṣo yaḥ sevyamāno riputām upaiti // Hit_2.158 //	ayam tu apUrva--pratimA--viSezaH yaH sevyamAnaH ripu-tAm upEti // Hit-_2.158 //
   tad ayam aśakyarthaḥ prameyaḥ, yataḥ-	tat ayam aSaki-arTaH prameyaH, yatas--
   nimittam uddiśya hi yaḥ prakupyati	nimittam uddiSya hi yaH prakupyati
   dhruvaṃ sa tasyāpagame prasīdati |	Druvam sa tasya-apagame prasIdati |
   akāraṇa-dveṣi manas tu yasya vai	akAraNa--dvezi manaH tu yasya vE
   kathaṃ janas taṃ paritoṣayiṣyati // Hit_2.159 //	kaTam janaH tam paritozayizyati // Hit-_2.159 //
   kiṃ mayāpakṛtaṃ rājñaḥ | athavā nirnimittāpakāriṇaś ca bhavanti rājānaḥ |	kim mayA-apakRtam rAjQaH | aTavA nirnimitta-apakAriNaH ca Bavanti rAjAnaH |
   damanako brūte-evam etat | śṛṇu-	damanakaH brUte--evam etat | SRNu-
   vijñaiḥ snigdhair upakṛtam api dveṣyatām eti kaiścit	vijQEH snigDEH upakRtam api dvezya-tAm eti kEScid-
   sākṣād anyair apakṛtam api prītim evopayāti |	sAkzAt anyEH apakRtam api prItim eva-upayAti |
   citraṃ citraṃ kim atha caritaṃ naikabhāvāśrayāṇāṃ	citram citram kim aTa caritam na-eka-BAva-ASrayANAm
   sevā-dharmaḥ parama-gahano yoginām apy agamyaḥ // Hit_2.160 //	sevA--DarmaH parama--gahanaH yoginAm api agamyaH // Hit-_2.160 //
   anyac ca-	anyat ca-
   kṛta-śatam asatsu naṣṭaṃ subhāṣita-śataṃ ca naṣṭam abudheṣu |	kRta--Satam asatsu nazwam su-BAzita--Satam ca nazwam abuDezu |
   vacana-śatam avacana-kare buddhi-śatam acetane naṣṭam // Hit_2.161 //	vacana--Satam avacana-kare budDi-Satam acetane nazwam // Hit-_2.161 //
   kiṃ ca-	kim ca-
   candana-taruṣu bhujaṅgā jaleṣu kamalāni tatra ca grāhāḥ |	candana-taruzu BujaFgAH jalezu kamalAni tatra ca grAhAH |
   guṇa-ghātinaś ca bhoge khalā na ca sukhāny avighnāni // Hit_2.162 //	guNa-GAtinaH ca Boge KalAH na ca suKAni aviGnAni // Hit-_2.162 //
   mūlaṃ bhujaṅgaiḥ kusumāni bhṛṅgaiḥ	mUlam BujaFgEH kusumAni BRFgEH
   śākhāḥ plavaṅgaiḥ śikharāṇi bhallaiḥ |	SAKAH plavaFgEH SiKarANi BallEH |
   nāsty eva tac-candana-pādapasya	na-asti eva tac-candana--pAdapasya
   yan nāśritaṃ duṣṭataraiś ca hiṃsraiḥ // Hit_2.163 //	yat na-ASritam duzwatarEH ca hiMsrEH // Hit-_2.163 //
   ayaṃ tāvat svāmī vāci madhuro viṣa-hṛdayo jñātaḥ | yataḥ-	ayam tAvat svAmI vAci maDuraH viza--hRdayaH jQAtaH | yatas--
   dūrād ucchrita-pāṇir ādra-nayanaḥ protsāritārdhāsano	dUrAt ucCrita-pANiH Adra-nayanaH protsArita-arDa-AsanaH-
   gāḍhāliṅgana-tat-paraḥ priya-kathā-praśneṣu dattādaraḥ |	gAXa-AliFgana-tat--paraH priya--kaTA--praSnezu datta-AdaraH |
   antarbhūta-viṣo bahir madhumayaś cātīva māyā-paṭuḥ	antarBUta-vizaH bahis maDu-mayaH ca-atIva mAyA--pawuH
   ko nāmāyam apūrva-nāṭaka-vidhir yaḥ śikṣito durjanaiḥ // Hit_2.164 //	kaH nAma-ayam apUrva-nAwaka-viDiH yaH SikzitaH durjanEH // Hit-_2.164 //
   tathā hi-	taTA hi-
   poto dustara-vāri-rāśitaraṇe dīpo 'ndhakārāgame	potaH dustara--vAri-rASi-taraNe dIpaH anDakAra-Agame
   nirvāte vyajanaṃ madāndha-kariṇāṃ darpopaśāntyai sṛṇiḥ |	nirvAte vyajanam mada-anDa--kariNAm darpa-upaSAntyE sRNiH |
   itthaṃ tad bhuvi nāsti yasya vidhinā nopāya-cintā kṛtā	itTam tat Buvi na-asti yasya viDinA na-upAya-cintA kRtA
   manye durjana-citta-vṛtti-haraṇe dhātāpi bhagnodyamaḥ // Hit_2.165 //	manye durjana--citta-vRtti-haraNe DAtA-api Bagna-udyamaH // Hit-_2.165 //
   saṃjīvakaḥ punar niḥśvasya-kaṣṭaṃ bhoḥ ! katham ahaṃ sasya-bhakṣakaḥ	saMjIvakaH punar niHSvasya-kazwam BoH ! kaTam aham sasya-BakzakaH
   siṃhena nipātayitavyaḥ ? yataḥ-	siMhena nipAtayitavyaH ? yatas--
   yayor eva samaṃ vittaṃ yayor eva samaṃ balam |	yayoH eva samam vittam yayoH eva samam balam |
   tayor vivādo mantavyo nottamādhamayoḥ kvacit // Hit_2.166 //	tayoH vivAdaH mantavyaH na-uttama-aDamayoH kvacid // Hit-_2.166 //
   ayuddhe hi yadā paśyen na kāñcid hitam ātmanaḥ |	ayudDe hi yadA paSyet na kAQcid hitam AtmanaH |
   yudhyamānas tadā prājño mriyate ripuṇā saha // Hit_2.170 //	yuDyamAnaH tadA prAjQaH mriyate ripuNA saha // Hit-_2.170 //
   aparaṃ ca-	aparam ca-
   bhūmy-eka-deśasya guṇānvitasya	BUmi--eka-deSasya guNa-anvitasya
   bhṛtyasya vā buddhimataḥ praṇāśaḥ |	BRtyasya vA budDimataH praNASaH |
   bhṛtya-praṇāśo maraṇaṃ nṛpāṇāṃ	BRtya--praNASaH maraNam nRpANAm
   naṣṭāpi bhūmiḥ sulabhā na bhṛtyāḥ // Hit_2.177 //	nazwA-api BUmiH sulaBAH na BRtyAH // Hit-_2.177 //
   damanako brūte-svāmin ! ko 'yaṃ nūtano nyāyo yad arātiṃ hatvā santāpaḥ	damanakaH brUte--svAmin ! kaH ayam nUtanaH nyAyaH yat arAtim hatvA santApaH
   kriyate ? tathā coktam-	kriyate ? taTA ca-uktam-
   pitā vā yadi vā bhrātā putrī vā yadi vā suhṛt |	pitA vA yadi vA BrAtA putrI vA yadi vA suhRd |
   prāṇa-ccheda-karā rājñā hantavyā bhūtim icchatā // Hit_2.178 //	prANa--=-Ceda-karAH rAjQA hantavyAH BUtim icCatA // Hit-_2.178 //
   api ca-	api ca-
   dharmārtha-kāma-tattvajño naikānta-karuṇo bhavet |	Darma-arTa--kAma--tattva-jQaH na-ekAnta-karuNaH Bavet |
   nahi hastastham apy annaṃ kṣamāvān bhakṣituṃ kṣamaḥ // Hit_2.179 //	na-hi hasta-sTam api annam kzamAvAn Bakzitum kzamaH // Hit-_2.179 //
   kiṃ ca-	kim ca-
   kṣamā śatrau ca mitre ca yatīnām eva bhūṣaṇam |	kzamA SatrO ca mitre ca yatInAm eva BUzaNam |
   aparādhiṣu sattveṣu nṛpāṇāṃ saiva dūṣaṇam // Hit_2.180 //	aparADizu sattvezu nRpANAm sA-eva dUzaNam // Hit-_2.180 //
   aparaṃ ca-	aparam ca-
   rājya-lobhād ahaṅkārād icchataḥ svāminaḥ padam |	rAjya--loBAt ahaFkArAt icCataH svAminaH padam |
   prāyaścittaṃ tu tasyaikaṃ jīvotsargo na cāparam // Hit_2.181 //	prAyaScittam tu tasya-ekam jIva-utsargaH na ca-aparam // Hit-_2.181 //
   anyac ca-	anyat ca-
   rājā ghṛṇī brāhmaṇaḥ sarva-bhakṣī	rAjA GRNI brAhmaNaH sarva-BakzI
   strī cāvajñā duṣprakṛtiḥ sahāyaḥ |	strI ca-avajQA duzprakRtiH sahAyaH |
   preṣyaḥ pratīpo 'dhikṛtaḥ pramādī	prezyaH pratIpaH aDikRtaH pramAdI
   tyājyā ime yaś ca kṛtaṃ na vetti // Hit_2.182 //	tyAjyAH ime yaH ca kRtam na vetti // Hit-_2.182 //
   viśeṣataś ca-	viSezataH ca-
   satyānṛtā ca paruṣā priya-vādinī ca	satya-anRtA ca paruzA priya-vAdinI ca
   hiṃsrā dayālur api cārtha-parā vadānyā |	hiMsrA dayAluH api ca-arTa-parA vadAnyA |
   nitya-vyayā pracura-ratna-dhanāgamā ca	nitya--vyayA pracura--ratna--Dana-AgamA ca
   vārāṅganeva nṛpa-nītir aneka-rūpā // Hit_2.183 //	vAra-aFganA-iva nRpa-nItiH aneka--rUpAH // Hid-_2.183 //
   iti damanakena santoṣitaḥ piṅgalakaḥ svāṃ prakṛtim āpannaḥ siṃhāsane	iti damanakena santozitaH piFgalakaH svAm prakRtim ApannaH siMhAsane
   samupaviṣṭaḥ | damanakaḥ prahṛṣṭa-manāḥ vijayatāṃ mahārājaḥ śubham astu	samupavizwaH | damanakaH prahRzwa-manAH vijayatAm mahA-rAjaH SuBam astu
   sarva-jagatām ity uktvā yathā-sukham avasthitaḥ |	sarva-jagatAm iti uktvA yaTA--suKam avasTitaH |
   viṣṇu-śarmovāca-suhṛd-bhedaḥ śrutas tāvad bhavadbhiḥ |	vizNu--Sarma-uvAca--suhRd-BedaH SrutaH tAvat BavadBiH |
   rāja-putrā ūcuḥ-bhavat-prasādāc chrutaḥ | sukhino bhūtā vayam |	rAja--putrAH UcuH-Bavat--prasAdAt SrutaH | suKinaH BUtAH vayam |
   viṣṇuśarmābravīt-aparam apīdam astu-	vizNuSarmA-abravIt-aparam api-idam astu-
   suhṛd-bhedas tāvad bhavatu bhavatāṃ śatru-nilaye	suhRd-BedaH tAvat Bavatu BavatAm Satru-nilaye
   khalaḥ kālākṛṣṭaḥ pralayam upasarpatv ahar-ahaḥ |	KalaH kAla-AkRzwaH pralayam upasarpatu ahar-ahar |
   jano nityaṃ bhūyāt sakala-sukha-sampatti-vasatiḥ	janaH nityam BUyAt sakala--suKa--sampatti--vasatiH
   kathārambhe rambhye satatam iha bālo 'pi ramatām // Hit_2.184 //	kaTA-AramBe ramBye satatam iha bAlaH api ramatAm // Hit-_2.184 //
   iti hitopadeśe suhṛd-bhedo nāma dvitīyaḥ	iti hita-upadeSe suhRd-BedaH nAma dvitIyaH
   kathā-saṅgrahaḥ samāptaḥ	kaTA--saFgrahaH samAptaH
   --o)0(o--	--aH-)0(o--
   iii.	iii.
   vigrahaḥ	vigrahaH
   atha punaḥ kathārambha-kāle rāja-putrā ūcuḥ-ārya ! rājaputrā vayam | tad	aTa punar kaTA-AramBa--kAle rAja--putrAH UcuH--Arya ! rAja-putrAH vayam | tat-
   vigrahaṃ śrotuṃ naḥ kutūhalam asti | viṣṇuśarmaṇoktam-yad evaṃ bhavadbhyo	vigraham Srotum naH kutUhalam asti | vizNuSarmaNA-uktam--yat evam BavadByaH-
   rocate tat kathayāmi | vigrahaḥ śrūyatāṃ, yasyāyam ādyaḥ ślokaḥ-	rocate tat kaTayAmi | vigrahaH SrUyatAn, yasya-ayam AdyaH SlokaH-
   haṃsaiḥ saha mayūrāṇāṃ vigrahe tulya-vikrame |	haMsEH saha mayUrANAm vigrahe tulya--vikrame |
   viśvāsya vañcitā haṃsāḥ kākaiḥ sthitvāri-mandire // Hit_3.1 //	viSvAsya vaQcitAH haMsAH kAkEH sTitvA-ari--mandire // Hid-_3.1 //
   rāja-putrā ūcuḥ-katham etat ? viṣṇuśarmā kathayati-	rAja--putrAH UcuH-kaTam etat ? vizNuSarmA kaTayati-
   asti karpūradvīpe padmakeli-nāmadheyaṃ saraḥ | tatra hiraṇyagarbho nāma	asti karpUradvIpe padma-keli-nAmaDeyam saraH | tatra hiraNyagarBaH nAma
   rājahaṃsaḥ prativasati | sa ca sarvair jalacaraiḥ pakṣibhir militvā	rAjahaMsaH prativasati | sa ca sarvEH jalacarEH pakziBiH militvA
   pakṣi-rājye'bhiṣiktaḥ | yataḥ-	pakzi-rAjye-aBiziktaH | yatas--
   yadi na syān narapatiḥ samyaṅ-netā tataḥ prajā |	yadi na syAt narapatiH samyak--netA tatas prajAH |
   akarṇa-dhārā jaladhau viplaveteha naur iva // Hit_3.2 //	akarNa--DArAH jalaDO vipla-veta-iha nOH iva // Hit-_3.2 //
   aparaṃ ca-	aparam ca-
   prajāṃ saṃrakṣati nṛpaḥ sā vardhayati pārthivam |	prajAm saMrakzati nRpaH sA varDayati pArTivam |
   vardhanād rakṣaṇaṃ śreyas tad-abhāve sad apy asat // Hit_3.3 //	varDanAt rakzaNam SreyaH tad--aBAve sat api asat // Hit-_3.3 //
   ekadāsau rājahaṃsaiḥ suvistīrṇa-kamala-paryaṅke sukhāsīnaḥ	ekadA-asO rAjahaMsEH su-vistIrNa-kamala--paryaFke suKa-AsInaH
   parivāra-parivṛtas tiṣṭhati | tataḥ kutaścid deśād āgatya dīrgha-mukho	parivAra--parivRtaH tizWati | tatas kutaScid deSAt Agatya dIrGa-muKaH-
   nāma bakaḥ praṇamyopaviṣṭaḥ | rājovāca-dīrghamukha ! daśāntarād āgato 'si	nAma bakaH praNamya-upavizwaH | rAjA-uvAca--dIrGa-muKa ! daSa-antarAt AgataH asi
   | vārtāṃ kathaya |	| vArtAm kaTaya |
   sa brūte-deva ! asti mahatī vārtā | tām ākhyātukāma eva satvaram āgato	sa brUte-deva ! asti mahatI vArtA | tAm AKyAtu-kAmaH eva sa-tvaram AgataH-
   'ham | śrūyatām-	aham | SrUyatAm-
   asti jambūdvīpe vindhyo nāma giriḥ | tatra citravarṇo nāma mayūraḥ	asti jambUdvIpe vinDyaH nAma giriH | tatra citravarNaH nAma mayUraH
   pakṣirājo nivasati | tasyānucaraiś caradbhiḥ pakṣibhir ahaṃ	pakzirAjaH nivasati | tasya-anucarEH caradBiH pakziBiH aham
   dagdhāracya-madhye carann avalokitaḥ | pṛṣṭaś ca-kas tvam ? kutaḥ samāgato	dagDA-racya--maDye caran avalokitaH | pRzwaH ca-kaH tvam ? kutas samAgataH-
   'si ?	asi ?
   tadā mayoktam-karpūradvīpasya rājacakravartino hiraṇyagarbhasya	tadA mayA-uktam--karpUradvIpasya rAja-cakravartinaH hiraNyagarBasya
   rjahaṃsasyānucaro 'haṃ, kautukād deśāntaraṃ draṣṭum āgato 'smi | etac	rjahaMsasya-anucaraH ahan, kOtukAt deSa-antaram drazwum AgataH asmi | etat-
   chrutvā pakṣibhir uktam-anayor deśayoḥ ko deśo bhadrataro rājā ca ?	SrutvA pakziBiH uktam-anayoH deSayoH kaH deSaH BadrataraH rAjA ca ?
   tato mayoktam-āḥ kim evam ucyate mahad antaram | yataḥ karpūradvīpaḥ	tatas mayA-uktam-AH kim evam ucyate mahat antaram | yatas karpUradvIpaH
   svarga eva | rājahaṃsaś ca dvitīyaḥ svargapatiḥ kathaṃ varṇayituṃ śakyate	svargaH eva | rAjahaMsaH ca dvitIyaH svarga-patiH kaTam varNayitum Sakyate
   | atra marusthale patitā yūyaṃ kiṃ kurutha | asmad-deśe gamyatām |	| atra maru-sTale patitAH yUyam kim kuruTaH | asmad--deSe gamyatAm |
   tato 'smad-vacanam ākarṇya sarva-pakṣiṇaḥ sakopā babhūvuḥ | tathā coktam-	tatas asmad--vacanam AkarNya sarva-pakziNaH sa-kopAH baBUvuH | taTA ca-uktam-
   payaḥ-pānaṃ bhujaṅgānāṃ kevalaṃ viṣa-vardhanam |	payaH--pAnam BujaFgAnAm kevalam viza-varDanam |
   upadeśo hi mūrkhāṇāṃ prakopāya na śāntaye // Hit_3.4 //	upadeSaH hi mUrKANAm prakopAya na SAntaye // Hid-_3.4 //
   anyac ca-	anyat ca-
   vidvān evopadeṣṭavyo nāvidvāṃs tu kadācana |	vidvAn eva-upadezwavyaH na-avidvAn tu kadAcana |
   vānarānupadiśyātha sthāna-bhraṣṭā yayuḥ khagāḥ // Hit_3.5 //	vAnarAn-upadiSya-aTa sTAna--BrazwAH yayuH KagAH // Hit-_3.5 //
   rājovāca-katham etat ?	rAjA-uvAca--kaTam etat ?
   dīrghamukhaḥ kathayati-	dIrGamuKaH kaTayati-
   kathā 1	kaTA 1
   asti narmadā-tīre parvatopatyakāyāṃ viśālaḥ śālmalī-taruḥ | tatra	asti narmadA--tIre parvata-upatyakAyAm viSAlaH SAlmalI-taruH | tatra
   nirmita-nīḍa-koḍe pakṣiṇaḥ sukhena nivasanti | athaikadā varṣāsu	nirmita--nIxa--koxe pakziNaH suKena nivasanti | aTa-ekadA varzAsu
   nīlapaṭair iva jaladhara-paṭalair āvṛte nabhas-tale | dhārā-sārair mahatī	nIla-pawEH iva jalaDara--pawalEH AvRte naBas--tale | DArA-a--sArEH mahatI
   vṛṣṭir babhūva | tato vānarāṃś ca taru-tale'vasthitān śītākulān kampamānān	vRzwiH baBUva | tatas vAnarAn ca taru--tale-avasTitAn SIta-AkulAn kampamAnAn
   avalokya, kṛpayā pakṣibhir uktam-bho bho vānarāḥ ! śṛṇuta--	avalokya, kRpayA pakziBiH uktam--BaH Bo vAnarAH ! SRNuta--
   asmābhir nirmitā nīḍāś cañcu-mātrāhṛtais tṛṇaiḥ |	asmABiH nirmitAH nIxAH caQcu--mAtrA-hRtEH tRNEH |
   hasta-pādādi-saṃyuktā yūyaṃ kim avasīdatha // Hit_3.6 //	hasta-pAda-Adi-saMyuktAH yUyam kim avasIt-aTa // Hit-_3.6 //
   tac chrutvā vānarair jātāmarṣair ālocitam-aho !	tat SrutvA vAnarEH jAta-amarzEH Alocitam--aho !
   nirvāta-nīḍa-garbhāvasthitāḥ sukhinaḥ pakṣiṇo 'smān nindanti | tad bhavatu	nirvAta--nIxa--garBa-avasTitAH suKinaH pakziNaH asmAn nindanti | tat Bavatu
   tāvad vṛṣṭer upaśamaḥ |	tAvat vRzweH upaSamaH |
   anantaraṃ śānte pānīya-varṣe tair vānarair vṛkṣam āruhya, sarve nīḍā	anantaram SAnte pAnIya--varze tEH vAnarEH vRkzam Aruhya, sarve nIxA
   bhagnāḥ, teṣām aṇḍāni cādhaḥ pātitāni | ato 'haṃ bravīmi vidvān	BagnAH, tezAm aNxAni ca-aDas pAtitAni | atas aham bravImi vidvAn
   evopadeṣṭavyaḥ ity ādi |	eva-upadezwavyaH iti Adi |
   rājovāca-tatas taiḥ pakṣibhiḥ kiṃ kṛtam ?	rAjA-uvAca--tatas tEH pakziBiH kim kRtam ?
   bakaḥ kathayati-tatas taiḥ pakṣibhiḥ kopād uktam-kenāsau rājahaṃso rājā	bakaH kaTayati-tatas tEH pakziBiH kopAt uktam-kena-asO rAjahaMsaH rAjA
   kṛtaḥ ?	kRtaH ?
