   cittaparikarma dvādaśaḥ paricchedaḥ ||	citta-parikarma dvAdaSaH paricCedaH ||
   saṃsārasāgarād unmajjayati |	saMsAra-sAgarAt unmajjayati |
   buddhadharmaprayuktāya maitryā spharatîty ādi ||	budDa-Darma-prayuktAya mEtryA sParatîti Adi ||
   imāś ca suvarṇabhāsôktā maitrīkaruṇāgarbhā gāthāḥ sarvâdarataḥ	imAH ca suvarNa-BAsôktAH mEtrI-karuNA-garBAH gATAH sarvâdarataH
   samanvāhṛtya bhāvayitavyântaśo vacasâpi ||	samanvAhRtya BAvayita-vyântaSas vacasâpi ||
   suvarṇabhāsôttamadundubhena śāmyantu duṣkhās trisahasraloke |	suvarNa-BA-sôttama-dunduBena SAmyantu duzKAH tri-sahasra-loke |
   apāyaduṣkhā yamalokaduṣkhā dāridryaduṣkhāś cêha triloke ||	apAya-duzKAH yama-loka-duzKAH dAridrya-duzKAH ca-iha triloke ||
   anena cô dundubhighoṣanādinā śāmyantu sarvavyasanāni loke |	anena cô dunduBi-Goza-nAdinA SAmyantu sarva-vyasanAni loke |
   bhavantu satvā hy abhayâhatā tathā yathâbhayāḥ śāntabhayāḥ munîndrāḥ ||	Bavantu satvAH hi aBayâ-hatA taTA yaTâBayAH SAnta-BayAH munîndrAH ||
   yathâiva sarvâryaguṇôpapannāḥ saṃsārasarvajñamahāsamudrāḥ |	yaTâiva sarvârya-guNôpapannAH saMsAra-sarvajQa-mahA-samudrAH |
   tathâiva bhontū guṇasāgarāḥ prajāḥ samādhibodhyaṅgaguṇair upetāḥ ||	taTâiva BontU guNa-sAgarAH prajAH samADi-boDi-aFga-guNEH upetAH ||
   anena cô dundubhighoṣanādinā bhavantu brahmasvara sarvasatvāḥ |	anena cô dunduBi-Goza-nAdinA Bavantu brahma-svara sarva-satvAH |
   spṛśantu buddhatvavarâgrabodhiṃ pravartayantū śubhadharmacakram ||	spRSantu budDatva-varâgra-boDim pravartayantU SuBa-Darma-cakram ||
   [ Bendall ed p217 ---> ]	[ Bet-dalt ed p217 ---> ]
   tiṣṭhantu kalpāni acintiyāni deśentu dharmaṃ jagato hitāya |	tizWantu kalpAni acintiyAni deSentu Darmam jagataH hitAya |
   hanantu kleśān vidhamantu duṣkhān samentu rāgaṃ tatha doṣa moham ||	hanantu kleSAn viDamantu duzKAn samentu rAgam taTa doza moham ||
   ye satva tiṣṭhanti apāyabhūmau ādīptasaṃprajvalitâsthigātrāḥ |	ye satva tizWanti apAya-BUmO AdIpta-saMprajvalitâ-sTi-gAtrAH |
   śṛṇvantu te dundubhisaṃpravāditaṃ namo 'stu buddhāya bhaṇantu vācam ||	SRNvantu te dunduBi-saMpravAditam namaH astu budDAya BaNantu vAcam ||
   jātismarāḥ satvā bhavantu sarve jātīśataṃ jātisahasrakoṭyaḥ |	jAti-smarAH satvAH Bavantu sarve jAtI-Satam jAti-sahasra-kowyaH |
   anusmarantū satataṃ munîndrān śṛṇvantu teṣāṃ vacanaṃ hy udāraṃ ||	anusmarantU satatam munîndrAn SRNvantu tezAm vacanam hi udAram ||
   anena cô dundubhighoṣanādinā labhantu buddhehi samāgamaṃ sadā |	anena cô dunduBi-Goza-nAdinA laBantu budDA-ihi samAgamam sadA |
   vivarjayantū khalu pāpakarma carantu kuśalāni śubhakriyāṇi ||sarvatra	vivarjayantU Kalu pApa-karma carantu kuSalAni SuBa-kriyANi ||sarvatra
   kṣetreṣu ca sarvaprāṇināṃ sarve ca duṣkhāḥ praśamantu loke |	kzetrezu ca sarva-prANinAm sarve ca duzKAH praSamantu loke |
   ye satva vikalêndriyâṅgahīnāḥ te sarvi sakalêndriya bhontu sāṃpratam ||	ye satva vikalêndriyâFga-hInAH te sarvi sakalêndriya Bontu sAMpratam ||
   ye vyādhitā durbalakṣīṇagātrā nistrāṇabhūtāḥ śayitā diśāsu |	ye vyADitAH durbala-kzINa-gAtrAH nistrANa-BUtAH SayitAH diSAsu |
   te sarvi mucyantu ca vyādhito laghu labhantu cârogya balêndriyāṇi ||	te sarvi mucyantu ca vyADitaH laGu laBantu cârogya balêndriyANi ||
   ye rājacaurabhaṭa tarjita vadhyaprāptā nānāvidhair bhayaśatair	ye rAja-cOraBawa tarjita vaDya-prAptAH nAnAviDEH Baya-SatEH-
   vyasanôpapannāḥ |	vyasanô-papannAH |
   te sa-	te sa-
   [ Cambridge MS f100b ---> ]	[ Cambridge M f100B ---> ]
   rvi satva vyasanâgataduṣkhitā hi mucyantu tair bhayaśataiḥ paramaiḥ	rvi satva vyasanâ-gata-duzKitAH hi mucyantu tEH Baya-SatEH paramEH
   sughoraiḥ ||	su-GorEH ||
   [ Bendall ed p218 ---> ]	[ Bet-dalt ed p218 ---> ]
   ye tāḍitā bandhanabaddhapīḍitā vividheṣu vyasaneṣu ca saṃsthitāhi |	ye tAxitAH banDana-badDa-pIxitAH viviDezu vyasanezu ca saMsTitAhi |
   anekâyāsasahasrâkulā vicitrabhayadāruṇaśokaprāptāḥ || te sarvi mucyantv	anekâyAsa-sahasrâkulAH vicitra-Baya-dAruNa-Soka-prAptAH || te sarvi mucyantv
   iha bandhanebhyaḥ saṃtāḍitā mucyiṣu tāḍanebhyaḥ |	iha banDaneByaH saMtAxitAH mucyizu tAxaneByaH |
   vadhyāś ca saṃyujyiṣu jīvitena vyasanâgatā nirbhaya bhontu sarve ||ye	vaDyAH ca saMyujyizu jIvitena vyasanâ-gatAH nirBaya Bontu sarve ||ye
   satva kṣuttarṣapipāsapīḍitā labhantu te bhojanapānacitram |	satva kzuD-tarza-pipAsa-pIxitAH laBantu te Bojana-pAna-citram |
   andhāś ca paśyantu vicitrarūpāṃ badhirāś ca śṛṇvantu manojñaghoṣān	anDAH ca paSyantu vicitra-rUpAm baDirAH ca SRNvantu manojQa-GozAn
   ||nagnāś ca vastrāṇi labhantu citrāṃ daridrasatvāś ca nidhiṃ labhantu |	||nagnAH ca vastrANi laBantu citrAm daridra-satvAH ca niDim laBantu |
   prabhūtadhanadhānyavicitraratnaiḥ sarve ca satvāḥ sukhino bhavantu ||mā	praBUta-Dana-DAnya-vicitra-ratnEH sarve ca satvAH suKinaH Bavantu ||mA
   kasyacid bhāvatu duṣkhavedanāḥ saukhyânvitāḥ satva bhavantu sarve |	kasyacid BAvatu duzKa-vedanAH sOKyânvitAH satva Bavantu sarve |
   abhirūpaprāsādikasaumyarūpâneka sukha saṃcita nitya bhontu	aBirUpa-prAsAdika-sOmya-rUpâneka suKa saMcita nitya Bontu
   ||manasânnapānāḥ susamṛddhapuṇyāḥ saha cittamātreṇa bhavantu teṣāṃ |	||manasânna-pAnAH su-samRdDa-puNyAH saha citta-mAtreNa Bavantu tezAm |
   vīṇā mṛdaṅgāḥ paṇavāḥ sughoṣakāḥ utsā sarāḥ puṣkariṇī taḍāgāḥ ||	vINAH mRdaFgAH paNavAH su-GozakAH utsA sarAH puzkariNI taxAgAH ||
   suvarṇapadmôtpalapadminīś ca saha cittamātreṇa bhavantu teṣām |	suvarNa-padmôtpala-padminIH ca saha citta-mAtreNa Bavantu tezAm |
   gandhaṃ ca mālyaṃ ca vilepanaṃ ca vāsaś ca cūrṇaṃ kusumaṃ vicitram	ganDam ca mAlyam ca vilepanam ca vAsaH ca cUrNam kusumam vicitram
   ||triṣkālavṛkṣebhi pravarṣayantu gṛhṇantu te satva bhavantu hṛṣṭāḥ |	||trizkAla-vRkzeBi pravarzayantu gRhNantu te satva Bavantu hRzwAH |
   kurvantu pūjāṃ daśasū diśāsu acintiyāṃ sarvatathāgatānām ||	kurvantu pUjAm daSasU diSAsu acintiyAm sarva-taTAgatAnAm ||
   [ Bendall ed p219 ---> ]	[ Bet-dalt ed p219 ---> ]
   sa bodhisatvān atha śrāvakāṇāṃ dharmasya bodhi pratisṛṣṭi tasya |	sa boDisatvAn aTa SrAvakANAm Darmasya boDi pratisRzwi tasya |
   nīcāṃ gatiṃ satva vivarjayantu bhavantu aṣṭâkṣaṇavītivṛttāḥ ||	nIcAm gatim satva vivarjayantu Bavantu azwâkzaNa-vIti-vRttAH ||
   āsādayantū jinarājam uttamaṃ labhantu buddhehi samāgamaṃ sadā |	AsAdayantU jinarAjam uttamam laBantu budDA-ihi samAgamam sadA |
   sarvā striyo nitya narā bhavantu śūrāś ca vīrā vidupaṇḍitāś ca ||te sarvi	sarvA striyaH nitya narAH Bavantu SUrAH ca vIrAH vidupaNxitAH ca ||te sarvi
   bodhāya carantu nityaṃ carantu te pāramitāsu ṣaṭsu |	boDAya carantu nityam carantu te pAramitAsu zawsu |
   paśyantu buddhān daśasū diśāsu ratnadrumêndreṣu sukhôpaviṣṭān |	paSyantu budDAn daSasU diSAsu ratnadru-mêndrezu suKô-pavizwAn |
   vaiḍūryaratnâsanasaṃniṣaṇṇān dharmāṃś ca śṛṇvantu prakāśyamānān |	vExUrya-ratnâ-sana-saMnizaNNAn DarmAn ca SRNvantu prakASyamAnAn |
   iti ||	iti ||
   eṣā saṃkṣepato maitrī ||	ezA saMkzepataH mEtrI ||
   dveṣasamudācārapratipakṣaḥ ||	dveza-samudAcAra-pratipakzaH ||
   mohânuśayasya pratītyasamutpādadarśanaṃ pratipakṣaḥ ||	mohânuSayasya pratItyasamutpAda-darSanam pratipakzaH ||
   tatra pratītyasamutpādaḥ śālistambasūtre 'bhihitaḥ |	tatra pratItyasamutpAdaH SAli-stamba-sUtre aBihitaH |
   tatrâdhyātmikasya pratītyasamu-	tatrâDyAtmikasya pratItyasamu-
   [ Bendall ed p220 ---> ]	[ Bet-dalt ed p220 ---> ]
   tpādasya	tpAdasya
   [ Cambridge MS f101a ---> ]	[ Cambridge M f101aH ---> ]
   hetûpanibandhaḥ katamaḥ |	hetûpa-nibanDaH katamaH |
   yad idam avidyāpratyayāḥ saṃskārā yāvaj jātipratyayaṃ jarāmaraṇam iti |	yat idam avidyA-pratyayAH saMskArAH yAvat jAti-pratyayam jarA-maraNam iti |
   avidyā cen nâbhaviṣyan nâiva saṃskārāḥ prājñāsyanta |	avidyA ced nâBavizyan nâiva saMskArAH prAjQAsyanta |
   evaṃ yāvad yadi jātir nâbhaviṣyan na jarāmaraṇaṃ prājñāsyata |	evam yAvat yadi jAtiH nâBavizyat na jarA-maraNam prAjQAsyata |
   atha satyām avidyāyāṃ saṃskārāṇām abhinirvṛttir bhavati |	aTa satyAm avidyAyAm saMskArANAm aBinirvRttiH Bavati |
   evaṃ yāvaj jātyāṃ satyāṃ jarāmaraṇasyâbhinirvṛttir bhavati |	evam yAvat jAtyAm satyAm jarA-maraNasyâBinirvRttiH Bavati |
   tatrâvidyāyā nâivaṃ bhavati |	tatrâvidyAyAH nâivam Bavati |
   ahaṃ saṃskārān abhinirvartayāmîti |	aham saMskArAn aBinirvartayAmîti |
   saṃskārāṇām apy evaṃ na bhavati |	saMskArANAm api evam na Bavati |
   vayam avidyayâbhinirvṛttêti |	vayam avidyayâBinirvRttêti |
   evaṃ yāvaj jātyā nâivaṃ bhavati |	evam yAvat jAtyA nâivam Bavati |
   ahaṃ jarāmaraṇam abhinirvartayāmîti |	aham jarA-maraNam aBinirvartayAmîti |
   jarāmaraṇasyâpi nâivaṃ bhavati |	jarA-maraNasi-âpi nâivam Bavati |
   ahaṃ jātyā nirvṛttêti |atha ca satyām avidyāyāṃ saṃskārāṇām abhinirvṛttir	aham jAtyA nirvRttêti |aTa ca satyAm avidyAyAm saMskArANAm aBinirvRttiH-
   bhavati prādurbhāvaḥ |	Bavati prAdurBAvaH |
   evaṃ yāvaj jātyāṃ satyāṃ jarāmaraṇasyâbhinirvṛttir bhavati prādurbhāvaḥ ||	evam yAvat jAtyAm satyAm jarA-maraNasyâBinirvRttiH Bavati prAdurBAvaH ||
   evam ādhyātmikasya pratītyasamutpādasya hetûpanibandho draṣṭavyaḥ ||katham	evam ADyAtmikasya pratItyasamutpAdasya hetûpa-nibanDaH drazwavyaH ||kaTam
   ādhyātmikasya pratītyasamutpādasya pratyayôpanibandho draṣṭavyêti |	ADyAtmikasya pratItyasamutpAdasya pratyayôpanibanDaH drazwavyêti |
   ṣaṇṇāṃ dhātūnāṃ samavāyāt |	zaNNAm DAtUnAm samavAyAt |
   katam eṣāṃ ṣaṇṇāṃ dhātūnāṃ samavāyāt |	katam ezAm zaNNAm DAtUnAm samavAyAt |
   yad idaṃ pṛthivy-aptejovāyvākāśavijñānadhātūnāṃ samavāyād ādhyātmikasya	yat idam pRTivI--ap-tejaH-vAyu-AkASa-vijQAna-DAtUnAm samavAyAt ADyAtmikasya
   pratītyasamutpādasya pratyayôpanibandho draṣṭavyaḥ ||tatrâdhyātmikasya	pratItyasamutpAdasya pratyayôpanibanDaH drazwavyaH ||tatrâDyAtmikasya
   pratītyasamutpādasya pṛthivīdhātuḥ katamêti |	pratItyasamutpAdasya pRTivI-DAtuH katamêti |
   yo 'yaṃ kāyasya saṃśleṣataḥ kaṭhinabhāvam abhinirvartayaty ayam ucyate	yaH ayam kAyasya saMSlezataH kaWina-BAvam aBinirvartayati ayam ucyate
   pṛthivīdhātuḥ |	pRTivI-DAtuH |
   yaḥ kāyasyânuparigrahaṃ kṛtyaṃ karoti ayam ucyate 'bdhātuḥ |	yaH kAyasyânuparigraham kRtyam karoti ayam ucyate abDAtuH |
   yaḥ kāyasyâśitapītabhakṣitaṃ paripācayati ayam ucyate tejodhātuḥ |	yaH kAyasi-âSita-pIta-Bakzitam paripAcayati ayam ucyate tejaH-DAtuH |
   yaḥ kāyasyâśvāsapraśvāsa-	yaH kAyasyâSvAsa-praSvAsa-
   [ Bendall ed p221 ---> ]	[ Bet-dalt ed p221 ---> ]
   kṛtyaṃ karoty ayam ucyate vāyudhātuḥ |	kRtyam karoti ayam ucyate vAyuDAtuH |
   yaḥ kāyasyântaḥsauṣiryabhāvam abhinirvartayaty ayam ucyate ākāśadhātuḥ |	yaH kAyasi-ântar-sOzirya-BAvam aBinirvartayati ayam ucyate AkASa-DAtuH |
   yo nāmarūpam abhinirvartayati naḍakalāpayogena	yaH nAma-rUpam aBinirvartayati naxa-kalApa-yogena
   pañcavijñānakāyasaṃprayuktaṃ sâsravaṃ ca manovijñānam ayam ucyate	paQca-vijQAna-kAya-saMprayuktam sâsravam ca manaH-vijQAnam ayam ucyate
   vijñānadhātuḥ ||	vijQAna-DAtuH ||
   asatsu pratyayeṣu kāyasyôtpattir na bhavati |	asatsu pratyayezu kAyasyôtpattiH na Bavati |
   yadâdhyātmikaḥ pṛthivīdhātur avikalo bhavaty evam	yat-âDyAtmikaH pRTivI-DAtuH avikalaH Bavati evam
   aptejovāyvākāśavijñānadhātavaś câvikalā bhavanti |	ap-tejaH-vAyu-AkASa-vijQAna-DAtavaH câ-vikalAH Bavanti |
   tataḥ sarveṣāṃ samavāyāt kāyasyôtpattir bhavati ||	tatas sarvezAm samavAyAt kAyasyôt-pattiH Bavati ||
   tatra pṛthivīdhātor nâivaṃ bhavati |	tatra pRTivI-DAtoH nâivam Bavati |
   ahaṃ kāyasya kaṭhinabhāvam abhinirvartayāmîti |	aham kAyasya kaWina-BAvam aBinirvartayAmîti |
   abdhātor nâivaṃ bhavati |	ap-DAtoH nâivam Bavati |
   ahaṃ kāyasyânuparigrahakṛtyaṃ karomîti |	aham kAyasyânuparigraha-kRtyam karomîti |
   tejodhāto-	tejaH-DAto-
   [ Cambridge MS f101b ---> ]	[ Cambridge M f101B ---> ]
   r nâivaṃ bhavati |	r nâivam Bavati |
   ahaṃ kāyasyâśitapītakhāditaṃ paripācayāmîti |	aham kAyasyâSita-pIta-KAditam paripAcayAmîti |
   vāyudhātor nâivaṃ bhavati |	vAyu-DAtoH nâivam Bavati |
   ahaṃ kāyasyâśvāsapraśvāsakṛtyaṃ karomîti |	aham kAyasyâSvAsa-praSvAsa-kRtyam karomîti |
   ākāśadhātor nâivaṃ bhavati |	AkASa-DAtoH nâivam Bavati |
   ahaṃ kāyasyântaḥ saurṣiryaṃ karomîti |	aham kAyasyântaH sOrziryam karomîti |
   vijñānadhātor nâivaṃ bhavati |	vijQAna-DAtoH nâivam Bavati |
   aham ebhiḥ pratyayair janitêti |	aham eBiH pratyayEH janitêti |
   atha ca satsv eṣu pratyayeṣu kāyasyôtpattir bhavati |	aTa ca satsu ezu pratyayezu kAyasyôt-pattiH Bavati |
   tatra pṛthivīdhātur nâtmā na satvo na jīvo na jantur na manujo na mānavo	tatra pRTivI-DAtuH nâtmA na satvaH na jIvaH na jantuH na manujaH na mAnavaH-
   na strī na pumān na napuṃsakaṃ |	na strI na pumAn na napuMsakam |
   na câhaṃ |	na câham |
   na mama |	na mama |
   na câpy anyasya kasyacit |	na ca-ipi anyasya kasyacid |
   evam abdhātus tejodhātur vāyudhātur ākāśadhātur vijñānadhātur na satvo na	evam abDAtuH tejaH-DAtuH vAyuDAtuH AkASa-DAtuH vijQAna-DAtuH na satvaH na
   jīvo na jantur na manujo na mānavo na strī na pumān na napuṃsakaṃ na câhaṃ	jIvaH na jantuH na manujaH na mAnavaH na strI na pumAn na napuMsakam na câham
   na mama na câpy anyasya kasyacit ||tatrâvidyā katamā |	na mama na ca-ipi anyasya kasyacid ||tatrâvidyA katamA |
   yâiṣv eva ṣaṭsu dhātuṣv ekasaṃjñā piṇḍasaṃjñā nityasaṃjñā dhruvasaṃjñā	yâizu eva zawsu DAtuzu eka-saMjQA piNxa-saMjQA nitya-saMjQA Druva-saMjQA
   śāśvatasaṃjñā sukhasaṃjñâtmasaṃjñā satvajīvamanujamānavasaṃjñā |	SASvata-saMjQA suKa-saMjQâtma-saMjQA satva-jIvam-anujamAnava-saMjQA |
   ahaṃkāramamakāra-	ahaMkAramamakAra-
   [ Bendall ed p222 ---> ]	[ Bet-dalt ed p222 ---> ]
   saṃjñā |	saMjQA |
   evamādi vividham ajñānam iyam ucyate 'vidyêti |	evamAdi viviDam ajQAnam iyam ucyate avidyêti |
   evam avidyāyāṃ satyāṃ viṣayeṣu rāgadveṣamohāḥ pravartante |	evam avidyAyAm satyAm vizayezu rAga-dveza-mohAH pravartante |
   tatra ye rāgadveṣamohā viṣayeṣv amī ucyante saṃskārêti |	tatra ye rAga-dveza-mohAH vizayezu amI ucyante saMskArêti |
   vastuprativijñaptir vijñānaṃ |	vastu-prativijQaptiH vijQAnam |
   vijñānasahajāś catvāro 'rūpiṇôpādānaskandhās tan nāmarūpaṃ |	vijQAna-sahajAH catvAraH arUpiNô-pAdAna-skanDAH tat nAma-rUpam |
   catvāri ca mahābhūtāni côpādāyôpādāya r ūpam aikadhyam abhisaṃkṣipya tan	catvAri ca mahABUtAni côpAdAyôpAdAya r Upam EkaDyam aBisaMkzipya tat-
   nāmarūpaṃ |	nAma-rUpam |
   nāmarūpasaṃniśritānîndriyāṇi ṣaḍāyatanaṃ |	nAma-rUpa-saMniSrita-anîndriyANi zaz-Ayatanam |
   trayāṇāṃ dharmāṇāṃ saṃnipātaḥ sparśaḥ |	trayANAm DarmANAm saMnipAtaH sparSaH |
   sparśânubhavanā vedanā |	sparSânuBavanA vedanA |
   vedanâdhyavasānaṃ tṛṣṇā |	vedanâDyavasAnam tRzNA |
   tṛṣṇā vaipulyam upādānaṃ |	tRzNA vEpulyam upAdAnam |
   upādānanirjātaṃ punarbhavajanakaṃ karma |	upAdAna-nirjAtam punarBava-janakam karma |
   bhavaḥ |	BavaH |
   taddhetukaskandhaprādurbhāvo jātiḥ |	tad-hetuka-skanDa-prAdurBAvaH jAtiH |
   skandhaparipāko jarā vināśo maraṇaṃ |	skanDa-paripAkaH jarA vinASaH maraNam |
   mriyamāṇasya mūḍhasya svâbhiṣvaṅgasyântardāhaḥ śokaḥ |	mriyamANasya mUXasya svâBizu-aFgasi-ântardAhaH SokaH |
   lālapyanaṃ paridevaḥ |	lAlapyanam paridevaH |
   pañcavijñānakāyasaṃprayuktam aśātânubhavanaṃ duṣkhaṃ |	paQca-vijQAna-kAya-saMprayuktam aSAtânuBavanam duzKam |
   manasikārasaṃprayuktaṃ mānasaṃ duṣkhaṃ daurmanasyam |	manasikAra-saMprayuktam mAnasam duzKam dOrmanasyam |
   ye cânyae evamādayôpakleśās tae upāyāsāḥ ||	ye cânyae evamAdayôpakleSAH tae upAyAsAH ||
   pe ||	pe ||
   punar aparaṃ tatve 'pratipattiḥ mithyā pratipattiḥ ajñānam avidyā |	punar aparam tatve apratipattiH miTyA pratipattiH ajQAnam avidyA |
   evam avidyāyāṃ satyāṃ-	evam avidyAyAm satyAM-
   [ Bendall ed p223 ---> ]	[ Bet-dalt ed p223 ---> ]
   trividhāḥ saṃskārāḥ abhinirvartante |	triviDAH saMskArAH aBinirvartante |
   puṇyôpagâpuṇyôpagâniñjya-	puNyô-pagâ-puNyôpagâniQjya-
   [ Cambridge MS f102a ---> ]	[ Cambridge M f102aH ---> ]
   upagāś cêmae ucyante 'vidyāpratyayāḥ saṃskārêti |	upagAH cêmae ucyante avidyA-pratyayAH saMskArêti |
   puṇyôpagānāṃ saṃskārāṇāṃ puṇyôpagam eva vijñānaṃ bhavati |	puNyôpagAnAm saMskArANAm puNyôpagam eva vijQAnam Bavati |
   apuṇyôpagānāṃ saṃskārāṇām apuṇyôpagam eva vijñānaṃ bhavati |	apuNyôpagAnAm saMskArANAm apuNyôpagam eva vijQAnam Bavati |
   āniñjyôpagānāṃ saṃskārāṇām āniñjyôpagam eva vijñānaṃ bhavati |	AniQjyô-pagAnAm saMskArANAm AniQjyôpagam eva vijQAnam Bavati |
   idam ucyate saṃskārapratyayaṃ vijñānam iti |	idam ucyate saMskAra-pratyayam vijQAnam iti |
   evaṃ nāmarūpaṃ |	evam nAma-rUpam |
   nāmarūpavivṛddhyā ṣaḍbhir āyatanadvāraiḥ kṛtyakriyāḥ pravartante |	nAma-rUpa-vivRdDyA zaxBiH Ayatana-dvArEH kRtya-kriyAH pravartante |
   tan nāmarūpapratyayaṃ ṣaḍāyatanam ity ucyate |	tat nAma-rUpa-pratyayam zaz-Ayatanam iti ucyate |
   ṣaḍbhyâyatanebhyaḥ ṣaṭ sparśakāyāḥ pravartante 'yaṃ ṣaḍāyatanapratyayaḥ	zaxByâyataneByaH zaw sparSakAyAH pravartante ayam zaz-Ayatana-pratyayaH
   sparśêty ucyate |	sparSêti ucyate |
   yajjātīyaḥ sparśo bhavati tajjātīyā vedanā pravartate |	yat-jAtIyaH sparSaH Bavati tad-jAtIyA vedanA pravartate |
   iyaṃ sparśapratyayā vedanêty ucyate |	iyam sparSa-pratyayAH vedanêti ucyate |
   yas tāṃ vedayati viśeṣeṇâsvādayati |	yaH tAm vedayati viSezeNa-IsvAdayati |
   abhinandaty*adhyavasyaty atyadhitiṣṭhati |	aBinandati-*aDyavasyati atyaDitizWati |
   sā vedanāpratyayā tṛṣṇêty ucyate |	sA vedanA-pratyayA tRzNêti ucyate |
   āsvādanâbhinandanâdhyavasānaṃ |	AsvAdanâBinandanâDyavasAnam |
   mā me priyarūpaśātarūpair viyogo bhavatv iti |	mA me priya-rUpa-SAta-rUpEH viyogaH Bavatu iti |
   aparityāgo bhūyo bhūyaś ca prārthanā |	aparityAgaH BUyas BUyas ca prArTanA |
   idaṃ tṛṣṇāpratyayam upādānam ity ucyate |	idam tRzNA-pratyayam upAdAnam iti ucyate |
   evaṃ prārthayamānaḥ punarbhavajanakaṃ karma samutthāpayati kāyena vācā	evam prArTayamAnaH punarBava-janakam karma samutTApayati kAyena vAcA
   manasā |	manasA |
   ayam upādānapratyayo bhavêty ucyate |	ayam upAdAna-pratyayaH Bavêti ucyate |
   yā karmanirjātānāṃ skandhānām abhinirvṛttiḥ sā bhavapratyayā jātir ity	yA karma-nirjAtAnAm skanDAnAm aBinirvRttiH sA Bava-pratyayA jAtiH iti-
   ucyate |	ucyate |
   yo jātyabhinirvṛttānāṃ skandhānām upacayaparipākād vināśo bhavati |	yaH jAti-aBinirvRttAnAm skanDAnAm upacaya-paripAkAt vinASaH Bavati |
   tad idaṃ-	tat idaM-
   [ Bendall ed p224 ---> ]	[ Bet-dalt ed p224 ---> ]
   jātipratyayaṃ jarāmaraṇam ucyate ||	jAti-pratyayam jarA-maraNam ucyate ||
   pe ||	pe ||
   evam ayaṃ dvādaśâṅgaḥ pratītyasamutpādo 'nyonyahetuko 'nyonyapratyayato |	evam ayam dvAdaSâFgaH pratItyasamutpAdaH anyonya-hetukaH anyonya-pratyayataH |
   nâivânityo na nityo |	nâivâ-nityaH na nityaH |
   na saṃskṛto nâsaṃskṛto |	na saMskRtaH nâsaMskRtaH |
   na vedayitā |	na vedayitA |
   na kṣayadharmo na nirodhadharmo |	na kzaya-DarmaH na niroDa-DarmaH |
   na virāgadharmo |	na virAga-DarmaH |
   anādikārapravṛtto 'nudbhinno 'nupravartate nadīsrotavat ||	anAdikAra-pravRttaH anudBinnaH anupravartate nadI-srota-vat ||
   atha cêmāny asya dvādaśâṅgasya pratītyasamutpādasya catvāri aṅgāni	aTa cêmAni asya dvAdaSâFgasya pratItyasamutpAdasya catvAri aFgAni
   saṃghātakriyāyai hetutvena pravartante |	saMGAta-kriyAyE hetu-tvena pravartante |
   katamāni catvāri |	katamAni catvAri |
   yad uta |	yat uta |
   avidyā tṛṣṇā karma vijñānaṃ ca |	avidyA tRzNA karma vijQAnam ca |
   tatra vijñānaṃ bījasvabhāvatvena hetuḥ |	tatra vijQAnam bIja-svaBAva-tvena hetuH |
   karma kṣetrasvabhāvatvena hetuḥ |	karma kzetra-svaBAva-tvena hetuH |
   avidyā tṛṣṇā ca kleśasvabhāvatvena hetuḥ |	avidyA tRzNA ca kleSa-svaBAva-tvena hetuH |
   karmakleśā vijñānabījaṃ saṃjanayanti |	karma-kleSAH vijQAna-bIjam saMjanayanti |
   tatra karma vijñānabījasya kṣetrakāryaṃ karoti |	tatra karma vijQAna-bIjasya kzetra-kAryam karoti |
   tṛṣṇā vijñānabījaṃ snehayati |	tRzNA vijQAna-bIjam snehayati |
   avidyā vijñānabījam avakirati |	avidyA vijQAna-bIjam avakirati |
   asatāṃ yeṣāṃ pratyayānāṃ bījasyâbhinirvṛttir na bhavati ||tatra karmaṇo	asatAm yezAm pratyayAnAm bIjasi-âBinirvRttiH na Bavati ||tatra karmaNaH-
   nâivaṃ bhavati |	nâivam Bavati |
   ahaṃ vijñānabījasya kṣetrakāryaṃ karomîti |	aham vijQAna-bIjasya kzetra-kAryam karomîti |
   tṛṣṇāyâpi nâivaṃ bhavati |ahaṃ vijñānabījaṃ snehayāmîti |	tRzNAyâpi nâivam Bavati |aham vijQAna-bIjam snehayAmîti |
   avidyāyâpi nâivaṃ bhavati |	avidyAyâpi nâivam Bavati |
   ahaṃ vijñānabījam avakirāmîti |	aham vijQAna-bIjam avakirAmîti |
   vijñānabījasyâpi nâivaṃ bhavaty aham ebhiḥ pratyayair janitêti |	vijQAna-bIjasi-âpi nâivam Bavati aham eBiH pratyayEH janitêti |
   api tu vijñānabīje karmakṣetrapratiṣṭhite tṛṣṇāsnehâbhiṣyandite	api tu vijQAna-bIje karma-kzetra-pratizWite tRzNA-snehâBizyandite
   'vidyâvakīrṇe	avidyâ-vakIrNe
   [ Cambridge MS f102b ---> ]	[ Cambridge M f102B ---> ]
   tatra tatrôtpattyāyatanasandhau mātuḥ kukṣau virohati |	tatra tatrôt-patti-Ayatana-sanDO mAtuH kukzO virohati |
   nāma-	nAma-
   [ Bendall ed p225 ---> ]	[ Bet-dalt ed p225 ---> ]
   rūpâṅkurasyâbhinirvṛttir bhavati |	rUpâFkurasyâBinirvRttiH Bavati |
   sa ca nāmarūpâṅkuro na svayaṃkṛto na parakṛto nôbhayakṛto nêśvarâdinirmito	sa ca nAma-rUpâFkuraH na svayaMkRtaH na para-kRtaH nôBaya-kRtaH nêSvarâdinirmitaH-
