   Yāmunācāryaḥ: Saṃvitsiddhiḥ	YAmunA-AcAryaH: SaMvid-sidDiH
   vivādadarśanāt teṣu tadrūpāṇāṃ ca bhedataḥ // YSvs_338 //	vivAda-darSanAt tezu tad-rUpANAm ca BedataH // YSvH-_338 //
   na ca te bhrāntisiddhās te yenādvaitāvirodhinaḥ // YSvs_339 //	na ca te BrAnti-sidDAH te yena-advEta-aviroDinaH // YSvH-_339 //
   tattvāvedakavedānta- vākyasiddhā hi te guṇāḥ // YSvs_340 //	tattva-Avedaka-vedAnta vAkya-sidDAH hi te guNAH // YSvH-_340 //
   ānandasvaprakāśatva- nityatvamahimādy atha // YSvs_341 //	Ananda-sva-prakASa-tva nitya-tva-mahimA-Adi aTa // YSvH-_341 //
   brahmasvarūpam eveṣṭaṃ tatrāpidaṃ vivicyatām // YSvs_342 //	brahma-svarUpam eva-izwam tatra-Apidam vivicyatAm // YSvH-_342 //
   brahmeti yāvan nirdiṣṭaṃ tanmātraṃ kiṃ sukhādayaḥ // YSvs_343 //	brahma-iti yAvat nirdizwam tanmAtram kim suKa-AdayaH // YSvH-_343 //
   athavā tasya te yad vā ta eva brahmasaṃjñinaḥ // YSvs_344 //	aTavA tasya te yat vA te eva brahma-saMjQinaH // YSvH-_344 //
   ādye tattatpadāmnāna- vaiyarthyaṃ vedalokayoḥ // YSvs_345 //	Adye tad-tad-padAmnAna vEyarTyam veda-lokayoH // YSvH-_345 //
   pūrvoktanītyā bhedaś ca jagajjanmādikāraṇam // YSvs_346 //	pUrva-ukta-nItyA BedaH ca jagat-janma-Adi-kAraNam // YSvH-_346 //
   abhyupetyaiva hi brahma vivādās teṣu vādinām // YSvs_347 //	aByupetya-eva hi brahma vivAdAH tezu vAdinAm // YSvH-_347 //
   dvitīye saiva tair eva brahmaṇaḥ sadvitīyatā // YSvs_348 //	dvitIye sA-eva tEH eva brahmaNaH sa-dvitIya-tA // YSvH-_348 //
   tṛtīye brahma bhidyeta tanmātratvāt pade pade // YSvs_349 //	tRtIye brahma Bidyeta tanmAtra-tvAt pade pade // YSvH-_349 //
   tatsamūho 'thavā brahma taruvṛndavanādivat // YSvs_350 //	tad-samUhaH aTavA brahma taru-vRnda-vana-Adi-vat // YSvH-_350 //
   prakarṣaś caprakāśaśca bhinnāv evārkavartinau // YSvs_351 //	prakarzaH caprakASaH-ca BinnO eva-arka-vartinO // YSvH-_351 //
   tena na kvāpi vākyārtho 'vibhāgo 'sti nidarśanam // YSvs_352 //	tena na kvApi vAkya-arTaH aviBAgaH asti nidarSanam // YSvH-_352 //
   jāḍyaduḥkhādyapohena yady ekatraiva vartitā // YSvs_353 //	jAxya-duHKa-Adi-apohena yadi ekatra-eva vartitAH // YSvH-_353 //
   jñānānandādiśabdānāṃ na sataḥ sadvitīyatā // YSvs_354 //	jQAna-Ananda-Adi-SabdAnAm na sataH sa-dvitIya-tA // YSvH-_354 //
   apohāḥ kiṃ na santy eva santo vā nobhaye 'pi vā // YSvs_355 //	apohAH kim na santi eva santaH vA na-uBaye api vA // YSvH-_355 //
   sattve sat sadvitīyaṃ syāj jaḍādyātmakatetare // YSvs_356 //	sattve sat sa-dvitIyam syAt jaxa-Adi-Atmaka-tA-itare // YSvH-_356 //
   sadasadvyatirekoktiḥ pūrvam eva parākṛtā // YSvs_357 //	sat-asat-vyatireka-uktiH pUrvam eva parAkRtAH // YSvH-_357 //
   tathātve ca ghaṭādibhyo brahmāpi na viśiṣyate // YSvs_358 //	taTA-tve ca Gawa-AdiByaH brahmA-api na viSizyate // YSvH-_358 //
   kiṃ cāpohyajaḍatvādi- viruddhārthāsamarpaṇe // YSvs_359 //	kim ca-apohya-jaxa-tva-Adi virudDa-arTa-asamarpaNe // YSvH-_359 //
   naiva tat tad apohyeta tadekārthaiḥ padair iva // YSvs_360 //	na-eva tat tat apohyeta tad-eka-arTEH padEH iva // YSvH-_360 //
   pratiyogini dṛśye tu yā bhāvāntaramātradhīḥ // YSvs_361 //	pratiyogini dRSye tu yAH BAva-antara-mAtra-DIH // YSvH-_361 //
   saivābhāva itīhāpi sadbhis te sadvitīyatā // YSvs_362 //	sA-eva-aBAvaH iti-iha-api sadBiH te sa-dvitIya-tA // YSvH-_362 //
   bhūtabhautikabhedānāṃ sadasadvyatirekitā // YSvs_363 //	BUta-BOtika-BedAnAm sat-asat-vyatirekitAH // YSvH-_363 //
   kuto 'vasīyate kiṃ nu pratyakṣāder utāgamāt // YSvs_364 //	kutas avasIyate kim nu pratyakza-AdeH uta-AgamAt // YSvH-_364 //
   pratyakṣādīni mānāni svaṃ svam arthaṃ yathāyatham // YSvs_365 //	pratyakza-AdIni mAnAni svam svam arTam yaTAyaTam // YSvH-_365 //
   vyavacchindanti jāyanta iti yāvat svasākṣikam // YSvs_366 //	vyavacCindanti jAyante iti yAvat sva-sAkzikam // YSvH-_366 //
   yathāgrataḥ sthite nīle nīlimānyakathā na dhīḥ // YSvs_367 //	yaTA-agratas sTite nIle nIlimAnya-kaTA na DIH // YSvH-_367 //
   ekākārā na hi tathā sphaṭike dhavale matiḥ // YSvs_368 //	eka-AkArA na hi taTA sPawike Davale matiH // YSvH-_368 //
   kṣīre madhuradhīr yādṛṅ naiva nimbakaṣāyadhīḥ // YSvs_369 //	kzIre maDura-DIH yAdRS na-eva nimba-kazAya-DIH // YSvH-_369 //
   vyavahārāś ca niyatāḥ sarve laukikavaidikāḥ // YSvs_370 //	vyavahArAH ca niyatAH sarve lOkika-vEdikAH // YSvH-_370 //
   satyaṃ pratītir asty asyā mūlaṃ nāstīti cen na tat // YSvs_371 //	satyam pratItiH asti asyAH mUlam na-asti-iti ced na tat // YSvH-_371 //
   sā ced asti tayā mūlaṃ kalpyatāṃ kāryabhūtayā // YSvs_372 //	sA ced asti tayA mUlam kalpyatAm kArya-BUtayA // YSvH-_372 //
   kḷptaṃ cendriyaliṅgādi tadbhāvānuvidhānataḥ // YSvs_373 //	k?ptam ca-indriya-liFga-Adi tad-BAva-anuviDAnataH // YSvH-_373 //
   yaugapadyakramāyogād vyavacchedavidhānayoḥ // YSvs_374 //	yOgapadya-krama-ayogAt vyavacCeda-viDAnayoH // YSvH-_374 //
   aikyāyogāc ca bhedo na pratyakṣa iti yo bhramaḥ // YSvs_375 //	Ekya-ayogAt ca BedaH na pratyakzaH iti yaH BramaH // YSvH-_375 //
   bhedetaretarābhāva- vivekāgrahaṇena saḥ // YSvs_376 //	Beda-itara-itara-aBAva viveka-agrahaNena saH // YSvH-_376 //
   svarūpam eva bhāvānāṃ pratyakṣeṇa parisphurat // YSvs_377 //	svarUpam eva BAvAnAm pratyakzeNa parisPurat // YSvH-_377 //
   bhedavyāhārahetuḥ syāt pratiyogivyapekṣayā // YSvs_378 //	Beda-vyAhAra-hetuH syAt pratiyogi-vyapekzayA // YSvH-_378 //
   yathā tanmātradhīr nānā nāstivyāhārasādhanī // YSvs_379 //	yaTA tanmAtra-DIH nAnA nAstivyAhAra-sADanI // YSvH-_379 //
   hrasvadīrghatvabhedā vā yathaikatra ṣaḍaṅgule // YSvs_380 //	hrasva-dIrGa-tva-BedAH vA yaTA-ekatra zaz-aFgule // YSvH-_380 //
   evaṃ vyavasthitāneka- prakārākāravattayā // YSvs_381 //	evam vyavasTitAn-eka prakAra-AkAravat-tayA // YSvH-_381 //
   pratyakṣasya prapañcasya tadbhāvo 'śakyanihnavaḥ // YSvs_382 //	pratyakzasya prapaQcasya tad-BAvaH aSakya-nihnavaH // YSvH-_382 //
   āgamaḥ kāryaniṣṭhatvād īdṛśe 'rthe na tu pramā // YSvs_383 //	AgamaH kArya-nizWa-tvAt IdRSe arTe na tu pramA // YSvH-_383 //
   prāmāṇye 'py anvayāyogya- padārthatvān nan bodhakaḥ // YSvs_384 //	prAmANye api anvayA-yogya padArTa-tvAt nan boDakaH // YSvH-_384 //
   nāsat pratīter bādhāc ca na sad ity api yan na tat // YSvs_385 //	na-asat pratIteH bADAt ca na sat iti api yat na tat // YSvH-_385 //
   pratīter eva sat kiṃ na bādhān nāsat kuto jagat // YSvs_386 //	pratIteH eva sat kim na bADAn na-asat kutas jagat // YSvH-_386 //
   tasmād avidyayaiveyam avidyā bhavatāśritā // YSvs_387 //	tasmAt avidyayA-eva-iyam avidyA BavatA-ASritA // YSvH-_387 //
   kiṃca bhedaprapañcasya dharmo mithyātvalakṣaṇaḥ // YSvs_388 //	kiMca Beda-prapaQcasya DarmaH miTyAtva-lakzaNaH // YSvH-_388 //
   mithyā vā paramārtho vā nādyaḥ kalpo 'yam añjasā // YSvs_389 //	miTyA vA parama-arTaH vA na-AdyaH kalpaH ayam aQjasA // YSvH-_389 //
   tanmithyātve prapañcasya satyatvaṃ dūrapahnavam // YSvs_390 //	tat-miTyA-tve prapaQcasya satya-tvam dUra-pahnavam // YSvH-_390 //
   (durapahnavam?)	(duH-apahnavam?)
   pāramārthye 'pi tenaiva tavādvaitaṃ vihanyate // YSvs_391 //	pAramArTye api tena-eva tava-advEtam vihanyate // YSvH-_391 //
   sarvāny eva pramāṇāni svaṃ svam arthaṃ yathoditam // YSvs_392 //	sarvAni eva pramANAni svam svam arTam yaTA-uditam // YSvH-_392 //
   asato 'rthāntarebhyaś ca vyavacchindanti bhānti naḥ // YSvs_393 //	asataH arTa-antareByaH ca vyavacCindanti BAnti naH // YSvH-_393 //
   tathā hīha ghaṭo 'stīti yeyaṃ dhīr upajāyate // YSvs_394 //	taTA hi-iha GawaH asti-iti yA-iyam DIH upajAyate // YSvH-_394 //
   sā tadā tasya nābhāvaṃ paṭatvaṃ vānumanyate // YSvs_395 //	sA tadA tasya na-aBAvam pawa-tvam vA-anumanyate // YSvH-_395 //
   nanv astīti yad uktaṃ kiṃ tanmātraṃ ghaṭa ity api // YSvs_396 //	nanu asti-iti yat uktam kim tanmAtram GawaH iti api // YSvH-_396 //
   arthāntaraṃ vā tanmātre sadadvaitaṃ prasajyate // YSvs_397 //	arTa-antaram vA tanmAtre sat-advEtam prasajyate // YSvH-_397 //
   arthāntaratve siddhaṃ tat sadasadbhyāṃ vilakṣaṇam // YSvs_398 //	arTa-antara-tve sidDam tat sat-asadByAm vilakzaNam // YSvH-_398 //
   yady evam asti brahmeti brahmaupaniṣadaṃ matam // YSvs_399 //	yadi evam asti brahma-iti brahma-Opanizadam matam // YSvH-_399 //
   ghaṭavatsadasattvābhyām anirvācyaṃ tavāpatet // YSvs_400 //	Gawa-vat-sat-asattvAByAm anirvAcyam tava-Apatet // YSvH-_400 //
   ānandasatyajñānādi- nirdeśair eva vaidikaiḥ // YSvs_401 //	Ananda-satya-jQAna-Adi nirdeSEH eva vEdikEH // YSvH-_401 //
   brahmaṇo 'py atathābhāvas tvayaivaivaṃ samarthitaḥ // YSvs_402 //	brahmaNaH api ataTA-BAvaH tvayA-eva-evam samarTitaH // YSvH-_402 //
   sadasadvyatirekoktiḥ prapañcasya ca hīyate // YSvs_403 //	sat-asat-vyatireka-uktiH prapaQcasya ca hIyate // YSvH-_403 //
   yad yathā kiṃ cid ucyeta tat sarvasya tathā bhavet // YSvs_404 //	yat yaTA kim cit ucyeta tat sarvasya taTA Bavet // YSvH-_404 //
   tasmād astīti saṃvittir jāyamānā ghaṭādiṣu // YSvs_405 //	tasmAt asti-iti saMvittiH jAyamAnAH Gawa-Adizu // YSvH-_405 //
   tattatpadārthasaṃsthāna- pāramārthyāvabodhinī // YSvs_406 //	tad-tad-padArTa-saMsTAna pAramArTya-avaboDinI // YSvH-_406 //
   sajātiyavijātīya- vyavacchedanibandhanaiḥ // YSvs_407 //	sa-jAti-yavijAtIya vyavacCeda-nibanDanEH // YSvH-_407 //
   svaiḥ svair vyavasthitai rūpaiḥ padārthānāṃ tu yā sthitiḥ // YSvs_408 //	svEH svEH vyavasTitEH rUpEH padArTAnAm tu yA sTitiH // YSvH-_408 //
   sā sattā na svatantrānyā tatrādvaitakathā katham // YSvs_409 //	sA sattA na svatantrA-anyA tatra-advEta-kaTA kaTam // YSvH-_409 //
   na ca nānāvidhākāra- pratītiḥ śakyanihnavā // YSvs_410 //	na ca nAnAviDa-AkAra pratItiH Sakya-nihnavAH // YSvH-_410 //
   na vedyaṃ vittidharmaḥ syād iti yat prāgudīritam // YSvs_411 //	na vedyam vitti-DarmaH syAt iti yat prAc-udIritam // YSvH-_411 //
   tenāpi sādhitaṃ kiṃcit saṃvido 'sti na vā tvayā // YSvs_412 //	tena-api sADitam kiMcid saMvidaH asti na vA tvayA // YSvH-_412 //
   asti cet pakṣabādhaḥ syān na cet te viphalaḥ śramaḥ // YSvs_413 //	asti ced pakza-bADaH syAt na ced te viPalaH SramaH // YSvH-_413 //
   ataḥ svarasavispaṣṭa- dṛṣṭabhedās tu saṃvidaḥ // YSvs_414 //	atas svarasa-vispazwa dRzwa-BedAH tu saMvidaH // YSvH-_414 //
   yathāvat sthāyibhir bāhyair naikyaṃ yāti ghaṭādibhiḥ // YSvs_415 //	yaTAvat sTAyiBiH bAhyEH na-Ekyam yAti Gawa-AdiBiH // YSvH-_415 //
   sahopalambhaniyamān nānyo 'rthaḥ saṃvido bhavet // YSvs_416 //	saha-upalamBa-niyamAt na-anyaH arTaH saMvidaH Bavet // YSvH-_416 //
   yad etad aparādhīna- svaprakāśaṃ tad eva hi // YSvs_417 //	yat etat apara-aDIna sva-prakASam tat eva hi // YSvH-_417 //
   svayamprakāśatāśabdam iti vṛddhāḥ pracakṣate // YSvs_418 //	svayamprakASa-tA-Sabdam iti vRdDAH pracakzate // YSvH-_418 //
   yasminn abhāsamāne hi yo nāmārtho na bhāsate // YSvs_419 //	yasmin aBAsamAne hi yaH nAma-arTaH na BAsate // YSvH-_419 //
   nāsāv arthāntaras tasmān mithyendur iva candrataḥ // YSvs_420 //	na-asO arTa-antaraH tasmAt miTyA-induH iva candrataH // YSvH-_420 //
   abhāsamāne vijñāne na cātmārthāvabhāsanam // YSvs_421 //	aBAsamAne vijQAne na ca-Atma-arTa-avaBAsanam // YSvH-_421 //
   iti saṃvidvivartatvaṃ prapañcaḥ sphuṭam añcati // YSvs_422 //	iti saMvid-vivarta-tvam prapaQcaH sPuwam aQcati // YSvH-_422 //
   (manda) maivaṃ paribhava (?) pratyakṣeṇa balīyasā // YSvs_423 //	(manda) mA-evam pariBava (?) pratyakzeNa balIyasA // YSvH-_423 //
   saṃrakṣyamānabhedās te nānumānānuvartinaḥ // YSvs_424 //	saMrakzyamAna-BedAH te na-anumAna-anuvartinaH // YSvH-_424 //
   tathā hīdam ahaṃ vedmīty anyonyānātmanā sphuṭam // YSvs_425 //	taTA hi-idam aham vedmi-iti anyonya-anAtmanA sPuwam // YSvH-_425 //
   trayaṃ sākṣāc cakāstīti sarveṣām ātmasākṣikam // YSvs_426 //	trayam sAkzAt cakAsti-iti sarvezAm Atma-sAkzikam // YSvH-_426 //
   pratyakṣapratipakṣaṃ ca nānumānaṃ pravartate // YSvs_427 //	pratyakza-pratipakzam ca na-anumAnam pravartate // YSvH-_427 //
   na hi vahner anuṣṇatvaṃ dravyatvād anumīyate // YSvs_428 //	na hi vahneH anuzNa-tvam dravya-tvAt anumIyate // YSvH-_428 //
   kiṃ ca hetur viruddho 'yaṃ sahabhāvo dvayor yataḥ // YSvs_429 //	kim ca hetuH virudDaH ayam sahaBAvaH dvayoH yatas // YSvH-_429 //
   tavāpi na hi saṃvittiḥ svātmanā saha bhāsate // YSvs_430 //	tava-api na hi saMvittiH sva-AtmanA saha BAsate // YSvH-_430 //
   sahopalambhaniyamo na khalv ekaikasaṃvidā // YSvs_431 //	saha-upalamBa-niyamaH na Kalu ekEka-saMvidA // YSvH-_431 //
   na ced asti sasāmānyaṃ sarvaṃ saṃvedanāspadam // YSvs_432 //	na ced asti sa-sAmAnyam sarvam saMvedana-Aspadam // YSvH-_432 //
   nīlādyupaplavāpeta- svacchacinmātrasantatiḥ // YSvs_433 //	nIla-Adi-upaplava-apeta svacCa-cit-mAtra-santatiH // YSvH-_433 //
   svāpādau bhāsate naivam arthaḥ saṃvedanāt pṛthak // YSvs_434 //	svApa-AdO BAsate na-evam arTaH saMvedanAt pRTak // YSvH-_434 //
   tena saṃvedanaṃ satyaṃ saṃvedyo 'rthas tv asann iti // YSvs_435 //	tena saMvedanam satyam saMvedyaH arTaH tu asan iti // YSvH-_435 //
   tad etad aparāmṛṣṭa- svavāgbādhasya jalpitam // YSvs_436 //	tat etat aparAmRzwa sva-vAc-bADasya jalpitam // YSvH-_436 //
   sahopalambhaniyamo yenaivaṃ sati hīyate // YSvs_437 //	saha-upalamBa-niyamaH yena-evam sati hIyate // YSvH-_437 //
   yasmād ṛte yadābhāti bhāti tasmād ṛte 'pi tat // YSvs_438 //	yasmAt Rte yat-ABAti BAti tasmAt Rte api tat // YSvH-_438 //
   ghaṭād ṛte 'pi nirbhātaḥ paṭād iva ghaṭaḥ svayam // YSvs_439 //	GawAt Rte api nirBAtaH pawAt iva GawaH svayam // YSvH-_439 //
