   ātmabhāvarakṣā ṣaṣṭhaḥ paricchedaḥ |	Atma-BAva-rakzA zazWaH paricCedaH |
   acoditaṃ ca nâivâsti tasmān māṃsaṃ na bhakṣyayet ||	acoditam ca nâivâsti tasmAt mAMsam na Bakzyayet ||
   māṃsaṃ na bhakṣyayed yogī mayā buddhaiś ca garhitaṃ |	mAMsam na Bakzyayet yogI mayA budDEH ca garhitam |
   anyonyabhakṣaṇāḥ satvāḥ kravyâdakulasaṃbhavāḥ ||	anyonya-BakzaNAH satvAH kravyâda-kula-saMBavAH ||
   yāvat ||	yAvat ||
   durgandhaḥ kutsanīyaś côtmattaś câpi jāyate |	durganDaH kutsanIyaH côtmattaH câpi jAyate |
   [ Bendall ed p133 ---> ]	[ Bet-dalt ed p133 ---> ]
   caṇḍālapukkasakule ḍombeṣu ca punaḥ punaḥ ||	caNxAla-pukka-sa-kule xombezu ca punar punar ||
   ḍākinījātiyonau ca māṃsâde jāyate kule |	xAkinI-jAti-yonO ca mAMsâde jAyate kule |
   ṛkṣa-	Rkza-
   [ Cambridge MS f67b ---> ]	[ Cambridge M f67B ---> ]
   mārjarayonau ca jāyate 'sau narâdhamaḥ ||	mArjara-yonO ca jAyate asO narâDamaH ||
   hastikakṣye mahāmeghe nirvāṇâṅgulimālike |	hasti-kakzye mahA-meGe nirvANâFguli-mAlike |
   laṅkâvatārasūtre ca mayā māṃsaṃ vigarhitaṃ ||	laFkâvatAra-sUtre ca mayA mAMsam vigarhitam ||
   buddhaiś ca bodhisatvaiś ca śrāvakaiś ca vigarhitaṃ |	budDEH ca boDisatvEH ca SrAvakEH ca vigarhitam |
   khādate yadi nirlajjônmatto jāyate sadā ||	KAdate yadi nirlajjôt-mattaH jAyate sadA ||
   brāhmaṇeṣu ca jāyante 'tha vā yogināṃ kule |	brAhmaNezu ca jAyante aTa vA yoginAm kule |
   prajñāvān dhanavāṃś câiva māṃsâdyānāṃ vivarjanāt ||	prajQAvAn DanavAn câiva mAMsâdyAnAm vivarjanAt ||
   dṛṣṭaśrutaviśaṅkābhiḥ sarvaṃ māṃsaṃ vivarjayet |	dRzwa-Sruta-viSaFkABiH sarvam mAMsam vivarjayet |
   tārkikā nâvabudhyante kravyâdakulasaṃbhavāḥ ||	tArkikAH nâvabuDyante kravyâda-kula-saMBavAH ||
   yathâiṣa rāgo mokṣasyântarāyakaro bhavet |	yaTâiza rAgaH mokzasyântarAya-karaH Bavet |
   tathâiva māṃsamadyâdi antarāyakaraṃ bhavet ||	taTâiva mAMsamadyâdi antarAya-karam Bavet ||
   vakṣanty anāgate kāle māṃsâdā mohavādinaḥ |	vakzanti anAgate kAle mAMsâdAH moha-vAdinaH |
   kalpikaṃ niravadyaṃ ca māṃsaṃ buddhânuvarṇitaṃ ||	kalpikam niravadyam ca mAMsam budDânuvarNitam ||
   [ Bendall ed p134 ---> ]	[ Bet-dalt ed p134 ---> ]
   bheṣajyam ivâhāraṃ putramāṃsôpamaṃ punaḥ |	Bezajyam ivâhAram putra-mAMsô-pamam punar |
   mātrayā pratikūlaṃ ca yogī piṇḍaṃ samācaret ||	mAtrayA pratikUlam ca yogI piNxam samAcaret ||
   maitrīvihāriṇā nityaṃ sarvathā garhitaṃ mayā |	mEtrI-vihAriNA nityam sarvaTA garhitam mayA |
   siṃhavyāghramṛgâdyaiś ca sahâikatra saṃbhavet ||	siMha-vyAGra-mRgâdyEH ca sahâikatra saMBavet ||
   tasmān na bhakṣayen māṃsam udvejajanakaṃ nṛṇāṃ |	tasmAt na Bakzayet mAMsam udveja-janakam nRNAm |
   mokṣadharmaniruddhatvād āryāṇām eṣa vai dhvajaḥ ||yat tu	mokza-Darma-nirudDa-tvAt AryANAm eza vE DvajaH ||yat tu
   jñānavatīparivarte māṃsabhakṣaṇaṃ paṭhyate tan mahârthasādhakatvān	jQAnavatI-parivarte mAMsa-BakzaNam paWyate tat mahârTa-sADaka-tvAn
   nirdoṣam ||	nirdozam ||
   evaṃ hi tathôktaṃ |	evam hi taTôktam |
   eṣo ĀÇÖkariṣyad yadi bhikṣu kālaṃ |	ezaH ĀÇÖkarizyat yadi Bikzu kAlam |
   samādhiśabdo 'pi hi jambudvīpe |	samADi-SabdaH api hi jambudvIpe |
   niruddhu satvāna sadâbhaviṣyad |	nirudDu satvAna sat-âBavizyat |
   cikitsite 'smi samādhi labdhaḥ ||	cikitsite asmi samADi labDaH ||
   na ca mahākaruṇâbhiyuktam |	na ca mahA-karuNâBiyuktam |
   tenâsmin na maitrī śaṅkâpi nâstîty adoṣaḥ ||	tenâsmin na mEtrI SaFkâpi nâstîti adozaH ||
   [ Bendall ed p135 ---> ]	[ Bet-dalt ed p135 ---> ]
   yady apy āryaratnameghe 'bhihitaṃ |	yadi api Arya-ratna-meGe aBihitam |
   śmāśānikena nirāmiṣeṇa bhavitavyam iti ||	SmASAnikena nirAmizeNa Bavitavyam iti ||
   tad anyatrâivaṃ jātīyasatvârthasaṃdarśanârthaṃ |	tat anyatrâivam jAtIyasatvârTa-saMdarSan-ârTam |
   vinaye 'pi yad anujñātaṃ tat tu trikoṭipariśuddhabhakṣaṇe na	vinaye api yat anujQAtam tat tu tri-kowi-pariSudDa-BakzaNe na
   prahāṇântarāyêti |	prahANântara-Ayêti |
   tat parityāgena śuddhadṛṣṭīnām abhimānanirāsârthaṃ |	tat parityAgena SudDa-dRzwInAm aBimAna-nirAsârTam |
   tad vṛddhatayā ca bhavyānāṃ śāsanânavatāraparihārârthaṃ ||	tat vRdDa-tayA ca BavyAnAm SAsanânava-tAra-parihArârTam ||
   tathā hy uktaṃ laṅkâvatārasūtre |	taTA hi uktam laFkâvatAra-sUtre |
   tatra tatra deśanā pāṭhe śikṣāpadānām ānupūrvīṃ bandhan	tatra tatra deSanA pAWe SikzA-padAnAm AnupUrvIm banDan
   niśreṇīpadavinyāsayogena |	niSreNI-pada-vinyAsa-yogena |
   trikoṭiṃ baddhvā |	trikowim badDvA |
   tatrôddiṣya krṭāni pratiṣiddhāni tato 'ntaśaḥ prakṛtimṛtāny api	tatrôddizya krwAni pratizidDAni tatas antaSas prakRti-mRtAni api
   pratiṣiddhānîti ||	pratizidDAnîti ||
   uktaṃ satatabhaiṣajyaṃ |	uktam satata-BEzajyam |
   glānapratyayabhaiṣajyaṃ tat sevyam eva ||	glAna-pratyaya-BEzajyam tat sevyam eva ||
   śrāvakavinaye 'pi tāvad ātmârthaṃ brahmacaryavāsârthaṃ pātracīvaram api	SrAvaka-vinaye api tAvat AtmârTam brahmacarya-vAsârTam pAtra-cIvaram api
   vikrīya |	vikrIya |
   kāyasaṃdhāraṇam uktaṃ |	kAya-saMDAraNam uktam |
   kiṃ punar aparimitajanaparitrāṇahetor bodhisatvaśarīrasya durlabhā cêdṛśī	kim punar aparimita-jana-paritrANa-hetoH boDisatva-SarIrasya durlaBA cêdRSI
   kṣaṇapratilābhôtsavasampad |	kzaNa-pratilABôtsava-sampad |
   iti tatpradarśanârthaṃ ca bhagavatā tatra svayaṃ bhaiṣajyôpayogaḥ	iti tad-pradarSanârTam ca BagavatA tatra svayam BEzajyôpayogaH
   pradarśitaḥ ||	pradarSitaH ||
   uktaṃ câryaratnameghasūtre |	uktam cârya-ratna-meGa-sUtre |
   tair yadā pracāritaṃ bhavati tadā satyāṃ velāyām asatyāṃ vā teṣām imāny	tEH yadA pracAritam Bavati tadA satyAm velAyAm asatyAm vA tezAm imAni-
   evaṃrūpāṇi kāyôpastambhanāny upakaraṇāni na labhyante 'bhyavahartuṃ |	evaMrUpANi kAyôpastamBanAni upakaraNAni na laByante aByavahartum |
   yad uta sarpir vā tailaṃ vā mūlaraso vā gaṇḍaraso vā phalaraso vā |	yat uta sarpiH vA tElam vA mUla-rasaH vA gaNxa-rasaH vA Pala-rasaH vA |
   na cânyān abhyavaharato dṛṣṭvā pratighacittam utpādayati |	na cânyAn aByavaharataH dRzwvA pratiGa-cittam utpAdayati |
   yadi punaḥ khalu paścādbhaktiko bodhisatvo vā	yadi punar Kalu paScAt-BaktikaH boDisatvaH vA
   [ Cambridge MS f68a ---> ]	[ Cambridge M f68aH ---> ]
   glāno bhavati |	glAnaH Bavati |
   yathārūpeṇâsya glānyena jīvitântarāyo bhavati kuśalapakṣântarāyo vā tena	yaTArUpeNa-asya glAnyena jIvitântarAyaH Bavati kuSala-pakzântarAyaH vA tena
   niṣkaukṛtyena bhūtvā nirvicikitsakena bhaiṣajyacittam upasthāpya	nizkOkRtyena BUtvA nirvicikitsakena BEzajya-cittam upasTApya
   pratinisevyānîti ||	pratinisevya-anîti ||
   [ Bendall ed p136 ---> ]	[ Bet-dalt ed p136 ---> ]
   vasanôpabhogaprayojanam ugraparipṛcchāsūtre 'bhihitaṃ |	vasanôpaBoga-prayojanam ugra-paripRcCA-sUtre aBihitam |
   hrīrapatrāpyakāpair niḥ ... [[DOUBT]] pracchādanârthaṃ tu	hrIH-apatra-api-akApEH niH ... [[DOUBT]] pracCAdanârTam tu
   śramaṇaliṅgasaṃdarśanârtham imāni ca kāṣāyāṇi devamānuṣâsurasya lokasya	SramaNa-liFga-saMdarSan-ârTam imAni ca kAzAyANi deva-mAnuzâ-surasya lokasya
   caityam iti |	cEtyam iti |
   caityârthaṃ samyagdhāritavyāni |	cEti-ârTam samyak-DAritavyAni |
   nirvṛtivirāgaraktāni [[DOUBT]] etāni |	nirvRti-virAga-raktAni [[DOUBT]] etAni |
   na rāgaraktāni |	na rAga-raktAni |
   upaśamânukūlāny etāni |	upaSamânukUlAni etAni |
   na saṃkleśasaṃdhukṣaṇânukūlāni |	na saMkleSa-saMDukzaNâ-nukUlAni |
   ebhiś ca kāṣāyair vivṛtapāpā bhaviṣyāmaḥ |	eBiH ca kAzAyEH vivRta-pApAH BavizyAmaH |
   sukṛtakarmakāriṇo na cīvaramaṇḍanânuyogam anuyuktāḥ |	sukRta-karma-kAriNaH na cIvara-maNxanânuyogam anuyuktAH |
   etāni ca kāṣāyāṇy āryamārgasaṃbhārânukūlānîti kṛtvā tathā kariṣyāmo yathā	etAni ca kAzAyANi Arya-mArga-saMBArâ-nukUlA-anîti kRtvA taTA karizyAmaH yaTA
   nâikakṣaṇam api sakaṣāyāḥ kāye kāṣāyāṇi dhārayiṣyāmêti ||	nâikakzaNam api sakazAyAH kAye kAzAyANi DArayizyAmêti ||
   atra ca kāraṇaṃ ratnarāśisūtre 'bhihitaṃ |	atra ca kAraNam ratna-rASi-sUtre aBihitam |
   ye punas te kāśyapa vaidaryâsaṃyatêtaḥ śramaṇaguṇadharmād uddhurāḥ kāye	ye punar te kASyapa vEdaryâ-saMyatêtaH SramaNa-guNa-DarmAt udDurAH kAye
   kāṣāyāṇi vastrāṇi dhārayanti |	kAzAyANi vastrANi DArayanti |
   na câiteṣu gauravam utpādayanti |	na câitezu gOravam utpAdayanti |
   tatra kāśyapa śramaṇavarṇapratirūpakaṃ nāma pratyekanarakaṃ |	tatra kASyapa SramaNavarNapratirUpakam nAma pratyeka-narakam |
   tatra kāśyapa pratyekanarake śramaṇarūpapratirūpeṇa tāḥ kāraṇāḥ kāryante	tatra kASyapa pratyeka-narake SramaNa-rUpa-pratirUpeNa tAH kAraNAH kAryante
   ādīptacailā*ādīptaśīrṣâdīptapātrâdīptâsanâdīptaśayanāḥ |	AdIpta-cElA*AdIpta-SIrzâ-dIpta-pAtrâ-dIptâ-sanâ-dIpta-SayanAH |
   yaḥ kaścit tatra teṣām upabhogaparibhogaḥ sa sarvâdīptaḥ	yaH kaScid tatra tezAm upaBoga-pariBogaH sa sarvâ-dIptaH
   saṃprajvalitâikajvālībhūtaḥ |	saMprajvalitâika-jvAlIBUtaH |
   tatra taiḥ śramaṇavarṇarūpeṇa duṣkhāṃ vedanām anubhavantîti ||	tatra tEH SramaNa-varNa-rUpeNa duzKAm vedanAm anuBavantîti ||
   [ Bendall ed p137 ---> ]	[ Bet-dalt ed p137 ---> ]
   āryaratnameghe 'py uktaṃ |	Arya-ratna-meGe api uktam |
   yadi bhaved abhyavakāśiko bodhisatvo glānakāyo 'pratibalakāyas tena	yadi Bavet aByavakASikaH boDisatvaH glAna-kAyaH apratibala-kAyaH tena
   vihārakṣitenâivaṃ cittam utpādayitavyaṃ |	vihAra-kzitet-âivam cittam utpAdayitavyam |
   kleśapratipakṣârthaṃ tathāgatena dhutaguṇāḥ prajñaptāḥ |	kleSa-pratipakzârTam taTAgatena Duta-guNAH prajQaptAH |
   [ Cambridge MS f68b ---> ]	[ Cambridge M f68B ---> ]
   tathâhaṃ kariṣyāmi yathā vihārasyâiva kleśānāṃ prahāṇāya ghaṭiṣyāmi |	taTâham karizyAmi yaTA vihArasyâiva kleSAnAm prahANAya GawizyAmi |
   tatra ca vihāre na gṛddhim utpādayāmi nâdhyavasānaṃ |	tatra ca vihAre na gRdDim utpAdayAmi nâDi-avasAnam |
   evaṃ câsya bhavati |	evam ca-asya Bavati |
   kartavyo dānapatīnām anugraho nâsmābhir ātmambharibhir bhavitavyam iti ||	kartavyaH dAnapatInAm anugrahaH nâsmABiH AtmamBariBiH Bavitavyam iti ||
   punar atrâivâha |	punar atrâivâha |
   te śayyāṃ kalpayanto dakṣiṇena pārśvena śayyāṃ kalpayanti |	te SayyAm kalpayantaH dakziNena pArSvena SayyAm kalpayanti |
   pādasyôpari pādam ādhāya cīvaraiḥ asaṃvṛtakāyāḥ smṛtāḥ |	pAdasyôpari pAdam ADAya cIvarEH asaMvRta-kAyAH smRtAH |
   saṃprajānānôtthānasaṃjñinâlokasaṃjñinaḥ śayyāṃ kalpayanti |	saMprajAnAn-ôtTAna-saMjQinâloka-saMjQinaH SayyAm kalpayanti |
   na ca nidrāsukham āsvādayanti |	na ca nidrA-suKam AsvAdayanti |
   na pārśvasukham anytra yāvad evâiṣāṃ mahābhūtānāṃ sthitaye jāpanāyai |	na pArSva-suKam anytra yAvat evâizAm mahABUtAnAm sTitaye jApanAyE |
   ity anayā diśā sarvaparibhogāḥ satvârtham adhiṣṭhātavyāḥ |	iti anayA diSA sarva-pariBogAH satvârTam aDizWAtavyAH |
   ātmatṛṣṇôpabhogāt tu kliṣṭâpattiḥ prajāyate ||	Atma-tRzNôpa-BogAt tu klizwâpattiH prajAyate ||
   yathôktaṃ candrapradīpasūtre |	yaTôktam candra-pradIpa-sUtre |
   te bhojanaṃ svādurasaṃ praṇītaṃ |	te Bojanam svAdu-rasam praNItam |
   labdhvā ca bhuñjanti ayuktayogāḥ |	labDvA ca BuQjanti ayukta-yogAH |
   teṣāṃ sâhāru badhāya bhotī |	tezAm sâhAru baDAya BotI |
   yatha hastipotāna viṣâdhautā ||	yaTa hasti-potAna vizâDOtAH ||
   iti ||	iti ||
   āryaratnarāśisūtre 'pi bhagavatā śraddhādeyaparibhoge parikīrtite |	Arya-ratna-rASi-sUtre api BagavatA SradDA-Adeya-pariBoge parikIrtite |
   atha tasyām eva parṣadi yogâcārāṇāṃ bhikṣūṇāṃ dve śate imaṃ dharmaparyāyaṃ	aTa tasyAm eva parzadi yogâcArANAm BikzUNAm dve Sate imam Darma-paryAyam
   śrutvā prarudite |	SrutvA prarudite |
   evaṃ ca vācam abhāṣanta |	evam ca vAcam aBAzanta |
   kālaṃ vayaṃ bhagavan kariṣyāmo |	kAlam vayam Bagavan karizyAmaH |
   na punar aprāptaphalâikapiṇḍapātam api śraddhādeyasya paribhokṣyāmaḥ ||	na punar aprApta-Palâika-piNxa-pAtam api SradDA-deyasya pariBokzyAmaH ||
   [ Bendall ed p138 ---> ]	[ Bet-dalt ed p138 ---> ]
   bhagavān āha |	BagavAn Aha |
   sādhu sādhu kulaputrâivaṃrūpair lajjābhiḥ kaukṛtyasaṃpannaiḥ	sADu sADu kula-putrâivaMrUpEH lajjABiH kOkRtya-saMpannEH
   paralokâvadyabhayadarśibhir idaṃ pravacanaṃ śobhate ||	para-lokâ-vadya-Baya-darSiBiH idam pravacanam SoBate ||
   api tu ||	api tu ||
   dvayor ahaṃ kāśyapa śraddhādeyam anujānāmi |	dvayoH aham kASyapa SradDA-deyam anujAnAmi |
   katamayor dvayoḥ |	katamayoH dvayoH |
   yuktasya muktasya ca |	yuktasya muktasya ca |
   yadi bhikṣavo bhikṣur yukto yogâcāro mama śikṣāyāṃ pratipannaḥ	yadi BikzavaH BikzuH yuktaH yogâcAraH mama SikzAyAm pratipannaH
   sarvasaṃskāreṣv anityadarśī |	sarva-saMskArezu anitya-darSI |
   sarvasaṃskāraduḥkhaviditaḥ sarvadharmeṣv anātmâdhimuktiḥ	sarva-saMskAra-duHKa-viditaH sarva-Darmezu anAtmâDi-muktiH
   śāntanirvāṇâbhikāṅkṣī sumerumātrair ālopaiḥ śraddhādeyaṃ bhuñjīta |	SAnta-nirvANâ-BikAFkzI sumeru-mAtrEH AlopEH SradDA-deyam BuQjIta |
   atyantapariśuddhâiva tasya sā dakṣiṇā bhavati |	atyanta-pariSudDâiva tasya sA dakziNA Bavati |
   yeṣāṃ ca dāyakānāṃ dānapatīnāṃ sakāśāc chraddhādeyaṃ paribhuktaṃ tatas	yezAm ca dAyakAnAm dAnapatInAm sakASAt SradDA-deyam pariBuktam tatas-
   teṣāṃ dāyakadānapatīnāṃ maharddhikaḥ	tezAm dAyaka-dAna-patInAm mahardDikaH
   [ Cambridge MS f69a ---> ]	[ Cambridge M f69aH ---> ]
   puṇyavipāko bhavati |	puNya-vipAkaH Bavati |
   mahādyutikaḥ |	mahA-dyutikaH |
   tat kasmād dhetoḥ |	tat kasmAt DetoH |
   agram idam aupadhikānāṃ puṇyakriyāvastūnāṃ yêyaṃ maitracittasamāpattiḥ |	agram idam OpaDikAnAm puNya-kriyA-vastUnAm yêyam mEtra-citta-samApattiH |
   tatra kāśyapa yo bhikṣur dāyakasya dānapater antikāc cīvarapiṇḍapātaṃ	tatra kASyapa yaH BikzuH dAyakasya dAnapateH antikAt cIvara-piNxapAtam
   paribhujyâpramāṇaṃ cetaḥsamādhiṃ samāpadyate 'pramāṇas tasya dāyakasya	pariBujyâ-pramANam cetaH-samADim samApadyate apramANaH tasya dAyakasya
   dānapateḥ puṇyakriyāvipākaḥ pratikāṅkṣitavyaḥ |	dAnapateH puNya-kriyA-vipAkaH pratikAFkzitavyaH |
   syāt kāśyapa trisāhasramahāsāhasrāyāṃ lokadhātau mahāsamudrāṇāṃ kṣayo na	syAt kASyapa tri-sAhasra-mahA-sAhasrAyAm lokaDAtO mahA-samudrANAm kzayaH na
   tv eva tasya puṇyaniṣyandanasya kaścit kṣayêti ||	tu eva tasya puNya-nizyandanasya kaScid kzayêti ||
   tad evaṃ piṇḍapātagamanaārambhe bhojanârambhe vā triṣu sthāneṣu smṛtir	tat evam piNxa-pAta-gamana-A-AramBe BojanâramBe vA trizu sTAnezu smRtiH-
   upasthāpyā dāyakânugrahe |	upasTApyAH dAyakânugrahe |
   kāyakrimisaṃgrahe |	kAya-krimi-saMgrahe |
   sarvasatvârthasādhake ca saddharmaparigrahe ||	sarva-satvârTa-sADake ca sat-Darma-parigrahe ||
   tathāgatâjñāsaṃpādane tu sarvakāryeṣu smṛtiḥ kāryā |	taTAgatâjQA-saMpAdane tu sarva-kAryezu smRtiH kAryA |
   ādiśabdān mantrair api rakṣā kāryā ||	Adi-SabdAt mantrEH api rakzA kAryA ||
   tatrâpi tāvad imāṃ trisamayarājôktāṃ vidyāṃ maṇḍalasamayârtham uccārayet |	tatrâpi tAvat imAm tri-samaya-rAjôktAm vidyAm maNxala-samayârTam uccArayet |
   namaḥ sarvabuddha-	namaH sarva-budDa-
   [ Bendall ed p139 ---> ]	[ Bet-dalt ed p139 ---> ]
   bodhisatvānāṃ oṃ viraji mahācakraviraji |	boDisatvAnAm om viraji mahA-cakra-viraji |
   sata sārata trapi vidhamani |	sata sArata trapi viDamani |
   sabhajani |	sa-Bajani |
   saṃbhajani |	saMBajani |
   taramati |	taramati |
   siddhâgre tvaṃ svāhā ||	sidDâgre tvam svAhA ||
   anena sarvamaṇḍalapraviṣṭo bhavati ||	anena sarva-maNxala-pravizwaH Bavati ||
   athavā tathāgatahṛdayam aṣṭasahastraṃ japet	aTavA taTAgata-hRdayam azwa-sahastram japet-
   salaukikalokôttaramaṇḍalapraviṣṭo bhavati |	sa-lOkika-lokôttara-maNxala-pravizwaH Bavati |
   katamac ca tat ||	katamat ca tat ||
   namas traiyabdhikānāṃ tathāgatānāṃ |	namaH trEyabDikAnAm taTAgatAnAm |
   sarvatrâpratihatâvāptidharmatābalināṃ |	sarvatrâ-pratihatâ-vApti-DarmatA-balinAm |
   āṃ asamasama samantato 'nantanâvāptiśāsani |	Am asamasama samantataH anantanâvApti-SAsani |
   hara smara smaraṇa vigatarāgabuddhadharmate |	hara smara smaraNa vigata-rAga-budDa-Darmate |
   sara samabalā |	sara sama-balAH |
   hasa |	hasa |
   traya |	trayaH |
   gagana mahâcalarakṣaṇa |	gagana mahâcala-rakzaNa |
   jvala jvalana sāgare svāhā ||	jvala jvalana sAgare svAhA ||
   ayaṃ sarvatathāgatānām ātmabhāvaḥ |	ayam sarva-taTAgatAnAm Atma-BAvaH |
   atrânuttaraṃ gauravaṃ bhāvayitavyaṃ |	atrânuttaram gOravam BAvayitavyam |
   anenâdikarmikâpi satveṣv anantaṃ buddhakṛtyaṃ kurvanti |	anenâdikarmikâpi satvezu anantam budDa-kRtyam kurvanti |
   ayam eva paramāṃ rakṣāṃ*mārâdibhyaḥ sarvaduṣṭebhyaḥ karoti |	ayam eva paramAm rakzAM*mArâdiByaH sarva-duzweByaH karoti |
   hastatāḍena bhasmanā sarṣapair udakena dṛṣṭyā manasā vā sīmābandhaṃ karoti	hasta-tAxena BasmanA sarzapEH udakena dRzwyA manasA vA sImAbanDam karoti
   vyādhi-	vyADi-
   [ Cambridge MS f69b ---> ]	[ Cambridge M f69B ---> ]
   ṣu bhaiṣajyam udakaṃ câbhimantryôpayojyaṃ ||vanakusumāni vā caitye	zu BEzajyam udakam câBimantryô-payojyam ||vana-kusumAni vA cEtye
   pratimāyāṃ saddharmapustake vā samāhito nivedayet ||	pratimAyAm sadDarma-pustake vA samAhitaH nivedayet ||
   pakṣaprayogān mahā vyādhibhir abhimucyate |	pakza-prayogAt mahA vyADiBiH aBimucyate |
   buddhabodhisatvâlambanena sarvasatvârthâbhilāṣiṇā ca cittena	budDa-boDisatvâlambanena sarva-satvârTâBilAziNA ca cittena
   bhadracarividhipūrvakaṃ ca japtavyaḥ |	Badra-cari-viDi-pUrvakam ca japtavyaH |
   ayaṃ vidhir asya kalpasyâvasāne draṣṭavyaḥ |	ayam viDiH asya kalpasi-âvasAne drazwavyaH |
   trisamayajāpinaś câmnāyato na doṣaḥ |	tri-samaya-jApinaH câmnA-AyataH na dozaH |
   utsiṣṭasyâpy aśucer na doṣaḥ |	utsizwasi-âpi aSuceH na dozaH |
   mudrâkārā na bhakṣaṇīyā na laṅghanīyā |	mudrâkArAH na BakzaNIyAH na laFGanIyAH |
   na mañcârohaḥ kartavyaḥ |	na maQcârohaH kartavyaH |
   na madyaṃ pātavyaṃ |	na madyam pAtavyam |
   adhimukticaryā śikṣāpadeṣv acalasya nirvicikitsasya duḥśīlapūrvasyâpi	aDimukti-caryA SikzA-padezu acalasya nirvicikitsasya duHSIla-pUrvasi-âpi
   sidhyati |	siDyati |
   paṇḍitasyâpaṇḍitasya vā niyataṃ sidhyati ||	paNxitasyâpaNxitasya vA niyatam siDyati ||
   [ Bendall ed p140 ---> ]	[ Bet-dalt ed p140 ---> ]
   tathā câtrâivôktaṃ |	taTA câtrâivôktam |
   bodhicittaṃ dṛḍhaṃ yasya niḥsaṃgā ca matir bhavet |	boDi-cittam dRXam yasya niHsaMgA ca matiH Bavet |
   vicikitsā nâiva kartavyā tasyêdaṃ sidhyati dhruvam |	vicikitsA nâiva kartavyA tasyêdam siDyati Druvam |
   iti ||	iti ||
   bodhicittadṛḍhatā câtra pṛthagjanacalacittatāyā niyamârtham uktā na tu	boDi-citta-dRXa-tA câtra pRTagjana-cala-citta-tAyAH niyamârTam uktA na tu
   bhūmipraviṣṭam adhikṛtya ||	BUmi-pravizwam aDikRtya ||
   yasmād atrôktaṃ |	yasmAt atrôktam |
   pratyuddhāratām avabhāsatāṃ ca pratilabdhukāmena |mahândhakārād ālokaṃ	pratyudDAra-tAm avaBAsatAm ca pratilabDu-kAmena |mahânDakArAt Alokam
   praveṣṭukāmena |	pravezwu-kAmena |
   yad bhūyasā vinipatitena sādhyaṃ |	yat BUyasA vinipatitena sADyam |
   tathā kuto mamâlpapuṇyasya siddhir iti nīcacittapratiṣedhaḥ |	taTA kutas mamâlpa-puNyasya sidDiH iti nIca-citta-pratizeDaH |
   na câtikrāntadurgater utsāhôrmibahulasyôpacitâprameyapuṇyaskandhasya	na câtikrAnta-durgateH utsAhôrmi-bahulasyôpacitâ-prameya-puNya-skanDasya
   bhūmipraviṣṭasyâyaṃ pūrvôkto doṣaḥ saṃbhavati |	BUmi-pravizwasyâyam pUrvôktaH dozaH saMBavati |
   atra ca mantrāṇām ajñānān nâdhikâkṣarapāṭhe doṣo 'sti |	atra ca mantrANAm ajQAnAt nâDi-kâkzara-pAWe dozaH asti |
   nâpi nyūnatādoṣaḥ |	nâpi nyUna-tA-dozaH |
   nâpi vidhibhraṃsadoṣaḥ |	nâpi viDi-BraMsa-dozaH |
   kiṃtu śraddhāvegaṃ bodhicittavegaṃ sarvôtsargavegaṃ ca	kiMtu SradDA-vegam boDi-citta-vegam sarvôtsarga-vegam ca
   pramāṇīkṛtyâvicārataḥ pravartitavyam avaśyaṃ buddhabodhisatvam ihâiva	pramANIkRtyâvicArataH pravartitavyam avaSyam budDa-boDisatvam ihâiva
   yathêṣṭasiddhiś ca bhavati ||	yaTêzwa-sidDiH ca Bavati ||
   athavânena sarvavajradharamantreṇa rakṣāṃ kuryāt |	aTavânena sarva-vajraDara-mantreNa rakzAm kuryAt |
   namas traiyabdhikānāṃ tathāgatānāṃ sarvavajradharāṇāṃ caṇḍāla |	namaH trEyabDikAnAm taTAgatAnAm sarva-vajra-DarANAm caNxAla |
   cala |	cala |
   vajra |	vajra |
   śāntana |	SAntana |
   phalana |	Palana |
   cara |	cara |
   māraṇa |	mAraNa |
   vajraḍālaphaṭa |	vajra-xAla-Pawa |
   lalitaśikhara samantavajriṇi |	lalita-SiKara samantavajriNi |
   jvala |	jvala |
   namo 'stu te 'grôgraśāsānānāṃ raṇa haṃ phula sphāṭa vajrôttame svāhā ||	namaH astu te agrôgra-SAsAnAnAm raNa ham Pula sPAwa vajrôttame svAhA ||
   anena paṭhitamātreṇa sarvavighnavināyakā nôpasaṃkrāmanti |	anena paWita-mAtreNa sarva-viGna-vinAyakAH nôpasaMkrAmanti |
   devanāgâdayo na prasahante |	deva-nAgâdayaH na prasahante |
   bhojanapānaśayanâsanavasanapūjôpakaraṇāni câbhimantritena	Bojana-pAna-Sayanâsana-vasana-pUjôpakaraNAni câBimantritena
   [ Cambridge MS f70a ---> ]	[ Cambridge M f70aH ---> ]
   jalena dṛṣṭyā manasā vā rakṣeta |	jalena dRzwyA manasA vA rakzeta |
   acalahṛdayena vā sarvam etat kuryāt ||	acala-hRdayena vA sarvam etat kuryAt ||
   idaṃ ca tat ||	idam ca tat ||
   [ Bendall ed p141 ---> ]	[ Bet-dalt ed p141 ---> ]
   namaḥ samantavajrāṇāṃ trāṭa |	namaH samantavajrANAm trAwaH |
   amogha caṇḍamahāroṣaṇa sphāṭaya hūṃ |	amoGa caNxa-mahArozaNa sPAwaya hUm |
   bhrāmaya hūṃ |	BrAmaya hUm |
   trāṭa hūṃ |	trAwa hUm |
   māṃ |	mAm |
   oṃ balaṃ dade tejomālini svāhā ||	om balam dade tejaH-mAlini svAhA ||
