   Ajitasenavyākaraṇam	Ajita-sena-vyAkaraNam
   nayānānyanyena dantānanyena grīvā anyena bāhū anyena	nayAnAni-anyena dantAn-anyena grIvA anyena bAhU anyena
   hṛdayamanyenodaramanyenorū anyena jaṅghe anyena pādau samāpanno 'bhūt /	hRdayam-anyena-udaram-anyena-UrU anyena jaFGe anyena pAdO samApannaH aBUt /
   atha sa rājā ajitasenaḥ saptāhasyātyayena taṃ bhikṣuṃ na paśyati /	aTa sa rAjA ajitasenaH saptAhasya-atyayena tam Bikzum na paSyati /
   atha rājā jyeṣṭhakumāramevamāha / āgaccha kulaputra gamiṣyāmi tāṃ kuṭikām	aTa rAjA jyezWa-kumAram-evam-Aha / AgacCa kula-putra gamizyAmi tAm kuwikAm
   / yena sa bhikṣustenopasaṅkramiṣyāmi / atha sa rājā saputro yena sā kuṭikā	/ yena sa BikzuH-tena-upasaFkramizyAmi / aTa sa rAjA sa-putraH yena sA kuwikA
   tenopasaṅkrānto 'bhūt / atha sa rājā ajitasenastaṃ bhikṣumātmabhāvaṃ	tena-upasaFkrAntaH aBUt / aTa sa rAjA ajitasenaH-tam Bikzum-Atma-BAvam
   khaṇḍaṃ khaṇḍaṃ kṛtaṃ dṛṣṭvā saṃśayajāto 'bhūt / santrastaromakūpajāto	KaNxam KaNxam kRtam dRzwvA saMSaya-jAtaH aBUt / santrasta-romakUpa-jAtaH-
   vastrāṇi pāṭyan paridevan rudan aśrukaṇṭhaḥ putramevamāha / ānaya putra	vastrANi pAwyan paridevan rudan aSru-kaNWaH putram-evam-Aha / Anaya putra
   tīkṣṇadhāramasim / ātmānaṃ jīvitād vyavaropayiṣyāmi / atha sa rājakumāraḥ	tIkzNaDAram-asim / AtmAnam jIvitAt vyavaropayizyAmi / aTa sa rAja-kumAraH
   prāñjaliṃ kṛtvā rājānaṃ gāthābhiradhyabhāṣata /	prAQjalim kRtvA rAjAnam gATABiH-aDi-aBAzata /
   mā śokacittasya bhave nṛpendra mā vedayī vedanamīdṛśāni /	mA Soka-cittasya Bave nRpa-indra mA vedayI vedanam-IdRSAni /
   ātmaghātaṃ karitvā tu niraye tvaṃ gamiṣyasi /	Atma-GAtam karitvA tu niraye tvam gamizyasi /
   rauravaṃ narakaṃ cāpi gamiṣyasi sudāruṇam //	rOravam narakam ca-api gamizyasi su-dAruNam //
   dakṣiṇīyo ayaṃ loke jaravyādhipramocakaḥ / (Asv 124)	dakziNIyaH ayam loke jara-vyADi-pramocakaH / (Asu 124)
   na cāyaṃ ghātito yakṣairna bhūtairna ca rākṣasaiḥ /	na ca-ayam GAtitaH yakzEH-na BUtEH-na ca rAkzasEH /
   bodhisattvo 'pyayaṃ loke jaravyādhipramocakaḥ //	boDisattvaH api-ayam loke jara-vyADi-pramocakaH //
   dakṣiṇīyo ayaṃ loke jaravyādhipramocakaḥ /	dakziNIyaH ayam loke jara-vyADi-pramocakaH /
   durlabho darśanam asya bodhimārgasya darśakaḥ //	durlaBaH darSanam asya boDi-mArgasya darSakaH //
   kalyāṇamitramayam āsī tava kāraṇamāgatam /	kalyANa-mitra-mayam AsI tava kAraNam-Agatam /
   dakṣiṇīyo ayaṃ loke sarvasattvasukhāvaham //	dakziNIyaH ayam loke sarva-sattva-suKa-Avaham //
   sarvajñaṃ pāramiprāptaṃ lokanāthena preṣitam /	sarvajQam pArami-prAptam lokanATena prezitam /
   dṛḍhavīryaṃ dṛḍhasthāmaṃ lokanāthaṃ maharṣiṇam //	dRXa-vIryam dRXa-sTAmam lokanATam mahA-RziNam //
   yo nāma tasya dhāreti nāsau gacchati durgatim /	yaH nAma tasya DArA-iti na-asO gacCati durgatim /
   apāyaṃ na gamiṣyanti svargalokopapattaye //	apAyam na gamizyanti svarga-loka-upapattaye //
   atha sa rājakumārastaṃ pitaraṃ gāthā bhāṣitvā tūṣṇīṃ sthito 'bhūt / atha	aTa sa rAja-kumAraH-tam pitaram gATA BAzitvA tUzNIm sTitaH aBUt / aTa
   rājā ajitasenaḥ svakaṃ putramevamāha / kathaṃ tvaṃ kumāra jānīṣe yadayaṃ	rAjA ajitasenaH svakam putram-evam-Aha / kaTam tvam kumAra jAnIze yat-ayam
   bhikṣuḥ samādhiṃ samāpanno 'bhūt / atha sa rājakumāra evamāha / paśya	BikzuH samADim samApannaH aBUt / aTa sa rAja-kumAraH evam-Aha / paSya
   mahārāja ayaṃ bhikṣurbodhisattvasamādhiṃ samāpannaḥ sarvakleśavinirmukto	mahA-rAja ayam BikzuH-boDisattva-samADim samApannaH sarva-kleSa-vinirmuktaH-
   bhavasāgarapāraṅgataḥ sarvasattvahitārthaṃ ca mārgaṃ darśayate śubham /	Bava-sAgara-pAraFgataH sarva-sattva-hita-arTam ca mArgam darSayate SuBam /
   atha sa rājakumāro rājānamevamāha / āgaccha tāta caṅkramaṃ gamiṣyāmaḥ /	aTa sa rAja-kumAraH rAjAnam-evam-Aha / AgacCa tAta caFkramam gamizyAmaH /
   atha sa rājā sa ca rājakumāro bahubhirdārakaśataiḥ sārdhaṃ yena sa	aTa sa rAjA sa ca rAja-kumAraH bahuBiH-dAraka-SatEH sArDam yena sa
   caṅkramastenopasaṅkrāntau / atha sa bhikṣustataḥ samādhervyutthito	caFkramaH-tena-upasaFkrAntO / aTa sa BikzuH-tatas samADeH-vyutTitaH-
   rājānamajitasenamevamāha / āgaccha mahārāja kiṃ karoṣyasmin sthāne / (Asv	rAjAnam-ajita-senam-evam-Aha / AgacCa mahA-rAja kim karozi-asmin sTAne / (Asu-
   atha rājā taṃ bhikṣū dṛṣṭvā maulipaṭṭaṃ rājakumārasya dadāti / tava rājyaṃ	aTa rAjA tam BikzU dRzwvA mOli-pawwam rAja-kumArasya dadAti / tava rAjyam
   bhavatu / dharmeṇa pālaye nādharmeṇa / rājakumāra āha / bahūnyasaṅkhyeyāni	Bavatu / DarmeNa pAlaye na-aDarmeNa / rAja-kumAraH Aha / bahUni-asaFKyeyAni
   rājakāryāṇi mayā kṛtāni / na ca kadācittṛptirāsīt / tava tāta rājyaṃ	rAja-kAryANi mayA kRtAni / na ca kadAcid-tRptiH-AsIt / tava tAta rAjyam
   bhavatu / na mama rājyena kāryaṃ na bhogena naiśvaryādhipatyena kāryam /	Bavatu / na mama rAjyena kAryam na Bogena na-ESvarya-ADipatyena kAryam /
   tava rājyaṃ bhavatu tāta / dharmeṇa pālaye nādharmeṇeti /	tava rAjyam Bavatu tAta / DarmeNa pAlaye na-aDarmeNa-iti /
   atha rājā yena sa bhikṣustenopasaṅkrāntaḥ prāñjalirevamāha /	aTa rAjA yena sa BikzuH-tena-upasaFkrAntaH prAQjaliH-evam-Aha /
   sudurlabhaṃ darśanatubhyamārṣāḥ kṛtāñjaliḥ samabhimukhī nāyakānām /	su-durlaBam darSana-tuByam-ArzAH kRtAQjaliH samaBimuKI nAyakAnAm /
   mokṣāgamaṃ darśanu tubhyamārṣāḥ sudurlabhaṃ karmaśatairacintiyaiḥ //	mokza-Agamam darSanu tuByam-ArzAH su-durlaBam karma-SatEH-acintiyEH //
   ye darśanaṃ dāsyati tubhyamārṣā muktā ca so bheṣyati kalpakoṭibhiḥ /	ye darSanam dAsyati tuByam-ArzA muktA ca saH Bezyati kalpa-kowiBiH /
   na jātu gacche vinipātadurgatiṃ yo nāmadheyaṃ śṛṇute muhūrtam //	na jAtu gacCe vinipAta-durgatim yaH nAmaDeyam SRNute muhUrtam //
   rājā āha /	rAjA Aha /
   niṣadya yugye ratanāmaye śubhe vrajāmyahaṃ yena sa rājadhānīm /	nizadya yugye ratana-Amaye SuBe vrajAmi-aham yena sa rAjaDAnIm /
   dadāmyahaṃ bhojanu suprabhūtaṃ dadāmyahaṃ kāśikavastrametat / (Asv 126)	dadAmi-aham Bojanu su-praBUtam dadAmi-aham kASika-vastram-etat / (Asu 126)
   sūkṣmāṇi jālāni ca saṃhitāni yāṃ cīvarāṃ tubhya dadāmi adya //	sUkzmANi jAlAni ca saMhitAni yAm cIvarAm tuBya dadAmi adya //
   atha sa bhikṣū ratnamaye yugye gṛhītvā yena rājadhānī tenopasaṅkrāntaḥ /	aTa sa BikzuH ratna-maye yugye gRhItvA yena rAjaDAnI tena-upasaFkrAntaH /
   santarpito bhojanena / atha nandimitramahāśrāvako rājānamajitasenaṃ	santarpitaH Bojanena / aTa nandi-mitra-mahA-SrAvakaH rAjAnam-ajita-senam
   gāthābhiradhyabhāṣata /	gATABiH-aDi-aBAzata /
   santarpito bhojana suprabhūtaṃ mṛṣṭānnapānarasamuttamaṃ śubham /	santarpitaH Bojana su-praBUtam mRzwa-anna-pAnarasamuttamam SuBam /
   ye bhikṣusaṅghāya dadanti dānaṃ te bodhimaṇḍena cireṇa gacchata //	ye Bikzu-saFGAya dadanti dAnam te boDimaNxena cireNa gacCata //
   sudurlabhaṃ darśana nāyakasya na cireṇa so gacchati buddhakṣetram /	su-durlaBam darSana nAyakasya na cireNa saH gacCati budDa-kzetram /
   amitāyuṣasya varabuddhakṣetre sukhāvatīṃ gacchati śīghrametat //	amita-Ayuzasya vara-budDa-kzetre suKAvatIm gacCati SIGram-etat //
   atha nandimitramahāśrāvakaḥ ajitasenasya rājño gāthā bhāṣitvā tūṣṇīṃ	aTa nandi-mitra-mahA-SrAvakaH ajitasenasya rAjQaH gATA BAzitvA tUzNIm
   sthito 'bhūt / atha rājā ajitaseno bherīṃ parāhanti sma / atha tena	sTitaH aBUt / aTa rAjA ajitasenaH BerIm parAhanti sma / aTa tena
   bherīśabdena sarvāstā amātyakoṭyo rājānamevamāhuḥ / kasyārthe mahārāja	BerI-Sabdena sarvAH-tAH amAtya-kowyaH rAjAnam-evam-AhuH / kasya-arTe mahA-rAja
   bherī parāhatā / rājā āha / saptame divase hastirathamaśvarathaṃ sajjaṃ	BerI parAhatA / rAjA Aha / saptame divase hasti-raTam-aSva-raTam sajjam
   kṛtaṃ syāt / ahaṃ saptame divase jetavanaṃ nāma vihāraṃ gamiṣyāmi	kRtam syAt / aham saptame divase jetavanam nAma vihAram gamizyAmi
   śākyamunestathāgatasyārhataḥ samyaksambuddhasya darśanāya vandanāya	SAkya-muneH-taTAgatasya-arhataH samyaksambudDasya darSanAya vandanAya
   paryupāsanāya dharmaśravaṇāya (Asv 127) / athāmātyakoṭyastaṃ	paryupAsanAya Darma-SravaNAya (Asu 127) / aTa-amAtya-kowyaH-tam
   rājānamajitasenamevamāhuḥ / kṛtamasmābhiḥ mahārāja hastirathamaśvarathaṃ	rAjAnam-ajita-senam-evam-AhuH / kRtam-asmABiH mahA-rAja hasti-raTam-aSva-raTam
   sajjam / atha rājā ajitaseno hastirathe avaruhya taṃ ca	sajjam / aTa rAjA ajitasenaH hastiraTe avaruhya tam ca
   nandimitramahāśrāvakaṃ ratnamaye rathe avarohya yena jetavanaṃ	nandi-mitra-mahA-SrAvakam ratna-maye raTe avarohya yena jetavanam
   vihārastenopasaṅkrāntaḥ / atha bhagavān rājānamajitasenaṃ dūrata	vihAraH-tena-upasaFkrAntaH / aTa BagavAn rAjAnam-ajita-senam dUrata
   evāgacchantaṃ dṛṣṭvā tān sarvaśrāvakānāmantrayata /	eva-AgacCantam dRzwvA tAn sarva-SrAvakAn-Amantrayata /
   sarvairnānāṛddhivikurvitaṃ darśayitavyam / atha te sarve mahāśrāvakā	sarvEH-nAnA-RdDi-vikurvitam darSayitavyam / aTa te sarve mahA-SrAvakA
   jvālāmālaṃ nāma bodhisattvasamādhiṃ samāpannā abhūvan / atha rājā	jvAlAmAlam nAma boDisattva-samADim samApannAH aBUvan / aTa rAjA
   dūratastaṃ jvālāmālaṃ dṛṣṭvā nandimitramahāśrāvakamevamāha / kasyārthe	dUratas-tam jvAlA-mAlam dRzwvA nandi-mitra-mahA-SrAvakam-evam-Aha / kasya-arTe
   imaṃ parvataṃ jvālāmālībhūtaṃ paśyāmi / nandimitra āha / atra	imam parvatam jvAlA-mAlIBUtam paSyAmi / nandimitraH Aha / atra
   śākyamunistathāgato 'rhan samyaksambuddhaḥ sthitiṃ dhriyate yāpayati	SAkya-muniH-taTAgataH arhan samyaksambudDaH sTitim Driyate yApayati
   dharmaṃ ca deśayati / te ca bodhisattvā jvālāmālaṃ nāma	Darmam ca deSayati / te ca boDisattvAH jvAlA-mAlam nAma
   bodhisattvasamādhiṃ samāpannāḥ / atha rājā ajitaseno hastirathādavatīrya	boDisattva-samADim samApannAH / aTa rAjA ajitasenaH hasti-raTAt-avatIrya
   pādābhyāṃ putrasahasreṇa sārdhaṃ yena bhagavāṃstenopasaṅkrāntaḥ / atha	pAdAByAm putra-sahasreNa sArDam yena BagavAn=-tena-upasaFkrAntaH / aTa
   bhagavān suvarṇavarṇena kāyena vyāmaprabhayā caṅkramate sma / atha rājā	BagavAn suvarNa-varNena kAyena vyAma-praBayA caFkramate sma / aTa rAjA
   ajitaseno bhagavato rūpavarṇaliṅgasaṃsthānaṃ dṛṣṭvā mūrcchitvā dharaṇitale	ajitasenaH BagavataH rUpa-varNa-liFga-saMsTAnam dRzwvA mUrcCitvA DaraNi-tale
   nipatitaḥ / atha bhagavān suvarṇavarṇaṃ bāhuṃ prasārya taṃ	nipatitaH / aTa BagavAn suvarNa-varNam bAhum prasArya tam
   rājānamutthāpayati sma / uttiṣṭha mahārāja kasyārthe prapatitaḥ / rājā āha	rAjAnam-utTApayati sma / uttizWa mahA-rAja kasya-arTe prapatitaH / rAjA Aha
   / (Asv 128)	/ (Asu 128)
   bahūni kalpāni acintiyāni jātīśatākoṭi acintiyāni /	bahUni kalpAni acintiyAni jAtI-SatA-kowi acintiyAni /
   na me kadācidiha dṛṣṭarūpaṃ tvaṃ lokanātho varadakṣiṇīyo //	na me kadAcid-iha dRzwa-rUpam tvam lokanATaH vara-dakziNIyaH //
   tvaṃ sārthavāha jaravyādhimocakaṃ suvarṇavarṇaṃ varalakṣaṇāṅgam /	tvam sArTavAha jara-vyADi-mocakam suvarNa-varNam vara-lakzaNa-aFgam /
   dvātṛṃśatā lakṣaṇadhāriṇaṃ mune nāsau kadācidvrajate apāyabhūmim /	dvAtRMSatA lakzaNa-DAriNam mune na-asO kadAcid-vrajate apAya-BUmim /
   yo lokanāthasya hi rūpu paśye tvaṃ lokanāthā śirasā namasyāmī //	yaH loka-nATasya hi rUpu paSye tvam lokanATA SirasA namasyAmI //
   atha rājā ajitasenaḥ kṛtāñjaliḥ bhagavantamevamāha / ahaṃ bhagavan tava	aTa rAjA ajitasenaH kRtAQjaliH Bagavantam-evam-Aha / aham Bagavan tava
   śāsane pravrajiṣyāmi / atha bhagavān tuṣṭa udagra āttamanāḥ pramuditaḥ	SAsane pravrajizyAmi / aTa BagavAn tuzwaH udagre Atta-manAH pramuditaH
   prītisaumanasyajātaḥ / alabdhalābhā ye tatra mama śāsanaṃ vaistārikaṃ	prIti-sOmanasya-jAtaH / alabDa-lABAH ye tatra mama SAsanam vEstArikam
   bhavati / taṃ rājānamajitasenamevamāha / gaccha tvaṃ mahārāja svagṛhe	Bavati / tam rAjAnam-ajita-senam-evam-Aha / gacCa tvam mahA-rAja sva-gRhe
   saptame divase āgamiṣyāmi /	saptame divase AgamizyAmi /
   atha rājā ajitasenastuṣṭa udagra āttamanāḥ pramuditaḥ	aTa rAjA ajitasenaH-tuzwaH udagre Atta-manAH pramuditaH
   prītisaumanasyajātastaṃ kalyāṇamitraṃ bhikṣuṃ purataḥsthāpya svagṛhaṃ	prIti-sOmanasya-jAtaH-tam kalyANa-mitram Bikzum puratas-sTApya sva-gRham
   gatvā sarvānamātyānāmantrayate sma / sarvairgrāmanagaranigamajanapadaiḥ	gatvA sarvAn-amAtyAn-Amantrayate sma / sarvEH-grAma-nagara-nigama-janapadEH
   pathaṃ śodhayitavyaṃ gṛhe gṛhe dhvajānyucchrāpitavyāni gṛhe gṛhe	paTam SoDayitavyam gRhe gRhe DvajAni-ucCrApitavyAni gRhe gRhe
   ratnamayāni (Asv 129) kumbhāni paripūrayitavyāni / tadā taiḥ	ratna-mayAni (Asu 129) kumBAni paripUrayitavyAni / tadA tEH
   sarvairamātyairājñātam / sarvagrāmanagaranigamajanapadaiḥ pathaṃ śodhitaṃ	sarvEH-amAtyEH-AjQAtam / sarva-grAma-nagara-nigama-janapadEH paTam SoDitam
   dhvajānyucchrāpitāni ratnamayāni kumbhāni paripūritāni / yatra rājā	DvajAni-ucCrApitAni ratna-mayAni kumBAni paripUritAni / yatra rAjA
   ajitasenaḥ prativasati tatra dvādaśakoṭyo dhvajānāmucchrāpitā dvādaśakoṭyo	ajitasenaH prativasati tatra dvAdaSa-kowyaH DvajAnAm-ucCrApitAH dvAdaSa-kowyaH-
   ratnamayānāṃ kumbhānāṃ paripūritāḥ / yāvat saptame divase tathāgato 'rhan	ratna-mayAnAm kumBAnAm paripUritAH / yAvat saptame divase taTAgataH arhan
   samyaksambuddhaḥ	samyaksambudDaH
   śāriputramaudgalyāyanānandapūrṇamaitrāyaṇīputrapramukhairmahāśrāvakasaṅghaiḥ	SAriputra-mOdgalyAyana-Ananda-pUrNa-mEtrAyaNI-putra-pramuKEH-mahA-SrAvaka-saFGEH
   parivṛtaḥ puraskṛtaḥ ajitasenasya rājño rājadhānīmanuprāptaḥ / atha rājā	parivRtaH puraskRtaH ajitasenasya rAjQaH rAjaDAnIm-anuprAptaH / aTa rAjA
   ajitasenaḥ puṣpapiṭakaṃ gṛhītvā kalyāṇamitraṃ purataḥsthāpya bhagavantaṃ	ajitasenaH puzpa-piwakam gRhItvA kalyANa-mitram puratas-sTApya Bagavantam
   puṣpairavakiran bhagavantamevamāha / anena kuśalamūlena sarvasattvā	puzpEH-avakiran Bagavantam-evam-Aha / anena kuSala-mUlena sarva-sattvA
   anuttarāṃ samyaksambodhimabhisampadyante / atha rājñā ajitasenena āsanāni	anuttarAm samyaksamboDim-aBisampadyante / aTa rAjQA ajitasenena AsanAni
   prajñaptāni / tasya bhagavataḥ siṃhāsanaṃ pradattam / atha bhagavān	prajQaptAni / tasya BagavataH siMhAsanam pradattam / aTa BagavAn
   siṃhāsane niṣaṇṇo rājño 'jitasenasya dharmān deśitavān / atha rājñā	siMhAsane nizaNNaH rAjQaH ajitasenasya DarmAn deSitavAn / aTa rAjQA
   ajitasenena prabhūtenāhāreṇa khādanīyena bhojanīyena santarpitaḥ / atha	ajitasenena praBUtena-AhAreNa KAdanIyena BojanIyena santarpitaH / aTa
   rājā ajitaseno jyeṣṭhakaṃ rājakumāraṃ dadāti / imaṃ rājakumāraṃ pravrājaya	rAjA ajitasenaH jyezWakam rAja-kumAram dadAti / imam rAja-kumAram pravrAjaya
   / tadahaṃ paścāt pravrajiṣyāmi / atha bhagavānāyuṣmantamānandamāmantrayate	/ tat-aham paScAt pravrajizyAmi / aTa BagavAn-Ayuzmantam-Anandam-Amantrayate
   sma / gacchānanda imaṃ rājakumāraṃ pravrājaya / (Asv 130)	sma / gacCa-AnandaH imam rAja-kumAram pravrAjaya / (Asu 130)
   athāyuṣmatānandena sa rājakumāraḥ pravrājitaḥ / saha pravrajitamātreṇa	aTa-AyuzmatA-Anandena sa rAja-kumAraH pravrAjitaH / saha pravrajita-mAtreNa
   arhatphalaṃ prāptamabhūt / sarvabuddhakṣetrāṇi paśyati sma / atha sa	arhat-Palam prAptam-aBUt / sarva-budDa-kzetrANi paSyati sma / aTa sa
   rājakumāro 'ntarīkṣagatastaṃ pitaraṃ gāthābhiradhyabhāṣata /	rAja-kumAraH antarIkza-gataH-tam pitaram gATABiH-aDi-aBAzata /
   mā vilamba kurute tāta mā khedaṃ kiñci yāsyasi /	mA vilamba kurute tAta mA Kedam kiQci yAsyasi /
   aho sulabdhaṃ sugatāna darśanaṃ aho sulabdhaṃ sugatāna lābham //	aho su-labDam sugatAna darSanam aho su-labDam sugatAna lABam //
   aho sulabdhaṃ paramaṃ hi lābhaṃ pravrajyalābhaṃ sugatena varṇitam /	aho su-labDam paramam hi lABam pravrajya-lABam sugatena varNitam /
   saṃsāramokṣo sugatena varṇitaṃ pravrajya śīghraṃ ma vilamba tāta //	saMsAra-mokzaH sugatena varNitam pravrajya SIGram ma vilamba tAta //
   mā khedayī lokavināyakendraṃ	mA KedayI loka-vinAyaka-indram
   sudurlabhaṃ labdha manuṣyalābhaṃ sudurlabhaṃ darśanu nāyakānām /	su-durlaBam labDa manuzya-lABam su-durlaBam darSanu nAyakAnAm /
   śīghaṃ ca pravrajya mayā hi labdhaṃ prāptaṃ mayā uttamamagrabodhim /	SIGam ca pravrajya mayA hi labDam prAptam mayA uttamam-agra-boDim /
   śrutvā na rājā tada putravākyaṃ sa pravrajī śāsani nāyakasya //	SrutvA na rAjA tada putra-vAkyam sa pravrajI SAsani nAyakasya //
   atha rājakumāro 'ntarīkṣagato gāthāṃ bhāṣitvā tūṣṇīṃ sthito 'bhūt / atha	aTa rAja-kumAraH antarIkza-gataH gATAm BAzitvA tUzNIm sTitaH aBUt / aTa
   rājā ajitasenaḥ putrasya vākyaṃ śrutvā tuṣṭa udagra (Asv 131) āttamanāḥ	rAjA ajitasenaH putrasya vAkyam SrutvA tuzwaH udagre (Asu 131) Atta-manAH
   pramuditaḥ prītisaumanasyajāto bhagavantamuddiśya vihāraṃ kārayati sma /	pramuditaH prIti-sOmanasya-jAtaH Bagavantam-uddiSya vihAram kArayati sma /
   tūryakoṭyo 'nupradattāḥ /	tUrya-kowyaH anupradattAH /
   antaḥpurasahasramasyāstrīndriyamantarhitapuruṣendriyaṃ prādurabhūt / atha	antaHpura-sahasram-asyAstri-indriyam-antarhita-puruza-indriyam prAduraBUt / aTa
   rājā ajitaseno bhagavataḥ śāsane pravrajito 'bhūt / tāścāmātyakoṭyo	rAjA ajitasenaH BagavataH SAsane pravrajitaH aBUt / tAH-ca-amAtya-kowyaH-
   bhagavataḥ śāsane pravrajitā abhūvan / taccāntaḥpurapuruṣasahasraṃ	BagavataH SAsane pravrajitAH aBUvan / tat-ca-antaHpura-puruza-sahasram
   pravrajitamabhūt / bhagavān rājānamajitasenaṃ pravrājya yena jetavanaṃ	pravrajitam-aBUt / BagavAn rAjAnam-ajita-senam pravrAjya yena jetavanam
   vihārastena gamanamārabdhavān /	vihAraH-tena gamanam-ArabDavAn /
   athāyuṣmānānando bhagavantamevamāha / ayaṃ rājā ajitaseno rājyaṃ	aTa-AyuzmAn-AnandaH Bagavantam-evam-Aha / ayam rAjA ajitasenaH rAjyam
   parityajya vihāraṃ kārayitvā bhagavataḥ śāsane pravrajito 'bhūt / asya	parityajya vihAram kArayitvA BagavataH SAsane pravrajitaH aBUt / asya
   kīdṛśaṃ kuśalamūlaṃ bhaviṣyati / bhagavānāha / sādhu sādhu ānanda yattvayā	kIdRSam kuSala-mUlam Bavizyati / BagavAn-Aha / sADu sADu Ananda yat-tvayA
   parikīrtitam / ayaṃ rājā ajitaseno mama śāsane pravrajito bhaviṣyati /	parikIrtitam / ayam rAjA ajitasenaH mama SAsane pravrajitaH Bavizyati /
   anāgate 'dhvanyaparimitaiḥ kalpairacintyairaparimāṇairajitaprabho nāma	anAgate aDvanya-parimitEH kalpEH-acintyEH-aparimANEH-ajitapraBaH nAma
   tathāgato 'rhan samyak sambuddho loke bhaviṣyati vidyācaraṇasampannaḥ	taTAgataH arhan samyak sambudDaH loke Bavizyati vidyA-caraNa-sampannaH
   sugato lokavidanuttaraḥ puruṣadamyasārathiḥ śāstā devānāṃ ca manuṣyāṇāṃ ca	sugataH loka-vid-anuttaraH puruza-damya-sAraTiH SAstA devAnAm ca manuzyANAm ca
   buddho bhagavān / ānanda āha / ayaṃ nandimitramahāśrāvako rājñaḥ kalyāṇa	budDaH BagavAn / AnandaH Aha / ayam nandi-mitra-mahA-SrAvakaH rAjQaH kalyANa
   mitramabhūt /	mitram-aBUt /
   kidṛśaṃ vāsya kuśalamūlaṃ bhaviṣyati / bhagavānāha / (Asv 132) ayamānanda	kidRSam vA-asya kuSala-mUlam Bavizyati / BagavAn-Aha / (Asu 132) ayam-Ananda
   nandimitramahāśrāvakastatraiva kālasamaye nandiprabho nāma tathāgato 'rhan	nandi-mitra-mahA-SrAvakaH-tatra-eva kAla-samaye nandipraBaH nAma taTAgataH arhan
   samyaksambuddho loke bhaviṣyati / ānanda āha / kīdṛśaṃ bhagavan teṣāṃ	samyaksambudDaH loke Bavizyati / AnandaH Aha / kIdRSam Bagavan tezAm
   tathāgatānāṃ buddhakṣetraṃ bhaviṣyati / bhagavānāha / aparimitaguṇasañcayā	taTAgatAnAm budDa-kzetram Bavizyati / BagavAn-Aha / aparimita-guNa-saQcayA
   nāma sā buddhakṣetraṃ bhaviṣyati yatreme tathāgatā bhaviṣyanti / ānanda	nAma sA budDa-kzetram Bavizyati yatra-ime taTAgatAH Bavizyanti / Ananda
   āha / ya imaṃ dharmaparyāyaṃ sakalaṃ samāptaṃ paścime kāle paścime samaye	Aha / yaH imam Darma-paryAyam sakalam samAptam paScime kAle paScime samaye
   samprakāśayiṣyati tasya kīdṛśaḥ puṇyaskandho bhaviṣyati / bhagavānāha /	samprakASayizyati tasya kIdRSaH puNya-skanDaH Bavizyati / BagavAn-Aha /
   yadā mayānanda duṣkarakoṭiniyutaśatasahasrāṇi caritvā bodhirabhisambuddhā	yadA mayA-Ananda duzkara-kowi-niyuta-Sata-sahasrANi caritvA boDiH-aBisambudDA
   tadā te sattvā bodhimabhisambhotsyante / ya etaddharmaparyāyāt	tadA te sattvAH boDim-aBisamBotsyante / yaH etad-Darma-paryAyAt
   catuṣpadikāmapi gāthāṃ śroṣyanti avaivartikāśca te sattvā	catuzpadikAm-api gATAm Srozyanti avEvartikAH-ca te sattvA
   bhaviṣyantyanuttarāyāṃ samyaksambodhau / ānanda āha / ya imaṃ	Bavizyanti-anuttarAyAm samyaksamboDO / AnandaH Aha / yaH imam
   dharmaparyāyaṃ dharmabhāṇakāḥ samprakāśayiṣyanti teṣāṃ kīdṛśaṃ kuśalamūlaṃ	Darma-paryAyam Darma-BANakAH samprakASayizyanti tezAm kIdRSam kuSala-mUlam
   bhaviṣyati / bhagavānāha / śṛṇu ānanda rājā bhaviṣyati cakravartī	Bavizyati / BagavAn-Aha / SRNu Ananda rAjA Bavizyati cakravartI
   caturdvīpeśvaraḥ / ya imaṃ dhamaparyāyaṃ sakalaṃ samāptaṃ	catur-dvIpa-ISvaraH / yaH imam Dama-paryAyam sakalam samAptam
   samprakāśayiṣyanti muktāśca bhaviṣyanti	samprakASayizyanti muktAH-ca Bavizyanti
   jātijarāvyādhiparidevaduḥkhadaurmanasyopāyāsebhyaḥ parimuktā bhaviṣyanti /	jAti-jarA-vyADi-parideva-duHKa-dOrmanasya-upAyAseByaH parimuktAH Bavizyanti /
   ānanda āha / ye paścime kāle paścime samaye sattvā imaṃ dharmaparyāyaṃ	AnandaH Aha / ye paScime kAle paScime samaye sattvAH imam Darma-paryAyam
   pratikṣepsyanti na pattīyiṣyanti teṣāṃ kā gatirbhaviṣyati kaḥ parāyaṇam /	pratikzepsyanti na pattIyizyanti tezAm kA gatiH-Bavizyati kaH parAyaNam /
   (Asv 133) bhagavānāha / alamalamānanda / mā me pāpakaṃ karmaskandhaṃ	(Asu 133) BagavAn-Aha / alamalam-Ananda / mA me pApakam karma-skanDam
   paripṛccha / na mayā śakyaṃ parikīrtayitum / anyatra	paripRcCa / na mayA Sakyam parikIrtayitum / anyatra
   buddhakoṭibhirnaśakyaṃ parikīrtayitum / ānanda āha / parikīrtaya bhagavan	budDa-kowiBiH-naSakyam parikIrtayitum / AnandaH Aha / parikIrtaya Bagavan
   parikīrtaya / sugato bhagavānāha / śruṇu ānanda saddharmapratikṣepakasya	parikIrtaya / sugataH BagavAn-Aha / SruNu Ananda sat-Darma-pratikzepakasya
