   śikṣāsamuccayaḥ |	SikzAsamuccayaH |
   nāmadheyaṃ kariṣyāmi daśa dikṣu ca viśrutaṃ |	nAmaDeyam karizyAmi daSa dikzu ca viSrutam |
   kāyavākkarmaṇī câhaṃ śodhayiṣyāmi sarvaśaḥ ||	kAya-vAc-karmaNI câham SoDayizyAmi sarvaSas ||
   śodhayiṣye manaskarma karma karttâsmi nâśubham |	SoDayizye manaskarma karma karttâsmi nâSuBam |
   iti ||	iti ||
   na câtra sārvakālikāt saṃvaragrahaṇāj janmântarâpattiśaṅkā kartavyâtrâiva	na câtra sArvakAlikAt saMvara-grahaNAt janmântarâpatti-SaFkA kartavyâtrâ-iva
   sūtre 'kṣobhyapraṇidhānânujñānād evaṃ hy uktaṃ |	sUtre akzoBya-praNiDAnâ-nujQAnAt evam hi uktam |
   yathā tenâkṣobhyeṇa tathāgatena pūrvaṃ bodhisatvabhū-	yaTA tenâkzoByeNa taTAgatena pUrvam boDisatva-BU-
   [ Cambridge MS f10b ---> ]	[ Cambridge M f10B ---> ]
   tenâivaṃ vāg bhāṣitā |	tet-âivam vAc BAzitA |
   visaṃvāditā me buddhā bhagavanto bhaveyur yadi sarvasyāṃ jātau na	visaMvAditAH me budDAH BagavantaH BaveyuH yadi sarvasyAm jAtO na
   pravrajeyam iti |	pravrajeyam iti |
   ekā jātiḥ prayatnena saṃśodhyā vibudhâtmanā |	ekA jAtiH prayatnena saMSoDyA vibuDâtmanA |
   anyās tu jātīr ābodheḥ sâiva saṃśodhayiṣyatîty ukteḥ ||	anyAH tu jAtIH AboDeH sâiva saMSoDayizyatîti ukteH ||
   evaṃ śāriputra bodhisatvenâkṣobhyasya tathāgatasya	evam SAriputra boDisatvenâ-kzoByasya taTAgatasya
   anuśikṣitavyaṃ |	anuSikzitavyam |
   evaṃ śikṣamāṇaḥ śāriputra bodhisatvo mahāsatvaḥ sarvasyāṃ jātau pravrajaty	evam SikzamANaH SAriputra boDisatvaH mahAsatvaH sarvasyAm jAtO pravrajati-
   utpādād vā tathāgatānām anutpādād vâvaśyaṃ gṛhâvāsān niṣkrāmati |	utpAdAt vA taTAgatAnAm anutpAdAt vâvaSyam gRhâvAsAt nizkrAmati |
   tat kasya hetoḥ |	tat kasya hetoH |
   paramo hy ayaṃ śāriputra lābho yad uta gṛhâvāsān niṣkramaṇam iti |	paramaH hi ayam SAriputra lABaH yat uta gRhâvAsAt nizkramaNam iti |
   yāvat |	yAvat |
   bhāryāputraduhitṛtṛṣṇā câsya na bhavatîti |	BAryA-putra-duhitR-tRzNA ca-asya na Bavatîti |
   yathā janmântareṣv ayaṃ doṣo na bhavati tathâtrâiva	yaTA janmântarezu ayam dozaH na Bavati taTâtrâ-iva
   vakṣyamāṇam ity āstāṃ tāvad etat ||	vakzyamANam iti AstAm tAvat etat ||
   [ Bendall ed p15 ---> ]	[ Bet-dalt ed p15 ---> ]
   tad evaṃ samāttasaṃvarasya sāmānyam āpattilakṣaṇam ucyate |	tat evam samAtta-saMvarasya sAmAnyam Apatti-lakzaNam ucyate |
   yenâpattilakṣaṇena yuktaṃ vastu svayam apy utprekṣya	yenâpatti-lakzaNena yuktam vastu svayam api utprekzya
   pariharen na câpattipratirūpakeṣv anāpattipratirūpakeṣu ca	pariharet na câpatti-pratirUpakezu anApatti-pratirUpakezu ca
   saṃmuhyeta |	saMmuhyeta |
   bodhisatvaḥ sarvasatvānāṃ varttamānânāgatasarvaduṣkhadaurmanasyôpaśamāya	boDisatvaH sarva-satvAnAm varttamAnânAgata-sarva-duzKa-dOrmanasyôpaSamAya
   varttamānânāgatasukhasaumanasyôtpādāya	varttamAnânAgata-suKa-sOmanasyôt-pAdAya
   ca niḥśāṭhyataḥ kāyavāṅmanaḥparākramaiḥ prayatnaṃ karoti |	ca niHSAWyataH kAya-vAc-manaH-parAkramEH prayatnam karoti |
   yadi tu tatpratyayasāmagrīṃ nânveṣate tadanantarāya	yadi tu tad-pratyaya-sAmagrIm nânvezate tad-anantarAya
   pratikārāya na ghaṭate 'lpaduṣkhadaurmanasyaṃ	pratikArAya na Gawate alpa-duzKa-dOrmanasyam
   bahuduṣkhadaurmanasyapratikārabhūtaṃ nôtpādayati |	bahu-duzKa-dOrmanasya-pratikAra-BUtam nôt-pAdayati |
   mahârthasiddhyarthaṃ câlpârthahāniṃ na karoti	mahârTa-sidDi-arTam câlpârTa-hAnim na karoti
   kṣaṇam apy upekṣate |	kzaNam api upekzate |
   sâpattiko bhavati |	sâpattikaH Bavati |
   saṃkṣepato 'nāpattiḥ svaśaktyaviśayeṣu kāryeṣu tatra	saMkzepataH anApattiH sva-Sakti-aviSayezu kAryezu tatra
   niṣphalatayā śikṣyāprajñaptyabhāvāt |	nizPala-tayA Sikzya-aprajQapti-aBAvAt |
   prakṛtisâvadyatayā tv anyad gṛhyatae eva |	prakRti-sâvadya-tayA tu anyat gRhyatae eva |
   yatra svaśaktyagocare 'pi tyāgasāmarthyād āpattiḥ syāt	yatra sva-Sakti-agocare api tyAga-sAmarTyAt ApattiH syAt-
   tan na	tat na
   cintyaṃ |	cintyam |
   sāmānyapāpadeśanā na ... vāt tu tato muktiḥ ||	sAmAnya-pApa-deSanA na ... vAt tu tatas muktiH ||
   etat samāsato bodhisatvaśikṣāśarīraṃ |	etat samAsatas boDisatva-SikzA-SarIram |
   vistaratas tv apramāṇakalpâparyavasānanirdeśaṃ |	vistarataH tu apramANa-kalpâparyavasAna-nirdeSam |
   athavā saṃkṣepato dve bodhisatvasyâpattī |	aTavA saMkzepataH dve boDisatvasyâpattI |
   yathā śaktiyuktâyuktam asamīkṣyârabhate |	yaTA Sakti-yuktâ-yuktam asamIkzyâraBate |
   nivṛttaḥ samīkṣa-	nivRttaH samIkza-
   [ Cambridge MS f11a ---> ]	[ Cambridge M f11aH ---> ]
   te sâpattiko bhavati |	te sâpattikaH Bavati |
   nirūpya yathârham atikrāmaty antaśaś caṇḍāladāsenâpi	nirUpya yaTârham atikrAmati antaSas caNxAla-dAsenâpi
   coditaḥ sâpattiko bhavati |	coditaH sâpattikaH Bavati |
   kutaḥ ||	kutas ||
   etad adhyāśayasaṃcodanasūtre vacanāt |	etat aDyASaya-saMcodana-sUtre vacanAt |
   api tu maitreya caturbhiḥ kāraṇaiḥ pratibhānaṃ sarvabuddhabhāṣi ... bhiḥ |	api tu mEtreya caturBiH kAraNEH pratiBAnam sarva-budDa-BAzi ... BiH |
   iha maitreya pratibhānaṃ satyôpasaṃhitaṃ bhavati |	iha mEtreya pratiBAnam satyôpasaMhitam Bavati |
   nâsatyôpasaṃhitaṃ dharmôpasaṃhitaṃ bhavati na	nâsatyôpasaMhitam DarmôpasaMhitam Bavati na
   adharmôpasaṃhitaṃ |	aDarmôpasaMhitam |
   kleśahāyakaṃ bhavati na kleśavivarddhakaṃ |	kleSa-hAyakam Bavati na kleSa-vivardDakam |
   nirvāṇaguṇânuśaṃsasandarśakaṃ bhavati na saṃsāraguṇânuśaṃsasandarśakaṃ |	nirvANa-guNânuSaMsa-sandarSakam Bavati na saMsAra-guNânuSaMsa-sandarSakam |
   ebhiś caturbhiḥ peyālaṃ |	eBiH caturBiH peyAlam |
   yasya kasyacin maitreyâibhiś caturbhiḥ kāraṇaiḥ	yasya kasyacid mEtreyâiBiH caturBiH kAraNEH
   pratibhānaṃ pratibhāti pratibhāsyati vā |	pratiBAnam pratiBAti pratiBAsyati vA |
   tatra śrāddhaiḥ kulaputraiḥ kuladuhitṛbhir vā	tatra SrAdDEH kula-putrEH kula-duhitRBiH vA
   buddhasaṃjñôtpādayitavyā śāstṛsaṃjñāṃ kṛtvā |	budDa-saMjQôt-pAdayitavyA SAstR-saMjQAm kRtvA |
   sa dharmaḥ śrotavyaḥ |	sa DarmaH SrotavyaH |
   tat kasya hetoḥ |	tat kasya hetoH |
   yat kiñcin maitreya subhāṣitaṃ sarvaṃ tad buddhabhāṣitaṃ |	yat kiQcid mEtreya su-BAzitam sarvam tat budDa-BAzitam |
   tatra maitreya yêmāni pratibhānāni pratikṣipen nâitāni	tatra mEtreya yêmAni pratiBAnAni pratikzipet nâitAni
   buddhabhāṣitānîti |	budDa-BAzitAn-îti |
   teṣu câgauravam utpādayet pudgalavidveṣeṇa tena	tezu câgOravam utpAdayet pudgala-vidvezeNa tena
   sarvabuddhabhāṣitaṃ pratibhānaṃ pratikṣiptaṃ bhavati |	sarva-budDa-BAzitam pratiBAnam pratikziptam Bavati |
   dharmaṃ pratikṣipya dharmavyasanasaṃvartanīyena karmaṇâpāyagāmī bhavati ||	Darmam pratikzipya Darma-vyasana-saMvartanIyena karmaNâ-pAya-gAmI Bavati ||
   [ Bendall ed p16 ---> ]	[ Bet-dalt ed p16 ---> ]
   yaḥ punar etad abhyāsârthaṃ vyutpāditam icchati |	yaH punar etat aByAsârTam vyutpAditam icCati |
   tenâtra śikṣāsamuccaye tāvac caryāmukhamātraśikṣaṇârtham	tenâtra SikzA-samuccaye tAvat caryA-muKa-mAtra-SikzaNârTam
   abhiyogaḥ karaṇīyaḥ śikṣârambhasyâiva mahāphalatvāt |	aBiyogaH karaNIyaH SikzâramBasyâiva mahA-Pala-tvAt |
   yathôktaṃ praśāntaviniścayapratihāryasūtre |	yaTôktam praSAnta-viniScaya-pratihArya-sUtre |
   yaś ca mañjuśrīr bodhisatvo gaṅgānadīvālikāsamebhyo buddhebhyaḥ pratyekaṃ	yaH ca maQjuSrIH boDisatvaH gaFgA-nadI-vAlikA-sameByaH budDeByaH pratyekam
   sarvebhyo gaṃgānadīvālikāsamāni	sarveByaH gaMgA-nadI-vAlikA-samAni
   buddhakṣetrāṇi vaśirājamahāmaṇiratnapratipūrṇāni	budDa-kzetrANi vaSi-rAja-mahA-maNi-ratna-pratipUrNAni
   kṛtvā	kRtvA
   dahyād evaṃ dadaṅ gaṅgānadīvālikāsamān kalpān dānaṃ dadyād |	dahyAt evam dadaF gaFgA-nadI-vAlikA-samAn kalpAn dAnam dadyAt |
   yo vânyo mañjuśrīr bodhisatvêmān evaṃrūpān dharmān	yaH vânyaH maQjuSrIH boDisatvêmAn evaMrUpAn DarmAn
   śrutvâikântena ga-	Srutvâikântena ga-
   [ Cambridge MS f11b ---> ]	[ Cambridge M f11B ---> ]
   tvā cittenâbhinirūpayed imeṣv evaṃrūpeṣu	tvA cittenâBinirUpayet imezu evaMrUpezu
   dharmeṣu śikṣiṣyāmîti |	Darmezu SikzizyAmîti |
   so 'śikṣito 'pi mañjuśrīr bodhisatvo 'syāṃ śikṣyāyāṃ chandiko vatataraṃ	saH aSikzitaH api maQjuSrIH boDisatvaH asyAm SikzyAyAm CandikaH vatataram
   puṇyaṃ prasavati |	puNyam prasavati |
   na tv eva tad dānam ayaṃ puṇyakriyāvastv iti |	na tu eva tat dAnam ayam puNya-kriyA-vastu iti |
   tasmād evam anuśaṃsadarśinā bodhisatvena na kathaṃcin nivarttitavyaṃ |	tasmAt evam anuSaMsa-darSinA boDisatvena na kaTaMcid nivarttitavyam |
   yathâtrâivâha |	yaTâtrâivâha |
   tatra mañjuśrīr ye trisāhasramahāsāhasralokadhātuparamâṇurajaḥsamāḥ	tatra maQjuSrIH ye tri-sAhasra-mahA-sAhasra-loka-DAtu-paramâNu-rajaH-samAH
   satva-s teṣām ekâikaḥ satvo rājā bhavej jambūdvīpâdhipatis te sarvae evaṃ	satva-H tezAm ekâikaH satvaH rAjA Bavet jambUdvIpâDipatiH te sarvae evam
   ghoṣayeyuḥ |	GozayeyuH |
   yo mahāyānam udgrahiṣyati dhārayiṣyati vācayiṣyati	yaH mahAyAnam udgrahizyati DArayizyati vAcayizyati
   paryavāpsyati	paryavApsyati
   pravarttayiṣyati tasya nakhachedena māsaṃ pañcapalikena	pravarttayizyati tasya naKa-Cedena mAsam paQca-palikena
   divasenâvatārayiṣyāmaḥ taṃ câitenâpakrameṇa jīvitād vyaparopayiṣyāmêti |	divasenâvatArayizyAmaH tam câitenâpakrameNa jIvitAt vyaparopayizyAmêti |
   sacen mañjuśrīr bodhisatvâivam ucyamāno nô trasyati na	saced maQjuSrIH boDisatvâivam ucyamAnaH nô trasyati na
   saṃtrāsam	saMtrAsam
   āpsyate 'ntaśâikacittôtpādenâpi na bibheti na viṣīdati	Apsyate anta-Sâika-cittôt-pAdenâpi na biBeti na vizIdati
   na	na
   vicikitsate |	vicikitsate |
   uttari ca saddharmmaparigrahârtham abhiyujyate	uttari ca sat-Darmma-parigrahârTam aBiyujyate
   pāṭhasvâdhyāyâbhimukto viharati |	pAWasu-âDyAyâBimuktaH viharati |
   ayaṃ mañjuśrīr bodhisatvaś cittaśūro dānaśūraḥ	ayam maQjuSrIH boDisatvaH citta-SUraH dAna-SUraH
   śīlaśūraḥ kṣāntiśūraḥ vīryaśūraḥ dhyānaśūraḥ	SIlaSUraH kzAnti-SUraH vIrya-SUraH DyAna-SUraH
   prajñāśūraḥ samādhiśūraḥ iti vaktavyaḥ ||	prajQA-SUraH samADi-SUraH iti vaktavyaH ||
   sacen mañjuśrīr bodhisatvaḥ teṣāṃ vadhakapuruṣāṇāṃ na	saced maQjuSrIH boDisatvaH tezAm vaDaka-puruzANAm na
   kupyati na ruṣyati na khila doṣacittam utpādayati |	kupyati na ruzyati na Kila doza-cittam utpAdayati |
   sa mañjuśrīr bodhisatvo brahmasamêndrasamo 'kampyêti ||	sa maQjuSrIH boDisatvaH brahma-samêndra-samaH akampyêti ||
   itaś câgryakāle śikṣâdaro mahāphalavipākaḥ |	itas câgrya-kAle SikzâdaraH mahA-Pala-vipAkaH |
   tathā hi candrapradīpasūtre |	taTA hi candra-pradIpa-sUtre |
   [ Bendall ed p17 ---> ]	[ Bet-dalt ed p17 ---> ]
   buddhāna koṭīn ayutān upasthihe |	budDAna kowIn ayutAn upasTihe |
   dattena pānena prasannacittaḥ |	dattena pAnena prasanna-cittaH |
   chatraiḥ patākābhi ca dīpamālaiḥ |	CatrEH patAkA-aBi ca dIpa-mAlEH |
   kalpāna koṭyo yatha gaṅga-	kalpAna kowyaH yaTa gaFga-
   [ Cambridge MS f12a ---> ]	[ Cambridge M f12aH ---> ]
   vālikāḥ ||	vAlikAH ||
   yaś câiva saddharme pralujyamāne |	yaH câiva sadDarme pralujyamAne |
   nirudhyamāne sugatasya śāsane |	niruDyamAne sugatasya SAsane |
   rātriṃ divaṃ eka careya śikṣām |	rAtrim divam eka careya SikzAm |
   idan tataḥ puṇyaviśiṣṭa bhoti ||	idan tatas puNya-viSizwa Boti ||
   tasmāt kartavyo 'trâdaraḥ ||	tasmAt kartavyaH atrâdaraH ||
   uktāni ca sūtrânteṣu bodhisatvaśikṣāpadāni |	uktAni ca sUtrântezu boDisatva-SikzA-padAni |
   yathôktam āryaratnameghe |	yaTôktam Arya-ratna-meGe |
   kathaṃ ca kulaputra bodhisatvā bodhisatvaśikṣāsaṃvarasaṃvṛtā bhavanti |	kaTam ca kula-putra boDisatvAH boDisatva-SikzA-saMvara-saMvRtAH Bavanti |
   iha bodhisatvaḥ evaṃ vicārayati |	iha boDisatvaH evam vicArayati |
   na prātimokṣasaṃvaramātrakeṇa mayā śakyam anuttarāṃ samyaksaṃbodhim	na prAtimokza-saMvara-mAtrakeNa mayA Sakyam anuttarAm samyaksaMboDim
   abhisaṃboddhuṃ |	aBisaMbodDum |
   kiṃ tarhi yānîmāni tathāgatena teṣu teṣu sūtrânteṣu	kim tarhi yAn-îmAni taTAgatena tezu tezu sUtrântezu
   bodhisatvasamudācārā |	boDisatva-samudAcArAH |
   bodhisatvaśikṣāpadāni prajñaptāni teṣu teṣu mayā	boDisatva-SikzA-padAni prajQaptAni tezu tezu mayA
   śikṣitavyam	Sikzitavyam
   iti vistaraḥ |	iti vistaraH |
   tasmād asmadvidhena mandabuddhinā durvijñeyo vistarôktatvād bodhisatvasya	tasmAt asmadviDena manda-budDinA durvijQeyaH vistarôkta-tvAt boDisatvasya
   saṃvaraḥ |	saMvaraH |
   tataḥ kiṃ yuktaṃ ||	tatas kim yuktam ||
   marmasthānāny ato vidyād yenânāpattiko bhavet ||	marma-sTAnAni atas vidyAt yenânApattikaH Bavet ||
   katamāni ca tāni marmasthānāni yāni hi sūtrânteṣu	katamAni ca tAni marma-sTAnAni yAni hi sUtrântezu
   mahāyānâbhiratānām arthāyôktāni |	mahAyAnâBiratAnAm arTa-ayôktAni |
   yad uta |	yat uta |
   ātmabhāvasya bhogānāṃ tryadhvavṛtteḥ śubhasya ca |	Atma-BAvasya BogAnAm tri-aDva-vRtteH SuBasya ca |
   utsargaḥ sarvasatvebhyas tadrakṣā śuddhivardhanam ||	utsargaH sarva-satveByaH tad-rakzA SudDi-varDanam ||
   eṣa bodhisatvasaṃvarasaṃgrahaḥ |	eza boDisatva-saMvara-saMgrahaH |
   yatra bodhisatvānām abhyāsaviśrāme 'py āpattayo vyavasthāpyante ||	yatra boDisatvAnAm aByAsa-viSrAme api ApattayaH vyavasTApyante ||
   yathôktaṃ bodhisatvaprātimokṣe |	yaTôktam boDisatva-prAtimokze |
   yo bodhisatvena mārgaḥ parigṛhītaḥ sarvasatvānāṃ kṛtena	yaH boDisatvena mArgaH parigRhItaH sarva-satvAnAm kRtena
   duṣkham upagāmī |	duzKam upagAmI |
   saced bodhisatvasya taṃ mārgaṃ parigṛhyâvasthitasyâpi	saced boDisatvasya tam mArgam parigRhyâvasTitasi-âpi
   kalpakoṭer atyayenâikaṃ sukhacittam utpadyetântaśo niṣadya	kalpa-koweH atyayenâikam suKa-cittam utpadyetântaSas nizadya
   cittam api |	cittam api |
   tatra bodhisatvenâivaṃ cittam utpādayitavyaṃ sarvasatvānām	tatra boDisatvenâivam cittam utpAdayitavyam sarva-satvAnAm
   ātyayikaṃ parigṛhyâitad api me varjayan niṣīdāmîti |	Atyayikam parigRhyâitat api me varjayan nizIdAmîti |
   parigṛhyet tam [[DOUBT]] |	parigRhyet tam [[DOUBT]] |
   [ Cambridge MS f12b ---> ]	[ Cambridge M f12B ---> ]
   api mañjuśrīr āha ||	api maQjuSrIH Aha ||
   pañcêmāni devaputrânantaryāṇi yair ānantaryaiḥ	paQcêmAni deva-putrâ-nantaryANi yEH AnantaryEH
   samanvāgatā bodhisatvāḥ kṣipram anuttarāsamyaksaṃbodhim	samanvAgatAH boDisatvAH kzipram anuttara-asamyaksaMboDim
   abhisaṃbudhyate |	aBisaMbuDyate |
   katamāni pañca |	katamAni paQca |
   yadā devaputra bodhisatvo 'dhyāśayaty anuttarāyāṃ samya-	yadA deva-putra boDisatvaH aDyASayati anuttarAyAm samya-
   [ Bendall ed p18 ---> ]	[ Bet-dalt ed p18 ---> ]
   ksaṃbodhau cittam utpādya nântarā śravakapratyekabuddhabhūmau cittam	ksaMboDO cittam utpAdya nântarA Sravaka-pratyekabudDa-BUmO cittam
   utpādayatîdaṃ devaputra prathamam	utpAdayatîdam deva-putra praTamam
   ānantaryaṃ |	Anantaryam |
   sarvasvaparityāgitāyāṃ cittam utpādya nântarā	sarva-sva-parityAgitAyAm cittam utpAdya nântarA
   mātsaryacittena sārddhaṃ sa nyasatîdaṃ devaputra dvitīyam	mAtsarya-cittena sArdDam sa nyasatîdam deva-putra dvitIyam
   ānantaryam |	Anantaryam |
   sarvasatvā mayā trātavyêty evaṃ cittam utpādya nântarā	sarva-satvA mayA trAtavyêti evam cittam utpAdya nântarA
   sīdatîdaṃ devaputra tṛtīyam ānantaryam |	sIdatîdam deva-putra tRtIyam Anantaryam |
   anutpannâniruddhān sarvadharmān avabhotsyae ity evaṃ cittam	anutpannâ-nirudDAn sarva-DarmAn avaBotsyae iti evam cittam
   utpādya nântarā dṛṣṭigateṣu prapatatîdaṃ devaputra	utpAdya nântarA dRzwi-gatezu prapatatîdam deva-putra
   caturtham ānantaryam |	caturTam Anantaryam |
   ekakṣaṇasamāyuktayā prajñayā sarvadharmān avabhotsyae ity evaṃ cittam	eka-kzaNa-samAyuktayA prajQayA sarva-DarmAn avaBotsyae iti evam cittam
   utpādya nântarā tiṣṭhati na viṣṭhīvati	utpAdya nântarA tizWati na vizWIvati
   aprāptāyāṃ sarvajñatāyām idaṃ devaputra pañcamam ānantaryam iti ||	aprAptAyAm sarvajQa-tAyAm idam deva-putra paQcamam Anantaryam iti ||
   tasmād evam ātmabhāvabhogapuṇyānām aviratam	tasmAt evam Atma-BAva-Boga-puNyAnAm aviratam
   utsargarakṣāśuddhivṛddhayo yathāyogaṃ bhāvanīyāḥ ||	utsarga-rakzA-SudDi-vRdDayaH yaTAyogam BAvanIyAH ||
   tatra tāvad utsargârthaṃ parigrahadoṣabhāvanādvāreṇa	tatra tAvat utsargârTam parigraha-doza-BAvanA-dvAreNa
   vairāgyam utpādayet tyāgânuśaṃsāṃś ca bhāvayet |	vErAgyam utpAdayet tyAgânu-SaMsAn ca BAvayet |
   yathā tāvac candrapradīpasūtre |	yaTA tAvat candra-pradIpa-sUtre |
   adhyavasitā ye bālāḥ kāye 'smin pūtike samyag |	aDyavasitAH ye bAlAH kAye asmin pUtike samyak |
   jīvite cañcale 'vaśye māyāsvapnanibhôpame ||	jIvite caQcale avaSye mAyA-svapna-niBô-pame ||
   atiraudrāṇi karmāṇi kṛtvā mohavaśânugāḥ |	ati-rOdrANi karmANi kRtvA moha-vaSânugAH |
   te yānti narakān ghorān mṛtyuyānagatâbudhā |	te yAnti narakAn GorAn mRtyu-yAna-gatâbuDAH |
   iti ||	iti ||
   tathânantamukhanirhāradhāraṇyām uktaṃ ||	taTânanta-muKa-nirhAra-DAraNyAm uktam ||
   ye kecit satvā na bhavanti vigrahāḥ parigrahas tatra	ye kecid satvAH na Bavanti vigrahAH parigrahaH tatra
   nidānamūlam |	nidAna-mUlam |
   tasmāt tyajed yatra bhavet tṛṣṇā |	tasmAt tyajet yatra Bavet tRzNA |
   utsṛṣṭatṛṣṇasya hi dhāraṇī bhavet ||	utsRzwa-tRzNasya hi DAraNI Bavet ||
   bodhisatvaprātimokṣe kathitaṃ |	boDisatva-prAtimokze kaTitam |
   punar aparaṃ śāriputra bodhisatvaḥ sarvadharmeṣu	punar aparam SAriputra boDisatvaH sarva-Darmezu
   parakīyasaṃjñām utpādayati |	parakIya-saMjQAm utpAdayati |
   na kañcid bhāvam upādatte |	na kaQcid BAvam upAdatte |
   tat kasya hetoḥ |	tat kasya hetoH |
   upādānaṃ hi bhayam iti ||	upAdAnam hi Bayam iti ||
   āryôgradattaparipṛ-	Ari-ôgra-datta-paripR-
   [ Bendall ed p19 ---> ]	[ Bet-dalt ed p19 ---> ]
   cchāyām apy āha |	cCAyAm api Aha |
   yad dattaṃ tan na bhūyo rakṣitavyaṃ |	yat dattam tat na BUyas rakzitavyam |
   yad gṛhe tad rakṣitavyaṃ |	yat gRhe tat rakzitavyam |
   yad dattaṃ tat tṛṣnākṣayāya |	yat dattam tat tRznA-kzayAya |
   yad gṛhe tat tṛṣṇāvarddhanaṃ |	yat gRhe tat tRzNA-vardDanam |
   yad dattaṃ tad aparigrahaṃ yad gṛhe tat saparigrahaṃ |	yat dattam tat aparigraham yat gRhe tat sa-parigraham |
   yad dattaṃ tad abhayaṃ yad gṛhe tat sabhayam |	yat dattam tat aBayam yat gRhe tat sa-Bayam |
   yad dattaṃ tad bodhimārgôpastambhāya |	yat dattam tat boDimArgôpastamBAya |
   yad gṛhe tan mārôpastambhāya |	yat gRhe tat mArôpa-stamBAya |
   yad dattaṃ tad akṣayam |	yat dattam tat akzayam |
   yad gṛhe tat kṣayi |	yat gRhe tat kzayi |
   yad dattaṃ tataḥ sukham yad gṛhe tadārabhya duṣkhaṃ |	yat dattam tatas suKam yat gRhe tadA-AraBya duzKam |
   yad dattaṃ tat kleśôtsargāya |	yat dattam tat kleSôt-sargAya |
   yad gṛhe tat kleśavarddhanam |	yat gRhe tat kleSa-vardDanam |
   yad dattaṃ tan mahābhogatāyai |	yat dattam tat mahA-Boga-tAyE |
   yad gṛhe na tan mahābhogatāyai |	yat gRhe na tat mahA-Boga-tAyE |
   yad dattaṃ tat satpuruṣakarma |	yat dattam tat sat-puruza-karma |
   yad gṛhe tat kāpuruṣakarma |	yat gRhe tat kApuruza-karma |
   yad dattaṃ tat satpuruṣacittagrahaṇāya |	yat dattam tat sat-puruza-citta-grahaNAya |
   yad gṛhe tat kāpuruṣacittagrahaṇāya |	yat gRhe tat kApuruza-citta-grahaNAya |
   yad dattaṃ tat sarvabuddhapraśastaṃ |	yat dattam tat sarva-budDa-praSastam |
   yad gṛhe tad bālajanapraśastam ||	yat gRhe tat bAla-jana-praSastam ||
   yāvat sacet punar asya putre 'tiriktataraṃ premôtpadyate	yAvat saced punar asya putre atiriktataram premôtpadyate
   tathânyeṣu satveṣu tena tisṛbhiḥ paribhāṣaṇābhiḥ svacittaṃ paribhāṣitavyaṃ	taTânyezu satvezu tena tisRBiH pariBAzaNABiH sva-cittam pariBAzitavyam
   katamābhis tisṛbhiḥ |	katamABiH tisRBiH |
   samyakprayuktasya samacittasya bodhisatvasya bodhir na	samyak-prayuktasya sama-cittasya boDisatvasya boDiH na
   viṣamacittasya	vizama-cittasya
   bodhir na mithyāprayuktasya |	boDiH na miTyA-prayuktasya |
   anānātvacāriṇo bodhisatvasya bodhir na nānātvacāriṇaḥ |	anAnAtu-a-cAriNaH boDisatvasya boDiH na nAnA-tva-cAriNaH |
   ābhis tisṛbhiḥ paribhāṣaṇābhiḥ svacittaṃ paribhāṣya	ABiH tisRBiH pariBAzaNABiH sva-cittam pariBAzya
   anyatre 'mitrasaṃjñôtpādayitavyâmitraṃ hy etan mama |	anyatre amitra-saMjQôt-pAdayita-vyâmitram hi etat mama |
   na maitraṃ |	na mEtram |
   yo 'ham asyârthāya buddhaprajñaptāśikṣāyôddhuratād gatvâsmin putre	yaH aham asi-ârTAya budDa-prajQapta-aSikzAyôdDuratAt gatu-âsmin putre
   'tiriktataraṃ premôtpādayāmi |	atiriktataram premôt-pAdayAmi |
   na tathânyeṣu satveṣu |	na taTânyezu satvezu |
   tena tathā tathā cittam utpādayitavyaṃ yathā yathâsya	tena taTA taTA cittam utpAdayitavyam yaTA yaTâsya
   sarvasatveṣu putrapremânugatā maitry- utpadyate |	sarva-satvezu putra-premânugatA mEtry utpadyate |
   ātmakṣemânu ... maitry- utpadyate |	Atma-kzemânu ... mEtry utpadyate |
   evaṃ cânena yoniśaḥ pratyavekṣitavyaṃ |	evam cânena yoniSas pratyavekzitavyam |
   anyatâiṣâgata |	anyatâizâgataH |
   anyato 'haṃ |	anyatas aham |
   sarvasatvâpi mama putrâbhūvan |	sarva-satvâpi mama putrâBUvan |
   ahaṃ ca sarvasatvānāṃ putro 'bhūvam |	aham ca sarva-satvAnAm putraH aBUvam |
   nêha saṃvidyate kaścit kasyacit ... paro vā |	nêha saMvidyate kaScid kasyacid ... paraH vA |
   yāvad evaṃ hi gṛhapate |	yAvat evam hi gRhapate |
   gṛhiṇā bodhisatvena na kasmiṃścid vastuni mamatvaṃ parigraho vā kartavyaḥ	gRhiNA boDisatvena na kasmiMScid vastuni mamatvam parigrahaH vA kartavyaH
   nâdhyavasānaṃ |	nâDi-avasAnam |
   na niyatiḥ na tṛṣṇânuśayaḥ kartavyaḥ |	na niyatiH na tRzNânuSayaH kartavyaH |
   sacet punar gṛhapate gṛhiṇaṃ bodhisatvaṃ yācanakôpasaṃkramya	saced punar gRhapate gRhiNam boDisatvam yAcana-kôpa-saMkramya
   kiñcid eva vastu yāceta |	kiQcid eva vastu yAceta |
   saced asya vastv aparityaktaṃ bhavet |	saced asya vastu aparityaktam Bavet |
   nâivaṃ cittaṃ nidhyāpayitavyaṃ |	nâivam cittam niDi-Apayitavyam |
   yady aham etad vastu parityajeyaṃ yadi vā na parityajeyam	yadi aham etat vastu parityajeyam yadi vA na parityajeyam
