   // prathamādhyāye dvitīyāhnikam //	// praTama-aDyAye dvitIya-Ahnikam //
   // kathālakṣaṇaprakaraṇam //	// kaTA-lakzaNa-prakaraNam //
   // pariśuddhiḥ //	// pariSudDiH //
   iha khalu hetvābhāsānāṃ tattyānusaṃhitānāṃ yathāsaṃkhyaṃ saṃśayo	iha Kalu hetvABAsAnAm tat-tya-anusaMhitAnAm yaTAsaMKyam saMSayaH-
   vivakṣitaviparītajñānaṃ jijñāsā ajñānaṃ vyāptibādhaśceti phalāni /	vivakzita-viparIta-jQAnam jijQAsA ajQAnam vyApti-bADaH-ca-iti PalAni /
   tatra phaladvārakaṃ prakaraṇasamalakṣaṇamupakramyateyasmādityādi /	tatra Pala-dvArakam prakaraNa-sama-lakzaNam-upakramyateyasmAt-ityAdi /
   tadetad bhāṣyamukhane vyācaṣṭe---prakaraṇeti /	tat-etat BAzya-muKane vyAcazwe----prakaraNa-iti /
   yasmāt prakriyamāṇārthajijñāsāmātraṃ bhavati sa prakarasama iti saṃkṣepaḥ	yasmAt prakriyamANa-arTa-jijQAsA-mAtram Bavati sa prakara-samaH iti saMkzepaH
   tathāhi, pakṣe samabalabādhakasahapravṛtterna tattvanirṇayaḥ, pratibalena	taTA-hi, pakze sama-bala-bADaka-saha-pravRtteH-na tattva-nirNayaH, pratibalena
   pratiruddhatvāt /	pratirudDa-tvAt /
   nāpi tato 'nusandhānenāpi sahasā vyāptibādho 'nugṛhyamāṇaviśeṣatayā	na-api tatas anusanDAnena-api sahasA vyApti-bADaH anugRhyamANa-viSeza-tayA
   samabalatvāt /	sama-bala-tvAt /
   nāpyajñānameva pakṣe vidyamānatayaikakoṭiprasañjakatvāt /	na-api-ajQAnam-eva pakze vidyamAna-tayA-eka-kowi-prasaQjaka-tvAt /
   nāpi viparītajñānam, tenāvyāpteḥ /	na-api viparIta-jQAnam, tena-avyApteH /
   nāpi sandehaḥ koṭidvayānupanāyakatvāt /	na-api sandehaH kowi-dvaya-anupanAyaka-tvAt /
   tasmādekāṃ koṭimupanayan samabalena pratiruddhaḥ kathamatra nirṇayo	tasmAt-ekAm kowim-upanayan sama-balena pratirudDaH kaTam-atra nirNayaH-
   bhavatviti jijñāsāṃ janayan prakaraṇasama itarebhyo bhidyata iti /	Bavatu-iti jijQAsAm janayan prakaraNa-samaH itareByaH Bidyate iti /
   tacca satpratipakṣatvaṃ siddhobhayahetukamasiddhobhayahetukaṃ	tat-ca sat-pratipakza-tvam sidDa-uBaya-hetukam-asidDa-uBaya-hetukam
   siddhasādhyobhayahetukaṃ ca /	sidDa-sADya-uBaya-hetukam ca /
   prathamamarūpadravyatvolabhyamānasparśādhiṣṭhānatvayoḥ /	praTamam-arUpa-dravya-tva-ulaByamAna-sparSa-aDizWAna-tvayoH /
   tṛtīyaṃ śrāvaṇatvakṛtakatvayoḥ /	tRtIyam SrAvaNa-tva-kRtaka-tvayoH /
   madhyamamihodāhariṣyate /	maDyamam-iha-udAharizyate /
   tadanurodhena vyācaṣṭe---sa khalviti /	tad-anuroDena vyAcazwe----sa Kalu-iti /
   yadyapi jijñāsāmātramatropayoti, tathāpi saṃśayānuvṛttinivṛttyoḥ	yadi-api jijQAsA-mAtram-atra-upayoti, taTA-api saMSaya-anuvRtti-nivRttyoH
   jijñāsānuvṛttinivṛttī iti mattvoktam---tatra sandigdhe tadvā jijñāsate iti	jijQAsA-anuvRtti-nivRttI iti mattvA-uktam-----tatra sandigDe tat-vA jijQAsate iti
   nanu yata eva jijñāsā kathaṃ tameva prekṣāvān tattvanirṇayāya prayokṣyata	nanu yatas eva jijQAsA kaTam tam-eva prekzAvAn tattva-nirNayAya prayokzyata
   ityata āha---vicitrābhisandhitayeti /	iti-atas Aha----vicitra-aBisanDi-tayA-iti /
   pūrvasamayo duṣpratyayo jātu prayojyabuddhiriti hi	pUrva-samayaH duzpratyayaH jAtu prayojya-budDiH-iti hi
   sādhanottarābhāsaprayoge hetava ityarthaḥ /	sADana-uttara-ABAsa-prayoge hetavaH iti-arTaH /
   nanvekaikapakṣaniyatatayā kathamubhayapakṣasāmyamanupalabdherityata	nanu-eka-eka-pakza-niyata-tayA kaTam-uBaya-pakza-sAmyam-anupalabDeH-iti-ata
   āha---seyamiti /	Aha---sA-iyam-iti /
   nanu vyutpattimāśritya cet prakaraṇasamapadaṃ pravartate kṛtaṃ tarhi	nanu vyutpattim-ASritya ced prakaraNa-sama-padam pravartate kRtam tarhi
   yasmādityādilakṣaṇāntareṇetyata āha---vyutpattīti /	yasmAt-ityAdi-lakzaNa-antareNa-iti-atas Aha----vyutpatti-iti /
   athaitadeva pravṛttinimittaṃ kiṃ na syādityata āha---anyatheti /	aTa-etat-eva pravRtti-nimittam kim na syAt-iti-atas Aha---anyaTA-iti /
   atra bhāṣyakāreṇa savyabhicārāt prakaraṇasamaṃ bhedayatā tasya	atra BAzya-kAreNa savyaBicArAt prakaraNa-samam BedayatA tasya
   saṃśayahetutvamasya ca prakaraṇapravṛttihetutvamuktam /	saMSaya-hetutvam-asya ca prakaraNa-pravRtti-hetu-tvam-uktam /
   tacca saṃmugdham, pakṣapratipakṣau prakaraṇam iti prāgvyākhyānāt,	tat-ca saMmugDam, pakza-pratipakzO prakaraNam iti prAc-vyAKyAnAt,
   sūtravirodhācca /	sUtra-viroDAt-ca /
   na hi yasmāt prakaraṇamiti sūtramapi tu yasmāt prakaraṇacinteti /	na hi yasmAt prakaraNam-iti sUtram-api tu yasmAt prakaraNa-cintA-iti /
   ata āha---etaduktaṃ bhavatīti /	atas Aha---etat-uktam Bavati-iti /
   api tu satpratipakṣatayaiva hetvābhāsatvamiti /	api tu sat-pratipakza-tayA-eva hetvABAsa-tvam-iti /
   jijñāsāmātrahetutayā nirṇayānutpādakatvāditi bhāvaḥ /	jijQAsA-mAtra-hetu-tayA nirNaya-anutpAdaka-tvAt-iti BAvaH /
   etena bhāṣye prakaraṇaśabdo jijñāsāpara ityuktam /	etena BAzye prakaraNa-SabdaH jijQAsA-paraH iti-uktam /
   nanu nityadharmānupalabdhiḥ kādācitkī vivakṣitā, sadātanī vā? ādyā	nanu nitya-Darma-anupalabDiH kAdAcid-kI vivakzitA, sadAtanI vA? AdyA
   anaikāntikyeva, ākāśādāvapi kadācinnityadharmānupalabdheḥ /	anEkAntikI-eva, AkASa-AdO=-api kadAcid-nitya-Darma-anupalabDeH /
   dvitīyā tvasiddhaiva /	dvitIyA tu-asidDA-eva /
   na hi nityadharmopalabdhyā śabde kadācidapi na bhavitavyam iti	na hi nitya-Darma-upalabDyA Sabde kadAcid-api na Bavitavyam iti
   pramāṇamasti /	pramANam-asti /
   tathā cāsiddhatvaṃ vihāya kutaḥ prakaraṇasamatvamudbhāvayatītyata āha---na	taTA ca-asidDatvam vihAya kutas prakaraNa-sama-tvam-udBAvayati-iti-atas Aha---na
   ca tattvānupalabdhiriti /	ca tattva-anupalabDiH-iti /
   ayamarthaḥ, yasyaivaṃ viśeṣagrahaḥ, tasya tāvadasiddha evāyamityastu,	ayam-arTaH, yasya-evam viSeza-grahaH, tasya tAvat-asidDaH eva-ayam-iti-astu,
   yastūpalambhābhāvena sulabhāmanupalabdhiṃ matvā viśeṣamapratisandhāya	yaH-tu-upalamBa-aBAvena sulaBAm-anupalabDim matvA viSezam-apratisanDAya
   pratibalena ca pratibandhamupanyasyati, taṃ prati kimayamābhāsatāṃ yātu na	pratibalena ca pratibanDam-upanyasyati, tam prati kim-ayam-ABAsa-tAm yAtu na
   vā? na tāvanna yāti /	vA? na tAvat-na yAti /
   tathā sati sādhayet /	taTA sati sADayet /
   evaṃ ca tato 'gṛhītaviśeṣā dvitīyāpi sādhayedeva /	evam ca tatas agRhIta-viSezAH dvitIyA-api sADayet-eva /
   na caivam, na cānābhāsamasādhakamatiprasaṅgāt /	na ca-evam, na ca-anABAsam-asADaka-mati-prasaFgAt /
   na ca tadānīṃ doṣāntaramatra parisphurati, anyatra pratibalena	na ca tadAnIm doza-antaram-atra parisPurati, anyatra pratibalena
   pratibandhāditi /	pratibanDAt-iti /
   yatrāpi yugapadanekadoṣaparisphuraṇam, tatrāpi satpratipakṣatvam	yatra-api yugapad-aneka-doza-parisPuraNam, tatra-api sat-pratipakza-tvam
   apyudbhāvya viramyate /	api-udBAvya viramyate /
   na hi yāvadasti tāvadudbhāvyam, anyatra saṃbhūya pratijñāyāṃ	na hi yAvat-asti tAvat-udBAvyam, anyatra saMBUya pratijQAyAm
   sarvatrodbhāvananiyamāditi /	sarvatra-udBAvana-niyamAt-iti /
   yadyapi pratyakṣavat tattvānupalabdhirapi na kevalā, api tu	yadi-api pratyakza-vat tattva-anupalabDiH-api na kevalA, api tu
   samānadharmadarśanādisahitaiva saṃśayakāraṇam /	samAna-Darma-darSana-Adi-sahitA-eva saMSaya-kAraNam /
   tathā ca codyacuñcorabhimatabhraṃsaḥ, tathāpi tamupekṣya	taTA ca codya-cuQcoH-aBimata-BraMsaH, taTA-api tam-upekzya
   svasiddhāntāvarodhena pariharati---na hyakāraṇānāmiti /	sva-sidDAnta-avaroDena pariharati---na hi-akAraNAnAm-iti /
   nanūbhayeti /	nanu-uBaya-iti /
   ekasmin pakṣe ubhayapadaṃ vihāyāparasmin vyāvṛttidvāreti padamadhyāhṛtya	ekasmin pakze uBaya-padam vihAya-aparasmin vyAvRtti-dvAra-iti padam-aDyAhRtya
   phakkikābodhaḥ, api tu tattvānupalabdhirevāsmaduktā	PakkikA-boDaH, api tu tattva-anupalabDiH-eva-asmad-uktA
   prakaraṇasamodāharaṇamiti śeṣaḥ /	prakaraNa-sama-udAharaNam-iti SezaH /
   evaṃ jijñāsāhetutvābhāvāt prakaraṇasamalakṣaṇāyogitayā śarīrādanyatvaṃ na	evam jijQAsA-hetutva-aBAvAt prakaraNa-sama-lakzaNa-ayogi-tayA SarIrAt-anya-tvam na
   tadudāharaṇamityuktam /	tat-udAharaNam-iti-uktam /
   idānīṃ saṃśayahetutayā anaikāntikalakṣaṇāyogāt /	idAnIm saMSaya-hetu-tayA anEkAntika-lakzaNa-ayogAt /
   tadudāharaṇamevedamityāśayavānāhetyāha---itaśceti /	tat-udAharaNam-eva-idam-iti-ASayavAn-Aha-iti-Aha---itaH-ca-iti /
   kecit tu manyante, tattvānupalabdhireva paraṃ prakaraṇasamo	kecid tu manyante, tattva-anupalabDiH-eva param prakaraNa-samaH-
   hetvābhāsastannirākaraṇaṃ sūcayati---evamanyānyapīti /	hetvABAsaH-tad-nirAkaraNam sUcayati---evam-anyAni-api-iti /
   nāgṛhyamāṇaviśeṣadaśāyāmanupalabdhyoranyayorvā dharmayoḥ kaścit viśeṣo	na-agRhyamANa-viSeza-daSAyAm-anupalabDyoH-anyayoH-vA DarmayoH kaScid viSezaH-
   gṛhyamāṇaviśeṣadaśāyāṃ tu yathānyasyānyatra hetvābhāse 'ntarbhāvaḥ	gRhyamANa-viSeza-daSAyAm tu yaTA-anyasya-anyatra hetvABAse antarBAvaH
   tathānupalabdherapīti sāpi tyājyā /	taTA-anupalabDeH-api-iti sA-api tyAjyAH /
   na cānupalabdhyorātyantikamagṛhyamāṇaviśeṣatvam /	na ca-anupalabDyoH-Atyantikam-agRhyamANa-viSeza-tvam /
   ubhayoḥ siddhatve vastuna ubhayānubhayātmakatvaprasaṅgāt /	uBayoH sidDa-tve vastunaH uBaya-anuBaya-Atmaka-tva-prasaFgAt /
   ekasyāsiddhatve vā kathamagṛhyamāṇaviśeṣatvamātyantikamubhayorapi	ekasya-asidDa-tve vA kaTam-agRhyamANa-viSeza-tvam-Atyantikam-uBayoH-api
   vāstavyāmasiddhau punarubhayānubhayātmakatvaprasaṅgāditi // 7 //	vAsta-vya-AmasidDO punar-uBaya-anuBaya-Atmaka-tva-prasaFgAt-iti // 7 //
   sādhyāviśiṣṭaḥ sādhyatvātsādhyasamaḥ // 7 //	sADya-aviSizwaH sADya-tvAt-sADya-samaH // 7 //
   // pariśuddhiḥ //	// pariSudDiH //
   tasmāt sādhyatvādasiddhateti /	tasmAt sADya-tvAt-asidDa-tA-iti /
   sādhyatayā asiddhatayā /	sADya-tayA asidDa-tayA /
   sādhyenāviśiṣṭaḥ sādhyāviśiṣṭaḥ /	sADyena-aviSizwaH sADya-aviSizwaH /
   sā cāsiddhatā kasyacidityādi sugamam /	sA ca-asidDa-tA kasyacid-ityAdi sugamam /
   tadevaṃ śiṣyapratipattilāghavāya vākyagauravam /	tat-evam Sizya-pratipatti-lAGavAya vAkya-gOravam /
   vastutastu asiddhaḥ sādhyasama ityetāvadeva lakṣaṇamuktam /	vastutas-tu asidDaH sADya-samaH iti-etAvat-eva lakzaNam-uktam /
   asiddha ityasyāpi pakṣadharmatayā na niścita ityarthaḥ /	asidDaH iti-asya-api pakza-Darma-tayA na niScitaH iti-arTaH /
   parāmarśaviṣayaḥ pakṣadharmatā /	parAmarSa-vizayaH pakza-Darma-tA /
   sā ca svasādhyena nirupādhisaṃbandhasya pakṣasaṃbandhaḥ /	sA ca sva-sADyena nirupADi-saMbanDasya pakza-saMbanDaH /
   tathāpi ca vyāptiniścayasahitena saṃbandhidvayaniścayena niścīyate /	taTA-api ca vyApti-niScaya-sahitena saMbanDi-dvaya-niScayena niScIyate /
   vyāptiliṅgapakṣeṣu tvekatamāniścaye 'pi neti /	vyApti-liFga-pakzezu tu-ekatamA-niScaye api na-iti /
   tatra pakṣāniścayādāśrayāsiddha /	tatra pakzA-niScayAt-ASraya-asidDaH /
   liṅgasyaivāniścayāt svarūpāsiddhaḥ /	liFgasya-eva-aniScayAt sva-rUpa-asidDaH /
   vyāpteraniścayādanyathāsiddhaḥ /	vyApteH-aniScayAt-anyaTA-sidDaH /
   eteṣāṃ cāniścayaḥ sandehād vā, abhāvaniścayād veti na kaścit phalaṃ prati	etezAm ca-aniScayaH sandehAt vA, aBAva-niScayAt vA-iti na kaScid Palam prati
   viśeṣaḥ /	viSezaH /
   etena vyomapadmāṃ sugandhi padmātvāt ityādayo 'pi saṃgṛhītā bhavanti /	etena vyoma-padmAm suganDi padmAtvAt iti-AdayaH api saMgRhItAH Bavanti /
   anyathā yaḥ pakṣe 'sanniti lakṣaṇenaitallabhyate /	anyaTA yaH pakze asan=-iti lakzaNena-etat-laByate /
   yathā hi, asati sapakṣe vipakṣe ca pratiṣedhaḥ kartu na śakyate, tathā	yaTA hi, asati sa-pakze vipakze ca pratizeDaH kartu na Sakyate, taTA
   pakṣe 'pīti /	pakze api-iti /
   satyā eveti satyenābhyupagatāyā ityarthaḥ /	satyA eva-iti satyena-aByupagatAyAH iti-arTaH /
   tasyā nityatvābhāvāditi /	tasyAH nitya-tva-aBAvAt-iti /
   tadasiddhamiti cet---na, kadācidupalambhalakṣaṇenāpi anityatvena	tat-asidDam-iti cet---na, kadAcid-upalamBa-lakzaNena-api anitya-tvena
   sādhyasiddheḥ teṣāṃ vyañjakavaicitrye 'pi	sADya-sidDeH tezAm vyaQjaka-vEcitrye api
   vyaktyāśrayasaṃbandhināmupalambhamantareṇānupalambhaniyamāt /	vyakti-ASraya-saMbanDinAm-upalamBam-antareNa-anupalamBa-niyamAt /
   upalambhe vā tattvānupapatte /	upalamBe vA tattva-anupapatte /
   sadopalambhaprasaṅgācca /	sadA-upalamBa-prasaFgAt-ca /
   tejasābhibhūtatvāt na tatheti cet---na, āśrayānabhibhave teṣāmanabhibhāvāt	tejasA-aBiBUta-tvAt na taTA-iti cet---na, ASraya-anaBiBave tezAm-anaBiBAvAt-
   tadabhibhave tu teṣāmupalambhe tadupalambhaprasaṅgāt /	tad-aBiBave tu tezAm-upalamBe tad-upalamBa-prasaFgAt /
   ata eva na bhābhāvasya tadvyañjakatvam /	atas eva na BA-BAvasya tat-vyaQjaka-tvam /
   tasmāt kadācidupalambha evāsyāḥ sāmānyāvirūpatāṃ pratikṣipatīti /	tasmAt kadAcid-upalamBe eva-asyAH sAmAnya-avirUpa-tAm pratikzipati-iti /
   nāpi karmeti /	na-api karma-iti /
   svāśrayaṃ prāgdeśād vibhajya deśāntaraṃ prāpayat karma tattāyāṃ	sva-ASrayam prAc-deSAt viBajya deSa-antaram prApayat karma tat-tAyAm
   vyavatiṣṭhate /	vyavatizWate /
   nāto 'nyathā, calanavyavahārasyānākasmikatvāt, anyanimittābhāvāt /	na-atas anyaTA, calana-vyavahArasya-anAkasmika-tvAt, anya-nimitta-aBAvAt /
   evaṃbhūtārthānvayavyatirekānuvidhānācca chāyāyāstvāśraya eva	evaMBUta-arTa-anvaya-vyatireka-anuviDAnAt-ca CAyAyAH-tu-ASrayaH eva
   tāvannopalabhyate, prāgeva tasya viprayojanasaṃprayojane ityarthaḥ /	tAvat-na-upalaByate, prAk-eva tasya viprayojana-saMprayojane iti-arTaH /
   na guṇo dravyāsamavāyāditi /	na guNaH dravya-asamavAyAt-iti /
   dravyāsamavetaṃ hyadravyasamavetaṃ vā, asamavetameva vā syāt? ubhayathāpi	dravya-asamavetam hi-adravya-samavetam vA, asamavetam-eva vA syAt? uBayaTA-api
   guṇave vyāghātaḥ, sāmānyavataḥ svatantrasya dravyatvāpatteḥ /	guNave vyAGAtaH, sAmAnyavataH svatantrasya dravya-tva-ApatteH /
   niḥsāmānyasya guṇalakṣaṇavyāghātāt /	niHsAmAnyasya guNa-lakzaNa-vyAGAtAt /
   sāmānyavānaguṇaḥ ityādi hi tat /	sAmAnyavAna-guNaH ityAdi hi tat /
   guṇakarmaṇāṃ nirguṇatayā guṇasya tatra samavāyavirodhena tatsamavāye	guNa-karmaNAm nirguNa-tayA guNasya tatra samavAya-viroDena tad-samavAye
   sāmānyarūpatvopapatterityarthaḥ /	sAmAnya-rUpa-tva-upapatteH-iti-arTaH /
   dravyāsamavāyāditi /	dravya-asamavAyAt-iti /
   hetuṃ sādhayati---na mana iti teṣāṃ viśeṣaguṇavirahāt sāmānyaguṇo 'yaṃ	hetum sADayati---na manaH iti tezAm viSeza-guNa-virahAt sAmAnya-guNaH ayam
   bhavet /	Bavet /
   tathā cāśrayasahopalambhaniyame tadapratyakṣatāyāṃ	taTA ca-ASraya-saha-upalamBa-niyame tad-apratyakza-tAyAm
   niyamādapratyakṣatvaprasaṅga ityarthaḥ //	niyamAt-apratyakza-tva-prasaFgaH iti-arTaH //
   nāpyātmaguṇa iti /	na-api-Atma-guNaH iti /
   iyaṃ hi bāhyakaraṇapratyakṣatā idantāsāmānādhikaraṇyena vyāptā /	iyam hi bAhya-karaNa-pratyakzatA idantA-sAmAna-aDikaraNyena vyAptA /
   tadātmaguṇatāmādāya nivartamānamanātmaguṇatāyāṃ viśrāmyatītyarthaḥ /	tad-Atma-guNa-tAm-AdAya nivartamAnam-anAtma-guNa-tAyAm viSrAmyati-iti-arTaH /
   nāpi nabhonabhasvatoriti /	na-api naBaH-naBasvatoH-iti /
   cākṣuṣato hi guṇānāṃ rūpidravyasamavāyena vyāptā /	cAkzuzataH hi guNAnAm rUpi-dravya-samavAyena vyAptAH /
   tacca rūpitvaṃ gaganapavanābhyāṃ vyāvartamānaṃ cākṣuṣaguṇasaṃbandhamapi	tat-ca rUpi-tvam gagana-pavanAByAm vyAvartamAnam cAkzuza-guNa-saMbanDam-api
   vyāvartayatītyarthaḥ /	vyAvartayati-iti-arTaH /
   nāpi tejasaḥ tadguṇatvaṃ hi pratītau tadavirodhitvena vyāptam, anyathā	na-api tejasaH tad-guNa-tvam hi pratItO tad-aviroDi-tvena vyAptam, anyaTA
   guṇinaḥ svaguṇapratītiparipanthitve guṇasya nityānupalambhaprasaṅgāt, sati	guNinaH sva-guNa-pratIti-paripanTi-tve guNasya nitya-anupalamBa-prasaFgAt, sati
   samavāye upalambhavirodhāt, asati samavāye cāsattvāt /	samavAye upalamBa-viroDAt, asati samavAye ca-asattvAt /
   taccāto nivartamānaṃ tadguṇatvamapi nivartayatītyarthaḥ /	tat-ca-atas nivartamAnam tad-guNa-tvam-api nivartayati-iti-arTaH /
   tatsahacaritaguṇāntarānupalabdheśceti /	tad-sahacarita-guNa-antara-anupalabDeH-ca-iti /
   ayamarthaḥ, na tāvat chāyā tejaso rūpametadrūpasya	ayam-arTaH, na tAvat CAyA tejasaH rUpam-etat-rUpasya
   śuklabhāsvaratvaniyamātṛ /	Sukla-BAsvara-tu-aniya-mAtR /
   na cendranīlaprabhārūpavadāśrayovidhānāt /	na ca-indranIla-praBA-rUpa-vat-ASrayaH-viDAnAt /
   tasmāt guṇāntaramevedaṃ tasyeti vācyam /	tasmAt guNa-antaram-eva-idam tasya-iti vAcyam /
   tathā ca cakṣuṣopalabhyamānaṃ na rūpamanantarbhāvyopalabdhuṃ śakyate,	taTA ca cakzuzA-upalaByamAnam na rUpam-anantar-BAvya-upalabDum Sakyate,
   cakṣuṣastathaiva sāmarthyākalanāditi /	cakzuzaH-taTA-eva sAmarTya-akalanAt-iti /
   ata eveti /	atas eva-iti /
   ayamarthaḥ, cakṣurmātragrāhyatayā tāvacchāyā na guṇāntaratvena	ayam-arTaH, cakzuH-mAtra-grAhya-tayA tAvat-CAyA na guNa-antara-tvena
   śaṅkāspadam, rūpaṃ tu saṃbhāvyeta /	SaFkA-Aspadam, rUpam tu saMBAvyeta /
   taccopalabhyamānaṃ pāthasa upalabhya śaityadravatvādivyāptam,	tat-ca-upalaByamAnam pATasaH upalaBya SEtya-drava-tva-Adi-vyAptam,
   atādṛśastoyatvāyogāt /	atAdRSaH-toya-tva-ayogAt /
   pṛthivyāstu upalabhyagandhādivyāptam, atathābhūtasya pṛthivītvāyogāt /	pRTivyAH-tu upalaBya-ganDa-Adi-vyAptam, ataTABUtasya pRTivI-tva-ayogAt /
   tacca śaityagandhādisāhacaryamato nivartamānamanupalambhena tadguṇatāmapi	tat-ca SEtya-ganDa-Adi-sAhacaryam-atas nivartamAnam-anupalamBena tad-guNatAm-api
   nivartayatīti /	nivartayati-iti /
   api ceti /	api ca-iti /
   ataijasadravyarūpagrahaṇe hi bāhyālokavyāptasyaiva cakṣuṣaḥ	atEjasa-dravya-rUpa-grahaNe hi bAhya-Aloka-vyAptasya-eva cakzuzaH
   sāmarthyamadhigatam /	sAmarTyam-aDigatam /
   na ca yatsahitasya yasya yatra sāmarthyaṃ tadrahitena tena tatkaraṇam /	na ca yat-sahitasya yasya yatra sAmarTyam tat-rahitena tena tad-karaNam /
   tathā sati vahnirahitamapyārdramindhanaṃ dhūmaṃ vidadhyādityarthaḥ //	taTA sati vahni-rahitam-api-Ardram-inDanam DUmam vidaDyAt-iti-arTaH //
   virodhakastvadhika ityāha---tasmistviti /	viroDakaH-tu-aDikaH iti-Aha---tasmiH-tu-iti /
   etena pārthivaṃ rūpamāropitaṃ tama iti nirastam, bāhyālokasahakārivirahe	etena pArTivam rUpam-Aropitam tamaH iti nirastam, bAhya-Aloka-sahakAri-virahe
   cakṣuṣastathārope 'pyasāmarthyāt tadeva hi dharmyantare vā samāropyeta	cakzuzaH-taTA-Arope api-asAmarTyAt tat-eva hi Darmi-antare vA samAropyeta
   pittapītimavat, tatraiva vā niyatadeśe 'vagamyamāne aniyatadeśatvamiti	pitta-pItim-avat, tatra-eva vA niyata-deSe avagamyamAne aniyata-deSa-tvam-iti
   nedīyasyaṇīyasyapi mahattvavat /	nedIyasyaNIyasi-api mahattva-vat /
   ubhayathāpi	uBayaTA-api
   tatprathamamantareṇānupapattirekatrāropyatvādanyatrāropaviṣayatvāt	tat-praTamam-antareNa-anupapattiH-ekatra-Aropya-tvAt-anyatra-Ara-upavizaya-tvAt
   tasyaiva /	tasya-eva /
   na cālokamantareṇa rūpagrahaṇe cakṣuṣaḥ sāmarthyamityuktam /	na ca-Alokam-antareNa rUpa-grahaNe cakzuzaH sAmarTyam-iti-uktam /
   na cāropyāropaviṣayāprathane bhrāntisaṃbhavaḥ /	na cAra-upya-Aropa-vizaya-apraTane BrAnti-saMBavaH /
   na cobhayoranyatarasminnavyāpṛtasyaivacakṣuṣo bhrāntijanakatvam, na	na ca-uBayoH-anyatarasmin=-avyApRtasya-eva-cakzuzaH BrAnti-janaka-tvam, na
   cāyamacākṣuṣaḥ pratyayaḥ, tadanvayavyatirekayorananyathāsiddhatvāditi /	ca-ayam-acAkzuzaH pratyayaH, tad-anvaya-vyatirekayoH-ananyaTA-sidDa-tvAt-iti /
   nāpi dravyamiti /	na-api dravyam-iti /
   na pṛthivyagandhatvāt /	na pRTivI-aganDa-tvAt /
   na jalamarasatvāt /	na jalamarasa-tvAt /
   na tejaḥ anuṣṇatvāt /	na tejaH anuzNa-tvAt /
   na vāyurasparśatvāt /	na vAyuH-asparSa-tvAt /
   nākāśamaśabdasamavāyikāraṇatvāt /	nAkASam-aSabda-samavAyi-kAraNa-tvAt /
   na dikkālo paratvāparatvāsamavāyikāraṇasaṃyogānādhāratvāt /	na dikkAlaH paratva-aparatva-asam-avAyi-kAraNa-saMyoga-anADAra-tvAt /
   nātmā buddhyanādhāratvāt /	na-AtmA budDi-anADAra-tvAt /
   na mano jñānāsamavāyikāraṇasaṃyogānādhāratvādityarthaḥ /	na manaH jQAna-asamavAyi-kAraNa-saMyoga-anADAra-tvAt-iti-arTaH /
   nāpyanyaditi /	na-api-anyat-iti /
   nedamadravyaṃ rūpidravyam, asmadādipratyakṣatvāt /	na-idam-adravyam rUpi-dravyam, asmad-Adi-pratyakza-tvAt /
   asmadādipratyakṣaṃ hīndriyeṇa vyāptam /	asmad-Adi-pratyakzam hi-indriyeNa vyAptam /
   tacca niyataviṣayasāmarthyena vyāptam /	tat-ca niyata-vizaya-sAmarTyena vyAptam /
   tacca vipakṣānnivartamānamindriyaṃ nivartayat pratyakṣatvamapi	tat-ca vipakzAn-nivartamAnam-indriyam nivartayat pratyakza-tvam-api
   nivartayatītyarthaḥ /	nivartayati-iti-arTaH /
   asparśatvāditi /	asparSa-tvAt-iti /
   nedamanekadravyaṃ dravyamasparśatvāt /	na-idam-aneka-dravyam dravyam-asparSa-tvAt /
   asparśatā hi dravyasyānārabhyatayā vyāptā /	asparSa-tA hi dravyasya-anAraBya-tayA vyAptA /
   sa ca niṣedhyādanekadravyānnivartamānā svavyāpyaṃ sparśarahitatvaṃ gṛhītvā	sa ca nizeDyAt-aneka-dravyAn-nivartamAnA sva-vyApyam sparSa-rahita-tvam gRhItvA
   tadviparīte viśrāmyatītyarthaḥ /	tad-viparIte viSrAmyati-iti-arTaH /
   anārambhakatveneti /	anAramBaka-tvena-iti /
   avidyamānamārabhbhakaṃ yasya tat tathoktam /	avidyamAnam-AraBBakam yasya tat taTA-uktam /
   tasya bhāvastatvattvamiti /	tasya BAvaH-tatvat-tvam-iti /
   etenāśrayāsiddhiḥ parihṛtā //	etena-ASraya-asidDiH parihRtAH //
   yat tūktam, manasā dravyāntarānārambhe vaiyarthyamupādhiḥ, na	yat tu-uktam, manasA dravya-antara-anAramBe vEyarTyam-upADiH, na
   punarasparśatvam, tat kiṃ vaiyarthyādanārambhakatvamunnīyate, anārambhakād	punar-asparSa-tvam, tat kim vEyarTyAt-anAramBaka-tvam-unnIyate, anAramBakAt-
   vā vaiyarthyamiti? na tāvadādyaḥ, sarvotpattimatprayojanasyāsmadādibhiḥ	vA vEyarTyam-iti? na tAvat-AdyaH, sarva-utpattimat-prayojanasya-asmad-AdiBiH
   piśitalocanairanākalanāt /	piSita-locanEH-anAkalanAt /
   tasmād yadyārambhakasvabhāvatvaṃ manasastadā kadācidārambhe prayojanamapi	tasmAt yadi-AramBaka-svaBAva-tvam manasaH-tadA kadAcid-AramBe prayojanam-api
   kiñcid bhaviṣyatīti /	kiQcid Bavizyati-iti /
   na cet tatsvabhāvakatvaṃ prayojanasahasreṇāpi nārambhaḥ /	na ced tad-svaBAvaka-tvam prayojana-sahasreNa-api na-AramBaH /
