   kāmaśūtrasya viṣayānukramaḥ	kAmaSUtrasya vizaya-anukramaH
   tasmā eva^enāṃ dadyus tathā yojayet/	tasmE eva^enAm dadyuH taTA yojayet-/
   3.5.17/.anantaraṃ ca prīty^upagraheṇa rāgeṇa tad^bāndhavān prīṇayed iti/	3.5.17/.anantaram ca prIti-^upagraheNa rAgeNa tat-^bAnDavAn prINayet iti/
   3.5.18/.gāndharveṇa vivāhena vā ceṣṭeta//	3.5.18/.gAn-DarveNa vivAhena vA cezweta//
   3.5.19/.apratipadyamānāyām antaś cāriṇīm anyāṃ kula^pramadāṃ	3.5.19/.a-pratipadyamAnAyAm antar cAriNIm anyAm kula^pramadAm
   pūrva^saṃsṛṣṭāṃ prīyamāṇāṃ ca^upagṛhya tayā saha viṣahyam avakāśam enām	pUrva^saMsRzwAm prIyamANAm ca^upagRhya tayA saha vizahyam avakASam enAm
   anya^kārya^apadeśena^ānayayet/	anya^kArya^apadeSena^Anayayet-/
   3.5.20/.tataḥ śrotriya^āgārād agnim iti samānaṃ pūrveṇa//(p.229)	3.5.20/.tataH Srotriya^AgArAt agnim iti samAnam pUrveNa//(p.229)
   3.5.21/.āsanne ca vivāhe mātaram asyās tad abhimata^doṣair anuśayaṃ	3.5.21/.a-Asanne ca vivAhe mAtaram asyAH tat aBimata^dozEH anuSayam
   grāhayet/	grAhayet-/
   3.5.22/.tatas tad^anumatena prātiveśya^abhavane niśi nāyakam ānāyya	3.5.22/.tataH tat-^anumatena prAtiveSya^aBavane niSi nAyakam AnAyya
   śrotriya^āgārād agnim iti samānaṃ pūrveṇa//(p.229)	Srotriya^AgArAt agnim iti samAnam pUrveNa//(p.229)
   3.5.23/.bhrātaram asyā vā samāna^vayasaṃ veśyāsu parastrīṣu vā prasaktam	3.5.23/.BrAtaram asyAH vA samAnaH-^vayasam veSyAsu parastrIzu vA prasaktam
   asukareṇa sāhāya^dānena priya^upagrahaiś ca sudīrgha^kālam anurañjayet/	asukareNa sAhAya^dAnena priya^upagrahEH ca su-dIrGa^kAlam anuraQjayet-/
   ante ca sva^abhiprāyaṃ grāhayet/	ante ca sva^aBiprAyam grAhayet-/
   3.5.24/.prāyeṇa hi yuvānaḥ samāna^śīla^vyasana^vayasāṃ vayasyānām arthe	3.5.24/.prAyeNa hi yuvAnaH samAnaH-^SIla^vyasana^vayasAm vayasyAnAm arTe
   jīvitam api tyajanti/ tatas tena^eva^anyakāryāt tām ānāyayet/ viṣahyaṃ	jIvitam api tyajanti/ tatas tena^eva^anya-kAryAt tAm AnAyayet/ vizahyam
   sā^avakāśam iti samānaṃ pūrveṇa//(p.230)	sA^avakASam iti samAnam pUrveNa//(p.230)
   3.5.25/.aṣṭamī^candrika^ādiṣu ca dhātreyikā madanīyam enāṃ pāyayitvā kiṃ	3.5.25/.azwamI^candrikaH-^Adizu ca DAtreyikA madanIyam enAm pAyayitvA kim
   cid ātmanaḥ kāryam uddiśya nāyakasya viṣahyaṃ deśam ānayet/ tatra^enāṃ	cit AtmanaH kAryam uddiSya nAyakasya vizahyam deSam Anayet/ tatra^enAm
   madāt saṃjñām apratipadyamānāṃ dūṣayitvā^iti samānaṃ pūrveṇa//(p.230)	madAt saMjQAm apratipadyamAnAm dUzayitvA^iti samAnam pUrveNa//(p.230)
   3.5.26/.suptāṃ ca^ekacāriṇīṃ dhātreyikāṃ vārayitvā saṃjñām	3.5.26/.suptAm ca^ekacAriNIm DAtreyikAm vArayitvA saMjQAm
   apratipadyamānāṃ dūṣayitvā^iti samānaṃ pūrveṇa//(p.230)	apratipadyamAnAm dUzayitvA^iti samAnam pUrveNa//(p.230)
   3.5.27/.grāma^antaram udyānaṃ vā gacchantīṃ viditvā susaṃbhṛta^sahāyo	3.5.27/.grAma^antaram udyAnam vA gacCantIm viditvA su-saMBRta^sahAyaH-
   nāyakas tadā rakṣiṇo vitrāsya hatvā vā kanyām apaharet/ iti	nAyakaH tadA rakziNaH vitrAsya hatvA vA kanyAm apaharet/ iti
   vivāha^yogāḥ//(p.231)	vivAha^yogAH//(p.231)
   3.5.28a/.pūrvaḥ pūrvaḥ pradhānaṃ syād vivāho dharmataḥ sthiteḥ/(p.231)	3.5.28a/.pUrvaH pUrvaH praDAnam syAt vivAhaH DarmataH sTiteH/(p.231)
   3.5.28b/.pūrva^abhāve tataḥ kāryo yo ya uttara uttaraḥ//(p.231)	3.5.28b/.pUrva^aBAve tatas kAryaH yaH yaH uttaraH uttaraH//(p.231)
   3.5.29a/.vyūḍhānāṃ hi vivāhānām anurāgaḥ phalaṃ yataḥ/(p.231)	3.5.29a/.vyUXAnAm hi vivAhAnAm anurAgaH Palam yatas-/(p.231)
   3.5.29b/.madhyamo +api hi sadyogo gāndharvas tena pūjitaḥ//(p.231)	3.5.29b/.maDyamaH +api hi sat-yogaH gAnDarvaH tena pUjitaH//(p.231)
   3.5.30a/.sukhatvād abahukleśād api ca^avaraṇād iha/(p.232)	3.5.30a/.-suKa-tvAt abahu-kleSAt api ca^avaraNAt iha/(p.232)
   3.5.30b/.anurāga^ātmakatvāc ca gāndharvaḥ pravaro mataḥ//(p.232)	3.5.30b/.anurAga-^Atmaka-tvAt ca gAnDarvaH pravaraH mataH//(p.232)
   4. bhāryādhikārikaṃ	4. BAryA-ADikArikam
   4.1.ekacāriṇīvṛttaṃ pravāsacaryā ca	4.1.ekacAriNI-vRttam pravAsa-caryA ca
   4.1.1/.bhāryā^ekacāriṇī gūḍha^viśrambhā devavat patim ānukūlyena	4.1.1/.BAryA^ekacAriNI gUXa^viSramBA deva-vat patim AnukUlyena
   varteta//(p.233)	varteta//(p.233)
   4.1.2/.tan^matena kuṭumba^cintām ātmani saṃniveśayet//(p.233)	4.1.2/.tat-^matena kuwumba^cintAm Atmani saMniveSayet//(p.233)
   4.1.3/.veśma ca śuci susaṃmṛṣṭa^sthānaṃ viracita^vividha^kusumaṃ	4.1.3/.veSma ca Suci su-saMmRzwa^sTAnam viracita^viviDa^kusumam
   ślakṣṇa^bhūmi^talaṃ hṛdya^darśanaṃ triṣavaṇa^ācarita^bali^karma	SlakzNa^BUmi^talam hRdya^darSanam trizavaNaH-^Acarita^bali^karma
   pūjita^deva^āyatanaṃ kuryāt//(p.233)	pUjita^deva^Ayatanam kuryAt-//(p.233)
   4.1.4/.na hy ato +anyad^gṛha^sthānāṃ citta^grāhakam asti^iti	4.1.4/.na hi atas +anyat-^gRha^sTAnAm citta^grAhakam asti^iti
   gonardīyaḥ//(p.233)	gonardIyaH//(p.233)
   4.1.5/.guruṣu bhṛtya^vargeṣu nāyaka^bhaginīṣu tat^patiṣu ca yathā^arhaṃ	4.1.5/.guruzu BRtya^vargezu nAyaka^BaginIzu tat-^patizu ca yaTA^arham
   pratipattiḥ//(p.234)	pratipattiH//(p.234)
   4.1.6/.paripūteṣu ca harita^śāka^vaprān ikṣustambāñ	4.1.6/.-paripUtezu ca harita^SAka^vaprAn ikzu-stambAQ
   jīraka^sarṣapa^ajamoda^śatapuṣpā^tamāla^gulmāṃś ca kārayet//(p.234)	jIraka^sarzapaH-^ajamoda^SatapuzpA^tamAla^gulmAn ca kArayet-//(p.234)
   4.1.7/.kubjaka^āmalaka^mallikā^jātī^kuraṇṭaka^navamālikā^tagara^nandyāvarta^j	4.1.7/.kubjaka^Amalaka^mallikA^jAtI^kuraNwaka^navamAlikA^tagara^nandyAvarta^j
   apā^gulmān anyāṃś ca bahu^puṣpān bālaka^uśīraka^pātālikāṃś ca	apAH-^gulmAn anyAn ca bahu^puzpAn bAlakaH-^uSIraka^pAtAlikAn ca
   vṛkṣa^vāṭikāyāṃ ca sthaṇḍilāni manojñāni kārayet//(p.234)	vRkza^vAwikAyAm ca sTaNxilAni manojQAni kArayet-//(p.234)
   4.1.8/.madhye kūpaṃ vāpīṃ dīrghikāṃ vā khānayet//(p.234)	4.1.8/.-maDye kUpam vApIm dIrGikAm vA KAnayet//(p.234)
   4.1.9/.bhikṣukī^śramaṇā^kṣapaṇā^kulaṭā^kuhakā^īkṣaṇikā^mūlakārikābhir na	4.1.9/.BikzukI^SramaNA^kzapaNA^kulawA^kuhakA^IkzaNikA^mUla-kArikABiH na
   saṃsṛjyeta//(p.234)	saMsRjyeta//(p.234)
   4.1.10/.bhojane ca rucitam idam asmai dveṣyam idaṃ pathyam idam apathyam	4.1.10/.Bojane ca rucitam idam asmE dvezyam idam paTyam idam apaTyam
   idam iti ca vindyāt//(p.235)	idam iti ca vindyAt//(p.235)
   4.1.11/.svaraṃ bahir upaśrutya bhavanam āgacchataḥ kiṃ kṛtyam iti bruvatī	4.1.11/.svaram bahis upaSrutya Bavanam AgacCataH kim kRtyam iti bruvatI
   sajjā bhavana^madhye tiṣṭhet//(p.235)	sajjAH Bavana^maDye tizWet//(p.235)
   4.1.12/.paricārikām apanudya svayaṃ pādau prakṣālayet//(p.235)	4.1.12/.-paricArikAm apanudya svayam pAdO prakzAlayet//(p.235)
   4.1.13/.nāyakasya ca na vimukta^bhūṣaṇaṃ vijane saṃdarśane	4.1.13/.nAyakasya ca na vimukta^BUzaNam vijane saMdarSane
   tiṣṭhet//(p.235)	tizWet//(p.235)
   4.1.14/.ativyayam asad^vyayaṃ vā kurvāṇāṃ rahasi bodhayet//(p.235)	4.1.14/.ati-vyayam asat-^vyayam vA kurvANAm rahasi boDayet-//(p.235)
   4.1.15/.āvāhe vivāhe yajñe gamanaṃ sakhībhiḥ saha goṣṭhīṃ	4.1.15/.AvAhe vivAhe yajQe gamanam saKIBiH saha gozWIm
   devatā^abhigamanam ity anujñātā kuryāt//(p.235)	devatA^aBigamanam iti anujQAtA kuryAt-//(p.235)
   4.1.16/.sarva^krīḍāsu ca tad^ānulomyena pravṛttiḥ//(p.235)	4.1.16/.sarva^krIxAsu ca tat-^Anulomyena pravRttiH//(p.235)
   4.1.17/.paścāt saṃveśanaṃ pūrvam utthānam anavabodhanaṃ ca	4.1.17/.paScAt saMveSanam pUrvam utTAnam anavaboDanam ca
   suptasya//(p.236)	suptasya//(p.236)
   4.1.18/.mahānasaṃ ca suguptaṃ syād darśanīyaṃ ca//(p.236)	4.1.18/.-mahAnasam ca su-guptam syAt darSanIyam ca//(p.236)
   4.1.19/.nāyaka^apacāreṣu kiṃ cit kaluṣitā na^atyarthaṃ nirvadet//(p.236)	4.1.19/.nAyaka^apacArezu kim cit kaluzitA na^atyarTam nirvadet//(p.236)
   4.1.20/.sādhikṣepa^vacanaṃ tv enaṃ mitra^jana^madhyastham ekākinaṃ vā^apy	4.1.20/.sa-aDikzepa^vacanam tu enam mitra^jana^maDyasTam ekAkinam vE-^api-
   upālabheta/ na ca mūla^kārikā syāt//(p.236)	upAlaBeta/ na ca mUla^kArikA syAt-//(p.236)
   4.1.21/.na hy ato +anyad apratyaya^kāraṇam asti^iti gonardīyaḥ//(p.236)	4.1.21/.na hi atas +anyat apratyaya^kAraNam asti^iti gonardIyaH//(p.236)
   4.1.22/.durvyāhṛtaṃ durnirīkṣitam anyato mantraṇaṃ dvāra^deśa^avasthānaṃ	4.1.22/.duH-vyAhRtam durnirIkzitam anyatas mantraNam dvAra^deSaH-^avasTAnam
   nirīkṣaṇaṃ vā niṣkuṭeṣu mantraṇaṃ vivikteṣu ciram avasthānam iti	nirIkzaNam vA nizkuwezu mantraNam viviktezu ciram avasTAnam iti
   varjayet//(p.236)	varjayet//(p.236)
   4.1.23/.sveda^danta^paṅka^durgandhāṃś ca budhyeta^iti	4.1.23/.sveda^danta^paFka^durganDAn ca buDyeta^iti
   virāga^kāraṇam//(p.237)	virAga^kAraNam-//(p.237)
   4.1.24/.bahu^bhūṣaṇaṃ vividha^kusuma^anulepanaṃ	4.1.24/.bahu^BUzaNam viviDa^kusuma^anulepanam
   vividha^aṅga^rāga^samujjvalaṃ vāsa ity ābhigāmiko veṣaḥ/	viviDa^aFga^rAga^samujjvalam vAsaH iti ABigAmikaH vezaH/
   4.1.25/.pratanu^ślakṣṇa^alpa^dukūlatā parimitam ābharaṇaṃ sugandhitā	4.1.25/.-pratanu^SlakzNa^alpa^dukUla-tA parimitam ABaraNam suganDi-tA
   na^atyulbaṇam anulepanam/ tathā śuklāny anyāni puṣpāṇi^iti vaihāriko	na^ati-ulbaNam anulepanam/ taTA SuklAni anyAni puzpANi^iti vEhArikaH-
   veṣaḥ//(p.237)	vezaH//(p.237)
   4.1.26/.nāyakasya vratam upavāsaṃ ca svayam api karaṇena^anuvarteta/	4.1.26/.nAyakasya vratam upavAsam ca svayam api karaNena^anuvarteta/
   vāritāyāṃ ca na^aham atra nirbandhanīya^iti tad^vacaso nivartanam//(p.237)	vAritAyAm ca na^aham atra nirbanDanIyaH-^iti tat-^vacasaH nivartanam-//(p.237)
   4.1.27/.mṛd^vidala^kāṣṭha^carma^loha^bhāṇḍānāṃ ca kāle	4.1.27/.-mRd-^vidala^kAzWa^carma^loha^BANxAnAm ca kAle
   samargha^grahaṇam//(p.237)	samarGa^grahaNam-//(p.237)
   4.1.28/.tathā lavaṇa^snehayoś ca gandha^dravya^kaṭuka^bhāṇḍa^oṣadhānāṃ ca	4.1.28/.taTA lavaNa^snehayoH ca ganDa^dravya^kawuka^BANxaH-^ozaDAnAm ca
   durlabhānāṃ bhavanesu pracchannaṃ nidhānam//(p.237)	durlaBAnAm Bavanesu pracCannam niDAnam-//(p.237)
   4.1.29/.mūlaka^āluka^pālaṅkī	4.1.29/.mUlaka^Aluka^pAlaFkI
   damanaka^āmrātaka^ervāruka^trapusa^vārtāka^kūṣmāṇḍa^ālābu^sūraṇa^śukanāsā	damanakaH-^AmrAtakaH-^ervAruka^trapusa^vArtAka^kUzmANxaH-^AlAbu^sUraNa^SukanAsA
   ^svayaṃguptā^tilaparṇīka^agnimantha^laśuna^palāṇḍu^prabhṛtīnāṃ	^svayaMguptA^tilaparNIkaH-^agnimanTa^laSuna^palANxu^praBRtInAm
   sarva^oṣadhīnāṃ ca bīja^grahaṇaṃ kāle vāpaś ca//(p.238)	sarve-^ozaDInAm ca bIja^grahaNam kAle vApaH ca//(p.238)
   4.1.30/.svasya ca sārasya parebhyo na^ākhyānaṃ bhartṛ^mantritasya	4.1.30/.svasya ca sArasya pareByaH na^AKyAnam BartR^mantritasya
   ca//(p.238)	ca//(p.238)
   4.1.31/.samānāś ca striyaḥ kauśalena^ujjvalatayā pākena mānena	4.1.31/.samAnAH ca striyaH kOSalena^ujjvala-tayA pAkena mAnena
   tathā^upacārair atiśayīta//(p.238)	taTA^upacArEH atiSayIta//(p.238)
   4.1.32/.sāṃvatsarikamāyaṃ saṃkhyāya tad^anurūpaṃ vyayaṃ kuryāt//(p.238)	4.1.32/.sAMvatsarika-mAyam saMKyAya tat-^anurUpam vyayam kuryAt-//(p.238)
   4.1.33/.bhojana^avaśiṣṭād gorasād ghṛta^karaṇam tathā taila^guḍayoḥ/	4.1.33/.Bojana^avaSizwAt gorasAt GRta^karaNam taTA tEla^guxayoH/
   karpāsasya ca sūtra^kartanam sūtrasya vānam/	karpAsasya ca sUtra^kartanam sUtrasya vAnam/
   śikya^rajju^pāśa^valkala^saṃgrahaṇam/ kuṭṭana^kaṇḍana^avekṣaṇam/	Sikya^rajju^pASa^valkala^saMgrahaNam/ kuwwana^kaNxana^avekzaNam/
   *ācāma[ch:āmacā]^maṇḍa^tuṣa^*kaṇa[ch:kakha]^kuṭy^aṅgārāṇām upayojanam/	*a-AcAma[-S:AmacA]^maNxa^tuzaH-^*kaNa[-S:ka-Ka]^kuwI-^aFgArANAm upayojanam/
   bhṛtya^vetana^bharaṇa^jñānam/ kṛṣi^paśupālana^cintā^vāhana^vidhāna^yogāḥ/	BRtya^vetana^BaraNa^jQAnam/ kRzi^paSupAlana^cintA^vAhana^viDAna^yogAH/
   meśa^*kukkaṭa[ch:kukkuṭa]^lāvaka^śuka^śārikā^parabhṛta^mayūra^vānara^mṛgā	meSaH-^*kukkawa[S:kukkuwa]^lAvaka^Suka^SArikA^paraBRta^mayUra^vAnara^mRgA
   ṇām avekṣaṇam/ daivasikāya^vyaya^piṇḍīkaraṇam iti ca vidyāt//(p.238)	NAm avekzaNam/ dEvasikAya^vyaya^piNxIkaraNam iti ca vidyAt//(p.238)
   4.1.34/.taj^jaghanyānāṃ ca jīrṇa^vāsasāṃ saṃcayas tair vividha^rāgaiḥ	4.1.34/.tat-^jaGanyAnAm ca jIrNa^vAsasAm saMcayaH tEH viviDa^rAgEH
   śuddhair vā kṛta^karmaṇāṃ paricārakāṇām anugraho māna^artheṣu ca dānam	SudDEH vA kRta^karmaNAm paricArakANAm anugrahaH mAna^arTezu ca dAnam
   anyatra vā^upayogaḥ//(p.239)	anyatra vA^upayogaH//(p.239)
   4.1.35/.surā^kumbhīnām āsava^kumbhīnāṃ ca sthāpanaṃ tad^upayogaḥ	4.1.35/.surA^kumBInAm Asava^kumBInAm ca sTApanam tat-^upayogaH
   kraya^vikrayāv āyavyayā^avekṣaṇam//(p.239)	kraya^vikrayO Aya-vyayAH-^avekzaNam-//(p.239)
   4.1.36/.nāyaka^mitrāṇāṃ ca srag^anulepana^tāmbūla^dānaiḥ pūjanaṃ nyāyataḥ/	4.1.36/.nAyaka^mitrANAm ca sraj-^anulepana^tAmbUla^dAnEH pUjanam nyAyataH/
   4.1.37/.śvaśrū^śvaśura^paricaryā tat^pāratantryam anuttara^vāditā	4.1.37/.SvaSrU^SvaSura^paricaryA tat-^pAratantryam anuttara^vAditA
   parimita^apracaṇḍa^ālāpakaraṇam anuccair hāsaḥ/ tat^priya^apriyeṣu	parimita^apracaNxa^AlApa-karaNam anuccEs hAsaH/ tat-^priya^apriyezu
   svapriya^apriyeṣv iva vṛttiḥ/	sva-priya^apriyezu iva vRttiH/
   4.1.38/.bhogeṣv anutsekaḥ/	4.1.38/.Bogezu anutsekaH/
   4.1.39/.parijane dākṣiṇyam/	4.1.39/.-parijane dAkziNyam/
   4.1.40/.nāyakasya^anivedya na kasmai (p.239)cid dānam/	4.1.40/.nAyakasya^anivedya na kasmE (p.239)cit dAnam/
   4.1.41/.svakarmasu bhṛtyajana^niyamanam utsaveṣu ca^asya pūjanam ity	4.1.41/.sva-karmasu BRtya-jana^niyamanam utsavezu ca^asya pUjanam iti-
   ekacāriṇī^vṛttam//(p.240)	ekacAriNI^vRttam-//(p.240)
   4.1.42/.pravāse maṅgala^mātra^ābharaṇā devatā^upavāsa^parā vārtāyāṃ sthitā	4.1.42/.-pravAse maFgala^mAtra^ABaraNAH devatA^upavAsa^parA vArtAyAm sTitA
   gṛhān avekṣeta//(p.240)	gRhAn avekzeta//(p.240)
   4.1.43/.śayyā ca guru^jana^mūle/ tad abhimatā kārya^niṣpattiḥ/	4.1.43/.SayyA ca guru^jana^mUle/ tat aBimatA kArya^nizpattiH/
   nāyaka^abhimatānāṃ ca^arthānām arjane pratisaṃskāre ca yatnaḥ//(p.240)	nAyaka^aBimatAnAm ca^arTAnAm arjane pratisaMskAre ca yatnaH//(p.240)
   4.1.44/.nitya^naimittikeṣu karmasu^ucito vyayaḥ/ tad^ārabdhānāṃ ca	4.1.44/.nitya^nEmittikezu karmasu^ucitaH vyayaH/ tat-^ArabDAnAm ca
   karmaṇāṃ samāpane matiḥ//(p.240)	karmaNAm samApane matiH//(p.240)
   4.1.45/.jñāti^kulasya^anabhigamanam anyatra vyasana^utsavābhyām/ tatra^api	4.1.45/.jQAti^kulasya^anaBigamanam anyatra vyasanaH-^utsavAByAm/ tatra^api
   nāyaka^parijana^adhiṣṭhitāyā na^atikālam avasthānam	nAyaka^parijana^aDizWitAyAH na^ati-kAlam avasTAnam
   aparivartita^pravāsa^veṣatā ca//(p.241)	aparivartita^pravAsa^vezatA ca//(p.241)
   4.1.46/.guru^jana^anujñātānāṃ karaṇam upavāsānām/ paricārakaiḥ śucibhir	4.1.46/.guru^jana^anujQAtAnAm karaNam upavAsAnAm/ paricArakEH SuciBiH-
   ājñā^adhiṣṭhitair anumatena kraya^vikraya^karmaṇā sārasya^āpūraṇaṃ	AjQA^aDizWitEH anumatena kraya^vikraya^karmaNA sArasya^ApUraNam
   tanū^karaṇaṃ ca śaktyā vyayānām//(p.241)	tanU^karaNam ca SaktyA vyayAnAm-//(p.241)
   4.1.47/.āgate ca prakṛtisthāyā eva prathamato darśanaṃ daivata^pūjanam	4.1.47/.Agate ca prakRti-sTAyAH eva praTamatas darSanam dEvata^pUjanam
   upahārāṇāṃ ca^āharaṇam iti pravāsa^caryā//(p.241) bhavataś ca^atra ślokau/	upahArANAm ca^AharaNam iti pravAsa^caryA//(p.241) BavataH ca^atra SlokO/
   4.1.48ab/.*sad[ch:tad]^vṛttam anuvarteta nāyakasya hita^eṣiṇī/(p.242)	4.1.48ab/.*-sad[S:tad]^vRttam anuvarteta nAyakasya hitaH-^eziNI/(p.242)
   4.1.48cd/.kulayoṣā punarbhūr vā veśyā vā^apy ekacāriṇī//(p.242)	4.1.48cd/.-kula-yozA punarBUH vA veSyA vE-^api ekacAriNI/-/(p.242)
   4.1.49ab/.dharmam arthaṃ tathā kāmaṃ labhante sthānam eva ca/(p.242)	4.1.49ab/.-Darmam arTam taTA kAmam laBante sTAnam eva ca/(p.242)
   4.1.49cd/.niḥsapatnaṃ ca bhartāraṃ nāryaḥ sad^vṛttam āśritāḥ//(p.242)	4.1.49cd/.-niHsapatnam ca BartAram nAryaH sat-^vRttam ASritAH//(p.242)
   4.2.1/.jāḍya^dauḥśīlya^daurbhāgyebhyaḥ prajān utpatter ābhīkṣṇyena	4.2.1/.jAxya^dOHSIlya^dOrBAgyeByaH prajAn utpatteH ABIkzNyena
   dārika^utpatter nāyaka^cāpalād vā sapatny^adhivedanam//(p.242)	dArikaH-^utpatteH nAyaka^cApalAt vA sapatnI-^aDivedanam-//(p.242)
   4.2.2/.tadā^ādita eva bhakti^śīla^vaidagdhyakhyāpanena parijihīrṣet/	4.2.2/.tadA^Aditas eva Bakti^SIla^vEdagDya-KyApanena parijihIrzet/
   prajān utpattau ca svayam eva sāpatnake codayet//(p.242)	prajAn utpattO ca svayam eva sApatnake codayet//(p.242)
   4.2.3/.adhividyamānā ca yāvac chakti^yogād ātmano +adhikatvena sthitiṃ	4.2.3/.aDi-vidyamAnA ca yAvat Sakti^yogAt AtmanaH +aDika-tvena sTitim
   kārayet//(p.243)	kArayet-//(p.243)
   4.2.4/.āgatāṃ ca^enāṃ bhaginīvad īkṣeta/ nāyaka^viditaṃ ca prādoṣikaṃ	4.2.4/.Aga-tAm ca^enAm BaginI-vat Ikzeta/ nAyaka^viditam ca prAdozikam
   vidhim atīva yatnād asyāḥ kārayet saubhāgyajaṃ vaikṛtam utsekaṃ vā^asyā	viDim atIva yatnAt asyAH kArayet sOBAgya-jam vEkRtam utsekam vE-^asyA
   na^adriyeta//(p.243)	na^adriyeta//(p.243)
   4.2.5/.bhartari pramādyantīm upekṣeta/ yatra manyeta^artham iyaṃ svayam	4.2.5/.Bartari pramAdyantIm upekzeta/ yatra manyeta^arTam iyam svayam
   api pratipatsyata iti tatra^enām ādarata eva^anuśiṣyāt//(p.243)	api pratipatsyate iti tatra^enAm Adarate eva^anuSizya-at//(p.243)
   4.2.6/.nāyaka^saṃśrave ca rahasi viśeṣān adhikān darśayet//(p.243)	4.2.6/.nAyaka^saMSrave ca rahasi viSezAn aDikAn darSayet//(p.243)
   4.2.7/.tad^apatyeṣv aviśeṣaḥ/ parijana^varge +adhika^anukampā/ mitra^varge	4.2.7/.tat-^apatyezu aviSezaH/ parijana^varge +aDika^anukampA/ mitra^varge
   prītiḥ/ ātma^jñātiṣu na^atyādaraḥ/ tajjñātiṣu ca^atisaṃbhramaḥ//(p.244)	prItiH/ Atma^jQAtizu na^ati-AdaraH/ tad-jQAtizu ca^ati-saMBramaH//(p.244)
   4.2.8/.bahvībhis tv adhivinnā avyavahitayā saṃsṛjyeta//(p.244)	4.2.8/.-bahvIBiH tu aDivinnA avyavahitayA saMsRjyeta//(p.244)
   4.2.9/.yāṃ tu nāyako +adhikāṃ cikīrṣet tāṃ bhūta^pūrva^subhagayā protsāhya	4.2.9/.yAm tu nAyakaH +aDikAm cikIrzet tAm BUta^pUrva^suBagayA protsAhya
   kalahayet//(p.244)	kalahayet//(p.244)
   4.2.10/.tataś ca^anukampeta//(p.244)	4.2.10/.tataH ca^anukampeta//(p.244)
   4.2.11/.tābhir ekatvena^adhikāṃ cikīrṣitāṃ svayam avivadamānā durjanī	4.2.11/.tABiH eka-tvena^aDikAm cikIrzitAm svayam avivadamAnA durjanI
   kuryāt//(p.244)	kuryAt-//(p.244)
   4.2.12/.nāyakena tu kalahitām enāṃ pakṣapātāv alambana^upabṛṃhitām	4.2.12/.nAyakena tu kalahitAm enAm pakzapAtO alambana^upabRMhitAm
   āśvāsayet//(p.244)	ASvAsayet//(p.244)
   4.2.13/.kalahaṃ ca vardhayet//(p.245)	4.2.13/.kalaham ca varDayet//(p.245)
   4.2.14/.mandaṃ vā kalaham upalabhya svayam eva saṃdhukṣayet//(p.245)	4.2.14/.mandam vA kalaham upalaBya svayam eva saMDukzayet-//(p.245)
   4.2.15/.yadi nāyako +asyām adya^api sānunaya iti manyeta tadā svayam eva	4.2.15/.yadi nAyakaH +asyAm adya^api sa-anunayaH iti manyeta tadA svayam eva
   saṃdhau prayateta^iti jyeṣṭhā^vṛttam//(p.245)	saMDO prayateta^iti jyezWA^vRttam-//(p.245)
   4.2.16/.kaniṣṭhā tu mātṛvat sapatnīṃ paśyet//(p.245)	4.2.16/.ka-nizWA tu mAtR-vat sapatnIm paSyet//(p.245)
   4.2.17/.jñāti^dāyam api tasyā aviditaṃ na^upayuñjīta//(p.245)	4.2.17/.jQAti^dAyam api tasyAH aviditam na^upayuQjIta//(p.245)
   4.2.18/.ātma^vṛttān tāṃs tad^adhiṣṭhitān kuryāt//(p.245)	4.2.18/.Atma^vRttAn tAn tat-^aDizWitAn kuryAt-//(p.245)
   4.2.19/.anujñātā patim adhiśayīta//(p.245)	4.2.19/.anujQAtA patim aDiSayIta//(p.245)
   4.2.20/.na vā tasyā vacanam anyasyāḥ kathayet//(p.245)	4.2.20/.na vA tasyAH vacanam anyasyAH kaTayet//(p.245)
   4.2.21/.tad^apatyāni svebhyo +adhikāni paśyet//(p.245)	4.2.21/.tat-^apatyAni sveByaH +aDikAni paSyet//(p.245)
   4.2.22/.rahasi patim adhikam upacaret//(p.246)	4.2.22/.rahasi patim aDikam upacaret//(p.246)
   4.2.23/.ātmanaś ca sapatnī^vikārajaṃ duḥkhaṃ na^ācakṣīta//(p.246)	4.2.23/.a-AtmanaH ca sapatnI^vikAra-jam duHKam na^AcakzIta-//(p.246)
   4.2.24/.patyuś ca saviśeṣakaṃ gūḍhaṃ mānaṃ lipset//(p.246)	4.2.24/.patyuH ca sa-viSezakam gUXam mAnam lipset//(p.246)
   4.2.25/.anena khalu pathya^dānena jīvāmi^iti brūyāt//(p.246)	4.2.25/.anena Kalu paTya^dAnena jIvAmi^iti brUyAt//(p.246)
   4.2.26/.tat tu ślāghayā rāgeṇa vā bahir na^acakṣīta//(p.246)	4.2.26/.tat tu SlAGayA rAgeNa vA bahis na^acakzIta-//(p.246)
   4.2.27/.bhinna^rahasyā hi bhartur avajñāṃ labhate//(p.246)	4.2.27/.Binna^rahasyAH hi BartuH avajQAm laBate//(p.246)
   4.2.28/.jyeṣṭhā^bhayāc ca nigūḍha^saṃmānā^arthinī syād iti	4.2.28/.jyezWA^BayAt ca nigUXa^saMmAnA^arTinI syAt iti
   gonardīyaḥ//(p.246)	gonardIyaH//(p.246)
   4.2.29/.durbhagām anapatyāṃ ca jyeṣṭhām anukampeta nāyakena	4.2.29/.duH-BagAm anapatyAm ca jyezWAm anukampeta nAyakena
   ca^anukampayet//(p.246)	ca^anukampayet//(p.246)
