   akaṇṭakā vasumatī MvyK_8a	akaNwakA vasumatI MvyK_8a
   prathamaḥ sannipāto 'sya MvyC_78a	praTamaH sannipAtaH asya MvyS_78a
   prathamaḥ sannipāto 'sya MvyK_75a	praTamaH sannipAtaH asya MvyK_75a
   pradāsyati dvijātibhyo MvyG_49c	pradAsyati dvijAtiByaH Mu-yG_49c
   pradāsyati dvijātibhyo MvyC_52c	pradAsyati dvijAtiByaH MvyS_52c
   prabhayā pūrayiṣyati MvyG_33d	praBayA pUrayizyati Mu-yu-_33d
   prabhayā pūrayiṣyati MvyC_34d	praBayA pUrayizyati MvyS_34d
   prabhayā pūrayiṣyati MvyK_34f	praBayA pUrayizyati MvyK_34f
   praviśantaṃ purottamam MvyG_86d	praviSantam pura-uttamam Mu-yu-_86d
   praviśantaṃ purottamam MvyG_88d	praviSantam pura-uttamam Mu-yu-_88d
   praviśantaṃ purottamam MvyC_85d	praviSantam pura-uttamam MvyS_85d
   praviśantaṃ purottamam MvyK_82d	praviSantam pura-uttamam MvyK_82d
   praviṣṭamātre maitreye MvyG_41c	pravizwa-mAtre mEtreye Mu-yG_41c
   praviṣṭamātre maitreye MvyC_43c	pravizwa-mAtre mEtreye MvyS_43c
   praviṣṭamātre maitreye MvyK_40c	pravizwa-mAtre mEtreye MvyK_40c
   pravekṣate ketumatīṃ MvyK_88c	pravekzate ketumatIm MvyK_88c
   pravekṣyate ca maitreyo MvyG_94c	pravekzyate ca mEtreyaH Mu-yG_94c
   pravrajiṣyati dharmātmā MvyC_66c	pravrajizyati Darma-AtmA MvyS_66c
   pravrajiṣyati dharmātmā MvyK_63c	pravrajizyati Darma-AtmA MvyK_63c
   pravrajiṣyati śuddhātmā MvyG_64c	pravrajizyati SudDa-AtmA Mu-yG_64c
   pravrajyām agrapudgalaḥ MvyG_53d	pravrajyAm agra-pudgalaH Mu-yu-_53d
   pravrajyām agrapudgalaḥ MvyC_56d	pravrajyAm agra-pudgalaH MvyS_56d
   pravrajyām upayāsyati MvyG_62d	pravrajyAm upayAsyati Mu-yu-_62d
   pravrajyām upayāsyati MvyC_64d	pravrajyAm upayAsyati MvyS_64d
   pravrajyām upayāsyati MvyC_65d	pravrajyAm upayAsyati MvyS_65d
   pravrajyām upayāsyati MvyC_67f	pravrajyAm upayAsyati MvyS_67f
   pravrajyām upayāsyati MvyK_61d	pravrajyAm upayAsyati MvyK_61d
   pravrajyām upayāsyati MvyK_62d	pravrajyAm upayAsyati MvyK_62d
   pravrajyām upayāsyati MvyK_64f	pravrajyAm upayAsyati MvyK_64f
   pravrajyām upayāsyanti MvyG_66c	pravrajyAm upayAsyanti Mu-yG_66c
   pravrajyām upayāsyanti MvyC_68c	pravrajyAm upayAsyanti MvyS_68c
   pravrajyām upayāsyanti MvyK_65c	pravrajyAm upayAsyanti MvyK_65c
   pravrajyām niṣkramiṣyati MvyG_63d	pravrajyAm nizkramizyati Mu-yu-_63d
   pravrajyām rocayiṣyati MvyG_65f	pravrajyAm rocayizyati Mu-yu-_65f
   pravrajyārtham agrapudgalaḥ MvyK_53d	pravrajyA-arTam agra-pudgalaH MvyK_53d
   pravrajyāṃ niṣkramiṣyati MvyG_56b	pravrajyAm nizkramizyati Mu-yG_56b
   pravrajyāṃ niṣkramiṣyati MvyG_61d	pravrajyAm nizkramizyati Mu-yu-_61d
   pravrajyāṃ rocayiṣyati MvyG_51d	pravrajyAm rocayizyati Mu-yu-_51d
   pravrajyāṃ rocayiṣyati MvyC_54d	pravrajyAm rocayizyati MvyS_54d
   pravrajyāṃ rocayiṣyati MvyC_63d	pravrajyAm rocayizyati MvyS_63d
   pravrajyāṃ rocayiṣyati MvyK_51d	pravrajyAm rocayizyati MvyK_51d
   pravrajyāṃ rocayiṣyati MvyK_60d	pravrajyAm rocayizyati MvyK_60d
   prasannamanaso narāḥ MvyG_90d	prasanna-manasaH narAH Mu-yu-_90d
   prasannamanaso narāḥ MvyC_87d	prasanna-manasaH narAH MvyS_87d
   prasannamanaso narāḥ MvyK_84d	prasanna-manasaH narAH MvyK_84d
   prasannān janatāṃ dṛṣṭvā MvyC_61a	prasannAn janatAm dRzwvA MvyS_61a
   prasannāṃ janatāṃ dṛṣṭvā MvyG_58a	prasannAm janatAm dRzwvA Mu-yu-_58a
   prasannāṃ janatāṃ dṛṣṭvā MvyG_77a	prasannAm janatAm dRzwvA Mu-yu-_77a
   prasannāṃ janatāṃ dṛṣṭvā MvyK_58a	prasannAm janatAm dRzwvA MvyK_58a
   prasādayati cittāni MvyG_104a	prasAdayati cittAni Mu-yu-_104a
   prasādayati cittāni MvyG_105c	prasAdayati cittAni Mu-yG_105c
   prasādayitvā cittāni MvyC_100a	prasAdayitvA cittAni MvyS_100a
   prasādayiṣyatha cittāni MvyK_98a	prasAdayizyaTa cittAni MvyK_98a
   prahīṇabhavabandhanaiḥ MvyG_96d	prahINa-Bava-banDanEH Mu-yu-_96d
   prahīṇabhavabandhanaiḥ MvyC_92d	prahINa-Bava-banDanEH MvyS_92d
   prahīṇabhavabandhanaiḥ MvyK_90d	prahINa-Bava-banDanEH MvyK_90d
   prahṛṣṭaḥ prāñjalirbhūtvā MvyG_91c	prahRzwaH prAQjaliH-BUtvA Mu-yG_91c
   prahṛṣṭaḥ prāñjaliṃ kṛtvā MvyC_88c	prahRzwaH prAQjalim kRtvA MvyS_88c
   prahṛṣṭaḥ prāñjaliṃ kṛtvā MvyK_85c	prahRzwaH prAQjalim kRtvA MvyK_85c
   prāṇinaṃ sa vināyakaḥ MvyG_102b	prANinam sa vinAyakaH Mu-yG_102b
   prāṇinaṃ sa vināyakaḥ MvyC_98b	prANinam sa vinAyakaH MvyS_98b
   prāṇinaṃ sa vināyakaḥ MvyK_96b	prANinam sa vinAyakaH MvyK_96b
   prāṇinaḥ tatra samaye MvyG_66a	prANinaH tatra samaye Mu-yu-_66a
   prāṇināṃ tatra samaye MvyC_68a	prANinAm tatra samaye MvyS_68a
   prāṇināṃ tatra samaye MvyK_65a	prANinAm tatra samaye MvyK_65a
   prāṇināṃ śubhakarmiṇam MvyK_13d	prANinAm SuBa-karmiNam MvyK_13d
   prātihārakapakṣaṃ ca MvyC_76c	prAtihAraka-pakzam ca MvyS_76c
   prātihārakapakṣaṃ ca MvyK_73c	prAtihAraka-pakzam ca MvyK_73c
   prātihārikapakṣaṃ cāpy MvyG_74e	prAtihArika-pakzam ca-api Mu-yu-_74e
   prātihāryatrayeṇāsau MvyG_78a	prAtihArya-trayeNa-asO Mu-yu-_78a
   prātihāryatrayeṇāsau MvyC_77a	prAtihArya-trayeNa-asO MvyS_77a
   prātihāryatrayeṇāsau MvyK_74a	prAtihArya-trayeNa-asO MvyK_74a
   prāpsyati nātra saṃśayaḥ MvyC_58d	prApsyati na-atra saMSayaH MvyS_58d
   prāpsyate nātra saṃśayaḥ MvyK_55d	prApsyate na-atra saMSayaH MvyK_55d
   prāpsyanti padam uttamam MvyG_77d	prApsyanti padam uttamam Mu-yG_77d
   prītisaukhyasamanvitāḥ MvyG_100d	prIti-sOKya-samanvitAH Mu-yu-_100d
   prītisaukhyasamanvitāḥ MvyC_96d	prIti-sOKya-samanvitAH MvyS_96d
   prītisaukhyasamanvitāḥ MvyK_94d	prIti-sOKya-samanvitAH MvyK_94d
   prīto 'tha taṃ sahasrākṣo MvyG_34a	prItaH aTa tam sahasrAkzaH Mu-yu-_34a
   bahubhiḥ parivāritaḥ MvyG_94b	bahuBiH parivAritaH Mu-yG_94b
   bahubhiḥ parivāritaḥ MvyK_88b	bahuBiH parivAritaH MvyK_88b
   bahuśrutaś caturvedas MvyC_27c	bahu-SrutaH catur-vedaH MvyS_27c
   bahuśrutaś caturvedī MvyK_27c	bahu-SrutaH catur-vedI MvyK_27c
   buddhaṃ dharmaṃ ca saṅghaṃ ca MvyG_75c	budDam Darmam ca saFGam ca Mu-yu-_75c
   buddhaṃ dharmaṃ ca saṅghaṃ ca MvyC_73a	budDam Darmam ca saFGam ca MvyS_73a
   buddhaṃ dharmaṃ ca saṃghaṃ ca MvyK_70a	budDam Darmam ca saMGam ca MvyK_70a
   buddho vā dvīpadottamaḥ MvyG_43d	budDaH vA dvIpada-uttamaH Mu-yG_43d
   buddho vā dvīpadottamaḥ MvyC_46d	budDaH vA dvIpada-uttamaH MvyS_46d
   buddho vā dvīpadottamaḥ MvyK_43d	budDaH vA dvIpada-uttamaH MvyK_43d
   bodhivṛkṣo bhaviṣyati MvyG_54b	boDivRkzaH Bavizyati Mu-yG_54b
   bodhivṛkṣo bhaviṣyati MvyC_57b	boDivRkzaH Bavizyati MvyS_57b
   bodhivṛkṣo bhaviṣyati MvyK_54b	boDivRkzaH Bavizyati MvyK_54b
   brahmaghoṣam udīrayan MvyC_91d	brahmaGozam udIrayan MvyS_91d
   brahmaghoṣam udīrayan MvyK_89d	brahmaGozam udIrayan MvyK_89d
   brahmacaryaṃ cariṣyanti MvyG_98e	brahmacaryam carizyanti Mu-yG_98e
   brahmacaryaṃ cariṣyanti MvyG_99e	brahmacaryam carizyanti Mu-yG_99e
   brahmacaryaṃ cariṣyanti MvyG_100e	brahmacaryam carizyanti Mu-yG_100e
   brahmacaryaṃ cariṣyanti MvyC_94e	brahmacaryam carizyanti MvyS_94e
   brahmacaryaṃ cariṣyanti MvyC_95e	brahmacaryam carizyanti MvyS_95e
   brahmacaryaṃ cariṣyanti MvyC_96e	brahmacaryam carizyanti MvyS_96e
   brahmacaryaṃ cariṣyanti MvyK_92e	brahmacaryam carizyanti MvyK_92e
   brahmacaryaṃ cariṣyanti MvyK_93e	brahmacaryam carizyanti MvyK_93e
   brahmacaryaṃ cariṣyanti MvyK_94e	brahmacaryam carizyanti MvyK_94e
   brahmadevagaṇaiḥ sārdhaṃ MvyC_83c	brahma-deva-gaNEH sArDam MvyS_83c
   brahma devagaṇaiḥ sārdhaṃ MvyK_80c	brahma deva-gaNEH sArDam MvyK_80c
   brahmasvaro mahāghoṣo MvyG_45a	brahma-svaraH mahA-GozaH Mu-yu-_45a
   brahmasvaro mahāghoṣo MvyC_48a	brahma-svaraH mahA-GozaH MvyS_48a
   brahmasvaro mahāvego MvyK_45a	brahma-svaraH mahA-vegaH MvyK_45a
   brahmaṃ ghoṣam udīrayan MvyG_95d	brahmam Gozam udIrayan Mu-yu-_95d
   brahmā cāpi girāsphuṭam MvyG_95b	brahmA ca-api girA-sPuwam Mu-yG_95b
   brahmā caiva puraskṛtaḥ MvyC_91b	brahmA ca-eva puraskRtaH MvyS_91b
   brahmā caiva puraskṛtaḥ MvyK_89b	brahmA ca-eva puraskRtaH MvyK_89b
   brahmā devagaṇaiḥ sārdhaṃ MvyG_84c	brahmA deva-gaNEH sArDam Mu-yu-_84c
   brāhmaṇaparivāreṇa MvyG_95a	brAhmaNa-parivAreNa Mu-yu-_95a
   brāhmaṇaparivāreṇa MvyC_91a	brAhmaNa-parivAreNa MvyS_91a
   brāhmaṇaparivāreṇa MvyK_89a	brAhmaNa-parivAreNa MvyK_89a
   brāhmaṇas tasya rājñaś ca MvyC_27a	brAhmaNaH tasya rAjQaH ca MvyS_27a
   brāhmaṇas tasya rājño 'tha MvyK_27a	brAhmaNaH tasya rAjQaH aTa MvyK_27a
   brāhmaṇānāṃ sahasrāṇi MvyG_50c	brAhmaNAnAm sahasrANi Mu-yu-_50c
   brāhmaṇānāṃ sahasrāṇi MvyC_53c	brAhmaNAnAm sahasrANi MvyS_53c
   brāhmaṇānāṃ sahasrāṇi MvyK_50c	brAhmaNAnAm sahasrANi MvyK_50c
   brāhmaṇebhyaḥ pradāsyati MvyG_49f	brAhmaNeByaH pradAsyati Mu-yu-_49f
   brāhmaṇebhyaḥ pradāsyati MvyC_52f	brAhmaNeByaH pradAsyati MvyS_52f
   brāhmaṇebhyaḥ pradāsyati MvyK_49d	brAhmaNeByaH pradAsyati MvyK_49d
   bhagavann agrapudgala MvyG_92d	Bagavan agra-pudgalaH Mu-yu-_92d
   bhagavann agrapudgala MvyC_89d	Bagavan agra-pudgala MvyS_89d
   bhagavann agrapudgala MvyK_86d	Bagavan agra-pudgala MvyK_86d
   bhaviṣyati ca tat puram MvyK_20d	Bavizyati ca tat puram MvyK_20d
   bhaviṣyati tadā rājā MvyK_21a	Bavizyati tadA rAjA MvyK_21a
   bhaviṣyati manoramam MvyK_14d	Bavizyati manoramam MvyK_14d
   bhaviṣyati maharddhikam MvyG_105d	Bavizyati mahardDikam Mu-yu-_105d
   bhaviṣyati mahāvīraś MvyC_26c	Bavizyati mahA-vIraH MvyS_26c
   bhaviṣyati mahāvīraḥ MvyK_26c	Bavizyati mahA-vIraH MvyK_26c
   bhaviṣyanti tadā tasya MvyK_24c	Bavizyanti tadA tasya MvyK_24c
   bhaviṣyanti śubhā śabdā MvyK_18c	Bavizyanti SuBA SabdAH MvyK_18c
   macchāsanam upāgatāḥ MvyG_75f	mad-SAsanam upAgatAH Mu-yG_75f
   madhunāś ca sugandhi ca MvyK_9b	maDunAH ca suganDi ca MvyK_9b
   manoramāṃ ca śivikāṃ MvyG_40a	manoramAm ca SivikAm Mu-yu-_40a
   manoramāṃ ca śivikāṃ MvyC_42a	manoramAm ca SivikAm MvyS_42a
   manoramāṃ ca śivikāṃ MvyK_39a	manoramAm ca SivikAm MvyK_39a
   mantrān adhyāpayiṣyati MvyG_47d	mantrAn aDyApayizyati Mu-yu-_47d
   mantrān adhyāpayiṣyati MvyK_47d	mantrAn aDyApayizyati MvyK_47d
   maharddhiko devaputras MvyG_93a	mahardDikaH deva-putraH Mu-yu-_93a
   maharddhiko devaputras MvyC_90a	mahardDikaH deva-putraH MvyS_90a
   maharddhiko devaputras MvyK_87a	mahardDikaH deva-putraH MvyK_87a
   mahānāgabalāc citāḥ MvyK_11d	mahA-nAga-balAt citAH MvyK_11d
   mahānidhānāś catvāro MvyK_24a	mahAniDAnAH catvAraH MvyK_24a
   mahābalacakravartī MvyK_21c	mahA-bala-cakravartI MvyK_21c
   maṃtrān adhyāpayiṣyati MvyC_50d	maMtrAn aDyApayizyati MvyS_50d
   māṇavānāṃ ca maitreyo MvyC_50c	mANavAnAm ca mEtreyaH MvyS_50c
   māṇavānāṃ sa maitreyo MvyG_47c	mANavAnAm sa mEtreyaH Mu-yG_47c
   māṇavānāṃ sa maitreyo MvyK_47c	mANavAnAm sa mEtreyaH MvyK_47c
   mātur haste pradāsyati MvyC_41f	mAtuH haste pradAsyati MvyS_41f
   mātur haste pradāsyati MvyK_38f	mAtuH haste pradAsyati MvyK_38f
   mātre samupaneṣyati MvyG_39d	mAtre samupanezyati Mu-yu-_39d
   mānavānāṃ puraskṛtaḥ MvyG_63b	mAnavAnAm puraskRtaH Mu-yG_63b
   mānavānāṃ puraskṛtaḥ MvyC_65b	mAnavAnAm puraskRtaH MvyS_65b
   mānavānāṃ puraskṛtaḥ MvyK_62b	mAnavAnAm puraskRtaH MvyK_62b
   māndārakāṇi puṣpāni MvyG_83c	mAndArakANi puzpAni Mu-yG_83c
   māndāravāṇi puṣpāni MvyC_82c	mAndAravANi puzpAni MvyS_82c
   māndāravāṇi puṣpāni MvyK_79c	mAndAravANi puzpAni MvyK_79c
   māhātmyam abhikāṅkṣatāḥ MvyG_108b	mAhAtmyam aBikAFkzatAH Mu-yG_108b
   māhātmyam abhikāṅkṣiṇā MvyC_102b	mAhAtmyam aBikAFkziNA MvyS_102b
   māhātmyam abhikāṃkṣatā MvyK_100b	mAhAtmyam aBikAMkzatA MvyK_100b
   mithilāyām ca pāṇḍukaḥ MvyK_25b	miTilAyAm ca pANxukaH MvyK_25b
   muktānāṃ kleśabandhanāt MvyC_79d	muktAnAm kleSa-banDanAt MvyS_79d
   muktānāṃ śāntacetasām MvyC_80d	muktAnAm SAnta-cetasAm MvyS_80d
   muktānāṃ śāntacetasām MvyK_77d	muktAnAm SAnta-cetasAm MvyK_77d
   muñca muñca sahasrākṣa MvyC_36c	muQca muQca sahasrAkzaH MvyS_36c
   muniśreṣṭhena tāyinā MvyC_70b	muni-SrezWena tAyinA MvyS_70b
   muniśreṣṭhena tāyinā MvyK_67b	muni-SrezWena tAyinA MvyK_67b
   mṛdutūlapicūpamā MvyC_86b	mRdu-tUla-picUpamA MvyS_86b
   mṛdutūlapicūpamā MvyK_8d	mRdu-tUla-picUpamA MvyK_8d
   mṛdutūlapicopamam MvyG_89b	mRdu-tUla-pica-upamam Mu-yG_89b
   mṛdus tūlapicūpamā MvyK_83b	mRduH tUla-picUpamA MvyK_83b
   maitreya iti nāmnā 'sau MvyK_2c	mEtreyaH iti nAmnA asO MvyK_2c
   maitreyajananī tataḥ MvyG_31d	mEtreya-jananI tatas Mu-yu-_31d
   maitreyasya pitā caiva MvyC_65c	mEtreyasya pitA ca-eva MvyS_65c
   maitreyasya pitā caiva MvyK_62c	mEtreyasya pitA ca-eva MvyK_62c
   maitreyasya pitā tatra MvyG_63c	mEtreyasya pitA tatra Mu-yu-_63c
   maitreyasya mahāmuneḥ MvyK_97b	mEtreyasya mahA-muneH MvyK_97b
   maitreyasya śṛṇohi me MvyK_4d	mEtreyasya SRNohi me MvyK_4d
   maitreyasyānuśasane MvyG_64d	mEtreyasya-anuSasane Mu-yu-_64d
   maitreyasyānuśasane MvyG_98f	mEtreyasya-anuSasane Mu-yu-_98f
   maitreyasyānuśasane MvyG_100f	mEtreyasya-anuSasane Mu-yu-_100f
   maitreyasyānuśasane MvyC_94f	mEtreyasya-anuSasane MvyS_94f
   maitreyasyānuśasane MvyC_95f	mEtreyasya-anuSasane MvyS_95f
   maitreyasyānuśasane MvyC_96f	mEtreyasya-anuSasane MvyS_96f
   maitreyasyānuśasane MvyK_92f	mEtreyasya-anuSasane MvyK_92f
   maitreyasyānuśasane MvyK_93f	mEtreyasya-anuSasane MvyK_93f
   maitreyasyānuśasane MvyK_94f	mEtreyasya-anuSasane MvyK_94f
   maitreyasyānuśāsane MvyG_66d	mEtreyasya-anuSAsane Mu-yu-_66d
   maitreyasyānuśāsane MvyC_68d	mEtreyasya-anuSAsane MvyS_68d
   maitreyasyānuśāsane MvyK_65d	mEtreyasya-anuSAsane MvyK_65d
   maitreyaṃ janayiṣyati MvyG_32d	mEtreyam janayizyati Mu-yu-_32d
   maitreyaṃ janayiṣyati MvyC_32d	mEtreyam janayizyati MvyS_32d
   maitreyaṃ janayiṣyati MvyK_32d	mEtreyam janayizyati MvyK_32d
   maitreyaṃ dvipadottamam MvyG_34d	mEtreyam dvipada-uttamam Mu-yu-_34d
   maitreyaṃ dvipadottamam MvyG_106b	mEtreyam dvipada-uttamam Mu-yG_106b
   maitreyaṃ stoṣyate jinam MvyG_91d	mEtreyam stozyate jinam Mu-yu-_91d
   maitreyaḥ puruṣottamaḥ MvyG_68b	mEtreyaH puruzottamaH Mu-yG_68b
   maitreyāḥ puruṣottamaḥ MvyG_44b	mEtreyAH puruzottamaH Mu-yG_44b
   maitreye dvipadottame MvyG_103b	mEtreye dvipada-uttame Mu-yG_103b
   maitreyo dvipadottamaḥ MvyG_101b	mEtreyaH dvipada-uttamaH Mu-yG_101b
   maitreyo dvipadottamaḥ MvyC_58b	mEtreyaH dvipada-uttamaH MvyS_58b
   maitreyo dvipadottamaḥ MvyC_69b	mEtreyaH dvipada-uttamaH MvyS_69b
   maitreyo dvipadottamaḥ MvyC_97b	mEtreyaH dvipada-uttamaH MvyS_97b
   maitreyo dvipadottamaḥ MvyK_55b	mEtreyaH dvipada-uttamaH MvyK_55b
   maitreyo dvipadottamaḥ MvyK_66b	mEtreyaH dvipada-uttamaH MvyK_66b
   maitreyo dvipadottamaḥ MvyK_95b	mEtreyaH dvipada-uttamaH MvyK_95b
   maitreyo puruṣottamaḥ MvyG_55b	mEtreyaH puruzottamaH Mu-yG_55b
   maitreyo lokanandanaḥ MvyK_88d	mEtreyaH lokanandanaH MvyK_88d
   maitreyo hy agrapudgalaḥ MvyC_30b	mEtreyaH hi agra-pudgalaH MvyS_30b
   maitreyo hy agrapudgalaḥ MvyC_47b	mEtreyaH hi agra-pudgalaH MvyS_47b
   maitreyo hy agrapudgalaḥ MvyK_30b	mEtreyaH hi agra-pudgalaH MvyK_30b
   maitreyo hy agrapudgalaḥ MvyK_44b	mEtreyaH hi agra-pudgalaH MvyK_44b
   yajñaṃ kṛtvā purassaram MvyC_52d	yajQam kRtvA purassaram MvyS_52d
   yajñaṃ kṛtvā puraḥsaram MvyG_49d	yajQam kRtvA puraHsaram Mu-yu-_49d
   yatrāhaṃ pravrajitveha MvyC_55a	yatra-aham pravrajitvA-iha MvyS_55a
   yatv ahaṃ pravrajitveha MvyG_52a	yatu aham pravrajitvA-iha Mu-yu-_52a
   yatv ahaṃ pravrajitveha MvyK_52a	yatu aham pravrajitvA-iha MvyK_52a
   yathā mantreṣu dṛśyate MvyG_43b	yaTA mantrezu dRSyate Mu-yG_43b
   yathā mantreṣu dṛśyate MvyC_46b	yaTA mantrezu dRSyate MvyS_46b
   yathā mantreṣu dṛśyate MvyK_43b	yaTA mantrezu dRSyate MvyK_43b
   yasyām eva ca rātrau sa MvyG_56a	yasyAm eva ca rAtrO saH Mu-yu-_56a
   yūpam ucchrāpayiṣyati MvyG_48b	yUpam ucCrApayizyati Mu-yG_48b
   yūpam ucchrāpayiṣyati MvyC_51b	yUpam ucCrApayizyati MvyS_51b
   yūpam ucchrāpayiṣyati MvyK_48b	yUpam ucCrApayizyati MvyK_48b
   yūpasya tasya maitreyo MvyG_51a	yUpasya tasya mEtreyaH Mu-yu-_51a
   ye ca tasmin pure martyāḥ MvyK_19a	ye ca tasmin pure martyAH MvyK_19a
   ye tu ketumatīṃ ke cid MvyG_88a	ye tu ketumatIm ke cit Mu-yu-_88a
   ye maitreyānuśasane MvyG_99f	ye mEtreya-anuSasane Mu-yG_99f
   yojanadvādaśāyāmaṃ MvyK_14a	yojana-dvAdaSa-AyAmam MvyK_14a
   yo 'sāv anāgato buddho MvyK_2a	yaH asO anAgataH budDaH MvyK_2a
   ratna iṣṭakasaṃcitāḥ MvyK_16b	ratnaH izwaka-saMcitAH MvyK_16b
   ramyāṃ ketumatīpurīm MvyC_82b	ramyAm ketumatI-purIm MvyS_82b
   ramyāṃ ketumatīpurīm MvyK_79b	ramyAm ketumatI-purIm MvyK_79b
   ramyāṃ ketumatīṃ purīm MvyG_83b	ramyAm ketumatIm purIm Mu-yG_83b
   rājadhānī bhaviṣyati MvyK_13b	rAjaDAnI Bavizyati MvyK_13b
   rājñaḥ śaṃkhasya bhūpateḥ MvyK_24d	rAjQaH SaMKasya BUpateH MvyK_24d
   ropitā mokṣamārgaṇe MvyC_70e	ropitA mokza-mArgaNe MvyS_70e
   ropitā mokṣamārgeṇa MvyG_69e	ropitA mokza-mArgeNa Mu-yu-_69e
   lokanātho vināyakaḥ MvyG_94d	lokanATaH vinAyakaH Mu-yu-_94d
   lokasya anukampārthaṃ MvyK_1c	lokasya anukampA-arTam MvyK_1c
   varṇavanto mahāśakhyā MvyK_11c	varNavantaH mahA-SaKyAH MvyK_11c
   vahiṣyate ca devavat MvyC_42d	vahizyate ca deva-vat MvyS_42d
   vahiṣyanti ca devatā MvyG_40d	vahizyanti ca devatAH Mu-yu-_40d
   vahiṣyanti ca devatāḥ MvyK_39d	vahizyanti ca devatAH MvyK_39d
   vācaṃ pravyāhariṣyati MvyG_36b	vAcam pravyAharizyati MvyG_36b
   vācaṃ pravyāhariṣyati MvyC_38b	vAcam pravyAharizyati MvyS_38b
   vācaṃ pravyāhariṣyati MvyK_35d	vAcam pravyAharizyati MvyK_35d
   vāteneritatālebhyas MvyK_18a	vAtena-Irita-tAleByaH MvyK_18a
   vādyamāneṣu tatpuram MvyG_41b	vAdyamAnezu tat-puram Mu-yG_41b
   vādyamāneṣu tatpuram MvyC_43b	vAdyamAnezu tat-puram MvyS_43b
   vādyamāneṣu tatpuram MvyK_40b	vAdyamAnezu tat-puram MvyK_40b
   vāsayiṣyanti mānuṣāḥ MvyG_88b	vAsayizyanti mAnuzAH Mu-yG_88b
   vikariṣyanti tatkṣaṇāt MvyC_53d	vikarizyanti tad-kzaNAt MvyS_53d
   vikariṣyanti tatkṣaṇāt MvyK_50d	vikarizyanti tad-kzaNAt MvyK_50d
   vikariṣyanti te pathi MvyK_83d	vikarizyanti te paTi MvyK_83d
   vikiriṣyanti tatkṣaṇāt MvyG_50d	vikirizyanti tad-kzaNAt Mu-yG_50d
   vikiriṣyanti te tadā MvyG_89d	vikirizyanti te tadA Mu-yu-_89d
   vikṣiptā mama śāsane MvyG_69f	vikziptAH mama SAsane Mu-yu-_69f
   vikṣiptā mama śāsane MvyC_70f	vikziptAH mama SAsane MvyS_70f
   vicitraṃ glānabhaiṣajyaṃ hy MvyC_75c	vicitram glAna-BEzajyam hi MvyS_75c
   vicitraṃ glānabhaiṣajyaṃ hy MvyK_72c	vicitram glAna-BEzajyam hi MvyK_72c
   vicitraṃ ca tato mālyaṃ MvyK_83c	vicitram ca tatas mAlyam MvyK_83c
   vicitraṃ ca śubhaṃ mālyaṃ MvyG_89c	vicitram ca SuBam mAlyam Mu-yu-_89c
   vicitraṃ ca śrutaṃ mālyaṃ MvyC_86c	vicitram ca Srutam mAlyam MvyS_86c
   vidhūtāni samantataḥ MvyK_54f	viDUtAni samantataH MvyK_54f
   vinayitvā ca saddharmaṃ MvyC_98c	vinayitvA ca sadDarmam MvyS_98c
   vinayitvā ca saddharme MvyK_96c	vinayitvA ca sadDarme MvyK_96c
   vinīya dharmakāyena MvyG_102c	vinIya Darma-kAyena Mu-yG_102c
   vinīya suramānuṣān MvyG_82b	vinIya sura-mAnuzAn Mu-yG_82b
   vinīya suramānuṣān MvyC_81b	vinIya sura-mAnuzAn MvyS_81b
   vinīya suramānuṣān MvyK_78b	vinIya sura-mAnuzAn MvyK_78b
   vimocayeyaṃ janatāṃ MvyG_52c	vimocayeyam janatAm Mu-yu-_52c
   vimocayeyaṃ janatāṃ MvyC_55c	vimocayeyam janatAm MvyS_55c
   vimocayeyaṃ janatāṃ MvyK_52c	vimocayeyam janatAm MvyK_52c
   vividhaṃ glānabhaiṣajyam MvyG_71c	viviDam glAna-BEzajyam Mu-yu-_71c
   vivṛtāni samantataḥ MvyC_57f	vivRtAni samantataH MvyS_57f
   viśākhā nāma viśrutā MvyG_65b	viSAKA nAma viSrutA Mu-yG_65b
   viśākhā nāma viśrutā MvyC_67b	viSAKA nAma viSrutA MvyS_67b
   viśākhā nāma viśrutā MvyK_64b	viSAKA nAma viSrutA MvyK_64b
   viśālacakṣuḥ pīnāṅgaḥ MvyK_45c	viSAla-cakzuH pIna-aFgaH MvyK_45c
   viśālavakṣāḥ pīnāṅgaḥ MvyC_48c	viSAla-vakzAH pIna-aFgaH MvyS_48c
   viśālavakṣāḥ pīnāṅsaḥ MvyG_45c	viSAla-vakzAH pIna-aFsaH Mu-yG_45c
   visṛtaś ca tato 'rddhena MvyG_46c	visRtaH ca tatas ardDena Mu-yu-_46c
   vistaran tasya buddhasya MvyK_4c	vistaran tasya budDasya MvyK_4c
   vistariṣyanti te pathi MvyC_86d	vistarizyanti te paTi MvyS_86d
   vistareṇa samantataḥ MvyK_6d	vistareNa samantataH MvyK_6d
   vistāraṃ viṃśatir hastā MvyK_46c	vistAram viMSatiH hastAH MvyK_46c
   vistāraṃ viṃśahastāni MvyC_49c	vistAram viMSa-hastAni MvyS_49c
   vītaśokā mahotsavāḥ MvyK_11b	vIta-SokAH mahA-utsavAH MvyK_11b
   vṛkṣāś ca krośam ucchritāḥ MvyK_10b	vRkzAH ca kroSam ucCritAH MvyK_10b
   vyākariṣyāmy ahaṃ tava MvyK_4b	vyAkarizyAmi aham tava MvyK_4b
