   Buddhacarita	BudDa-carita
   Bc_7.18 //	Bc_7.18 //
   ityevamādi dvipadendravatsaḥ śrutvā vacastasya tapodhanasya /	iti-evamAdi dvipada-indra-vatsaH SrutvA vacaH-tasya tapoDanasya /
   adṛṣṭatattvo 'pi na saṃtutoṣa / śanairidaṃ cātmagataṃ babhāṣe // Bc_7.19	adRzwa-tattvaH api na saMtutoza / SanEs-idam ca-Atma-gatam baBAze // Bc_7.19
   duḥkhātmakaṃ naikavidhaṃ tapaśca svargapradhānaṃ tapasaḥ phalaṃ ca /	duHKa-Atmakam na-ekaviDam tapaH-ca svarga-praDAnam tapasaH Palam ca /
   lokāśca sarve pariṇāmavantaḥ svalpe śramaḥ khalvayamāśramāṇām // Bc_7.20	lokAH-ca sarve pariNAmavantaH su-alpe SramaH Kalu-ayam-ASramANAm // Bc_7.20
   priyāṃśca bandhūnviṣayāṃśca hitvā ye svargahetorniyamaṃ caranti /	priyAn=-ca banDUn-vizayAn=-ca hitvA ye svarga-hetoH-niyamam caranti /
   te viprayuktāḥ khalu gantukāmā mahattaraṃ bandhanameva bhūyaḥ // Bc_7.21	te viprayuktAH Kalu gantu-kAmAH mahattaram banDanam-eva BUyas // Bc_7.21
   kāyaklamairyaśca tapo 'bhidhānaiḥ pravṛttimakāṅkṣati kāmahetoḥ /	kAya-klamEH-yaH-ca tapaH aBiDAnEH pravRttim-akAFkzati kAma-hetoH /
   saṃsāradoṣānaparīkṣamāṇo duḥkhena so 'nvicchati duḥkhameva // Bc_7.22 //	saMsAra-dozAn-aparIkzamANaH duHKena saH anvicCati duHKam-eva // Bc_7.22 //
   trāsaśca nityaṃ maraṇātprajānāṃ yatnena cecchanti punaḥprasūtim /	trAsaH-ca nityam maraNAt-prajAnAm yatnena ca-icCanti punar-prasUtim /
   satyāṃ pravṛttau niyataśca mṛtyustatraiva magnā yata eva bhītāḥ // Bc_7.23	satyAm pravRttO niyataH-ca mRtyuH-tatra-eva magnAH yatas eva BItAH // Bc_7.23
   ihārthameke praviśanti khedaṃ svargārthamanye śramamāpnuvanti /	iha-arTam-eke praviSanti Kedam svarga-arTam-anye Sramam-Apnuvanti /
   sukhārthamāśākṛpaṇo 'kṛtārthaḥ patatyanarthe khalu jīvalokaḥ // Bc_7.24 //	suKa-arTam-ASA-kRpaNaH akRtArTaH patati-anarTe Kalu jIva-lokaH // Bc_7.24 //
   na khalvayaṃ garhita eva yatno yo hīnamṛtsṛjya viśeṣagāmi /	na Kalu-ayam garhitaH eva yatnaH yaH hIna-mRtsRjya viSeza-gAmi /
   prājñaiḥ samānena pariśrameṇa kāryaṃ tu tadyatra punarna kāryam // Bc_7.25	prAjQEH samAnena pariSrameNa kAryam tu tat-yatra punar-na kAryam // Bc_7.25
   śarīrapīḍā tu yadīha dharmaḥ sukhaṃ śarīrasya bhavatyadharmaḥ /	SarIra-pIxA tu yadi-iha DarmaH suKam SarIrasya Bavati-aDarmaH /
   dharmeṇa cāpnoti sukhaṃ paratra tasmādadharma phalatīha dharmaḥ // Bc_7.26	DarmeNa ca-Apnoti suKam paratra tasmAt-aDarma Palati-iha DarmaH // Bc_7.26
   yataḥ śarīraṃ manaso vaśena pravartate cāpi nivartate ca /	yatas SarIram manasaH vaSena pravartate ca-api nivartate ca /
   yukto damaścetasa eva tasmāccittādṛte kāṣṭhasamaṃ śarīram // Bc_7.27 //	yuktaH damaH-cetasaH eva tasmAt-cittAt-Rte kAzWa-samam SarIram // Bc_7.27 //
   āhāraśuddhyā yadi puṇyamiṣṭaṃ tasmānmṛgānāmapi puṇyamasti /	AhAra-SudDyA yadi puNyam-izwam tasmAt-mRgAnAm-api puNyam-asti /
   ye cāpi bāhyāḥ puruṣāḥ phalebhyo bhāgyāparādhena parāṅmukhārthāḥ //	ye ca-api bAhyAH puruzAH PaleByaH BAgya-aparADena parAFmuKa-arTAH //
   Bc_7.28 //	Bc_7.28 //
   duḥkhe 'bhisaṃdhistvatha puṇyahetuḥ sukhe 'pi kāryo nanu so 'bhisaṃdhiḥ /	duHKe aBisaMDiH-tu-aTa puNya-hetuH suKe api kAryaH nanu saH aBisaMDiH /
   atha pramāṇaṃ na sukhe 'bhisaṃdhirduḥkhe pramāṇaṃ nanu nābhisaṃdhiḥ //	aTa pramANam na suKe aBisaMDiH-duHKe pramANam nanu na-aBisaMDiH //
   Bc_7.29 //	Bc_7.29 //
   tathaiva ye karmaviśuddhihetoḥ spṛśantyapastīrthamiti pravṛttāḥ /	taTA-eva ye karma-viSudDi-hetoH spRSanti-apaH-tIrTam-iti pravRttAH /
   tatrāpi toṣo hṛdi kevalo 'yaṃ na pāvayiṣyanti hi pāpamāpaḥ // Bc_7.30 //	tatra-api tozaH hRdi kevalaH ayam na pAvayizyanti hi pApam-ApaH // Bc_7.30 //
   spṛṣṭaṃ hi yadyadguṇavadbhirambhastattatpṛthivyāṃ yadi tīrthamiṣṭam /	spRzwam hi yat-yat-guNavadBiH-amBaH-tat-tat-pRTivyAm yadi tIrTam-izwam /
   tasmādguṇāneva paraimi tīrthamāpastu niḥsaṃśayamāpa eva // Bc_7.31 //	tasmAt-guNAn-eva parEmi tIrTam-ApaH-tu niHsaMSayam-ApaH eva // Bc_7.31 //
   iti sma tattadbahuyuktiyuktaṃ jagāda cāstaṃ ca yayau vivasvān /	iti sma tad-tad-bahu-yukti-yuktam jagAda ca-astam ca yayO vivasvAn /
   tato havirdhūmavivarṇavṛkṣaṃ tapaḥpraśāntaṃ sa vanaṃ viveśa // Bc_7.32 //	tatas haviH-DUma-vivarNa-vRkzam tapaH-praSAntam sa vanam viveSa // Bc_7.32 //
   abhyuddhṛtaprajvalitāgnihotraṃ kṛtābhiṣekarṣijanāvakirṇam /	aByudDRta-prajvalita-agnihotram kRta-aBizeka-Rzi-jana-avakirNam /
   jāpyasvanākūjitadevakoṣṭhaṃ dharmasya karmāntamiva pravṛttam // Bc_7.33 //	jApya-svana-AkUjita-deva-kozWam Darmasya karmAntam-iva pravRttam // Bc_7.33 //
   kāścinniśāstatra niśākarābhaḥ parīkṣamāṇaśca tapāṃsyuvāsa /	kAScid-niSAH-tatra niSAkara-ABaH parIkzamANaH-ca tapAMsi-uvAsa /
   sarva parikṣepya tapaśca matvā tasmāttapaḥkṣetratalājjagāma // Bc_7.34 //	sarva parikzepya tapaH-ca matvA tasmAt-tapaH-kzetra-talAt-jagAma // Bc_7.34 //
   anvavrajannāśramiṇastatastaṃ tadrūpamāhātmyagatairmanobhiḥ /	anvavrajan=-ASramiNaH-tatas-tam tad-rUpa-mAhAtmya-gatEH-manoBiH /
   deśādanāryairabhibhūyamānānmaharṣayo dharmamivāpayāntam // Bc_7.35 //	deSAt-anAryEH-aBiBUyamAnAn-mahA-RzayaH Darmam-iva-apayAntam // Bc_7.35 //
   tato jaṭāvalkalacīrakhelāṃstapodhanāṃścaiva sa tāndadarśa /	tatas jawA-valkala-cIra-KelAn=-tapoDanAn=-ca-eva sa tAn-dadarSa /
   tapāṃsi caiṣāmanurudhyamānastasthau śive śrīmati vṛkṣamūle // Bc_7.36 //	tapAMsi ca-ezAm-anuruDyamAnaH-tasTO Sive SrImati vRkza-mUle // Bc_7.36 //
   athopasṛtyāśramavāsinastaṃ manuṣyavarya parivārya tasthuḥ /	aTa-upasRtya-ASrama-vAsinaH-tam manuzya-varya parivArya tasTuH /
   vṛddhaśca teṣāṃ bahumānapūrvaṃ kalena sāmnā giramityuvāca // Bc_7.37 //	vRdDaH-ca tezAm bahu-mAna-pUrvam kalena sAmnA giram-iti-uvAca // Bc_7.37 //
   tvayyāgate pūrṇa ivāśramo 'bhūtsaṃpadyate śūnya eva prayāte /	tvayi-Agate pUrNaH iva-ASramaH aBUt-saMpadyate SUnyaH eva prayAte /
   tasmādimaṃ nārhasi tāta hātuṃ jijīviṣordehamiveṣṭamāyuḥ // Bc_7.38 //	tasmAt-imam na-arhasi tAta hAtum jijIvizoH-deham-iva-izwam-AyuH // Bc_7.38 //
   brahmarṣirājarṣisurarṣijuṣṭaḥ puṇyaḥ samīpe himavān hi śailaḥ /	brahmarzi-rAjarzi-surarzi-juzwaH puNyaH samIpe himavAn hi SElaH /
   tapāṃsi tānyeva tapodhanānāṃ yatsaṃnikarṣādbahulībhavanti // Bc_7.39 //	tapAMsi tAni-eva tapoDanAnAm yat-saMnikarzAt-bahulIBavanti // Bc_7.39 //
   tīrthāni puṇyāyānyabhitastathaiva sopānabhūtāni nabhastalasya	tIrTAni puNyAyAni-aBitas-taTA-eva sopAna-BUtAni naBastalasya
   juṣṭāni dharmātmabhirātmavadbhirdevarṣibhiścaiva maharṣibhiśca // Bc_7.40	juzwAni Darma-AtmaBiH-AtmavadBiH-devarziBiH-ca-eva mahA-RziBiH-ca // Bc_7.40
   itaśca bhūyaḥ kṣamamuttaraiva diksevituṃ dharmīvaśeṣahetoḥ /	itas-ca BUyas kzamam-uttarA-eva diS-sevitum DarmI-vaSeza-hetoH /
   na tu kṣamaṃ dakṣiṇato budhena padaṃ bhavedekamapi prayātum // Bc_7.41 //	na tu kzamam dakziNatas buDena padam Bavet-ekam-api prayAtum // Bc_7.41 //
   tapovane 'sminnatha niṣkriyo vā saṃkīrṇadharmāpatito 'śucirvā /	tapaH-vane asmin=-aTa nizkriyaH vA saMkIrNa-Darma-ApatitaH aSuciH-vA /
   dṛṣṭastvayā yena na te vivatsā tadbrūhi yāvadrucito 'stu vāsaḥ // Bc_7.42	dRzwaH-tvayA yena na te vivatsA tat-brUhi yAvat-rucitaH astu vAsaH // Bc_7.42
   ime hi vāñchanti tapaḥsahāyaṃ taponidhānapratīmaṃ bhavantam /	ime hi vAQCanti tapaH-sahAyam tapaH-niDAna-pratImam Bavantam /
   vāsastvayā hīndrasamena sārdha bṛhaspaterabhyudayāvahaḥ syāt // Bc_7.43 //	vAsaH-tvayA hi-indra-samena sArDa bRhaspateH-aByudaya-AvahaH syAt // Bc_7.43 //
   ityevamukte sa tapasvimadhye tapasvimukhyena manīṣimukhyaḥ /	iti-evam-ukte sa tapasvi-maDye tapasvi-muKyena manIzi-muKyaH /
   bhavapraṇāśāya kṛtapratijñaḥ svaṃ bhāvāmantargatamācacakṣe // Bc_7.44 //	Bava-praNASAya kRta-pratijQaH svam BAvAm-antargatam-Acacakze // Bc_7.44 //
   ṛjvātmanāṃ dharmabhṛtāṃ munīnāmiṣṭātithitvātsvajanopamānām /	Rju-AtmanAm Darma-BRtAm munInAm-izwa-atiTi-tvAt-sva-jana-upamAnAm /
   evaṃvidhairmā prati bhāvajātaiḥ prītiḥ parā me janitaśca mānaḥ // Bc_7.45	evaMviDEH-mA prati BAva-jAtEH prItiH parA me janitaH-ca mAnaH // Bc_7.45
   snigdhābhirābhirhṛdayaṃgamābhiḥ samāsataḥ snāta ivāsmi vāgbhiḥ /	snigDABiH-ABiH-hRdayaMgamABiH samAsatas snAtaH iva-asmi vAgBiH /
   ratiśca me dharmanavagrahasya vispanditā saṃprati bhūya eva // Bc_7.46 //	ratiH-ca me Darma-nava-grahasya vispanditA saMprati BUyas eva // Bc_7.46 //
   evaṃ pravṛttān bhavataḥ śaraṇyānatīva saṃdarśitapakṣapātān /	evam pravRttAn BavataH SaraNyAn-atIva saMdarSita-pakzapAtAn /
   yāsyāmi hitveti mamāpi duḥkhaṃ yathaiva bandhūṃstyajatastathaiva //	yAsyAmi hitvA-iti mama-api duHKam yaTA-eva banDUn=-tyajataH-taTA-eva //
   Bc_7.47 //	Bc_7.47 //
   svargāya yuṣmākamayaṃ tu dharmo mamābhilāṣastvapunarbhavāya /	svargAya yuzmAka-m-ayam tu DarmaH mama-aBilAzaH-tu-apunarBavAya /
   asminvane yena na me vivatsā bhinnaḥ pravṛttyā hi nivṛttidharmaḥ //	asmin-vane yena na me vivatsA BinnaH pravRttyA hi nivRtti-DarmaH //
   Bc_7.48 //	Bc_7.48 //
   tannāratirme na parāpacāro vanādito yena parivrajāmi /	tat-na-aratiH-me na para-apacAraH vanAditas yena parivrajAmi /
   dharme sthitāḥ pūrvayugānurūpe sarve bhavanto hi maharṣikalpāḥ // Bc_7.49	Darme sTitAH pUrva-yuga-anurUpe sarve BavantaH hi mahA-Rzi-kalpAH // Bc_7.49
   tato vacaḥ sūnṛtamarthavacca suślakṣṇamojasvi ca garvita ca /	tatas vacaH sUnRtam-arTavat-ca su-SlakzNam-ojasvi ca garvita ca /
   śrutvā kumārasya tapasvinaste viśeṣayuktaṃ bahumānamīyuḥ // Bc_7.50 //	SrutvA kumArasya tapasvinaH-te viSeza-yuktam bahu-mAnam-IyuH // Bc_7.50 //
   kaściddvijastatra tu bhasmaśāyī prāṃśuḥ śikhī dāravacīravāsāḥ /	kaScid-dvijaH-tatra tu Basma-SAyI prAMSuH SiKI dArava-cIra-vAsAH /
   āpiṅgalākṣastanudīrghaghoṇaḥ kuṇḍaikahasto giramityuvāca // Bc_7.51 //	ApiFgala-akzaH-tanu-dIrGa-GoNaH kuNxa-eka-hastaH giram-iti-uvAca // Bc_7.51 //
   dhīmannudāraḥ khalu niścayaste yastvaṃ yuvā janmani dṛṣṭadoṣaḥ /	DIman=-udAraH Kalu niScayaH-te yaH-tvam yuvA janmani dRzwa-dozaH /
   svargāpavargau hi vicārya samyagyasyāpavarge matirasti so 'sti // Bc_7.52	svarga-apavargO hi vicArya samyak-yasya-apavarge matiH-asti saH asti // Bc_7.52
   yajñaistapobhirniyamaiśca taistaiḥ svarga yiyāsanti hi rāgavantaḥ /	yajQEH-tapoBiH-niyamEH-ca tEH-tEH svarga yiyAsanti hi rAgavantaH /
   rāgeṇa sārdha ripuṇeva yuddhvā mokṣaṃ parīpsanti tu sattvavantaḥ //	rAgeNa sa-arDa ripuNA-iva yudDvA mokzam parIpsanti tu sattvavantaH //
   Bc_7.53 //	Bc_7.53 //
   tadbuddhireṣā yadi niścitā te tūrṇaṃ bhavān gacchatu vindhyakoṣṭham /	tad-budDiH-ezA yadi niScitA te tUrNam BavAn gacCatu vinDya-kozWam /
   asau munistatra vasatyarāḍo yo naiṣṭhike śreyasi labdhacakṣuḥ // Bc_7.54	asO muniH-tatra vasati-arAxaH yaH nEzWike Sreyasi labDa-cakzuH // Bc_7.54
   tasmādbhavāñcchroṣyati tattvamārga satyāṃ rucau saṃpratipatsyate ca /	tasmAt-BavAQt-Srozyati tattva-mArga satyAm rucO saMpratipatsyate ca /
   yathā tu paśyāmi matistathaiṣā tasyāpi yāsyatyavadhūya buddhim // Bc_7.55	yaTA tu paSyAmi matiH-taTA-ezA tasya-api yAsyati-avaDUya budDim // Bc_7.55
   spaṣṭoccaghoṇaṃ vipulāyatākṣaṃ / tāmrādharauṣṭhaṃ sitatīkṣaṇadaṃṣṭram /	spazwa-ucca-GoNam vipula-Ayata-akzam / tAmra-aDara-ozWam sita-tIkzaNa-daMzwram /
   idaṃ hi vaktuṃ tanuraktajivhaṃ jñeyārṇavaṃ pāsyati kṛtsnameva // Bc_7.56	idam hi vaktum tanu-rakta-jivham jQeya-arNavam pAsyati kRtsnam-eva // Bc_7.56
   gambhīratā yā bhavatastvagādhā yā dīptatā yāni ca lakṣaṇāni /	gamBIra-tA yA BavataH-tu-agADA yA dIpta-tA yAni ca lakzaNAni /
   ācāryakaṃ prāpsyasi tatpṛthivyāṃ yannarṣibhiḥ pūrvayuge 'pyavāptam //	AcAryakam prApsyasi tat-pRTivyAm yat-na-RziBiH pUrva-yuge api-avAptam //
   Bc_7.57 //	Bc_7.57 //
   paramamiti tato nṛpātmajastamṛṣijanaṃ pratinandya niryayau /	paramam-iti tatas nRpa-AtmajaH-tam-Rzi-janam pratinandya niryayO /
   vidhivadanuvidhāya te 'pi taṃ praviviśurāśramiṇastapovanam // Bc_7.58 //	viDivat-anuviDAya te api tam praviviSuH-ASramiNaH-tapaH-vanam // Bc_7.58 //
   iti buddhacarite mahākāvye tapovanapraveśo nāma saptamaḥ sargaḥ // 7 //	iti budDacarite mahAkAvye tapovanapraveSaH nAma saptamaH sargaH // 7 //
   CANTO VIII	CANTO VIII
   tatasturaṅgāvacaraḥ sa durmanāstathā vanaṃ bhartari nirmame gate /	tatas-turaFga-avacaraH sa durmanAH-taTA vanam Bartari nirmame gate /
   cakāra yatnaṃ pathi śokanigrahe tathāpi caivāśru na tasya cikṣiye //	cakAra yatnam paTi Soka-nigrahe taTA-api ca-eva-aSru na tasya cikziye //
   Bc_8.1 //	Bc_8.1 //
   yamekarātreṇa tu bharturājñayā jagāma mārga saha tena vājinā /	yam-eka-rAtreNa tu BartuH-AjQayA jagAma mArga saha tena vAjinA /
   iyāya bharturvirahaṃ vicintayaṃstameva panthānamahobhiraṣṭabhiḥ // Bc_8.2	iyAya BartuH-viraham vicintayan=-tam-eva panTAnam-ahoBiH-azwaBiH // Bc_8.2
   hayaśca saujā vicacāra kanthakastatāma bhāvena babhūva nirmadaḥ /	hayaH-ca sOjAH vicacAra kanTakaH-tatAma BAvena baBUva nirmadaH /
   alaṃkṛtaścāpi tathaiva bhūṣaṇairabhūdgataśrīriva tena varjitaḥ // Bc_8.3	alaMkRtaH-ca-api taTA-eva BUzaNEH-aBUt-gata-SrIH-iva tena varjitaH // Bc_8.3
   nivṛtya caivābhimukhastapovanaṃ bhṛśaṃ jiheṣe karuṇaṃ muhurmuhuḥ /	nivRtya ca-eva-aBimuKaH-tapaH-vanam BRSam jiheze karuNam muhur-muhur /
   kṣudhānvito 'pyadhvani śaṣpamambu vā yathā purā nābhinanda nādade //	kzuDA-anvitaH api-aDvani Sazpam-ambu vA yaTA purA na-aBinanda na-Adade //
   Bc_8.4 //	Bc_8.4 //
   tato vihīnaṃ kapilāvhayaṃ puraṃ mahātmanā tena jagaddhitātmanā /	tatas vihInam kapilA-vhayam puram mahAtmanA tena jagat-hita-AtmanA /
   krameṇa tau śūnyamivopajagmaturdivākareṇeva vinākṛtaṃ nabhaḥ // Bc_8.5 //	krameNa tO SUnyam-iva-upajagmatuH-divAkareNa-iva vinAkRtam naBaH // Bc_8.5 //
   sapuṇḍarīkairapi śobhitaṃ jalairalaṃkṛtaṃ puṣpadharairnagairapi /	sa-puNxarIkEH-api SoBitam jalEH-alaMkRtam puzpa-DarEH-nagEH-api /
   tadeva tasyopavanaṃ vanopamaṃ gatapraharṣairna rarāja nāgaraiḥ // Bc_8.6	tat-eva tasya-upavanam vana-upamam gata-praharzEH-na rarAja nAgarEH // Bc_8.6
   tato bhramadbhirdiśi dīnamānasairanujjvalairbāṣpahatekṣaṇairnaraiḥ /	tatas BramadBiH-diSi dIna-mAnasEH-anujjvalEH-bAzpa-hata-IkzaNEH-narEH /
   nirvāyamāṇāviva tāvubhau puraṃ śanairapasnātamivābhijagmatuḥ // Bc_8.7 //	nirvAyamANO=-iva tO=-uBO puram SanEs-apasnAtam-iva-aBijagmatuH // Bc_8.7 //
   niśāmya ca srastaśarīragāminau vināgatau śākyakularṣabheṇa tau /	niSAmya ca srasta-SarIra-gAminO vinA-AgatO SAkya-kula-RzaBeNa tO /
   mumoca bāṣpaṃ pathi nāgaro janaḥ pura rathe dāśaratherivāgate // Bc_8.8 //	mumoca bAzpam paTi nAgaraH janaH pura raTe dASaraTeH-iva-Agate // Bc_8.8 //
   atha bruvantaḥ samupetamanyavo janāḥ pathi cchandakamāgatāśravaḥ /	aTa bruvantaH samupeta-manyavaH janAH paTi cCandakam-Agata-ASravaH /
   kva rājaputraḥ purarāṣṭranandano hṛtastvayāsāviti pṛṣṭhato 'nvayuḥ //	kva rAja-putraH pura-rAzwra-nandanaH hRtaH-tvayA-asO=-iti pRzWatas anvayuH //
   Bc_8.9 //	Bc_8.9 //
   tataḥ sa tān bhaktimato 'bravījjanānnarendraputraṃ na parityajāmyaham /	tatas sa tAn BaktimataH abravIt-janAn-narendra-putram na parityajAmi-aham /
   rudannahaṃ tena tu nirjane vane gṛhasthaveśaśca visarjitāviti // Bc_8.10	rudan=-aham tena tu nirjane vane gRhasTa-veSaH-ca visarjitO=-iti // Bc_8.10
   idaṃ vacastasya niśamya te janāḥ suduṣkaraṃ khalviti niścayaṃ yayuḥ /	idam vacaH-tasya niSamya te janAH su-duzkaram Kalu-iti niScayam yayuH /
   pataddhi jahruḥ salilaṃ na netrajaṃ mano nininduśca phalotthamātmanaḥ //	patat-hi jahruH salilam na netra-jam manaH nininduH-ca Pala-utTam-AtmanaH //
   Bc_8.11 //	Bc_8.11 //
   athocuradyaiva viśāma tadvanaṃ gataḥ sa yatra dviparājavikramaḥ /	aTa-UcuH-adya-eva viSAma tat-vanam gataH sa yatra dvipa-rAja-vikramaH /
   jijīviṣā nāsti hi tena no vinā yathendriyāṇāṃ vigame śarīriṇām // Bc_8.12	jijIvizA na-asti hi tena naH vinA yaTA-indriyANAm vigame SarIriNAm // Bc_8.12
   idaṃ puraṃ tena vivarjitaṃ vanaṃ vanaṃ ca tattena samanvitaṃ puram /	idam puram tena vivarjitam vanam vanam ca tat-tena samanvitam puram /
   na śobhate tena hi no vinā puraṃ marutvatā vṛtravadhe yathā divam //	na SoBate tena hi naH vinA puram marutvatA vRtra-vaDe yaTA divam //
   Bc_8.13 //	Bc_8.13 //
   punaḥ kumāro vinivṛtta ityatho gavākṣamālāḥ pratipedire 'ṅganāḥ /	punar kumAraH vinivRttaH iti-aTo gavAkza-mAlAH pratipedire aFganAH /
   viviktapṛṣṭhaṃ ca niśāmya vājinaṃ punargavākṣāṇi pidhāya cukruśuḥ //	vivikta-pRzWam ca niSAmya vAjinam punar-gavAkzANi piDAya cukruSuH //
   Bc_8.14 //	Bc_8.14 //
   praviṣṭadīkṣastu sutopalabdhaye vratena śokena ca khinnamānasaḥ /	pravizwa-dIkzaH-tu suta-upalabDaye vratena Sokena ca Kinna-mAnasaH /
   jajāpa devāyatane narādhipaścakāra tāstāśca yathāśayāḥ kriyāḥ // Bc_8.15	jajApa devAyatane nara-aDipaH-cakAra tAH-tAH-ca yaTA-ASayAH kriyAH // Bc_8.15
   tataḥ sa bāṣpapratipūrṇalocanasturaṅgamādāya turaṅgamānugaḥ /	tatas sa bAzpa-pratipUrNa-locanaH-turaFgam-AdAya turaFgama-anugaH /
   viveśa śokābhihato nṛpakṣayaṃ yudhāpinīte ripuṇeva bhartari // Bc_8.16 //	viveSa Soka-aBihataH nRpa-kzayam yuDA-apinIte ripuNA-iva Bartari // Bc_8.16 //
   vigāhamānaśca narendramandiraṃ vilokayannaśruvahena cakṣuṣā /	vigAhamAnaH-ca narendra-mandiram vilokayan=-aSru-vahena cakzuzA /
   svareṇa puṣṭena rurāva kanthako janāya duḥkhaṃ prativedayanniva // Bc_8.17	svareNa puzwena rurAva kanTakaH janAya duHKam prativedayan=-iva // Bc_8.17
   tataḥ khagāśca kṣayamadhyagocarāḥ samīpabaddhāsturagāśca satkṛtāḥ /	tatas KagAH-ca kzaya-maDya-gocarAH samIpa-badDAH-turagAH-ca satkRtAH /
   hayasya tasya pratisasvanuḥ svanaṃ narendrasūnorupayānaśaṅkinaḥ // Bc_8.18	hayasya tasya pratisasvanuH svanam narendra-sUnoH-upayAna-SaFkinaH // Bc_8.18
   janāśca harṣatiśayena vañcitā janādhipāntaḥpurasaṃnikarṣagāḥ /	janAH-ca harza-tiSayena vaQcitAH janADipa-antaHpura-saMnikarza-gAH /
   yathā hayaḥ kanthaka eṣa heṣate dhruvaṃ kumāro viśatīti menire // Bc_8.19	yaTA hayaH kanTakaH eza hezate Druvam kumAraH viSati-iti menire // Bc_8.19
   atipraharṣādatha śokamūrchitāḥ kumārasaṃdarśanalolalocanāḥ /	atipraharzAt-aTa Soka-mUrCitAH kumAra-saMdarSana-lola-locanAH /
   gṛhādviniścakramurāśayā striyaḥ śaratpayodādiva vidyutaścalāḥ // Bc_8.20	gRhAt-viniScakramurASayA striyaH Sarad-payodAt-iva vidyutaH-calAH // Bc_8.20
   vilambakeśyo malināṃśukāmbarā nirañjanairbāṣpahatekṣaṇairmukhaiḥ /	vilamba-keSyaH malina-aMSuka-ambarAH niraQjanEH-bAzpa-hata-IkzaNEH-muKEH /
   striyo na rejurmṛjayā vinākṛtā divīva tārā rajanīkṣayāruṇāḥ // Bc_8.21 //	striyaH na rejuH-mRjayA vinAkRtAH divi-iva tArAH rajanI-kzaya-aruNAH // Bc_8.21 //
   araktatāmraiścaraṇairanūpurairakuṇḍalairārjavakandharairmukhaiḥ /	arakta-tAmrEH-caraNEH-anUpurEH-akuNxalEH-Arjava-kanDarEH-muKEH /
   svabhāvapīnairjaghanairamekhalairahārayoktrairmuṣitairiva stanaiḥ //	svaBAva-pInEH-jaGanEH-ameKalEH-ahAra-yoktrEH-muzitEH-iva stanEH //
   Bc_8.22 //	Bc_8.22 //
   nirīkṣya tā bāṣpaparītalocanā nirāśrayaṃ chandakamaśvameva ca /	nirIkzya tAH bAzpa-parIta-locanA nirASrayam Candakam-aSvam-eva ca /
   viṣaṇṇavaktrā rurudurvarāṅganā vanāntare gāva ivarṣabhojjhitāḥ // Bc_8.23	vizaNNa-vaktrAH ruruduH-vara-aFganAH vana-antare gAvaH iva-RzaBa-ujJitAH // Bc_8.23
   tataḥ sabāṣpā mahīṣī mahīpateḥ pranaṣṭavatsā mahiṣīva vatsalā /	tatas sa-bAzpA mahIzI mahIpateH pranazwa-vatsA mahizI-iva vatsalA /
   pragṛhya bāhū nipapāta gautamī vilolaparṇā kadalīva kāñcanī // Bc_8.24 //	pragRhya bAhU nipapAta gOtamI vilola-parNA kadalI-iva kAQcanI // Bc_8.24 //
   hatatviṣo 'nyāḥ śithilāṃsabāhavaḥ striyo viṣādena vicetanā iva /	hata-tvizaH anyAH SiTila-aMsa-bAhavaH striyaH vizAdena vicetanAH iva /
   na cukruśurnāśru jahurna śaśvasurna celurāsurlikhitā iva sthitāḥ //	na cukruSuH-na-aSru jahuH-na SaSvasuH-na celuH-AsuH-liKitAH iva sTitAH //
   Bc_8.25 //	Bc_8.25 //
   adhīramanyāḥ patiśokamūrcchitā vilocanaprasravaṇairmukhaiḥ striyaḥ /	aDIram-anyAH pati-Soka-mUrcCitAH vilocana-prasravaNEH-muKEH striyaH /
   siṣiñcire proṣitacandanān stanāndharādharaḥ prasravaṇairivopalān //	siziQcire prozita-candanAn stanAnDarADaraH prasravaNEH-iva-upalAn //
   Bc_8.26 //	Bc_8.26 //
   mukhaiśca tāsāṃ nāyanāmbutāḍitaiṃ rarāja tadrājaniveśanaṃ tadā /	muKEH-ca tAsAm nAyana-ambu-tAxitEm rarAja tad-rAja-niveSanam tadA /
   navāmbukāle 'mbudavṛṣṭitāḍitaiḥ sravajjalaistāmarasairyathā saraḥ //	nava-ambu-kAle ambuda-vRzwi-tAxitEH sravat-jalEH-tAmarasEH-yaTA saraH //
   Bc_8.27 //	Bc_8.27 //
   suvṛttapiṇāḍagulibhirnirantarairabhūṣaṇairgūḍhasirairvarāṅganāḥ /	su-vRtta-piNAxa-guliBiH-nirantarEH-aBUzaNEH-gUXa-sirEH-vara-aFganAH /
   urāṃsi jaghnuḥ kamalopamaiḥ karaiḥ svapallavairvātacalā latā iva //	urAMsi jaGnuH kamala-upamEH karEH sva-pallavEH-vAta-calAH latAH iva //
   Bc_8.28 //	Bc_8.28 //
   karaprahārapracalaiśca tā babhustathāpi nāryaḥ sahitonnataiḥ stanaiḥ /	kara-prahAra-pracalEH-ca tAH baBuH-taTA-api nAryaH sahita-unnatEH stanEH /
   vanānilāghūrṇitapadmakampitai rathāṅganāmnāṃ mithunairivāpagāḥ // Bc_8.29	vana-anila-AGUrNita-padma-kampitEH raTAFga-nAmnAm miTunEH-iva-ApagAH // Bc_8.29
   yathā ca vakṣāṃsi karairapīḍayaṃstathaiva vakṣobhirapīḍayan karān /	yaTA ca vakzAMsi karEH-apIxayan=-taTA-eva vakzoBiH-apIxayan karAn /
