   Pañcaviṃśatisāhasrikā prajñāpāramitā	PaQcaviMSati sAhasrikA prajQApAramitA
   15505 {{vedanāṃ sarvākārajñatāpratisaṃyuktena cittena duḥkheti	15505 {{vedanAm sarva AkAra jQa tA pratisaMyuktena cittena duHKa iti
   pratyavekṣate na copalabhate/ saṃjñāṃ sarvākārajñatāpratisaṃyuktena	pratyavekzate na ca upalaBate/ saMjQAm sarva AkAra jQa tA pratisaMyuktena
   cittena duḥkheti pratyavekṣate na copalabhate/ saṃskārān	cittena duHKa iti pratyavekzate na ca upalaBate/ saMskArAn
   sarvākārajñatāpratisaṃyuktena cittena duḥkhā iti pratyavekṣate na	sarva AkAra jQa tA pratisaMyuktena cittena duHKAH iti pratyavekzate na
   copalabhate/ vijñānaṃ sarvākārajñatāpratisaṃyuktena cittena duḥkham iti	ca upalaBate/ vijQAnam sarva AkAra jQa tA pratisaMyuktena cittena duHKam iti
   pratyavekṣate na copalabhate/ idaṃ subhūte bodhisattvasya mahāsattvasya	pratyavekzate na ca upalaBate/ idam suBUte boDisattvasya mahAsattvasya
   prajñāpāramitāyāṃ carata upāyakauśalyaṃ veditavyam/ punar aparaṃ subhūte	prajQApAramitAyAm carataH upAya kOSalyam veditavyam/ punar aparam suBUte
   bodhisattvo mahāsattvaḥ sarvākārajñatāpratisaṃyuktena cittena rūpaṃ śūnyam	boDisattvaH mahAsattvaH sarva AkAra jQa tA pratisaMyuktena cittena rUpam SUnyam
   iti pratyavekṣate na copalabhate vedanāṃ sarvākārajñatāpratisaṃyuktena	iti pratyavekzate na ca upalaBate vedanAm sarva AkAra jQa tA pratisaMyuktena
   cittena śūnyeti pratyavekṣate na copalabhate/ saṃjñāṃ	cittena SUnyA iti pratyavekzate na ca upalaBate/ saMjQAm
   sarvākārajñatāpratisaṃyuktena cittena śūnyeti pratyavekṣate na	sarva AkAra jQa tA pratisaMyuktena cittena SUnyA iti pratyavekzate na
   copalabhate/ saṃskārān sarvākārajñatāpratisaṃyuktena cittena śūnyā iti	ca upalaBate/ saMskArAn sarva AkAra jQa tA pratisaMyuktena cittena SUnyAH iti
   pratyavekṣate na copalabhate/ vijñānaṃ sarvākārajñatāpratisaṃyuktena	pratyavekzate na ca upalaBate/ vijQAnam sarva AkAra jQa tA pratisaMyuktena
   cittena śūnyam iti pratyavekṣate na copalabhate/ idaṃ subhūte	cittena SUnyam iti pratyavekzate na ca upalaBate/ idam suBUte
   bodhisattvasya mahāsattvasya prajñāpāramitāyāṃ carata upāyakauśalyaṃ	boDisattvasya mahAsattvasya prajQApAramitAyAm carataH upAya kOSalyam
   veditavyam/ punar aparaṃ subhūte bodhisattvo mahāsattvaḥ	veditavyam/ punar aparam suBUte boDisattvaH mahAsattvaH
   sarvākārajñatāpratisaṃyuktena cittena rūpam anātmeti pratyavekṣate na	sarva AkAra jQa tA pratisaMyuktena cittena rUpam anAtmA iti pratyavekzate na
   copalabhate vedanāṃ sarvākārajñatāpratisaṃyuktena cittenānātmeti	ca upalaBate vedanAm sarva AkAra jQa tA pratisaMyuktena cittena anAtmA iti
   pratyavekṣate na copalabhate/ saṃjñāṃ sarvākārajñatāpratisaṃyuktena	pratyavekzate na ca upalaBate/ saMjQAm sarva AkAra jQa tA pratisaMyuktena
   cittenānātmeti pratyavekṣate na copalabhate/ saṃskārān	cittena anAtmA iti pratyavekzate na ca upalaBate/ saMskArAn
   sarvākārajñatāpratisaṃyuktena cittenānātmā iti pratyavekṣate na	sarva AkAra jQa tA pratisaMyuktena cittena anAtmA iti pratyavekzate na
   copalabhate/ vijñānaṃ sarvākārajñatāpratisaṃyuktena cittenānātmam iti	ca upalaBate/ vijQAnam sarva AkAra jQa tA pratisaMyuktena cittena anAtmam iti
   pratyavekṣate na copalabhate/ idaṃ subhūte bodhisattvasya mahāsattvasya	pratyavekzate na ca upalaBate/ idam suBUte boDisattvasya mahAsattvasya
   prajñāpāramitāyāṃ carata upāyakauśalyaṃ veditavyam/ punar aparaṃ subhūte	prajQApAramitAyAm carataH upAya kOSalyam veditavyam/ punar aparam suBUte
   bodhisattvo mahāsattvaḥ sarvākārajñatāpratisaṃyuktena cittena rūpaṃ śāntam	boDisattvaH mahAsattvaH sarva AkAra jQa tA pratisaMyuktena cittena rUpam SAntam
   iti pratyavekṣate na copalabhate vedanāṃ sarvākārajñatāpratisaṃyuktena	iti pratyavekzate na ca upalaBate vedanAm sarva AkAra jQa tA pratisaMyuktena
   cittena śānteti pratyavekṣate na copalabhate/ saṃjñāṃ	cittena SAntA iti pratyavekzate na ca upalaBate/ saMjQAm
   sarvākārajñatāpratisaṃyuktena cittena śānteti pratyavekṣate na	sarva AkAra jQa tA pratisaMyuktena cittena SAntA iti pratyavekzate na
   copalabhate/ saṃskārān sarvākārajñatāpratisaṃyuktena cittena śāntā iti	ca upalaBate/ saMskArAn sarva AkAra jQa tA pratisaMyuktena cittena SAntAH iti
   pratyavekṣate na copalabhate/ vijñānaṃ sarvākārajñatāpratisaṃyuktena	pratyavekzate na ca upalaBate/ vijQAnam sarva AkAra jQa tA pratisaMyuktena
   cittena śāntam iti pratyavekṣate na copalabhate/ idaṃ subhūte	cittena SAntam iti pratyavekzate na ca upalaBate/ idam suBUte
   bodhisattvasya mahāsattvasya prajñāpāramitāyāṃ carata upāyakauśalyaṃ	boDisattvasya mahAsattvasya prajQApAramitAyAm carataH upAya kOSalyam
   veditavyam/}}	veditavyam/}}
   15506 {{punar aparaṃ subhūte bodhisattvo mahāsattvaḥ	15506 {{punar aparam suBUte boDisattvaH mahAsattvaH
   sarvākārajñatāpratisaṃyuktena cittena rūpaṃ viviktam iti pratyavekṣate na	sarva AkAra jQa tA pratisaMyuktena cittena rUpam viviktam iti pratyavekzate na
   copalabhate vedanāṃ sarvākārajñatāpratisaṃyuktena cittena vivikteti	ca upalaBate vedanAm sarva AkAra jQa tA pratisaMyuktena cittena viviktA iti
   pratyavekṣate na copalabhate/ saṃjñāṃ sarvākārajñatāpratisaṃyuktena	pratyavekzate na ca upalaBate/ saMjQAm sarva AkAra jQa tA pratisaMyuktena
   cittena vivikteti pratyavekṣate na copalabhate/ saṃskārān	cittena viviktA iti pratyavekzate na ca upalaBate/ saMskArAn
   sarvākārajñatāpratisaṃyuktena cittena viviktā iti pratyavekṣate na	sarva AkAra jQa tA pratisaMyuktena cittena viviktAH iti pratyavekzate na
   copalabhate/ vijñānaṃ sarvākārajñatāpratisaṃyuktena cittena viviktam iti	ca upalaBate/ vijQAnam sarva AkAra jQa tA pratisaMyuktena cittena viviktam iti
   pratyavekṣate na copalabhate/ idaṃ subhūte bodhisattvasya mahāsattvasya	pratyavekzate na ca upalaBate/ idam suBUte boDisattvasya mahAsattvasya
   prajñāpāramitāyāṃ carata upāyakauśalyaṃ veditavyam/ punar aparaṃ subhūte	prajQApAramitAyAm carataH upAya kOSalyam veditavyam/ punar aparam suBUte
   bodhisattvo mahāsattvaḥ sarvākārajñatāpratisaṃyuktena cittena rūpam	boDisattvaH mahAsattvaH sarva AkAra jQa tA pratisaMyuktena cittena rUpam
   animittam iti pratyavekṣate na copalabhate vedanāṃ	animittam iti pratyavekzate na ca upalaBate vedanAm
   sarvākārajñatāpratisaṃyuktena cittenānimitteti pratyavekṣate na	sarva AkAra jQa tA pratisaMyuktena cittena animittA iti pratyavekzate na
   copalabhate/ saṃjñāṃ sarvākārajñatāpratisaṃyuktena cittenānimitteti	ca upalaBate/ saMjQAm sarva AkAra jQa tA pratisaMyuktena cittena animitta iti
   pratyavekṣate na copalabhate/ saṃskārān sarvākārajñatāpratisaṃyuktena	pratyavekzate na ca upalaBate/ saMskArAn sarva AkAra jQa tA pratisaMyuktena
   cittenānimittā iti pratyavekṣate na copalabhate/ vijñānaṃ	cittena animittAH iti pratyavekzate na ca upalaBate/ vijQAnam
   sarvākārajñatāpratisaṃyuktena cittenānimittam iti pratyavekṣate na	sarva AkAra jQa tA pratisaMyuktena cittena animittam iti pratyavekzate na
   copalabhate/ idaṃ subhūte bodhisattvasya mahāsattvasya prajñāpāramitāyāṃ	ca upalaBate/ idam suBUte boDisattvasya mahAsattvasya prajQApAramitAyAm
   carata upāyakauśalyaṃ veditavyam/ punar aparaṃ subhūte bodhisattvo	carataH upAya kOSalyam veditavyam/ punar aparam suBUte boDisattvaH 
   mahāsattvaḥ sarvākārajñatāpratisaṃyuktena cittena rūpam apraṇihitam iti	mahAsattvaH sarva AkAra jQa tA pratisaMyuktena cittena rUpam apraNihitam iti
   pratyavekṣate na copalabhate vedanāṃ sarvākārajñatāpratisaṃyuktena	pratyavekzate na ca upalaBate vedanAm sarva AkAra jQa tA pratisaMyuktena
   cittenāpraṇihiteti pratyavekṣate na copalabhate/ saṃjñāṃ	cittena apraNihitA iti pratyavekzate na ca upalaBate/ saMjQAm
   sarvākārajñatāpratisaṃyuktena cittenāpraṇihiteti pratyavekṣate na	sarva AkAra jQa tA pratisaMyuktena cittena apraNihitA iti pratyavekzate na
   copalabhate/ saṃskārān sarvākārajñatāpratisaṃyuktena cittenāpraṇihitā iti	ca upalaBate/ saMskArAn sarva AkAra jQa tA pratisaMyuktena cittena apraNihitAH iti
   pratyavekṣate na copalabhate/ vijñānaṃ sarvākārajñatāpratisaṃyuktena	pratyavekzate na ca upalaBate/ vijQAnam sarva AkAra jQa tA pratisaMyuktena
   cittenāpraṇihitam iti pratyavekṣate na copalabhate/ idaṃ subhūte	cittena apraNihitam iti pratyavekzate na ca upalaBate/ idam suBUte
   bodhisattvasya mahāsattvasya prajñāpāramitāyāṃ carata}} upāyakauśalyaṃ	boDisattvasya mahAsattvasya prajQApAramitAyAm carata}} upAya kOSalyam
   veditavyam/	veditavyam/
   15507 punar aparaṃ subhūte {bodhisattvo} mahāsattvaḥ prajñāpāramitāyāṃ	15507 punar aparam suBUte {boDisattvo} mahAsattvaH prajQApAramitAyAm
   caran sarvākārajñatāprati 	caran sarva AkAra jQa tA prati 
   15508 saṃyuktair manasikārair yāṃ dharmadeśanāṅ karoty anupalambhayogena	15508 saMyuktEH manasikArEH yAm Darma deSanAF karoti anupalamBa yogena
   iyaṃ {bodhisattvasya} mahāsattvasya	iyam {boDisattvasya} mahAsattvasya
   15509 dānapāramitā/ teṣām eva sarvākārajñatāpratisaṃyuktānāṃ manasikārāṇām	15509 dAna pAramitA/ tezAm eva sarva AkAra jQa tA pratisaMyuktAnAm manasikArANAm
   a 	a 
   15510 parāmarṣaṇatā {iyaṃ bodhisattvasya mahāsattvasya} śīla{pāramitā}/	15510 parAmarzaNa tA {iyam boDisattvasya mahAsattvasya} SIla{pAramitA}/
   {yā teṣām eva sarvākārajñatāpratisaṃyuktānāṃ manasikārāṇām}	{yA tezAm eva sarva AkAra jQa tA pratisaMyuktAnAm manasikArANAm}
   kṣamaṇārocanapratyavekṣaṇatā {iyaṃ bodhisattvasya mahāsattvasya}	kzamaNa Arocana pratyavekzaNa tA {iyam boDisattvasya mahAsattvasya}
   15511 kṣānti{pāramitā}/ {yā teṣām eva sarvākārajñatāpratisaṃyuktānāṃ	15511 kzAnti{ pAramitA}/ {yA tezAm eva sarva AkAra jQa tA pratisaMyuktAnAm
   manasikārāṇām} anutsṛṣṭir {iyaṃ bodhisattvasya mahāsattvasya}	manasikArANAm} anutsRzwiH {iyam boDisattvasya mahAsattvasya}
   vīrya{pāramitā}/ {yā teṣām eva sarvākārajñatāpratisaṃyuktānāṃ	vIrya{ pAramitA}/ {yA tezAm eva sarva AkAra jQa tA pratisaMyuktAnAm
   manasikārāṇām} ca śrāvakapratyeka 	manasikArANAm} ca SrAvaka pratyeka 
   15512 buddhapratisaṃyuktānāṃ manasikārāṇām anavakāśadānatā anyeṣām api	15512 budDa pratisaMyuktAnAm manasikArANAm anavakASa dAna tA anyezAm api
   vākuśalānāṃ	vAkuSalAnAm
   15513 dharmāṇām {iyaṃ bodhisattvasya mahāsattvasya} dhyāna{pāramitā}/ evaṃ	15513 DarmANAm {iyam boDisattvasya mahAsattvasya} DyAna{ pAramitA}/ evam
   hi subhūte {bodhisattvo} mahāsattvaḥ prajñāpāramitā 	hi suBUte {boDisattvo} mahAsattvaH prajQApAramitA 
   15514 yāñ caran {nottrasyati na santrasyati na santrāsam āpadyate}/	15514 yAn caran {na uttrasyati na santrasyati na santrAsam Apadyate}/
   15515 punar aparaṃ subhūte {bodhisattvo} mahāsattvaḥ prajñāpāramitāyāṃ	15515 punar aparam suBUte {boDisattvo} mahAsattvaH prajQApAramitAyAm
   carann evaṃ pratyavekṣate na rūpa 	caran evam pratyavekzate na rUpa 
   15516 śūnyatayā rūpaṃ śūnyaṃ, rūpam eva śūnyatā, śūnyataiva rūpam/ na	15516 SUnyatayA rUpam SUnyaM, rUpam eva SUnyatA, SUnyatA eva rUpam/ na
   vedanāśūnyatayā	vedanA SUnyatayA
   15517 vedanā śūnyā, vedanaiva śūnyatā, śūnyataiva vedanā,	15517 vedanA SUnyA, vedanA eva SUnyatA, SUnyatA eva vedanA,
   15518 {{na saṃjñāśūnyatayā saṃjñā sūnyā, saṃjñaiva śūnyatā, śūnyataiva	15518 {{na saMjQA SUnya tayA saMjQA sUnyA, saMjQA eva SUnyatA, SUnyatA eva
   saṃjñā/ na saṃskāraśūnyatayā saṃskārāḥ śūnyāḥ, saṃskārā eva śūnyatā,	saMjQA/ na saMskAra SUnyatayA saMskArAH SUnyAH, saMskArAH eva SUnyatA,
   śūnyataiva saṃskārāḥ/ na vijñānaśūnyatayā vijñānaṃ śūnyam, vijñānam eva	SUnyatA eva saMskArAH/ na vijQAna SUnya tayA vijQAnam SUnyam, vijQAnam eva
   śūnyatā, śūnyataiva vijñānam/ na cakṣuḥśūnyatayā cakṣuḥ śūnyam, cakṣur eva	SUnyatA, SUnyatA eva vijQAnam/ na cakzuH SUnyatayA cakzuH SUnyam, cakzuH eva
   śūnyatā, śūnyataiva cakṣuḥ/ na śrotraśūnyatayā śrotraṃ śūnyam, śrotram eva	SUnyatA, SUnyatA eva cakzuH/ na Srotra SUnyatayA Srotram SUnyam, Srotram eva
   śūnyatā, śūnyataiva śrotram/ na ghrāṇaśūnyatayā ghrāṇaṃ śūnyam, ghrāṇam	SUnyatA, SUnyatA eva Srotram/ na GrANa SUnyatayA GrANam SUnyam, GrANam
   eva śūnyatā, śūnyataiva ghrāṇam/ na jihvāśūnyatayā jihvā śūnyā, jihvaiva	eva SUnyatA, SUnyatA eva GrANam/ na jihvA SUnyatayA jihvA SUnyA, jihvA eva
   śūnyatā, śūnyataiva jihvā/ na kāyaśūnyatayā kāyaḥ śūnyaḥ, kāya eva	SUnyatA, SUnyatA eva jihvA/ na kAya SUnya tayA kAyaH SUnyaH, kAyaH eva
   śūnyatā, śūnyataiva kāyaḥ/ na manaḥśūnyatayā manaḥ śūnyam, mana eva	SUnyatA, SUnyatA eva kAyaH/ na manaH SUnyatayA manaH SUnyam, manaH eva
   śūnyatā, śūnyataiva manaḥ/ na rūpaśūnyatayā rūpaṃ śūnyam, rūpam eva	SUnyatA, SUnya tA eva manaH/ na rUpa SUnya tayA rUpam SUnyam, rUpam eva
   śūnyatā, śūnyataiva rūpam/ na śabdaśūnyatayā śabdaḥ śūnyaḥ, śabda eva	SUnyatA, SUnyatA eva rUpam/ na Sabda SUnya tayA SabdaH SUnyaH, SabdaH eva
   śūnyatā, śūnyataiva śabdaḥ/ na gandhaśūnyatayā gandho śūnyaḥ, gandha eva	SUnyatA, SUnyatA eva SabdaH/ na ganDa SUnya tayA ganDaH SUnyaH, ganDaH eva
   śūnyatā, śūnyataiva gandhaḥ/ na rasaśūnyatayā rasaḥ śūnyaḥ, rasa eva	SUnyatA, SUnyatA eva ganDaH/ na rasa SUnya tayA rasaH SUnyaH, rasaH eva
   śūnyatā, śūnyataiva rasaḥ/ na spraṣṭavyaśūnyatayā spraṣṭavyaṃ śūnyam,	SUnyatA, SUnyatA eva rasaH/ na sprazwavya SUnyatayA sprazwavyam SUnyam,
   spraṣṭavyam eva śūnyatā, śūnyataiva spraṣṭavyam/ na dharmaśūnyatayā	sprazwavyam eva SUnyatA, SUnyatA eva sprazwavyam/ na Darma SUnyatayA
   dharmaḥ śūnyaḥ, dharma eva śūnyatā, śūnyataiva dharmaḥ/ na	DarmaH SUnyaH, DarmaH eva SUnyatA, SUnyatA eva DarmaH/ na
   cakṣurvijñānaśūnyatayā cakṣurvijñānaṃ śūnyam, cakṣurvijñānam eva śūnyatā,	cakzuH vijQAna SUnya tayA cakzuH vijQAnam SUnyam, cakzuH vijQAnam eva SUnyatA,
   śūnyataiva cakṣurvijñānam/ na śrotravijñānaśūnyatayā śrotravijñānaṃ	SUnyatA eva cakzuH vijQAnam/ na Srotra vijQAna SUnya tayA Srotra vijQAnam
   śūnyam, śrotravijñānam eva śūnyatā, śūnyataiva śrotravijñānam/ na	SUnyam, Srotra vijQAnam eva SUnyatA, SUnyatA eva Srotra vijQAnam/ na
   ghrāṇavijñānaśūnyatayā ghrāṇavijñānaṃ śūnyam, ghrāṇavijñānam eva śūnyatā,	GrANa vijQAna SUnya tayA GrANa vijQAnam SUnyam, GrANa vijQAnam eva SUnyatA,
   śūnyataiva ghrāṇavijñānam/ na jihvāvijñānaśūnyatayā jihvāvijñānaṃ śūnyam,	SUnyatA eva GrANa vijQAnam/ na jihvA vijQAna SUnya tayA jihvA vijQAnam SUnyam,
   jihvāvijñānam eva śūnyatā, śūnyataiva jihvāvijñānam/ na	jihvA vijQAnam eva SUnyatA, SUnyatA eva jihvA vijQAnam/ na
   kāyavijñānaśūnyatayā kāyavijñānaṃ śūnyam, kāyavijñānam eva śūnyatā,	kAya vijQAna SUnyatayA kAya vijQAnam SUnyam, kAya vijQAnam eva SUnyatA,
   śūnyataiva kāyavijñānam/ na manovijñānaśūnyatayā manovijñānaṃ śūnyam,	SUnyatA eva kAya vijQAnam/ na manaH vijQAna SUnyatayA manaH vijQAnam SUnyam,
   manovijñānam eva śūnyatā, śūnyataiva manovijñānam/ na	manaH vijQAnam eva SUnyatA, SUnyatA eva manaH vijQAnam/ na
   cakṣuḥsaṃsparśaśūnyatayā cakṣuḥsaṃsparśaḥ śūnyaḥ, cakṣuḥsaṃsparśa eva	cakzuH saMsparSa SUnya tayA cakzuH saMsparSaH SUnyaH, cakzuH saMsparSaH eva
   śūnyatā, śūnyataiva cakṣuḥsaṃsparśaḥ/ na śrotrasaṃsparśaśūnyatayā	SUnyatA, SUnyatA eva cakzuH saMsparSaH/ na Srotra saMsparSa SUnyatayA
   śrotrasaṃsparśaḥ śūnyaḥ, śrotrasaṃsparśa eva śūnyatā, śūnyataiva	Srotra saMsparSaH SUnyaH, Srotra saMsparSaH eva SUnyatA, SUnyatA eva
   śrotrasaṃsparśaḥ/ na ghrāṇasaṃsparśaśūnyatayā ghrāṇasaṃsparśaḥ śūnyaḥ,	Srotra saMsparSaH/ na GrANa saMsparSa SUnya tayA GrANa saMsparSaH SUnyaH,
   ghrāṇasaṃsparśa eva śūnyatā, śūnyataiva ghrāṇasaṃsparśaḥ/ na	GrANa saMsparSaH eva SUnyatA, SUnyatA eva GrANa saMsparSaH/ na
   jihvāsaṃsparśaśūnyatayā jihvāsaṃsparśaḥ śūnyaḥ, jihvāsaṃsparśa eva	jihvA saMsparSa SUnya tayA jihvA saMsparSaH SUnyaH, jihvA saMsparSaH eva
   śūnyatā, śūnyataiva jihvāsaṃsparśaḥ/ na kāyasaṃsparśaśūnyatayā	SUnyatA, SUnyatA eva jihvA saMsparSaH/ na kAya saMsparSa SUnyatayA
   kāyasaṃsparśaḥ śūnyaḥ, kāyasaṃsparśa eva śūnyatā, śūnyataiva	kAya saMsparSaH SUnyaH, kAya saMsparSaH eva SUnyatA, SUnyatA eva
   kāyasaṃsparśaḥ/ na manaḥsaṃsparśaśūnyatayā manaḥsaṃsparśaḥ śūnyaḥ,	kAya saMsparSaH/ na manaH saMsparSa SUnya tayA manaH saMsparSaH SUnyaH,
   manaḥsaṃsparśa eva śūnyatā, śūnyataiva manaḥsaṃsparśaḥ/ na	manaH saMsparSaH eva SUnyatA, SUnya tA eva manaH saMsparSaH/ na
   cakṣuḥpratyayavedayitaśūnyatayā cakṣuḥpratyayavedayitaṃ śūnyam,	cakzuH pratyaya vedayita SUnyatayA cakzuH pratyaya vedayitam SUnyam,
   cakṣuḥpratyayavedayitam eva śūnyatā, śūnyataiva cakṣuḥpratyayavedayitam/	cakzuH pratyaya vedayitam eva SUnyatA, SUnyatA eva cakzuH pratyaya vedayitam/
   na śrotrapratyayavedayitaśūnyatayā śrotrapratyayavedayitaṃ śūnyam,	na Srotra pratyaya vedayita SUnyatayA Srotra pratyaya vedayitam SUnyam,
   śrotrapratyayavedayitam eva śūnyatā, śūnyataiva śrotrapratyayavedayitam/	Srotra pratyaya vedayitam eva SUnyatA, SUnyatA eva Srotra pratyaya vedayitam/
   na ghrāṇapratyayavedayitaśūnyatayā ghrāṇapratyayavedayitaṃ śūnyam,	na GrANa pratyaya vedayita SUnyatayA GrANa pratyaya vedayitam SUnyam,
   ghrāṇapratyayavedayitam eva śūnyatā, śūnyataiva ghrāṇapratyayavedayitam/	GrANa pratyaya vedayitam eva SUnyatA, SUnyatA eva GrANa pratyaya vedayitam/
   na jihvāpratyayavedayitaśūnyatayā jihvāpratyayavedayitaṃ śūnyam,	na jihvA pratyaya vedayita SUnyatayA jihvA pratyaya vedayitam SUnyam,
   jihvāpratyayavedayitam eva śūnyatā, śūnyataiva jihvāpratyayavedayitam/ na	jihvA pratyaya vedayitam eva SUnyatA, SUnyatA eva jihvA pratyaya vedayitam/ na
   kāyapratyayavedayitaśūnyatayā kāyapratyayavedayitaṃ śūnyam,	kAya pratyaya vedayita SUnyatayA kAya pratyaya vedayitam SUnyam,
   kāyapratyayavedayitam eva śūnyatā, śūnyataiva kāyapratyayavedayitam/ na	kAya pratyaya vedayitam eva SUnyatA, SUnyatA eva kAya pratyaya vedayitam/ na
   manaḥpratyayavedayitaśūnyatayā manaḥpratyayavedayitaṃ śūnyam,	manaH pratyaya vedayita SUnyatayA manaH pratyaya vedayitam SUnyam,
   manaḥpratyayavedayitam eva śūnyatā, śūnyataiva manaḥpratyayavedayitam/ na	manaH pratyaya vedayitam eva SUnyatA, SUnyatA eva manaH pratyaya vedayitam/ na
   smṛtyupasthānaśūnyatayā smṛtyupasthānāni śūnyāni, smṛtyupasthānāny eva	smRti upasTAna SUnyatayA smRti upasTAnAni SUnyAni, smRti upasTAnAni eva
   śūnyatā, śūnyataiva smṛtyupasthānāni/}}	SUnyatA, SUnyatA eva smRti upasTAna ani/}}
   15519 evaṃ samyakprahāṇarddhi 	15519 evam samyak prahANa RdDi 
   15520 pādendriyabalabodhyaṅgāni/ na mārgaśūnyatayā mārgaḥ śūnyo, mārga eva	15520 pAda indriya bala boDi aFgAni/ na mArga SUnyatayA mArgaH SUnyo, mArgaH eva
   śūnyatā,	SUnyatA,
   15521 śūnyataiva mārgaḥ/ na balavaiśāradyāveṇikabuddhadharmaśūnyatayā	15521 SUnyatA eva mArgaH/ na bala vESAradyA veNika budDa Darma SUnyatayA
   buddhadharmāḥ śūnyāḥ,	budDa DarmAH SUnyAH,
   15522 buddhadharmā eva śūnyatā śūnyataiva buddhadharmāḥ/ iyaṃ subhūte	15522 budDa DarmAH eva SUnyatA SUnyatA eva budDa DarmAH/ iyam suBUte
   {bodhisattvasya} mahāsattvasya	{boDisattvasya} mahAsattvasya
   15601 prajñāpāramitā, evaṃ hi subhūte {bodhisattvo} mahāsattvaḥ	15601 prajQApAramitA, evam hi suBUte {boDisattvo} mahAsattvaH
   prajñāpāramitāyāñ caran {nottrasyati na santrasyati na santrāsam āpadyate}	prajQApAramitAyAn caran {na uttrasyati na santrasyati na santrAsam Apadyate}
   15602 / [ity upāyakauśalyaṃ prathamaḥ saparigrahaḥ/]	15602 / [iti upAya kOSalyam praTamaH sa parigrahaH/]
   15603 subhūtir āha/ katamāni bhagavan {bodhisattvasya} mahāsattvasya	15603 suBUtiH Aha/ katamAni Bagavan {boDisattvasya} mahAsattvasya
   kalyāṇamitrāṇi	kalyANa mitrANi
   15604 yaiḥ parigṛhīta imaṃ prajñāpāramitānirdeśaṃ śrutvā {nottrasyati na	15604 yEH parigRhIta imam prajQApAramitA nirdeSam SrutvA {nA uttrasyati na
   santrasyati na santrāsam āpadyate}	santrasyati na santrAsam Apadyate}
   15605 bhagavān āha/ iha subhūte {bodhisattvasya} mahāsattvasya	15605 BagavAn Aha/ iha suBUte {boDisattvasya} mahAsattvasya
   kalyāṇamitrāni yāny asya	kalyANa mitrAni yAni asya
   15606 rūpam anityam iti dharmaṃ deśayanti tac cānupalambhayogena/ tāni ca	15606 rUpam anityam iti Darmam deSayanti tat ca anupalamBa yogena/ tAni ca
   kuśala 	kuSala 
   15607 mūlāni na śrāvakapratyekabuddhabhūmau pariṇāmayanti anyatra	15607 mUlAni na SrAvaka pratyekabudDa BUmO pariNAmayanti anyatra
   sarvākārajñatāyāḥ/	sarva AkAra jQa tAyAH/
   15608 vedanā saṃjñā saṃskārā vijñānam anityam iti {{dharmaṃ deśayanti tac	15608 vedanA saMjQA saMskArAH vijQAnam anityam iti {{Darmam deSayanti tat 
   cānupalambhayogena/ tāni ca kuśalamūlāni na śrāvakapratyekabuddhabhūmau	ca anupalamBa yogena/ tAni ca kuSala mUlAni na SrAvaka pratyekabudDa BUmO
   pariṇāmayati anyatra}}	pariNAmayati anyatra}}
   15609 sarvākārajñatāyāḥ/ amūni subhūte {bodhisattvasya} mahāsattvasya	15609 sarva AkAra jQa tAyAH/ amUni suBUte {boDisattvasya} mahAsattvasya
   kalyāṇamitrāṇi yāṇy asya	kalyANa mitrANi yANi asya
   15610 rūpaṃ duḥkham iti dharmaṃ deśayanti/ rūpam anātmeti śāntam iti	15610 rUpam duHKam iti Darmam deSayanti/ rUpam anAtmA iti SAntam iti
   viviktam iti	viviktam iti
   15611 śūnyam iti animittam iti apraṇihitam iti dharmaṃ deśayanti tac	15611 SUnyam iti animittam iti apraNihitam iti Darmam deSayanti tat 
   cānupalambha{{yogena/ tāni ca kuśalamūlāni na śrāvakapratyekabuddhabhūmau	ca anupalamBa{{ yogena/ tAni ca kuSala mUlAni na SrAvaka pratyekabudDa BUmO
   pariṇāmayati anyatra}}	pariNAmayati anyatra}}
   15612 sarvākārajñatāyāḥ/ vedanā saṃjñā saṃskārāḥ yāny asya	15612 sarva AkAra jQa tAyAH/ vedanA saMjQA saMskArAH yAni asya
   15613 vijñānaṃ duḥkham iti {{dharmaṃ deśayanti/ vijñānam anātmeti śāntam	15613 vijQAnam duHKam iti {{Darmam deSayanti/ vijQAnam anAtmA iti SAntam
   iti viviktam iti śūnyam iti animittam iti apraṇihitam iti dharmaṃ	iti viviktam iti SUnyam iti animittam iti apraNihitam iti Darmam
   deśayanti tac cānupalambhayogena/ tāni ca kuśalamūlāni na	deSayanti tat ca anupalamBa yogena/ tAni ca kuSala mUlAni na
   śrāvakapratyekabuddhabhūmau pariṇāmayati anyatra}} sarvākārajñatāyāḥ/	SrAvaka pratyekabudDa BUmO pariNAmayati anyatra}} sarva AkAra jQa tAyAH/
   amūni	amUni
   15614 subhūte {bodhisattvasya} mahāsattvasya kalyāṇamitrāṇi/ punar aparaṃ	15614 suBUte {boDisattvasya} mahAsattvasya kalyANa mitrANi/ punar aparam
   subhūte {bodhisattvasya} mahā 	suBUte {boDisattvasya} mahA 
   15615 sattvasya kalyāṇamitrāni yāny asya cakṣur anityam iti dharmaṃ	15615 sattvasya kalyANa mitrAni yAni asya cakzuH anityam iti Darmam
   deśayanti	deSayanti
   15616 {{tac cānupalambhayogena/ tāni ca kuśalamūlāni na	15616 {{tat ca anupalamBa yogena/ tAni ca kuSala mUlAni na
