   Gaṇakārikā, 1	GaNa-kArikA, 1
   dharmasyābhivyaktyanupapatter anyathānātmakatvavirodhaḥ syād yadā guṇair	Darmasya-aBivyakti-anupapatteH anyaTA-ana-Atmaka-tva-viroDaH syAt yadA guNEH-
   yukta ityādi bhāṣyavirodhāc ca nāvasthitābhivyaktiḥ kiṃ tv	yuktaH ityAdi BAzya-viroDAt ca na-avasTita-aBivyaktiH kim tu-
   aiśvaryasambandha eva parādhīnatvanivartakatvād avaśyatvam ucyate //	ESvarya-sambanDaH eva para-aDIna-tva-nivartaka-tvAt avaSya-tvam ucyate //
   GkT_1.6ab:24	GkT_1.6ab:24
   * athavā yadā guṇair yuktas tadā sa evātathābhūtapūrvas tathā bhavati	* aTavA yadA guNEH yuktaH tadA saH eva-ataTABUta-pUrvaH taTA Bavati
   sarpaśikyādivat tasya bhāvas tatsvarūpam avaśyatvaṃ bhedanocyate	sarpa-SikyA-Adi-vat tasya BAvaH tad-svarUpam avaSya-tvam BedanA-ucyate
   vyavahārārtham ity evam anāveśyatvādiṣv api vicāro draṣṭavyaḥ //	vyavahAra-arTam iti evam anAveSya-tva-Adizu api vicAraH drazwavyaH //
   GkT_1.6ab:25	GkT_1.6ab:25
   * satkāryavicāre cāyaṃ vistārito mayā teneha na pratanyate // GkT_1.6ab:26	* satkArya-vicAre ca-ayam vistAritaH mayA tena-iha na pratanyate // GkT_1.6ab:26
   * sattvāntarānabhibhāvyajñānasambandhitvam anāveśyatvaṃ	* sattva-antara-anaBiBAvya-jQAna-sambanDi-tvam anAveSya-tvam
   sattvāntarādhīnajīvitarahitatvam avadhyatvam samastabhayātikrāntatvam	sattva-antara-aDIna-jIvita-rahita-tvam avaDya-tvam samasta-Baya-atikrAnta-tvam
   abhayatvam aiśvaryeṇa nityasambandhitvam akṣayatvaṃ	aBaya-tvam ESvaryeNa nitya-sambanDi-tvam akzaya-tvam
   kāyendriyavaikalyaphalenātyantāsambandhitvam ajaratvaṃ	kAya-indriya-vEkalya-Palena-atyanta-asambanDi-tvam ajara-tvam
   prāṇādiviyogajaduḥkhāsaṃsparśitvam amaratvaṃ sarvatrābhipretārtheṣu	prANa-Adi-viyoga-ja-duHKA-saMsparSi-tvam amara-tvam sarvatra-aBipreta-arTezu
   pravartamānasya maheśvareṇāpy apratibandhadharmitvam apratīghātaḥ	pravartamAnasya maheSvareNa-api apratibanDa-Darmi-tvam apratIGAtaH
   sarvapaśubhyo 'bhyadhikatvam aiśvaryātiśayān mahattvaṃ	sarva-paSuByaH aByaDika-tvam ESvarya-atiSayAt mahat-tvam
   sarvapaśvādikāryasvāmitvaṃ patitvam iti // GkT_1.6ab:27	sarva-paSu-Adi-kAryasvAmi-tvam patitvam iti // GkT_1.6ab:27
   * yad asvatantraṃ tat sarvakāryaṃ tasya vibhāga ucyate vidyā kalā paśuś	* yat asvatantram tat sarva-kAryam tasya viBAgaH ucyate vidyA kalA paSu-H-
   ceti // GkT_1.6ab:28	ca-iti // GkT_1.6ab:28
   * tatra paśuguṇo vidyā svaśāstradṛṣṭyoktā // GkT_1.6ab:29	* tatra paSu-guNaH vidyA sva-SAstra-dRzwyA-uktAH // GkT_1.6ab:29
   * vaiśeṣikadṛṣṭyā dravyavat // GkT_1.6ab:30	* vESezika-dRzwyA dravya-vat // GkT_1.6ab:30
   * sā dvidhā bodhābodhasvabhāvabhedāt // GkT_1.6ab:31	* sA dviDA boDA-boDa-svaBAva-BedAt // GkT_1.6ab:31
   * tatrābodhasvabhāvā dharmādilakṣaṇā vidyāntarbhāvakaraṇād avidyātmakasya	* tatra-aboDa-svaBAvAH Darma-Adi-lakzaNA vidyA-antar-BAva-karaNAt avidyA-Atmakasya
   vidyāntarbhāve kalāder apy antarbhāvaḥ syād iti // GkT_1.6ab:32	vidyA-antarBAve kalA-AdeH api antarBAvaH syAt iti // GkT_1.6ab:32
   * bodhasvabhāvā tu viṣayabhedāc caturdhā pañcadhā coktā // GkT_1.6ab:33	* boDa-svaBAvA tu vizaya-BedAt caturDA paQcaDA ca-uktA // GkT_1.6ab:33
   * svarūpatas tu dvidhā vivekavṛttiḥ sāmānyavṛttiś ceti // GkT_1.6ab:34	* svarUpataH tu dviDA viveka-vRttiH sAmAnya-vRttiH ca-iti // GkT_1.6ab:34
   * tatra vivekavṛttiḥ prāyeṇopadeśavyaṅgyā na ca tatra samākhyāntaram asti	* tatra viveka-vRttiH prAyeNa-upadeSa-vyaFgyA na ca tatra samAKyA-antaram asti
   // GkT_1.6ab:35	// GkT_1.6ab:35
   * vidyaiva hi viśeṣasamākhyā sāmānyavṛttis tu pramāṇamātravyaṅgyā cittam	* vidyA-eva hi viSeza-samAKyA sAmAnya-vRttiH tu pramANa-mAtra-vyaFgyA cittam
   ity uktā // GkT_1.6ab:36	iti uktAH // GkT_1.6ab:36
   * anayor bhedaṣ ṭīkāntare mayā darśita neha pradarśyate // GkT_1.6ab:37	* anayoH BedaH wIka-antare mayA darSita na-iha pradarSyate // GkT_1.6ab:37
   * cetanānāśritatve sati niścetanā kalā // GkT_1.6ab:38	* cetanAnASrita-tve sati niScetanA kalA // GkT_1.6ab:38
   * sāpi dvividhā kāryākhyā karaṇākhyā ceti // GkT_1.6ab:39	* sA-api dviviDA kAryA-AKyA karaNa-AKyA ca-iti // GkT_1.6ab:39
   * tatra kāryākhyā daśavidhā	* tatra kArya-AKyA daSaviDA
   pṛthivyaptejovāvyākāśagandharasarūpasparśaśabdalakṣaṇā karaṇākhyā tu	pRTivI-ap-tejaH-vAvyAkASa-ganDa-rasa-rUpa-sparSa-Sabda-lakzaNA karaNa-AKyA tu
   trayodaśavidhā pañca karmendriyāṇi pañca buddhīndriyāṇy antaḥkaraṇatrayaṃ	trayodaSaviDA paQca karmendriyANi paQca budDIndriyANi antaHkaraNa-trayam
   ceti // GkT_1.6ab:40	ca-iti // GkT_1.6ab:40
   * paśutvasambandhī paśuḥ // GkT_1.6ab:41	* paSutva-sambanDI paSuH // GkT_1.6ab:41
   * so 'pi dvividhaḥ sāñjano nirañjanaś ceti // GkT_1.6ab:42	* saH api dviviDaH sa-aQjanaH niraQjanaH ca-iti // GkT_1.6ab:42
   * tatra sāñjanaḥ śarīrendriyasambandhī caturdaśavidhaḥ // GkT_1.6ab:43	* tatra sAQjanaH SarIra-indriya-sambanDI caturdaSaviDaH // GkT_1.6ab:43
   * uktaṃ hi daivam aṣṭavidhaṃ jñeyaṃ tairyagyonaṃ ca pañcadhā /	* uktam hi dEvam azwaviDam jQeyam tEryagyonam ca paQcaDA /
   * parvam ekaṃ tu mānuṣyam etat saṃsāramaṇḍalam // GkT_1.6ab:44	* parvam ekam tu mAnuzyam etat saMsAra-maNxalam // GkT_1.6ab:44
   * iti nirañjanas tu trividhaḥ saṃhṛtaḥ kaivalyagato niṣṭhāyogayuktaś ceti	* iti niraQjanaH tu triviDaH saMhRtaH kEvalya-gataH nizWA-yoga-yuktaH ca-iti
   // GkT_1.6ab:45	// GkT_1.6ab:45
   * samastasṛṣṭisaṃhārānugrahakāri kāraṇaṃ tasyaikasyāpi guṇadharmabhedād	* samasta-sRzwi-saMhAra-anugraha-kAri kAraNam tasya-ekasya-api guNa-Darma-BedAt-
   vibhāga ukto 'nyatpatitvam ityādinā // GkT_1.6ab:46	viBAgaH uktaH anyat-pati-tvam ityAdinA // GkT_1.6ab:46
   * niratiśayadṛkkriyāśaktiḥ patitvaṃ tenaiśvaryeṇa nityasambandhitvaṃ	* niratiSaya-dRkkriyA-SaktiH pati-tvam tena-ESvaryeNa nitya-sambanDi-tvam
   sattvam anāgantukaiśvaryatvam ādyatvaṃ samastajanmarahitatvam ajātatvaṃ	sattvam anAgantuka-ESvarya-tvam Adya-tvam samasta-janma-rahita-tvam ajAta-tvam
   mahāsṛṣṭisaṃhārakartṛtvaṃ bhavodbhavatvaṃ paramotkṛṣṭaṃ	mahA-sRzwi-saMhAra-kartR-tvam Bava-udBava-tvam parama-utkRzwam
   guṇadharmanimittanāmābhidheyatvaṃ vāmatvaṃ	guNa-Darma-nimitta-nAma-aBiDeya-tvam vAma-tvam
   duḥkhāntanimittadharmotpādakanāmābhidheyatvaṃ vā	duHKAnta-nimitta-Darma-utpAdaka-nAma-aBiDeya-tvam vA
   svecchayaivāśeṣakāryotpattyādikāraṇasvabhāvaḥ krīḍā taddharmitvaṃ devatvaṃ	sva-icCayA-eva-aSeza-kArya-utpatti-Adi-kAraNa-svaBAvaH krIxA tad-Darmi-tvam deva-tvam
   siddhasādhakapaśubhyaḥ paratvaṃ jyeṣṭhatvaṃ sargādāv api	sidDa-sADaka-paSuByaH paratvam jyezWa-tvam sarga-AdO api
   rutabhayasaṃyojakatvaṃ rudratvam karmādinirapekṣasya	ruta-Baya-saMyojaka-tvam rudra-tvam karma-Adi-nirapekzasya
   svecchayaivāśeṣakāryakartṛtvaṃ kāmitvaṃ śamasukhanirvāṇakaratvaṃ	sva-icCayA-eva-aSeza-kArya-kartR-tvam kAmitvam Sama-suKa-nirvANa-kara-tvam
   śaṃkaratvam antarasṛṣṭyām api saṃhārakartṛtvaṃ kālatvaṃ kāryakāraṇākhyānāṃ	SaMkara-tvam antara-sRzwyAm api saMhAra-kartR-tvam kAla-tvam kArya-kAraNa-AKyAnAm
   kalānāṃ sthānaśarīrādibhāvena saṃyojakatvaṃ kalavikaraṇatvaṃ	kalAnAm sTAna-SarIra-Adi-BAvena saMyojaka-tvam kala-vikaraNa-tvam
   dharmādibalānāṃ yatheṣṭaṃ vṛttilābhalopākṣepakartṛtvaṃ balapramathanatvaṃ	Darma-Adi-balAnAm yaTezwam vRttilABala-upAkzepa-kartR-tvam bala-pramaTana-tvam
   sarvadevamānuṣatiraścāṃ ratirañjanādhivāsanākartṛtvaṃ sarvabhūtadamanatvaṃ	sarva-deva-mAnuza-tiraScAm rati-raQjana-aDivAsana-AkartR-tvam sarva-BUta-damana-tvam
   sakalaniṣkalāvasthāyās tulyaśaktitvaṃ manomanastvaṃ	sakala-nizkala-avasTAyAH tulya-Sakti-tvam manaH-manaH-tvam
   sukhakarānantaśarīrādhiṣṭātṛtvam aghoratvaṃ	suKa-kara-ananta-SarIra-aDizwAtR-tvam aGora-tvam
   duḥkhakarānantaśarīrādhiṣṭātṛtvaṃ ghorataratvaṃ sarvavidyādikāryāṇāṃ	duHKa-kara-ananta-SarIra-aDizwAtR-tvam Goratara-tvam sarva-vidyA-Adi-kAryANAm
   vyāptādhiṣṭhātṛtvaṃ pūraṇaṃ yathepsitānantaśarīrādikaraṇaśaktiḥ pauruṣyam	vyApta-aDizWAtR-tvam pUraNam yaTA-Ipsita-ananta-SarIra-Adi-karaNa-SaktiH pOruzyam
   // GkT_1.6ab:47	// GkT_1.6ab:47
   * tad ubhayaṃ bhagavataḥ puruṣatvam ucyate // GkT_1.6ab:48	* tat uBayam BagavataH puruza-tvam ucyate // GkT_1.6ab:48
   * sarvapaśvādibhyo 'bhyadhikotkṛṣṭavyatiriktatvaṃ mahattvaṃ devatvaṃ	* sarva-paSu-AdiByaH aByaDika-utkRzwa-vyatirikta-tvam mahat-tvam deva-tvam
   pūrvoktam // GkT_1.6ab:49	pUrva-uktam // GkT_1.6ab:49
   * duḥkhāntanimittaṃ dhyānaikaviṣayatvam oṃkāratvam // GkT_1.6ab:50	* duHKAnta-nimittam DyAna-eka-vizaya-tvam oMkAra-tvam // GkT_1.6ab:50
   * ṛṣitvaṃ kriyāśaktir jñānaśaktis tu vipratvam // GkT_1.6ab:51	* Rzi-tvam kriyASaktiH jQAnaSaktiH tu vipra-tvam // GkT_1.6ab:51
   * anayor āśrayavyāpitvānantaviṣayatvaniratiśayatvajñāpanārthaṃ tadāśrayo	* anayoH ASraya-vyApitvA-ananta-vizaya-tva-niratiSaya-tva-jQApana-arTam tad-ASrayaH-
   bhagavān mahān ity uktaḥ // GkT_1.6ab:52	BagavAn mahAn iti uktaH // GkT_1.6ab:52
   * sarvadā sarvatrāvicalitasvabhāvena vartamāno bhagavān eṣa ity ucyate //	* sarvadA sarvatra-avicalita-svaBAvena vartamAnaH BagavAn ezaH iti ucyate //
   GkT_1.6ab:53	GkT_1.6ab:53
   * guṇadharmadvāreṇa vācaḥ pravartante yasmād atas tadvyatiriktas	* guNa-Darma-dvAreNa vAcaH pravartante yasmAt atas tad-vyatirikta-s
   tadaviśeṣitaś ca bhagavān viśuddha ity ucyate // GkT_1.6ab:54	tat-aviSezitaH ca BagavAn viSudDaH iti ucyate // GkT_1.6ab:54
   * nityānāgantukaiśvaryayukte paramakāraṇe /	* nityAn-Agantuka-ESvarya-yukte parama-kAraNe /
   * yatra vāco nivartante vāgviśuddhaḥ sa kīrtitaḥ // GkT_1.6ab:55	* yatra vAcaH nivartante vAc-viSudDaH sa kIrtitaH // GkT_1.6ab:55
   * kṣaṇaikam api yas tatra prāpnoty ekāgratāṃ yatiḥ /	* kzaNa-ekam api yaH tatra prApnoti ekAgra-tAm yatiH /
   * sa dagdhvā sarvakarmāṇi śivasāyujyam āpnuyāt // GkT_1.6ab:56	* sa dagDvA sarva-karmANi Siva-sAyujyam ApnuyAt // GkT_1.6ab:56
   * sarvaiśvaryapradātṛtvaṃ maheśvaratvaṃ samastakāryaviṣayaṃ prabhutvam	* sarva-ESvarya-pradAtR-tvam maheSvara-tvam samasta-kArya-vizayam praBu-tvam
   īśatvaṃ sarvavidyāviṣayaṃ prabhutvam īśānatvaṃ sarvabhūtaviṣayaṃ	ISa-tvam sarva-vidyA-vizayam praBu-tvam ISAna-tvam sarva-BUta-vizayam
   prabhutvam īśvaratvam // GkT_1.6ab:57	praBu-tvam ISvara-tvam // GkT_1.6ab:57
   * prakramāpekṣaḥ khalv evam īśādiśabdānām arthaḥ pradarśito 'nyathā punar	* prakrama-apekzaH Kalu evam ISa-Adi-SabdAnAm arTaH pradarSitaH anyaTA punar-
   ekārthatvam eveti // GkT_1.6ab:58	eka-arTa-tvam eva-iti // GkT_1.6ab:58
   * brahmagrahaṇasyodāharaṇārthatvād aśeṣapativiṣayaprabhutvam adhipatitvaṃ	* brahma-grahaNasya-udAharaNa-arTa-tvAt aSeza-pati-vizaya-praBu-tvam aDipati-tvam
   bṛṃhaṇabṛhattvaṃ brahmatvaṃ paripūrṇaparitṛptatvaṃ śivatvam iti //	bRMhaNa-bRhat-tvam brahma-tvam paripUrNa-paritRpta-tvam Siva-tvam iti //
   GkT_1.6ab:59	GkT_1.6ab:59
   * evaṃ suniścitāḥ khalv ime guṇadharmāḥ parameśvarasyopahārakāle gāyatā	* evam su-niScitAH Kalu ime guNa-DarmAH parameSvarasya-upahAra-kAle gAyatA
   bhāvayitavyāḥ satataṃ vā japaṃ ca kurvatā	BAvayitavyAH satatam vA japam ca kurvatA
   vibhaktyupasarganipātakriyāpadānām arthaiḥ saha cintanīyās tato 'cireṇaiva	viBakti-upasarga-nipAta-kriyA-padAnAm arTEH saha cintanIyAH tatas acireNa-eva
   kālena śuddhivṛddhī bhavataḥ // GkT_1.6ab:60	kAlena SudDi-vRdDI BavataH // GkT_1.6ab:60
   * te ca svātmasaṃvedye iti // GkT_1.6ab:61	* te ca sva-Atma-saMvedye iti // GkT_1.6ab:61
   * dharmārthaḥ sādhakavyāpāro vidhiḥ // GkT_1.6ab:62	* Darma-arTaH sADaka-vyApAraH viDiH // GkT_1.6ab:62
   * sa dvividhaḥ pradhānabhūto guṇabhūtaś ceti // GkT_1.6ab:63	* sa dviviDaH praDAna-BUtaH guNa-BUtaH ca-iti // GkT_1.6ab:63
   * tatrāvyavadhānena dharmahetur yo vidhiḥ sa pradhānabhūtaś caryeti	* tatra-avyavaDAnena Darma-hetuH yaH viDiH sa praDAna-BUtaH caryA-iti
   vakṣyate // GkT_1.6ab:64	vakzyate // GkT_1.6ab:64
   * yas tu caryānugrāhakaḥ sa guṇabhūto 'nusnānādiḥ // GkT_1.6ab:65	* yaH tu caryA-anugrAhakaH sa guNa-BUtaH anusnAna-AdiH // GkT_1.6ab:65
   * tatra bhuktocchiṣṭādinimittāyogyatāpratyayanivṛttyarthaṃ	* tatra Bukta-ucCizwa-Adi-nimitta-ayogya-tA-pratyaya-nivRtti-arTam
   liṅgābhivyaktyarthaṃ ca yat snānaṃ yat kaluṣanivṛttyarthaṃ tad	liFga-aBivyakti-arTam ca yat snAnam yat kaluza-nivRtti-arTam tat-
   upasparśanam // GkT_1.6ab:66	upasparSanam // GkT_1.6ab:66
   * etad ubhayam apy ajapataiveśvaraniyogam anusaṃdhāya saṃsāradoṣaṃ	* etat uBayam api ajapata-eva-ISvara-niyogam anusaMDAya saMsAra-dozam
   bhāvayatā gurulaghubhāvaṃ ca paryālocya bhasmanaiva kartavyam //	BAvayatA guru-laGu-BAvam ca paryAlocya BasmanA-eva kartavyam //
   GkT_1.6ab:67	GkT_1.6ab:67
   * nirmālyadhāraṇam api liṅgābhivyaktibhaktivṛddhidvāreṇa caryānugrāhakam	* nirmAlya-DAraNam api liFga-aBivyakti-Bakti-vRdDi-dvAreNa caryA-anugrAhakam
   // GkT_1.6ab:68	// GkT_1.6ab:68
   * vicārya kāraṇanirmālyaṃ niṣparigrahaṃ paraṃ kṛtaṃ gṛhītvā saṃyatātmanā	* vicArya kAraNa-nirmAlyam nizparigraham param kRtam gRhItvA saMyata-AtmanA
   kāraṇaṃ praṇamyānujñāṃ prārthayet tataḥ prasannamukhaṃ bhagavantaṃ	kAraNam praNamya-anujQAm prArTayet tatas prasanna-muKam Bagavantam
   svanirmālyaṃ nirmalīkaraṇāya prayacchantaṃ dhyātvā mahāprasāda ity	sva-nirmAlyam nirmalIkaraNAya prayacCantam DyAtvA mahA-prasAdaH iti-
   abhisaṃdhāya bhaktyaiva śirasi dhārayet // GkT_1.6ab:69	aBisaMDAya BaktyA-eva Sirasi DArayet // GkT_1.6ab:69
   * tathāyatanavāsitvam api caryānugrāhakam // GkT_1.6ab:70	* taTA-Ayatana-vAsi-tvam api caryA-anugrAhakam // GkT_1.6ab:70
   * tathā coktam /	* taTA ca-uktam /
   * dharmakṣetraṃ paraṃ hy etac chivāyatanaṃ bhuvi /	* Darma-kzetram param hi etat Siva-Ayatanam Buvi /
   * vidhibījasya sā bhūmis tatra vaptam mahāphalam // GkT_1.6ab:71	* viDi-bIjasya sA BUmiH tatra vaptam mahA-Palam // GkT_1.6ab:71
   * liṅgāddhastaśataṃ sāgraṃ śivakṣetraṃ samantataḥ /	* liFgAt-hasta-Satam sAgram Siva-kzetram samantataH /
   * jantūnāṃ tatra pañcatvaṃ śivasāyujyakāraṇam // GkT_1.6ab:72	* jantUnAm tatra paQcatvam Siva-sAyujya-kAraNam // GkT_1.6ab:72
   * grāme vā yadi vetyādi // GkT_1.6ab:73	* grAme vA yadi vA-ityAdi // GkT_1.6ab:73
   * upasparśanenākṣapitakaluṣakṣāpaṇārthaṃ prāṇāyāmaḥ // GkT_1.6ab:74	* upasparSanena-Akzapita-kaluza-kzApaNa-arTam prANAyAmaH // GkT_1.6ab:74
   * koṣṭhasya vāyor gatinirodhaḥ prāṇāyāmaḥ // GkT_1.6ab:75	* kozWasya vAyoH gati-niroDaH prANAyAmaH // GkT_1.6ab:75
   * tatropaspṛśya kāraṇatīrthakaragurūn anupraṇamya prāṅmukha udaṅmukho vā	* tatra-upaspRSya kAraNa-tIrTakara-gurUn anupraNamya prAFmuKaH udaFmuKaH vA
   padmakasvastikādīnām anyatamaṃ yathāsukham āsanaṃ baddhvā kṛtam unnataṃ ca	padmaka-svastika-AdInAm anyatamam yaTAsuKam Asanam badDvA kRtam unnatam ca
   kṛtvā śanaiḥ saṃyatāntaḥkaraṇena recakādīn kuryāt // GkT_1.6ab:76	kRtvA SanEs saMyata-antaHkaraNena recaka-AdIn kuryAt // GkT_1.6ab:76
   * kaluṣābhāve 'pi cittasyātinirmalatvāpādanārtham abhyāsārthaṃ nityaṃ	* kaluza-aBAve api cittasya-ati-nirmala-tva-ApAdana-arTam aByAsa-arTam nityam
   kuryāt // GkT_1.6ab:77	kuryAt // GkT_1.6ab:77
   * uktaṃ hi /	* uktam hi /
   * prāṇāyāmair dahed doṣān dhāraṇābhiś ca kilbiṣam /	* prANAyAmEH dahet dozAn DAraNABiH ca kilbizam /
   * pratyāhāreṇa viṣayān dhyānenānīśvarān guṇān // GkT_1.6ab:78	* pratyAhAreNa vizayAn DyAnena-anISvarAn guNAn // GkT_1.6ab:78
   * prāṇāyāmena yuktasya viprasya niyatātmanaḥ /	* prANAyAmena yuktasya viprasya niyata-AtmanaH /
   * sarve doṣāḥ praṇaśyanti sattvasthaś caiva jāyate // GkT_1.6ab:79	* sarve dozAH praNaSyanti sattva-sTaH ca-eva jAyate // GkT_1.6ab:79
   * jalabindukuśāgreṇa māse māse ca yaḥ pibet /	* jala-bindu-kuSa-agreNa mAse mAse ca yaH pibet /
   * saṃvatsaraśataṃ sāgraṃ prāṇāyāmaikatatsamam // GkT_1.6ab:80	* saMvatsara-Satam sAgram prANAyAma-eka-tad-samam // GkT_1.6ab:80
   * prāṇāyāmaviśuddhātmā yasmāt paśyati tatparam /	* prANAyAma-viSudDa-AtmA yasmAt paSyati tad-param /
   * tasmāt kiṃcit paraṃ nāsti prāṇāyāmād iti śrutiḥ // GkT_1.6ab:81	* tasmAt kiMcid param na-asti prANAyAmAt iti SrutiH // GkT_1.6ab:81
   * tadakṣapitakaluṣakṣapaṇārthaṃ japaḥ kartavyaḥ // GkT_1.6ab:82	* tad-akzapita-kaluza-kzapaNa-arTam japaH kartavyaH // GkT_1.6ab:82
   * tṛtīyacaturthayor anyatarasmin brahmaṇi prayatnaniruddhaṃ cittaṃ	* tRtIya-caturTayoH anyatarasmin brahmaNi prayatna-nirudDam cittam
   sampūrṇākṣarānubodhena tadarthānubodhena vā punaḥ punaḥ saṃcārayed iti //	sampUrNa-akzara-anuboDena tad-arTa-anuboDena vA punar punar saMcArayet iti //
   GkT_1.6ab:83	GkT_1.6ab:83
   * evaṃ ca prāyaścittāntaram utsūtratvān na kartavyam iti // GkT_1.6ab:84	* evam ca prAyaScitta-antaram utsUtra-tvAt na kartavyam iti // GkT_1.6ab:84
   * nanu ca trikasya kaluṣanivṛttyartham evābhidhānaṃ vyabhicārāntareṣu	* nanu ca trikasya kaluza-nivRtti-arTam eva-aBiDAnam vyaBicAra-antarezu
   punaḥ kiṃ prāyaścittam // GkT_1.6ab:85	punar kim prAyaScittam // GkT_1.6ab:85
   * na caitad vācyaṃ yater apramattasya sarvadaiva saṃyatatvād asambhavī	* na ca-etat vAcyam yateH apramattasya sarvadA-eva saMyata-tvAt asamBavI
   vyabhicāra iti kāmādivyabhicāreṇa samānatvāt trikasyāpy anārambhaprasaṅgo	vyaBicAraH iti kAma-Adi-vyaBicAreNa samAna-tvAt trikasya-api anAramBa-prasaFgaH-
   vā // GkT_1.6ab:86	vA // GkT_1.6ab:86
   * kiṃ cādharmasāmarthyād viduṣo 'pi vyabhicārasambhavāt // GkT_1.6ab:87	* kim ca-aDarma-sAmarTyAt viduzaH api vyaBicAra-samBavAt // GkT_1.6ab:87
   * uktaṃ ca hriyate budhyamāno 'pi ityādi // GkT_1.6ab:88	* uktam ca hriyate buDyamAnaH api ityAdi // GkT_1.6ab:88
   * hiṃsāyāś cāvaśyaṃbhāvitvāt // GkT_1.6ab:89	* hiMsAyAH ca-avaSyaMBAvi-tvAt // GkT_1.6ab:89
   * uktaṃ hi /	* uktam hi /
   * ahṇā rātryā ca yāñ jantūn nihanty ajñānato yatiḥ /	* ahNA rAtryA ca yAn jantUn nihanti ajQAnataH yatiH /
   * teṣāṃ snātvā viśuddhyarthaṃ prāṇāyāmān ṣaḍ ācaret // GkT_1.6ab:90	* tezAm snAtvA viSudDi-arTam prANAyAmAn zaw Acaret // GkT_1.6ab:90
   * pratidinam ity arthaḥ // GkT_1.6ab:91	* pratidinam iti arTaH // GkT_1.6ab:91
   * atraike sarvavyabhicāreṣu trikam eva kartavyam iti manyante //	* atra-eke sarva-vyaBicArezu trikam eva kartavyam iti manyante //
   GkT_1.6ab:92	GkT_1.6ab:92
   * vayaṃ tu paśyāmaḥ kaluṣanivṛttyartham eva trikaṃ kartavyam //	* vayam tu paSyAmaH kaluza-nivRtti-arTam eva trikam kartavyam //
   GkT_1.6ab:93	GkT_1.6ab:93
   * bhāṣyasyāpi tathaiva śrutatvān nādṛṣṭārtham adṛṣṭaśuddheś cāniścayāt	* BAzyasya-api taTA-eva SrutatvAt na-adRzwa-arTam adRzwa-SudDeH ca-aniScayAt-
   trikānuparamaprasaṅgaḥ syāt tasmāt kaluṣanivṛttau	trika-anuparama-prasaFgaH syAt tasmAt kaluza-nivRttO
   pūrvakṛtādharmakṣapaṇavad vyabhicārakṛtādharmakṣapaṇārtham api	pUrva-kRta-aDarma-kzapaNa-vat vyaBicAra-kRta-aDarma-kzapaNa-arTam api
   vidhyācaraṇam eva kartavyam // GkT_1.6ab:94	viDi-AcaraNam eva kartavyam // GkT_1.6ab:94
   * tathā ca sūtraṃ bhūyas tapaś caret iti // GkT_1.6ab:95	* taTA ca sUtram BUyas tapaH caret iti // GkT_1.6ab:95
   * manur apy āha /	* manuH api Aha /
   * yat kiṃcid enaḥ kurvanti vāṅmanomūrtibhir janāḥ /	* yat kiMcid enaH kurvanti vAc-manaH-mUrtiBiH janAH /
   * tat sarvaṃ nirṇudanty āśu tapasaiva tapodhanāḥ // GkT_1.6ab:96	* tat sarvam nirNudanti ASu tapasA-eva tapoDanAH // GkT_1.6ab:96
   * mahāpātakinaś caiva śeṣāś cākāryakāriṇaḥ /	* mahApAtakinaH ca-eva SezAH ca-akArya-kAriNaH /
   * tapasaiva sutaptena mucyante kilbiṣāt tataḥ // GkT_1.6ab:97	* tapasA-eva su-taptena mucyante kilbizAt tatas // GkT_1.6ab:97
   * tathā śrīmadbhāṣyakṛtāpi jñāpakam uktam /	* taTA SrImat-BAzya-kRtA-api jQApakam uktam /
   * tapobhir āryā nirṇudanti pāpaṃ dhyānopayogāt kṣapayanti puṇyam /	* tapoBiH AryAH nirNudanti pApam DyAna-upayogAt kzapayanti puNyam /
   * te nirmalās tattvavido viśuddhā gacchanti mokṣaṃ hy ubhayor abhāvāt //	* te nirmalAH tattva-vidaH viSudDAH gacCanti mokzam hi uBayoH aBAvAt //
   GkT_1.6ab:98	GkT_1.6ab:98
   * na cāyaṃ niyamaḥ puṇyakṣaya eva dhyānāt kiṃtu pāpakṣayo 'pi //	* na ca-ayam niyamaH puNya-kzayaH eva DyAnAt kiMtu pApa-kzayaH api //
   GkT_1.6ab:99	GkT_1.6ab:99
   * yataḥ tatraiva jñāpakāntaram uktam // GkT_1.6ab:100	* yatas tatra-eva jQApaka-antaram uktam // GkT_1.6ab:100
   * sarvaṃ dahati dhyānena puṇyapāpakriyāśrayam /	* sarvam dahati DyAnena puNya-pApa-kriyA-ASrayam /
   * puṇyapāpaphale dagdhe svāmī tasya na vidyate // GkT_1.6ab:101	* puNya-pApa-Pale dagDe svAmI tasya na vidyate // GkT_1.6ab:101
   * iti // GkT_1.6ab:102	* iti // GkT_1.6ab:102
   * evaṃ tarhy anarthakaṃ vidhyanuṣṭhānam iti cen nānena vidhinā	* evam tarhi anarTakam viDi-anuzWAnam iti ced na-anena viDinA
   rudrasamīpaṃ gatveti pravacanād vidhyanuṣṭhānavikalasya	rudra-samIpam gatvA-iti pravacanAt viDi-anuzWAna-vikalasya
   yogānuṣṭhānasāmarthyābhāvāt // GkT_1.6ab:103	yoga-anuzWAna-sAmarTya-aBAvAt // GkT_1.6ab:103
   * tathā cānyatrāpy uktam /	* taTA ca-anyatra-api uktam /
   * dharmaḥ prayatnataḥ kāryo yoginā tu viśeṣataḥ /	* DarmaH prayatnataH kAryaH yoginA tu viSezataH /
