   vaiśeṣikasūtram	vESezika-sUtram
   hetur apadeśo liṅgaṃ nimittaṃ pramāṇaṃ kāraṇam ity anarthāntaram |	hetuH apadeSaH liFgam nimittam pramANam kAraNam iti anarTa-antaram |
   KVs_9.20 |	KVH-_9.20 |
   asyedam iti buddhyapekṣatvāt | KVs_9.21 |	asya-idam iti budDi-apekza-tvAt | KVH-_9.21 |
   ātmamanasoḥ saṃyogaviśeṣāt saṃskārāc ca smṛtiḥ | KVs_9.22 |	Atma-manasoH saMyoga-viSezAt saMskArAt ca smRtiH | KVH-_9.22 |
   tathā svapnaḥ svapnāntikaṃ ca | KVs_9.23 |	taTA svapnaH svapna-antikam ca | KVH-_9.23 |
   dharmāc ca | KVs_9.24 |	DarmAt ca | KVH-_9.24 |
   indriyadoṣāt saṃskārāc cāvidyā | KVs_9.25 |	indriya-dozAt saMskArAt ca-avidyA | KVH-_9.25 |
   tad duṣṭaṃ jñānam | KVs_9.26 |	tat duzwam jQAnam | KVH-_9.26 |
   aduṣṭaṃ vidyā | KVs_9.27 |	aduzwam vidyA | KVH-_9.27 |
   ārṣaṃ siddhadarśanaṃ ca dharmebhyaḥ | KVs_9.28 |	Arzam sidDa-darSanam ca DarmeByaH | KVH-_9.28 |
   ātmasamavāyaḥ sukhaduḥkhayoḥ pañcabhyo 'rthāntaratve hetus tadāśrayibhyaś	Atma-samavAyaH suKa-duHKayoH paQcaByaH arTa-antara-tve hetuH tad-ASrayiByaS
   ca guṇebhyaḥ | KVs_10.1 |	ca guNeByaH | KVH-_10.1 |
   iṣṭāniṣṭakāraṇaviśeṣād virodhāc ca mithaḥ sukhaduḥkhayor arthāntarabhāvaḥ	izwa-anizwa-kAraNa-viSezAt viroDAt ca miTas suKa-duHKayoH arTa-antara-BAvaH
   | KVs_10.2 |	| KVH-_10.2 |
   saṃśayanirṇayayor arthāntarabhāvaś ca jñānāntaratve hetuḥ | KVs_10.3 |	saMSaya-nirNayayoH arTa-antara-BAvaH ca jQAna-antara-tve hetuH | KVH-_10.3 |
   tayor niṣpattiḥ pratyakṣalaiṅgikābhyāṃ jñānāntaratve hetuḥ | KVs_10.4 |	tayoH nizpattiH pratyakza-lEFgikAByAm jQAna-antara-tve hetuH | KVH-_10.4 |
   bhūtam iti pratyakṣaṃ vyākhyātam | KVs_10.5 |	BUtam iti pratyakzam vyAKyAtam | KVH-_10.5 |
   bhaviṣyatīti kāryāntare dṛṣṭatvāt | KVs_10.6 |	Bavizyati-iti kArya-antare dRzwa-tvAt | KVH-_10.6 |
   tathā bhavatīti sāpekṣebhyo 'napekṣebhyaś ca | KVs_10.7 |	taTA Bavati-iti sa-apekzeByaH anapekzeByaH ca | KVH-_10.7 |
   abhūd ity abhūtāt | KVs_10.8 |	aBUt iti aBUtAt | KVH-_10.8 |
   sati ca kāryāsamavāyāt | KVs_10.9 |	sati ca kArya-asamavAyAt | KVH-_10.9 |
   ekārthasamavāyiṣu kāraṇāntareṣu darśanād ekadeśa ity ekasmin | KVs_10.10 |	eka-arTa-samavAyizu kAraNa-antarezu darSanAt eka-deSaH iti ekasmin | KVH-_10.10 |
   śiraḥ pṛṣṭham udaraṃ pāṇir iti tadviśeṣebhyaḥ | KVs_10.11 |	SiraH pRzWam udaram pANiH iti tad-viSezeByaH | KVH-_10.11 |
   kāraṇam iti dravye kāryasamavāyāt | KVs_10.12 |	kAraNam iti dravye kArya-samavAyAt | KVH-_10.12 |
   saṃyogāt vā | KVs_10.13 |	saMyogAt vA | KVH-_10.13 |
   kāraṇasamavāyāt karmaṇi | KVs_10.14 |	kAraNa-samavAyAt karmaNi | KVH-_10.14 |
   tathā rūpe kāraṇakāraṇasamavāyāc ca | KVs_10.15 |	taTA rUpe kAraNa-kAraNa-samavAyAt ca | KVH-_10.15 |
   kāraṇasamavāyāt saṃyoge | KVs_10.16 |	kAraNa-samavAyAt saMyoge | KVH-_10.16 |
   tathā kāraṇākāraṇasamavāyāc ca | KVs_10.17 |	taTA kAraNa-akAraNa-samavAyAt ca | KVH-_10.17 |
   saṃyuktasamavāyād agner vaiśeṣikam | KVs_10.18 |	saMyukta-samavAyAt agneH vESezikam | KVH-_10.18 |
   laiṅgikaṃ pramāṇaṃ vyākhyātam | KVs_10.19 |	lEFgikam pramANam vyAKyAtam | KVH-_10.19 |
   dṛṣṭānāṃ dṛṣṭaprayojanānāṃ dṛṣṭābhāve prayogo 'bhyudayāya (S omits	dRzwAnAm dRzwa-prayojanAnAm dRzwa-aBAve prayogaH aByudayAya (H omits
   dṛṣṭaprayojanānāṃ) | KVs_10.20 |	dRzwa-prayojanAnAn) | KVH-_10.20 |
   tadvacanād āmnāyaprāmāṇyam iti (U,S āmnāyasya prāmāṇyam) | KVs_10.21 |	tad-vacanAt AmnAya-prAmANyam iti (U,H AmnAyasya prAmANyam) | KVH-_10.21 |
