   Carmavastu	Carma-vastu
   tṛṣito 'si mā bubhukṣito 'si vā / sa saṃlakṣayati / nūnaṃ devīyaṃ vā nāgī	tRzitaH asi mA buBukzitaH asi vA / sa saMlakzayati / nUnam devI-iyam vA nAgI
   vā yakṣī vā bhaviṣyati / sa kathayati / ārye tṛṣito 'smi bubhukṣito 'smi /	vA yakzI vA Bavizyati / sa kaTayati / Arye tRzitaH asmi buBukzitaH asmi /
   tayāsau snāpitaḥ bhojitaḥ uktaś ca / śroṇa yady ete kiñcin mṛgayanti mā	tayA-asO snApitaH BojitaH uktaH ca / SroNa yadi ete kiQcid mRgayanti mA
   dāsyasīty uktvā teṣāṃ satvānāṃ karma svakṛtaṃ pratyakṣīkartukāmā vimānaṃ	dAsyasi-iti uktvA tezAm satvAnAm karma sva-kRtam pratyakzIkartu-kAmA vimAnam
   praviśyāvasthitā / te mṛgayitum ārabdhāḥ / śroṇa kāruṇikas tvaṃ bubhukṣitā	praviSya-avasTitAH / te mRgayitum ArabDAH / SroNa kAruNikaH tvam buBukzitA
   vayam asmākam anuprayaccha / tenaikasya kṣiptaṃ busaplāvī prādurbhūtā /	vayam asmAkam anuprayacCa / tena-ekasya kziptam busa-plAvI prAdurBUtA /
   aparasya kṣiptam ayoguḍaṃ bhakṣayitum ārabdhaḥ / aparasya kṣiptaṃ	aparasya kziptam ayaH-guxam Bakzayitum ArabDaH / aparasya kziptam
   svamāṃsaṃ bhakṣayitum ārabdhaḥ / aparasya kṣiptaṃ pūyaśoṇitaṃ	sva-mAMsam Bakzayitum ArabDaH / aparasya kziptam pUya-SoNitam
   prādurbhūtam* / sa paśyati visragandhena nirgatam* / śroṇa nivāritas tvaṃ	prAdurBUtam* / sa paSyati visra-ganDena nirgatam* / SroNa nivAritaH tvam
   mayā kasmāt tvayaiṣāṃ dattam* / kiṃ mama karuṇayā tvam eva kāruṇikataraḥ /	mayA kasmAt tvayA-ezAm dattam* / kim mama karuNayA tvam eva kAruNikataraH /
   sa kathayati / bhagini tavaite ke bhavanti / sā kathayati / ayaṃ me svāmī	sa kaTayati / Bagini tava-ete ke Bavanti / sA kaTayati / ayam me svAmI
   / ayaṃ me putraḥ / iyaṃ me snuṣā / iyaṃ me dāsī / sa āha / ke yūyaṃ kena	/ ayam me putraH / iyam me snuzA / iyam me dAsI / saH Aha / ke yUyam kena
   vā karmaṇā ihopapannāḥ / tayoktam* / śroṇa duṣkuhakā jambudvīpakā manuṣyā	vA karmaNA iha-upapannAH / tayA-uktam* / SroNa duzkuhakA jambudvIpakAH manuzyA
   nābhiśraddadhāsyanti / ahaṃ bhagini pratyakṣadarśī (MSV IV 177) kasmān	na-aBiSraddaDAsyanti / aham Bagini pratyakza-darSI (MSV IV 177) kasmAn
   nābhiśraddadhāsye / sā kathayati / ahaṃ vāsavagrāmake brāhmaṇy āsīt* /	na-aBiSraddaDAsye / sA kaTayati / aham vAsavagrAmake brAhmaNI AsIt* /
   mayā nakṣatrarātrau pratyupasthitāyāṃ praṇītam āhāraṃ sajjīkṛtam* / āryaś	mayA nakzatra-rAtrO pratyupasTitAyAm praNItam AhAram sajjIkRtam* / AryaS
   ca (84v = GBM 6.751) mahākātyāyano mamānukampayā vāsavagrāmakaṃ piṇḍāya	ca (84u  GBm 6.751) mahAkAtyAyanaH mama-anukampayA vAsavagrAmakam piNxAya
   prāvikṣat* / sa mayā dṛṣṭaḥ kāyaprāsādikaś cittaprāsādikaḥ / cittam	prAvikzat* / sa mayA dRzwaH kAya-prAsAdikaH citta-prAsAdikaH / cittam
   abhiprasannaṃ dṛṣṭvā sa mayā prāsādajātayā piṇḍakena pratipāditaḥ / tasyā	aBiprasannam dRzwvA sa mayA prAsAda-jAtayA piNxakena pratipAditaH / tasyAH-
   mama buddhir utpannā svāminam anumodayāmi prāmodyam utpādayiṣyatīti / sa	mama budDiH utpannA svAminam anumodayAmi prAmodyam utpAdayizyati-iti / sa
   snātvā āgato mayoktaḥ / āryaputrānumodasva mayāryo mahākātyāyanaḥ	snAtvA AgataH mayA-uktaH / Arya-putra-anumodasva mayA-AryaH mahAkAtyAyanaH
   piṇḍakena pratipāditaḥ / sa ruṣito yāvad brāhmaṇānāṃ na dīyate jñātīnāṃ vā	piNxakena pratipAditaH / sa ruzitaH yAvat brAhmaNAnAm na dIyate jQAtInAm vA
   jñātipūjā na kriyate tāvat tvayā tasmai muṇḍakāya śramaṇakāyāgrapiṇḍakaṃ	jQAti-pUjA na kriyate tAvat tvayA tasmE muNxakAya SramaNakAya-agra-piNxakam
   dattam* / so 'marṣajātaḥ kathayati / kasmāt sa muṇḍakaḥ śramaṇako	dattam* / saH amarza-jAtaH kaTayati / kasmAt sa muNxakaH SramaNakaH-
   busaplāvīṃ na bhakṣayatīti / tasya karmaṇo vipākenāyaṃ busaplāvīṃ	busa-plAvIm na Bakzayati-iti / tasya karmaNaH vipAkena-ayam busa-plAvIm
   bhakṣayati / mama buddhir utpannā putraṃ tāvad anumodayāmi / prāmodyam	Bakzayati / mama budDiH utpannA putram tAvat anumodayAmi / prAmodyam
   utpādayiṣyatīti / so 'pi mayoktaḥ / putrānumodasva mayāryo mahākātyāyanaḥ	utpAdayizyati-iti / saH api mayA-uktaH / putra-anumodasva mayA-AryaH mahAkAtyAyanaH
   piṇḍakena pratipāditaḥ / so 'pi ruṣito yāvad brāhmaṇānāṃ na dīyate	piNxakena pratipAditaH / saH api ruzitaH yAvat brAhmaNAnAm na dIyate
   jñātīnāṃ vā jñātipūjā na kriyate tāvat tvayā tasmai muṇḍakāya	jQAtInAm vA jQAti-pUjA na kriyate tAvat tvayA tasmE muNxakAya
   śramaṇakāyāgrapiṇḍakaṃ dattam* / so 'py amarṣajātaḥ kathayati / kasmāt sa	SramaNakAya-agra-piNxakam dattam* / saH api amarza-jAtaH kaTayati / kasmAt sa
   muṇḍakaḥ śramaṇako 'yoguḍaṃ na bhakṣayatīti / tasya (MSV IV 178) karmaṇo	muNxakaH SramaNakaH ayaH-guxam na Bakzayati-iti / tasya (MSV IV 178) karmaNaH-
   vipākenāyam ayoguḍaṃ bhakṣayati / nakṣatrarātryāṃ pratyupasthitāyāṃ	vipAkena-ayam ayaH-guxam Bakzayati / nakzatra-rAtryAm pratyupasTitAyAm
   jñātayaḥ praheṇakāni mama preṣayanti / tāny ahaṃ snuṣāyāḥ samarpayāmi / sā	jQAtayaH praheNakAni mama prezayanti / tAni aham snuzAyAH samarpayAmi / sA
   praṇītāni praheṇakāni bhakṣayitvā mama lūhāni upanāmayati / ahaṃ teṣāṃ	praNItAni praheNakAni BakzayitvA mama lUhAni upanAmayati / aham tezAm
   jñātīnāṃ sandiśāmi / kiṃ nu yūyaṃ durbhikṣe yathā lūhāni praheṇakāni	jQAtInAm sandiSAmi / kim nu yUyam durBikze yaTA lUhAni praheNakAni
   preṣayatheti / te mama sandiśanti / na vayaṃ lūhāni preṣayāmaḥ api tu	prezayaTa-iti / te mama sandiSanti / na vayam lUhAni prezayAmaH api tu
   praṇītāny eva praheṇakāni preṣayāmaḥ / mayā snuṣābhihitā / vadhūke mā tvaṃ	praNItAni eva praheNakAni prezayAmaH / mayA snuzA-aBihitA / vaDUke mA tvam
   praṇītāni praheṇakāni bhakṣayitvāsmākaṃ lūhāny upanāmayasi / sā kathayati	praNItAni praheNakAni BakzayitvA-asmAkam lUhAni upanAmayasi / sA kaTayati
   / kiṃ na svamāṃsāni bhakṣayati yāhaṃ tvadīyāni praheṇakāni bhakṣayāmīti /	/ kim na sva-mAMsAni Bakzayati yA-aham tvadIyAni praheNakAni BakzayAmi-iti /
   iyaṃ tasya karmaṇo vipākena svamāṃsāni bhakṣayati / nakṣatrarātryāṃ	iyam tasya karmaNaH vipAkena sva-mAMsAni Bakzayati / nakzatra-rAtryAm
   pratyupasthitāyām ahaṃ dārikāyā haste praṇītāni praheṇakāni datvā jñātīnāṃ	pratyupasTitAyAm aham dArikAyAH haste praNItAni praheNakAni datvA jQAtInAm
   preṣayāmi / sā dārikā tāni praṇītāni praheṇakāni mārge 'ntarbhakṣayitvā	prezayAmi / sA dArikA tAni praNItAni praheNakAni mArge antar-BakzayitvA
   teṣāṃ lūhāny upanāmayati / te mama sandiśanti / kiṃ nu tvaṃ durbhikṣe	tezAm lUhAni upanAmayati / te mama sandiSanti / kim nu tvam durBikze
   yathā lūhāny asmākaṃ praheṇakāni preṣayasīti / ahaṃ teṣāṃ sandiśāmi /	yaTA lUhAni asmAkam praheNakAni prezayasi-iti / aham tezAm sandiSAmi /
   nāhaṃ lūhāni praheṇakāni preṣayāmi api tu praṇītāny evāhaṃ preṣayāmīti /	na-aham lUhAni praheNakAni prezayAmi api tu praNItAni eva-aham prezayAmi-iti /
   mayā dārikābhihitā / dārike mā tvaṃ praṇītāni praheṇakāni bhakṣayitvā	mayA dArikA-aBihitA / dArike mA tvam praNItAni praheNakAni BakzayitvA
   teṣāṃ lūhāny upanāmayasi / sā kathayati / kiṃ nu pūyaśoṇitaṃ na bhakṣayati	tezAm lUhAni upanAmayasi / sA kaTayati / kim nu pUya-SoNitam na Bakzayati
   yā tvadīyāni praheṇakāni bhakṣayatīti / tasya karmaṇo vipākeneyaṃ	yA tvadIyAni praheNakAni Bakzayati-iti / tasya karmaNaH vipAkena-iyam
   pūyaśoṇitaṃ bhakṣayati / mama buddhir utpannā / tatra (MSV IV 179)	pUya-SoNitam Bakzayati / mama budDiH utpannAH / tatra (MSV IV 179)
   pratisandhiṃ gṛhṇāmi yatraitān satvān svakaṃ svakaṃ karmaphalaṃ	pratisanDim gRhNAmi yatra-etAn satvAn svakam svakam karma-Palam
   paribhuñjānān paśyāmīti / yan mayāryamahākātyāyanaṃ piṇḍakena pratipādya	pariBuQjAnAn paSyAmi-iti / yat mayA-Arya-mahAkAtyAyanam piNxakena pratipAdya
   praṇīte (85r = GBM 6.752) trayastriṃśe devanikāye upapattavyaṃ sāhaṃ	praNIte (85H  GBm 6.752) trayastriMSe deva-nikAye upapattavyam sA-aham
   mithyāpraṇidhānaṃ kṛtvā pretamaharddhikā saṃvṛttā /	miTyA-praNiDAnam kRtvA preta-mahardDikA saMvRttAH /
   śroṇa gamiṣyasi tvaṃ vāsavagrāmakaṃ tatra mama duhitā veśyāṃ vāhayati / sā	SroNa gamizyasi tvam vAsavagrAmakam tatra mama duhitA veSyAm vAhayati / sA
   tvayā vaktavyā / dṛṣṭās te mayā pitā mātā bhrātā bhrātur jāyā dāsī / te	tvayA vaktavyAH / dRzwAH te mayA pitA mAtA BrAtA BrAtuH jAyA dAsI / te
   kathayanti / aniṣṭo 'sya karmaṇaḥ phalavipāko viramāsmāt pāpakād	kaTayanti / anizwaH asya karmaNaH Pala-vipAkaH virama-asmAt pApakAt-
   asaddharmāt* / bhagini tvam evaṃ kathayasi / duṣkuhakā jambudvīpakā	asat-DarmAt* / Bagini tvam evam kaTayasi / duzkuhakA jambudvIpakA
   manuṣyā nābhiśraddadhāsyanti / śroṇa yadi na śraddadhāsyati vaktavyā tava	manuzyAH na-aBiSraddaDAsyanti / SroNa yadi na SraddaDAsyati vaktavyA tava
   paurāṇe paitrike vāsagṛhe catvāro lohasaṃghāṭāḥ suvarṇasya pūrṇās	pOrANe pEtrike vAsagRhe catvAraH loha-saMGAwAH suvarNasya pUrNAH-
   tiṣṭhanti madhye ca sauvarṇadaṇḍakamaṇḍaluḥ / te kathayanti tam	tizWanti maDye ca sOvarNa-daNxa-kamaNxaluH / te kaTayanti tam
   uddhṛtyātmānaṃ samyaksukhena prīṇaya āryaṃ ca mahākātyāyanaṃ kālena kālaṃ	udDRtya-AtmAnam samyak-suKena prINaya Aryam ca mahAkAtyAyanam kAlena kAlam
   piṇḍakena pratipādaya asmākaṃ ca nāmnā dakṣiṇām ādeśaya / apy evaitat	piNxakena pratipAdaya asmAkam ca nAmnA dakziNAm AdeSaya / api eva-etat-
   karma tanutvaṃ parikṣayaṃ paryādānaṃ gacchet / tena tasyāḥ pratijñātam* /	karma tanu-tvam parikzayam paryAdAnam gacCet / tena tasyAH pratijQAtam* /
   evaṃ tasya paribhramato dvādaśa varṣā atikrāntāḥ / tayoktaḥ / śroṇa	evam tasya pariBramataH dvAdaSa varzAH atikrAntAH / tayA-uktaH / SroNa
   gamiṣyasi tvaṃ vāsavagrāmakam* / bhagini gamiṣyāmi / sa tasminn eva vimāne	gamizyasi tvam vAsavagrAmakam* / Bagini gamizyAmi / sa tasmin eva vimAne
   adhirūḍhaḥ / tayā teṣām eva pretānām ājñā (MSV IV 180) dattā bhavanto	aDirUXaH / tayA tezAm eva pretAnAm AjQA (MSV IV 180) dattA BavantaH-
   gacchata śroṇaṃ koṭīkarṇaṃ suptam eva vāsavagrāmake paitrike udyāne	gacCata SroNam kowIkarNam suptam eva vAsavagrAmake pEtrike udyAne
   sthāpayitvā āgacchata / sa tair vāsavagrāmake paitrike udyāne sthāpitaḥ /	sTApayitvA AgacCata / sa tEH vAsavagrAmake pEtrike udyAne sTApitaH /
   sa prativibuddho yāvat paśyati ghaṇṭācchatrāṇi vyajanāny akṣarāṇi	sa prativibudDaH yAvat paSyati GaNwAt-CatrANi vyajanAni akzarANi
   likhitāni / yadi tāvac chroṇaḥ koṭīkarṇo jīvati laghv āgamanāya kṣipram	liKitAni / yadi tAvat SroNaH kowIkarNaH jIvati laGu AgamanAya kzipram
   āgamanāya cyutaḥ kālagato gatyupapattisthānāt sthānāntaraviśeṣatāyai / sa	AgamanAya cyutaH kAlagataH gati-upapatti-sTAnAt sTAna-antara-viSeza-tAyE / sa
   saṃlakṣayati / yady ahaṃ mātāpitṛbhyāṃ mṛta eva gṛhītaḥ kasmād bhūyo 'haṃ	saMlakzayati / yadi aham mAtA-pitRByAm mRtaH eva gRhItaH kasmAt BUyas aham
   gṛhaṃ praviśāmi gacchāmy āryamahākātyāyanasyāntike pravrajāmīti / atha	gRham praviSAmi gacCAmi Arya-mahAkAtyAyanasya-antike pravrajAmi-iti / aTa
   śroṇaḥ koṭīkarṇo yenāyuṣmān mahākātyāyanas tenopasaṃkrāntaḥ / adrākṣīd	SroNaH kowIkarNaH yena-AyuzmAn mahAkAtyAyanaH tena-upasaMkrAntaH / adrAkzIt-
   āyuṣmān mahākātyāyanaḥ śroṇaṃ koṭīkarṇam* / dūrād eva dṛṣṭvā ca punaḥ	AyuzmAn mahAkAtyAyanaH SroNam kowI-karNam* / dUrAt eva dRzwvA ca punar-
   śroṇaṃ koṭīkarṇam idam avocat* / ehi śroṇa svāgataṃ te dṛṣṭas te śroṇa	SroNam kowIkarNam idam avocat* / ehi SroNa svAgatam te dRzwaH te SroNa
   ayaṃ lokaḥ paraś ca lokaḥ / sa kathayati / dṛṣṭo bhadanta mahākātyāyana	ayam lokaH paraH ca lokaH / sa kaTayati / dRzwaH Badanta mahAkAtyAyana
   labheyāhaṃ bhadanta mahākātyāyana svākhyāte dharmavinaye pravrajyām	laBeya-aham Badanta mahAkAtyAyana su-AKyAte Darma-vinaye pravrajyAm
   upasaṃpadaṃ bhikṣubhāvaṃ careyam ahaṃ bhagavato 'ntike brahmacaryam* / sa	upasaMpadam Bikzu-BAvam careyam aham BagavataH antike brahmacaryam* / sa
   āryeṇoktaḥ / śroṇa tāṃ tāvat pūrvikāṃ pratijñāṃ paripūraya yathāgṛhītān	AryeNa-uktaH / SroNa tAm tAvat pUrvikAm pratijQAm paripUraya yaTA-gRhItAn
   sandeśān samarpayeti /	sandeSAn samarpaya-iti /
   sa tasyaurabhrikasya sakāśam upasaṃkrāntaḥ / bhadramukha dṛṣṭas te pitā	sa tasya-OraBrikasya sakASam upasaMkrAntaH / Badra-muKa dRzwaH te pitA
   mayā / sa kathayati / aniṣṭo 'sya karmaṇaḥ phalavipāko viramāsmāt pāpakād	mayA / sa kaTayati / anizwaH asya karmaNaH Pala-vipAkaH virama-asmAt pApakAt-
   asaddharmāt* / bhoḥ puruṣa adya mama pitur dvādaśa varṣāṇi kālagatasya /	asat-Darma-at* / BoH puruza adya mama pituH dvAdaSa varzANi kAlagatasya /
   asti kaścid dṛṣṭaḥ paralokāt (MSV IV 181) punar āgacchan* / bhadramukha	asti kaScid dRzwaH para-lokAt (MSV IV 181) punar AgacCan* / Badra-muKa
   eṣo 'ham āgataḥ / nāsau śraddadhāti / bhadramukha yadi na śraddadhāsi sa	ezaH aham AgataH / na-asO SraddaDAti / Badra-muKa yadi na SraddaDAsi sa
   tava pitā kathayati asisthānādhastāt suvarṇasya kalaśaḥ pūrṇas tiṣṭhati /	tava pitA kaTayati asi-sTAna-aDastAt suvarNasya kalaSaH pUrNaH tizWati /
   tam uddhṛtyātmānaṃ samyaksukhena prīṇaya āryaṃ ca mahākātyāyanaṃ kālena	tam udDRtya-AtmAnam samyak-suKena prINaya Aryam ca mahAkAtyAyanam kAlena
   kālaṃ piṇḍakena pratipādayāsmākaṃ ca nāmnā dakṣiṇām ādeśaya / apy evaitat	kAlam piNxakena pratipAdayA-asmAkam ca nAmnA dakziNAm AdeSaya / api eva-etat-
   karma tanutvaṃ parikṣayaṃ paryādānaṃ gacchet / sa saṃlakṣayati / na	karma tanu-tvam parikzayam paryAdAnam gacCet / sa saMlakzayati / na
   kadācid (85v = GBM 6.753) evaṃ mayā śrutapūrvaṃ paśyāmi saced bhūtaṃ	kadAcid (85u  GBm 6.753) evam mayA Sruta-pUrvam paSyAmi saced BUtam
   bhaviṣyati sarvam etat satyam* / tena gatvā khanitaṃ yāvat tat sarvaṃ tat	Bavizyati sarvam etat satyam* / tena gatvA Kanitam yAvat tat sarvam tat-
   tathaiva tenābhiśraddadhītam* /	taTA-eva tena-aBiSraddaDItam* /
   tataḥ paścāt sa pāradārikasya sakāśam upasaṃkrāntaḥ / upasaṃkramya	tatas paScAt sa pAradArikasya sakASam upasaMkrAntaH / upasaMkramya
   kathayati / bhadramukha dṛṣṭas te mayā pitā / sa kathayati / aniṣṭo 'sya	kaTayati / Badra-muKa dRzwaH te mayA pitA / sa kaTayati / anizwaH asya
   karmaṇaḥ phalavipāko viramāsmāt pāpakād asaddharmāt* / sa kathayati / bhoḥ	karmaNaH Pala-vipAkaH virama-asmAt pApakAt asat-DarmAt* / sa kaTayati / BoH
   puruṣa adya mama pitur dvādaśa varṣāṇi kālaṃ gatasya / asti kaścit tvayā	puruza adya mama pituH dvAdaSa varzANi kAlam gatasya / asti kaScid tvayA
   dṛṣṭaḥ paralokaṃ gatvā punar āgacchan* / bhadramukha eṣo 'ham āgataḥ /	dRzwaH para-lokam gatvA punar AgacCan* / Badra-muKaH ezaH aham AgataH /
   nāsau śraddadhāti / sa kathayati / bhadramukha sacen nābhiśraddadhāsi tava	na-asO SraddaDAti / sa kaTayati / Badra-muKa saced na-aBiSraddaDAsi tava
   pitrāgniṣṭomasyādhastāt suvarṇasya kalaśaḥ pūrayitvā sthāpitaḥ / sa	pitrA-agnizwomasya-aDastAt suvarNasya kalaSaH pUrayitvA sTApitaH / sa
   kathayati / tam uddhṛtyātmānaṃ samyaksukhena prīṇayāryaṃ ca mahākātyāyanaṃ	kaTayati / tam udDRtya-AtmAnam samyak-suKena prINayAryam ca mahAkAtyAyanam
   kālena kālaṃ piṇḍakena pratipādayāsmākaṃ ca nāmnā dakṣiṇām ādeśaya / apy	kAlena kAlam piNxakena pratipAdayA-asmAkam ca nAmnA dakziNAm AdeSaya / api-
   evaitat karma tanutvaṃ parikṣayaṃ paryādānaṃ gacchet* / sa saṃlakṣayati na	eva-etat karma tanu-tvam parikzayam paryAdAnam gacCet* / sa saMlakzayati na
   kadācid etan mayā śrutapūrvaṃ paśyāmi saced bhūtaṃ bhaviṣyati sarvam etat	kadAcid etat mayA Sruta-pUrvam paSyAmi saced BUtam Bavizyati sarvam etat-
   satyam* / tena (MSV IV 182) gatvā khanitaṃ yāvat paśyati tat sarvaṃ tat	satyam* / tena (MSV IV 182) gatvA Kanitam yAvat paSyati tat sarvam tat-
   tathaiva tenābhiśraddadhītam* /	taTA-eva tena-aBiSraddaDItam* /
   sa gaṇikāyāḥ sakāśam upasaṃkrāntaḥ / upasaṃkramya kathayati / bhagini	sa gaNikAyAH sakASam upasaMkrAntaH / upasaMkramya kaTayati / Bagini
   dṛṣṭas te mayā mātā pitā bhrātur jāyā dāsī / te kathayanti / aniṣṭo 'sya	dRzwaH te mayA mAtA pitA BrAtuH jAyA dAsI / te kaTayanti / anizwaH asya
   karmaṇaḥ phalavipāko viramāsmāt pāpakād asaddharmāt* / sā kathayati / bhoḥ	karmaNaH Pala-vipAkaH virama-asmAt pApakAt asat-Darma-at* / sA kaTayati / BoH
   puruṣa adya mama mātāpitror dvādaśa varṣāṇi kālagatayoḥ / asti kaścit	puruza adya mama mAtA-pitroH dvAdaSa varzANi kAlagatayoH / asti kaScid-
   tvayā dṛṣṭaḥ paralokaṃ gatvā punar āgacchan* / sa kathayati / eṣo 'ham	tvayA dRzwaH para-lokam gatvA punar AgacCan* / sa kaTayati / ezaH aham
   āgataḥ / sā na śraddadhāti / sa kathayati / bhagini sacen nābhiśraddadhāsi	AgataH / sA na SraddaDAti / sa kaTayati / Bagini saced na-aBiSraddaDAsi
   tava paurāṇe paitrike vāsagṛhe catvāro lohasaṃghāṭāḥ suvarṇapūrṇās	tava pOrANe pEtrike vAsagRhe catvAraH loha-saMGAwAH suvarNa-pUrNA-as
   tiṣṭhanti / madhye ca sauvarṇadaṇḍakamaṇḍaluḥ / te kathayanti / tam	tizWanti / maDye ca sOvarNa-daNxa-kamaNxaluH / te kaTayanti / tam
   uddhṛtyātmānaṃ samyaksukhena prīṇayāryaṃ ca mahākātyāyanaṃ kālena kālaṃ	udDRtya-AtmAnam samyak-suKena prINayAryam ca mahAkAtyAyanam kAlena kAlam
   piṇḍakena pratipādayāsmākaṃ ca nāmnā dakṣiṇām ādeśaya / apy evaitat karma	piNxakena pratipAdayA-asmAkam ca nAmnA dakziNAm AdeSaya / api eva-etat karma
   tanutvaṃ parikṣayaṃ paryādānaṃ gacchet* / sā saṃlakṣayati / na kadācin	tanu-tvam parikzayam paryAdAnam gacCet* / sA saMlakzayati / na kadAcid-
   mayā śrutapūrvaṃ paśyāmi saced bhūtaṃ bhaviṣyati sarvam etat satyam* /	mayA Sruta-pUrvam paSyAmi saced BUtam Bavizyati sarvam etat satyam* /
   tayā gatvā khanitaṃ yāvat tat sarvaṃ tat tathaiva tathābhiśraddadhītam* /	tayA gatvA Kanitam yAvat tat sarvam tat taTA-eva taTA-aBiSraddaDItam* /
   śroṇaḥ koṭīkarṇaḥ saṃlakṣayati / sarvo 'yaṃ lokaḥ suvarṇasya śraddadhāti	SroNaH kowIkarNaH saMlakzayati / sarvaH ayam lokaH suvarNasya SraddaDAti
   na tu kaścin mama śraddhayā gacchatīti / tena vaipuṣpitam* / tasya śiśutve	na tu kaScid mama SradDayA gacCati-iti / tena vEpuzpitam* / tasya SiSu-tve
   suvarṇena daśanā baddhāḥ / tayāsau pratyabhijñātaḥ / syād āryaḥ śroṇaḥ	suvarNena daSanAH badDAH / tayA-asO pratyaBijQAtaH / syAt AryaH SroNaH
   koṭīkarṇaḥ eva me (MSV IV 183) bhagini saṃjānīte / tayā gatvā tasya	kowIkarNaH eva me (MSV IV 183) Bagini saMjAnIte / tayA gatvA tasya
   mātāpitṛbhyām ārocitam* / amba tāta koṭīkarṇo 'bhyāgata iti / anekais	mAtA-pitRByAm Arocitam* / amba tAta kowIkarNaH aByAgataH iti / anekEH-
   teṣām ārocitam* / te na kasyacit* śraddhayā gacchanti / te kathayanti /	tezAm Arocitam* / te na kasyacit* SradDayA gacCanti / te kaTayanti /
   putri tvam apy asmākam utprāsayasi / yāvad asau svayam eva gataḥ / tena	putri tvam api asmAkam utprAsayasi / yAvat asO svayam eva gataH / tena
   dvārakoṣṭhake sthitvotkāśanaśabdaḥ kṛtaḥ / hiraṇyasvaro 'sau / sa taiḥ	dvAra-kozWake sTitvA-utkASana-SabdaH kRtaH / hiraNya-svaraH asO / sa tEH
   svareṇa pratyabhijñātaḥ / tau kaṇṭhe pariṣvajya ruditum ārabdhau / teṣāṃ	svareNa pratyaBijQAtaH / tO kaNWe parizvajya ruditum ArabDO / tezAm
   vāṣpeṇa paṭahāni sphuṭitāni / draṣṭum ārabdhau / sa kathayati / amba	vAzpeNa pawahAni sPuwitAni / drazwum ArabDO / sa kaTayati / amba
   tātānujānīdhvaṃ pravrajiṣyāmi samag eva śraddhayā agārād anāgārikam* / tau	tAta-anujAnIDvam pravrajizyAmi samak eva SradDayA agArAt anAgArikam* / tO
   kathayataḥ / putrāvāṃ tvadīyena śokena rudantāv andhībhūtau / idānīṃ tvam	kaTayataH / putra-AvAm tvadIyena Sokena rudantO anDIBUtO / idAnIm tvam
   evāgamya cakṣuḥ pratilabdham* / yāvad āvāṃ jīvāvas tāvan na	eva-Agamya cakzuH pratilabDam* / yAvat AvAm jIvAvaH tAvat na
   pravrajitavyam* / yadā kālaṃ kariṣyāvas tadā pravrajiṣyasi / tenāyuṣmanto	pravrajitavyam* / yadA kAlam karizyAvaH tadA pravrajizyasi / tena-AyuzmantaH-
   mahākātyāyanasyāntikād dharmaṃ śrutvā srotaāpattiphalaṃ sākṣātkṛtaṃ	mahAkAtyAyanasya-antikAt Darmam SrutvA srotaApatti-Palam sAkzAtkRtam
   mātāpitarau ca śaraṇāgamanaśikṣāpadeṣu pratiṣṭhāpitau / āgamacatuṣṭayam	mAtA-pitarO ca SaraNa-Agamana-SikzA-padezu pratizWApitO / Agama-catuzwayam
   adhītam* / (86r = GBM 6.754) sakṛdāgāmiphalaṃ sākṣātkṛtam* / mātāpitarau	aDItam* / (86H  GBm 6.754) sakRdAgAmi-Palam sAkzAtkRtam* / mAtA-pitarO
   satyeṣu pratiṣṭhāpitau / apareṇa samayena tasya mātāpitarau kālagatau / sa	satyezu pratizWApitO / apareNa samayena tasya mAtA-pitarO kAlagatO / sa
   taṃ dhanajātaṃ dīnānāthakṛpaṇavanīpakebhyo datvā daridrān adaridrān kṛtvā	tam Dana-jAtam dIna-anATa-kRpaNa-vanIpakeByaH datvA daridrAn adaridrAn kRtvA
   yenāyuṣmān mahākātyāyanas tenopasaṃkrāntaḥ / upasaṃkramyāyuṣmato	yena-AyuzmAn mahAkAtyAyanaH tena-upasaMkrAntaH / upasaMkramya-AyuzmataH-
   mahākātyayanasya pādau śirasā vanditvā ekānte 'sthāt* / ekānte sthitaḥ	mahAkAtyayanasya pAdO SirasA vanditvA ekAnte asTAt* / ekAnte sTitaH
   śroṇaḥ (MSV IV 184) koṭīkarṇaḥ āyuṣmantaṃ mahākātyāyanam idam avocat* /	SroNaH (MSV IV 184) kowIkarNaH Ayuzmantam mahAkAtyAyanam idam avocat* /
   labeyāham ārya mahākātyāyana svākhyāte dharmavinaye pravrajyām upasaṃpadaṃ	labeya-aham Arya mahAkAtyAyana su-AKyAte Darma-vinaye pravrajyAm upasaMpadam
   bhikṣubhāvam* / yāvac careyam ahaṃ bhagavato 'ntike brahmacaryam* / sa	Bikzu-BAvam* / yAvat careyam aham BagavataH antike brahmacaryam* / sa
   āyuṣmatā mahākātyāyanena pravrājitaḥ / tena pravrajya mātṛkādhītā /	AyuzmatA mahAkAtyAyanena pravrAjitaH / tena pravrajya mAtRkA-aDItA /
   anāgāmiphalaṃ sākṣātkṛtam* /	anAgAmi-Palam sAkzAtkRtam* /
   aśmāparāntakeṣu janapadeṣu alpabhikṣukaṃ kṛcchreṇa daśavargo gaṇaḥ	aSmAparAntakezu janapadezu alpa-Bikzukam kRcCreNa daSa-vargaH gaNaH
   paripūrayate / sa traimāsīṃ śrāmaṇero vidhāritaḥ / dharmatā khalu yathā	paripUrayate / sa trEmAsIm SrAmaNeraH viDAritaH / DarmatA Kalu yaTA
