   Mahāmāyūrīvidyārājñī	MahAmAyUrI-vidyA-rAjQI
   rākṣasī analā rākṣasī.	rAkzasI analA rAkzasI.
   ity etā daśa mahārākṣasyaḥ ṛddhimatyo dyutimatyo varṇavatyo yaśasvinaḥ,	iti etAH daSa mahArAkzasyaH RdDimatyaH dyutimatyaH varNavatyaH yaSasvinaH,
   devāsuram api saṃgrāmam anubhavanti maharddhikāḥ. tā 'py anayā mahāmāyūryā	deva-asuram api saMgrAmam anuBavanti mahardDikAH. tAH api anayA mahA-mAyUryA
   vidyārājñyā svāter bhikṣor mama sarvasatvānāṃ ca rakṣāṃ kurvantu, guptiṃ	vidyA-rAjQyA svAteH BikzoH mama sarva-satvAnAm ca rakzAm kurvantu, guptim
   paritrāṇaṃ parigrahaṃ paripālanaṃ śāntiṃ svastyayanaṃ daṇḍaparihāraṃ	paritrANam parigraham paripAlanam SAntim svastyayanam daNxa-parihAram
   śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ sīmābandhaṃ dharaṇībandhaṃ ca	Sastra-parihAram viza-dUzaNam viza-nASanam sImAbanDam DaraNI-banDam ca
   kurvantu, (Mmvr Taku 33) jīvatu varṣaśataṃ paśyatu śaradāśataṃ. tadyathā.	kurvantu, (MmvH Taku 33) jIvatu varza-Satam paSyatu SaradA-SataM. tat-yaTA.
   hare khare khure male mile mūle, madenti matte maṇḍitike. hulu hulu hulu	hare Kare Kure male mile mUle, madenti matte maNxitike. hulu hulu hulu
   hulu hulu hulu hulu hulu hulu hulu, lu lu lu lu, meḍi meḍi meḍi meḍi,	hulu hulu hulu hulu hulu hulu hulu, lu lu lu lu, mexi mexi mexi mexi,
   siddhi siddhi siddhi siddhi, svāter bhikṣor mama sarvasatvānāṃ ca svāhā.	sidDi sidDi sidDi sidDi, svAteH BikzoH mama sarva-satvAnAm ca svAhA.
   svasti svasti svasti svasti, svāter bhikṣor mama sarvasatvānāṃ ca svāhā.	svasti svasti svasti svasti, svAteH BikzoH mama sarva-satvAnAm ca svAhA.
   dvādaśemā ānanda mahārākṣasyo yābhir bodhisatvo mātuḥ kukṣigato rakṣito	dvAdaSa-imAH Ananda mahArAkzasyaH yABiH boDisatvaH mAtuH kukzi-gataH rakzitaH-
   jāyamāno rakṣito jāto 'pi rakṣitaḥ. tāḥ punaḥ katamāḥ. tadyathā.	jAyamAnaH rakzitaH jAtaH api rakzitaH. tAH punar katamAH. tat-yaTA.
   anārthikā rākṣasī samudrā rākṣasī raudrā rākṣasī prāṇahārinī rākṣasī	anArTikA rAkzasI samudrA rAkzasI rOdrA rAkzasI prANa-hArinI rAkzasI
   vidyādharā rākṣasī dhanurdharā rākṣasī śaradharā rākṣasī asidharā rākṣasī	vidyADarA rAkzasI DanurDarA rAkzasI SaraDarA rAkzasI asiDarA rAkzasI
   haladharā rākṣasī cakradharā rākṣasī cakravāḍā rākṣasī vibhūṣaṇā rākṣasī.	halaDarA rAkzasI cakraDarA rAkzasI cakravAxA rAkzasI viBUzaNA rAkzasI.
   ity etā dvādaśa ānanda mahārākṣasyaḥ, ṛddhimatyo dyutimatyo varṇavatyo	iti etAH dvAdaSaH Ananda mahArAkzasyaH, RdDimatyaH dyutimatyaH varNavatyaH-
   yaśasvinaḥ, devāsuram api saṃgrāmam anubhavanti maharddhikāḥ. tā 'py anayā	yaSasvinaH, deva-asuram api saMgrAmam anuBavanti mahardDikAH. tAH api anayA
   mahāmāyūryā vidyārājñyā svāter bhikṣor mama sarvasatvānāṃ ca rakṣāṃ	mahAmAyUryA vidyA-rAjQyA svAteH BikzoH mama sarva-satvAnAm ca rakzAm
   kurvantu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ śāntiṃ svastyayanaṃ	kurvantu, guptim paritrANam parigraham paripAlanam SAntim svastyayanam
   daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ sīmābandhaṃ	daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam sImAbanDam
   dharaṇībandhaṃ ca kurvantu, jīvatu varṣaśataṃ paśyatu śaradāśataṃ.	DaraNI-banDam ca kurvantu, jIvatu varza-Satam paSyatu Sarad-A-SataM.
   tadyathā.	tat-yaTA.
   hare khare khure male mile mūle, madenti matte maṇḍitike. hulu hulu hulu	hare Kare Kure male mile mUle, madenti matte maNxitike. hulu hulu hulu
   hulu hulu hulu hulu hulu hulu hulu, lu lu lu lu, meḍi meḍi meḍi meḍi,	hulu hulu hulu hulu hulu hulu hulu, lu lu lu lu, mexi mexi mexi mexi,
   siddhi siddhi siddhi siddhi, svāter bhikṣor mama sarvasatvānāṃ ca svāhā.	sidDi sidDi sidDi sidDi, svAteH BikzoH mama sarva-satvAnAm ca svAhA.
   svasti svasti svasti svasti, svāter bhikṣor mama sarvasatvānāṃ ca svāhā.	svasti svasti svasti svasti, svAteH BikzoH mama sarva-satvAnAm ca svAhA.
   dvādaśemā ānanda mahāmātaro yābhir bodhisatvo mātuḥ kukṣigato rakṣito	dvAdaSa-imAH Ananda mahAmAtaraH yABiH boDisatvaH mAtuH kukzi-gataH rakzitaH-
   jāyamāno rakṣito jāto 'pi rakṣitaḥ. yāś ca satvān apadravanti viheṭhayanti	jAyamAnaH rakzitaH jAtaH api rakzitaH. yAH ca satvAn apadravanti viheWayanti
   uttrāsayanti, (Mmvr Taku 34) tāḥ punaḥ katamāḥ. tadyathā.	uttrAsayanti, (MmvH Taku 34) tAH punar katamAH. tat-yaTA.
   brāhmī raudrī kaumārī vaiṣṇavī aindrī vārāhī kauverī vāruṇī yāmyā vāyuvyā	brAhmI rOdrI kOmArI vEzNavI EndrI vArAhI kOverI vAruNI yAmyA vAyuvyA
   āgneyī mahākālī ceti.	AgneyI mahAkAlI ca-iti.
   tā 'py anayā mahāmāyūryā vidyārājñyā svāter bhikṣor mama sarvasatvānāṃ ca	tAH api anayA mahA-mAyUryA vidyA-rAjQyA svAteH BikzoH mama sarva-satvAnAm ca
   rakṣāṃ kurvantu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ śāntiṃ	rakzAm kurvantu, guptim paritrANam parigraham paripAlanam SAntim
   svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ	svastyayanam daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam
   sīmābandhaṃ dharaṇībandhaṃ ca kurvantu, jīvatu varṣaśataṃ paśyatu	sImAbanDam DaraNI-banDam ca kurvantu, jIvatu varza-Satam paSyatu
   śaradāśataṃ. tadyathā.	SaradA-SataM. tat-yaTA.
   hare khare khure male mile mūle, madenti matte maṇḍitike. hulu hulu hulu	hare Kare Kure male mile mUle, madenti matte maNxitike. hulu hulu hulu
   hulu hulu hulu hulu hulu hulu hulu, lu lu lu lu, meḍi meḍi meḍi meḍi,	hulu hulu hulu hulu hulu hulu hulu, lu lu lu lu, mexi mexi mexi mexi,
   siddhi siddhi siddhi siddhi, svāter bhikṣor mama sarvasatvānāṃ ca svāhā.	sidDi sidDi sidDi sidDi, svAteH BikzoH mama sarva-satvAnAm ca svAhA.
   svasti svasti svasti svasti, svāter bhikṣor mama sarvasatvānāṃ ca svāhā.	svasti svasti svasti svasti, svAteH BikzoH mama sarva-satvAnAm ca svAhA.
   asty ānanda ekajaṭā nāma mahāpiśācī, rāvaṇasya bhāryāḥ samudrakūle	asti AnandaH ekajawA nAma mahA-piSAcI, rAvaNasya BAryAH samudra-kUle
   prativasati. yā ekarātryā aśītiyojanasahasrāṇi rudhiragandhenāhiṇḍate.	prativasati. yAH eka-rAtryAH aSIti-yojana-sahasrANi ruDira-ganDena-AhiNxate.
   tayāpi bodhisatvo mātuḥ kukṣigato rakṣito jāyamāno rakṣito jāto 'pi	tayA-api boDisatvaH mAtuH kukzi-gataH rakzitaH jAyamAnaH rakzitaH jAtaH api
   rakṣitaḥ. sāpy anayā mahāmāyūryā vidyārājñyā svāter bhikṣor mama	rakzitaH. sA-api anayA mahA-mAyUryA vidyA-rAjQyA svAteH BikzoH mama
   sarvasatvānāṃ ca rakṣāṃ karotu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ	sarva-satvAnAm ca rakzAm karotu, guptim paritrANam parigraham paripAlanam
   śāntiṃ svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ	SAntim svastyayanam daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam
   sīmābandhaṃ dharaṇībandhaṃ ca karotu, jīvatu varṣaśataṃ paśyatu	sImAbanDam DaraNI-banDam ca karotu, jIvatu varza-Satam paSyatu
   śaradāśataṃ. tadyathā.	SaradA-SataM. tat-yaTA.
   hare khare khure male mile mūle, madenti matte maṇḍitike. hulu hulu hulu	hare Kare Kure male mile mUle, madenti matte maNxitike. hulu hulu hulu
   hulu hulu hulu hulu hulu hulu hulu, lu lu lu lu, meḍi meḍi meḍi meḍi,	hulu hulu hulu hulu hulu hulu hulu, lu lu lu lu, mexi mexi mexi mexi,
   siddhi siddhi siddhi siddhi, svāter bhikṣor mama sarvasatvānāṃ ca svāhā.	sidDi sidDi sidDi sidDi, svAteH BikzoH mama sarva-satvAnAm ca svAhA.
   svasti svasti svasti svasti. (Mmvr Taku 35) svāter bhikṣor mama	svasti svasti svasti svasti. (MmvH Taku 35) svAteH BikzoH mama
   sarvasatvānāṃ ca svāhā.	sarva-satvAnAm ca svAhA.
   udgṛhṇa tvam ānanda mahārākṣasīnāṃ nāmāni. tadyathā.	udgRhNa tvam Ananda mahArAkzasInAm nAma-ani. tat-yaTA.
   kapilā nāma rākṣasī, padumā nāma rākṣasī, mahiṣī nāma rākṣasī, morikā nāma	kapilA nAma rAkzasI, padumA nAma rAkzasI, mahizI nAma rAkzasI, morikA nAma
   rākṣasī, nāḍikā nāma rākṣasī, jvalanī nāma rākṣasī, tapanī nāma rākṣasī,	rAkzasI, nAxikA nAma rAkzasI, jvalanI nAma rAkzasI, tapanI nAma rAkzasI,
   kalasī nāma rākṣasī, vimalā nāma rākṣasī, dharaṇī nāma rākṣasī, haricandrā	kalasI nAma rAkzasI, vimalA nAma rAkzasI, DaraNI nAma rAkzasI, haricandrA
   nāma rākṣasī, rohiṇī nāma rākṣasī, mārīcī nāma rākṣasī, hutāsanī nāma	nAma rAkzasI, rohiNI nAma rAkzasI, mArIcI nAma rAkzasI, hutAsanI nAma
   rākṣasī, vāruṇī nāma rākṣasī, kālī nāma rākṣasī, kroñcī nāma rākṣasī,	rAkzasI, vAruNI nAma rAkzasI, kAlI nAma rAkzasI, kroQcI nAma rAkzasI,
   kauñjarā nāma rākṣasī, balā nāma rākṣasī, grasanī nāma rākṣasī, karālī	kOQjarA nAma rAkzasI, balA nAma rAkzasI, grasanI nAma rAkzasI, karAlI
   nāma rākṣasī, mātaṅgī nāma rākṣasī, piṅgalā nāma rākṣasī, vidurā nāma	nAma rAkzasI, mAtaFgI nAma rAkzasI, piFgalA nAma rAkzasI, vidurA nAma
   rākṣasī, gaurī nāma rākṣasī, gandhārī nāma rākṣasī, kumbhāṇḍī nāma	rAkzasI, gOrI nAma rAkzasI, ganDArI nAma rAkzasI, kumBANxI nAma
   rākṣasī, kāraṅgī nāma rākṣasī, rāvaṇī nāma rākṣasī, madanī nāma rākṣasī,	rAkzasI, kAraFgI nAma rAkzasI, rAvaNI nAma rAkzasI, madanI nAma rAkzasI,
   aśanī nāma rākṣasī, garbhāhāriṇī nāma rākṣasī, rudhirāhāriṇī nāma rākṣasī,	aSanI nAma rAkzasI, garBAhAriNI nAma rAkzasI, ruDirAhAriNI nAma rAkzasI,
   danturā nāma rākṣasī, uttrāsanī nāma rākṣasī, brāhmī nāma rākṣasī,	danturA nAma rAkzasI, uttrAsanI nAma rAkzasI, brAhmI nAma rAkzasI,
   taḍāgapālinī nāma rākṣasī, vajradharā nāma rākṣasī, skandā nāma rākṣasī,	taxAgapAlinI nAma rAkzasI, vajraDarA nAma rAkzasI, skandA nAma rAkzasI,
   varṣaṇī nāma rākṣasī, garjanī nāma rākṣasī, sphoṭanī nāma rākṣasī,	varzaNI nAma rAkzasI, garjanI nAma rAkzasI, sPowanI nAma rAkzasI,
   vidyotanī nāma rākṣasī, jaṅgamā nāma rākṣasī, ulkāmukhī nāma rākṣasī,	vidyotanI nAma rAkzasI, jaFgamA nAma rAkzasI, ulkAmuKI nAma rAkzasI,
   vasuṃdharā nāma rākṣasī, kālarātrī nāma rākṣasī, yamadūtī nāma rākṣasī,	vasuMDarA nAma rAkzasI, kAlarAtrI nAma rAkzasI, yamadUtI nAma rAkzasI,
   amalā nāma rākṣasī, acalā nāma rākṣasī, ūrdhvajaṭā nāma rākṣasī, śataśīrṣā	amalA nAma rAkzasI, acalA nAma rAkzasI, UrDvajawA nAma rAkzasI, Sata-SIrzA
   nāma rākṣasī, śatabāhur nāma rākṣasī, śatanetrā nāma rākṣasī, ghāṭanī nāma	nAma rAkzasI, SatabAhuH nAma rAkzasI, SatanetrA nAma rAkzasI, GAwanI nAma
   rākṣasī, mardanī nāma rākṣasī, mārjārī nāma rākṣasī, ṣaḍakṣarī nāma	rAkzasI, mardanI nAma rAkzasI, mArjArI nAma rAkzasI, zaxakzarI nAma
   rākṣasī, caṇḍā nāma rākṣasī, (Mmvr Taku 36) niśācarā nāma rākṣasī,	rAkzasI, caNxA nAma rAkzasI, (MmvH Taku 36) niSAcarAH nAma rAkzasI,
   divasacarā nāma rākṣasī, maṇḍitikā nāma rākṣasī, krodhanā nāma rākṣasī,	divasacarA nAma rAkzasI, maNxitikA nAma rAkzasI, kroDanA nAma rAkzasI,
   viheṭhanā nāma rākṣasī, asimuṣaladharā nāma rākṣasī, triśūlapāṇī nāma	viheWanA nAma rAkzasI, asimuzalaDarA nAma rAkzasI, triSUlapANI nAma
   rākṣasī, karāladantī nāma rākṣasī, manoramā nāma rākṣasī, somā nāma	rAkzasI, karAladantI nAma rAkzasI, manoramA nAma rAkzasI, somAH nAma
   rākṣasī, caṇḍālī nāma rākṣasī, daṇṭā nāma rākṣasī, hiḍimbā nāma rākṣasī,	rAkzasI, caNxAlI nAma rAkzasI, daNwA nAma rAkzasI, hiximbA nAma rAkzasI,
   nīlā nāma rākṣasī, citrā nāma rākṣasī.	nIlA nAma rAkzasI, citrA nAma rAkzasI.
   ity etāḥ saptasaptatir mahārākṣasyaḥ ṛddhimatyo dyutimatyo varṇavatyo	iti etAH saptasaptatiH mahArAkzasyaH RdDimatyaH dyutimatyaH varNavatyaH-
   yaśasvinaḥ, devāsuram api saṃgrāmam anubhavanti maharddhikāḥ.	yaSasvinaH, deva-asuram api saMgrAmam anuBavanti mahardDikAH.
   tā 'py anayā mahāmāyūryā vidyārājñyā svāter bhikṣor mama sarvasatvānāṃ ca	tAH api anayA mahA-mAyUryA vidyA-rAjQyA svAteH BikzoH mama sarva-satvAnAm ca
   rakṣāṃ kurvantu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ śāntiṃ	rakzAm kurvantu, guptim paritrANam parigraham paripAlanam SAntim
   svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ	svastyayanam daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam
   sīmābandhaṃ dharaṇībandhaṃ ca kurvantu, jīvatu varṣaśataṃ paśyatu	sImAbanDam DaraNI-banDam ca kurvantu, jIvatu varza-Satam paSyatu
   śaradāśataṃ. tadyathā.	SaradA-SataM. tat-yaTA.
   hili hili hili hili hili hili hili hili hili hili, mili mili mili mili	hili hili hili hili hili hili hili hili hili hili, mili mili mili mili
   mili mili mili mili mili mili, huru huru huru huru huru huru huru huru	mili mili mili mili mili mili, huru huru huru huru huru huru huru huru
   huru huru, ciṭi ciṭi ciṭi ciṭi ciṭi ciṭi ciṭi ciṭi ciṭi ciṭi, hikke hikke	huru huru, ciwi ciwi ciwi ciwi ciwi ciwi ciwi ciwi ciwi ciwi, hikke hikke
   hikke hikke, hora hora, dhara dhara, hara hara, hala hala, cala cala, curu	hikke hikke, hora hora, Dara Dara, hara hara, hala hala, cala cala, curu
   curu svāhā. namaḥ sarvabuddhānāṃ svāhā. pratyekabudhānāṃ svāhā. namo	curu svAhA. namaH sarva-budDAnAm svAhA. pratyekabuDAnAm svAhA. namaH-
   'rhatāṃ svāhā. maitreyasya bodhisatvasya mahāsatvasya svāhā.	arhatAm svAhA. mEtreyasya boDisatvasya mahAsatvasya svAhA.
   sarvabodhisatvānāṃ svāhā. anāgāmināṃ svāhā. sakṛdāgāmināṃ svāhā.	sarva-boDisatvAnAm svAhA. anAgAminAm svAhA. sakRdAgAminAm svAhA.
   śrotāpannānāṃ svāhā. samyaggatānāṃ svāhā. samyakpratipannānāṃ svāhā.	SrotApannAnAm svAhA. samyak-gatAnAm svAhA. samyak-pratipannAnAm svAhA.
   brāhmaṇe (Mmvr Taku 37) svāhā. prajāpataye svāhā. indrāya svāhā. īśānāsya	brAhmaNe (MmvH Taku 37) svAhA. prajApataye svAhA. indrAya svAhA. ISAna-asya
   svāhā. agnaye svāhā. vāyave svāhā. varuṇāya svāhā. kuverāya svāhā. yamāya	svAhA. agnaye svAhA. vAyave svAhA. varuNAya svAhA. kuverAya svAhA. yamAya
   svāhā. upendrāya svāhā. vaiśramaṇāya svāhā. yakṣādhipataye svāhā.	svAhA. upendrAya svAhA. vESramaNAya svAhA. yakza-aDipataye svAhA.
   dhṛtarāṣṭrāya gandharvādhipataye svāhā. virūḍhakāya kumbhāṇḍādhipataye	DRtarAzwrAya ganDarva-aDipataye svAhA. virUXakAya kumBANxa-aDipataye
   svāhā. virūpākṣāya nāgādhipataye svāhā. devānāṃ svāhā. nāgānāṃ svāhā.	svAhA. virUpAkzAya nAga-aDipataye svAhA. devAnAm svAhA. nAgAnAm svAhA.
   asurāṇāṃ svāhā. marutānāṃ svāhā. garuḍānāṃ svāhā. gandharvāṇāṃ svāhā.	asurANAm svAhA. marutAnAm svAhA. garuxAnAm svAhA. ganDarvANAm svAhA.
   kinnarāṇāṃ svāhā. mahoragāṇāṃ svāhā. yakṣāṇāṃ svāhā. rākṣasānāṃ svāhā.	kinnarANAm svAhA. mahA-uragANAm svAhA. yakzANAm svAhA. rAkzasAnAm svAhA.
   pretānāṃ svāhā. piśācānāṃ svāhā. bhūtānāṃ svāhā. kumbhāṇḍānāṃ svāhā.	pretAnAm svAhA. piSAcAnAm svAhA. BUtAnAm svAhA. kumBANxAnAm svAhA.
   pūtanānāṃ svāhā. kaṭapūtanānāṃ svāhā. skandānāṃ svāhā. unmādānāṃ svāhā.	pUtanAnAm svAhA. kawa-pUtanAnAm svAhA. skandAnAm svAhA. unmAdAnAm svAhA.
   chāyānāṃ svāhā. apasmārāṇāṃ svāhā. ostārakāṇāṃ svāhā. candrasūryayoḥ	CAyAnAm svAhA. apasmArANAm svAhA. oH-tArakANAm svAhA. candra-sUryayoH
   svāhā. rudrāṇāṃ svāhā. nakṣatrāṇāṃ svāhā. grahāṇāṃ svāhā. jyotiṣāṇāṃ	svAhA. rudrANAm svAhA. nakzatrANAm svAhA. grahANAm svAhA. jyotizANAm
   svāhā. ṛṣīṇāṃ svāhā. siddhavratānāṃ svāhā. siddhavidyānāṃ svāhā. gaurīye	svAhA. RzINAm svAhA. sidDa-vratAnAm svAhA. sidDa-vidyAnAm svAhA. gOrIye
   svāhā. gandhārīye svāhā. jāṃgulīye svāhā. amṛtāye svāhā. jambhanīye svāhā.	svAhA. ganDArIye svAhA. jAMgulIye svAhA. amRtAye svAhA. jamBanIye svAhA.
   stambhanīye svāhā. cāpeṭīye svāhā. drāmiḍīye svāhā. śabarīye svāhā.	stamBanIye svAhA. ca-apewIye svAhA. drAmixIye svAhA. SabarIye svAhA.
   atharvaśabarīye svāhā. caṇḍālīye svāhā. mātaṅgīye svāhā. nāgahṛdayāya	aTarva-SabarIye svAhA. caNxAlIye svAhA. mAtaFgIye svAhA. nAga-hRdayAya
   svāhā. garuḍahṛdayāya svāhā. mānasīye svāhā. mahāmānāsīye svāhā.	svAhA. garuxa-hRdayAya svAhA. mAnasIye svAhA. mahAmAnAsIye svAhA.
   ṣaḍakṣarīye svāhā. maṇibhadrāya svāhā. samantabhadrāya svāhā.	zaz-akzarIye svAhA. maNiBadrAya svAhA. samantaBadrAya svAhA.
   mahāsamantabhadrāya svāhā. samayāya svāhā. mahāsamayāya svāhā.	mahA-samantaBadrAya svAhA. samayAya svAhA. mahA-samayAya svAhA.
   mahāpratisarāya svāhā. śītavanāya svāhā. mahāśītavanāya svāhā.	mahA-pratisarAya svAhA. SIta-vanAya svAhA. mahA-SIta-vanAya svAhA.
   daṇḍadharāya svāhā. mahādaṇḍadharāya svāhā. mucilindāya svāhā.	daNxa-DarAya svAhA. mahA-daNxa-DarAya svAhA. mucilindAya svAhA.
   mahāmucilindāya svāhā. jayantīye svāhā. śāntiye svāhā. avyākṛtāya svāhā.	mahA-mucilindAya svAhA. jayantIye svAhA. SAntiye svAhA. avyAkRtAya svAhA.
   aśvakrīḍāya svāhā. aparājitāya svāhā. suvarṇāvabhāsāya mahāmayūrarājāya	aSva-krIxAya svAhA. aparAjitAya svAhA. suvarNa-avaBAsAya mahA-mayUra-rAjAya
   svāhā. mahādhāraṇīye svāhā. mantrapadānāṃ svāhā. mahāmāyūryai vidyārājñyai	svAhA. mahA-DAraNIye svAhA. mantra-padAnAm svAhA. mahA-mAyUryE vidyA-rAjQyE
   svāhā. oṃ hrīṃ kuṇḍala svāhā. mayūrakrāntāya svāhā.	svAhA. om hrIm kuNxala svAhA. mayUra-krAntAya svAhA.
   (Mmvr Taku 38)	(MmvH Taku 38)
   ābhir mahāvidyābhir mahāmantrair mahāpratisarābhir mahārakṣābhiḥ svāter	ABiH mahAvidyABiH mahA-mantrEH mahA-pratisarABiH mahArakzABiH svAteH-
   bhikṣor mama sarvasatvānāṃ ca hatāḥ kṛtyāḥ, hatāḥ karmaṇāḥ, hatāḥ	BikzoH mama sarva-satvAnAm ca hatAH kRtyAH, hatAH karmaNAH, hatAH
   kākhordāḥ kiraṇā vetāḍāś ciccāḥ preṣakāḥ, hatāḥ skandā unmādāś chāyā	kAKa-UrdAH kiraNAH vetAxAH cit-cAH prezakAH, hatAH skandAH unmAdAH CAyA
   apasmārā ostārakāḥ, hatā uttrāsā garā viṣā, hatāḥ śoṣāḥ, hatā durbhuktakā	apasmArAH oH-tArakAH, hatAH uttrAsAH garAH vizA, hatAH SozAH, hatA durBuktakA
   duścharditā duśchāyā, hatā duḥprekṣitā dullikhitā durlaṃghitāḥ, avadhūtā	duSCarditAH duSCAyA, hatAH duHprekzitAH dulliKitAH durlaMGitAH, avaDUtA
   hatāḥ. sarva jvarā ekāhikā dvaitīyakās traitīyakāś cāturthakāḥ saptāhikā	hatAH. sarva jvarAH ekAhikAH dvEtIyakAH trEtIyakAH cAturTakAH saptAhikA
   ardhamāsikā māsikā daivasikā muhūrtikā nityajvarā viṣamajvarā bhūtajvarāḥ	arDamAsikA mAsikAH dEvasikAH muhUrtikAH nitya-jvarAH vizamajvarAH BUta-jvarAH
   vātikāḥ paittikāḥ śleṣmikāḥ sānnipātikā mānuṣyajvarā amānuṣyajvarā hatāḥ,	vAtikAH pEttikAH SlezmikAH sAnnipAtikAH mAnuzya-jvarAH amAnuzya-jvarAH hatAH,
   sarvajvarā dadrūkaṇḍūkiṭimakuṣṭhagaṇḍapiṭakapāmāvaisarpalohaliṅgā hatāḥ,	sarva-jvarAH dadrU-kaNxU-kiwima-kuzWa-gaNxa-piwaka-pAma-avEsarpa-loha-liFgAH hatAH,
   śirorttiardhāvabhedakam arocakam akṣirogaṃ nāsārogaṃ mukharogaṃ	SiraH-rtti-arDAvaBedakam arocakam akzi-rogam nAsA-rogam muKa-rogam
   kaṇṭharogaṃ hṛdrogaṃ galagrahaṃ karṇaśūlaṃ dantaśūlaṃ hṛdayaśūlaṃ	kaNWa-rogam hRd-rogam galagraham karNa-SUlam danta-SUlam hRdaya-SUlam
   pārśvaśūlaṃ pṛṣṭhaśūlaṃ udaraśūlaṃ gaṇḍaśūlaṃ vastiśūlaṃ gudaśūlaṃ	pArSva-SUlam pRzWa-SUlam udara-SUlam gaNxa-SUlam vasti-SUlam guda-SUlam
   yoniśūlaṃ prajanaśūlaṃ ūruśūlaṃ jaṃghāśūlaṃ hastaśūlaṃ pādaśūlaṃ	yoni-SUlam prajana-SUlam Uru-SUlam jaMGA-SUlam hasta-SUlam pAda-SUlam
   aṅgapratyaṅgaśūlaṃ hataṃ. hatāḥ sarvagrahāḥ sarvaviṣāḥ sarvavyādhayaḥ.	aFga-pratyaFga-SUlam hataM. hatAH sarva-grahAH sarva-vizAH sarva-vyADayaH.
   svastir bhavatu mama sarvasatvānāṃ ca.	svastiH Bavatu mama sarva-satvAnAm ca.
   svasti rātrau svasti divā svasti madhyadine sthite,	svasti rAtrO svasti divA svasti maDya-dine sTite,
   svasti sarvam ahorātraṃ sarvabuddhā diśantu vaḥ.	svasti sarvam ahorAtram sarva-budDAH diSantu vaH.
   namo 'stu buddhāya namo 'stu bodhaye,	namaH astu budDAya namaH astu boDaye,
   namo 'stu muktāya namo 'stu muktaye.	namaH astu muktAya namaH astu muktaye.
   namo 'stu śāntāya namo 'stu śāntaye,	namaH astu SAntAya namaH astu SAntaye,
   namo vimuktāya namo vimuktaye.	namaH vimuktAya namaH vimuktaye.
   ye brāhmaṇā vāhitapāpadharmāḥ,	ye brAhmaNAH vAhita-pApa-DarmAH,
   (Mmvr Taku 39)	(MmvH Taku 39)
   teṣāṃ namas te, mama sarvasatvānāṃ ca rakṣāṃ kurvantu, svasti mātuḥ,	tezAm namaH te, mama sarva-satvAnAm ca rakzAm kurvantu, svasti mAtuH,
   svasti pituḥ, svasti garbhagatasya, svasti dvipadānāṃ, svasti bhavatu	svasti pituH, svasti garBa-gatasya, svasti dvipadAnAn, svasti Bavatu
   catuṣpadānāṃ, svasti bahupadānāṃ, svasti tribhavaparyavapannānāṃ, svasti	catuzpadAnAn, svasti bahu-padAnAn, svasti tri-Bava-paryavapannAnAM, svasti
   mama sarvasatvānāṃ ca svāhā.	mama sarva-satvAnAm ca svAhA.
   ogṛhṇa tvam ānanda nāgarājñān nāmāni. tadyathā.	ogRhNa tvam Ananda nAga-rAjQAn nAma-ani. tat-yaTA.
   buddho bhagavān dharmasvāmī nāgarājā, brahmā nāgarājā, mahābrahmā	budDaH BagavAn Darma-svAmI nAga-rAjA, brahmA nAga-rAjA, mahA-brahmA
   nāgarājā, indro nāgarājā, mahendro nāgarājā, upendro nāgarājā, samudro	nAga-rAjA, indraH nAga-rAjA, mahA-indraH nAga-rAjA, upendraH nAga-rAjA, samudraH-
   nāgarājā, samudraputro nāgarājā, sāgaro nāgarājā, sāgaraputro nāgarājā,	nAga-rAjA, samudra-putraH nAga-rAjA, sAgaraH nAga-rAjA, sAgara-putraH nAga-rAjA,
   makaro nāgarājā, nando nāgarājā, upanando nāgarājā, nalo nāgarājā, upanalo	makaraH nAga-rAjA, nandaH nAga-rAjA, upanandaH nAga-rAjA, nalaH nAga-rAjA, upanalaH-
   nāgarājā, sudarśano nāgarājā, vāsukir nāgarājā, takṣako nāgarājā,	nAga-rAjA, sudarSanaH nAga-rAjA, vAsukiH nAga-rAjA, takzakaH nAga-rAjA,
   ṣaḍaṅgulo nāgarājā, aruṇo nāgarājā, varuṇo nāgarājā, pāṇḍarako nāgarājā,	zaz-aFgulaH nAga-rAjA, aruNaH nAga-rAjA, varuNaH nAga-rAjA, pANxarakaH nAga-rAjA,
