   śrīrastu	SrIH astu
   dhṛtvā sapuṇyo bhavatīdamupekṣitaṃ syāt | na vastutastatsambhavati | ato	DRtvA sa puNyaH Bavati idam upekzitam syAt | na vastutas tad samBavati | atas 
   dānamapi nopekṣyam | tribhavānāṃ kṛte kebalaṃ nācaret | nirvāṇāya	dAnam api na upekzyam | tri BavAnAm kRte kebalam na Acaret | nirvANAya
   paramācaret | kintu kleśānakuśalakarmāṇi ca varjayet | kasmāt | tāni hi	parama Acaret | kintu kleSAn akuSala karmANi ca varjayet | kasmAt | tAni hi
   karmāṇi hetukāla eva vāryāṇi | phalakāle na kathamapi śakyate [vārayitum]	karmANi hetu kAle eva vAryANi | Pala kAle na kaTam api Sakyate [vArayitum]
   | ato buddhā [bhagavanto] hetukāla eva vinayāya dharmamupadiśanti | na tu	| atas budDAH [Bagavanto] hetu kAle eva vinayAya Darmam upadiSanti | na tu
   yamarājavat phalakāle 'parādhamanyathayeyuḥ |	yama rAja vat Pala kAle aparADam anyaTayeyuH |
   (pṛ) triṣvāvaraṇeṣu kiṃ gurutaram | (u) kecidāhuḥ  vipākāvaraṇaṃ	(pR) trizu AvaraNezu kim gurutaram | (u) kecid AhuH vipAka AvaraNam
   gurutaramiti | anyathayitumaśakyatvāt | [anye] kecidāhuḥ 	gurutaram iti | anyaTayitum aSakyatvAt | [anye] kecid AhuH 
   pudgalānusaraṇataḥ sarvaṃ gurutaram | (pṛ) kiṃ nivartyaṃ bhavati | (u)	pudgala anusaraNataH sarvam gurutaram | (pR) kim nivartyam Bavati | (u)
   sarvaṃ hāpayituṃ śakyam | yannivartyaṃ na tadāvaraṇamityucyate ||	sarvam hApayitum Sakyam | yat nivartyam na tadA AvaraNam iti ucyate ||
   trividhāvaraṇavargaḥ ṣaḍuttaraśatatamaḥ |	triviDa AvaraNa vargaH zaz uttaraSatatamaH |
   (SSS_256)	(H SS_256)
   107 catuḥkarmavargaḥ	107 catur karma vargaH
   (pṛ) sūtre bhagavatoktam  catvārīmāni karmāṇi | [katamāni] | asti karma	(pR) sUtre BagavatA uktam catvAri imAni karmANi | [kata mAni] | asti karma
   kṛṣṇaṃ kṛṣṇavipākam | asti karma śuklaṃ śuklavipākam | asti karma	kRzNam kRzNa vipAkam | asti karma Suklam Sukla vipAkam | asti karma
   kṛṣṇaśuklaṃ kṛṣṇaśuklavipākam | asti karma	kRzNa Suklam kRzNa Sukla vipAkam | asti karma
   akṛṣṇamaśuklamakṛṣṇāśuklavipākam | karma karmakṣayāya saṃvartata iti |	akRzNam aSu klam akRzNA Sukla vipAkam | karma karma kzayAya saMvartate iti |
   kāni tāni | (u) asti karma kṛṣṇaṃ kṛṣṇavipākamiti | yena karmaṇā	kAni tAni | (u) asti karma kRzNam kRzNa vipAkam iti | yena karmaNA
   savyābādhye loke yathāvaivartinaraka upapadyate | anyatra ca savyābādhye	savyA bADye loke yaTAvEvarti narakaH upapadyate | anyatra ca sa vyA bADye
   'kuśala vipākāyatane samupapadyate yadi vā tiryañca ekatyāḥ pretā vā |	akuSala vipAka Ayatane samupapadyate yadi vA tiryaQca ekatyAH pretAH vA |
   etadviparītaṃ dvitīyaṃ karma | yena karmaṇā avyābādhye loka upapadyate	etat viparItam dvitIyam karma | yena karmaNA avyAbADye loke upapadyate
   yathā rūpārūpyadhātvoḥ kāmadhātau ca devā manuṣyā ekatyāḥ |	yaTA rUpArUpya DAtvoH kAmaDAtO ca devAH manuzyAH ekatyAH |
   kṛṣṇaśuklavyāmiśraṃ karma tṛtīyam | yena karmaṇā samutpadyate savyābādhye	kRzNa Sukla vyAmiSram karma tRtIyam | yena karmaNA samutpadyate savyA bADye
   'vyābādhye ca loke yadi vā tiryañcaḥ pretā devā manuṣyā ekatyāḥ |	avyAbADye ca loke yadi vA tiryaQcaH pretAH devAH manuzyAH ekatyAH |
   caturthamanāsravaṃ karma trīṇi karmāṇi kṣapayati |	caturTam anAsravam karma trINi karmANi kzapayati |
   yat karmalokadvayavigarhitaṃ iha vigarhitamamutra ca vigarhitam | tat	yat karma loka dvaya vigarhitam iha vigarhitam amutra ca vigarhitam | tat 
   pāpaṃ karma puruṣaḥ kṛtvā tamasi patitaḥ san na yaśaḥ śrutavān bhavatīti	pApam karma puruzaH kRtvA tamasi patitaH san na yaSaH SrutavAn Bavati iti
   kṛṣṇamityucyate | iha duḥkhamamutra duḥkhamityadhvadvaye 'pi	kRzNam iti ucyate | iha duHKam amutra duHKam iti aDva dvaye api
   duḥkhaviṣamiti kṛṣṇam | (pṛ) idaṃ karma kimiti savyābādhyalokajanakam |	duHKa vizam iti kRzNam | (pR) idam karma kim iti sa vyAbADya loka janakam |
   (u) nimittakrameṇākuśalaṃ kṛtvā na cittaṃ paritapati | antarāle	(u) nimitta krameNa akuSalam kRtvA na cittam paritapati | antarAle
   cākuśalavyāvartakaṃ kuśalaṃ nāsti | idaṃ karma savyābādhyalokajanakam |	ca akuSala vyAvartakam kuSalam na asti | idam karma sa vyAbADya loka janakam |
   mithyādṛṣṭicittena hi kriyante 'kuśalāni | akuśalakriyā ca gurujaneṣu	miTyA dRzwi cittena hi kriyante akuSalAni | akuSala kriyA ca guru janezu
   yanmātāpitṛṣu anyeṣu sajjaneṣu ca | sattvānāmahitaṃ kṛtvā na kiñcidapi	yat mAtA pitRzu anyezu sat janezu ca | sattvAnAm ahitam kRtvA na kiQcid api
   kṛpāṃ karoti | yathā sattvān hanti samastaṃ taddhanaṃ vāpaharati |	kRpAm karoti | yaTA sattvAn hanti samastam tat Danam vA apaharati |
   kārāgāre vā badhvā punarāhāramapi niṣedhayati | gurutaraṃ vā tāḍayati |	kAra AgAre vA baDvA punar AhAram api nizeDayati | gurutaram vA tAxayati |
   tena na bhavati sukhāntaramapi | evamādi karma	tena na Bavati suKa antaram api | evamAdi karma
   ekāntasavyābādhyalokajanakam |	ekAnta savyAbADya loka janakam |
   śuklaṃ śuklavipākaṃ karmeti | yaḥ kaścidekāntataḥ kuśalānyupacinoti |	Suklam Sukla vipAkam karma iti | yaH kaScid ekAntataH kuSalAni upacinoti |
   akuśalavāṃśca na bhavati | tatkarmadvayātiśayabalaṃ mahattamam |	akuSalavAn= ca na Bavati | tad karma dvaya atiSaya balam mahattamam |
   nānyattadatiśete | na kṛṣṇavipākaṃ pratisaṃvedayataḥ śuklavipākasya	na anyat tat atiSete | na kRzNa vipAkam pratisaMvedayataH Sukla vipAkasya
   prasaṅgo 'sti | nāpi śuklavipākaṃ pratisaṃvedayataḥ kṛṣṇavipākasya	prasaFgaH asti | na api Sukla vipAkam pratisaMvedayataH kRzNa vipAkasya
   prasaṅgaḥ | kasmāt | sarve sattvāḥ kuśalamakuśalañcopacinvanti |	prasaFgaH | kasmAt | sarve sattvAH kuSalam akuSalaQca upacinvanti |
   karmabalasya parasparamāvaraṇatvānna yugapatpratisaṃvedayante | yathā	karma balasya parasparam AvaraNa tvAt na yugapad pratisaMvedayante | yaTA
   dvayormallayo balīyānagre vinipātayati [durbalam] | tṛtīyaṃ karma durbalaṃ	dvayoH mallayaH balIyAn agre vinipAtayati [duH balam] | tRtIyam karma durbalam
   kuśalākuśalavyāmiśratvāt tadvipākaṃ yugapatpratisaṃvedayate | anyonyaṃ	kuSala akuSala vyAmiSra tvAt tad vipAkam yugapad pratisaMvedayate | anyonyam
   spardhitvāt |	sparDi tvAt |
   (SSS_257)	(H SS_257)
   (pṛ) kecidāhuḥ  yadakuśalaṃ karma durgatau vipākapratisaṃvedakaṃ tadādyaṃ	(pR) kecid AhuH yat akuSalam karma durgatO vipAka pratisaMvedakam tad Adyam
   karma | yadrūpadhātupratisaṃyuktaṃ kuśalaṃ tat dvitīyaṃ karma | yat	karma | yad rUpa DAtu pratisaMyuktam kuSalam tat dvitIyam karma | yat 
   kāmadhātupratisaṃyuktaṃ devamanuṣyeṣu vyāmiśravipākapratisaṃvedakaṃ tat	kAmaDAtu pratisaMyuktam deva manuzyezu vyAmiSra vipAka pratisaMvedakam tat 
   tṛtīyaṃ karma | anāvaraṇamārge saptadaśaśaikṣacetanā caturthaṃ karma iti |	tRtIyam karma | anAvaraNa mArge saptadaSa SEkza cetanA caturTam karma iti |
   kathamayamarthaḥ syāt | (u) bhagavān svayamavocadeṣāṃ karmaṇāṃ lakṣaṇam |	kaTam ayam arTaH syAt | (u) BagavAn svayam avocat ezAm karmaNAm lakzaNam |
   yaduta ekatyaḥ savyābādhyaṃ kāyasaṃskāramabhisaṃskaroti, savyābādhyaṃ	yat uta ekatyaH sa vyAbADyam kAya saMskAram aBisaMskaroti, sa vyAbADyam
   vāksaṃskāramabhisaṃskaroti, savyābādhyaṃ manaḥ saṃskāramabhisaṃskaroti |	vAc saMskAram aBisaMskaroti, sa vyAbADyam manaH saMskAram aBisaMskaroti |
   sa savyābādhyaṃ kāyasaṃskāramabhisaṃskṛtya savyābādhyaṃ	sa sa vyAbADyam kAya saMskAram aBisaMskRtya sa vyAbADyam
   vāksaṃskāramabhisaṃskṛtya savyābādhyaṃ manaḥsaṃskāramabhisaṃskṛtya	vAc saMskAram aBisaMskRtya sa vyAbADyam manaH saMskAram aBisaMskRtya
   savyābādhye loke utpadyate | tatra savyābādhye loka utpannaṃ santaṃ	savyA bADye loke utpadyate | tatra savyAbADye loke utpannam santam
   savyābādhyāḥ sparśāḥ spṛśanti iti | ato jñāyate yat sattvānāṃ	sa vyAbADyAH sparSAH spRSanti iti | atas jQAyate yat sattvAnAm
   kṛṣṇaduḥkhalokotpādakaṃ tadādyaṃ karmeti | rūpārūpyadhātvostu	kRzNa duHKa loka utpAdakam tad Adyam karma iti | rUpArUpya DAtu oH tu
   ekāntasukhavedanaiva | kāmadhātukadevamanuṣyā apyekāntasukhavedinaḥ |	ekAnta suKa vedanA eva | kAmaDAtuka deva manuzyAH api ekAnta suKa vedinaH |
   yathoktaṃ sūtre  sukhināṃ manuṣyāṇāmapi santi ṣaṭ sparśā iti |	yaTA uktam sUtre suKinAm manuzyANAm api santi zaw sparSAH iti |
   devamanuṣyairanubhūyamānā viṣayā yena amanorūpā na bhavanti tat dvitīyaṃ	deva manuzyEH anuBUyamAnAH vizayAH yena amanaH rUpAH na Bavanti tat dvitIyam
   karma | kṛṣṇaśuklavyāmiśrasamudācaraṇaṃ tṛtīyaṃ karma |	karma | kRzNa Sukla vyAmiSra samudAcaraNam tRtIyam karma |
   sarvāṇyanāsravakarmāṇi karmāṇāṃ kṣayāya saṃvartante | mitho virodhāt | na	sarvANi anAsrava karmANi karmANAm kzayAya saMvartante | miTas viroDAt | na
   saptadaśaśaikṣacetanāmātraṃ caturthaṃ karma |	saptadaSa SEkza cetanA mAtram caturTam karma |
   (pṛ) anāsravaṃ vastutaḥ śuklam | kasmādaśuklamityucyate | (u) tat	(pR) anAsravam vastutas Suklam | kasmAt aSuklam iti ucyate | (u) tat 
   śuklalakṣaṇādbhinnam | na dvitīyaśuklakarmasamānam |	Sukla lakzaNAt Binnam | na dvitIya Sukla karma samAnam |
   asmādatiśayitamaśuklasya, tadanapekṣatvāt | yathā rājñaścakravartinaḥ	asmAt atiSayitam aSuklasya, tad anapekza tvAt | yaTA rAjQaH cakravartinaH
   suviśuddhātikrāntadevamānuṣacakṣuḥ sampat | vastutastu tanmānuṣameva	su viSudDa atikrAnta deva mAnuza cakzuH sampad | vastutas tu tat mAnuzam eva
   cakṣuḥ | anyapuruṣātiśāyitvādatimānuṣamityucyate | tathā tatkarmāpi	cakzuH | anya puruza atiSAyi tvAt atimAnuzam iti ucyate | taTA tad karma api
   anyaśuklakarmātiśāyitvādaśuklamityucyate | kecidāhuḥ  akṛṣṇaṃ śuklavipākaṃ	anya Sukla karma atiSAyi tvAdaSuklam iti ucyate | kecid AhuH akRzNam Sukla vipAkam
   karmeti vaktavyamiti | tattvaduṣṭam | nirvāṇañca na śuklam |	karma iti vaktavyam iti | tattva duzwam | nirvANaQca na Suklam |
   atastatkarmāśuklamiti vācyam | vaktavyañcākṛṣṇamaśuklamiti | kasmāt |	atas tad karma ASuklam iti vAcyam | vaktavyaQca akRzNam aSuklam iti | kasmAt |
   nirvāṇaṃ hyadharmaḥ | nirvāṇārthatvāttatkarmākṛṣṇamaśuklam | loke	nirvANam hi aDarmaH | nirvANa arTa tvAt tad karma akRzNam aSuklam | loke
   ślādhyataraṃ sāsravaṃ kuśalaṃ karma śuklamityucyate | caturthaṃ karma	SlADyataram sa Asravam kuSalam karma Suklam iti ucyate | caturTam karma
   tatkarma vyāvartayatīti aśuklam | tasya karmaṇo	tat karma vyAvartayati iti aSuklam | tasya karmaNaH 
   'kṛṣṇalakṣaṇatvādaśuklalakṣaṇatāpi prāpyate | vipākasya śuklatvātkarma	akRzNa lakzaNa tvAt aSukla lakzaNa tA api prApyate | vipAkasya Sukla tvAt karma
   śuklamityākhyāyate | idaṃ karma tvavipākamityato na śuklamityākhyāyate ||	Suklam iti AKyAyate | idam karma tu avipAkam iti atas na Suklam iti AKyAyate ||
   catuḥkarmavargaḥ saptotaraśatatamaḥ |	catur karma vargaH saptotara SatatamaH |
   (SSS_258)	(H SS_258)
   108 pañcānantaryavargaḥ	108 paQca Anantari a vargaH
   [eta]tkāyasamanantaraṃ vipāko vedyata ityānantaryamityucyate | yadi dṛṣṭa	[eta]tkAya samanantaram vipAkaH vedyate iti Anantaryam iti ucyate | yadi dRzwa
   eva dharme vedyate tadā savyābādhavipāko laghurbhavati | tasya	eva Darme vedyate tadA sa vya AbADa vipAkaH laGuH Bavati | tasya
   gurutvātkrameṇa kṣipraṃ vā avaivartike narake patati | trīṇyānantaryāṇi	guru tvAt krameNa kzipram vA avEvartike narake patati | trINi AnantaryANi
   puṇyakṣetraguṇagauravādānantaryāṇītyucyante yaduta saṅghabhedaḥ	puNya kzetra guNa gOravAt AnantaryANi iti ucyante yat uta saFGa BedaH
   tathāgataśarīre duṣṭacittena lohitotpādanamarhadvadhaḥ | mātṛpitṛvadha	taTAgata SarIre duzwa cittena lohita utpAdanam arhat vaDaH | mAtR pitR vaDa
   ānantaryamakṛtajñatvāt | tadānantaryaṃ manuṣyagatāveva sambhavati |	Anantaryam akRtajQa tvAt | tat A Anantaryam manuzya gatO= eva samBavati |
   nānyagatiṣu | manuṣyāṇāmeva vivekajñānavattvāt | (pṛ) anyeṣāmāryajanānāṃ	na anya gatizu | manuzyANAm eva viveka jQAna vat tvAt | (pR) anyezAm Arya janAnAm
   vadha ānantaryaṃ labhate na vā | (u) āryajanānāṃ vadhitā prāyo narake	vaDaH Anantaryam laBate na vA | (u) Arya janAnAm vaDitA prAyas narake
   patati | yastvarhantaṃ hanti so 'vaśyaṃ narake patet | yastathāgataṃ	patati | yaH tu arhantam hanti saH avaSyam narake patet | yaH taTAgatam
   tāḍayati na tu lohitamutpādayati sa gurutaraṃ pāpaṃ labhate | icchayā	tAxayati na tu lohitam utpAdayati sa gurutaram pApam laBate | icCayA
   bhagavatyāghātāt |	Bagavati AGAtAt |
   (pṛ) yadyekamānantaryaṃ karoti | tadā narake patati | yadi dve trīṇi vā	(pR) yadi ekam Anantaryam karoti | tadA narake patati | yadi dve trINi vA
   karoti | tadā ekasminneva kāye vipākavedanā kṣīyate na vā | (u) pāpānāṃ	karoti | tadA ekasmin= eva kAye vipAka vedanA kzIyate na vA | (u) pApAnAm
   prācuryāt sa ciraṃ gurutaraduḥkhānyanubhavati | tataścyutaḥ punastatraiva	prAcuryAt sa ciram gurutara duHKAni anuBavati | tatas cyutaH punar tatra eva
   jāyate | (pṛ) saṅghabhede kathaṃ gurutaraṃ bhavati [pāpam] | (u)	jAyate | (pR) saFGa Bede kaTam gurutaram Bavati [pApam] | (u)
   yadyadharmamadharmato jñātvā imaṃ dharmaṃ dharmato jānāti | evaṃmanaskāro	yadi aDarmam aDarmataH jQAtvA imam Darmam DarmataH jAnAti | evaMmanaskAraH 
   gurutaro bhavati | yadyadharmaṃ dharmamiti vadati dharmañcādharmamiti |	gurutaraH Bavati | yadi aDarmam Darmam iti vadati DarmaQca aDarmam iti |
   nedaṃ pūrvavat | yat kaścit buddhātsaṅghaṃ prabhidya ātmānaṃ praśaṃsati	na idam pUrvavat | yat kaScid budDAt saFGam praBidya AtmAnam praSaMsati
   mahān śāstā devamanuṣyāṇāṃ pūjya iti | idamapi gurutaram | (pṛ) yaḥ	mahAn SAstA deva manuzyANAm pUjyaH iti | idam api gurutaram | (pR) yaH
   prākṛtajanabhedyaḥ, nāyamāryaḥ | [tadbhedaḥ] kimiti gurutaraṃ pāpam | (u)	prAkRta jana BedyaH, na ayam AryaH | [tad BedaH] kim iti gurutaram pApam | (u)
   saddharmasya vighnitatvādguru gurutaraṃ pāpam |	sadDarmasya viGnita tvAt guru gurutaram pApam |
   (pṛ) saṅghadharmabhedaḥ kadā bhavati | (u) dharme 'cirapratiṣṭhite	(pR) saFGa Darma BedaH kadA Bavati | (u) Darme acira pratizWite
   naikāmapi rātrimativāhayati sma | brahmādayo devāḥ śāliputrādimahāśrāvakāḥ	na ekAm api rAtrim ativAhayati sma | brahma AdayaH devAH SAli putra Adi mahA SrAvakAH
   punaḥ [saṅghaṃ] samīcakruḥ | kecidāhuḥ imāni pañca bhikṣuśatāni	punar [saFGaM] samIcakruH | kecid AhuH imAni paQca Bikzu SatAni
   pūrvādhvani parān vighnayantaḥ kuśalamūlamārgalabdhāstatpratyayamidānīṃ	pUrva aDvani parAn viGnayantaH kuSala mUla mArga labDAH tad pratyayam idAnIm
   tadvipākaṃ vindanta iti | prākṛtā laghucalacittatvātsubhedyāḥ | yo	tad vipAkam vindante iti | prAkRtAH laGu cala citta tvAt suBedyAH | yaH 
   laukikānātmaśūnyatāmātraṃ labdhavān tasya cittamevābhedyam | kaḥ punarvādo	lOkikAn Atma SUnyatA mAtram labDavAn tasya cittam eva aBedyam | kaH punarvAdaH 
   'nāsravaṃ [cittam] | cittagatāmidhyātvāt saṅghabhedapratyayaṃ karoti |	anAsravam [cittam] | citta gatAm iDyA tvAt saFGa Beda pratyayam karoti |
   ataḥ puṇyārthī san tyajedabhidhyām ||	atas puNya arTI san tyajet aBiDyAm ||
   pañcānantaryavargo 'ṣṭottaraśatatamaḥ |	paQcAnantari avargaH azwottaraSatatamaH |
   (SSS_259)	(H SS_259)
   109 pañcaśīlavargaḥ	109 paQca SIla vargaH
   bhagavānāha  upāsakasya pañcaśīlānīti | (pṛ) kecidvadanti 	BagavAn Aha upAsakasya paQca SIlAni iti | (pR) kecid vadanti 
   samādānasamanvitastu śīlasaṃvaraṃ labhate iti | kathamidam | (u)	samAdAna samanvitaH tu SIla saMvaram laBate iti | kaTam idam | (u)
   samāttabahvalpatvavaśātsaṃvaraṃ labhate nāvaśyaṃ pañcamātrāṇi gṛhṇāti |	samAtta bahu alpa tva vaSAt saMvaram laBate na avaSyam paQca mAtrANi gRhNAti |
   (pṛ) āptiviratyādayaḥ kasmānna śīlam | kevalaṃ prāṇātipātaviratyādaya	(pR) Apti virati AdayaH kasmAt na SIlam | kevalam prANa atipAta virati Adaya
   ucyante | (u) saparibāratvāt | (pṛ) kasmānnocyate kāmacāravarjanam |	ucyante | (u) sa paribAra tvAt | (pR) kasmAt na ucyate kAma cAra varjanam |
   kāmamithyācāraviratiḥ kevalamucyate | (u) avadātavasanānāmāvasathe	kAma miTyA AcAra viratiH kevalam ucyate | (u) avadAta vasanAnAm AvasaTe
   lokavyavahārasya sadā duṣparihāratvāt | svabhāryāgamanañca nāvaśyaṃ	loka vyavahArasya sadA duzparihAra tvAt | sva BAri A gamanaQca na avaSyam
   durgatiṣu pātayati | yathā srotaāpannādayo 'pīmaṃ dharmamācaranti | ato	durgatizu pAtayati | yaTA srotaApanna AdayaH api imam Darmam Acaranti | atas 
   noktaṃ kāmacāravarjanam |	na uktam kAma cAra varjanam |
   (pṛ) paiśunyādiviratiḥ kasmānna śīlam | (u) vastvidamatisūkṣmaṃ	(pR) pESunya Adi viratiH kasmAt na SIlam | (u) vastu idam ati sUkzmam
   duṣparipālam | paiśunyādirmṛṣāvādasyāṅgam | yadi mṛṣocyate tadā sāmānyataḥ	duzparipAlam | pESunya AdiH mRzAvAdasya aFgam | yadi mRzA ucyate tadA sAmAnyatas 
   [paiśunya]muktameva | (pṛ) kiṃ madyapānaṃ prakṛtisāvadyam | (u) na |	[pESunya]muktam eva | (pR) kim madya pAnam prakRti sAvadyam | (u) na |
   kasmāt | madyapānasya sattvāvyābādhātkevalaṃ pāpahetuḥ | yo madyaṃ pibati	kasmAt | madya pAnasya sattva avyAbADAt kevalam pApa hetuH | yaH madyam pibati
   so 'kuśaladvāramapāvṛṇoti | ato madyapānaṃ yaḥ śāsti sa pāpāṅgaṃ labhate |	saH akuSala dvAram apAvRNoti | atas madya pAnam yaH SAsti sa pApa aFgam laBate |
   samādhyādikuśaladharmāṇāṃ vighnakṛttvāt | yathā taruṣaṇḍo 'vaśyaṃ	samADi Adi kuSala DarmANAm viGna kRt tvAt | yaTA taru zaNxaH avaSyam
   bhittyāvaraṇārthaḥ | evamime catvāro dharmāḥ prakṛtisāvadyāḥ |	Bitti AvaraNa arTaH | evam ime catvAraH DarmAH prakRti sAvadyAH |
   tadviratayaḥ prakṛtipuṇyāni | tatpālanāyaitanmadya [saṃvara]śīlaṃ yojyate	tad viratayaH prakRti puNyAni | tad pAlanAya etat madya [saMvara] SIlam yojyate
   pañcaśīlavargo navottaraśatatamaḥ ||	paQca SIla vargaH nava uttaraSatatamaH ||
   110 ṣaṭkarmavargaḥ	110 zawkarma vargaH
   ṣaḍvidhaṃ karma  naraka[vedanīya]vipākaṃ karma,	zaxviDam karma naraka[vedanIya] vipAkam karma,
   tiryagyoni[vedanīya]vipākaṃ karma, preta[vedanīya]vipākaṃ karma,	tiryagyoni[vedanIya] vipAkam karma, preta[vedanIya] vipAkam karma,
   manuṣya[vedanīya]vipākaṃ karma, deva[vedanīya]vipākaṃ karma,	manuzya[vedanIya] vipAkam karma, deva[ vedanIya] vipAkam karma,
   asamādhivedanīyavipākaṃ karma iti | (pṛ) kānīmāni | (u)	asamADivedanIya vipAkam karma iti | (pR) kAni imAni | (u)
   narakavedanīyavipākaṃ karmeti (SSS_260) yathā ṣaṭpādābhidharme	naraka vedanIya vipAkam karma iti (H SS_260) yaTA zaz pAda aBiDarme
   lokaprajñaptau vistṛtam | prāṇātipātapāpena narakaṃ bhavati | yathoktaṃ	loka prajQaptO vistRtam | prANa atipAta pApena narakam Bavati | yaTA uktam
   sūtre  yaḥ prāṇātipātanirataḥ sa naraka utpadyate | yo manuṣyeṣu bhavati	sUtre yaH prANa atipAta nirataH sa narakaH utpadyate | yaH manuzyezu Bavati
   so 'lpāyurvindate | iti | evaṃ yāvanmithyādṛṣṭi [vaktavyam] |	saH alpa AyuH vindate | iti | evam yAvat miTyA dRzwi [vaktavyam] |
   (pṛ) jānīma eva daśākuśalakarmapathairnarakavipākaṃ vindate |	(pR) jAnImaH eva daSa akuSala karma paTEH naraka vipAkam vindate |
   tiryakpretamanuṣyagatirvotpadyata iti | bhavāṃstu kevalamāha narakeṣu	tiryak preta manuzya gatiH vA utpadyate iti | BavAn= tu kevalam Aha narakezu
   manuṣyeṣu votpadyata iti | idānīṃ viśiṣya vaktavyaṃ kiṃ karma	manuzyezu vA utpadyate iti | idAnIm viSizya vaktavyam kim karma
   narakavipākamātravedakamiti | (u) tadeva pāpakarma gurutaraṃ sat	naraka vipAka mAtra vedakam iti | (u) tat eva pApa karma gurutaram sat 
   narakavipākavedakam | yadyalpaṃ laghu tadā tiryagādivipākavedakam | yaḥ	naraka vipAka vedakam | yadi alpam laGu tadA tiryak Adi vipAka vedakam | yaH
   sampannatrividhamithyācāraḥ tasya narakaṃ bhavati | asampannānyakarmaṇaḥ	sampanna triviDa miTyA AcAraH tasya narakam Bavati | asampannAnyakarmaNaH
   tiryagādayo bhavanti | ataśca gurutarapāpakriyāyāṃ narakaṃ bhavati |	tiryak AdayaH Bavanti | atas ca gurutara pApa kriyAyAm narakam Bavati |
   śīlabhedinā dṛṣṭibhedinā ca kṛtamakuśalaṃ karma narakāya bhavati |	SIlaBedinA dRzwi BedinA ca kRtam akuSalam karma narakAya Bavati |
   cittabhedacaryābhedākuśale 'dhicitto yastatkṛtamakuśalaṃ karma narakāya	citta Beda caryA Beda akuSale aDicittaH yaH tad kRtam akuSalam karma narakAya
   bhavati | yo 'kuśalaṃ karma kṛtvā akuśalasyānucaro bhavati | tasya narakaṃ	Bavati | yaH akuSalam karma kRtvA akuSalasya anucaraH Bavati | tasya narakam
   bhavati | āryeṣu yo 'kuśalaṃ karma karoti | tasya narakaṃ bhavati |	Bavati | Aryezu yaH akuSalam karma karoti | tasya narakam Bavati |
   akuśalaṃ karma kurvato 'kuśalaṃ karmopacīyate | yathā kaścidakuśalaṃ karma	akuSalam karma kurvataH akuSalam karma upacIyate | yaTA kaScid akuSalam karma
   kṛtvā paścātprīyā praśaṃsan na parityaktumicchati | tasya narakaṃ bhavati	kRtvA paScAt prIyA praSaMsan na parityaktum icCati | tasya narakam Bavati
   | yo vidveṣavyāpādacittena pāpakaṃ karoti | tasya narakaṃ bhavati | yo	| yaH vidveza vyApAda cittena pApakam karoti | tasya narakam Bavati | yaH 
   ghanārthaṃ [pāpaṃ] karoti | sa vipākāntaraṃ vedayate |	Gana arTam [pApaM] karoti | sa vipAka antaram vedayate |
   mithyādṛṣṭicittenākuśalaṃ karma kurvato narakaṃ bhavati | śīladūṣiṇā kṛtaṃ	miTyA dRzwi cittena akuSalam karma kurvataH narakam Bavati | SIla dUziNA kRtam
   pāpakarma narakāya bhavati | ahrīkeṇāpatrapeṇa kṛtaṃ pāpakarma narakāya	pApa karma narakAya Bavati | ahrIkeNa apatrapeNa kRtam pApa karma narakAya
   bhavatti | akuśalasvabhāvena janena kṛtaṃ pāpakarma narakāya bhavati |	Bavatti | akuSala svaBAvena janena kRtam pApa karma narakAya Bavati |
   tadyathā klinnā bhūmiralpavṛṣṭāpi kardamaṃ sādhayati | sadākuśala	tat yaTA klinnA BUmiH alpa vRzwA api kardamam sADayati | sadA akuSala
   karmacāriṇā kṛtamakuśalaṃ karma narakāya bhavati | yaḥ sambhramakāraṇaṃ	karma cAriNA kRtam akuSalam karma narakAya Bavati | yaH samBrama kAraNam
   vinā [sasaṃbhrama]makuśalaṃ karma karoti | tasya narakaṃ bhavati | yo	vinA [sa saMBrama]m akuSalam karma karoti | tasya narakam Bavati | yaH 
   'nātmaśūnyatāṅgamanyatrābhiniveśānna labhate | tena kṛta pāpakarma	anAtma SUnyatA aFgam anyatra aBiniveSAt na laBate | tena kRta pApa karma
   narakāya bhavati | yaḥ kāyena śīlaṃ manasā ca prajñāṃ nābhyasyati | tena	narakAya Bavati | yaH kAyena SIlam manasA ca prajQAm na aByasyati | tena
   kṛtamakuśalaṃ karma narakāya bhavati | prākṛtena kṛtamakuśalaṃ karma	kRtam akuSalam karma narakAya Bavati | prAkRtena kRtam akuSalam karma
   narakāya bhavati | kasmāt | na hyayaṃ prajānāti	narakAya Bavati | kasmAt | na hi ayam prajAnAti
   skandhadhātvāyatanadvādaśanidānādīni | ajñānādakāryaṃ kuryāt | kāryañca na	skanDa DAtu Ayatana dvAdaSa nidAna AdIni | ajQAnAt akAryam kuryAt | kAryaQca na
   kuryāt | avācyaṃ vadet | vācyañca na vadet | ananusmaraṇīyamanusmaret |	kuryAt | avAcyam vadet | vAcyaQca na vadet | ananusmaraNIyam anusmaret |
   anusmaraṇīyañca (SSS_261) nānusmaret | tena kṛtaṃ pāpamalpamapi narakāya	anusmaraNIyaQca (H SS_261) na anusmaret | tena kRtam pApam alpam api narakAya
