   Mahāpratisarā vidyārājñī	MahA-pratisarA vidyA-rAjQI
   sarvatathāgatanetra iti veditavyaḥ / jvālitārciśarīra iti veditavyaḥ /	sarva-taTAgata-netraH iti veditavyaH / jvAlita-arci-SarIraH iti veditavyaH /
   abhedyakavaca iti veditavyaḥ / sa sarvaśatrūṇāṃ pramathana iti veditavyaḥ	aBedya-kavacaH iti veditavyaH / sa sarva-SatrUNAm pramaTanaH iti veditavyaH
   / sarvapāpāvaraṇanirdahana iti veditavyaḥ / sarvanarakagativiśodhana iti	/ sarva-pApa-AvaraNa-nirdahanaH iti veditavyaH / sarva-naraka-gati-viSoDanaH iti
   veditavyaḥ / kim iti pūrvaṃ parijñātaṃ mahābrāhmaṇa anyatamasmiṃ	veditavyaH / kim iti pUrvam parijQAtam mahA-brAhmaNa anyatamasmin
   pṛthivīpradeśe bhikṣuśrāddhas tathāgatakulaśikṣākhaṇḍako 'dattādāyī	pRTivI-pradeSe Bikzu-SrAdDaH taTAgata-kula-SikzA-KaNxakaH adatta-AdAyI
   sukhādvārahārakaḥ saṃghikaṃ cāturdiśikaṃ staupikaṃ gaṇaprāptaṃ ca yad	suKAt-vArahArakaH saMGikam cAturdiSikam stOpikam gaNa-prAptam ca yat-
   dravyaṃ tat paudgalikaṃ kṛtvā sarvam adhiṣṭhāya takṣayati / yāvad apareṇa	dravyam tat pOdgalikam kRtvA sarvam aDizWAya takzayati / yAvat apareNa
   samayena mahāvyādhinā pṛṣṭaḥ / sa mahatīṃ duḥkhāvedanām anubhavati / sa	samayena mahA-vyADinA pRzwaH / sa mahatIm duHKa-AvedanAm anuBavati / sa
   tapasvī atrāṇo 'parāyaṇo 'pratiśaraṇo mahāntasukrośaṇāśabdaṃ karoti / atha	tapasvI atrANaH aparAyaNaH apratiSaraNaH mahAnta-sukroSaNA-Sabdam karoti / aTa
   tasminn eva pṛthivīpradeśe upāsako brāhmaṇo prativasati / tena tac chabdaḥ	tasmin eva pRTivI-pradeSe upAsakaH brAhmaNaH prativasati / tena tat SabdaH
   śrutaḥ / śrutvā ca punar yena sa bhikṣus tenopasaṃkrānta upasaṃkramya	SrutaH / SrutvA ca punar yena sa BikzuH tena-upasaMkrAntaH upasaMkramya
   tasya bhikṣor imāṃ mahāpratisarāṃ mahāvidyārājñīṃ likhitvā kaṇṭhe badhnāti	tasya BikzoH imAm mahA-pratisarAm mahAvidyA-rAjQIm liKitvA kaNWe baDnAti
   sma / samanantarabaddhāyāṃ mahāpratisarāyāṃ mahāvidyārājñyāṃ tasya bhikṣoḥ	sma / samanantara-badDAyAm mahA-pratisarAyAm mahAvidyA-rAjQyAm tasya BikzoH
   sarvā vedanāḥ (Mp_14) praśāntāḥ sarvavyādhibhyaḥ parimuktaḥ svasthaḥ	sarvAH vedanAH (M=-_14) praSAntAH sarva-vyADiByaH parimuktaH svasTaH
   saṃvṛtta iti / tasyām eva rātryām atyayābhyupasthite smṛtipratilabdhaḥ	saMvRttaH iti / tasyAm eva rAtryAm atyaya-aByupasTite smRti-pratilabDaH
   kālagataḥ / tasminn eva kṣatravare utsṛṣṭo 'vīcau mahānarake upapannaḥ /	kAlagataH / tasmin eva kzatra-vare utsRzwaH avIcO mahAnarake upapannaH /
   tac ca tasya mṛtaśarīraṃ bhikṣubhiḥ kūṭe sthāpitam / sā ca tasya	tat ca tasya mRta-SarIram BikzuBiH kUwe sTApitam / sA ca tasya
   mahāpratisarā mahāvidyārājñī kaṇṭhe baddhaivāsthitā /	mahA-pratisarA mahAvidyA-rAjQI kaNWe badDA-eva-AsTitA /
   samanantaropapannasya tasya bhikṣos tasminn avīcau mahānarake teṣāṃ	samanantara-upapannasya tasya BikzoH tasmin avIcO mahAnarake tezAm
   nārakānāṃ satvānāṃ sarvaduḥkhavedanāḥ śāntāḥ / te ca nārakasatvāḥ	nArakAnAm satvAnAm sarva-duHKa-vedanAH SAntAH / te ca nAraka-satvAH
   sarvasukhasamarpitā abhūvan / ye ca te mahānta-āvicikā-agniskandhās te 'pi	sarva-suKa-samarpitAH aBUvan / ye ca te mahAnta--AvicikA-agni-skanDAH te api
   sarveṇa sarvam upaśāntā iti / atha te yamapuruṣā vismayam āpannā yamasya	sarveNa sarvam upaSAntAH iti / aTa te yama-puruzAH vismayam ApannAH yamasya
   dharmarājasyemaṃ niścayaṃ vistareṇārocayati sma //	DarmarAjasya-imam niScayam vistareNa-Arocayati sma //
   ativismayam idaṃ deva dṛṣyate narakasaṃkaṭe /	ati-vismayam idam deva dRzyate naraka-saMkawe /
   praśāntā dāruṇā duḥkhāḥ satvānāṃ karmajāś ca ye /	praSAntAH dAruNAH duHKAH satvAnAm karma-jAH ca ye /
   praśāntās te 'pi cāṅgārā dehasthā dehināśayā //	praSAntAH te api ca-aFgArAH deha-sTA dehinA-ASayAH //
   karapattrā na bādhante kṣuradhārā na sajjate /	karapattrAH na bADante kzura-DArA na sajjate /
   ayaḥśālmalayo bhagnāḥ praśāntā lohakumbhayaḥ //	ayaH-SAlmalayaH BagnAH praSAntAH loha-kumBayaH //
   asipattrāvane pattrā na bādhante karmajā punaḥ /	asipattrAvane pattrA na bADante karma-jA punar /
   yamas tvaṃ dharmarājo 'si dharmeṇa śāsayase prajām //	yamaH tvam DarmarAjaH asi DarmeNa SAsayase prajAm //
   idaṃ tu kāraṇaṃ nālpam asmākaṃ vaktum arhasi /	idam tu kAraNam na-alpam asmAkam vaktum arhasi /
   tato 'sau dharmarājā vai dharmātmā dharmaniścayaḥ //	tatas asO DarmarAjA vE Darma-AtmA Darma-niScayaH //
   karuṇāśayanaṣṭānāṃ vākyaṃ śrutvedam īdṛśam /	karuNA-ASaya-nazwAnAm vAkyam SrutvA-idam IdRSam /
   kim etat kathyatāṃ śīghraṃ kathaṃ tv iti vaco 'vadat //	kim etat kaTyatAm SIGram kaTam tu iti vacaH avadat //
   tatas te duṣṭasatvānāṃ yamabhṛtyā sudāruṇāḥ /	tatas te duzwa-satvAnAm yama-BRtyA su-dAruNAH /
   yamasya dharmarājasya idaṃ vacanam aśrūvan //	yamasya DarmarAjasya idam vacanam aSrUvan //
   ayaṃ deva mahāsatva utpanno narakasaṃkaṭe /	ayam deva mahAsatvaH utpannaH naraka-saMkawe /
   avīcir yasya nāmedaṃ tenāsau narakasaṃkaṭa ucyate //	avIciH yasya nAma-idam tena-asO naraka-saMkawaH ucyate //
   karmāṇaṃ yasya vaicitryaṃ satvā ye hi sukhīkṛtam /	karmANam yasya vEcitryam satvAH ye hi suKIkRtam /
   sukhino hy eva sarvatra punar yānti surālayam //	suKinaH hi eva sarvatra punar yAnti surAlayam //
   yamo 'pi dharmarājā vai dṛṣṭvā vadati vismitaḥ /	yamaH api DarmarAjA vE dRzwvA vadati vismitaH /
   maharddhiko 'yaṃ mahac cāsya śarīraṃ pūrvo janmikam //	mahardDikaH ayam mahat ca-asya SarIram pUrvaH janmikam //
   (Mp_15)	(Mp_15)
   yathā dhātuśatair vṛndaṃ stūpaṃ śobhati śāśvatam /	yaTA DAtu-SatEH vRndam stUpam SoBati SASvatam /
   tathāsya śobhate kāyaḥ pratisarābaddhakaṇṭhakaḥ //	taTA-asya SoBate kAyaH pratisara-AbadDa-kaNWakaH //
   atha te narakapālā yakṣā yamasya dharmarājasya idaṃ vacanam abruvan /	aTa te nara-kapAlAH yakzAH yamasya DarmarAjasya idam vacanam abruvan /
   katham iyaṃ deva pratisarety ucyate / dharmarāja uvāca / pratipat smārayed	kaTam iyam deva pratisara-iti ucyate / DarmarAjaH uvAca / pratipad smArayet-
   yas tu sa na gacchati durgatiṃ sugatiṃ gacchate cāsau	yaH tu sa na gacCati durgatim sugatim gacCate ca-asO
   pratisarābhāvabhāvitaḥ / yūyaṃ narakapālā vai gacchatha puṣkarāvatīṃ / tad	pratisara-aBAva-BAvitaH / yUyam naraka-pAlAH vE gacCaTa puzkarAvatIm / tat-
   rakṣatha mahākūṭaṃ devataiḥ parivāritam / taṃ dṛṣṭvā sarvasarvasakheṣu	rakzaTa mahA-kUwam devatEH parivAritam / tam dRzwvA sarva-sarva-saKezu
   maitracittā bhaviṣyatha / atha te yakṣā yamapuruṣā tasyām eva rātryāṃ	mEtra-cittAH BavizyaTa / aTa te yakzAH yama-puruzA tasyAm eva rAtryAm
   puṣkarāvatīṃ gatāḥ /	puzkarAvatIm gatAH /
   te paśyanti tadā tatra rājadhānīsamīpataḥ /	te paSyanti tadA tatra rAjaDAnI-samIpatas /
   tac ca kūṭaṃ samantena ekadvārāsamākulam //	tat ca kUwam samantena eka-dvArA-samAkulam //
   mṛtaśarīraṃ paśyanti pratisarābaddhakaṇṭhakam /	mRta-SarIram paSyanti pratisara-AbadDa-kaNWakam /
   devā nāgāś ca gandharvā yakṣarākṣasakinnarāḥ //	devAH nAgAH ca ganDarvAH yakza-rAkzasa-kinnarAH //
   parivārya samantena pūjāṃ kurvanty anuttarām /	parivArya samantena pUjAm kurvanti anuttarAm /
   yāvat tasya ca tair yakṣaiḥ pratisarākūṭeti nāma sthāpitam //	yAvat tasya ca tEH yakzEH pratisarAkUwA-iti nAma sTApitam //
   atha te yakṣā punar āgatya yamasya dharmarājasyemaṃ niścayaṃ	aTa te yakzA punar Agatya yamasya DarmarAjasya-imam niScayam
   vistareṇārocayati sma / evam etad deva tvayābhihitaṃ / samanantarodite	vistareNa-Arocayati sma / evam etat deva tvayA-aBihitam / samanantara-udite
   tasmin vacanaparyavasāne mahāsatvas taṃ nārakaṃ śarīraṃ vijahya	tasmin vacana-paryavasAne mahAsatvaH tam nArakam SarIram vijahya
   trāyastriṃśeṣu deveṣūpapannaḥ / tena hetunā pratisarāpūrvīdevaputra ity	trAyastriMSezu devezu-upapannaH / tena hetunA pratisarApUrvI-deva-putraH iti-
   ucyate / tena hi mahābrāhmaṇa parijñātavatī pūrvatas tasmād eveyaṃ	ucyate / tena hi mahA-brAhmaNa parijQAtavatI pUrvatas tasmAt eva-iyam
   mahāpratisarā dhārayitavyā vācayitavyā likhitavyā yathāvidhinā nityaṃ	mahA-pratisarAH DArayitavyA vAcayitavyA liKitavyA yaTAviDinA nityam
   śarīragatāṃ kṛtvā dhārayitavyā / sa nityaṃ sarvavyasanaduḥkhebhyaḥ	SarIra-gatAm kRtvA DArayitavyA / sa nityam sarva-vyasana-duHKeByaH
   parimucyate / sarvadurgatibhayabhairavebhya uttarati / na vidyutā śakyaṃ	parimucyate / sarva-durgati-Baya-BEraveByaH uttarati / na vidyutA Sakyam
   pātayitum / kim iti vidyutā parijñātam //	pAtayitum / kim iti vidyutA parijQAtam //
   pūrvaṃ mahābrāhmaṇa hiṅgumardane mahānagare vimalaśaṅkho nāma śreṣṭhī	pUrvam mahA-brAhmaNa hiFgu-mardane mahA-nagare vimalaSaFKaH nAma SrezWI
   mahādhanakanakasamṛddhaḥ paripūrṇakośakośāgārasaṃpanno babhūva / sa	mahADana-kanaka-samRdDaH paripUrNa-koSa-koSa-AgAra-saMpannaH baBUva / sa
   mahāsārthavāha iti khyātavān / atha sa mahāsārthavāho yānapātram āsādya	mahA-sArTavAhaH iti KyAtavAn / aTa sa mahA-sArTavAhaH yAna-pAtram AsAdya
   mahāsamudram avatīrṇaḥ / (Mp_16) yāvat timiṅgilaiḥ so 'sya poto	mahA-samudram avatIrNaH / (M=-_16) yAvat timiFgilEH saH asya potaH-
   'vastabdhaḥ vināśayitukāmā nāgāś ca saṃkṣubdhā mahāntagarjanā sphoṭaṃ	avastabDaH vinASayitu-kAmAH nAgAH ca saMkzubDA mahAnta-garjanA sPowam
   kurvanti / vidyudulkām utsṛjanti vajrāśaniṃ pravarṣitum ārabdhāḥ / tatas	kurvanti / vidyut-ulkAm utsRjanti vajra-aSanim pravarzitum ArabDAH / tatas-
   te vaṇijo mahatā duḥkhenābhyāhatacittās taṃ mahāntaṃ nāgasaṃkṣobhaṃ	te vaNijaH mahatA duHKena-aByAhata-cittAH tam mahAntam nAga-saMkzoBam
   vidyudulkāṃ vajrāśaniṃ cotsṛjanti taiś ca timiṅgilaiḥ potam avastabdhaṃ	vidyut-ulkAm vajra-aSanim ca-utsRjanti tEH ca timiFgilEH potam avastabDam
   dṛṣṭvā mahāntaṃ utkrośanaṃ śabdaṃ kartum ārabdhaḥ / te viśeṣair	dRzwvA mahAntam utkroSanam Sabdam kartum ArabDaH / te viSezEH-
   nāyācayanti / tatas te sārthavāhasyopagamya karuṇam idaṃ vacanam abruvan /	na-ayAcayanti / tatas te sArTavAhasya-upagamya karuNam idam vacanam abruvan /
   paritrāyasva tvaṃ mahāsatva mocayāsmān mahābhayāt / atha khalu	paritrAyasva tvam mahA-satva mocaya-asmAn mahA-BayAt / aTa Kalu
   mahāsārthavāho dṛḍhacitto mahāmatiḥ vaṇijo viklavībhūtān idaṃ vacanam	mahA-sArTavAhaH dRXa-cittaH mahAmatiH vaNijaH viklavIBUtAn idam vacanam
   abruvat / mā bhair mā bhair vaṇijo bhavanto vīratāṃ vrajata / ahaṃ vo	abruvat / mA BEH mA BEH vaNijaH BavantaH vIra-tAm vrajata / aham vaH-
   mocayiṣyāmy ato duḥkhamahārṇavāt / tata vīramānaso bhūtā vaṇija idaṃ	mocayizyAmi atas duHKa-mahA-arNavAt / tata vIra-mAnasaH BUtAH vaNijaH idam
   vacanam abruvan / kim etat tena mahāsatva brūhi śīghram avighnataḥ / yāvad	vacanam abruvan / kim etat tena mahA-satva brUhi SIGram aviGnataH / yAvat-
   jīvitam asmākaṃ tvat prabhāvād mahāmate kathyatāṃ jñānamahātmyaṃ paścāt	jIvitam asmAkam tvat praBAvAt mahAmate kaTyatAm jQAna-mahAtmyam paScAt-
   kiṃ kariṣyasi /	kim karizyasi /
   tataḥ sārthapatis teṣām imāṃ vidyām udāharat /	tatas sArTa-patiH tezAm imAm vidyAm udAharat /
   asti mama mahāvidyā pratisarā nāma viśrutā //	asti mama mahAvidyA pratisarAH nAma viSrutAH //
   mardanī sarvabuddhānāṃ mahābalaparākramāḥ /	mardanI sarva-budDAnAm mahA-bala-parAkramAH /
   tenāhaṃ mocayiṣyāmi ato duḥkhamahārṇavāt //	tena-aham mocayizyAmi atas duHKa-mahA-arNavAt //
   tataḥ mahāsārthavāhas tasyāṃ velāyām imāṃ mahāpratisarāṃ mahāvidyārājñīṃ	tatas mahA-sArTavAhaH tasyAm velAyAm imAm mahA-pratisarAm mahAvidyA-rAjQIm
   likhitvā dhvajāgrāvaropitāṃ karoti sma / samanantaraṃ dhvajāgrāvaropitāyām	liKitvA Dvaja-agra-avaropitAm karoti sma / samanantaram Dvaja-agra-avaropitAyAm
   asyāṃ mahāpratisarāyāṃ mahāvidyārājñyāṃ sarva eva te timiṅgilās taṃ potam	asyAm mahA-pratisarAyAm mahAvidyA-rAjQyAm sarve eva te timiFgilAH tam potam
   ekajvālībhūtaṃ paśyanti / tatas te nāgā maitramanasas teṣām antike	eka-jvAlIBUtam paSyanti / tatas te nAgAH mEtra-manasaH tezAm antike
   'vatīrya pūjāṃ kartum ārabdhāḥ / te ca timiṅgilā asyā mahāpratisarāyā	avatIrya pUjAm kartum ArabDAH / te ca timiFgilA asyAH mahA-pratisarAyA
   mahāvidyārājñyā anubhāvena dahyamānāḥ / prapalāyitvā vilapaṃ gatāḥ /	mahAvidyA-rAjQyAH anuBAvena dahyamAnAH / prapalAyitvA vilapam gatAH /
   sārthikās tair mahānāgair mahati mahāratnadvīpe prāpitā iti //	sArTikAH tEH mahA-nAgEH mahati mahA-ratna-dvIpe prApitAH iti //
   jñātavatīyaṃ mahāvidyā mahāpratisarā sarvatathāgatādhiṣṭhitā tena hetunā	jQAtavatI-iyam mahAvidyA mahA-pratisarA sarva-taTAgata-aDizWitA tena hetunA
   mahābrāhmaṇa mahāvidyeti khyātā / tasmād avaśyam (Mp_17) eveyaṃ	mahA-brAhmaNa mahAvidyA-iti KyAtAH / tasmAt avaSyam (Mp_17) eva-iyam
   dhvajāgrāvaropitaṃ kṛtvā dhārayitavyā / sarvavātaśītākālameghavidyudaśanīṃ	Dvaja-agra-avaropitam kRtvA DArayitavyA / sarva-vAta-SItA-kAla-meGa-vidyut-aSanIm
   praśamayati / sarvadevamanuṣyāmanuṣyavigrahavivādeṣu parimocayati /	praSamayati / sarva-deva-manuzya-amanuzya-vigraha-vivAdezu parimocayati /
   sarvadaṃṣṭramaśakaśarabhakaprāṇakajātā vividharūpāḥ /sasyavināśakā na	sarva-daMzwra-maSaka-SaraBaka-prANaka-jAtAH viviDa-rUpAH /sasya-vinASakAH na
   prabhavanti / praśamaṃ gacchanti / sarvaduṣṭacittā mṛgapakṣidaṃṣṭriṇo	praBavanti / praSamam gacCanti / sarva-duzwa-cittAH mRga-pakzi-daMzwriNaH-
   vinaśyanti / sarvāṇi ca puṣpaphalapattravanaspatyoṣadhisasyādīny	vinaSyanti / sarvANi ca puzpa-Pala-pattra-vanaspati-a-uzaDi-sasya-AdIni-
   abhivardhante / arasāni svādūni mṛdūni ca bhaviṣyanti / samyag eva	aBivarDante / arasAni svAdUni mRdUni ca Bavizyanti / samyak eva
   paripācitāni bhaviṣyanti / ativṛṣṭyenāvṛṣṭidoṣāḥ sarveṇa sarvaṃ na	paripAcitAni Bavizyanti / ati-vRzwyena-avRzwi-dozAH sarveNa sarvam na
   bhaviṣyanti / kālavṛṣṭir bhaviṣyanti nākālavṛṣṭiḥ / ye ca tasmin viṣaye	Bavizyanti / kAla-vRzwiH Bavizyanti na-akAla-vRzwiH / ye ca tasmin vizaye
   mahānāgās te samyag eva kālena kālaṃ varṣadhārām utsṛjanti / yasmin viṣaye	mahA-nAgAH te samyak eva kAlena kAlam varza-DArAm utsRjanti / yasmin vizaye
   iyaṃ vidyārājñī mahāpratisarā nāma pracariṣyati / tatra taiḥ satvair	iyam vidyA-rAjQI mahApratisarA nAma pracarizyati / tatra tEH satvEH-
   jñātvā pūjāsatkāraṃ kṛtvā nānāgandhair nānāpuṣpair nānāvastraiḥ	jQAtvA pUjA-satkAram kRtvA nAnA-ganDEH nAnA-puzpEH nAnA-vastrEH
   pariveṣayitvā caityasyopari dhvajāgrāvaropayitāṃ kṛtvā	parivezayitvA cEtyasya-upari Dvaja-agrOvaropayitAm kRtvA
   nānāvādyatūryasaṃgītibhir vādyamānābhiḥ pradakṣiṇīkartavyā / tatas teṣāṃ	nAnA-vAdya-tUrya-saMgItiBiH vAdyamAnABiH pradakziNIkartavyA / tatas tezAm
   mahāsatvānāṃ yathā ciñcitam āśāṃ paripūrayiṣyanti / devatāḥ	mahAsatvAnAm yaTA ciQcitam ASAm paripUrayizyanti / devatAH
   śakrabrahmaprabhṛtayaḥ / athavā yathāyathāvidhinā likhyate tathātathā	Sakra-brahma-praBRtayaH / aTavA yaTA-yaTAviDinA liKyate taTA-taTA
   samṛdhyate / putrārthī labhate garbhasaṃdhāraṇī parāḥ sukhena vardhate	samRDyate / putra-arTI laBate garBa-saMDAraNI parAH suKena varDate
   garbhaḥ sukhenaiva prasūyate / kālena vardhate garbhaḥ kālena parimucyate	garBaH suKena-eva prasUyate / kAlena varDate garBaH kAlena parimucyate
   / kim iti mahābrāhmaṇa pūrvavac chrūyatām //	/ kim iti mahA-brAhmaNa pUrvavat SrUyatAm //
   ihaiva magadhaviṣaye rājā prasāritapāṇir nāma sa cāputrako 'bhūva / kim	iha-eva magaDa-vizaye rAjA prasAritapANiH nAma sa ca-aputrakaH aBUva / kim
   iti prasāritapāṇir iti khyātān / tena rājñā jātamātreṇa pāṇiṃ prasārya	iti prasArita-pANiH iti KyAtAn / tena rAjQA jAta-mAtreNa pANim prasArya
   mātuḥ stanau gṛhītvā yāvad āptaṃ kṣīraṃ pītam / tau ca stanau saha	mAtuH stanO gRhItvA yAvat Aptam kzIram pItam / tO ca stanO saha
   sparśamātreṇa suvarṇavarṇau saṃvṛttau / nityakālaṃ ca mahatā kṣīreṇa	sparSa-mAtreNa suvarNa-varNO saMvRttO / nitya-kAlam ca mahatA kzIreNa
   pravardhataḥ / tena kāraṇena tasya rājñaḥ prasāritapāṇir iti nāma	pravarDataH / tena kAraNena tasya rAjQaH prasArita-pANiH iti nAma
   sthāpitam / anyac ca tasya rājñaḥ yācanakajanā āgacchanti / tadā sa rājā	sTApitam / anyat ca tasya rAjQaH yAcanaka-janAH AgacCanti / tadA sa rAjA
   dakṣiṇapāṇiṃ prasārayaty upary antarikṣe bodhisatvaḥ sa rājā tena hetunā	dakziNa-pANim prasArayati upari antarikze boDisatvaH sa rAjA tena hetunA
   tasya buddhābhiprasannā devatā divyai ratnaviśeṣaiḥ suvarṇamaṇibhiś ca	tasya budDa-aBiprasannAH devatAH divyEH ratna-viSezEH suvarNa-maNiBiH ca
   pāṇiṃ paripūrayanti / tadā sa rājā tebhyo yācanakajanebhyo (Mp_18)	pANim paripUrayanti / tadA sa rAjA teByaH yAcanaka-janeByaH (M=-_18)
   'nuprayacchanti / yathā cintamātreṇa sarvayācanakajanānāṃ	anuprayacCanti / yaTA cinta-mAtreNa sarva-yAcanaka-janAnAm
   sarvasukhasaṃpattikāmāṃ dadāti / devānāṃ ca mahānti pūjāsatkārāṇi karoti	sarva-suKa-saMpatti-kAmAm dadAti / devAnAm ca mahAnti pUjA-satkArANi karoti
   putrahetor na ca putraṃ pratilabhate / sa paurāṇāṃ tathāgatacaityānāṃ	putra-hetoH na ca putram pratilaBate / sa pOrANAm taTAgata-cEtyAnAm
   purataḥ pūjāsatkāraṃ kartum ārabdhaḥ / mahānti ca pūjāsatkārāṇi karoti	puratas pUjA-satkAram kartum ArabDaH / mahAnti ca pUjA-satkArANi karoti
   dānāni ca dadāti / upavāsam upavasati / mahānti ca puṇyāni ca karoti /	dAnAni ca dadAti / upavAsam upavasati / mahAnti ca puNyAni ca karoti /
   akṣiṇāny eva dānāni dadāti / tat kasya hetor bhūtapūrvaṃ mahābrāhmaṇa	akziNAni eva dAnAni dadAti / tat kasya hetoH BUta-pUrvam mahA-brAhmaNa
   asminn eva magadhaviṣaye mallā nāma janapade kuśinagare mahāpaṭṭanavare	asmin eva magaDa-vizaye mallAH nAma janapade kuSinagare mahA-pawwana-vare
   bhagavataḥ prabhūtaratnasya tathāgatasya śāsane samutpanno dharmacittakaḥ	BagavataH praBUta-ratnasya taTAgatasya SAsane samutpannaH Darma-cittakaH
   kaścid mahāsatvo dharmamatir nāma śreṣṭhī prativasati / sa sarvasatvānām	kaScid mahAsatvaH DarmamatiH nAma SrezWI prativasati / sa sarva-satvAnAm
   antike mahākaruṇācittam upasthāpya imām eva mahāvidyāṃ mahāpratisarām	antike mahA-karuNA-cittam upasTApya imAm eva mahAvidyAm mahA-pratisarAm
   ārabhya dharmaṃ deśayati sma / atha kaścid eko daridrapuruṣas taṃ dharmaṃ	AraBya Darmam deSayati sma / aTa kaScid ekaH daridra-puruzaH tam Darmam
   śrutvā tasya śreṣṭhina idaṃ vacanam abruvat / aham āryasya niveśane	SrutvA tasya SrezWinaH idam vacanam abruvat / aham Aryasya niveSane
   bhṛtikarmaṃ kariṣyāmi dharmaṃ ca śroṣyāmi / yadā mama kiṃcid bhaviṣyati	BRti-karmam karizyAmi Darmam ca SrozyAmi / yadA mama kiMcid Bavizyati
   tadāhaṃ dharmaṃ pūjayiṣyāmi / tasya gṛhavyāpāraṃ kurvato dharmaṃ ca	tadA-aham Darmam pUjayizyAmi / tasya gRha-vyApAram kurvataH Darmam ca
   śṛṇvato yāvad apareṇa kālasamayena śreṣṭhinā eko dīnāro dattaḥ / sa tena	SRNvataH yAvat apareNa kAla-samayena SrezWinA ekaH dInAraH dattaH / sa tena
   sarvasatvaparitrāṇārthaṃ bodhicittam utpādya sādhāṛaṃ kṛtvā	sarva-satva-paritrANa-arTam boDi-cittam utpAdya sADARam kRtvA
   mahāpratisarāratneti niryātitā / evaṃ praṇidhānaṃ kṛtam anena mahāphalena	mahA-pratisarA-ratnA-iti niryAtitA / evam praNiDAnam kRtam anena mahA-Palena
   mama sarvasatvānāṃ ca dāridraduḥkhasaṃcchedaḥ syāt / anena kāraṇena tad	mama sarva-satvAnAm ca dAridra-duHKa-saMcCedaH syAt / anena kAraNena tat-
   dānaṃ parīkṣayaṃ na gacchati / evaṃ bahuvidhānekavidhapuṇyābhisaṃskārakṛto	dAnam parIkzayam na gacCati / evam bahuviDAn-ekaviDa-puNya-aBisaMskAra-kRtaH-
   devatāś ca pūjitā yāvad buddhā bhagavantaḥ pūjitās tadā ca	devatAH ca pUjitAH yAvat budDAH BagavantaH pUjitAH tadA ca
   śuddhāvāsakāyikābhir devatābhiḥ svapne darśanaṃ dattam / evaṃ cābhihitaṃ	SudDAvAsa-kAyikABiH devatABiH svapne darSanam dattam / evam ca-aBihitam
   bho mahārāja samantajvālāmālāviśuddhisphūritacintāmaṇir	Bo mahA-rAja samanta-jvAlA-mAlA-viSudDi-sPUrita-cintAmaNiH-
   mahāmudrāhṛdayāparājitā mahādhāraṇī mahāvidyārājñī mahāpratisarā nāma taṃ	mahAmudrA-hRdaya-aparAjitA mahADAraNI mahAvidyA-rAjQI mahApratisarA nAma tam
   yathāvidhinā kalpenābhihitena upavāsoṣitāyā agramahiṣyā devyāḥ śarīre	yaTAviDinA kalpena-aBihitena upavAsa-uzitAyAH agra-mahizyAH devyAH SarIre
   baddhā tatas te putrapratilambho bhaviṣyatīti / atha sa rājā	badDA tatas te putra-pratilamBaH Bavizyati-iti / aTa sa rAjA
   prativiśuddhas tasyām eva rātryām atyayena	prativiSudDaH tasyAm eva rAtryAm atyayena
   saṃkhyālipinakṣatragrahavipañcakān kulabrāhmaṇān saṃnipātya yathāvidhinā	saMKyA-lipi-nakzatra-graha-vipaQcakAn kula-brAhmaNAn saMnipAtya yaTAviDinA
   (Mp_19) kalpopadiṣṭena puṣye nakṣatrarāje pratipanne susnātagātrāyā	(Mp_19) kalpa-upadizwena puzye nakzatra-rAje pratipanne su-snAta-gAtrAyA
   upavāsoṣitāyā agramahiṣyā devyā yathāvidhinā likhyemāṃ mahāpratisarāṃ	upavAsa-uzitAyAH agra-mahizyA devyAH yaTAviDinA liKya-imAm mahA-pratisarAm
   mahāvidyārājñīṃ kaṇṭhe baddhavān / mahatīṃ mahābuddhacaityeṣu pūjām	mahAvidyA-rAjQIm kaNWe badDavAn / mahatIm mahAbudDa-cEtyezu pUjAm
   akarṣīd anekāni ca ratnaviśeṣāṇi satvānāṃ dānāni dattāni / tato navānāṃ	akarzIt anekAni ca ratna-viSezANi satvAnAm dAnAni dattAni / tatas navAnAm
   māsānām abhyayāt putro jāto 'bhirūpaḥ prāsādiko darśanīyaḥ / paramayā	mAsAnAm aByayAt putraH jAtaH aBirUpaH prAsAdikaH darSanIyaH / paramayA
   śubhavarṇapuṣkalatayā samanvāgata iti //	SuBa-varNa-puzkala-tayA samanvAgataH iti //
   tato jñātvā mahābrāhmaṇa sarvakāmaṃgamā aparājitā mahāpratisarāratneti	tatas jQAtvA mahA-brAhmaNa sarva-kAmaMgamA aparAjitA mahA-pratisarA-ratna-iti
   viśrutā mahāvidyārājñī sarvatathāgatapujitā śakrasyāpīyaṃ cūḍāmaṇiḥ	viSrutA mahAvidyA-rAjQI sarva-taTAgata-pujitA Sakrasya-api-iyam cUxAmaNiH
   sarvathā //	sarvaTA //
   yadā śakro devānām indro mahāsaṃgrāmam asuraiḥ sārdhaṃ kartukāmas tadā	yadA SakraH devAnAm indraH mahA-saMgrAmam asurEH sArDam kartu-kAmaH tadA
   imāṃ mahāvidyāṃ kavacaṃ kṛtvā saṃgrāmamadhye 'vatīrya cūḍāyām avasthāpya	imAm mahAvidyAm kavacam kRtvA saMgrAma-maDye avatIrya cUxAyAm avasTApya
