   Muktā-caritram	MuktA--caritram
   paramojjvalā bhavantī etad abhīṣṭa-kāmān sampādayiṣyaty eva |	parama-ujjvalA BavantI etat aBIzwa--kAmAn sampAdayizyati eva |
   ity akhila-vilāsa-rasa-mādhurīm āpīya satyabhāmā vyājahāra -- prāṇanātha!	iti aKila--vilAsa-rasa-mADurIm ApIya satyaBAmA vyAjahAra - prANanATa!
   etad	etat-
   apūrva-rasa-sāgare nimajjantyā mama manāg api tṛpteḥ paryāptir na vidyate	apUrva--rasa--sAgare nimajjantyA mama manAk api tRpteH paryAptiH na vidyate
   kṛṣṇaḥ -- priye! etad gokula-vilāsānanda-niṣkuṭe viharamāṇasya mama	kRzNaH - priye! etat go-kula-vilAsa-Ananda-nizkuwe viharamANasya mama
   tvat-praśna	tvat--praSna
   eva mat-priya-vayasya-samaya-rāja-vasantollāsa iti tām āliliṅgati |	eva mat--priya--vayasya--samaya-rAja-vasanta-ullAsaH iti tAm AliliFgati |
   satyabhāmā sānandaṃ -- tatas tataḥ ?	satyaBAmA sa-Anandam - tatas tatas ?
   kṛṣṇaḥ -- tataḥ subalaḥ sasmitam āha -- priyavayasya! priya-sakhīyam	kRzNaH - tatas subalaH sa-smitam Aha - priya-vayasya! priya--saKI-iyam
   indulekhā	indu-leKA
   durdurūḍhāt sva-bhartur bhāsvarākhyād udvignā mām iṅgitena prerayati | tad	durdurUXAt sva-BartuH BAsvara-AKyAt udvignAH mAm iFgitena prerayati | tat-
   asyāḥ mauktik-mūlyaṃ nirṇīya tad dattvā jhaṭiti gṛha-kṛtyāya gantum	asyAH mOktik--mUlyam nirNIya tat dattvA Jawiti gRha-kRtyAya gantum
   ājñāpyatām |	AjQApyatAm |
   tato'haṃ -- sakhe satyaṃ satyaṃ mayy atīvānurakteyaṃ mām api tyaktuṃ na	tatas-aham - saKe satyam satyam mayi atIva-anuraktA-iyam mAm api tyaktum na
   śaknoti |	Saknoti |
   tato'pi suṣṭhu bibhetīty aham api jānāmi | tad etan mauktika-mūlyaṃ śṛṇu	tatas-api suzWu biBeti-iti aham api jAnAmi | tat etat mOktika--mUlyam SRNu
   yathārtha-nāmnīyaṃ mad-viraham asahamānā kāya-dvayaṃ kṛtvā	yaTArTa-nAmnIyam mad--viraham asahamAnA kAya--dvayam kRtvA
   śyāmalatara-mad-vakṣo-nabhasi śāṇita-nakhāgreṇa racitām ekāṃ sva-mūrtiṃ	SyAmalatara-mad--vakzo-naBasi SANita-naKa-agreNa racitAm ekAm sva-mUrtim
   saṃrakṣatu | aham apy asahyaitad-virahas tāvad asyāḥ vakṣoja-parvatopari	saMrakzatu | aham api asahya-etat--virahaH tAvat asyAH vakzaH-ja-parvata-upari
   sva-vidyā-balenārdha-candra-yugalībhavann udayaṃ karomi | tadaiṣā	sva---vidyA--balena-arDa-candra--yugalIBavan udayam karomi | tadA-ezA
   labdha-mahā-ratnam iva sarvato māṃ celāñcalenāvṛṇotu | rahasi ca kṣaṇe	labDa--mahA-ratnam iva sarvatas mAm celA-aQcalena-AvRNotu | rahasi ca kzaNe
   kṣaṇe	kzaNe
   sa-romāñcam avalokayantī paramānandam āsādayatu | athavā	sa-romAQcam avalokayantI parama-Anandam AsAdayatu | aTavA
   mṛga-lāñchana-rahitāyā etasyā hṛn-madhye mañjula-kṛṣṇa-sāro'haṃ bhavāmīti	mRga-lAQCana--rahitAyAH etasyAH hRn--maDye maQjula--kRzNa-sAraH-aham BavAmi-iti
   tataḥ sakampādharaṃ kuṭilaṃ mām avalokayantīm indulekhām ālokya smayamānā	tatas sa-kampa-aDaram kuwilam mAm avalokayantIm indu-leKAm Alokya smayamAnA
   tuṅgavidyā prāha -- nāgara! raṅgadevīyaṃ yathārtha-nāmnī tad asyā	tuFga-vidyA prAha - nAgara! raFgadevI-iyam yaTArTa--nAmnI tat asyAH-
   mauktika-paṇaḥ praṇiyatām |	mOkti-ka-paNaH praNiyatAm |
   tato'ham -- sakhi raṅgadevi! rāsa-madhye tava lāsya-vilāsollāsaḥ santatam	tatas-aham - saKi raFga-devi! rAsa--maDye tava lAsya-vilAsa-ullAsaH santatam
   ālokito'sti | tad adhunā nikuñja-mandirāṅgane rahasi tad-viśeṣam	AlokitaH-asti | tat aDunA nikuQja--mandira-aFgane rahasi tad--viSezam
   anubhavitum	anuBavitum
   abhilaṣāmi | tad ehi sva-vakṣoja-kanaka-kumbhau mad-urasi tathā nartaya	aBilazAmi | tat ehi sva---vakzaH-ja--kanaka-kumBO mad--urasi taTA nartaya
   yathāham ānanditaḥ	yaTA-aham AnanditaH
   sakala-vallavī-samudaya-sarvasva-bhūta-mat-svādhara-pīyūṣa-mahā-prasāda-dānena	sakala-vallavI--samudaya--sarva-sva--BUta--mat--svADara-pIyUza--mahA--prasAda-dAnena
   tvām ānandayāmīti ||	tvAm AnandayAmi-iti ||
   tac chrutvā apaihi bhaṇḍa-śekhara! apaihīty uktvā kuṭilaṃ mām avalokya	tat SrutvA apEhi BaNxa--SeKara! apEhi-iti uktvA kuwilam mAm avalokya
   viśākhā-pṛṣṭhāntaritāyāṃ raṅgadevyāṃ sudevī sa-smitam āha --	viSAKA--pRzWa-antaritAyAm raFga-devyAm sudevI sa--smitam Aha --
   rasika-śekhara!	rasika-SeKara!
   ballavī-kula-bhukta-muka-sujuṣṭa-mahā-prasādāsvādaneneyaṃ tvaritam eva	balla-vI--kula-Bukta--muka--su-juzwa--mahA--prasAda-AsvAdanena-iyam tvaritam eva
   siddhim āsādayantī sphuṭam asmān api siddhārthāḥ kṛtavaty eva |	sidDim AsAdayantI sPuwam asmAn api sidDArTAH kRtavatI eva |
   subalaḥ -- vayasya! sudevī sva-mauktika-mūlyaṃ śrotu-kāmā	subalaH - vayasya! sudevI sva-mOktika-mUlyam Srotu--kAmA
   śrīmad-bhavan-mukham īkṣamāṇeyam utkaṇṭhate |	SrImat--Bavan--muKam IkzamANA-iyam utkaNWate |
   tato'ham -- sakhe subala! sudevīyam akṣa-keli-dakṣeti prasiddhā tac	tatas-aham - saKe subala! sudevI-iyam akza-keli-dakza-iti prasidDA tat-
   chapatham eva	CapaTam eva
   dadad asmi kenāpi kasyāpi pakṣo na grāhyaḥ | āvām eva sva-buddhi-balena	dadat asmi kena-api kasya-api pakzaH na grAhyaH | AvAm eva sva--budDi-balena
   kheliṣyāvaḥ | tatra yady aham anayā suṣṭhu jīyeyaṃ, tarhi vāmena vakṣojena	KelizyAvaH | tatra yadi aham anayA suzWu jIyeyan, tarhi vAmena vakzojena
   mad-vakṣṣasi mām āpīḍya mama sarvasva-bhūtam adharaṃ dviḥ pibatu | yadi vā	mad--vakzzasi mAm ApIxya mama sarva-sva--BUtam aDaram dvis pibatu | yadi vA
   mayedaṃ jīyate, tadā sva-dakṣiṇa-kaṭhina-vakṣojaṃ mad-dakṣiṇa-kareṇa	mayA-idam jIyate, tadA sva--dakziNa--kaWina--vakzaH-jam mad--dakziNa-kareNa
   nikāmaṃ	nikAmam
   pīḍayitvā dviḥ svādharāmṛtam āpāyayatv iti |	pIxayitvA dvis svADara-amRtam ApAyayatu iti |
   tataḥ sā bhrū-bhaṅgena mām avalokayantī sāsūyaṃ viśākhām āha -- ayi	tatas sA BrU-BaFgena mAm avalokayantI sa-asUyam viSAKAm Aha - ayi
   viśākhe!	viSAKe!
   sarva-kālam eva narma-svarṇa-vikrayy asau mahājanaḥ | sāmpratam eva	sarva-kAlam eva narma-svarNa--vikrayI asO mahAjanaH | sAmpratam eva
   muktā-maṇi-vyāpāram ārabhya tato vṛddhim alabhamānaḥ punaḥ sva-vṛttim	muktA-maNi--vyApAram AraBya tatas vRdDim alaBamAnaH punar sva-vRttim
   evārabdhavān asti | tataḥ parārdha-dvi-guṇa-pañcabāṇa-lalitāṃ	eva-ArabDavAn asti | tatas parArDa-dvi-guNa--paQca-bANa--lalitAm
   kāñcana-mudrā-tatim itaḥ prakāma-mūlyena pragṛhya tayaiva muktāphalāny	kAQcana-mudrA-a-tatim itas prakAma--mUlyena pragRhya tayA-eva muktAPalAni-
   asmād	asmAt-
   ānayantu bhavatyaḥ | mayā tu gṛhāya gamyate |	Anayantu BavatyaH | mayA tu gRhAya gamyate |
   iti calitum udyatāñcale gṛhītvānaṅga-mañjaryā nivartitā sa-krodham iva	iti calitum udyata-aQcale gRhItvA-anaFga-maQjaryA nivartitA sa-kroDam iva
   sākūtaṃ	sa-AkUtam
   punar āha -- keli-lampaṭa! nikāmam akṣa-keli-nipuṇeyam anaṅga-mañjarī	punar Aha - keli-lampawa! nikAmam akza-keli--nipuNeyam anaFga-maQjarI
   tvayā	tvayA
   saha dīvyantī te garva-parvataṃ kharvayiṣyati |	saha dIvyantI te garva--parvatam Karvayizyati |
   tatas tad-vacana-mādhuryam avadhārya mayoktaṃ -- asyās tv abalāyās	tatas tad--vacana--mADuryam avaDArya mayA-uktam - asyAH tu abalAya-aH-
   tat-keliṣu kā	tat-kelizu kA
   śaktiḥ ? kintumad-vakṣo-harid-grāva-haritālīya-rekhikāyā rādhikāyāḥ	SaktiH ? kintumad---vakzo--harit--grAva--haritAlIya--reKikAyAH rADikAyAH
   prāṇa-sahodareyaṃ mayy atīva snihyati | mama ca mānasa-madhukaraḥ param	prANa--sahodarA-iyam mayi atIva snihyati | mama ca mAnasa--maDukaraH param
   asyām anavaratam anuvrajyati | ataḥ samucita-paṇam antarāpi sutārāṇi	asyAm anavaratam anuvrajyati | atas samucita-paNam antarA-api sutArANi
   suvṛttāni	su-vRttAni
   bahūni mauktikāny apy asyai vitariṣyāmi | paraṃ ca	bahUni mOktikAni api asyE vitarizyAmi | param ca
   nirjana-nikuñja-vedikāyāṃ	nirjana-nikuQja-vedikAyAm
   smara-puñjarākṣarāṇy asyāḥ pañcāśad aṅga-pratyaṅgeṣu sva-hastena vinyasya	smara--puQjara-akzarANi asyAH paQcASat aFga--pratyaFgezu sva-hastena vinyasya
   svāṅgaṃ svāṅgenālinṅgya mantreṇaināṃ vyāpayya tathā siddha-mantram ekam	sva-aFgam sva-aFgena-AlinFgya mantreNa-enAm vyApayya taTA sidDa-mantram ekam
   upadiśāmi yathā tad-grahaṇa-mātrād anaṅgaṃ sāṅgaṃ viracayya santuṣṭena	upadiSAmi yaTA tad--grahaNa--mAtrAt anaFgam sAFgam viracayya santuzwena
   tena	tena
   prasādīkṛta-sva-sarvasva-svarūpa-vilāsa-ratnāni mantra-gurau mayi	prasAdIkRta--sva--sarva-sva--svarUpa-vilAsa--ratnAni mantra-gurO mayi
   dakṣiṇātvena	dakziNAtvena
   sa-vinayam upaḍhaukayati | tataḥ suprasannena mayā tādṛg-āśīḥ-śatam	sa-vinayam upaXOkayati | tatas su-prasannena mayA tAdRS--ASIH-Satam
   ādhāsyate	ADAsyate
   yena viṣama-śara-vilāsācāryeti padavīm āsādya dvi-guṇaṃ mām eva bhaktyā	yena vizama-Sara--vilAsa-AcAryA-iti padavIm AsAdya dvi-guNam mAm eva BaktyA
   paricarati |	paricarati |
   iti mad-bhāṣita-kusuma-stavakaṃ śravaṇāvataṃsīkṛtya sakampādharaṃ mām īṣad	iti mad--BAzita--kusuma-stavakam SravaNa-avataMsIkRtya sa-kampa-aDaram mAm Izat-
   avalokayantī smita-subhaga-vadanābhir ābhiḥ snehenotphullatayā	avalokayantI smita-suBaga--vadanABiH ABiH snehena-utPulla-tayA
   tad-agrajayā ca	tad--agrajayA ca
   sa-smitaṃ sa-snehaṃ ca nirīkṣyamāṇā tulasī-raṅgaṇamālikayor upapṛṣṭham	sa--smitam sa-sneham ca nirIkzyamANA tulasI-raFgaNa-mAlikayoH upapRzWam
   antarhitāsīt ||	antarhitA-AsIt ||
   satyabhāmā smitvā -- prāṇanātha! tatas tataḥ |	satyaBAmA smitvA - prANanATa! tatas tatas |
   kṛṣṇaḥ -- tadānīm eva mallī-bhṛṅgībhyām ānīya dattaṃ lekha-dvayam |	kRzNaH - tadAnIm eva mallI--BRFgIByAm AnIya dattam leKa--dvayam |
   sarvābhiḥ	sarvABiH
   samam eva vācayitvā paramotphullā lalitā tayor ekaṃ lekhaṃ subala-haste	samam eva vAcayitvA parama-utPullA lalitA tayoH ekam leKam subala-haste
   samarpitavatī |	samarpitavatI |
   tato'ham -- lalite! kasyāyaṃ lekhaḥ ?	tatas-aham - lalite! kasya-ayam leKaH ?
   lalitā smitvā -- lekha eva kathayiṣyati |	lalitA smitvA - leKaH eva kaTayizyati |
   tataḥ subale lekham udghāṭya laghu laghu vācayati sati nāndīmukhī --	tatas subale leKam udGAwya laGu laGu vAcayati sati nAndImuKI --
   subala!	subala!
   sphuṭam eva vācaya |	sPuwam eva vAcaya |
   subalaḥ smitvā -- sakhe! apūrva-patrīyam avadhāryatām |	subalaH smitvA - saKe! apUrva-patrIyam avaDAryatAm |
   ahaṃ -- sakhe! vācaya mamāpi mahatī śuśrūṣā vartate |	aham - saKe! vAcaya mama-api mahatI SuSrUzA vartate |
   subalaḥ -- svasti	subalaH - svasti
   samasta-saṃmukha-sarvopamā-yogya-bandha-prbandha-sad-guṇa-prkara-parivṛteṣu	samasta--saMmuKa--sarva-upamA--yogya-banDa--prbanDa--sad--guNa-prkara--parivRtezu
   śrī-subalābhidhāna-priya-narma-sakha-mahānubhāveṣu yāvaṭābhidha-grāmato	SrI--subala-aBiDAna--priya-narma--saKa--mahA-anuBAvezu yAvawa-aBiDa--grAmataH-
   rādhāyāhḥ	rADAya-ahH
   praṇaya-bhara-pīyūṣa-paripūritākṣara-prakara-sumiṣṭa-piṣṭaka-pariveṣāṇa-hir	praNaya--Bara--pIyUza--paripUrita-akzara--prakara--sumizwa--pizwaka-parivezANa--hir
   aṇmaya-bhājana-rūpŪ'yaṃ svastimukham --	aNmaya--BAjana--rUpŪ-ayam svasti-muKam --
   bhavat-prāṇa-bandhu-pāda-padmānāṃ bhavādṛśāṃ ca maṅgala-kulam	Bavat--prANa--banDu--pAda--padmAnAm BavAdRSAm ca maFgala--kulam
   anavarata-virājamānam api vraja-maṇḍale śaśvan nitarāṃ virājatām || kāṛyam	anavarata-virAjamAnam api vraja--maNxale SaSvat nitarAm virAjatAm || kARyam
   idam	idam
   anyad api avadhehi priya-jana-sakāśāt kara-grahaṇam anucitam iti bahutaram	anyat api avaDehi priya-jana--sakASAt kara-grahaNam anucitam iti bahutaram
   api	api
   kara-dravyam apahāyaiva etāvad-dinaṃ kim api noktam āsīt | samprati	kara-dravyam apahAya-eva etAvat--dinam kim api na-uktam AsIt | samprati
   mauktika-vyayena kṣubhyad-guru-jana-dīyamāna-mahānuyoga-nicayena kṣaṇam	mOktika--vyayena kzuByad--guru--jana--dIyamAna--mahA-anuyoga--nicayena kzaNam
   api nirvṛti-lavam alabhamānayā yat kiñcin mayā vijñāpyamānam asti |	api nirvRti-lavam alaBamAnayA yat kiQcid mayA vijQApyamAnam asti |
   tad-aguṇam	tat--aguNam
   avigaṇayya mad-vṛndāvana-janapade yamunopakaṇṭha-kedārikāyāṃ	avigaNayya mad--vRndAvana-janapade yamunA-upakaNWa-kedArikAyAm
   bhavat-prāṇa-bandhunā samprati kṣetrājīvatām āśrayatā kṛta-mauktika-kṛṣer	Bavat--prANa-banDunA samprati kzetrAjIva-tAm ASrayatA kRta-mOktika--kRzeH-
   lalitayā saha lekha-pratilekham ācārya samucita-kara-dravym iha tvaritam	lalitayA saha leKa-pratileKam AcArya samucita--kara--dravym iha tvaritam
   eva	eva
   prahitya dīyatāṃ, yathā dravyeṇaiva mathurāto mauktikāny ānāyya gurubhyaḥ	prahitya dIyatAn, yaTA dravyeNa-eva maTurAtaH mOktikAni AnAyya guruByaH
   pradāya kadana-sāgarād asmād uttarāmaḥ | athavā	pradAya kadana--sAgarAt asmAt uttarAmaH | aTavA
   bahu-mūlya-mauktikotpatti-bhūmeḥ karasyāpy atibāhulyād etad-dravya-pradāne	bahu-mUlya-mOktika-utpatti-BUmeH karasya-api ati-bAhulyAt etat--dravya--pradAne
   yadi bhavādṛśām aśaktiḥ syāt tarhi pañcabhir militvā samucita-mūlyaṃ	yadi BavAdRSAm aSaktiH syAt tarhi paQcaBiH militvA samucita--mUlyam
   nirṇīya	nirNIya
   etad-dravya-parivartanena mauktikani lalitā-haste deyānīti kiṃ bahunā	etad--dravya--parivartanena mOktikani lalitA--haste deyAni-iti kim bahunA
   paramābhijña-vareṣv iti |	parama-aBijQa--varezu iti |
   etan niśamya paramānanda-pūrṇenāpi mayā sākūtam uktaṃ -- ayi malli! ayi	etat niSamya parama-Ananda--pUrNena-api mayA sa-AkUtam uktam - ayi malli! ayi
   bhṛṅgi! bhavad-īśvarī sukhaṃ vartate ?	BRFgi! Bavat--ISvarI suKam vartate ?
   mallī-bhṛṅgau -- śrīman-nātha-caraṇa-śubhānudhyānena |	mallI--BRFgO - SrI-man-nATa--caraNa-SuBa-anuDyAnena |
   tatas tan-nikuñja-diśaṃ tiryag-avalokayann ahaṃ -- kutra vartate sā ?	tatas tan-nikuQja-diSam tiryak--avalokayan aham - kutra vartate sA ?
   te yāvaṭābhidha-grāme |	te yAvawa-aBiDa--grAme |
   ahaṃ -- kiṃ kurvatī tiṣṭhati ?	aham - kim kurvatI tizWati ?
   te lalitā-devī-prabhṛtīnāṃ varma-diśam avalokayantī	te lalitA--devI--praBRtInAm varma-diSam avalokayantI
   vṛndāvana-rājya-sārvabhauma-kāmam utkaṇṭhiteva virājamānā vartate |	vRndAvana--rAjya--sArvaBOma--kAmam utkaNWitA-iva virAjamAnA vartate |
   tato'haṃ -- sakhe subala! ,amue liṭiolayā lalitayaiva kasyacid dvārā	tatas-aham - saKe subala! ,amue liwiolayA lalitayA-eva kasyacid dvArA
   lekhayitvā	leKayitvA
   lekho'yaṃ vitīrṇo'sti |	leKaH-ayam vitIrNaH-asti |
   subalaḥ -- nahi nahi | rādhāyā eva sva-hasta-likhita-varṇānāṃ vinyāso'yam	subalaH - na-hi na-hi | rADAyAH eva sva-hasta--liKita--varNAnAm vinyAsaH-ayam
   tato'ham -- sakhe! tat tāvad idaṃ darśayati tad-dhastād ākṛṣya lekham	tatas-aham - saKe! tat tAvat idam darSayati tad--DastAt AkRzya leKam
   ālokya	Alokya
   sa-camatkāram ātmagataṃ -- aho akṣarāṇāṃ paṅkti-vistṛtir iyaṃ man-netrayoḥ	sa-camatkAram Atma-gatam - aho akzarANAm paFkti--vistRtiH iyam man-netrayoH
   pīyūṣa-vartikeyva pratibhātīty ānanda-janita-pulakān	pIyUza-vartikeyva pratiBAti-iti Ananda--janita--pulakAn
   vismaya-sañcāri-bhāvenaiva	vismaya--saQcAri--BAvena-eva
   kṛtān iti bhaṅgyā vikhyāpya prakāśaṃ vihasya āścaryam āścaryam	kRtAn iti BaFgyA viKyApya prakASam vihasya AScaryam AScaryam
   ākāśa-kusumam iva dhūrtābhir etābhiḥ kim apy anyad akasmād eva	AkASa--kusumam iva DUrtABiH etABiH kim api anyat akasmAt eva
   samutthāpitam |	samutTApitam |
   madhumaṅgalaḥ -- vayasya!	maDumaFgalaH - vayasya!
   vikaṭa-kuṭināṭi-kapaṭa-nāṭikā-tāṇḍavodbhaṭa-naṭāCārya-mahā-naṭīm imāṃ	vikawa--kuwinAwi-ka-pawa-nAwikA-tANxava-udBawa--nawa-ACArya--mahA--nawIm imAm
   tad advitīyāṃ durlalitāṃ lalitāṃ vāg-vilāsābhāsa-mātreṇaiova parājity a	tat advitIyAm durlalitAm lalitAm vAc---vilAsa-ABAsa--mAtreNa-ea-uva parAjiti a
   avatiṣṭha	avatizWa
   te dhriyate yāvad eko'pi ripus tāvat kutaḥ sukham ity ādi saṃsmṛtya	te Driyate yAvat ekaH-api ripuH tAvat kutas suKam iti Adi saMsmRtya
   sarvāsām	sarvAsAm
   asmad-vṛndāvana-rājya-kāṅkṣiṇīnāṃ dhūrtānāṃ tatim imām ito vṛndāvanāt	asmad--vRndAvana--rAjya--kAFkziNInAm DUrtAnAm tatim imAm itas vRndAvanAt-
   jhaṭiti vidrāvaya | tato niṣkaṇṭaka-rājye madhurāṇi rasavanti phalāny	Jawiti vidrAvaya | tatas nizkaNwaka-rAjye maDurANi rasavanti PalAni-
   upabhujya	upaBujya
   sukhenaivāhaṃ nṛtyann iva vasāmi |	suKena-eva-aham nRtyan iva vasAmi |
   tato mayoktaṃ -- lalite! iyam asmad-vṛndāṭavī | bhavat-sakhyā rājyaṃ kuto	tatas mayA-uktam - lalite! iyam asmat--vRnda-awavI | Bavat--saKyAH rAjyam kuto
   jātam |	jAtam |
   lalitā -- parama-kapaṭin! tad-rājya-mahābhiṣeka-mahotsavaṃ samakṣam	lalitAH - parama-ka-pawin! tad--rAjya--mahA-aBizeka--mahA-utsavam samakzam
   ākalayyāpi	Akalayya-api
   kim evaṃ gopāyasi ?	kim evam gopAyasi ?
   tato'ham -- lalite! samakṣa-darśanaṃ tāvad-dūre 'stu tac-chravaṇam api	tatas-aham - lalite! samakza--darSanam tAvat--dUre astu tac--SravaNam api
   jātam astīti	jAtam asti-iti
   nāhaṃ smarāmi ?	na-aham smarAmi ?
   viśākhā --lalite! asya tāvad dūṣaṇaṃ nāsti |	viSAKA --lalite! asya tAvat dUzaNam na-asti |
   ballava-sādhvī-śata-dharmollaṅghana-janita-tamaḥ-pracayenāntarhitam asty	balla-va-sADvI--Sata-Darma-ullaFGana--janita-tamaH-pracayena-antarhitam asti-
   asya	asya
   cetas tat-saṃsargī ca tādṛśa iti etad-vayasyayor anayor api | tat katham	cetaH tat-saMsargI ca tAdRSaH iti etat--vayasyayoH anayoH api | tat kaTam
   ete smarantu	ete smarantu
   nāma ? tasmāt tat kathana-pīyūṣa-prasyandena karṇa-vivareṣu praveśiten	nAma ? tasmAt tat kaTana-pIyUza--prasyandena karNa-vivarezu praveSiten
   bāḍham	bAXam
   amīṣāṃ cetāṃsi kāruṇyenāvirbhāvaya yathaiṣāṃ smṛtiḥ sampadyate |	amIzAm cetAMsi kAruNyena-AvirBAvaya yaTA-ezAm smRtiH sampadyate |
   tatas tadānīm evāgatāṃ sarvābhir evānanditāṃ vṛndām āliṅgya lalitā	tatas tadAnIm eva-AgatAm sarvABiH eva-AnanditAm vRndAm AliFgya lalitA
   sa-smitam	sa--smitam
   āha -- vṛnde! bhadrāvasare tvaṃ prāptāsi | tat tvayaiva nirvarṇyatāṃ	Aha - vRnde! Badra-avasare tvam prAptA-asi | tat tvayA-eva nirvarNya-tAm
   mahotsava-raṅgaḥ |	mahA-utsava-raFgaH |
   vṛndā sa-vinayānandaṃ -- sakhi lalite! tvan-mukha-padmād	vRndA sa-vinaya-Anandam - saKi lalite! tvan-muKa--padmAt-
   viniṣyandamāna-tan-mahotsava-rasa-makarandam aham apy āpātum āgatāsmi tat	vinizyanda-mAna--tan--mahA-utsava--rasa-makarandam aham api ApAtum AgatA-asmi tat-
   tvayaiva pariveṣyatām |	tvayA-eva parivezyatAm |
   lalitā sānandam -- bhadraṃ sarvair avadhāya śrūyatām |	lalitA sa-Anandam - Badram sarvEH avaDAya SrUyatAm |
   ṛtu-pativasanta-samaye	Rtu-pati-vasanta--samaye
   paurṇamāsyāṃ viśākhā-nakṣatre bhagavato hiraṇyagarbhasya gagana-vāṇyā	pOrNamAsyAm viSAKA--nakzatre BagavataH hiraNyagarBasya gagana-vANyA
   vṛndāvana-vāsino bhagavataḥ śrī-gopīśvarasya svapna-kṛta-nideśena ca	vRndAvana-vAsinaH BagavataH SrI---gopISvarasya svapna-kRta--nideSena ca
   mānasa-suradhunī-kālindyādi-sarid-varobhiḥ	mAnasa--suraDu-nI--kAlindI-Adi-sarit--varoBiH
   sāvitrī-saṃjñaikānaṃśā-prabhṛti-devībhiś ca samaṃ	sAvitrI--saMjQA-eka-an-aMSA--praBRti-devIBiH ca samam
   muralī-mahatī-jharjharī-muraja-dundubhi-prabhṛti-vādya-śabda-kolāhalenākṛṣ	muralI--mahatI-JarJarI-muraja--dunduBi--praBRti--vAdya--Sabda--kolAhalena-AkRz
   ṭeṣu kinnarī-gandharvī-kuleṣu sānandaṃ gāyatsu | apsaro-vidyādharī-vargeṣu	wezu kinnarI--ganDarvI--kulezu sa-Anandam gAyatsu | apsaraH--vidyADarI--vargezu
   nṛtyatsu śacyādi-surāṅganā-nicayeṣu jaya-jaya-śabda-pūrvakaṃ	nRtyatsu SacI-Adi--sura-aFganA--nicayezu jaya--jaya--Sabda--pUrvakam
   pārijātādi-kusuma-vṛṣṭiṃ kurvatsu viśākhādi-sahacarī-samudayeṣu	pArijAta-Adi--kusuma--vRzwim kurvatsu viSAKA-Adi--sahacarI--samudayezu
   parimilita-paṭa-vāsa-surāga-bandhana-nava-ghanasāra-kṣoda-mañjula-mṛgamada	parimilita--pawa--vAsa--surAga--banDana--nava--Gana-sAra--kzoda--maQjula--mRgamada
   -sulalita-kuṅkuma-paṭīra-drava-vividha-surabhi-kusuma-kulāni	-su-lalita-kuFkuma--pawIra-drava--viviDa--suraBi--kusuma---kulAni
   sulalita-gāna-puraḥsaram itas tato vikiratsu bhūsura-ramaṇī-vṛndeṣu	su-lalita--gAna--puraHsaram itas tatas vikiratsu BUsura---ramaNI--vRndezu
   śubhāśīḥ-śatāni vitaratsu ca	SuBa-ASIH-SatAni vitaratsu ca
   sakhī-vṛnda-samarpyamāṇa-śobhana-kuṅkumāguru-karpūra-candana-vividha-su	saKI--vRnda--samarpyamANa--SoBana--kuFkuma-aguru--karpUra--candana-viviDa-su
   rabhi-kusumādi-suvāsita-jala-paripūrita-kāñcanāṣṭottara-śata-ghaṭaiḥ	raBi--kusuma-Adi-suvAsita--jala--paripUrita--kAQcana-azwa-uttara--Sata--GawEH
   suvarṇa-vedikā-nihita-padmarāga-maṇi-pīṭhopari sanniviṣṭāṃ priya-sakhīṃ	suvarNa-vedikA--nihita--padmarAga-maNi--pIWa-upari sannivizwAm priya-saKIm
   gāndarvāṃ bhagavatī paurṇamāsī sānandam abhiṣicya	gAndarvAm BagavatI pOrNamAsI sa-Anandam aBizicya
   vividha-sulakṣaṇa-mahāratna-sañcayodaka-sahasra-dhārābhir	viviDa--su-lakzaNa--mahA-ratna--saQcaya-udaka--sahasra--DArABiH-
   jaya-jaya-śabda-pūrvakaṃ ratnābhiṣekaṃ cakāra |	jaya--jaya--Sabda--pUrvakam ratna-aBizekam cakAra |
   vṛndā sa-harṣam -- tatas tataḥ ?	vRndA sa-harzam - tatas tatas ?
   lalitā tato mayaiva sucīna-vasanena śanaiḥ śanair aṅgāny āmṛjya	lalitA tatas mayA-eva su-cIna-vasanena SanEs SanEs aFgAni AmRjya
   surakta-dukūlaṃ	su-rakta-dukUlam
   paridhāpya ketakī-kusuma-suvāsita-jalada-nīlottarīya-vasanenāvaguṇṭhya	pariDApya ketakI--kusuma--su-vAsita--jalada--nIla-uttarIya--vasanena-avaguNWya
   sukham	suKam
   anyatara-kanaka-0pīṭhe niveśya	anyatara--kanaka--0pIWe niveSya
   nānāvidha-kusuma-nava-guñjā-puñja-sumadhura-muktādi-maṇi-nikarai	nAnAviDa--kusuma--nava--guQjA--puQja--su-maDura-muktA-Adi-maNi--nikarE
   nindita-śikhi-piñcha-kalāpa-kānti-sukeśa-pāśaṃ	nindita--SiKi--piQCa--kalApa--kAnti--su-keSa--pASam
   sudīrgha-prāntocchalat-kusuma-gucchaṃ veṇītvenāvirbhāvya	su-dIrGa--prAnta-ucCalat--kusuma-gucCam veNI-tvena-AvirBAvya
   sva-sva-sevā-karma-karmaṭha-parijana-gaṇa-dīyamāna-vividhālepa-bhūṣaṇa-mā	sva--sva--sevA--karma--karmaWa--parijana--gaNa-dIyamAna--viviDa-Alepa--BUzaNa-mA
