   (PSP_5:1)	(PSu _5:1)
   bodhisattvena mahāsattvenānuttarāṃ samyaksaṃbodhim abhisaṃboddhukāmena	boDisattvena mahAsattvena anuttarAm samyaksaMboDim aBisaMbodDu kAmena
   prajñāpāramitāvihāreṇa vihartavyam. ity uktam akṣayākāraṃ kṣayajñānam	prajQApAramitA vihAreNa vihartavyam. iti uktam akzaya AkAram kzaya jQAnam
   anutpādākāram anutpādajñānam	anutpAda AkAram anutpAda jQAnam
   (PSP_5:83)	(PSu _5:83)
   prajñāpāramitāvihāreṇa viharato bodhisattvasya mahāsattvasya dānapāramitā	prajQApAramitA vihAreNa viharataH boDisattvasya mahAsattvasya dAna pAramitA
   bhāvanāparipūriṃ gacchati, śīlapāramitā bhāvanāparipūriṃ gacchati,	BAvanA paripUrim gacCati, SIla pAramitA BAvanA paripUrim gacCati,
   kṣāntipāramitā bhāvanāparipūriṃ gacchati, vīryapāramitā bhāvanāparipūriṃ	kzAnti pAramitA BAvanA paripUrim gacCati, vIrya pAramitA BAvanA paripUrim
   gacchati, dhyānapāramitā bhāvanāparipūriṃ gacchati, prajñāpāramitā	gacCati, DyAna pAramitA BAvanA paripUrim gacCati, prajQApAramitA
   bhāvanāparipūriṃ gacchati. prajñāpāramitāyāṃ carato bodhisattvasya	BAvanA paripUrim gacCati. prajQApAramitAyAm carataH boDisattvasya
   mahāsattvasya sarvāḥ pāramitā bhāvanāparipūriṃ gacchanti	mahAsattvasya sarvAH pAramitAH BAvanA paripUrim gacCanti
   atha khalv āyuṣmān subhūtir bhagavantam etad avocat: kathaṃ bhagavan	aTa Kalu AyuzmAn suBUtiH Bagavantam etat avocat: kaTam Bagavan
   bodhisattvasya mahāsattvasya prajñāpāramitāyāṃ carato dānapāramitā	boDisattvasya mahAsattvasya prajQApAramitAyAm carataH dAna pAramitA
   bhāvanāparipūriṃ gacchati, śīlapāramitā bhāvanāparipūriṃ gacchati,	BAvanA paripUrim gacCati, SIla pAramitA BAvanA paripUrim gacCati,
   kṣāntipāramitā bhāvanāparipūriṃ gacchati, vīryapāramitā bhāvanāparipūriṃ	kzAnti pAramitA BAvanA paripUrim gacCati, vIrya pAramitA BAvanA paripUrim
   gacchati, dhyānapāramitā bhāvanāparipūriṃ gacchati, prajñāpāramitā	gacCati, DyAna pAramitA BAvanA paripUrim gacCati, prajQApAramitA
   bhāvanāparipūriṃ gacchati?	BAvanA paripUrim gacCati?
   evam ukte bhagavān āyuṣmantaṃ subhūtim etad avocat: iha subhūte	evam ukte BagavAn Ayuzmantam suBUtim etat avocat: iha suBUte
   bodhisattvo mahāsattvaḥ sarvākārajñatāyāṃ pariṇāmayan dānan dadāti, evaṃ	boDisattvaH mahAsattvaH sarva AkAra jQa tAyAm pariNAmayan dAnan dadAti, evam
   khalu subhūte bodhisattvasya mahāsattvasya dānapāramitā bhāvanāparipūriṃ	Kalu suBUte boDisattvasya mahAsattvasya dAna pAramitA BAvanA paripUrim
   gacchati. iha subhūte bodhisattvo mahāsattvaḥ sarvākārajñatāyāṃ	gacCati. iha suBUte boDisattvaH mahAsattvaH sarva AkAra jQa tAyAm
   pariṇāmayan śīlaṃ rakṣati, evaṃ khalu subhūte bodhisattvasya mahāsattvasya	pariNAmayan SIlam rakzati, evam Kalu suBUte boDisattvasya mahAsattvasya
   śīlapāramitā bhāvanāparipūriṃ gacchati. iha subhūte bodhisattvo	SIla pAramitA BAvanA paripUrim gacCati. iha suBUte boDisattvaH 
   mahāsattvaḥ sarvākārajñatāyāṃ pariṇāmayan kṣāntyā saṃpādayati, evaṃ khalu	mahAsattvaH sarva AkAra jQa tAyAm pariNAmayan kzAntyA saMpAdayati, evam Kalu
   subhūte bodhisattvasya mahāsattvasya kṣāntipāramitā bhāvanāparipūriṃ	suBUte boDisattvasya mahAsattvasya kzAnti pAramitA BAvanA paripUrim
   gacchati. iha subhūte bodhisattvo mahāsattvaḥ sarvākārajñatāyāṃ	gacCati. iha suBUte boDisattvaH mahAsattvaH sarva AkAra jQa tAyAm
   pariṇāmayan vīryam ārabhate, evaṃ khalu subhūte bodhisattvasya	pariNAmayan vIryam AraBate, evam Kalu suBUte boDisattvasya
   mahāsattvasya vīryapāramitā bhāvanāparipūriṃ gacchati. iha subhūte	mahAsattvasya vIrya pAramitA BAvanA paripUrim gacCati. iha suBUte
   bodhisatttvo mahāsattvaḥ sarvākārajñatāyāṃ pariṇāmayan dhyānaṃ	boDisatttvaH mahAsattvaH sarva AkAra jQa tAyAm pariNAmayan DyAnam
   samāpadyate, evaṃ khalu subhūte bodhisattvasya mahāsattvasya	samApadyate, evam Kalu suBUte boDisattvasya mahAsattvasya
   dhyānapāramitā bhāvanāparipūriṃ gacchati. iha subhūte bodhisattvo	DyAna pAramitA BAvanA paripUrim gacCati. iha suBUte boDisattvaH 
   mahāsattvaḥ sarvākārajñatāyāṃ pariṇāmayan prajñāṃ bhāvayati, evaṃ khalu	mahAsattvaH sarva AkAra jQa tAyAm pariNAmayan prajQAm BAvayati, evam Kalu
   subhūte bodhisattvasya mahāsattvasya prajñāpāramitā bhāvanāparipūriṃ	suBUte boDisattvasya mahAsattvasya prajQApAramitA BAvanA paripUrim
   gacchati.	gacCati.
   atha khalv āyuṣmān subhūtir bhagavantam etad avocat: kathaṃ bhagavan	aTa Kalu AyuzmAn suBUtiH Bagavantam etat avocat: kaTam Bagavan
   bodhisattvo mahāsattvo dānapāramitāyāṃ sthitvā śīlapāramitāṃ parigṛhṇāti?	boDisattvaH mahAsattvaH dAna pAramitAyAm sTitvA SIla pAramitAm parigRhNAti?
   (PSP_5:84)	(PSu _5:84)
   bhagavān āha: iha subhūte bodhisattvasya mahāsattvasya dānapāramitāyāṃ	BagavAn Aha: iha suBUte boDisattvasya mahAsattvasya dAna pAramitAyAm
   sthitvā dānan dadataḥ sarvākārajñatāyāṃ pariṇāmayataḥ sattveṣu maitraṃ	sTitvA dAnan dadataH sarva AkAra jQa tAyAm pariNAmayataH sattvezu mEtram
   kāyakarma maitraṃ vākkarma maitraṃ manaḥkarma pratyupasthitaṃ bhavati,	kAya karma mEtram vAkkarma mEtram manaH karma pratyupasTitam Bavati,
   evaṃ khalu subhūte bodhisattvo mahāsattvo dānapāramitāyāṃ sthitvā	evam Kalu suBUte boDisattvaH mahAsattvaH dAna pAramitAyAm sTitvA
   śīlapāramitāṃ parigṛhṇāti.	SIla pAramitAm parigRhNAti.
   subhūtir āha: kathaṃ bhagavan bodhisattvo mahāsattvo dānapāramitāyāṃ	suBUtiH Aha: kaTam Bagavan boDisattvaH mahAsattvaH dAna pAramitAyAm
   sthitvā kṣāntipāramitāṃ parigṛhṇāti?	sTitvA kzAnti pAramitAm parigRhNAti?
   bhagavān āha: iha subhūte bodhisattvasya mahāsattvasya dānapāramitāyāṃ	BagavAn Aha: iha suBUte boDisattvasya mahAsattvasya dAna pAramitAyAm
   sthitvā dānan dadato yad idaṃ pratigrāhakā ākrośanti vā paribhāṣante vā,	sTitvA dAnan dadataH yat idam pratigrAhakAH AkroSanti vA pariBAzante vA,
   asatyābhiś ca paruṣābhir vāgbhiḥ samudācaranti, na ca teṣām antike cittam	asatyABiH ca paruzABiH vAgBiH samudAcaranti, na ca tezAm antike cittam
   āghātayati, evaṃ khalu subhūte bodhisattvo mahāsattvo dānapāramitāyāṃ	AGAtayati, evam Kalu suBUte boDisattvaH mahAsattvaH dAna pAramitAyAm
   sthitvā kṣāntipāramitāṃ parigṛhṇāti.	sTitvA kzAnti pAramitAm parigRhNAti.
   subhūtir āha: kathaṃ bhagavan boddhisattvo mahāsattvo dānapāramitāyāṃ	suBUtiH Aha: kaTam Bagavan bodDisattvaH mahAsattvaH dAna pAramitAyAm
   sthitvā vīryapāramitāṃ parigṛhṇāti?	sTitvA vIrya pAramitAm parigRhNAti?
   bhagavān āha: iha subhūte bodhisattvasya mahāsattvasya dānapāramitāyāṃ	BagavAn Aha: iha suBUte boDisattvasya mahAsattvasya dAna pAramitAyAm
   sthitvā danan dadatas te pratigrāhakā yady ākrośanti vā paribhāṣante vā	sTitvA danan dadataH te pratigrAhakAH yadi AkroSanti vA pariBAzante vA
   asatyāṃ vā paruṣāṃ vā vācaṃ samudācaranti tasyākruṣyamāṇasya vā	asatyAm vA paruzAm vA vAcam samudAcaranti tasya AkruzyamANasya vA
   paribhāṣyamāṇasya vā, asatyayā vā paruṣayā vā vācā samudācaryamāṇasya	pariBAzyamANasya vA, asatyayA vA paruzayA vA vAcA samudAcaryamANasya
   dānabuddhir eva bhavati, parityāgabuddhir eva bhavati, dātavyañ caiva mayā	dAna budDiH eva Bavati, parityAga budDiH eva Bavati, dAtavyan ca eva mayA
   dānan, na mayā na dātavyaṃ sa kāyikañ ca caitasikañ ca vīryaṃ sa	dAnan, na mayA na dAtavyam sa kAyikan ca cEtasikan ca vIryam sa
   vyañjanayati, evaṃ khalu subhūte bodhisattvo mahāsattvo dānapāramitāyāṃ	vyaQjanayati, evam Kalu suBUte boDisattvaH mahAsattvaH dAna pAramitAyAm
   sthitvā vīryapāramitāṃ parigṛhṇāti.	sTitvA vIrya pAramitAm parigRhNAti.
   subhūtir āha: kathaṃ bhagavan bodhisattvo mahāsattvo dānapāramitāyāṃ	suBUtiH Aha: kaTam Bagavan boDisattvaH mahAsattvaH dAna pAramitAyAm
   sthitvā dhyānapāramitāṃ parigṛhṇāti?	sTitvA DyAna pAramitAm parigRhNAti?
   bhagavān āha: iha subhūte bodhisattvasya mahāsattvasya dānapāramitāyāṃ	BagavAn Aha: iha suBUte boDisattvasya mahAsattvasya dAna pAramitAyAm
   sthitvā dānan dadato dānaṃ parityajataḥ sarvākārajñatāyāṃ pariṇāmayate, na	sTitvA dAnan dadataH dAnam parityajataH sarva AkAra jQa tAyAm pariNAmayate, na
   śrāvakabhūmau vā na pratyekabuddhabhūmau vā cittaṃ pariṇāmayaty, anyatra	SrAvaka BUmO vA na pratyekabudDa BUmO vA cittam pariNAmayaty, anyatra
   sarvākārajñatārambaṇam eva cittaṃ pravartate, evaṃ khalu subhūte	sarva AkAra jQa tA ArambaNam eva cittam pravartate, evam Kalu suBUte
   bodhisattvo mahāsattvo dānapāramitāyāṃ sthitvā dhyānapāramitāṃ	boDisattvaH mahAsattvaH dAna pAramitAyAm sTitvA DyAna pAramitAm
   parigṛhṇāti.	parigRhNAti.
   (PSP_5:85)	(PSu _5:85)
   subhūtir āha: kathaṃ bhagavan bodhisattvo mahāsattvo dānapāramitāyāṃ	suBUtiH Aha: kaTam Bagavan boDisattvaH mahAsattvaH dAna pAramitAyAm
   sthitvā prajñāpāramitāṃ parigṛhṇāti?	sTitvA prajQApAramitAm parigRhNAti?
   bhagavān āha: iha subhūte bodhisattvasya mahāsattvasya dānapāramitāyāṃ	BagavAn Aha: iha suBUte boDisattvasya mahAsattvasya dAna pAramitAyAm
   sthitvā dānan dadato dānaṃ parityajataḥ, tasya māyābuddhir eva dāne	sTitvA dAnan dadataH dAnam parityajataH, tasya mAyA budDiH eva dAne
   pratyupasthitā bhavati, tena ca dānena na kasyacit sattvasyopakāraṃ	pratyupasTitA Bavati, tena ca dAnena na kasyacid sattvasya upakAram
   vāpakāraṃ vā paśyaty, evaṃ khalu subhūte bodhisattvo mahāsattvo	vA apakAram vA paSyaty, evam Kalu suBUte boDisattvaH mahAsattvaH 
   dānapāramitāyāṃ sthitvā pprajñāpāramitāṃ parigṛhṇāti.	dAna pAramitAyAm sTitvA pprajQApAramitAm parigRhNAti.
   atha khalv āyuṣmān subhūtir bhagavantam etad avocat: kathaṃ bhagavan	aTa Kalu AyuzmAn suBUtiH Bagavantam etat avocat: kaTam Bagavan
   bodhisattvo mahāsattvaḥ śīlapāramitāyāṃ sthito dānapāramitāṃ parigṛhṇāti?	boDisattvaH mahAsattvaH SIla pAramitAyAm sTitaH dAna pAramitAm parigRhNAti?
   bhagavān āha: iha subhūte bodhisattvo mahāsattvaḥ śīlapāramitāyāṃ sthito	BagavAn Aha: iha suBUte boDisattvaH mahAsattvaH SIla pAramitAyAm sTitaH 
   yaḥ kāyikaś ca vācikaś ca caitasikaś ca saṃvaras tena saṃvarena na	yaH kAyikaH ca vAcikaH ca cEtasikaH ca saMvaraH tena saMvarena na
   śrāvakabhūmiṃ vā na pratyekabuddhabhūmiṃ vā parāmṛṣati, tatra ca	SrAvaka BUmim vA na pratyekabudDa BUmim vA parAmRzati, tatra ca
   śīlapāramitāyāṃ sthito na sattvān jīvitād vyaparopayati, nādattam ādadāti,	SIla pAramitAyAm sTitaH na sattvAn jIvitAt vyaparopayati, na adattam AdadAti,
   na kāmeṣu mithyā carati, na mṛṣāvāg bhavati, na paruṣavāg bhavati na	na kAmezu miTyA carati, na mRzA vAc Bavati, na paruza vAc Bavati na
   piśunāṃ vācaṃ bhāṣate, na saṃbhinnapralāpī bhavati, nābhidhyālur bhavati,	piSunAm vAcam BAzate, na saMBinna pralApI Bavati, na aBiDyAluH Bavati,
   na vyāpannacitto bhavati, na mithyādṛṣṭir bhavati, sa tatra	na vyApanna cittaH Bavati, na miTyAdRzwiH Bavati, sa tatra
   śīlapāramitāyāṃ sthito yad dānan dadāty annam annārthikānāṃ pānaṃ	SIla pAramitAyAm sTitaH yat dAnan dadAti annam anna arTikAnAm pAnam
   pānārthikānāṃ yānaṃ yānārthikānāṃ vastraṃ vastrārthikānāṃ mālyaṃ	pAna arTikAnAm yAnam yAna arTikAnAm vastram vastra arTikAnAm mAlyam
   mālyārthikānāṃ vilepanaṃ vilepanārthikānāṃ śayanaṃ śayanārthikānām	mAlya arTikAnAm vilepanam vilepana arTikAnAm Sayanam Sayana arTikAnAm
   upāśrayam upāśrayārthikānāṃ pradīpaṃ pradīpārthikānāṃ upakaraṇam	upASrayam upASraya arTikAnAm pradIpam pradIpa arTikAnAm upakaraNam
   upakaraṇārthikānām anyatarānyatarāṇi mānuṣyakāṇi sarvapariṣkāropakaraṇāni	upakaraNa arTikAnAm anyatara anyatarANi mAnuzyakANi sarva parizkAra upakaraNAni
   dadāti, tac ca dānaṃ sarvasattvasādhāraṇaṃ kṛtvā anuttarāyai	dadAti, tat ca dAnam sarva sattva sADAraNam kRtvA anuttarAyE
   samyaksaṃbodhaye pariṇāmayati, tathā ca pariṇāmayati yathā na	samyaksaMboDaye pariNAmayati, taTA ca pariNAmayati yaTA na
   śrāvakapratyekabuddhabhūmau vā pariṇāmayati, evaṃ khalu subhūte	SrAvaka pratyekabudDa BUmO vA pariNAmayati, evam Kalu suBUte
   bodhisattvo mahāsattvaḥ śīlapāramitāyāṃ sthito dānapāramitāṃ parigṛhṇāti.	boDisattvaH mahAsattvaH SIla pAramitAyAm sTitaH dAna pAramitAm parigRhNAti.
   subhūtir āha: kathaṃ bhagavan bodhisattvo mahāsattvaḥ śīlapāramitāyāṃ	suBUtiH Aha: kaTam Bagavan boDisattvaH mahAsattvaH SIla pAramitAyAm
   sthitaḥ kṣāntipāramitāṃ parigṛhṇāti?	sTitaH kzAnti pAramitAm parigRhNAti?
   bhagavān āha: iha subhūte bodhisattvasya mahāsatttvasya śīlapāramitāyāṃ	BagavAn Aha: iha suBUte boDisattvasya mahAsatttvasya SIla pAramitAyAm
   sthitasya sarvasattvā aṅgapratyaṅgāni cchitvā cchitvā gaccheyus tatra	sTitasya sarva sattvAH aFga pratyaFgAni cCitvA cCitvA gacCeyuH tatra
   bodhisattvasya mahāsattvasya ekacittotpādo 'pi na kṣubhyate na vyāpadyate	boDisattvasya mahAsattvasya ekacitta utpAdaH api na kzuByate na vyApadyate
   'nyatra cāsyaivaṃ bhavati, sulabdhā me lābhā (PSP_5:86) yatra hi nāma mama	anyatra ca asya evam Bavati, su labDA me lABAH (PSu _5:86) yatra hi nAma mama
   sattvā aṅgapratyaṅgāni cchitvā cchitvā gaccheyur, evaṃ khalu subhūte	sattvAH aFga pratyaFgAni cCitvA cCitvA gacCeyur, evam Kalu suBUte
   bodhisattvo mahāsattvaḥ śīlapāramitāyāṃ sthitaḥ kṣāntipāramitāṃ	boDisattvaH mahAsattvaH SIla pAramitAyAm sTitaH kzAnti pAramitAm
   parigṛhṇāti.	parigRhNAti.
   subhūtir āha: kathaṃ bhagavan bodhisattvo mahāsattvaḥ śīlapāramitāyāṃ	suBUtiH Aha: kaTam Bagavan boDisattvaH mahAsattvaH SIla pAramitAyAm
   sthito vīryapāramitāṃ parigṛhṇāti?	sTitaH vIrya pAramitAm parigRhNAti?
   bhagavān āha: iha subhūte bodhisattvo mahāsattvo na kāyena na cittena	BagavAn Aha: iha suBUte boDisattvaH mahAsattvaH na kAyena na cittena
   vīryaṃ srasayati, sarvasattvā mayottārayitavyāḥ saṃsārataḥ amṛte dhātau	vIryam srasayati, sarva sattvAH mayA uttArayitavyAH saMsArataH amRte DAtO
   pratiṣṭhāpayitavyāḥ, evaṃ khalu subhūte bodhisattvo mahāsattvaḥ	pratizWApayitavyAH, evam Kalu suBUte boDisattvaH mahAsattvaH
   śīlapāramitāyāṃ sthito vīryapāramitāṃ parigṛhṇāti.	SIla pAramitAyAm sTitaH vIrya pAramitAm parigRhNAti.
   subhūtir āha: kathaṃ bhagavan bodhisattvo mahāsattvaḥ śīlapāramitāyāṃ	suBUtiH Aha: kaTam Bagavan boDisattvaH mahAsattvaH SIla pAramitAyAm
   sthito dhyānapāramitāṃ parigṛhṇāti?	sTitaH DyAna pAramitAm parigRhNAti?
   bhagavān āha: iha subhūte bodhisattvo mahāsattvaḥ prathamaṃ dhyānaṃ	BagavAn Aha: iha suBUte boDisattvaH mahAsattvaH praTamam DyAnam
   samāpadyate dvitīyaṃ dhyānaṃ samāpadyate tṛtīyaṃ dhyānaṃ samāpadyate	samApadyate dvitIyam DyAnam samApadyate tRtIyam DyAnam samApadyate
   caturthaṃ dhyānaṃ samāpadyate, na ca śrāvakabhūmiṃ vā na	caturTam DyAnam samApadyate, na ca SrAvaka BUmim vA na
   pratyekabuddhabhūmiṃ vādhyālambate 'nyatra cāsyaivaṃ bhavati, iha mayā	pratyekabudDa BUmim vA aDi Alambate anyatra ca asya evam Bavati, iha mayA
   dhyānapāramitāyāṃ sthitvā sarvasattvāḥ saṃsārād uttārayitavyāḥ, evaṃ khalu	DyAna pAramitAyAm sTitvA sarva sattvAH saMsArAt uttArayitavyAH, evam Kalu
   subhūte bodhisattvo mahāsattvaḥ śīlapāramitāyāṃ sthito dhyānapāramitāṃ	suBUte boDisattvaH mahAsattvaH SIla pAramitAyAm sTitaH DyAna pAramitAm
   parigṛhṇāti.	parigRhNAti.
   subhūtir āha: kathaṃ bhagavan bodhisattvo mahāsattvaḥ śīlapāramitāyāṃ	suBUtiH Aha: kaTam Bagavan boDisattvaH mahAsattvaH SIla pAramitAyAm
   sthitaḥ prajñāpāramitāṃ parigṛhṇāti?	sTitaH prajQApAramitAm parigRhNAti?
   bhagavān āha: iha subhūte bodhisattvo mahāsattvaḥ śīlapāramitāyāṃ sthito	BagavAn Aha: iha suBUte boDisattvaH mahAsattvaH SIla pAramitAyAm sTitaH 
   na kañcid dharmaṃ saṃskṛtaṃ vāsaṃskṛtaṃ vā paśyati, na nimittan nānimittaṃ	na kaQcid Darmam saMskRtam vAsaMskRtam vA paSyati, na nimittat na animittam
   paśyati, na kasyacid dharmasyāsti tvaṃ vā nāsti tvaṃ vā paśyaty anyatra	paSyati, na kasyacid Darmasya asti tvam vA na asti tvam vA paSyati anyatra
   sarvadharmatathatān na vyativartante, tayā ca	sarva Darma taTatAn na vyativartante, tayA ca
   prajñāpāramitayopāyakauśalyena na śrāvakabhūmiṃ vā na pratyekabuddhabhūmiṃ	prajQApAramitayA upAya kOSalyena na SrAvaka BUmim vA na pratyekabudDa BUmim
   vā pataty, evaṃ khalu subhūte bodhisattvo mahāsattvaḥ śīlapāramitāyāṃ	vA pataty, evam Kalu suBUte boDisattvaH mahAsattvaH SIla pAramitAyAm
   sthitaḥ prajñāpāramitāṃ parigṛhṇāti.	sTitaH prajQApAramitAm parigRhNAti.
   atha khalv āyuṣmān subhūtir bhagavantam etad avocat: kathaṃ bhagavan	aTa Kalu AyuzmAn suBUtiH Bagavantam etat avocat: kaTam Bagavan
   bodhisattvo mahāsattvaḥ kṣāntipāramitāyāṃ sthitvā dānapāramitāṃ	boDisattvaH mahAsattvaH kzAnti pAramitAyAm sTitvA dAna pAramitAm
   parigṛhṇāti?	parigRhNAti?
   bhagavān āha: iha subhūte bodhisattvasya mahāsattvasya (PSP_5:87)	BagavAn Aha: iha suBUte boDisattvasya mahAsattvasya (PSu _5:87)
   prathamacittotpādam upādāya yāvad bodhimaṇḍaniṣaṇṇasya sarvasattvā yady	praTama citta utpAdam upAdAya yAvat boDimaNxa nizaNNasya sarva sattvAH yadi 
   ākrośayeyuḥ paribhāṣerann aṅgapratyaṅgāni cācchidyus tatra bodhisattvasya	AkroSayeyuH pariBAzeran aFga pratyaFgAni ca acCidyuH tatra boDisattvasya
   mahāsattvasya kṣāntipāramitāyāṃ sthitasyaivaṃ bhavati, dātavyaṃ mayaiteṣāṃ	mahAsattvasya kzAnti pAramitAyAm sTitasya evam Bavati, dAtavyam mayA etezAm
   sattvānāṃ dānaṃ, na mayaiteṣāṃ sattvānāṃ dānaṃ na dātavyaṃ, sa teṣāṃ	sattvAnAm dAnan, na mayA etezAm sattvAnAm dAnam na dAtavyan, sa tezAm
   sattvānām annam annārthikānāṃ dadāti, pānaṃ pānārthikānāṃ dadāti, yānaṃ	sattvAnAm annam anna arTikAnAm dadAti, pAnam pAna arTikAnAm dadAti, yAnam
   yānārthikānāṃ dadāti,	yAna arTikAnAm dadAti,
   śayanāsanavastrahiraṇyasuvarṇamaṇimuktāvaiḍūryamarakataśaṃkhaśilāpravālavajrendranīlasarvaratnaglānapratyayabhaiṣajyapariṣkārādīni	Sayana Asana vastra hiraNya suvarNa maNi muktA vExUrI a marakata SaMKa SilA pravAla vajra indranIla sarva ratna glAna pratyaya BEzajya parizkAra AdIni
   dadāti yāvad anyatarānyatarāṇi mānuṣyakāṇi pariṣkāropakaraṇāni dadāti, tac	dadAti yAvat anyatara anyatarANi mAnuzyakANi parizkAra upakaraNAni dadAti, tat 
   ca kuśalamūlaṃ sarvasattvasādhāraṇaṃ kṛtvā sarvākārajñatāyāṃ pariṇāmayati,	ca kuSala mUlam sarva sattva sADAraNam kRtvA sarva AkAra jQa tAyAm pariNAmayati,
   tathā ca pariṇāmayati yathāsya trividhā buddhir na pravartate, ko vā	taTA ca pariNAmayati yaTA asya triviDA budDiH na pravartate, kaH vA
   pariṇāmayati, kiṃ vā pariṇāmayati, kutra vā pariṇāmayati. evaṃ khalu	pariNAmayati, kim vA pariNAmayati, kutra vA pariNAmayati. evam Kalu
   subhūte bodhisattvo mahāsattvaḥ kṣāntipāramitāyāṃ sthitvā dānapāramitāṃ	suBUte boDisattvaH mahAsattvaH kzAnti pAramitAyAm sTitvA dAna pAramitAm
   parigṛhṇāti.	parigRhNAti.
   subhūtir āha: kathaṃ bhagavan bodhisattvo nmahāsattvaḥ kṣāntipāramitāyāṃ	suBUtiH Aha: kaTam Bagavan boDisattvaH nmahAsattvaH kzAnti pAramitAyAm
   sthitvā śīlapāramitāṃ parigṛhṇāti?	sTitvA SIla pAramitAm parigRhNAti?
   bhagavān āha: iha subhūte bodhisattvo mahāsattvaḥ prathamacittotpādam	BagavAn Aha: iha suBUte boDisattvaH mahAsattvaH praTama citta utpAdam
   upādāya yāvad bodhimaṇḍaniṣanṇo 'trāntare na kaścit sattvo jīvitād	upAdAya yAvat boDimaNxa nizanNaH atra antare na kaScid sattvaH jIvitAt 
   vyaparopito na daihikī bodhyaṅgatāghātadoṣakriyā vā utpāditā, nādattam	vyaparopitaH na dEhikI boDi aFga tA AGAta doza kriyA vA utpAditA, na adattam
   ādadāti, na kāmamithyācārī bhavati, na mṛṣāvāg bhavati, na paruṣavāg	AdadAti, na kAma miTyA AcArI Bavati, na mRzA vAc Bavati, na paruza vAc 
   bhavati, na piśunavāg bhavati, nābaddhapralāpī bhavati, nābhidhyālur	Bavati, na piSuna vAc Bavati, na AbadDa pralApI Bavati, na aBiDyAluH 
   bhavati, na vyāpannacitto bhavati, na mithyādṛṣṭir bhavati, na cāsya	Bavati, na vyApanna cittaH Bavati, na miTyAdRzwiH Bavati, na ca asya
   srāvakapratyekabuddhabhūmau cittaṃ krāmati, tāni ca kuśalamūlāni	srAvaka pratyekabudDa BUmO cittam krAmati, tAni ca kuSala mUlAni
   sarvasattvasādhāraṇāni kṛtvānuttarāyai samyaksaṃbodhaye pariṇāmayati,	sarva sattva sADAraNAni kRtvA anuttarAyE samyaksaMboDaye pariNAmayati,
   tathā ca pariṇāmayati yathāsya trividhā buddhir na pravartate, ka eṣa	taTA ca pariNAmayati yaTA asya triviDA budDiH na pravartate, kaH eza
   pariṇāmayati, kiṃ vā pariṇāmayati, kutra vā pariṇāmayati. evaṃ khalu	pariNAmayati, kim vA pariNAmayati, kutra vA pariNAmayati. evam Kalu
   subhūte bodhisattvo mahāsattvaḥ kṣāntipāramitāyāṃ sthitvā śīlapāramitāṃ	suBUte boDisattvaH mahAsattvaH kzAnti pAramitAyAm sTitvA SIla pAramitAm
   parigṛhṇāti.	parigRhNAti.
   subhūtir āha: kathaṃ bhagavan bodhisattvo mahāsattvaḥ kṣāntipāramitāyāṃ	suBUtiH Aha: kaTam Bagavan boDisattvaH mahAsattvaH kzAnti pAramitAyAm
   sthitvā vīryapāramitāṃ parigṛhṇāti?	sTitvA vIrya pAramitAm parigRhNAti?
   bhagavān āha: iha subhūte bodhisattvo mahāsattvaḥ kṣāntipāramitāyāṃ	BagavAn Aha: iha suBUte boDisattvaH mahAsattvaH kzAnti pAramitAyAm
   (PSP_5:88) sthitvā vīryaṃ sa vyañjanayati, nāhaṃ yojanaṃ vā gatvā	(PSu _5:88) sTitvA vIryam sa vyaQjanayati, na aham yojanam vA gatvA
   yojanaśataṃ vā yojanasahasraṃ vā yojanaśatasahasraṃ vā yojanakoṭī	yojana Satam vA yojana sahasram vA yojana Sata sahasram vA yojana kowI
   niyutaśatasahasraṃ vā, lokadhātuṃ vā lokadhātuśataṃ vā lokadhātusahasraṃ	niyuta Sata sahasram vA, lokaDAtum vA loka DAtu Satam vA lokaDAtu sahasram
   vā lokadhātuśatasahasraṃ vā lokadhātuniyutaśatasahasraṃ vā lokadhātukoṭīṃ	vA loka DAtu Sata sahasram vA lokaDAtu niyuta Sata sahasram vA lokaDAtu kowIm
   vā lokadhātukoṭīśataṃ vā lokadhātukoṭīsahasraṃ vā	vA lokaDAtu kowI Satam vA lokaDAtu kowI sahasram vA
   lokadhātukoṭīśatasahasraṃ vā lokadhātukoṭīniyutaśatasahasraṃ vā gatvā	lokaDAtu kowI Sata sahasram vA lokaDAtu kowI niyuta Sata sahasram vA gatvA
   tatrāntaśa ekasattvam api śaraṇagamanaśikṣāpadeṣu na pratiṣṭhāpayeyaṃ	tatra antaSas eka sattvam api SaraNa gamana SikzA padezu na pratizWApayeyam
   srotaāpattiphale vā sakṛdāgāmiphale vā anāgāmiphale vā arhattvaphale vā na	srotaApatti Pale vA sakRdAgAmi Pale vA anAgAmi Pale vA arhat tva Pale vA na
   pratiṣṭhāpayeyaṃ pratyekabodhau vā na pratiṣṭhāpayeyam anuttarāyāṃ vā	pratizWApayeyam pratyeka boDO vA na pratizWApayeyam anuttarAyAm vA
   samyaksaṃbodhau na pratiṣṭhāpayeyaṃ, tāni ca kuśalamūlāni sarvasattvaiḥ	samyaksaMboDO na pratizWApayeyan, tAni ca kuSala mUlAni sarva sattvEH
   sārdhaṃ sādhāraṇāni kṛtvānuttarāyai samyaksaṃbodhaye pariṇāmayati tathā ca	sArDam sADAraNAni kRtvA anuttarAyE samyaksaMboDaye pariNAmayati taTA ca
