   śrī-jayadeva-gosvāmi-viracitaṃ	SrI-jayadeva--go-svAmi-viracitam
   anyārthaṃ gatayor bhramān militayoḥ sambhāṣaṇair jānator dampatyor iha ko	anya-arTam gatayoH BramAt militayoH samBAzaNEH jAnatoH dampatyoH iha ko
   na ko na tamasi vrīḍā-vimiśro rasaḥ || GG_5.18 ||	na kaH na tamasi vrIxA--vimiSraH rasaH || Gu-_5.18 ||
   sa-bhaya-cakitaṃ vinyasyantīṃ dṛśaṃ timire pathi pratitaru muhuḥ sthitvā	sa-Baya-cakitam vinyasyantIm dRSam timire paTi pratitaru muhur sTitvA
   mandaṃ padāni vitanvatīm |	mandam padAni vitanvatIm |
   katham api rahaḥ prāptām aṅgair anaṅga-taraṇgibhiḥ sumukhi subhagaḥ paśyan	kaTam api rahaH prAptAm aFgEH anaFga-taraNgiBiH su-muKi suBagaH paSyan
   sa tvām upaitu kṛtārthatām || GG_5.19 ||	sa tvAm upEtu kRtArTa-tAm || Gu-_5.19 ||
   rādhā-mugdha-mukhāravinda-madhupas trailokya-mauli-sthalī	rADA--mugDa--muKa-aravinda--maDupaH trElokya--mOli-sTalI
   nepathyocita-nīla-ratnam avanī-bhārāvatārāntakaḥ |	nepaTya-ucita--nIla-ratnam avanI-BAra-avatAra-antakaH |
   svacchandaṃ vraja-sundarī-jana-manas-toṣa-pradoṣodayaḥ	svacCandam vraja--sundarI-jana--manas--toza--pradoza-udayaH
   kaṃsa-dhvaṃsana-dhūma-ketur avatu tvāṃ devakī-nandanaḥ || GG_5.20 ||	kaMsa--DvaMsana-DUma-ketuH avatu tvAm devakI-nandanaH || Gu-_5.20 ||
   iti śrī-gīta-govinde'bhisārikā-varṇane sākāṅkṣa-puṇḍarīkākso nāma	iti SrI--gIta-govinde-aBisArikA-varNane sAkAFkza-puNxarIkAksaH nAma
   pañcamaḥ sargaḥ	paQcamaH sargaH
   ṣaṣṭhaḥ sargaḥ	zazWaH sargaH
   sotkaṇṭha-vaikuṇṭhaḥ	sa-utkaNWa-vEkuNWaH
   NOTE: {dhanya-vaikuṇṭha-kuṅkumaḥ iti kvacit dṛśyate }	NOTE: {Danya--vEkuNWa-kuFkumaH iti kvacid dRSyate }
   atha tāṃ gantum aśaktāṃ ciram anuraktāṃ latā-gṛhe dṛṣṭvā |	aTa tAm gantum aSaktAm ciram anuraktAm latA-gRhe dRzwvA |
   tac-caritaṃ govinde manasija-mande sakhī prāha || GG_6.1 ||	tat---caritam govinde manasija--mande saKI prAha || Gu-_6.1 ||
   || prabandhaḥ 12 ||	|| prabanDaH 12 ||
   guṇakarī-rāgena rūpaka-tālena gīyate |	guNa-karI--rAgena rUpa-ka-tAlena gIyate |
   paśyati diśi diśi rahasi bhavantam |	paSyati diSi diSi rahasi Bavantam |
   tad-adhara-madhura-madhūni pibantam || GG_6.2 ||	tad--aDara--maDura--maDUni pibantam || Gu-_6.2 ||
   nātha hare sīdati rādhā vāsa-gṛhe || dhru. ||	nATa hare sIdati rADA vAsa-gRhe || Dru. ||
   tvad-abhisaraṇa-rabhasena valantī |	tvad--aBisaraNa--raBasena valantI |
   patati padāni kiyantī calantī || GG_6.3 ||	patati padAni kiyantI calantI || Gu-_6.3 ||
   vihita-viśada-bisa-kiśalaya-valayā |	vihita--viSada-bisa-ki-Sala-ya-valayA |
   jīvati param iha tava rati-kalayā || GG_6.4 ||	jIvati param iha tava rati-kalayA || Gu-_6.4 ||
   muhur avalokita-maṇḍana-līlā |	muhur avalokita--maNxana--lIlA |
   madhu-ripur aham iti bhāvana-śīlā || GG_6.5 ||	maDu-ripuH aham iti BAvana--SIlAH || Gu-_6.5 ||
   tvaritam upaiti na katham abhisāram |	tvaritam upEti na kaTam aBisAram |
   harir iti vadati sakhīm anuvāram || GG_6.6 ||	hariH iti vadati saKIm anuvAram || Gu-_6.6 ||
   śliṣyati cumbati jala-dhara-kalpam |	Slizyati cumbati jala-Dara--kalpam |
   harir upagata iti timiram analpam || GG_6.7 ||	hariH upagataH iti timiram analpam || Gu-_6.7 ||
   bhavati vilambini vigalita-lajjā |	Bavati vilambini vigalita--lajjA |
   vilapati roditi vāsaka-sajjā || GG_6.8 ||	vilapati roditi vAsaka--sajjA || Gu-_6.8 ||
   śrī-jayadeva-kaver idam uditam |	SrI-jayadeva--kaveH idam uditam |
   rasika-janaṃ tanutām atimuditam || GG_6.9 ||	rasika-janam tanu-tAm ati-muditam || Gu-_6.9 ||
   vipula-pulaka-pāliḥ sphīta-sīt-kāram antar-janita-jaḍimam-kāku-vyākulaṃ	vipula--pulaka-pAliH sPIta--sIt-kAram antar--janita--jaximam--kAku-vyAkulam
   vyāharantī |	vyAharantI |
   tava kitava vidhāyāmanda-kandarpa-cintāṃ rasa-jala-nidhi-magnā	tava kitava viDAya-amanda--kandarpa-cintAm rasa--jala--niDi-magnA
   dhyāna-lagnā mṛgakṣī || GG_6.10 ||	DyAna--lagnA mRgakzI || Gu-_6.10 ||
   aṅgeṣv ābharaṇaṃ karoti bahuśaḥ patre'pi sañcāriṇī prāptaṃ tvāṃ	aFgezu ABaraNam karoti bahuSas patre-api saQcAriNI prAptam tvAm
   pariśaṅkate vitanute śayyāṃ ciraṃ dhyāyati |	pariSaFkate vitanute SayyAm ciram DyAyati |
   ity ākalpa-vikalpa-talpa-racanā-saṅkalpa-līlā-śata-vyāsaktāpi vinā tvayā	iti Akalpa--vikalpa--talpa--racanA--saFkalpa--lIlA--Sata--vyAsaktA-api vinA tvayA
   vara-tanur naiṣā niśāṃ neṣyati || GG_6.11 ||	vara-tanuH na-ezA niSAm nezyati || Gu-_6.11 ||
   kiṃ viśrāmyasi kṛṣṇa-bhogi-bhavane bhāṇḍīra-bhūmī-ruhi bhrātar yāsi na	kim viSrAmyasi kRzNa---Bogi--Bavane BANxIra--BUmI-ruhi BrAtar yAsi na
   dṛṣṭi-gocaram itaḥ sānanda-nandāspadam |	dRzwi-gocaram itas sa-Ananda-nanda-Aspadam |
   rādhāyā vacanaṃ tad adhvaga-mukhān nandāntike gopato govindasya jayanti	rADAyAH vacanam tat aDva-ga-muKAn nanda-antike gopataH govindasya jayanti
   sāyam atithi-prāśastya-garbhā giraḥ || GG_6.12 ||	sAyam atiTi-prASastya--garBAH giraH || Gu-_6.12 ||
   iti śrī-gīta-govinde'bhisārikā-varṇane dhanya-vaikuṇṭho nāma	iti SrI--gIta-govinde-aBisArikA-varNane Danya-vEkuNWaH nAma
   ṣaṣṭhaḥ sargaḥ	zazWaH sargaH
   saptamaḥ sargaḥ	saptamaH sargaH
   nāgara-nārāyaṇaḥ	nAgara-nArAyaNaH
   atrāntare ca kulaṭā-kula-vartma-ghāṭa-sañjāta-pātaka iva	atra-antare ca kulawA--kula--vartma--GAwa--saQjAta--pAtakaH iva
   sphuṭa-lāñchana-śrīḥ |	sPuwa--lAQCana--SrIH |
   NOTE: {pāta- iti pāṭhāntaraḥ.}	NOTE: {pAta iti pAWA-antaraH.}
   vṛndāvanāntaram adīpayad aṃśu-jālair dik-sundarī-vadana-candana-bindur	vRndAvana-antaram adIpayat aMSu--jAlEH dik-sundarI--vadana--candana--binduH-
   induḥ || GG_7.1 ||	induH || Gu-_7.1 ||
   prasarati śaśa-dhara-bimbe vihita-vilambe ca mādhave vidhurā |	prasarati SaSa-Dara--bimbe vihita--vilambe ca mADave viDurA |
   viracita-vividha-vilāpaṃ saparitāpaṃ cakāroccaiḥ || GG_7.2 ||	viracita-viviDa--vilApam sa-paritApam cakAra-uccEs || Gu-_7.2 ||
   || prabandhaḥ 13 ||	|| prabanDaH 13 ||
   mālava-rāga-yati-tālābhyāṃ gīyate |	mAlava---rAga-yati--tAlAByAm gIyate |
   NOTE: {pratimaṇṭha-}	NOTE: {pratimaNWa-}
   kathita-samaye'pi harir ahaha na yayau vanam |	kaTita--samaye-api hariH ahaha na yayO vanam |
   mama viphalam idam amala-rūpam api yauvanam || GG_7.3 ||	mama viPalam idam amala---rUpam api yOvanam || Gu-_7.3 ||
   yāmi he kam iha śaraṇaṃ sakhī-jana-vacana-vañcitā ||dhruva||||	yAmi he kam iha SaraNam saKI--jana---vacana--vaQcitA ||Druva||||
   yad-anugamanāya niśi gahanam api śīlitam |	yat--anugamanAya niSi gahanam api SIlitam |
   tena mama hṛdayam idam asama-śara-kīlitam || GG_7.4 ||	tena mama hRdayam idam asama-Sara--kIlitam || Gu-_7.4 ||
   mama maraṇam eva varam iti vitatha-ketanā |	mama maraNam eva varam iti vitaTa--ketanA |
   NOTE: {iha iti ni-pāṭhāntaraḥ.}	NOTE: {ihaH iti ni-pAWa-antaraH.}
   NOTE: {ativitatha-cetaneti ṭīkā-dhṛta-pāṭhāntaraḥ.}	NOTE: {ati-vitaTa--cetanA-iti wIkA--DRta--pAWa-antaraH.}
   kim iha viṣahāmi virahānalam acetanā || GG_7.5 ||	kim iha vizahAmi viraha-analam acetanAH || Gu-_7.5 ||
   mām ahaha vidhurayati madhura-madhu-yāminī |	mAm ahaha viDurayati maDura-maDu-yAminI |
   kāpi harim anubhavati kṛta-sukṛta-kāminī || GG_7.6 ||	kA-api harim anuBavati kRta--sukRta--kAminI || Gu-_7.6 ||
   ahaha kalayāmi valayādi-maṇi-bhūṣaṇam |	ahaha kalayAmi valaya-Adi--maNi--BUzaNam |
   hari-viraha-dahana-vahanena bahu-dūṣaṇam || GG_7.7 ||	hari-viraha--dahana-vahanena bahu-dUzaNam || Gu-_7.7 ||
   kusuma-sukumāra-tanum atanu-śara-līlayā |	kusuma-sukumAra--tanum atanu--Sara--lIlayA |
   srag api hṛdi hanti mām ativiṣama-śilayā || GG_7.8 ||	sraj api hRdi hanti mAm ati-viza-ma-SilayA || Gu-_7.8 ||
   aham iha nivasāmi na-gaṇita-vana-vetasā |	aham iha nivasAmi na--gaNita-vana--vetasA |
   smarati madhusūdano mām api na cetasā || GG_7.9 ||	smarati maDusUdanaH mAm api na cetasA || Gu-_7.9 ||
   hari-caraṇa-śaraṇa-jayadeva-kavi-bhāratī |	hari-caraNa--SaraNa--jaya-deva-ka-vi-BAratI |
   vasatu hṛdi yuvatir iva komala-kalāvatī || GG_7.10 ||	vasatu hRdi yuvatiH iva komala-kalAvatI || Gu-_7.10 ||
   tat kiṃ kām api kāminīm abhisṛtaḥ kiṃ vā kalā-kelibhir baddho bandhubhir	tat kim kAm api kAminIm aBisRtaH kim vA kalA--keliBiH badDaH banDuBiH-
   andhakāriṇi vanābhyarṇe kim udbhrāmyati |	anDakAriNi vana-aByarNe kim udBrAmyati |
   kāntaḥ klānta-manā manāg api pathi prasthātum evākṣamaḥ	kAntaH klAnta-manAH manAk api paTi prasTAtum eva-akzamaH
   saṅketī-kṛta-mañju-vāñjula-latā-kuñje'pi yan nāgataḥ || GG_7.11 ||	saFketI-kRta-maQju--vAQjula--latA-kuQje-api yat na-AgataH || Gu-_7.11 ||
   athāgatāṃ mādhavam antareṇa sakhīm iyaṃ vīkṣya viṣāda-mūkām |	aTa-AgatAm mADavam antareNa saKIm iyam vIkzya vizAda-mUkAm |
   viśaṅkamānā ramitaṃ kayāpi janārdanaṃ dṛṣṭavad etad āha || GG_7.12 ||	viSaFkamAnA ramitam kayA-api janArdanam dRzwa-vat etat Aha || Gu-_7.12 ||
   || prabandhaḥ 14 ||	|| prabanDaH 14 ||
   vasanta-rāga-yati-tālābhyāṃ gīyate |	vasanta-rAga-yati--tAlAByAm gIyate |
   smara-samarocita-viracita-veśā |	smara--sama-rocita-viracita--veSA |
   galita-kusuma-dara-vilulita-keśā || GG_7.13 ||	galita--kusuma-dara--vilulita-keSAH || Gu-_7.13 ||
   kāpi madhuripuṇā vilasati yuvatir adhika-guṇā ||dhruva||||	kA-api maDuripuNA vilasati yuvatiH aDika-guNAH ||Druva||||
   hari-parirambhana-calita-vikārā |	hari--pariramBana--calita-vikArAH |
   NOTE: {valita iti ni-pāṭhāntaraḥ.}	NOTE: {valitaH iti ni-pAWa-antaraH.}
   kuca-kalaśopari taralita-hārā || GG_7.14 ||	kuca--kalaSa-upari taralita-hArAH || Gu-_7.14 ||
   vicalad-alaka-lalitānana-candrā |	vicalat--ala-ka-lalita-Anana--candrA |
   tad-adhara-pāna-rabhasa-kṛta-tandrā || GG_7.15 ||	tad--aDara--pAna---raBasa-kRta-tandrA || Gu-_7.15 ||
   cañcala-kuṇḍala-dalita-kapolā |	caQcala--kuNxala-dalita-kapolAH |
   mukharita-raśana-jaghana-gati-lolā || GG_7.16 ||	muKarita--raSana--jaGana-gati--lolAH || Gu-_7.16 ||
   dayita-vilokita-lajjita-hasitā |	dayita--vilokita--lajjita--hasitAH |
   bahu-vidha-kūjita-rati-rasa-rasitā || GG_7.17 ||	bahu-viDa--kUjita--rati--rasa--rasitAH || Gu-_7.17 ||
   vipula-pulaka-pṛthu-vepathu-bhaṅgā |	vipula--pulaka--pRTu--vepaTu-BaFgAH |
   śvasita-nimīlita-vikasad-anaṅgā || GG_7.18 ||	Svasita--nimIlita-vikasat--anaFgAH || Gu-_7.18 ||
   śrama-jala-kaṇa-bhara-subhaga-śarīrā |	Srama--jala--kaNa--Bara--suBaga--SarIrAH |
   paripatitorasi rati-raṇa-dhīrā || GG_7.19 ||	paripatita-urasi rati--raNa--DIrAH || Gu-_7.19 ||
   śrī-jayadeva-bhaṇita-hari-ramitam |	SrI-jaya-deva--BaNita--hari--ramitam |
   kali-kaluṣaṃ janayatu pariśamitam || GG_7.20 ||	kali-kaluzam janayatu pariSamitam || Gu-_7.20 ||
   viraha-pāṇḍu-murāri-mukhāmbuja-dyutir ayaṃ tirayann api vedanām |	viraha--pANxu-murAri--muKa-ambuja--dyutiH ayam tirayan api vedanAm |
   vidhur atīva tanoti mano-bhuvaḥ suhṛd aye hṛdaye madana-vyathām || GG_7.21	viDuH atIva tanoti mano--BuvaH suhRd aye hRdaye madana--vyaTAm || Gu-_7.21
   || prabandhaḥ 15 ||	|| prabanDaH 15 ||
   gurjarī-rāgaika-tāli-tālena gīyate |	gurjarI--rAga-eka-tAli-tAlena gIyate |
   samudita-madane ramaṇī-vadane cumbana-valitādhare |	samudita--madane ramaNI--vadane cumbana-valita-aDare |
   mṛga-mada-tilakaṃ likhati sapulakaṃ mṛgam iva rajanī-kare || GG_7.22 ||	mRga-mada-tilakam liKati sa-pulakam mRgam iva rajanI--kare || Gu-_7.22 ||
   ramate yamunā-pulina-vane vijayī murārir adhunā ||dhruva||||	ramate yamunA--pulina-vane vijayI murAriH aDunA ||Druva||||
   ghana-caya-rucire racayati cikure taralita-taruṇānane |	Gana--caya--rucire racayati cikure taralita-taruNa-Anane |
   kurubaka-kusumaṃ capalā suṣamaṃ rati-pati-mṛga-kānane || GG_7.23 ||	kurubaka-kusumam capalA suzamam rati-pati--mRga-kAnane || Gu-_7.23 ||
   ghaṭayati sughane kuca-yuga-gagaṇe mṛga-mada-ruci-rūṣite |	Gawayati su-Gane kuca-yuga-ga-gaNe mRga-mada-ruci-rUzite |
   maṇi-saram amalaṃ tāraka-paṭalaṃ nakha-pada-śaśi-bhūṣite || GG_7.24 ||	maNi-saram amalam tAraka-pawalam naKa-pada-SaSi--BUzite || Gu-_7.24 ||
   jita-bisa-śakale mṛdu-bhuja-yugale kara-tala-nalinī-dale |	jita-bisa-Sakale mRdu-Buja--yugale kara-tala-nalinI--dale |
   marakata-valayaṃ madhukara-nicayaṃ vitarati hima-śītale || GG_7.25 ||	marakata--valayam maDukara--nicayam vitarati hima-SItale || Gu-_7.25 ||
   rati-gṛha-jaghane vipulāpaghane manasija-kanakāsane |	rati-gRha--jaGane vipula-apaGane manasi-ja--kanaka-Asane |
   maṇi-maya-raśanaṃ toraṇa-hasanaṃ vikirati kṛta-vāsane || GG_7.26 ||	maNi-maya--raSanam toraNa--hasanam vikirati kRta--vAsane || Gu-_7.26 ||
   caraṇa-kiśalaye kamalā-nilaye nakha-maṇi-gaṇa-pūjite |	caraNa--kiSalaye kamalA--nilaye naKa-maNi--gaNa--pUjite |
   bahir-apavaraṇaṃ yāvaka-bharaṇaṃ janayati hṛdi yojite || GG_7.27 ||	bahis--apavaraNam yAvaka-BaraNam janayati hRdi yojite || Gu-_7.27 ||
   ramayati subhṛśaṃ kam api sudṛśaṃ khala-haladhara-sodare |	ramayati su-BRSam kam api sudRSam Kala-halaDara--sodare |
   kim aphalam avasaṃ ciram iha virasaṃ vada sakhi viṭapodare || GG_7.28 ||	kim aPalam avasam ciram iha virasam vada saKi viwapa-udare || Gu-_7.28 ||
   iha rasa-bhaṇane kṛta-hari-guṇane madhuripu-pada-sevake |	iha rasa--BaNane kRta--hari--guNane maDuripu-pada--sevake |
   kali-yuga-caritaṃ na vasatu duritaṃ kavi-nṛpa-jayadevake || GG_7.29 ||	kali--yuga--caritam na vasatu duritam kavi--nRpa-jayadevake || Gu-_7.29 ||
   NOTE: {racitam iti kvacit dṛśyate.}	NOTE: {racitam iti kvacid dRSyate.}
   nāyātaḥ sakhi nirdayo yadi śaṭhas tvaṃ dūti kiṃ dūyase svacchandaṃ	na-AyAtaH saKi nirdayaH yadi SaWaH tvam dUti kim dUyase svacCandam
   bahu-vallabhaḥ sa ramate kiṃ tatra te dūṣaṇam |	bahu-vallaBaH sa ramate kim tatra te dUzaNam |
   paśyādya priya-saṅgamāya dayitasyākṛṣyamāṇaṃ guṇair utkaṇṭhārti-bharād iva	paSya-adya priya--saFgamAya dayitasya-AkRzyamANam guNEH utkaNWA-Arti-BarAt iva
   sphuṭad idaṃ cetaḥ svayam yāsyati || GG_7.30 ||	sPuwat idam cetaH svayam yAsyati || Gu-_7.30 ||
   || prabandhaḥ 16 ||	|| prabanDaH 16 ||
   deśavarāḍi-rāgeṇa rūpaka-tālena gīyate |	deSa-varAxi--rAgeNa rUpa-ka-tAlena gIyate |
   anila-tarala-kuvalaya-nayanena |	anila--tarala--kuvalaya--nayanena |
   tapati na sā kiśalaya-śayanena || GG_7.31 ||	tapati na sA kiSala-ya--Sayanena || Gu-_7.31 ||
   sakhi yā ramitā vana-mālinā ||dhruva-padam ||	saKi yA ramitA vana-mAlinA ||Druva-padam ||
   vikasita-sarasija-lalita-mukhena |	vikasita--sarasija---lalita-muKena |
   sphuṭati na sā manasija-viśikhena || GG_7.32 ||	sPuwati na sA manasija--viSiKena || Gu-_7.32 ||
   amṛta-madhura-mṛdu-tara-vacanena |	amRta--maDura--mRdu-tara--vacanena |
   jvalati na sā malayaja-pavanena || GG_7.33 ||	jvalati na sA malayaja--pavanena || Gu-_7.33 ||
   sthala-jala-ruha-ruci-kara-caraṇena |	sTala--jala--ruha--ruci-kara--caraNena |
   luṭhati na sā hima-kara-kiraṇena || GG_7.34 ||	luWati na sA hima-kara--kiraNena || Gu-_7.34 ||
   sajala-jalada-samudaya-rucireṇa |	sa-jala--jalada--samudaya--rucireNa |
   dalati na sā hṛdi cira-viraheṇa || GG_7.35 ||	dalati na sA hRdi cira--viraheNa || Gu-_7.35 ||
   NOTE: {viraha-bhareṇa iti haridāsa-saṃskaraṇe }	NOTE: {viraha--BareNa iti haridAsa--saMskaraNe }
   kanaka-nikaṣa-ruci-śuci-vasanena |	kanaka-nikaza--ruci--Suci-vasanena |
   śvasiti na sā parijana-hasanena || GG_7.36 ||	Svasiti na sA parijana--hasanena || Gu-_7.36 ||
   sakala-bhuvana-jana-vara-taruṇena |	sakala--Buvana--jana-vara--taruNena |
   vahati na sā rujam atikaruṇena || GG_7.37 ||	vahati na sA rujam ati-karuNena || Gu-_7.37 ||
   śrī-jayadeva-bhaṇita-vacanena |	SrI-jaya-deva--BaNita--vacanena |
   praviśatu harir api hṛdayam anena || GG_7.38 ||	praviSatu hariH api hRdayam anena || Gu-_7.38 ||
   mano-bhavānandana candanānila prasīda re dakṣiṇa muñca vāmatām |	mano-Bava-Anandana candana-anila prasIda re dakziNa muQca vAma-tAm |
   kṣaṇaṃ jagat-prāṇa nidāya mādhavaṃ puro mama prāṇa-haro bhaviṣyasi ||	kzaNam jagat-prANa nidAya mADavam puras mama prANa-haraH Bavizyasi ||
   GG_7.39 ||	Gu-_7.39 ||
   NOTE: {nidhāya iti ni-pāṭhāntaraḥ.}	NOTE: {niDAya iti ni-pAWa-antaraH.}
   ripur iva sakhi-saṃvāso'yaṃ śikhīva himānilo viṣam iva sudhā-raśmir yasmin	ripuH iva saKi--saMvAsaH-ayam SiKI-iva hima-anilaH vizam iva suDA-raSmiH yasmin
   dunoti mano-gate |	dunoti mano--gate |
   hṛdayam adaye tasmin naivaṃ punar valate balāt kuvalaya-dṛśāṃ vāmaḥ kāmo	hRdayam adaye tasmin na-evam punar valate balAt kuvalaya-dRSAm vAmaH kAmaH-
   nikāma-niraṇkuśaḥ || GG_7.40 ||	nikAma--niraNkuSaH || Gu-_7.40 ||
   bādhāṃ vidhehi malayānila pañca-bāṇa prāṇān gṛhāṇa na gṛhaṃ punar	bADAm viDehi malaya-anila paQca-bANa prANAn gRhANa na gRham punar-
   āśrayiṣye |	ASrayizye |
   kiṃ te kṛtānta-bhagini kṣamayā taraṅgair aṅgāni siñca mama śāmyatu	kim te kRtAnta-Bagini kzamayA taraFgEH aFgAni siQca mama SAmyatu
   deha-dāhaḥ || GG_7.41 ||	deha-dAhaH || Gu-_7.41 ||
   prātar nīla-nicolam acyutam uraḥ saṃvīta-pītāṃśukaṃ rādhāyāś cakitaṃ	prAtar nIla--nicolam acyutam uraH saMvIta--pIta-aMSukam rADAyAH cakitam
   vilokya hasati svairaṃ sakhi-maṇḍale |	vilokya hasati svEram saKi--maNxale |
   vrīḍā-cañcalam añcalaṃ nayanayor ādhāya rādhānane svādu-smera-mukho'yam	vrIxA--caQcalam aQcalam nayanayoH ADAya rADa-Anane svAdu--smera-muKaH-ayam
   astu jagad-ānandāya nandātmajaḥ || GG_7.42 ||	astu jagat--AnandAya nanda-AtmajaH || Gu-_7.42 ||
   iti śrī-gīta-govinda-mahākāvye vipralabdhā-varṇane	iti SrI--gIta-govinda--mahAkAvye vipralabDa-a-varNane
   nāgara-nārāyaṇo nāma	nAgara-nArAyaNaH nAma
   saptamaḥ sargaḥ	saptamaH sargaH
   aṣṭamaḥ sargaḥ	azwamaH sargaH
   vilakṣa-lakṣmīpatiḥ	vilakza--lakzmI-patiH
   atha katham api yāminīṃ vinīya smara-śara-jarjaritāpi sā prabhāte |	aTa kaTam api yAminIm vinIya smara-Sara-jarjaritA-api sA praBAte |
   anunaya-vacanaṃ vadantam agre praṇatam api priyaṃ āha sābhyasūyam ||	anunaya-vacanam vadantam agre praNatam api priyam Aha sa-aByasUyam ||
   GG_8.1 ||	Gu-_8.1 ||
   || prabandhaḥ 17 ||	|| prabanDaH 17 ||
   bhairavi-rāga-yati-tālābhyāṃ gīyate |	BEravi-rAga-yati--tAlAByAm gIyate |
   rajani-janita-guru-jāgara-rāga-kaṣāyitam alasa-nimeṣam |	rajani-janita---guru--jAgara--rAga--kazAyitam alasa-nimezam |
   vahati nayanam anurāgam iva sphuṭam udita-rasābhiniveśam || GG_8.2 ||	vahati nayanam anurAgam iva sPuwam udita-rasa-aBiniveSam || Gu-_8.2 ||
   hari hari yāhi mādhava yāhi keśava mā vada kaitava-vādam |	hari hari yAhi mADava yAhi keSava mA vada kEtava-vAdam |
   tām anusara sarasīruha-locana yā tava harati viṣādam || dhru. ||	tAm anusara sarasIruha--locana yA tava harati vizAdam || Dru. ||
   kajjala-malina-vilocana-cumbana-viracita-nīlima-rūpam |	kajjala--malina--vilocana--cumbana-viracita--nIlim-a-rUpam |
   daśana-vasanam aruṇ aṃ tava krsṇa tanoti tanor anurūpam || GG_8.3 ||	daSana-vasanam aruj am tava krsNa tanoti tanoH anurUpam || Gu-_8.3 ||
   vapur anuharati tava smara-saṅgara-khara-nakhara-kṣata-rekham |	vapuH anuharati tava smara--saFgara--Kara--naKara--kzata-reKam |
   marakata-śakala-kalita-kala-dhauta-liper iva rati-jaya-lekham || GG_8.4 ||	maraka-ta-Sakala--kalita-kala-DOta-lipeH iva rati-jaya--leKam || Gu-_8.4 ||
   caraṇa-kamala-galad-alaktaka-siktam idaṃ tava hṛdayam udāram |	caraNa--kamala--gala-t--alaktaka--siktam idam tava hRdayam udAram |
   darsayatīva bahir madana-druma-nava-kiśalaya-parivāram || GG_8.5 ||	darsayati-iva bahis madana--druma-nava-ki-Sala-ya--parivAram || Gu-_8.5 ||
   daśana-padaṃ bhavad-adhara-gataṃ mama janayati cetasi khedam |	daSana--padam Bavat--aDara--gatam mama janayati cetasi Kedam |
   kathayati katham adhunāpi mayā saha tava vapur etad abhedam || GG_8.6 ||	kaTayati kaTam aDunA-api mayA saha tava vapuH etat aBedam || Gu-_8.6 ||
   bahir iva malinataraṃ tava kṛṣṇa mano'pi bhaviṣyati nūnam |	bahis iva malinataram tava kRzNa manaH-api Bavizyati nUnam |
   katham atha vañcayase janam anugatam asama-śara-jvara-dūnam || GG_8.7 ||	kaTam aTa vaQcayase janam anugatam asama-Sara--jvara-dUnam || Gu-_8.7 ||
   bhramati bhavān abalā-kavalāya vaneṣu kim atra vicitram |	Bramati BavAn abalA--kavalAya vanezu kim atra vicitram |
   prathayati pūtanikaiva vadhū-vadha-nirdaya-bāla-caritram || GG_8.8 ||	praTayati pUtanikA-eva vaDU-vaDa--nirdaya-bAla--caritram || Gu-_8.8 ||
   śrī-jayadeva-bhaṇita-rati-vañcita-khaṇḍita-yuvati-vilāpam |	SrI-jaya-deva--BaNita-rati-vaQcita--KaNxita--yuvati--vilApam |
   śṛṇuta sudhā-madhuraṃ vibudhā vibudhālayato'pi durāpam || GG_8.9 ||	SRNuta suDA--maDuram vibuDAH vibuDa-AlayataH-api durApam || Gu-_8.9 ||
   tavedaṃ paśyantyāḥ prasarad-anurāgaṃ bahir iva priyā-pādālakta-cchuritam	tava-idam paSyantyAH prasara-t--anurAgam bahis iva priyA--pAda-alakta--=-Curitam
   aruṇa-cchāya-hṛdayam |	aruNa--=-CAya-hRdayam |
   NOTE: {dyoti-}	NOTE: {dyoti-}
   mamādya prakhyāta-praṇaya-bhara-bhaṅgena kitava tvad-ālokaḥ śokād api kim	mama-adya praKyAta--praNaya--Bara--BaFgena kitava tvad--AlokaH SokAt api kim
   api lajjāṃ janayati || GG_8.10 ||	api lajjAm janayati || Gu-_8.10 ||
   antar-mohana-mauli-ghūrṇana-calan-mandāra-visraṃśana-stambhākarṣaṇa-dṛṣṭi-harṣaṇa-mahā-mantraḥ	antar--mohana--mOli-GUrNana--calan--mandAra--visraMSana--stamBa-AkarzaNa-dRzwi--harzaNa--mahA-mantraH
   kuraṅgī-dṛśām |	kuraFgI--dRSAm |
   NOTE: {vibhraṃśana}	NOTE: {viBraMSana}
   NOTE: {dṛpti}	NOTE: {dRpti}
   dṛpyad-dānava-dūyamāna-diviṣad-durvāra-duḥkhāpadāṃ bhraṃśaḥ kaṃsa-ripor	dRpyat--dAnava--dUyamAna--divizat---durvAra--duHKa-ApadAm BraMSaH kaMsa-ripoH-
   vyapohayatu vaḥ śreyāṃsi vaṃśī-ravaḥ || GG_8.11 ||	vyapohayatu vaH SreyAMsi vaMSI--ravaH || Gu-_8.11 ||
   NOTE: {vyapolayatu vaḥ śreyāṃsi iti ni-pāṭhaḥ.}	NOTE: {vyapolayatu vaH SreyAMsi iti ni-pAWaH.}
   iti śrī-śrī-gīta-govinde mahā-kāvye khaṇḍitā-varṇane	iti SrI-SrI-gIta-govinde mahA--kAvye KaNxita-a-varNane
   vilakṣa-lakṣmīpatir nāma	vilakza-lakzmIpatiH nAma
   aṣṭamaḥ sargaḥ	azwamaH sargaH
   navamaḥ sargaḥ	navamaH sargaH
   mugdha-mukundaḥ	mugDa--mukundaH
