   Śrāvakabhūmiḥ	ŚrAvaka BUmiH
   jīvinaḥ | apyeṣāmūṣmā yene[ya]masya āryasya prajñendriyasyotpattaye, na	jIvinaH | api ezAm UzmA yena i[ya]masya Aryasya prajQA indriyasya utpattaye, na
   mṛtā jīvantītyucyate | tenocyante mārgajīvina iti | tatra yoyaṃ pudgalo	mRtAH jIvantI iti ucyate | tena ucyante mArga jIvinaH iti | tatra yoyam pudgalaH 
   duḥśīlaḥ pāpadharmā yāvadabrahamacārī [brahmacārī] (ri) pratijñaḥ |	duHSIlaH pApa DarmA yAvat abrahamacArI [brahmacArI] (ri) pratijQaH |
   ayamucyate mārgadūṣī dūṣitonena mārgo bhavati mūlata āditaḥ |	ayam ucyate mArga dUzI dUzita Unena mArgaH Bavati mUlataH Aditas |
   yenāyamabhavyo bhavatyapratiabalaḥ | abhājanabhūto mārgasyotpattaye |	yena ayam aBavyaH Bavati apratia balaH | aBAjana BUtaH mArgasya utpattaye |
   satyāṃ saṃvidyamānāyāṃ mārgadeśanāyāṃ sati saṃvidyamānedhigame [|] (Śbh_Sh	satyAm saMvidyamAnAyAm mArga deSanAyAm sati saMvid yamAneDi game [|] (ŚB_Sh
   340) tasmānmārgadūṣītyucyate |	340) tasmAt mArgadUzI iti ucyate |
   idaṃ ca sandhāyoktaṃ bhagavatā | iha katamaḥ śramaṇaḥ | iha yāvaccaturthaḥ	idam ca sanDAya uktam BagavatA | iha katamaH SramaNaH | iha yAvat caturTaH
   | śūnyāḥ parapravādāḥ | śramaṇaibrahmiṇaiśca | yatrāryāṣṭāṃgo mārgaḥ	| SUnyAH para pravAdAH | SramaNa ebrahmiNEH ca | yatra Arya azwa aMgaH mArgaH
   prajñāyate | tatra prathamaśramaṇastatra yāvaccaturtha iti ||	prajQAyate | tatra praTama SramaNaH tatra yAvat caturTaH iti ||
   tatra (ya) trayo brāhmaṇāḥ | tadyathā jātibrāhmaṇaḥ | saṃjñābrāhmaṇaḥ |	tatra (ya) trayaH brAhmaNAH | tat yaTA jAti brAhmaNaH | saMjQA brAhmaNaH |
   pratipattibrāhmaṇaśca | tatra jātibrāhmaṇaḥ | yoyaṃ jātibrāhmaṇaḥ	pratipatti brAhmaNaH ca | tatra jAti brAhmaNaH | yoyam jAti brAhmaNaH
   kulajāto, yonijo, mātṛsambhūtaḥ | utpanno mātṛtaḥ, pitṛtaḥ | tatra	kula jAto, yoni jo, mAtR samBUtaH | utpannaH mAtRtaH, pitRtaH | tatra
   saṃjñābrāhmaṇa iti loke nāma bhavati, saṃjñā, samājñā,	saMjQA brAhmaNaH iti loke nAma Bavati, saMjQA, samAjQA,
   prajñaptirvyavahāraḥ | pratipattibrāhmaṇaḥ | yotyantani(ntaṃ) bhavati	prajQaptiH vyavahAraH | pratipatti brAhmaNaH | yoti anta ni(ntaM) Bavati
   kṛtārthaḥ | vāhitā bhavantyanena pāpakā akuśalā dharmāḥ | (Śbh_Sh 341)	kRtArTaH | vAhitAH Bavanti anena pApakAH akuSalAH DarmAH | (ŚB_Sh 341)
   yathoktaṃ na kāryaṃ brāhmaṇasyāsti | kṛtārtho brāhmaṇaḥ smṛta iti |	yaTA uktam na kAryam brAhmaNasya asti | kRtArTaH brAhmaNaH smRtaH iti |
   tatra trayo brahmacāriṇaḥ | tadyathā viratisamādāyī | tadantaraprahāyī,	tatra trayaH brahmacAriNaH | tat yaTA virati samAdAyI | tad antara prahAyI,
   tadatyantaprahāyī ca | tatra viratisamādāyī | yo	tad atyanta prahAyI ca | tatra virati samAdAyI | yaH 
   brahmacaryā[t]punardharmātprativirato bhavati | samādattaśikṣaḥ | tatra	brahmacarya A[t]punar DarmAt prativirataH Bavati | samAdatta SikzaH | tatra
   tadantaraprahāyī yo laukikena mārgeṇa kāmavītarāgaḥ pṛthagjanaḥ | tatra	tad antara prahAyI yaH lOkikena mArgeNa kAma vIta rAgaH pRTagjanaH | tatra
   tadatyantaprahāyī | tadyathānāgāmī | arhatvātpunaḥ (arhanvā punaḥ) ||	tad atyanta prahAyI | tat yaTA anAgAmI | arha tvAt punar (arhan vA punar ) ||
   tatra pañca bhikṣavaḥ | bhikṣatīti bhikṣuḥ | pratijñābhikṣuḥ |	tatra paQca BikzavaH | Bikzati iti BikzuH | pratijQA aBikzuH |
   saṃjñābhikṣuḥ | bhinnakleśatvādbhikṣuḥ | jñapticaturthena	saMjQA aBikzuH | Binna kleSa tvAt BikzuH | jQapti caturTena
   karmaṇopasampādito bhikṣuḥ ||	karmaNA upasampAditaH BikzuH ||
   tatra trayo yatayaḥ | dauḥśīlyasaṃyamād yatiḥ | yokuśalād vākkāyakarmaṇaḥ	tatra trayaH yatayaH | dOHSIlya saMyamAt yatiH | yokuSalAt vAkkAya karmaNaH
   prativirataḥ | viṣayasaṃyamādyatiḥ | ya indriye guptadvāraḥ |	prativirataH | vizaya saMyamAt yatiH | yaH indriye gupta dvAraH |
   ārakṣitasmṛtiḥ | nipakasmṛti[ḥ |] vistareṇa pūrvavat | kleśasaṃyamādyatiḥ	Arakzita smRtiH | nipaka smRti[H |] vistareNa pUrvavat | kleSa saMyamAt yatiH
   | yasya darśanaprahātavyāḥ kleśāḥ prahīṇā utpannotpannañca | vitarkaṃ	| yasya darSana prahAtavyAH kleSAH prahINAH utpanna utpannaQca | vitarkam
   vyāpādavihi[taṃ]vitarkamabhidhyāvyāpādadṛṣṭimithyādṛṣṭikrodhopanāhamrakṣapradāśādīnyāpāyikāni	vyApAda vihi[taM]vitarkam aBiDyA vyApAda dRzwi miTyA dRzwi kroDa upanAhamrakza pradASa AdIn i ApAyikAni
   sthānāni nairayikāni(ṇi) | durgatigāmī[ni] (|)	sTAnAni nErayikA ni(Ni) | durgati gAmI[ni] (|)
   aśramaṇakārakāṇyutpannotpannāni nādhivāsayati | prajahāti | viśodhayati |	aSramaNa kArakANi utpanna utpannAni na aDivAsayati | prajahAti | viSoDayati |
   vyantīkaroti | so 'yaṃ dvividhaḥ kleśasaṃyamo bhavati | (Śbh_Sh 342)	vyantIkaroti | saH ayam dviviDaH kleSa saMyamaH Bavati | (ŚB_Sh 342)
   paryavasthānasaṃyama, ubhayasaṃyamaśca ||	paryavasTAna saMyama, uBaya saMyamaH ca ||
   tatra dvau pravrajitau | svāravyātadharmavinayo, durākhyātadharmavinayaśca	tatra dvO pravrajitO | svAra vyAta Darma vinayo, durAKyAta Darma vinayaH ca
   | tatra svākhyātadharmavinayaḥ | bhikṣurbhikṣuṇī, śikṣamāṇā, śrāmaṇera[ḥ],	| tatra su AKyAta Darma vinayaH | BikzuH BikzuNI, SikzamANA, SrAmaNeH a[H],
   śrāmaṇerī | api ca pravrājayatyātmanaḥ pāpakānakuśalān dharmān sa	SrAmaNerI | api ca pravrAjayati AtmanaH pApa kAn a kuSalAn DarmAn sa
   pravrajita ityucyate | paramārthataḥ | tatra durākhyātadharmavinayaḥ |	pravrajitaH iti ucyate | paramArTataH | tatra durAKyAta Darma vinayaH |
   tadyathā tīrthika[ḥ], parivrājo (vrāḍ), nirgrantho vā,	tat yaTA tIrTika[H], parivrAjaH (vrAx), nirgranTaH vA,
   parivrājakopāṇḍuroga iti | yo vā punarapyevaṃbhāgīyaḥ | tenāhaṃ (ha)	parivrAjaka upANxu rogaH iti | yaH vA punar api evaMBAgIyaH | tena aham (ha)
   śramaṇo, brāhmaṇo, brahmacārī, bhikṣuryatiḥ, pravra	SramaNo, brAhmaNo, brahmacArI, BikzuH yatiH, pravra
   [........................................] ra ca | kālaprabhedaḥ	[........................................] ra ca | kAla praBedaH
   dīrghakālabhāvitamārgo, na dīrghakālabhāvitamārgaśca | itīme catvāraḥ	dIrGa kAla BAvita mArgaH , na dIrGa kAla BAvita mArgaH ca | iti ime catvAraH
   prabhedāḥ kathaṃnidānāni bhavanti | yadvā saṃpra	praBedAH kaTaMnidAnAni Bavanti | yat vA saMpra
   [.........................................] jña upāyajña[ḥ] kuśala	[.........................................] jQaH upAya jQa[H] kuSala
   ityarthaḥ | sātatyapakṣe prayogo (gaḥ) sātatiko nipakva ityucyate |	iti arTaH | sAtatya pakze prayogaH (gaH) sAtatikaH nipakvaH iti ucyate |
   dīrghakālabhāvitabhāvita [...........................................]	dIrGa kAla BAvita BAvitaH [...........................................]
   trayeṇa bhedena | yogaprayogakālabhedenāptānāṃ pudgalānāṃ vyavasthānaṃ	trayeNa Bedena | yoga prayoga kAla Bedena AptAnAm pudgalAnAm vyavasTAnam
   yastāvadpudgalaḥ aparipakvendriyaḥ | sa tāvadupāyajñopi sātatikopi	yaH tAvat pudgalaH aparipakva indriyaH | sa tAvat upAya jQopi sAtati kopi
   kṛtaparicayopi nārādhako bhavati | (Śbh_Sh 343) dhyāyyasya dharmasya	kRta paricaya upi na ArADakaH Bavati | (ŚB_Sh 343) DyAyyasya Darmasya
   kuśalasya | tatra paripakvendriyaśca [...............................] jño	kuSalasya | tatra paripakva indriyaH ca [...............................] jQaH 
   bhavati | paripakvendriyo bhavati | upāyajño na kṣiprābhijño bhavati |	Bavati | paripakva indriyaH Bavati | upAya jQaH na kzipra aBijQaH Bavati |
   tatra paripakvendriyo, bhavatyupāyajño, na sātatiko, na kṛtaparicayaḥ | na	tatra paripakva indriyo, Bavati upAya jQo, na sAtatiko, na kRta paricayaH | na
   tāvatkṛtasvārtho bhavati | kṛtakṛtyaḥ | yaśca paripakvendriyo	tAvat kRta sva arTaH Bavati | kRtakRtyaH | yaH ca paripakva indriyaH 
   bhavatyupāyajñaḥ | sātatikaḥ, kṛtaparicayaśca bhavatyevaṃ sa ārādhako	Bavati upAya jQaH | sAtatikaH, kRta paricayaH ca Bavati evam saH ArADakaH 
   bhavati | kṣiprābhijñaśca | kṛtasvakāryaśca bhavati kṛtyakṛtyaḥ ||	Bavati | kzipra aBijQaH ca | kRta sva kAryaH ca Bavati kRtya kRtyaH ||
   tatra catvāro mārāḥ saṃbahulāni mārakarmāṇi | (Śbh_Sh 344) veditavyāni	tatra catvAraH mArAH saMbahulAni mAra karmANi | (ŚB_Sh 344) veditavyAni
   yoginā | yogaprayuktena | te ca parijñāya parivarjayitavyāḥ | tatra	yoginA | yoga prayuktena | te ca parijQAya parivarjayitavyAH | tatra
   catvāro mārāḥ | tadyathā  skandhamāraḥ, kleśamāraḥ, maraṇamāraḥ |	catvAraH mArAH | tat yaTA skanDamAraH, kleSamAraH, maraNa mAraH |
   devaputramāraśca | paṃcopādānaskandhāḥ skandhamāraḥ | traidhātukāvacarāḥ	deva putra mAraH ca | paMca upAdAna skanDAH skanDamAraH | trEDAtukA vacarAH
   kleśāḥ | teṣāṃ teṣāṃ sattvānāṃ | tasmāttasmātsattvanikāyāḥ	kleSAH | tezAm tezAm sattvAnAm | tasmAt tasmAt sattva nikAyAH
   ya(yādya)nmaraṇaṃ kālakriyā (Śbh_Sh 345) maraṇamāraḥ |	ya(yAt ya)t maraNam kAla kriyA (ŚB_Sh 345) maraNa mAraH |
   yopyakuśalapakṣaprayuktasya skandhakleśamṛtyusamatikramāya	yopya kuSala pakza prayuktasya skanDa kleSa mRtyu samatikramAya
   kāmadhātūpapanno devaputraḥ | niścayaprāptaḥ antarāyamupasaṃharati |	kAmaDAtu upapannaH deva putraH | niScaya prAptaH antarAyam upasaMharati |
   vyākṣepakaraṇe | ayamucyate devaputramāraḥ | tatra yatra ca mriyate |	vyAkzepa karaNe | ayam ucyate deva putra m AraH | tatra yatra ca mriyate |
   yaścāsau mṛtyuryena ca mṛtyuṃ namayati, krāmayatyantarāyikena vastunā [|]	yaH ca asO mRtyuH yena ca mRtyum namayati, krAmayati antarAyikena vastunA [|]
   ityetadadhikṛtya catvāro mārā vyavasthāpitāḥ |	iti etat aDikRtya catvAraH mArAH vyavasTApitAH |
   tatra pañcasūpādānaskandheṣu jāteṣu varddhamāneṣu mriyate |	tatra paQca su upAdAna skanDezu jAtezu vardDamAnezu mriyate |
   kleśāṃ(śān)janayatyāyatyāṃ jātaśca mriyate | cyutiśca cyavanatā satvānāṃ	kleSa aM(SAn )janayati AyatyAm jAtaH ca mriyate | cyutiH ca cyavana tA satvAnAm
   jīvitendriyanirodhaḥ | kālakriyā svabhāva eva mṛtyuḥ | devaputramāraśca	jIvita indriya niroDaH | kAla kriyA svaBAvaH eva mRtyuH | deva putra m AraH ca
   maraṇa samatikramāya prayuktasyāntarāyamupasaṃharati | yena naiva vā	maraNa samatikramAya prayuktasya antarAyam upasaMharati | yena na eva vA
   śaknoti maraṇadharmatāṃ samatikramitum || kālāntareṇa vā samatikrāmati |	Saknoti maraNa Darma tAm samatikramitum || kAla antareNa vA samatikrAmati |
   tatrāvaśagato mārasya bhavati laukikamārgavītarāgaḥ pṛthagjanaḥ ||	tatra avaSagataH mArasya Bavati lOkika mArga vIta rAgaH pRTagjanaH ||
   ihasthastatropapanno vā, [a]vaśagataḥ | punaryaḥ avītarāgaḥ |	ihasTaH tatra upapannaH vA, [a]vaSa gataH | punar yaH avIta rAgaH |
   tatra yo vītarāgaḥ (|) eva hastagato yathākāmaṃ karaṇīyaḥ | vītarāgo vā	tatra yaH vIta rAgaH (|) eva hasta gataH yaTAkAmam karaNIyaH | vIta rAgaH vA
   punarbaddho mārabandhanaiḥ | aparimukto mārapāśairyasmātsa	punar badDaH mAra banDanEH | aparimuktaH mAra pASEH yasmAt sa
   punarapyāgantī(ntā) imāṃ (maṃ) dhārntum (dhātum) |	punar api AgantI(ntA) imAm (maM) DArntum (DAtum) |
   tatra mārakarmāṇi | yasya kasyacitkarmaṇo dharmacchandaḥ samutpanno	tatra mAra karmANi | yasya kasyacid karmaNaH Darma= CandaH samutpannaH 
   naiṣkramyopasaṃhitaḥ | kāmagredhamadhipatiṃ (Śbh_Sh 346) kṛtvā	nEzkramya upasaMhitaH | kAma greDam aDipatim (ŚB_Sh 346) kRtvA
   pravarttante | veditavyaṃ mārakarmai taditi | indriyairguptadvārasya	pravarttante | veditavyam mAra karmE tat iti | indriyEH gupta dvArasya
   viharataḥ | yasya raṃjanīyeṣu rūpeṣu sahagatvarasampraṣṭavyadharmeṣu	viharataH | yasya raMjanIyezu rUpezu saha gatvara samprazwavya Darmezu
   nimittagrāhitāyāmanuvyaṃjanagrāhitāyāṃ cittaṃ praskandati | veditavyaṃ	nimitta grAhitAyAm anuvyaMjana grAhitAyAm cittam praskandati | veditavyam
   mārakarmaitaditi | evaṃ bhojaneṣu mātrajñasya viharataḥ praṇīteṣu raseṣu	mAra karma etat iti | evam Bojanezu mAtra jQasya viharataH praNItezu rasezu
   chandarāgamanunayena cittaṃ praskandati | bhaktavaiṣamye evaṃ	Canda rAgam anunayena cittam praskandati | Bakta vEzamye evam
   pūrvarātrāpararātraṃ jāgarikāyo gamananuyuktasya viharataḥ | nidrāsukhe,	pUrvarAtra apararAtram jAgarikAyaH gamananuyuktasya viharataH | nidrA suKe,
   śayanasukhe, pārśvasukhe cittaṃ praskandati | veditavyaṃ mārakarmaitaditi	Sayana suKe, pArSva suKe cittam praskandati | veditavyam mAra karma etat iti
   | tathā saṃprajānadvihāriṇo viharataḥ | abhikramapratikramādiṣu	| taTA saMprajAnat vihAriNaH viharataH | aBikrama pratikrama Adizu
   śiśumudāravarṇaṃ raṃjanīyaṃ mātṛgrāmaṃ dṛṣṭvā ayoniśo nimittagrāheṇa	SiSum udAra varNam raMjanIyam mAtR grAmam dRzwvA ayoniSaH nimitta grAheNa
   cittaṃ praskandati | lokacitrāṇi vā dṛṣṭvā cittaṃ praskandati |	cittam praskandati | loka citrANi vA dRzwvA cittam praskandati |
   bahvarthatāṃ(tāyāṃ), bahukṛtyatāyāṃ, cittaṃ praskandati | tadyathā	bahu arTa tA aM(tAyAM), bahu kRtya tAyAM, cittam praskandati | tat yaTA
   gṛhasthapravrajitaiḥ saṃsargārāmatāyāṃ, pāpamitraiḥ saha ekavyavasitāyāṃ,	gRhasTa pravrajitEH saMsarga ArAma tAyAM, pApa mitrEH saha eka vyavasitAyAM,
   dṛṣṭyanumate cittaṃ praskandati | veditavyaṃ mārakarmaitaditi || tathā	dRzwi anumate cittam praskandati | veditavyam mAra karma etat iti || taTA
   buddhe, dharme, saṃghe, duḥkhe, samudaye, nirodhe, mārge | ihaloke,	budDe, Darme, saMGe, duHKe, samudaye, niroDe, mArge | ihaloke,
   paraloke kāṃkṣā vimataya utpadyante | veditavyaṃ mārakarmaitaditi |	para loke kAMkzAH vimataye utpadyante | veditavyam mAra karma etat iti |
   araṇyagato vā, vṛkṣamūlagato vā, śūnyāgāragato vā, mahāntambhayabhairavaṃ	araNya gataH vA, vRkza mUla gataH vA, SUnya AgAra gataH vA, mahAntamBaya BEravam
   paśyatyu[t]trāsakaraṃ romaharṣaṇaṃ | brāhmaṇaveṣeṇa, vā manuṣyaveṣeṇa vā,	paSyati u[t] trAsa karam roma harzaNam | brAhmaNa vezeNa, vA manuzya vezeNa vA,
   amanuṣyaveṣeṇa vā, kaścidupasaṃkramyāyoniśaḥ (|) (Śbh_Sh 347)	amanuzya vezeNa vA, kaScid upasaMkramya ayoniSaH (|) (ŚB_Sh 347)
   śuklapakṣādvicchindayati | kṛṣṇapakṣe ca samādāpayati | veditavyaṃ	Sukla pakzAt vicCindayati | kRzNa pakze ca samAdApayati | veditavyam
   mārakarmaitaditi | yadā lābhasatkāre cittaṃpraskandati | mātsarye	mAra karma etat iti | yadA lABa satkAre cittaMpraskandati | mAtsarye
   mahecchatāyāṃ | asantuṣṭau, krodhopanāha (|) kuhanālapanādiṣu |	mahecCatAyAm | asantuzwO, kroDa upanAha (|) kuhana Alapana Adizu |
   śramaṇālaṃkāravipakṣeṣu dharmeṣu cittaṃ praskandati | veditavyaṃ	SramaNa alaMkAra vipakzezu Darmezu cittam praskandati | veditavyam
   mārakarmaitaditi | itīmānyevaṃbhāgīyāni mārakarmāṇi veditavyāni tāni	mAra karma etat iti | iti imAni evaMBAgIyAni mAra karmANi veditavyAni tAni
   caturṇāṃ mārāṇāṃ yathāyogaṃ ||	caturNAm mArANAm yaTAyogam ||
   tatra caturbhiḥkāraṇaiḥ samyakprayuktasyāpyāraṃbho viphalo bhavati |	tatra caturBiHkAraNEH samyak prayuktasya api AraMBaH viPalaH Bavati |
   tadyathā indriyasamudāgamena | anulomāvavādena | samādhidurbbalatayā ca |	tat yaTA indriya samudAgamena | anuloma avavAdena | samADi durbbala tayA ca |
   indriyāṇi cenna samudāgatāni | ānulomikaścāvavādo bhavati | samādhiśca	indriyANi ced na samudAgatAni | AnulomikaH ca avavAdaH Bavati | samADiH ca
   kevalavān | evamasyārambho viphalo bhavati | indriyāṇi cenna samudāgatāni	kevalavAn | evam asya AramBaH viPalaH Bavati | indriyANi ced na samudAgatAni
   bhavanti | avavādaśca nānulomiko bhavati | samādhiśca balavān bhavati |	Bavanti | avavAdaH ca na anulomikaH Bavati | samADiH ca balavAn Bavati |
   evamārambho viphalaḥ | indriyāṇi cetsamudāgatāni | sa avavādaścānulomiko	evam AramBaH viPalaH | indriyANi ced samudAgatAni | sa avavAdaH ca AnulomikaH 
   bhavati | samādhiśca durbalo bhavatyevāraṃbhā(vamārambho) viphalaḥ |	Bavati | samADiH ca durbalaH Bavati eva AraMBa a(vam AramBo) viPalaH |
   indriyāṇi cetsamudāgatāni bhavanti | ānulomikaścāvavādo bhavati |	indriyANi ced samudAgatAni Bavanti | AnulomikaH ca avavAdaH Bavati |
   samādhiśca durbbalo bhavatyeva[mā]rambho viphalaḥ | indriyāṇi	samADiH ca durbbalaH Bavati eva[mA]ramBaH viPalaH | indriyANi
   cetsamudāgatāni bhavanti | ānulomikaścāvavādaḥ | samādhiśca	ced samudAgatAni Bavanti | AnulomikaH ca avavAdaH | samADiH ca
   balavānevama(Śbh_Sh 348)syārambhaḥ saphalo bhavatyebhistribhiḥ	balavAn evam a(ŚB_Sh 348)sya AramBaH saPalaH Bavati eBiH triBiH
   kāraṇairviphalo bhavati | tribhireva kāraṇaiḥ saphalaḥ || uddānaṃ ||	kAraNEH viPalaH Bavati | triBiH eva kAraNEH sa PalaH || uddAnam ||
   pudgalāstadvyavasthānaṃ atho ālambanena ca |	pudgalAH tad vyavasTAnam aTo Alambanena ca |
   avavādaśca śikṣā ca tathā śikṣānulomikā[ḥ] [||]	avavAdaH ca SikzA ca taTA SikzA AnulomikA[H] [||]
   yogabhraṃśaśca yogaśca manaskāraśca yoniśaḥ |	yoga BraMSaH ca yogaH ca manaskAraH ca yoniSas |
   karaṇīyaṃ bhāvanā ca phalaṃ pudgalaparyāyaḥ ||	karaNIyam BAvanA ca Palam pudgala paryAyaH ||
   māraśca mārakarmāṇi ārambho viphalo bhavet ||	mAraH ca mAra karmANi AramBaH viPalaH Bavet ||
   || yogācārabhūmau śrāvakabhūmisaṃgṛhītāyāṃ dvitīyaṃ yogasthānam ||	|| yoga AcAra BUmO SrAvaka BUmi saMgRhItAyAm dvitIyam yoga sTAnam ||
   (Śbh_Sh 349)	(ŚB_Sh 349)
   (Śbh_Sh 350)	(ŚB_Sh 350)
   (Śbh_Sh 351)	(ŚB_Sh 351)
   III. tṛtīyaṃ yogasthānam	III. tRtIyam yoga sTAnam
   evaṃ kṛte pudgalavyavasthāne, ālambanavyavasthāne,	evam kRte pudgala vyavasTAne, Alambana vyavasTAne,
   yāvadbhāvanāphalavyavasthāne ātmakāmena pudgalena svārthamanuprāptukāmena	yAvat BAvanA Pala vyavasTAne Atma kAmena pudgalena sva arTam anuprAptu kAmena
   ādikarmikena (ṇa) | tatprathamakarmikena(ṇa) yogajña, ācāryo vā, upādhyāyo	Adikarmikena (Na) | tad praTama karmikena(Na) yoga jQa, AcAryaH vA, upADyAyo
   vā, puruṣo, gurusthānīyo vā, caturṣu sthāneṣu smṛtimupasthāpya	vA, puruzo, guru sTAnIyaH vA, caturzu sTAnezu smRtim upasTApya
   upasaṃkramitavyaḥ | abhijñābhiprāyeṇa, nopālambhacittatayā, sagauraveṇa,	upasaMkramitavyaH | aBijQA aBiprAyeNa, na upAlamBa citta tayA, sa gOraveNa,
   na samānastambhatayā | kiṃkuśalagaveṣiṇā | nātmodbhāvanārthaṃ | ātmānaṃ	na samAna stamBa tayA | kiMkuSala gaveziNA | na Atma udBAvanA arTam | AtmAnam
   parāṃśca kuśalamūlena yojayiṣyāmīti | na lābhasatkārārthamevaṃ ca	parAn= ca kuSala mUlena yojayizyAmi iti | na lABa satkAra arTam evam ca
   punarupasaṃkramya kālenāvakāśaṃ kṛtvā, ekāṃsamuttarāsaṃgaṃ kṛtvā, dakṣiṇaṃ	punar upasaMkramya kAlena avakASam kRtvA, eka aMsam uttarAsaMgam kRtvA, dakziNam
   jānumaṇḍalaṃ pṛthivyāṃ pratiṣṭhāpya, nīcataramevāsane niṣadya, sapratīśena	jAnu maNxalam pRTivyAm pratizWApya, nIcataram eva Asane nizadya, sa pratISena
   yoga āyācitavyaḥ | ahamasmiṃ (smi) yogenārthī, yogaṃ	yogaH AyAcitavyaH | aham asmim (smi) yogena arTI, yogam
   ādikṣvānukampāmupādāya |	Adikzva anukampAm upAdAya |
   ityevañca punarāyācitena yoginā yogajñena sa ādikarmikaḥ,	iti evaQca punar AyAcitena yoginA yoga jQena saH AdikarmikaH,
   tatprathamakarmikaḥ yogamanasikāre prayoktukāmaḥ | (Śbh_Sh 352)	tad praTama karmikaH yoga manasikAre prayoktu kAmaH | (ŚB_Sh 352)
   ślakṣṇaślakṣṇairvacanapathairudvejayitavyaḥ | saṃpraharṣayitavyaḥ |	SlakzNa SlakzNEH vacana paTEH udvejayitavyaH | saMpraharzayitavyaH |
   prahāṇe cānuśaṃso varṇayitavyaḥ | sādhu, sādhu, durmukha, yastvāṃ	prahANe ca anuSaMsaH varNayitavyaH | sADu, sADu, durmuKa, yaH tvAm
   (stvaṃ)pramādāpagatāyāṃ prajāyāṃ, viṣayanimnāyāṃ, viṣayādhyavasitāyāṃ	(H tvaM) pramAda apagatAyAm prajAyAn, vizaya nimnAyAn, vizaya aDyavasitAyAm
   apramādāya prayoktukāmaḥ |	apramAdAya prayoktu kAmaH |
   apāyadhārakapraviṣṭāyāmapāyadhārakānnirgantukāmaḥ |	apAya DAraka pravizwAyAm apAya DArakAt nirgantu kAmaH |
   rāgadveṣamohavigatabandhanāyāṃ bandhanāni kṣeptukāmaḥ |	rAga dveza moha vigata banDanAyAm banDanAni kzeptu kAmaH |
   saṃsāramahādāvīdugamārgapraviṣṭānāṃ(yāṃ) nistarttukāmaḥ |	saMsAra mahA dAvI duga mArga pravizwAn AM(yAn) nistarttu kAmaH |
   kleśakuśalamūlamahādurbhikṣaprāptāyāṃ kuśalamūlasubhikṣamanuprāptukāmaḥ |	kleSa kuSala mUla mahA durBikza prAptAyAm kuSala mUla suBikzam anuprAptu kAmaH |
   kleśataskaramahābhayānugatāyāṃ | nirvāṇaṃ kṣemamanuprāptukāmaḥ |	kleSa taskara mahA Baya anugatAyAm | nirvANam kzemam anuprAptu kAmaH |
   kleśamahāvyādhigrastāyāṃ paramamāno nirvāṇamanuprāptukāmaḥ |	kleSa mahA vyADi grastAyAm paramamAnaH nirvANam anuprAptu kAmaH |
   caturotmā(ghā)nusrotopahatāyāmoghānutarttukāmaḥ |	caturotma a(GA) nusrota upahatAya amoGa anuta Rttu kAmaH |
   mahāvidyānukārapraviṣṭāyāṃ mahājñānālokamanuprāptukāmaḥ |	mahAvidyA anukAra pravizwAyAm mahA jQAna Alokam anuprAptu kAmaH |
   anya(tra)tvamāyuṣmannevaṃ prayujyamānaḥ | samohaṃ ca rāṣṭrapiṇḍaṃ	anya(tra)tvam Ayuzman= evam prayujyamAnaH | sa moham ca rAzwra piNxam
   paribhokṣyate | śāsturvacanakaro bhaviṣyasi | anirākṛtadhyāyī, vipaśyanayā	pariBokzyate | SAstuH vacana karaH Bavizyasi | anirAkRta DyAyI, vipaSyanayA
   samanvāgataḥ | bṛṃhayitā śūnyāgārāṇāṃ svakāyayogamanuyuktaḥ | avigarhito	samanvAgataH | bRMhayitA SUnya AgArANAm sva kAya yogam anu yuktaH | avigarhitaH 
   vijñaiḥ | sabrahmacāribhistulyahitāya pratipannaḥ | parahitāya,	vijQEH | sabrahmacAriBiH tulya hitAya pratipannaH | para hita aya,
   bahujanahitāya, lokānukampāyai, (Śbh_Sh 353) arthāya, hitāya, sukhāya	bahu jana hita aya, loka anukampAyE, (ŚB_Sh 353) arTAya, hita aya, suKAya
   devamanuṣyāṇāmityevaṃbhāgīyaiḥ ślakṣṇairvacanapathaiḥ | saṃharṣayitvā	deva manuzyANAm iti evaMBAgIyEH SlakzNEH vacana paTEH | saMharzayitvA
   (saṃharṣya) prahāṇe cānuśaṃsaṃ darśayitvā, caturṣu paripṛcchāsthānīyeṣu	(saMharzya) prahANe ca anuSaMsam darSayitvA, caturzu paripRcCA sTAnIyezu
   dharmeṣu paripraṣṭavyaḥ | kaści(cci)dāyuṣmānekāntena buddhaśaraṇaṃ gato,	Darmezu pariprazwavyaH | kaSci(cci) dAyuzmAn ekAntena budDa SaraNam gataH ,
   dharmaṃ, saṃghaṃ, no cetobahirdhānyaṃ śāstāraṃ vā, dakṣiṇīyamvā saṃjānāti,	Darman, saMGaM, no cetaH ba hirDAnyam SAstAram vA, dakziNIyam vA saMjAnAti,
   kaccitte ādipariśodhitādbrahmacaryasya bhāvanāyai śīlaṃ ca te saviśuddhaṃ,	kaccit te Adi pariSoDitAt brahmacaryasya BAvanAyE SIlam ca te sa viSudDaM,
   dṛṣṭiśca ṛjvī kaccitte āryasatyānāmuddeśavibhaṃgamāramya dharmaḥ	dRzwiH ca RjvI kaccit te Arya satyAnAm uddeSa viBaMgam Aramya DarmaH
