   uparivibhāgaḥ	upari viBAgaH
   atha devo mahādevaḥ praṇatārtiharo haraḥ /	aTa devaH mahAdevaH praNata Arti haraH haraH /
   provācotthāpya hastābhyāṃ prato 'smi tava sāṃpratam // KūrmP_2,31.60 //	provAca utTApya hastAByAm pratas asmi tava sAMpratam // KUrmP_2,31.60 //
   dattvāsau paramaṃ yogamaiśvaryamatulaṃ mahat /	dattvA asO paramam yogam ESvaryam atulam mahat /
   provācāgre sthitaṃ devaṃ nīlalohitamīśvaram // KūrmP_2,31.61 //	provAca agre sTitam devam nIlalohitam ISvaram // KUrmP_2,31.61 //
   eṣa brahmāsya jagataḥ saṃpūjyaḥ prathamaḥ sutaḥ /	eza brahma asya jagataH saMpUjyaH praTamaH sutaH /
   ātmano rakṣaṇīyaste gururjyeṣṭhaḥ pitā tava // KūrmP_2,31.62 //	AtmanaH rakzaNIyaH te guruH jyezWaH pitA tava // KUrmP_2,31.62 //
   ayaṃ purāṇapuruṣo na hantavyastvayānagha /	ayam purANapuruzaH na hantavyaH tvayA anaGa /
   svayogaiśvaryamāhātmyānmāmeva śaraṇaṃ gataḥ // KūrmP_2,31.63 //	sva yoga ESvarya mAhAtmyAt mAm eva SaraNam gataH // KUrmP_2,31.63 //
   ayaṃ ca yajño bhagavān sagarvo bhavatānagha /	ayam ca yajQaH BagavAn sa garvaH BavatA anaGa /
   śāsitavyo viriñcasya dhāraṇīyaṃ śirastvayā // KūrmP_2,31.64 //	SAsitavyaH viriQcasya DAraNIyam SiraH tvayA // KUrmP_2,31.64 //
   brahmahatyāpanodārthaṃ vrataṃ lokāya darśayan /	brahma hatyA apanoda arTam vratam lokAya darSayan /
   carasva satataṃ bhikṣāṃ saṃsthāpaya suradvijān // KūrmP_2,31.65 //	carasva satatam BikzAm saMsTApaya sura dvijAn // KUrmP_2,31.65 //
   ityetaduktvā vacanaṃ bhagavān parameśvaraḥ /	iti etat uktvA vacanam BagavAn parameSvaraH /
   sthānaṃ svābhāvikaṃ divyaṃ yayau tatparamaṃ padam // KūrmP_2,31.66 //	sTAnam svABAvikam divyam yayO tat paramam padam // KUrmP_2,31.66 //
   tataḥ sa bhagavānīśaḥ kaparde nīlalohitaḥ /	tatas sa BagavAn ISaH kaparde nIlalohitaH /
   grāhayāmāsa vadanaṃ brahmaṇaḥ kālabhairavam // KūrmP_2,31.67 //	grAhayAmAsa vadanam brahmaNaH kAlaBEravam // KUrmP_2,31.67 //
   cara tvaṃ pāpanāśārthaṃ vrataṃ lokahitāvaham /	cara tvam pApa nASa arTam vratam loka hita Avaham /
   kapālahasto bhagavān bhikṣāṃ gṛhṇātu sarvataḥ // KūrmP_2,31.68 //	kapAla hastaH BagavAn BikzAm gRhNAtu sarvatas // KUrmP_2,31.68 //
   uktvaivaṃ prāhiṇot kanyāṃ brahmahatyāmiti śrutām /	uktvA evam prAhiNot kanyAm brahmahatyAm iti SrutAm /
   daṃṣṭrākarālavadanāṃ jvālāmālāvibhūṣaṇām // KūrmP_2,31.69 //	daMzwrA karAla vadanAm jvAlA mAlA viBUzaNAm // KUrmP_2,31.69 //
   yāvad vārāṇasīṃ divyāṃ purīmeṣa gamiṣyati /	yAvat vArANasIm divyAm purIm eza gamizyati /
   tāvat tvaṃ bhīṣaṇe kālamanugaccha trilocanam // KūrmP_2,31.70 //	tAvat tvam BIzaNe kAlam anugacCa trilocanam // KUrmP_2,31.70 //
   evamābhāṣya kālāgniṃ prāha devo maheśvaraḥ /	evam ABAzya kAlAgnim prAha devaH maheSvaraH /
   aṭasva nikhilaṃ lokaṃ bhikṣārtho manniyogataḥ // KūrmP_2,31.71 //	awasva niKilam lokam BikzA arTaH mad niyogataH // KUrmP_2,31.71 //
   yadā drakṣyasi deveśaṃ nārāyaṇamanāmayam /	yadA drakzyasi deveSam nArAyaNam anAmayam /
   tadāsau vakṣyati spaṣṭamupāyaṃ pāpaśodhanam // KūrmP_2,31.72 //	tadA asO vakzyati spazwam upAyam pApa SoDanam // KUrmP_2,31.72 //
   sa devadevatāvākyamākarṇya bhagavān haraḥ /	sa deva devatA vAkyam AkarNya BagavAn haraH /
   kapālapāṇirviśvātmā cacāra bhuvanatrayam // KūrmP_2,31.73 //	kapAla pANiH viSvAtmA cacAra Buvanatrayam // KUrmP_2,31.73 //
   āsthāya vikṛtaṃ veṣaṃ dīpyamānaṃ svatejasā /	AsTAya vikRtam vezam dIpyamAnam sva tejasA /
   śrīmat pavitramatulaṃ jaṭājūṭavirājitam // KūrmP_2,31.74 //	SrImat pavitram atulam jawA jUwa virAjitam // KUrmP_2,31.74 //
   koṭisūryapratīkāśaiḥ pramathaiścātigarvitaiḥ /	kowi sUrya pratIkASEH pramaTEH ca ati garvitEH /
   bhāti kālāgninayano mahādevaḥ samāvṛtaḥ // KūrmP_2,31.75 //	BAti kAlAgni nayanaH mahAdevaH samAvRtaH // KUrmP_2,31.75 //
   pītvā kadamṛtaṃ divyamānandaṃ parameṣṭhinaḥ /	pItvA kadamRtam divyam Anandam paramezWinaH /
   līlāvilāsūbahulo lokānāgacchatīśvaraḥ // KūrmP_2,31.76 //	lIlA vilAsU bahulaH lokAn AgacCati ISvaraH // KUrmP_2,31.76 //
   taṃ dṛṣṭvā kālavadanaṃ śaṅkaraṃ kālabhairavam /	tam dRzwvA kAla vadanam SaFkaram kAlaBEravam /
   rūpalāvaṇyasaṃpannaṃ nārīkulamagādanu // KūrmP_2,31.77 //	rUpa lAvaNya saMpannam nArI kulam agAt anu // KUrmP_2,31.77 //
   gāyanti vividhaṃ gītaṃ nṛtyanti purataḥ prabhoḥ /	gAyanti viviDam gItam nRtyanti puratas praBoH /
   sasmitaṃ prekṣya vadanaṃ cakrurbhrūbhaṅgameva ca // KūrmP_2,31.78 //	sa smitam prekzya vadanam cakruH BrU BaFgam eva ca // KUrmP_2,31.78 //
   sa devadānavādīnāṃ deśānabhyetya śūladhṛk /	sa deva dAnava AdInAm deSAn aByetya SUla DRk /
   jagāma viṣṇorbhavanaṃ yatrāste madhusūdanaḥ // KūrmP_2,31.79 //	jagAma vizNoH Bavanam yatra Aste maDusUdanaH // KUrmP_2,31.79 //
   nirīkṣya divyabhavanaṃ śaṅkaro lokaśaṅkaraḥ /	nirIkzya divya Bavanam SaFkaraH loka SaFkaraH /
   sahaiva bhūtapravaraiḥ praveṣṭumupacakrame // KūrmP_2,31.80 //	saha eva BUta pravarEH pravezwum upacakrame // KUrmP_2,31.80 //
   avijñāya paraṃ bhāvaṃ divyaṃ tatpārameśvaram /	avijQAya param BAvam divyam tat pArameSvaram /
   nyavārayat triśūlāṅkaṃ dvārapālo mahābalaḥ // KūrmP_2,31.81 //	nyavArayat triSUla aFkam dvArapAlaH mahA balaH // KUrmP_2,31.81 //
   śaṅkhacakragadāpāṇiḥ pītavāsā mahābhujaḥ /	SaFKa cakra gadA pANiH pIta vAsAH mahA BujaH /
   viṣvaksena iti khyāto viṣṇoraṃśasamudbhavaḥ // KūrmP_2,31.82 //	vizvaksenaH iti KyAtaH vizNoH aMSa samudBavaH // KUrmP_2,31.82 //
   athainaṃ śaṅkaragaṇo yuyudhe viṣṇusaṃbhavam /	aTa enam SaFkara gaNaH yuyuDe vizNu saMBavam /
   bhīṣaṇo bhairavādeśāt kālavega iti śrutaḥ // KūrmP_2,31.83 //	BIzaNaH BErava AdeSAt kAlavegaH iti SrutaH // KUrmP_2,31.83 //
   vijitya taṃ kālavegaṃ krodhasaṃraktalocanaḥ /	vijitya tam kAla vegam kroDa saMrakta locanaH /
   rudrāyābhimukhaṃ raudraṃ cikṣepa ca sudarśanam // KūrmP_2,31.84 //	rudrAya aBimuKam rOdram cikzepa ca sudarSanam // KUrmP_2,31.84 //
   atha devo mahādevastripurāristriśūlabhṛt /	aTa devaH mahAdevaH tripurAriH triSUla BRt /
   tamāpatantaṃ sāvajñamālokayadamitrajit // KūrmP_2,31.85 //	tam Apatantam sa avajQam Alokayat amitra jit // KUrmP_2,31.85 //
   tadantare mahadbhūtaṃ yugāntadahanopamam /	tad antare mahat BUtam yugAnta dahana upamam /
   śūlenorasi nirbhidya pātayāmāsa taṃ bhuvi // KūrmP_2,31.86 //	SUlena urasi nirBidya pAtayAmAsa tam Buvi // KUrmP_2,31.86 //
   sa śūlābhihato 'tyarthaṃ tyaktvā svaṃ paramaṃ balam /	sa SUla aBihataH atyarTam tyaktvA svam paramam balam /
   tatyāja jīvitaṃ dṛṣṭvā mṛtyuṃ vyādhihatā iva // KūrmP_2,31.87 //	tatyAja jIvitam dRzwvA mRtyum vyADi hatAH iva // KUrmP_2,31.87 //
   nihatya viṣṇupuruṣaṃ sārdhaṃ pramathapuṅgavaiḥ /	nihatya vizNupuruzam sArDam pramaTa puFgavEH /
   viveśa cāntaragṛhaṃ samādāya kalevaram // KūrmP_2,31.88 //	viveSa ca antara gRham samAdAya kalevaram // KUrmP_2,31.88 //
   nirīkṣya jagato hetumīśvaraṃ bhagavān hariḥ /	nirIkzya jagataH hetum ISvaram BagavAn hariH /
   śiro lalāṭāt saṃbhidya raktadhārāmapātayat // KūrmP_2,31.89 //	SiraH lalAwAt saMBidya rakta DArAm apAtayat // KUrmP_2,31.89 //
   gṛhāṇa bhagavan bhikṣāṃ madīyāmamitadyute /	gRhANa Bagavan BikzAm madIyAm amita dyute /
   na vidyate 'nābhyuditā tava tripuramardana // KūrmP_2,31.90 //	na vidyate anAByuditA tava tripura mardanaH // KUrmP_2,31.90 //
   na saṃpūrṇaṃ kapālaṃ tad brahmaṇaḥ parameṣṭhinaḥ /	na saMpUrNam kapAlam tat brahmaNaH paramezWinaH /
   divyaṃ varṣasahasraṃ tu sā ca dhārā pravāhitā // KūrmP_2,31.91 //	divyam varza sahasram tu sA ca DArA pravAhitAH // KUrmP_2,31.91 //
   athābravīt kālarudraṃ harirnārāyaṇaḥ prabhuḥ /	aTa abravIt kAlarudram hariH nArAyaNaH praBuH /
   saṃstūya vaidikairmantrairbahumānapuraḥ saram // KūrmP_2,31.92 //	saMstUya vEdikEH mantrEH bahu mAna puras saram // KUrmP_2,31.92 //
   kimarthametad vadanaṃ brahmaṇo bhavatā dhṛtam /	kimarTam etat vadanam brahmaNaH BavatA DRtam /
   provāca vṛttamakhilaṃ bhagavān parameśvaraḥ // KūrmP_2,31.93 //	provAca vRttam aKilam BagavAn parameSvaraH // KUrmP_2,31.93 //
   samāhūya hṛṣīkeśo brahmahatyāmathācyutaḥ /	samAhUya hRzIkeSaH brahmahatyAm aTa acyutaH /
   prārthayāmāsa deveśo vimuñceti triśūlinam // KūrmP_2,31.94 //	prArTayAmAsa deveSaH vimuQca iti triSUlinam // KUrmP_2,31.94 //
   na tatyājātha sā pārśvaṃ vyāhṛtāpi murāriṇā /	na tatyAja aTa sA pArSvam vyAhRtA api murAriNA /
   ciraṃ dhyātvā jagadyoniḥ śaṅkaraṃ prāha sarvavit // KūrmP_2,31.95 //	ciram DyAtvA jagadyoniH SaFkaram prAha sarva vid // KUrmP_2,31.95 //
   vrajasva bhagavan divyāṃ purīṃ vārāṇasīṃ śubhām /	vrajasva Bagavan divyAm purIm vArANasIm SuBAm /
   yatrākhilajagaddoṣaṃ kṣipraṃ nāśayatāśvaraḥ // KūrmP_2,31.96 //	yatra aKila jagat dozam kzipram nASayata aSvaraH // KUrmP_2,31.96 //
   tataḥ śarvāṇi guhyāni tīrthānyāyatanāni ca /	tatas SarvANi guhyAni tIrTAni AyatanAni ca /
   jagāma līlayā devo lokānāṃ hitakāmyayā // KūrmP_2,31.97 //	jagAma lIlayA devaH lokAnAm hita kAmyayA // KUrmP_2,31.97 //
   saṃstūyamānaḥ pramathairmahāyogairitastataḥ /	saMstUyamAnaH pramaTEH mahA yogEH itas tatas /
   nṛtyamāno mahāyogī hastanyastakalevaraḥ // KūrmP_2,31.98 //	nRtyamAnaH mahA yogI hasta nyasta kalevaraH // KUrmP_2,31.98 //
   tamabhyadhāvad bhagavān harirnārāyaṇaḥ svayam /	tam aByaDAvat BagavAn hariH nArAyaNaH svayam /
   athāsthāyāparaṃ rūpaṃ nṛtyadarśanalālasaḥ // KūrmP_2,31.99 //	aTa AsTAya aparam rUpam nRtya darSana lAlasaH // KUrmP_2,31.99 //
   nirīkṣamāṇo novindaṃ vṛṣendrāṅkitaśāsanaḥ /	nirIkzamANaH novindam vRza indra aFkita SAsanaH /
   sasmito 'nantayogātmā nṛtyati sma punaḥ punaḥ // KūrmP_2,31.100 //	sa smitaH ananta yoga AtmA nRtyati sma punar punar // KUrmP_2,31.100 //
   atha sānucaro rudraḥ saharirdharmavāhanaḥ /	aTa sa anucaraH rudraH sa hariH Darma vAhanaH /
   bheje mahādevapurīṃ vārāṇasīmiti śrutām // KūrmP_2,31.101 //	Beje mahAdeva purIm vArANasIm iti SrutAm // KUrmP_2,31.101 //
   praviṣṭamātre deveśe brahmahatyā kapardini /	pravizwa mAtre deveSe brahmahatyA kapardini /
   hā hetyuktvā sanādaṃ sā pātālaṃ prāpa duḥ khitā // KūrmP_2,31.102 //	hA hA iti uktvA sa nAdam sA pAtAlam prApa duH KitAH // KUrmP_2,31.102 //
   praviśya paramaṃ sthānaṃ kapālaṃ brahmaṇo haraḥ /	praviSya paramam sTAnam kapAlam brahmaNaH haraH /
   gaṇānāmagrato devaḥ sthāpayāmāsa śaṅkaraḥ // KūrmP_2,31.103 //	gaNAnAm agratas devaH sTApayAmAsa SaFkaraH // KUrmP_2,31.103 //
   sthāpayitvā mahādevo dadau tacca kalevaram /	sTApayitvA mahAdevaH dadO tat ca kalevaram /
   uktvā sajīvamastvīśo viṣṇave sa ghṛṇānidhiḥ // KūrmP_2,31.104 //	uktvA sa jIvam astu ISaH vizNave sa GRNA niDiH // KUrmP_2,31.104 //
   ye smaranti mamājastraṃ kāpālaṃ veṣamuttamam /	ye smaranti mama ajastram kApAlam vezam uttamam /
   teṣāṃ vinaśyati kṣipramihāmutra ca pātakam // KūrmP_2,31.105 //	tezAm vinaSyati kzipram iha amutra ca pAtakam // KUrmP_2,31.105 //
   āgamya tīrthapravare snānaṃ kṛtvā vidhānataḥ /	Agamya tIrTa pravare snAnam kRtvA viDAnataH /
   tarpayitvā pitṝn devān mucyate brahmahatyayā // KūrmP_2,31.106 //	tarpayitvA pitLn devAn mucyate brahmahatyayA // KUrmP_2,31.106 //
   aśāśvataṃ jagajjñātvā ye 'smin sthāne vasanti vai /	aSASvatam jagat jQAtvA ye asmin sTAne vasanti vE /
   dehānte tat paraṃ jñānaṃ dadāmi paramaṃ padam // KūrmP_2,31.107 //	dehAnte tat param jQAnam dadAmi paramam padam // KUrmP_2,31.107 //
   itīdamuktvā bhagavān samāliṅgya janārdanam /	iti idam uktvA BagavAn samAliFgya janArdanam /
   sahaiva pramatheśānaiḥ kṣaṇādantaradhīyata // KūrmP_2,31.108 //	saha eva pramaTa ISAnEH kzaNAt antaraDIyata // KUrmP_2,31.108 //
   sa labdhvā bhagavān kṛṣṇo viṣvaksenaṃ triśūlinaḥ /	sa labDvA BagavAn kRzNaH vizvaksenam triSUlinaH /
   svaṃ deśamagat tūrṇaṃ gṛhītvāṃ paramaṃ vapuḥ // KūrmP_2,31.109 //	svam deSam agat tUrNam gRhItvAm paramam vapuH // KUrmP_2,31.109 //
   etad vaḥ kathitaṃ puṇyaṃ mahāpātakanāśanam /	etat vaH kaTitam puNyam mahApAtaka nASanam /
   kapālamocanaṃ tīrthaṃ sthāṇoḥ priyakaraṃ śubham // KūrmP_2,31.110 //	kapAlamocanam tIrTam sTANoH priya karam SuBam // KUrmP_2,31.110 //
   ya imaṃ paṭhate 'dhyāyaṃ brāhmaṇānāṃ samīpataḥ /	yaH imam paWate aDyAyam brAhmaNAnAm samIpatas /
   vācikairmānasaiḥ pāpaiḥ kāyikaiśca vimucyate // KūrmP_2,31.111 //	vAcikEH mAnasEH pApEH kAyikEH ca vimucyate // KUrmP_2,31.111 //
   iti śrīkūrmapārāṇe ṣaṭsāhastryāṃ saṃhitāyāmuparivibhāge ekatriśo 'dhyāyaḥ	iti SrI kUrma pArANe zawsAhastryAm saMhitAyAm upari viBAge ekatriSas aDyAyaH
   vyāsa uvāca	vyAsaH uvAca
   surāpastu surāṃ taptāmagnivarṇāṃ svayaṃ pibet /	surApaH tu surAm taptAm agni varNAm svayam pibet /
   tayā sa kāye nirdagdhe mucyate tu dvijottamaḥ // KūrmP_2,32.1 //	tayA sa kAye nirdagDe mucyate tu dvijottamaH // KUrmP_2,32.1 //
   gomūtramagnivarṇaṃ vā gośakṛdrasameva vā /	go mUtram agni varNam vA go SakRt rasam eva vA /
   payo ghṛtaṃ jalaṃ vātha mucyate pātakāt tataḥ // KūrmP_2,32.2 //	payaH GRtam jalam vA aTa mucyate pAtakAt tatas // KUrmP_2,32.2 //
   jalārdravāsāḥ prayato dhyātvā nārāyaṇaṃ harim /	jala Ardra vAsAH prayataH DyAtvA nArAyaNam harim /
   brahmahatyāvrataṃ cātha caret tatpāpaśāntaye // KūrmP_2,32.3 //	brahmahatyA vratam ca aTa caret tad pApa SAntaye // KUrmP_2,32.3 //
   suvarṇasteyakṛd vipro rājānamabhigamya tu /	suvarNa steya kRt vipraH rAjAnam aBigamya tu /
   svakarma khyāpayan brūyānmāṃ bhavānanuśāstviti // KūrmP_2,32.4 //	sva karma KyApayan brUyAt mAm BavAn anuSAstu iti // KUrmP_2,32.4 //
   gṛhītvā musalaṃ rājā sakṛd hanyāt tataḥ svayam /	gRhItvA musalam rAjA sakRt hanyAt tatas svayam /
   vadhe tu śuddhyate steno brāhmaṇastapasaiva vā // KūrmP_2,32.5 //	vaDe tu SudDyate stenaH brAhmaNaH tapasA eva vA // KUrmP_2,32.5 //
   skandhenādāya musalaṃ lakuṭaṃ vāpi khādiram /	skanDena AdAya musalam lakuwam vA api KAdiram /
   śaktiṃ cobhayatastīkṣṇāmāyasaṃ daṇḍameva vā // KūrmP_2,32.6 //	Saktim ca uBayatas tIkzNAm Ayasam daNxam eva vA // KUrmP_2,32.6 //
   rājā tena ca gantavyo muktakeśena dhāvatā /	rAjA tena ca gantavyaH mukta keSena DAvatA /
   ācakṣāṇena tatpāpamevaṅkarmāsmi śādhi mām // KūrmP_2,32.7 //	AcakzANena tat pApam evaFkarmA asmi SADi mAm // KUrmP_2,32.7 //
   śāsanād vā vimokṣād vā stenaḥ steyād vimucyate /	SAsanAt vA vimokzAt vA stenaH steyAt vimucyate /
   aśāsitvā tu taṃ rājāstenasyāpnoti kilbiṣam // KūrmP_2,32.8 //	aSAsitvA tu tam rAjAH tenasya Apnoti kilbizam // KUrmP_2,32.8 //
   tapasāpanunutsustu suvarṇasteyajaṃ malam /	tapasA apanunutsuH tu suvarNa steya jam malam /
   cīravāsā dvijo 'raṇye cared brahmahaṇo vratam // KūrmP_2,32.9 //	cIra vAsAH dvijaH araNye caret brahma haNaH vratam // KUrmP_2,32.9 //
   snātvāśvamedhāvabhṛthe pūtaḥ syādathavā dvijaḥ /	snAtvA aSvameDa avaBRTe pUtaH syAt aTavA dvijaH /
   pradadyād vātha viprebhyaḥ svātmatulyaṃ hiraṇyakam // KūrmP_2,32.10 //	pradadyAt vA aTa vipreByaH sva Atma tulyam hiraNyakam // KUrmP_2,32.10 //
   cared vā vatsaraṃ kṛcchraṃ brahmacaryaparāyaṇaḥ /	caret vA vatsaram kRcCram brahmacarya parAyaNaH /
   brāhmaṇaḥ svarṇahārī tu tatpāpasyāpanuttaye // KūrmP_2,32.11 //	brAhmaNaH svarNa hArI tu tad pApasya apanuttaye // KUrmP_2,32.11 //
   gurorbhāryāṃ samāruhya brāhmaṇaḥ kāmamohitaḥ /	guroH BAryAm samAruhya brAhmaNaH kAma mohitaH /
   avagūhet striyaṃ taptāṃ dīptāṃ kārṣṇāyasīṃ kṛtām // KūrmP_2,32.12 //	avagUhet striyam taptAm dIptAm kArzNAyasIm kRtAm // KUrmP_2,32.12 //
   svayaṃ vā śiśnavṛṣaṇāvutkṛtyādhāya cāñcalau /	svayam vA SiSna vRzaNO= utkRtya ADAya ca aQcalO /
   ātiṣṭhed dakṣiṇāmāśāmānipātādajihmagaḥ // KūrmP_2,32.13 //	AtizWet dakziNa AmA SAmA nipAtAt ajihma gaH // KUrmP_2,32.13 //
   gurvarthaṃ vā hataḥ śuddhyeccared vā brahmahā vratam /	guru arTam vA hataH SudDyet caret vA brahma hA vratam /
   śākhāṃ vā kaṇṭakopetāṃ pariṣvajyātha vatsaram /	SAKAm vA kaNwaka upetAm parizvajya aTa vatsaram /
   adhaḥ śayīta niyato mucyate gurutalpagaḥ // KūrmP_2,32.14 //	aDas SayIta niyataH mucyate guru talpa gaH // KUrmP_2,32.14 //
   kṛcchraṃ vābdaṃ cared vipraścīravāsāḥ samāhitaḥ /	kRcCram vA abdam caret vipraH cIra vAsAH samAhitaH /
   aśvamedhāvabhṛthake snātvā vā śuddhyate naraḥ // KūrmP_2,32.15 //	aSvameDa avaBRTake snAtvA vA SudDyate naraH // KUrmP_2,32.15 //
   kāle 'ṣṭame vā bhuñjāno brahmacārī sadāvratī /	kAle azwame vA BuQjAnaH brahmacArI sadA vratI /
   sthānāsanābhyāṃ viharaṃstrirahno 'bhyupayannapaḥ // KūrmP_2,32.16 //	sTAna AsanAByAm viharan= tris ahnaH aByupayan= apaH // KUrmP_2,32.16 //
   adhaḥ śāyī tribhirvarṣaistad vyapohati pātakam /	aDas SAyI triBiH varzEH tat vyapohati pAtakam /
   cāndrāyaṇāni vā kuryāt pañca catvāri vā punaḥ // KūrmP_2,32.17 //	cAndrAyaNAni vA kuryAt paQca catvAri vA punar // KUrmP_2,32.17 //
   patitaiḥ saṃprayuktānāmatha vakṣyāmi niṣkṛtim /	patitEH saMprayuktAnAm aTa vakzyAmi nizkRtim /
   patitena tu saṃsargaṃ yo yena kurute dvijaḥ /	patitena tu saMsargam yaH yena kurute dvijaH /
   sa tatpāpāpanodārthaṃ tasyaiva vratamācaret // KūrmP_2,32.18 //	sa tad pApa apanoda arTam tasya eva vratam Acaret // KUrmP_2,32.18 //
   taptakṛcchraṃ cared vātha saṃvatsaramatandritaḥ /	taptakRcCram caret vA aTa saMvatsaram atandritaH /
   ṣāṇmāsike tu saṃsarge prāyaścittārdhamarhati // KūrmP_2,32.19 //	zANmAsike tu saMsarge prAyaScitta arDam arhati // KUrmP_2,32.19 //
   ebhirvratairapohanti mahāpātakino malam /	eBiH vratEH apohanti mahApAtakinaH malam /
   puṇyatīrthābhigamanāt pṛthivyāṃ vātha niṣkṛtiḥ // KūrmP_2,32.20 //	puNya tIrTa aBigamanAt pRTivyAm vA aTa nizkRtiH // KUrmP_2,32.20 //
   brahmahatyā surāpānaṃ steyaṃ gurvaṅganāgamaḥ /	brahmahatyA surA pAnam steyam guru aFganA AgamaH /
   kṛtvā taiścāpi saṃsargaṃ brāhmaṇaḥ kāmakārataḥ // KūrmP_2,32.21 //	kRtvA tEH ca api saMsargam brAhmaNaH kAmakArataH // KUrmP_2,32.21 //
   kuryādanaśanaṃ vipraḥ puṇyatīrthe samāhitaḥ /	kuryAt anaSanam vipraH puNya tIrTe samAhitaH /
   jvalantaṃ vā viśedagniṃ dhyātvā devaṃ kapardinam // KūrmP_2,32.22 //	jvalantam vA viSet agnim DyAtvA devam kapardinam // KUrmP_2,32.22 //
   na hyanyā niṣkṛtirdṛṣṭā munibhirdharmavādibhiḥ /	na hi anyA nizkRtiH dRzwA muniBiH Darma vAdiBiH /
   tasmāt puṇyeṣu tīrtheṣu dahed vāpi svadehakam // KūrmP_2,32.23 //	tasmAt puNyezu tIrTezu dahet vA api sva dehakam // KUrmP_2,32.23 //
   gatvā duhitaraṃ vipraḥ svasāraṃ vā snuṣāmapi /	gatvA duhitaram vipraH svasAram vA snuzAm api /
   praviśejjvalanaṃ dīptaṃ matipūrvamiti sthitiḥ // KūrmP_2,32.24 //	praviSet jvalanam dIptam mati pUrvam iti sTitiH // KUrmP_2,32.24 //
   mātṛṣvasāṃ mātulānīṃ tathaiva ca pitṛṣvasām /	mAtRzvasAm mAtulAnIm taTA eva ca pitRzvasAm /
   bhāgineyīṃ samāruhya kuryāt kṛcchrātikṛcchrakau // KūrmP_2,32.25 //	BAgineyIm samAruhya kuryAt kRcCra atikRcCrakO // KUrmP_2,32.25 //
   cāndrāyaṇaṃ ca kurvota tasya pāpasya śāntaye /	cAndrAyaNam ca kurvota tasya pApasya SAntaye /
   dhyāyan devaṃ jagadyonimanādinidhanaṃ param // KūrmP_2,32.26 //	DyAyan devam jagadyonim anAdiniDanam param // KUrmP_2,32.26 //
   bhrātṛbhāryāṃ samāruhya kuryāt tatpāpaśāntaye /	BrAtR BAryAm samAruhya kuryAt tad pApa SAntaye /
   cāndrāyaṇāni catvāri pañca vā susamāhitaḥ // KūrmP_2,32.27 //	cAndrAyaNAni catvAri paQca vA su samAhitaH // KUrmP_2,32.27 //
   paitṛṣvastreyīṃ gatvā tu svastreyāṃ mātureva ca /	pEtRzvastreyIm gatvA tu svastreyAm mAtuH eva ca /
   mātulasya sutāṃ vāpi gatvā cāndrāyaṇaṃ caret // KūrmP_2,32.28 //	mAtulasya sutAm vA api gatvA cAndrAyaNam caret // KUrmP_2,32.28 //
   sakhibhāryāṃ samāruhya gatvā śyālīṃ tathaiva ca /	saKi BAryAm samAruhya gatvA SyAlIm taTA eva ca /
   ahorātroṣito bhūtvā taptakṛcchraṃ samācaret // KūrmP_2,32.29 //	ahorAtra uzitaH BUtvA taptakRcCram samAcaret // KUrmP_2,32.29 //
   udakyāgamane viprastrirātreṇa viśudhyati /	udakyA gamane vipraH tri rAtreNa viSuDyati /
   cāṇḍālīgamane caiva taptakṛcchratrayaṃ viduḥ /	cANxAlI gamane ca eva taptakRcCra trayam viduH /
   saha sāṃtapanenāsya nānyathā niṣkṛtiḥ smṛtā // KūrmP_2,32.30 //	saha sAMtapanena asya na anyaTA nizkRtiH smRtA // KUrmP_2,32.30 //
   mātṛgotrāṃ samāsādya samānapravarāṃ tathā /	mAtR gotrAm samAsAdya samAna pravarAm taTA /
   cādrāyaṇena śudhyeta prayatātmā samāhitaḥ // KūrmP_2,32.31 //	ca AdrAyaNena SuDyeta prayata AtmA samAhitaH // KUrmP_2,32.31 //
   brāhmaṇo brāhmaṇīṃ gatvā gṛcchramekaṃ samācaret /	brAhmaNaH brAhmaNIm gatvA gRcCram ekam samAcaret /
   kanyakāṃ dūṣayitvā tu careccāndrāyaṇavratam // KūrmP_2,32.32 //	kanyakAm dUzayitvA tu caret cAndrAyaNa vratam // KUrmP_2,32.32 //
   amānuṣīṣu puruṣa udakyāyāmayoniṣu /	amAnuzIzu puruzaH udakyAyAm ayonizu /
   retaḥ siktvā jale caiva kṛcchraṃ sāntapanaṃ caret // KūrmP_2,32.33 //	retaH siktvA jale ca eva kRcCram sAntapanam caret // KUrmP_2,32.33 //
   bandhakīgamane viprastrirātreṇa viśuddhyati /	banDakI gamane vipraH tri rAtreNa viSudDi ati /
   gavi bhathunamāsevya careccāndrāyaṇavratam // KūrmP_2,32.34 //	gavi BaTunam Asevya caret cAndrAyaNa vratam // KUrmP_2,32.34 //
   ajāvī maithunaṃ kṛtvā prājāpatyaṃ cared dvijaḥ /	aja avI mETunam kRtvA prAjApatyam caret dvijaH /
   patitāṃ ca striyaṃ gatvā tribhiḥ kṛcchrai rviśuddhyati // KūrmP_2,32.35 //	patitAm ca striyam gatvA triBiH kRcCrEH rviSudDi ati // KUrmP_2,32.35 //
   pulkasīgamane caiva kracchraṃ cāndrāyaṇaṃ caret /	pulkasI gamane ca eva kracCram cAndrAyaNam caret /
   naṭīṃ śailūṣakīṃ caiva rajakīṃ veṇujīvinīm /	nawIm SElUzakIm ca eva rajakIm veNu jIvinIm /
