   // śrīḥ// 8 6 2001.	// SrIH// 8 6 2001.
   tarkatāṇḍavam	tarka tANxavam
   na tṛtīyaḥ/ jñānasya	na tRtIyaH/ jQAnasya
   hīcchānivartakatvamaniṣṭatāvacchedakadhmaprakārakatvenaiva/ anyathā	hi icCA nivartaka tvam anizwa tA avacCeda kaDma prakAraka tvena eva/ anyaTA
   prameyatvādiprakārakamapi viṣā 1 dijñānaṃ tannivartakaṃ syāt/ na ca	prameya tva Adi prakArakam api vizAH 1 dijQAnam tat nivartakam syAt/ na ca
   nirdhūmatvajñānaṃ tvanmate nirdhūmatāṃ tadāpādakatvenāniṣṭaṃ niragnitāṃ	nirDUma tva jQAnam tvad mate nirDUma tAm tad ApAdaka tvena anizwam niragnitAm
   vāniṣṭa 2 prāmāṇyāpātāt/ kiṃ tu pakṣaniṣṭhatayaiveti kathaṃ tarkeṇa	vA anizwaH 2 prAmANya apAtAt/ kim tu pakza nizWatayA eva iti kaTam tarkeNa
   niragnikatvajijñānasānivṛttiḥ//	niragnika tva jijQAna sAni vRttiH//
   pratipramāṇaṃ   sādhyābhāvaviṣayaṃ tarkajñānaṃ tu nirdhūmatvaviṣayamiti	pratipramANaM  sADya aBAva vizayam tarka jQAnam tu nirDUma tva vizayam iti
   virodhiviṣayakatvaṃ neti bhāvaḥ/ sādhyābhāvajijñāsānivartaneneti pakṣaṃ	viroDi vizayaka tvam na iti BAvaH/ sADya aBAva jijQAsA nivartanena iti pakzam
   nirāha   na tṛtīya iti// jijñāsā hi jñānecchā/ nirdhūmatvajñānena	nirAha  na tRtIyaH iti// jijQAsA hi jQAna icCA/ nirDUma tva jQAnena
   jijñāsānivṛttau nivṛttiprayojakadharmābhāvānna sāmarthyamiti	jijQAsA nivRttO nivRtti prayojaka Darma aBAvAt na sAmarTyam iti
   sāmānyanyāyoktipūrvamāha   jñānasya hīti// aniṣṭatāyāṃ yadavacchedakaṃ	sAmAnya nyAya ukti pUrvam Aha  jQAnasya hi iti// anizwa tAyAm yad avacCedakam
   ahitvaviṣatvakaṇṭakatvādikaṃ tatprakārakatve 3 naivetyarthaḥ/ astvetadapi	ahi tva viza tva kaNwaka tva Adikam tad prakAraka tve 3 na eva iti arTaH/ astu etat api
   jñānaṃ tathetyata āha   na ceti// nirdhūmatāmityatrāpyaniṣṭāmityanveti//	jQAnam taTA iti atas Aha  na ca iti// nirDUma tAm iti atra api anizwAm iti anveti//
   nacollikhatīti// pramāṇaviruddhatvā 4 deraniṣṭatāvacchedaka 5	naca ulliKati iti// pramANa virudDatvA 4 dera nizwa tA avacCedakaH 5
   sphuraṇasyānanubhāditi bhāvaḥ/ vipakṣe bādhakataṃ cāha    tathātva iti//	sPuraNasya ananuBAt iti BAvaH/ vipakze bADakatam ca Aha   taTAtvaH iti//
   aniṣṭamaniṣṭatā 6 vacchedakenollekhe sati vahnitvādinā	anizwam anizwa tA 6 vacCedakena ulleKe sati vahni tva AdinA
   vahnyādyullekhijñānasyeva prāmāṇyaṃ syādityarthaḥ//	vahni Adi ulleKi jQAnasya iva prAmANyam syAt iti arTaH//
   nanu dhūmaṃ paśyataḥ kathaṃ nirdhūmatvādijñāne pramāṇaviruddhatvādikaṃ na	nanu DUmam paSyataH kaTam nirDUma tva Adi jQAne pramANa virudDa tva Adikam na
   bhāyāt/ na caivaṃ prāmāṇyāpātaḥ	BAyAt/ na ca evam prAmANya ApAtar 
   avidyamānapakṣaniṣṭhatvabhānādaprāmāṇyamastviti   	avidyamAna pakza nizWa tva BAnAt aprAmANyam astu iti   
   1.ṣayādijñā  ga.ṭa.rā. 2.tvāvacchedaka dharmavattayā  ga.rā. 3.netya	1.zaya Adi jQA ga.wa.rA. 2.tvA avacCedaka Darmavat tayA  ga.rA. 3.netya
    ṭa.ḍa. 4.dyaniṣṭa ṭha. 5.katvasphu  ṭha. 6.tvāva  ṭa.ṭha.ḍa.	 wa.xa. 4.dI anizwa Wa. 5.katva sPu  Wa. 6.tvAva wa.Wa.xa.
   pu   170. nyāyadīpuyatatarkatāṇḍavam (tṛ.paricchedaḥ	pu  170. nyAya dIpuyata tarka tANxavam (tR. paricCedaH
   kiñca pramāṇaviruddhanirdhūmatvāpādakatayā niragnikatvamevāniṣṭaṃ na tu	kiQca pramANa virudDa nirDUma tva ApAdaka tayA niragnika tvam eva anizwam na tu
   tajjñānam/ tasyāroparūpatvena tadanāpādakatvāt/ tathā ca	tat jQAnam/ tasya Aropa rUpa tvena tad anApAdaka tvAt/ taTA ca
   niragnikatvaviṣayecchāyā eva nivṛttiḥ syāt/ na tu	niragnika tva vizayecCAyA eva nivRttiH syAt/ na tu
   tajjñānaviṣecchārūpajijñānasāyāḥ//	tad jQAna vizet SA ru upa jijQAna sAyAH//
   kiñcecchāvicchedakamaniṣṭatvaṃ duḥkhatatsādhanānyataratvarūpaṃ	kiQca icCA vicCedakam anizwa tvam duHKa tad sADana ani atara tva rUpam
   natvaprāmāṇikatadāpakānayataratvarūpam/ āptavākyādinā svasya dāridrayaṃ	na tu aprAmANika tadApakA nayatara tva rUpam/ Apta vAkya AdinA svasya dAridrayam
   niścitavatopi dhena autkaṇṭhyadarśanāt/ tathācāprāmāṇikanirdhūmatvāpādake	niScitavatA upi Dena OtkaNWya darSanAt/ taTA aca aprAmANika nirDUma tva ApAdake
   cedevamapi nirdhūmanatvajñānena niragnikatvecchaiva nivartyā natu	ced evam api nirDUmana tva jQAnena niragnika tva icCA eva nivartyAH na tu
   tajjñānecchārūpā jijñāsetyāha   kiñceti// aniṣṭatāvacchedakaprakārakaṃ	tad jQAna icCA rUpA jijQAsA iti Aha  kiQca iti// anizwa tAvacCedaka prakArakam
   jñānamaniṣṭaviṣayecchāṃ nivartayati/ sā ca niragnikatvecchaiva/ tasyā	jQAnam anizwa vizaya icCAm nivartayati/ sA ca niragnika tva icSA eva/ tasyAH 
   aniṣṭatvāt/ na tu tajjñānecchārūpā/	anizwa tvAt/ na tu tad jQAna icCA rUpA/
   jijñāsyajñānasyāniṣṭatvābhāvādityarthaḥ//	jijQAsyajQAnasya anizwa tva aBAvAt iti arTaH//
   nanvaniṣṭaviṣayakatvānniragnikatvajñānamapyaniṣṭamevetyato	nanu anizwa vizayaka tvAt niragnika tva jQAnam api anizwam eva iti atas 
   viṣayasyāpyaniṣṭatvamabhyupetyoktam/ vastutastadapi netyāha  	vizayasya api anizwa tvam aByupetya uktam/ vastutas tat api na iti Aha  
   kiñceccheti// na cā 1 prāmāṇiketi// aprāmāṇikatvaṃ vā, tadāpādakatvaṃ vā,	kiQca icCA iti// na cA 1 prAmANika iti// aprAmANika tvam vA, tad ApAdaka tvam vA,
   yena nirdhūmatvamaprāmāṇikamiti niragnikatvaṃ ca	yena nirDUma tvam aprAmANikam iti niragnika tvam ca
   tadāpādakamityubhayamaniṣṭaṃ syādityarthaḥ/ dhana iti// tasya	tad ApAdakam iti uBayam anizwam syAt iti arTaH/ DanaH iti// tasya
   svasminnaprāmāṇikatvaniścayepyaniṣṭatvābhāvātpratyutautkaṇṭhyarūpecchāviṣayeneṣṭatvasyaiva	svasmin= aprAmANika tva niScayepi anizwa tva aBAvAt pratyuta OtkaNWya rUpa icCA vizayena izwa tvasya eva
   darśanādityarthaḥ/	darSanAt iti arTaH/
   1. na tvaprā  ṭha.ḍa.	1. na tu aprA  Wa.xa.
   pate tarkogā saṃvaḥ) tarkavādaḥ pu   171.	pate tarkogA  saMvaH) tarkavAdaH pu  171.
   niragnikatve kathaṃ śabdasāmyamātreṇecchāvicchedaṃ brūṣe//	niragnika tve kaTam Sabda sAmya mAtreNa icCA vicCedam brUze//
   kiñca sādhyābhāvajijñāsā na sādhyānumitipratibandhikā/ yena tannivṛttaye	kiQca sADya aBAva jijQAsA na sADya anumiti pratibanDikA/ yena tad nivRttaye
   tarko 'pekṣyata/ sā hi sādhyābhāvaviṣayakajñānaviṣayiṇī / na ca	tarkaH apekzyata/ sA hi sADya aBAva vizaya ka jQAna vizayiNI / na ca
   sādhyābhāvaviṣayaviṣayakamapi sādhyajñānavirodhi/ tathātve hi pakṣe	sADya aBAva vizaya vizayakam api sADya jQAna viroDi/ taTA tve hi pakze
   sādhyābhāva 1	sADya aBAva 1
   jñānamiti jñānenāpyanumitiḥ pratibadhyeta//	jQAnam iti jQAnena api anumitiH pratibaDyeta//
   śabdasāmyamātreṇeti// duḥkhaṃ tatsādhanaṃ vā yathāniṣṭamucyate tathā 2	Sabda sAmya mAtreNa iti// duHKam tad sADanam vA yaTA anizwam ucyate taTA 2
   prāmāṇike tadāpadake vāṅgīkārānarhatvamātreṇāniṣṭapadamastīti	prAmANike tad Apadake vA aFgIkArAn arha tva mAtreNa anizwa padam asti iti
   śabdasāmyamātreṇetyarthaḥ/ nirdhūmatvādijñānena hyanumitipratibandhakaṃ	Sabda sAmya mAtreNa iti arTaH/ nirDUma tva Adi jQAnena hi anumiti pratibanDakam
   nirasyam/ sādhyābhāvajijñāsā tu na pratibandhaketi tannirāsāyāso vyartha	nirasyam/ sADya aBAva jijQAsA tu na pratibanDaka iti tad nirAsa AyAsaH vyarTa
   evetyāha   kiñceti// iti jñānenāpīti// sādhyābhāvajñānaviṣayakajñānasyāpi	eva iti Aha  kiQca iti// iti jQAnena api iti// sADya aBAva jQAna vizaya ka jQAnasya api
   svaviṣayajñānadvārā sādhyābhāvaviṣayakatvāditi bhāvaḥ//	sva vizaya jQAna dvArA sADya aBAva vizayaka tvAt iti BAvaH//
   3 maṇikaṇṭhe tu    sādhyābhāvamātraviṣayakajijñāsā hyanumitipratibandhikā/	3 maNikaNWe tu   sADya aBAva mAtra vizaya kajijQAsA hi anumiti pratibanDikA/
   na tu sādhyatadabhāvobhayaviṣayā/ saṃśayena cobhayakoṭikaiva jijñāsā	na tu sADya tad aBAva uBaya vizayA/ saMSayena ca uBaya kowikA eva jijQAsA
   janyate/ na tu sādhyābhāvamātrakoṭikā jijñāsā/ tasminkāle	janyate/ na tu sADya aBAva mAtra kowikA jijQAsA/ tasmin kAle
   sādhyābhāvamātrajijñāsotpattau kāraṇābhāvātkiṃ tannivartakatarkeṇetyuktam/	sADya aBAva mAtra jijQAsA utpattO kAraNa aBAvAt kim tat nivartaka tarkeNa iti uktam/
   tatra sādhyābhāvamātrajijñāsāyā apyuktadiśā pratibandhakatvābhāvo	tatra sADya aBAva mAtra jijQAsAyAH api ukta diSA pratibanDaka tva aBAvaH 
   dhyeyaḥ//	DyeyaH//
   1. va viṣayajñānenāpi    ṭa. be jñānamiti jñānenā rā. 2.thā a  ḍa. 3.ata	1. va vizaya jQAnena api   wa. be jQAnam iti jQAnena a rA. 2.TAH a  xa. 3.ata
   evetyadhikam  ṭha.	eva iti aDikam  Wa.
   pu   172. nyāyadīpayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu  172. nyAya dIpa yuta tarka tANxavam (tR. paricCedaH
   nāpi caturthaḥ/ nirdhūmatvaviṣayasya tarkasya	na api caturTaH/ nirDUma tva vizayasya tarkasya
   bhinnaviṣayatvenāgniviṣayakajijñāsojjīvakatvāyogāt/ etena vyāptigrahe	Binna vizaya tvena agni vizaya kajijQAsA ujjIvaka tva ayoga at/ etena vyApti grahe
   upayoga iti dvitīyopi nirastaḥ/ nirdhūmatvajñānasya	upayogaH iti dvitIya upi nirastaH/ nirDUma tva jQAnasya
   viṣayakṛtavirodhābhāvādāropa 1 tvena jñātatvācca niragnikostviti śaṅkāṃ	vizaya kRta viroDa aBAvAt Aropa 1 tvena jQAta tvAt ca niragnikoH tu iti SaFkAm
   pratyavirodhitvāditi dik//	pratyaviroDi tvAt iti dik//
   etadevābhipretyoktaṃ paddhatau viparītaśaṅkānirasanadvāreṇeti/ na	etat eva aBipretya uktam padDatO viparIta SaFkA nirasana dvAreNa iti/ na
   tūdayanādirītyāniṣṭaprasañjakatvādinetyarthaḥ/	tu udayanAdirItyA anizwa prasaQjaka tva AdinA iti arTaH/
   sādhyābhāvasaṃśayajanyasādhyajijñāsojjīvakatvena tarkasyopayoga iti pakṣaṃ	sADya aBAva saMSaya janya sADya jijQAsA ujjIvaka tvena tarkasya upayogaH iti pakzam
   nirāha   nāpi caturtha iti// dvitīyopa 2 nirasta iti// dhūmatvajñānaṃ hi	nirAha  na api caturTaH iti// dvitIya upa 2 nirastaH iti// DUma tva jQAnam hi
   dhūmasya	DUmasya
   niragnikatvarūpasādhyābhāvasāmānādhikaraṇyarūpavyabhicārajñānanivṛttidvārāvyabhicā	niragnika tva rUpa sADya aBAva sA mAnADikaraNya rUpa vyaBicAra jQAna nivRtti dvAra avyaBicA
   ritasāmānādhikaraṇyarūpavyāptigrahopayogīti vācyamā/ jñānasya	rita sAmAnA aDikaraNya rUpa vyApti graha upayogI iti vAcyamA/ jQAnasya
   vyabhicārajñānanivartakatvaṃ tadvirodhiviṣayakatvenaiva / na ca	vyaBicAra jQAna nivartaka tvam tad viroDi vizayaka tvena eva / na ca
   nirdhūmatvajñānaṃ sādhyābhāvasāmānādhikaraṇyavirodhiviṣayakaṃ yena	nirDUma tva jQAnam sADya aBAva sA mAnADikaraNya viroDi vizayakam yena
   vyāptigrahopayogi syāditi bhāvenāha    nirdhūmatvajñānasyeti//	vyApti graha upayogi syAt iti BAvena Aha   nirDUma tva jQAnasya iti//
   kiñca tvanmate kevalānvayisādhyakahetuprayogasthale sādhyābhāvāprasiddhyā	kiQca tvad mate kevala anvayi sADyaka hetu prayoga sTale sADya aBAva aprasidDyA
   māstu prameyatvamityādiśaṅkānudayena tatra tannivartanāsaṃbhavātkathaṃ	mA astu prameya tvam iti Adi SaFkA anudayena tatra tad nivartana asaMBavAt kaTam
   tatra tarkasyopayogaḥ/ api ca tarkasyāpi vyāptisāpekṣatvena	tatra tarkasya upayogaH/ api ca tarkasya api vyApti sApekza tvena
   tarkāṅgavyāptijñānepi tarkāpekṣāyāmanavasthāpātena na	tarka aFga vyApti jQAnepi tarka apekzAyAm anavasTA pAtena na
   vyāptigrahopayogitvaṃ tarkasya syāt/ yadi kvacittarkeṇa vināpi	vyApti graha upayogi tvam tarkasya syAt/ yadi kvacid tarkeNa vinA api
   vyāptigrahastarhi vyabhicārātkathaṃ tarkasya tadupayogitvam/ siddhānte tu	vyApti grahaH tarhi vyaBicArAt kaTam tarkasya tad upayogi tvam/ sidDAnte tu
   svatantrapramāṇatvānna vyāptigraha evopayogaḥ/ upayogopi bahuprakāreṇa	svatantra pramANa tvAt na vyApti grahaH eva upayogaH/ upayoga upi bahu prakAreNa
   prāgevopapādita ityādyanusandhāyāha    digiti//	prAk eva upapAditaH ityAdi anusanDAya Aha   diS iti//
   1.pitatvena  ga.ṭa.rā.	1.pita tvena  ga.wa.rA.
   pakta kelāyi laṇaṅgaḥ) vibhāgavādaḥ pu   173.	pakta kelAyi  laNaFgaH) viBAga vAdaH pu  173.
   atra viparītaśabdena paramate svamata iva nivartyāyāḥ śaṅkāyā nivartakena	atra viparIta Sabdena para mate svam ataH iva nivartyAyAH SaFkAyAH nivartakena
   tarkeṇa saha viṣayakṛto virodho neti darśitam//	tarkeNa saha vizaya kRtaH viroDaH na iti darSitam//
   iti paramate tarkopayogāsaṃbhavaḥ // 17 //	iti para mate tarka upayoga asaMBavaH // 17 //
   svamata iveti// anyathopapatyanyathānupapattirūpaviruddhaviṣayakatvaṃ	svam ataH iva iti// anyaTA upapati anyaTA anupapatti rUpa virudDa vizayaka tvam
   yathā svamate tathā na paramata ityarthaḥ//	yaTA sva mate taTA na paramatas iti arTaH//
   iti paramate tarkopayogāsaṃbhavaḥ // 18 //	iti para mate tarka upayoga asaMBavaH // 18 //
   atha paroktakevalānvayitvalakṣaṇabhaṅgaḥ // 19 //	aTa para ukta kevala anvayitva lakzaNa BaFgaH // 19 //
   yacca maṇau vyāptirdve 1 dhā anvayavyatirekabhedāt/ tataścānumānamapi	yat ca maNO vyAptiH dve 1 DAH anvaya vyatireka BedAt/ tatas ca anumAnam api
   kevalānvayikevalavyatirekyanvayavyatirekibhedāttrividham/ tatra	kevala anvayi kevala vyatireki anvaya vyatireki BedAt triviDam/ tatra
   vṛttimadatyantābhāvāpratiyogitvaṃ kevalānvayitvam/ gaganātyantābhāvasya	vRttimat atyanta aBAva apratiyogi tvam kevala anvayitvam/ gagana atyanta aBAvasya
   kevalānvayitvārthaṃ vṛttimatpadamiti tanna /	kevala anvayitva arTam vRttimat padam iti tat na /
   yattu paddhatau kevalānvayikevalavyatirekītyādinā	yat tu padDatO kevala anvayi kevala vyatireki ityAdinA
   paroktānumānatraividhyamanūdya nirastaṃ tadvivaritukāmaḥ taccānumānaṃ	parokta anumAna trEviDyam anUdya nirastam tad vivaritu kAmaH tat ca anumAnam
   trividhamityādināmaṇyuktaṃ nirasitumāha   yacceti// vṛttimaditi//	triviDam ityAdinA maNI uktam nirasitum Aha   yat ca iti// vRttimat iti//
   vṛttimānyo 2 yamatyantābhāvastadapratiyogitvamityarthaḥ/ atra	vRttimAn yaH 2 yam atyanta aBAvaH tad apratiyogi tvam iti arTaH/ atra
   vṛttimānityanena svamānādhikaraṇāvirodhinīṃ yā vṛttistadvānvivakṣitaḥ/	vRttimAn iti anena sva mAna aDikaraNa aviroDinIm yA vRttiH tadvAn vivakzitaH/
   1.rdvividhā  ga.ṭa.rā. 2.nyotyantā  ṭa.ṭha.	1.rdviviDAH  ga.wa.rA. 2.nyoti antA  wa.Wa.
   pu   174. nyāyadīpayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu  174. nyAya dIpa yuta tarka tANxavam (tR. paricCedaH
   gaganasya kevalānvayyatyantābhāvapratiyogitve tucchatvāpātāt/ na hi	gaganasya kevala anvayi ati anta aBAva pratiyogi tve tucCa tvApAtAt/ na hi
   śaśaśruṅgāderapītonyadasatvamasti 1 / vistṛtaṃ caitannyāyāmṛte//	SaSaSruFga AdeH apIta unyat asatvam asti 1 / vistRtam ca etat nyAyAmRte//
   iti paroktakevalānvayitva 2 lakṣaṇabhaṅgaḥ // 18 //	iti para ukta kevala anvayitva 2 lakzaNa BaFgaH // 18 //
   tena saṃyogātyantābhāve nāvyāptiḥ/	tena saMyoga atyanta aBAve na avyAptiH/
   saṃyogavṛttestadatyantābhāvasāmānādhikaraṇyāvirodhitvādityāhuḥ/ etacca	saMyoga vRtteH tad atyanta aBAva sA mAnADikaraNyA viroDi tvAt iti AhuH/ etat ca
   prameyatvābhidheyatvādāvasti/ tadatyantābhāvasya 3 vyāghātabhayena	prameya tva aBiDeya tvAt A= asti/ tad atyanta aBAvasya 3 vyAGAta Bayena
   kvāpyaṅgīkartumaśakyatvāt/	kvApi aFgIkartum aSakyatvAt/
   sarvasyāpyanyonyābhāvapratiyogitvādasaṃbhavavāraṇāyātyantapadam/ tarhi	sarvasya api anyonya aBAva pratiyogi tvAt asaMBava vAraNAya atyanta padam/ tarhi
   tāvadevāstvityato dūṣaṇasaukaryāya viśeṣaṇakṛtyamāha   gaganeti//	tAvat evAH tu iti atas dUzaNa sOkaryAya viSezaNa kRtyam Aha  gagana iti//
   bhāvābhāvayoranyonyaviraharūpatayā gaganātyantābhāvopi	BAva aBAvayoH anyonya viraha rUpa tayA gagana atyanta aBAva upi
   gaganarūpātyantābhāvapratiyogīti tatrāvyāptaṃ lakṣaṇaṃ syādato	gagana rUpa atyanta aBAva pratiyogI iti tatra avyAptam lakzaNam syAt atas 
   vṛttimaditi/ gaganaṃ cāvṛttipadārthastanmata iti vṛttimadatyantābhāvo na	vRttim at iti/ gaganam ca AvRtti padArTaH tat mataH iti vRttimat ati anta aBAvaH na
   gaganarūpaḥ/ kiṃ tu ghaṭātyantābhāva eva/ tathā ca tadapratiyogitvaṃ	gagana rUpaH/ kim tu Gawa atyanta aBAvaH eva/ taTA ca tad apratiyogi tvam
   gaganātyantābhāve 'stīti nāvyāptiriti/ tasyāpi kevalānvayitvasiddhyarthaṃ	gagana atyanta aBAve asti iti na avyAptiH iti/ tasya api kevala anvayitva sidDi arTam
   vṛttimatpadamityarthaḥ// nyāyāmṛta iti// mithyātvaniruktibhaṅge	vRttimat padam iti arTaH// nyAya amRtaH iti// miTyAtva nirukti BaFge
   pratipannopādhau traikālikaniṣedhapratiyogitvakhaṇḍanaprastāve tathā   	pratipanna upADO trEkAlika nizeDa pratiyogi tva KaNxana prastAve taTA   
   trikālasarvadeśīyaniṣedhāpratiyogitā/	tri kAla sarva deSIya nizeDa apratiyogitA/
   sattocyate 'dhyastatucche taṃ pratiyoginī//	sattA ucyate aDyasta tucCe tam pratiyoginI//
   iti satvaniruktiprastāve, asato 'tyantābhāvapratiyogitvasamarthanaprastāve	iti satva nirukti prastAve, asataH atyanta aBAva pratiyogi tva samarTana prastAve
   ceti bhāvaḥ//	ca iti BAvaH//
   iti paroktakevalānvayi 4 lakṣaṇabhaṅgaḥ // 19 //	iti para ukta kevala anvayi 4 lakzaNa BaFgaH // 19 //
   1.mapi  ga.rā. 2.yila ṭa.rā. 3.vavyā ṭa.ḍa. 4.yitvala ṭa.ṭha.	1.m api  ga.rA. 2.yila wa.rA. 3.vavyA wa.xa. 4.yitvala wa.Wa.
   kela vyatiḥ bhaṅgaḥ) vibhāgavādaḥ pu   175.	kela  vyatiH BaFgaH) viBAga vAdaH pu  175.
   atha kevalavyatirekibhaṅgaḥ // 20 //	aTa kevala vyatireki BaFgaH // 20 //
   kevalavyatirekyanumānaṃ ca na yuktam/ tvanmate vyāptigrahārthaṃ	kevala vyatireki anumAnam ca na yuktam/ tvad mate vyApti graha arTam
   pratijñāvākyasyābodhakatvaparihārārthaṃ ca 1 viśiṣṭajñānaṃ	pratijQA vAkyasya AboDaka tva parihAra arTam ca 1 viSizwa jQAnam
   viśeṣaṇajñānapūrvakamiti niyamārthaṃ 2 sādhyaprasiddherāvaśyakatvāt/	viSezaNa jQAna pUrvakam iti niyama arTam 2 sADya prasidDeH AvaSyaka tvAt/
   kevalavyatirekiṇi ca tasyā abhāvāt//	kevala vyatirekiNi ca tasyAH aBAvAt//
   atha kevalavyatirekibhaṅgaḥ// 20 //	aTa kevala vyatireki BaFgaH// 20 //
   kevalānvayidharmalakṣaṇakhaṇḍanenaiva kevalānvayisādhyakamanumānaṃ	kevala anvayi Darma lakzaNa KaNxanena eva kevala anvayi sADyakam anumAnam
   nirastaṃ matvāha    kevalavyatirekīti 3 // yasya dharmasya kevalaṃ	nirastam matvA Aha   kevala vyatirekI iti 3 // yasya Darmasya kevalam
   vyatireko abhāva eva prasiddhaḥ na tu bhāvaḥ sa dharmaḥ kevalavyatirekīti	vyatirekaH aBAvaH eva prasidDaH na tu BAvaH sa DarmaH kevala vyatirekI iti
   tādṛśadharmasādhyakamanumānamapi kevalavyatirekyanumānamityarthaḥ/	tAdRSa Darma sADyakam anumAnam api kevala vyatireki anumAnam iti arTaH/
   vyāptīti// sādhyāprasiddhau tannirūpitatsāmānādhikaraṇyā 4	vyApti iti// sADya aprasidDO tad nirUpi tat sAmAna aDikaraNyA 4
   dirūpavyāptigrahāsambhavāditi bhāvaḥ// abodhakatveti//	dirUpa vyApti graha asamBavAt iti BAvaH// aboDaka tva iti//
   sādhyadharmasyāprasiddhau tatra śabdasya	sADya Darmasya aprasidDO tatra Sabdasya
   śaktigrahāyogenāvyutpannasādhyapadaghaṭitapratijñāvākyasya	Sakti graha ayogena avyutpanna sADya pada Gawita pratijQA vAkyasya
   bodhakatvāyogāditi bhāvaḥ// viśiṣṭeti//	boDaka tva ayogAt iti BAvaH// viSizwa iti//
   vyatirekihetunotpannasādhyaviśeṣaṇa 5	vyatireki hetunA utpanna sADya viSezaNa 5
   kapakṣaviśeṣyakaviśiṣṭajñānamanumiteḥ pūrvaṃ sādhyāprasiddhau	kapakza viSezyaka viSizwa jQAnam anumiteH pUrvam sADya aprasidDO
   viśeṣaṇajñānapūrvakaṃ na syāt/ tathā ca tatpūrvakatvaniyamaśca	viSezaNa jQAna pUrvakam na syAt/ taTA ca tad pUrvakatva niyamaH ca
   nirvikalpakajñānavādinā tvayāṅgīkṛta iti tadrakṣārthaṃ	nirvikalpaka jQAna vAdinA tvayA aFgIkRtaH iti tad rakzA arTam
   sādhyaprasiddhirāvaśyakītyarthaḥ//	sADya prasidDiH AvaSyaki iti arTaH//
   1. ca iti nāsti  ṭa.rā. 2.ca ityadhikam ṭa.rā. 3.kyapīti ṭa.	1. ca iti nAsti wa.rA. 2.caH iti aDikam  wa.rA. 3.kyapIti wa.
   kyanumānamapīti  ṭha. 4.ṇyarū  ḍa. 5. ṇapa   ṭa.ḍa.	kyanumAnam api iti  Wa. 4.NI a rU  xa. 5. NapaH  wa.xa.
   pu   176. nyāyadīpayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu  176. nyAya dIpa yuta tarka tANxavam (tR. paricCedaH
   tatra sādhyāprasiddhir 1 natāvatpakṣe kevalavyatirekivaiyarthyāt/	tatra sADya aprasidDiH 1 natAvat pakze kevala vyatireki vEyarTyAt/
   nāpyanyatra/ tatra hetorvṛttāvanvayitvasyāvṛttā 2 vasādhāraṇyasya 3	na api anyatra/ tatra hetoH vRttO= anvayitvasya AvRttAH 2 vasA DAraNyasya 3
   cāpātāt//	cApAtAt//
   nāpi pakṣaikadeśe tena nāsādhāraṇyam pakṣādanyatra tadaprasiddheḥ, nāpi	na api pakza eka deSe tena nAsADAraNyam pakzAt anyatra tad aprasidDeH, na api
   kevalavyatirekavaiyarthyam tasya kṛtsne pakṣe sādhyapratītyarthatvāditi	kevala vyatireka vEyarTyam tasya kRtsne pakze sADya pratIti arTa tvAt iti
   vācyam/ pṛthivītarabhinne 4 tyādau pakṣasyaikadeśasatvepi gaganamitara 5	vAcyam/ pRTivI itara Binne 4 tyAdO pakzasya eka deSa satva Ipi gaganam itaraH 5
   bhinnamityādau tadabhāvāt/ aṃśe siddhasādhanācca/ abhedānumāna iva	Binnam ityAdO tad aBAvAt/ aMSe sidDa sADanAt ca/ aBeda anumAnaH iva
   pakṣaikadeśasya 6 niścitasādhyakatayānvayadṛṣṭāntatvasambhavena	pakza eka deSasya 6 niScita sADyaka tayA anvaya dRzwAnta tva samBavena
   kevalavyatirekitvabhaṅgācca/ pakṣabhinnatvena viśeṣaṇaṃ ca gauravam//	kevala vyatireki tva BaFgAt ca/ pakza Binna tvena viSezaNam ca gOravam//
   kathamabhāva ityato bhaktipāde sādhyāprasiddhajheradoṣatvoktiprastāve	kaTam aBAvaH iti atas Bakti pAde sADya aprasidDa Jera doza tva ukti prastAve
   sudhoktarītyāha   tatreti// kevalavyatirekiṇītyarthaḥ/ vyatirekavāde maṇau	suDA uktarI iti Aha  tatra iti// kevala vyatirekiNI iti arTaH/ vyatireka vAde maNO
   siddhānte kathitaṃ nirāha   nāpīti// itareti// jalādī 7 nyaṣṭadravyāṇi	sidDAnte kaTitam nirAha  na api iti// itareti// jala AdI 7 nyazwa dravyANi
   guṇakarmasāmānyaviśeṣasamavāyāḥ pañcetitrayodaśāpadārthā itarapadārthāḥ/	guNa karma sAmAnya viSeza samavAyAH paQca iti trayodaSA padArTAH itara padArTAH/
   tadabhāvāditi// tasyākhaṇḍatvopagamāttārkikairiti bhāvaḥ/ abhedeti//	tad aBAvAt iti// tasya aKaNxa tva upagamAt tArkikEH iti BAvaH/ aBeda iti//
   ayamata 8 dbhinna etadvṛkṣatvādetadvṛkṣavadityanumāna ivetyarthaḥ//	ayamatas 8 dBinnaH etat vRkza tvAt etat vRkza vat iti anumAnaH iva iti arTaH//
   nanu pakṣādanyatra niścitasādhyakatvameva dṛṣṭāntatve prayojakamityata āha	nanu pakzAt anyatra niScita sADyaka tvam eva dRzwAnta tve prayojakam iti atas Aha
