   Pariccheda 2	Pari=-CedaH 2
   sukhaṃ jīvanti hariṇā vaneṣv aparasevinaḥ /	suKam jIvanti hariNA vanezu apara-sevinaH /
   arthair ayatnasulabhair jaladarbhāṅkurādibhiḥ // 2.341 //	arTEH ayatna-sulaBEH jala-darBa-aFkura-AdiBiH // 2.341 //
   seyam aprastutaivātra mṛgavṛttiḥ praśasyate /	sA-iyam aprastutA-eva-atra mRga-vRttiH praSasyate /
   rājānuvartanakleśa- nirviṇṇena manasvinā // 2.342 //	rAja-anuvartana-kleSa nirviNNena manasvinA // 2.342 //
   [vyājastuti]	[vyAjastuti]
   yadi nindann iva stauti vyājastutir asau stutā /	yadi nindan iva stOti vyAja-stutiH asO stutA /
   doṣābhāsā guṇā eva labhante yatra saṃnidhim // 2.343 //	doza-ABAsAH guNAH eva laBante yatra saMniDim // 2.343 //
   tāpasenāpi rāmeṇa jiteyaṃ bhūtadhāriṇī /	tApasena-api rAmeNa jitA-iyam BUta-DAriNI /
   tvayā rājñāpi seveyaṃ jitā mā bhūn madas tava // 2.344 //	tvayA rAjQA-api sevA-iyam jitAH mA BUt madaH tava // 2.344 //
   puṃsaḥ purāṇād ācchidya śrīs tvayā paribhujyate /	puMsaH purANAt AcCidya SrIH tvayA pariBujyate /
   rājann ikṣvākuvaṃśasya kim idaṃ tava yujyate // 2.345 //	rAjan ikzvAku-vaMSasya kim idam tava yujyate // 2.345 //
   bhujaṅgabhogasaṃsaktā kalatraṃ tava medinī /	BujaFga-Boga-saMsaktA kalatram tava medinI /
   ahaṃkāraḥ parāṃ koṭim ārohati kutas tava // 2.346 //	ahaMkAraH parAm kowim Arohati kutas tava // 2.346 //
   iti śleṣānuviddhānām anyeṣāṃ copalakṣyatāṃ /	iti Sleza-anuvidDAnAm anyezAm ca-upalakzya-tAm /
   vyājastutiprakārāṇām aparyantaḥ pravistaraḥ // 2.347 //	vyAja-stuti-prakArANAm aparyantaH pravistaraH // 2.347 //
   [nidarśana]	[nidarSana]
   arthāntarapravṛttena kiṃcit tatsadṛśaṃ phalam /	arTa-antara-pravRttena kiMcid tad-sadRSam Palam /
   sad asad vā nidarśyeta yadi tat syān nidarśanam // .íF.H //	sat asat vA nidarSyeta yadi tat syAt nidarSanam // .íF.H //
   udayann eva savitā padmeṣv arpayati śriyam /	udayan eva savitA padmezu arpayati Sriyam /
   vibhāvayitum ṛddhīnāṃ phalaṃ suhṛdanugraham // 2.349 //	viBAvayitum RdDInAm Palam suhRd-anugraham // 2.349 //
   yāti candrāṃśubhiḥ spṛṣṭā dhvāntarājī parābhavam /	yAti candra-aMSuBiH spRzwA DvAnta-rAjI parABavam /
   sadyo rājaviruddhānāṃ sūcayanti durantatām // 2.350 //	sadyas rAja-virudDAnAm sUcayanti duranta-tAm // 2.350 //
   [sahokti]	[sahokti]
   sahoktiḥ sahabhāvasya kathanaṃ guṇakarmaṇām /	sahoktiH sahaBAvasya kaTanam guNa-karmaNAm /
   arthānāṃ yo vinimayaḥ parivṛttis tu sā yathā // 2.351 //	arTAnAm yaH vinimayaH parivRttiH tu sA yaTA // 2.351 //
   saha dīrghā mama śvāsair imāḥ saṃprati rātrayaḥ /	saha dIrGAH mama SvAsEH imAH saMprati rAtrayaH /
   pāṇḍurāś ca mamaivāṅgaiḥ saha tāś candrabhūṣaṇāḥ // 2.352 //	pANxurAH ca mama-eva-aFgEH saha tAH candra-BUzaNAH // 2.352 //
   vardhate saga pānthānāṃ mūrchayā cūtamañjarī /	varDate saga pAnTAnAm mUrCayA cUta-maQjarI /
   patanti ca samaṃ teṣām asubhir malayānilāḥ // 2.353 //	patanti ca samam tezAm asuBiH malaya-anilAH // 2.353 //
   kokilālāpasubhagāḥ sugandhivanavāyavaḥ /	kokila-AlApa-suBagAH suganDi-vana-vAyavaH /
   yānti sārdhaṃ janānandair vṛddhiṃ surabhivāsarāḥ // 2.354 //	yAnti sArDam jana-AnandEH vRdDim suraBi-vAsarAH // 2.354 //
   ity udāhṛtayo dattāḥ sahokter atra kāścana /	iti udAhRtayaH dattAH saha-ukteH atra kAScana /
   [parivṛtti]	[parivRtti]
   kriyate parivṛtteś ca kiṃcid rūpanirūpaṇam // 2.355 //	kriyate parivRtteH ca kiMcid rUpa-nirUpaNam // 2.355 //
   śastraprahāraṃ dadatā bhujena tava bhūbhujām /	Sastra-prahAram dadatA Bujena tava BUBujAm /
   cirārjitaṃ hṛtaṃ teṣāṃ yaśaḥ kumudapāṇḍuram // 2.356 //	cira-arjitam hRtam tezAm yaSaH kumuda-pANxuram // 2.356 //
   [āśīs]	[a-ASIs]
   āśīr nāmābhilaṣite vastuny āśaṃsanaṃ yathā /	ASIH nAma-aBilazite vastuni ASaMsanam yaTA /
   pātu vaḥ paramaṃ jyotir avāṅmanasagocaram // 2.357 //	pAtu vaH paramam jyotiH avAFmanasa-gocaram // 2.357 //
   [saṃsṛṣṭi]	[saMsRzwi]
   ananvayasasaṃdehāv upamāsv eva darśitau /	ananvayasa-saMdehO upamAsu eva darSitO /
   upamārūpakaṃ cāpi rūpakeṣv eva darśitam // 2.358 //	upamArUpakam ca-api rUpakezu eva darSitam // 2.358 //
   utprekṣābheda evāsāv utprekṣāvayavo 'pi ca /	utprekzA-BedaH eva-asO utprekzA-avayavaH api ca /
   nānālaṃkārasaṃsṛṣṭiḥ saṃsṛṣṭis tu nigadyate // 2.359 //	nAnA-alaMkAra-saMsRzwiH saMsRzwiH tu nigadyate // 2.359 //
   aṅgāṅgibhāvāvasthānaṃ sarveṣāṃ samakakṣatā /	aFga-aFgi-BAva-avasTAnam sarvezAm sama-kakzatA /
   ity alaṃkārasaṃsṛṣṭer lakṣaṇīyā dvayī gatiḥ // 2.360 //	iti alaMkAra-saMsRzweH lakzaNIyA dvayI gatiH // 2.360 //
   ākṣipanty aravindāni tava mugdhe mukhaśriyam /	Akzipanti aravindAni tava mugDe muKa-Sriyam /
   kośadaṇḍasamagrāṇāṃ kim eṣām asti duṣkaram // 2.361 //	koSa-daNxa-samagrANAm kim ezAm asti duzkaram // 2.361 //
   (limpatīva tamo 'ṅgāni varṣatīvāñjanaṃ nabhaḥ /	(limpati-iva tamaH aFgAni varzati-iva-aQjanam naBaH /
   asatpuruṣaseveva dṛṣṭir niṣphalatāṃ gatā // v. v //)	asat-puruza-sevA-iva dRzwiH nizPala-tAm gatAH // v. v //)
   śleṣaḥ sarvāsu puṣṇāti priyo vakroktiṣu śriyam /	SlezaH sarvAsu puzNAti priyaH vakra-uktizu Sriyam /
   bhinnaṃ dvidhā svabhāvoktir vakroktiś ceti vāṅmayam // 2.363 //	Binnam dviDA svaBAva-uktiH vakroktiH ca-iti vAc-mayam // 2.363 //
   [bhāvika]	[BAvika]
   bhāvikatvam iti prāhuḥ prabandhaviṣayaṃ guṇam /	BAvika-tvam iti prAhuH prabanDa-vizayam guNam /
   bhāvaḥ kaver abhiprāyaḥ kāvyeṣv āsiddhi yaḥ sthitaḥ // 2.364 //	BAvaH kaveH aBiprAyaH kAvyezu Asidhi yaH sTitaH // 2.364 //
   parasparopakāritvaṃ sarveṣāṃ vastuparvaṇām /	paraspara-upakAri-tvam sarvezAm vastu-parvaNAm /
   viśeṣaṇānāṃ vyarthānām akriyā sthānavarṇanā // 2.365 //	viSezaNAnAm vyarTAnAm akriyA sTAna-varNanA // 2.365 //
   vyaktir uktikramabalād gambhīrasyāpi vastunaḥ /	vyaktiH ukti-krama-balAt gamBIrasya-api vastunaH /
   bhāvāyattam idaṃ sarvam iti tad bhāvikaṃ viduḥ // 2.366 //	BAva-Ayattam idam sarvam iti tat BAvikam viduH // 2.366 //
   yac ca saṃdhyaṅgavṛttyaṅga- lakṣaṇādyāgamāntare /	yat ca saMDi-aFga-vRtti-aFga lakzaNa-Adi-Agama-antare /
   vyāvarṇitam idaṃ ceṣṭam alaṃkāratayaiva naḥ // 2.367 //	vyAvarNitam idam ca-izwam alaMkAra-tayA-eva naH // 2.367 //
   panthā sa eṣa vivṛtaḥ parimāṇavṛttyā saṃkṣipya vistaram anantam	panTA saH eza vivRtaH parimANa-vRttyA saMkzipya vistaram anantam
   alaṃkriyāṇāṃ /	alaMkriyANAm /
   vācām atītya viṣayaṃ parivartamānān abhyāsa eva vivarītum alaṃ viśeṣān //	vAcAm atItya vizayam parivartamAnAn aByAse eva vivarItum alam viSezAn //
   // ity ācāryadaṇḍinaḥ kṛtau kāvyādarśe 'rthālaṃkāravibhāgo nāma dvitīyaḥ	// iti AcArya-daNxinaH kRtO kAvya-AdarSe arTAlaMkAra-viBAgaH nAma dvitIyaH
   paricchedaḥ //	paricCedaH //
