   bhaktivilāsākhyaṃ prathamaṃ stotram	BaktivilAsa-AKyam praTamam stotram
   aśeṣaviṣayāśūnyaśrīsamāśleṣasusthitaḥ &	aSeza-vizaya-aSUnya-SrI-samASleza-su-sTitaH &
   śayīyam iva śītāṅghrikuśeśayayuge kadā // UtSst_9.14 //	SayIyam iva SIta-aFGri-kuSa-ISaya-yuge kadA // UtSst_9.14 //
   bhaktyāsavasamṛddhāyās tvatpūjābhogasampadaḥ &	Bakti-A-Asava-samRdDAyAH tvad-pUjA-Boga-sampadaH &
   kadā pāraṃ gamiṣyāmi bhaviṣyāmi kadā kṛtī // UtSst_9.15 //	kadA pAram gamizyAmi BavizyAmi kadA kRtI // UtSst-_9.15 //
   ānandabāṣpapūraskhalitaparibhrāntagadgadākrandaḥ &	Ananda-bAzpa-pUra-sKalita-pariBrAnta-gadgada-AkrandaH &
   hāsollāsitavadanas tvatsparśarasaṃ kadāpsyāmi // UtSst_9.16 //	hAsa-ullAsita-vadanaH tvad-sparSa-rasam kadApsyAmi // UtSst_9.16 //
   paśujanasamānavṛttām avadhūya daśām imāṃ kadā śambho &	paSu-jana-samAna-vRttAm avaDUya daSAm imAm kadA SamBo &
   āsvādayeya tāvakabhaktocitam ātmano rūpam // UtSst_9.17 //	AsvAdayeya tAvaka-Bakta-ucitam AtmanaH rUpam // UtSst-_9.17 //
   labdhāṇimādisiddhir vigalitasakalopatāpasantrāsaḥ &	labDa-aNima-Adi-sidDiH vigalita-sakala-upatApa-santrAsaH &
   tvadbhaktirasāyanapānakriḍhāniṣṭaḥ kadāsīya // UtSst_9.18 //	tvad-Bakti-rasAyana-pAna-kriXa-anizwaH kadA-AsIya // UtSst_9.18 //
   nātha kadā sa tathāvidha ākrando me samuccared vāci &	nATa kadA sa taTAviDaH AkrandaH me samuccaret vAci &
   yat samanantaram eva sphurati puras tāvakī mūrtiḥ // UtSst_9.19 //	yat samanantaram eva sPurati puras tAvakI mUrtiH // UtSst-_9.19 //
   gāḍhagāḍhabhavadaṅghrisarojāliṅganavyasanatatparacetāḥ &	gAXa-gAXa-Bavat-aFGri-saroja-AliFgana-vyasana-tatpara-cetAH &
   vastv avastv idam ayatnata eva tvāṃ kadā samavalokayitāsmi // UtSst_9.20	vastu avastu idam ayatnatas eva tvAm kadA samavalokayitA-asmi // UtSst_9.20
   avicchedabhaṅgākhyaṃ daśamaṃ stotram	avicCeda-BaFga-AKyam daSamam stotram
   na soḍhavyam avaśyam te jagadekaprabhor idam &	na soXavyam avaSyam te jagat-eka-praBoH idam &
   māheśvarāś ca lokānām itareṣāṃ samāś ca yat // UtSst_10.1 //	mAheSvarAH ca lokAnAm itarezAm samAH ca yat // UtSst-_10.1 //
   ye sadaivānurāgeṇa bhavatpādānugāminaḥ &	ye sadA-eva-anurAgeNa Bavat-pAda-anugAminaH &
   yatra tatra gatā bhogāṃs te kāṃś cid upabhuñjate // UtSst_10.2 //	yatra tatra gatAH BogAn te kAn cit upaBuQjate // UtSst_10.2 //
   bhartā kālāntako yatra bhavāṃs tatra kuto rujaḥ &	BartA kAla-antakaH yatra BavAn tatra kutas rujaH &
   tatra cetarabhogāśā kā lakṣmīr yatra tāvakī // UtSst_10.3 //	tatra ca-itara-Boga-ASA kA lakzmIH yatra tAvakI // UtSst-_10.3 //
   kṣanamātrasukhenāpi vibhur yenāsi labhyase &	kzana-mAtra-suKena-api viBuH yena-asi laByase &
   tadaiva sarvaḥ kālo 'sya tvadānandena pūryate // UtSst_10.4 //	tadA-eva sarvaH kAlaH asya tvad-Anandena pUryate // UtSst_10.4 //
   ānandarasabindus te candramā galito bhuvi &	Ananda-rasa-binduH te candramAH galitaH Buvi &
   sūryas tathā te prasṛtaḥ saṃhārī tejasaḥ kaṇaḥ // UtSst_10.5 //	sUryaH taTA te prasRtaH saMhArI tejasaH kaNaH // UtSst_10.5 //
   baliṃ yāmas tṛtīyāya netrāyāsmai tava prabho &	balim yAmaH tRtIyAya netrAya-asmE tava praBo &
   alaukikasya kasyāpi māhātmyasyaikalakṣmaṇe // UtSst_10.6 //	alOkikasya kasya-api mAhAtmyasya-eka-lakzmaNe // UtSst_10.6 //
   tenaiva dṛṣṭo 'si bhavaddarśanādyo 'tihṛṣyati &	tena-eva dRzwaH asi Bavat-darSana-At-yaH ati-hRzyati &
   kathañcid yasya vā harṣaḥ ko 'pi tena tvam īkṣitaḥ // UtSst_10.7 //	kaTaQcid yasya vA harzaH kaH api tena tvam IkzitaH // UtSst_10.7 //
   yeṣām prasanno 'si vibho yair labdhaṃ hṛdayaṃ tava &	yezAm prasannaH asi viBo yEH labDam hRdayam tava &
   ākṛṣya tvatpurāttais tu bāhyam ābhyantarīkṛtam // UtSst_10.8 //	AkRzya tvad-purAttEH tu bAhyam AByantarIkRtam // UtSst-_10.8 //
   tvad ṛte nikhilaṃ viśvaṃ samadṛgyātam īkṣyatām &	tvat Rte niKilam viSvam samadRS-yAtam IkzyatAm &
   īśvaraḥ punar etasya tvam eko viṣamekṣaṇaḥ // UtSst_10.9 //	ISvaraH punar etasya tvam ekaH vizama-IkzaNaH // UtSst_10.9 //
   āstāṃ bhavatprabhāveṇa vinā sattaiva nāsti yat &	AstAm Bavat-praBAveNa vinA sattA-eva na-asti yat &
   tvaddūṣaṇakathā yeṣām tvad ṛte nopapadyate // UtSst_10.10 //	tvad-dUzaNa-kaTA yezAm tvat Rte na-upapadyate // UtSst_10.10 //
   bāhyāntarāntarāyālīkevale cetasi sthitiḥ &	bAhya-antara-antarAya-alI-kevale cetasi sTitiH &
   tvayi cet syān mama vibho kim anyad upayujyate // UtSst_10.11 //	tvayi ced syAt mama viBo kim anyat upayujyate // UtSst_10.11 //
   anye bhramanti bhagavann ātmany evātiduḥsthitāḥ &	anye Bramanti Bagavan Atmani eva-ati-duHsTitAH &
   anye bhramanti bhagavann ātmany evātisusthitāḥ // UtSst_10.12 //	anye Bramanti Bagavan Atmani eva-ati-susTitAH // UtSst_10.12 //
   apītvāpi bhavadbhaktisudhām anavalokya ca &	api-itvA-api Bavat-Bakti-suDAm anavalokya ca &
   tvām īśa tvatsamācāramātrāt siddhyanti jantavaḥ // UtSst_10.13 //	tvAm ISa tvad-samAcAra-mAtrAt sidDyanti jantavaH // UtSst_10.13 //
   bhṛtyā vayaṃ tava vibho tena trijagatāṃ yathā &	BRtyAH vayam tava viBo tena trijagatAm yaTA &
   bibharṣy ātmānam evaṃ te bharttavyā vayam apy alam // UtSst_10.14 //	biBarzi AtmAnam evam te BarttavyAH vayam api alam // UtSst-_10.14 //
   parānandāmṛtamaye dṛṣṭo 'pi jagadātmani &	para-Ananda-amRta-maye dRzwaH api jagat-Atmani &
   tvayi sparśarase 'tyantatarasutkaṇṭhito(?) 'smi te // UtSst_10.15 //	tvayi sparSa-rase atyantatara-sutkaNWitaH-(?) asmi te // UtSst_10.15 //
   deva duḥkhāny aśeṣāṇi yāni saṃsāriṇām api &	deva duHKAni aSezANi yAni saMsAriNAm api &
   ghṛtyākhyabhavadīyātmayutāny āyānti sahyatām // UtSst_10.16 //	GRtya-AKya-BavadIya-Atma-yutAni AyAnti sahyatAm // UtSst_10.16 //
   sarvajñe sarvaśaktau ca tvayy eva sati cinmaye &	sarvajQe sarva-SaktO ca tvayi eva sati cit-maye &
   sarvathāpy asato nātha yuktāsya jagataḥ prathā // UtSst_10.17 //	sarvaTA-api asataH nATa yuktA-asya jagataH praTA // UtSst_10.17 //
   tvatprāṇitāḥ sphurantīme guṇā loṣṭopamā api &	tvad-prANitAH sPuranti-ime guNAH lozwa-upamAH api &
   nṛtyanti pavanoddhūtāḥ kārpāsāḥ picavo yathā // UtSst_10.18 //	nRtyanti pavana-udDUtAH kArpAsAH picavaH yaTA // UtSst_10.18 //
   yadi nātha guṇeṣv ātmābhimāno na bhavet tataḥ &	yadi nATa guNezu Atma-aBimAnaH na Bavet tatas &
   kena hīyeta jagatas tvadekātmatayā prathā // UtSst_10.19 //	kena hIyeta jagataH tvad-eka-Atma-tayA praTA // UtSst_10.19 //
   vandyās te 'pi mahīyāṃsaḥ pralayopagatā api &	vandyAH te api mahIyAMsaH pralaya-upagatAH api &
   tvatkopapāvakasparśapūtā ye parameśvara // UtSst_10.20 //	tvad-kopa-pAvaka-sparSa-pUtAH ye parameSvara // UtSst_10.20 //
   mahāprakāśavapuṣi vispaṣṭe bhavati sthite &	mahA-prakASa-vapuzi vispazwe Bavati sTite &
   sarvato 'pīśa tat kasmāt tamasi prasarāmy aham // UtSst_10.21 //	sarvatas api-ISa tat kasmAt tamasi prasarAmi aham // UtSst-_10.21 //
   avibhāgo bhavān eva svarūpam amṛtaṃ mama &	aviBAgaH BavAn eva svarUpam amRtam mama &
   tathāpi martyadharmāṇām aham evaikam āspadam // UtSst_10.22 //	taTA-api martya-DarmANAm aham eva-ekam Aspadam // UtSst-_10.22 //
   maheśvareti yasyāsti nāmakaṃ vāgvibhūṣaṇam &	maheSvara-iti yasya-asti nAmakam vAc-viBUzaNam &
   praṇāmāṅkaś ca śirasi sa evaikaḥ prabhāvitaḥ // UtSst_10.23 //	praNAma-aFkaH ca Sirasi saH eva-ekaH praBAvitaH // UtSst_10.23 //
   sadasac ca bhavān eva yena tenāprayāsataḥ &	sat-asat ca BavAn eva yena tena-aprayAsataH &
   svarasenaiva bhagavaṃs tathā siddhiḥ kathaṃ na me // UtSst_10.24 //	svarasena-eva Bagavan taTA sidDiH kaTam na me // UtSst_10.24 //
   śivadāsaḥ śivaikātmā kiṃ yan nāsādayet sukham &	Siva-dAsaH Siva-eka-AtmA kim yat na-AsAdayet suKam &
   tarpyo 'smi devamukhyānām api yenāmṛtāsavaiḥ // UtSst_10.25 //	tarpyaH asmi deva-muKyAnAm api yena-amRta-AsavEH // UtSst_10.25 //
   hṛnnābhyor antarālasthaḥ prāṇināṃ pittavigrahaḥ &	hRd-nAByoH antarAla-sTaH prANinAm pitta-vigrahaH &
   grasase tvaṃ mahāvahniḥ sarvaṃ sthāvarajaṅgamam // UtSst_10.26 //	grasase tvam mahA-vahniH sarvam sTAvara-jaFgamam // UtSst_10.26 //
   autsukyaviśvasitanāmaikādaśaṃ stotram	Otsukya-viSvasita-nAma-ekAdaSam stotram
   jagad idam athavā suhṛdo bandhujano vā na bhavati mama kim api &	jagat idam aTavA suhRdaH banDu-janaH vA na Bavati mama kim api &
   tvaṃ punar etat sarvaṃ yadā tadā ko 'paro me 'stu // UtSst_11.1 //	tvam punar etat sarvam yadA tadA kaH aparaH me astu // UtSst_11.1 //
   svāmin maheśvaras tvaṃ sākṣāt sarvaṃ jagat tvam eveti &	svAmin maheSvaraH tvam sAkzAt sarvam jagat tvam eva-iti &
   vastv eva siddhim etv iti yācñā tatrāpi yācñaiva // UtSst_11.2 //	vastu eva sidDim etu iti yAcQA tatra-api yAcQA-eva // UtSst_11.2 //
   tribhuvanādhipatitvam apīha yat tṛṇam iva pratibhāti bhavajjuṣaḥ &	triBuvana-aDipati-tvam api-iha yat tRNam iva pratiBAti Bavat-juzaH &
   kim iva tasya phalaṃ śubhakarmaṇo bhavati nātha bhavatsmaraṇād ṛte //	kim iva tasya Palam SuBa-karmaNaH Bavati nATa Bavat-smaraNAt Rte //
   UtSst_11.3 //	UtSst-_11.3 //
   yena naiva bhavato 'sti vibhinnaṃ kiñcanāpi jagatāṃ prabhavaś ca &	yena na-eva BavataH asti viBinnam kiQcana-api jagatAm praBavaH ca &
   tvadvijṛmbhitam ato 'dbhutakarmasv apy udeti na tava stutibandhaḥ //	tvad-vijRmBitam atas adButa-karmasu api udeti na tava stuti-banDaH //
   UtSst_11.4 //	UtSst-_11.4 //
   tvanmayo 'smi bhavadarcananiṣṭhaḥ sarvadāham iti cāpy avirāmam &	tvad-mayaH asmi Bavat-arcana-nizWaH sarva-dA-aham iti ca-api avirAmam &
   bhāvayann api vibho svarasena svapnago 'pi na tathā kim iva syām //	BAvayan api viBo svarasena svapna-gaH api na taTA kim iva syAm //
   UtSst_11.5 //	UtSst-_11.5 //
   ye manāg api bhavaccaraṇābjodbhūtasaurabhalavena vimṛṣṭaḥ &	ye manAk api Bavat-caraNa-abja-udBUta-sOraBa-lavena vimRzwaH &
   teṣu visram iva bhavati samastaṃ bhogajātam amarair api mṛgyam //	tezu visram iva Bavati samastam Boga-jAtam amarEH api mRgyam //
   UtSst_11.6 //	UtSst-_11.6 //
   hṛdi te na tu vidyate 'nyad anyad vacane karmaṇi cānyad eva śaṃbho &	hRdi te na tu vidyate anyat anyat vacane karmaNi ca-anyat eva SaMBo &
   paramārthasato 'py anugraho vā yadi vā nigraha eka eva kāryaḥ //	paramArTa-sataH api anugrahaH vA yadi vA nigrahaH ekaH eva kAryaH //
   UtSst_11.7 //	UtSst-_11.7 //
   mūḍho 'smi duḥkhakalito 'smi jarādidoṣabhīto 'smi śaktirahito 'smi	mUXaH asmi duHKa-kalitaH asmi jarA-Adi-doza-BItaH asmi Sakti-rahitaH asmi
   tavāśrito 'smi &	tava-ASritaH asmi &
   śambho tathā kalaya śīghram upaimi yena sarvottamāṃ dhuram	SamBo taTA kalaya SIGram upEmi yena sarva-uttamAm Duram
   apojjhitaduḥkhamārgaḥ // UtSst_11.8 //	apa-ujJita-duHKa-mArgaH // UtSst_11.8 //
   tvatkarṇadeśama dhiśayya mahārghabhāvam ākranditāni mama tucchatarāṇi	tvad-karNa-deSama DiSayya mahArGa-BAvam AkranditAni mama tucCatarANi
   yānti &	yAnti &
   vaṃśāntarālapatitāni jalaikadeśakhaṇḍāni mauktikamaṇitvam ivodvahanti //	vaMSa-antarAla-patitAni jala-eka-deSa-KaNxAni mOktika-maNi-tvam iva-udvahanti //
   UtSst_11.9 //	UtSst-_11.9 //
   kim iva ca labhyate bata na tair api nātha janaiḥ kṣaṇam api kaitavād api	kim iva ca laByate bata na tEH api nATa janEH kzaNam api kEtavAt api
   ca ye tava nāmni ratāḥ &	ca ye tava nAmni ratAH &
   śiśiramayūkhaśekhara tathā kuru yena mama kṣatamaraṇo 'ṇimādikam upaimi	SiSira-mayUKa-SeKara taTA kuru yena mama kzata-maraNaH aNima-Adikam upEmi
   yathā vibhavam // UtSst_11.10 //	yaTA viBavam // UtSst-_11.10 //
   śambho śarva śaśaṅkaśekhara śiva tryakṣākṣamālādhara śrīmann	SamBo Sarva SaSaFkaSeKara Siva tryakza-akza-mAlA-Dara SrImat-=-
   ugrakapālalāñchana lasadbhīmatriśūlāyudha &	ugra-kapAla-lAQCana lasat-BIma-triSUla-AyuDa &
   kāruṇyāmbunidhe trilokaracanāśīlograśaktyātmaka śrīkaṇṭhāśu	kAruNya-ambuniDe triloka-racanA-SIla-ugra-Sakti-Atmaka SrIkaNWa-ASu
   vināśayāśubhabharān ādhat svasiddhiṃ parām // UtSst_11.11 //	vinASaya-aSuBa-BarAn ADat sva-sidDim parAm // UtSst_11.11 //
   tat kiṃ nātha bhaven na yatra bhagavān nirmātṛtām aśnute bhāvaḥ syāt kim u	tat kim nATa Bavet na yatra BagavAn nirmAtR-tAm aSnute BAvaH syAt kim u
   tasya cetanavato nāśāsti yaṃ śaṅkaraḥ &	tasya cetanavataH nASA-asti yam SaFkaraH &
   itthaṃ te parameśvarākṣatamahāśakteḥ sadā saṃśritaḥ saṃsāre 'tra	itTam te parameSvara-akzata-mahA-SakteH sadA saMSritaH saMsAre atra
   nirantarādhividhuraḥ kliśyāmy ahaṃ kevalam // UtSst_11.12 //	nirantara-aDiviDuraH kliSyAmi aham kevalam // UtSst_11.12 //
   yady apy atra varapradoddhatatamāḥ pīḍājarāmṛtyava ete vā kṣaṇam āsatāṃ	yadi api atra vara-pradodDatatamAH pIxA-jarA-mRtyavaH ete vA kzaNam AsatAm
   bahumataḥ śabdādir evāsthiraḥ &	bahu-mataH Sabda-AdiH eva-asTiraH &
   tatrāpi spṛhayāmi santatasukhākāṅkṣī ciraṃ sthāsnave	tatra-api spRhayAmi santata-suKa-AkAFkzI ciram sTAsnave
   bhogāsvādayutatvadaṅghrikamaladhyānāgrya jīvātave // UtSst_11.13 //	Boga-AsvAt-a-yuta-tvat-aFGri-kamala-DyAna-agrya jIvAtave // UtSst_11.13 //
   he nātha praṇatārtināśanapaṭo śreyonidhe dhūrjaṭe duḥkhaikāyatanasya	he nATa praNata-Arti-nASana-pawaH SreyaH-niDe DUrjawe duHKa-eka-Ayatanasya
   janmamaraṇatrastasya me sāmpratam &	janma-maraNa-trastasya me sAmpratam &
   tac ceṣṭasva yathā manojñaviṣayāsvādapradā uttamā jīvann eva samaśnuve	tat cezwasva yaTA manojQa-vizaya-AsvAda-pradAH uttamA jIvan eva samaSnuve
   'ham acalāḥ siddhīs tvadarcāparaḥ // UtSst_11.14 //	aham acalAH sidDIH tvad-arcA-paraH // UtSst_11.14 //
   namo mohamahādhvāntadhvaṃsanānanyakarmaṇe &	namaH moha-mahA-Dva-anta-DvaMsanAn-anya-karmaNe &
   sarvaprakāśātiśayaprakāśāyendulakṣmaṇe // UtSst_11.15 //	sarva-prakASa-atiSaya-prakASAya-indu-lakzmaNe // UtSst_11.15 //
   rahasyanirdeśanāma dvādaśaṃ stotram	rahasi-a-nirdeSa-nAma dvAdaSam stotram
   sahakāri na kiñcid iṣyate bhavato na pratibandhakaṃ dṛṣi &	sahakAri na kiQcid izyate BavataH na pratibanDakam dRzi &
   bhavataiva hi sarvam āplutaṃ katham adyāpi tathāpi nekṣase // UtSst_12.1	BavatA-eva hi sarvam Aplutam kaTam adya-api taTA-api na-Ikzase // UtSst_12.1
   api bhāvagaṇād apīndriyapracayād apy avabodhamadhyataḥ &	api BAva-gaNAt api-indriya-pracayAt api avaboDa-maDyataH &
   prabhavantam api svataḥ sadā paripaśyeyam apoḍhaviśvakam // UtSst_12.2 //	praBavantam api svatas sadA paripaSyeyam apoXa-viSvakam // UtSst-_12.2 //
   kathaṃ te jāyeran katham api ca te darśanapathaṃ vrajeyuḥ kenāpi	kaTam te jAyeran kaTam api ca te darSana-paTam vrajeyuH kena-api
   prakṛtimahatāṅkena khacitaḥ &	prakRti-mahatA-aFkena KacitaH &
   tathotthāyotthāya sthalajalatṛṇāder akhilataḥ	taTA-utTAya-utTAya sTala-jala-tRNa-AdeH aKilataH
   padārthadyānsṛṣṭisravadamṛtapūrair(?) vikirasi // UtSst_12.3 //	padArTadyAn-sRzwi-sravat-amRta-pUrEH-(?) vikirasi // UtSst_12.3 //
   sākṣatkṛta bhavadrūpaprasṛtāmṛtatarpitāḥ &	sAkzatkRta Bavat-rUpa-prasRta-amRta-tarpitAH &
   unmūlitatṛṣo mattā vicaranti yathāruci // UtSst_12.4 //	unmUlita-tRzaH mattAH vicaranti yaTAruci // UtSst_12.4 //
   na tadā na sadā na caikadety api sā yatra na kāladhīr bhavet &	na tadA na sadA na ca-ekadA-iti api sA yatra na kAla-DIH Bavet &
   tad idaṃ bhavadīyadarśanaṃ na ca nityaṃ na ca kathyate 'nyathā //	tat idam BavadIya-darSanam na ca nityam na ca kaTyate anyaTA //
   UtSst_12.5 //	UtSst-_12.5 //
   tvadvilokanasamutkacetaso yogasiddhir iyatī sadāstu me &	tvad-vilokana-samutka-cetasaH yoga-sidDiH iyatI sadA-astu me &
   yad viśeyam abhisandhimātratas tvatsudhāsadanam arcanāya te // UtSst_12.6	yat viSeyam aBisanDi-mAtrataH tvad-suDA-sadanam arcanAya te // UtSst_12.6
   nirvikalpabhavadīyadarśanapraptiphullamanasāṃ mahātmanām &	nirvikalpa-BavadIya-darSana-prapti-Pulla-manasAm mahAtmanAm &
   ullasanti vimalāni helayā ceṣṭitāni ca vacāṃsi ca sphuṭam // UtSst_12.7 //	ullasanti vimalAni helayA cezwitAni ca vacAMsi ca sPuwam // UtSst-_12.7 //
   bhavanbhavadīyapādayor nivasann antara eva nirbhayaḥ &	Bavan-BavadIya-pAdayoH nivasan antaraH eva nirBayaH &
   bhavabhūmiṣu tāsu tāsv ahaṃ prabhum arceyam anargalakriyaḥ // UtSst_12.8	Bava-BUmizu tAsu tAsu aham praBum arceyam anargala-kriyaH // UtSst_12.8
   bhavadaṅghrisaroruhodare parilīno galitaparaiṣaṇaḥ &	Bavat-aFGri-saroruha-udare parilInaH galita-para-ezaNaH &
   atimātramadhūpayogataḥ paritṛpto vicareyam icchayā // UtSst_12.9 //	atimAtra-maDu-upa-yogataH paritRptaH vicareyam icCayA // UtSst_12.9 //
   yasya dambhād iva bhavatpūjāsaṅkalpa utthitaḥ &	yasya damBAt iva Bavat-pUjA-saFkalpaH utTitaH &
   tasyāpy avaśyam uditaṃ sannidhānaṃ tavocitam // UtSst_12.10 //	tasya-api avaSyam uditam sanniDAnam tava-ucitam // UtSst_12.10 //
   bhagavann itarān apekṣiṇā nitarām ekarasena cetasā &	Bagavan itarAn apekziNA nitarAm eka-rasena cetasA &
   sulabhaṃ sakalopaśāyinaṃ prabhum ātṛpti pibeyam asmi kim // UtSst_12.11 //	sulaBam sakala-upaSAyinam praBum AtRpti pibeyam asmi kim // UtSst-_12.11 //
   tvayā nirākṛtam sarvaṃ heyam etat tad eva tu &	tvayA nirAkRtam sarvam heyam etat tat eva tu &
   tvanmayaṃ samupādeyam ity ayaṃ sārasaṃgrahaḥ // UtSst_12.12 //	tvad-mayam samupAdeyam iti ayam sAra-saMgrahaH // UtSst_12.12 //
   bhavato 'ntaracāri bhāvajātaṃ prabhuvanmukhyatayaiva pūjitaṃ tat &	BavataH antara-cAri BAva-jAtam praBu-vat-muKya-tayA-eva pUjitam tat &
   bhavato bahir apy abhāvamātrā katham īśān bhavet samarcyate vā //	BavataH bahis api aBAva-mAtrA kaTam ISAn Bavet samarcyate vA //
   UtSst_12.13 //	UtSst-_12.13 //
   niḥśabdaṃ nirvikalpaṃ ca nirvyākṣepam athānisam &	niHSabdam nirvikalpam ca nirvyAkzepam aTa-anisam &
   kṣobhe 'py adhyakṣamī kṣeyaṃ tryakṣa tvām eva sarvataḥ // UtSst_12.14 //	kzoBe api aDyakzamI kzeyam tryakza tvAm eva sarvatas // UtSst_12.14 //
   prakaṭaya nijadhāma deva yasmiṃs tvam asi sadā parameśvarīsametaḥ &	prakawaya nija-DAma deva yasmin tvam asi sadA parameSvarI-sametaH &
   prabhucaraṇarajaḥsamānakakṣyāḥ kim aviśvāsapadaṃ bhānti bhṛtyāḥ //	praBu-caraNa-rajaH-samAna-kakzyAH kim aviSvAsa-padam BAnti BRtyAH //
   UtSst_12.15 //	UtSst-_12.15 //
   darśanapatham upayāto 'py apasarasi kuto mameśa bhṛtyasya &	darSana-paTam upayAtaH api apasarasi kutas mama-ISa BRtyasya &
   kṣaṇamātrakam iha na bhavasi kasya na jantor dṛśor viṣayaḥ // UtSst_12.16	kzaNa-mAtrakam iha na Bavasi kasya na jantoH dRSoH vizayaH // UtSst_12.16
   aikyasaṃvidamṛtācchadhārayā santataprasṛtayā kadā vibho &	Ekya-saMvid-amRta-acCa-DArayA santata-prasRtayA kadA viBo &
   plāvanāt paramabhedamānayaṃs tvāṃ nijaṃ ca vapur āpnuyāṃ mudam //	plAvanAt param-a-Bedam-Anayan tvAm nijam ca vapuH ApnuyAm mudam //
   UtSst_12.17 //	UtSst-_12.17 //
   aham ity amuto 'varuddhalokād bhavadīyāt pratipattisārato me &	aham iti amutas avarudDa-lokAt BavadIyAt pratipatti-sArataH me &
   aṇumātrakam eva viśvaniṣṭhaṃ ghaṭatāṃ yena bhaveyam arcitā te //	aNu-mAtrakam eva viSva-nizWam Gawa-tAm yena Baveyam arcitA te //
   UtSst_12.18 //	UtSst-_12.18 //
   aparimitarūpam ahaṃ taṃ taṃ bhāvaṃ pratikṣaṇaṃ paśyan &	aparimita-rUpam aham tam tam BAvam pratikzaNam paSyan &
   tvām eva viśvarūpaṃ nijanāthaṃ sādhu paśyeyam // UtSst_12.19 //	tvAm eva viSva-rUpam nija-nATam sADu paSyeyam // UtSst_12.19 //
   bhavadaṅgagataṃ tam eva kasmān na manaḥ paryaṭatīṣṭam artham artham &	Bavat-aFga-gatam tam eva kasmAt na manaH paryawati-izwam arTam arTam &
   prakṛtikṣatir asti no tathāsya mama cecchā paripūryate paraiva //	prakRti-kzatiH asti no taTA-asya mama ca-icCA paripUryate para-eva //
   UtSst_12.20 //	UtSst-_12.20 //
   śataśaḥ kila te tavānubhāvād bhagavan ke 'py amunaiva cakṣuṣā ye &	SataSas kila te tava-anuBAvAt Bagavan ke api amunA-eva cakzuzA ye &
   api hālikaceṣṭayā carantaḥ paripaśyanti bhavadvapuḥ sadāgre // UtSst_12.21	api hAlika-cezwayA carantaH paripaSyanti Bavat-vapuH sadA-agre // UtSst_12.21
   na sā matir udeti yā na bhavati tvadicchāmayī sadā śubham athetarad	na sA matiH udeti yA na Bavati tvad-icCA-mayI sadA SuBam aTa-itara-d
   bhagavataivam ācaryate &	BagavatA-evam Acaryate &
   ato 'smi bhavadātmako bhuvi yathā tathā sañcaran sthi to 'niśam	atas asmi Bavat-AtmakaH Buvi yaTA taTA saQcaran sTi taH aniSam
   abādhitatvadamalaṅghripūjotsavaḥ // UtSst_12.22 //	abADita-tva-damalaFGri-pUjA-utsavaH // UtSst_12.22 //
   bhavadīyagabhīrabhāṣiteṣu pratibhā samyag udetu me puro 'taḥ &	BavadIya-ga-BIra-BAzitezu pratiBA samyak udetu me puras atas &
   tadanuṣṭhitaśaktir apy atas tadbhavadarcāvyasanaṃ ca nirvirāmam //	tad-anuzWita-SaktiH api atas tad-Bavat-arcA-vyasanam ca nirvirAmam //
   UtSst_12.23 //	UtSst-_12.23 //
   vyavahārapade 'pi sarvadā pratibhātv arthakalāpa eṣa mām &	vyavahAra-pade api sarvadA pratiBAtu arTa-kalApaH eza mAm &
   bhavato 'vayavo yathā na tu svata evādaraṇīyatāṃ gataḥ // UtSst_12.24 //	BavataH avayavaH yaTA na tu svatas eva-AdaraNIya-tAm gataH // UtSst_12.24 //
   manasi svarasena yatra tatra pracaraty apy aham asya gocareṣu &	manasi svarasena yatra tatra pracarati api aham asya gocarezu &
   prasṛto 'py avilola eva yuṣmatparicaryācaturaḥ sadā bhaveyam //	prasRtaH api avilolaH eva yuzmad-paricaryA-caturaH sadA Baveyam //
   UtSst_12.25 //	UtSst-_12.25 //
   bhagavan bhavadicchayaiva dāsas tava jāto 'smi parasya nātra śaktiḥ &	Bagavan Bavat-icCayA-eva dAsaH tava jAtaH asmi parasya na-atra SaktiH &
   katham eṣa tathāpi vaktrabimbaṃ tava paśyāmi na jātu citram etat //	kaTam eza taTA-api vaktra-bimbam tava paSyAmi na jAtu citram etat //
   UtSst_12.26 //	UtSst-_12.26 //
   samutsukās tvāṃ prati ye bhavantaṃ pratyartharūpād avalokayanti &	samutsukAH tvAm prati ye Bavantam pratyarTa-rUpAt avalokayanti &
   teṣām aho kiṃ tadupasthitaṃ syāt kiṃ sādhanaṃ vā phalitaṃ bhavet tat //	tezAm aho kim tad-upasTitam syAt kim sADanam vA Palitam Bavet tat //
   UtSst_12.27 //	UtSst-_12.27 //
   bhāvā bhāvatayā santu bhavadbhāvena me bhava &	BAvAH BAvatayA santu Bavat-BAvena me Bava &
   tathā na kiñcid apy astu na kiñcid bhavato 'nyathā // UtSst_12.28 //	taTA na kiQcid api astu na kiQcid BavataH anyaTA // UtSst_12.28 //
   yan na kiñcid api tanna kiñcid apy astu kiñcid api kiñcid eva me &	yat na kiQcid api tat-na kiQcid api astu kiQcid api kiQcid eva me &
   sarvathā bhavatu tāvatā bhavān sarvato bhavati labdhapūjitaḥ //	sarvaTA Bavatu tAvatA BavAn sarvatas Bavati labDa-pUjitaH //
   UtSst_12.29 //	UtSst-_12.29 //
   saṃgrahastotranāma trayodaśaṃ stotram	saMgraha-stotra-nAma trayodaSam stotram
