   Mahāsāṃghikānāṃ prātimokṣasūtram	MahAsAMGikAnAm prAtimokza-sUtram
   pāpikāya maithunopasaṃhitāya tathārūpeca bhikṣū āsane mātṛgrāmeṇa	pApikAya mETuna-upasaMhitAya taTArUpeca BikzU Asane mAtR-grAmeNa
   sārddhaṃmeko ekāya raho niṣadyāṃ kalpeya tamenaṃ śraddheya vacasā upāsikā	sArdDaMmekaH ekAya rahaH nizadyAm kalpeya tam-enam SradDeya vacasA upAsikA
   dṛṣṭvādvinnāndharmāṇāṃ manyatarānyatareṇa dharmeṇa vadeya saṃghātiśeṣeṇa	dRzwvA-advinnAn-DarmANAm manyatara-anyatareNa DarmeNa vadeya saMGAti-SezeNa
   vā // pācatti kena vā niṣadyāsbhikṣuḥ pratijānamāno	vA // pAcatti kena vA nizadya-asBikzuH pratijAnamAnaH-
   dvinnāndharmāṇāmanyatarāntareṇa dharmeṇa kārāpayitavyo / saṃghātiśeṣeṇa vā	dvinnAn-DarmANAm-anyatara-antareNa DarmeNa kArApayitavyaH / saMGa-ati-SezeNa vA
   / pācattikena vā / yena yena vā punarasya śraddheya vacasā upāsikā dṛṣṭvā	/ pAcattikena vA / yena yena vA punar-asya SradDeya vacasA upAsikA dRzwvA
   dharmeṇa vadeya tena tena so bhikṣū dharmeṇa kārāpayitavyo ayaṃ pi dharmo	DarmeNa vadeya tena tena saH BikzU DarmeNa kArApayitavyaH ayam pi DarmaH-
   aniyato //	aniyataH //
   udyānaṃ // [1] praticchannāsanaṃ[2] rahoniṣaghāñca //	udyAnam // [1] praticCanna-AsanaM[2] rahaH-niza-GAQca //
   PrMoSū(Mā)_Aniy.uddiṣtāḥ // kho punarāyuṣmanto duve aniyatā dharmā	PrMoSU(MA)_Aniy.uddiztAH // KaH punar-AyuzmantaH duve aniyatA DarmA
   statrāyuṣmanto pracchāmi kaccittha pariśuddhāḥ dvitīyampi āyuṣmanto	statra-AyuzmantaH pracCAmi kaccitTa pariSudDAH dvitIyampi AyuzmantaH-
   pṛcchāmi kaccittha pariśuddhāstutīyampi āyuṣmanto pṛcchāmi kaccittha	pRcCAmi kaccitTa pariSudDAstutIyampi AyuzmantaH pRcCAmi kaccitTa
   pariśuddhāḥ pariśuddhāḥ atrāyuṣmanto yasmāttūṣṇīmevametaṃ dhārayāmi //	pariSudDAH pariSudDAH atra-AyuzmantaH yasmAt-tUzNIm-evam-etam DArayAmi //
   IV. THE THIRTY NIHSARGIKA PACATTIKA DHARMAS.	IV. THE THIRTH NIH-SARGIKA PACA-aTTIKAH DHARMAS.
   ime kho punarāyuṣmanto triṃśannissargiṃka pācattikā dharmā anvarddhamāsaṃ	ime KaH punar-AyuzmantaH triMSat-nissargiMka pAcattikAH DarmAH anvardDa-m-Asam
   sūtre prātimokṣe uddeśamāgacchanti /	sUtre prAtimokze uddeSam-AgacCanti /
   PrMoSū(Mā)_NP.1. kṛtacīvare hi bhikṣū hi uddhṛtasminkaṭhine daśāhaparamaṃ	PrMoSU(MA)_NP.1. kRta-cIvare hi BikzU hi udDRta-smin-kaWine daSa-Aha-paramam
   bhikṣuṇā atirekacīvarandhārayitavyaṃ / taduttarindhāreya nissargika	BikzuNA atireka-cIvaran-DArayitavyam / tad-uttarinDAreya nissargika
   pācattikaṃ /	pAcattikam /
   PrMoSū(Mā)_NP.2. kṛtacīvare hi bhikṣū hi uddhṛtasminkaṭhine ekarātraṃ pi	PrMoSU(MA)_NP.2. kRta-cIvare hi BikzU hi udDRta-smin-kaWine eka-rAtram pi
   cetbhikṣu trayāṇāṃ cīvarāṇāṃ manyatarānyatareṇa vipravaseya anyatra	ced-Bikzu trayANAm cIvarANAm manyatara-anyatareNa vipravaseya anyatra
   saṃghasamutīye nissargika pācattikam //	saMGasamutIye nissargika pAcattikam //
   PrMoSū(Mā)_NP.3. kṛtacīvare bhikṣu hi uddhṛtasminkaṭhine utpadyeya	PrMoSU(MA)_NP.3. kRta-cIvare Bikzu hi udDRta-smin-kaWine utpadyeya
   bhikṣusya akālacīvaramākāṃkṣamāṇena bhikṣuṇā pratigṛhṇitavyaṃ	Bikzusya akAla-cIvaramAka-aMkzamANena BikzuNA pratigRhNitavyam
   pratigṛhṇītvā kṣipra meva taṃ cīvaraṃ kārāpayitavyaṃ / kārāpayato ca tasya	pratigRhNItvA kzipra mA-iva tam cIvaram kArApayitavyam / kArApayataH ca tasya
   bhikṣūsya taṃ cīvaraṃ na paripūreya māsa paramantena bhikṣuṇā taṃ cīvaraṃ	BikzUsya tam cIvaram na paripUreya mAsa param-antena BikzuNA tam cIvaram
   nikṣipitavyaṃ / ūnasya pāripūrīye santīye pratyāśāye taduttarinnikṣipeya	nikzipitavyam / Unasya pAripUrIye santIye pratyASAye tad-uttarinnikzipeya
   santīye vā a santīye vā pratyāśāye nissargika pācattikam /	santIye vE a santIye vA pratyASAye nissargika pAcattikam /
   PrMoSū(Mā)_NP.4. yo punabhikṣūranyātikāye bhikṣuṇīye cīvaraṃ pratigṛhṇeya	PrMoSU(MA)_NP.4. yaH puna-BikzUH-anyAti-kAye BikzuNIye cIvaram pratigRhNeya
   anyatra parivarttakena nissargika pācattikam //	anyatra parivarttakena nissargika pAcattikam //
   PrMoSū(Mā)_NP.5. yo punabhikṣuranyātikāye bhikṣuṇīye purāṇacīvaradhovāyeya	PrMoSU(MA)_NP.5. yaH puna-BikzuH-anyAtikAye BikzuNIye purANa-cIvaraDas-vAyeya
   vā raṃjasyeya vā ākothopeya vā nissargika pācattikam /	vA raMjasyeya vA AkoTa-upeya vA nissargika pAcattikam /
   PrMoSū(Mā)_NP.6. yo punabhikṣuranyātakaṃ gṛhapatiṃ vā gṛhapatiputraṃ vā	PrMoSU(MA)_NP.6. yaH puna-BikzuH-anyAtakam gRhapatim vA gRhapati-putram vA
   cīvaraṃ yāceya anyatrasamaye nissargika pācattikam //	cIvaram yAceya anyatra-samaye nissargika pAcattikam //
   tatrāyaṃ samayo acchinnacīvaro bhikṣūṃ bhavati / ayamatrasamayo /	tatra-ayam samayaH acCinna-cIvaraH BikzUm Bavati / ayamatra-samayaH /
   PrMoSū(Mā)_NP.7. acchinnacīvareṇa bhikṣuṇā kṣamate anyātakaṃ gṛhapatimvā	PrMoSU(MA)_NP.7. acCinna-cIvareNa BikzuNA kzamate anyAtakam gRhapatimvA
   gṛhapatiputraṃ vā cīvaraṃ yācituṃ / tamenamabhibhāṣto sammato saṃbahule hi	gRhapati-putram vA cIvaram yAcitum / tam-enam-aBiBAztaH sammataH saMbahule hi
   cīvare hi pravāreya tathā pravāritena bhikṣuṇā santarottaraparamaṃ cīvaraṃ	cIvare hi pravAreya taTA pravAritena BikzuNA santara-uttara-paramam cIvaram
   sādayitavyaṃ taduttariṃ sādiyeya nissargika pācattikam //	sAdayitavyam tat-uttarim sAdiyeya nissargika pAcattikam //
   PrMoSū(Mā)_NP.8. bhikṣuṃ kho punaruddiśya anyatareṣāṃ dvinnāṃ	PrMoSU(MA)_NP.8. Bikzum KaH punar-uddiSya anyatarezAm dvinnAm
   gṛhipatikānāṃ cīvare cetāpanānyaḥ anyāni upasaṃskṛtāni bhavanti	gRhi-patikAnAm cIvare cetApanAnyaH anyAni upasaMskRtAni Bavanti
   pratisaṃcetayitāni ime hi vayaṃ cīvaracetāpane hi civaraṃ cetāpayitvā	pratisaMcetayitAni ime hi vayam cIvara-cetApane hi civaram cetApayitvA
   itthannāmaṃ bhikṣuṃ cīvareṇācchādayiṣyāmaḥ / tatra ca bhikṣuḥ pūrvve	itTat-nAmam Bikzum cIvareNa-AcCAdayizyAmaH / tatra ca BikzuH pUrvve
   apravārito upasaṃkramitvā vikalpamāpadyeya sādhu kho puna yūyaṃ māyuṣmanto	apravAritaH upasaMkramitvA vikalpam-Apadyeya sADu KaH puna yUyam mAyuzmantaH-
   ime hi cīvaracetāpane hi cīvaraṃ cetāpayitvā itthaṃ nāmaṃ bhikṣuṃ	ime hi cIvara-cetApane hi cIvaram cetApayitvA itTam nAmam Bikzum
   cīvareṇācchādetha / evaṃrūpeṇa ca ubhau pi sahitau ekena	cIvareNa-AcCAdeTa / evaMrUpeNa ca uBO pi sahitO ekena
   kalyāṇakāmatāmupādāya pratiniṣpanne cīvare nisarggika pācattikam //	kalyANa-kAma-tAm-upAdAya pratinizpanne cIvare nisarggika pAcattikam //
   PrMoSū(Mā)_NP.9. bhikṣuṃ kho punaruddiśya anyatareṣāṃ dvinnāṃ	PrMoSU(MA)_NP.9. Bikzum KaH punar-uddiSya anyatarezAm dvinnAm
   gṛhapatikasya gṛhapatinīye ca pratyeka cīvaracetāpanāni pratisaṃskṛtāni	gRhapatikasya gRhapatinIye ca pratyeka cIvara-cetApanAni pratisaMskRtAni
   bhavanti pratisaṃcetāpitāni ime hi vayaṃ pratyeka cīvaracetāpane hi	Bavanti pratisaMcetApitAni ime hi vayam pratyeka cIvara-cetApane hi
   pratyekaṃ pratyekaṃ cīvaraṃ cetāpayitvā itthaṃ nāmaṃ bhikṣuṃ pratyekaṃ	pratyekam pratyekam cIvaram cetApayitvA itTam nAmam Bikzum pratyekam
   pratyekaṃ cīvareṇācchādayisyāmaḥ / tatra ca bhikṣuḥ pūrvva apravārito	pratyekam cIvareNa-AcCAdayisyAmaH / tatra ca BikzuH pUrvva apravAritaH-
   upasaṃkramitvā vikalpamāpadyeya sādhu kho punastamāyuṣman tvaṃ ca bhagini	upasaMkramitvA vikalpam-Apadyeya sADu KaH punar-tam-Ayuzman tvam ca Bagini
   ime hi pratyeka cīvara cetāpanehi pratyekaṃ cīvaraṃ cetāpayitvā ityaṃ	ime hi pratyeka cIvara cetApanehi pratyekam cIvaram cetApayitvA iti-am
   nāmaṃ bhiṃ pratyekaṃ cīvareṇācchādetha / evaṃ rūpeṇa vā evaṃ rūpeṇa vā	nAmam Bim pratyekam cIvareNa-AcCAdeTa / evam rUpeNa vE evam rUpeNa vA
   ubhau pi sahitau / ekena kalyāṇakāmatāmupādāya pratiniṣpanne cīvare	uBO pi sahitO / ekena kalyANa-kAma-tAm-upAdAya pratinizpanne cIvare
   nissargika pācattikam //	nissargika pAcattikam //
   PrMoSū(Mā)_NP.10. bhikṣu kho punaruddiśya anyataro rājā vā rājabhogyo vā	PrMoSU(MA)_NP.10. Bikzu KaH punar-uddiSya anyataraH rAjA vA rAja-BogyaH vA
   dūtena cīvarace tāpanāni preṣeya so bhikṣustenopasaṃkramitvā taṃ	dUtena cIvarace tApanAni prezeya saH BikzuH-tena-upasaMkramitvA tam
   bhikṣumevaṃ vadeya imāni khalvāryamuddiśya itthannāmena rājñā ca	Bikzum-evam vadeyaH imAni Kalu-Aryam-uddiSya itTat-nAmena rAjQA ca
   rājabhojyena vā dūtena cīvaracetāpanāni preṣitāni tāni āryo pratigṛhṇātu /	rAja-Bojyena vA dUtena cIvara-cetApanAni prezitAni tAni AryaH pratigRhNAtu /
   tena bhikṣuṇā so dūto evamasya vacanīyo na kho punarāyuṣman kṣamate	tena BikzuNA saH dUtaH evam-asya vacanIyaH na KaH punar-Ayuzman kzamate
   bhikṣusya cīvare cetāpanāni pratigṛhṇītuṃ / cīvarantu vayaṃ pratigṛhṇāmaḥ	Bikzusya cIvare cetApanAni pratigRhNItum / cIvarantu vayam pratigRhNAmaH
   kālena samayena kalpikaṃ dīyamānaṃ / evamukto so dūto taṃ bhikṣumeva	kAlena samayena kalpikam dIyamAnam / evam-uktaH saH dUtaH tam Bikzum-eva
   vādayanti / punarārya kecidbhikṣuṇāṃ vaiyāpṛtyaṅkaroti / ākāṃkṣāmaṇe na	vAdayanti / punar-Arya kecid-BikzuNAm vEyApRti-aFkaroti / AkAMkzAmaNe na
   bhikṣuṇā santā vaiyāpṛtyaṃkaraṃ vyapadiśitavyāḥ / ārāmikā vā ete āyuṣman	BikzuNA santAH vEyApRtyaMkaram vyapadiSitavyAH / ArAmikAH vE ete Ayuzman
   bhikṣuṇā vaiyāpṛtyaṃkarāye bhikṣuṇāṃ vaiyāpṛtyaṃ karonti / evamukto so	BikzuNA vEyApRti-aMkarAye BikzuNAm vEyApRtyam karonti / evam-uktaH saH-
   dūto yena vaiyāpratyaṃkarāstenopasaṃkramitvā tanvaiyāpratyaṃkarānevaṃ	dUtaH yena vEyA-pratyaMkarAH-tena-upasaMkramitvA tanvEya-apratyaMkarAn-evam
   vadeya sādhu kho puna yūyamāyuṣmanto vaiyāpratyaṃkarā ime hi	vadeya sADu KaH puna yUyam-AyuzmantaH vEyA-pratyaMkarAH ime hi
   cīvaracetāpane hi cīvaraṃ cetāpayitvā itthaṃ nāma bhikṣuṃ	cIvara-cetApane hi cIvaram cetApayitvA itTam nAma Bikzum
   cīvareṇācchādetha / kālena samayena kalpikenānavadyena so ca dūto	cIvareNa-AcCAdeTa / kAlena samayena kalpikena-anavadyena saH ca dUtaH-
   tānvaiyāpṛtyaṃkarān saṃjñāpayitvā yena so bhikṣustenopasaṃkramitvā	tAn-vEyApRti-aMkarAn saMjQApayitvA yena saH BikzuH-tena-upasaMkramitvA
   bhikṣūmeva vadeya ye khalu āryeṇa vaiyāpṛtyaṃkarā vyapadiṣṭāste mayā	BikzUm-eva vadeya ye Kalu AryeNa vEyApRti-aMkarAH vyapadizwAH-te mayA
   saṃjñāptāstāmupasaṃkrameyāmi ācchādayiṣyanti / te cīvareṇa kālena samayena	saMjQA-AptAH-tAm-upasaMkrameyAmi AcCAdayizyanti / te cIvareNa kAlena samayena
   kalpikenānavadyo na ākāṃkṣamāṇena bhikṣuṇā cīvarānvikena te	kalpikena-anavadyaH naH Aka-aMkzamANena BikzuNA cIvara-anvikena te
   vaiyāpṛtyakarāstenopasaṃkramitvā te vaiyāpṛtyaṃkarāḥ / sakṛta	vEyApRtya-karAH-tena-upasaMkramitvA te vEyApRti-aMkarAH / sakRta
   dvitthikhutto tritthukhuto yācayitavyā vijñapayitavyāḥ / atho āyuṣmanto	dvi-tTi-KuttaH tritTu-KutaH yAcayitavyAH vijQapayitavyAH / aTo AyuzmantaH-
   bhikṣusya cīvareṇa bhisakṛta dvikkhutto trikkhutto codayanto vijñāpayanto	Bikzusya cIvareNa BisakRta dviS-KuttaH trikKuttaH codayantaH vijQApayantaH-
   taṃ cīvaramabhiniṣpādeya ityetatkuśalannocedabhiniṣpādeya catukkhutto	tam cIvaram-aBinizpAdeya iti-etat-kuSalat-noced-aBinizpAdeya catuc-KuttaH-
   pañcakhutto ṣaḍkhutto paramantena bhikṣuṇā tūṣṇīṃ bhūtena uddeśe	paQca-KuttaH zaz-KuttaH param-antena BikzuNA tUzNIm BUtena uddeSe
   sthātavyaṃ / catukkhutto pañcakkhutto ṣaḍkkhatto paramaṃ tūṣṇībhūto uddeśe	sTAtavyam / catuc-KuttaH paQcakKuttaH zaxkKattaH paramam tUzNIBUtaH uddeSe
   tiṣṭhanto taṃ cīvaramabhiniṣpādeya ityetatkuśalaṃ nocedabhiniṣpādeya taṃ	tizWantaH tam cIvaram-aBinizpAdeya iti-etat-kuSalam noced-aBinizpAdeya tam
   duttayanto vācyāyamanto vātaṃ cīvaramabhiniṣpādeya abhiniṣpanne cīvare	duttayantaH vAcyAyamantaH vAtam cIvaram-aBinizpAdeya aBinizpanne cIvare
   nissargika pācattikam / no cedabhiniṣpadeya yena setāni rājñā vā	nissargika pAcattikam / no ced-aBinizpadeya yena setAni rAjQA vA
   rājabhogyena vā itena cīvaracetāpanāni preṣitāni / tatra tena bhikṣuṇā	rAja-Bogyena vA itena cIvara-cetApanAni prezitAni / tatra tena BikzuNA
   svayaṃ vāganta vyaṃ / ito vā pratirūpo preṣayitavyo yāni kha āyuṣmanta hi	svayam vAganta vyam / itas vA pratirUpaH prezayitavyaH yAni Ke Ayuzmanta hi
   itthaṃ nāmaṃ bhikṣūmuddiśya itena cīvaracetāpanāni preṣitāni na kha tāni	itTam nAmam BikzUm-uddiSya itena cIvara-cetApanAni prezitAni na Ka tAni
   tasya bhikṣusya kiñcidaththamkaronti / yuñjante yaḥ yathainaṃ sakaṃ	tasya Bikzusya kiQcid-aTTamkaronti / yuQjante yaH yaTA-enam sa-kam
   dharmmā so vipraṇadhiśiṣyatīti iyamanusāmīcī /	DarmmA saH vipraNaDiSizyati-iti iyam-anusAmIcI /
   PrMoSū(Mā)_NP.uddānaṃ // [1] daśāhaṃ [2] vipravāso [3] akāle ca [4]	PrMoSU(MA)_NP.uddAnam // [1] daSa-aham [2] vipravAsaH [3] akAle ca [4]
   pratigraho [5] dhovanā [6] yācanā [7-8] ciravarasāntarottaraṃ dve ca [9]	pratigrahaH [5] DovanAH [6] yAcanA [7-8] ciravarasa-antara-uttaram dve ca [9]
   vikalpena [10] rājā ca / prathamo vaggaḥ //	vikalpena [10] rAjA ca / praTamaH vaggaH //
   PrMoSū(Mā)_NP.11. yo punabhikṣuḥ śuddhakāṇakānāmeḍakalomānāṃnnavaṃ	PrMoSU(MA)_NP.11. yaH puna-BikzuH SudDa-kANakAnAm-exa-kalomAnAM=-navam
   santhataṃ kārāpeya nissargika pācattikam //	sanTatam kArApeya nissargika pAcattikam //
   PrMoSū(Mā)_NP.12. navaṃ santhataṃ bhikṣuṇā	PrMoSU(MA)_NP.12. navam sanTatam BikzuNA
   kārāpayamāṇenaśuddhakāṇakānāmeḍakalomānāṃ dve bhāgā ādayitavyāstṛtīyo	kAra-apayamANena-SudDa-kANakAnAm-exaka-lomAnAm dve BAgAH AdayitavyAH-tRtIyaH-
   odātikānāṃ catuttho gocarikāṇāṃ taduttarimādiyeya nissargika pācattikam /	odAtikAnAm catutTaH gocarikANAm tad-uttarimAt-iyeya nissargika pAcattikam /
   PrMoSū(Mā)_NP.13. yo punabhikṣūḥ kauśeya miśrāṇāmeḍaka lomānānnavaṃ	PrMoSU(MA)_NP.13. yaH puna-BikzUH kOSeya miSrANAm-exaka lomAnAt-navam
   santhataṃ kārāpeya nisargika pācattikam //	sanTatam kArApeya nisargika pAcattikam //
   PrMoSū(Mā)_NP.14. navaṃ santhataṃ bhikṣuṇā kārāpayamāṇena prakāmaṃ	PrMoSU(MA)_NP.14. navam sanTatam BikzuNA kArApayamANena prakAmam
   ṣaḍvarṣāṇi dhārayitavyaṃ / tato ca bhikṣuḥ pratyottareṇa purāṇe santhataṃ	zaz-varzANi DArayitavyam / tatas ca BikzuH pratyottareNa purANe sanTatam
   visarjjayitvā vā avisarjjayitvā vā anyannavasanthataṃ kārāpeya	visarjjayitvA vA avisarjjayitvA vA anyat-=-avasanTatam kArApeya
   kalyāṇakāmatāmupādeya anyatra samutīye nissargika pācattikam /	kalyANa-kAma-tAm-upAdeya anyatra samutIye nissargika pAcattikam /
   PrMoSū(Mā)_NP.15. navaṃ santhataṃ niṣīdanaṃ bhikṣuṇā kārāpayamāṇena, tato	PrMoSU(MA)_NP.15. navam sanTatam nizIdanam BikzuNA kArApayamANena, tatas-
   purāṇasanthatāto samantātsugatavitastinā bhāgo ādayitavyo navasya	purANa-sanTa-tAtaH samantAt-sugata-vitastinA BAgaH AdayitavyaH navasya
   duvvaṇṇīkaraṇātha tato ca bhikṣuranādāya navasaṃtthataṃ niṣīdanaṃ kārāpeya	duvvaNNIkaraNa-aTa tatas ca BikzuH-anAdAya nava-saMtTatam nizIdanam kArApeya
   nisarggika pācattikam //	nisarggika pAcattikam //
   PrMoSū(Mā)_NP.16. bhikṣusya kho punaradhyānamāgge pratipannasya utpadyea	PrMoSU(MA)_NP.16. Bikzusya KaH punar-aDyAna-mAgge pratipannasya utpadyea
   eḍakalomāni ākāṃkṣamāṇena bhikṣuṇā pratigṛhṇitavyaṃ hṇipratigṛtvā sāmaṃ	exaka-lomAni Aka-aMkzamANena BikzuNA pratigRhNitavyam hNipratigRtvA sAmam
   triyojanaparamaṃ harttavyamante anyasmihārake taduttariṃ hāreyamante vā	tri-yojana-paramam harttavyam-ante anyasmih-Arake tad-uttarim hAreyam-ante vA
   amante vā anyasmihārake nisargika pācattikam /	amante vE anyasmi-hArake nisargika pAcattikam /
   PrMoSū(Mā)_NP.17. yo puna bhikṣuranyātikāye bhikṣuṇīye eḍakalomāni	PrMoSU(MA)_NP.17. yaH puna BikzuH-anyA-atikAye BikzuNIye exaka-lomAni
   dhovāyeya vā raṃjāyeya vā / vijaṭāpayed vā nissargika pācattikam /	DovAyeya vA raMjAyeya vA / vijawApayet vA nissargika pAcattikam /
   PrMoSū(Mā)_NP.18. yo punabhikṣuḥ svahastaṃ jātarūparajatamudgṛhṇayeya vā	PrMoSU(MA)_NP.18. yaH puna-BikzuH sva-hastam jAtarUpa-rajatam-udgRhNayeya vA
   udgṛhṇāyeya antamasato iha nikṣipehīti vā vadeya / upanikṣiptaṃ vā	udgRhNAyeya antamasataH iha nikzipA-ihi-iti vA vadeyaH / upanikziptam vA
   sādiyeya niḥssargika pācattikam //	sAdiyeya niHssargika pAcattikam //
   PrMoSū(Mā)_NP.19. yo punabhikṣuranekavidhaṃ kraya vikrayaṃ vyavahāraṃ	PrMoSU(MA)_NP.19. yaH puna-BikzuH-anekaviDam kraya vikrayam vyavahAram
   samāpadyeya saṃyyathīdaṃ imaṃ kriṇa ito kriṇa ettaka settake krīṇāhīti vā	samApadyeya saMyyaTi-idam imam kriNaH itas kriNaH ettaka settake krINAhi-iti vA
   vadeya niḥsargika pācattikam //	vadeya niHsargika pAcattikam //
   PrMoSū(Mā)_NP.20. yo punabhikṣuranekavidhaṃ jātarūparajatavikṛtivyavahāraṃ	PrMoSU(MA)_NP.20. yaH puna-BikzuH-anekaviDam jAtarUpa-rajata-vikRti-vyavahAram
   samāpadyeya niḥsargika pācattikam //	samApadyeya niHsargika pAcattikam //
   PrMoSū(Mā)_NP.uddānaṃ / [11-12] śuddhakālakānāṃ dve bhāgā [13]	PrMoSU(MA)_NP.uddAnam / [11-12] SudDa-kAlakAnAm dve BAgAH [13]
   kaiśeyamiśra [14] ṣaḍvarṣāṇi [15] niṣīdanaṃ [16] adhvānamāgo [17]	kESeya-miSra [14] zaz-varzANi [15] nizIdanam [16] aDvAna-m-AgaH [17]
   vijaṭāpeya [18] svahastaṃ [19] krayavikraya [20] vikṛtivyavahāreṇa //	vijawApeyaH [18] sva-hastam [19] kraya-vikrayaH [20] vikRti-vyavahAreNa //
   dvitīyo vagaḥ //	dvitIyaH vagaH //
   PrMoSū(Mā)_NP.21. daśāhaparamaṃ bhikṣuṇā atirekapātraṃ dhārayitavyaṃ	PrMoSU(MA)_NP.21. daSa-aha-paramam BikzuNA atireka-pAtram DArayitavyam
   taduttariṃ dhāreya niḥssargika pācattikam //	tad-uttarim DAreya niHssargika pAcattikam //
   PrMoSū(Mā)_NP.22. yo punabhikṣū unapañcavandhanavaddhena pātreṇa anyaṃ	PrMoSU(MA)_NP.22. yaH puna-BikzuH unapaQca-vanDana-vadDena pAtreNa anyam
   navaṃ pātraṃ paryāyeya imātāmupādāya / tena bhikṣuṇā taṃ pātraṃ	navam pAtram paryAyeyaH imAtAm-upAdAya / tena BikzuNA tam pAtram
   bhikṣūparyāye niḥsaritavyaṃ / yo tahi bhikṣū paryāye pātraparyanto bhavati	Bikzu-uparyAye niHsaritavyam / yaH tahi BikzU paryAye pAtra-paryantaH Bavati
   / so tasya bhikṣusya anupradātavyo / evaṃ te āyuṣmānpātro bhārayitavyo	/ saH tasya Bikzusya anupradAtavyaH / evam te AyuzmAn-pAtraH BArayitavyaH-
   yāvadbhedana [nissargika] pācattikam /	yAvat-BedanaH [nissargika] pAcattikam /
   PrMoSū(Mā)_NP.23. yāni kho punarimāni gilānapratipeṣaṇīyāni bhaiṣajāni	PrMoSU(MA)_NP.23. yAni KaH punar-imAni gilAn-apratipezaNIyAni BEzajAni
   bhavanti / saṃyyathīdaṃ sapistailamadhuphāṇitaṃ / evaṃ rūpāṇi gilānena	Bavanti / saMyyaTi-idam sa-piH-tEla-maDu-PANitam / evam rUpANi gilAnena
   bhikṣuṇāmakṛtyābhigṛhītāni kṣamate / saptāhaṃ sannidhikāraṃ paribhujitaṃ /	BikzuNAm-akRtya-aBigRhItAni kzamate / sapta-aham sanniDi-kAram pariBujitam /
   santaśeṣannissaritavyaṃ / taduttaritavyaṃ taduttariṃ khādeya vā bhuṃjeya	santaSezat-nissaritavyam / tat-uttaritavyam tad-uttarim KAdeya vA BuMjeya
   vā santaśeṣanna nissareya niḥssargika pācattikam /	vA santa-Sezat-na nissareya niHssargika pAcattikam /
   PrMoSū(Mā)_NP.24. yo punabhikṣubhikṣusya cīvaraṃ dattvā yathāduṣto	PrMoSU(MA)_NP.24. yaH puna-Bikzu-Bikzusya cIvaram dattvA yaTA-duztaH-
   doṣātkupito anādamāno ācchāndeya vā ācchāndāpeya vā āhara[ti]	dozAt-kupitaH anAdamAnaH AcCAndeya vA AcCAn-dApeya vA Ahara[ti]
   bhikṣucīvaraṃ na te dademīti vā vadeya niḥsargika pācattikam //	Bikzu-cIvaram na te dademi-iti vA vadeya niHsargika pAcattikam //
   PrMoSū(Mā)_NP.25. māso śeṣo grīṣmāṇomiti bhikṣuṇā varṣāśāṭikā	PrMoSU(MA)_NP.25. mAsaH SezaH grIzmANom-iti BikzuNA varzASAwikA
   cīvaraparyeṣitavyaṃ arddhamāso avaśiṣṭoti kṛtvā muṣitavyam // tato ca	cIvara-paryezitavyam ardDa-mAsaH avaSizwoti kRtvA muzitavyam // tatas ca
   bhikṣuḥ pratyāṃtareṇa varṣāśāṭikā cīvaraṃ paryepeya kṛtvā vāstāyeya niḥ	BikzuH pratyAMtareNa varzA-SAwikA cIvaram paryepeya kRtvA vAstAyeya niH
   sargika pācattikam /	sargika pAcattikam /
   PrMoSū(Mā)_NP.26. yo punabhikṣūḥ svayaṃ yācikāya sūtrantantuvāyena cīvaraṃ	PrMoSU(MA)_NP.26. yaH puna-BikzUH svayam yAcikAya sUtrantantuvAyena cIvaram
   dhunāyeya nissargika pācattikam //	DunAyeya nissargika pAcattikam //
   PrMoSū(Mā)_NP.27. bhikṣūṃ kho punaruddhiśya anyataro gṛhapatirvvā	PrMoSU(MA)_NP.27. BikzUm KaH punar-udDiSya anyataraH gRhapatiH-vvA
   gṛhapatiputro vā tantuvāyena cīvaraṃ dhunāyeya te eva bhikṣūḥ pūvve	gRhapati-putraH vA tantuvAyena cIvaram DunAyeya te eva BikzUH pUvve
   apravārito upasaṃkramitvā vikalpamāpadyeya sādhu kho punastamāyuṣmannimaṃ	apravAritaH upasaMkramitvA vikalpam-Apadyeya sADu KaH punar-tam-Ayuzman=-imam
   cīvaramāyataṃ ca karohi vistṛtaṃ ca karohi suvuttaṃ ca karohi /	cIvaram-Ayatam ca karohi vistRtam ca karohi su-vuttam ca karohi /
   sutacchitaṃ ca karohi suvilikhitaṃ ca karohi / appeva nāma vayaṃ pi	suta=-Citam ca karohi su-viliKitam ca karohi / appeva nAma vayam pi
   tavakiñcideva mātrāmupasaṃharema / māṣakamvā / māṣakārddhamvā	tavakiQcid-eva mAtrAm-upasaMharema / mAzakam-vA / mAzakArdDamvA
   piṇḍapātramvā piṇḍapātrāhimvā / tatra ca so bhikṣurevaṃ vaditvā na	piNxa-pAtram-vA piNxa-pAtra-ahim-vA / tatra ca saH BikzuH-evam vaditvA na
   kiñcidevamātrāmupasaṃhareya / māṣakamvā / māṣakārddhamvā / piṇḍapātramvā	kiQci-deva-mAtrAm-upasaMhareya / mAzakam-vA / mAzakArdDam-vA / piNxa-pAtram-vA
   piṇḍapātrāhimvā / abhiniṣpanne cīvare nisargika pācattikam //	piNxa-pAtra-ahim-vA / aBinizpanne cIvare nisargika pAcattikam //
   PrMoSū(Mā)_NP.28. daśāhānāgataṃ kho punatremāsaṃ kārtikī pauṇṇamāsī	PrMoSU(MA)_NP.28. daSa-aha-anAgatam KaH punatremAsam kArtikI pONNamAsI
