   namas tārāyai	namaH tArAyE
   cārthakriyāśakter anupalabdhiḥ. tasmād vyāpakavivekidharmyupalabdhitayā na	ca-arTa-kriyA-SakteH anupalabDiH. tasmAt vyApaka-viveki-DarmI-upalabDi-tayA na
   vyāpakānupalambhāntarād asya viśeṣaḥ.	vyApaka-anupalamBa-antarAt asya viSezaH.
   (86.13) nanv etad avastudharmikopayogi vastv adhiṣṭhānatvāt	(86.13) nanu etat avastuDarmikA-upayogi vastu aDizWAna-tvAt-
   pramāṇavyavasthāyā iti cet. kim idaṃ vastvadhiṣṭhānatvam nāma. kiṃ	pramANa-vyavasTAyAH iti cet. kim idam vastu-aDizWAna-tvam nAma. kim
   paramparayāpi vastunaḥ sakāśād āgatatvam, atha vastuni kena cid ākāreṇa	paramparayA-api vastunaH sakASAt Agata-tvam, aTa vastuni kena cit AkAreNa
   vyavahārakāraṇatvam, vastubhūtadharmipratibaddhatvaṃ vā.	vyavahAra-kAraNa-tvam, vastu-BUta-Darmi-pratibadDa-tvam vA.
   (86.16) yady ādyaḥ pakṣas tadā kramākramasyārthakriyāyāś ca	(86.16) yadi AdyaH pakzaH tadA krama-Akramasya-arTa-kriyAyAH ca
   vyāptigrahaṇagocaravastupratibaddhatvam asyāpi. na kṣīṇam.	vyApti-grahaNa-gocara-vastu-pratibadDa-tvam asya-api. na kzINam.
   (86.18) na dvitīye 'pi pakṣe dosah sambhavati. kṣaṇabhaṅgivastu	(86.18) na dvitIye api pakze dosah samBavati. kzaNa-BaFgi-vaH-tu
   sādhanopāyatvād asya.	sADana-upAya-tvAt asya.
   (86.19) na cāntimo 'pi vikalpaḥ kalpyate. tasyaiva nityavikalpasya vastuno	(86.19) na ca-antimaH api vikalpaH kalpyate. tasya-eva nitya-vikalpasya vastunaH-
   dharmibhūtasya kramākramavad bāhyanityopādānaśūnyatvenārthakriyāvad	Darmi-BUtasya kramAkrama-vat bAhya-nitya-upAdAna-SUnya-tvena-arTa-kriyA-vat-
   bāhyanityopādānaśūnyatve prasādhanāt. paryudāsavṛttyā	bAhya-nitya-upAdAna-SUnya-tve prasADanAt. paryudAsa-vRttyA
   buddhisvabhāvabhūtākṣaṇikākāre vastubhūte dharmiṇi	budDi-svaBAva-BUta-akzaNikA-AkAre vastu-BUte DarmiNi
   pratibaddhatvasambhavāt.	pratibadDa-tva-samBavAt-.
   (86.23) ayam eva nyāyo na vaktā vandhyāsutaś caitanyābhāvād ityādau	(86.23) ayam eva nyAyaH na vaktA vanDyA-sutaH cEtanya-aBAvAt iti-AdO
   yojyaḥ. etena yathā vṛkṣābhāvādir antarbhāvayituṃ śakyate na tathāyam iti	yojyaH. etena yaTA vRkza-aBAva-AdiH antar-BAvayitum Sakyate na taTA-ayam iti
   trilocano 'pi nirastaḥ.	trilocanaH api nirastaH.
   (86.25) na ca kramādyabhāvas trayīṃ doṣajātiṃ nātikrāmati, abhāvadharmatve	(86.25) na ca krama-Adi-aBAvaH trayIm doza-jAtim na-atikrAmati, aBAva-Darma-tve
   'pi āśrayāsiddhidoṣaparihārāt.	api ASraya-asidDi-doza-parihArAt.
   (86.26) yat tvanena pramāṇāntarān nityānām asattvasiddhau	(86.26) yat tu-anena pramANa-antarAt nityAnAm asattva-sidDO
   kramādivirahasyābhāvadharmatā sidhyatīty uktam, tadvālasyāpi	krama-Adi-virahasya-aBAva-DarmatA siDyati-iti uktam, tad-vAlasya-api
   durabhidhānam. nityo hi dharmi. asattvaṃ sādhyam.	duraBiDAnam. nityaH hi Darmi. asattvam sADyam.
   kramikāryakāritvākramikāryakāritvaviraho hetuḥ. asya cābhāvadharmatvaṃ	krami-kArya-kAri-tva-Akrami-kArya-kAri-tva-virahaH hetuH. asya ca-aBAva-Darma-tvam
   nāma asattvalakṣaṇasvasādhyāvinābhāvitvam ucyate. tac ca kramākrameṇa	nAma asattva-lakzaNasvasADya-avinABAvi-tvam ucyate. tat ca kramAkrameNa
   sattvasya vyāptisiddhau sattvasya vyāpyasyābhāvena kramākramasya	sattvasya vyApti-sidDO sattvasya vyApyasya-aBAvena krama-Akramasya
   vyāpakasya viraho vyāptaḥ sidhyatīty abhāvadharmatvaṃ prāg eva vidhyor	vyApakasya virahaH vyAptaH siDyati-iti aBAva-Darma-tvam prAk eva viDyoH-
   vyāptisādhanāt pratyakṣād anumānād ekasmād vā pramāṇāntarāt siddham iti	vyApti-sADanAt pratyakzAt anumAnAt ekasmAt vA pramANa-antarAt sidDam iti
   netaretarāśrayadoṣaḥ.	na-itaretara-ASraya-dozaH.
   (87.7) na ca sattāyām ivāsattāyām api tulyaḥ prasaṅgo bhinnanyāyatvāt.	(87.7) na ca sattAyAm iva-asattAyAm api tulyaH prasaFgaH Binna-nyAya-tvAt.
   vastubhūtaṃ hi tatra sādhyaṃ sādhanaṃ ca. tayor dharmy api vastv eva	vastu-BUtam hi tatra sADyam sADanam ca. tayoH DarmI api vastu eva
   yujyate.	yujyate.
   (87.9) vastunas tu pratyakṣānumānābhyām eva siddhiḥ. tayor abhāve	(87.9) vastunaH tu pratyakza-anumAnAByAm eva sidDiH. tayoH aBAve
   niyamenāśrayāsiddhir iti yuktam. asattāsādhane tv avastudharmo hetur	niyamena-ASraya-asidDiH iti yuktam. asattA-sADane tu avastu-DarmaH hetuH-
   avastu vikalpamātrasiddhe dharmiṇi nāśrayāsiddhidoṣeṇa dūṣayituṃ śakyaḥ.	avastu vikalpa-mAtra-sidDe DarmiNi na-ASraya-asidDi-dozeNa dUzayitum SakyaH.
   tathā 'kṣaṇikasya kramayaugapadyābhyāmarthakriyāvirodhaḥ sidhyaty eva.	taTA akzaNikasya krama-yOgapadyAByAm-arTa-kriyA-viroDaH siDyati eva.
   (87.13) tathā vikalpādevākṣaṇiko virodhī siddhaḥ. vikalpollikhitaś cāsya	(87.13) taTA vikalpAt-eva-akzaNikaH viroDI sidDaH. vikalpa-ulliKitaH ca-asya
   svabhāvo nāpara ity api vyavahartavyam. anyathā tadanuvādena	svaBAvaH na-aparaH iti api vyavahartavyam. anyaTA tad-anuvAdena
   kramākramādirahitatvādiniṣedhādikam uktam. tatsvarūpasyānullekhād	krama-Akrama-Adi-rahita-tva-Adi-nizeDa-Adikam uktam. tad-svarUpasya-anulleKAd
   anyasyollekhād ity akṣaṇikaśaśaviṣāṇādiśabdānuccāraṇaprasaṅgaḥ. asti ca.	anyasya-ulleKAt iti akzaNika-SaSa-vizANa-Adi-SabdAn-uccAraNa-prasaFgaH. asti ca.
   ato yathā pramāṇābhāve 'pi vikalpasiddhasya vandhyāsutādeḥ	atas yaTA pramANa-aBAve api vikalpa-sidDasya vanDyA-suta-AdeH
   saundaryādiniṣedho 'nurūpas tathā vikalpopanītasyaivākṣaṇikarūpasya tad	sOndarya-Adi-nizeDaH anurUpaH taTA vikalpa-upanItasya-eva-akzaNika-rUpasya tat-
   eva pratyanīkākāreṇa saha virodhavyavasthāyāṃ kīdṛso doṣaḥ syāt. yadi	eva pratyanIka-AkAreNa saha viroDa-vyavasTAyAm kIdRsaH dozaH syAt. yadi
   cākṣaṇikānubhavābhāvāt virodhapratiṣedhas tarhi vandhyāputrādyanubhavād	ca-akzaNikA-anuBava-aBAvAt viroDa-pratizeDaH tarhi vanDyA-putra-Adi-anuBavAt-
   eva saundaryādiniṣedho 'pi mābhūt.	eva sOndarya-Adi-nizeDaH api mA-aBUt.
   (87.20) nanv evaṃ virodhasyāpāramārthikatvam. taddvāreṇa	(87.20) nanu evam viroDasya-apAram-ArTika-tvam. tad-dvAreNa
   kṣaṇabhaṅgasiddhir apy apāramārthikī syād iti cet.	kzaNa-BaFga-sidDiH api apAramArTikI syAt iti ced-.
   (87.21) na hi virodho nāma vastvantaraṃ kiñcit	(87.21) na hi viroDaH nAma vastu-antaram kiQcid-
   ubhayakoṭidattapādasambandhābhidhānam iṣyate, 'smābhir upapadyate vā.	uBaya-kowi-datta-pAda-sambanDa-aBiDAnam izyate, asmABiH upapadyate vA.
   yenaikasambandhino vastutvābhāve 'pāramārthikaṃ syāt. yathā tv iṣyate	yena-eka-sambanDinaH vastu-tva-aBAve apAramArTikam syAt. yaTA tu izyate
   tathā pāramārthika eva / viruddhābhimatayor anyo 'nyasvarūpaparihāramātraṃ	taTA pAramArTikaH eva / virudDa-aBimatayoH anyaH anya-svarUpa-parihAra-mAtram
   virodhārthaḥ / sa ca bhāvābhāvayoḥ pāramārthika eva / na bhāvo 'bhāvarūpam	viroDa-arTaH / sa ca BAva-aBAvayoH pAramArTikaH eva / na BAvaH aBAva-rUpam
   āviśati / nāpy abhāvo bhāvarūpaṃ praviśatīti yo 'yam anayor	AviSati / na-api aBAvaH BAva-rUpam praviSati-iti yaH ayam anayoH-
   asaṃkaraniyamaḥ sa eva pāramārthiko virodhaḥ / kālāntaraikarūpatayā hi	asaMkara-niyamaH saH eva pAramArTikaH viroDaH / kAla-antara-eka-rUpatayA hi
   nityatvam / kramākramau kṣaṇadvaye 'pi bhinnarūpatayā / tato	nitya-tvam / kramAkramO kzaNa-dvaye api Binna-rUpa-tayA / tatas-
   nityatvakramākramikāryakāritvayor bhāvābhāvavad virodho 'sty eva /	nitya-tva-krama-Akrami-kArya-kAri-tvayoH BAva-aBAva-vat viroDaH asti eva /
   (88.1) nanu nityatvaṃ kramayaugapadyavattvaṃ ca viruddhau dharmau vidhūya	(88.1) nanu nitya-tvam krama-yOgapadyavat-tvam ca virudDO DarmO viDUya
   nāparo virodho nāma, kasya vāstavatvam iti cet /	na-aparaH viroDaH nAma, kasya vAstava-tvam iti ced /
   (88.2) na, na hi dharmāntarasya sambhavena virodhasya pāramārthikatvaṃ	(88.2) na, na hi Darma-antarasya samBavena viroDasya pAramArTika-tvam
   brūmaḥ / kiṃ tu viruddhayor dharmayoḥ sadbhāve / anyathā	brUmaH / kim tu virudDayoH DarmayoH sadBAve / anyaTA
   virodhanāmadharmāntarasambhave 'pi yadi na viruddhau dharmau kva	viroDa-nAma-Darma-antara-samBave api yadi na virudDO DarmO kva
   pāramārthikavirodhasambhavaḥ / viruddhau ced dharmau tāvataiva tāttviko	pAramArTika-viroDa-samBavaH / virudDO ced DarmO tAvatA-eva tAttvikaH-
   virodhavyavahāraḥ / kim apareṇa pratijñāmātrasiddhena virodhanāmnā	viroDa-vyavahAraH / kim apareNa pratijQA-mAtra-sidDena viroDa-nAmnA
   vastvantareṇa /	vastu-antareNa /
   (88.7) tad ayaṃ pūrvapakṣasaṃkṣepaḥ / nityaṃ nāsti na vā pratītiviṣayas	(88.7) tat ayam pUrva-pakza-saMkzepaH / nityam na-asti na vA pratIti-vizaya-s
   tenāśrayāsiddhatā hetoḥ svānubhavasya ca kṣatir ataḥ kṣiptaḥ sapakṣo 'pi	tena-ASraya-asidDa-tA hetoH sva-anuBavasya ca kzatiH atas kziptaH sa-pakzaH api
   ca / śūnyaś ca dvitayena sidhyati na vā 'sattā 'pi sattā yathā no nityena	ca / SUnyaH ca dvitayena siDyati na vA asattA api sattA yaTA naH nityena
   virodhasiddhir asatā śakyā kramāder api / iti /	viroDa-sidDiH asatA SakyA krama-AdeH api / iti /
   (88.12) atra siddhāntasaṃkṣepaḥ / dharmasya kasya cid avastuni mānasiddhā	(88.12) atra sidDAnta-saMkzepaH / Darmasya kasya cit avastuni mAna-sidDA
   bādhāvidhivyavahṛtiḥ kim ihāsti no vā / kvāpy asti cet katham iyanti na	bADA-viDi-vyavahRtiH kim iha-asti naH vA / kvApi asti ced kaTam iyanti na
   dūṣaṇāni nāsty eva cet svavacanapratirodhasiddhiḥ /	dUzaNAni na-asti eva ced sva-vacana-pratiroDa-sidDiH /
   (88.17) tad vam nityaṃ na kramikāryakāritvākramikāryakāritvayogīti	(88.17) tat vam nityam na krami-kArya-kAri-tva-Akrami-kArya-kAri-tva-yogi-iti
   paramārthaḥ / tataś ca sattāyuktam api naiveti paramārthaḥ / tataś ca	parama-arTaH / tatas ca sattA-yuktam api na-eva-iti parama-arTaH / tatas ca
   kṣaṇikākṣaṇikaparihāreṇa rāśyantarābhāvād akṣaṇikān nivartamānam idaṃ	kzaNikA-kzaNika-parihAreNa rASi-antara-aBAvAt akzaNikAn nivartamAnam idam
   sattvaṃ kṣaṇika eva viśrāmyatvena vyāptaṃ sidhyatīti sattvāt	sattvam kzaNikaH eva viSrAmya-tvena vyAptam siDyati-iti sattvAt-
   kṣaṇikatvasiddhir avirodhini /	kzaNika-tva-sidDiH aviroDini /
   (88.21) prakṛtiḥ sarvadharmāṇaṃ yad bodhān muktir iṣyate / sa eva	(88.21) prakRtiH sarva-DarmANam yat boDAt muktiH izyate / saH eva
   tīrthyanirmāthī kṣaṇabhaṅgaḥ prasāditaḥ /	tIrTya-nirmATI kzaNa-BaFgaH prasAditaH /
   (88.23) iti kṛtir iyaṃ ratnakīrteḥ /	(88.23) iti kRtiH iyam ratna-kIrteH /
