   laghusiddhāntakaumudī	laGu-sidDAnta-kOmudI
   // kṣubha saṃcalane // 11 // ṇabha tubha hiṃsāyām // 12-13 // sraṃsu	// kzuBa saMcalane // 11 // NaBa tuBa hiMsAyAm // 12-13 // sraMsu
   bhraṃsu dhvaṃsu avasraṃsane // 14-15-16 // dhvaṃsu gatau ca // srambhu	BraMsu DvaMsu avasraMsane // 14-15-16 // DvaMsu gatO ca // sramBu
   viśvāse // 17 // vṛtu vartane // 18 // vartate / vavṛte / vartitā //	viSvAse // 17 // vRtu vartane // 18 // vartate / vavRte / vartitAH //
   vṛdbhyaḥ syasanoḥ // VLk_541 = P_1,4.92 //	vRdByaH syasanoH // VLk-_541  P_1,4.92 //
   vṛtādibhyaḥ pañcabhyo vā parasmaipadaṃ syātsye sani ca //	vRta-AdiByaH paQcaByaH vA para-smEpadam syAt-sye sani ca //
   na vṛdbhyaścaturbhyaḥ // VLk_542 = P_7,2.59 //	na vRdByaH-caturByaH // VLk-_542  P_7,2.59 //
   vṛtuvṛdhuśṛdhusyandūbhyaḥ sakārāderārdhadhātukasyeṇ na syāt	vRtu-vRDu-SRDu-syandUByaH sakAra-AdeH-ArDa-DAtukasyeN na syAt-
   taṅānayorabhāve / vartsyati, vartiṣyate / vartatām / avartata / varteta /	taFAnayoH-aBAve / vartsyati, vartizyate / vartatAm / avartata / varteta /
   vartiṣīṣṭa / avartiṣṭa / avartsyat, avartiṣyat // dada dāne // 19 //	vartizi-izwaH / avartizwaH / avartsyat, avartizyat // dada dAne // 19 //
   dadate //	dadate //
   na śasadadavādiguṇānām // VLk_543 = P_6,4.126 //	na Sasa-dada-va-Adi-guNAnAm // VLk-_543  P_6,4.126 //
   śaserdadervakārādīnāṃ guṇaśabdena vihito yo 'kārastasya ettvābhyāsalopau	SaseH-dadeH-vakAra-AdInAm guNa-Sabdena vihitaH yaH akAraH-tasya ettvAByAsa-lopO
   na / dadade / dadadāte / dadadire / daditā / dadiṣyate / dadatām / adadata	na / dadade / dadadAte / dadadire / daditA / dadizyate / dadatAm / adadata
   / dadeta / dadiṣīṣṭa / adadiṣṭa / adadiṣyata // trapūṣ lajjāyām // 20 //	/ dadeta / dadizi-izwa / adadizwaH / adadizyata // trapUH lajjAyAm // 20 //
   trapate //	trapate //
   tṝphalabhajatrapaśca // VLk_544 = P_6,4.122 //	tLPala-Baja-trapaH-ca // VLk-_544  P_6,4.122 //
   eṣāmata ettvamabhyāsalopaśca syāt kiti liṭi seṭi thali ca / trepe /	ezAm-atas et-tvam-aByAsa-lopaH-ca syAt kiti liwi sewi Tali ca / trepe /
   trapitā, traptā / trapiṣyate, trapsyate / trapatām / atrapata / trapeta /	trapitA, traptA / trapizyate, trapsyate / trapatAm / atrapata / trapeta /
   trapiṣīṣṭa, trapsīṣṭa / atrapiṣṭa, atrapta / atrapiṣyata, atrapsyata //	trapizi-izwa, trapsIzwa / atra-pizwa, atrapta / atrapizyata, atrapsyata //
   ityātmanepadinaḥ//	iti-AtmanA-IpadinaH//
   śriñ sevāyām // 1 // śrayati, śrayate / śiśrāya, śiśriye / śrayitāsi,	Srin sevAyAm // 1 // Srayati, Srayate / SiSrAya, SiSriye / SrayitAsi,
   śrayitāse / śrayiṣyati, śrayiṣyate / śrayatu, śrayatām / aśrayat, aśrayata	SrayitAse / Srayizyati, Srayizyate / Srayatu, SrayatAm / aSrayat, aSrayata
   / śrayet, śrayeta / śrīyāt, śrayiṣīṣṭa / caṅ / aśiśriyat, aśiśriyata /	/ Srayet, Srayeta / SrIyAt, Srayizi-izwa / caF / aSiSriyat, aSiSriyata /
   aśrayiṣyat, aśrayiṣyata // bhṛñ bharaṇe // 2 // bharati, bharate / babhāra	aSrayizyat, aSrayizyate // BRQ BaraNe // 2 // Barati, Barate / baBAra
   / babhratuḥ / babhruḥ / babhartha / babhṛva / babhṛma / babhre / babhṛṣe /	/ baBratuH / baBruH / baBarTa / baBRva / baBRma / baBre / baBRze /
   bhartāsi, bhartāse / bhariṣyati, bhariṣyate / bharatu, bharatām / abharat,	BartA-asi, BartAse / Barizyati, Barizyate / Baratu, BaratAm / aBarat,
   abharata / bharet, bhareta //	aBarata / Baret, Bareta //
   riṅ śayagliṅkṣu // VLk_545 = P_7,4.28 //	riF SayagliFkzu // VLk-_545  P_7,4.28 //
   śe yaki yādāvārdhadhātuke liṅi ca ṛto riṅ ādeśaḥ syāt / rīṅi prakṛte	Se yaki yAdAva-arDaDAtuke liFi ca RtaH rij AdeSaH syAt / rIFi prakRte
   riṅvidhānasāmarthyāddīrgho na / bhriyāt //	rij-viDAna-sAmarTyAt-dIrGaH na / BriyAt //
   uśca // VLk_546 = P_1,2.12 //	uH-ca // VLk-_546  P_1,2.12 //
   ṛvarṇātparau jhalādī liṅsicau kitau stastaṅi / bhṛṣīṣṭa / bhṛṣīyāstām /	RvarNAt-parO Jala-AdI liFsicO kitO staH-taFi / BRzIzwa / BRzIyAH-tAm /
   abhārṣīt //	aBArzIt //
   hrasvādaṅgāt // VLk_547 = P_8,2.27 //	hrasvAt-aFgAt // VLk-_547  P_8,2.27 //
   sico lopo jhali / abhṛta / abhṛṣātām / abhariṣyat, abhariṣyata // hṛñ	sicaH lopaH Jali / aBRta / aBRzAtAm / aBarizyat, aBarizyata // hRQ
   haraṇe // 3 // harati, harate / jahāra / jahartha / jahriva / jahrima /	haraNe // 3 // harati, harate / jahAra / jaharTaH / jahrivaH / jahrimaH /
   jahre / jahriṣe / hartāsi, hartāse / hariṣyati, hariṣyate / haratu,	jahre / jahrize / hartAsi, hartAse / harizyati, harizyate / haratu,
   haratām / aharat, aharata / haret, hareta / hriyāt, hṛṣīṣṭa / hṛṣīyāstām /	haratAm / aharat, aharata / haret, hareta / hriyAt, hRzi-izwaH / hRzIyAH-tAm /
   ahārṣīt, ahṛta / ahariṣyat, ahariṣyata // dhṛñ dhāraṇe // 4 // dharati,	ahArzIt, ahRtaH / aharizyat, aharizyate // DRn DAraNe // 4 // Darati,
   dharate // ṇīñ prāpaṇe // 5 // nayati, nayate // ḍupacaṣ pāke // 6 //	Darate // NIn prApaNe // 5 // nayati, nayate // xupacaH pAke // 6 //
   pacati, pacate / papāca / pecitha, papaktha / pece / paktāsi, paktāse //	pacati, pacate / papAca / peciTa, papakTa / pece / paktAsi, paktAse //
   bhaja sevāyām // 7 // bhajati, bhajate / babhāja, bheje / bhaktāsi,	Baja sevAyAm // 7 // Bajati, Bajate / baBAja, Beje / Bakta-asi,
   bhaktāse / bhakṣyati, bhakṣyate / abhākṣīt, abhakta / abhakṣātām //	BaktAse / Bakzyati, Bakzyate / aBAkzIt, aBakta / aBakzAtAm //
   yaja devapūjā saṅgatikaraṇadāneṣu // 8 // yajati, yajate //	yaja deva-pUjA saFgatikaraNa-dAnezu // 8 // yajati, yajate //
   liṭyabhyāsasyobhayeṣām // VLk_548 = P_6,1.17 //	liwI-aByAsasya-uBayezAm // VLk-_548  P_6,1.17 //
   vacyādīnāṃ grahyādīnāṃ cābhyāsasya samprasāraṇaṃ liṭi / iyāja //	vaci-AdInAm grahya-AdInAm ca-aByAsasya samprasAraNam liwi / iyAjaH //
   vacisvapiyajādīnāṃ kiti // VLk_549 = P_6,1.15 //	vacisu-api-yaja-AdInAm kiti // VLk-_549  P_6,1.15 //
   vacisvapyoryajādīnāṃ ca saṃprasāraṇaṃ syāt kiti / ījatuḥ / ījuḥ /	vacisu-apyoH-yaja-AdInAm ca saMprasAraNam syAt kiti / IjatuH / IjuH /
   iyajitha, iyaṣṭha / īje / yaṣṭā //	iyajiTa, iyazWaH / Ije / yazwA //
   ṣaḍhoḥ kaḥ si // VLk_550 = P_8,2.41 //	zaXoH kaH si // VLk-_550  P_8,2.41 //
   yakṣyati, yakṣyate / ijyāt, yakṣīṣṭa / ayākṣīt, ayaṣṭa // vaha prāpaṇe //	yakzyati, yakzyate / ijyAt, yakzi-izwaH / ayAkzIt, ayazwa // vaha prApaNe //
   9 // vahati, vahate / uvāha / ūhatuḥ / ūhuḥ / uvahitha //	9 // vahati, vahate / uvAha / UhatuH / UhuH / uvahiTa //
   jhaṣastāthordho 'dhaḥ // VLk_551 = P_8,2.40 //	JazaH-tATa-UrDaH aDas // VLk-_551  P_8,2.40 //
   jhaṣaḥ parasyostathordhaḥ syānna tu dadhāteḥ //	JazaH parasyoH-taTA-UrDaH syAt-na tu daDAteH //
   ḍho ḍhe lopaḥ // VLk_552 = P_8,3.13 //	XaH Xe lopaH // VLk-_552  P_8,3.13 //
   sahivahorodavarṇasya // VLk_553 = P_6,3.112 //	sa-hiva-horoda-varNasya // VLk-_553  P_6,3.112 //
   anayoravarṇasya otsyāḍḍhalope / uvoḍha / ūhe / voḍhā / vakṣyati / avākṣīt	anayoH-avarNasya otsya-axXa-lope / uvoXa / Uhe / voXA / vakzyati / avAkzIt-
   / avoḍhām / avākṣuḥ / avākṣīḥ / avoḍham / avoḍha / avākṣam / avākṣva /	/ avoXAm / avAkzuH / avAkzIH / avoXam / avoXa / avAkzam / avAkzva /
   avākṣma / avoḍha / avakṣātām / avakṣata / avoḍhāḥ / avakṣāthām / avoḍhvam	avAkzma / avoXa / avakzAtAm / avakzata / avoXAH / avakzATAm / avoXvam
   / avakṣi / avakṣvahi / avakṣmahi //	/ avakzi / avakzvahi / avakzmahi //
   iti bhvādayaḥ // 1 //	iti Bva-AdayaH // 1 //
   athādādayaḥ	aTa-At-AdayaH
   ada bhakṣaṇe // 1 //	ada BakzaNe // 1 //
   adiprabhṛtibhyaḥ śapaḥ // VLk_554 = P_2,4.72 //	adipraBRtiByaH SapaH // VLk-_554  P_2,4.72 //
   luk syāt / atti / attaḥ / adanti / atsi / atthaḥ / attha / admi / advaḥ /	luc syAt / atti / attas / adanti / atsi / atTaH / atTa / admi / advaH /
   admaḥ /	admaH /
   liṭyanyatarasyām // VLk_555 = P_2,4.40 //	liwI-anyatarasyAm // VLk-_555  P_2,4.40 //
   ado ghasḷ vā syālliṭi / jaghāsa / upadhālopaḥ //	adaH Gas? vA syAt-liwi / jaGAsa / upaDA-lopaH //
   śāsivasighasīnāṃ ca // VLk_556 = P_8,3.60 //	SAsi-vasi-GasInAm ca // VLk-_556  P_8,3.60 //
   iṇkubhyāṃ parasyaiṣāṃ sasya ṣaḥ syāt / ghasya cartvam // jakṣatuḥ / jakṣuḥ	iNkuByAm parasya-ezAm sasya zaH syAt / Gasya ca-Rtvam // jakzatuH / jakzuH
   / jaghasitha / jakṣathuḥ / jakṣa / jaghāsa, jaghasa / jakṣiva / jakṣima /	/ jaGasiTaH / jakzaTuH / jakzaH / jaGAsa, jaGasaH / jakziva / jakzimaH /
   āda / ādatuḥ / āduḥ //	Ada / AdatuH / AduH //
   iḍattyartivyayatīnām // VLk_557 = P_7,2.66 //	ixatti-arti-vyayatInAm // VLk-_557  P_7,2.66 //
   ad ṛ vyeñ ebhyasthalo nityamiṭ syāt / āditha / attā / atsyati / attu /	at R vyen eBya-sTalaH nityam-iS syAt / AdiTa / attA / atsyati / attu /
   attāt / attām / adantu //	attAt / attAm / adantu //
   hujhalbhyo herdhiḥ // VLk_558 = P_6,4.101 //	huJalByaH herDiH // VLk-_558  P_6,4.101 //
   horjhalantebhyaśca herdhiḥ syāt / addhi / attāt / attam / atta / adāni /	horJalanteByaH-ca herDiH syAt / adDi / attAt / attam / atta / adAni /
   adāva / adāma //	adAvaH / adAmaH //
   adaḥ sarveṣām // VLk_559 = P_7,3.100 //	adaH sarvezAm // VLk-_559  P_7,3.100 //
   adaḥ parasyāpṛktasārvadhātukasya aṭ syātsarvamatena / ādat / āttām / ādan	adaH parasya-apRkta-sArvaDAtukasya aw syAt-sarva-matena / Adat / AttAm / Adan
   / ādaḥ / āttam / ātta / ādam / ādva / ādma / adyāt / adyātām / adyuḥ /	/ AdaH / Attam / Atta / Adam / Adva / Adma / adyAt / adya-AtAm / adyuH /
   adyāt / adyāstām / adyāsuḥ //	adyAt / adya-AstAm / adya-AsuH //
   luṅsanorghasḷ // VLk_560 = P_2,4.37 //	luFsana-UrGas? // VLk-_560  P_2,4.37 //
   ado ghasḷ syālluṅi sani ca / ḷditvādaṅ / aghasat / ātsyat // hana	adaH Gas? syAt-luFi sani ca / ?ditvA-daF / aGasat / Atsyat // hana
   hiṃsāgatyoḥ // 2 // hanti //	hiMsA-gatyoH // 2 // hanti //
   anudāttopadeśavanatitanotyādīnāmanunāsikalopo jhali kṅiti // VLk_561 =	anudAtta-upadeSa-vanati-tanoti-AdInAm-anunAsika-lopaH Jali kFiti // VLk-_561 =
   P_6,4.37 //	P_6,4.37 //
   anunāsikāntānāmeṣāṃ vanateśca lopaḥ syājjhalādau kiti ṅiti pare /	anunAsikA-antAnAm-ezAm vanateH-ca lopaH syAt-Jala-AdO kiti Fiti pare /
   yamiraminamigamihanimanyatayo 'nudāttopadeśāḥ / tanu kṣaṇu kṣiṇu ṛṇu tṛṇu	yami-rami-nami-gam-ihanimanyatayaH anudAtta-upadeSAH / tanu kzaNu kziNu RNu tRNu
   ghṛṇu vanu manu tanotyādayaḥ / hataḥ / ghnanti / haṃsi / hathaḥ / hatha /	GRNu vanu manu tanoti-AdayaH / hataH / Gnanti / haMsi / haTaH / haTa /
   hanmi / hanvaḥ / hanmaḥ / jaghāna / jaghnatuḥ / jaghnuḥ //	hanmi / hanvaH / hanmaH / jaGAna / jaGnatuH / jaGnuH //
   abhyāsācca // VLk_562 = P_7,3.55 //	aByAsAt-ca // VLk-_562  P_7,3.55 //
   abhyāsātparasya hanterhasya kutvaṃ syāt / jaghanitha, jaghantha /	aByAsAt-parasya hanteH-hasya ku-tvam syAt / jaGaniTa, jaGanTa /
   jaghnathuḥ / jaghna / jaghniva / jaghnima / hantā / haniṣyati / hantu,	jaGnaTuH / jaGnaH / jaGniva / jaGnimaH / hantA / hanizyati / hantu,
   hatāt / hatām / ghnantu //	hatAt / hatAm / Gnantu //
   hanterjaḥ // VLk_563 = P_6,4.36 //	hanteH-jaH // VLk-_563  P_6,4.36 //
   hau pare //	hO pare //
   asiddhavadatrābhāt // VLk_564 = P_6,4.22 //	asidDa-vat-atra-ABAt // VLk-_564  P_6,4.22 //
   ita urdhvamāpādasamāpterābhīyam, samānāśraye tasminkartavye tadasiddham /	itas urDvam-ApAda-samApteH-ABIyam, samAna-ASraye tasmin-kartavye tat-asidDam /
   iti jasyāsiddhatvānna herluk / jahi, hatāt / hatam / hata / hanāni /	iti jasyA-sidDa-tvAt-na heH-luc / jahi, hatAt / hatam / hata / hanAni /
   hanāva / hanāma / ahan / ahatām / aghnan / ahan / ahatam / ahata / ahanam	hanAvaH / hanAmaH / ahan / ahatAm / aGnan / ahan / ahatam / ahata / ahanam
   / ahanva / ahanma / hanyāt / hanyātām / hanyuḥ //	/ ahanvaH / ahanma / hanyAt / hanyAtAm / hanyuH //
   ārdhadhātuke // VLk_565 = P_2,4.35 //	ArDaDAtuke // VLk-_565  P_2,4.35 //
   ityadhikṛtya //	iti-aDikRtya //
   hano vadha liṅi // VLk_566 = P_2,4.41 //	hanaH vaDa liFi // VLk-_566  P_2,4.41 //
   luṅi ca // VLk_567 = P_2,4,43 //	luFi ca // VLk-_567  P_2,4,43 //
   vadhādeśo 'dantaḥ / ardhadhātuke iti viṣayasaptamī, tena	vaDa-AdeSaH adantaH / arDaDAtuke iti vizaya-saptamI, tena
   ārdhadhātukopadeśe akārāntatvādato lopaḥ / vadhyāt / vadhyāstām /	ArDaDAtuka-upa-deSe akAra-anta-tvAt-atas lopaH / vaDyAt / vaDyAH-tAm /
   ādeśasyānekāctvādekāca itīṇniṣedhābhāvādiṭ / 'ato halādeḥ'; iti vṛddhau	AdeSasya-anekAt-tvAt-ekAcaH iti-iNnizeDa-aBAva-Adiz / aatas hala-AdeH-a; iti vRdDO
   prāptāyām ---- .	prAptAyAm --- .
   acaḥ parasmin pūrvavidhau // VLk_568 = P_1,1.57 //	acaH parasmin pUrva-viDO // VLk-_568  P_1,1.57 //
   paranimitto 'jādeśaḥ sthānivat, sthānibhūtādacaḥ pūrvatvena dṛṣṭasya	para-nimittaH ajA-deSaH sTAnivat, sTAni-BUtAdacaH pUrva-tvena dRzwasya
   vidhau kartavye / ityallopasya sthānivattvānna vṛddhiḥ / avadhīt /	viDO kartavye / iti-at-lopasya sTAnivat-tvAt-na vRdDiH / avaDIt /
   ahaniṣyat // yu miśrāṇāmiśraṇayoḥ // 3 //	ahanizyat // yu miSrANAmiSraNayoH // 3 //
   uto vṛddhirluki hali // VLk_569 = P_7,3.89 //	utas vRdDiH-luki hali // VLk-_569  P_7,3.89 //
   lugviṣaye uto vṛddhiḥ piti halādau sārvadhātuke natvabhyastasya / yauti /	lugvizaye utas vRdDiH piti hala-AdO sArvaDAtuke na-tu-aByastasya / yOti /
   yutaḥ / yuvanti / yauṣi / yuthaḥ / yutha / yaumi / yuvaḥ / yumaḥ / yuyāva	yutaH / yuvanti / yOzi / yuTaH / yuTaH / yOmi / yuvaH / yumaH / yuyAva
   / yavitā / yaviṣyati / yautu, yutāt / ayaut / ayutām / ayuvan / yuyāt /	/ yavitA / yavizyati / yOtu, yutAt / ayOt / ayutAm / ayuvan / yuyAt /
   iha uto vṛddhirna, bhāṣye - 'picca ṅinna ṅicca pinna'; iti vyākhyānāt /	iha utas vRdDiH-na, BAzye  apicca Finna Fit-ca pinna-a; iti vyAKyAnAt /
   yuyātām / yuyuḥ / yūyāt / yūyāstām / yūyāsuḥ / ayāvīt / ayaviṣyat // yā	yuyAtAm / yuyus / yUyAt / yUyAH-tAm / yUyAsuH / ayAvIt / ayavizyat // yA
   prāpaṇe // 4 // yāti / yātaḥ / yānti / yayau / yātā / yāsyati / yātu /	prApaNe // 4 // yAti / yAtaH / yAnti / yayO / yAtA / yAsyati / yAtu /
   ayāt / ayātām //	ayAt / ayAtAm //
   laṅaḥ śākaṭāyanasyaiva // VLk_570 = P_3,4.111 //	laFaH SAkawAyanasya-eva // VLk-_570  P_3,4.111 //
   ādantātparasya laṅo jherjus vā syāt / ayuḥ, ayān / yāyāt / yāyātām / yāyuḥ	AdantAt-parasya laFaH JerjuH vA syAt / ayuH, ayAn / yAyAt / yAyAtAm / yAyuH
   / yāyāt / yāyāstām / yāyāsuḥ / ayāsīt / ayāsyat / vā gatigandhanayoḥ // 5	/ yAyAt / yAyAH-tAm / yAyAsuH / ayAsIt / ayAsyat / vA gati-ganDanayoH // 5
   // bhā dīptau // 6 // ṣṇā śauce // 7 // śrā pāke // 8 // drā kutsāyāṃ	// BAs dIptO // 6 // zNA SOce // 7 // SrA pAke // 8 // drA kutsAyAm
   gatau // 9 // psā bhakṣaṇe // 10 // rā dāne // 11 // lā ādāne // 12 // dāp	gatO // 9 // psA BakzaNe // 10 // rAH dAne // 11 // lAH AdAne // 12 // dAp
   lavane // 13 // pā rakṣaṇe // 14 // khyā prakathane // 15 // ayaṃ	lavane // 13 // pAH rakzaNe // 14 // KyA prakaTane // 15 // ayam
   sārvadhātuke eva prayoktavyaḥ // vida jñāne // 16 //	sArvaDAtuke eva prayoktavyaH // vida jQAne // 16 //
   vido laṭo vā // VLk_571 = P_3,4.83 //	vidaH lawaH vA // VLk-_571  P_3,4.83 //
   vetterlaṭaḥ parasmaipadānāṃ ṇalādayo vā syuḥ / veda / vidatuḥ / viduḥ /	vetteH-lawaH para-smEpadAnAm Nala-AdayaH vA syuH / veda / vidatuH / viduH /
   vettha / vidathuḥ / vida / veda / vidva / vidma / pakṣe -- vetti / vittaḥ	vetTa / vidaTuH / vide / veda / vidva / vidma / pakze - vetti / vittaH
   / vidanti //	/ vidanti //
   uṣavidajāgṛbhyo 'nyatarasyām // VLk_572 = P_3,1.38 //	uza-vidajA-gRByaH anyatarasyAm // VLk-_572  P_3,1.38 //
   ebhyo liṭi āmvā syāt / viderantatvapratijñānādāmi na guṇaḥ / vidāñcakāra,	eByaH liwi AmvA syAt / videranta-tva-pratijQAna-AdAmi na guNaH / vidAQcakAra,
   viveda / veditā / vediṣyati //	viveda / veditA / vedizyati //
   vidāṅkurvantvityanyatarasyām // VLk_573 = P_3,1.41 //	vidAFkurvantu-iti-anyatarasyAm // VLk-_573  P_3,1.41 //
   vetterloṭi ām guṇābhāvo loṭo luk loḍantakarotyanuprayogaśca vā nipātyate	vetteH-lowi Am guNa-aBAvaH lowaH luc loxanta-karoti-anuprayogaH-ca vA nipAtyate
   puruṣavacane na vivakṣite //	puruza-vacane na vivakzite //
   tanādikṛñbhya uḥ // VLk_574 = P_3,1.79 //	tana-Adi-kRQByaH uH // VLk-_574  P_3,1.79 //
   tanādeḥ kṛñaśca uḥ pratyayaḥ syāt / śapo 'pavādaḥ / guṇau / vidāṅkarotu //	tana-AdeH kRQaH-ca uH pratyayaH syAt / SapaH apavAdaH / guNO / vidAFkarotu //
   ata utsārvadhātuke // VLk_575 = P_6,4.110 //	atas utsArvaDAtuke // VLk-_575  P_6,4.110 //
   utpratyayāntasya kṛño 'ta utsārvadhātuke kṅiti / vidāṅkurutāt /	utpratyaya-antasya kRQaH atas utsArvaDAtuke kFiti / vidAFkurutAt /
   vidāṅkurutām / vidāṅkurvantu / vidāṅkuru / vidāṅkaravāṇi / avet / avittām	vidAFkurutAm / vidAFkurvantu / vidAFkuru / vidAFka-ravANi / avet / avittAm
   / aviduḥ //	/ aviduH //
   daśca // VLk_576 = P_8,2.75 //	daH-ca // VLk-_576  P_8,2.75 //
   dhātordasya padāntasya sipi rurvā / aveḥ, avet / vidyāt / vidyātām /	DAtoH-dasya pada-antasya sipi rurvA / aveH, avet / vidyAt / vidyAtAm /
   vidyuḥ / vidyāt / vidyāstām / avedīt / avediṣyat // as bhuvi // 17 // asti	vidyuH / vidyAt / vidyAH-tAm / avedIt / avedizyat // as Buvi // 17 // asti
   śnasorallopaḥ // VLk_577 = P_6,4.111 //	Snasorat-lopaH // VLk-_577  P_6,4.111 //
   śnasyāsteścāto lopaḥ sārvadhātuke kṅiti / staḥ / santi / asi / sthaḥ /	SnasyAH-teH-ca-atas lopaH sArvaDAtuke kFiti / staH / santi / asi / sTaH /
   stha / asmi / svaḥ / smaḥ /	sTaH / asmi / svar / smaH /
   upasargaprādurbhyāmastiryacparaḥ // VLk_578 = P_8,3.87 //	upasarga-prAdurByAmaH-tiryat-paraH // VLk-_578  P_8,3.87 //
   upasargeṇaḥ prādusaścāsteḥ sasya ṣo yakāre 'ci ca pare / niṣyāt /	upasargeNaH prAdusaH-ca-asteH sasya zaH yakAre aci ca pare / nizyAt /
   praniṣanti, prāduḥ ṣanti / yacparaḥ kim ? / abhistaḥ //	pranizanti, prAduH zanti / yat-paraH kim ? / aBistaH //
   asterbhūḥ // VLk_579 = P_2,4.52 //	asteH-BUH // VLk-_579  P_2,4.52 //
   ārdhadhātuke / babhūva / bhavitā / bhaviṣyati / astu, stāt / stām / santu	ArDaDAtuke / baBUva / BavitA / Bavizyati / astu, stAt / stAm / santu
   ghvasoreddhāvabhyāsalopaśca // VLk_580 = P_6,4.119 //	GvasoH-edDO=-aByAsa-lopaH-ca // VLk-_580  P_6,4.119 //
   ghorasteśca ettvaṃ syāddhau pare abhyāsalopaśca /	GoraH-teH-ca ettvam syAt-hO pare aByAsa-lopaH-ca /
   ettvasyāsiddhatvāddherdhiḥ / śnasorityallopaḥ / tātaṅpakṣe ettvaṃ na,	ettu-asyA-sidDa-tvAt-herDiH / SnasoH-iti-at-lopaH / tAtaFpakze et-tvam na,
   pareṇa tātaṅā bādhāt / edhi, stāt / stam / sta / asāni / asāva / asāma /	pareNa tAtaFA bADAt / eDi, stAt / stam / staH / asAni / asOva / asAma /
   āsīt / āstām / āsan / syāt / syātām / syuḥ / bhūyāt / abhūt / abhaviṣyat	AsIt / AstAm / Asan / syAt / syAtAm / syuH / BUyAt / aBUt / aBavizyat-
   // iṇ gatau // 18 // eti / itaḥ //	// ij gatO // 18 // eti / itas //
   iṇo yaṇ // VLk_581 = P_6,4.81 //	iNaH yaN // VLk-_581  P_6,4.81 //
   ajādau pratyaye pare / yanti //	aja-AdO pratyaye pare / yanti //
   abhyāsasyāsavarṇe // VLk_582 = P_6,4.78 //	aByAsasya-asavarNe // VLk-_582  P_6,4.78 //
   abhyāsasya ivarṇovarṇayoriyaṅuvaṅau sto 'savarṇe 'ci / iyāya //	aByAsasya iva-RNaH-varNayoH-iyaFuvaFO staH asavarNe aci / iyAya //
   dīrgha iṇaḥ kiti // VLk_583 = P_7,4.69 //	dIrGaH iNaH kiti // VLk-_583  P_7,4.69 //
    iṇo 'bhyāsasya dīrghaḥ syāt kiti liṭi / īyatuḥ / īyuḥ / iyayitha, iyetha	iNaH aByAsasya dIrGaH syAt kiti liwi / IyatuH / IyuH / iyayiTa, iyeTa
   / etā / eṣyati / etu / ait / aitām / āyan / iyāt //	/ etAH / ezyati / etu / Et / EtAm / Ayan / iyAt //
   eterliṅi // VLk_584 = P_7,4.24 //	eteH-liFi // VLk-_584  P_7,4.24 //
   upasargātparasya iṇo 'ṇo hrasva ārdhadhātuke kiti liṅi / niriyāt /	upasargAt-parasya iNaH aNaH hrasvaH ArDaDAtuke kiti liFi / niriyAt /
   ubhayata āśrayaṇe nāntādivat / abhīyāt / aṇaḥ kim ? sameyāt //	uBayatas ASrayaNe na-anta-Adi-vat / aBIyAt / aNaH kim ? sameyAt //
   iṇo gā luṅi // VLk_585 = P_2,4.45 //	iNaH gAH luFi // VLk-_585  P_2,4.45 //
   gātistheti sico luk / agāt / aiṣyat // śīṅ svapne // 19 //	gAti-sTA-iti sicaH luc / agAt / Ezyat // SIF svapne // 19 //
   śīḍaḥ sārvadhātuke guṇaḥ // VLk_586 = P_7,4.21 //	SIxaH sArvaDAtuke guNaH // VLk-_586  P_7,4.21 //
   kkṅiti cetyasyāpavādaḥ / śete / śayāte //	kkFiti ca-iti-asya-apavAdaH / Sete / SayAte //
   śīṅo ruṭ // VLk_587 = P_7,1.6 //	SIFaH ruj // VLk-_587  P_7,1.6 //
   śīḍaḥ parasya jhādeśasyāto ruḍāgamaḥ syāt / śerate / śeṣe / śayāthe /	SIxaH parasya JAdeSasya-atas ruxA-AgamaH syAt / Serate / Seze / SayATe /
   śedhve / śaye / śevahe / śemahe / śiśye / śiśyāte / śiśyire / śayitā /	SeDve / Saye / Sevahe / Semahe / SiSye / SiSyAte / SiSyire / SayitA /
   śayiṣyate / śetām / śayātām / aśeta / aśayātām / aśerata / śayīta /	Sayizyate / SetAm / SayAtAm / aSeta / aSayAtAm / aSeratas / SayIta /
   śayīyātām / śayīran / śayiṣīṣṭa / aśayiṣṭa / aśayiṣyata // iṅ adhyayane //	SayIyAtAm / SayIran / Sayizi-izwa / aSayizwaH / aSayizyate // iF aDyayane //
   20 // iṅikāvadhyupasargato na vyabhicārataḥ / adhīte / adhīyāte / adhīyate	20 // iFikA-avaDi-upasargataH na vyaBicArataH / aDIte / aDIyAte / aDIyate
   gāṅ liṭi // VLk_588 = P_2,4.49 //	gAF liwi // VLk-_588  P_2,4.49 //
   iṅo gāṅ syālliṭi / adhijage / adhijagāte / adhijagire / adhyetā /	iFaH gAF syAt-liwi / aDijage / aDijagAte / aDijagire / aDyetA /
   adhyeṣyate / adhītām / adhīyātām / adhīyatām / adhīṣva / adhīyāthām /	aDyezyate / aDItAm / aDIyAtAm / aDIyatAm / aDIzva / aDIya-aTAm /
   adhīdhvam / adhyayai / adhyayāvahai / adhyayāmahai / adhyaita /	aDIDvam / aDyayEH / aDyayAvahE / aDyayAmahE / aDyEtaH /
   adhyaiyātām / adhyaiyata / adhyaithāḥ / adhyaiyāthām / adhyaidhvam /	aDyEyAtAm / aDyEyate / aDyETAH / aDyEyATAm / aDyEDvam /
