   Kṣemendraviracitā	Kzema indra viracitA
   kiṃ karomi kka gacchāmi paśyāmi jvalitā diśaḥ // KAvk_19.18 //	kim karomi kkaH gacCAmi paSyAmi jvalitAH diSaH // Ka avc _19.18 //
   iti saṃcintya sa śanaiḥ prasarpan salilāśayā /	iti saMcintya sa SanEs prasarpan salila ASayAH /
   āyāsamiva sākāraṃ dadarśa puramāyasam // KAvk_19.19 //	AyAsam iva sa AkAram dadarSa puram Ayasam // Ka avc _19.19 //
   ghoraṃ dvāri sthitaṃ tatra saṃtrāsasyeva sodaram /	Goram dvAri sTitam tatra saMtrAsasya iva sodaram /
   dadarśa puruṣaṃ kālakarālaṃ raktalocanam // KAvk_19.20 //	dadarSa puruzam kAla karAlam rakta locanam // Ka avc _19.20 //
   sa tena pṛṣṭaḥ pānīyaṃ yadā novāca kiṃcana /	sa tena pRzwaH pAnIyam yadA na uvAca kiMcana /
   tadā svayaṃ praviṣṭena pretaloko vilokitah // KAvk_19.21 //	tadA svayam pravizwena preta lokaH vilokitah // Ka avc _19.21 //
   dagdhakaṣṭhopamān dhūlimalaliptānnirambarān /	dagDa kazWa upamAn DUli mala liptAn nirambarAn /
   śuṣkāsthinsāyuśeṣāṅgān pretān dṛṣṭvā sa vivyathe // KAvk_19.22 //	Suzka asTin sa AyuSeza aFgAn pretAn dRzwvA sa vivyaTe // Ka avc _19.22 //
   tairyācitah sa pānīyaṃ pānīyavirahārditaḥ /	tEH yAcitah sa pAnIyam pAnIya viraha arditaH /
   parityajya nijāmārtimabhūttadduḥkhaduḥkhitaḥ // KAvk_19.23 //	parityajya nijAm Artim aBUt tad duHKa duHKitaH // Ka avc _19.23 //
   tīvratṛṣṇāturānūce sa tānārtapralāpinah /	tIvra tRzNA AturAn Uce sa tAn Arta pralApinah /
   mamāsmin marukāntāre niṣkṛpasya kutaḥ payaḥ // KAvk_19.24 //	mama asmin maru kAntAre nizkRpasya kutas payaH // Ka avc _19.24 //
   kṛcchre 'smin duḥsahe nyastāḥ ke yūyaṃ kena karmaṇā /	kRcCre asmin duHsahe nyastAH ke yUyam kena karmaNA /
   yuṣmadaprakriyabandhaścātaḥ kṛcchraścarāmyaham // KAvk_19.25 //	yuzmad aprakriya banDaH ca atas kRcCraH carAmi aham // Ka avc _19.25 //
   nidrā niḥśalyakalpasya sukhasikteva tasya yā /	nidrA niHSalya kalpasya suKa siktA iva tasya yA /
   nārtānnapaśyati dṛṣṭvā teṣāṃ kleśakṣaye kṣamā // KAvk_19.26 //	na ArtAn napaSyati dRzwvA tezAm kleSa kzaye kzamA // Ka avc _19.26 //
   te tamūcurviruddhena karmaṇā mohasaṃcayāt /	te tam UcuH virudDena karmaNA moha saMcayAt /
   anivartya vayaṃ martyāḥ kṣiptā vyasanasaṃkaṭe // KAvk_19.27 //	anivartya vayam martyAH kziptA vyasana saMkawe // Ka avc _19.27 //
   adhikṣepāt kṣepakṣatipataradhairyairmadabharād	aDikzepAt kzepa kzati patara DEryEH mada BarAt 
   anāryairmānavyasanerṣyābhiravāryavyatikaraiḥ /	anAryEH mAna vyasana IrzyABiH avArya vyatikarEH /
   kṛtāsmābhirnityaṃ suhanahṛdaye nirdayatayā	kRtAsmABiH nityam suhana hRdaye nirdaya tayA
   vacobhirnārācairviṣaparicitaiḥ śalyakalanā // KAvk_19.28 //	vacoBiH nArAcEH viza paricitEH Salya kalanA // Ka avc _19.28 //
   dānaṃ nadattaṃ hṛtameva vittaṃ hiṃsānimittīkṛtameva cittam /	dAnam nadattam hRtam eva vittam hiMsA nimittIkRtam eva cittam /
   asmārbhiraṅgairvihitā vikārāḥ parasya dārāpahṛtiprakārāḥ // KAvk_19.29 //	asmArBiH aFgEH vihitAH vikArAH parasya dAra apahRti prakArAH // Ka avc _19.29 //
   te vayaṃ kuhakāsaktā dakṣāḥ kṣudreṣu karmasu /	te vayam kuhaka AsaktAH dakzAH kzudrezu karmasu /
   prayātāḥ pretanagare ghore 'smin kleśapātratām // KAvk_19.30 //	prayAtAH preta nagare Gore asmin kleSa pAtra tAm // KAvc _19.30 //
   iti teṣāṃ vacaḥ śrutvā so 'nyatra ca tathāvidhān /	iti tezAm vacaH SrutvA saH anyatra ca taTAviDAn /
   pretān dṛṣṭvānabhipretān karuṇakulito 'bhavat // KAvk_19.31 //	pretAn dRzwvA anaBipretAn karuNa kulitaH aBavat // Ka avc _19.31 //
   nirgamya durgamāt tasmāt purātpuṇyabalena saḥ /	nirgamya durgamAt tasmAt purAt puNya balena saH /
   vimalaṃ śītalacchāyamāsasāda vanāntaram // KAvk_19.32 //	vimalam SItala= CAyam AsasAda vana antaram // Ka avc _19.32 //
   atha dūradhvasaṃtaptaḥ pariśrāntaḥ śanaiḥ śanaiḥ /	aTa dUra DvasaMtaptaH pariSrAntaH SanEs SanEs /
   nipapātācalādandhastṛṣṭārta iva bhāṣkaraḥ // KAvk_19.33 //	nipapAta acalAt anDaH tRzwa ArtaH iva BAzkaraH // Ka avc _19.33 //
   dine puṇya iva kṣīṇe niḥśeṣāśāprakāśake /	dine puNyaH iva kzINe niHSeza ASA prakASake /
   saṃmohamalinaṃ loke tamaḥ pāpamivodyayau // KAvk_19.34 //	saMmoha malinam loke tamaH pApam iva udyayO // Ka avc _19.34 //
   kṣīṇabhṛṅgavihaṅgānāṃ nalinīnāṃ prasaṅginī /	kzINa BRFga vihaFgAnAm nalinInAm prasaFginI /
   vikāsāsṃpasā mudrā nidreva samajāyata // KAvk_19.35 //	vikAsa asMpasA mudrA nidrA iva samajAyata // Ka avc _19.35 //
   kāruṇyādiva śītāṃśurjyotsnāmṛtaśalākayā /	kAruNyAt iva SItAMSuH jyotsnA amRta SalAkayA /
   sphāratāraṃ jagannitraṃ cakre vitimitaṃ tataḥ // KAvk_19.36 //	sPAra tAram jagat nitram cakre vitimitam tatas // Ka avc _19.36 //
   kṣayodayaparāvṛttirdrśitānekavibhramaḥ /	kzaya udaya parAvRttiH drSita aneka viBramaH /
   saṃsāradinayāminyorjahāseva sudhākaraḥ // KAvk_19.37 //	saMsAra dinayAmi nyoH jahAsA iva suDAkaraH // Ka avc _19.37 //
   netrānandasudhāvarṣe sukhasparśe niśākare /	netra Ananda suDA varze suKa sparSe niSAkare /
   digvadhūvadanādarśe harṣe mūrta ivotite // KAvk_19.38 //	diS vaDU vat anAdarSe harze mUrtaH iva utite // Ka avc _19.38 //
   śroṇakoṭirdadarśāgre vimānamānanadyutim /	SroNakowiH dadarSa agre vimAnam Anana dyutim /
   kautukādanyarūpeṇa svargādbhuvamivāgatam // KAvk_19.39 //	kOtukAt anya rUpeNa svargAt Buvam iva Agatam // Ka avc _19.39 //
   tasminnapaśyatsamadāścatasrastridaśāṅganāḥ /	tasmin= apaSyat samadAH catasraH tridaSa aFganAH /
   diśaścandrodayānandavihārāyeva saṃgatāḥ // KAvk_19.40 //	diSaH candra udaya Ananda vihArAya iva saMgatAH // Ka avc _19.40 //
   tāsāṃ madhye varākāraṃ ramamāṇaṃ vyalokayat /	tAsAm maDye vara AkAram ramamANam vyalokayat /
   taruṇapremasaṃbhāramiva sākāratām gataḥ // KAvk_19.41 //	taruNa prema saMBAram iva sa AkAra tAm gataH // KAvc _19.41 //
   ratnamaṇḍaleyūrakirīṭikacirāmśubhiḥ /	ratna maNxaleyUra kirIwika cirAmSuBiH /
   ālikhantamivāścaryamamaryādaṃ diśāṃ mukhe // KAvk_19.42 //	AliKantam iva AScaryam amaryAdam diSAm muKe // KAvc _19.42 //
   tasya tāmadbhutām dṛṣṭvā saṃbhogasukhasaṃpadam /	tasya tAm adButAm dRzwvA saMBoga suKa saMpadam /
   mene sa sukṛtākhyasya taroḥ sphītāṃ phalaśriyam // KAvk_19.43 //	mene sa sukRta AKyasya taroH sPItAm Pala Sriyam // Ka avc _19.43 //
   prītyā tena kṛtātithyaḥ svādupānāśanādibhiḥ /	prItyA tena kRta AtiTyaH svAdu pAna aSana AdiBiH /
   tāṃ śroṇakoṭikarṇo 'tha nināya rajanīṃ sukham // KAvk_19.44 //	tAm SroNakowikarNaH aTa ninAya rajanIm suKam // Ka avc _19.44 //
   tārākusumavātāliprabhā prābhātikī tataḥ /	tArA kusuma vAtAli praBA prABAtikI tatas /
   anityateva śaśinaścakre lakṣmīparikṣayam // KAvk_19.45 //	anitya tA iva SaSinaH cakre lakzmI parikzayam // Ka avc _19.45 //
   kṣayaṃ kṣapāyāṃ yātāyām bhānau bhuvanacakṣuṣi /	kzayam kzapAyAm yAtAyAm BAnO Buvana cakzuzi /
   udite sarvabhūtānām sukhaduḥkhaikasākṣiṇi // KAvk_19.46 //	udite sarva BUtAnAm suKa duHKa eka sAkziNi // KAvc _19.46 //
   vimānaṃ suranāryaśca kṣasṇādadṛśyatāṃyayuḥ /	vimAnam sura nAryaH ca kzasNAt adRSya tAMyayuH /
   vinaṣṭavadanacchāyaḥ puruṣaścāpatatkṣitau // KAvk_19.47 //	vinazwa vadana= CAyaH puruzaH cApatat kzitO // Ka avc _19.47 //
   tatastasyāpatat pṛṣṭhe śunāṃ saṃgho 'tibhīṣaṇaḥ /	tatas tasya apatat pRzWe SunAm saMGaH ati BIzaNaH /
   trailokyaśāpapāpotthaḥ kleśarāśirivākhilaḥ // KAvk_19.48 //	trElokya SApa pApa utTaH kleSa rASiH iva aKilaH // KAvc _19.48 //
   sa taigrīvāmukhārabdhamāṃsagrāsāgrakarṣaṇaiḥ /	sa tEgrIvA muKa ArabDa mAMsa grAsa agra karzaNEH /
   ākrandirudhirakṣīrairbhakṣyamāṇaḥ kṣayaṃ yayau // KAvk_19.49 //	Akrandi ruDira kzIrEH BakzyamANaH kzayam yayO // Ka avc _19.49 //
   dinānte punarāyāntaṃ tadvimānamapaśyata /	dina ante punar AyAntam tat vimAnam apaSyata /
   catasro 'psarāsastāśca puruṣaḥ sa ca kāntimān // KAvk_19.50 //	catasraH apsarAsaH tAH ca puruzaH sa ca kAntimAn // Ka avc _19.50 //
   taṃ śroṇakoṭikarṇo 'tha papracchātyantavismitaḥ /	tam SroNakowikarNaH aTa papracCa atyanta vismitaH /
   sakhe kimetadāścaryaṃ dṛśyate kathyatāmiti // KAvk_19.51 //	saKe kim etat AScaryam dRSyate kaTyatAm iti // Ka avc _19.51 //
   sa tena pṛṣṭaḥ provāca vayasya śrūyatāmidam /	sa tena pRzwaH provAca vayasya SrUyatAm idam /
   tvāṃ śroṇakoṭikarṇākhyaṃ jānāmi sukṛtocitam // KAvk_19.52 //	tvAm SroNakowikarNa AKyam jAnAmi sukRta ucitam // Ka avc _19.52 //
   abhavaṃ vāsavagrāme duṣkṛtī paśupālakaḥ /	aBavam vAsavagrAme duzkRtI paSupAlakaH /
   paśūnāṃ māṃsamutkṛtya vikrītaṃ satata mayā // KAvk_19.53 //	paSUnAm mAMsam utkRtya vikrItam satata mayA // Ka avc _19.53 //
   piṇḍapātāya saṃprāpto māmāryaḥ karuṇānidhiḥ /	piNxa pAtAya saMprAptaH mAm AryaH karuNA niDiH /
   kātyāyanākhyaḥ provācaḥ viramāsmāt kukarmaṇaḥ // KAvk_19.54 //	kAtyAyana AKyaH provAcaH virama asmAt kukarmaNaH // Ka avc _19.54 //
   hiṃsāmayo hyayaṃ kleśo duḥsahaḥ sāhasaiṣiṇām /	hiMsA mayaH hi ayam kleSaH duHsahaH sAhasa eziNAm /
   svaśarīre patatyeva chinnamūla iva drumaḥ // KAvk_19.55 //	sva SarIre patati eva Cinna mUlaH iva drumaH // Ka avc _19.55 //
   ityahaṃ vāryamāṇo 'pi tenānāryaḥ kṛpātmanā /	iti aham vAryamANaH api tena anAryaH kRpA AtmanA /
   yadā na virataḥ pāpāt tadā sa prāha māṃ punaḥ // KAvk_19.56 //	yadA na virataH pApAt tadA sa prAha mAm punar // Ka avc _19.56 //
   divā tvaṃ kuruṣe hiṃsāṃ sarvathā yadi nirdayaḥ /	divA tvam kuruze hiMsAm sarvaTA yadi nirdayaH /
   rātrau śīlasamādānaṃ gṛhāṇa samayānmama // KAvk_19.57 //	rAtrO SIla samAdAnam gRhANa samayAt mama // Ka avc _19.57 //
   ityuktvā tena yatnena sarvasattvahitaiṣiṇā /	iti uktvA tena yatnena sarva sattva hita eziNA /
   dattā śīlasamādānamayī puṇyamatirmama // KAvk_19.58 //	dattA SIla samAdAna mayI puNya matiH mama // Ka avc _19.58 //
   kālena kālavaśagaḥ prāptaḥ so 'hamimāṃ daśām /	kAlena kAla vaSagaH prAptaH saH aham imAm daSAm /
   taptāṅgārasudhāvarṣairiva kīrṇo divāniśam // KAvk_19.59 //	tapta aFgAra suDA varzEH iva kIrNaH divAniSam // Ka avc _19.59 //
   rātrau śīlasamādānaphalaṃ hiṃsāphalaṃ dine /	rAtrO SIla samAdAna Palam hiMsA Palam dine /
   caryā matpuṇyapāpābhyām patitaḥ sukhaduḥkhayoḥ // KAvk_19.60 //	caryA mad puNya pApAByAm patitaH suKa duHKayoH // Ka avc _19.60 //
   tasya me kuru kāruṇyaṃ sakhe kalusakāriṇaḥ /	tasya me kuru kAruNyam saKe kalusa kAriNaH /
   gatvā svadeśaṃmatputraṃ brūhi madvacasā rahaḥ // KAvk_19.61 //	gatvA sva deSaMmad putram brUhi mad vacasA rahaH // Ka avc _19.61 //
   asti me gṛhakoṭānte nikhātaṃ hemabhājanam /	asti me gRha kowa ante niKAtam hema BAjanam /
   taduddhṛtya parityaktapāpavṛtti vidhīyatām // KAvk_19.62 //	tat udDRtya parityakta pApa vRtti viDIyatAm // KAvc _19.62 //
   āryakātyāyano nityaṃ piṇḍapātena pūjyatām /	Arya kAtyAyanaH nityam piNxa pAtena pUjyatAm /
   ityuktastena vinayāt tathetyuktvā jagāma saḥ // KAvk_19.63 //	iti uktaH tena vinayAt taTA iti uktvA jagAma saH // Ka avc _19.63 //
   sa dadarśa vrajan divyavimānamaparaṃ punaḥ /	sa dadarSa vrajan divya vimAnam aparam punar /
   ratnapadmalatākāntaṃ dvitīyamiva nandanam // KAvk_19.64 //	ratna padma latA kAntam dvitIyam iva nandanam // Ka avc _19.64 //
   tasmin sāṅgamivānaṅgaṃ saṃgataṃ divyayoṣitā /	tasmin sAFgam iva anaFgam saMgatam divya yozitAH /
   apaśyadvāsarārambhe puruṣaṃ ratnabhūṣitam // KAvk_19.65 //	apaSyat vAsara AramBe puruzam ratna BUzitam // Ka avc _19.65 //
   tena prītyupacāreṇa kṛtātithyastathaiva saḥ /	tena prIti upacAreNa kRta AtiTyaH taTA eva saH /
   dinaṃ nināya dīrghaṃ ca kleśamadhye sudhāmayam // KAvk_19.66 //	dinam ninAya dIrGam ca kleSa maDye suDA mayam // Ka avc _19.66 //
   atha vyomavimānāgrāt patite padminīpatau /	aTa vyoma vimAna agrAt patite padminI patO /
   apūryata jagad ghorairduḥkhairiva tamobharaiḥ // KAvk_19.67 //	apUryata jagat GorEH duHKEH iva tamaH BarEH // Ka avc _19.67 //
   tataḥ kṣapāpatirjyotsnāṃ vamanneva kṣapājaḍaḥ /	tatas kzapApatiH jyotsnAm vaman= eva kzapA jaxaH /
   śanakaiḥ pāṇḍurogīva gauradyutiradṛśyata // KAvk_19.68 //	SanakEs pANxu rogI iva gOra dyutiH adRSyate // Ka avc _19.68 //
   sukumāre dināloke rātrau rākṣasayoṣitā /	sukumAre dina Aloke rAtrO rAkzasa yozitAH /
   bhakṣite 'lakṣyata śaśī kapālabalasaṃnibhaḥ // KAvk_19.69 //	Bakzite alakzyata SaSI kapAla bala saMniBaH // Ka avc _19.69 //
   vyāpte candrikayā loke kālacandranacarcayā /	vyApte candrikayA loke kAla candra na carcayA /
   vimānamagamat kkāpisā ca svargamṛgekṣaṇā // KAvk_19.70 //	vimAnam agamat kkApisA ca svarga mRga IkzaNA // Ka avc _19.70 //
   vimānapatitaḥ so 'pi puruṣaḥ sarvarūpayā /	vimAna patitaH saH api puruzaH sarva rUpayA /
   śanaiḥ saptabhirāvartaiḥ śatapadyā viveṣṭitaḥ // KAvk_19.71 //	SanEs saptaBiH AvartEH SatapadyAH vivezwitaH // Ka avc _19.71 //
   sā tasya mūrdhni vivaraṃ kṛtvā mastiṣkaśoṇitam /	sA tasya mUrDni vivaram kRtvA mastizka SoNitam /
   āsvādayantī śanakaiścakāra śuṣiraṃ śiraḥ // KAvk_19.72 //	AsvAdayantI SanakEs cakAra Suziram SiraH // Ka avc _19.72 //
   athāruṇakaracchanne socchvāsavadāne dine /	aTa aruNa kara= Canne sa ucCvAsa vadAne dine /
   bībhatsadarśanakleśādiva mīlitatārake // KAvk_19.73 //	bIBatsa darSana kleSAt iva mIlita tArake // Ka avc _19.73 //
   prādurāsan punardivyavimānaṃ sā ca kāminī /	prAdurAsan punar divya vimAnam sA ca kAminI /
   yuvā sa cādbhutatanurdivyābharaṇabhūṣitaḥ // KAvk_19.74 //	yuvA sa ca adButa tanuH divya ABaraNa BUzitaH // Ka avc _19.74 //
   pṛṣṭo 'tivismayāt tena svavṛttāntaṃ jagād saḥ /	pRzwaH ati vismayAt tena sva vRttAntam jagAt saH /
   dvijo 'haṃ vāsavagrāmanivāsī manasābhidhaḥ // KAvk_19.75 //	dvijaH aham vAsavagrAma nivAsI manasA aBiDaH // Ka avc _19.75 //
   taruṇī prātiveśyasya patnī malayamañjarī /	taruNI prAtiveSyasya patnI malaya maQjarI /
   abhūnmama bhujaṅgasya svairiṇī vallabhā bhṛśam // KAvk_19.76 //	aBUt mama BujaFgasya svEriNI vallaBAH BRSam // Ka avc _19.76 //
   paradāraratergrāme vyagrā me kṣamate matiḥ /	para dAra rateH grAme vyagrA me kzamate matiH /
   minagnā viṣayagrāme samagrā me kṣayaṃ gatā // KAvk_19.77 //	minagnA vizaya grAme samagrA me kzayam gatA // Ka avc _19.77 //
   āryakātyāyanaḥ pāpaṃ jñātvā mām cauryakāmukam /	Arya kAtyAyanaH pApam jQAtvA mAm cOrya kAmukam /
   dayāvidheyaḥ kāruṇyāt provāca vijane śanaiḥ // KAvk_19.78 //	dayA viDeyaH kAruNyAt provAca vijane SanEs // Ka avc _19.78 //
   parāṅganāṅgasaṃsargaprītyā rūparateḥ kṣaibam (?) /	para aFgana aFga saMsarga prItyA rUpa rateH kzEbam (?) /
   anaṅgāgnau patannāśaṃ pataṅgaṃ iva mā gamaḥ // KAvk_19.79 //	anaFga agnO patat nASam pataFgam iva mA gamaH // Ka avc _19.79 //
   aho āsaktaraktānāṃ saṃpatanapramādinām /	aho Asakta raktAnAm saMpatana pramAdinAm /
   kāminām hiṃsakānāṃ ca paradārādaraḥ param // KAvk_19.80 //	kAminAm hiMsakAnAm ca para dAra AdaraH param // Ka avc _19.80 //
   pṛthu pravepathu (?) svāpaśramavihvalānām	pRTu pravepaTu (?) svApa Srama vihvalAnAm
   gṛdhrāṅganāmukhanikhātanakhakṣatānām /	gRDra aFganA muKa niKAta naKa kzatAnAm /
   saṃmohane paravadhūvihitaspṛhāṇāṃ romāñcakāriṇi paraṃ narake ca kāmaḥ //	saMmohane para vaDU vihita spRhANAm romAQca kAriNi param narake ca kAmaH //
   KAvk_19.81 //	KAvc _19.81 //
   tasmādasmānnivartasva vatsa kutsitakarmaṇaḥ /	tasmAt asmAt nivartasva vatsa kutsita karmaNaH /
   jāyate pātakaṃ sparśe śunāmevāśucau ratiḥ // KAvk_19.82 //	jAyate pAtakam sparSe SunAm eva aSucO ratiH // Ka avc _19.82 //
   ityahaṃ kṛpayā tena niṣiddho 'pyaviśuddhadhīḥ /	iti aham kRpayA tena nizidDaH api aviSudDa DIH /
   aniruddhena rāgeṇa baddhastāmeva nātyajam // KAvk_19.83 //	anirudDena rAgeNa badDaH tAm eva na atyajam // Ka avc _19.83 //
   vijñāya māmavirataṃ tataḥ kātyāyano dadau /	vijQAya mAm aviratam tatas kAtyAyanaH dadO /
   mahyaṃ śīlasamādānaṃ dinacaryāhitodyataḥ // KAvk_19.84 //	mahyam SIla samAdAnam dina caryA hita udyataH // Ka avc _19.84 //
   dinaśīlasamādānāt parastrīgamanānniśi /	dina SIla samAdAnAt para strI gamanAt niSi /
   iyaṃ me puṇyapāpotthā sukhaduḥkhamayī sthitīḥ // KAvk_19.85 //	iyam me puNya pApa utTA suKa duHKa mayI sTitIH // Ka avc _19.85 //
   gatena vāsavagrāmaṃ vācyaḥ putro mama tvayā /	gatena vAsavagrAmam vAcyaH putraH mama tvayA /
   suvarṇamagniśālāyāmasti gūḍhaṃ dhṛtaṃ mayā // KAvk_19.86 //	suvarNam agni SAlAyAm asti gUXam DRtam mayA // Ka avc _19.86 //
   vṛttiḥ kāryā tadudbhṛtya pūjyaḥ kātyāyanaśca saḥ /	vRttiH kAryA tat udBRtya pUjyaH kAtyAyanaH ca saH /
   praṇayāditi tenoktaḥ śroṇakoṭiryayau tataḥ // KAvk_19.87 //	praNayAt iti tena uktaH SroNakowiH yayO tatas // Ka avc _19.87 //
   so 'paśyaddivyalalanāmagre maṇivimānagām /	saH apaSyat divya lalanAm agre maNi vimAna gAm /
   lakṣmīṃ lāvaṇyadugdhābdheranāyāsodgatāmiva // KAvk_19.88 //	lakzmIm lAvaNya dugDa abDeH anAyAsa udgatAm iva // Ka avc _19.88 //
   tasya vimānapādeṣi caturṣu snāyusaṃyutam /	tasya vimAna pAdezi caturzu snAyu saMyutam /
   sa dadarśātidurdaśaṃ baddhaṃ pretacatuṣṭayam // KAvk_19.89 //	sa dadarSa ati durdaSam badDam preta catuzwayam // Ka avc _19.89 //
   sāpi taṃ pratyabhijñāya saṃbhāṣya snigdhayā girā /	sA api tam pratyaBijQAya saMBAzya snigDayA girA /
   surocitaṃ dadau tasmai rasavat pānabhojanam // KAvk_19.90 //	sura ucitam dadO tasmE rasavat pAna Bojanam // Ka avc _19.90 //
   bhuñjānasaṃjñayāṃ dūrāt pretairdainyena yācitaḥ /	BuQjAna saMjQayAm dUrAt pretEH dEnyena yAcitaH /
   sa dadau kṛpayā tebhyaḥ kākebhya iva piṇḍikāḥ // KAvk_19.91 //	sa dadO kRpayA teByaH kAkeByaH iva piNxikAH // Ka avc _19.91 //
   piṇḍo busatvamekasya prayāto 'nyasya lohatām /	piNxaH busa tvam ekasya prayAtaH anyasya loha tAm /
   svamāṃsatvaṃ tṛtīyasya caturthasya prapūyatām // KAvk_19.92 //	sva mAMsa tvam tRtIyasya caturTasya prapUyatAm // KAvc _19.92 //
   vilokya tatkṛpāviṣṭaḥ sa teṣāṃ kaṣṭaceṣṭayā /	vilokya tad kRpA AvizwaH sa tezAm kazwa cezwayA /
   papraccha tanmukhacchāyām vicchāyīkṛtapaṅkajām // KAvk_19.93 //	papracCa tad muKa= CAyAm vicCAyIkRta paFkajAm // Ka avc _19.93 //
   pṛṣṭā tadadbhutaṃ tena uvāca sā mṛgekṣaṇā /	pRzwA tat adButam tena uvAca sA mRga IkzaNAH /
   na śroṇakoṭirṇaiṣāṃ dattaṃ bhavati tṛptaye // KAvk_19.94 //	na SroNakowirNA ezAm dattam Bavati tRptaye // Ka avc _19.94 //
   brāhmaṇasyāsya bhāryāhaṃ pūrvapādābalambinaḥ /	brAhmaNasya asya BAryA aham pUrva pAda AbalambinaH /
   nandanāmnaḥ sunandākhyā vāsavagrāmavāsinaḥ // KAvk_19.95 //	nanda nAmnaH sunanda AKyA vAsava grAma vAsinaH // Ka avc _19.95 //
   dvitīyapādasaṃsaktaḥ putro me niṣṭhurābhidhaḥ /	dvitIya pAda saMsaktaH putraH me nizWura aBiDaH /
   paścātpādāvalambinyau dāsī ceyaṃ snuṣā ca me // KAvk_19.96 //	paScAt pAda avalambinyO dAsI ca iyam snuzA ca me // Ka avc _19.96 //
   nakṣatrayogapūjāyām purā sajjīkṛate mayā /	nakzatra yoga pUjAyAm purA sajjIkRate mayA /
   bhaikṣyopahāre me gehamāryakātyāyano 'viśat // KAvk_19.97 //	BEkzya upahAre me geham Arya kAtyAyanaH aviSat // Ka avc _19.97 //
   mayā cittaprasādinyā piṇḍapātena so 'rcitaḥ /	mayA citta prasAdinyA piNxa pAtena saH arcitaH /
   kurvanneva yayau kāntyā vaimalyānugrahaṃ diśām // KAvk_19.98 //	kurvan= eva yayO kAntyA vEmalya anugraham diSAm // Ka avc _19.98 //
   tataḥ snātvā samāyātastūrṇaṃ patirayaṃ mama /	tatas snAtvA samAyAtaH tUrNam patiH ayam mama /
   patpiṇḍapātamākarṇya pramidāya mayoditam // KAvk_19.99 //	pad piNxapAtam AkarNya pramidAya mayA uditam // Ka avc _19.99 //
   kopāduvāca māṃ kasmād viśikhaḥ śramaṇaḥ śaṭhaḥ /	kopAt uvAca mAm kasmAt viSiKaH SramaNaH SaWaH /
   apūjiteṣu pūjyeṣu busārhaḥ pūjitastvayā // KAvk_19.100 //	apUjitezu pUjyezu busa arhaH pUjitaH tvayA // Ka avc _19.100 //
   iti mohādanenokte putro 'pyeṣa jagād mām /	iti mohAt anena ukte putraH api eza jagAt mAm /
   pāke pūrvāśanāyogyaḥ sa kiṃ nāśnātyayoguḍān // KAvk_19.101 //	pAke pUrva aSana ayogyaH sa kim na aSnAtyayaH guxAn // Ka avc _19.101 //
   iyaṃ snuṣā me satataṃ pūrvabhakṣyāvabhoginā /	iyam snuzA me satatam pUrva Bakzya avaBoginA /
   mayokte śapathaṃ cakre svamāṃsādanavādinī // KAvk_19.102 //	mayA ukte SapaTam cakre sva mAMsAdana vAdinI // KAvc _19.102 //
   iyaṃ dāsī ca bhaikṣyāṇā cairyāttadvyayakāriṇī /	iyam dAsI ca BEkzyANA cEryAt tad vyaya kAriNI /
   ākṣiptā cākarot satyaṃ pūyaśoṇitavādinī // KAvk_19.103 //	AkziptA ca akarot satyam pUya SoNita vAdinI // KAvc _19.103 //
   tatra te pretatām yātāḥ svavākyasadṛśāśanāḥ /	tatra te preta tAm yAtAH sva vAkya sadRSa aSanAH /
   ahaṃ tvāryaprasādena divyabhogopabhoginī // KAvk_19.104 //	aham tu Arya prasAdena divya Boga upaBoginI // Ka avc _19.104 //
   tvayā tvāryaśamāptena vaktavyā duhitā mama /	tvayA tvAryaSama Aptena vaktavyA duhitA mama /
   santi hemanidhānāni gṛhe catvāri te pituḥ // KAvk_19.105 //	santi hema niDAnAni gRhe catvAri te pituH // KAvc _19.105 //
   tānyuddhṛtya yathāyogaṃ bhajasv asvajanisthitim /	tAni udDRtya yaTAyogam Bajasu asva jani sTitim /
   pūjanīyaḥ piturbhrātā nāmnā kātyāyana sadā // KAvk_19.106 //	pUjanIyaH pituH BrAtA nAmnA kAtyAyana sadA // Ka avc _19.106 //
   sa ḥ śroṇakoṭikarṇastvaṃ gaccha deśaṃ tyaja śramam /	sa H SroNa kowikarNaH tvam gacCa deSam tyaja Sramam /
   varṣā dvādaśa saṃpūrṇāḥ svagṛhānnirgatasya te // KAvk_19.107 //	varzAH dvAdaSa saMpUrNAH sva gRhAt nirgatasya te // KAvc _19.107 //
   ityuktvā taṃ samādiśaya tasya pretacatuṣṭayam /	iti uktvA tam samAdiSaya tasya preta catuzwayam /
   suptasyaiva muhūrtena svadeśāptimakārayat // KAvk_19.108 //	suptasya eva muhUrtena sva deSa Aptim akArayat // Ka avc _19.108 //
   utthitaḥ so 'pi sahasā svadeśodyānakānanāt /	utTitaH saH api sahasA sva deSa udyAna kAnanAt /
   viyogaśokātpitarau śuśrāvāndhyamupāgatau // KAvk_19.109 //	viyoga SokAt pitarO SuSrAva AnDyam upAgatO // KAvc _19.109 //
   bhikṣudvijātithigaṇe pūjyamāne surālaye /	Bikzu dvija atiTi gaNe pUjyamAne surAlaye /
   svakaṃ pitṛgṛhaṃ dṛṣṭvā paraṃ vismayamāyayau // KAvk_19.110 //	svakam pitR gRham dRzwvA param vismayam AyayO // Ka avc _19.110 //
