   akalpā pariṣadyatra Ang_2,6.2a	akalpA parizadyatra Ank-_2,6.2a
   puṇyāyāṃ viṣṇupadyāṃ ca Ang_1.647c	puNyAyAm vizNupadyAm ca Ank-_1.647c
   puṇyā vyāhṛtayaśceti Ang_1.10a	puNyAH vyAhRtayaH-ca-iti Ank-_1.10a
   puṇye tadayanadvaye Ang_1.913d	puNye tad-ayana-dvaye Ank-_1.913d
   putragrahaṇakāle tu Ang_1.361a	putra-grahaNa-kAle tu Ank-_1.361a
   putragrahaṇatuṣṭyaiva Ang_1.391c	putra-grahaNa-tuzwyA-eva Ank-_1.391c
   putragrahaḥ prakathito Ang_1.403a	putra-grahaH prakaTitaH Ank-_1.403a
   putratvaṃ nānyathā matam Ang_1.306d	putra-tvam na-anyaTA matam Ang_1.306d
   putratvaṃ samavāpnoti Ang_1.126c	putra-tvam samavApnoti Ank-_1.126c
   putratvenodaraparo Ang_1.427c	putra-tvena-udara-paraH Ank-_1.427c
   putrapautrādibhiḥ saha Ang_1.862d	putra-pOtra-AdiBiH saha Ank-_1.862d
   putrapradānasamaye Ang_1.368a	putra-pradAna-samaye Ank-_1.368a
   putrapradānasamaye Ang_1.370a	putra-pradAna-samaye Ank-_1.370a
   putrayatraṃ sadā kuryād Ang_1.321c	putrayatram sadA kuryAt Ank-_1.321c
   putravānagnimānnityaṃ Ang_1.317c	putravAn-agnimAn-nityam Ank-_1.317c
   putravāneva bhāgyavān Ang_1.318b	putravAn-eva BAgyavAn Ank-_1.318b
   putravān yadi tadbhavet Ang_1.323d	putravAn yadi tat-Bavet Ank-_1.323d
   putravān śrotriyaḥ smṛtaḥ Ang_1.317d	putravAn SrotriyaH smRtaH Ang_1.317d
   putravikrayiṇaṃ tathā Ang_1.748d	putra-vikrayiNam taTA Ank-_1.748d
   putrasaṃpādanaṃ dhīmān Ang_1.326a	putra-saMpAdanam DImAn Ank-_1.326a
   putrasvīkaraṇādatha Ang_1.1010d	putra-svIkaraNAt-aTa Ank-_1.1010d
   putraṃ na pratigṛhṇīyād Ang_1.383c	putram na pratigRhNIyAt Ang_1.383c
   putriṇastu triviṣṭapam Ang_1.316d	putriNaH-tu trivizwapam Ank-_1.316d
   putrī sākṣādbrahmavicca Ang_1.318a	putrI sAkzAt-brahma-vid-ca Ank-_1.318a
   putre jāte tato bhūyaḥ Ang_1.1010c	putre jAte tatas BUyas Ank-_1.1010c
   putreṇa jātamātreṇa Ang_1.324a	putreNa jAta-mAtreNa Ank-_1.324a
   putreṇa vidinātmanā Ang_1.1060d	putreNa vidina-AtmanA Ank-_1.1060d
   putreṇa sthāvaraṃ dānaṃ Ang_1.320c	putreNa sTAvaram dAnam Ank-_1.320c
   putreṇaitena tatkṣaṇāt Ang_1.318d	putreNa-etena tad-kzaNAt Ank-_1.318d
   putreṣu satsu dattena Ang_1.443a	putrezu satsu dattena Ank-_1.443a
   putro jñātimato dattaḥ Ang_1.307c	putraH jQAtimataH dattaH Ang_1.307c
   punantu māṃ brāhmaṇapādapāṃsavaḥ Ang_2,12.16d	punantu mAm brAhmaNa-pAda-pAMsavaH Ank-_2,12.16d
   punaranyāni kevalam Ang_1.843b	punar-anyAni kevalam Ank-_1.843b
   punaranye tathāvidhāḥ Ang_1.540b	punar-anye taTAviDAH Ank-_1.540b
   punaranyeṣu tāḥ punaḥ Ang_1.914d	punar-anyezu tAH punar Ank-_1.914d
   punarapyupakāriṇaḥ Ang_1.1043d	punar-api-upakAriNaH Ank-_1.1043d
   punarupanayātparam Ang_1.203b	punar-upanayAt-param Ank-_1.203b
   punarna iti bhūyaśca Ang_1.859a	punar-naH iti BUyas-ca Ank-_1.859a
   punarnirūpyate spaṣṭam- Ang_1.609c	punar-nirUpyate spazwam Ank-_1.609c
   punarvivāhitā mūḍhaiḥ Ang_1.193a	punar-vivAhitAH mUXEH Ank-_1.193a
   punarvivāhitā sā tu Ang_1.194a	punar-vivAhitA sA tu Ank-_1.194a
   punarvivāhitenaiva Ang_1.398a	punar-vivAhitena-eva Ank-_1.398a
   punarviśeṣaḥ ko 'pyasti Ang_1.1045a	punar-viSezaH kaH api-asti Ank-_1.1045a
   punaḥkaraṇasaṃprāptau Ang_1.945a	punaHkaraNa-saMprAptO Ank-_1.945a
   punaḥ kāmādvivāhitā Ang_1.449b	punar kAmAt-vivAhitAH Ank-_1.449b
   punaḥ kumbhaghaṭeṣu ca Ang_1.1016b	punar kumBa-Gawezu ca Ank-_1.1016b
   punaḥ kuryāttu tāṃ kriyām Ang_1.129d	punar kuryAt-tu tAm kriyAm Ank-_1.129d
   punaḥ kuryādyathāvidhi Ang_1.130d	punar kuryAt-yaTAviDi Ank-_1.130d
   punaḥ pakṣāntaraṃ proktaṃ Ang_1.987c	punar pakza-antaram proktam Ang_1.987c
   punaḥ pākaṃ prakurvīta Ang_1.957c	punar pAkam prakurvIta Ang_1.957c
   punaḥ pākena tacchrāddha- Ang_1.967c	punar pAkena tat-SrAdDa Ank-_1.967c
   punaḥ pākena sadyo vai Ang_1.972c	punar pAkena sadyas vE Ang_1.972c
   punaḥ pretatvaśaṅkayā Ang_1.881d	punar preta-tva-SaFkayA Ank-_1.881d
   punaḥ śrāddhaṃ pare 'hani Ang_1.949b	punar SrAdDam pare ahani Ank-_1.949b
   punaḥ sametaṃ tatprocur Ang_1.680c	punar sametam tad-procuH Ank-_1.680c
   punaḥ saṃkalpamācaret Ang_1.806d	punar saMkalpam-Acaret Ang_1.806d
   punaḥ saṃkalpayitvaiva Ang_1.804c	punar saMkalpayitvA-eva Ank-_1.804c
   punaḥsaṃdhānavidhinā Ang_1.1021c	punar-saMDAna-viDinA Ank-_1.1021c
   punaḥsaṃskāra eva hi Ang_1.59b	punar-saMskAraH eva hi Ank-_1.59b
   punaḥsaṃskāratastathā Ang_1.152d	punar-saMskArataH-taTA Ank-_1.152d
   punaḥsaṃskārataḥ punaḥ Ang_1.202b	punar-saMskArataH punar Ank-_1.202b
   punaḥsaṃskārataḥ śuddhaḥ Ang_1.57c	punar-saMskArataH SudDaH Ang_1.57c
   punaḥsaṃskārato 'pi tat Ang_1.66b	punar-saMskArataH api tat Ank-_1.66b
   punaḥsnānaṃ yathāvidhi Ang_1.254b	punaHsnAnam yaTAviDi Ank-_1.254b
   punaḥ snānāntaraṃ vinā Ang_1.256b	punar snAna-antaram vinA Ank-_1.256b
   puraskṛtyārthalobhataḥ Ang_1.121b	puraskRtya-arTa-loBataH Ank-_1.121b
   purā kila pitṛtṛpti- Ang_1.503a	purA kila pitR-tRpti Ank-_1.503a
   purā kuśavane puṇye Ang_1.558c	purA kuSa-vane puNye Ang_1.558c
   purāṇasmṛticoditā Ang_1.4d	purANa-smRti-coditAH Ank-_1.4d
   purāṇokteṣveṣu satsu Ang_1.7a	purANa-uktezu-ezu satsu Ank-_1.7a
   purā saṃskṛtayoḥ purā Ang_1.226b	purA saMskRtayoH purA Ank-_1.226b
   puruṣasūktajapo vāpi Ang_1.156a	puruzasUkta-japaH vA-api Ank-_1.156a
   puruṣasūktena juhuyād Ang_1.956a	puruzasUktena juhuyAt Ank-_1.956a
   puruṣo hyardhabhāgbhavet Ang_2,10.20d	puruzaH hi-arDa-BAj-Bavet Ank-_2,10.20d
   puroktānyanyathākṛtvā Ang_1.365a	purA-uktAni-anyaTA-akRtvA Ank-_1.365a
   purohitācāryayośca Ang_1.1043a	purohita-AcAryayoH-ca Ank-_1.1043a
   puṣṭaṃ śūdraniketanam Ang_1.745b	puzwam SUdra-niketanam Ank-_1.745b
   puṣpavanmaṇḍalasama- Ang_1.280c	puzpa-vat-maNxala-sama Ank-_1.280c
   pūjanīyā viśeṣataḥ Ang_1.1103b	pUjanIyAH viSezataH Ank-_1.1103b
   pūjitāśca bhaviṣyanti Ang_1.1089a	pUjitAH-ca Bavizyanti Ank-_1.1089a
   pūpasya sthānake tataḥ Ang_1.727d	pUpasya sTAnake tatas Ank-_1.727d
   pūrayetpitṛtṛptyarthaṃ Ang_1.1089c	pUrayet-pitR-tRpti-arTam Ank-_1.1089c
   pūrṇapātraṃ śarmapātraṃ Ang_1.524a	pUrNa-pAtram Sarma-pAtram Ank-_1.524a
   pūrvagotre praveśayet Ang_1.352d	pUrva-gotre praveSayet Ank-_1.352d
   pūrvataḥ pṛṣṭhato 'pi vā Ang_1.61b	pUrvatas pRzWatas api vA Ank-_1.61b
   pūrvadvaye tu satataṃ Ang_1.721c	pUrva-dvaye tu satatam Ank-_1.721c
   pūrvadharmaṃ vinikṣipya Ang_1.208a	pUrva-Darmam vinikzipya Ank-_1.208a
   pūrvameva tadā tadā Ang_1.1011d	pUrvam-eva tadA tadA Ank-_1.1011d
   pūrvameva dine kuryād Ang_1.648c	pUrvam-eva dine kuryAt Ank-_1.648c
   pūrvavacca tilodakam Ang_1.856d	pUrvavat-ca tila-udakam Ank-_1.856d
   pūrvavacca vidhānataḥ Ang_1.813b	pUrvavat-ca viDAnataH Ank-_1.813b
   pūrvavattu samācaret Ang_1.211d	pUrvavat-tu samAcaret Ang_1.211d
   pūrvavaddoṣaśāntaye Ang_1.1072d	pUrvavat-doza-SAntaye Ang_1.1072d
   pūrvavṛtte 'tha vijñāte Ang_1.355c	pUrva-vRtte aTa vijQAte Ank-_1.355c
   pūrvasmin haviṣi kvacit Ang_1.71d	pUrvasmin havizi kvacid Ank-_1.71d
   pūrvaṃ kṛtvā tataḥ param Ang_1.1037d	pUrvam kRtvA tatas param Ank-_1.1037d
   pūrvaṃ kṛtvā tataḥ punaḥ Ang_1.1040d	pUrvam kRtvA tatas punar Ank-_1.1040d
   pūrvaṃ tajjanakasya ca Ang_1.353d	pUrvam tad-janakasya ca Ang_1.353d
   pūrvaṃ teṣāṃ prakartavyaṃ Ang_1.1078c	pUrvam tezAm prakartavyam Ank-_1.1078c
   pūrvaṃ naimittikaṃ kāryaṃ Ang_1.1032c	pUrvam nEmittikam kAryam Ank-_1.1032c
   pūrvaṃ pañcadaśeti vai Ang_1.657d	pUrvam paQcadaSa-iti vE Ang_1.657d
   pūrvaṃ paścāttu vā tathā Ang_1.1074b	pUrvam paScAt-tu vA taTA Ank-_1.1074b
   pūrvaṃ yāmatrayaṃ naraiḥ Ang_1.282d	pUrvam yAma-trayam narEH Ank-_1.282d
   pūrvaṃ sūryodayasya vai Ang_1.719b	pUrvam sUrya-udayasya vE Ank-_1.719b
   pūrvāhṇa eva kurvīta Ang_1.687a	pUrvAhNe eva kurvIta Ang_1.687a
   pūrvoktenaiva mantreṇa Ang_1.790c	pUrva-uktena-eva mantreNa Ank-_1.790c
   pṛthaktvena kṛte yadi Ang_1.663d	pRTaktvena kRte yadi Ank-_1.663d
   pṛthaktvena mahābhāgais Ang_1.151c	pRTaktvena mahABAgEH Ank-_1.151c
   pṛthaktvena samaṣṭitaḥ Ang_1.530b	pRTaktvena samazwitaH Ank-_1.530b
   pṛthak pākāttasyaṃ bhuktir Ang_1.74a	pRTak pAkAt-tasyam BuktiH Ank-_1.74a
   pṛthakpātre nidhāya ca Ang_1.242d	pRTak-pAtre niDAya ca Ang_1.242d
   pṛthakpātre niyujya ca Ang_1.240d	pRTak-pAtre niyujya ca Ang_1.240d
   pṛthagagnau sthāpite 'tha Ang_1.79a	pRTak-agnO sTApite aTa Ank-_1.79a
   pṛthagekādaśe 'hani Ang_1.980d	pRTak-ekAdaSe ahani Ank-_1.980d
   pṛthagekādaśe 'hani Ang_1.993d	pRTak-ekAdaSe ahani Ank-_1.993d
   pṛthivī teti kiṃcana Ang_1.828d	pRTivI tA-iti kiMcana Ank-_1.828d
   pṛthivī teti tatsarvam Ang_1.824c	pRTivI tA-iti tat-sarvam Ank-_1.824c
   pṛthukānāṃ tu kevalam Ang_1.284b	pRTukAnAm tu kevalam Ank-_1.284b
   pṛṣṭvā gatvā vicārya ca Ang_1.213d	pRzwvA gatvA vicArya ca Ang_1.213d
   pṛṣṭvā tatsaṃśayastyājya Ang_1.349c	pRzwvA tad-saMSayaH-tyAjya Ank-_1.349c
   peyaṃ caiva payo dadhi Ang_2,8.16b	peyam ca-eva payaH daDi Ank-_2,8.16b
   paitṛkaṃ karma vidyate Ang_1.491b	pEtRkam karma vidyate Ank-_1.491b
   paitṛkaṃ tatsutaścaret Ang_1.723b	pEtRkam tad-sutaH-caret Ank-_1.723b
   paitṛkaṃ nikhilaṃ bhavet Ang_1.1109d	pEtRkam niKilam Bavet Ang_1.1109d
   paitṛkaṃ maraṇaṃ yatra Ang_1.985a	pEtRkam maraNam yatra Ank-_1.985a
   paitṛkoddeśato 'pi vā Ang_1.232d	pEtRka-uddeSataH api vE Ank-_1.232d
   pautre naptari santatau Ang_1.451d	pOtre naptari santatO Ank-_1.451d
   paunaḥpunyagate sakṛt Ang_1.286b	pOnaHpunya-gate sakRt Ank-_1.286b
   paunaḥpunyena kevalam Ang_1.571b	pOnaHpunyena kevalam Ank-_1.571b
   paurṇamāsaśca dārśikaḥ Ang_1.30b	pOrNamAsaH-ca dArSikaH Ank-_1.30b
   paurṇamāsaṃ ca darśaṃ ca Ang_1.30c	pOrNamAsam ca darSam ca Ank-_1.30c
   paurvāparyaviśeṣavit Ang_1.358b	pOrvAparya-viSeza-vid Ank-_1.358b
   'pyasya mātāmahāḥ smṛtāḥ Ang_1.393b	api-asya mAtAmahAH smRtAH Ank-_1.393b
   'pyuttarottaradurbalāḥ Ang_1.457b	api-uttarottara-durbalAH Ank-_1.457b
   prakartavyaṃ prayatnena Ang_1.174c	prakartavyam prayatnena Ank-_1.174c
   prakartavyaṃ vidhānataḥ Ang_1.734b	prakartavyam viDAnataH Ank-_1.734b
   prakartavyā viśeṣeṇa Ang_1.1082c	prakartavyA viSezeNa Ank-_1.1082c
   prakārāntarataḥ kila Ang_1.983d	prakAra-antarataH kila Ang_1.983d
   prakurvan svajanaistiṣṭhed Ang_1.1012c	prakurvan sva-janEH-tizWet Ank-_1.1012c
   prakṛtitvaṃ tadīritam Ang_1.627d	prakRti-tvam tat-Iritam Ank-_1.627d
   prakṛtiśceti vai jaguḥ Ang_1.618b	prakRtiH-ca-iti vE jaguH Ank-_1.618b
   prakṛtiśrāddhamātraśca Ang_1.627a	prakRti-SrAdDa-mAtraH-ca Ank-_1.627a
   prakṛte paitṛke kila Ang_1.806b	prakRte pEtRke kila Ank-_1.806b
   pragṛhyāñjalinā bhaktyā Ang_1.870a	pragRhya-aQjalinA BaktyA Ank-_1.870a
   pracetā atra covāca Ang_1.986a	pracetAH atra ca-uvAca Ank-_1.986a
   prajapeyuḥ kecanātra Ang_1.800a	prajapeyuH kecana-atra Ank-_1.800a
   prajāpatibhyo hyabhimānasūnuḥ Ang_1.426a	prajApatiByaH hi-aBimAna-sUnuH Ank-_1.426a
   prajñānairapi vidvadbhiḥ Ang_2,1.9c	prajQAnEH-api vidvadBiH Ank-_2,1.9c
   praṇavātta samārambho Ang_2,12.7c	praNavAt-ta samAramBaH Ank-_2,12.7c
   praṇipatya vidhānataḥ Ang_1.897b	praNipatya viDAnataH Ank-_1.897b
   pratadviṣṇumantramirā- Ang_1.839a	pratad-vizNu-mantramirA Ank-_1.839a
   pratikalpaikapaṭhitaṃ Ang_1.810a	pratikalpa-eka-paWitam Ank-_1.810a
   pratigṛhṇāti śūdrataḥ Ang_2,8.1b	pratigRhNAti SUdrataH Ank-_2,8.1b
   pratigṛhṇīta vai dvijaḥ Ang_2,8.11d	pratigRhNIta vE dvijaH Ank-_2,8.11d
   pratigṛhya tatastataḥ Ang_1.334d	pratigRhya tatas-tatas Ank-_1.334d
   pratigṛhya pradātavyaṃ Ang_2,8.6c	pratigRhya pradAtavyam Ank-_2,8.6c
   pratigrāhyāṇi nityaśaḥ Ang_2,8.18d	pratigrAhyANi nityaSas Ank-_2,8.18d
   pratinityaṃ ca bāḍavāḥ Ang_1.697d	pratinityam ca bAxavAH Ank-_1.697d
   pratinityaṃ pañcagavyaṃ Ang_1.200a	pratinityam paQcagavyam Ank-_1.200a
   pratinityaṃ pṛthak pṛthak Ang_1.698b	pratinityam pRTak pRTak Ank-_1.698b
   pratipūrṣaṃ pṛthak pṛthak Ang_1.698d	pratipUrzam pRTak pRTak Ank-_1.698d
   pratimāsajabhedena Ang_1.505a	pratimAsa-ja-Bedena Ank-_1.505a
   pratimāsadinaṃ hṛṣṭam Ang_2,9.8a	pratimAsa-dinam hRzwam Ank-_2,9.8a
   pratimāsaṃ tadā darśaṃ Ang_1.883a	pratimAsam tadA darSam Ank-_1.883a
   pratimāsaṃ pṛthak pṛthak Ang_1.880d	pratimAsam pRTak pRTak Ank-_1.880d
   pratimāsaṃ prakartavya- Ang_1.612c	pratimAsam prakartavya Ank-_1.612c
   prativargaṃ na cedviprā Ang_1.699a	prativargam na ced-viprAH Ank-_1.699a
   prativarṣaṃ ca cāndrataḥ Ang_1.635b	prativarzam ca cAndrataH Ank-_1.635b
   prativarṣaṃ prayatnena Ang_1.137a	prativarzam prayatnena Ank-_1.137a
   prativarṣaṃ prayatnena Ang_1.614a	prativarzam prayatnena Ank-_1.614a
   pratisaṃvatsaraṃ dvijaḥ Ang_1.732d	pratisaMvatsaram dvijaH Ank-_1.732d
   pratisaṃvatsaraṃ paścāt Ang_1.1067a	pratisaMvatsaram paScAt Ank-_1.1067a
   pratisaṃvatsaraṃ vāpi Ang_2,9.8c	pratisaMvatsaram vA-api Ank-_2,9.8c
   pratisaṃvatsaraṃ siddhi- Ang_1.113a	pratisaMvatsaram sidDi Ank-_1.113a
   pratīhārī valīmukhaḥ Ang_1.516b	pratIhArI valImuKaH Ank-_1.516b
   pratyakṣeṇainamīkṣya te Ang_1.565b	pratyakzeNa-enam-Ikzya te Ank-_1.565b
   pratyabdadharmā nikhilāḥ Ang_1.717c	pratyabda-DarmAH niKilAH Ank-_1.717c
   pratyabdamapi pitrostan Ang_1.34c	pratyabdam-api pitroH-tat Ank-_1.34c
   pratyabdamāgataṃ pratyā- Ang_1.1033a	pratyabdam-Agatam pratyA Ank-_1.1033a
   pratyabdamāsastanmāsa- Ang_1.34a	pratyabda-mAsaH-tad-mAsa Ank-_1.34a
   pratyabdasya pare 'hnyeva Ang_1.973c	pratyabdasya pare ahni-eva Ank-_1.973c
   pratyabdaṃ śrāddhamātraṃ syāt Ang_1.726c	pratyabdam SrAdDa-mAtram syAt Ank-_1.726c
   pratyabdādikakarma vai Ang_1.1078d	pratyabdAdika-karma vE Ang_1.1078d
   pratyabde tu viśeṣataḥ Ang_1.1028b	pratyabde tu viSezataH Ank-_1.1028b
   pratyabde yadi tattadā Ang_1.1032d	pratyabde yadi tat-tadA Ank-_1.1032d
   pratyavāyaikarahitaṃ Ang_1.904c	pratyavAya-eka-rahitam Ank-_1.904c
   pratyavāyaikaśūnyāya Ang_1.1069c	pratyavAya-eka-SUnyAya Ank-_1.1069c
   pratyāvṛttau tu yo dvijaḥ Ang_2,10.17b	pratyAvRttO tu yaH dvijaH Ank-_2,10.17b
   pratyāsattiprabhedataḥ Ang_1.1043b	pratyAsatti-praBedataH Ank-_1.1043b
   prathamasya kṛtā kriyā Ang_1.438d	praTamasya kRtA kriyAH Ang_1.438d
   prathamā dharmapatnī ca Ang_1.458a	praTamA Darma-patnI ca Ank-_1.458a
   prathamābde na kartavyaṃ Ang_1.878c	praTama-abde na kartavyam Ank-_1.878c
   prathamodvāhakasyaiva Ang_1.217c	praTama-udvAhakasya-eva Ank-_1.217c
   prathito prāṇataraṇo Ang_1.525c	praTitaH prANa-taraNaH Ank-_1.525c
   prathito bhava sarveṣāṃ Ang_1.598a	praTitaH Bava sarvezAm Ank-_1.598a
   pradakṣiṇanamaskāraiḥ Ang_1.862c	pradakziNa-namaskArEH Ank-_1.862c
   pradadetpurataḥ sthitaḥ Ang_1.840b	pradadet-puratas sTitaH Ank-_1.840b
   pradadyātpārvaṇe sarvaṃ Ang_1.784c	pradadyAt-pArvaNe sarvam Ank-_1.784c
   pradadyādarbhakebhyo vai Ang_1.248a	pradadyAt-arBakeByaH vE Ank-_1.248a
   pradadyādviṣṭaraṃ tathā Ang_1.787d	pradadyAt-vizwaram taTA Ank-_1.787d
   pradūrīkṛtya tajjñātīn Ang_1.310a	pradUrIkRtya tad-jQAtIn Ank-_1.310a
   pradeyamudakaṃ param Ang_1.1081b	pradeyam-udakam param Ank-_1.1081b
   pradeyaṃ syātprayatnena Ang_1.742c	pradeyam syAt-prayatnena Ank-_1.742c
   pradveṣāgaḥpradūṣitam Ang_1.147b	pradveza-AgaH-pradUzitam Ank-_1.147b
   pradhānakamihocyate Ang_1.826d	praDAnakam-iha-ucyate Ank-_1.826d
   pradhānametaddhomaśca Ang_1.825c	praDAnam-etat-homaH-ca Ank-_1.825c
   pradhānāṅge ca tatsmṛtam Ang_1.667b	praDAna-aFge ca tat-smRtam Ank-_1.667b
   pranaṣṭapitṛkaścettu Ang_1.719c	pranazwa-pitRkaH-ced-tu Ank-_1.719c
   pranaṣṭaḥ prabhaveddoṣas Ang_1.945c	pranazwaH praBavet-dozaH Ank-_1.945c
   prapaṭhedatra vidhinā Ang_1.816c	prapaWet-atra viDinA Ang_1.816c
   prapālayedviśeṣeṇa Ang_1.225c	prapAlayet-viSezeNa Ank-_1.225c
   prapitāmahapūrvaṃ syāt Ang_1.670a	prapitAmaha-pUrvam syAt Ank-_1.670a
   prapitāmahamukhyakaiḥ Ang_1.1001d	prapitAmaha-muKyakEH Ank-_1.1001d
   prapitāmahameva vai Ang_1.1005d	prapitAmaham-eva vE Ang_1.1005d
   prapitāmahamevaṃ ca Ang_1.1105a	prapitAmaham-evam ca Ank-_1.1105a
   prapitāmahāśca kathitā Ang_1.674c	prapitAmahAH-ca kaTitAH Ank-_1.674c
   prapitāmahāśca pitaras Ang_1.892c	prapitAmahAH-ca pitaraH Ang_1.892c
   prapitāmahebhyaśca tadvat Ang_1.890c	prapitAmaheByaH-ca tadvat Ank-_1.890c
   prapūjyāḥ paramāḥ param Ang_1.229d	prapUjyAH paramAH param Ank-_1.229d
   prabrūyātpakṣato yacca Ang_2,6.12a	prabrUyAt-pakzataH yat-ca Ank-_2,6.12a
   prabhavatyeva sumahan Ang_1.693c	praBavati-eva su-mahan Ang_1.693c
   prabhavecchrāddhavārakam Ang_1.26d	praBavet-SrAdDa-vArakam Ank-_1.26d
   prabhavetkila kevalam Ang_1.355b	praBavet-kila kevalam Ank-_1.355b
   prabhavetpatitaḥ sadyaḥ Ang_1.179a	praBavet-patitaH sadyas Ank-_1.179a
   prabhavetsadya evaivaṃ Ang_1.902c	praBavet-sadyas eva-evam Ank-_1.902c
   prabhavediti vai manuḥ Ang_1.420b	praBavet-iti vE manuH Ank-_1.420b
   prabhavedeva durghaṭaḥ Ang_1.1004b	praBavet-eva durGawaH Ank-_1.1004b
   prabhaveddhi viśeṣeṇa Ang_1.22a	praBavet-hi viSezeNa Ank-_1.22a
   prabhavenna tathācaret Ang_1.231b	praBavet-na taTA-Acaret Ank-_1.231b
   prabhavennātra saṃśayaḥ Ang_1.57d	praBavet-na-atra saMSayaH Ank-_1.57d
   prabhūtaidhodakagrāmaḥ Ang_1.1112a	praBUta-eDa-udaka-grAmaH Ank-_1.1112a
   prabhṛtyetā rajasvalāḥ Ang_1.930d	praBRti-etAH rajasvalAH Ank-_1.930d
   pramāṇaṃ vidhimāditaḥ Ang_2,1.2b	pramANam viDim-Aditas Ank-_2,1.2b
   pramāṇābhihitaṃ yattu Ang_2,1.4a	pramANa-aBihitam yat-tu Ank-_2,1.4a
   pramāṇārthaṃ hi dātṛbhiḥ Ang_2,7.3b	pramANa-arTam hi dAtRBiH Ank-_2,7.3b
   pramāṇenaiva kartavyaṃ Ang_2,2.3c	pramANena-eva kartavyam Ank-_2,2.3c
   pramādākaraṇe kṛtsne Ang_1.14a	pramAda-akaraNe kRtsne Ank-_1.14a
   pramādena hyupanayet Ang_1.382a	pramAdena hi-upanayet Ank-_1.382a
   prayacchenmadhyamaṃ piṇḍaṃ Ang_1.869a	prayacCet-maDyamam piNxam Ank-_1.869a
   prayatnenātibhaktitaḥ Ang_1.238b	prayatnena-ati-BaktitaH Ank-_1.238b
   prayamaśrāddhamevocuḥ Ang_1.1107a	prayama-SrAdDam-eva-UcuH Ank-_1.1107a
   prayāsādhikyataḥ phalam Ang_1.693b	prayAsa-ADikyataH Palam Ank-_1.693b
   prayoktavyaścaturṣvapi Ang_1.671d	prayoktavyaH-caturzu-api Ank-_1.671d
   prayoktavyaḥ śrāddhadine Ang_1.789c	prayoktavyaH SrAdDa-dine Ank-_1.789c
   pralapaṃstadduruktāni Ang_1.365c	pralapan=-tad-duruktAni Ank-_1.365c
   pravakṣyāmyatra taṃ punaḥ Ang_1.1045b	pravakzyAmi-atra tam punar Ank-_1.1045b
   pravadāmi vinirṇayam Ang_1.288d	pravadAmi vinirNayam Ang_1.288d
   pravadāmi samudbhūtas Ang_1.417c	pravadAmi samudBUtaH Ank-_1.417c
   pravadettena manunā Ang_1.899a	pravadet-tena manunA Ank-_1.899a
   pravaraḥ kathitaḥ sadbhis Ang_1.404a	pravaraH kaTitaH sadBiH Ank-_1.404a
   pravartante yatastasmāt Ang_1.497c	pravartante yatas-tasmAt Ank-_1.497c
   pravahatsalilottamā Ang_1.941b	pravahat-salila-uttamA Ank-_1.941b
   pravācyā śrāddhakarmaṇi Ang_1.830b	pravAcyA SrAdDa-karmaNi Ank-_1.830b
   pravāhanādikarmāṇi Ang_1.81a	pravAhana-Adi-karmANi Ank-_1.81a
   praviṣṭaparakāyena Ang_1.224a	pravizwa-para-kAyena Ank-_1.224a
   praviṣṭaparakāyo yaḥ Ang_1.69c	pravizwa-para-kAyaH yaH Ank-_1.69c
   praviṣṭaparavarṣmāṇaṃ Ang_1.225a	pravizwa-para-varzmANam Ank-_1.225a
   pravṛttānāṃ tu vakṣyāmi Ang_2,5.10c	pravRttAnAm tu vakzyAmi Ank-_2,5.10c
   praśasya svasti cetyuktvā Ang_2,8.3c	praSasya svasti ca-iti-uktvA Ank-_2,8.3c
   prasaṃgāttatsvarūpasya Ang_1.937c	prasaMgAt-tad-svarUpasya Ank-_1.937c
   prasaṃgādidamīritam Ang_1.679b	prasaMgAt-idam-Iritam Ank-_1.679b
   praharettu nipātayet Ang_2,10.1b	praharet-tu nipAtayet Ank-_2,10.1b
   prahasan vākyamabravīt Ang_1.572b	prahasan vAkyam-abravIt Ank-_1.572b
   prāk paścādapi ṣoḍaśa Ang_1.647d	prAk paScAt-api zoxaSa Ang_1.647d
   prāgviprāṇāṃ visarjanāt Ang_1.1023d	prAc-viprANAm visarjanAt Ank-_1.1023d
   prāṅmukhī maunamāśritā Ang_1.870b	prAc-muKI mOnam-ASritA Ank-_1.870b
   prācīnāvītikaṃ na tu Ang_1.1075b	prAcInAvItikam na tu Ank-_1.1075b
   prācīnāvītinaiva vai Ang_1.811b	prAcInAvItinA-eva vE Ank-_1.811b
   prājāpatyatrayaṃ caret Ang_1.68b	prAjApatya-trayam caret Ank-_1.68b
   prājāpatyaprapūrvakam Ang_1.57b	prAjApatya-prapUrvakam Ank-_1.57b
   prājāpatyena śudhyati Ang_1.58b	prAjApatyena SuDyati Ank-_1.58b
   prāṇatyāgākhyakarmaṇaḥ Ang_1.188d	prANatyAga-AKya-karmaNaH Ank-_1.188d
   prāṇavṛttiṃ caratyalam Ang_1.329b	prANa-vRttim carati-alam Ank-_1.329b
   prāṇādipañcabhirmantrair Ang_1.971c	prANa-Adi-paQcaBiH-mantrEH Ank-_1.971c
   prāṇānāyamya mantrataḥ Ang_1.268b	prANAn-Ayamya mantrataH Ank-_1.268b
   prāṇāyetyādikā parāḥ Ang_1.829d	prANAya-iti-AdikA parAH Ank-_1.829d
