   Śayanāsanavastu	Śayana-Asana-vastu
   'śītyanuvyañjanair virājitagātro vyāmaprabhālaṃkṛtamūrtiḥ	aSIti-anuvyaQjanEH virAjita-gAtraH vyAma-praBA-alaMkRta-mUrtiH
   sūryasahasarātirekaprabho jaṅgama iva ratnaparvata samantatobhadrako	sUrya-sahasarAtireka-praBaH jaFgamaH iva ratnaparvata samantatoBadrakaH-
   (Śay-v 26) daśabhir balaiś caturbhir vaiśāradyais tribhir āveṇikaiḥ	(Śay-u 26) daSaBiH balEH caturBiH vESAradyEH triBiH AveNikEH
   smṛtyupasthānair mahākaruṇayā ca samanvāgato bhikṣusaṃghena	smRti-upasTAnEH mahA-karuNayA ca samanvAgataH Bikzu-saMGena
   anāthapiṇḍadena ca gṛhapatinā ca saparivāreṇa śrāvastīnivāsinā ca	anATapiNxadena ca gRhapatinA ca sa-parivAreNa SrAvastI-nivAsinA ca
   janakāyena anekaiś ca devatāśatasahasrair anugamyamānaḥ śrāvastīṃ nagarīṃ	jana-kAyena anekEH ca devatA-Sata-sahasrEH anugamyamAnaH SrAvastIm nagarIm
   anuprāptaḥ; yadā ḥcaḥ bhagavatā śrāvastīṃ nagarīṃ praviṣatā sābhisaṃskāraṃ	anuprAptaH; yadA HcaH BagavatA SrAvastIm nagarIm pravizatA sa-aBisaMskAram
   nagarendrakīle dakṣiṇapādo nyastaḥ tadā ṣaḍvikāraṃ pṛthivīkampo jātaḥ;	nagara-indra-kIle dakziNa-pAdaH nyastaH tadA zaz-vikAram pRTivI-kampaH jAtaH;
   iyaṃ mahāpṛthivī calati saṃcalati saṃpracalati; vyathate pravyathate	iyam mahA-pRTivI calati saMcalati saMpracalati; vyaTate pravyaTate
   saṃpravyathate; pūrvo digbhāga unnamati pāścimo 'vanamati; paścima	saMpravyaTate; pUrvaH diS-BAgaH unnamati pAScimaH avanamati; paScima
   unnamati pūrvo 'vanamati; dakṣiṇa unnamati uttaro 'vanamati; uttara	unnamati pUrvaH avanamati; dakziNaH unnamati uttaraH avanamati; uttara
   unnamati dakṣiṇo 'vanamati; anta unnamati; madhyo 'vanamati; madhya	unnamati dakziNaH avanamati; ante unnamati; maDyaH avanamati; maDye-
   unnamati anto 'vanamati; sarvaś cāyaṃ loka udāreṇāvabhāsena sphuṭaḥ	unnamati antaH avanamati; sarvaH ca-ayam loke udAreNa-avaBAsena sPuwaH
   saṃvṛttaḥ sārdhaṃ lokāntarikābhir antarīkṣe ca devadundubhayas tāḍitā	saMvRttaH sArDam loka-antarikABiH antarIkze ca deva-dunduBayaH tAxitA
   gaganatalasthā devatā bhagavata upariṣṭād divyāny utpalāni kṣeptum	gagana-tala-sTAH devatAH BagavataH uparizwAt divyAni utpalAni kzeptum
   ārabdhāḥ padmāni kumudāni puṇḍarikāny agarucūrṇāni kuṅkumacūrṇāni	ArabDAH padmAni kumudAni puNxarikAni agaru-cUrNAni kuFkuma-cUrNAni
   tamālapatrāṇi divyāni māndarakāṇi puṣpāṇi kṣipanti cailavikṣepāṃś cākārṣuḥ	tamAla-patrANi divyAni mAndarakANi puzpANi kzipanti ca-ela-vikzepAn ca-akArzuH
   Effects felt following Buddha's arrival	Effects felt fa-ullowing BudDa-as arri-val
        bhagavataḥ purapraveśe imāny evaṃvidhāny āścaryāṇy abhuvan aparāṇi	BagavataH pura-praveSe imAni evaMviDAni AScaryANi aBuvan aparANi
   ca; saṃkṣiptāni viśālībhavanti nīcāny uccāni bhavanti uccāni ca samāni	ca; saMkziptAni viSAlIBavanti nIcAni uccAni Bavanti uccAni ca samAni
   bhavanti hastinaḥ krośanti aśvā hreṣante ṛṣabhā nardante gṛhagatāni	Bavanti hastinaH kroSanti aSvAH hrezante RzaBAH nardante gRha-gatAni
   vividhāni vāditrabāṇḍāni svayaṃ nadanti; andhāś cakṣūṃṣi pratilabhante	viviDAni vAditra-bANxAni svayam nadanti; anDAH cakzUMzi pratilaBante
   badhirāḥ śrotraṃ mūkāḥ pravyāharaṇasamarthā bhavanti;	baDirAH Srotram mUkAH pravyAharaNa-samarTAH Bavanti;
   pariśiṣṭendriyavikalā indriyāṇi pratilabhante; madyamadākṣiptā	pariSizwa-indriya-vikalAH indriyANi pratilaBante; madya-mada-AkziptA
   vimadībhavanti; viṣapāyitā nirviṣībhavanti; anyonyavairiṇo maitrīṃ	vimadIBavanti; viza-pAyitAH nirvizIBavanti; anyonya-vEriNaH mEtrIm
   pratilabhante; gurviṇyaḥ svastinā prasūyante; bandhanabaddhā mucyante;	pratilaBante; gurviNyaH svastinA prasUyante; banDana-badDAH mucyante;
   adhanā dhanāni pratilabhante: imāni cānyani ḥcaḥ bhagavataḥ purapraveśe	aDanAH DanAni pratilaBante: imAni ca-anyani HcaH BagavataH pura-praveSe
   adbhutaśatasahasrāṇi prādurbhavanti	adButa-Sata-sahasrANi prAdurBavanti
   The Jetavana	The Jetavana
        tato bhagavān evaṃvidhena mahatā satkāreṇa śrāvastīṃ praviṣṭaḥ;	tatas BagavAn evaMviDena mahatA satkAreNa SrAvastIm pravizwaH;
   praviśya purastād bhikṣusaṃghasya (A 323b) prajñapta evāsane niṣannaḥ;	praviSya purastAt Bikzu-saMGasya (A 323b) prajQapte eva-Asane nizannaH;
   athānāthapiṇḍado gṛhapatiḥ suhṛtsambandhibāndhavajanaparivṛtaḥ sauvarṇaṃ	aTa-anATapiNxadaH gRhapatiH suhRd-sambanDi-bAnDava-jana-parivRtaH sOvarNam
   (Śay-v 27) bhṛṃgāram ādāya vāridhārāṃ pātayitum ārabdhaḥ; sā na prapatati;	(Śay-u 27) BRMgAram AdAya vAri-DArAm pAtayitum ArabDaH; sA na prapatati;
   athānāthapiṇḍado gāhapatir durmanāḥ saṃlakṣayati; mā mayā kānicit	aTa-anATapiNxadaH gAhapatiH durmanAH saMlakzayati; mA mayA kAnicid-
   sāpakṣālāni karmāṇi kṛtāni syuḥ iti; bhagavān āha: na tvayā gṛhapate	sa-apakzAlAni karmANi kRtAni syuH iti; BagavAn Aha: na tvayA gRhapate
   kānicit sāpakṣālāni karmāṇi kṛtāny api tv etasmin pradeśe sthitena tvayā	kAnicid sa-apakzAlAni karmANi kRtAni api tu etasmin pradeSe sTitena tvayA
   pūrvakānāṃ samyaksaṃbuddhānām ayaṃ pradeśo niryātitaḥ; anyasmin pradeśe	pUrvakAnAm samyaksaMbudDAnAm ayam pradeSaH niryAtitaH; anyasmin pradeSe
   sthitvā pātaya; tena ḥanyasmin pradeśe sthitvāḥ pātitā; bhagavān	sTitvA pAtaya; tena Hanyasmin pradeSe sTitvAH pAtitA; BagavAn
   pañcāṅgopetena svareṇa svayam eva jetavanam udghoṣayati; udghoṣyamāṇe	paQcAFga-upetena svareNa svayam eva jetavanam udGozayati; udGozyamANe
   jetavane jetaḥ kumāraḥ saṃlakṣayati; aho bata bhagavān mamāpi	jetavane jetaH kumAraH saMlakzayati; aho bata BagavAn mama-api
   tatprathamataraṃ nāmodgrahaṇaṃ kuryād iti; bhagavatā jetasya kumārasya	tat-praTamataram nAma-udgrahaNam kuryAt iti; BagavatA jetasya kumArasya
   cetasā cittam ājñāya tatprathamata udgrahaṇaṃ kṛtam; idaṃ bhikṣavo	cetasA cittam AjQAya tat-praTamatas udgrahaNam kRtam; idam BikzavaH-
   jetavanam anāthapiṇḍadasyārāmaḥ iti; śrutvā jetaḥ kumāro 'tivābhiprasannaḥ	jetavanam anATapiNxadasya-ArAmaH iti; SrutvA jetaH kumAraH ativA-aBiprasannaH
   mama bhagavatā tatprathamato nāmodgrahaṇaṃ kṛtam iti; tena	mama BagavatA tat-praTamatas nAma-udgrahaNam kRtam iti; tena
   prītiprāmodyajātena sarveṇaiva tena dravyajātena bhagavato 'rthāya	prIti-prAmodya-jAtena sarveNa-eva tena dravya-jAtena BagavataH arTAya
   catūratnamayaṃ dvārakoṣṭhakaṃ kāritam; tathā saṃgītakārair api sthaviraiḥ	catU-ratna-mayam dvAra-kozWakam kAritam; taTA saMgItakArEH api sTavirEH
   sūtra upanibaddham bhagavān śrāvastyāṃ viharati jetavane	sUtre upanibadDam BagavAn SrAvastyAm viharati jetavane
   'nāthapiṇḍadasyārāme iti	anATapiNxadasya-ArAme iti
   Previous births of Anāthapiṇḍada at the time of the seven Buddhas	PreviouH birTH of AnATapiNxada at Te time of Te sevet BudDas
        bhikṣavaḥ saṃśayajātaḥ sarvasaṃśayacchettāraṃ buddhaṃ bhagavantaṃ	BikzavaH saMSaya-jAtaH sarva-saMSaya=-CettAram budDam Bagavantam
   papracchuḥ: kutra bhadantānāthapiṇḍadena gṛhapatināyaṃ pṛthivīpradeśaḥ	papracCuH: kutra Badanta-anATapiNxadena gRhapatinA-ayam pRTivI-pradeSaH
   pūrvakāṇāṃ samyaksaṃbuddhānāṃ niryātitapūrvaḥ? iti; bhagavān āha;	pUrvakANAm samyaksaMbudDAnAm niryAtita-pUrvaH? iti; BagavAn Aha;
   bhūtapūrvaṃ bhikṣava ekanavate kalpe vipāśyī nāma samyaksaṃbuddho loka	BUta-pUrvam BikzavaH ekanavate kalpe vipASyI nAma samyaksaMbudDaH loka
   udapādi vidyācaraṇasaṃpannaḥ sugato lokavid anuttaraḥ puruṣadamyasārathiḥ	udapAdi vidyA-caraNa-saMpannaH sugataH loka-vid anuttaraH puruza-damya-sAraTiH
   śāstā devamanuṣyāṇāṃ buddho bhagavān; ḥsaḥ dvāṣaṣṭibhikṣuasahasraparivṛtaḥ	SAstA deva-manuzyANAm budDaH BagavAn; HsaH dvAzazwi-Bikzua-sahasra-parivRtaH
   imaṃ pradeśam anuprāptaḥ; tena khalu samayenāsyāṃ śrāvastyāṃ tiṣyo nāma	imam pradeSam anuprAptaH; tena Kalu samayena-asyAm SrAvastyAm tizyaH nAma
   gṛhapatir abhūt; tenāyaṃ pradeśaḥ ṣaṭkrośahiraṇyasuvarṇenāstīrya	gRhapatiH aBUt; tena-ayam pradeSaH zaz-kroSa-hiraNya-suvarNena-AstIrya
   rājakumārasyāntikāt krītvā vipaśyinaḥ samyaksaṃbuddhasya niryātitaḥ;	rAja-kumArasya-antikAt krItvA vipaSyinaH samyaksaMbudDasya niryAtitaH;
   tasyaivāntike pravrajya sarvakleśaprahāṇād arhatvaṃ sāksātkṛtam; tiṣyasya	tasya-eva-antike pravrajya sarva-kleSa-prahANAt arhatvam sAksAtkRtam; tizyasya
   gṛhapater bhāgineyaḥ tatsaṃparkād vipaśyini tathāgate 'tyartham	gRhapateH BAgineyaH tad-saMparkAt vipaSyini taTAgate atyarTam
   abhiprasannaḥ; tena vipaśyinaḥ samyaksaṃbuddhasya (Śay-v 28)	aBiprasannaH; tena vipaSyinaH samyaksaMbudDasya (Śay-u 28)
   keśanakhastūpaḥ kāritah; sa saṃlakṣayati: ko 'sāv upāyaḥ syād yenāham etaṃ	keSa-naKastu-upaH kArita-h; sa saMlakzayati: kaH asO upAyaH syAt yena-aham etam
   rātrau divā cānāvṛtaṃ pāśyeyam iti tasyāntevasinā	rAtrO divA ca-anAvRtam pASyeyam iti tasya-antevasinA
   samudratīrasthenāvabhāsātmakaṃ maṇiratnaṃ prāvṛtam anupreṣitam; tenāsau	samudra-tIra-sTena-avaBAsa-Atmakam maNi-ratnam prAvRtam anuprezitam; tena-asO
   tasmin caitye samāropitaṃ; tadanubhāvād asau taṃ keśanakhastūpaṃ divā	tasmin cEtye samAropitaM; tad-anuBAvAt asO tam keSa-naKa-stUpam divA
   rātrau cānāvṛtaṃ paśyati; tataḥ prasādajātena praṇidhānaṃ kṛtaṃ: yathāyaṃ	rAtrO ca-anAvRtam paSyati; tatas prasAda-jAtena praNiDAnam kRtaM: yaTA-ayam
   pṛthivīpradeśo mama mātulena kumārasyāntikāt krītvā hiraṇyasuvarṇenāstīrya	pRTivI-pradeSaH mama mAtulena kumArasya-antikAt krItvA hiraNya-suvarNena-AstIrya
   vipaśyinaḥ samyaksaṃbuddhasya niryātitaḥ; evam aham imam pṛthivīpradeśaṃ	vipaSyinaH samyaksaMbudDasya niryAtitaH; evam aham imam pRTivI-pradeSam
   hiraṇyasuvarṇenāstīrya saptānāṃ samyaksaṃbuddhānāṃ niryātayeyam; yaś ca	hiraNya-suvarNena-AstIrya saptAnAm samyaksaMbudDAnAm niryAtayeyam; yaH ca
   teṣām apaścimaka tasyāham antike pravrajya sarvakleśaprahāṇād arhatvaṃ	tezAm apaScimaka tasya-aham antike pravrajya sarva-kleSa-prahANAt arhatvam
   sākṣātkuryām iti	sAkzAtkuryAm iti
        kiṃ manyadhve bhikṣavaḥ? yo 'sau tasya gṛhapater (A 324a) bhāgineya	kim manyaDve BikzavaH? yaH asO tasya gRhapateH (A 324a) BAgineya
   eṣa evāsāv anāthapiṇḍado gṛhaptis tena kālena tena samayena	ezaH eva-asO anATapiNxadaH gRhaptiH tena kAlena tena samayena
        tato 'rvāg ekatriṃśatime kalpe śikhī nāma sāstā loka utpannaḥ	tatas arvAk ekatriMSatime kalpe SiKI nAma sA-astAH loke utpannaH
   pūrvavad yāvad huddho bhagavān; ḥsaḥ ṣaṣṭibhikṣusahasraparivāra imaṃ	pUrvavat yAvat hudDaH BagavAn; HsaH zazwi-Bikzu-sahasra-parivAraH imam
   pradeśam anuprāptaḥ; tena kyalu punaḥ samayena puṣyo nāma gṛhaptir abhūt;	pradeSam anuprAptaH; tena kyalu punar samayena puzyaH nAma gRhaptiH aBUt-;
   tenāyaṃ pṛthivīpradeśo ardhatṛtīyān kośān maṇibhir āstīrya kumārasyāntikān	tena-ayam pRTivI-pradeSaH arDa-tRtIyAn koSAt maNiBiH AstIrya kumArasya-antikAn
   niṣkrīya śikhinaḥ samyaksaṃbuddhasya saśrāvakasaṃghasya niryātitaḥ; syāt	nizkrIya SiKinaH samyaksaMbudDasya sa-SrAvaka-saMGasya niryAtitaH; syAt-
   khalu yuṣmākaṃ bhikṣavo 'nyatamaḥ sa tena kālena tena samayena puṣyo nāma	Kalu yuzmAkam BikzavaH anyatamaH sa tena kAlena tena samayena puzyaH nAma
   grhapatir abhūd iti? na khalv evaṃ draṣṭavyam, api tv eṣa evāsāv	grhapatiH aBUt iti? na Kalu evam drazwavyam, api tu ezaH eva-asO=-
   anāthapiṇḍado gṛhaptis tena kālena tena samayena	anATapiNxadaH gRhaptiH tena kAlena tena samayena
        tato 'rvak tasminn evaikatriṃśatime kalpe viśvabhuṅ nāma śāstā loka	tatas arvak tasmin eva-ekatriMSatime kalpe viSvaBuj nAma SAstA loka
   utpannaḥ pūrvavad yāvad buddho bhagavān; sa ṣāṣṭibhikṣusahasraparivāraḥ	utpannaH pUrvavat yAvat budDaH BagavAn-; sa zAzwi-Bikzu-sahasra-parivAraH
   imaṃ pradeśam anuprāptaḥ; tena khalu samayena māghur nāma gṛhapatir abhūt;	imam pradeSam anuprAptaH; tena Kalu samayena mAGuH nAma gRhapatiH aBUt-;
   tenāyaṃ pradeśo dvau krośau muktikābhir āstīrya kumārasyāntikān niṣkrīya	tena-ayam pradeSaH dvO kroSO muktikABiH AstIrya kumArasya-antikAt nizkrIya
   viśvabhujaḥ samyaksaṃbuddhasya saśrāvakasaṃghasya niryātitaḥ; syāt khalu	viSvaBujaH samyaksaMbudDasya sa-SrAvaka-saMGasya niryAtitaH; syAt Kalu
   yuṣmākan bhikṣavo 'nyatamaḥ (Śay-v 29) sa tena kālena tena samayena māghur	yuzmAkan BikzavaH anyatamaH (Śay-u 29) sa tena kAlena tena samayena mAGuH-
   māghur nāma gṛhapatir abhūd iti? na khalv evaṃ draṣṭavyam api tv eṣa	mAGuH nAma gRhapatiH aBUt iti? na Kalu evam drazwavyam api tu eza
   evāsāv anāthapiṇḍado gṛhapatis tena kālena tena samayena	eva-asO anATapiNxadaH gRhapatiH tena kAlena tena samayena
        tato 'rvāg asmin bhadrake kalpe krakutsundo nāma śāstā loka utpannaḥ	tatas arvAk asmin Badrake kalpe krakutsundaH nAma SAstA loke utpannaH
   pūrvavad yāvad buddho bhagavān; sa catvāriṃśadbhikṣusahasraparivāra imam	pUrvavat yAvat budDaH BagavAn; sa catvAriMSat-Bikzu-sahasra-parivAraH imam
   pradeśam anuprāptaḥ; tena khalu samayena bhavadatto nāma gṛhapatir abhūt;	pradeSam anuprAptaH; tena Kalu samayena BavadattaH nAma gRhapatiH aBUt-;
   tenāpy ayaṃ prādeśo gobhiḥ pūrayitvā kumārasyāntikān niṣkrīya	tena-api ayam prAdeSaH goBiH pUrayitvA kumArasya-antikAt nizkrIya
   krakutsundasya samyaksaṃbuddhasya saśravakasaṃghasya niryātitaḥ; syāt	krakutsundasya samyaksaMbudDasya sa-Sravaka-saMGasya niryAtitaH; syAt-
   khalu yuṣmākaṃ bhikṣavo 'nyatamaḥ sa tena kālena tena samayena bhavadatto	Kalu yuzmAkam BikzavaH anyatamaH sa tena kAlena tena samayena BavadattaH-
   nāma gṛthapatir abhūd iti? na khalv evaṃ draṣṭavyam, api tv eṣa evāsāv	nAma gRTapatiH aBUt iti? na Kalu evam drazwavyam, api tu ezaH eva-asO=-
   anāthapiṇḍado gṛhapatis tena kālena tena samayena	anATapiNxadaH gRhapatiH tena kAlena tena samayena
        tato 'rvāg asminn eva bhadrake kalpe triṃṣadvarṣasahasrāyuṣi prajāyāṃ	tatas arvAk asmin eva Badrake kalpe triMzat-varza-sahasra-Ayuzi prajAyAm
   kanakamunir nāma śāstā loka udapādi pūrvavad yāvad buddho bhagavān; sa	kanakamuniH nAma SAstA loke udapAdi pUrvavat yAvat budDaH BagavAn; sa
   triṃśadbhikṣusahasraparivāraḥ imaṃ pradeśam anuprāptaḥ; tena khalu	triMSat-Bikzu-sahasra-parivAraH imam pradeSam anuprAptaH; tena Kalu
   samayena bṛhaspatir nāma gṛhapatir abhūt; tenāpy ayaṃ pradeśaḥ paṭṭair	samayena bRhaspatiH nAma gRhapatiH aBUt; tena-api ayam pradeSaH pawwEH-
   āstīrya kumārasyāntikān niṣkrīya niṣkrīya kanakamuneḥ samyaksaṃbuddhasya	AstIrya kumArasya-antikAt nizkrIya nizkrIya kanaka-muneH samyaksaMbudDasya
   saśrāvakasaṃghasya niryātitāḥ; syāt khalu ḥyuṣmākaṃḥ bhikṣavo 'nyatamaḥ sa	sa-SrAvaka-saMGasya niryAtitAH; syAt Kalu HyuzmAkaMH BikzavaH anyatamaH sa
   tena kālena tena samayena bṛhaspatir nāma gṛhapatir abhūd iti? na khalv	tena kAlena tena samayena bRhaspatiH nAma gRhapatiH aBUt iti? na Kalu-
   evaṃ draṣṭavyam; api tv esa evāsāv anāthapiṇḍado gṛhapatis tena kālena	evam drazwavyam; api tu esaH eva-asO anATapiNxadaH gRhapatiH tena kAlena
   tena samayena	tena samayena
        tato 'rvāg asminn eva bhadrake kalpe viṃśativarṣasahasrāyuṣi prajāyāṃ	tatas arvAk asmin eva Badrake kalpe viMSati-varza-sahasra-Ayuzi prajAyAm
   kāśyapo nāma samyaksaṃbuddho loka udapādi pūrvavad yāvad buddho bhagavān:	kASyapaH nAma samyaksaMbudDaH loke udapAdi pUrvavat yAvat budDaH BagavAn-:
   sa viṃśatisahasraparivāraḥ imaṃ pradeśam anuprāptaḥ; tena khalu samayena	sa viMSati-sahasra-parivAraH imam pradeSam anuprAptaH; tena Kalu samayena
   āṣāḍho nāma gṛhapatir abhūt; tenāpy ayaṃ pṛthivīpradeśo ardhakroṣaṃ	AzAXaH nAma gRhapatiH aBUt; tena-api ayam pRTivI-pradeSaH arDa-krozam
   sauvarṇair yāvair āstīrya (A 324b) kumārasyāntikān niṣkrīya kāśyapasya	sOvarNEH yAvEH AstIrya (A 324b) kumArasya-antikAt nizkrIya kASyapasya
   samyaksaṃbuddhasya saśrāvakasaṃghasya niryātitaḥ ; syāt khalu yuṣmākaṃ	samyaksaMbudDasya sa-SrAvaka-saMGasya niryAtitaH ; syAt Kalu yuzmAkam
   bhikṣavo anyatamaḥ sa tena kālena tena samayena āṣāḍho nāma gṛhapatir	BikzavaH anyatamaH sa tena kAlena tena samayena AzAXaH nAma gRhapatiH-
   ahbūd iti: na khalv evaṃ draṣṭavyam, api tv eṣa evāsāv anāthapiṇḍado	ahbUt iti: na Kalu evam drazwavyam, api tu ezaH eva-asO anATapiNxadaH-
   gṛhapatis tena kālena tena samayena (Śay-v 30)	gRhapatiH tena kAlena tena samayena (Śay-u 30)
        etarhy apy ahaṃ bhikṣavaḥ śāstā loka utpannas tathāgato 'rhan	etarhi api aham BikzavaH SAstA loke utpannaH taTAgataH arhan
   samyaksaṃbuddhaḥ vidyācaraṇasaṃpannaḥ sugato lokavid anuttaraḥ	samyaksaMbudDaH vidyA-caraNa-saMpannaH sugataH loka-vid anuttaraH
   puruṣadamyaśarathiḥ śāstā devamanuṣyāṇāṃ buddho bhagavān; aham apy	puruza-damya-SaraTiH SAstA deva-manuzyANAm budDaH BagavAn; aham api-
   ardhatrayodaśaśataprivāra imaṃ pradeśam anuprāptaḥ; etarhy apy	arDa-trayodaSa-Sata-privAraH imam pradeSam anuprAptaH; etarhi api-
   anāthapiṇḍadena gṛhapatinā ṣoḍaśalāṅgalāvaktākoṭai saṃstareṇa saṃstīrya	anATapiNxadena gRhapatinA zoxaSa-lAFgalA-vaktA-kowEH saMstareNa saMstIrya
   jetasya kumārasyāntikān niṣkrīya mama saśrāvakasaṃghasya niryātitaḥ	jetasya kumArasya-antikAt nizkrIya mama sa-SrAvaka-saMGasya niryAtitaH
        bhaviṣyati bhikṣavo 'nāgate 'py aśītivarṣasahasrāyuṣi prajāyāṃ	Bavizyati BikzavaH anAgate api aSIti-varza-sahasra-Ayuzi prajAyAm
   maitreyo nāma śāstā ṣaṇṇavatyarhatkoṭīsahasraparivāra imaṃ pradeśam	mEtreyaH nAma SAstA zaNNavati-arhat-kowI-sahasra-parivAraH imam pradeSam
   āgamiṣyati; tena khalu samayena sudhano nāma gṛhapatir udbhaviṣyati; so	Agamizyati; tena Kalu samayena suDanaH nAma gRhapatiH udBavizyati; saH-
   'pīmaṃ pradeśaṃ trīṇi yojanāni hiraṇyasuvarṇenāstīrya kumārasyāntikān	api-imam pradeSam trINi yojanAni hiraNya-suvarNena-AstIrya kumArasya-antikAn
   niṣkrīya maitreyasya saśrāvakasaṃghasya niryātayiṣyati; tasyaiva śāsane	nizkrIya mEtreyasya sa-SrAvaka-saMGasya niryAtayizyati; tasya-eva SAsane
   pravrajya sarvakleśaprahāṇād arhatvaṃ sākṣātkariṣyati; syāt khalu yuṣmākaṃ	pravrajya sarva-kleSa-prahANAt arhatvam sAkzAt-karizyati; syAt Kalu yuzmAkam
   bhikṣavo 'nyatamaḥ sa tena kālena tena samayena sudhano nāma gṛhaptir	BikzavaH anyatamaH sa tena kAlena tena samayena suDanaH nAma gRhaptiH-
   abhūd iti? na khalv evaṃ draṣṭavyam, api tv eṣa evāsāv anāthapiṇḍado	aBUt iti? na Kalu evam drazwavyam, api tu ezaH eva-asO anATapiNxadaH-
   gṛhapatiḥ sudhano nāma grhapatir udbhaviṣyati	gRhapatiH suDanaH nAma grhapatiH udBavizyati
   Anāthapiṇḍada has the power to see absconded treasures, no matter whether	AnATapiNxada has Te poweH taH see ap-sca-undet trea-sures, naH matteH wheTeH-
   close or far away	close oH far away
        athānāthapiṇḍado gṛhapatir nidhīn paśyati svāmikān apy asvāmikān api	aTa-anATapiNxadaH gRhapatiH niDIn paSyati svAmikAn api asvAmikAn api
   sthalagatān api jalagatān api ye 'pi dūre ye 'py antike; sāmantakena śabdo	sTala-gatAn api jala-gatAn api ye api dUre ye api antike; sAmantakena SabdaH-
   nisṛta anāthapiṇḍado gṛhaptir nidhīn paśyati sasvāmikān ḥapiḥ asvāmikān	nisRta anATapiNxadaH gRhaptiH niDIn paSyati sa-svAmikAn HapiH asvAmikAn
   api sthalagatān api jalagatān api ye 'pi dūre ye 'py antike iti; tena	api sTala-gatAn api jala-gatAn api ye api dUre ye api antike iti; tena
   khalu samayena saṃbahulānāṃ	Kalu samayena saMbahulAnAm
   nānātīrthikaśramaṇabrāhmaṇacarakaparivrājakānāṃ kutūhalaśālāyāṃ	nAnA-tIrTika-SramaNa-brAhmaNa-caraka-parivrAjakAnAm kutUhala-SAlAyAm
   saṃniṣaṇṇānāṃ saṃnipatitānām ayam evaṃrūpo 'bhūd antarākathāsamudāhāraḥ;	saMnizaNNAnAm saMnipatitAnAm ayam evaMrUpaH aBUt antarAkaTA-samudAhAraH;
   katamena bhavanto lakṣaṇena samanvāgato 'nāthapiṇḍado gṛhapatir nidhīn	katamena BavantaH lakzaNena samanvAgataH anATapiNxadaH gRhapatiH niDIn
   paśyati sasvāmikān apy asvāmikān api sthalagatān api jalagatān api ye 'pi	paSyati sa-svAmikAn api asvAmikAn api sTala-gatAn api jala-gatAn api ye api
   dūre ye 'py (Śay-v 31) antike? tena khalu samayena upagur nāma māṇava	dUre ye api (Śay-u 31) antike? tena Kalu samayena upaguH nAma mANava
   tasyām eva parṣadi saṃnisaṇṇo 'bhūt saṃnipatitaḥ; sa kathayati: alpotsukā	tasyAm eva parzadi saMnisaNNaH aBUt saMnipatitaH; sa kaTayati: alpa-utsukA
   yūyaṃ bhavanto bhavantu; ahaṃ vicārya bhavatām kathayiṣyāmi yena lakṣaṇena	yUyam BavantaH Bavantu; aham vicArya BavatAm kaTayizyAmi yena lakzaNena
   samanvāgato 'nāthapiṇḍado gṛhapatir nidhīn paśyati sasvāmikān apy	samanvAgataH anATapiNxadaH gRhapatiH niDIn paSyati sa-svAmikAn api-
   asvamikān api sthalagatān api jalagatān api ye 'pi dūre ye 'py antike iti;	asvamikAn api sTala-gatAn api jala-gatAn api ye api dUre ye api antike iti;
   so 'nāthapiṇḍadasya gṛhapateś cāravihārānveṣatatparaḥ pṛṣṭhataḥ pṛṣṭhataḥ	saH anATapiNxadasya gRhapateH cAra-vihAra-anveza-tatparaH pRzWatas pRzWatas-
   samanubaddho yāvad apareṇa samayenānāthapiṇḍado gṛhapatir nadyām	samanubadDaH yAvat apareNa samayena-anATapiNxadaH gRhapatiH nadyAm
   ajiravatyāṃ snātvā uttīrṇaḥ; tasya tena pṛṣṭhena talaprahāro dattaḥ;	ajiravatyAm snAtvA uttIrNaH; tasya tena pRzWena tala-prahAraH dattaH;
   anāthapiṇḍado gṛhapatiḥ paśyann eva tūṣṇīm avasthitaḥ; sa kathayati: (A	anATapiNxadaH gRhapatiH paSyan eva tUzNIm avasTitaH; sa kaTayati: (A
   325a) vijñāto 'si gṛhapate kṣāntisauratyasamanvāgataḥ tvam yena nidhīn	325a) vijQAtaH asi gRhapate kzAnti-sOratya-samanvAgataH tvam yena niDIn
   paśyasi sasvāmikān apy asvāmikān api sthalagatān api jalagatān api ye 'pi	paSyasi sa-svAmikAn api asvAmikAn api sTala-gatAn api jala-gatAn api ye api
   dūre ye 'py antike iti; tena tīrthyānām ārocitam; tīrtyair api	dUre ye api antike iti; tena tIrTyAnAm Arocitam; tIrtyEH api
   vikatthamānaiḥ samantād ārocitam; sāmantena śabdo visṛtaḥ;	vikatTamAnEH samantAt Arocitam; sAmantena SabdaH visRtaH;
   athānāthapiṇḍado gṛhapatiḥ kṣāntisauratyasamanvāgataḥ yena nidhīn paśyati	aTa-anATapiNxadaH gRhapatiH kzAnti-sOratya-samanvAgataH yena niDIn paSyati
   sasvāmikān apy asvāmikān api sthalagatān api jalagatān api ye 'pi dūre ye	sa-svAmikAn api asvAmikAn api sTala-gatAn api jala-gatAn api ye api dUre ye
   'py antike iti; etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti; bhagavān	api antike iti; etat prakaraNam BikzavaH BagavataH Arocayanti; BagavAn
