   dvitīyo 'dhyāyaḥ /	dvitIyaH aDyAyaH /
   stambhādayaḥ syuḥ /	stamBa AdayaH syuH /
   tatra na tāvatparamāṇavaḥ stambhādipratyayaparicchedyā bhavitumarhanti	tatra na tAvat paramANavaH stamBa Adi pratyaya paricCedyAH Bavitum arhanti
   (paramāṇvābhāsajñānānutpatteḥ) /	(paramANu ABAsa jQAna anutpatteH) /
   nāpi tatsamūhāḥ stambhādayaḥ, teṣāṃ paramāṇubhyo 'nyatvānanyatvābhyāṃ	na api tad samUhAH stamBa AdayaH, tezAm paramANuByaH anya tva ananya tvAByAm
   nirūpayitumaśakyatvāt /	nirUpayitum aSakyatvAt /
   evaṃ jātyādīnapi pratyakṣīta /	evam jAti AdIn api pratyakzIta /
   apicānubhāvamātreṇa sādhāraṇātmano jñānasya jāyamānasya yo 'yaṃ	apicAnu BAva mAtreNa sADAraNa AtmanaH jQAnasya jAyamAnasya yaH ayam
   prativiṣayaṃ pakṣapātaḥ stambhajñānaṃ kuḍyajñānaṃ ghaṭajñānaṃ	prativizayam pakzapAtaH stamBa jQAnam kuxya jQAnam Gawa jQAnam
   paṭajñānamiti, nāsau jñānagataviśeṣamantareṇopapadyata ityavaśyaṃ	pawa jQAnam iti, na asO jQAna gata viSezam antareNa upapadyate iti avaSyam
   viṣayasārūpyaṃ jñānasyāṅgīkartavyam /	vizaya sArUpyam jQAnasya aFgIkartavyam /
   aṅgīkṛte ca tasminviṣayākārasya jñānenaivāvaruddhatvādapārthikā	aFgIkRte ca tasmin vizaya AkArasya jQAnena eva avarudDa tvAt apArTikA
   bāhyārthasadbhāvakalpanā /	bAhya arTa sadBAva kalpanA /
   apica sahopalambhaniyamādabhedo viṣayavijñānayorāpatati /	api ca saha upalamBa niyamAt aBedaH vizaya vijQAnayoH Apatati /
   nahyanayorekasyānupalambhe 'nyasyopalambho 'sti /	na hi anayoH ekasya anupalamBe anyasya upalamBaH asti /
   nacaitatsvabhāvaviveke yuktaṃ, pratibandhakāraṇābhāvāt /	naca etad svaBAva viveke yuktaM, pratibanDa kAraNa aBAvAt /
   tasmādapyarthābhāvaḥ /	tasmAt api arTa aBAvaH /
   svapnādivaccedaṃ draṣṭavyam /	svapna Adi vat ca idam drazwavyam /
   yathāhi svapnamāyāmarīcyudakagandharvanagarādipratyayā vinaiva	yaTA hi svapna mAyA marIci udaka ganDarva nagara Adi pratyayAH vinA eva
   bāhyenārthena grāhyagrāhakākārā bhavanti, evaṃ jāgaritagocarā api	bAhyena arTena grAhya grAhaka AkArAH Bavanti, evam jAgarita gocarAH api
   stambhādipratyayā bhavitumarhantītyavagamyate /	stamBa Adi pratyayA Bavitum arhanti iti avagamyate /
   pratyayatvāviśeṣāt /	pratyaya tva aviSezAt /
   kathaṃ punarasati bāhyārthe pratyayavaicitryamupapadyate /	kaTam punar asati bAhya arTe pratyaya vEcitryam upapadyate /
   vāsanāvaicitryādityāha /	vAsanA vEcitryAt iti Aha /
   anādau hi saṃsāre bījāṅ kuravadvijñānānāṃ vāsanānāṃ	anAdO hi saMsAre bIjAF kuravat vijQAnAnAm vAsanAnAm
   cānyonyanimittanaimittikabhāvena vaicitryaṃ na vipratiṣidhyate /	ca anyonya nimitta nEmittika BAvena vEcitryam na vipratiziDyate /
   apicānvayavyatirekābhyāṃ vāsanānimittameva jñānavaicitryamityavagamyate /	api cA anvaya vyatirekAByAm vAsanA nimittam eva jQAna vEcitryam iti avagamyate /
   svapnādiṣvantareṇāpyarthaṃ vāsanānimittasya	svapna Adizu antareNa api arTam vAsanA nimittasya
   jñānavaicitryasyobhābhyāmapyāvābhyāmabhyupagamyamānatvāt /	jQAna vEcitryasya uBAByAm api AvAByAm aByupagamyamAna tvAt /
   antareṇa tu vāsanāmarthanimittasya jñānavaicitryasya	antareNa tu vAsanAm arTa nimittasya jQAna vEcitryasya
   mayānabhyupagamyamānatvāt /	mayA anaByupagamyamAna tvAt /
   tasmādapyabhāvo bāhyārthasyeti /	tasmAt api aBAvaH bAhya arTasya iti /
   evaṃ prāpte brūmaḥ   'nābhāva upalabdheḥ' iti /	evam prApte brUmaH  anABAvaH upalabDeH a iti /
   na khalvabhāvo bāhyasyārthasyādhyavasātuṃ śakyate /	na KalvaBAvaH bAhyasya arTasya aDyavasAtum Sakyate /
   kasmāt /	kasmAt /
   upalabdheḥ /	upalabDeH /
   upalabhyate hi pratipratyayaṃ bāhyor'thaḥ stambhaḥ kuḍyaṃ ghaṭaḥ paṭa iti	upalaByate hi pratipratyayam bAhyor aTaH stamBaH kuxyam GawaH pawaH iti
   nacopalabhyamānasyaivābhāvo bhavitumarhati /	naca upalaByamAnasya eva aBAvaH Bavitum arhati /
   yathā hi kaścidbhuñjāno bhujitasādhyāyāṃ tṛptau svayamanubhūyamānāyāmevaṃ	yaTA hi kaScid BuQjAnaH Bujita sADyAyAm tRptO svayam anuBUyamAnAyAm evam
   brūyānnāhaṃ bhuñje na vā tṛpyāmīti, tadvadindriyasaṃnikarṣeṇa	brUyAt na aham BuQje na vA tRpyAmi iti, tadvat indriya saMnikarzeNa
   svayamupalabhamāna eva bāhyamarthaṃ nāhamupalabhe naca so 'stīti	svayam upalaBamAnaH eva bAhyam arTam na aham upalaBe na ca saH asti iti
   bruvankathamupādeyavacanaḥ syāt /	bruvan kaTam upAdeya vacanaH syAt /
   nanu nāhamahaṃ bravīmi na kañcidarthamupalabha iti kiṃ	nanu na aham aham bravImi na kaQcid arTam upalaBaH iti kim
   tūpalabdhivyatiriktaṃ nopalabha iti bravīmi /	tu upalabDi vyatiriktam na upalaBaH iti bravImi /
   bāḍhamevaṃ bravīṣi niraṅ kuśatvātte tuṇḍasya /	bAXam evam bravIzi niraF kuSa tvAt te tuNxasya /
   natu yaktyupetaṃ bravīṣi /	na tu yakti upetam bravIzi /
   yata upalabdhivyatireko 'pi balādarthasyābhyupagantavya upalabdhereva /	yatas upalabDi vyatirekaH api balAt arTasya aByupagantavyaH upalabDeH eva /
   nahi kaścidupalabdhimeva stambhaḥ kuḍyaṃ cetyupalabhate /	na hi kaScid upalabDim eva stamBaH kuxyam ca iti upalaBate /
   upalabdhiviṣayatvenaiva tu stambhakuḍyādīnsarve laukikā upalabhante	upalabDi vizaya tvena eva tu stamBa kuxya AdIn sarve lOkikAH upalaBante
   yatpratyācakṣāṇā api bāhyārthameva vyācakṣate yadantarjñeyarūpaṃ	yad pratyAcakzANAH api bAhya arTam eva vyAcakzate yat antar jQeya rUpam
   tadbahirvadavabhāsata iti /	tad bahis vadavaBAsate iti /
   te 'pi sarvalokaprasiddhāṃ bahiravabhāsamānāṃ saṃvidaṃ pratilabhamānāḥ	te api sarva loka prasidDAm bahi s avaBAsamAnAm saMvidam pratilaBamAnAH
   pratyākhyātukāmāśca bāhyamarthaṃ bahirvadati vatkāraṃ kurvanti /	pratyAKyAtu kAmAH ca bAhyam arTam bahis vadati vatkAram kurvanti /
   itarathā hi kasmādbahirvadati brūyuḥ /	itaraTAH hi kasmAt bahis vadati brUyuH /
   nahi viṣṇumitro vandhyāputravadavabhāsata iti kaścidācakṣīta /	na hi vizNu mitraH vanDyA putra vat ava BAsate iti kaScid AcakzIta /
   tasmādyathānubhavaṃ tattvamabhyupagacchadbhirbahirevāvabhāsata iti	tasmAt yaTA anuBavam tattvam aByupagacCadBiH bahis eva avaBAsate iti
   yuktamabhyupagantuṃ natu bahirvadavabhāsata iti /	yuktam aByupagantum na tu bahis vat avaBAsate iti /
   nanu bāhyārthasyāsaṃbhavādbahirvadavabhāsata ityadhyavasitam /	nanu bAhya arTasya asaMBavAt bahis vat avaBAsate iti aDyavasitam /
   nāyaṃ sādhuradhyavasāyo yataḥ pramāṇapravṛttyapravṛttipūrvakau	na ayam sADuH aDyavasAyaH yatas pramANa pravRtti apravRtti pUrvakO
   saṃbavāsaṃbhavāvavadhāryete na punaḥ saṃbhavāsaṃbhavapūrvike	saMbava asaMBavO= avaDArI ete na punar saMBava asaMBava pUrvike
   pramāṇapravṛttyapravṛttī /	pramANa pravRtti apravRttI /
   yaddhi pratyakṣādīnāmanyatamenāpi pramāṇenopalabhyate tatsaṃbhavati /	yat hi pratyakza AdInAm anyatamena api pramANena upalaByate tad saMBavati /
   yattu na kenacidapi pramāṇenopalabhyate tanna saṃbhavati /	yat tu na kenacid api pramANena upalaByate tat na saMBavati /
   iha tu yathāsvaṃ sarvaireva pramāṇairbāhyor'tha upalabhyamānaḥ kathaṃ	iha tu yaTAsvam sarvEH eva pramANEH bAhyor aTa upalaByamAnaH kaTam
   vyatirekāvyatirekādivikalpairna saṃbhavatītyucyetopalabdhereva /	vyatireka avyatireka Adi vikalpEH na saMBavati iti ucyeta upalabDeH eva /
   naca jñānasya viṣayasārūpyādviṣayanāśo bhavati, asati viṣaye	na ca jQAnasya vizaya sArUpyAt vizaya nASaH Bavati, asati vizaye
   viṣayasārūpyānupapatteḥ, bahirupalabdheśca viṣayasya /	vizaya sArUpya anupapatteH, bahis upalabDeH ca vizayasya /
   ata eva sahopalambhaniyamo 'pi pratyayaviṣayayorupāyopeyabhāvahetuko	atas eva saha upalamBa niyamaH api pratyaya vizayayoH upAya upeya BAva hetu ko
   nābhedahetuka ityabyupagantavyam /	nABeda hetukaH iti abyupagantavyam /
   apica ghaṭajñānaṃ paṭajñānamiti viśeṣaṇayoreva ghaṭapaṭayorbhedo na	api ca Gawa jQAnam pawa jQAnam iti viSezaNayoH eva Gawa pawayoH BedaH na
   viśeṣyasya jñānasya /	viSezyasya jQAnasya /
   dvābhyāṃ ca bheda etasya siddho bhavatyekasmācca dvayoḥ /	dvAByAm ca BedaH etasya sidDaH Bavati ekasmAt ca dvayoH /
   tasmādarthajñānayorbhedaḥ /	tasmAt arTa jQAnayoH BedaH /
   tathā ghaṭadarśanaṃ ghaṭasmaraṇamityatrāpi pratipattavyam /	taTA Gawa darSanam Gawa smaraNam iti atra api pratipattavyam /
   atrāpi hi viśeṣyayoreva darśanasmaraṇayorbhedo na viśeṣaṇas ghaṭasya /	atra api hi viSezyayoH eva darSana smaraNayoH BedaH na viSezaNaH Gawasya /
   yathā kṣīragandhaḥ kṣīrarasa iti viśeṣyayoreva gandharasayorbhedo na	yaTA kzIraganDaH kzIra rasaH iti viSezyayoH eva ganDa rasayoH BedaH na
   viśeṣaṇasya kṣīrasya tadvat /	viSezaNasya kzIrasya tadvat /
   apica dvayorvijñānayoḥ pūrvottarakālayoḥ	api ca dvayoH vijQAnayoH pUrva uttara kAlayoH
   svasaṃvedanenaivopakṣīṇayoritaretaragrāhyagrāhakatvānupapattiḥ /	sva saMvedanena eva upakzINayoH itaretara grAhya grAhaka tva anupapattiH /
   tataśca vijñānabhedapratijñā kṣaṇikatvādidharmapratijñā	tatas ca vijQAna Beda pratijQA kzaNika tva Adi Darma pratijQA
   svalakṣaṇasāmānyalakṣaṇavāsyavāsakatvāvidyopaplavasadasaddharmabandhamokṣādipratijñāśca	sva lakzaNa sAmAnya lakzaNa vAsya vAsaka tva avidyA upaplava sat asat Darma banDa mokza Adi pratijQAH ca
   svaśāstragatāstā hīyeran /	sva SAstra gatAH tAH hIyeran /
   kiñcānyat /	kiQca anyat /
   vijñānaṃ vijñānamityabhyupagacchatā bāhyorthaḥ stambhaḥ	vijQAnam vijQAnam iti aByupagacCatA bAhyorTaH stamBaH
   kuḍyamityevañjātīyakaḥ tasmānnābhyupagamyata eveti yuktamabhyupagantum /	kuxyam iti evan jAtIyakaH tasmAt na aByupagamyate eva iti yuktam aByupagantum /
   atha vijñānaṃ prakāśātmakatvātpradīpavatsvayamevānubhūyate na tathā bāhyo	aTa vijQAnam prakASa Atmaka tvAt pradIpa vat svayam eva anuBUyate na taTA bAhyaH 
   'pyartha iti cet /	api arTaH iti ced /
   atyantaviruddhāṃ svātmani kriyāmabhyupagacchasyagnirātmānaṃ dahatītivat,	atyanta virudDAm sva Atmani kriyAm aByupagacCasi agniH AtmAnam dahati itivat,
   aviruddhaṃ tu lokaprasiddhaṃ svātmavyatiriktena vijñānena	avirudDam tu loka prasidDam sva Atma vyatiriktena vijQAnena
   bāhyor'thonubhūyata iti necchāsyaho pāṇḍityaṃ mahaddarśitam /	bAhyor aTonuBUyate iti na icCAsi aho pANxityam mahat darSitam /
   nacārthāvyatiriktamapi vijñānaṃ svayamevānubhūyate, svātmani	naca arTa avyatiriktam api vijQAnam svayam eva anuBUyate, sva Atmani
   kriyāvirodhādeva /	kriyA viroDAt eva /
   nanu vijñānasya svarūpavyatiriktagrāhyatve tadapyanena grāhyaṃ	nanu vijQAnasya sva rUpa vyatirikta grAhya tve tat api anena grAhyam
   tadapyanyenetyanavasthā prāpnoti /	tat api anyena iti anavasTA prApnoti /
   apica pradīpavadavabhāsātmakatvājjñānasya jñānāntaraṃ kalpayataḥ	api ca pradIpa vat avaBAsa Atmaka tvAt jQAnasya jQAna antaram kalpayataH
   samatvādavabhāsyāvabhāsakabhāvānupapatteḥ kalpanānarthakyamiti /	sama tvAt avaBAsya avaBAsaka BAva anupapatteH kalpanA narTakyam iti /
   tadubhayamapyasat /	tat uBayam api asat /
   vijñānagtahaṇamātra eva vijñānasākṣiṇo	vijQAna gtahaNa mAtre eva vijQAna sAkziNaH 
   grahaṇākāṅkṣānutpādādānavastāśaṅkānupapatteḥ /	grahaNa AkAFkza anutpAda AdAna vaH ta ASaFka anupapatteH /
   sākṣipratyayayośca svabhāvavaiṣamyādupalabdhrupalabhyabhāvopapatteḥ /	sAkzi pratyayayoH ca svaBAva vEzamyAt upalabDrupalaBya BAva upapatteH /
   svayaṃsiddhasya ca sākṣiṇo 'pratyākhyeyatvāt /	svayaMsidDasya ca sAkziNaH apratyAKyeya tvAt /
   kiñcānyat /	kiQca anyat /
   pradīpavadvijñānamavabhāsakāntaranirapekṣaṃ svayameva prathata iti	pradIpa vat vijQAnam avaBAsaka antara nirapekzam svayam eva praTate iti
   bruvatāpramāṇagamyaṃ vijñānamanavagantṛkamityuktaṃ syāt /	bruvata apramANa gamyam vijQAnam anavagantRkam iti uktam syAt /
   śilāghanamadhyasthapradīpasahasraprathanavat /	SilA Gana maDya sTa pradIpa sahasra praTana vat /
   bāḍhamevam, anubhavarūpatvāttu vijñānasyeṣṭo naḥ pakṣastvayānujñāyata iti	bAXam evam, anuBava rUpa tvAt tu vijQAnasya izwaH naH pakzaH tvayA anujQAyate iti
   cet /	ced /
   na /	na /
   anyasyāvagantuścakṣuḥsādhanasya pradīpādiprathanadarśanāt /	anyasya avagantuH cakzuH sADanasya pradIpa Adi praTana darSanAt /
   ato vijñānasyāpyavabhāsyatvāviśeṣātsatyevānyasminnavagantari prathanaṃ	atas vijQAnasya api avaBAsya tva aviSezAt sati eva anyasmin= avagantari praTanam
   pradīpavadityavagamyate /	pradIpa vat iti avagamyate /
   sākṣiṇo 'vagantuḥ svayaṃsiddhatāmupakṣipatā svayaṃ prathate vijñānamityeṣa	sAkziNaH avagantuH svayaMsidDa tAm upakzipatA svayam praTate vijQAnam iti eza
   eva mama pakṣastvayā vācoyuktyantareṇāśrita iti cet /	eva mama pakzaH tvayA vAcA uyukti antareNa ASritaH iti ced /
   na /	na /
   vijñānasyotpattipradhvaṃsānekatvādiviśeṣavattvābhyupagamāt /	vijQAnasya utpatti praDvaMsa aneka tva Adi viSeza vat tva aByupagamAt /
   ataḥ pradīpavadvijñānasyāpi vyatiriktāvagamyatvamasmābhiḥ prasādhitam //	atas pradIpa vat vijQAnasya api vyatiriktO= agamya tvam asmABiH prasADitam //
   FN: pakṣapāto viṣayaviśeṣavaiśiṣṭyavyavahāraḥ /	FN: pakzapAtaH vizaya viSeza vESizwya vyavahAraH /
   avidyopaplavo 'vidyāsaṃsargaḥ /	avidyA upaplavaH avidyA saMsargaH /
   vaidharmyāc ca na svapnādivat | BBs_2,2.29 |	vEDarmyAt ca na svapna Adi vat | BBH _2,2.29 |
   yaduktaṃ bāhyārthapalāyinā svapnādipratyayavajijāgaritagocarā api	yat uktam bAhya arTa palAyinA svapna Adi pratyaya vajijAgarita gocarAH api
   stambhādipratyayā vinaiva bāhyenārthena bhaveyuḥ pratyayatvāviśeṣāditi /	stamBa Adi pratyayAH vinA eva bAhyena arTena BaveyuH pratyaya tva aviSezAt iti /
   tatprativaktavyam /	tad prativaktavyam /
   atrocyate  na svapnādipratyayavajjāgratpratyayā bhavitumarhanti /	atra ucyate na svapna Adi pratyaya vat ja agrat pratyayAH Bavitum arhanti /
   kasmāt /	kasmAt /
   vaidharmyāt /	vEDarmyAt /
   vaidharmyaṃ hi bhavati svapnajāgaritayoḥ /	vEDarmyam hi Bavati svapna jAgaritayoH /
   kiṃ punarvaidharmyam /	kim punar vEDarmyam /
   bādhābādhāviti brūmaḥ /	bADA bADO= iti brUmaH /
   bādhyate hi svapnopalabdhaṃ vastu pratibuddhasya mithyā mayopalabdho	bADyate hi svapna upalabDam vastu pratibudDasya miTyA mayA upalabDaH 
   mahājanasamāgama iti, nahyasti mama mahājanasamāgamo nidrālagnaṃ tu me	mahA jana samAgamaH iti, na hi asti mama mahA jana samAgamaH nidrA lagnam tu me
   mano babhūva tenaiṣā bhrāntirudbabhūveti /	manaH baBUva tena ezA BrAntiH udbaBUva iti /
   evaṃ māyādiṣvapi bhavati yatāvidhaṃ bādhaḥ /	evam mAyA Adizu api Bavati yatAviDam bADaH /
   naivaṃ jāgaritopalabdhaṃ vastu stambhādikaṃ kasyāñcidapyavasthāyāṃ	na evam jAgarita upalabDam vastu stamBa Adikam kasyAQcid api avasTAyAm
   bādhyate /	bADyate /
   apica samṛtireṣā yatsvapnadarśanam /	api ca sa mRtiH ezA yat svapna darSanam /
   upalabdhistu jāgaritadarśanam /	upalabDiH tu jAgarita darSanam /
   smṛtyupalabdhayośca pratyakṣamantaraṃ	smRti upalabDayoH ca pratyakzam antaram
   svayamanubhūyater'thaviprayogasaṃyogātmakamiṣṭaṃ putraṃ smarāmi nopalabha	svayam anuBUyater aTa viprayoga saMyoga Atmakam izwam putram smarAmi na upalaBa
   upalabdhumicchāmīti /	upalabDum icCAmi iti /
   tatraivaṃsati na śakyate vaktuṃ mithyā	tatra evaMsati na Sakyate vaktum miTyA
   jāgaritopalabdhirūpalabdhitvātsvapnopalabdhivadityubhayorantaraṃ	jAgarita upalabDi rUpa labDi tvAt svapna upalabDi vat iti uBayoH antaram
   svayamanubhavatā /	svayam anuBavatA /
   naca svānubhavāpalāpaḥ prājñamānibhiryuktaḥ kartum /	na ca sva anuBava apalApaH prAjQa mAniBiH yuktaH kartum /
   apicānubhavavirodhaprasaṅgājjāgaritapratyayānāṃ svato nirālambanatāṃ	apicA anuBava viroDa prasaFgAt jAgarita pratyayAnAm svatas nirAlambanatAm
   vaktumaśaknuvatā svapnapratyayasādharmyādvaktumiṣyate /	vaktum aSaknuvatA svapna pratyaya sADarmyAt vaktum izyate /
   naca yo yasya svato dharmo na saṃbhavati so 'nyasya sādharmyāttasya	na ca yaH yasya svatas DarmaH na saMBavati saH anyasya sADarmyAt tasya
   saṃbhaviṣyati /	saMBavizyati /
   nahyagniruṣṇo 'nubhūyamāna udakasādharmyācchīto bhaviṣyati /	nahi agniH uzNaH anuBUyamAnaH udaka sADarmyAt SItaH Bavizyati /
   darśitaṃ tu vaidharmyaṃ svapnajāgaritayoḥ // 29 //	darSitam tu vEDarmyam svapna jAgaritayoH // 29 //
   FN: nidrālagnimiti karaṇadoṣābhidhānam /	FN: nidrA lagnim iti karaNa doza aBiDAnam /
   saṃskāramātrajaṃ hi vijñānaṃ samṛtiḥ /	saMskAra mAtra jam hi vijQAnam samRtiH /
   pramāṇajo 'nubhava upalabdhiḥ /	pramANa jaH anuBavaH upalabDiH /
   na bhāvo 'nupalabdheḥ | BBs_2,2.30 |	na BAvaH anupalabDeH | BBH _2,2.30 |
   yadapyuktaṃ vināpyarthena jñānavaicitryaṃ vāsanāvaicitryādevāvakalpyata	yat api uktam vinA api arTena jQAna vEcitryam vAsanA vEcitryAt eva a= akalpyata
   iti /	iti /
   tatprativaktavyam /	tad prativaktavyam /
   atrocyate  nabhāvo vāsanānāmupapadyeta tvatpakṣe	atra ucyate naBAvaH vAsanAnAm upapadyeta tvad pakze
   'nupalabdherbāhyānāmarthānām /	anupalabDeH bAhyAnAm arTAnAm /
   arthopalabdhinimittā hi pratyarthaṃ nānārūpā vāsanā bhavanti /	arTa upalabDi nimittAH hi pratyarTam nAnA rUpAH vAsanAH Bavanti /
   anupalabhyamāneṣu tvartheṣu kiṃnimittā vicitrā vāsanā bhaveyuḥ /	anupalaByamAnezu tu arTezu kiMnimittAH vicitrAH vAsanAH BaveyuH /
   anāditve 'pyandhaparaṃparānyāyenāpratiṣṭhaivānavasthā vyavahāralopinī	anAdi tve api anDa paraMpara anyAyena apratizWA eva anavasTA vyavahAra lopinI
   syānnābhiprāyasiddhiḥ /	syAt na aBiprAya sidDiH /
   yāvapyanyavyatirekāvarthāpalāpinopanyastau vāsanānimittamevedaṃ jñānajātaṃ	yO= api anya vyatirekO= arTa apalApinA upanyastO vAsanA nimittam eva idam jQAna jAtam
   nārthanimittamiti, tāvapyevaṃsati pratyuktau draṣṭavyau /	na arTa nimittam iti, tO= api evaMsati pratyuktO drazwavyO /
   vinār'thopalabdhyā vāsanānupapatteḥ /	vinAr aTa upalabDyA vAsanA anupapatteH /
   apica vināpi vāsanābhirarthopalabdhyupagamādvinā tvarthopalabdhyā	apica vinA api vAsanABiH arTa upalabDi upagamAt vinA tu arTa upalabDyA
   vāsanotpattyanabhyupagamādarthasadbhāvamevānvayavyatirekāvapi	vAsanA utpatti anaByupagamAt arTa sadBAvam eva anvaya vyatirekO= api
   pratiṣṭhāpayataḥ /	pratizWApayataH /
   apica vāsanā nāma saṃskāraviśeṣāḥ /	api ca vAsanAH nAma saMskAra viSezAH /
   saṃskārāśca nāśrayamantareṇāvakalpyante /	saMskArAH ca na ASrayam antareNa avakalpyante /
   evaṃ loke dṛṣṭatvāt /	evam loke dRzwa tvAt /
   naca tava vāsanāśrayaḥ kaścidasti pramāṇato 'nupalabdheḥ // 30 //	na ca tava vAsanA ASrayaH kaScid asti pramANataH anupalabDeH // 30 //
   FN: bhāva utpattiḥ sattā vā /	FN: BAvaH utpattiH sattA vA /
   kṣaṇikatvāc ca | BBs_2,2.31 |	kzaNika tvAt ca | BBH _2,2.31 |
   yadapyālayavijñānaṃ nāma vāsanāśrayatvena parikalpitaṃ tadapi	yat apyAlayavijQAnam nAma vAsanA ASraya tvena parikalpitam tat api
   kṣaṇikatvābhyupagamādanavasthitasvarūpaṃ satpravṛttivijñānavanna	kzaNika tva aByupagamAt anavasTita svarUpam sat pravRtti vijQAna vat na
   vāsanānāmadhikaraṇaṃ bhavitumarhati /	vAsanAnAm aDikaraNam Bavitum arhati /
   nahi kālatrayasaṃbandhinyekasminnanvayinyasati kūṭasthe vā	nahi kAla traya saMbanDini ekasmin= anvayini asati kUwasTe vA
   sarvārthadarśini /	sarva arTa darSini /
   deśakālanimittāpekṣavāsanādhānasmṛtipratisaṃdhānādivyavahāraḥ saṃbhavati /	deSa kAla nimitta apekza vAsanA DAna smRti pratisaMDAna Adi vyavahAraH saMBavati /
   sthirasvarūpatve tvālayavijñānasya siddhāntahāniḥ /	sTira svarUpa tve tu Alaya vijQAnasya sidDAnta hAniH /
   apica vijñānavāde 'pi kṣaṇikatvābhyupagamasya samānatvādyāni bāhyārthavāde	api ca vijQAna vAde api kzaNika tva aByupagamasya samAna tva AdyAni bAhya arTa vAde
   kṣaṇikatvanibandhanāni dūṣaṇānyudbhāvitāni 'uttarotpāde ca pūrvanirodhāt'	kzaNika tva nibanDanAni dUzaNAni udBAvitAni auttara utpAde ca pUrva niroDAt a
   ityevamādīni tānīhāpyanusaṃdhātavyāni /	iti evamAdIni tAni iha api anusaMDAtavyAni /
   evametau dvāvapi vaināśikapakṣau nirākṛtau bāhyārthavādipakṣo	evam etO dvO= api vEnASika pakzO nirAkRtO bAhya arTa vAdi pakzaH 
   vijñānavādipakṣaśca /	vijQAna vAdi pakzaH ca /
   śūnyavādipakṣastu sarvapramāṇavipratiṣiddha iti tannirākaraṇāya nādaraḥ	SUnya vAdi pakzaH tu sarva pramANa vipratizidDaH iti tad nirAkaraNAya na AdaraH
   kriyate /	kriyate /
   nahyayaṃ sarvapramāṇaprasiddho lokavyavahāro 'nyattattvamanadhigamya	na hi ayam sarva pramANa prasidDaH loka vyavahAraH anyat tattvam anaDigamya
   śakyate 'pahnotumapavādābhāva utsargaprasiddheḥ // 31 //	Sakyate apahnotum apavAda aBAvaH utsarga prasidDeH // 31 //
   FN: nādaraḥ kriyate sūtrāntarāṇi na racyanta etānyevāvṛttyā yojayante /	FN: na AdaraH kriyate sUtra antarANi na racyante etAni eva AvRttyA yojayante /
   sarvathānupapatteś ca | BBs_2,2.32 |	sarvaTA anupapatteH ca | BBH _2,2.32 |
   kiṃ bahunā /	kim bahunA /
   sarvaprakāreṇa yathāyathāyaṃ vaināśikasamaya upapattimattvāya parīkṣyate	sarva prakAreNa yaTAyaTA ayam vEnASika samayaH upapattimat tvAya parIkzyate
   tathātathā sikatākūpavadvidīryata eva /	taTA taTA sikatA kUpa vat vidIryate eva /
   na kāñcidapyatropapattiṃ paśyāmaḥ /	na kAQcid api atra upapattim paSyAmaH /
   ataścānupapanno vaināśikatantravyavahāraḥ /	atas ca anupapannaH vEnASika tantra vyavahAraH /
   apica bāhyārthavijñānaśūnyavādatrayamitaretaraviruddhamupadiśatā sugatena	api ca bAhya arTa vijQAna SUnya vAda trayam itaretara virudDam upadiSatA sugatena
   spaṣṭīkṛtamātmano 'saṃbaddhapralāpitvaṃ, pradveṣo vā prajāsu	spazwIkRtam AtmanaH asaMbadDa pralApi tvaM, pradvezaH vA prajAsu
   viruddhārthapratipattyā vimuhyeyurimāḥ prajā iti /	virudDa arTa pratipattyA vimuhyeyuH imAH prajAH iti /
   sarvathāpyanādaraṇīyo 'yaṃ sugatasamayaḥ śreyaskāmairityabhiprāyaḥ // 32	sarvaTA api anAdaraNIyaH ayam sugata samayaH SreyaskAmEH iti aBiprAyaH // 32
   FN: vedabāhyā atra prajā grāhyāḥ /	FN: veda bAhyAH atra prajAH grAhyAH /
   6 ekasminnasaṃbhavādhikaraṇam / sū. 33 36	6 ekasmin= asaMBava aDikaraNam / sU. 33 36
   naikasminn asaṃbhavāt | BBs_2,2.33 |	na ekasmin asaMBavAt | BBH _2,2.33 |
   nirastaḥ sugatasamayaḥ /	nirastaH sugata samayaH /
   vivasanasamaya idānīṃ nirasyate /	vivasana samayaH idAnIm nirasyate /
   sapta caiṣāṃ padārthāḥ saṃmatā jīvājīvāsravasaṃvaranirjarabandhamokṣā nāma	sapta ca ezAm padArTAH saMmatA jIvA jI iva Asrava saMvara nirjarabanDa mokzAH nAma
   saṃkṣepatastu dvāveva padārthau jīvājīvākhyau /	saMkzepataH tu dvO= eva padArTO jIvA jIva AKyO /
   yathāyogaṃ tayorevetarāntarbhāvāditi manyante /	yaTAyogam tayoH eva itara antar BAvAt iti manyante /
   tayorimamaparaṃ prapañcamācakṣate pañcāstikāyā nāma  jīvāstikāyaḥ	tayoH imam aparam prapaQcam Acakzate paQcAstikAyAH nAma jIvAstikAyaH
   pudgalāstikāyo dharmāstikāyo 'dharmāstikāya ākāśāstikāyaśceti /	pudgala astikAyaH Darma astikAyaH aDarma AstikAya AkASa astikAyaH ca iti /
   sarveṣāmapyeṣāmavāntaraprabhedānbahuvidhānsvasamayaparikalpitānvarṇayanti	sarvezAm api ezAm avAntara praBedAn bahuviDAn sva samaya parikalpitAn varNayanti
   sarvatra cemaṃ saptabhaṅgīnayaṃ nāma nyāyamavatārayanti /	sarvatra ca imam sapta BaFgIn ayam nAma nyAyam avatArayanti /
