   Prātimokṣasūtram*	PrAti-mokza-sUtram*
   ekāya raho niṣadyāṃ kalpeya, tam enaṃ śraddheyavacasā upāsikā dṛṣṭvā	ekAya rahaH nizadyAm kalpeya, tam enam SradDeya-vacasA upAsikA dRzwvA
   dvinnāṃ dharmāṇām anyatarānyatareṇa dharmeṇa vadeya saṃghātiśeṣeṇa vā	dvinnAm DarmANAm anyatara-anyatareNa DarmeNa vadeya saMGa-ati-SezeNa vA
   pācattikena vā / niṣadyāṃ bhikṣuḥ pratijānamāno dvinnāṃ dharmāṇām	pAcattikena vA / nizadyAm BikzuH pratijAnamAnaH dvinnAm DarmANAm
   anyatarāntareṇa dharmeṇa kārāpayitavyo saṃghātiśeṣeṇa vā pācattikena vā,	anyatara-antareNa DarmeNa kArApayitavyaH saMGAti-SezeNa vA pAcattikena vA,
   yena yena vā punar asya śraddheyavacasā upāsikā dṛṣṭvā dharmeṇa vadeya,	yena yena vA punar asya SradDeya-vacasA upAsikAH dRzwvA DarmeNa vadeya,
   tena tena so bhikṣu dharmeṇa kārāpayitavyo / ayaṃ pi dharmo aniyato /	tena tena saH Bikzu DarmeNa kArApayitavyaH / ayam pi DarmaH aniyataH /
   // uddānaṃ //	// uddAnam //
   (1) praticchannāsanaṃ (2) rahoniṣadyā ca /	(1) praticCanna-Asanam (2) rahaH-nizadyA ca /
   uddiṣṭāḥ kho punar āyuṣmanto duve aniyatā dharmāḥ / tatrāyuṣmanto pṛcchāmi	uddizwAH KaH punar AyuzmantaH duve aniyatAH DarmAH / tatra-AyuzmantaH pRcCAmi
   kaccittha pariśuddhāḥ? dvitīyaṃ pi āyuṣmanto pṛcchāmi kaccittha	kaccitTa pariSudDAH? dvitIyam pi AyuzmantaH pRcCAmi kaccitTa
   pariśuddhā? tṛtīyaṃ pi āyuṣmanto pṛcchāmi kaccittha pariśuddhāḥ?	pariSudDA? tRtIyam pi AyuzmantaH pRcCAmi kaccitTa pariSudDAH?
   pariśuddhā atrāyuṣmanto yasmāt tūṣṇīm evam etaṃ dhārayāmi /	pariSudDAH atra-AyuzmantaH yasmAt tUzNIm evam etam DArayAmi /
   [IV. triṃśan nissargikapācattikā dharmāḥ]	[IV. triMSat nissargi-kapAcattikAH DarmAH]
   ime kho punar āyuṣmanto triṃśan nissargikapācattikā dharmā anvardhamāsaṃ	ime KaH punar AyuzmantaH triMSat nissargi-kapAcattikA DarmAH anvarDamAsam
   sūtre prātimokṣe uddeśam āgacchanti Ō	sUtre prAtimokze uddeSam AgacCanti Ō
   PrMoSū(Mā-L)NP.1. kṛtacīvarehi bhikṣūhi uddhṛtasmin kaṭhine daśāhaparamaṃ	PrMoSU(MA-L)N-P.1. kRta-cIvarehi BikzUhi udDRtasmin kaWine daSa-Aha-paramam
   bhikṣuṇā atirekacīvaraṃ dhārayitavyaṃ / taduttariṃ dhāreya,	BikzuNA atireka-cIvaram DArayitavyam / tad-uttarim DAreya,
   nissargikapācattikaṃ /	nissargi-ka-pAcattikam /
   PrMoSū(Mā-L)NP.2. kṛtacīvarehi bhikṣūhi uddhṛtasmin kaṭhine ekarātraṃ pi	PrMoSU(MA-L)N-P.2. kRta-cIvarehi BikzUhi udDRtasmin kaWine eka-rAtram pi
   ced bhikṣuḥ trayāṇāṃ cīvarāṇām anyatarānyatareṇa vipravaseya anyatra	ced BikzuH trayANAm cIvarANAm anyatara-anyatareNa vipravaseya anyatra
   saṃghasaṃmutīye, nissargikapācattikaṃ /	saMGa-saMmutIyet nissargi-ka-pAcattikam /
   PrMoSū(Mā-L)NP.3. kṛtacīvarehi bhikṣūhi uddhṛtasmin kaṭhine utpadyeya	PrMoSU(MA-L)N-P.3. kRta-cIvarehi BikzUhi udDRtasmin kaWine utpadyeya
   bhikṣusya akālacīvaram ākāṃkṣamāṇena bhikṣuṇā pratigṛhṇitavyaṃ /	Bikzusya akAla-cIvaram Aka-aMkzamANena BikzuNA pratigRhNitavyam /
   pratigṛhṇitvā kṣipram eva taṃ cīvaraṃ kārāpayitavyaṃ / kārāpayato ca tasya	pratigRhNitvA kzipram eva tam cIvaram kArApayitavyam / kArApayataH ca tasya
   bhikṣusya taṃ cīvaraṃ na paripūreya, māsaparamaṃ tena bhikṣuṇā taṃ cīvaraṃ	Bikzusya tam cIvaram na paripUreya, mAsa-paramam tena BikzuNA tam cIvaram
   nikṣipitavyaṃ ūnasya pāripūrīye santīye pratyāśāye / taduttariṃ nikṣipeya	nikzipitavyam Unasya pAripUrIye santIye pratyASAye / tad-uttarim nikzipeya
   santīye vā asantīye vā pratyāśāye nissargikapācattikaṃ /	santIye vE asantIye vA pratyASAye nissargi-ka-pAcattikam /
   PrMoSū(Mā-L)NP.4. yo puna bhikṣur anyātikāye bhikṣuṇīye cīvaraṃ	PrMoSU(MA-L)N-P.4. yaH puna BikzuH anyAtikAye BikzuNIye cIvaram
   pratigṛhṇeya anyatra pallaṭṭhakena nissargikapācattikaṃ /	pratigRhNeya anyatra pallawWakena nissargi-ka-pAcattikam /
   PrMoSū(Mā-L)NP.5. yo puna bhikṣur anyātikāye bhikṣuṇīye purāṇacīvaraṃ	PrMoSU(MA-L)N-P.5. yaH puna BikzuH anyAtikAye BikzuNIye purANa-cIvaram
   dhovāpeya vā rañjāpeya vā ākoṭāpeya vā nissargikapācattikaṃ /	DovApeya vA raQjApeya vA AkowApeya vA nissargi-ka-pAcattikam /
   PrMoSū(Mā-L)NP.6. yo puna bhikṣur anyātakaṃ gṛhapatiṃ vā gṛhapatiputraṃ	PrMoSU(MA-L)N-P.6. yaH puna BikzuH anyAtakam gRhapatim vA gRhapati-putram
   [?Śtipatinīṃ] vā cīvaraṃ yāceya anyatra samaye nissargikapācattikaṃ /	[?ŚtipatinIM] vA cIvaram yAceya anyatra samaye nissargi-ka-pAcattikam /
   tatrāyaṃ samayo Ō ācchinnacīvaro bhikṣur bhavati / ayam atra samayo /	tatra-ayam samayaH Ō AcCinna-cIvaraH BikzuH Bavati / ayam atra samayaH /
   PrMoSū(Mā-L)NP.7. ācchinnacīvareṇa bhikṣuṇā kṣamate anyātakaṃ gṛhapatiṃ vā	PrMoSU(MA-L)N-P.7. AcCinna-cIvareNa BikzuNA kzamate anyAtakam gRhapatim vA
   gṛhapatiputrīṃ [Śtipatinīṃ] vā cīvaraṃ yācituṃ / tam enam abhihṛṣṭo samāno	gRhapati-putrIm [ŚtipatinIM] vA cIvaram yAcitum / tam enam aBihRzwaH samAnaH-
   saṃbahulehi cīvarehi pravāreya, tathāpravāritena bhikṣuṇā	saMbahulehi cIvarehi pravAreya, taTA-apravAritena BikzuNA
   sāntarottaraparamaṃ cīvaraṃ sādayitavyaṃ / taduttariṃ sādiyeya	sa-antara-uttara-paramam cIvaram sAdayitavyam / tad-uttarim sAdiyeya
   nissargikapācattikaṃ /	nissargi-ka-pAcattikam /
   PrMoSū(Mā-L)NP.8. bhikṣuṃ kho punar uddiśya anyatareṣāṃ dvinnāṃ	PrMoSU(MA-L)N-P.8. Bikzum KaH punar uddiSya anyatarezAm dvinnAm
   gṛhapatikānāṃ cīvaracetāpanāny abhisaṃskṛtāni bhavanti abhisaṃcetayitāni Ō	gRhapatikAnAm cIvara-cetApanAni aBisaMskRtAni Bavanti aBisaMcetayitAni Ō
   imehi vayaṃ cīvaracetāpanehi civaraṃ cetāpayitvā itthanāmaṃ bhikṣuṃ	imehi vayam cIvara-cetApana-Ihi civaram cetApayitvA itTa-nAmam Bikzum
   cīvareṇācchadayiṣyāmaḥ / tatra ca bhikṣuḥ pūrvaṃ apravārito upasaṃkramitvā	cIvareNa-acCadayizyAmaH / tatra ca BikzuH pUrvam apravAritaH upasaMkramitvA
   vikalpam āpadyeya Ō sādhu kho puna yūyam āyuṣmanto imehi cīvaracetāpanehi	vikalpam Apadyeya Ō sADu KaH puna yUyam AyuzmantaH ima-ihi cIvara-cetApanehi
   cīvaraṃ cetāpayitvā itthaṃnāmaṃ bhikṣuṃ cīvareṇācchādetha / evaṃrūpeṇa vā	cIvaram cetApayitvA itTaMnAmam Bikzum cIvareNa-AcCAdeTa / evaMrUpeNa vA
   [evaṃrūpeṇa vā] ubhau pi sahitau ekena kalyāṇakāmatām upādāya /	[evaMrUpeNa vA] uBO pi sahitO ekena kalyANa-kAma-tAm upAdAya /
   abhiniṣpanne cīvare ni[ssa]rgikapācattikaṃ /	aBinizpanne cIvare ni[ssa-]rgika-pAcattikam /
   PrMoSū(Mā-L)NP.9. bhikṣuṃ kho punar uddiśya anyatareṣāṃ dvinnāṃ	PrMoSU(MA-L)N-P.9. Bikzum KaH punar uddiSya anyatarezAm dvinnAm
   gṛhapatikasya gṛhapatinīye ca pratyekacīvaracetāpanāni abhisaṃskṛtāni	gRhapatikasya gRhapatinIye ca pratyeka-cIvara-cetApanAni aBisaMskRtAni
   bhavanti, abhisaṃcetayitāni Ō imehi vayaṃ pratyekacīvaracetāpanehi	Bavanti, aBisaMcetayitAni Ō ima-ihi vayam pratyeka-cIvara-cetA-apanehi
   pratyekaṃ pratyekaṃ cīvaraṃ cetāpayitvā itthaṃnāmaṃ bhikṣuṃ pratyekaṃ	pratyekam pratyekam cIvaram cetApayitvA itTaMnAmam Bikzum pratyekam
   pratyekaṃ cīvareṇācchadayiṣyāmaḥ / tatra ca bhikṣuḥ pūrvaṃ apravārito	pratyekam cIvareNa-acCadayizyAmaH / tatra ca BikzuH pUrvam apravAritaH-
   upasaṃkramitvā vikalpam āpadyeya Ō sādhu kho punas tvam āyuṣman, tvaṃ ca	upasaMkramitvA vikalpam ApadyeyaH Ō sADu KaH punar tvam Ayuzman, tvam ca
   bhagini, imehi pratyekacīvaracetāpanehi pratyekaṃ cīvaraṃ cetāpayitvā	Bagini, imehi pratyeka-cIvara-cetA-apanehi pratyekam cIvaram cetApayitvA
   itthaṃnāmaṃ bhikṣuṃ pratyekaṃ cīvareṇācchādetha evaṃrūpeṇa vā evaṃrūpeṇa	itTaMnAmam Bikzum pratyekam cIvareNa-AcCAdeTaH evaMrUpeNa vE evaMrUpeNa
   vā ubhau pi sahitau ekena kalyāṇakāmatām upādāya / abhiniṣpanne cīvare	vA uBO pi sahitO ekena kalyANa-kAma-tAm upAdAya / aBinizpanne cIvare
   nissargikapācattikaṃ /	nissargi-ka-pAcattikam /
   PrMoSū(Mā-L)NP.10. bhikṣuṃ kho punar uddiśya anyataro rājā vā rājabhogyo	PrMoSU(MA-L)N-P.10. Bikzum KaH punar uddiSya anyataraH rAjA vA rAja-BogyaH-
   vā dūtena cīvaracetāpanāni preṣeya / so bhikṣus tenopasaṃkramitvā taṃ	vA dUtena cIvara-cetApanAni prezeyaH / saH BikzuH tena-upasaMkramitvA tam
   bhikṣum evaṃ vadeya Ō imāni khalv āryam uddiśya itthaṃnāmena rājñā ca	Bikzum evam vadeyaH Ō imAni Kalu Aryam uddiSyaH itTaMnAmena rAjQA ca
   rājabhogyena vā dūtena cīvaracetāpanāni preṣitāni, tāni āryo pratigṛhṇātu	rAja-Bogyena vA dUtena cIvara-cetApanAni prezitAni, tAni AryaH pratigRhNAtu
   / tena bhikṣuṇā so dūto evam asya vacanīyo Ō na kho punar āyuṣman kṣamate	/ tena BikzuNA saH dUtaH evam asya vacanIyaH Ō na KaH punar Ayuzman kzamate
   bhikṣusya cīvaracetāpanāni pratigṛhṇituṃ / cīvaraṃ tu vayaṃ pratigṛhṇāmaḥ	Bikzusya cIvara-cetApanAni pratigRhNitum / cIvaram tu vayam pratigRhNAmaH
   kālena samayena kalpikaṃ dīyamānaṃ / evam ukte so dūto taṃ bhikṣum evaṃ	kAlena samayena kalpikam dIyamAnam / evam ukte saH dUtaH tam Bikzum evam
   vadeya [sa]nti punar ārya kecid bhikṣūṇāṃ vaiyāpṛtyakarāti / ākāṃkṣamāṇena	vadeyaH [sa]nti punar Arya kecid BikzUNAm vEyApRtya-karAti / Aka-aMkzamANena
   bhikṣuṇā santā vaiyāpṛtyakarā vyapadiśitavyāḥ ārāmikā vā / ete āyuṣman	BikzuNA santAH vEyApRtya-karAH vyapadiSitavyAH ArAmikAH vA / ete Ayuzman
   bhikṣūṇāṃ vaiyāpṛtyakarā ye bhikṣūṇāṃ vaiyāpṛtyaṃ karonti / evam ukte so	BikzUNAm vEyApRtya-karAH ye BikzUNAm vEyApRtyam karonti / evam ukte saH-
   dūto yena vaiyāpṛtyakarās tenopasaṃkramitvā tān vaiyāpṛtyakarān evaṃ	dUtaH yena vEyApRtya-karAH tena-upasaMkramitvA tAn vEyApRtya-karAn evam
   vadeya Ō sādhu kho puna yūyam āyuṣmanto vaiyāpṛtyakarā imehi	vadeyaH Ō sADu KaH puna yUyam AyuzmantaH vEyApRtya-karAH ima-ihi
   cīvaracetāpanehi cīvaraṃ cetāpayitvā itthaṃnāma bhikṣuṃ cīvareṇācchādetha	cIvara-cetApana-Ihi cIvaram cetApayitvA itTaMnAma Bikzum cIvareNa-AcCAdeTa
   kālena samayena kalpikenānavadyena / so ca dūto tān vaiyāpṛtyakarān	kAlena samayena kalpikena-anavadyena / saH ca dUtaH tAn vEyApRtya-karAn
   saṃjñapayitvā yena so bhikṣus tenopasaṃkramitvā na bhikṣum eva vadeya ye	saMjQapayitvA yena saH BikzuH tena-upasaMkramitvA na Bikzum eva vadeya ye
   khu te āryeṇa vaiyāpṛtyakarā vyapadiṣṭās te mayā saṃjñaptās tān	Ku te AryeNa vEyApRtya-karAH vyapadizwAH te mayA saMjQaptAH tAn
   upasaṃkrameyāmi / ācchādayiṣyanti te cīvareṇa kālena samayena	upasaMkrameyAmi / AcCAdayizyanti te cIvareNa kAlena samayena
   kalpikenānavadyena / ākāṃkṣamāṇena bhikṣuṇā cīvarārthikena [yena] te	kalpikena-anavadyena / Aka-aMkzamANena BikzuNA cIvara-arTikena [yena] te
   vaiyāpṛtyakarās tenopasaṃkramitvā te vaiyāpṛtyakarāḥ sakṛt* dvikkhutto	vEyApRtya-karAH tena-upasaMkramitvA te vEyApRtya-karAH sakRt* dviS-KuttaH-
   trikkhutto codayitavyā vijñāpayitavyāḥ Ō artho āyuṣmanto bhikṣusya	trikKuttaH codayitavyAH vijQApayitavyAH Ō arTaH AyuzmantaH Bikzusya
   cīvareṇeti / sakṛt* dvikkhutto trikkhutto codayanto vijñāpayanto taṃ	cIvareNa-iti / sakRt* dviS-KuttaH trikKuttaH codayantaH vijQApayantaH tam
   cīvaram abhiniṣpādeya ity etat kuśalaṃ, no ced abhiniṣpādeya catukkhutto	cIvaram aBinizpAdeya iti etat kuSalaM, no ced aBinizpAdeya catuc-KuttaH-
   pañcakhutto ṣaṭkhuttoparamaṃ tena bhikṣuṇā tūṣṇībhūtena uddeśe sthātavyaṃ	paQca-KuttaH zaz-Kutta-uparamam tena BikzuNA tUzNIBUtena uddeSe sTAtavyam
   / catukkhutto pañcakkhutto ṣaṭkkhuttoparamaṃ tūṣṇībhūto uddeśe tiṣṭhanto	/ catuc-KuttaH paQcakKuttaH zawk-Kutta-uparamam tUzNIBUtaH uddeSe tizWantaH-
   taṃ cīvaram abhiniṣpādeya, ity etat kuśalaṃ, no ced abhiniṣpādeya tad	tam cIvaram aBinizpAdeya, iti etat kuSalaM, no ced aBinizpAdeya tat-
   uttapanto vā vyāyamanto vā taṃ cīvaram abhiniṣpādeya, abhiniṣpanne cīvare	uttapantaH vA vyAyamantaH vA tam cIvaram aBinizpAdeya, aBinizpanne cIvare
   nissargikapācattikaṃ / no ced abhiniṣpādeya yena se tāni rājñā vā	nissargi-ka-pAcattikam / no ced aBinizpAdeya yena se tAni rAjQA vA
   rājabhogyena vā dūtena cīvaracetāpanāni preṣitāni tatra tena bhikṣuṇā	rAja-Bogyena vA dUtena cIvara-cetApanAni prezitAni tatra tena BikzuNA
   svayaṃ vā gantavyaṃ, dūto vā pratirūpo preṣayitavyo, yāni khu āyuṣmantehi	svayam vA gantavyan, dUtaH vA pratirUpaH prezayitavyo, yAni Ku Ayuzmantehi
   itthaṃnāmaṃ bhikṣum uddiśya dūtena cīvaracetāpanāni preṣitāni na khu tāni	itTaMnAmam Bikzum uddiSya dUtena cIvara-cetApanAni prezitAni na Ku tAni
   tasya bhikṣusya kiñcid arthaṃ spharanti, pratyanveṣatha, na svakaṃ dharmo	tasya Bikzusya kiQcid arTam sParanti, pratyanvezaTa, na svakam DarmaH-
   / vo vipraṇaśiṣyatīti iyam atra sāmīcī /	/ vaH vipraNaSizyati-iti iyam atra sAmIcI /
   // uddānaṃ //	// uddAnam //
   (1) daśāhaṃ (2) vipravāso (3) akāle ca (4) pratigraho (5) dhovanā (6)	(1) daSa-aham (2) vipravAsaH (3) akAle ca (4) pratigrahaH (5) DovanAH (6)
   yācanā caṃva / (7) sāntarottaraṃ (8-9) dve ca vikalpena (10) rājā ca //	yAcanA caMva / (7) sa-antara-uttaram (8-9) dve ca vikalpena (10) rAjA ca //
   prathamo vargaḥ //	praTamaH vargaH //
   PrMoSū(Mā-L)NP.11. yo puna bhikṣuḥ śuddhakālakānām eḍakalomānāṃ navaṃ	PrMoSU(MA-L)N-P.11. yaH puna BikzuH SudDa-kAlakAnAm exaka-lomAnAm navam
   santhataṃ kārāpeya nissargikapācattikaṃ /	sanTatam kArApeya nissargi-ka-pAcattikam /
   PrMoSū(Mā-L)NP.12. navaṃ santhataṃ bhikṣuṇā kārāpayamāṇena śuddhakālakānām	PrMoSU(MA-L)N-P.12. navam sanTatam BikzuNA kArApayamANena SudDa-kAlakAnAm
   eḍakalomānāṃ dve bhāgā ādayitavyās tṛtīyo odātikānāṃ caturtho gocarikāṇāṃ	exaka-lomAnAm dve BAgAH AdayitavyAH tRtIyaH odAtikAnAm caturTaH gocarikANAm
   / taduttarim ādiyeya nissargikapācattikaṃ /	/ tad-uttarim Adiyeya nissargi-ka-pAcattikam /
   PrMoSū(Mā-L)NP.13. yo puna bhikṣuḥ kauśeyamiśrāṇām eḍakalomānāṃ navaṃ	PrMoSU(MA-L)N-P.13. yaH puna BikzuH kOSeya-miSrANAm exaka-lomAnAm navam
   santhataṃ kārāpeya nissargikapācattikaṃ /	sanTatam kArApeya nissargi-ka-pAcattikam /
   PrMoSū(Mā-L)NP.14. navaṃ santhataṃ bhikṣuṇā kārāpayamāṇena akāmaṃ	PrMoSU(MA-L)N-P.14. navam sanTatam BikzuNA kArApayamANena akAmam
   ṣaḍvarṣāṇi dhārayitavyaṃ / tato ca bhikṣuḥ pratyoreṇa taṃ purāṇaṃ	zaz-varzANi DArayitavyam / tatas ca BikzuH pratyoreNa tam purANam
   santhataṃ visarjayitvā vā avisarjayitvā vā anyaṃ navaṃ santhataṃ kārāpeya	sanTatam visarjayitvA vA avisarjayitvA vA anyam navam sanTatam kArApeya
   kalyāṇakāmatām upādāya, anyatra namatasaṃmutīye nissargikapācattikaṃ /	kalyANa-kAma-tAm upAdAya, anyatra namata-saMmutIye nissargi-ka-pAcattikam /
   PrMoSū(Mā-L)NP.15. navaṃ santhataniṣīdanaṃ bhikṣuṇā kārāpayamāṇena tato	PrMoSU(MA-L)N-P.15. navam sanTata-nizIdanam BikzuNA kArApayamANena tatas-
   purāṇasanthatāto samantāt sugatavitastinā bhāgo ādayitavyo navasya	purANa-sanTa-tAtaH samantAt sugata-vitastinA BAgaH AdayitavyaH navasya
   durvaṇṇīkaraṇārthaṃ / tato ca bhikṣur anādāya navasanthataṃ niṣīdanaṃ	durvaNNIkaraNa-arTam / tatas ca BikzuH anAdAya nava-sanTatam nizIdanam
   kārāpeya nissargikapācattikaṃ /	kArApeya nissargi-ka-pAcattikam /
   PrMoSū(Mā-L)NP.16. bhikṣusya kho punar adhvānamārge pratipannasya	PrMoSU(MA-L)N-P.16. Bikzusya KaH punar aDvAna-mArge pratipannasya
   utpadyeṃsu e[ḍa]kalomāni / ākāṃkṣamāṇena bhikṣuṇā pratigṛhṇitavyaṃ /	utpadyeMsu e[xa]ka-lomAni / Aka-aMkzamANena BikzuNA pratigRhNitavyam /
   pratigṛhṇitvā sāmaṃ triyojanaparamaṃ hartavyam asante anyasmi[n] hārake	pratigRhNitvA sAmam tri-yojana-paramam hartavyam asante anyasmi[n] hArake
   taduttariṃ hāreya sante vā asante vā anyasmi[n] hārake,	tad-uttarim hAreya sante vE asante vE anyasmi[n] hArake,
   nissargikapācattikaṃ /	nissargi-ka-pAcattikam /
   PrMoSū(Mā-L)NP.17. yo puna bhikṣur anyātikāye bhikṣuṇīye eḍakalomādi	PrMoSU(MA-L)N-P.17. yaH puna BikzuH anyAtikAye BikzuNIye exaka-loma-Adi
   dhovāpeya vā raṃjāpe[ya] vā vivaṭāpaye vā, nissargikapācattikaṃ /	DovApeya vA raMjApe[ya] vA vivawa-apaye vA, nissargi-ka-pAcattikam /
   PrMoSū(Mā-L)NP.18. yo puna bhikṣuḥ svahastaṃ jātarūparajatam udgṛhṇeya vā	PrMoSU(MA-L)N-P.18. yaH puna BikzuH sva-hastam jAtarUpa-rajatam udgRhNeya vA
   udgṛhṇāpeya vā antamasato iha nikṣipehīti vā vadeya, upanikṣiptaṃ vā	udgRhNApeya vA antamasataH iha nikzipA-ihi-iti vA vadeya, upanikziptam vA
   sādiyeya nissargikapācattikaṃ /	sAdiyeya nissargi-ka-pAcattikam /
   PrMoSū(Mā-L)NP.19. yo puna bhikṣur anekavidhaṃ krayavikrayavyavahāraṃ	PrMoSU(MA-L)N-P.19. yaH puna BikzuH anekaviDam kraya-vikraya-vyavahAram
   samāpadyeya saṃyyathīdaṃ imaṃ kriṇa ito kriṇa ettakamettake[na krī]ṇāhīti	samApadyeya saMyyaTi-idam imam kriNaH itas kriNaH ettakam-ettake[na krI]NAhi-iti
   vā vadeya, nissargikapācattikaṃ /	vA vadeya, nissargi-ka-pAcattikam /
   PrMoSū(Mā-L)NP.20. yo puna bhikṣur anekavidhaṃ	PrMoSU(MA-L)N-P.20. yaH puna BikzuH anekaviDam
   jātarūparajatavikṛtivyavahāraṃ samāpadyeya nissargikapācattikam //	jAtarUpa-rajata-vikRti-vyavahAram samApadyeya nissargi-kapAcattikam //
   // uddānaṃ //	// uddAnam //
   (11) śuddhakālakānāṃ (12) dve bhāgā (13) kauśeyamiśra (14) ṣaḍvarṣāṇi (15)	(11) SudDa-kAlakAnAm (12) dve BAgAH (13) kOSeya-miSra (14) zaz-varzANi (15)
   niṣīdanaṃ (16) adhvānamārgo (17) vivaṭā vā (18) svahastaṃ (19)	nizIdanam (16) aDvAna-mArgaH (17) vivawAH vA (18) sva-hastam (19)
   krayavikraya (20) vikṛtivyavahāreṇa // dvitīyo vargaḥ //	kraya-vikrayaH (20) vikRti-vyavahAreNa // dvitIyaH vargaH //
   PrMoSū(Mā-L)NP.21. daśāhaparamaṃ bhikṣuṇā atirekapātraṃ dhārayitavyaṃ /	PrMoSU(MA-L)N-P.21. daSa-aha-paramam BikzuNA atireka-pAtram DArayitavyam /
   taduttariṃ dhāreya nissargikapācattikaṃ /	tad-uttarim DAreya nissargi-ka-pAcattikam /
   PrMoSū(Mā-L)NP.22. yo puna bhikṣu ūnapañcabandhanabaddhena pātreṇa anyaṃ	PrMoSU(MA-L)N-P.22. yaH puna Bikzu Una-paQca-banDana-badDena pAtreNa anyam
   navaṃ pātraṃ paryeṣeya kāmātām upādāya, tena bhikṣuṇā taṃ pātraṃ	navam pAtram paryezeya kAmAtAm upAdAya, tena BikzuNA tam pAtram
   bhikṣuparṣāye nissaritavyaṃ / yo tahi bhikṣuparṣāye pātraparyanto bhavati	Bikzu-parzAye nissaritavyam / yaH tahi Bikzu-parzAye pAtra-paryantaH Bavati
   so tasya bhikṣusya anupradātavyo Ō evaṃ te āyuṣman pātro dhārayitavyo	saH tasya Bikzusya anupradAtavyaH Ō evam te Ayuzman pAtraH DArayitavyaH-
   yāvad bhedanaṃ, nissargikapācattikaṃ /	yAvat Bedanan, nissargi-ka-pAcattikam /
   PrMoSū(Mā-L)NP.23. yāni kho punar imāni gilānapratiṣevaṇīyāni bhaiṣajyāni	PrMoSU(MA-L)N-P.23. yAni KaH punar imAni gilAna-pratizevaNIyAni BEzajyAni
   bhavanti sayyathīdaṃ sarpistailamadhuphāṇitaṃ Ō evaṃrūpāṇi gilānena	Bavanti sayyaTi-idam sarpiH-tEla-maDu-PANitam Ō evaMrUpANi gilAnena
   bhikṣuṇā satkṛtyābhigṛhītāni, kṣamate saptāhaṃ sannidhikāraṃ	BikzuNA satkRtya-aBigRhIta-ani, kzamate sapta-aham sanniDi-kAram
   paribhuñjituṃ, santaṃ śeṣaṃ nissaritavyaṃ tad uttaritavyaṃ / taduttariṃ	pariBuQjituM, santam Sezam nissaritavyam tat uttaritavyam / tad-uttariM
   khādeya vā bhuṃjeya vā santaṃ vā śeṣabhū[taṃ] nissareya	KAdeya vA BuMjeya vA santam vA Seza-BU[taM] nissareya
   nissargikapācattikaṃ /	nissargi-ka-pAcattikam /
   PrMoSū(Mā-L)NP.24. yo puna bhikṣu bhikṣusya cīvaraṃ datvā yathā duṣṭo	PrMoSU(MA-L)N-P.24. yaH puna Bikzu Bikzusya cIvaram datvA yaTA duzwaH-
   doṣāt kupito anāttamāno ācchindeya vā ācchindāpayeya vā Ō āhara bhikṣu	dozAt kupitaH anAttamAnaH AcCindeya vA AcCinda-apayeya vA Ō Ahara Bikzu
   cīvaraṃ, na te 'haṃ demīti vā vadeya, nissargikapācattikaṃ /	cIvaran, na te aham demi-iti vA vadeya, nissargi-ka-pAcattikam /
   PrMoSū(Mā-L)NP.25. māso śeṣo grīṣmāṇām iti bhikṣuṇā varṣāsāṭikācīvaraṃ	PrMoSU(MA-L)N-P.25. mAsaH SezaH grIzmANAm iti BikzuNA varzA-sAwikA-cIvaram
   paryeṣitavyaṃ / ardhamāso avaśiṣṭo ti kṛtvā snapitavyam / tato ca bhikṣuḥ	paryezitavyam / arDa-mAsaH avaSizwaH ti kRtvA snapitavyam / tatas ca BikzuH
   pra[tyo]reṇa varṣāsāṭikācīvaraṃ paryeṣeya, kṛtvā vā snāpeya,	pra[tyo]reNa varzA-sAwikA-cIvaram paryezeya, kRtvA vA snApeya,
   nissargikapācattikaṃ /	nissargi-ka-pAcattikam /
   PrMoSū(Mā-L)NP.26. yo puna bhikṣuḥ svayaṃyācikāya sūtraṃ tantuvāyena	PrMoSU(MA-L)N-P.26. yaH puna BikzuH svayaMyAcikAya sUtram tantuvAyena
   cīvaraṃ vunāpeya nissargikapācattikaṃ /	cIvaram vunApeya nissargi-ka-pAcattikam /
   PrMoSū(Mā-L)NP.27. bhikṣuṃ kho punar uddiśya anyataro gṛhapatir vā	PrMoSU(MA-L)N-P.27. Bikzum KaH punar uddiSya anyataraH gRhapatiH vA
   gṛhapatiputro vā tantuvāyena cīvaraṃ vunāpeya, tena ca bhikṣuḥ pūrvaṃ	gRhapati-putraH vA tantuvAyena cIvaram vunA-apeya, tena ca BikzuH pUrvam
   apravārito upasaṃkramitvā vikalpam āpadyeya Ō sādhu kho punas tvam	apravAritaH upasaMkramitvA vikalpam ApadyeyaH Ō sADu KaH punar tvam
   āyuṣmann imaṃ cīvaram āyataṃ ca karohi, vistṛtaṃ ca karohi, suvutaṃ ca	Ayuzman imam cIvaram Ayatam ca karohi, vistRtam ca karohi, su-vutam ca
   karohi, sutacchitaṃ ca karohi, suvilikhitaṃ ca karohi / apy eva nāma vayaṃ	karohi, suta=-Citam ca karohi, su-viliKitam ca karohi / api eva nAma vayam
   pi tava kiñcid eva mātrām upasaṃharema, māṣakaṃ vā māṣakārhaṃ vā	pi tava kiQcid eva mAtrAm upasaMhara-ima, mAzakam vA mAzaka-arham vA
   piṇḍapātaṃ vā piṇḍapātārhaṃ vā / tatra ca so bhikṣur evaṃ vaditvā na	piNxa-pAtam vA piNxa-pAta-arham vA / tatra ca saH BikzuH evam vaditvA na
