   alātaśāntiprakaraṇa	alAta-SAnti-prakaraNa
   vitathaiḥ sadṛśāḥ santo 'vitathā iva lakṣitāḥ // MandUpK_4.31 //	vitaTEH sadRSAH santaH avitaTAH iva lakzitAH // Mandu-upK_4.31 //
   saprayojanatā teṣāṃ svapne vipratipadyate /	sa-prayojana-tA tezAm svapne vipratipadyate /
   tasmād ādyantavattvena mithyaiva khalu te smṛtāḥ // MandUpK_4.32 //	tasmAt Adi-antavat-tvena miTyA-eva Kalu te smRtAH // Mandu-upK_4.32 //
   MandUpKC_4.31-32	Mandu-upKC_4.31-32
   vaitathye kṛtavyākhyānau ślokāviha saṃsāramokṣābhāvaprasaṅgena paṭhitau	vEtaTye kRta-vyAKyAnO SlokO=-iha saMsAra-mokza-aBAva-prasaFgena paWitO
   START MandUpK 4.33	START Mandu-upK 4.33
   sarve dharmā mṛṣā svapne kāyasyāntanidarśanāt /	sarve DarmAH mRzA svapne kAyasya-anta-nidarSanAt /
   saṃvṛtte 'smin pradeśe vai bhūtānāṃ darśanaṃ kutaḥ // MandUpK_4.33 //	saMvRtte asmin pradeSe vE BUtAnAm darSanam kutas // Mandu-upK_4.33 //
   MandUpKC_4.33	Mandu-upKC_4.33
   nimittasyānimittatvamiṣyate bhūtadarśanādityayamarthaḥ prapañcyata etaiḥ	nimittasya-animitta-tvam-izyate BUta-darSanAt-iti-ayam-arTaH prapaQcI-ate etEH
   ślokaiḥ //33//	SlokEH //33//
   START MandUpK 4.34	START Mandu-upK 4.34
   na yuktaṃ darśanaṃ gatvā kālasyāniyamād gatau /	na yuktam darSanam gatvA kAlasya-aniyamAt gatO /
   pratibuddhaś ca vai sarvas tasmin deśe na vidyate // MandUpK_4.34 //	pratibudDaH ca vE sarvaH tasmin deSe na vidyate // Mandu-upK_4.34 //
   MandUpKC_4.34	Mandu-upKC_4.34
   jāgarite gatyāgamanakālo niyato deśaḥ pramāṇato yastasyā	jAgarite gati-Agamana-kAlaH niyataH deSaH pramANataH yaH-tasyAH-
   niyamānniyamasyābhāvātsvapne na deśāntarāgamanamityarthaḥ //34//	niyamAn-niyamasya-aBAvAt-svapne na deSa-antara-Agamanam-iti-arTaH //34//
   START MandUpK 4.35	START Mandu-upK 4.35
   mitrādyaiḥ saha saṃmantrya saṃbuddhau na prapadyate /	mitra-AdyEH saha saMmantrya saMbudDO na prapadyate /
   gṛhītaṃ cāpi yat kiñcit pratibuddho na paśyati // MandUpK_4.35 //	gRhItam ca-api yat kiQcid pratibudDaH na paSyati // Mandu-upK_4.35 //
   MandUpKC_4.35	Mandu-upKC_4.35
   mitrādyaiḥ saha saṃmantrya tadeva mantraṇaṃ pratibuddhau na prapadyate /	mitra-AdyEH saha saMmantrya tat-eva mantraNam pratibudDO na prapadyate /
   gṛhītaṃ ca yatkiñciddhiraṇyādi na prāpnoti /	gRhItam ca yat-kiQcid-hiraNya-Adi na prApnoti /
   ataśca na deśāntaraṃ gacchanti svapne //35//	atas-ca na deSa-antaram gacCanti svapne //35//
   START MandUpK 4.36	START Mandu-upK 4.36
   svapne cāvastukaḥ kāyaḥ pṛthag anyasya darśanāt /	svapne ca-avastukaH kAyaH pRTak anyasya darSanAt /
   yathā kāyas tathā sarvaṃ cittadṛśyam avastukam // MandUpK_4.36 //	yaTA kAyaH taTA sarvam citta-dRSyam avastukam // Mandu-upK_4.36 //
   MandUpKC_4.36	Mandu-upKC_4.36
   svapne cāṭandṛśyate yaḥ kāyaḥ sa avastukastato 'nyasya svāpadeśastasya	svapne ca-AwandRSyate yaH kAyaH sa avastukaH-tatas anyasya sva-apadeSaH-tasya
   pṛthakkāyāntarasya darśanāt /	pRTak-kAya-antarasya darSanAt /
   yathā svapnadṛśyaḥ kāyo 'saṃstathā sarvaṃ cittadṛśyamavastukaṃ jāgarite	yaTA svapna-dRSyaH kAyaH asan=-taTA sarvam citta-dRSyam-avastukam jAgarite
   'pi cittadṛśyatvādityarthaḥ /	api citta-dRSya-tvAt-iti-arTaH /
   svapnasamatvādasajjāgaritamapīti prakaraṇārthaḥ //36//	svapna-sama-tvAt-asat-jAgaritam-api-iti prakaraNa-arTaH //36//
   START MandUpK 4.37	START Mandu-upK 4.37
   itaścāsatvaṃ jāgradvastunaḥ-	itas-ca-asatvam jAgrat-vastunaH-
   grahaṇāj jāgaritavat taddhetuḥ svapna iṣyate /	grahaNAt jAgarita-vat tad-hetuH svapnaH izyate /
   tad dhetutvāt tu tasyaiva sajjāgaritam iṣyate // MandUpK_4.37 //	tat Detu-tvAt tu tasya-eva sat-jAgaritam izyate // Mandu-upK_4.37 //
   MandUpKC_4.37	Mandu-upKC_4.37
   jāgaritavajjāgaritasye7va grahaṇādgrāhyagrāhakarūpeṇāsvapnasya	jAgarita-vat-jAgaritasya-i7va grahaNAt-grAhya-grAhaka-rUpeNa-asvapnasya
   tajjāgaritaṃ heturasya svapnasya sa svapnastaddhetujāgaritakāryamiṣyate /	tat-jAgaritam hetuH-asya svapnasya sa svapnaH-tad-hetu-jAgarita-kAryam-izyate /
   taddhetutvājjāgaritakāryatvāttasyaiva svapnadṛśya eva sajjāgaritaṃ na	tad-hetu-tvAt-jAgarita-kArya-tvAt-tasya-eva svapna-dRSyaH eva sat-jAgaritam na
   tvanyeṣām /	tu-anyezAm /
   yathā svapna ityabhiprāyaḥ /	yaTA svapnaH iti-aBiprAyaH /
   yathā svapnaḥ svapnadṛśya eva sansādhāraṇavidyamānavastuvadavabhāsate	yaTA svapnaH svapna-dRSyaH eva san-sADAraNa-vidyamAna-vastu-vat-avaBAsate
   tathā tatkāraṇatvātsādhāraṇavidyamānavastuvadavabhāsamānaṃ na tu	taTA tad-kAraNa-tvAt-sADAraNa-vidyamAna-vastu-vat-avaBAsamAnam na tu
   sādhāraṇaṃ vidyamānavastu svapnavadevetyabhiprāyaḥ //37//	sADAraNam vidyamAna-vastu svapna-vat-eva-iti-aBiprAyaH //37//
   START MandUpK 4.38	START Mandu-upK 4.38
   nanu svapnakāraṇatve 'pi jāgaritavastuno na svapnavadavastutvam /	nanu svapna-kAraNa-tve api jAgarita-vastunaH na svapna-vat-avastu-tvam /
   atyantacalo hi svapno jāgaritaṃ tu sthiraṃ lakṣyate /	atyanta-calaH hi svapnaH jAgaritam tu sTiram lakzyate /
   satyamevamavivekināṃ syāt /	satyam-evam-avivekinAm syAt /
   vivekināṃ tu na kasyacidvastuna utpādaḥ prasiddhe 'taḥ-	vivekinAm tu na kasyacid-vastunaH utpAdaH prasidDe atas--
   utpādasyāprasiddhatvād ajaṃ sarvam udāhṛtam /	utpAdasya-aprasidDa-tvAt ajam sarvam udAhRtam /
   na ca bhūtād abhūtasya saṃbhavo 'sti kathañcana // MandUpK_4.38 //	na ca BUtAt aBUtasya saMBavaH asti kaTaQcana // Mandu-upK_4.38 //
   MandUpKC_4.38	Mandu-upKC_4.38
   aprasiddhatvādutpādasyātmaiva sarvamityajaṃ sarvamudāhṛtaṃ	aprasidDa-tvAt-utpAdasya-AtmA-eva sarvam-iti-ajam sarvam-udAhRtam
   vedānteṣu"sabāhyābhyantaro hyajaḥ"(mu.u.2 / 1 / 2) iti /	vedAnta-izu"sa-bAhya-aByantaraH hi-ajaH"(mu.u.2 / 1 / 2) iti /
   yadyapi manyase jāgaritāstato 'satsvapno jāyata iti tadasat /	yadi-api manyase jAgaritAH-tatas asat-svapnaH jAyate iti tat-asat /
   na bhūtādvidyamānāda bhūtasyāsataḥ sambhavo 'sti loke /	na BUtAt-vidyamAnAda BUtasya-asataH samBavaH asti loke /
   na hyasataḥ śaśaviṣāṇādeḥ sambhavo dṛṣṭaḥ kathañcidapi //38//	na hi-asataH SaSavizANa-AdeH samBavaH dRzwaH kaTaQcid-api //38//
   START MandUpK 4.39	START Mandu-upK 4.39
   nanūktaṃ tvayaiva svapno jāgaritakāryamiti tatkathamutpādo 'prasiddha	nanu-uktam tvayA-eva svapnaH jAgarita-kAryam-iti tat-kaTam-utpAdaH aprasidDa
   ityucyate?	iti-ucyate?
   śṛṇu tatra yathā kāryakāraṇabhāvo 'smābhirabhipreta iti-	SRNu tatra yaTA kArya-kAraNa-BAvaH asmABiH-aBipretaH iti-
   asaj jāgarite dṛṣṭvā svapne paśyati tanmayaḥ /	asat jAgarite dRzwvA svapne paSyati tad-mayaH /
   asatsvapne 'pi dṛṣṭvā ca pratibuddhau na paśyati // MandUpK_4.39 //	asat-svapne api dRzwvA ca pratibudDO na paSyati // Mandu-upK_4.39 //
   MandUpKC_4.39	Mandu-upKC_4.39
   asadavidyamānaṃ rajjusarpadvikalpitaṃ vastu jāgarite dṛṣṭvā	asat-avidyamAnam rajju-sarpa-dvi-kalpitam vastu jAgarite dRzwvA
   tadbhāvabhāvitastanmayaḥ svapne 'pi jāgaritavadgrāhyagrāhakarūpeṇa	tad-BAva-BAvitaH-tad-mayaH svapne api jAgarita-vat-grAhya-grAhaka-rUpeNa
   vikalpayanpaśyati /	vikalpayan-paSyati /
   tathāsatsvapne 'pi dṛṣṭvā ca pratibuddhau na paśyatyavikalpayan /	taTA-asat-svapne api dRzwvA ca pratibudDO na paSyati-avikalpayan /
   ca śabdāttathā jāgarite 'pi dṛṣṭvā svapne na paśyati kadācidityarthaḥ /	ca SabdAt-taTA jAgarite api dRzwvA svapne na paSyati kadAcid-iti-arTaH /
   tasmājjāgaritaṃ svapnaheturucyate na tu paramārthasaditi kṛtvā //39//	tasmAt-jAgaritam svapna-hetuH-ucyate na tu parama-arTa-sat-iti kRtvA //39//
   START MandUpK 4.40	START Mandu-upK 4.40
   paramārthatastu na kasyacitkenacidapi prakāreṇa kāryakāraṇabhāva	paramArTataH-tu na kasyacid-kenacid-api prakAreNa kArya-kAraNa-BAva
   upapadyate katham?-	upapadyate kaTam?-
   nāsty asaddhetukam asat sadasaddhetukaṃ tathā /	na-asti asat-hetukam asat sat-asat-hetukam taTA /
   sac ca saddhetukaṃ nāsti saddhetukam asat kutaḥ // MandUpK_4.40 //	sat ca sat-hetukam na-asti sat-hetukam asat kutas // Mandu-upK_4.40 //
   MandUpKC_4.40	Mandu-upKC_4.40
   nāstyasaddhetukamasacchaśaviṣāṇādi hetuḥ kāraṇaṃ yasyāsata eva	na-asti-asat-hetu-kama-sat-SaSavizANa-Adi hetuH kAraNam yasya-asataH eva
   svakusumādestadasaddhatukamasanna vidyate /	sva-kusuma-AdeH-tat-asat-hatukam-asat-na vidyate /
   tathā sadapi ghaṭādivastv asaddhetukaṃ śaśaviṣāṇādikāryaṃ nāsti /	taTA sat-api Gawa-Adi-vastu asat-hetukam SaSa-vizANa-Adi-kAryam na-asti /
   tathā sacca vidyamānaṃ ghaṭādi vidyamānaghaṭādivastvantarakāryaṃ nāsti /	taTA sat-ca vidyamAnam Gawa-Adi vidyamAna-Gawa-Adi-vastu-antara-kAryam na-asti /
   satkāryamasatkuta eva sambhavati? na cānyaḥ kāryakāraṇabhāvaḥ sambhavati	satkAryam-asat-kutas eva samBavati? na ca-anyaH kArya-kAraNa-BAvaH samBavati
   śakyo vā kalpayitum? ato vivekināmasiddha eva kāryakāraṇabhāvaḥ kasya	SakyaH vA kalpayitum? atas vivekinAm-asidDaH eva kArya-kAraNa-BAvaH kasya
   cidityabhiprāyaḥ //40//	cit-iti-aBiprAyaH //40//
   START MandUpK 4.41	START Mandu-upK 4.41
   punarapi jāgratsvapnayorasatorapi kāryakāraṇabhāvāśaṅkāmapanayann āha-	punar-api jAgrat-svapnayoH-asatoH-api kArya-kAraNa-BAva-ASaFkAm-apanayan Aha-
   viparyāsād yathā jāgrad acintyān bhūtavat spṛśet /	viparyAsAt yaTA jAgrat acintyAn BUta-vat spRSet /
   tathā svapne viparyāsād dharmāṃs tatraiva paśyati // MandUpK_4.41 //	taTA svapne viparyAsAt DarmAn tatra-eva paSyati // Mandu-upK_4.41 //
   MandUpKC_4.41	Mandu-upKC_4.41
   viparyāsādavivekato yathā jāgrajjāgarite 'cintyānbhāvānaśakyacintanīyān	viparyAsAt-avivekatas yaTA jAgrat-jAgarite acintyAn-BAva-an-aSakya-cintanIyAn
   rajjusarpādīn bhūtavatparamārthavatspṛśanniva vikalpayedityarthaḥ	rajju-sarpa-AdIn BUta-vat-parama-arTa-vat-spRSan=-iva vikalpayet-iti-arTaH
   kaścidyathā, tathā svapne viparyāsāddhastyādīndharmān paśyanniva	kaScid-yaTA, taTA svapne viparyAsAt-hastya-AdIn-DarmAn paSyan=-iva
   vikalpayati; tatraiva paśyati na tu jāgaritādutpadyamānānityarthaḥ //41//	vikalpayati; tatra-eva paSyati na tu jAgaritAt-utpadyamAnAn-iti-arTaH //41//
   START MandUpK 4.42	START Mandu-upK 4.42
   upalambhāt samācārād asti vastutvavādinām /	upalamBAt samAcArAt asti vastu-tva-vAdinAm /
   jātis tu deśitā buddhair ajātes trasatāṃ sadā // MandUpK_4.42 //	jAtiH tu deSitAH budDEH ajAteH trasatAm sadA // Mandu-upK_4.42 //
   MandUpKC_4.42	Mandu-upKC_4.42
   yāpi buddhairadvaitavādibhirjātirdeśitopadiṣṭā, upalambhanam	yA-api budDEH-advEta-vAdiBiH-jAtiH-deSita-upadizwA, upalamBanam
   upalambhastasmādupalabdherityarthaḥ,	upalamBaH-tasmAt-upalabDeH-iti-arTaH,
   samācārādvarṇāśramādidharmasamācaraṇāt, tābhyāṃ	samAcArAt-varNa-ASrama-Adi-Darma-samAcaraNa-at, tAByAm
   hetubhyāmastivastutvavādinām asti vastubhūva ityevaṃ vadanaśīlānāṃ	hetuByAm-astivastutva-vAdinAm asti vastu-BUvaH iti-evam vadana-SIlAnAm
   dṛḍhāgrahavatāṃ śraddadhānānāṃ mandavivekināmanarthepāyatvena sā deśitā	dRXa-agrahavatAm SraddaDAnAnAm manda-vivekinAm-anarTepAya-tvena sA deSitA
   jātiḥ /	jAtiH /
   tāṃ gṛhṇantu tāvat /	tAm gRhNantu tAvat /
   vedāntābhyāsināṃ tu svayamevājādvayātmaviṣayo viveko bhaviṣyatīti na tu	vedAnta-aByAsinAm tu svayam-eva-ajAH-dvaya-Atma-vizayaH vivekaH Bavizyati-iti na tu
   paramārthabuddhyā /	parama-arTa-budDyA /
   te hi śrotriyāḥ sthūlabuddhitvādajāter ajātivastunaḥ sadā	te hi SrotriyAH sTUla-budDi-tvAt-ajAteH ajAti-vastunaH sadA
   trasyantyātmanāśaṃ manyamānā avivekina ityarthaḥ /	trasyanti-Atma-nASam manyamAnAH avivekinaH iti-arTaH /
   upāyaḥ sa avatārāyetyuktam //42//	upAyaH sa avatArAya-iti-uktam //42//
   START MandUpK 4.43	START Mandu-upK 4.43
   ajātes trasatāṃ teṣām upalambhād viyanti ye /	ajAteH trasatAm tezAm upalamBAt viyanti ye /
   jātidoṣā na setsyanti doṣo 'py alpo bhaviṣyati // MandUpK_4.43 //	jAti-dozAH na setsyanti dozaH api alpaH Bavizyati // Mandu-upK_4.43 //
   MandUpKC_4.43	Mandu-upKC_4.43
   ye caivamupalambhātsamācarāccājāterajātivastunastrasanto	ye ca-evam-upalamBAt-samAcarAt-ca-ajAteH-ajAti-vastunaH-trasantaH-
   'stivastvityadvayādātmano viyanti viruddhaṃ yanti dvaitaṃ pratipadyanta	astivaH-tu-iti-advayAt-AtmanaH viyanti virudDam yanti dvEtam pratipadyanta
   ityarthaḥ /	iti-arTaH /
   teṣāmajātestrasatāṃ śraddhadhānānāṃ sanmārgāvalambināṃ jātidoṣā	tezAm-ajAteH-tra-satAm SradDa-DAnAnAm sat-mArga-avalambinAm jAti-dozA
   jātyupalambhakṛtā doṣā na setsyanti siddhiṃ nopayāsyanti,	jAti-upalamBa-kRtAH dozAH na setsyanti sidDim na-upayAsyanti,
   vivekamārgapravṛttatvāt /	viveka-mArga-pravRtta-tvAt /
   yadyapi kaściddoṣaḥ syātso 'pyalpa eva bhaviṣyati /	yadi-api kaScid-dozaH syAt-saH api-alpaH eva Bavizyati /
   samyagdarśanāpratipattihetuka ityarthaḥ //43//	samyak-darSana-apratipatti-hetukaH iti-arTaH //43//
   START MandUpK 4.44	START Mandu-upK 4.44
   nanūpalambhasamācārayoḥ pramāṇatvādastyeva dvaitaṃ vastviti, na;	nanu-upalamBa-samAcArayoH pramANa-tvAt-asti-eva dvEtam vastu-iti, na;
   upalambhasamācārayorvyabhicārāt /	upalamBa-samAcArayoH-vyaBicArAt /
   kathaṃ vyabhicāra ityucyate-	kaTam vyaBicAraH iti-ucyate-
   upalambhāt samācārān māyāhastī yathocyate /	upalamBAt samAcArAt mAyA-hastI yaTA-ucyate /
   upalambhāt samācārād asti vastu tathocyate // MandUpK_4.44 //	upalamBAt samAcArAt asti vastu taTA-ucyate // Mandu-upK_4.44 //
   MandUpKC_4.44	Mandu-upKC_4.44
   upalabhyate hi māyāhastī hastīva hastinamivātra samācaranti,	upalaByate hi mAyA-hastI hastI-iva hastinam-iva-atra samAcaranti,
   bandhanārohaṇādihāstisambandhibhirdharmairhastīti cocyate 'sannapi yathā	banDana-ArohaNAt-iha-asti-sambanDiBiH-DarmEH-hastI-iti ca-ucyate asan=-api yaTA
   tathaivopalambhātsamācārāddvaitaṃ bhedarūpamasti vastvityucyate /	taTA-eva-upalamBAt-samAcArAt-dvEtam Beda-rUpam-asti vastu-iti-ucyate /
   tasmānnopalambhasamācārau dvaitavastusadbhāve hetu bhavata ityabhiprāyaḥ	tasmAt-na-upalamBa-samAcArO dvEta-vastu-sadBAve hetu BavataH iti-aBiprAyaH
   START MandUpK 4.45	START Mandu-upK 4.45
   kiṃ punaḥ paramārthasadvastu yadāspadā jātyāhyasadbuddhaya ityāha-	kim punar parama-arTa-sat-vastu yat-AspadAH jAtyAhya-sat-budDayaH iti-Aha-
   jātyābhāsaṃ calābhāsaṃ vastvābhāsaṃ tathaiva ca /	jAti-ABAsam cala-ABAsam vastu-ABAsam taTA-eva ca /
   ajācalam avastutvaṃ vijñānaṃ śāntam advayam // MandUpK_4.45 //	ajAcalam avastu-tvam vijQAnam SAntam advayam // Mandu-upK_4.45 //
   MandUpKC_4.45	Mandu-upKC_4.45
   ajāti sajjātivadavabhāsata iti jātyābhāsam /	ajAti sat-jAti-vat-avaBAsate iti jAti-ABAsam /
   tadyathā devadatto jāyata iti /	tat-yaTA devadattaH jAyate iti /
   calābhāsaṃ calamivābhāsata iti /	cala-ABAsam calam-iva-ABAsate iti /
   yathā sa eva devadatto gacchatīti /	yaTA saH eva devadattaH gacCati-iti /
   vastvābhāsaṃ vastu dravyaṃ dharmi tadvadavabhāsata iti vastvābhāsam /	vastu-ABAsam vastu dravyam Darmi tadvat-avaBAsate iti vastu-ABAsam /
   yathā sa eva devadatto gauro dīrgha iti jāyate devadattaḥ spandate dīrgho	yaTA saH eva devadattaH gOraH dIrGaH iti jAyate devadattaH spandate dIrGaH-
   gaura ityevamavabhāsate /	gOraH iti-evam-avaBAsate /
   paramārthatastvajamacalamavastutvamadravyaṃ ca kiṃ tadevaṃprakāram?	paramArTataH-tu-ajam-acalam-avastu-tvam-adravyam ca kim tat-evaMprakAram?
   vijñānaṃ vijñaptiḥ /	vijQAnam vijQaptiH /
   jātyādirahitatvācchāntam /	jAti-Adi-rahita-tvAt-SAntam /
   ata evādvayaṃ ca tadittarthaḥ //45//	atas eva-advayam ca tat-ittarTaH //45//
   START MandUpK 4.46	START Mandu-upK 4.46
   evaṃ na jāyate cittam evaṃ dharmā ajāḥ smṛtāḥ /	evam na jAyate cittam evam DarmAH ajAH smRtAH /
   evam eva vijānanto na patanti viparyaye // MandUpK_4.46 //	evam eva vijAnantaH na patanti viparyaye // Mandu-upK_4.46 //
   MandUpKC_4.46	Mandu-upKC_4.46
   evaṃ yathoktebhyo hetubhyo na jāyate cittamevaṃ dharmā ātmano 'jāḥ smṛtā	evam yaTA-ukteByaH hetuByaH na jAyate cittam-evam DarmAH AtmanaH ajAH smRtA
   brahmavidbhiḥ /	brahma-vidBiH /
   dharmā iti bahuvacanaṃ dehabhedānuvidhāyitvādadvayasyaivopacārataḥ /	DarmAH iti bahuvacanam deha-Beda-anuviDAyi-tvAt-advayasya-eva-upacArataH /
   evameva yathoktaṃ vijñānaṃ jātyādirahitamadvayamātmatattvaṃ	evam-eva yaToktam vijQAnam jAti-Adi-rahitam-advayam-Atma-tattvam
   vijānantastyaktabāhyaiṣaṇāḥ punarnapatantyavidyādhvāntasāgare viparyaye /	vijAnantaH-tyakta-bAhya-ezaNAH punar-napatanti-avidyA-Dva-anta-sAgare viparyaye /
   "tatra ko mohaḥ kaḥ śoka ekatvamanupaśyataḥ" (ī.u.7) ityādi mantravarṇāt	"tatra kaH mohaH kaH SokaH eka-tvam-anupaSyataH" (I.u.7) ityAdi mantra-varNAt-
   START MandUpK 4.47	START Mandu-upK 4.47
   yathoktaṃ paramārthadarśanaṃ prapañcayiṣyannāha-	yaTA-uktam parama-arTa-darSanam prapaQcayizyan=-Aha-
   ṛjuvakrādikābhāsam alātaspanditaṃ yathā /	Rju-vakra-Adika-ABAsam alAta-spanditam yaTA /
   grahaṇagrāhakābhāsaṃ vijñānaspanditaṃ tathā // MandUpK_4.47 //	grahaNa-grAhaka-ABAsam vijQAna-spanditam taTA // Mandu-upK_4.47 //
   MandUpKC_4.47	Mandu-upKC_4.47
   yathā hi loka ṛjuvakrādiprakārābhāsamalātaspanditamulkācalanaṃ tathā	yaTA hi lokaH Rju-vakra-Adi-prakAra-ABAsam-alAta-spanditam-ulkA-calanam taTA
   grahaṇagrāhakābhāsaṃ viṣayiviṣayābhāsamityarthaḥ /	grahaNa-grAhaka-ABAsam vizayi-vizaya-ABAsam-iti-arTaH /
   kiṃ tadvijñānaspanditam /	kim tad-vijQAna-spanditam /
   spanditamiva spanditamavidyayā /	spanditam-iva spanditam-avidyayA /
   na hyacasya vijñānasya spandanamasti /	na hi-acasya vijQAnasya spandanam-asti /
   ajācalamiti hyuktam //47//	ajAcalam-iti hi-uktam //47//
   START MandUpK 4.48	START Mandu-upK 4.48
   aspandamānam alātam anābhāsam ajaṃ yathā /	aspandamAnam alAtam anABAsam ajam yaTA /
   aspandamānaṃ vijñānam anābhāsam ajaṃ tathā // MandUpK_4.48 //	aspandamAnam vijQAnam anABAsam ajam taTA // Mandu-upK_4.48 //
   MandUpKC_4.48	Mandu-upKC_4.48
   aspandamānaṃ spandanavarjitaṃ	aspandamAnam spandana-varjitam
   tadevālātamṛjvādyākāreṇājāyamānamanābhāsamajaṃ yathā; tathāvidyayā	tat-eva-alAta-mRju-Adya-AkAreNa-ajAyamAnam-anABA-sam-ajam yaTA; taTA-avidyayA
   spandamānamavidyoparame 'spandamānaṃ jātyādyākāreṇānābhāsamajamacalaṃ	spandamAnam-avidyA-uparame aspandamAnam jAti-Adi-AkAreNa-anABAsam-ajam-acalam
   bhaviṣyitītyarthaḥ //48//	Bavizyiti-iti-arTaH //48//
   START MandUpK 4.49	START Mandu-upK 4.49
   kiṃ ca-	kim ca-
   alāte spandamāne vai nābhāsā anyato bhuvaḥ /	alAte spandamAne vE na-ABAsA anyatas BuvaH /
   na tato 'nyatra nispandān nālātaṃ praviśanti te // MandUpK_4.49 //	na tatas anyatra nispandAn na-alAtam praviSanti te // Mandu-upK_4.49 //
   MandUpKC_4.49	Mandu-upKC_4.49
   tasminnevālāte spandamāna ṛjuvakrādyābhāsā alātādanyataḥ	tasmin=-eva-alAte spandamAnaH Rju-vakra-Adi-ABAsAH alAtAt-anyatas-
   kutaścidāgatyālāte naiva bhavantī7ti nānyatobhuvaḥ /	kutaScid-Agatya-alAte na-eva Bavanti-i7ti na-anyatas-BuvaH /
   na ca tasmānnispandādalātādanyatra nirgatāḥ /	na ca tasmAt-nispandAt-alAtAt-anyatra nirgatAH /
   na ca nispandamalātameva praviśanti te //49//	na ca nispandam-alAtam-eva praviSanti te //49//
   START MandUpK 4.50	START Mandu-upK 4.50
   kiṃ ca-	kim ca-
   na nirgatā alātāt te dravyatvābhāvayogataḥ /	na nirgatA alAtAt te dravya-tva-aBAva-yogataH /
   vijñāne 'pi tathaiva syur ābhāsasyāviśeṣataḥ // MandUpK_4.50 //	vijQAne api taTA-eva syuH ABAsasya-aviSezataH // Mandu-upK_4.50 //
   MandUpKC_4.50	Mandu-upKC_4.50
   na nirgatā alātātta ābhāsā gṛhādivaddravyatvābhāvayogato dravyasyabhāvo	na nirgatA alAtAt-te ABAsA gRha-Adi-vat-dravya-tva-aBAva-yogataH dravyasyaBAvaH-
   dravyatvam, tadabhāvo dravyatvābhāvaḥ, dravyatvābhāvayogato	dravya-tvam, tad-aBAvaH dravya-tva-aBAvaH, dravya-tva-aBAva-yogataH-
   dravyatvābhāvayuktairvastutvābhāvādityarthaḥ, vastuno hi praveśādi	dravya-tva-aBAva-yuktEH-vastutva-aBAvAt-iti-arTaH, vastunaH hi praveSa-Adi
   sambhavati nāvastunaḥ /	samBavati na-avastunaH /
   vijñāno 'pi jātyādyābhāsāstathaiva syurābhāsasyāviśeṣatastulyatvāt //50//	vijQAnaH api jAti-Adi-ABAsAH-taTA-eva syuH-ABAsasya-aviSezataH-tulya-tvAt //50//
   START MandUpK 4.51-52	START Mandu-upK 4.51-52
   kathaṃ tulyatvamityāha-	kaTam tulya-tvam-iti-Aha-
   vijñāne spandamāne vai nābhāsā anyatobhuvaḥ /	vijQAne spandamAne vE na-ABAsA anyatas-BuvaH /
   na tato 'nyatra nispandān na vijñānaṃ viśanti te // MandUpK_4.51 //	na tatas anyatra nispandAt na vijQAnam viSanti te // Mandu-upK_4.51 //
   na nirgatās te vijñānād dravyatvābhāvayogataḥ /	na nirgatAH te vijQAnAt dravya-tva-aBAva-yogataH /
   kāryakāraṇatābhāvād yato 'cintyāḥ sadaiva te // MandUpK_4.52 //	kArya-kAraNa-tA-BAvAt yatas acintyAH sadA-eva te // Mandu-upK_4.52 //
   MandUpKC_4.51-52	Mandu-upKC_4.51-52
   alātena samānaṃ sarvaṃ vijñānasya /	alAtena samAnam sarvam vijQAnasya /
   sadācalatvaṃ tu vijñānasya viśeṣaḥ /	sadA-acala-tvam tu vijQAnasya viSezaH /
   jātyādyābhāsa vijñāne 'cale kiṅkṛtā ityāha /	jAti-Adi-ABAsa vijQAne acale kiFkRtAH iti-Aha /
   kāryakāraṇatābhāvājjanyajanakatvānupapatterabhāvarūpatvādacintyāste yataḥ	kArya-kAraNatA-BAvAt-janya-janakatvA-anupapatteH-aBAva-rUpa-tvAt-acintyAH-te yatas-
   sadaiva /	sadA-eva /
   yathāsatsvṛjvādyābhāseṣv ṛjvādibuddhirdṛṣṭālātamātre tathāstveva jātyādiṣu	yaTA-asat-svRju-Adi-a-ABAsezu Rju-Adi-budDiH-dRzwa-alAta-mAtre taTA-astu-eva jAti-Adizu
   vijñānamātre jātyādibuddhirmṛṣaiveti samudāyārthaḥ //51-52 //	vijQAna-mAtre jAti-Adi-budDiH-mRzA-eva-iti samudAya-arTaH //51-52 //
   START MandUpK 4.53	START Mandu-upK 4.53
   ajamekamātmatattvamiti sthitaṃ tatra yairapi kāryakāraṇabhāvaḥ kalpyate	ajam-ekam-Atma-tattvam-iti sTitam tatra yEH-api kArya-kAraNa-BAvaH kalpyate
   teṣām /	tezAm /
   dravyaṃ dravyasya hetuḥ syād anyad anyasya caiva hi /	dravyam dravyasya hetuH syAt anyat anyasya ca-eva hi /
   dravyatvam anyabhāvo vā dharmāṇāṃ nopapadyate // MandUpK_4.53 //	dravya-tvam anya-BAvaH vA DarmANAm na-upapadyate // Mandu-upK_4.53 //
   MandUpKC_4.53	Mandu-upKC_4.53
   dravyaṃ dravyasyānyasyānyaddhetuḥ kāraṇaṃ syānna tu tasyaiva tat /	dravyam dravyasya-anyasya-anyat-hetuH kAraNam syAt-na tu tasya-eva tat /
