   sāṃkhyatattvavivecanam	sAMKya-tattva-vivecanam
        cakrabhramivat śeṣavṛttiḥ siddhārthāḥ daśa mūlikāḥ //	cakra-Brami-vat Seza-vRttiH sidDArTAH daSa mUlikAH //
        saptatyā prāgupadiṣṭāḥ pañcāśat pratyayā ime /	saptatyA prAk-upadizwAH paQcASat pratyayAH ime /
        daśaṣaṣṭipadārthaistu ṣaṣṭitantra itīryate //	daSa-zazwi-padArTEH-tu zazwitantraH iti-Iryate //
   anugrahasargaḥ || Tats_17 ||	anugraha-sargaH || Tats_17 ||
        brahmānugrahamasṛjadrūpatanmātrataḥ pṛthak /	brahma-anugraham-asRjat-rUpa-tanmAtrataH pRTak /
        utpādyānugrahadhyānāt prāktanādhāravarjanāt //	utpAdya-anugraha-DyAnAt prAktana-ADAra-varjanAt //
   caturdaśavidho bhūtasargaḥ || Tats_18 ||	caturdaSaviDaH BUta-sargaH || Tats_18 ||
        aṣṭavikalpaṃ daivaṃ paiśācaṃ rākṣasaṃ tadvat /	azwa-vikalpam dEvam pESAcam rAkzasam tadvat /
        gāndharvamaindraṃ brāhmaṃ ca saumyaṃ brāhmyamathāṣṭakam //	gAnDarvam-Endram brAhmam ca sOmyam brAhmyam-aTa-azwakam //
        devayonaya evaite tiryagyonistu pañcadhā /	devayonaye eva-ete tiryagyoniH-tu paQcaDA /
        mṛgapaśupakṣisarīsṛpasthāvaramiti bhedasambhinā //	mRga-paSu-pakzi-sarIsRpa-sTAvaram-iti Beda-samBinA //
        mānuṣyakaṃ caikavidhaṃ brāhmaṇādicāṇḍālāntam /	mAnuzyakam ca-ekaviDam brAhmaNa-Adi-cANxAla-antam /
        paśavo gavādimūṣāntāḥ pakṣiṇo garūḍādikāḥ //	paSavaH gavA-Adi-mUzA-antAH pakziNaH garUxa-AdikAH //
        maśakāntā mṛgāścāpi siṃhādi ca śivāntikāḥ /	maSakAntAH mRgAH-ca-api siMha-Adi ca Siva-antikAH /
        śeṣādi alagardāntāḥ sarpāḥ parvatabhūtṛṇāḥ //	Seza-Adi alagarda-antAH sarpAH parvata-BUtRNAH //
        sthāvarā bhautikaḥ sarga etatsaṃsāramaṇḍalam //	sTAvarAH BOtikaH sargaH etad-saMsAra-maNxalam //
   trividho bandhaḥ || Tats_19 ||	triviDaH banDaH || Tats_19 ||
        prakṛtibandhaḥ prakṛtilayaḥ paratvenābhimanyataḥ /	prakRti-banDaH prakRti-layaH paratvena-aBimanyataH /
        saṃnyāsināmindriyeṣu layo vaikāriko 'paraḥ //	saMnyAsinAm-indriyezu layaH vEkArikaH aparaH //
        gṛhīṇāṃ dakṣiṇābandho vadānyatvābhimāninām /	gRhINAm dakziNAbanDaH vadAnyatva-aBimAninAm /
        ityeṣastrividho bandhastrividho mokṣa ucyate //	iti-ezaH-triviDaH banDaH-triviDaH mokzaH ucyate //
   trividho mokṣaḥ || Tats_20 ||	triviDaH mokzaH || Tats_20 ||
        jñānodrekāduparateśca dharmādharmakṣayo bhavet /	jQAna-udrekAt-uparateH-ca Darma-aDarma-kzayaH Bavet /
        dharmādharmakṣayāccātha kaivalyamiti gīyate //	Darma-aDarma-kzayAt-ca-aTa kEvalyam-iti gIyate //
   taduktam /	tat-uktam /
        ādyo hi mokṣo jñānena dvitīyo rāgasaṃkṣayāt /	AdyaH hi mokzaH jQAnena dvitIyaH rAga-saMkzayAt /
        kṛtsnakṣayāt tṛtīyastu vyākhyātaṃ mokṣalakṣaṇam //	kRtsna-kzayAt tRtIyaH-tu vyAKyAtam mokza-lakzaNam //
   trividhaṃ pramāṇam || Tats_21 ||	triviDam pramANam || Tats_21 ||
        dṛṣṭamanumānamāptavacanaṃ caitat pramāṇakam /	dRzwam-anumAnam-Apta-vacanam ca-etat pramANakam /
        pañcendriyāṇi pratyakṣaṃ vṛṣṭirmeghodayena tu //	paQca-indriyANi pratyakzam vRzwiH-meGa-udayena tu //
        anumānamindro devānāṃ rājāśabdaḥ pramāpakaḥ //	anumAnam-indraH devAnAm rAjA-SabdaH pramApakaH //
   āgame 'pi,	Agame api,
        svakarmabhirvinirmukto rāgadveṣavivarjitaḥ //	sva-karmaBiH-vinirmuktaH rAga-dveza-vivarjitaH //
        jñānavān śīlasampannaḥ so 'pi jñeyaśca tādṛśaḥ //	jQAnavAn SIla-sampannaH saH api jQeyaH-ca tAdRSaH //
   trividhaṃ duḥkham || Tats_22 ||	triviDam duHKam || Tats_22 ||
        duḥkhaṃ tu trividhaṃ proktamadhyātmamadhibhūtakam /	duHKam tu triviDam proktam-aDyAtmam-aDiBUtakam /
        ādhidaivaṃ ca tatrāpi prathamaṃ dvividhaṃ smṛtam //	ADidEvam ca tatra-api praTamam dviviDam smRtam //
        śārīraṃ mānasaṃ ceti vātakāmādidoṣajam /	SArIram mAnasam ca-iti vAta-kAma-Adi-doza-jam /
        bhūtebhyo mānuṣādibhyo jātaṃ syādādhibhautikam //	BUteByaH mAnuza-AdiByaH jAtam syAt-ADiBOtikam //
        devebhyaḥ śītavātādibhavaṃ syādādhidaivikam /	deveByaH SIta-vAta-Adi-Bavam syAt-ADidEvikam /
        etat samāsataḥ proktā sūtravyākhyā yathāmati //	etat samAsatas proktA sUtra-vyAKyA yaTAmati //
        prakriyāṃ ca pravakṣyāmi paurāṇikahitāya vai //	prakriyAm ca pravakzyAmi pOrANika-hitAya vE //
   etat paramparayā yāthātathyam || Tats_23 ||	etat paramparayA yATAtaTyam || Tats_23 ||
   etat sarvaṃ jñātvā kṛtakṛtyaḥ syāt || Tats_24 ||	etat sarvam jQAtvA kRtakRtyaH syAt || Tats_24 ||
   na punastrividhena duḥkhenābhibhūyate || Tats_25 ||	na punar-triviDena duHKena-aBiBUyate || Tats_25 ||
   mahān ahaṃkāraḥ pañca tanmātrāṇi avyaktasaṃjñāni bhavanti mahacchabdena	mahAn ahaMkAraH paQca tanmAtrANi avyakta-saMjQAni Bavanti mahat-Sabdena
   hairaṇyagarbho buddhirucyate |	hEraNyagarBaH budDiH-ucyate |
   pradhānaṃ mūlamavyaktasaṃjñam |	praDAnam mUlam-avyakta-saMjQam |
   jñaḥ puruṣaḥ |	jQaH puruzaH |
   etāni pañcaviṃśatitattvāni |	etAni paQcaviMSati-tattvAni |
   tatra pradhānaṃ kāraṇameva na kāryam |	tatra praDAnam kAraNam-eva na kAryam |
   mahadādayaḥ sapta pūrvapūrvasya kāryāṇi uttarottarasya kāraṇāni |	mahat-AdayaH sapta pUrva-pUrvasya kAryANi uttarottarasya kAraNAni |
   indriyāṇyekādaśa pañca mahābhūtāni kāryāṇyeva na kāraṇāni |	indriyANi-ekAdaSa paQca mahABUtAni kAryANi-eva na kAraNAni |
   puruṣastu na kāryaṃ na vā kāraṇam |	puruzaH-tu na kAryam na vA kAraNam |
   taduktam mūlaprakṛtirityādi |	tat-uktam mUlaprakRtiH-ityAdi |
   mahān ahaṃkāraḥ pañca tanmātrāṇi sapta prakṛtivikṛtayaḥ |	mahAn ahaMkAraH paQca tanmAtrANi sapta prakRti-vikRtayaH |
   pradhānād buddhirjāyata iti pradhānavikāraḥ saivāhaṅkāraṃ janayatīti	praDAnAt budDiH-jAyate iti praDAna-vikAraH sA-eva-ahaFkAram janayati-iti
   prakṛtiḥ ahaṅkāro 'pi buddherjāyata iti vikṛtiḥ so 'pi ekādaśendriyāṇi	prakRtiH ahaFkAraH api budDeH-jAyate iti vikRtiH saH api ekAdaSa-indriyANi
   pañca tanmātrāṇi janayatīti prakṛtiḥ ||	paQca tanmAtrANi janayati-iti prakRtiH ||
   tatra śabdatanamātramahaṃkārājjāyata iti vikṛtistasmādākāśaṃ jāyata iti	tatra Sabdatana-mAtram-ahaMkArAt-jAyate iti vikRtiH-tasmAt-AkASam jAyate iti
   śabdatanmātraṃ prakṛtiḥ |	Sabda-tanmAtram prakRtiH |
   tathā sparśatanmātramahaṃkārājjāyata iti vikṛtiḥ tadeva vāyuṃ janayatīti	taTA sparSa-tanmAtram-ahaMkArAt-jAyate iti vikRtiH tat-eva vAyum janayati-iti
   prakṛtiḥ |	prakRtiH |
   evaṃ rūpatanmātramahaṃkārājjāyata iti vikṛtiḥ tadeva tejo janayatīti	evam rUpa-tanmAtram-ahaMkArAt-jAyate iti vikRtiH tat-eva tejaH janayati-iti
   prakṛtiḥ |	prakRtiH |
   rasatanmātramahaṅkārājjāyata iti vikṛtistadevāmbho janayatīti prakṛtiḥ |	rasa-tanmAtram-ahaFkArAt-jAyate iti vikRtiH-tat-eva-amBaH janayati-iti prakRtiH |
   tathā gandhatanmātramahaṃkārājjāyata iti vikṛtiḥ tadevāvaniṃ janayatīti	taTA ganDa-tanmAtram-ahaMkArAt-jAyate iti vikRtiH tat-eva-avanim janayati-iti
   prakṛtiḥ ||	prakRtiH ||
   etāni pañca tanmātrāṇi sūkṣmabhūtāni sthūlabhūtānāṃ kāraṇāni ṣoḍaśakaśca	etAni paQca tanmAtrANi sUkzma-BUtAni sTUla-BUtAnAm kAraNAni zoxaSakaH-ca
   vikāraḥ |	vikAraH |
   pañca buddhīndriyāṇi pañca karmendriyāṇi ekādaśaṃ manaḥ pañca mahābhūtāni	paQca budDIndriyANi paQca karmendriyANi ekAdaSam manaH paQca mahABUtAni
   eṣa ṣoḍaśako gaṇo vikāra eva na prakṛtiḥ |	eza zoxaSakaH gaNaH vikAraH eva na prakRtiH |
   puruṣastu nobhayamityarthaḥ ||	puruzaH-tu na-uBayam-iti-arTaH ||
   pratyakṣānumānaśabdarūpaṃ trividhaṃ pramāṇam |	pratyakza-anumAna-Sabda-rUpam triviDam pramANam |
   tatra pratyakṣaṃ tāvat śrotrādipañcakaṃ lokocitaśabdādiguṇagrāhakam |	tatra pratyakzam tAvat Srotra-Adi-paQcakam loka-ucita-Sabda-Adi-guNa-grAhakam |
   anumānaṃ cāpratyakṣārthagrāhakaṃ dhūmādi |	anumAnam ca-apratyakza-arTa-grAhakam DUma-Adi |
   śabdastāvat trividho bhavati vāgindriyaviṣayaḥ śrotraviṣayo	SabdaH-tAvat triviDaH Bavati vAc-indriya-vizayaH Srotra-vizayaH-
   buddhimātraviṣayaśca |	budDi-mAtra-vizayaH-ca |
   teṣu kaṇṭhatālvādisthalāvacchinnaḥ śabdo vāgīndriyaviṣayaḥ tatkāryatvāt	tezu kaNWa-tAlu-Adi-sTala-avacCinnaH SabdaH vAgI-indriya-vizayaH tad-kAryatvAt
   vāgindriyavyavahitaśrotrasthaśca śabdataḥ śabdaḥ śrotrasya	vAc-indriya-vyavahita-Srotra-sTaH-ca SabdataH SabdaH Srotrasya
   viṣayastadgrāhyatvāt |	vizayaH-tad-grAhya-tvAt |
   ghaṭa ityādipadāni tu buddhimātrasya viṣayaḥ vakṣyamāṇayuktyā	GawaH ityAdi-padAni tu budDi-mAtrasya vizayaH vakzyamANa-yuktyA
   buddhimātragrāhyatvāt ||	budDi-mAtra-grAhya-tvAt ||
   tāni padānyevārthasya karaṇatvāt sphoṭa ityucyate |	tAni padAni-eva-arTasya karaNa-tvAt sPowaH iti-ucyate |
   taddi padaṃ vāgindriyoccāryapratyekavarṇebhyo 'tiriktaṃ	tat-di padam vAc-indriya-ucca-Arya-pratyeka-varNeByaH atiriktam
   varṇānāmāśutaravināśitayā melanābhāvenaikaṃ padamiti	varNAnAm-ASutara-vinASi-tayA melana-aBAvena-ekam padam-iti
   vyavahāragocaratvāsambhavāt arthasmārakatvāsambhavācca |	vyavahAra-gocara-tva-asamBavAt arTa-smAraka-tva-asamBavAt-ca |
   asya ca sphoṭasya kāraṇamekaḥ prayatnaviśeṣaḥ prayatnabhedenoccāraṇe sati	asya ca sPowasya kAraNam-ekaH prayatna-viSezaH prayatna-Bedena-uccAraNe sati
   ekapadavyavahārābhāvādarthāpratyayācca tasya ca sphoṭasya vyañjaka	eka-pada-vyavahAra-aBAvAt-arTa-apratyayAt-ca tasya ca sPowasya vyaQjaka
   ānupūrvīviśiṣṭatayā antyavarṇapratyayaḥ ataśca buddhereva	AnupUrvI-viSizwa-tayA antya-varNa-pratyayaH atas-ca budDeH-eva
   sphoṭagrāhakatvam ānupūrvyā buddhyaiva grahaṇasambhavena	sPowa-grAhaka-tvam AnupUrvyA budDyA-eva grahaNa-samBavena
   sāmānādhikaraṇyapratyāsattyaivānupūrvīpratyayasya	sAmAnADikaraNya-pratyAsattyA-eva-AnupUrvI-pratyayasya
   sphoṭākhyapadābhivyaktihetutve lāghavāt |	sPowa-AKya-pada-aBivyakti-hetu-tve lAGavAt |
   ata eva sphoṭaḥ śrotreṇa grahītuṃ na śakyate ghottaraṭatvādirarūpiṇyā	atas eva sPowaH SrotreNa grahItum na Sakyate Ga-uttarawa-tvAdira-rUpiNyA
   ānupūrvyāḥ śrotreṇa grahaṇāsambhavāt āśutaravināśitayā varṇānāṃ	AnupUrvyAH SrotreNa grahaNa-asamBavAt ASutara-vinASi-tayA varNAnAm
   melanāsambhavāt pūrvapūrvavarṇasaṃskārāṇāṃ tatsmṛtīnāṃ	melanA-samBavAt pUrva-pUrva-varNa-saMskArANAm tad-smRtInAm
   cāntaḥkaraṇaniṣṭhānāmantaḥkaraṇasahakāritvasyaivaucityāditi |	ca-antaHkaraNa-nizWAnAm-antaHkaraNa-sahakAri-tvasya-eva-OcityAt-iti |
   syādetat sphoṭavyañjakasyānupūrvīviśiṣṭacaramavarṇasyaiva	syAt-etat sPowa-vyaQjakasya-anupUrvI-viSizwa-carama-varNasya-eva
   padatvamarthapratyāyakatvaṃ vā 'stu alaṃ sphoṭena taddhetoreva tadastviti	padatvam-arTa-pratyAyaka-tvam vA astu alam sPowena tad-hetoH-eva tat-astu-iti
   nyāyāt |	nyAyAt |
   etadeva sāṃkhyasūtreṇoktaṃ pratītyapratītibhyāṃ na sphoṭātmakaḥ śabda iti	etat-eva sAMKya-sUtreNa-uktam pratItya-pratItiByAm na sPowa-AtmakaH SabdaH iti
   ekatvapratyayo 'pyānupūrvīviśiṣṭacaramavarṇasyaikatvenopapadyate ||	eka-tva-pratyayaH api-AnupUrvI-viSizwa-carama-varNasya-eka-tvena-upapadyate ||
   atrocyate |	atra-ucyate |
   evaṃ satyavayavyucchedaprasaṅgaḥ |	evam satya-vaya-vi-ucCeda-prasaFgaH |
   asamavāyikāraṇasaṃyogaviśeṣāvacchinnānāmavayavānāmeva	asamavAyi-kAraNa-saMyoga-viSeza-avacCinnAnAm-avayavAnAm-eva
   jalādyāharaṇahetutvakalpanāyāṃ lāghavāt taddhetoreva tadastviti	jala-Adi-AharaNa-hetu-tva-kalpanAyAm lAGavAt tad-hetoH-eva tat-astu-iti
   nyāyasāmyāt eko ghaṭa ityādipratyayānāmapyekaṃ	nyAya-sAmyAt ekaH GawaH ityAdi-pratyayAnAm-api-ekam
   vanamityādipratyayavadupapatteḥ |	vanam-ityAdi-pratyaya-vat-upapatteH |
   atha paramāṇūnāṃ tatsaṃyogānāṃ cātīndriyatayā tadrūpatve 'vayavinaḥ	aTa paramANUnAm tad-saMyogAnAm ca-atIndriya-tayA tad-rUpa-tve avayavinaH
   pratyakṣānupapattirityādikamavayavisādhakamiti cet tulyaṃ sphoṭe 'pi	pratyakza-anupapattiH-iti-Adikam-avayavi-sADakam-iti ced tulyam sPowe api
   ānupūrvyāḥ kṣaṇādyatīndriyaghaṭitatayā ānupūrvīviśiṣṭacaramavarṇātmakatve	AnupUrvyAH kzaNa-Adi-ati-indriya-Gawita-tayA AnupUrvI-viSizwa-caramavarNa-Atmaka-tve
   padasya pratyakṣānupapattirityādikaṃ sphoṭasādhakamiti |	padasya pratyakza-anupapattiH-iti-Adikam sPowa-sADakam-iti |
   api ca sphoṭaśabdo 'smābhiḥ śrutipramāṇenaiva svargādivat kalpyate	api ca sPowa-SabdaH asmABiH Sruti-pramANena-eva svarga-Adi-vat kalpyate
   ityatastatra laukikapramāṇābhāve 'pi na kṣatiḥ ||	iti-atas-tatra lOkika-pramANa-aBAve api na kzatiH ||
   tathāhi praṇavasyākārokāramakārarūpamātrātrayaṃ	taTA-hi praNavasya-AkAra-ukAra-makAra-rUpa-mAtrA-trayam
   brahmādidevatātrayātmakamuktvā praṇavaṃ devatātrayātiriktaparabrahmātmakaṃ	brahma-Adi-devatA-traya-Atmakam-uktvA praNavam devatA-traya-atirikta-para-brahma-Atmakam
   caturthamātrāṃ śrutaya āmananti |	caturTa-mAtrAm Srutaye Amananti |
   sā caturthī mātrā varṇatrayādatiriktaḥ sphoṭa eva sambhavati saiva	sA caturTI mAtrA varNa-trayAt-atiriktaH sPowaH eva samBavati sA-eva
   cārddhamātretyucyate rāśivadavibhaktayorvarṇapadayorvarṇā ekamarddhaṃ	ca-ardDa-mAtrA-iti-ucyate rASi-vat-aviBaktayoH-varNa-padayoH-varNAH ekam-ardDam
   padaṃ cānyadarddhamityupapadyate |	padam ca-anyat-ardDam-iti-upapadyate |
   yathā cāvayavebhyo vivicyāvayavī na vyavahāryo bhavati evameva	yaTA ca-avayaveByaH vivicya-avayavI na vyavahAryaH Bavati evam-eva
   pratyekavarṇebhyo vivicya padamuccārayituṃ na śakyata iti |	pratyeka-varNeByaH vivicya padam-uccArayitum na Sakyate iti |
   ataḥ smaryate "arddhamātrā sthitā nityā yānuccāryā viśeṣata" iti ||	atas smaryate "ardDa-mAtrA sTitA nityAH yAn-uccAryAH viSezata" iti ||
   nanu syādevamarddhamātropapattiḥ |	nanu syAt-evam-ardDa-mAtra-upapattiH |
   nādabindostu kiṃ svarūpam ucyate |	nAdabindoH-tu kim svarUpam ucyate |
   praṇave uccāryamāṇe śaṅkhanādaveṇunādādivadyaḥ svaraviśeṣo bhavati sa	praNave uccAryamANe SaFKanAda-veNu-nAda-Adi-vat-yaH svara-viSezaH Bavati sa
   nādaḥ yā ca nādasyoparamāvasthā atisūkṣmā sā śūnyatulyatayā bindurucyata	nAdaH yA ca nAdasya-uparama-avasTA ati-sUkzmA sA SUnya-tulya-tayA binduH-ucyata
   iti |	iti |
   tasmādavayavebhyo 'vayavīva varṇebhyo 'tiriktaṃ padaṃ tadeva sphoṭa iti	tasmAt-avayaveByaH avayavI-iva varNeByaH atiriktam padam tat-eva sPowaH iti
   siddham |	sidDam |
   nanvevaṃ vākyamapi sphoṭaḥ syāditi cenna bādhakābhāve satīṣyatāmiti dik ||	nanu-evam vAkyam-api sPowaH syAt-iti ced-na bADaka-aBAve satIzya-tAm-iti diS ||
   śabdastāvat yathodeṣṭṛpuruṣavākyalakṣaṇaḥ indro devarāḍityādiḥ |	SabdaH-tAvat yaTA-udezwR-puruza-vAkya-lakzaNaH indraH devarAj-iti-AdiH |
   arthāpattisambhavābhāvaitihyapratibhopamānāni yadi pramāṇāni	arTApatti-samBava-ABA-vEtihya-pratiBA-upamAnAni yadi pramANAni
   tarhyatraivāntarbhāvyāni na pṛthak |	tarhi-atra-eva-antar-BAvyAni na pRTak |
   prakṛtipuruṣau vidyamānāvapi nopalabhyete sūkṣmatvāt yathākāśe	prakRti-puruzO vidyamAnO=-api na-upalaByete sUkzma-tvAt yaTA-AkASe
   dhūmoṣmanīhāraparamāṇavaḥ santo 'pi nopalabhyante |	DUma-Uzma-nIhAra-paramANavaH santaH api na-upalaByante |
   mahadādikāryadarśanena tatkāraṇamiva pradhānamanumīyate |	mahat-Adi-kArya-darSanena tad-kAraNam-iva praDAnam-anumIyate |
   triguṇapradhānajanyaṃ mahadādikāryaṃ kiñcitprakṛtisadṛśaṃ	triguNa-praDAna-janyam mahat-Adi-kAryam kiQcid-prakRti-sadRSam
   kiñcidvikṛtisadṛśaṃ loke ubhayathā puttrarūpakāryadarśanāt |	kiQcid-vikRti-sadRSam loke uBayaTA puttra-rUpa-kArya-darSanAt |
   tacca kāryaṃ sat nāsat na sadasat nānirvacanīyam atyantāsattve sikatābhyo	tat-ca kAryam sat na-asat na sat-asat na-anirvacanIyam atyanta-asattve sikatAByaH-
   'pi tailamutpadyeta |	api tElam-utpadyeta |
   anyau ca pakṣau viruddhāveva avyaktasañjñaṃ pradhānaṃ svatantraṃ vyāpi	anyO ca pakzO virudDO=-eva avyakta-saQjQam praDAnam svatantram vyApi
   nityaṃ ca vyaktasañjñaṃ kāryamasvatantramavyāpi anityaṃ ca |	nityam ca vyakta-saQjQam kAryam-asvatantram-avyApi anityam ca |
   puruṣaḥ svatantro vyāpī nityaśca |	puruzaH svatantraH vyApI nityaH-ca |
   trayāṇāṃ lokānāṃ kāraṇaṃ pradhānaṃ taccaikaṃ lāghavāt |	trayANAm lokAnAm kAraNam praDAnam tat-ca-ekam lAGavAt |
   pralayakāle mahadādikāryaṃ pradhāne līyate |	pralaya-kAle mahat-Adi-kAryam praDAne lIyate |
   tacca pradhānaṃ sattvarajastamomayam |	tat-ca praDAnam sattva-rajaH-tamaH-mayam |
   guṇatrayasāmyāvasthā prakṛtiḥ |	guNatraya-sAmya-avasTA prakRtiH |
   pradhānamacetanaṃ puruṣastu cetanaḥ |	praDAnam-acetanam puruzaH-tu cetanaH |
   vyaktapradhānavilakṣaṇaḥ śuddho guṇarahitaḥ |	vyakta-praDAna-vilakzaNaH SudDaH guNa-rahitaH |
   kāryasya sukhaduḥkhamohajanakatvena tatra kāraṇībhūtāni sattvarajastamāṃsi	kAryasya suKa-duHKa-moha-janaka-tvena tatra kAraNIBUtAni sattva-rajaH-tamAMsi
   anumeyāni |	anumeyAni |
   dṛṣṭaṃ ca yathākramaṃ bhartṛsapatnīviṭeṣu sukhaduḥkhamohajanakatvaṃ	dRzwam ca yaTAkramam BartR-sapatnI-viwezu suKa-duHKa-moha-janaka-tvam
   kāminyāḥ |	kAminyAH |
   triguṇamaye 'pi kārye yadā sattvamudriktaṃ bhavati janādṛṣṭāt tadā	triguNa-maye api kArye yadA sattvam-udriktam Bavati jana-adRzwAt tadA
   rajastamasī abhibhūya svakāryaṃ sukhaṃ janayati |	rajaH-tamasI aBiBUya sva-kAryam suKam janayati |
   evaṃ yadā raja udriktaṃ bhavati tadā sattvatamasī abhibhūya svakāryaṃ	evam yadA rajaH udriktam Bavati tadA sattva-tamasI aBiBUya sva-kAryam
   janayati duḥkham |	janayati duHKam |
   evaṃ yadā tama udriktaṃ bhavati tadā sattvarajasī abhibhūya svakāryaṃ	evam yadA tamaH udriktam Bavati tadA sattva-rajasI aBiBUya sva-kAryam
   mohaṃ janayati ||	moham janayati ||
   duḥkhaṃ trividham ādhyātmikādhibhautikādhidaivikabhedāt |	duHKam triviDam ADyAtmika-ADiBOtika-ADidEvika-BedAt |
   tathāhi tatra ādhyātmikaṃ dvirūpaṃ śārīraṃ mānasaṃ ceti |	taTA-hi tatra ADyAtmikam dvi-rUpam SArIram mAnasam ca-iti |
   śārīraṃ tāvat vātapittaśleṣmaviparyayakṛtaṃ jvarātīsārādi |	SArIram tAvat vAta-pitta-Slezma-viparyaya-kRtam jvara-atIsAra-Adi |
   mānasaṃ tu priyaviyogāpriyasaṃyogādijam |	mAnasam tu priya-viyoga-apriya-saMyoga-Adi-jam |
   ādhibhautikaṃ tu caturddhābhūtagrāmanimittaṃ	ADiBOtikam tu caturdDA-BUta-grAma-nimittam
   paśupakṣimṛgamanuṣyasarīsṛpadaṃśayūkāmatkuṇasthāvarebhyo	paSu-pakzi-mRga-manuzya-sarIsRpa-daMSa-yUkA-matkuNa-sTAvareByaH-
   jarāyujāṇḍajasvedajodbhijjebhyo jāyate |	jarAyu-jANxaja-sveda-ja-udBijjeByaH jAyate |
   divaḥ prabhavati taddaivaṃ tadadhikṛtya yajjāyate tadādhidaivikaṃ	divaH praBavati tat-dEvam tat-aDikRtya yat-jAyate tadA-aDidEvikam
   śītoṣṇavātavarṣāśanipātajam |	SIta-uzNa-vAta-varza-aSani-pAta-jam |
   samuditatantavaḥ paṭamiva guṇasamudāyātmakaṃ pradhānam mahadādikāryaṃ	samudita-tantavaH pawam-iva guNa-samudAya-Atmakam praDAnam mahat-Adi-kAryam
   janayati |	janayati |
   ekarasamapi yathā ākāśasalilaṃ vāpyādau patitaṃ sat vāpyādisaṃśleṣāt	eka-rasam-api yaTA AkASa-salilam vA-api-AdO patitam sat vA-api-Adi-saMSlezAt
   rasāntaramāpadyate tathā ekarūpādapi pradhānāddevādayaḥ krameṇa sukhino	rasa-antaram-Apadyate taTA eka-rUpAt-api praDAnAt-deva-AdayaH krameNa suKinaH-
   duḥkhino atyantamūḍhāśca bhavanti |	duHKinaH atyanta-mUXAH-ca Bavanti |
   tathā sattvautkaṭyādrajastamasoraudāsīnyāddevāḥ atyantaṃ sukhinaḥ |	taTA sattva-OtkawyAt-rajaH-tamasA-uH-OdAsIn-yAt-devAH atyantam suKinaH |
   rajasa autkaṭyāt sattvatamasoraudāsīnyānmanuṣyāḥ atyantaṃ duḥkhinaḥ |	rajasaH OtkawyAt sattva-tamasA-urOdAsIn-yAn-manuzyAH atyantam duHKinaH |
   tamasa autkaṭyāt sattvarajasoraudāsīnyāttiryañcaḥ atyantaṃ mūḍhāḥ |	tamasaH OtkawyAt sattva-rajasA-uH-OdAsInyAttiH-yaQcaH atyantam mUXAH |
   mahadādisaṅghātaḥ bhoktṛsāpekṣaḥ bhogyatvāt paryaṅkavat |	mahat-Adi-saFGAtaH BoktR-sApekzaH Bogya-tvAt paryaFka-vat |
   mahadādisaṅghaḥ parādhīnaḥ acetanatvāt mālāvat |	mahat-Adi-saFGaH para-aDInaH acetana-tvAt mAlA-vat |
   evaṃ puruṣo 'numīyate |	evam puruzaH anumIyate |
   sa ca nānā janmamaraṇakaraṇānāṃ pratyekaṃ bhedāt |	sa ca nAnA janma-maraNa-karaNAnAm pratyekam BedAt |
   ayamarthaḥ |	ayam-arTaH |
   ekasya maraṇe sarve mriyeran yadyeka eva ātmā syāt ekasya ca janmani sarve	ekasya maraNe sarve mriyeran yadi-ekaH eva AtmA syAt ekasya ca janmani sarve
   jāyeran ekasya karaṇavaikalye sarve karaṇavaikalyavantaḥ syuḥ |	jAyeran ekasya karaNa-vEkalye sarve karaNa-vEkalyavantaH syuH |
   na caivaṃ dṛśyate tasmānnānā |	na ca-evam dRSyate tasmAt-nAnA |
   pañcaviṃśatitattvagocarasamyagjñānāt puruṣasya kaivalyaṃ bhavati |	paQcaviMSati-tattva-gocara-samyak-jQAnAt puruzasya kEvalyam Bavati |
   taccānyatvaṃ pradhānādibheda iti yāvat |	tat-ca-anya-tvam praDAna-Adi-BedaH iti yAvat |
   avivekāt saṃsāraḥ vivekāt kaivalyam |	avivekAt saMsAraH vivekAt kEvalyam |
   arthataḥ akhyātivādāṅgīkāraḥ |	arTataH aKyAti-vAda-aFgIkAraH |
   ata eva idaṃ rajatamiti jñānaṃ na bhramaḥ kiṃtu svarūpataḥ arthataśca	atas eva idam rajatam-iti jQAnam na BramaH kiMtu svarUpataH arTataH-ca
   aviviktaṃ jñānadvayam |	aviviktam jQAna-dvayam |
   yasya yādṛśamidaṃ rajatamiti rajatajñānaviṣayībhūtaṃ tasya tādṛśameva	yasya yAdRSam-idam rajatam-iti rajata-jQAna-vizayIBUtam tasya tAdRSam-eva
   jagaditi nirṇayaḥ ||	jagat-iti nirNayaH ||
   ata eva vastutastāttviko 'nyathābhāvaḥ pariṇāma ityeva lakṣaṇalakṣitaḥ	atas eva vastutas-tAttvikaH anyaTA-BAvaH pariNAmaH iti-eva lakzaNa-lakzitaH
   pariṇāmo 'ṅgākṛtaḥ sa ca puruṣaḥ pratiśarīraṃ nānetyatrādi sma avikāritvāt	pariNAmaH aFgAkRtaH sa ca puruzaH pratiSarIram nAnA-iti-atra-Adi sma avikAri-tvAt-
   vastuto 'karttā muktavat sākṣivadudāsīnaḥ |	vastutas akarttA mukta-vat sAkzi-vat-udAsInaH |
   sattvarajastamāṃsi kartḥṇi karmāṇyapi bhavanti |	sattva-rajaH-tamAMsi kartHNi karmANi-api Bavanti |
