   śrī-bhāgavata-sandarbhe prathamaḥ	SrI--BAgavata--sandarBe praTamaH
   tantraṃ ca tantra-bhāgavatādikaṃ brahma-tarkādikam iti jñeyam ||28||	tantram ca tantra--BAgavata-Adikam brahma-tarka-Adikam iti jQeyam ||28||
   BD: atreti | iha granthe yāni śruti-purāṇādi-vacanāni mayā dhriyante tāni	BD: atra-iti | iha granTe yAni Sruti-purANa-Adi--vacanAni mayA Driyante tAni
   svadarśitārtha-viśeṣa-prāmāṇyaiva | na tu śrī-bhāgavata-vākya-prāmaṇyāya,	sva-darSita-arTa--viSeza--prAmANya-eva | na tu SrI--BAgavata--vAkya--prAmaNyAya,
   tasya svataḥ pramāṇatvāt | tāni ca yathā-dṛṣṭam evodāharaṇīyāni mūla-	tasya svatas pramANa-tvAt | tAni ca yaTA-dRzwam eva-udAharaNIyAni mUla-
   granthān vilokyotthāpitānīty arthaḥ | kānicid vākyāni tu mad-adṛṣṭākarāṇy	granTAn vilokya-utTApitAni-iti arTaH | kAnicid vAkyAni tu mad-a-dRzwa-AkarANi-
   asmad-ācārya-śrī-madhvamuni-dṛṣṭākarāṇy eva kvacin mayā dhriyanta ity	asmad--AcArya--SrI-m-aDva-muni-dRzwa-AkarANi eva kvacid mayA Driyante iti-
   āha kvacid iti | mad-vyākhyānaṃ kvacid artha-viśeṣe prāmāṇyāya śrī-	Aha kvacid iti | mad--vyAKyAnam kvacid arTa--viSeze prAmANyAya SrI-
   madhvācārya-caraṇānāṃ bhāgavata-tātparyādibhyo granthebhyaḥ	maDu-AcArya--caraNAnAm BAgavata-tAtparyAdiByaH granTeByaH
   saṅgṛhītāni śruti-purāṇādi-vacanāni dhriyanta ity anuṣaṅgaḥ | atrāsya	saFgRhItAni Sruti-purANa-Adi--vacanAni DriyantaH iti anuzaFgaH | atra-asya
   grantha-kartuḥ satyavāditvaṃ dhvanitam | kaumāra-brahmacaryavān	granTa-kartuH satya-vAdi-tvam Dvanitam | kOmAra--brahmacaryavAn
   naiṣṭhiko yaḥ satya-taponidhiḥ svapne'py anṛtaṃ noce ceti prasiddham |	nEzWikaH yaH satya--tapaH-niDiH svapne-api anRtam na-Uce ca-iti prasidDam |
   teṣāṃ	tezAm
   kīdṛśānām ity āha tattveti | sarvaṃ vastu satyam iti vādas tattva-vādas	kIdRSAnAm iti Aha tattva-iti | sarvam vastu satyam iti vAdaH tattva-vAdaH-
   tad-	tat--
   upadeṣṭṝṇām ity arthaḥ | anādhunikānām atiprācīnānāṃ kenacic	upadezwLNAm iti arTaH | anADunikAnAm ati-prAcInAnAm kenacid-
   chāṅkareṇa saha vivāde madhvasya mataṃ vyāsaḥ svīcakre | śaṅkarasya tu	CAFkareNa saha vivAde maDu-asya matam vyAsaH svI-cakre | SaFkarasya tu
   tatyājetyaitihyam asti | pracāriteti bhaktānāṃ viprāṇām eva mokṣaḥ | devā	tatyAjeti-Etihyam asti | pracAritA-iti BaktAnAm viprANAm eva mokzaH | devA
   bhakteṣu mukhyāḥ | viriñcasyaiva sāyujyam | lakṣmyā jīvakoṭitvam ity evaṃ	Baktezu muKyAH | viriQcasya-eva sAyujyam | lakzmyA jIva-kowi-tvam iti evam
   mata-viśeṣaḥ | dakṣiṇādideśeti tena gauḍe'pi mādhavendrādayas tad-	mata--viSezaH | dakziNa-Adi-deSa-iti tena gOxe-api mADava-indra-AdayaH tat--
   upaśiṣyāḥ katicid babhūvur ity arthaḥ | śāstrāntarāṇīti tena svasya dṛṣṭa-	upaSizyAH katicid baBUvuH iti arTaH | SAstra-antarANi-iti tena svasya dRzwa-
   sarvākaratā vyajyate dig-vijayitvaṃ cety upodghāto vyākhyātaḥ ||28||	sarva-Akara-tA vyajyate diS--vijayitvam ca-iti upodGAtaH vyAKyAtaH ||28||
   atha namaskurvann eva tathābhūtasya śrīmad-bhāgavatasya tātparya-tad-	aTa namaskurvan eva taTABUtasya SrImat--BAgavatasya tAtparya-tad-
   vaktur hṛdaya-niṣṭhā-paryālocanayā saṅkṣepatas tāvan nirdhārayati -	vaktuH hRdaya--nizWA--paryAlocanayA saFkzepataH tAvat nirDArayati -
   sva-sukha-nibhṛta-cetās tad-vyudastāny abhāvo'	sva--suKa-niBRta--cetAH tat--vyudaH-tAni aBAvaH-a
   py ajita-rucir alīlākṛṣṭa-sāras tadīyam |	pi ajita--ruciH alIlA-AkRzwa--sAraH tadIyam |
   vyatanuta kṛpayā yas tattva-dīpaṃ purāṇaṃ	vyatanuta kRpayA yaH tattva--dIpam purANam
   tam akhila-vṛjina-ghnaṃ vyāsa-sūnuṃ nato'smi || [BhP 12.12.69]	tam aKila--vRjina--Gnam vyAsa--sUnum nataH-asmi || [Bhj 12.12.69]
   ṭīkā ca śrīdhara-svāmi-viracitā - śrī-guruṃ namaskaroti | sva-sukhenaiva	wIkA ca SrIDara--svAmi--viracitA  SrI--gurum namaskaroti | sva--suKena-eva
   nibhṛtaṃ pūrṇaṃ ceto yasya saḥ | tenaiva vyudasto'nyasmin bhāvo bhāvanā	niBRtam pUrNam cetaH yasya saH | tena-eva vyudastaH-anyasmin BAvaH BAvanA
   yasya tathābhūto'py ajitasya rucirābhir līlābhir ākṛṣṭaḥ sāraḥ sva-sukha-	yasya taTABUtaH-api ajitasya rucirABiH lIlABiH AkRzwaH sAraH sva--suKa-
   gataṃ dhairyaṃ yasya saḥ | tattva-dīpaṃ paramārtha-prakāśakaṃ śrī-	gatam DEryam yasya saH | tattva--dIpam parama-arTa--prakASakam SrI-
   bhāgavataṃ yo vyatanuta taṃ nato'smi ity eṣā | evam eva dvitīye tad-vākyam	BAgavatam yaH vyatanuta tam nataH-asmi iti ezA | evam eva dvitIye tat--vAkyam
   eva prāyeṇa munayo rājan (BhP 2.1.7) ity ādi-padya-trayam anusandheyam |	eva prAyeNa munayaH rAjan (Bhj 2.1.7) iti Adi-padya--trayam anusanDeyam |
   atrākhila-vṛjinaṃ tādṛśa-bhāvasya pratkūlam udāsīnaṃ ca jñeyam | tad evam	atra-aKila--vRjinam tAdRSa--BAvasya pratkUlam udAsInam ca jQeyam | tat evam
   iha sambandhi-tattvaṃ brahmānandād api prakṛṣṭo rucira-līlāvaśiṣṭaḥ	iha sambanDi--tattvam brahma-AnandAt api prakRzwaH rucira--lIlA-avaSizwaH
   śrīmān ajita eva | sa ca pūrṇatvena mukhyatayā śrī-kṛṣṇa-saṃjña eveti śrī-	SrImAn ajitaH eva | sa ca pUrNa-tvena muKya-tayA SrI--kRzNa--saMjQaH eva-iti SrI-
   bādarāyaṇa-samādhau vyaktībhaviṣyati | tathā prayojanākhyaḥ puruṣārthaś	bAdarAyaNa--samADO vyaktIBavizyati | taTA prayojana-AKyaH puruza-arTaH-
   ca tādṛśa-tad-āsakti-janakaṃ tal-līlāśravaṇādi-lakṣaṇaṃ tad-bhajanam evety	ca tAdRSa-tad--Asakti-janakam tal-lIlA-SravaNa-Adi--lakzaNam tat--Bajanam eva-iti-
   āyātam | atra vyāsa-sūnum iti brahma-vaivartānusāreṇa śrī-kṛṣṇa-varāj	AyAtam | atra vyAsa--sUnum iti brahma-vEvarta-anusAreNa SrI-kRzNa-varAj
   janmata eva māyayā tasyāspṛṣṭatvaṃ sūcitam || 12.12 || śrī-sūtaḥ śrī-	janmataH eva mAyayA tasya-aspRzwa-tvam sUcitam || 12.12 || SrI--sUtaH SrI-
   śaunakam ||29||	SOnakam ||29||
   BD: atha yasya brahmeti (TattvaS, verse viii) padyoktam sambandhi-kṛṣṇa-	BD: aTa yasya brahma-iti (Tat-tvaS, verse viii) padya-uktam sambanDi-kRzNa-
   tattvaṃ, tad-bhakti-lakṣaṇam abhidheyaṃ, tat-prema-lakṣaṇaṃ pumarthaṃ ca	tattvan, tad--Bakti-lakzaNam aBiDeyan, tat--prema--lakzaNam pum-arTam ca
   nirūpatayā padyena tāvad-granthaṃ pravartayan granthakṛd avatārayati	nirUpa-tayA padyena tAvat--granTam pravartayan granTa-kRt avatArayati
   atheti	aTa-iti
   maṅgalārtham | yasmin śāstra-vaktur hṛdaya-niṣṭhā pratīyate tad eva	maFgala-arTam | yasmin SAstra-vaktuH hRdaya--nizWA pratIyate tat eva
   śāstra-pratipādya-vastu, na tv anyad ity arthaḥ | sveti tadīyam	SAstra--pratipAdya-vastu, na tu anyat iti arTaH | sva-iti tadIyam
   ajita-nirūpakaṃ	ajita-nirUpakam
   purāṇam ity arthaḥ | ṭīkā ceti sva-sukheneti | svam asādhāraṇaṃ jīvānāndād	purANam iti arTaH | wIkA ca-iti sva--suKena-iti | svam asADAraNam jIvAnAndAd
   utkṛṣṭam | guḍād iva madhu, yad-anabhibyakta-saṃsthāna-guṇa-vibhūti-līlam	utkRzwam | guxAt iva maDu, yat--anaBibyakta--saMsTAna-guNa--viBUti--lIlam
   ānanda-rūpaṃ sva-prakāśaṃ brahma-śabda-vyapadeśyaṃ vastu tenety arthaḥ |	Ananda--rUpam sva--prakASam brahma--Sabda--vyapadeSyam vastu tena-iti arTaH |
   rucirābhir iti pāramaiśvarya-samaveta-mādhurya-sambhinnatvān	rucirABiH iti pAramESvarya--samaveta--mADurya--samBinna-tvAn
   manojñābhir ānandaika-rūpābhiḥ pānaka-rasa-nyāyena sphurad-ajita-tat-	manojQABiH Ananda-eka--rUpABiH pAnaka-rasa-nyAyena sPurat--ajita-tat-
   parikarādibhir līlābhir ity arthaḥ | atrākhileti | pratikūlaṃ	parikara-AdiBiH lIlABiH iti arTaH | atra-aKila-iti | pratikUlam
   pratyākhyāyakam |	pratyAKyAyakam |
   udāsīnaṃ tyājakam ity arthaḥ | aṅka-yugmaṃ skandhādhyāyayor jñāpakam |	udAsInam tyAjakam iti arTaH | aFka--yugmam skanDa-aDyAyayoH jQApakam |
   śrī-sūtaḥ śrī-śaunakaṃ prati nirdhārayatīty avatārikāvākyena sambandhaḥ |	SrI--sUtaH SrI--SOnakam prati nirDArayati-iti avatArikA-vAkyena sambanDaH |
   evam uttaratra sarvatra bodhyam ||29||	evam uttaratra sarvatra boDyam ||29||
   tādṛśam eva tātparyaṃ karisyamāṇa-tad-grantha-pratipādya-tattva-nirṇaya-	tAdRSam eva tAtparyam karisyamANa--tad--granTa--pratipAdya--tattva--nirNaya-
   kṛte tat-pravaktṛ-śrī-bādarāyaṇa-kṛte samādhāv api saṅkṣepata eva	kRte tat--pravaktR--SrI-bAdarAyaNa-kRte samADO api saFkzepate eva
   nirdhārayati -	nirDArayati -
   bhakti-yogena manasi samyak praṇihite 'male |	Bakti-yogena manasi samyak praNihite amale |
   apaśyat puruṣaṃ pūrṇaṃ māyāṃ ca tad-apāśrayam ||	apaSyat puruzam pUrNam mAyAm ca tad--apASrayam ||
   yayā sammohito jīva ātmānaṃ tri-guṇātmakam |	yayA sammohitaH jIvaH AtmAnam tri-guNa-Atmakam |
   paro 'pi manute 'narthaṃ tat-kṛtaṃ cābhipadyate ||	paraH api manute anarTam tat-kRtam ca-aBipadyate ||
   anarthopaśamaṃ sākṣād bhakti-yogam adhokṣaje |	anarTa-upaSamam sAkzAt Bakti--yogam aDokzaje |
   lokasyājānato vidvāṃś cakre sātvata-saṃhitām ||	lokasya-ajAnataH vidvAn cakre sAtvata--saMhitAm ||
   yasyāṃ vai śrūyamāṇāyāṃ kṛṣṇe parama-pūruṣe |	yasyAm vE SrUyamANAyAm kRzNe parama--pUruze |
   bhaktir utpadyate puṃsaḥ śoka-moha-bhayāpahā ||	BaktiH utpadyate puMsaH Soka-moha--Baya-apahA ||
   sa saṃhitāṃ bhāgavatīṃ kṛtvānukramya cātma-jam |	sa saMhitAm BAgavatIm kRtvA-anukramya ca-Atma-jam |
   śukam adhyāpayām āsa nivṛtti-nirataṃ muniḥ || (BhP 1.7.4-8)	Sukam aDyApayAm Asa nivRtti--niratam muniH || (Bhj 1.7.4-8)
   tatra --	tatra --
   sa vai nivṛtti-nirataḥ sarvatropekṣako muniḥ |	sa vE nivRtti--nirataH sarvatra-upekzakaH muniH |
   kasya vā bṛhatīm etām ātmārāmaḥ samabhyasat || (BhP 1.7.9)	kasya vA bRhatIm etAm Atma-ArAmaH samaByasat || (Bhj 1.7.9)
   iti śaunaka-praśnānantaraṃ ca -	iti SOnaka--praSna-anantaram ca -
   ātmārāmāś ca munayo nirgranthā apy urukrame |	Atma-ArAmAH ca munayaH nirgranTAH api urukrame |
   kurvanty ahaitukīṃ bhaktim ittham-bhūta-guṇo hariḥ ||	kurvanti ahEtukIm Baktim itTam--BUta--guNaH hariH ||
   harer guṇākṣipta-matir bhagavān bādarāyaṇiḥ |	hareH guNa-Akzipta--matiH BagavAn bAdarAyaNiH |
   adhyagān mahad ākhyānaṃ nityaṃ viṣṇu-jana-priyaḥ || (BhP 1.7.10-11)	aDyagAt mahat AKyAnam nityam vizNu--jana-priyaH || (Bhj 1.7.10-11)
   bhakti-yogena premṇā |	Bakti-yogena premNA |
   astv evam aṅga bhagavān bhajatāṃ mukundo	astu evam aFga BagavAn BajatAm mukundaH-
   muktiṃ dadāti karhicit sma na bhakti-yogam || (BhP 5.6.18)	muktim dadAti karhicit sma na Bakti--yogam || (Bhj 5.6.18)
   ity atra prasiddheḥ | praṇihite samāhite samādhinānusmara tad-viceṣṭitam	iti atra prasidDeH | praNihite samAhite samADinA-anusmara tat--vicezwitam
   (BhP 1.5.13) iti taṃ prati śrī-nāradopadeśāt | pūrṇadasya mukta-pragrahayā	(Bhj 1.5.13) iti tam prati SrI-nArada-upadeSAt | pUrNa-dasya mukta--pragrahayA
   vṛttyā -	vRttyA -
   bhagavān iti śabdo'yaṃ tathā puruṣa ity api |	BagavAn iti SabdaH-ayam taTA puruzaH iti api |
   vartate nirupādhiś ca vāsudeve'khilātmani ||	vartate nirupADiH ca vAsudeve-aKilAtmani ||
   iti pādmottara-khaṇḍa-vacanāvaṣṭambhena, tathā -	iti pAdma-uttara---KaNxa--vacana-avazwamBena, taTA -
   kāma-kāmo yajet somam akāmaḥ puruṣaṃ param ||	kAma--kAmaH yajet somam akAmaH puruzam param ||
   akāmaḥ sarva-kāmo vā mokṣa-kāma udāra-dhīḥ |	akAmaH sarva-kAmaH vA mokza-kAmaH udAra-DIH |
   tīvreṇa bhakti-yogena yajeta puruṣaṃ param || (BhP 2.3.9-10)	tIvreNa Bakti-yogena yajeta puruzam param || (Bhj 2.3.9-10)
   ity asya vākya-dvayasya pūrva-vākye puruṣaṃ paramātmānaṃ prakṛty-	iti asya vAkya--dvayasya pUrva-vAkye puruzam paramAtmAnam prakRty-
   ekopādhim uttara-vākye puruṣaṃ pūrṇaṃ nirupādhim iti ṭīkānusāreṇa ca	eka-upADim uttara--vAkye puruzam pUrNam nirupADim iti wIka-anusAreNa ca
   pūrṇaḥ puruṣo'tra svayaṃ bhagavān ucyate ||30||	pUrNaH puruzaH-atra svayam BagavAn ucyate ||30||
   BD: grantha-vaktuḥ śukasya yatra niṣṭhāvadhāritā | tatraiva grantha-kartur	BD: granTa-vaktuH Sukasya yatra nizWA-avaDAritA | tatra-eva granTa-kartuH-
   vyāsasyāpi niṣṭhām avadhārayitum avatārayati tādṛśam eveti |	vyAsasya-api nizWAm avaDArayitum avatArayati tAdRSam eva-iti |
   nivṛtti-nirataṃ	nivRtti--niratam
   brahmānandād anyasmin spṛhā-virahitam | kasyeti saṃhitābhyāsasya kiṃ	brahma-AnandAt anyasmin spRhA--virahitam | kasya-iti saMhitA-aByAsasya kim
   phalam ity arthaḥ | adhyagād adhītavān | mukta-pragrahayeti yathāśvaḥ	Palam iti arTaH | aDyagAt aDItavAn | mukta--pragrahayA-iti yaTASvaH
   pragrahe mukte balāvadhi dhāvaty evaṃ pūrṇa-śabdaḥ pravṛttaḥ	pragrahe mukte bala-avaDi DAvati evam pUrNa--SabdaH pravRttaH
   pūrṇatvāvadhi pravarteteti vaktuṃ tad-avadhiś ca svayaṃ-bhagavaty eveti	pUrNa-tva-avaDi pravarteta-iti vaktum tad--avaDiH ca svayaM-BagavatI eva-iti
   tathocyata ity arthaḥ ||30||	taTA-ucyate iti arTaH ||30||
   pūrvam iti pāṭhe pūrvam evāham ihāsam, iti tat-puruṣasya puruṣatvam iti	pUrvam iti pAWe pUrvam eva-aham iha-asam, iti tat-puruzasya puruza-tvam iti
   śrauta-nirvacana-viśeṣa-puraskāreṇa ca sa evocyate | tam apaśyat śrī-veda-	SrOta--nirvacana--viSeza--puraskAreNa ca saH eva-ucyate | tam apaSyat SrI-veda-
   vyāsa iti svarūpa-śaktim antam evety etat svayam eva labdham pūrṇaṃ	vyAsaH iti svarUpa--Saktim antam eva-iti etat svayam eva labDam pUrNam
   candram apaśyad ity ukte kāntim antam apaśyad iti labhyate | ataeva -	candram apaSyat iti ukte kAntim antam apaSyat iti laByate | ataeva -
   tvam ādyaḥ puruṣaḥ sākṣād	tvam AdyaH puruzaH sAkzAt-
   īśvaraḥ prakṛteḥ paraḥ	ISvaraH prakRteH paraH
   māyāṃ vyudasya cic-chaktyā	mAyAm vyudasya cic--SaktyA
   kaivalye sthita ātmani || [BhP 1.7.23] ity uktam |	kEvalye sTitaH Atmani || [Bhj 1.7.23] iti uktam |
   ataeva māyāṃ ca tad-apāśrayam ity anena tasmin apa apakṛṣṭa āśrayo	ataeva mAyAm ca tad--apASrayam iti anena tasmin apa apakRzwaH ASrayaH-
   yasyāḥ | nilīya sthitatvād iti māyāyā na tat-svarūpa-bhūtatvam ity api	yasyAH | nilIya sTita-tvAt iti mAyAyAH na tat--svarUpa-BUta-tvam iti api
   labhyate | vakṣyate ca - māyā paraity abhimukhe ca vilajjamānā iti [BhP	laByate | vakzyate ca  mAyA parEti aBimuKe ca vilajjamAnAH iti [BhP
   2.7.47] | svarūpa-śaktir iyam atraiva vyaktībhaviṣyati anarthopaśamaṃ	2.7.47] | svarUpa--SaktiH iyam atra-eva vyaktIBavizyati anarTa-upaSamam
   sākṣād	sAkzAt-
   bhakti-yogam adhokṣaje [BhP 1.7.6] ity anena ātmārāmāś ca [BhP 1.7.10] ity	Bakti--yogam aDokzaje [Bhu 1.7.6] iti anena Atma-ArAmAH ca [Bhu 1.7.10] iti-
   anena ca | pūrvatra hi bhakti-yoga-prabhāvaḥ khalv asau māyābhibhāvakatayā	anena ca | pUrvatra hi Bakti--yoga--praBAvaH Kalu asO mAyA-aBiBAvaka-tayA
   svarūpa-śakti-vṛttitvenaiva gamyate | paratra ca te guṇā brahmānandasyāpy	svarUpa--Sakti-vRtti-tvena-eva gamyate | paratra ca te guNAH brahma-Anandasya-api-
   uparicaratayā svarūpa-śakteḥ parama-vṛttitām evārhantīti | māyādhiṣṭhātṛ-	upari-caratayA svarUpa--SakteH parama--vRtti-tAm eva-arhanti-iti | mAyA-aDizWAtR-
   puruṣas tu tad-aṃśatvena, brahma ca tadīya-nirviśeṣāvirbhāvatvena, tad-	puruzaH tu tad--aMSa-tvena, brahma ca tadIya--nirviSeza-AvirBAva-tvena, tat--
   antarbhāva-vivakṣayā pṛthaṅ nokte iti jñeyam | ato'tra pūrvavad eva	antarBAva--vivakzayA pRTak na-ukte iti jQeyam | atas-atra pUrvavat eva
   sambandhi-tattvaṃ nirdhāritam ||31||	sambanDi--tattvam nirDAritam ||31||
   BD: pāṭhāntareṇāpi sa evārtha iti vyākhyātum āha pūrvam iti | īśvarasyaiva	BD: pAWA-antareNa-api saH eva-arTaH iti vyAKyAtum Aha pUrvam iti | ISvarasya-eva
   pūrva-vartitvāt puruṣatvam ity arthaḥ | sa eveti svayaṃ bhagavān eva |	pUrva-varti-tvAt puruza-tvam iti arTaH | saH eva-iti svayam BagavAn eva |
   svarūpa-śaktimattve pramāṇam āha tvam iti | śrutiś cātrāsti | parāsya	svarUpa--Saktimat-tve pramANam Aha tvam iti | SrutiH ca-atra-asti | parAsya
   śaktir	SaktiH-
   vividhaiva śrūyate svābhāvikī jñāna-bala-kriyā ca iti (ŚvetU 6.8) | eṣaiva	viviDA-eva SrUyate svABAvikI jQAna-bala--kriyA ca iti (ŚvetU 6.8) | ezA-eva
   hlādinī sandhinīty ādinā smaryate | ity uktam iti kaṇṭhataḥ pāṭhitam	hlAdinI sanDinI-iti AdinA smaryate | iti uktam iti kaNWataH pAWitam
   arjunenety arthaḥ | māyāto'nyeyaṃ bodhyety āha ataevety ādinā | mūla-	arjunena-iti arTaH | mAyAtaH-anyA-iyam boDyA-iti Aha ataA-iva-iti AdinA | mUla-
   vākyena svarūpa-bhūtā cic-chaktir iyaṃ bodhitāstīy āha ataevety ādinā |	vAkyena svarUpa-BUtA cic--CaktiH iyam boDitA-astIi Aha ataA-iva-iti AdinA |
   paṭṭa-mahiṣīva svarūpa-śaktiḥ, bahir dvāra-sevikeva māyā-śaktir ity	pawwa--mahizI-iva svarUpa-SaktiH, bahis dvAra--sevikA-iva mAyA-SaktiH iti-
   ubhayor mahad-antaraṃ bodhyam | bhagavad-bhakter bhagavad-guṇānāṃ ca	uBayoH mahat--antaram boDyam | Bagavat--BakteH Bagavat--guNAnAm ca
   svarūpa-śakti-sārāṃśatvaṃ sayuktikam āha pūrvatra hītyādinā |	sva-rUpa--Sakti-sAra-aMSa-tvam sa-yuktikam Aha pUrvatra hi-ityAdinA |
   brahmānandasyeti anabhivyakta-saṃsthānādi-viśeṣasyeti bodhyam | nanu	brahma-Anandasya-iti anaBivyakta--saMsTAna-Adi-viSezasya-iti boDyam | nanu
   paramātma-rūpas tādṛśa-brahma-rūpaś cāvirbhāvaḥ kuto vyāsena na dṛṣṭa	paramAtma--rUpaH tAdRSa--brahma-rUpaH ca-AvirBAvaH kutas vyAsena na dRzwa
   iti cet tatrāha māyādhiṣṭhātr iti ||31||	iti ced tatra-Aha mAyA-aDizWAtr iti ||31||
   atha prāk-pratipāditasyaivābhedhyeasya prayojanasya ca sthāpakaṃ jīvasya	aTa prAk--pratipAditasya-eva-ABeDyeasya prayojanasya ca sTApakam jIvasya
   svarūpata eva parameśvarād vailakṣaṇyam apaśyad ity āha- yayā māyayā	svarUpataH eva parameSvarAt vElakzaNyam apaSyat iti Aha yayA mAyayA
   sammohito jīvaḥ svayaṃ cid-rūpatvena triguṇātmakāj jaḍāt paro'py ātmānaṃ	sammohitaH jIvaH svayam cit--rUpatvena triguNa-AtmakAt jaxAt paraH-api AtmAnam
   triguṇātmakaṃ jaḍaṃ dehādi-saṅghātaṃ manute | tan-manana-kṛtam anarthaṃ	triguNa-Atmakam jaxam deha-Adi-saFGAtam manute | tan-manana-kRtam anarTam
   saṃsāra-vyasanaṃ cābhipadyate | tad evaṃ jīvasya cid-rūpatve'pi yayā	saMsAra--vyasanam ca-aBipadyate | tat evam jIvasya cit---rUpatve-api yayA
   sammohita iti manute iti ca svarūpa-bhūta-jñāna-śālitvaṃ vyanakti	sammohitaH iti manute iti ca svarUpa-BUta--jQAna--SAli-tvam vyanakti
   prakāśaika-rūpasya tejasaḥ svapara-prakāśana-śaktivat | ajñānenāvṛtaṃ	prakASa-eka--rUpasya tejasaH sva-para--prakASana--Sakti-vat | ajQAnena-AvRtam
   jñānaṃ tena muhyanti jantavaḥ (Gītā 5.25) iti śrī-gītābhyaḥ | tad evaṃ	jQAnam tena muhyanti jantavaH (GItAH 5.25) iti SrI--gItAByaH | tat evam
   upādher eva jīvatvaṃ tan-nāśasyaiva mokṣatvam iti matāntaraṃ parihṛtavān |	upADeH eva jIva-tvam tan--nASasya-eva mokza-tvam iti mata-antaram parihRtavAn |
   atra yayā sammohitaḥ ity anena tasyā eva tatra kartṛtvaṃ bhagavatas	atra yayA sammohitaH iti anena tasyAH eva tatra kartR-tvam Bagavatas
   tatrodāsīnatvaṃ matam | vakṣyate ca --	tatra-udAsIna-tvam matam | vakzyate ca --
   vilajjamānayā yasya sthātum īkṣā-pathe'muyā	vilajjamAnayA yasya sTAtum IkzA--paTe-amuyA
   vimohitā vikatthante mamāham iti durdhiyaḥ || [BhP 2.5.13] iti |	vimohitAH vikatTante mama-aham iti durDiyaH || [Bhj 2.5.13] iti |
   atra vilajjamānayā ity anenedam āyāti tasyā jīva-sammhohanaṃ karma śrī-	atra vilajjamAnayA iti anena-idam AyAti tasyAH jIva--sammhohanam karma SrI-
   bhagavate na rocata iti yadyapi sā svayaṃ jānāti, tathāpi bhayaṃ	Bagavate na rocate iti yadi-api sA svayam jAnAti, taTA-api Bayam
   dvitīyābhiniveśataḥ syād īśād apetasya (BhP 11.2.37) iti diśā jīvānām	dvitIya-aBiniveSataH syAt ISAt apetasya (Bhu 11.2.37) iti diSA jIvAnAm
   anādi-bhagavad-ajñāna-maya-vaimukhyam asahamānā svarūpāvaraṇam	anAdi-Baga-vat--ajQAna-maya--vEmuKyam asahamAnA svarUpa-AvaraNam
   asvarūpāveśaṃ ca karoti ||32||	asvarUpa-AveSam ca karoti ||32||
   jīvo yenśvaraṃ bhajet bhaktyā ca tasmin premāṇaṃ vindet tato māyayā	jIvaH yet-Svaram Bajet BaktyA ca tasmin premANam vindet tatas mAyayA
   vimuktaḥ syāt tam īśvarāj jīvasya vāstavaṃ bhedam apaśyad iti vyācaṣṭe,	vimuktaH syAt tam ISvarAt jIvasya vAstavam Bedam apaSyat iti vyAcazwe,
   atha prāg ity ādinā | jīvasyeti vailakṣaṇyam iti sevakatva-sevyatvāṇutva-	aTa prAk iti AdinA | jIvasya-iti vElakzaNyam iti sevaka-tva--sevya-tva-aNu-tva-
   vibhutva-rūpa-nitya-dharma-hetukaṃ bhedam ity arthaḥ | nanu cin-mātro	viBu-tva--rUpa-nitya--Darma--hetukam Bedam iti arTaH | nanu cin--mAtraH-
   jīvaḥ yo vijñāne tiṣṭhan (BṛhadU 3.7.22), vijñānaṃ yajñaṃ tanute (TaittU	jIvaH yaH vijQAne tizWan (BRha-dU 3.7.22), vijQAnam yajQam tanute (TA-EttU
   2.5.1) ity ādau cid-dhātutva-śravaṇāt, na tasya dharma-bhūtaṃ nityaṃ	2.5.1) iti AdO cit--DAtu-tva--SravaNa-at, na tasya Darma-BUtam nityam
   jñānam	jQAnam
   asti yena moha-manane varṇanīye | tasmāt sattvā sañjāyate jñānam (Gītā	asti yena moha--manane varNanIye | tasmAt sattvA san-jAyate jQAnam (GItA
   14.17) ity ādi-vākyāt, sattve yā caitanyasya cchāyā, tad eva	14.17) iti Adi-vAkyAt, sattve yA cEtanyasya cCAyA, tat eva
   sattvopahitasya	sattva-upahitasya
   tasya jñānaṃ yena moha-manane vyāsena dṛṣṭe syātām iti cet tatrāha tad	tasya jQAnam yena moha--manane vyAsena dRzwe syAtAm iti ced tatra-Aha tat-
   evam ity ādinā | chāyābhāvāc ca na tat-kalpanaṃ yuktam iti bhāvaḥ | nanu	evam iti AdinA | CAyA-BAvAt ca na tat-kalpanam yuktam iti BAvaH | nanu
   svarūpa-bhūtaṃ jñānaṃ katham iti cet tatrāha parkāśaiketi | ahi-	svarUpa-BUtam jQAnam kaTam iti ced tatra-Aha parkASA-ekA-iti | ahi-
   kuṇḍalādhikaraṇe (Vs. 3.2.28) bhāṣitam etad draṣṭavyam | tṛtīya-sandarbhe	kuNxala-aDikaraNe (Vs. 3.2.28) BAzitam etat drazwavyam | tRtIya--sandarBe
   vistarīṣyāma etat | tad evam upādher iti antaḥkaraṇaṃ jīvaḥ antaḥ-karaṇa-	vistarIzyAmaH etat | tat evam upADeH iti antaHkaraNam jIvaH antaH-karaNa-
   nāśo jīvasya mokṣa iti śaṅkara-mataṃ dūsitam | tathā sati paro'pīty ādi-	nASaH jIvasya mokzaH iti SaFkara-matam dUsitam | taTA sati paraH-api-iti Adi-
   vyākopād iti bhāvaḥ | atreti tatra jīva-mohane karmaṇi | tasyā māyāyāḥ |	vyAkopAt iti BAvaH | atra-iti tatra jIva-mohane karmaNi | tasyAH mAyAyAH |
