   folios 1-4 are missing	folioH 1-4 are missing
   yat pūrvam ādau praṇidhiḥ kṛtas te buddho bhaveyaṃ paramārthadeśakaḥ //	yat pUrvam AdO praNiDiH kRtaH te budDaH Baveyam paramArTa-deSakaH //
   RKP_4.24	RKc-_4.24
   uttārayeyaṃ janatāṃ mahaughāl lokāya dharmaṃ vata deśayeyaṃ /	uttArayeyam janatAm mahA-oGAt lokAya Darmam vata deSayeyam /
   tṛṣṇāvimūlāni mahābhayāni duḥkhāny aśeṣāṇi ca śoṣayeyam // RKP_4.25	tRzNA-vimUlAni mahA-BayAni duHKAni aSezANi ca Sozayeyam // RKc-_4.25
   abhaye pure sattvagaṇaṃ praveśaye niveśya tān vai varabodhimārge /	aBaye pure sattva-gaNam praveSaye niveSya tAn vE vara-boDi-mArge /
   (Kurumiya 93)	(Kurum-iya 93)
   vimocayeyaṃ bahuduḥkhapīḍitān tāṃ sattvadhātuṃ paripūrṇa kuryām //	vimocayeyam bahu-duHKa-pIxitAn tAm sattva-DAtum paripUrNa kuryAm //
   RKP_4.26	RKc-_4.26
   mārgacyutānām iha pāpacāriṇāṃ kṣamasva nātha śrutaśīlanāśināṃ /	mArga-cyutAnAm iha pApa-cAriNAm kzamasva nATa Sruta-SIla-nASinAm /
   nistārayaitāṃ smaraya pratijñāṃ vadasva dharmaṃ bahukalpakoṭyaḥ //	nistArayA-etAm smaraya pratijQAm vadasva Darmam bahu-kalpa-kowyaH //
   RKP_4.27	RKc-_4.27
   oghāt samuttāraya nātha lokaṃ saṃsnāpayāṣṭāṃgajalena cainaṃ /	oGAt samuttAraya nATa lokam saMsnApaya-azwa-aMga-jalena ca-enam /
   nehāsti sattvaḥ sadṛśas triloke tvayā hi nātha pravaro na kaścit //	na-iha-asti sattvaH sadRSaH triloke tvayA hi nATa pravaraH na kaScid //
   RKP_4.28	RKc-_4.28
   muktaḥ svayaṃ lokam imaṃ ca mocaya pratārayasva tribhavārṇavāj jagat /	muktaH svayam lokam imam ca mocaya pratArayasva tri-Bava-arNavAt jagat /
   tvam eva buddho jagadekabāndhavo tiṣṭhasva nityaṃ vibhajasva dharmam //	tvam eva budDaH jagat-eka-bAnDavaH tizWasva nityam viBajasva Darmam //
   RKP_4.29	RKc-_4.29
   atha bahagavāṃ dvāraśālāyām avatatāra / tatkṣaṇād eva ca bahūni	aTa baha-gavAm dvAra-SAlAyAm avatatAra / tad-kzaNAt eva ca bahUni
   devanāgayakṣarākṣasakoṭīnayutaśatasahasrāṇi gagane vicaramāṇāni	deva-nAga-yakza-rAkzasa-kowIn-ayuta-Sata-sahasrANi gagane vicaramANAni
   sāsrumukhāny evam āhuḥ /	sa-asru-muKAni evam AhuH /
   asmābhir ādau sugatā hi dṛṣṭāḥ praśāntakāle suvinītaśiṣyāḥ /	asmABiH AdO sugatAH hi dRzwAH praSAnta-kAle su-vinIta-SizyAH /
   dharmopadeśaṃ vipulaṃ ca kurvatas teṣāṃ vighāto na sa īdṛśo 'bhūt //	Darma-upadeSam vipulam ca kurvataH tezAm viGAtaH na saH IdRSaH aBUt //
   RKP_4.30	RKc-_4.30
   (Kurumiya 94)	(Kurum-iya 94)
   eṣo hi śāstātinihīnakāle prāptaḥ svayaṃbhūtvam udārabuddhiḥ /	ezaH hi SAstA-ati-nihIna-kAle prAptaH svayaMBU-tvam udAra-budDiH /
   kleśāvṛte dharmam uvāca loke paripācanārthaṃ jagatāṃ munīndraḥ // RKP_4.31	kleSa-AvRte Darmam uvAca loke paripAcana-arTam jagatAm muni-indraH // RKc-_4.31
   asmiṃ punas tiṣṭhati vādisiṃhe pāpīmatāṃ naikasahasrakoṭyaḥ /	asmim punar tizWati vAdi-siMhe pApImatAm na-eka-sahasra-kowyaH /
   kuruvaṃti dharmasya vināśam evaṃ mā buddhavīrādya pure viśasva // RKP_4.32	kuruvaMti Darmasya vinASam evam mA budDa-vIra-adya pure viSasva // RKc-_4.32
   athāparā devataivam āha /	aTa-aparA devatA-evam Aha /
   cakraṃ jinair vartitam ekadeśe taiḥ pūrvakair lokahitaprayuktaiḥ /	cakram jinEH vartitam eka-deSe tEH pUrvakEH loka-hita-prayuktEH /
   ayaṃ punar gacchati yatra tatra mā khalv avasthāṃ samavāpsyate 'dya //	ayam punar gacCati yatra tatra mA Kalu avasTAm samavApsyate adya //
   RKP_4.33	RKc-_4.33
   athāparāpi devataivam āha /	aTa-aparA-api devatA-evam Aha /
   kāruṇyahetor iha sārthavāhaś cacāra sattvārtham atīva kurvan /	kAruNya-hetoH iha sArTavAhaH cacAra sattva-arTam atIva kurvan /
   sa kevalaṃ tv adya pure 'tra mā vai nāśaṃ prayāyād iti me vitarkaḥ //	sa kevalam tu adya pure atra mA vE nASam prayAyAt iti me vitarkaH //
   RKP_4.34	RKc-_4.34
   tena khalu punaḥ samayena tāni bahūni	tena Kalu punar samayena tAni bahUni
   devanāgayakṣarākṣasāsuragaruḍakinnaramahoragakoṭīnayutaśatasahasrāṇi	deva-nAga-yakza-rAkzasa-asura-garuxa-kinnara-mahA-uraga-kowIn-ayuta-Sata-sahasrANi
   sāsrudurdinavadanāni gaganatalapathād avatīrya bhagavataḥ purataḥ	sa-asru-durdina-vadanAni gagana-tala-paTAt avatIrya BagavataH puratas-
   sthitvānekaprakārān ātmano viprakārāṃś cakruḥ / kecit keśān vilumpanti sma	sTitvA-aneka-prakArAn AtmanaH viprakArAn cakruH / kecid keSAn vilumpanti sma
   / kecid ābharaṇāni mumucuḥ / kecic (Kurumiya 95) chatradhvajapatākān	/ kecid ABaraNAni mumucuH / kecid (Kurum-iya 95) Catra-Dvaja-patAkAn
   prapātayām āsuḥ / kecit svaśarīreṇa bhūmau nipetuḥ / kecid bhagavataś	prapAtayAm AsuH / kecid sva-SarIreNa BUmO nipetuH / kecid BagavataS
   caraṇau jagṛhuḥ / kecid atikaṣṭaṃ ruruvuḥ / kecid urāṃsi pāṇibhiḥ	caraNO jagRhuH / kecid ati-kazwam ruruvuH / kecid urAMsi pANiBiH
   parājaghnuḥ / kecid bhagavataḥ pādamūle sthitvā madguvat parāvartante sma	parAjaGnuH / kecid BagavataH pAda-mUle sTitvA madgu-vat parAvartante sma
   / kecid bhagavataḥ purataḥ prāṃjalayo bhūtvā stutinamaskārāṃś cakruḥ /	/ kecid BagavataH puratas prAMjalayaH BUtvA stuti-namaskArAn cakruH /
   kecid bhagavantaṃ	kecid Bagavantam
   puṣpadhūpagandhamālyavilepanavastrābharaṇasuvarṇasūtramuktāhāraduṣyair	puzpa-DUpa-ganDa-mAlya-vilepana-vastra-ABaraNa-suvarNa-sUtra-muktA-AhAra-duzyEH-
   avakiraṃti sma /	avakiraMti sma /
   athāparā bahvyo devakoṭya uccair ekaṇṭhenaivam āhuḥ /	aTa-aparAH bahvyaH deva-kowyaH uccEs ekaNWena-evam AhuH /
   tvayā pracīrṇāni hi duṣkarāṇi atīva lokārtham ito bahūni /	tvayA pracIrNAni hi duzkarANi atIva loka-arTam itas bahUni /
   kṣīṇe tvam utpanna ihādya kāle upekṣakas tiṣṭha ca mā tyajasva // RKP_4.35	kzINe tvam utpannaH iha-adya kAle upekzakaH tizWa ca mA tyajasva // RKc-_4.35
   alpaṃ kṛtaṃ te 'nagha buddhakāryaṃ sākṣīkṛtāś cālpatarā nṛdevāḥ /	alpam kRtam te anaGa budDa-kAryam sAkzIkRtAH ca-alpatarAH nRdevAH /
   tvaṃ tiṣṭha dharmān suciraṃ prakāśayan uttārayāsmat tribhavārṇavāj jagat	tvam tizWa DarmAn su-ciram prakASayan uttArayA-asmat tri-Bava-arNavAt jagat-
   // RKP_4.36	// RKc-_4.36
   sattvā hy aneke śubhakarmacāriṇaḥ paripakvabījā amṛtasya bhājanāḥ /	sattvAH hi aneke SuBa-karma-cAriNaH paripakva-bIjAH amRtasya BAjanAH /
   karuṇāṃ janasva pratidarśayārtham oghebhya uttāraya lokam ārtam //	karuNAm janasva pratidarSaya-arTam oGeByaH uttAraya lokam Artam //
   RKP_4.37	RKc-_4.37
   gatyāṭavīmadhyagatā bhramaṃti saṃsārakāntāravinaṣṭamārgāḥ /	gatyA-awavI-maDya-gatAH BramaMti saMsAra-kAntAra-vinazwa-mArgAH /
   (Kurumiya 96)	(Kurum-iya 96)
   teṣāṃ sumārgaṃ pratidarśayasva pramokṣayāryottamadharmavāgbhiḥ // RKP_4.38	tezAm su-mArgam pratidarSayasva pramokzaya-Arya-uttama-Darma-vAgBiH // RKc-_4.38
   etat tavāścaryataraṃ kṛpādbhutaṃ pravartitaṃ yad varadharmacakraṃ /	etat tava-AScaryataram kRpA-adButam pravartitam yat vara-Darma-cakram /
   ciraṃ hi tiṣṭha tvam udārabuddhe mā khalv anāthā janatā bhaveta //	ciram hi tizWa tvam udAra-budDe mA Kalu anATA janatA Baveta //
   RKP_4.39	RKc-_4.39
   athāparāpi devataivam āha /	aTa-aparA-api devatA-evam Aha /
   nāśaṃ prayāsyaty atha yad vināyako lokas tathāndho nikhilo bhaviṣyati /	nASam prayAsyati aTa yat vinAyakaH lokaH taTA-anDaH niKilaH Bavizyati /
   aṣṭāṃgamārgas trivimokṣahetuḥ sarveṇa sarvaṃ na bhaviṣyatīha // RKP_4.40	azwa-aMga-mArgaH tri-vimokza-hetuH sarveNa sarvam na Bavizyati-iha // RKc-_4.40
   asmābhir asmiṃ chubhabījam uptaṃ vākkāyacetodbhavam apramatttaiḥ /	asmABiH asmim CuBa-bIjam uptam vAkkAya-cetA-udBavam apramatttEH /
   tato vayaṃ sarvasukhaiḥ samanvitāḥ puṇyākarasyāsya hi mā bhavet kṣayaḥ //	tatas vayam sarva-suKEH samanvitAH puNya-Akarasya-asya hi mA Bavet kzayaH //
   RKP_4.41	RKc-_4.41
   tena ca samayena bahūni śuddhāvāsadevakoṭīnayutaśatasahasrāṇi tatraiva	tena ca samayena bahUni SudDAvAsa-deva-kowIn-ayuta-Sata-sahasrANi tatra-eva
   sannipatitāny abhūvan // tāny apy evam āhuḥ /	sannipatitAni aBUvan // tAni api evam AhuH /
   mā bhaiṣṭa yūyaṃ na muner avasthā bhaviṣyate kācid udārabuddheḥ /	mA BEzwa yUyam na muneH avasTA Bavizyate kAcid udAra-budDeH /
   pratyakṣapūrvā vayam asya sādhor upāgatā yad bhuvi mārakoṭyaḥ // RKP_4.42	pratyakza-pUrvAH vayam asya sADoH upAgatA yat Buvi mAra-kowyaH // RKc-_4.42
   ṣaṭtriṃśadyojanāni drutarabhasaparā yat samantād vitatya	zawtriMSat-yojanAni druta-raBasa-parA yat samantAt vitatya
   prāsāsisphītakhaḍgapracurakhararavā bhīṣaṇī mārasenā /	prAsa-asi-sPIta-Kaxga-pracura-Kara-ravA BIzaNI mArasenAH /
   saṃprāptā bodhimaṇḍe vilayam upagatā tatkṣaṇād eva bhītā	saMprAptA boDimaNxe vilayam upagatA tad-kzaNAt eva BItA
   prāptārthasyādya kiṃ svit prasṛtayaśaso vighnam eṣa prakuryāt // RKP_4.43	prApta-arTasya-adya kim svid prasRta-yaSasaH viGnam eza prakuryAt // RKc-_4.43
   (Kurumiya 97)	(Kurum-iya 97)
   athāparā devatā prarudantī evam āha /	aTa-aparA devatA prarudantI evam Aha /
   mārasyaikasya sā senā prāg āsin na mahābalā /	mArasya-ekasya sA senA prAk Asin na mahA-balA /
   mārakoṭīsahasrāṇām iyaṃ senā mahābalā // RKP_4.44	mAra-kowI-sahasrANAm iyam senA mahA-balAH // RKc-_4.44
   niḥsaṃśayam iha prāpto nāśaṃ lokavināyakaḥ /	niHsaMSayam iha prAptaH nASam loka-vinAyakaH /
   yadvināśād ayaṃ loko nirāloko bhramiṣyati // RKP_4.45	yat-vinASAt ayam lokaH nirAlokaH Bramizyati // RKc-_4.45
   atha khalu te śakrabrahmalokapālā bhagavataḥ pādayoḥ pariṣvajyaivam āhuḥ /	aTa Kalu te Sakra-brahma-lokapAlAH BagavataH pAdayoH parizvajya-evam AhuH /
   tiṣṭheha sādho kuru mandadhīnām asmadvacaḥ kāruṇikapradhāna /	tizWA-iha sADo kuru manda-DInAm asmad-vacaH kAruNika-praDAnaH /
   bahudevakoṭyo ghanaśokataptās tāḥ sāmprataṃ dharmarasena siṃca // RKP_4.46	bahu-deva-kowyaH Gana-Soka-taptAH tAH sAmpratam Darma-rasena siMca // RKc-_4.46
   atha khalu bhagavāṃs tāṃ sarvāvatīṃ parṣadaṃ maitrāviśālābhyāṃ nayanābhyām	aTa Kalu BagavAn tAm sarvAvatIm parzadam mEtrAviSAlAByAm nayanAByAm
   avalokya brāhmeṇa svareṇa tāṃ samāśvāsayann evam āha /	avalokya brAhmeNa svareNa tAm samASvAsayan evam Aha /
   mā bhaiṣṭa yūyaṃ bhavathādya nirbhayāḥ sarve 'pi mārā yugapat savāhanāḥ /	mA BEzwa yUyam BavaTa-adya nirBayAH sarve api mArAH yugapad sa-vAhanAH /
   śaktā na me bhīṣayituṃ samagrā romāpy athaikaṃ kim u sarvadeham //	SaktAH na me BIzayitum samagrAH roma-api aTa-ekam kim u sarva-deham //
   RKP_4.47	RKc-_4.47
   āśvāsayāmy adya tu sarvalokaṃ dharmaṃ sadāhaṃ bhuvi deśayiṣye /	ASvAsayAmi adya tu sarva-lokam Darmam sa-dAham Buvi deSayizye /
   mārgacyutānām aham eva samyaṅ mārgopadeśaṃ viśadaṃ kariṣye // RKP_4.48	mArga-cyutAnAm aham eva samyak mArga-upadeSam viSadam karizye // RKc-_4.48
   (Kurumiya 98)	(Kurum-iya 98)
   kṛtāni pūrvaṃ bahuduṣkarāṇi mayānnapānaṃ vipulaṃ pradattaṃ /	kRtAni pUrvam bahu-duzkarANi mayA-anna-pAnam vipulam pradattam /
   āvāsabhaiṣajyam analpakaṃ ca kartuṃ vighātaṃ mama ko 'dya śakyaḥ //	AvAsa-BEzajyam analpakam ca kartum viGAtam mama kaH adya SakyaH //
   RKP_4.49	RKc-_4.49
   tyaktā mayā hy aśvarathā gajāś ca vibhūṣaṇāny ābharaṇāni caivam /	tyaktAH mayA hi aSvaraTAH gajAH ca viBUzaNAni ABaraNAni ca-evam /
   dāsāś ca dāsyo nigamāś ca rāṣṭrāḥ kartuṃ vighātaṃ mama kaḥ samarthaḥ //	dAsAH ca dAsyaH nigamAH ca rAzwrAH kartum viGAtam mama kaH samarTaH //
   RKP_4.50	RKc-_4.50
   bhāryāsutāduhitṛkaḍatravargam aiśvaryam iṣṭaṃ bhuvi rājavaṃśaḥ /	BAryA-sutA-duhitR-kaxatra-vargam ESvaryam izwam Buvi rAja-vaMSaH /
   datto mayā sattvahitāya kasmāc charīranāśo 'dya bhaviṣyati me // RKP_4.51	dattaH mayA sattva-hitAya kasmAt SarIra-nASaH adya Bavizyati me // RKc-_4.51
   śiraś ca netre ubhe karṇanāse hastau ca pādau tanucarmalohitaṃ /	SiraH ca netre uBe karNa-nAse hastO ca pAdO tanu-carma-lohitam /
   svajīvitaṃ tyaktam apīha dehināṃ kartuṃ vihiṃsāṃ mama kaḥ samarthaḥ //	sva-jIvitam tyaktam api-iha dehinAm kartum vihiMsAm mama kaH samarTaH //
   RKP_4.52	RKc-_4.52
   bahvyo mayātīva hi buddhakoṭyaḥ saṃpūjitā bhaktimatā svahastaṃ /	bahvyaH mayA-atIva hi budDa-kowyaH saMpUjitA BaktimatA sva-hastam /
   śīlaśrutikṣāntiratena nityaṃ kartuṃ vilopaṃ mama kaḥ samarthaḥ // RKP_4.53	SIla-Sruti-kzAnti-ratena nityam kartum vilopam mama kaH samarTaH // RKc-_4.53
   pūrvaṃ mayā vai bahuduṣkarāṇi kṛtāni me 'tīva samāhitena /	pUrvam mayA vE bahu-duzkarANi kRtAni me atIva samAhitena /
   saṃchinnagātreṇa na roṣitaṃ manaḥ kartuṃ vihiṃsāṃ mama ko 'dya śaktaḥ //	saMCinna-gAtreNa na rozitam manaH kartum vihiMsAm mama kaH adya SaktaH //
   RKP_4.54	RKc-_4.54
   (Kurumiya 99)	(Kurum-iya 99)
   kleśā jitā me niyato 'smi buddhaḥ sarveṣu sattveṣu ca maitracittaḥ /	kleSAH jitAH me niyataH asmi budDaH sarvezu sattvezu ca mEtra-cittaH /
   īrṣyā ca me nāsti khilaṃ ca roṣo na me samarthaḥ purato 'dya kaścit //	IrzyA ca me na-asti Kilam ca rozaH na me samarTaH puratas adya kaScid //
   RKP_4.55	RKc-_4.55
   jitaṃ mayā mārabalaṃ samagraṃ parājitā me bahumārakoṭyaḥ /	jitam mayA mAra-balam samagram parAjitA me bahu-mAra-kowyaH /
   yuṣmadvimokṣaṃ niyataṃ kariṣye mā bhaiṣṭa kasmān na puraṃ pravekṣye //	yuzmad-vimokzam niyatam karizye mA BEzwa kasmAt na puram pravekzye //
   RKP_4.56	RKc-_4.56
   ye keci diśāsu daśasv apīha buddhā hi tiṣṭhaṃti tu sattvahetoḥ /	ye keci diSAsu daSasu api-iha budDAH hi tizWaMti tu sattva-hetoH /
   tāṃ sarvabuddhān iha yojayiṣye maharddhikāṃś cāpy atha bodhisattvān //	tAm sarva-budDAn iha yojayizye mahardDikAn ca-api aTa boDisattvAn //
   RKP_4.57	RKc-_4.57
   kṣetraṃ prapūrṇaṃ sakalaṃ kariṣye jñānena puṇyena ca vāsayiṣye /	kzetram prapUrNam sakalam karizye jQAnena puNyena ca vAsayizye /
   tair eva buddhaiḥ saha netri saṃsthitā kariṣya buddhānumataṃ ca kāryam //	tEH eva budDEH saha netri saMsTitA karizya budDa-anumatam ca kAryam //
   RKP_4.58	RKc-_4.58
   tena khalu punaḥ samayenāprameyāsaṃkhyeyāni	tena Kalu punar samayena-aprameya-asaMKyeyAni
   devanāgayakṣarākṣasāsuragaruḍakinnaramahoragamanuṣyāmanuṣyakoṭīnayutaśatasahasrāṇi	deva-nAga-yakza-rAkzasa-asura-garuxa-kinnara-mahA-uraga-manuzya-amanuzya-kowIn-ayuta-Sata-sahasrANi
   bhagavate sādhukāraṃ pradaduḥ / evaṃ cāhuḥ / nama	Bagavate sADu-kAram pradaduH / evam ca-AhuH / nama
   āścaryādbhutāsaṃkhyeyavīryasamanvāgatāya / namo namo	AScarya-adButa-asaMKyeya-vIrya-samanvAgatAya / namaH namaH-
   mahāścaryādbhutāsaṃkhyeyavīryasamanvāgatāya buddhāya bhagavate / āśvāsito	mahAH-caryA-adButa-asaMKyeya-vIrya-samanvAgatAya budDAya Bagavate / ASvAsitaH-
   bhagavatā sadevako lokaḥ / parājito bhagavatā mārapakṣaḥ / vidhūtaṃ	BagavatA sa-devakaH lokaH / parAjitaH BagavatA mAra-pakzaH / viDUtam
   sattvānāṃ sandhikleśakāluṣyaṃ / (Kurumiya 100) prabhinnaḥ sattvānāṃ	sattvAnAm sanDi-kleSa-kAluzyam / (Kurum-iya 100) praBinnaH sattvAnAm
   mānaparvataḥ / chinno janmavṛkṣaḥ / vicūrṇito mṛtyusūryaḥ / vidhūto	mAna-parvataH / CinnaH janma-vRkzaH / vicUrNitaH mRtyu-sUryaH / viDUtaH-
   'vidyāndhakāraḥ / prasāditā anyatīrthyāḥ / saṃśoṣitāś catvāra oghāḥ /	avidyA-anDakAraH / prasAditAH anya-tIrTyAH / saMSozitAH catvAraH oGAH /
   prajvālitā dharmolkāḥ / nidarśito bodhimārgaḥ / niyojitāḥ kṣāṇtisoratye /	prajvAlitAH Darma-ulkAH / nidarSitaH boDi-mArgaH / niyojitAH kzANti-soratye /
   krīḍāpitā dhyānasaukhye / avabodhitāni catvāry āryasatyāni / samuttārito	krIxA-pitA DyAna-sOKye / avaboDitAni catvAri Arya-satyAni / samuttAritaH-
   bhagavatā mahākāruṇikena śāstrā janmasamudrāt sadevako lokaḥ / praveśitās	BagavatA mahA-kAruNikena SAstrA janma-samudrAt sa-devakaH lokaH / praveSitAH-
   sattvā 'bhayapuraṃ //	sattvAH aBaya-puram //
   atha te devamanuṣyā nānāpuṣpadhūpagandhamālyālaṅkāravibhūṣaṇair	aTa te deva-manuzyAH nAnA-puzpa-DUpa-ganDa-mAlya-alaFkAra-viBUzaNEH-
   bhagavantam abhyarcayitvā bhagavato 'rthāya te mārgaṃ śobhayām āsuḥ /	Bagavantam aByarcayitvA BagavataH arTAya te mArgam SoBayAm AsuH /
   divyavastrapuṣpaduṣyaiś ca bhagavantaṃ saṃchādayanti sma / divyaiś ca	divya-vastra-puzpa-duzyEH ca Bagavantam saMCAdayanti sma / divyEH ca
   māndāravamahāmāndāravapāruṣakamahāpāruṣakamaṃjuṣakamahāmaṃjuṣakarocamahārocotpalakumudapuṇḍarīkaiḥ	mAnda-Arava-mahA-mAndArava-pAruzaka-mahA-pAruzaka-maMjuzaka-mahA-maMjuzaka-roca-mahArocA-utpala-kumuda-puNxarIkEH
   saṃchādayām āsuḥ / yatra bhagavāṃs tau caraṇau niścikṣepa tasmiṃś ca mārge	saMCAdayAm AsuH / yatra BagavAn tO caraNO niScikzepa tasmin ca mArge
   ubhayoḥ pārśvayor divyāṃ saptaratnamayān vṛkṣān abhinirmimīya	uBayoH pArSvayoH divyAm sapta-ratna-mayAn vRkzAn aBinirmimIya
   divyavastraduṣyahastakarṇaśīrṣābharaṇair alaṃcakruḥ / teṣu ca vṛkṣāntareṣu	divya-vastra-duzya-hasta-karNa-SIrza-ABaraNEH alaMcakruH / tezu ca vRkza-antarezu
   divyāḥ puṣkiriṇīr māpayaṃti sma / śītāḥ svādūdakā viprasannā anāvilāḥ /	divyAH puzkiriNIH mApayaMti sma / SItAH svAdu-udakAH viprasannAH anAvilAH /
   aṣṭāṃgopetavāriparipūrṇāḥ samantāt saptaratnālaṃkārālaṃkṛtāḥ / antarikṣe	azwAMga-upeta-vAri-paripUrNAH samantAt sapta-ratna-alaMkAra-alaMkRtAH / antarikze
   ca saptaratnamayāni cchatrāṇi dadhrire /	ca sapta-ratna-mayAni cCatrANi daDrire /
   dhvajapatākāsuvarṇasūtramuktāhārāṃś ca suvarṇacūrṇavarṣāṃś ca vavarṣuḥ /	Dvaja-patAkA-suvarNa-sUtra-muktA-AhArAn ca suvarNa-cUrNa-varzAn ca vavarzuH /
   rūpyavaiḍūryacūrṇāgarutagaracandanakālānusāritamālapatravarṣāṇi (Kurumiya	rUpya-vExUrya-cUrNa-agaru-tagara-candana-kAla-anusArita-mAla-patra-varzANi (Kurum-iya
   101) samutsasarjuḥ / gośīrṣoragasāracandanacūrṇañ ca tasmin mārge vavarṣuḥ	101) samutsasarjuH / goSIrza-uraga-sAra-candana-cUrNan ca tasmin mArge vavarzuH
   / suvarṇasūtramuktāhāramaṇimuktibhiś ca sarvaṃ gaganatalaṃ	/ suvarNa-sUtra-muktA-AhAra-maNi-muktiBiH ca sarvam gagana-talam
   nānādivyālaṅkārair alañcakruḥ / nagarasya ca bahirdhā devamanuṣyāḥ	nAnA-divya-alaFkArEH alaQcakruH / nagarasya ca bahirDA deva-manuzyAH
   bhagavataḥ pūjākarmaṇe mārgaśobhāñ cakrire / antarnagarañ ca mārā	BagavataH pUjA-karmaNe mArga-SoBAn cakrire / antar-nagaran ca mArA
   mārapārṣadyāś ca śobhāvyūhair vyūhayām āsur bhagavataḥ pūjākarmaṇe //	mAra-pArzadyAH ca SoBA-vyUhEH vyUhayAm AsuH BagavataH pUjA-karmaNe //
   atha khalu bhagavāṃs tasmiṃ samaye śūraṃgaman nāma samādhiṃ samāpede /	aTa Kalu BagavAn tasmim samaye SUraMgamat nAma samADim samApede /
   tena ca samādhinā yathā samāpanna eva mārgaṃ jagāma / tena khalu punas	tena ca samADinA yaTA samApannaH eva mArgam jagAma / tena Kalu punar-
   samayena nānādyaiḥ kāyarūpaliṅgeryāpathair bhagavāṃs taṃ mārgam	samayena nAnA-AdyEH kAya-rUpa-liFgeH-yApaTEH BagavAn tam mArgam
   abhipratasthe / tatra ye sattvā brahmabhaktikā brahmavainayikās te	aBipratasTe / tatra ye sattvAH brahma-BaktikAH brahma-vEnayikAH te
   brahmarūpeṇa bhagavantaṃ mārgaṃ vrajantam adrākṣuḥ / yāvad ye	brahma-rUpeNa Bagavantam mArgam vrajantam adrAkzuH / yAvat ye
   śakravainayikā ye nārāyaṇavainayikā ye maheśvaravainayikā ye	Sakra-vEnayikAH ye nArAyaNa-vEnayikAH ye maheSvara-vEnayikAH ye
   caturmahārājavainayikā ye cakravartivainayikā ye koṭṭarājavainayikā ye	catur-mahA-rAja-vEnayikAH ye cakravarti-vEnayikAH ye kowwa-rAja-vEnayikA ye
   maharṣivainayikā ye śramaṇavainayikā ye kumāravainayikā ye strīvainayikā	mahA-Rzi-vEnayikAH ye SramaNa-vEnayikAH ye kumAra-vEnayikA ye strI-vEnayikA
   ye siṃhavainayikā ye gajavainayikā ye nāgavainayikā ye asuravainayikā ye	ye siMha-vEnayikAH ye gaja-vEnayikAH ye nAga-vEnayikAH ye asura-vEnayikAH ye
   śaśabhaktikāḥ śaśavainayikāḥ śaśarūpaliṃgeryāpathena bhagavantaṃ mārgaṃ	SaSaBaktikAH SaSa-vEnayikAH SaSa-rUpa-liMgeH-yApaTena Bagavantam mArgam
   vrajantam adrākṣuḥ / ye sattvā buddhavainayikās te	vrajantam adrAkzuH / ye sattvAH budDa-vEnayikAH te
   buddharūpaliṃgeryāpathenaiva bhagavantaṃ mārgaṃ vrajantam adrākṣuḥ / sarve	budDa-rUpa-liMgeH-yApaTena-eva Bagavantam mArgam vrajantam adrAkzuH / sarve
   ca te sattvāḥ prāṃjalayo bhūtvā samabhiṣṭuvaṃto namaskurvantaḥ pṛṣṭhataḥ	ca te sattvAH prAMjalayaH BUtvA samaBizwuvaMtaH namaskurvantaH pRzWatas-
   pṛṣṭhataḥ samanubaddhā jagmuḥ //	pRzWatas samanubadDAH jagmuH //
   tena khalu punaḥ samayena yo 'sāv anuhimavannivāsī jyotīsaro nāmarṣir	tena Kalu punar samayena yaH asO anuhimavat-nivAsI jyotIsaraH nAma-RziH-
   (Kurumiya 102) māreṇa pāpīmatā udyojitaḥ sa paṃcaśataparivāro rājagṛhasya	(Kurum-iya 102) mAreNa pApImatA udyojitaH sa paMca-Sata-parivAraH rAjagRhasya
   mahānagaradvārasamīpe	mahA-nagara-dvAra-samIpe
   ............................. @folios 44 to 46 are missing; text according	............................. @folioH 44 taH 46 are missing; text at-ca-Urding
   to Dutt:@@ .............................. pratīkṣya bhagavato	taH Dutt:@@ .............................. pratIkzya BagavataH-
   rūpaliṅgeryāpatham apaśyat tathā mārge cāsaṃkhyeyā vṛkṣadevatā pūjākarmaṇe	rUpa-liFgeH-yApaTam apaSyat taTA mArge ca-asaMKyeyA vRkza-devatA pUjA-karmaNe
   udyuktāḥ / dṛṣṭvedaṃ tasyaitad abhavat / satyavādī maharṣir ayaṃ	udyuktAH / dRzwvA-idam tasya-etat aBavat / satya-vAdI mahA-RziH ayam
   mahānubhāvaḥ pūjārhaḥ / ........................	mahA-anuBAvaH pUjA-arhaH / ........................
   @folios 47 to 64 are very fragmentary@@	@folioH 47 taH 64 are verI fragmentary@@
   atha jyotīraso ṛṣiḥ saparivāraḥ buddharūpaliṃgeryāpathasthitaṃ bhagavantaṃ	aTa jyotIrasaH RziH sa-parivAraH budDa-rUpa-liMgeH-yA-paTa-sTitam Bagavantam
   dṛṣṭvā ............ si ratnaketuṃ nāma bodhisattvasamādhiṃ pratilebhe /	dRzwvA ............ si ratnaketum nAma boDisattva-samADim pratileBe /
   yasya samādheḥ samāpra ............. bhavaty asaṃhāryaḥ sarvasamāpattibhiḥ	yasya samADeH samApra ............. Bavati asaMhAryaH sarva-samApattiBiH
   atha jyotīraso maharṣir bhagavataḥ prāṃjalibhūtaḥ puṣpaṃ dattvā stutvā ca	aTa jyotIrasaH mahA-RziH BagavataH prAMjali-BUtaH puzpam dattvA stutvA ca
   abhyastāvīt //	aByastAvIt //
