   <B1> śrīḥ /	<B1> SrIH /
   vrīhyādiniṣṭhatvasyaivāvagatestattvenaiva samavāyikāraṇatā nātmatvena /	vrIhi-Adi-nizWatu-asya-eva-avagateH-tattvena-eva samavAyikAraNa-tA na-Atma-tvena /
   ataścāvaghātasyādṛṣṭavituṣībhāvobhayadvārā apūrvasādhanībhūtavrīhyuddeśena	atas-ca-avaGAtasya-adRzwa-vituzIBAva-uBaya-dvArAH apUrva-sADanIBUta-vrIhi-uddeSena
   vidhānāt siddhaṃ saṃskārakarmatvam /	viDAnAt sidDam saMskAra-karma-tvam /
   prayojanaṃ yāgārthavrīhyapekṣayā vrīhyantaramavaghātārthamupādeyaṃ	prayojanam yAga-arTa-vrIhi-apekzayA vrIhi-antaram-avaGAta-arTam-upAdeyam
   pūrvapakṣe, siddhānte neti // 4 // iti	pUrva-pakze, sidDAnte na-iti // 4 // iti
   caturthamavaghātadṛṣṭārthatvādhikaraṇam /	caturTam-avaGAta-dRzwa-arTa-tva-aDikaraNam /
   ----------------- <B2> (bhāvārthādhikaraṇenākṣepasaṅgatinirūpaṇapūrvakaṃ	---------------- <B2> (BAva-arTa-aDikaraNena-Akzepa-saFgatinirUpaNa-pUrvakam
   prayājaśeṣanyāyena vrīhīṇāmavaghātārthatvena pūrvapakṣopapādanam)	prayAja-Seza-nyAyena vrIhINAm-avaGAta-arTa-tvena pUrva-pakza-upapAdanam)
   apūrvādhikaraṇādhīno bhāvārthādhikaraṇasyātmalābha ityapūrvādhikaraṇasya	apUrva-aDikaraNa-aDInaH BAva-arTa-aDikaraNasya-Atma-lABaH iti-apUrva-aDikaraNasya
   bhāvārthādhikaraṇaśeṣatayā tatsaṅgatau prayojanābhāvāt	BAva-arTa-aDikaraNa-Seza-tayA tad-saFgatO prayojana-aBAvAt
   bhāvārthādhikaraṇenaivākṣepikīṃ saṅgatiṃ darśayituṃ	BAva-arTa-aDikaraNena-eva-AkzepikIm saFgatim darSayitum
   bhāvādhikaraṇasiddhāntānuvādena pūrvapakṣamāha -------------	BAva-aDikaraNa-sidDAnta-anuvAdena pUrva-pakzam-Aha -------------
   vrīhīnavahantītyādāviti //	vrIhi-in-avahanti-iti-AdO=-iti //
   ādipadena taṇḍulān pinaṣṭītyādisaṃgrahaḥ /	Adi-padena taNxulAn pinazwI-ityAdi-saMgrahaH /
   avaghātādīnāmadṛṣṭārthatve 'pi yadi tadadṛṣṭaṃ vrīhyādiniṣṭhaṃ	avaGAta-AdInAm-adRzwa-arTa-tve api yadi tat-adRzwam vrIhi-Adi-nizWam
   aṅgīkriyate, tathāpi na vrīhīṇāmavaghātārthatvasiddhirityetadarthamāha	aFgIkriyate, taTA-api na vrIhINAm-avaGAta-arTa-tva-sidDiH-iti-etad-arTam-Aha
   ------------- tadapiceti //	------------ tat-apicA-iti //
   prayājādijanyādṛṣṭavadātmanyevotpatteranapekṣitāśraye	prayAja-Adi-janya-adRzwa-vat-Atmani-eva-utpatteH-anapekzita-ASraye
   vrīhyādyāśrayatvakalpanāpekṣayāvaghāta eva dravyāpekṣe	vrIhi-Adi-ASraya-tva-kalpanA-apekzayA-avaGAtaH eva dravya-apekze
   vrīhyādidravyavidhānasyocitatvāt /	vrIhi-Adi-dravya-viDAnasya-ucita-tvAt /
   ataeva apekṣitavidhilābhāya prayājaśeṣanyāyena	ataeva apekzita-viDi-lABAya prayAja-Seza-nyAyena
   dvitīyāyāstṛtīyārthalakṣaṇāyāmapi na doṣa ityarthaḥ //	dvitIyAyAH-tRtIya-arTa-lakzaNAyAm-api na dozaH iti-arTaH //
   (caturvidhakarmatvanirūpaṇapūrvakaṃ avaghātasya vrīhyarthatvena	(caturviDa-karma-tva-nirUpaNa-pUrvakam avaGAtasya vrIhi-arTa-tvena
   siddhāntopakramaḥ) na yasya janyatvaṃ, tadeva bhāvyatayānvayayogyamiti	sidDAnta-upakramaH) na yasya janya-tvan, tat-eva BAvya-tayA-anvaya-yogyam-iti
   niyama; karmatvasya caturvidhatvāt /	niyama; karma-tvasya caturviDa-tvAt /
   kiñciddhi svata evotpādyatvena karma bhavati ------------ yathā	kiQcid-hi svatas eva-utpAdya-tvena karma Bavati ----------- yaTA
   saṃyavanena piṇḍaḥ, kiñcitprāptiviśiṣṭatvena ----------- yathā dohanena	saMyavanena piNxaH, kiQcid-prApti-viSizwa-tvena ---------- yaTA dohanena
   payaḥ, kiñcidvikāraviśiṣṭatvena ----------- yathāvaghātena vrīhayaḥ;	payaH, kiQcid-vikAra-viSizwa-tvena ---------- yaTA-avaGAtena vrIhayaH;
   vituṣībhāvākhyavikārajanakatvāt, kiñcicca saṃskāraviśiṣṭatvena	vituzIBAva-AKya-vikAra-janaka-tvA-at, kiQcid-ca saMskAra-viSizwa-tvena
   ------------ yathā prokṣaṇena vrīhayaḥ; adṛṣṭarūpasaṃskārajananāt /	----------- yaTA prokzaNena vrIhayaH; adRzwa-rUpa-saMskAra-jananAt /
   ataśca prakṛte vrīhīṇāṃ svarūpeṇa bhāvyatvāyogena vituṣībhāvaviśiṣṭatvena	atas-ca prakRte vrIhINAm svarUpeNa BAvya-tva-ayogena vituzIBAva-viSizwa-tvena
   rūpeṇa bhāvyatāmādāya dṛṣṭārthatve saṃbhavatyadṛṣṭārthatvakalpanā na	rUpeNa BAvyatAm-AdAya dRzwa-arTa-tve saMBavati-adRzwa-arTa-tva-kalpanA na
   yuktetyabhipretya siddhāntamāha ------------ dṛṣṭasaṃbhava iti //	yuktA-iti-aBipretya sidDAntam-Aha ----------- dRzwa-saMBavaH iti //
   (avaghātāśritaniyamavidhānamiti śāstradīpikāsiddhāntānusāreṇa nirūpaṇam)	(avaGAta-ASrita-niyama-viDAnam-iti SAstra-dIpikA-sidDAnta-anusAreNa nirUpaNam)
   atracaikameva dṛṣṭārthāvaghātaniyamādadṛṣṭaṃ	atra-ca-ekam-eva dRzwa-arTa-avaGAta-niyamAt-adRzwam
   kalpitamityadhikaraṇopasaṃhāragranthe śāstradīpikāyāmanena vidhinā	kalpitam-iti-aDikaraNa-upasaMhAra-granTe SAstra-dIpikAyAm-anena viDinA
   vidhivaiyarthyaparihārasūcanadvārā vidheyaniyamasyādṛṣṭārthatvamuktam /	viDi-vEyarTya-parihAra-sUcana-dvArAH viDeya-niyamasya-adRzwa-arTa-tvam-uktam /
   tanmatena vituṣībhāvārthapakṣaprāptāvaghātāśrita- niyamavidhānamāha	tad-matena vituzIBAva-arTa-pakza-prApta-avaGAta-ASrita niyama-viDAnam-Aha
   ---------- dalaneti //	--------- dalana-iti //
   yato vituṣībhāvārthāvaghātāśritasya tasyādṛṣṭārthatayā vidhānam, ata	yatas vituzIBAva-arTa-avaGAta-ASritasya tasya-adRzwa-arTa-tayA viDAnam, ata
   evāśrayābhāvāt nādṛṣṭārtham /	eva-ASraya-aBAvAt na-adRzwa-arTam /
   kṛṣṇalacarau niyamaprāptāvapi tu lopa evetyāha ------------- ataeveti //	kRzNala-carO niyama-prAptO=-api tu lopaH eva-iti-Aha ------------ ataeva-iti //
   (śāstradīpikāsiddhānte 'śrutaniyamavidhānena tasyāyogādavaghātasyaiva	(SAstra-dIpikA-sidDAnte aSruta-niyama-viDAnena tasya-ayogAt-avaGAtasya-eva
   śrautasya vidhānaṃ kalpitasyādṛṣṭasyāprayojakatvādikaṃ ca) asmiṃśca pakṣe	SrOtasya viDAnam kalpitasya-adRzwasya-aprayojaka-tva-Adikam ca) asmin=-ca pakze
   śrutadhātvarthavidhityāgenāśrutaniyamavidhyāpatteraśrutasyādṛṣṭajanakatvānupapattera-	Sruta-DAtu-arTa-viDi-tyAgena-aSruta-niyama-viDi-ApatteH-aSrutasya-adRzwa-janakatva-anupapatteH-a-
   parituṣyanpakṣāntaramāha ------ vastutastviti //	parituzyan-pakza-antaram-Aha ----- vastutas-tu-iti //
   vaituṣyasya ceti //	vEtuzyasya ca-iti //
   niyamaṃ vineti pūrvaśeṣaḥ /	niyamam vinA-iti pUrva-SezaH /
   vrīhyarthāvaghātaniyamajanyatvāt dharmigrāhakapramāṇena	vrIhi-arTa-avaGAta-niyama-janya-tvAt Darmi-grAhaka-pramANena
   vrīhiniṣṭhamevetyāha ----------- vrīhiniṣṭheti //	vrIhi-nizWam-eva-iti-Aha ---------- vrIhi-nizWA-iti //
   kalpitasyāpyadṛṣṭasyānuṣaṅgikatayā kalpanānna prayojakatvam	kalpitasya-api-adRzwasya-anuzaFgika-tayA kalpanAt-na prayojaka-tvam
   svātantryeṇetyāha ---------- tadadṛṣṭasya ceti //	svAtantryeNa-iti-Aha --------- tat-adRzwasya ca-iti //
   adṛṣṭasyānanuṣṭhāpakatāca vaituṣyāsaṃbhave tasyānanuṣṭhānamityevaṃrūpā,	adRzwasya-ananuzWA-pakatAca vEtuzya-asaMBave tasya-ananuzWAnam-iti-evaMrUpA,
   natu vaituṣyasaṃbhave 'pi sā ; dalanāderapyanuṣṭhānamityevaṃrūpā, natu	na-tu vEtuzya-saMBave api sA ; dalana-AdeH-api-anuzWAnam-iti-evaMrUpA, na-tu
   vaituṣyasaṃbhave 'pi sā; dalanāderapyanuṣṭhānāpatteḥ /	vEtuzya-saMBave api sA; dalana-AdeH-api-anuzWAna-ApatteH /
   ata eva tasyāvaghātajanyatve 'pi	atas eva tasya-avaGAta-janya-tve api
   dalanādivyāvṛttiphalakaniyamavaiyarthyānupapattiprasūtatvānniyamādṛṣṭatvavyavahāra	dalana-Adi-vyAvRtti-Palaka-niyama-vEyarTya-anupapatti-prasUta-tvAt-niyama-adRzwa-tva-vyavahAra
   ityarthaḥ //	iti-arTaH //
   (vrīhyadṛṣṭobhayoddeśyakatvanibandhanavākyabhedasya	(vrIhi-adRzwa-uBaya-uddeSyaka-tva-nibanDana-vAkya-Bedasya
   śrutavidhāvuddeśyānekatvābhāvāt, dṛṣṭādṛṣṭobhayaviśiṣṭatvenaikayaiva	Sruta-viDO=-uddeSya-anekatva-aBAva-at, dRzwa-adRzwa-uBaya-viSizwa-tvena-ekayA-eva
   dvitīyayoddeśyasamarpaṇācca parihāraḥ) uddeśyānekatvaprayuktaṃ vākyabhedaṃ	dvitIyayA-uddeSya-samarpaNAt-ca parihAraH) uddeSya-aneka-tva-prayuktam vAkya-Bedam
   pariharati --------- ārthiketi //	pariharati -------- ArTikA-iti //
   śrutavidhinā vituṣībhāvaviśeṣṭavrīhyuddesenāvaghātavidhāne	Sruta-viDinA vituzIBAva-viSezwa-vrIhi-uddesena-avaGAta-viDAne
   tadvaiyarthyapratisandhānottaramavaghātenādṛṣṭaṃ	tad-vEyarTya-pratisanDAna-uttaram-avaGAtena-adRzwam
   kuryādityārthikavidhyantara- kalpanānna śrutavidhāvuddeśyānekatvam /	kuryAt-itya-arTika-viDi-antara kalpanAt-na Sruta-viDO=-uddeSya-aneka-tvam /
   athavā ------------ dṛṣṭādṛṣṭāśrayavrīhīṇāmekayaiva dvitīyayā	aTavA ----------- dRzwa-adRzwa-ASraya-vrIhINAm-ekayA-eva dvitIyayA
   bhāvyatokterna doṣa ityarthaḥ //	BAvyatA-ukteH-na dozaH iti-arTaH //
   (vrīhipade 'pūrvasādhanatvalakṣaṇā	(vrIhi-pade apUrva-sADana-tva-lakzaNA
   niyamāpūrvāṅgīkāraścobhayamapyāvaśyakamiti nirūpaṇam) yathācātra	niyama-apUrva-aFgIkAraH-ca-uBayam-api-AvaSyakam-iti nirUpaNam) yaTAca-atra
   vrīhisvarūpa iva vituṣībhāve	vrIhi-svarUpaH iva vituzIBAve
   'pyānarthakyāparihārādapūrvasādhanatvalakṣaṇāyā āvaśyakatve	api-AnarTakyA-parihArAt-apUrva-sADana-tva-lakzaNAyAH AvaSyaka-tve
   pradhānotpattyapūrvārthatvena vidhānopapatterna niyamādṛṣṭaprayojanaṃ	praDAna-utpatti-apUrva-arTa-tvena viDAna-upapatteH-na niyama-adRzwa-prayojanam
   ityākṣepastatparihāraśca kaustubhe draṣṭavyaḥ /	iti-AkzepaH-tad-parihAraH-ca kOstuBe drazwavyaH /
   ato vrīhīṇāmavaghātārthatvābhāvāt na prayojanībhūtādavaghātāt	atas vrIhINAm-avaGAta-arTa-tva-aBAvAt na prayojanI-BUtAt-avaGAtAt
   pradhānāpūrvāpekṣayā prayojakatvenādṛṣṭāntarakalpanam, kintu	praDAna-apUrva-apekzayA prayojaka-tvena-adRzwa-antara-kalpanam, kintu
   vrīhyarthāvaghātajanyaṃ niyamādṛṣṭamānuṣaṅgikamiti dhātvarthabhedepi	vrIhi-arTa-avaGAta-janyam niyama-adRzwa-mAnuzaFgikam-iti DAtu-arTa-Bedepi
   nāpūrvabheda iti vyatirekeṇa sūcayan siddhāntamupasaṃharati -----------	na-apUrva-BedaH iti vyatirekeNa sUcayan sidDAntam-upasaMharati -----------
   ataśceti //	atas-ca-iti //
   (vikṛtau praiyaṅgave carau vicāraprayojanasya bhāṣyakāroktasya parityāgena	(vikRtO prEyaFgave carO vicAra-prayojanasya BAzya-kAra-uktasya parityAgena
   prakṛtāvevāvaghātārthavrīhyantaraṃ pūrvapakṣe siddhānte yāgīyā eva iti	prakRtO=-eva-avaGAta-arTa-vrIhi-antaram pUrva-pakze sidDAnte yAgIyAH eva iti
   prayojanāntaroktau nimittaṃ prayojanasiddhiprakāraśca) atra vikṛtau	prayojana-antara-uktO nimittam prayojana-sidDi-prakAraH-ca) atra vikRtO
   praiyaṅgave carau vicāraprayojanaṃ bhāṣyakārādidarśitam,	prEyaFgave carO vicAra-prayojanam BAzya-kAra-Adi-darSitam,
   tatprakṛtyadhīnapadārthaprāptimattvena vikṛtau svātantryeṇa	tad-prakRti-aDIna-padArTa-prAptimat-tvena vikRtO svAtantryeNa
   nirṇayābhāvādāvaśyake prakṛtāveva nirṇaye tatraiva tallābhe	nirNaya-aBAvAt-AvaSyake prakRtO=-eva nirNaye tatra-eva tad-lABe
   vikṛtiparyantadhāvane prayojanābhāvādupekṣya prakṛtāveva prayojanamāha	vikRti-paryanta-DAvane prayojana-aBAvAt-upekzya prakRtO=-eva prayojanam-Aha
   ----------- prayojanamiti //	---------- prayojanam-iti //
   avaghātavidhau puroḍāśakapālādivat paraprayuktatayā vrīhīṇāṃ	avaGAta-viDO puroxASa-kapAla-Adi-vat para-prayukta-tayA vrIhINAm
   sādhanatvāśravaṇāt yāgasyevāvaghātasyāpi svātantryeṇa prayojakatve sati	sADana-tva-aSravaNAt yAgasya-iva-avaGAtasya-api svAtantryeNa prayojaka-tve sati
   tadarthamapi pārthakyena teṣāmupādānam, siddhāntetu teṣāṃ saṃskāryatvāt	tad-arTam-api pArTakyena tezAm-upAdAnam, sidDAntetu tezAm saMskArya-tvAt-
   vrīhisvarūpārthatve cānarthakyāpatterapūrvasādhanatvāpekṣāyāṃ vrīhipadasya	vrIhi-svarUpa-arTa-tve ca-anarTakyA-patteH-apUrva-sADana-tva-apekzAyAm vrIhi-padasya
   tallakṣakatve 'dhikārākhyaprakaraṇasya tātparyagrāhakatvāt	tad-lakzaka-tve aDikAra-AKya-prakaraNasya tAtparyagrAhaka-tvAt-
   prakṛtagrahaṇopapatteḥ prakṛtayāgīyavrīhīṇāmevopādānamityarthaḥ //	prakRta-grahaNa-upapatteH prakRta-yAgIya-vrIhINAm-eva-upAdAnam-iti-arTaH //
   (pūrvapakṣe vrīhīṇāmeva trayāṇāmevāvaghātassakṛdeva, siddhānte	(pUrva-pakze vrIhINAm-eva trayANAm-eva-avaGAta-ssakRt-eva, sidDAnte
   caturmuṣṭiparimitānāṃ yavānāmapi taṇḍulaniṣpattiparyantamavaghāta iti	catur-muzwi-parimitAnAm yavAnAm-api taNxula-nizpatti-paryantam-avaGAtaH iti
   svayaṃ prayojanāntaropapādanam) evaṃ pūrvapakṣe	svayam prayojana-antara-upapAdanam) evam pUrva-pakze
   sarvauṣadhāvaghātavadadṛṣṭārthaṃ trayāṇāmeva vrīhīṇāṃ sakṛdevāvaghātaḥ /	sarva-OzaDa-avaGAta-vat-adRzwa-arTam trayANAm-eva vrIhINAm sakRt-eva-avaGAtaH /
   prakṛtauca prayājādivadavaghātasya sānnāyyādiyāgāṅgatvāt	prakRta-Oca prayAja-Adi-vat-avaGAtasya sAnnAyya-Adi-yAga-aFga-tvAt
   tadvikāreṣvatideśe yavaprayoge 'pi tribhirvrīhibhiravaghātaḥ /	tad-vikArezu-atideSe yava-prayoge api triBiH-vrIhiBiH-avaGAtaH /
   siddhānte tvātaṇḍulaniṣpattyavaghātaḥ, auṣadhadravyasaṃskārakatvena	sidDAnte tvA-taNxula-nizpatti-avaGAtaH, OzaDa-dravya-saMskAraka-tvena
   sānnāyyādyanaṅgatvānna tadvikṛtiṣvatideśaḥ /	sAnnAyya-Adi-anaFga-tvAt-na tad-vikRtizu-ati-deSaH /
   yavapakṣe teṣvevāvaghātaścaturmuṣṭiparimitānāmeva yāgasādhanatvāt	yava-pakze tezu-eva-avaGAtaH-catur-muzwi-parimitAnAm-eva yAga-sADana-tvAt-
   tāvatāmeva sa iti prayojanāntarasyāpyupalakṣaṇametat //	tAvatAm-eva saH iti prayojana-antarasya-api-upalakzaNam-etat //
   iti caturthamavaghātadṛṣṭārthatvādhikaraṇam //	iti caturTam-avaGAta-dRzwa-arTa-tva-aDikaraNam //
   ----------------- <B1> ( 5 adhikaraṇam / ) (a.2 pā.1 adhi.5) dharmamātretu	---------------- <B1> ( 5 aDikaraNam / ) (a.2 pA.1 aDi.5) Darma-mAtretu
   karmasyādanivṛtteḥ prayājavat "vrīhīn prokṣati" "strucaḥ saṃmārṣṭī" tyādau	karmasya-AdanivRtteH prayAja-vat "vrIhIn prokzati" "strucaH saMmArzwI" tyAdO
   dṛṣṭopakārakatvāsambhavāt dvitīyāyāśca sādhyatvavatkaraṇatve 'pi "saktūn	dRzwa-upakAraka-tva-asamBavAt dvitIyAyAH-ca sADya-tva-vat-karaNa-tve api "saktUn
   juhoti" "balvajān śikhaṇḍakān kurvi" tyādau prayogadarśanāt	juhoti" "balvajAn SiKaNxakAn kurvi" tyAdO prayoga-darSanAt-
   pūrvādhikaraṇapūrvapakṣavadarthakarmatvameva /	pUrva-aDikaraNa-pUrva-pakza-vat-arTa-karma-tvam-eva /
   balbajānāṃ hi karoterdvikarmakatvāpattarna sādhyatvam /	balbajAnAm hi karoteH-dvi-karmaka-tva-Apattar-na sADya-tvam /
   ataḥ karaṇatvamapi dvitīyārthaḥ /	atas karaNa-tvam-api dvitIya-arTaH /
   ataśca vrīhikaraṇakaṃ prokṣaṇamevādṛṣṭārthatvena vidhīyate iti prāpte	atas-ca vrIhikaraNakam prokzaNam-eva-adRzwa-arTa-tvena viDIyate iti prApte
   ------------ karmaṇi dvitīyetyanuśāsanād ghaṭaṃ karotītyādiprayogācca	----------- karmaNi dvitIyA-iti-anuSAsanAt Gawam karoti-ityAdi-prayogAt-ca
   sādhyatvameva dvitīyārtho na karaṇatvam; anekaśaktikalpanaprasaṅgāt /	sADya-tvam-eva dvitIya-arTaH na karaNa-tvam; aneka-Sakti-kalpana-prasaFgAt /
   karmatvañca "karturīpsitataṃ karme" tisūtrānnepsitatamatvarūpameva /	karma-tvaQca "kartuH-Ipsitatam karme" tisUtrAn-na-Ipsitatama-tva-rUpam-eva /
   apitu "tathāyuktaṃ cānīpsitami"ti sūtrādīpsitānīpsitasādhāraṇaṃ	api-tu "taTA-yuktam ca-anIpsitam-i"ti sUtrAdIpsita-anIpsita-sADAraNam
   sādhyatvameva /	sADya-tvam-eva /
   yathācaivaṃ sati na sūtradvayavaiyarthyaṃ tathā kaustubha eva pradarśitam	yaTA-ca-evam sati na sUtra-dvaya-vEyarTyam taTA kOstuBaH eva pradarSitam
   ataśca vrīhīṇāṃ dvitīyayā sādhyatvābhidhānāt yāgāṅgatvāvagamena	atas-ca vrIhINAm dvitIyayA sADya-tva-aBiDAnAt yAga-aFga-tva-avagamena
   cepsitavatvapratītestaduddeśena prokṣaṇaṃ vidhīyate /	ca-Ipsitavatva-pratIteH-tad-uddeSena prokzaNam viDIyate /
   dṛṣṭadvārāsambhave 'pi cādṛṣṭameva dvāraṃ vrīhiniṣṭhaṃ kalpyate /	dRzwa-dvArA-samBave api ca-adRzwam-eva dvAram vrIhi-nizWam kalpyate /
   ataeva yatra nopayogaḥ kḷptaḥ, na vā kalpayituṃ śakyaḥ, yathā saktuṣu,	ataeva yatra na-upayogaH k?ptaH, na vA kalpayitum SakyaH, yaTA saktuzu,
   tatra dvitīyayā karaṇatvalakṣaṇāmaṅgīkṛtya saktuviśiṣṭahomasyaiva	tatra dvitIyayA karaNa-tva-lakzaNAm-aFgIkRtya saktu-viSizwa-homasya-eva
   adṛṣṭārthaṃ vidhānam /	adRzwa-arTam viDAnam /
   naca ------------- anīpsitakarmatvenāpyanvayopapatternakaraṇatvalakṣaṇeti	na-ca ------------ anIpsita-karma-tvena-api-anvaya-upapatteH-nakaraNa-tva-lakzaNa-iti
   ------------ vācyam; tathā sati adṛṣṭopakārakasyāpi bhāvanāyāṃ	----------- vAcyam; taTA sati adRzwa-upakArakasya-api BAvanAyAm
   karmatvenānvayāvaśyambhāve tasya	karma-tvena-anvaya-avaSyamBAve tasya
   dvikarmakatvāpattyoddeśyānekatvanimittaka- vākyabhedāpatteḥ /	dvi-karmaka-tva-ApattyA-uddeSya-aneka-tva-nimittaka vAkya-Beda-ApatteH /
   ataḥ saktukaraṇakahomasyārādupakārakatve 'pi prokṣaṇādeḥ	atas saktu-karaNaka-homasya-ArAt-upakAraka-tve api prokzaNa-AdeH
   sannityopakārakatvameva /	sannitya-upakAraka-tvam-eva /
   prayojanaṃ pūrvavat // 4 //	prayojanam pUrvavat // 4 //
   iti pañcamaṃ saṃmārga vrīhiprokṣaṇādhikaraṇam //	iti paQcamam saMmArga vrIhi-prokzaNa-aDikaraNam //
   --------------- <B2> (pūrvādhikaraṇena pratyudāharaṇasaṅgatiḥ, dvitīyāyāḥ	-------------- <B2> (pUrva-aDikaraNena pratyudAharaNa-saFgatiH, dvitIyAyAH
   karaṇatvaśaktiśca) pūrvādhikaraṇe dṛṣṭopakārakatvalābhāt guṇakarmatve	karaNa-tva-SaktiH-ca) pUrva-aDikaraNe dRzwa-upakAraka-tva-lABAt guNa-karma-tve
   sādhite yatra sa na labhyate, tatra pradhānakarmatvaṃ bhavatviti	sADite yatra sa na laByate, tatra praDAna-karma-tvam Bavatu-iti
   dṛṣṭopakārakatvarūpasiddhāntahetupratyudāharaṇarūpeṇa	dRzwa-upakAraka-tva-rUpa-sidDAnta-hetu-pratyudAharaNa-rUpeNa
   pūrvapakṣotthānādanantarasaṅgatiṃ sūcayan viṣayapradarśanapūrvakaṃ	pUrva-pakza-utTAnAt-anantara-saFgatim sUcayan vizaya-pradarSana-pUrvakam
   pūrvapakṣamāha ------------ vrīhīniti //	pUrva-pakzam-Aha ----------- vrIhIn-iti //
   ādipadena "paridhiṃ saṃmārṣṭi" "agniṃ saṃmārṣṭi" "puroḍāśaṃ	Adipadena "pariDim saMmArzwi" "agnim saMmArzwi" "puroxASam
   paryagnikarotī" tyādīnāṃ saṃgrahaḥ /	paryagnikarotI" tyAdInAm saMgrahaH /
   strugādeḥ sammārgādyajanyatvena bhāvyatvāyogādavaghātādivacca	struga-AdeH sammArga-Adi-ajanya-tvena BAvya-tva-ayogAt-avaGAta-Adi-vat-ca
   yogyatārūpaliṅgādapi dṛṣṭopakāraviśiṣṭatvena tadayogāt	yogya-tA-rUpa-liFgAt-api dRzwa-upakAra-viSizwa-tvena tad-ayogAt-
   strugādiviśiṣṭasammārgādīnāmevārādupakārakatayā prayājādivat vidhānaṃ	struc-a-Adi-viSizwa-sammArga-AdInAm-eva-ArAt-upakAraka-tayA prayAja-Adi-vat viDAnam
   yuktamityāśayenāha --------- dṛṣṭopakārakatveti //	yuktam-iti-ASayena-Aha -------- dRzwa-upakAraka-tvA-iti //
   nanu yogyatārūpaliṅgāt guṇakarmatvāsaṃbhave dvitīyāśrutibalādeva	nanu yogya-tA-rUpa-liFgAt guNa-karma-tva-asaMBave dvitIya-aSruti-balAt-eva
   tadarthasidhyā tatsiddhirityata āha ---------- dvitīyāyāśceti //	tad-arTa-siDyA tad-sidDiH-iti-atas Aha --------- dvitIyAyAH-ca-iti //
   dvitīyāyāḥ prādhānyābhāve 'pi prayogadarśanāt /	dvitIyAyAH prADAnya-aBAve api prayoga-darSanAt /
   nāntyaḥ, upajīvyaprayogaviruddhānuśāsanasya	na-antyaH, upajIvya-prayoga-virudDa-anuSAsanasya
   tanniyāmakatvānupapatterityabhipretyāha------------ karaṇatve 'pīti //	tad-niyAmaka-tva-anupapatteH-iti-aBipretya-aha----------- karaNa-tve api-iti //
   "balbajaistṛṇairmayūrān kurvi"tyarthe saktūniti vaidikaprayogaḥ /	"balbajEH-tRNEH-mayUrAn kurvi"ti-arTe saktUn-iti vEdika-prayogaH /
   ādipadena prayājaśeṣeṇetyatra tadabhāve 'pyājyasya prādhānyaṃ	Adipadena prayAja-SezeNa-iti-atra tad-aBAve api-Ajyasya prADAnyam
   vyatirekeṇasūcitam /	vyatirekeNa-sUcitam /
   ato bahutaraprayogāttasyāḥ karaṇatve 'pi śaktirityarthaḥ //	atas bahutara-prayogAt-tasyAH karaNa-tve api SaktiH-iti-arTaH //
   (balbajān śikhaṇḍān kuru saktūn	(balbajAn SiKaNxAn kuru saktUn
   juhvatītyādāvanekakarmānvayaśaṅkātannirāsau) nanu āruṇyādīnāṃ prathamataḥ	juhvati-iti-AdO=-aneka-karma-anvaya-SaFkA-tad-nirAsO) nanu AruNya-AdInAm praTamatas-
   krayabhāvanāyāmanvitānāmapi pārṣṭhikaḥ parasparānvaya ivehāpi dvayorapi	kraya-BAvanAyAm-anvitAnAm-api pArzWikaH paraspara-anvayaH iva-iha-api dvayoH-api
   karmatvenaiva prathamata eva balbajavākye 'nvayo	karma-tvena-eva praTamatas eva balbaja-vAkye anvayaH-
   'stvityāśaṅkāmanekakaraṇānvaye 'pyanekakarmānvayāsaṃbhavena pariharati	astu-iti-ASaFkAm-aneka-karaNa-anvaye api-aneka-karma-anvaya-asaMBavena pariharati
   ------------- balbajānāṃ hīti //	------------ balbajAnAm hi-iti //
   evaṃ saktūnāmapi	evam saktUnAm-api
   devatoddeśyakaprakṣepadravyatyāgasamudāyavācijuhotikarmatvānupapatteḥ	devatA-uddeSyaka-prakzepa-dravya-tyAga-samudAya-vAci-juhoti-karma-tva-anupapatteH
   anīpsitatvenaikadeśakarmatvasyāpyanupapatteḥ karaṇatvaṃ tadartha ityāha	anIpsita-tvena-eka-deSa-karma-tvasya-api-anupapatteH karaNa-tvam tad-arTaH iti-Aha
   ---------- ataḥ karaṇatvamapīti //	--------- atas karaNa-tvam-api-iti //
   (dvitīyāyāḥ sādhyatve karaṇatve ca karaṇatva eva vā śaktiriti	(dvitIyAyAH sADya-tve karaNa-tve ca karaNa-tvaH eva vA SaktiH-iti
   vyavasthāpanam) na sarvatra karaṇatvameva tadarthaḥ; ghaṭaṃ karotītyādau	vyavasTApanam) na sarvatra karaNa-tvam-eva tad-arTaH; Gawam karoti-ityAdO
   sādhyatve 'pi prayogāt, ato yathāprayogaṃ kvacit sādhyatvaṃ kvacit	sADya-tve api prayoga-at, atas yaTAprayogam kvacid sADya-tvam kvacid-
   karaṇatvamapi, prakṛte ca karaṇatayāpyupapatterna pradhānakarmatātyāge	karaNa-tvam-api, prakRte ca karaNa-tayA-api-upapatteH-na praDAna-karma-tA-tyAge
   kiñcidbījam /	kiQcid-bIjam /
   etena --------- sādhyatvārthakatvamanaṅgīkṛtya	etena -------- sADya-tva-arTaka-tvam-anaFgIkRtya
