   harṣacaritam	harza-caritam
   dadhānam, dhavalabrahnasūtrasīmantitaṃ	daDAnam, Davala-brahna-sUtra-sImantitam
   sāgaramathanasāmarṣagaṅgāsrotaḥsaṃdānitamiva mandaraṃ dehamudvahantam,	sAgara-maTanasA-amarza-gaFgA-srotaH-saMdAnitam-iva mandaram deham-udvahantam,
   karpūrakṣodamuṣṭicchuraṇapāṃśuleneva	karpUra-kzoda-muzwi=-SuraNa-pAMSulena-iva
   kāntoccakucacakravākayugalavipulapulinenoraḥsthalena	kAnta-ucca-kuca-cakravAka-yugala-vipula-pulinena-uraH-sTalena
   sthūlabhujāyāmapuñjitam, puro vistārayantamiva dikcakram,	sTUla-BujAyAm-apuQjitam, puras vistArayantam-iva diS-cakram,
   purastādīṣadadhonābhinihitakakoṇakamanīyena pṛṣṭhataḥ	purastAt-Izat-aDas-na-aBinihitaka-koNa-kamanIyena pRzWatas-
   kakṣyādhikakṣiptapallavenobhayataḥsaṃvalanaprakaṭitorutribhāgena	kakzyA-aDika-kzipta-pallavena-uBayatas-saMvalana-prakawita-uru-tri-BAgena
   hārītaharitā nibiḍanipīḍitenādharavāsasā vibhajyamānatanutaramadhyabhāgam,	hArIta-haritA nibixa-nipIxitena-aDara-vAsasA viBajyamAna-tanutara-maDya-BAgam,
   anavarataśramopacitamāṃsakaṭhinavikaṭamaka	anavarata-Srama-upacita-mAMsa-kaWina-vikawamaka
   ramukhasaṃlagnajānubhyāmativiśālavakṣaḥsthalopalavedikottambhanaśilāstambhābhyāṃ	ramuKa-saMlagna-jAnuByAm-ati-viSAla-vakzaH-sTala-upala-vedikA-uttamBana-SilA-stamBAByAm
   cārucandanasthāsakasthūlatarakāntibhyāmurudaṇḍābhyāmupahasantamivairāvatakarāyāmam,	cAru-candana-sTAsaka-sTUlatara-kAntiByA-m-uru-daNxAByAm-upahasantam-iva-ErAvata-kara-AyAmam,
   atibharitorubhāravahanakhedeneva tanuhasantamivairāvatakarāyāmam,	ati-Barita-uru-BAra-vahana-Kedena-iva tanu-hasantam-iva-ErAvata-kara-AyAmam,
   atibharitorubhāravahanakhedeneva tanutarajaṅghākāṇḍam,	ati-Barita-uru-BAra-vahana-Kedena-iva tanutara-jaFGA-kANxam,
   kalpapādapapallavadvayasyeva pāṭalasyobhayapārśvāvalambinaḥ pādadvayasya	kalpa-pAdapa-pallava-dvayasya-iva pAwalasya-uBaya-pArSva-avalambinaH pAda-dvayasya
   dolāyamānairnakhamayūkhairaśvamaṇḍanacāmaramālāmiva racayantam,	dolAyamAnEH-naKa-mayUKEH-aSva-maNxana-cAmara-mAlAm-iva racayantam,
   abhimukhamuccairudañcadbhiraticiramupariviśrāmyadbhiriva valitavikaṭaṃ	aBimuKam-uccEs-udaQcadBiH-ati-ciram-upari-viSrAmyadBiH-iva valita-vikawam
   patadbhiḥ khuraiḥ khaṇḍitabhuvi	patadBiH KurEH KaNxita-Buvi
   pratikṣaṇadaśanavimuktakhaṇakhaṇāyitakharakhalīne dīrghaghrāṇalīnalālike	pratikzaNa-daSana-vimukta-KaNa-KaNAyita-Kara-KalIne dIrGa-GrANa-lI-na-lAlike
   lalāṭalulitacārucāmīkaracakrame śiñjānaśātakaumbhāyānaśobhini manoraṃhasi	lalAwa-lulita-cAru-cAmIkara-cakrame SiQjAnaSAtakOmBAyAnaSoBini manaH-raMhasi
   golāṅgūlakapolakālakāyalomni nīlasindhuvāravarṇe vājini mahati samārūḍham,	golAFgUla-kapola-kAla-kAya-lomni nIla-sinDuvAra-varNe vAjini mahati samArUXam,
   ubhayataḥ paryāṇapaṭṭaśliṣṭahastābhyāmāsannaparicārakābhyāṃ	uBayatas paryANa-pawwa-Slizwa-hastAByAm-Asanna-paricArakAByAm
   dodhūyamānadhavalacāmarikāyugalam, agrataḥ paṭhato vandinaḥ	doDUyamAna-Davala-cAmarikA-yugalam, agratas paWataH vandinaH
   subhāṣitamutkaṇṭakitakapolaphalakena lagnakarṇotpalakesarapakṣmaśakaleneva	su-BAzitam-utkaNwakita-kapola-Palakena lagna-karNa-utpala-kesara-pakzma-Sakalena-iva
   mukhaśaśinā bāvayantam /	muKa-SaSinA bAvayantam /
   anaṅgayugāvatāramiva darśayantam, candramayīmiva sṛṣṭimutpādayantam,	anaFga-yuga-avatAram-iva darSayantam, candra-mayIm-iva sRzwim-utpAdayantam,
   vilāsaprāyamiva jīvalokaṃ janayantam, anurāgamayamiva	vilAsa-prAyam-iva jIva-lokam janayantam, anurAga-mayam-iva
   sargāntamāracayantam, śṛṅgāramayamiva divasamāpādayantam, rāgarājyamiva	sarga-antam-Aracayantam, SRFgAra-mayam-iva divasam-ApAdayantam, rAga-rAjyam-iva
   pravartayantam, ākarṣaṇāñjanamiva cakṣuṣoḥ, vaśīkaraṇamantramiva manasaḥ,	pravartayantam, AkarzaNa-aQjanam-iva cakzuzoH, vaSIkaraNa-mantram-iva manasaH,
   svasthāveśacūrṇamivendriyāṇām, asaṃtoṣamiva kautukasya, siddhayogamiva	svasTa-AveSa-cUrNam-iva-indriyANAm, asaMtozam-iva kOtukasya, sidDa-yogam-iva
   saubhāgyasya, punarjanmadivasamiva manmathasya, rasāyanamiva yauvanasya,	sOBAgyasya, punar-janma-divasam-iva manmaTasya, rasAyanam-iva yOvanasya,
   ekārājyamiva rāmaṇīyakasya, kīrtistambhamiva rūpasya, mūlakośamiva	ekArAjyam-iva rAmaNIyakasya, kIrti-stamBam-iva rUpasya, mUlakoSam-iva
   lāvaṇyasya, puṇyakarmapariṇāmamiva saṃsārasya, prathamāṅkuramiva	lAvaNyasya, puNya-karma-pariNAmam-iva saMsArasya, praTama-aFkuram-iva
   kāntilatāyāḥ, sargābhyāsaphalamiva prajāpateḥ, pratāpamiva vibhramasya,	kAnti-latAyAH, sarga-aByAsa-Palam-iva prajApateH, pratApam-iva viBramasya,
   yaśaḥpravāhamiva vaidagdhayasya, aṣṭādaśavarṣadeśīyaṃ yuvānamadrākṣīt /	yaSaH-pravAham-iva vEdagDayasya, azwAdaSa-varza-deSIyam yuvAnam-adrAkzIt /
   pārśva ca tasya dvitīyamaparasaṃśliṣṭaturaṅgam,	pArSva ca tasya dvitIyam-apara-saMSlizwa-turaFgam,
   prāṃśumuttaptatapanīyastambhākāram, pariṇatavayasamapi	prAMSum-uttapta-tapanIya-stamBa-AkAram, pariNata-vayasam-api
   vyāyāmakaṭhinakāyam, nīcanakhaśmaśrukeśam, śuktikhalatirm, iṣattundilam,	vyAyAma-kaWina-kAyam, nIca-naKa-SmaSru-keSam, Sukti-KalatiH-m, izat-tundilam,
   romaśoraḥsthalam, anulvaṇodāraveṣatayā jarāmapi vinayamiva śikṣayantam,	romaSa-uraH-sTalam, anulvaNa-udAra-vezatayA jarAm-api vinayam-iva Sikzayantam,
   guṇānapi garimāṇamivānayantam, mahānubhāvatāmapi śiṣyatāmivānayantam,	guNAn-api garimANam-iva-Anayantam, mahA-anuBAvatAm-api SizyatAm-iva-Anayantam,
   ācārasyāpyācāryamiva kurvāṇam, valakṣavārabāṇadhāriṇam,	AcArasya-api-AcAryam-iva kurvANam, valakza-vAra-bANa-DAriNam,
   dhautadukūlapaṭṭikāpariveṣṭitamauliṃ puruṣam /	DOta-dukUla-pawwikA-parivezwita-mOlim puruzam /
   atha sa yuvā puroyāyināṃ yathādarśanaṃ pratinivṛtyātivismitamanasāṃ	aTa sa yuvA puroyAyinAm yaTAdarSanam pratinivRtya-ati-vismita-manasAm
   kathayatāṃ padātīnāṃ sakāśādupalabhya divyākṛti	kaTayatAm padAtInAm sakASAt-upalaBya divya-AkRti
   tatkanyāyugalamupajātakutūhalaḥ pratūrṇaturago didṛkṣustaṃ	tad-kanyA-yugalam-upajAta-kutUhalaH pratUrNa-turagaH didRkzuH-tam
   latāmaṇḍapoddeśamājagāma /	latA-maNxapa-uddeSam-AjagAma /
   dūrādeva ca turagādavatatāra /	dUrAt-eva ca turagAt-avatatAra /
   nivāritaparijanaśca tena dvitīyena sādhunā sahacaraṇābhyāmeva	nivArita-parijanaH-ca tena dvitIyena sADunA sahacaraNAByAm-eva
   savinayamupasasarpa /	sa-vinayam-upasasarpaH /
   kṛtopasaṃgrahaṇau tau sāvitrī samaṃ sarasvatyā kisalayāsanadānādinā	kRta-upasaMgrahaNO tO sAvitrI samam sarasvatyA kisalaya-Asana-dAna-AdinA
   sakusumaphalārghyāvasānena vanavāsocitenātithyena yathākramamupajagrāha /	sa-kusuma-Pala-arGya-avasAnena vana-vAsa-ucitena-AtiTyena yaTAkramam-upajagrAha /
   āsīnayāśca tayorāsīna nāticiramiva sthitvā taṃ dvitīyaṃ	AsInayAH-ca tayoH-AsIna na-ati-ciram-iva sTitvA tam dvitIyam
   pravayasamuddiśyāvādīt--"ārya, sahajalajjādhanasya pramadājanasya	pravaya-sam-uddiSyO=-AdIt---"Arya, sahaja-lajjADanasya pramadA-janasya
   prathamābhibhāṣaṇamaśālīnatā, viśeṣato vanamṛgīmugdhasya kulakumārījanasya	praTama-aBiBAzaNam-aSAlInatA, viSezataH vana-mRgI-mugDasya kula-kumArI-janasya
   kevalamiyamālokanakṛtārthāya cakṣuṣe spṛhayantī	kevalam-iyam-Alokana-kRta-arTAya cakzuze spRhayantI
   prerayatyudantaśravaṇakutūhalinī śrotravṛttiḥ /	prerayati-udanta-SravaNa-kutUhalinI Srotra-vRttiH /
   prathamadarśane copāyanamivopanayati sajjanaḥ praṇayam /	praTama-darSane ca-upAyanam-iva-upanayati sat-janaH praNayam /
   apragalbhamapi janaṃ prabhavatā praśrayeṇārpitaṃ mano madhviva vācālayati	apragalBam-api janam praBavatA praSrayeNa-arpitam manaH maDu-iva vAcAlayati
   ayatnenaivātinamre sādhau dhanuṣīva guṇaḥ parāṃ koṭimāropayati visrambhaḥ	ayatnena-eva-ati-namre sADO Danuzi-iva guNaH parAm kowim-Aropayati visramBaH
   janayanti ca vismayamatidhīradhiyāmapyadṛṣṭapūrvā dṛśyamānā jagati sraṣṭuḥ	janayanti ca vismayam-ati-DIra-DiyAm-api-adRzwa-pUrvA dRSyamAnA jagati srazwuH
   sṛṣṭyatiśayāḥ /	sRzwi-atiSayAH /
   yatastribhuvanābhibhāvi rūpamidamasya mahānubhāvasya /	yatas-triBuvana-aBiBAvi rUpam-idam-asya mahA-anuBAvasya /
   saujanyaparatantrā ceyaṃ devānāṃpriyasyātibhadratā kārayati kathāṃ na tu	sOjanya-paratantrA ca-iyam devAnAMpriyasya-atiBadratA kArayati kaTAm na tu
   yuvatijanasahotthā taralatā /	yuvati-jana-saha-utTA taralatA /
   vatkathayāgamanenāpuṇyabhākkatamo vijṛmbhitavirahavyathaḥ śūnyatāṃ nīto	vat-kaTayA-Agamanena-apuNya-BAkkatamaH vijRmBita-viraha-vyaTaH SUnyatAm nItaH-
   deśaḥ? kva vā gantavyam? ko vāyamapahṛtaharahuṅkārāhaṅkāro 'para	deSaH? kva vA gantavyam? kaH vA-ayam-apahRta-hara-huFkAra-ahaFkAraH apara
   ivānanyajo yuvā? kiṃnāmno vā samṛddhatapasaḥ piturayamamṛtavarṣī	iva-ananyajaH yuvA? kiMnAmnaH vA samRdDa-tapasaH pituH-ayam-amRta-varzI
   kaustubhamaṇiriva haterhṛdayamāhlādayati? kā cāsya tribhuvananamasyā	kOstuBa-maNiH-iva hateH-hRdayam-AhlAdayati? kA ca-asya triBuvana-nam-asyA
   vibhātasaṃdhyeva mahatastejeso jananī? kāni vāsya puṇya bhāñji	viBAta-saMDyA-iva mahataH-tejesaH jananI? kAni vA-asya puNya BAQji
   bhajantyabhikyāmakṣarāṇi? āryaparijñāne 'pyayameva kramaḥ kautukānurodhino	Bajanti-aBikyAm-akzarANi? Arya-parijQAne api-ayam-eva kramaH kOtuka-anuroDinaH-
   hṛdayasya' ityuktavatyāṃ tasyāṃ prakaṭitaśrayo 'sau	hRdayasya-a iti-uktavatyAm tasyAm prakawita-SrayaH asO
   prativyājahāra--"āyuṣmati, satāṃ hi priyaṃvadatā kulavidyā /	prativyAjahAra---"Ayuzmati, satAm hi priyaMvadatA kula-vidyA /
   na kevalamānanaṃ hṛdayamapi ca te candramayamiva	na kevalam-Ananam hRdayam-api ca te candra-mayam-iva
   sudhāśīkaraśītalairāhlādayati vacobhiḥ /	suDA-SIkara-SItalEH-AhlAdayati vacoBiH /
   saujanyajanmabhūmayo bhūyasā śūbhana sajjananirmāṇaśilpakalā iva	sOjanya-janma-BUmayaH BUyasA SUBana sat-jana-nirmANa-Silpa-kalAH iva
   bhāvadṛśyo dṛśyante /	BAva-dRSyaH dRSyante /
   dūre tāvadanyonyasyābhilapanamabhijātaiḥ saha dṛśo 'pi miśrībhūtā mahatīṃ	dUre tAvat-anyonyasya-aBilapanam-aBijAtEH saha dRSaH api miSrIBUtAH mahatIm
   bhūmimāropayanti /	BUmim-Aropayanti /
   śrūyatām--ayaṃ khalu bhūṣaṇaṃ bhārgavavaṃśasya bhagavato	SrUyatAm---ayam Kalu BUzaNam BArgava-vaMSasya BagavataH-
   bhūrbhuvaḥsvastritayatilakasya,	BUrBuvaH-svaH-tritaya-tilakasya,
   adabhraprabhāvastambhitajambhāribhujastambhasya,	adaBra-praBAva-stamBita-jamBAri-Buja-stamBasya,
   surāsuramukuṭamaṇiśilāśayanadurlalitapādapaṅkeruhasya,	sura-asura-mukuwa-maNi-SilA-Sayana-durlalita-pAda-paFkeruhasya,
   nijatejaḥprasarapluṣṭapulomnaścyavanasya bahirvṛttijīrvitaṃ dadhīco nāma	nija-tejaH-prasara-pluzwa-pulomnaH-cyavanasya bahis-vRtti-jIrvitam daDIcaH nAma
   tanayaḥ /	tanayaH /
   janyanyasya jitajagato 'nekapārthivasahasrānuyātasya śaryātasya sutā	janI-anyasya jita-jagataH aneka-pArTiva-sahasra-anuyAtasya SaryAtasya sutA
   rājaputrī tribhuvanakanyāratnaṃ sukanyā nāma /	rAja-putrI triBuvana-kanyA-ratnam sukanyA nAma /
   tāṃ khalu devīmantarvatnīṃ viditvā vaijanane māsi prasavāya pitā patyuḥ	tAm Kalu devIm-antarvatnIm viditvA vEjanane mAsi prasavAya pitA patyuH
   pārśvātsvagṛhamānāyayata /	pArSvAt-sva-gRham-AnAyayate /
   asūta ca sā tatra devī dīrghāyuṣamenam /	asUta ca sA tatra devI dIrGa-Ayuzam-enam /
   avardhatānehasā ca tatraivāyamānanditajñātivargo bālastārakarāja iva	avarData-AnehasA ca tatra-eva-ayam-Anandita-jQAti-vargaH bAlaH-tAraka-rAjaH iva
   rājīvalocano rājagṛhe /	rAjIva-locanaH rAjagRhe /
   bhartṛbhavanamāgacchantyāmapi duhitari	BartR-Bavanam-AgacCantyAm-api duhitari
   nāsecanakadarśanamimamamuñcanmātāmaho manovinodanaṃ naptāram /	na-Asecanaka-darSanam-imam-amuQcat-mAtAmahaH manaH-vinodanam naptAram /
   aśikṣatāyaṃ tatraiva, sarpā vidyāḥ sakalāśca kalāḥ /	aSikzata-ayam tatra-eva, sarpAH vidyAH sakalAH-ca kalAH /
   kālena copārūḍhayauvanamimamālokyāhamivāsāvapyanubhavatu	kAlena ca-upArUXa-yOvanam-imam-Alokya-aham-iva-asO=-api-anuBavatu
   mukhakamalāvalokanānandamasyeti mātāmahaḥ kathaṅkathamapyenaṃ	muKa-kamala-avalokana-Anandam-asya-iti mAtAmahaH kaTaFkaTam-api-enam
   piturantikamadhunā vyasarjayet /	pituH-antikam-aDunA vyasarjayet /
   māmapi tasyaiva devasya sugṛhītanāmnaḥ śaryātasyājñākāriṇaṃ vikukṣināmānaṃ	mAm-api tasya-eva devasya su-gRhIta-nAmnaH SaryAtasya-AjQA-kAriNam vikukzi-nAmAnam
   bhṛtyaparamāṇumavadhārayatu bhavatī /	BRtya-paramANum-avaDArayatu BavatI /
   pituḥ pādamūlamāyāntaṃ mayā sābhisāramakarotsvāmī /	pituH pAda-mUlam-AyAntam mayA sa-aBisAram-akarot-svAmI /
   taddhi naḥ kulakramāgataṃ rājakulam /	tat-hi naH kula-krama-Agatam rAja-kulam /
   uttamānāṃ ca cirantanatā janayatyanujīvinyapi jane kiyanmātramapi	uttamAnAm ca cirantanatA janayati-anujIvini-api jane kiyat-mAtram-api
   mandākṣam /	manda-akzam /
   akṣīṇaḥ khalu dākṣiṇyakośo mahatām /	akzINaH Kalu dAkziNya-koSaH mahatAm /
   etaśca gavyūtimātramiva pāreśoṇaṃ tasya bhagavataścyavanasya svanāmnā	etaH-ca gavyUti-mAtram-iva pAreSa-UNam tasya BagavataH-cyavanasya sva-nAmnA
   nirmitavyapadeśaṃ cyāvanaṃ nāma caitrarathakalpaṃ kānanaṃ nivāsaḥ /	nirmita-vyapadeSam cyAvanam nAma cEtraraTa-kalpam kAnanam nivAsaH /
   tadavadhireveyaṃ nau yātrā /	tad-avaDiH-eva-iyam nO yAtrA /
   yadi ca vo gṛhītakṣaṇaṃ dākṣiṇyamanavahelaṃ vā hadayamasmākamupari	yadi ca vaH gRhItakzaNam dAkziNyam-anavahelam vA hadayam-asmAkam-upari
   bhūmirvā prasādānāmayaṃ janaḥ śravaṇārhe vā, tato na vimānanīyo 'yaṃ naḥ	BUmiH-vA prasAda-anAm-ayam janaH SravaNa-arhe vA, tatas na vimAnanIyaH ayam naH
   prathamaḥ praṇayaḥ kutūhalasya /	praTamaH praNayaH kutUhalasya /
   vayamapi śuśrūṣavo vṛttāntamāyuṣmatyoḥ /	vayam-api SuSrUzavaH vRttAntam-AyuzmatyoH /
   neyamākṛtirdivyatāṃ vyabhicarati /	na-iyam-AkRtiH-divya-tAm vyaBicarati /
   gotranāmanī tu śrotumabhilaṣati nau hṛdayam /	gotra-nAmanI tu Srotum-aBilazati nO hRdayam /
   tatkathaya katamo vaṃśaḥ spṛhaṇīyatāṃ janmanā gītaḥ /	tat-kaTaya katamaH vaMSaH spRhaNIyatAm janmanA gItaH /
   kā ceyamatrabhavatī bhavatyāḥ samīpe samavāya iva virodhināṃ padārthānām /	kA ca-iyam-atraBavatI BavatyAH samIpe samavAyaH iva viroDinAm padArTAnAm /
   tathā hi, sannihitabālāndhakārā bhāsvanmūrtiśca, puṇḍarīkamukhī	taTA hi, sannihita-bAla-anDakArA BAsvat-mUrtiH-ca, puNxarIka-muKI
   hariṇalocanā ca, bālātapaprabhādhārā kumudahāsinī ca, kalahaṃsasvanā	hariNa-locanA ca, bAla-Atapa-praBA-DArA kumuda-hAsinI ca, kalahaMsa-svanA
   samunnatapayodharā ca, kamalakomalakarā himagiriśilāpṛthunitambā ca,	samunnata-payoDarA ca, kamala-komala-karA himagiri-SilA-pRTu-nitambA ca,
   karabhorurvilambitagamanā ca, amuktakumārabhāvā snigdhatārakā ca' iti /	karaBa-UruH-vilambita-gamanA ca, amukta-kumAra-BAvA snigDa-tArakA ca-a iti /
   sā tvāvādīt--"ārya, śroṣyasi kālena /	sA tvOvAdIt--"Arya, Srozyasi kAlena /
   bhūyaso divasānatra sthātumabhilaṣati nau hṛdayam /	BUyasaH divasAn-atra sTAtum-aBilazati nO hRdayam /
   alpīyāṃścāyamadhvā /	alpIyAn=-ca-ayam-aDvA /
   paricaya eva prakaṭīkariṣyati /	paricayaH eva prakawIkarizyati /
   āryeṇa na vismaraṇīyo 'yamanuṣaṅgadṛṣṭo janaḥ' itya bhidhāya tūṣṇīmabhūt /	AryeNa na vismaraNIyaH ayam-anuzaFga-dRzwaH janaH-a itya BiDAya tUzNIm-aBUt /
   dacīcastu navāmbhobharagabhīrāmbhodharadhvānanibhayā bhāratyā	dacIcaH-tu nava-amBaH-Baraga-BIra-amBoDara-DvAna-niBayA BAratyA
   nartayanvanalatābhavanabhājo bhujaṅgabhujaḥ sudhīramuvāca--"ārya,	nartayan-vana-latA-Bavana-BAjaH BujaFga-BujaH su-DIram-uvAca--"Arya,
   kariṣyati prasādamāryārādhyamānā /	karizyati prasAdam-Arya-ArADyamAnAH /
   paśyāmastāvattātam /	paSyAmaH-tAvat-tAtam /
   uttiṣṭha /	uttizWa /
   ṣajāmaḥ' iti /	zajAmaHa iti /
   tatheti ca tenābhyanujñātaḥ śanakairutthāya kṛtanamaskṛtiruccacāla /	taTA-iti ca tena-aByanujQAtaH SanakEs-utTAya kRta-namaskRtiH-uccacAla /
   turagārūḍhaṃ ca taṃ prayāntaṃ sarasvatī suciramuttambhitapakṣmaṇā	turaga-ArUXam ca tam prayAntam sarasvatI su-ciram-uttamBita-pakzmaNA
   niścalatārakeṇa likhiteneva cakṣuṣā vyalokayat /	niScala-tArakeNa liKitena-iva cakzuzA vyalokayat /
   uttīrya ca śoṇama cireṇaiva kālena dadhīcaḥ piturāśramapadaṃ jagāma /	uttIrya ca SoNama cireNa-eva kAlena daDIcaH pituH-ASrama-padam jagAma /
   gata ca tasminsā tāmeva diśamālokayantī suciramatiṣṭhat /	gata ca tasmin-sA tAm-eva diSam-AlokayantI suciram-atizWat /
   kṛcchrādiva ca saṃjahāra dṛśam /	kRcCrAt-iva ca saMjahAra dRSam /
   atha muhūrtamātramiva sthitvā smṛtvā ca tāṃ tasya rūpasapadaṃ	aTa muhUrta-mAtram-iva sTitvA smRtvA ca tAm tasya rUpa-sapadam
   punaḥpunarvyasma yatāsyā hṛdayam /	punar-punar-vyasma yata-asyAH hRdayam /
   bhūyo 'pi cakṣurākakāṅkṣa taddarśanam /	BUyas api cakzuH-Aka-kAFkza tad-darSanam /
   avaśeva kenāpyanīyata tāmeva diśaṃ dṛṣṭiḥ /	avaSA-iva kena-api-anIyata tAm-eva diSam dRzwiH /
   aprihatamapi manastenaiva sādhaṃmagāt ajāyata ca navapallava iva	aprihatam-api manaH-tena-eva sADaMmagAt ajAyata ca nava-pallavaH iva
   bālavanalatāyāḥ kuto 'pyasyā anurāgaścetasi /	bAla-vana-latAyAH kutas api-asyAH anurAgaH-cetasi /
   tataḥ prabhṛti ca sālasyeva śūnyeva sanidreva dikasamanayat /	tatas praBRti ca sAlasya-iva SUnyA-iva sa-nidrA-iva dika-samanayat /
   aratamupayāti ca pratyakparyastamaṇḍale lāṅgalikāstabakatāmratviṣi	aratam-upayAti ca pratyak-paryasta-maNxale lAFgalikA-stabaka-tAmra-tvizi
   kamalinīkāmuke kaṭhorasālasaśiraḥśoṇaśociṣi sāvitre trayīmaye tejasi,	kamalinI-kAmuke kaWorasa-alasa-SiraH-SoNa-Socizi sAvitre trayI-maye tejasi,
   taruṇataratamālaśyāmale ca malinayati vyoma vyomavyāpini timirasaṃcaye,	taruNatara-tamAla-SyAmale ca malinayati vyoma vyoma-vyApini timira-saMcaye,
   saṃcaratsiddhasundarīnūpuraravānusāriṇi ca mandaṃ mandaṃ mandākinīhaṃsa	saMcarat-sidDa-sundarI-nUpura-rava-anusAriNi ca mandam mandam mandAkinI-haMsa
   iva samutsarpati śaśini gaganatalam kṛtasaṃdhyāpraṇāmā niśāmukha eva	iva samutsarpati SaSini gagana-talam kRta-saMDyA-praNAmA niSA-muKaH eva
   nipatya vimuktāṅgī pallavaśayane tasthau /	nipatya vimukta-aFgI pallava-Sayane tasTO /
   sāvitryapi kṛtvā yathākriyamāṇaṃ sāyantanaṃ kriyākalāpamucite śayanakāle	sAvitrI-api kRtvA yaTAkriyamANam sAyantanam kriyA-kalApamucite Sayana-kAle
   kisalayaśayanamabhajata jātanidrā ca suṣvāpa /	kisalaya-Sayanam-aBajata jAta-nidrA ca suzvApa /
   itarā tu muhurmuhuraṅgavalanairvilulitakisalayaśayanatalā nimīlitanayanāpi	itarA tu muhur-muhur-aFga-valanEH-vilulita-kisalaya-Sayana-talA nimIlita-nayanA-api
   nālabhata nidrām /	na-alaBata nidrAm /
   acintayacca--"martyalokaḥ khalu sarvalokānāmupari, yasminnevaṃvidhāni	acintayat-ca--"martya-lokaH Kalu sarva-lokAnAm-upari, yasmin=-evaMviDAni
   bhavati tribhuvanabhūṣaṇāni sakalaguṇagrāmagurūṇi ratnāni /	Bavati triBuvana-BUzaNAni sakala-guNa-grAma-gurUNi ratnAni /
   tathā hi--tasya mukhalāvaṇyapravāhasya niṣyandabindurinduḥ /	taTA hi--tasya muKa-lAvaNya-pravAhasya nizyanda-binduH-induH /
   tasya ca cakṣuṣo vikṣepāḥ kumudakuvalayakamalākārāḥ /	tasya ca cakzuzaH vikzepAH kumuda-kuvalaya-kamala-AkArAH /
   tasya cādharamaṇerdīdhitayo vikasitabandhakavanarājayaḥ /	tasya ca-aDaramaNeH-dIDitayaH vikasita-banDaka-vana-rAjayaH /
   tasya cāṅgasya parabhāgopakaraṇamanaṅgaḥ /	tasya ca-aFgasya para-BAga-upakaraNam-anaFgaH /
   puṇyabhāñji tāni cakṣūṃṣi cetāṃsi yauvanāni vā straiṇāni, yeṣāmasāvaviṣayo	puNya-BAQji tAni cakzUMzi cetAMsi yOvanAni vA strENAni, yezAm-asO=-avizayaH-
   darśanasya /	darSanasya /
   kṣaṇaṃ nu darśayatā ca tamanyajanmaniteneva me phalitamadharmeṇa /	kzaNam nu darSayatA ca tam-anya-janma-nitena-iva me Palitam-aDarmeNa /
   kā pratipattiridānīm?' iti cintayantyeva kathaṅkathamapyupajātanidrā	kA pratipattiH-idAnIm?-a iti cintayanti-eva kaTaFkaTam-api-upajAta-nidrA
   cirātkṣaṇamaśeta /	cirAt-kzaNam-aSeta /
   suptāpi ca tameva dīrghalocanaṃ dadarśa /	suptA-api ca tam-eva dIrGalocanam dadarSa /
   svapnāsāditadvitīyadarśanā cākarṇākṛṣṭakārmukeṇa manasi nirdayamatāḍyata	svapna-AsAdita-dvitIya-darSanA ca-AkarNa-AkRzwa-kArmukeNa manasi nirdayam-atAxyata
   makarakenunā /	makara-kenunA /
   pratibuddhāyā madanaśarāhatāyāśca tasyā vārtāmivopalabdhumaratirājagāma /	pratibudDAyAH madana-Sara-AhatAyAH-ca tasyAH vArtAm-iva-upalabDum-aratiH-AjagAma /
   tathā hi--tataḥ prabhṛti kusumadhūlidhavalābhirvanalatābhistāḍitāpi	taTA hi--tatas praBRti kusuma-DUli-DavalABiH-vana-latABiH-tAxitA-api
   vedanāmadhatta /	vedanAm-aDatta /
   mandamandamārutavidhuteḥ kusumarajobhiradūṣitalocanāpyaśrujalaṃ mumoca /	manda-manda-mAruta-viDuteH kusuma-rajoBiH-adUzita-locana-api-aSru-jalam mumoca /
   haṃsapakṣatālavṛntavātavrātavitataiḥ śoṇaśīkarairasiktāpyārdratāmagāt /	haMsa-pakza-tAlavRnta-vAta-vrAta-vitatEH SoNa-SIkarEH-asiktA-apyArdra-tAm-agAt /
   preṅkhatkādambamithunābhiranūḍhāpyaghūrṇata vanakamalinīkalloladolābhiḥ /	preFKat-kAdamba-miTunABiH-anUXA-api-aGUrNata vana-kamalinI-kallola-dolABiH /
   vighaṭamānacakravākayugalavisṝṣṭairaspṛṣṭāpi śyāmatāmāsasāda	viGawamAna-cakravAka-yugala-visLzwEH-aspRzwA-api SyAma-tAm-AsasAda
   virahaniḥśvāsadhūmaiḥ /	viraha-niHSvAsa-DUmEH /
   puṣpadhūlidhūsarairadaṣṭāpi vyaceṣṭa madhu karakulaiḥ /	puzpa-DUli-DUsarEH-adazwA-api vyacezwa maDu kara-kulEH /
   atha gaṇarātrāpagame nivartamānastenaiva vartmanā taṃ deśaṃ samāgatya	aTa gaNa-rAtra-apagame nivartamAnaH-tena-eva vartmanA tam deSam samAgatya
   tathaiva nivāritaparijanaśchatradhāradvitīyo vikukṣirḍuḍhauke /	taTA-eva nivArita-parijanaH-Catra-DAra-dvitIyaH vikukziH-xuXOke /
   sarasvatī tu taṃ dūrādeva saṃmukhamāgacchantaṃ prītyā sasaṃbhramamutthāya	sarasvatI tu tam dUrAt-eva saMmuKam-AgacCantam prItyA sa-saMBramam-utTAya
