   (PSP_6 8:1)	(PSu _6 8:1)
   varṇaṃ bhāṣate, ye 'pi cānye prajñāṃ bhāvayanti teṣāṃ ca varṇavādī bhavati	varNam BAzate, ye api ca anye prajQAm BAvayanti tezAm ca varNa vAdI Bavati
   samanujñaḥ.	samanujQaH.
   iti ṣaṭpāramitāniveśanakarma	iti zaz pAramitA niveSana karma
   ātmanā ca daśakuśalān karmapathān samādāya vartate, parāṃś ca daśakuśaleṣu	AtmanA ca daSa kuSalAn karma paTAn samAdAya vartate, parAn ca daSa kuSalezu
   karmapatheṣu samādāpayati, daśānāṃ ca kuśalānāṃ karmapathānāṃ varṇaṃ	karma paTezu samAdApayati, daSAnAm ca kuSalAnAm karma paTAnAm varNam
   bhāṣate, ye 'pi cānye daśakuśalān karmapathān samādāya vartante teṣāṃ ca	BAzate, ye api ca anye daSa kuSalAn karma paTAn samAdAya vartante tezAm ca
   varṇavādī bhavati samanujñaḥ.	varNa vAdI Bavati samanujQaH.
   ātmanā ca pañcaśikṣāpadasamādāne vartate, parāṃś ca pañcaśikṣāpadasamādāne	AtmanA ca paQca SikzA pada samAdAne vartate, parAn ca paQca SikzA pada samAdAne
   samādāpayati, pañcānāñ ca śikṣāpadānāṃ varṇaṃ bhāṣate, ye 'pi cānye	samAdApayati, paQcAnAn ca SikzA padAnAm varNam BAzate, ye api ca anye
   pañcaśikṣāpadasamādāne vartante teṣāṃ varṇavādī bhāvati samanujñaḥ.	paQca SikzA pada samAdAne vartante tezAm varNa vAdI BAvati samanujQaH.
   ātmanā cāryāṣṭāṅgasamanvāgataṃ poṣadham upavasati, parāṃś	AtmanA ca Arya azwa aFga samanvAgatam pozaDam upavasati, parAnS
   cāryāṣṭāṅgasamanvāgate poṣadhe samādāpayaty āryāṣṭāṅgasamanvāgatasya ca	cArya azwa aFga samanvAgate pozaDe samAdApayati Arya azwa aFga samanvAgatasya ca
   poṣadhasya varṇaṃ bhāṣate, ye 'pi cānye āryāṣṭāṅgasamanvāgataṃ poṣadham	pozaDasya varNam BAzate, ye api ca anye Arya azwa aFga samanvAgatam pozaDam
   upavasanti teṣāñ ca varṇavādī bhavati samanujñaḥ.	upavasanti tezAn ca varNa vAdI Bavati samanujQaH.
   ātmanā cāpramāṇadhyānārūpyavimokṣasamādhisamāpattidhāraṇīmukhāni	AtmanA ca apramANa DyAna ArUpya vimokza samADi samApatti DAraNI muKAni
   samāpadyate, parāṃś	samApadyate, parAn= 
   cāpramāṇadhyānārūpyavimokṣasamādhisamāpattidhāraṇīmukheṣu niyojayaty	ca apramANa DyAna ArUpya vimokza samADi samApatti DAraNI muKezu niyojayati 
   apramāṇadhyānārūpyavimokṣasamādhisamāpattidhāraṇīmukhāṇāṃ ca varṇaṃ	apramANa DyAna ArUpya vimokza samADi samApatti DAraNI muKANAm ca varNam
   bhāṣate, ye 'pi cānye	BAzate, ye api ca anye
   'pramāṇadhyānārūpyavimokṣasamādhisamāpttidhāraṇīmukhāni samāpadyante teṣāṃ	apramANa DyAna ArUpya vimokza samADi samAptti DAraNI muKAni samApadyante tezAm
   ca varṇavādī bhavati samanujñaḥ.	ca varNa vAdI Bavati samanujQaH.
   ātmanā ca saptatriṃśadbodhipakṣyān dharmān bhāvayati, parāṃś ca	AtmanA ca saptatriMSat boDi pakzyAn DarmAn BAvayati, parAn ca
   saptatriṃśadbodhipakṣyeṣu dharmeṣu niyojayati, saptatriṃśadbodhipakṣyāṇāñ	saptatriMSat boDi pakzyezu Darmezu niyojayati, saptatriMSat boDi pakzyANAn 
   ca dharmāṇāṃ varṇaṃ bhāṣate, ye 'pi cānye saptatriṃśadbodhipakṣyeṣu	ca DarmANAm varNam BAzate, ye api ca anye saptatriMSat boDi pakzyezu
   dharmeṣu pravartante teṣāṃ ca varṇavādī bhavati samanujñaḥ.	Darmezu pravartante tezAm ca varNa vAdI Bavati samanujQaH.
   ātmanā ca śūnyatānimittāpraṇihitāni bhāvayati, parāṃś ca	AtmanA ca SUnyatA nimitta apraNihitAni BAvayati, parAn ca
   śūnyatānimittāpraṇihiteṣu niyojayati, śūnyatānimittāpraṇihitānāṃ ca varṇaṃ	SUnyatA nimitta apraNihitezu niyojayati, SUnyatA nimitta apraNihitAnAm ca varNam
   (PSP_6 8:88) bhāṣate, ye 'pi cānye śūnyatānimittāpraṇihitāni bhāvayanti	(PSu _6 8:88) BAzate, ye api ca anye SUnyatA nimitta apraNihitAni BAvayanti
   teṣāñ ca varṇavādī bhavati samanujñaḥ.	tezAn ca varNa vAdI Bavati samanujQaH.
   ātmanā ca catvāry āryasatyāni bhāvayati, parāṃś ca caturṣv āryasatyeṣu	AtmanA ca catvAri Arya satyAni BAvayati, parAn ca caturzu Arya satyezu
   niyojayati, caturṇāñ cāryasatyānāṃ varṇaṃ bhāṣate, ye 'pi cānye catvāry	niyojayati, caturNAn cArya satyAnAm varNam BAzate, ye api ca anye catvAri 
   āryāsatyāni bhāvayanti teṣāṃ ca varṇavādī bhavati samanujñaḥ.	Arya asatyAni BAvayanti tezAm ca varNa vAdI Bavati samanujQaH.
   ātmanā ca pañcābhijñā niṣpādayati, parāṃś ca pañcasv abhijñāsu niyojayati,	AtmanA ca paQca aBijQA nizpAdayati, parAn ca paQcasu aBijQAsu niyojayati,
   pañcānāṃ cābhijñānāṃ varṇaṃ bhāṣate, ye 'pi cānye pañcābhijñā niṣpādayanti	paQcAnAm ca aBijQAnAm varNam BAzate, ye api ca anye paQca aBijQAH nizpAdayanti
   teṣāṃ ca varṇavādī bhavati samanujñaḥ.	tezAm ca varNa vAdI Bavati samanujQaH.
   ātmanā ca daśabalavaiśāradyapratisaṃvidāveṇikān buddhadharmān bhāvayati,	AtmanA ca daSa bala vESAradya pratisaMvid AveNikAn budDa DarmAn BAvayati,
   parāṃś ca daśabalavaiśāradyapratisaṃvidāveṇikabuddhadharmeṣu niyojayati,	parAn ca daSa bala vESAradya pratisaMvid AveNika budDa Darmezu niyojayati,
   daśabalavaiśāradyapratisaṃvidāveṇikabuddhadharmāṇāṃ varṇaṃ bhāsate, ye 'pi	daSa bala vESAradya pratisaMvid AveNika budDa DarmANAm varNam BAsate, ye api
   cānye daśabalavaiśāradyapratisaṃvidāveṇikabuddhadharmān bhāvayanti, teṣāṃ	ca anye daSa bala vESAradya pratisaMvid AveNika budDa DarmAn BAvayanti, tezAm
   ca varṇavādī bhavati samanujñaḥ.	ca varNa vAdI Bavati samanujQaH.
   ātmanā ca mahākaruṇāṃ bhāvayati, parāṃś ca mahākaruṇāyāṃ niyojayati,	AtmanA ca mahA karuNAm BAvayati, parAn ca mahA karuNAyAm niyojayati,
   mahākaruṇāyāś ca varṇaṃ bhāsate, ye 'pi cānye mahākaruṇāṃ bhāvayanti teṣāṃ	mahA karuNAyAH ca varNam BAsate, ye api ca anye mahA karuNAm BAvayanti tezAm
   ca varṇavādī bhavati samanujñaḥ.	ca varNa vAdI Bavati samanujQaH.
   ātmanā ca dvātriṃśanmahāpuruṣalakṣaṇāśītyanuvyañjanāni niṣpādayati, parāṃś	AtmanA ca dvAtriMSat mahApuruza lakzaNa aSIti anuvyaQjanAni nizpAdayati, parAnS
   ca dvātriṃśanmahāpuruṣalakṣaṇāśītyanuvyañjaneṣu niyojayati,	ca dvAtriMSat mahApuruza lakzaNa aSIti anuvyaQjanezu niyojayati,
   dvātriṃśadmahāpuruṣalakṣaṇāśītyanuvyañjanānāṃ ca varṇaṃ bhāṣate, ye 'pi	dvAtriMSat mahApuruza lakzaNa aSIti anuvyaQjanAnAm ca varNam BAzate, ye api
   cānye dvātriṃśanmahāpurṣalakṣaṇāśītyanuvyañjanāni niṣpādayanti teṣāñ ca	ca anye dvAtriMSat mahApurza lakzaNa aSIti anuvyaQjanAni nizpAdayanti tezAn ca
   varṇavādī bhavati samanujñaḥ.	varNa vAdI Bavati samanujQaH.
   iti buddhamārganiveśanakarma	iti budDa mArga niveSana karma
   yadi subhūte na dharmadhātur yathā pūrvaṃ tathā paścāt tathā madhye na	yadi suBUte na DarmaDAtuH yaTA pUrvam taTA paScAt taTA maDye na
   bodhisattvo mahāsattva upāyakauśalyena dharmadhātuṃ śodhayet, na sattvāṃś	boDisattvaH mahAsattvaH upAya kOSalyena DarmaDAtum SoDayet, na sattva aM= 
   ca paripācayet. yasmāt tarhi subhūte dharmadhātur yathaiva pūrvaṃ tathāiva	ca paripAcayet. yasmAt tarhi suBUte DarmaDAtuH yaTA eva pUrvam taTA aiva
   paścāt tathāiva madhye tasmāt tarhi subhūte bodhisattvo mahāsattvaḥ	paScAt taTA aiva maDye tasmAt tarhi suBUte boDisattvaH mahAsattvaH
   prajñāpāramitāyāṃ caran sattvānām arthāya bodhisattvacaryāṃ carati.	prajQApAramitAyAm caran sattvAnAm arTAya boDisattva caryAm carati.
   subhūtir āha: yadi bhagavann atyantatayā sattvo nopalabhyate na ca	suBUtiH Aha: yadi Bagavan atyanta tayA sattvaH na upalaByate na ca
   sattvaprajñaptiḥ. kasyārthāya bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ	sattva prajQaptiH. kasya arTAya boDisattvaH mahAsattvaH prajQApAramitAyAm
   carati?	carati?
   (PSP_6 8:89)	(PSu _6 8:89)
   evam ukte bhagavān āyuṣmantaṃ subhūtim etad avocat: bhūtakotiṃ subhūte	evam ukte BagavAn Ayuzmantam suBUtim etat avocat: BUtakotim suBUte
   'pramāṇīkṛtya bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ carati, yadi	apramANIkRtya boDisattvaH mahAsattvaH prajQApAramitAyAm carati, yadi
   subhūte anyā bhūtakoṭiḥ syād anyā sattvakoṭir na bodhisattvo mahāsattvaḥ	suBUte anyA BUtakowiH syAt anyA sattva kowiH na boDisattvaH mahAsattvaH
   prajñāpāramitāyāṃ carati, yasmāt tarhi subhūte nānyā bhūtakoṭir nānyā	prajQApAramitAyAm carati, yasmAt tarhi suBUte na anyA BUtakowiH na anyA
   sattvakoṭis tasmād bodhisattvo mahāsattvaḥ satttvānām arthāya	sattva kowiH tasmAt boDisattvaH mahAsattvaH satttvAnAm arTAya
   prajñāpāramitāyāṃ carati, prajñāpāramitāyāṃ subhūte bodhisattvo	prajQApAramitAyAm carati, prajQApAramitAyAm suBUte boDisattvaH 
   mahāsattvaś caran bhūtakoṭyavikopanāyai sattvān bhūtakoṭyāṃ	mahAsattvaH caran BUtakowyavikopanAyE sattvAn BUtakowyAm
   pratiṣṭhāpayati.	pratizWApayati.
   evam ukte āyuṣmān subhūtir bhagavantam etad avocat: yadi bhagavan	evam ukte AyuzmAn suBUtiH Bagavantam etat avocat: yadi Bagavan
   bhūtakoṭiḥ sattvakoṭiḥ, kiṃ punar bhagavan bhūtakoṭir bhūtakoṭyāṃ	BUtakowiH sattva kowiH, kim punar Bagavan BUtakowiH BUtakowyAm
   pratiṣṭhet? yadi bhagavan bhūtakoṭir bhūtakoṭyāṃ pratiṣṭhet, tataḥ	pratizWet? yadi Bagavan BUtakowiH BUtakowyAm pratizWet, tatas 
   svabhāvaḥ svabhāve 'smin pratiṣṭhet, na ca bhagavan svabhāvaḥ svabhāve	svaBAvaH svaBAve asmin pratizWet, na ca Bagavan svaBAvaH svaBAve
   'smin pratiṣṭhet, tat kathaṃ bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ	asmin pratizWet, tat kaTam boDisattvaH mahAsattvaH prajQApAramitAyAm
   caran sattvān bhūtakoṭyāṃ pratiṣṭhāpayati?	caran sattvAn BUtakowyAm pratizWApayati?
   evam ukte bhagavān āyuṣmantaṃ subhūtim etad avocat: na subhūte bhūtakoṭir	evam ukte BagavAn Ayuzmantam suBUtim etat avocat: na suBUte BUtakowiH 
   bhūtakoṭyāṃ pratiṣṭhet, na ca svabhāvaḥ svabhāve 'smin pratiṣṭhet, api tu	BUtakowyAm pratizWet, na ca svaBAvaH svaBAve asmin pratizWet, api tu
   khalu subhūte bodhisatttvo mahāsattvaḥ prajñāpāramitāyāṃ carann	Kalu suBUte boDisatttvaH mahAsattvaH prajQApAramitAyAm caran= 
   upāyakauśalyena sattvān bhūtakoṭyāṃ pratiṣṭhāpayati, na cānyā bhūtakoṭir	upAya kOSalyena sattvAn BUtakowyAm pratizWApayati, na ca anyA BUtakowiH 
   anyā sattvakoṭir iti hi subhūte bhūtakoṭiś ca sattvakoṭiś cādvayam etad	anyA sattva kowiH iti hi suBUte BUtakowiH ca sattva kowiH ca advayam etat 
   advaidhīkāram.	advEDIkAram.
   evam ukte āyuṣmān subhūtir bhagavantam etad avocat: katamad bhagavan	evam ukte AyuzmAn suBUtiH Bagavantam etat avocat: katamat Bagavan
   bodhisattvānāṃ mahāsattvānām upāyakauśalyaṃ yenopāyakauśalyena samanvāgato	boDisattvAnAm mahAsattvAnAm upAya kOSalyam yena upAya kOSalyena samanvAgataH 
   bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ caran sattvān bhūtakoṭyāṃ	boDisattvaH mahAsattvaH prajQApAramitAyAm caran sattvAn BUtakowyAm
   pratiṣṭhāpayati na ca bhūtakoṭiṃ vikopayati?	pratizWApayati na ca BUtakowim vikopayati?
   evam ukte bhagavān āyuṣmantaṃ subhūtim etad avocat: iha subhūte	evam ukte BagavAn Ayuzmantam suBUtim etat avocat: iha suBUte
   bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ caran prathamacittotpādam	boDisattvaH mahAsattvaH prajQApAramitAyAm caran praTama citta utpAdam
   upādāya sattvān dāne pratiṣṭhāpayati, dāne pratiṣṭhāpya tasya dānasya	upAdAya sattvAn dAne pratizWApayati, dAne pratizWApya tasya dAnasya
   pūrvāntāparāntam ācaṣṭe yathaiva tad dānaṃ pūrvāntataḥ śūnyam aparāntataḥ	pUrva anta apara antam Acazwe yaTA eva tat dAnam pUrva antataH SUnyam apara antataH
   śūnyaṃ madhyataḥ śūnyaṃ tat tathā tad dānaphalam api śūnyaṃ, deyam api	SUnyam maDyatas SUnyam tat taTA tat dAna Palam api SUnyan, deyam api
   śūnyaṃ, dānapatir api śūnyo, dāyako 'pi dāyakasvabhāvena śūnyaḥ,	SUnyan, dAnapatiH api SUnyo, dAyakaH api dAyaka svaBAvena SUnyaH,
   pratigrāhako 'pi pratigrāhakasvabhāvena śūnyaḥ. (PSP_6 8:90) evaṃ	pratigrAhakaH api pratigrAhaka svaBAvena SUnyaH. (PSu _6 8:90) evam
   kulaputra sarva ete dharmā bhūtakoṭyāṃ na saṃvidyante, mā cānyad dānaṃ	kula putra sarve ete DarmAH BUtakowyAm na saMvidyante, mA ca anyat dAnam
   mansyase, 'nyad dānapatiṃ maṃsyase, 'nyad dānaphalaṃ maṃsyase, 'nyaṃ	mansyase, anyat dAnapatim maMsyase, anyat dAna Palam maMsyase, anyam
   pratigrāhakaṃ maṃsyase, 'nyāṃ bhūtakoṭiṃ maṃsyase, yatas tvaṃ kulaputra	pratigrAhakam maMsyase, anyAm BUtakowim maMsyase, yatas tvam kula putra
   nānyad dānaṃ maṃsyase, nānyaṃ dānapatiṃ maṃsyase, nānyaṃ dānaphalaṃ	na anyat dAnam maMsyase, na anyam dAnapatim maMsyase, na anyam dAna Palam
   maṃsyase, nānyaṃ pratigrāhakaṃ maṃsyase, nānyāṃ bhūtakoṭiṃ maṃsyase, tatas	maMsyase, na anyam pratigrAhakam maMsyase, na anyAm BUtakowim maMsyase, tatas 
   ta etad dānam amṛtāvahaṃ bhaviṣyaty amṛtaphalam amṛtaparyavasānam, etena	te etat dAnam amRta Avaham Bavizyati amRta Palam amRta paryavasA nam, etena
   ca tvaṃ dānena mā rūpaṃ pratigrahīṣyasi, mā vedanāṃ mā saṃjñāṃ mā	ca tvam dAnena mA rUpam pratigrahIzyasi, mA vedanAm mA saMjQAm mA
   saṃskārāṃ, mā vijñānaṃ pratigrahīṣyasi. tat kasya hetoḥ? tathā hi tavaitad	saMskArAn, mA vijQAnam pratigrahIzyasi. tat kasya hetoH? taTA hi tava etat 
   dānaṃ śūnyaṃ dānasvabhāvena, phalam api phalasvabhāvena śūnyaṃ,	dAnam SUnyam dAna svaBAvena, Palam api Pala svaBAvena SUnyaM,
   pratigrāhako 'pi pratigrāhakasvabhāvena śūnyaḥ, na ca śūnyatāyāṃ dānam	pratigrAhakaH api pratigrAhaka svaBAvena SUnyaH, na ca SUnyatAyAm dAnam
   upalabhyate, na dānaphalam upalabhyate, na pratigrāhaka upalabhyate. tat	upalaByate, na dAna Palam upalaByate, na pratigrAhakaH upalaByate. tat 
   kasya hetoḥ? tathā hy atyantatayā sarva ete dharmāḥ svabhāvena śūnyāḥ.	kasya hetoH? taTA hi atyanta tayA sarve ete DarmAH svaBAvena SUnyAH.
   punar aparaṃ subhūte bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ carann	punar aparam suBUte boDisattvaH mahAsattvaH prajQApAramitAyAm caran= 
   upāyakauśalyena sattvān śīle pratiṣṭhāpayati, ehi tvaṃ kulaputra	upAya kOSalyena sattvAn SIle pratizWApayati, ehi tvam kula putra
   prāṇātipātaṃ prahāya praṇātipātāt prativirato bhava, evam adattādānāt	prANa atipAtam prahAya praNAti pAtAt prativirataH Bava, evam adatta AdAnAt 
   kāmamithyācārāt mṛṣāvādāt paiśūnyāt paruṣavacanād abaddhapralāpād	kAma miTyA AcArAt mRzAvAdAt pESUnyAt paruza vacanAt abadDa pralApAt 
   abhidhyāyā vyāpādād ehi tvaṃ kulaputra mithyādṛṣṭiṃ prahāya mithyādṛṣṭheḥ	aBiDyAyAH vyApAdAt ehi tvam kula putra miTyA dRzwim prahAya miTyA dRzWeH
   prativirato bhava, naiṣāṃ kulaputra dharmāṇāṃ kaścit svabhāvo vidyate	prativirataH Bava, na ezAm kula putra DarmANAm kaScid svaBAvaH vidyate
   yathā tvayā kalpito 'haṃ tat kulaputropaparīkṣe svabhāvaṃ, katama eṣa	yaTA tvayA kalpitaH aham tat kula putra upaparIkze svaBAvaM, katamaH eza
   dharmaḥ prāṇo nāma yo jīvitād vyaparopyate yena vā vyaparopyate? evam	DarmaH prANaH nAma yaH jIvitAt vyaparopyate yena vA vyaparopyate? evam
   adattādānaṃ kāmamithyācārā mṛṣāvādaḥ paiśūnyaṃ paruṣavacanam	adatta AdAnam kAma miTyA AcArAH mRzAvAdaH pESUnyam paruza vacanam
   abaddhapralāpo 'bhidhyā vyāpādaḥ, katama eṣa dharmo mithyādṛṣṭir nāma yo	abadDa pralApaH aBiDyA vyApAdaH, katamaH eza DarmaH miTyAdRzwiH nAma yaH 
   vā mithyāṃ paśyaty? anena subhūte upāyakauśalyena samanvāgato bodhisattvo	vA miTyAm paSyaty? anena suBUte upAya kOSalyena samanvAgataH boDisattvaH 
   mahāsattvaḥ prajñāpāramitāyāṃ caran sattvān paripācayati, tasya dānasya ca	mahAsattvaH prajQApAramitAyAm caran sattvAn paripAcayati, tasya dAnasya ca
   śīlasya ca phalam ākāṅkṣate, tad api dānaphalaṃ ca śīlaphalaṃ ca	SIlasya ca Palam AkAFkzate, tat api dAna Palam ca SIla Palam ca
   svabhāvena śūnyaṃ, tataḥ sa kulaputro 'nuttrastasya dānaphalasya ca	svaBAvena SUnyan, tatas sa kula putraH anuttraH tasya dAna Palasya ca
   śīlaphalasya ca phalaṃ svabhāvena śūnyaṃ viditvā (PSP_6 8:91) tatra	SIla Palasya ca Palam svaBAvena SUnyam viditvA (PSu _6 8:91) tatra
   nābhiniviśate anabhiniveśamāno 'vikṣepam utpādya prajñām utpādayati, yayā	na aBiniviSate anaBiniveSamAnaH avikzepam utpAdya prajQAm utpAdayati, yayA
   prajñayā sarvānuśayaparyutthānāni cchitvānupadhiśeṣe nirvāṇadhātau	prajQayA sarva anuSaya paryutTAnAni cCitvA anupaDi Seze nirvANa DAtO
   parinirvāti lokavyavahāreṇa na punaḥ paramārthena. tat kasya hetoḥ? na hi	parinirvAti loka vyavahAreNa na punar parama arTena. tat kasya hetoH? na hi
   śūnyatāyāṃ kaścid dharma upalabhyate yaḥ parinirvāyād yena ca parmirvāyād,	SUnyatAyAm kaScid DarmaH upalaByate yaH parinirvAyAt yena ca parmiH vAyAt ,
   api tu khalu punar etad eva tat parinirvāṇaṃ yad utātyantaśūnyatā.	api tu Kalu punar etat eva tat parinirvANam yat uta atyanta SUnyatA.
   punar aparaṃ subhūte bodhisattvo mahāsattvaḥ parasattvān parapudgalān,	punar aparam suBUte boDisattvaH mahAsattvaH para sattvAn para pudgalAn,
   kṣudhān vyāpannacittān dṛṣṭvā evam avavadaty anuśāsti, ehi tvaṃ kulaputra	kzuDAn vyApanna cittAn dRzwvA evam avavadati anuSAsti, ehi tvam kula putra
   kṣāntiṃ saṃpādaya kṣamī ca bhavaśūrato dātacitto 'dhivāsanajātīyo yatra	kzAntim saMpAdaya kzamI ca Bava SUrataH dAta cittaH aDivAsana jAtIyaH yatra
   tvaṃ vyāpadyase sarva ete dharmāḥ prakṛtiśūnyā hantopaparīkṣasva bhāvaṃ,	tvam vyApadyase sarve ete DarmAH prakRti SUnyA hanta upaparIkzasva BAvaM,
   kulaputra kutrāhaṃ vyāpadye? ko vā vyāpadyate? kasya vā vyāyadyate? sarva	kula putra kutra aham vyApadye? kaH vA vyApadyate? kasya vA vyAyadyate? sarva
   ete dharmāḥ prakṛtiśūnyā, yā ca prakrtiśūnyatā na sā jātu na śūnyatā, sā	ete DarmAH prakRti SUnyA, yA ca prakrti SUnyatA na sA jAtu na SUnyatA, sA
   ca na tathāgataiḥ krtā, na pratyekabuddhair na śrāvakair na bodhisattvair	ca na taTAgatEH krtA, na pratyekabudDEH na SrAvakEH na boDisattvEH 
   na devair na nāgair na yakṣair na gandharvair nāsurair na garuḍair na	na devEH na nAgEH na yakzEH na ganDarvEH na asurEH na garuxEH na
   kiṃnarair na mahoragair na caturbhir mahārājair na śakreṇa devānām indreṇa	kiMnarEH na mahA uragEH na caturBiH mahA rAjEH na SakreNa devAnAm indreNa
   na yāmena devaputreṇa na tuṣitena devaputreṇa na nirmāṇaratinā devaputrair	na yAmena deva putreNa na tuzitena deva putreNa na nirmANa ratinA deva putrEH 
   na paranirmitavaśavartinā devaputrair na brahmapārṣadyair na	na paranirmitavaSavartinA deva putrEH na brahmapArzadyEH na
   brahmapurohitair na mahābrahmabhir na parīttābhair nāpramāṇābhair	brahma purohitEH na mahA brahmaBiH na parItta ABEH na apramANa ABEr
   nābhāsvarair na parīttaśubhair nāpramāṇaśubhair na śubhakṛtsnair	nABAsvarEH na parItta SuBEH na apramANa SuBEH na SuBa kRt snEH 
   nānabhrakair na puṇyaprasavair na bṛhatphalair na śuddhāvasair nātapair na	na anaBrakEH na puNya prasavEH na bRhat PalEH na SudDa avasEH na AtapEH na
   sudṛśair na sudarśanair nākaniṣṭhair devaputrair nākāśānantyāyatanair na	sudRSEH na sudarSanEH na akanizWEH deva putrEH na AkASAnanti a AyatanEH na
   vijñānānantyāyatanair nākiñcanyāyatanair na naivasaṃjñānāsaṃjñāyatanaiḥ	vijQAna Ananti AyatanEH na akiQcani AyatanEH na na eva saMjQAna asaMjQA yatanEH
   kṛtā hanta kulaputropaparīkṣasva kutrāhaṃ vyāpadye? ko vā vyāpadyate?	kRtA hanta kula putra upaparIkzasva kutra aham vyApadye? kaH vA vyApadyate?
   kasya vā vyāpadyate? sarva ete dharmāḥ prakṛtiśūnyā na ca śūnyatā kasyacid	kasya vA vyApadyate? sarve ete DarmAH prakRti SUnyA na ca SUnyatA kasyacid 
   antike vyāpadyate, evaṃ khalu subhūte bodhisattvo mahāsattvaḥ	antike vyApadyate, evam Kalu suBUte boDisattvaH mahAsattvaH
   prajñāpāramitāyāṃ caran sattvān prakṛtiśūnyatāyāṃ niyojayaty ayaṃ hetur	prajQApAramitAyAm caran sattvAn prakRti SUnyatAyAm niyojayati ayam hetuH 
   idaṃ phalaṃ prakṛtiśūnyatāyāṃ niyojayann anupūrveṇa yāvad anuttarāyāṃ	idam Palam prakRti SUnyatAyAm niyojayan anupUrveNa yAvat anuttarAyAm
   samyaksaṃbodhau saṃdarśayati samādāpayati niveśayati pratiṣṭhāpayati, tat	samyaksaMboDO saMdarSayati samAdApayati niveSayati pratizWApayati, tat 
   punar lokavyavahāreṇa na (PSP_6 8:92) punaḥ paramārthena. tat kasya hetoḥ?	punar loka vyavahAreNa na (PSu _6 8:92) punar parama arTena. tat kasya hetoH?
   na hi prakṛtiśūnyatāyāṃ kaścid asti yo vā prāpnuyād yena vā prāpnuyād	na hi prakRti SUnyatAyAm kaScid asti yaH vA prApnuyAt yena vA prApnuyAt 
   yatra vā prāpnuyād iyaṃ subhūte bhūtakoṭir yad uta prakṛtiśūnyatā yatra	yatra vA prApnuyAt iyam suBUte BUtakowiH yat uta prakRti SUnyatA yatra
   bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ carati sattvānāṃ kṛtaśo nātra	boDisattvaH mahAsattvaH prajQApAramitAyAm carati sattvAnAm kRtaSas na atra
   sattva upalabhyate na sattvaprajñaptiḥ. tat kasya hetoh? sattvaviviktatā	sattvaH upalaByate na sattva prajQaptiH. tat kasya hetoh? sattva vivikta tA
   hi sarvadharmāḥ.	hi sarva DarmAH.
   punar aparaṃ subhūte bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ carann	punar aparam suBUte boDisattvaH mahAsattvaH prajQApAramitAyAm caran= 
   upāyakauśalyena samanvāgataḥ sattvān hīnavīryān dṛṣṭvā kāyike ca caitasike	upAya kOSalyena samanvAgataH sattvAn hIna vIryAn dRzwvA kAyike ca cEtasike
   ca vīrye samādāpayati, na kulaputra prakṛtiśūnyatāyāṃ kasyacid dharmasya	ca vIrye samAdApayati, na kula putra prakRti SUnyatAyAm kasyacid Darmasya
   saṃsīdanā vidyate yatra vā saṃsīded yena vā saṃsīded yo vā saṃsīdyet,	saMsIdanA vidyate yatra vA saMsIdet yena vA saMsIdet yaH vA saMsIdyet,
   sarva ete dharmāḥ prakṛtiśūnyāḥ śūnyatā nātivartate hantedānīṃ kāyikaṃ ca	sarve ete DarmAH prakRti SUnyAH SUnyatA na ativartate hanta idAnIm kAyikam ca
   caitasikañ ca vīryaṃ janayitvā kauśīdyam avasṛjya kuśala eva karmaṇy	cEtasikan ca vIryam janayitvA kOSIdyam avasRjya kuSalaH eva karmaNi 
   udyacchasva yadi vā dāne yadi vā śīle yadi vā kṣāntau yadi vā vīrye yadi	udyacCasva yadi vA dAne yadi vA SIle yadi vA kzAntO yadi vA vIrye yadi
   vā dhyāne yadi vā prajñāyāṃ yadi vā	vA DyAne yadi vA prajQAyAm yadi vA
   dhyānavimokṣasamādhisamāpattidhāraṇīmukheṣu yadi vā	DyAna vimokza samADi samApatti DAraNI muKezu yadi vA
   smṛtyupasthānasamyakprahāṇarddhipādendriyabalabodhyaṅgamārgeṣu yadi vā	smRti upasTAna samyak prahANa RdDi pAda indriya bala boDi aFga mArgezu yadi vA
   śūnyatānimittāpraṇihiteṣu yadi vāryasatyeṣu yadi vādhyātmaśūnyatāyāṃ yadi	SUnyatA nimitta apraNihitezu yadi vAri asatyezu yadi vA aDyAtma SUnyatAyAm yadi
   vā bahirdhāśūnyatāyāṃ yadi vādhyātmabahirdhāśūnyatāyāṃ yadi vā yāvad	vA bahirDA SUnyatAyAm yadi vA aDyAtma bahirDA SUnyatAyAm yadi vA yAvat 
   abhāvasvabhāvaśūnyatāyāṃ yadi vābhijñāsu yadi vā	aBAva svaBAva SUnyatAyAm yadi vA aBijQAsu yadi vA
   daśabalavaiśāradyapratisaṃvidāveṇikabuddhadharmeṣu yadi vā yāvat	daSa bala vESAradya pratisaMvid AveNika budDa Darmezu yadi vA yAvat 
