   PADA MARKERS	PADAH MARKERS
   mustādike gaṇe mustā $ pūrvam eva prakīrtitā &	mustA-Adike gaNe mustA $ pUrvam eva prakIrtitA &
   tiktā ca kaṭukā jñeyā % rohiṇī kaṭurohiṇī // VAnigh_167 //	tiktA ca kawukA jQeyA % rohiNI kawurohiNI // Va-aniG_167 //
   sphoṭaśophakṣatakaraṃ $ bhallātakam aruṣkaram &	sPowa-SoPa-kzata-karam $ BallAtakam aruzkaram &
   pākalaṃ vāri bhāvyaṃ ca % vāpyaṃ kuṣṭhaṃ gadāhvayam // VAnigh_168 //	pAkalam vAri BAvyam ca % vApyam kuzWam gadA-Ahvayam // Va-aniG_168 //
   nyāgrodhapappalasadāphalarodhrayugmaṃ $ jambudvayārjunakapītanasomavalkāḥ	nyAgroDa-pappala-sadAPala-roDra-yugmam $ jambu-dvaya-arjuna-kapItana-somavalkAH
   plakṣāmravañjulapiyālapalāśanandī- % kolīkadambaviralāmadhukaṃ madhūkam //	plakza-Amra-vaQjula-piyAla-palASa-nandI % kolI-kadamba-viralA-maDukam maDUkam //
   VAnigh_169 //	VAniG_169 //
   nyagrodhādir gaṇo vraṇyaḥ $ saṃgrāhī bhagnasādhanaḥ &	nyagroDAdiH gaNaH vraNyaH $ saMgrAhI Bagna-sADanaH &
   medaḥpittāsratṛḍdāha- % yoniroganibarhaṇaḥ // VAnigh_170 //	medaH-pittAsra-tRz-dAha % yoni-roga-nibarhaNaH // Va-aniG_170 //
   nyagrodhādau yakṣavāso $ nyagrodho bahupād vaṭaḥ &	nyagroDAdO yakza-vAsaH $ nyagroDaH bahupAd vawaH &
   aśvatthaḥ pippalo bodhiś % caityadruś calapattrakaḥ // VAnigh_171 //	aSvatTaH pippalaH boDiH % cEtyadruH calapattrakaH // Va-aniG_171 //
   udumbaraḥ kṛmiphalaḥ $ supratiṣṭhaḥ sadāphalaḥ &	udumbaraH kRmiPalaH $ su-pratizWaH sadAPalaH &
   bṛhatphalā rājajambūḥ % kākajambvalpasasyakā // VAnigh_172 //	bRhatPalA rAja-jambUH % kAka-jambu-alpa-sasyakAH // Va-aniG_172 //
   phalaśreṇī varaḥ proktaḥ $ kapicūtaḥ kapītanaḥ &	Pala-SreNI varaH proktaH $ kapi-cUtaH kapItanaH &
   plakṣaḥ kupippalaḥ plāvo % gardabhāṇḍaḥ kapītanaḥ // VAnigh_173 //	plakzaH kupippalaH plAvaH % gardaBANxaH kapItanaH // Va-aniG_173 //
   āmraś cūtaś cāvatalaḥ $ kāntaḥ piṇḍaphalas tathā &	AmraH cUtaH ca-avatalaH $ kAntaH piNxaPalaH taTA &
   vasantadūtī mākandā % bhṛṅgeṣṭā kokilapriyā // VAnigh_174 //	vasantadUtI mAkandA % BRFgezwA kokila-priyA // Va-aniG_174 //
   rasāladruḥ sahakāraḥ $ saurabhaḥ kokilapriyaḥ &	rasAladruH sahakAraH $ sOraBaH kokilapriyaH &
   nādeyo vañjulaḥ prokto % vidulo vetaso 'paraḥ // VAnigh_175 //	nAdeyaH vaQjulaH proktaH % vidulaH vetasaH aparaH // Va-aniG_175 //
   priyālas tu kharaskandhaś $ cāro drākṣārasapriyaḥ &	priyAlaH tu Kara-skanDaH $ cAraH drAkzA-rasa-priyaH &
   karkandhūḥ kāṣṭhakṛt kolī % badarī yugmakaṇṭakaḥ // VAnigh_176 //	karkanDUH kAzWa-kRt kolI % badarI yugmakaNwakaH // Va-aniG_176 //
   visphūrjanī vikaraṇī $ tindukī viralā smṛtā &	visPUrjanI vikaraNI $ tindukI viralA smRtA &
   kālaskandho nīlasāro % dvitīyaḥ kākatindukaḥ // VAnigh_177 //	kAlaskanDaH nIlasAraH % dvitIyaH kAkatindukaH // Va-aniG_177 //
   vakraśalyā kṛṣṇaphalā $ viralā gṛdhranakhy api &	vakraSalyA kRzNaPalA $ viralAH gRDra-naKI api &
   gandhayuktā sāravastrā % durdharṣā kuṇḍalī smṛtā // VAnigh_178 //	ganDa-yuktA sAra-vastrA % durDarzA kuNxalI smRtAH // Va-aniG_178 //
   elāyugmaturuṣkakuṣṭhaphalinīmāṃsījaladhyāmakaṃ $	elA-yugma-turuzka-kuzWa-PalinI-mAMsI-jalaDyAmakam $
   spṛkkācorakacocapattratagarasthauṇeyajātīrasāḥ &	spRkkA-coraka-coca-pattra-tagara-sTONeya-jAtI-rasAH &
   śuktivyāghrinakho 'marāhvamaguruḥ śrīvāsakaḥ kuṅkumaṃ %	Sukti-vyAGri-naKaH amara-Ahvam-aguruH SrIvAsakaH kuFkumam %
   caṇḍāgugguladevadhūpakhapurāḥ puṃnāganāgāhvayam // VAnigh_179 //	caNxA-guggula-devaDUpa-KapurAH puMnAga-nAgAhvayam // Va-aniG_179 //
   elādiko vātakaphau $ viṣaṃ viniyacchati &	elA-AdikaH vAta-kaPO $ vizam viniyacCati &
   varṇaprasādanaḥ kaṇḍū- % piṭikākoṭhanāśanaḥ // VAnigh_180 //	varNa-prasAdanaH kaNxU % piwikA-koWa-nASanaH // Va-aniG_180 //
   elādike pūrvam uktā $ sūkṣmailānyā tu kathyate &	elA-Adike pUrvam uktA $ sUkzmElA-anyA tu kaTyate &
   bhadrailā bṛhadelā tu % sthūlailā tripuṭodbhavā // VAnigh_181 //	BadrElA bRhadelA tu % sTUlElA tri-puwa-udBavAH // Va-aniG_181 //
   suhelā ca suṣeṇī ca $ reṇukā kāntanāmikā &	suhelA ca suzeNI ca $ reNukA kAnta-nAmikA &
   piṇḍī turuṣkajaṃ tailaṃ % pirāyākaṃ kṛtrimaṃ kapiḥ // VAnigh_182 //	piNxI turuzka-jam tElam % pirAyAkam kRtrimam kapiH // Va-aniG_182 //
   hrīveraṃ vāri keśāhvam $ udīcyaṃ bālakaṃ jalam &	hrIveram vAri keSa-Ahvam $ udIcyam bAlakam jalam &
   dhyāmakaṃ śabalaṃ gandhaṃ % spṛkkā devī latā satī // VAnigh_183 //	DyAmakam Sabalam ganDam % spRkkA devI latA satI // VAniG_183 //
   corako granthiparṇī syāt $ śaṭī somasamudbhavā &	corakaH granTiparNI syAt $ SawI soma-samudBavA &
   varāṅgaṃ carmanāmā ca % cocaṃ tvak ca varāṅgakam // VAnigh_184 //	varAFgam carma-nAmA ca % cocam tvac ca varAFgakam // Va-aniG_184 //
   romaśaṃ chadanaṃ pattraṃ $ tamālaṃ romaśīphalam &	romaSam Cadanam pattram $ tamAlam romaSI-Palam &
   bahiṣṭhaṃ tagaraṃ vakraṃ % nataṃ kālānusāri ca // VAnigh_185 //	bahizWam tagaram vakram % natam kAlAnusAri ca // Va-aniG_185 //
   cāraṭī śukabarhākhyaṃ $ sthauṇeyaṃ tailapītakam &	cArawI Sukabarha-AKyam $ sTONeyam tEla-pItakam &
   jātīraso raso bolaṃ % śuktiḥ kararuho nakhaḥ // VAnigh_186 //	jAtI-rasaH rasaH bolam % SuktiH kararuhaH naKaH // Va-aniG_186 //
   badarīpattrakaṃ caiva $ jñeyo nāgahanus tathā &	badarIpattrakam ca-eva $ jQeyaH nAgahanuH taTA &
   samudrajo vyāghranakho % vijñeyo vyāghranāmakaḥ // VAnigh_187 //	samudrajaH vyAGranaKaH % vijQeyaH vyAGra-nAmakaH // Va-aniG_187 //
   śrīveṣṭako vāyasako $ dadhināmā ca kīrtitaḥ &	SrIvezwakaH vAyasakaH $ daDi-nAmA ca kIrtitaH &
   kāśmīraṃ kuṅkumaṃ raktaṃ % vāhlīkaṃ ghusṛṇaṃ varam // VAnigh_188 //	kASmIram kuFkumam raktam % vAhlIkam GusRNam varam // Va-aniG_188 //
   krodhanā piśunā caṇḍā $ caurī śaṅkhinikā matā &	kroDanA piSunA caNxA $ cOrI SaFKinikA matA &
   mahiṣākṣo niśācārī % kauśiko gugguluḥ puraḥ // VAnigh_189 //	mahizAkzaH niSAcArI % kOSikaH gugguluH puras // Va-aniG_189 //
   rālas tu devadhūpaḥ syāt $ śālaḥ sarjarasāhvayaḥ &	rAlaH tu devaDUpaH syAt $ SAlaH sarjarasa-AhvayaH &
   kundurur medakaḥ kundro % vijñeyaḥ khapuras tathā // VAnigh_190 //	kunduruH medakaH kundraH % vijQeyaH KapuraH taTA // Va-aniG_190 //
   śyāmādantīdravantīkramukakuṭaraṇāśaṃkhinī carmasāhvā $	SyAmA-dantI-dravantI-kramuka-kuwaraNa-aSaMKinI carmasAhvA $
   svarṇakṣīrīgavākṣīśikharirajanakacchinnarohākarañjāḥ &	svarNakzIrI-gavAkzI-SiKari-rajanaka=-Cinna-roha-AkaraQjAH &
   bastāntrī vyādhighāto bahalabahurasas tīkṣṇavṛkṣāt phalāni % śyāmādyo	bastAntrI vyADiGAtaH bahala-bahurasaH tIkzNa-vRkzAt PalAni % SyAma-AdyaH-
   hanti gulmaṃ viṣamarucikaphau hṛdrujaṃ mūtrakṛcchram // VAnigh_191 //	hanti gulmam vizama-ruci-kaPO hRd-rujam mUtrakRcCram // Va-aniG_191 //
   masūravidalā śyāmā $ śyāmādo kālameṣikā &	masUravidalA SyAmA $ SyAmAdaH kAlamezikAH &
   suṣeṇikā śaśāhvā ca % kālindī kālikā smṛtā // VAnigh_192 //	suzeNikA SaSAhvA ca % kAlindI kAlikA smRtAH // Va-aniG_192 //
   citrā mukūlako dantī $ nikumbhaḥ śambaras tathā &	citrA mukUlakaH dantI $ nikumBaH SambaraH taTA &
   udumbaracchadā hasti- % dantī syād upacitrakā // VAnigh_193 //	udumbaracCadA hasti % dantI syAt upacitrakAH // Va-aniG_193 //
   nyagrodhāhvā sutatreṇī $ dravanty undurukarṇikā &	nyagroDAhvA sutatreNI $ dravanti unduru-karNikA &
   kumbhastrī bhaṭṭinī sūtrā % śyāmā kuṭaraṇā trivṛt // VAnigh_194 //	kumBastrI BawwinI sUtrA % SyAmA kuwaraNA trivRt // Va-aniG_194 //
   śaṅkhinī tiktalā vakrī $ yavatiktā kiśorikā &	SaFKinI tiktalA vakrI $ yavatiktA kiSorikA &
   śaṅkhāvartā śaṅkhapuṣpī % viśikhā nāhikā smṛtā // VAnigh_195 //	SaFKa-AvartA SaFKapuzpI % viSiKA nAhikA smRtAH // Va-aniG_195 //
   sātalā saptalā carma- $ kaṣāhvāvartakī smṛtā &	sAtalA saptalA carma $ kazAhvAvartakI smRtA &
   anyeṣāṃ tu tathā brāhmī % brahmanāmā tu kīrtitā // VAnigh_196 //	anyezAm tu taTA brAhmI % brahma-nAmA tu kIrtitAH // Va-aniG_196 //
   svarṇakṣīrī haimavatī $ kaṅkuṣṭhas tīkṣṇadugdhikā &	svarNakzIrI hEmavatI $ kaFkuzWaH tIkzNa-dugDikA &
   indravāruṇikā caindrī % gavākṣī gajacirbhiṭī // VAnigh_197 //	indravAruNikA ca-EndrI % gavAkzI gajacirBiwI // Va-aniG_197 //
   viśālā ca viśalyā ca $ saiva proktā gavādanī &	viSAlA ca viSalyA ca $ sA-eva proktA gavAdanI &
   girikarṇy aśvakṣurakaḥ % sthāṇukarṇī gavādanī // VAnigh_198 //	girikarNI aSvakzurakaH % sTANukarNI gavAdanI // Va-aniG_198 //
   nīlasyandā nīlapuṣpī $ nīlākhyā girikarṇikā &	nIlasyandA nIlapuzpI $ nIla-AKyA girikarNikA &
   tilvakaḥ śikharī śveta- % tvak tirīṭo bṛhacchadaḥ // VAnigh_199 //	tilvakaH SiKarI Sveta % tvac tirIwaH bRhacCadaH // Va-aniG_199 //
   kampillako rañjanako $ recano raktacūrṇakaḥ &	kampillakaH raQjanakaH $ recanaH raktacUrNakaH &
   bastāntrī vṛṣagandhākhyā % meṣāntrī vṛṣapattrikā // VAnigh_200 //	bastAntrI vRzaganDA-AKyA % mezAntrI vRzapattrikAH // Va-aniG_200 //
   ghanabhūrirasas tv ikṣuḥ $ guḍamūlo 'sipattrakaḥ &	Gana-BUri-rasaH tu ikzuH $ guxamUlaH asipattrakaH &
   tīkṣṇavṛkṣaḥ śaṇaḥ pīluḥ % prokto 'nyaḥ sthāṇukas tathā // VAnigh_201 //	tIkzNavRkzaH SaNaH pIluH % proktaH anyaH sTANukaH taTA // Va-aniG_201 //
   gaṇeṣu yāni dravyāṇi $ saṃgrahe vālpasaṃgrahe &	gaNezu yAni dravyANi $ saMgrahe vA-alpa-saMgrahe &
   tāny uktāny abhidhīyante % viprakīrṇāny ataḥ param // VAnigh_202 //	tAni uktAni aBiDIyante % viprakIrNAni atas param // Va-aniG_202 //
   pavitrapattrā maṅgalyā $ śamī lakṣmī ca keśanut &	pavitrapattrA maFgalyA $ SamI lakzmI ca keSa-nud &
   sohalā rudatī tanvī % sūkṣmamūlāparājitā // VAnigh_203 //	sohalA rudatI tanvI % sUkzma-mUla-aparAjitAH // Va-aniG_203 //
   pānīyo bījavṛkṣas tu $ jīvavṛkṣas tu pāśikaḥ &	pAnIyaH bIjavRkzaH tu $ jIvavRkzaH tu pASikaH &
   śuklapuṣpā bhūmilagnā % hrasvāṅgā śaṅkhapuṣpikā // VAnigh_204 //	Sukla-puzpA BUmi-lagnA % hrasva-aFgA SaFKapuzpikA // Va-aniG_204 //
   sūkṣmapattrā sarpagandhā $ sarpākṣī raktapuṣpikā &	sUkzmapattrA sarpaganDA $ sarpAkzI raktapuzpikA &
   anyā tu sumahākandā % nākulī nakulapriyā // VAnigh_205 //	anyA tu su-mahA-kandA % nAkulI nakula-priyA // Va-aniG_205 //
   viṣṇukrāntā nīlapuṣpī $ satīnā chardikā tathā &	vizNukrAntA nIlapuzpI $ satInA CardikA taTA &
   vāṭyālakaḥ pītapuṣpo % vāṭyā bhadraudanī balā // VAnigh_206 //	vAwyAlakaH pItapuzpaH % vAwyA BadrOdanI balAH // Va-aniG_206 //
   mahābalā varṣapuṣpī $ śītapākī subījakaḥ &	mahAbalA varzapuzpI $ SItapAkI su-bIjakaH &
   vāṭyāyanī tv atibalā % bhāradvājī suparṇikā // VAnigh_207 //	vAwyAyanI tu atibalA % BAradvAjI suparNikAH // Va-aniG_207 //
   rāmānyācchādanaphalā $ vāṭyā kārpāsasaṃjñakā &	rAmAni-AcCAdana-PalA $ vAwyA kArpAsa-saMjQakAH &
   ajaṭā bahupattrā ca % bhūdhātrī tāmalaky api // VAnigh_208 //	ajawA bahupattrA ca % BUDAtrI tAmalakI api // Va-aniG_208 //
   śītavīryaḥ parpaṭakaḥ $ tṛṣṇāghnaḥ sūkṣmapattrakaḥ &	SIta-vIryaH parpawakaH $ tRzNA-GnaH sUkzmapattrakaH &
   trāyantī trāyamāṇā ca % pālinī bhayanāśinī // VAnigh_209 //	trAyantI trAyamANA ca % pAlinI Baya-nASinI // Va-aniG_209 //
   durālabhā dhanvayāso $ yāso duḥsparśakas tathā &	durAlaBAH DanvayAsaH $ yAsaH duHsparSakaH taTA &
   kalyāṇalocano jñeyo % nādeyo jalajambukaḥ // VAnigh_210 //	kalyANa-locanaH jQeyaH % nAdeyaH jalajambukaH // Va-aniG_210 //
   mahākadambo niculo $ 'napāyī jalanūpuraḥ &	mahAkadambaH niculaH $ anapAyI jala-nUpuraH &
   kiṅkirātaḥ karṇikāro % gauraḥ kanakapuṣpakaḥ // VAnigh_211 //	kiFkirAtaH karNikAraH % gOraH kanakapuzpakaH // Va-aniG_211 //
   mandāraḥ pāribhadrāhvo $ jñeyaḥ kaṇṭakīkiṃśukaḥ &	mandAraH pAriBadrAhvaH $ jQeyaH kaNwakI-kiMSukaH &
   pārijātaś ca rohītaḥ % plīhaghno raktapuṣpakaḥ // VAnigh_212 //	pArijAtaH ca rohItaH % plIha-GnaH raktapuzpakaH // Va-aniG_212 //
   śukanāsā tu nalikā $ śukaghrāṇo 'lpanālikā &	Suka-nAsA tu nalikA $ Suka-GrANaH alpa-nAlikA &
   śākarājo bhūtavāso % gojihvā karkaśacchadā // VAnigh_213 //	SAkarAjaH BUta-vAsaH % gojihvA karkaSa=-CadAH // Va-aniG_213 //
   ajākṣī vraṇanāśinī $ kuṣṭhaghnī phalguvāṭikā &	ajAkzI vraNa-nASinI $ kuzWa-GnI Palgu-vAwikA &
   siṃhāsyaḥ karkaṭaś caiva % vṛṣo vāsāṭarūṣakaḥ // VAnigh_214 //	siMhAsyaH karkawaH ca-eva % vRzaH vAsA-AwarUzakaH // Va-aniG_214 //
   aśmantako 'mlayoniś ca $ jñeyo yamalapattrakaḥ &	aSmantakaH amla-yoniH ca $ jQeyaH yamalapattrakaH &
   vaṃśo veṇur yavaphalaḥ % suparvā ca tṛṇadhvajaḥ // VAnigh_215 //	vaMSaH veNuH yavaPalaH % suparvA ca tRNaDvajaH // Va-aniG_215 //
   karīraḥ kīcako mṛtyu- $ phalāṅkura iti smṛtaḥ &	karIraH kIcakaH mRtyu $ Pala-aFkuraH iti smRtaH &
   vāraṇas taralī kumbhi- % karañjas tīravṛkṣakaḥ // VAnigh_216 //	vAraNaH taralI kumBi % karaQjaH tIravRkzakaH // Va-aniG_216 //
   sindhuraḥ sindhuvāraś ca $ śvetapuṣpāvarohitaḥ &	sinDuraH sinDuvAraH ca $ Sveta-puzpa-avarohitaH &
   kākodumbarikā phalguḥ % bhadrodumbaravāyasī // VAnigh_217 //	kAkodumbarikA PalguH % Badra-udumbara-vAyasI // Va-aniG_217 //
   kālāntradārī kanthārī $ phaṇī khadiravally api &	kAla-antradArI kanTArI $ PaNI KadiravallI api &
   sitā kumārikā mallī % mohinī vaṭapattrikā // VAnigh_218 //	sitA kumArikA mallI % mohinI vawapattrikA // Va-aniG_218 //
   phenilo hastikarkoṭaḥ $ kāṇḍo bāṇaḥ śaṇaḥ smṛtaḥ &	PenilaH hasti-karkowaH $ kANxaH bANaH SaNaH smRtaH &
   śleṣmāntako bahuphalaḥ % śailūṣaḥ kāntavṛkṣakaḥ // VAnigh_219 //	SlezmAntakaH bahuPalaH % SElUzaH kAnta-vRkzakaH // Va-aniG_219 //
   kuddālakaḥ kovidāras $ tāmrapuṣpo yugacchadaḥ &	kuddAlakaH kovidAraH $ tAmrapuzpaH yugacCadaH &
   kālakarṇī bhūtavallī % balyā gandhāśvagandhikā // VAnigh_220 //	kAlakarNI BUtavallI % balyA ganDASvaganDikA // Va-aniG_220 //
   tintiḍīkas tu vṛkṣāmlo $ badarī kolasaṃjñakaḥ &	tintixIkaH tu vRkzAmlaH $ badarI kola-saMjQakaH &
   karkandhūḥ hrasvabadarī % vasuvṛkṣas tu dhanvanaḥ // VAnigh_221 //	karkanDUH hrasvabadarI % vasuvRkzaH tu DanvanaH // Va-aniG_221 //
   sahasravīryas tīkṣṇāmlo $ varāmlas tv amlavetasaḥ &	sahasra-vIryaH tIkzNAmlaH $ varAmlaH tu amlavetasaH &
   godhāpadī godhavallī % paṭvamlādityanāmikā // VAnigh_222 //	goDApadI goDavallI % pawu-amla-Aditya-nAmikA // Va-aniG_222 //
   pattrabhaṅgo mahāśyāmā $ kharāśvā vṛddhadārukaḥ &	pattra-BaFgaH mahASyAmA $ KarASvA vRdDadArukaH &
   dāvāgnidamanī mātā % kṣudrakaṇṭarikā tathā // VAnigh_223 //	dAva-agnidamanI mAtA % kzudrakaNwarikA taTA // Va-aniG_223 //
   barhiśikhāhvayā guñjā $ raktikā kākaṇantikā &	barhiSiKA-AhvayA guQjA $ raktikA kAkaNantikAH &
   śvetakāmbhojikā dhvāṅkṣī % śvetapākī śikhaṇḍikā // VAnigh_224 //	SvetakAmBojikA DvAFkzI % SvetapAkI SiKaNxikA // Va-aniG_224 //
   tṛtīyā kṛṣṇakāmbhojī $ kuṇapokaḥ susādanī &	tRtIyA kRzNa-kAmBojI $ kuNapokaH susAdanI &
   jyotiṣmatī kaṅguṇikā % pārāvatapadī ca sā // VAnigh_225 //	jyotizmatI kaFguNikA % pArAvatapadI ca sA // Va-aniG_225 //
   īśvarī nāgadamanī $ kīṭāriḥ sarpagandhikā &	ISvarI nAgadamanI $ kIwAriH sarpaganDikA &
   adhomukhā tv avākpuṣpī % vārāhī vanamālikā // VAnigh_226 //	aDomuKA tu avAkpuzpI % vArAhI vanamAlikA // Va-aniG_226 //
   ārāmaśītalo devo $ gandhāḍhyaḥ kurumardakaḥ &	ArAma-SItalaH devaH $ ganDAXyaH kuru-mardakaH &
   nāgajihvā śvetaphalā % kṣīriṇī cārkapuṣpikā // VAnigh_227 //	nAgajihvA SvetaPalA % kzIriNI ca-arkapuzpikA // Va-aniG_227 //
   nimbacchadendravallī ca $ karabhī rucirā smṛtā &	nimba=-Cada-indravallI ca $ karaBiH rucirA smRtA &
   likhikā bhaktikā bhūrī % navanītā prakīrtitā // VAnigh_228 //	liKikA BaktikA BUrI % navanItA prakIrtitAH // Va-aniG_228 //
   jñeyā badarikāparṇī $ parṇakaḥ pūtikarṇakaḥ &	jQeyA badarikAparNI $ parNakaH pUtikarNakaH &
   malayūḥ vākucī caiva % candrarekhā tv avalgujaḥ // VAnigh_229 //	malayUH vAkucI ca-eva % candrareKA tu avalgujaH // Va-aniG_229 //
   cakṣuṣyā cāraṭī jñeyā $ tathāraṇyakulatthikā &	cakzuzyA cArawI jQeyA $ taTA-araNya-kulatTikAH &
   ahimāro 'rimedas tu % pītadārur haridrumaḥ // VAnigh_230 //	ahimAraH ari-medaH tu % pItadAruH haridrumaH // Va-aniG_230 //
   śvetatvak tīkṣṇasāraś ca $ vibudhas tīkṣṇasārakaḥ &	Sveta-tvac tIkzNasAraH ca $ vibuDaH tIkzNa-sArakaH &
   vāpyāhvaṃ pauṣkaraṃ śūla- % haraṃ bījāhvayaṃ matam // VAnigh_231 //	vA-api-Ahvam pOzkaram SUla % haram bIja-Ahvayam matam // Va-aniG_231 //
   śarī tu suvratā jñeyā $ gandhāhvā somasambhavā &	SarI tu suvratA jQeyA $ ganDAhvA soma-samBavAH &
   sahasravīryā golomī % sitā dūrvā ca śādvalaḥ // VAnigh_232 //	sahasravIryA golomI % sitA dUrvA ca SAdvalaH // Va-aniG_232 //
   kṣudravārī dugdhayutā $ ghaṭikā chatrapattrakā &	kzudravArI dugDa-yutA $ GawikA CatrapattrakAH &
   āghoṭako brahmaphalo % raktabindus tilacchadaḥ // VAnigh_233 //	AGowakaH brahmaPalaH % raktabinduH tilacCadaH // Va-aniG_233 //
   ajākṣī lomaparṇī ca $ jñeyo meṣavilocanaḥ &	ajAkzI lomaparNI ca $ jQeyaH meza-vilocanaH &
   mahāvṛkṣo mahānīlo % bhṛṅgāhvo mārkavaḥ smṛtaḥ // VAnigh_234 //	mahAvRkzaH mahAnIlaH % BRFgAhvaH mArkavaH smRtaH // Va-aniG_234 //
   keśarañjanako jñeyo $ bhṛṅgarāḍ bhṛṅgareṇukaḥ &	keSaraQjanakaH jQeyaH $ BRFgarAj BRFgareNukaH &
   rāmāhvārkalatārāmā % taruṇī puṣpavaty api // VAnigh_235 //	rAma-AhvA-arka-latA-ArAmA % taruNI puzpavatI api // Va-aniG_235 //
   sūryabhaktā sukhodbhāvā $ sūryāvartā ravipriyā &	sUryaBaktA suKa-udBAvA $ sUryAvartA ravipriyA &
   hiraṇyapuṣpī kharjūrī % tāḍapattrī musaly api // VAnigh_236 //	hiraNyapuzpI KarjUrI % tAxapattrI musalI api // Va-aniG_236 //
   ikṣvālikā tu kākekṣuḥ $ kāṇḍekṣur vāyasekṣukaḥ &	ikzu-AlikA tu kAkekzuH $ kANxekzuH vAyasekzukaH &
   śvetacāmarakaḥ kāśas % tathekṣukusumaś ca saḥ // VAnigh_237 //	Sveta-cAmarakaH kASaH % taTA-ikzukusumaH ca saH // Va-aniG_237 //
   adhyaṇḍekṣurakaḥ sthūla- $ kaṇṭakaḥ kokilākṣakaḥ &	aDyaNxekzurakaH sTUla $ kaNwakaH kokilAkzakaH &
   uccaṭā caṭakā jñeyā % śikhaṇḍy āsphotakaḥ smṛtaḥ // VAnigh_238 //	uccawA cawakA jQeyA % SiKaNxI AsPotakaH smRtaH // Va-aniG_238 //
   unmattako mātulako $ dhuttūro hemanāmakaḥ &	unmattakaH mAtulakaH $ DuttUraH hema-nAmakaH &
   tripuṣpaḥ kṛṣṇadhuttūraḥ % kṛṣṇapuṣpī ca mohinī // VAnigh_239 //	tripuzpaH kRzNaDuttUraH % kRzNapuzpI ca mohinI // Va-aniG_239 //
   devadālī ca karkoṭī $ veṇī jīmūtakaḥ smṛtaḥ &	devadAlI ca karkowI $ veNI jImUtakaH smRtaH &
   dhāmārgavaḥ kośaphalo % rājakośātakī smṛtā // VAnigh_240 //	DAmArgavaH koSaPalaH % rAjakoSAtakI smRtAH // Va-aniG_240 //
   kaṭukośātakī kṣveḍā $ jālinī kṛtavedhanaḥ &	kawukoSAtakI kzvexA $ jAlinI kRtaveDanaH &
   kaṭukālāmbunī tumbā- % lāmbur ikṣvākusaṃjñikā // VAnigh_241 //	kawukAla-ambunI tumbA % lAmbuH ikzvAku-saMjQikA // Va-aniG_241 //
   nīlinī cāraṭī jñeyā $ nīlinī nīlapuṣpikā &	nIlinI cArawI jQeyA $ nIlinI nIlapuzpikA &
   sūkṣmapādas tāmracūḍo % jñeyaḥ kukkuṭapādikaḥ // VAnigh_242 //	sUkzma-pAdaH tAmracUxaH % jQeyaH kukkuwa-pAdikaH // Va-aniG_242 //
   godhūlikā ca gojihvā $ gojī kroṣṭukamūlakaḥ &	goDUlikA ca gojihvA $ gojI krozwukamUlakaH &
   aṅkolo girikolaś ca % pītasāro nikocakaḥ // VAnigh_243 //	aFkolaH girikolaH ca % pItasAraH nikocakaH // Va-aniG_243 //
   jālārir mehaśatruś ca $ bakulī talapoṭakaḥ &	jAlAriH mehaSatruH ca $ bakulI tala-powakaH &
   svarṇavarṇākaraḥ pīta- % puṣpako dohakāhvayaḥ // VAnigh_244 //	svarNa-varNa-AkaraH pIta % puzpakaH dohaka-AhvayaH // Va-aniG_244 //
   śaṇapuṣpī bṛhatpuṣpī $ śaṇaḥ ghaṇṭaśaṇaḥ smṛtaḥ &	SaNapuzpI bRhat-puzpI $ SaNaH GaNwaSaNaH smRtaH &
   ubhātasī rudrapattrī % gopikā bāṇakaḥ smṛtaḥ // VAnigh_245 //	uBAtasI rudrapattrI % gopikA bANakaH smRtaH // Va-aniG_245 //
   saumyā suvarcalā brāhmī $ somā brahmasuvarcalā &	sOmyA suvarcalA brAhmI $ somAH brahmasuvarcalA &
   maṇḍūkaparṇī vikrāntā % cānyā brāhmī vanauṣadhiḥ // VAnigh_246 //	maNxUkaparNI vikrAntA % ca-anyA brAhmI vana-ozaDiH // Va-aniG_246 //
   sutajīvaḥ putrajīvaḥ $ pavitraḥ putrasiddhikṛt &	suta-jIvaH putrajIvaH $ pavitraH putra-sidDi-kRt &
   āvartakī carmaraṅgā % mahājālī vibhāṇḍikā // VAnigh_247 //	AvartakI carmaraFgA % mahAjAlI viBANxikA // Va-aniG_247 //
   prasāraṇī suprasarā $ sāraṇī supratānikā &	prasAraNI su-prasarA $ sAraNI su-pratAnikA &
   hiṅgupattrī tu pṛthvīkā % bāṣpikā kavarī smṛtā // VAnigh_248 //	hiFgupattrI tu pRTvIkA % bAzpikA kavarI smRtAH // Va-aniG_248 //
   tumburus tīkṣṇavalkaś ca $ tīkṣṇapattraḥ kutumburuḥ &	tumburuH tIkzNavalkaH ca $ tIkzNapattraH kutumburuH &
   akṣoḍaḥ parvatīyaś ca % phalasneho guḍāśrayaḥ // VAnigh_249 //	akzoxaH parvatIyaH ca % Pala-snehaH guxa-ASrayaH // Va-aniG_249 //
   kīreṣṭaḥ karparālaś ca $ svādumañjā pṛthucchadaḥ &	kIrezwaH karparAlaH ca $ svAdu-maQjA pRTucCadaH &
   agastiko munināmā % kumbhayoniś ca sa smṛtaḥ // VAnigh_250 //	agastikaH muni-nAmA % kumBayoniH ca sa smRtaH // Va-aniG_250 //
   adhicchattrā kumbhayoniḥ $ droṇapuṣpī kutumbikā &	aDicCattrA kumBayoniH $ droNapuzpI kutumbikA &
