   oṃ namo maṅgalamūrtaye |	om namaH maFgala-mUrtaye |
   vartante jantavo 'śeṣā api brahmendraviṣṇavaḥ |	vartante jantavaH aSezAH api brahma-indra-vizNavaH |
   grasamānās tato vande deva viśvaṃ bhavanmayam [18] || iti ||	grasamAnAH tatas vande deva viSvam Bavat-mayam [18] || iti ||
   yadā punaḥ karaṇeśvarīprasarasaṃkocaṃ saṃpādya	yadA punar karaNa-ISvarI-prasara-saMkocam saMpAdya
   sargasaṃhārakramapariśīlanayuktiṃ āviśati tadā	sarga-saMhAra-krama-pariSIlana-yuktim AviSati tadA
   balalābhe viśvam ātmasātkaroti || 15 ||	bala-lABe viSvam AtmasAt-karoti || 15 ||
   citir eva dehaprāṇādyācchādananimajjanena svarūpaṃ unmagnatvena	citiH eva deha-prANa-Adi-a-AcCAdana-nimajjanena svarUpam unmagna-tvena
   sphārayantī balam | yathoktam	sPArayantI balam | yaTA-uktam
   tadākramya balaṃ mantrāḥ ... ... [19] | iti |	tat-Akramya balam mantrAH ... ... [19] | iti |
   evaṃ ca balalābhe unmagnasvarūpāśrayaṇe kṣityādisadāśivāntaṃ viśvaṃ	evam ca bala-lABe unmagna-svarUpa-ASrayaNe kziti-Adi-sadASiva-antam viSvam
   ātmasātkaroti svasvarūpābhedena nirbhāsayati |	AtmasAt-karoti sva-svarUpa-aBedena nirBAsayati |
   tad uktaṃ pūrvagurubhiḥ svabhāṣāmayeṣu kramasūtreṣu	tat uktam pUrva-guruBiH sva-BAzA-mayezu krama-sUtrezu
   yathā vahnir udbodhito dāhyaṃ dahati tathā viṣayapāśān bhakṣayet | iti =	yaTA vahniH udboDitaH dAhyam dahati taTA vizaya-pASAn Bakzayet | iti =
   na caivaṃ vaktavyam =AD viśvātmasātkārarūpā samāveśabhūḥ kādācitkī |	na ca-evam vaktavyam =AD viSvAtma-sAtkAra-rUpA samAveSa-BUH kAdAcid-kI |
   kathaṃ upādeyā iyaṃ syād iti yato dehādyunmajjananimajjanavaśena iyaṃ	kaTam upAdeyAH iyam syAt iti yatas deha-Adi-unmajjana-nimajjana-vaSenaH iyam
   asyāḥ kādācitkatvam iva ābhāti | vastutas tu	asyAH kAdAcid-ka-tvam iva ABAti | vastutas tu
   citisvātantryāvabhāsitadehādyunmajjanād eva kādācitkatvam |	citi-svAtantrya-avaBAsita-deha-Adi-unmajjanAt eva kAdAcid-ka-tvam |
   eṣā tu sadaiva prakāśamānā | anyathā tad dehādy api na prakāśeta |	ezA tu sadA-eva prakASamAnA | anyaTA tat deha-Adi api na prakASeta |
   ata eva dehādipramātṛtābhimānanimajjanāya abhyāsaḥ | na tu	atas eva deha-Adi-pramAtR-ta-aBimAna-nimajjanAya aByAsaH | na tu
   sadāprathamānatāsārapramātṛtāprāptyarthaṃ iti śrīpratyabhijñākārāḥ ||	sadA-praTama-Ana-tA-sAra-pramAtR-tA-prApti-arTam iti SrI-pratyaBijQA-AkArAH ||
   evaṃ ca	evam ca
   cidānandalābhe dehādiṣu cetyamāneṣv api	cit-Ananda-lABe deha-Adizu ca-ityamAnezu api
   cidaikātmyapratipattidārḍhyaṃ jīvanmuktiḥ || 16 ||	cit-EkAtmya-pratipatti-dArXyam jIvanmuktiH || 16 ||
   viśvātmasātkārātmani samāveśarūpe cidānande labdhe vyutthānadaśāyāṃ	viSvAtmasAtkAra-Atmani samAveSa-rUpe cit-Anande labDe vyutTAna-daSAyAm
   dalakalpatayā dehaprāṇanīlasukhādiṣu ābhāsamāneṣv api yat	dala-kalpatayA deha-prANa-nIla-suKa-Adizu ABAsamAnezu api yat-
   samāveśasaṃskārabalāt pratipādayiṣyamāṇayuktikramopabṛṃhitāt	samAveSa-saMskAra-balAt pratipAdayizyamANa-yukti-krama-upabRMhitAt
   cidaikātmyapratipattidārḍhyam |	cit-EkAtmya-pratipatti-dArXyam |
   avicalā cidekatvaprathā saiva jīvanmuktiḥ jīvataḥ prāṇān api dhārayato	avicalA cit-eka-tva-praTA sA-eva jIvanmuktiH jIvataH prANAn api DArayataH-
   muktiḥ pratyabhijñātanijasvarūpavidrāvitāśeṣapāśarāśitvāt |	muktiH pratyaBijQAta-nija-svarUpa-vidrAvita-aSeza-pASa-rASi-tvAt |
   yathoktaṃ spandaśāstre	yaTA-uktam spandaSAstre
   iti vā yasya saṃvittiḥ krīḍātvenākhilaṃ jagat |	iti vA yasya saMvittiH krIxA-tvena-aKilam jagat |
   sa paśyan satataṃ yukto jīvanmukto na saṃśayaḥ [20] || iti ||	sa paSyan satatam yuktaH jIvanmuktaH na saMSayaH [20] || iti ||
   atha kathaṃ cidānandalābho bhavati ity āha	aTa kaTam cit-Ananda-lABaH Bavati iti Aha
   madhyavikāsāc cidānandalābhaḥ || 17 ||	maDya-vikAsAt cit-Ananda-lABaH || 17 ||
   sarvāntaratamatvena vartamānatvāt tadbhittilagnatāṃ vinā ca kasyacid api	sarva-antaratama-tvena vartamAna-tvAt tad-Bitti-lagna-tAm vinA ca kasyacid api
   svarūpānupapatteḥ saṃvid eva bhagavatī madhyam | sā tu māyādaśāyāṃ	svarUpa-anupapatteH saMvid eva BagavatI maDyam | sA tu mAyA-daSAyAm
   tathābhūtāpi svarūpaṃ gūhayitvā "prāk saṃvit prāṇe pariṇatā " iti nītyā	taTABUta-api svarUpam gUhayitvA "prAk saMvid prANe pariNatA " iti nItyA
   prāṇaśaktibhūmiṃ svīkṛtya avarohakrameṇa buddhidehādibhuvaṃ	prANa-Sakti-BUmim svIkRtya avaroha-krameNa budDi-deha-Adi-Buvam
   adhiśayānā nāḍīsahasrasaraṇim anusṛtā |	aDiSayAnA nAxI-sahasra-saraNim anusRtA |
   tatrāpi ca palāśaparṇamadhyaśākhānyāyena ābrahmarandhrāt	tatra-api ca palASa-parNa-maDya-SAKA-nyAyena AbrahmaranDrAt-
   adhovaktraparyantaṃ prāṇaśaktibrahmāśrayamadhyamanāḍīrūpatayā	aDas-vaktra-paryantam prANa-Sakti-brahma-ASraya-maDyama-nAxI-rUpa-tayA
   prādhānyena sthitā | tata eva sarvavṛttīnām udayāt tatraiva ca viśrāmāt |	prADAnyena sTitA | tatas eva sarva-vRttInAm udayAt tatra-eva ca viSrAmAt |
   evaṃbhūtāpy eṣā paśūnāṃ nimīlitasvarūpaiva sthitā |	evaMBUtA-api ezA paSUnAm nimIlita-svarUpA-eva sTitA |
   yadā tu uktayuktikrameṇa sarvāntaratamatve [21] madhyabhūtā saṃvid	yadA tu ukta-yukti-krameNa sarva-antaratama-tve [21] maDya-BUtA saMvid-
   bhagavatī vikasati yadi vā vakṣyamāṇakrameṇa madhyabhūtā brahmanāḍī	BagavatI vikasati yadi vA vakzyamANa-krameNa maDya-BUtA brahmanAxI
   vikasati tadā tadvikāsāc cidānandasya uktarūpasya lābhaḥ prāptiḥ bhavati =	vikasati tadA tad-vikAsAt cit-Anandasya ukta-rUpasya lABaH prAptiH Bavati =
   tataś ca prāg uktā jīvanmuktiḥ ||	tatas ca prAk uktA jIvanmuktiH ||
   madhyavikāse yuktim āha	maDya-vikAse yuktim Aha
   vikalpakṣayaśaktisaṃkocavikāsavāhacchedādyantakoṭinibhālanādaya	vikalpa-kzaya-Sakti-saMkoca-vikAsa-vAha=-Ceda-Adi-anta-kowi-niBAla-na-Adaya
   iha upāyāḥ || 18 ||	iha upAyAH || 18 ||
   iha madhyaśaktivikāse vikalpakṣayādaya upāyāḥ |	iha maDya-Sakti-vikAse vikalpa-kzaya-AdayaH upAyAH |
   prāgupadiṣṭapañcavidhakṛtyakāritvādyanusaraṇena sarvamadhyabhūtāyāḥ	prAk-upadizwa-paQcaviDa-kRtya-kAri-tva-Adi-anusaraNena sarva-maDya-BUtAyAH
   saṃvido vikāso jāyata ity abhihitaprāyam | upāyāntaram api tu ucyate	saMvidaH vikAsaH jAyate iti aBihita-prAyam | upAya-antaram api tu ucyate
   prāṇāyāmamudrābandhādisamastayantraṇātantratroṭanena sukhopāyam eva	prANAyAma-mudrA-banDa-Adi-samasta-yantraNA-tantra-trowanena suKa-upAyam eva
   hṛdaye nihitacittaḥ uktayuktyā svasthitipratibandhakaṃ vikalpaṃ	hRdaye nihita-cittaH ukta-yuktyA sva-sTiti-pratibanDakam vikalpam
   akiṃciccintakatvena praśamayan avikalpaparāmarśena	akiMcid-cintaka-tvena praSamayan avikalpa-parAmarSena
   dehādyakaluṣasvacitpramātṛtānibhālanapravaṇaḥ acirād eva	deha-Adya-kaluza-sva-cid-pramAtR-tAni-BAlana-pravaNaH acirAt eva
   unmiṣadvikāsāṃ turyaturyātītasamāveśadaśāṃ āsādayati |	unmizat-vikAsAm turya-turyA-atIta-samAveSa-daSAm AsAdayati |
   yathoktam=20	yaTA-uktam=20
   vikalpahānenaikāgryāt krameṇeśvaratāpadam [22] |	vikalpa-hAnena-ekAgryAt krameNa-ISvara-tApadam [22] |
   iti śrīpratyabhijñāyām |	iti SrI-pratyaBijQAyAm |
   śrīspande 'pi=20	SrI-spande api=20
   yadā kṣobhaḥ pralīyeta tadā syāt paramaṃ padam [23] | iti |	yadA kzoBaH pralIyeta tadA syAt paramam padam [23] | iti |
   śrījñānagarbhe 'pi	SrI-jQAna-garBe api
   vihāya sakalāḥ kriyā janani mānasīḥ sarvato	vihAya sakalAH kriyAH janani mAnasIH sarvatas-
   vimuktakaraṇakriyānusṛtipāratantryojjvalam |	vimukta-karaNa-kriyA-anusRti-pAratantrya-ujjvalam |
   sthitais tvadanubhāvataḥ sapadi vedyate sā parā	sTitEH tvad-anuBAvataH sapadi vedyate sA parA
   daśā nṛbhir atandritāsamasukhāmṛtasyandinī || iti |	daSA nRBiH atandrita-asamasuKa-amRta-syandinI || iti |
   ayaṃ ca upāyo mūrdhanyatvāt pratyabhijñāyāṃ [24] pratipāditatvāt ādāv	ayam ca upAyaH mUrDanya-tvAt pratyaBijQAyAm [24] pratipAdita-tvAt AdO=-
   uktaḥ | śaktisaṃkocādayas tu yady api pratyabhijñāyāṃ na pratipāditāḥ	uktaH | Sakti-saMkoca-AdayaH tu yadi api pratyaBijQAyAm na pratipAditAH
   tathāpi āmnāyikatvāt asmābhiḥ prasaṅgāt pradarśyante | bahuṣu hi	taTA-api AmnAyika-tvAt asmABiH prasaFgAt pradarSyante | bahuzu hi
   pradarśiteṣu kaścit kenacit pravekṣyatīti | śakteḥ saṃkoca	pradarSitezu kaScid kenacid pravekzyati-iti | SakteH saMkoca
   indriyadvāreṇa prasarantyā evākuñcanakrameṇa unmukhīkaraṇam | yathoktaṃ	indriya-dvAreNa prasarantyAH eva-AkuQcana-krameNa unmuKIkaraNam | yaTA-uktam
   ātharvaṇikopaniṣatsu kaṭhavallyāṃ caturthavallīprathamamantre	ATarvaNikA-upanizatsu kaWavallyAm caturTa-vallI-praTama-mantre
   parāñci khāni vyatṛṇat svayaṃbhūḥ	parAQci KAni vyatRNat svayaMBUH
   tasmāt parāṅ paśyati nāntarātman |	tasmAt parAF paSyati na-antarAtman |
   kaścid dhīraḥ pratyag ātmānam aikṣad	kaScid DIraH pratyak AtmAnam Ekzat-
   āvṛttacakṣur amṛtatvam aśnan [25] || iti |	AvRtta-cakzuH amRta-tvam aSnan [25] || iti |
   prasṛtāyā api vā kūrmāṅgasaṃkocavat trāsasamaye hṛtpraveśavac ca	prasRtAyAH api vA kUrma-aFga-saMkoca-vat trAsa-samaye hRd-praveSa-vat ca
   sarvato nivartanam | yathoktaṃ "tadapoddhṛte nityoditasthitiḥ" iti |	sarvatas nivartanam | yaToktam "tadapa-udDRte nitya-udita-sTitiH" iti |
   śakter vikāsaḥ antarnigūḍhāyā akramam eva sakalakaraṇacakravisphāraṇen=	SakteH vikAsaH antar-nigUXAyAH akramam eva sakala-karaNa-cakra-visPAraNen=
   a	a
   "antarlakṣyo bahirdṛṣṭiḥ nimeṣonmeṣavarjitaḥ " iti |	"antar-lakzyaH bahis-dRzwiH nimeza-unmeza-varjitaH " iti |
   bhairavīyamudrānupraveśayuktyā bahiḥ prasaraṇam | yathoktaṃ	BEravIya-mudrA-anupraveSa-yuktyA bahis prasaraNam | yaTA-uktam
   kakṣyastotre=20	kakzya-stotre=20
   sarvāḥ śaktīḥ cetasā darśanādyāḥ	sarvAH SaktIH cetasA darSana-AdyAH
   sve sve vedye yaugapadyena viṣvak |	sve sve vedye yOgapadyena vizvak |
   kṣiptvā madhye hāṭakastambhabhūtaḥ	kziptvA maDye hAwaka-stamBa-BUtaH
   tiṣṭan viśvādhāra eko 'vabhāsi || iti |	tizwan viSva-ADAraH ekaH avaBAsi || iti |
   śrībhaṭṭakallaṭenāpi uktam "rūpādiṣu pariṇāmāt tatsiddhiḥ " iti |	SrI-Bawwa-kallawena-api uktam "rUpa-Adizu pariNAmAt tad-sidDiH " iti |
   śakteś ca saṃkocavikāsau	SakteH ca saMkoca-vikAsO
   nāsāpuṭaspandanakramonmiṣatsūkṣmaprāṇaśaktyā bhrūbhedanena	nAsA-puwa-spandana-krama-unmizat-sUkzma-prANa-SaktyA BrU-Bedanena
   kramāsāditordhvakuṇḍalinīpade prasaraviśrāntidaśāpariśīlanam |	krama-AsAdita-UrDva-kuNxalinI-pade prasara-viSrAnti-daSA-pariSIlanam |
   adhaḥkuṇḍalinyāṃ ca ṣaṣṭavaktrarūpāyāṃ praguṇīkṛtya śaktiṃ	aDas-kuNxalinyAm ca zazwa-vaktra-rUpAyAm praguNIkRtya Saktim
   tanmūlatadagratanmadhyabhūmisparśāveśaḥ | yathoktaṃ vijñānabhaṭṭārake	tad-mUla-tad-agra-tad-maDya-BUmi-sparSa-AveSaH | yaToktam vijQAna-BawwArake
   vahner viṣasya madhye tu cittaṃ sukhamayaṃ kṣipet |	vahneH vizasya maDye tu cittam suKa-mayam kzipet |
   kevalaṃ vāyupūrṇaṃ vā smarānandena yujyate [26] || iti |	kevalam vAyu-pUrNam vA smara-Anandena yujyate [26] || iti |
   atra vahniḥ anupraveśakrameṇa saṃkocabhūḥ | viṣasthānaṃ prasarayukty=	atra vahniH anupraveSa-krameNa saMkoca-BUH | viza-sTAnam prasara-yukty=
   ā	A
   vikāsapadaṃ=20	vikAsa-padaM=20
   "viṣḷ vyāptau" ity arthānugamāt | vāhayoḥ vāmadakṣiṇagatayoḥ	"viz? vyAptO" iti arTa-anugamAt | vAhayoH vAma-dakziNa-gatayoH
   prāṇāpānayoḥ chedo hṛdayaviśrāntipuraḥsaraṃ	prANa-apAnayoH CedaH hRdaya-viSrAnti-puraHsaram
   antaḥkakārahakārādiprāyānackavarṇoccāreṇa vicchedanam |	antaHka-kAra-hakAra-Adi-prAya-anacka-varNa-uccAreNa vicCedanam |
   yathoktaṃ jñānagarbhe	yaTA-uktam jQAna-garBe
   anackakakṛtāyatiprasṛtapārśvanāḍīdvayacchido	anackaka-kRta-Ayati-prasRta-pArSva-nAxI-dvaya=-CidaH-
   vidhṛtacetaso hṛdayapaṅkajasyodare |	viDRta-cetasaH hRdaya-paFkajasya-udare |
   udeti tava dāritāndhatamasaḥ sa vidyāṅkuro	udeti tava dArita-anDatamasaH sa vidyA-aFkuro
   ya eṣa parameśatāṃ janayituṃ paśor api alam || iti |	yaH eza parameSa-tAm janayitum paSoH api alam || iti |
   ādikoṭiḥ hṛdayam | antakoṭiḥ dvādaśāntaḥ | tayoḥ	Adi-kowiH hRdayam | antakowiH dvAdaSAntaH | tayoH
   prāṇollāsaviśrāntyavasare nibhālanaṃ cittaniveśanena pariśīlanam |	prANa-ullAsa-viSrAnti-avasare niBAlanam citta-niveSanena pariSIlanam |
   yathoktaṃ vijñānabhairave	yaTA-uktam vijQAnaBErave
   hṛdyākāśe nilīnākṣaḥ padmasaṃpuṭamadhyagaḥ |	hRdi-AkASe nilIna-akzaH padma-saMpuwa-maDya-gaH |
   ananyacetāḥ subhage paraṃ saubhāgyam āpnuyāt [27] || iti |	ananya-cetAH suBage param sOBAgyam ApnuyAt [27] || iti |
   tathā=20	taTA=20
   yathā tathā yatra tatra dvādaśānte manaḥ kṣipet |	yaTA taTA yatra tatra dvAdaSAnte manaH kzipet |
   pratikṣaṇaṃ kṣīṇavṛtteḥ vailakṣaṇyaṃ dinair bhavet [28] || iti |	pratikzaNam kzINa-vRtteH vElakzaNyam dinEH Bavet [28] || iti |
   ādipadāt unmeṣadaśāniṣevaṇam | yathoktaṃ	Adi-padAt unmeza-daSA-nizevaNam | yaTA-uktam
   unmeṣaḥ sa tu vijñeyaḥ svayaṃ tam upalakṣayet [29] |	unmezaH sa tu vijQeyaH svayam tam upalakzayet [29] |
   iti spande |	iti spande |
   tathā ramaṇīyaviṣayacarvaṇādayaś ca saṃgṛhītāḥ |	taTA ramaNIya-vizaya-carvaNa-AdayaH ca saMgRhItAH |
   yathoktaṃ śrīvijñānabhairava eva	yaTA-uktam SrI-vijQAnaBEravaH eva
   jagdhipānakṛtollāsarasānandavijṛmbhaṇāt |	jagDi-pAna-kRta-ullAsa-rasa-Ananda-vijRmBaNAt |
   bhāvayed bharitāvasthāṃ mahānandamayo bhavet ||	BAvayet Barita-avasTAm mahA-Ananda-mayaH Bavet ||
   gītādiviṣayāsvādāsamasaukhyaikatātmanaḥ |	gIta-Adi-vizaya-AsvAda-asama-sOKya-eka-tA-AtmanaH |
   yoginas tanmayatvena manorūḍhes tadātmatā ||	yoginaH tad-maya-tvena manaH-rUXeH tad-Atma-tA ||
   yatra yatra manastuṣṭir manas tatraiva dhārayet |	yatra yatra manaH-tuzwiH manaH tatra-eva DArayet |
   tatra tatra parānandasvarūpaṃ saṃprakāśate [30] || iti |	tatra tatra para-Ananda-svarUpam saMprakASate [30] || iti |
   evam anyad api ānandapūrṇasvātmabhāvanādikaṃ anumantavyam | ity	evam anyat api Ananda-pUrNasva-Atma-BAvanA-Adikam anumantavyam | iti-
   evamādayaḥ atra madhyavikāse upāyāḥ ||	evamAdayaH atra maDya-vikAse upAyAH ||
   madhyavikāsāc cidānandalābhaḥ | sa eva ca paramayoginaḥ	maDya-vikAsAt cit-Ananda-lABaH | saH eva ca parama-yoginaH
   samāveśasamapattyādiparyāyaḥ samādhiḥ | tasya nityoditatve yuktim āha	samAveSa-sama-patti-Adi-paryAyaH samADiH | tasya nitya-udita-tve yuktim Aha
   samādhisaṃskāravati vyutthāne bhūyo bhūyaḥ	samADi-saMskAravati vyutTAne BUyas BUyas-
   cidaikyāmarśān nityoditasamādhilābhaḥ || 19 ||	cit-Ekya-AmarSAn nitya-udita-samADi-lABaH || 19 ||
   āsāditasamāveśo yogivaro vyutthāne 'pi samādhirasasaṃskāreṇa kṣība iva	AsAdita-samAveSaH yogi-varaH vyutTAne api samADi-rasa-saMskAreNa kzIbaH iva
   sānandaṃ ghūrṇamāno bhāvarāśiṃ śaradabhralavaṃ iva cidgagana eva	sa-Anandam GUrNamAnaH BAva-rASim Sarad-aBra-lavam iva cit-gaganaH eva
   līyamānaṃ paśyan bhūyo bhūyaḥ antarmukhatāṃ eva samavalambamāno	lIyamAnam paSyan BUyas BUyas antar-muKa-tAm eva samavalambamAnaH-
   nimīlanasamādhikrameṇa cidaikyam eva vimṛśan vyutthānābhimatāvasare 'pi	nimIlana-samADi-krameNa cit-Ekyam eva vimRSan vyutTAna-aBimata-avasare api
   samādhyekarasa eva bhavati | yathoktaṃ kramasūtreṣu	samADi-ekarasaH eva Bavati | yaToktam krama-sUtrezu
   "kramamudrayā antaḥsvarūpayā bahirmukhaḥ [31] samāviṣṭo bhavati	"krama-mudrayA antar-svarUpayA bahirmuKaH [31] samAvizwaH Bavati
   sādhakaḥ |	sADakaH |
   tatrādau bāhyāt antaḥpraveśaḥ ābhyantarāt bāhyasvarūpe praveśaḥ	tatra-AdO bAhyAt antar-praveSaH AByantarAt bAhya-svarUpe praveSaH
   āveśavaśāt jāyate iti sabāhyābhyantaro 'yaṃ mudrākramaḥ " iti |	AveSa-vaSAt jAyate iti sa-bAhya-aByantaraH ayam mudrA-kramaH " iti |
   atrāyam arthaḥ sṛṣṭisthitisaṃhṛtisaṃviccakrātmakaṃ kramaṃ mudrayat=	atra-ayam arTaH sRzwi-sTiti-saMhRti-saMvid-cakra-Atmakam kramam mudrayat=
   i	i
   svādhiṣṭhitaṃ ātmasātkaroti yeyaṃ turīyā citiśaktiḥ tayā kramamudrayā	sva-aDizWitam AtmasAt-karoti yA-iyam turIyA citi-SaktiH tayA krama-mudrayA
   antar iti pūrṇāhantāsvarūpayā [32] bahirmukha iti viṣayeṣu vyāpṛto 'pi	antar iti pUrNa-Ahanta-asvarUpayA [32] bahirmuKaH iti vizayezu vyApRtaH api
   samāviṣṭaḥ sākṣātkṛtaparaśaktisphāraḥ sādhakaḥ paramayogī bhavati |	samAvizwaH sAkzAtkRta-para-Sakti-sPAraH sADakaH parama-yogI Bavati |
   tatra ca bāhyāt grasyamānāt viṣayagrāmāt antaḥ parasyāṃ citibhūmau	tatra ca bAhyAt grasyamAnAt vizaya-grAmAt antar parasyAm citi-BUmO
   grasanakrameṇaiva praveśaḥ samāveśo bhavati | ābhyantarāt	grasana-krameNa-eva praveSaH samAveSaH Bavati | AByantarAt-
   citiśaktisvarūpāt ca sākṣātkṛtāt āveśavaśāt samāveśasāmarthyād eva	citi-Sakti-svarUpAt ca sAkzAtkRtAt AveSa-vaSAt samAveSa-sAmarTyAt eva
   bāhyasvarūpe idantānirbhāse viṣayagrāme vamanayuktyā praveśaḥ	bAhya-svarUpe idantA-nirBAse vizaya-grAme vamana-yuktyA praveSaH
   cidrasāśyānatāprathanātmā samāveśo jāyate iti	cit-ra-sASyAna-tA-praTana-AtmA samAveSaH jAyate iti
   sabāhyābhyantaro 'yaṃ nityoditasamāveśātmā mudo harṣasya vitaraṇāt	sa-bAhya-aByantaraH ayam nitya-udita-samAveSa-AtmA mudaH harzasya vitaraNAt-
   paramānandasvarūpatvāt pāśadrāvaṇāt viśvasya antaḥturīyasattāyāṃ	parama-Ananda-svarUpa-tvAt pASa-drAvaNAt viSvasya antar-turIya-sat-tAyAm
   mudraṇāt ca mudrātmā kramo 'pi sṛṣṭyādikramābhāsakatvāt	mudraNAt ca mudrA-AtmA kramaH api sRzwi-Adi-krama-ABAsaka-tvAt
   tatkramābhāsarūpatvāt ca krama iti abhidhīyata iti ||	tad-krama-ABAsa-rUpa-tvAt ca kramaH iti aBiDIyate iti ||
   idānīm asya samādhilābhasya phalam āha	idAnIm asya samADi-lABasya Palam Aha
   tadā prakāśānandasāramahāmantravīryātmakapūrṇāhantāveśāt sadā	tadA prakASa-Ananda-sAra-mahA-mantra-vIrya-Atmaka-pUrNA-hanta-AveSAt sadA
   sarvasargasaṃhārakārinijasaṃviddevatācakreśvaratāpraptir	sarva-sarga-saMhAra-kAri-nija-saMvid-devatA-cakra-ISvara-tA-praptiH-
   bhavatīti śivam || 20 ||	Bavati-iti Sivam || 20 ||
   nityodite samādhau labdhe sati prakāśānandasārā cidāhlādaikaghanā [33]	nitya-udite samADO labDe sati prakASa-Ananda-sArA cit-AhlAda-eka-GanAH [33]
   mahatī mantravīryātmikā sarvamantrajīvitabhūtā pūrṇā parābhaṭṭārikārūpā	mahatI mantra-vIrya-AtmikA sarva-mantra-jIvita-BUtA pUrNA parABawwArikA-rUpA
   yeyaṃ ahantā akṛtrimaḥ svātmacamatkāraḥ tatra āveśāt sadā kālāgnyādeḥ	yA-iyam ahantA akRtrimaH sva-Atma-camatkAraH tatra AveSAt sadA kAlAgni-AdeH
   caramakalāparyantasya viśvasya yau sargasaṃhārau vicitrau sṛṣṭipralaya=	carama-kalA-paryantasya viSvasya yO sarga-saMhArO vicitrO sRzwi-pralaya=
   u	u
   tatkāri yat nijaṃ saṃviddevatācakraṃ tadaiśvaryasya prāptiḥ āsādanaṃ	tad-kAri yat nijam saMvid-devatA-cakram tat-ESvaryasya prAptiH AsAdanam
   bhavati | prākaraṇikasya paramayogina ity arthaḥ |	Bavati | prAkaraNikasya parama-yoginaH iti arTaH |
   iti etat sarvaṃ śivasvarūpam evety upasaṃhāra iti saṃgatiḥ |	iti etat sarvam Siva-svarUpam eva-iti upasaMhAraH iti saMgatiH |
   tatra yāvat idaṃ kiṃcit saṃvedyate tasya saṃvedanam eva svarūpam |	tatra yAvat idam kiMcid saMvedyate tasya saMvedanam eva sva-rUpam |
   tasyāpi antarmukhavimarśamayāḥ pramātāraḥ tattvam | teṣām api	tasya-api antarmuKa-vimarSa-mayAH pramAtAraH tattvam | tezAm api
   vigalitadehādyupādhisaṃkocābhimānā aśeṣaśarīrā sadāśiveśvarataiva	vigalita-deha-Adi-upADi-saMkoca-aBimAnAH aSeza-SarIrA sadASiva-ISvara-tA-eva
   sāram | asyā api prakāśaikasadbhāvāpāditāśeṣaviśvacamatkāramayaḥ	sAram | asyAH api prakASa-eka-sadBAva-ApAdi-ta-aSeza-viSva-camatkAra-mayaH
   śrīmānmaheśvara eva paramārthaḥ | na hi pāramārthikaprakāśāveśaṃ vinā	SrImAn-maheSvaraH eva parama-arTaH | na hi pAramArTika-prakASa-AveSam vinA
   kasyāpi prakāśamānatā ghaṭate | sa ca parameśvaraḥ svātantryasāratvāt	kasya-api prakASam-AnatA Gawate | sa ca parameSvaraH svAtantrya-sAra-tvAt
   ādikṣāntāmāyīyaśabdarāśiparāmarśamayatvenaiva	AdikzAnta-AmAyIya-Sabda-rASi-parAmarSa-maya-tvena-eva
   etatsvīkṛtasamastavācyavācakamayāśeṣajagadānandasadbhāvāpādanāt paraṃ	etad-svIkRta-samasta-vAcya-vAcaka-maya-aSeza-jagat-Ananda-sadBAva-ApAdanAt param
   paripūrṇatvāt sarvākāṅkṣāśūnyatayā ānandaprasaranirbharaḥ |	paripUrNa-tvAt sarva-AkAFkzA-SUnya-tayA Ananda-prasara-nirBaraH |
   ata eva anuttarākulasvarūpāt akārāt ārabhya	atas eva anuttara-Akula-svarUpAt akArAt AraBya
   śaktisphārarūpahakalāparyanta.=	Sakti-sPAra-rUpa-hakalA-paryanta.=
   m	m
   yat viśvaṃ prabhṛtaṃ kṣakārasya prasaraśamanarūpatvāt tat	yat viSvam praBRtam kzakArasya prasara-Samana-rUpa-tvAt tat-
   akārahakārābhyām eva saṃpuṭīkārayuktyā pratyāhāranyāyena antaḥsvīkṛtaṃ	akAra-hakArAByAm eva saMpuwIkAra-yuktyA pratyAhAra-nyAyena antar-svIkRtam
   sat avibhāgavedanātmakabindurūpatayā sphuritaṃ anuttara eva viśrāmyati |	sat aviBAga-vedanA-Atmaka-bindu-rUpa-tayA sPuritam anuttaraH eva viSrAmyati |
   iti śabdarāśisvarūpa eva ayaṃ akṛtako vimarśaḥ |	iti Sabda-rASi-svarUpaH eva ayam akRtakaH vimarSaH |
   yathoktam=20	yaTA-uktam=20
   prakāśasyātmaviśrāntir ahaṃbhāvo hi kīrtitaḥ |	prakASasya-Atma-viSrAntiH ahaMBAvaH hi kIrtitaH |
   uktā ca saiva viśrāntiḥ sarvāpekṣānirodhataḥ ||	uktA ca sA-eva viSrAntiH sarva-apekzA-niroDataH ||
   svātantryam atha kartṛtvaṃ mukhyam īśvaratāpi ca [34] | iti |	svAtantryam aTa kartR-tvam muKyam ISvara-tA-api ca [34] | iti |
   eṣaiva ca ahantā sarvamantrāṇāṃ udayaviśrāntisthānatvāt etadbalenaiva c=	ezA-eva ca ahantA sarva-mantrANAm udaya-viSrAnti-sTAna-tvAt etat-balena-eva c=
   a	a
   tattadarthakriyākāritvāt mahatī vīryabhūmiḥ | tad uktam	tad-tad-arTa-kriyA-kAri-tvAt mahatI vIrya-BUmiH | tat uktam
   tadākramya balaṃ mantrā ..... | ityādi	tat-Akramya balam mantrAH ..... | ityAdi
   ..... ta ete śivadharmiṇaḥ [35] | ityantaṃ śrīspande |	..... te ete Siva-DarmiNaH [35] | iti-antam SrI-spande |
