   śrīrastu	SrIH astu
   vṛttaṃ tadaśvalalitaṃ vijñeyaṃ nāmato yathā // BhN_15.137 //	vRttam tat aSva lalitam vijQeyam nAmataH yaTA // Bhz _15.137 //
   yadi ca nakāra ādiracitaḥ pade viracito 'nta eva lagau yadi ca nabhau	yadi ca nakAraH Adi racitaH pade viracitaH antaH eva lagO yadi ca naBO
   tridhā ca nihitau krameṇa khalu madhyāvapi tathā /	triDA ca nihitO krameNa Kalu maDyO= api taTA /
   yadi ca samāśritaṃ hi vikṛtiṃ yatiśca daśabhistathaikasahitais tata iha	yadi ca samASritam hi vikRtim yatiH ca daSaBiH taTA eka sahitEH tatas iha
   kīrtitaṃ munigaṇairviśuddhacaritaistadaśvalalitam // BhN_15.138 //	kIrtitam muni gaNEH viSudDa caritEH tat aSva lalitam // Bhz _15.138 //
   vividhaturaṅganāgarathayodhasaṅkulamalaṃ balaṃ samuditaṃ	viviDa turaFga nAga raTa yoDa saFkula malam balam samuditam
   śaraśataśaktikuntaparidhāsiyaṣṭivitataṃ bahupraharaṇam /	Sara Sata Sakti kunta pariDAsi yazwi vitatam bahu praharaNam /
   ripuśatamuktaśastraravabhītaśaṅkitabhaṭaṃ bhayākuladiśaṃ kṛtamabhivīkṣya	ripu Sata mukta Sastra rava BIta SaFkita Bawam Baya Akula diSam kRtam aBivIkzya
   saṃyugamukhe samarpitaguṇaṃ tvayāśvalalitam // BhN_15.139 //	saMyuga muKe samarpita guNam tvayA aSva lalitam // Bhz _15.139 //
   ṣaḍādāvaṣṭamaṃ caiva hyekādaśacaturdaśe /	zaz AdO= azwamam ca eva hi ekAdaSa caturdaSe /
   viṃśaṃ saptadaśaṃ caiva trayoviṃśaṃ tathaiva ca // BhN_15.140 //	viMSam saptadaSam ca eva trayoviMSam taTA eva ca // Bhz _15.140 //
   etāni ca laghūni syuḥ śeṣāṇyatha gurūṇi ca /	etAni ca laGUni syuH SezANi aTa gurUNi ca /
   caturviṃśatike pāde meghamāleti sā yathā // BhN_15.141 //	caturviMSatike pAde meGa mAlA iti sA yaTA // Bhz _15.141 //
   yadi khalu caraṇasthitau nau trikau kṛtikāravyāstathā rāḥ syuḥ kramāt /	yadi Kalu caraNa sTitO nO trikO kRti kAravyAH taTA rAH syuH kramAt /
   bhavati yadi yatistathā saptabhiḥ saptabhistriṣvato 'nyā yatiḥ pañca	Bavati yadi yatiH taTA saptaBiH saptaBiH trizu ataH anyA yatiH paQca
   vidyāttathā // BhN_15.142 //	vidyAt taTA // Bhz _15.142 //
   pavanabalasamāhṛtā tīvragambhīranādā balākāvalīmekhalā	pavana bala samAhRtA tIvra gamBIra nAdA balAkA AvalI meKalA
   kṣitidharasadṛśoccarūpā mahānīladhūmāñjanābhāmbugarbhodbhavā /	kzitiDara sadRSa ucca rUpA mahAnIla DUma aQjana ABa ambu garBa udBavAH /
   surapatidhanurujjvalābaddhakakṣyā taḍiddyotasannāhapaṭṭījvalā	surapati DanuH ujjvala AbadDa kakzyA taxit dyota sannAha pawwI jvalA
   gaganatalavisāriṇī prāvṛṣaṇyā dṛḍhaṃ meghamālādhikaṃ śobhate // BhN_15.143	gagana tala visAriNI prAvRzaNyAH dRXam meGa mAlA aDikam SoBate // Bhz _15.143
   ādyaṃ caiva caturthaṃ ca pañcamaṃ ṣaṣṭhameva ca /	Adyam ca eva caturTam ca paQcamam zazWam eva ca /
   navamaṃ daśamaṃ caiva naidhanaṃ ca bhavedguru // BhN_15.144 //	navamam daSamam ca eva nEDanam ca Bavet guru // Bhz _15.144 //
   laghūnyanyāni śeṣāṇi pāde syuḥ pañcaviṃśake /	laGUni anyAni SezANi pAde syuH paQcaviMSake /
   vṛttajjñaiḥ sā tu vijñeyā krauñcapādīti nāmataḥ // BhN_15.145 //	vRttajjQEH sA tu vijQeyA krOQcapAdI iti nAmataH // Bhz _15.145 //
   bhmau yadi pāde sbhāvapi ceṣṭāvabhikṛtirapi ca hi yadi khalu vihitā nāśca	BmO yadi pAde sBO= api cezwO= aBikRtiH api ca hi yadi Kalu vihitAH nASca
   samudrāḥ syurviniviṣṭā yadi ca khalu guru bhavati nidhanagatam /	samudrAH syuH vinivizwA yadi ca Kalu guru Bavati niDana gatam /
   pañcabhirādau chedamupetā punarapi yatiriha yadi khalu daśabhiḥ	paQcaBiH AdO Cedam upetA punar api yatiH iha yadi Kalu daSaBiH
   krauñcapadeyaṃ vṛttavidhāne suragaṇapitṛgaṇamunigaṇavihitā // BhN_15.146	krOQcapadeyam vRtta viDAne sura gaNa pitR gaNa muni gaNa vihitAH // Bhz _15.146
   yaḥ kila dākṣaṃ vidrutasomaṃ kratuvaramacamasamapagatakalaśaṃ pātitayūpaṃ	yaH kila dAkzam vidruta somam kratu varam acama sam apagata kalaSam pAtitayUpam
   kṣiptacaṣālaṃ vicayanamasamidhamapaśukacarukam /	kzipta cazAlam vicaya nam asamiDam apaSuka carukam /
   kārmukamuktenāśu cakāra vyapagatasuragaṇapitṛgaṇamiṣuṇā nityamasau te	kArmuka muktena ASu cakAra vyapagata sura gaNa pitR gaNam izuNA nityam asO te
   daityagaṇāriḥ pradahatu makhamiva ripugaṇamakhilam // BhN_15.147 //	dEtya gaNAriH pradahatu maKam iva ripu gaNam aKilam // Bhz _15.147 //
   yā kapilākṣī piṅgalakeśī kaliruciranudinamanunayakaṭhinā dīrghatarābhiḥ	yA kapilAkzI piFgala keSI kali rucira nudinam anunaya kaWinAH dIrGatarABiH
   sthūlasirābhiḥ parivṛtavapuratiśayakuṭilagatiḥ /	sTUla sirABiH parivRta vapuH atiSaya kuwila gatiH /
   āyatajaṅghā nimnakapolā laghutarakucayugaparigatahṛdayā sā parihāryā	AyatajaFGA nimna kapolA laGutara kuca yuga parigata hRdayA sA parihAryA
   krauñcapadā strī dhruvamiha niravadhisukhamabhilaṣatā // BhN_15.148 //	krOQcapadA strI Druvam iha niravaDi suKam aBilazatA // Bhz _15.148 //
   aṣṭāvādau gurūṇi syustathā caikonaviṃśakam /	azwO= AdO gurUNi syuH taTA ca ekonaviMSakam /
   ekaviṃśaṃ ca vijñeyaṃ caturviṃśaṃ sanaidhanam // BhN_15.149 //	ekaviMSam ca vijQeyam caturviMSam sa nEDanam // Bhz _15.149 //
   etāni guru saṃkhyāni śeṣāṇi ca laghūnyatha /	etAni guru saMKyAni SezANi ca laGUni aTa /
   ṣaḍviṃśatyakṣare pāde tadbhujaṅgavijṛmbhitam // BhN_15.150 //	zaxviMSati akzare pAde tad BujaFga vijRmBitam // Bhz _15.150 //
   yasyāṃ mau to nāḥ strau nityaṃ praticaraṇamatha	yasyAm mO taH nAH strO nityam praticaraNam aTa
   gaditakāstrikā hyanupūrvaśaḥ	gaditakAH trikAH hi anupUrvaSas 
   ṣaḍviṃśatyāmekonāyāṃ ca yadi hi	zaxviMSatyAm eka UnAyAm ca yadi hi
   khalu yatirabhidhā caturbhirathāṣṭābhiḥ /	Kalu yatiH aBiDA caturBiH aTa azwABiH /
   paścādantyau lgau saṃyojyau yadi bhavati	paScAt antyO lgO saMyojyO yadi Bavati
   manujadayitāṃ samāśritamutkṛtiṃ	manuja dayitAm samASritam utkRtim
   nāmnā vṛttaṃ loke khyātaṃ kavivadana	nAmnA vRttam loke KyAtam kavi vadana
   vikasanaparaṃ bhujaṅgavijṛmbhitam // BhN_15.151 //	vikasana param BujaFga vijRmBitam // Bhz _15.151 //
   yathā:	yaTA:
   rūpopetāṃ devaiḥ sṛṣṭāṃ samadagaja	rUpa upetAm devEH sRzwAm samada gaja
   vilasitagatiṃ nirīkṣya tilottamāṃ	vilasita gatim nirIkzya tilottamAm
   prādakṣiṇyātprāptāṃ draṣṭuṃ bahuvadana	prAdakziNyAt prAptAm drazwum bahu vadana
   macalanayanaṃ śiraḥ kṛtavān hariḥ /	macala nayanam SiraH kRtavAn hariH /
   dīrghaṃ niśvasyāntargūḍhaṃ stanavadana	dIrGam niSvasya antar gUXam stana vadana
   jaghanarucirāṃ nirīkṣya tathā punaḥ	jaGana rucirAm nirIkzya taTA punar 
   pṛṣṭhe nyastaṃ devendreṇa pravaramaṇi	pRzWe nyastam deva indreNa pravara maNi
   kanakavalayaṃ bhujaṅgavijṛmbhitam // BhN_15.152 //	kanaka valayam BujaFga vijRmBitam // Bhz _15.152 //
   daṇḍakaṃ nāma vijñeyamutkṛteradhikataram /	daNxakam nAma vijQeyam utkRteH aDikataram /
   meghamālādikaṃ tatsyānnau cādau kāguhā trikāḥ // BhN_15.153 //	meGa mAlA Adikam tat syAt nO ca AdO kAguhA trikAH // Bhz _15.153 //
   yathā:	yaTA:
   muditajanapadākulā sphītasasyākarā bhūtadhātrī bhavantaṃ samabhyarcati	mudita janapada AkulA sPIta sasya AkarA BUtaDAtrI Bavantam samaByarcati
   dviradakaraviluptahintālatālīvanāstvāṃ namasyanti vindhyādayaḥ parvatāḥ /	dvirada kara vilupta hintAla tAlI vanAH tvAm namasyanti vinDya AdayaH parvatAH /
   sphuṭitakalaśāśuktinigīrṇamuktā phalairūrmihastairnamasyanti vaḥ sāgarāḥ	sPuwita kalaSA Sukti nigIrNa muktA PalEH Urmi hastEH namasyanti vaH sAgarAH
   muditajalacarākulāḥ saṃprakīrṇamalāḥ kīrtayantīva kīrtiṃ mahānimnagāḥ //	mudita jala cara AkulAH saMprakIrNa malAH kIrtayanti iva kIrtim mahA nimnagAH //
   BhN_15.154 //	Bhz _15.154 //
   etāni samavṛttāni mayoktāni dvijottamāḥ /	etAni sama vRttAni mayA uktAni dvijottamAH /
   viṣamārdhasamānāṃ tu punarvakṣyāmi lakṣaṇam // BhN_15.155 //	vizama arDa samAnAm tu punar vakzyAmi lakzaNam // Bhz _15.155 //
   yatra pādāstu viṣamā nānāvṛttasamudbhavāḥ /	yatra pAdAH tu vizamAH nAnA vRtta samudBavAH /
   grathitāḥ pādayogena tad vṛttaṃ viṣamaṃ smṛtam // BhN_15.156 //	graTitAH pAda yogena tat vRttam vizamam smRtam // Bhz _15.156 //
   dvau samaṃ dvau ca viṣamau vṛtte 'rdhaviṣame tathā /	dvO samam dvO ca vizamO vRtte arDa vizame taTA /
   sarvapādaiśca viṣamairvṛttaṃ viṣamamucyate // BhN_15.157 //	sarva pAdEH ca vizamEH vRttam vizamam ucyate // Bhz _15.157 //
   hrasvādyamatha dīrghādyaṃ dīrghaṃ hrasvamathāpi vā /	hrasva Adyam aTa dIrGa Adyam dIrGam hrasvam aTa api vA /
   yugmojaviṣamaiḥ pādaiḥ vṛttamardhasamaṃ bhavet // BhN_15.158 //	yugmoja vizamEH pAdEH vRttam arDa samam Bavet // Bhz _15.158 //
   pāde siddhe samaṃ siddhaṃ viṣamaṃ sārvapādikam /	pAde sidDe samam sidDam vizamam sArvapAdikam /
   dvayorardhasamaṃ vidyādeṣa chedastu pādataḥ // BhN_15.159 //	dvayoH arDa samam vidyAt eza CedaH tu pAdataH // Bhz _15.159 //
   chedāstu ye mayā proktā samavṛttavikalpitaḥ /	CedAH tu ye mayA proktA sama vRtta vikalpitaH /
   trikairviṣamavṛttānāṃ saṃpravakṣyāmi lakṣaṇam // BhN_15.160 //	trikEH vizama vRttAnAm saMpravakzyAmi lakzaNam // Bhz _15.160 //
   naidhane 'nyatarasyāṃ vai prathame pāda iṣyate /	nEDane anyatarasyAm vE praTame pAdaH izyate /
   dvitīye caraṇe ca syādityanuṣṭup samāsataḥ // BhN_15.161 //	dvitIye caraNe ca syAt iti anuzwuB samAsatas // Bhz _15.161 //
   sau gau tu prathame pāde srau lgau cāpi dvitīyake /	sO gO tu praTame pAde srO lgO ca api dvitIyake /
   yugme 'rdhaviṣame pāde jñeyā pathyā tu sā trikaiḥ // BhN_15.162 //	yugme arDa vizame pAde jQeyA paTyA tu sA trikEH // Bhz _15.162 //
   priyadaivatamitrāsi priyasaṃbandhibāndhavā /	priya dEvata mitrA asi priya saMbanDi bAnDavAH /
   priyadānaratā pathyā dayite tvaṃ priyāsi me // BhN_15.163 //	priya dAna ratA paTyAH dayite tvam priyA asi me // Bhz _15.163 //
   mrau gau tu prathame pāde ysau lgau ca dvitīyake /	mrO gO tu praTame pAde ysO lgO ca dvitIyake /
   pāde bhau lgau tṛtīye ca caturthe tu tasau lagau // BhN_15.164 //	pAde BO lgO tRtIye ca caturTe tu tasO lagO // Bhz _15.164 //
   naivācāro na te mitraṃ na saṃbandhiguṇapriyā /	na eva AcAraH na te mitram na saMbanDi guNa priyA /
   sarvathā sarvaviṣamā pathyā na bhavasi priye // BhN_15.165 //	sarvaTA sarva vizamA paTyA na Bavasi priye // Bhz _15.165 //
   ayujorlakṣaṇaṃ hyetadviparītaṃ tu yatra ca /	ayujoH lakzaNam hi etat viparItam tu yatra ca /
   pathyā hi viparītā sā vijñeyā nāmato yathā // BhN_15.166 //	paTyA hi viparItA sA vijQeyAH nAmataH yaTA // Bhz _15.166 //
   kṛtena ramaṇasya kiṃ sakhi roṣeṇa te 'pyartham /	kRtena ramaNasya kim saKi rozeNa te api arTam /
   viparītā na pathyāsi tvaṃ jaḍe kena mohitā // BhN_15.167 //	viparItA na paTyA asi tvam jaxe kena mohitAH // Bhz _15.167 //
   caturthādakṣarādyatra trilaghu syādayuktataḥ /	caturTAt akzarAt i atra tri laGu syAt ayuktataH /
   anuṣṭupcapalā sā tu vijñeyā nāmato yathā // BhN_15.168 //	anuzwuB capalA sA tu vijQeyAH nAmataH yaTA // Bhz _15.168 //
   na khalvasyāḥ priyatamaḥ śrotavyaṃ vyāhṛtaṃ sakhyā /	na Kalu asyAH priyatamaH Srotavyam vyAhRtam saKyA /
   nāradasya pratikṛtiḥ kathyate capalā hīyam // BhN_15.169 //	nAradasya pratikRtiH kaTyate capalA hi iyam // Bhz _15.169 //
   vipulā tu yuji jñeyā laghutvātsaptamasya tu /	vipulA tu yuji jQeyA laGu tvAt saptamasya tu /
   sarvatra saptamasyaiva keṣāṃcidvipulā yathā // BhN_15.170 //	sarvatra saptamasya eva kezAMcid vipulAH yaTA // Bhz _15.170 //
   saṃkṣiptā vajramadhye hi hemakumbhanibhastanī /	saMkziptA vajra maDye hi hema kumBa niBa stanI /
   vipulāsi priye śroṇyāṃ pūrṇacandranibhānane // BhN_15.171 //	vipulA asi priye SroNyAm pUrNa candra niBa Anane // Bhz _15.171 //
   gaṅgeva meghopagame āplāvitavasundharā /	gaFgA iva meGa upagame AplAvita vasunDarA /
   kūlavṛkṣānārujantī sravantī vipulā balāt // BhN_15.172 //	kUlavRkzAn ArujantI sravantI vipulAH balAt // Bhz _15.172 //
   āgatā meghasamaye bhīru bhīrukulodgate /	AgatAH meGa samaye BIru BIru kula udgate /
   ekarātrau paragṛhaṃ corī bandhanamarhasi // BhN_15.173 //	eka rAtrO para gRham corI banDanam arhasi // Bhz _15.173 //
   evaṃ vividhayogāstu pathyāpādā bhavanti hi /	evam viviDa yogAH tu paTyA pAdAH Bavanti hi /
   yugmojaviṣamaiḥ pādaiḥ śeṣairanyaistrikairyathā // BhN_15.174 //	yugmoja vizamEH pAdEH SezEH anyEH trikEH yaTA // Bhz _15.174 //
   gurvantakaḥ sarvalaghustriko nityaṃ hi neṣyate /	guru antakaH sarva laGuH trikaH nityam hi na izyate /
   prathamādakṣarādyatra caturthātprāglaghuḥ smṛtaḥ // BhN_15.175 //	praTamAt akzarAt i atra caturTAt prAc laGuH smRtaH // Bhz _15.175 //
   pathyāpādaṃ samāsthāpya trīṇyante tu gurūṇyatha /	paTyA pAdam samAsTApya trINi ante tu gurUNi aTa /
   bhavanti pāde satataṃ budhaistadvakramiṣyate // BhN_15.176 //	Bavanti pAde satatam buDEH tat vakram izyate // Bhz _15.176 //
   dantakṣatādharaṃ subhru jāgaraglānanetraṃ ca /	danta kzata aDaram suBru jAgara glAna netram ca /
   ratisaṃbhogakhinnaṃ te darśanīyataraṃ vaktram // BhN_15.177 //	rati saMBoga Kinnam te darSanIyataram vaktram // Bhz _15.177 //
   ityeṣā sarvaviṣamā nāmato 'nuṣṭubucyate /	iti ezA sarva vizamAH nAmataH anuzwuB ucyate /
   tadvidāṃ matavaiṣamyaṃ trikādakṣaratastathā // BhN_15.178 //	tad vidAm mata vEzamyam trikAt akza rataH taTA // Bhz _15.178 //
   pāde ṣoḍaśamātrāstu gāthāṃśakavikalpitāḥ /	pAde zoxaSa mAtrAH tu gATA aMSaka vikalpitAH /
   caturbhiraṃśakairjñeyā vṛttajñairvānavāsikā // BhN_15.179 //	caturBiH aMSakEH jQeyA vRtta jQEH vAnavAsikAH // Bhz _15.179 //
   asaṃsthitapadā suvihvalāṅgī madaskhalitaceṣṭitairmanojñā /	asaMsTita padA su vihvala aFgI mada sKalita cezwitEH manojQAH /
   kva yāsyasi varoru suratakāle viṣamā kiṃ vānavāsikā tvam // BhN_15.180 //	kva yAsyasi vara Uru surata kAle vizamA kim vAnavAsikA tvam // Bhz _15.180 //
   sjau sgau ca prathame pāde tathā caiva tṛtīyake /	sjO sgO ca praTame pAde taTA ca eva tRtIyake /
   ketumatyāṃ gaṇāḥ proktāḥ bhrau ngau gaśca sadā budhaiḥ // BhN_15.181 //	ketumatyAm gaNAH proktAH BrO ngO gaH ca sadA buDEH // Bhz _15.181 //
   sphuritādharaṃ cakitanetraṃ raktakapolamambujadalākṣam /	sPurita aDaram cakita netram rakta kapolam ambuja dala akzam /
   kimidaṃ ruṣāpahṛtaśobhaṃ ketumatīsamaṃ vada mukhaṃ te // BhN_15.182 //	kim idam ruzA apahRta SoBam ketumatI samam vada muKam te // Bhz _15.182 //
   vaktrasyāparapūrvasya cādau nau ro lagau trikāḥ /	vaktrasya aparapUrvasya ca AdO nO raH lagO trikAH /
   najau rajau dvitīye ca śeṣāgraṃ punareva tu // BhN_15.183 //	najO rajO dvitIye ca Seza agram punar eva tu // Bhz _15.183 //
   prathame ca tṛtīye nau ralau gaśca prakīrtitaḥ /	praTame ca tRtIye nO ralO gaH ca prakIrtitaH /
   gaṇāścāparavaktre tu najau jrau dvicaturthayoḥ // BhN_15.184 //	gaNAH ca apara vaktre tu najO jrO dvi caturTayoH // Bhz _15.184 //
   sutanu jalaparītalocanaṃ jaladaniruddhamivendumaṇḍalam /	su tanu jala parIta locanam jalada nirudDam iva indu maNxalam /
   kimidamaparavaktrameva te śaśivadane 'dya mukhaṃ parāṅmukham // BhN_15.185	kim idam apara vaktram eva te SaSi vadane adya muKam parAFmuKam // Bhz _15.185
   nau yau tu prathame pāde njau jrau gaśca tathāpare /	nO yO tu praTame pAde njO jrO gaH ca taTA apare /
   yatra tatpuṣpitāgrā syādyadi śeṣaṃ tu pūrvavat // BhN_15.186 //	yatra tad puzpita agrA syAt yadi Sezam tu pUrvavat // Bhz _15.186 //
   pavanabalavidhūtacāruśākhaṃ pramuditakokilakaṇṭhanādaramyam /	pavana bala viDUta cAru SAKam pramudita kokila kaNWa nAda ramyam /
   madhukaraparigīyamānaśabdaṃ varatanu paśya vanaṃ supuṣpitāgram //	maDukara parigIyamAna Sabdam vara tanu paSya vanam su puzpita agram //
   BhN_15.187 //	Bhz _15.187 //
   sjau slau cādau yathā nsau jgau bhnau jlau gaśca tathā punaḥ /	sjO slO ca AdO yaTA nsO jgO BnO jlO gaH ca taTA punar /
   sjau sjau gaśca trikā hyete udgatāyāḥ prakīrtitāḥ // BhN_15.188 //	sjO sjO gaH ca trikAH hi ete udgatAyAH prakIrtitAH // Bhz _15.188 //
   tava romarājiratibhāti sutanu madanasya mañjarī /	tava romarAjiH atiBAti su tanu madanasya maQjarI /
   nābhikamalavivarotpatitā bhramarāvalīva kusumātsamudgatā // BhN_15.189 //	nABi kamala vivara utpatitA Bramara AvalI iva kusumAt samudgatAH // Bhz _15.189 //
   sjau slau ca tato nsau jgau nau sau ceti tṛtīyake /	sjO slO ca tatas nsO jgO nO sO ca iti tRtIyake /
   sjau sjau gaśca caturthe tu lalitāyā gaṇāḥ smṛtāḥ // BhN_15.190 //	sjO sjO gaH ca caturTe tu lalitAyAH gaNAH smRtAH // Bhz _15.190 //
   lalitākulabhramitacāru vasanakaracārupallavā /	lalita Akula Bramita cAru vasana kara cAru pallavAH /
   pravikasitakamalakāntimukhī pravibhāsi devī surataśramāturā // BhN_15.191	pravikasita kamala kAnti muKI praviBAsi devI surata Srama AturAH // Bhz _15.191
   evametāni vṛttāni samāni viṣamāṇi ca /	evam etAni vRttAni samAni vizamANi ca /
   nāṭakādyeṣu kāvyeṣu prayoktavyāni sūribhiḥ // BhN_15.192 //	nAwaka Adyezu kAvyezu prayoktavyAni sUriBiH // Bhz _15.192 //
   santyanyānyapi vṛttāni yānyuktānīha piṇḍaśaḥ /	santi anyAni api vRttAni yAni uktAni iha piNxaSas /
   na ca tāni prayojyāni na śobhāṃ janayanti hi // BhN_15.193 //	na ca tAni prayojyAni na SoBAm janayanti hi // Bhz _15.193 //
   yānyataḥ pratiṣiddhāni gītake tāni yojayet /	yAni atas pratizidDAni gItake tAni yojayet /
   dhruvāyoge tu vakṣyāmi teṣāṃ caiva vikalpanam // BhN_15.194 //	DruvA yoge tu vakzyAmi tezAm ca eva vikalpanam // Bhz _15.194 //
   vṛttalakṣaṇamevaṃ tu samāsena mayoditam /	vRtta lakzaNam evam tu samAsena mayA uditam /
   ata ūrdhvaṃ pravakṣyāmi hyāryāṇāmapi lakṣaṇam // BhN_15.195 //	atas UrDvam pravakzyAmi hi AryANAm api lakzaNam // Bhz _15.195 //
   pathyā ca vipulā caiva caṣalā mukhato 'parā /	paTyA ca vipulA ca eva cazalAH muKataH aparAH /
   jaghane capalā caiva āryāḥ pañca prakīrtitāḥ // BhN_15.196 //	jaGane capalA ca eva AryAH paQca prakIrtitAH // Bhz _15.196 //
   āsāṃ tu saṃpravakṣyāmi yatimātrāvikalpanam /	AsAm tu saMpravakzyAmi yati mAtra avikalpanam /
   lakṣaṇaṃ niyamaṃ caiva vikalpaguṇasaṃśrayam // BhN_15.197 //	lakzaNam niyamam ca eva vikalpa guNa saMSrayam // Bhz _15.197 //
   yatiśchedastu vijñeyaścaturmātro gaṇaḥ smṛtaḥ /	yatiH CedaH tu vijQeyaH catur mAtraH gaNaH smRtaH /
   dvitīyāntyau yujau pādāvayujau tvaparau smṛtau // BhN_15.198 //	dvitIya antyO yujO pAda a= ayujO tu aparO smRtO // Bhz _15.198 //
   gurumadhyavihīnastu caturgaṇasamanvitaḥ /	guru maDya vihInaH tu catur gaNa samanvitaH /
   ayuggaṇo vidhātavyo yuggaṇastu yathepsitaḥ // BhN_15.199 //	ayuggaNaH viDAtavyaH yuggaNaH tu yaTA IpsitaH // Bhz _15.199 //
   ṣaṣṭho vai dvivikalpastu naidhano hyekasaṃsthitaḥ /	zazWaH vE dvi vikalpaH tu nEDanaH hi eka saMsTitaH /
   paścādardhe tu ṣaṣṭhaḥ syādekamātrastu kevalaḥ // BhN_15.200 //	paScAt arDe tu zazWaH syAt eka mAtraH tu kevalaH // Bhz _15.200 //
   dvivikalpastu ṣaṣṭho yo gurumadhyo bhavettu saḥ /	dvi vikalpaH tu zazWaH yaH guru maDyaH Bavet tu saH /
   tathā sarvalaghuścaiva yatisaṃjñāsamāśritā // BhN_15.201 //	taTA sarvalaGuH ca eva yati saMjQA samASritAH // Bhz _15.201 //
   dvitīyādilaghurjñeyaḥ saptame pañcame yatiḥ /	dvitIya Adi laGuH jQeyaH saptame paQcame yatiH /
   prathamādirathāntye ca pañcame vā vidhīyate // BhN_15.202 //	praTama AdiH aTa antye ca paQcame vA viDIyate // Bhz _15.202 //
   gaṇeṣu triṣu pādasya yasyāḥ pathyā tu sā bhavet /	gaNezu trizu pAdasya yasyAH paTyA tu sA Bavet /
   ataśca vipulānyā tu vijñeyā yatilakṣaṇā // BhN_15.203 //	atas ca vipulA anyA tu vijQeyAH yati lakzaNAH // Bhz _15.203 //
   ayujaḥ sarvaguravo gurumadhyā gaṇā yujaḥ /	ayujaH sarva guravaH guru maDyAH gaNAH yujaH /
   yasyāḥ syuḥ pādayoge tu vijñeyā capalā hi sā // BhN_15.204 //	yasyAH syuH pAda yoge tu vijQeyA capalA hi sA // Bhz _15.204 //
   triṃśadādye tu vijñeyāḥ saptaviṃśatiścāpare /	triMSat Adye tu vijQeyAH saptaviMSatiH ca apare /
   ubhayorardhayorjñeyo mātrāpiṇḍo vibhāgaśaḥ // BhN_15.205 //	uBayoH arDayoH jQeyaH mAtrA piNxaH viBAgaSaH // Bhz _15.205 //
   triṃśattasyāśca yadi syuretāni dviguṇāni tu /	triMSat tasyAH ca yadi syuH etAni dviguNAni tu /
   trīṇyakṣarāṇi cānyāni nyasya saṃkhyāvibhāgaśaḥ // BhN_15.206 //	trINi akzarANi ca anyAni nyasya saMKyA viBAgaSaH // Bhz _15.206 //
   etāni laghusaṃjñāni nirdiṣṭāni samāsataḥ /	etAni laGu saMjQAni nirdizwAni samAsatas /
   sarveṣāṃ caivamāryāṇāmakṣarāṇāṃ yathākramam // BhN_15.207 //	sarvezAm ca evam AryANAm akzarANAm yaTAkramam // Bhz _15.207 //
   ardhāṣṭamagaṇārdhā ca savavāryā prakīrtitā /	arDa azwama gaNa arDA ca savavAryA prakIrtitA /
   ṣaṣṭhaśca dvivikalpastu naidhane hyekasaṃsthitaḥ // BhN_15.208 //	zazWaH ca dvi vikalpaH tu nEDane hi eka saMsTitaH // Bhz _15.208 //
   paścādvā yo gaṇaḥ ṣaṣṭha ekamātraḥ sa ucyate /	paScAt vA yaH gaNaH zazWaH eka mAtraH saH ucyate /
   dvivikalpastu yaḥ ṣaṣṭho gurumadhyo bhavettu saḥ // BhN_15.209 //	dvi vikalpaH tu yaH zazWaH guru maDyaH Bavet tu saH // Bhz _15.209 //
   yathā sarvalaghuścaiva yatiḥ saṃkhyāsamāśritā /	yaTA sarvalaGuH ca eva yatiH saMKyA samASritA /
   sā dvitīyā dvilaghukā saptame prathame yatiḥ // BhN_15.210 //	sA dvitIyA dvi laGukA saptame praTame yatiH // Bhz _15.210 //
   gurumadhyavihīnastu caturgaṇasamanvitaḥ /	guru maDya vihInaH tu catur gaNa samanvitaH /
   ayuggaṇo vidhātavyaḥ yuggaṇastu sa eva ca // BhN_15.211 //	ayuggaNaH viDAtavyaH yuggaNaH tu saH eva ca // Bhz _15.211 //
   prathamatṛtīyau pādau dvādaśamātrau bhavettu sā pathyā /	praTama tRtIyO pAdO dvAdaSa mAtrO Bavet tu sA paTyA /
   vipulānyā khalu gaditā pūrvoditalakṣaṇopetā // BhN_15.212 //	vipulA anyA Kalu gaditA pUrva udita lakzaNa upetAH // Bhz _15.212 //
   pathyā yathā:	paTyAH yaTA:
   raktamṛdupadmanetrā sitadīrghabahulamṛdukeśī /	rakta mRdu padma netrA sita dIrGa bahula mRdu keSI /
   kasya tu pṛthumṛdujaghanā tanubāhvaṃ sodarī pathyā // BhN_15.213 //	kasya tu pRTu mRdu jaGanA tanu bAhvam sodarI paTyAH // Bhz _15.213 //
   vipulā yathā:	vipulA yaTA:
   vipulajaghanavadanastananayanaistāmrādharoṣṭhakaracaraṇaiḥ /	vipula jaGana vadana stana nayanEH tAmra aDara uzWa kara caraNEH /
   āyatanāsāgaṇḍairlalāṭakarṇaiḥ śubhā kanyā // BhN_15.214 //	Ayata nAsA gaNxEH lalAwa karNEH SuBA kanyAH // Bhz _15.214 //
   dvitīyaśca caturthaśca gurumadhyagato bhavet /	dvitIyaH ca caturTaH ca guru maDya gataH Bavet /
   ubhayorardhayoryatra vijñeyā capalā yathā // BhN_15.215 //	uBayoH arDayoH yatra vijQeyA capalAH yaTA // Bhz _15.215 //
   udbhaṭagāminī paruṣabhāṣiṇī kāmacihnakṛtaveṣā /	udBawa gAminI paruza BAziNI kAma cihna kRta vezAH /
