   # atha dvitīyo 'dhyāyaḥ /.#	# aTa dvitIyaH aDyAyaH /.#
   api ceti.# /	api ca iti.# /
   naca hetvasiddhaḥ, jñānaṃ jñānamityekākārapratīterjñānaikyaniścayāt /	na ca hetu asidDaH, jQAnam jQAnam iti eka AkAra pratIteH jQAna Ekya niScayAt /
   naca sā jātiviṣayā, vyaktibhedāniścayādityāha # naviśeṣyasyeti.# /	na ca sA jAti vizayA, vyakti Beda aniScayAt iti Aha # na viSezyasya iti.# /
   ghaṭādeścaitanyādbhedamuktvā vṛttijñānādbhedamāha # tatheti.# /	Gawa AdeH cEtanyAt Bedam uktvA vRtti jQAnAt Bedam Aha # taTA iti.# /
   ghaṭo dvābhyāṃ bhinnaḥ ekatvāt, kṣīravadityarthaḥ /	GawaH dvAByAm BinnaH eka tva at, kzIra vat iti arTaH /
   jñānabhinnārthānaṅgīkāre svaśāstravyavahāralopaṃ bādhakamāha # api ceti.#	jQAna Binna arTa anaFgIkAre sva SAstra vyavahAra lopam bADakam Aha # api ca iti.#
   kramikayoḥ svaprakāśayoḥ kṣaṇikajñānayormitho	kramikayoH sva prakASayoH kzaNika jQAnayoH miTas 
   grāhyagrāhakatvamayuktamanabhyupagataṃ ca /	grAhya grAhaka tvam ayuktam anaByupagatam ca /
   tathā ca tayorbhedapratijñā na yuktā, dharmipratiyoginormithaḥ pareṇa	taTA ca tayoH Beda pratijQA na yuktA, Darmi pratiyoginoH miTas pareNa
   cāgraheṇa bhedagrahāyogāt /	ca agraheNa Beda graha ayogAt /
   tathāca tayorbhedagrāhakaḥ sthāyyātmā tadbhinna evaiṣṭavyaḥ /	taTA ca tayoH Beda grAhakaH sTAyI AtmA tad BinnaH eva ezwavyaH /
   evaṃ pakṣasādhyahetudṛṣṭāntabhedābhāve idaṃ kṣaṇikamasaditi pratijñā na	evam pakza sADya hetu dRzwAnta Beda aBAve idam kzaNikam asat iti pratijQA na
   yuktā /	yuktAH /
   sarvato vyāvṛttaṃ vyaktimātratvaṃ svalakṣaṇam, anekānugataṃ	sarvatas vyAvRttam vyakti mAtra tvam sva lakzaNam, aneka anugatam
   sāmānyamatadvyāvṛttirūpamiti pratijñā na yuktā, sarvānekārthānāṃ	sAmAnyam atad vyAvRtti rUpam iti pratijQA na yuktA, sarvAn eka arTAnAm
   jñānamātratve mithaḥ pareṇavā durjñānatvāt uttaranīlajñānaṃ vāsyaṃ	jQAna mAtra tve miTas pareNavA durjQAna tvAt uttara nIla jQAnam vAsyam
   pūrvanīlajñānaṃ vāsakamiti pratijñā na yuktā, tayorbhinnasya jñāturabhāvāt	pUrva nIla jQAnam vAsakam iti pratijQA na yuktA, tayoH Binnasya jQAtuH aBAvAt 
   kicāvidyopaplavo 'vidyāsaṃsargaḥ, tena nīlamiti saddharmaḥ,	kica avidyA upaplavaH avidyA saMsargaH, tena nIlam iti sadDarmaH,
   naraviṣāṇamityasaddharmaḥ, amūrtamiti sadasaddharmaḥ, sato vijñānasyāsato	nara vizANam iti asat DarmaH, amUrtam iti sat asat DarmaH, sataH vijQAnasya asataH 
   naraviṣāṇasya vāmūrtatvādipratijñā durlabhā, anekārthajñānasādhyatvāt /	nara vizANasya vA amUrta tva Adi pratijQA durlaBA, aneka arTa jQAna sADya tvAt /
   ajñānenāsya bandho jñānenāsya mokṣa iti ca pratijñā bahvarthajñānasādhyā /	ajQAnena asya banDaH jQAnena asya mokzaH iti ca pratijQA bahu arTa jQAna sADyAH /
   ādipadena sāmānyata iṣṭaṃ grāhyamaniṣṭaṃ tyājyamiti śiṣyahitepadeśo	Adipadena sAmAnyatas izwam grAhyam anizwam tyAjyam iti Sizya hita IpadeSaH 
   'nekajñānasādhyo gṛhītaḥ /	aneka jQAna sADyaH gRhItaH /
   tasmāt pratijñādivyavahārāya grāhyagrāhakabhedo 'ṅgīkārya ityarthaḥ /	tasmAt pratijQa Adi vya vahArAya grAhya grAhaka BedaH aFgI kAryaH iti arTaH /
   jñānārthayobhede yuktayantaramastītyāha # kiñcānyaditi.# /	jQAna arTayoBede yuktayantaram asti iti Aha # kiQcAnyat iti.# /
   jñānavadarthasyāpyanubhavāviśeṣātsvīkāro yukta ityarthaḥ /	jQAna vat arTasya api anuBavA viSezAt svIkAraH yuktaH iti arTaH /
   svaviṣayatvādvijñānaṃ svīkriyate nārthaḥ paragrāhyatvāditi śaṅkate # atha	sva vizaya tvAt vijQAnam svIkriyate na arTaH para grAhya tvAt iti SaFkate # aTa
   vijñānamiti.# /	vijQAnam iti.# /
   viruddhaṃ svīkṛtyāviruddhaṃ tyajatā bauddhatanayena mauḍhyaṃ	virudDam svIkRtya avirudDam tyajatA bOdDa tanayena mOXyam
   darśitamityāha # atyanteti.# /	darSitam iti Aha # atyanta iti.# /
   jñānaṃ svavedyamityaṅgīkṛtya maurkhyamāpāditaṃ, vastutaḥ	jQAnam sva vedyam iti aFgIkRtya mOrKyam ApAditaM, vastutas 
   svavedyatvamayuktamityāha # naceti.# /	sva vedya tvam ayuktam iti Aha # na ca iti.# /
   kartari kriyāṃ prati guṇabhūte	kartari kriyAm prati guNa BUte
   pradhānatvākhyakarmatvāyogātsvakartṛkavedanakarmatvamasadityarthaḥ /	praDAna tva AKya karma tva ayogAt sva kartRka vedana karma tvam asat iti arTaH /
   naca svaviṣayatvamātraṃ svavedyatvamiti vācyam, abhede	na ca sva vizaya tva mAtram sva vedya tvam iti vAcyam, aBede
   viṣayaviṣayitvasyāpyasaṃbhavāditi bhāvaḥ /	vizaya vizayi tvasya api asaMBavAt iti BAvaH /
   jñānasya svavedyatvābhāve doṣadvayaṃ syāditi śaṅkate # nanviti.# /	jQAnasya sva vedya tva aBAve doza dvayam syAt iti SaFkate # nanu iti.# /
   anavasthā ca sāmyaṃ ceti doṣadvayaṃ pariharati # tadubhayamapīti.# /	anavasTA ca sAmyam ca iti doza dvayam pariharati # tat uBayam api iti.# /
   anityajñānasya janmādimatvena ghaṭavajjaḍasya svena	anitya jQAnasya janma Adima tvena Gawa vat jaxasya svena
   svīyajanmādigrahāyogādasti grāhakākāṅkṣā, sākṣiṇastu sattāyāṃ sphūrtau ca	svIya janma Adi graha ayogAt asti grAhaka AkAFkzA, sAkziNaH tu sattAyAm sPUrtO ca
   nirapekṣatvānnānavasthā /	nirapekza tvAt na anavasTA /
   nāpi sāmyam /	na api sAmyam /
   cijjaḍatvavaiṣamyādityarthaḥ /	cit jaxa tva vEzamyAt iti arTaH /
   sākṣī kvetyata āha # svayaṃsiddhasyeti.# /	sAkzI kva iti atas Aha # svayaMsidDasya iti.# /
   nirapekṣasya sākṣiṇo 'sattve kṣaṇikavijñānabhedāsiddheḥ so 'ṅgīkārya	nirapekzasya sAkziNaH asattve kzaNika vijQAna Beda asidDeH saH aFgIkArya
   ityarthaḥ /	iti arTaH /
   anityajñānasvarūpasādhakatvācca sākṣī svīkārya ityāha # kiñceti.# /	anitya jQAna svarUpa sADaka tvAt ca sAkzI svIkAryaH iti Aha # kiQca iti.# /
   vijñānaṃ jñānāntarāpekṣamiti bruvatā tasyāprāmāṇikatvamuktaṃ syāt, svayaṃ	vijQAnam jQAna antara apekzam iti bruvatA tasya aprAmANika tvam uktam syAt, svayam
   prathata iti bruvatā jñātṛśūnyatvaṃ coktā syāt, tathāca	praTate iti bruvatA jQAtR SUnya tvam ca uktA syAt, taTA ca
   jñātṛjñānāviṣayatvācchilāsthapradīpavadasadeva vijñānaṃ syāt /	jQAtR jQAna avizaya tvAt SilA sTa pradIpa vat asat eva vijQAnam syAt /
   atastatsākṣyeṣṭavya ityarthaḥ /	atas tat sAkzya izwavyaH iti arTaH /
   vijñānasya svānyajñātṛśūnyatvamiṣṭameva tvayāpādyate na cāsattvāpattiḥ	vijQAnasya sva anyajQAtR SUnya tvam izwam eva tvayA ApAdyate na ca asattva ApattiH
   jñātrabhāvāditi vācyaṃ, svasyaiva jñātṛtvāditi śākyaḥ śaṅkate #	jQAtra BAvAt iti vAcyaM, svasya eva jQAtR tvAt iti SAkyaH SaFkate #
   bāḍhamiti.# /	bAXam iti.# /
   abhede jñātṛjñeyatvāyogājjñātrantaramāvaśyakamiti pariharati # neti.# /	aBede jQAtR jQeya tva ayogAt jQAtrantaram AvaSyakam iti pariharati # na iti.# /
   vimataṃ vijñānaṃ svātiriktavedyaṃ, vedyatvāt, dehavadityarthaḥ /	vimatam vijQAnam sva atirikta vedyan, vedya tva at, deha vat iti arTaH /
   atiriktaḥ sākṣī kimanyavedyaḥ svavedyo vā /	atiriktaH sAkzI kim anya vedyaH sva vedyaH vA /
   ādye 'navasthā /	Adye anavasTA /
   dvitīye vijñānavāda eva bhaṅgyantareṇoktaḥ syāditiśaṅkate # sākṣiṇa iti.#	dvitIye vijQAna vAdaH eva BaFgi antareNa uktaH syAt itiSaFkate # sAkziNaH iti.#
   tvayā vijñānaṃ janmavināśayuktamucyate /	tvayA vijQAnam janma vinASa yuktam ucyate /
   ataḥ kāryasya jaḍatvaniyamātsvātiriktavedyatvamasmābhiḥ sādhitaṃ,	atas kAryasya jaxa tva niyamAt svAtirikta vedya tvam asmABiH sADitaM,
   kūṭasthacidātmano grāhakānapekṣatvānnānavastheti coktamato	kUwasTa cit AtmanaH grAhaka an apekza tvAt na anavasTA iti ca uktam atas 
   mahadvailakṣaṇyamāvayoreti pariharati # na.# /	mahat vElakzaNyam AvayoH eti pariharati # na.# /
   # vijñānasyeti.# //28//	# vijQAnasya iti.# //28//
   END BsRp_2,2.5.28	END BsRp _2,2.5.28
   START BsRp_2,2.5.29ḥ	START BsRp _2,2.5.29H
   vaidharmyāc ca na svapnādivat | BBs_2,2.29 |	vEDarmyAt ca na svapna Adi vat | BBH _2,2.29 |
   evaṃ vedyavijñānavadarthasyāpyupalabdherna bāhyārthābhāva ityuktam /	evam vedya vijQAna vat arTasya api upalabDeH na bAhya arTa aBAvaH iti uktam /
   saṃprati jāgradvijñānaṃ svapnādivijñānavanna bāhyālambanamityanumānaṃ	saMprati jAgrat vijQAnam svapna Adi vijQAna vat na bAhya Alambanam iti anumAnam
   dūṣayati # vaidharmyācceti.# /	dUzayati # vEDarmyAt ca iti.# /
   kimatra nirviṣayatvaṃ sādhyamuta pāramārthikaviṣayaśūnyatvam, athavā	kim atra nirvizaya tvam sADyam uta pAramArTika vizaya SUnya tvam, aTavA
   vyāvahārikaviṣayaśūnyatvam /	vyAvahArika vizaya SUnya tvam /
   nādyaḥ, svapnādivibhramāṇāmapi mithyārthālambanatvena dṛṣṭānte	na AdyaH, svapna Adi viBramANAm api miTyA arTa Alambana tvena dRzwAnte
   sādhyavaikalyāt /	sADya vEkalyAt /
   na dvitīyaḥ, siddhasādhanāditi sūtrasthacakārārthaḥ /	na dvitIyaH, sidDa sADanAt iti sUtra sTa cakAra arTaH /
   tṛtīye tu vyavahāradaśāyāṃ bādhitārthagrāhitvamupādhirityāha # bādhyate	tRtIye tu vyavahAra daSAyAm bADita arTa grAhi tvam upADiH iti Aha # bADyate
   hītyādinā.# /	hi ityAdinA.# /
   # nidrāglānamiti.# /	# nidrA glAnam iti.# /
   karaṇadoṣoktiḥ /	karaNa doza uktiH /
   sādhanavyāpakatvanirāsāyāha # nacaivamiti.# /	sADana vyApaka tva nirAsAya aha # naca evam iti.# /
   kiñca pramāṇajānubhava upalabdhiḥ pakṣo 'pramāṇajaṃ svapnajñānaṃ dṛṣṭānta	kiQca pramANa jAnu BavaH upalabDiH pakzaH apramANa jam svapna jQAnam dRzwAnta
   iti vaidharmyāntaram /	iti vEDarmya antaram /
   paramatena svapnasya smṛtitvamaṅgīkṛtyāha # api ceti.# /	para matena svapnasya smRti tvam aFgIkRtya Aha # api ca iti.# /
   smṛtipratyakṣopalabdhyorvaidharmyāntaramāha # arthaviprayoreti.# /	smRti pratyakza upalabDyoH vEDarmya antaram Aha # arTa viprayora iti.# /
   asaṃbandhaścāvartamānaśca smṛterartho viṣaya iti nirālambanatvamapyasyāḥ	asaMbanDaH ca AvartamAnaH ca smRteH arTaH vizayaH iti nirAlambana tvam api asyAH
   kadācidbhavet, na saṃprayuktavaryamānārtamātragrāhiṇyā upalabdheriti	kadAcid Bavet, na saMprayukta varyamAna Arta mAtra grAhiNyAH upalabDeH iti
   bhāvaḥ /	BAvaH /
   pūrvoktapramāṇāpramāṇajatvavaidharmyoktiphalamāha # tatraivaṃsatīti.# /	pUrva ukta pramANa apramANa ja tva vEDarmya ukti Palam Aha # tatra evaMsati iti.# /
   vaidharmye satītyarthaḥ /	vEDarmye sati iti arTaH /
   apramāṇajatvopādhernirālambanatvānumānaṃ na yuktamiti bhāvaḥ /	apramANa jatvA upADeH nirAlamba natva anumAnam na yuktam iti BAvaH /
   vaidharmyāsiddhiṃ nirasyati # naceti.# /	vEDarmya asidDim nirasyati # naca iti.# /
   bādhamapyāha # apiceti.# /	bADam api Aha # apicA iti.# /
   vastuto ghaṭādyanubhavasya nirālambanatvaṃ dharmo di syāttadā kiṃ	vastutas Gawa Adi anuBavasya nirAlambana tvam DarmaH di syAt tadA kim
   dṛṣṭāntāgraheṇa, pratyakṣato 'pi vaktuṃ śakyatvāt /	dRzwAnta agra heNa, pratyakzataH api vaktum Sakya tvAt /
   nahi vahnerauṣṇyaṃ dṛṣṭāntena vaktavyam /	na hi vahneH OzNyam dRzwAntena vaktavyam /
   yadi na vastuto dharmo 'sti tadā kiṃ dṛṣṭāntena, bādhitasya	yadi na vastutas DarmaH asti tadA kim dRzwAntena, bADitasya
   dṛṣṭāntasahasreṇāpi duḥsādhyatvāt /	dRzwAnta sahasreNa api duHsADya tvAt /
   ataḥ svato nirālambanatvoktau sālambanatvānubhavabādhabhiyā	atas svatas nirAlambanatva uktO sa Alambanatva anuBava bADa BiyA
   tvayānumātumārabdhaṃ tathāpi bādho na muñcatītyarthaḥ /	tvayA anumAtum ArabDam taTA api bADaH na muQcati iti arTaH /
   uktopādhirapi na vismartavya ityāha # darśitaṃ tviti.# //29//	ukta upADiH api na vismartavyaH iti Aha # darSitam tu iti.# //29//
   END BsRp_2,2.5.29	END BsRp _2,2.5.29
   START BsRp_2,2.5.30ḥ	START BsRp _2,2.5.30H
   na bhāvo 'nupalabdheḥ | BBs_2,2.30 |	na BAvaH anupalabDeH | BBH _2,2.30 |
   sūtravyāvartyaṃ smārayitvā dūṣayati # yadapyuktamityādinā.# /	sUtra vyAvartyam smArayitvA dUzayati # yat api uktam ityAdinA a.# /
   bhāva utpattiḥ sattā vā /	BAvaH utpattiH sattA vA /
   nanu bāhyārthānupalabdhāvapi	nanu bAhya arTAnupalabDO= api
   pūrvapūrvavāsanābalāduttarottaravijñānavaicitryamastu	pUrva pUrva vAsanA balAt uttara uttara vijQAna vEcitryam astu
   bījāṅkuravadanāditvādityata āha # anāditve 'pīti.# /	bIja aFkura vat anAdi tvAt ityatas Aha # anAdi tve api iti.# /
   bījādaṅkuro dṛṣṭa ityadṛṣṭe 'pi tajjātīyayoḥ kāryakāraṇabhāvakalpanā	bIjAt aFkuraH dRzwaH iti adRzwe api tad jAtIyayoH kArya kAraNa BAva kalpanA
   yuktā, iha tvarthānubhavanirapekṣavāsanotpatterādāveva	yuktA, iha tu arTa anuBava nirapekza vAsanA utpatteH AdO= eva
   kalpyatvādanāditvakalpanā nirmūleti nābhipretadhīvaicitryasiddhirityarthaḥ	kalpya tvAt anAdi tva kalpanA nirmUlA iti nABi preta DI vEcitrya sidDiH iti arTaH
   nanu nirapekṣavāsanānāṃ sattve dhīvaicitryamasattve tu neti svapne	nanu nirapekza vAsanAnAm sattve DI vEcitryam asattve tu na iti svapne
   dṛṣṭamiti samūlānavasthetyata āha # yāviti.# /	dRzwam iti sa mUla anavasTA iti atas Aha # yO= iti.# /
   vāsanānāṃ bāhyārthānubhavakāryatve sati	vAsanAnAm bAhya arTa anuBava kArya tve sati
   nairapekṣyāsiddhernānvayādidṛṣṭirityarthaḥ /	nErapekzya asidDeH na anvayA Adi dRzwiH iti arTaH /
   kāryatvagrāhakaṃ vyatirekamāha # vineti.# /	kAryatva grAhakam vyatirekam Aha # vinA iti.# /
   arthānubhavakāryāṇāṃ vāsanānāṃ tadanapekṣatvāyogānna	arTa anuBava kAryANAm vAsanAnAm tad anapekza tva ayogAt na
   tvaduktānvayādidṛṣṭirityuktam /	tvad ukta anvaya Adi dRzwiH iti uktam /
   abhinavārthopalabdhivaicitryasya vāsanāṃ vināpi bhāvena	aBinava arTa upalabDi vEcitryasya vAsanAm vinA api BAvena
   vyatirekavyabhicārācca na kvāpi vāsanāmātrakṛtaṃ dhīvaicitryaṃ	vyatireka vyaBicArAt ca na kvApi vAsanA mAtra kRtam DI vEcitryam
   kintvarthānubhave sati vāsanāsati netyanvayavyatirekābhyāṃ	kintu arTa anuBave sati vAsanA asati na iti anvaya vyatirekAByAm
   vāsanāmūlānubhavāvacchedakārthakṛtameveti bāhyārthasadbhāvasiddhirityāha #	vAsanA mUla anuBava avacCedaka arTa kRtam eva iti bAhya arTa sadBAva sidDiH iti Aha #
   apiceti.# /	apicA iti.# /
   yaḥ saṃskāraḥ sa sāśrayo loke dṛṣṭaḥ yathā vegādiriṣvādyāśrayaḥ, ato	yaH saMskAraH sa sa ASrayaH loke dRzwaH yaTA vega AdiH izu Adya ASrayaH, atas 
   vijñānasaṃskārāṇāṃ na bhāva āśrayānupalabdherityarthāntaramāha # apiceti.#	vijQAna saMskArANAm na BAvaH ASraya anupalabDeH iti arTa antaram Aha # apiceti.#
   END BsRp_2,2.5.30	END BsRp _2,2.5.30
   START BsRp_2,2.5.31ḥ	START BsRp _2,2.5.31H
   kṣaṇikatvāc ca | BBs_2,2.31 |	kzaNika tvAt ca | BBH _2,2.31 |
   astvālayavijñānamāśraya ityata āha # kṣaṇikatvācceti.# /	astu Alaya vijQAnam ASrayaH iti atas Aha # kzaNika tvAt ca iti.# /
   sūtraṃ vyācaṣṭe # yadapīti.# /	sUtram vyAcazwe # yat api iti.# /
   sahotpannayoḥ savyetaraviṣāṇavadāśrayāśrayibhāvāyogāt, paurvāparye	saha utpannayoH savya itara vizANa vat ASraya ASrayi BAva ayogAt, pOrvAparye
   cādheyakṣaṇe 'sata ādhāratvāyogāt, sattve	ca aDeya kzaNe asataH ADAra tva ayogAt, sattve
   kṣaṇikatvavyāghātānnādhāratvamālayavijñānasya	kzaNika tva vyAGAta anna ADAra tvam Alaya vijQAnasya
   kṣaṇikatvānnīlādivijñānavadityarthaḥ /	kzaNika tvAt nIla Adi vijQAna vat iti arTaH /
   astu tarhyālayavijñānasaṃtānāśrayā vāsanetyata āha # nahīti.# /	astu tarhi Alaya vijQAna saMtAna ASrayAH vAsanA iti atas Aha # nahi iti.# /
   savikāraḥ kūṭastho vā sthāyyātmā yadi nāsti tadā	sa vikAraH kUwasTaH vA sTAyI AtmA yadi na asti tadA
   saṃtānasyāvastutvāddeśādyapekṣayā yadvāsanānāmādhānaṃ nikṣepo ye ca	saMtAnasya avastu tvAt deSa Adi apekzayA yat vAsanAnAm ADAnam nikzepaH ye ca
   smṛtipratyabhijñe yaśca tanmūlo vyavahāraḥ, tatsarvaṃ na	smRti pratyaBijQe yaH ca tad mUlaH vyavahAraH, tat sarvam na
   saṃbhavatītyarthaḥ /	saMBavati iti arTaH /
   yadi vyavahārārthamātmasthāyitvaṃ tadāpasiddhānta ityāha # sthireti.# /	yadi vyavahAra arTam Atma sTAyi tvam tadA apasidDAntaH iti Aha # sTirA iti.# /
   sūtramatideśārthatvenāpi vyācaṣṭe # apiceti.# /	sUtram atideSa arTa tvena api vyAcazwe # apicA iti.# /
   matadvayanirāsamupasaṃharati # evamiti.# /	mata dvaya nirAsam upasaMharati # evam iti.# /
   jñānajñeyātmakasya sarvasya sattvāsattvābhyāṃ	jQAna jQeya Atmakasya sarvasya sattva asattvAByAm
   vicārāsahatvācchūnyatāvaśiṣyata iti mādhyamikapakṣasyāpi	vicAra asaha tvAt SUnyatA avaSizyate iti mADyamika pakzasya api
   mānamūlatvamāśaṅkaya sūtrakāraḥ kimiti na nirācakāretyata āha # śūnyeti.#	mAna mUla tvam ASaFkaya sUtrakAraH kim iti na nirAcakAra iti atas Aha # SUnya iti.#
   ādaraḥ pṛthaksūtrārambho na kriyate /	AdaraH pRTak sUtra AramBaH na kriyate /
   etānyeva tanmatanirāsārthatvenāpi yojyanta ityarthaḥ /	etAni eva tad mata nirAsa arTa tvena api yojyante iti arTaH /
   tathāhi jñānārthayornābhāvaḥ, pramāṇata upalabdheḥ /	taTA ahi  jQAna arTayoH na aBAvaH, pramANataH upalabDeH /
   nanu jāgratsvapnau jñānārthaśūnyau, avasthātvāt, suṣuptivadityata	nanu jAgrat svapnO jQAna arTa SUnyO, avasTAtvA at, suzupti vat iti ata
   āha 'vaidharmyācca na svapnādivat' /	Aha  avEDarmyAt ca na svapna Adivat a /
   svapna ādiryasyāḥ suṣuptestadannetarāvasthayoḥ śūnyatvam,	svapne AdiH yasyAH suzupteH tat anna itara avasTayoH SUnya tvam,
   upalabdhyanupalabdhivaidharmyalakṣaṇābādhitajñānārthopalabdhibādhāt /	upalabDi anupalabDi vEDarmya lakzaNa AbADita jQAna arTa upalabDi bADAt /
   suṣuptāvapyātmajñānasattvena sādhyavaikalyācca nānumānamityarthaḥ /	suzuptO= api Atma jQAna sattvena sADya vEkalyAt ca na anumAnam iti arTaH /
   kiñca niradhiṣṭhānaniṣedhāyogādadhiṣṭhānameva tattvaṃ vācyaṃ, tasya tvante	kiQca niraDizWAna nizeDA yogAt aDizWAnam eva tattvam vAcyaM, tasya tu ante
   na bhāvaḥ /	na BAvaH /
   mānato 'nupalabdherityāha 'na bhāvo 'nupalabdheḥ' /	mAnataH anupalabDeH iti Aha  ana BAvaH anupalabDeH a /
   tadarthamāha # na hyayamiti.# /	tad arTam Aha # na hi ayam iti.# /
   yadbhāti tannāsadityutsargataḥ prapañcasya na śūnyatvam /	yat BAti tat na asat iti utsargataH prapaQcasya na SUnya tvam /
   bādhābhāvādityarthaḥ /	bADA aBAvAt iti arTaH /
   naca sattvāsattvābhyāṃ vicārāsahatvācchūnyatvam /	na ca sattva asattvAByAm vicAra asaha tvAt SUnya tvam /
   mithyātvasaṃbhavāditi bhāvaḥ /	miTyAtva saMBavAt iti BAvaH /
   'kṣaṇikatvācca'iti sūtraṃ 'kṣaṇikatvopadeśācca'iti paṭhanīyam /	akzaNika tvAt ca aiti sUtram akzaNika tva upadeSAt ca aiti paWanIyam /
   śūnyatvaviruddhakṣaṇikatvopadeśādasaṃgatapralāpī sugata ityarthaḥ //31//	SUnya tva virudDa kzaNika tva upadeSAt asaMgata pralApI sugataH iti arTaH //31//
   END BsRp_2,2.5.31	END BsRp _2,2.5.31
   START BsRp_2,2.5.32ḥ	START BsRp _2,2.5.32H
   sarvathānupapatteś ca | BBs_2,2.32 |	sarvaTA anupapatteH ca | BBH _2,2.32 |
   sugatamatāsāṃgatyamupasaṃharati # sarvatheti.# /	sugata matAsAMgatyam upasaMharati # sarvaTA iti.# /
   sarvajñasya kathaṃ viruddhapralāpaḥ, tatrāha # pradveṣo veti.# /	sarvajQasya kaTam virudDa pralApaH, tatra Aha # pradvezaH vA iti.# /
   vedabāhyā atra prajā grāhyāḥ /	veda bAhyAH atra prajAH grAhyAH /
   ato bhrāntyekamūlasugatasiddhāntena vedāntasiddhāntasya na virodha iti	atas BrAntI eka mUla su gata sidDAntena vedAnta sidDAntasya na viroDaH iti
   siddham //32//	sidDam //32//
   END BsRp_2,2.5.32	END BsRp _2,2.5.32
   START BsRp_2,2.6.33ḥ	START BsRp _2,2.6.33H
   naikasminn asaṃbhavāt | BBs_2,2.33 |	na ekasmin asaMBavAt | BBH _2,2.33 |
   # naikasminnasaṃbhavāt.# /	# na ekasmin= asaMBavAt.# /
   muktakacchamate niraste muktāmbarāṇāṃ mataṃ buddhisthaṃ bhavati	mukta kacCamate niraste mukta ambarANAm matam budDi sTam Bavati
   tannirasyata iti prasaṅgasaṅgatimāha # nirasta iti.# /	tat nirasyate iti prasaFga saFgatim Aha # nirastaH iti.# /
   ekarūpaṃ brahmeti vaidikasiddhāntasyānaikāntavādena virodho 'sti na veti	eka rUpam brahma iti vEdika sidDAntasya anEkAnta vAdena viroDaH asti na vA iti
   tadvādasya mānabhrāntimūlatvābhyāṃ saṃdehe mānamūlatvādvirodha iti	tad vAdasya mAna BrAnti mUla tvAByAm saMdehe mAna mUla tvAt viroDaH iti
   pūrvapakṣaphalamabhisaṃdhāyatanmatamupanyasyati # sapta ceti.# /	pUrva pakza Palam aBisaMDAyatat matam upanyasyati # sapta ca iti.# /
   jīvājīvau bhoktṛbhogyau, viṣayābhimukhyenendriyāṇāṃ pravṛttirāśravaḥ, tāṃ	jIvAjIvO BoktR BogyO, vizaya aBimuKyena indriyANAm pravRttiH ASravaH, tAm
   saṃvṛṇoti iti saṃvaro yamaniyamādiḥ, nirjarayati nāśayati kalmaṣamiti	saMvRNoti iti saMvaraH yama niyama AdiH, nirjarayati nASayati kalmazam iti
   nirjarastaptaśilārohaṇādiḥ, bandhaḥ karma, mokṣaḥ karmapāśanāśe	nirjaraH tapta SilA ArohaNa AdiH, banDaH karma, mokzaH karma pASa nASe
   satyalokākāśapraviṣṭasya satatordhvagamanam /	satya loka AkASa pravizwasya satata UrDva gamanam /
   nanvāstravādīnāṃ bhogyāntarbhāvātkathaṃ saptatvamityata āha #	nanu Astra vAdInAm Bogya antar BAvAt kaTam sapta tvam iti atas Aha #
   saṃkṣepatastviti.# /	saMkzepataH tu iti.# /
   saṃkṣepavistarābhyāmuktārtheṣu madhyamarītyā vistarāntaramāha # tayoriti.#	saMkzepa vistara aByAm ukta arTezu maDyamarItyAH vistara antaram Aha # tayoH iti.#
   astikāyaśabdaḥ sāṃketikaḥ padārthavācī /	astikAya SabdaH sAMketikaH padArTa vAcI /
   jīvaścāsāvastikāyaścetyevaṃ vigrahaḥ /	jIvaH ca asO= astikAyaH ca iti evam vigrahaH /
   pūryante glantīti pudgalāḥ paramāṇusaṃghāḥ kāyāḥ, samyakpravṛttyanumeyo	pUryante glanti iti pudgalAH paramANu saMGAH kAyAH, samyak pravRtti anumeyaH 
   dharmaḥ, ūrdhvagamanaśīlasya jīvasya dehe sthitiheturadharmaḥ,	DarmaH, UrDva gamana SIlasya jIvasya dehe sTiti hetuH aDarmaH,
   āvaraṇābhāva ākāśa ityarthaḥ /	AvaraNa aBAvaH AkASaH iti arTaH /
   pañcapadārthānāmavāntarabhedamāha # sarveṣāmiti.# /	paQca padArTAnAm avAntara Bedam Aha # sarvezAm iti.# /
   ayamarthaḥ jīvāstikāyastrividhaḥ kaścijjīvo nityasiddhor'hanmukhyaḥ,	ayam arTaH jIva astikAyaH triviDaH kaScid jIvaH nitya sidDoH ahan muKyaH,
   kecitsāṃpratikamuktāḥ, kecidbaddhā iti /	kecid sAMpratika muktAH, kecid badDAH iti /
   pudgalāstikāyaḥ ṣoḍhā pṛthivyādīni catvāri bhūtāni, sthāvaraṃ jaṅgamaṃ	pudgala astikAyaH zoXA  pRTivI AdIni catvAri BUtAni, sTAvaram jaFgamam
   ceti /	ca iti /
   pravṛttisthitiliṅgau dharmādharmāvuktau /	pravRtti sTiti liFgO Darma aDarmO= uktO /
   ākāśāstikāyo dvividhaḥ lokākāśaḥ sāṃsārikaḥ, alokākāśo muktāśraya iti /	AkASa astikAyaH dviviDaH loka AkASaH sAMsArikaH, aloka AkASaH mukta ASrayaH iti /
   bandhākhyaṃ karmāṣṭavidham catvāri ghātikarmāṇi catvāryaghātīni /	banDa AKyam karma azwaviDam  catvAri GAti karmANi catvAri aGAtIni /
