   (PSP_2 3:1)	(PSu _2 3:1)
   prajñāpāramitām udgṛhṇato dhārayato vācayataḥ paryavāpnuvato yoniśaś ca	prajQApAramitAm udgRhNataH DArayataH vAcayataH paryavApnuvataH yoniSas ca
   manasikurvataś cittaṃ nāvalīyate na saṃlīyate nottrasyati na saṃtrasyati	manasikurvataH cittam na avalIyate na saMlIyate na uttrasyati na saMtrasyati
   na saṃtrāsam āpadyate.	na saMtrAsam Apadyate.
   tat kasya hetos? tathā hi sa kulaputro vā kuladuhitā vā vastu na	tat kasya hetos? taTA hi sa kula putraH vA kula duhitA vA vastu na
   samanupaśyati ya ālīyeta vā saṃlīyeta vā uttrasyed vā saṃtrasyed vā	samanupaSyati yaH AlIyeta vA saMlIyeta vE uttrasyet vA saMtrasyet vA
   saṃtrāsam āpadyate vā. imān api sa kauśika kulaputro vā kuladuhitā vā	saMtrAsam Apadyate vA. imAn api sa kOSika kula putraH vA kula duhitA vA
   dṛṣṭadhārmikān guṇān pratigrahīṣyati ya imāṃ prajñāpāramitām udgrahīṣyati	dRzwa DArmikAn guNAn pratigrahIzyati yaH imAm prajQApAramitAm udgrahIzyati
   dhārayiṣyati vācayiṣyati paryavāpsyati yoniśaś ca manasikariṣyati	DArayizyati vAcayizyati paryavApsyati yoniSas ca manasikarizyati
   satkariṣyati mānayiṣyati pūjayiṣyati	satkarizyati mAnayizyati pUjayizyati
   puṣpadhūpagandhamālyavilepanacūrṇacīvaracchatradhvajapatākābhiḥ iti	puzpa DUpa ganDa mAlya vilepana cUrNa cIvara= Catra Dvaja patAkABiH iti
   svaparārthādhimuktimadhyamadhyā	sva para arTa aDimukti maDya maDyA
   punar aparaṃ kauśika yo hi kaścit kulaputro vā kuladuhitā vā imāṃ	punar aparam kOSika yaH hi kaScid kula putraH vA kula duhitA vA imAm
   prajñāpāramitām udgrahīṣyati dhārayiṣyati vācayiṣyati paryavāpsyati	prajQApAramitAm udgrahIzyati DArayizyati vAcayizyati paryavApsyati
   yoniśaś ca manasikariṣyati tāṃ ca likhitvā satkariṣyati gurukariṣyati	yoniSas ca manasikarizyati tAm ca liKitvA satkarizyati gurukarizyati
   mānayiṣyati pūjayiṣyati	mAnayizyati pUjayizyati
   puṣpadhūpagandhamālyavilepanacūrṇacīvaracchatradhvajapatākābhiḥ sa priyo	puzpa DUpa ganDa mAlya vilepana cUrNa cIvara= Catra Dvaja patAkABiH sa priyaH 
   bhaviṣyati mātāpitṛṇāṃ mitrāmātyajñātisālohitānāṃ śramaṇabrāhmaṇānāṃ, ye	Bavizyati mAtA pitRNAm mitra amAtya jQAti sa AlohitAnAm SramaNa brAhmaNAnAn, ye
   'pi te daśadiśi loke sarvalokadhātuṣu buddhā bhagavanto bodhisattvāś ca	api te daSa diSi loke sarva loka DAtuzu budDAH BagavantaH boDisattvAH ca
   pratyekabuddhāś cārhantaś ca sarve śaikṣāḥ sarve cāśaikṣās teṣām api sa	pratyekabudDAH ca arhantaH ca sarve SEkzAH sarve ca aSEkzAH tezAm api sa
   bodhisattvaḥ priyo bhaviṣyati sa devakasyāpi lokasya sa mārakasya sa	boDisattvaH priyaH Bavizyati sa devakasya api lokasya sa mArakasya sa
   śramaṇabrāhmaṇikāyāḥ prajāyāḥ sa devamānuṣāsurāyāḥ prajāyāḥ priyo	SramaNa brAhmaNikAyAH prajAyAH sa deva mAnuza asurAyAH prajAyAH priyaH 
   bhaviṣyati manaāpaḥ. iti svaparārthārdhimuktimadhyādhimātrā	Bavizyati manaA apaH. iti sva para arTa ArDi mukti maDya aDimAtrA
   anācchedena ca pratibhānena samanvāgato bhaviṣyati. anācchedyayā	anAcCedena ca pratiBAnena samanvAgataH Bavizyati. anAcCedyayA
   dānapāramitayā samanvāgato bhaviṣyati. evam anācchedyayā śīlapāramitayā	dAna pAramitayA samanvAgataH Bavizyati. evam anAcCedyayA SIla pAramitayA
   (PSP_2 3:83) anācchedyayā kṣāntipāramitayā anācchedyayā vīryapāramitayā	(PSu _2 3:83) anAcCedyayA kzAnti pAramitayA anAcCedyayA vIrya pAramitayA
   anācchedyayā dhyānapāramitayā anācchedyayā prajñāpāramitayā samanvāgato	anAcCedyayA DyAna pAramitayA anAcCedyayA prajQApAramitayA samanvAgataH 
   bhaviṣyati. anācchedyayā adhyātmaśūnyatayā anācchedyayā yāvad	Bavizyati. anAcCedyayAH aDyAtma SUnya tayA anAcCedyayA yAvat 
   abhāvasvabhāvaśūnyatayā samanvāgato bhaviṣyati. anācchedyaiḥ	aBAva svaBAva SUnyatayA samanvAgataH Bavizyati. anAcCedyEH
   smṛtyupasthānaiḥ samanvāgato bhaviṣyati. anācchedyaiḥ	smRti upasTAnEH samanvAgataH Bavizyati. anAcCedyEH
   samyakprahāṇarddhipādendriyabalabodhyaṅgamārgaiḥ samanvāgato bhaviṣyati.	samyak prahANa RdDi pAda indriya bala boDi aFga mArgEH samanvAgataH Bavizyati.
   anācchedyair āryasatyair anācchedyābhir apramāṇadhyānārūpyasamāpattibhiḥ,	anAcCedyEH Arya satyEH anAcCedyABiH apramANa DyAna ArUpya samApattiBiH,
   anācchedyair aṣṭavimokṣamukhair anācchedyair	anAcCedyEH azwa vimokza muKEH anAcCedyEH 
   navānupūrvavihārasamāpattyabhijñāryasatyasarvasamādhisarvadhāraṇīmukhair	nava anupUrva vihAra samApatti aBijQArya satya sarva samADi sarva DAraNI muKEH 
   anācchedyair daśabhis tathāgatabalaiś caturbhir vaiśāradyaiś catasṛbhiḥ	anAcCedyEH daSaBiH taTAgata balEH caturBiH vESAradyEH catasRBiH
   pratisaṃvidbhir aṣṭādaśabhiś cāveṇikair buddhadharmair anācchedyena	pratisaMvidBiH azwAdaSaBiH ca AveNikEH budDa DarmEH anAcCedyena
   sattvaparipākena anācchedyayā buddhakṣetrapariśuddhyā anācchedyayā	sattva paripAkena anAcCedyayA budDa kzetra pariSudDyA anAcCedyayA
   sarvākārajñatayā samanvāgato bhaviṣyati. pratibalaś ca bhaviṣyati,	sarva AkAra jQa tayA samanvAgataH Bavizyati. pratibalaH ca Bavizyati,
   utpannotpannānāṃ tīrthyavādānāṃ sahadharmeṇaiva nigrahaṃ kariṣyati. imam	utpanna utpannAnAm tIrTya vAdAnAm sahaDarmeNa eva nigraham karizyati. imam
   api kauśika kulaputro vā kuladuhitā vā dṛṣṭadhārmikaṃ sāṃparāyikaṃ ca	api kOSika kula putraH vA kula duhitA vA dRzwa DArmikam sAMparAyikam ca
   guṇaṃ parigṛhṇīyād ya imāṃ prajñāpāramitām udgrahīṣyati dhārayiṣyati	guNam parigRhNIyAt yaH imAm prajQApAramitAm udgrahIzyati DArayizyati
   vācayiṣyati paryavāpsyati yoniśaś ca manasikariṣyati. avirahitaś ca	vAcayizyati paryavApsyati yoniSas ca manasi karizyati. avirahitaH ca
   bhaviṣyati sa sarvākārajñātācittena tāṃ ca likhitvā satkariṣyati	Bavizyati sa sarva AkAra jQAta acittena tAm ca liKitvA satkarizyati
   gurukariṣyati mānayiṣyati pūjayiṣyati	gurukarizyati mAnayizyati pUjayizyati
   puṣpadhūpagandhamālyavilepanacūrṇacīvaracchatradhvajapatākābhiḥ.	puzpa DUpa ganDa mAlya vilepana cUrNa cIvara= Catra Dvaja patAkABiH.
   iti svaparārthādhimuktir adhimātrāmṛddhī	iti sva para arTa aDimuktiH aDimAtrAm RdDI
   punar aparaṃ kauśika yaḥ kulaputro vā kuladuhitā vā imāṃ prajñāpāramitāṃ	punar aparam kOSika yaH kula putraH vA kula duhitA vA imAm prajQApAramitAm
   pustakalikhitām api kṛtvā dhārāyiṣyati vācayiṣyati paryavāpsyati tatra	pusta kaliKitAm api kRtvA DArAyizyati vAcayizyati paryavApsyati tatra
   kauśika ye trisāhasramahāsāhasre lokadhātau cāturmahārājakāyikā devaputrā	kOSika ye tri sAhasra mahA sAhasre lokaDAtO cAturmahArAja kAyikA deva putrA
   anuttarāyāṃ samyaksaṃbodhau saṃprasthitās te tatrāgatyaināṃ	anuttarAyAm samyaksaMboDO saMprasTitAH te tatra Agatya enAm
   prajñāpāramitām udgrahīṣyanti dhārayiṣyanti vācayiṣyanti paryavāpsyanti	prajQApAramitAm udgrahIzyanti DArayizyanti vAcayizyanti paryavApsyanti
   manasikariṣyanti vandiṣyanti namaskṛtvā vanditvā ca punar eva	manasikarizyanti vandizyanti namaskRtvA vanditvA ca punar eva
   prakramiṣyanti. evaṃ trāyastriṃśā yāmās tuṣitā nirmāṇaratayaḥ	prakramizyanti. evam trAyastriMSAH yAmAH tuzitAH nirmANaratayaH
   paranirmitavaśavartino brahmapāriṣadyā brahmapurohitā mahābrahmāṇaḥ	paranirmitavaSavartinaH brahma pArizadyAH brahma purohitAH mahAbrahmANaH
   parīttābhā apramāṇābhā ābhāsvarāḥ parīttaśubhā apramāṇaśubhāḥ śubhakṛtsnā	parItta ABAH apramANa ABAH ABAsvarAH parItta SuBAH apramANa SuBAH SuBa kRtsnA
   anabhrakāḥ puṇyaprasavā brhatphalāḥ śuddhāvāsā avṛhā atapāḥ sudṛśāḥ	anaBrakAH puNya prasavAH brhat PalAH SudDAvAsAH avRhAH atapAH sudRSAH
   sudarśanā akaniṣṭhāḥ tatra ye kauśika mahābrahmāṇo 'nuttarāyāṃ	sudarSanAH akanizWAH tatra ye kOSika mahAbrahmANaH anuttarAyAm
   samyaksaṃbodhau kṛtapraṇidhānās te 'pi tatrāgatyemāṃ prajñāpāramitām	samyaksaMboDO kRta praNiDAnAH te api tatra Agatya imAm prajQApAramitAm
   udgrahya paryavāpya dhārayitvā vācayitvā namaskṛtya punar eva (PSP_2 3:84)	udgrahya paryavApya DArayitvA vAcayitvA namaskRtya punar eva (PSu _2 3:84)
   prakramiṣyanti. ye 'pi śuddhāvāsakāyikā avṛhā atapāḥ sudṛśāḥ sudarśanā	prakramizyanti. ye api SudDAvAsa kAyikAH avRhAH atapAH sudRSAH sudarSanA
   akaniṣṭhā devaputrās te 'pi tatrāgatyemāṃ prajñāpāramitām udgrahya	akanizWAH deva putrAH te api tatra Agatya imAm prajQApAramitAm udgrahya
   paryavāpya dhārayitvā vācayitvā namaskṛtya punar eva prakramiṣyanti. tena	paryavApya DArayitvA vAcayitvA namaskRtya punar eva prakramizyanti. tena
   hi kauśika kulaputreṇa vā kuladuhitrā vā evaṃ cittam utpādayitavyaṃ: ye te	hi kOSika kula putreNa vA kula duhitrA vE evam cittam utpAdayitavyan: ye te
   daśadiglokadhātuṣu devaputrāś cāturmahārājakāyikā yāvad bṛhatphalā ye	daSa diS lokaDAtuzu deva putrAH cAturmahArAja kAyikAH yAvat bRhat PalAH ye
   'nuttarāyāṃ samyaksaṃbodhau saṃprashitā ye 'pi śuddhāvāsakāyikā devaputrā	anuttarAyAm samyaksaMboDO saMprashitA ye api SudDAvAsa kAyikA deva putrA
   ye 'pi cānye devanāgayakṣagandharvāsuragaruḍakiṃnaramahoragās te	ye api ca anye deva nAga yakza ganDarva asura garuxa kiMnara mahA uragAH te
   'pīhāgatyemāṃ prajñāpāramitām udgrahya paryavāpya dhārayitvā vācayitvā	api iha Agatya imAm prajQApAramitAm udgrahya paryavApya DArayitvA vAcayitvA
   pūjayitvā punar gacchantu, teṣām etad dharmadānaṃ dattaṃ bhavantu. ye 'pi	pUjayitvA punar gacCantu, tezAm etat Darma dAnam dattam Bavantu. ye api
   daśadiglokadhātuṣu cāturmahārājakāyikā devaputrā yāvad bṛhatphalā	daSa diS lokaDAtuzu cAturmahArAja kAyikA deva putrAH yAvat bRhatPalA
   devaputrā ye 'nuttarāyāṃ samyaksaṃbodhau saṃprasthitā ye 'pi	deva putrAH ye anuttarAyAm samyaksaMboDO saMprasTitAH ye api
   śuddhāvāsakāyikā devaputrās te 'pi tatrāgatyemāṃ prajñāpāramitām	SudDAvAsa kAyikAH deva putrAH te api tatra Agatya imAm prajQApAramitAm
   udgrahīṣyanti dhārayiṣyanti vācayiṣyanti paryavāpsyanti vanditvā	udgrahIzyanti DArayizyanti vAcayizyanti paryavApsyanti vanditvA
   namaskṛtya pūjayitvā punar eva prakramitavyaṃ maṃsyante. tasya khalu punaḥ	namaskRtya pUjayitvA punar eva prakramitavyam maMsyante. tasya Kalu punar 
   kulaputrasya vā kuladuhitur vā ya iha trisāhasramahāsāhasre lokadhātau	kula putrasya vA kula duhituH vA yaH iha tri sAhasra mahA sAhasre lokaDAtO
   cāturmahārājakāyikā devā yāvad akaniṣṭhā devā ye 'pi te daśadiglokadhātuṣu	cAturmahArAja kAyikAH devAH yAvat akanizWAH devAH ye api te daSa diS lokaDAtuzu
   cāturmahārājakāyikā devā yāvad akaniṣṭhā devās te 'pi tasya kulaputrasya	cAturmahArAja kAyikAH devAH yAvat akanizWAH devAH te api tasya kula putrasya
   vā kuladuhitur vā rakṣāvaraṇaguptiṃ saṃvidhāsyanti. nāpy asya kaścid	vA kula duhituH vA rakzA AvaraNa guptim saMviDAsyanti. na api asya kaScid 
   avatāraprekṣī avatāragaveṣī avatāraṃ lapsyate sthāpayitvā	avatAra prekzI avatAra gavezI avatAram lapsyate sTApayitvA
   pūrvakarmavipākaṃ, imān api kauśika kulaputro vā kuladuhitā vā	pUrva karma vipAkaM, imAn api kOSika kula putraH vA kula duhitA vA
   dṛṣṭadhārmikān guṇān parigṛhṇāti.	dRzwa DArmikAn guNAn parigRhNAti.
   tat kasya hetos? tathā hi ye devaputrā anuttarāyāṃ samyaksaṃbodhau	tat kasya hetos? taTA hi ye deva putrAH anuttarAyAm samyaksaMboDO
   saṃprasthitās te 'pi tatrāgantavyaṃ maṃsyante. tathā hi kauśika devaputrā	saMprasTitAH te api tatra Agantavyam maMsyante. taTA hi kOSika deva putrA
   anuttarāyāṃ samyaksaṃbodhau sarvasattvānāṃ traṇāya hitasukhāya	anuttarAyAm samyaksaMboDO sarva sattvAnAm traNAya hita suKAya
   saṃprasthitāḥ. iti svaparārthādhimuktir adhimātramadhyā	saMprasTitAH. iti sva para arTa aDimuktiH aDimAtra maDyA
   atha khalu śakro devānām indro bhagavantam etad avocat: kathaṃ bhagavan	aTa Kalu SakraH devAnAm indraH Bagavantam etat avocat: kaTam Bagavan
   kulaputro vā kuladuhitā vā jñāsyati, iha cāturmahārājakāyikā devaputrā	kula putraH vA kula duhitA vA jQAsyati, iha cAturmahArAja kAyikA deva putrA
   āgacchanti yāvad akaniṣṭhā devaputrā āgacchantīti? evaṃ samantād daśabhyo	AgacCanti yAvat akanizWA deva putrAH AgacCanti iti? evam samantAt daSaByaH 
   digbhya imāṃ prajñāpāramitām udgrahītuṃ vā dhārayituṃ vā vācayituṃ vā	digByaH imAm prajQApAramitAm udgrahItum vA DArayitum vA vAcayitum vA
   paryavāptuṃ vā satkartuṃ vā gurukartuṃ vā mānayituṃ vā pūjayituṃ vā.	paryavAptum vA satkartum vA guru kartum vA mAnayitum vA pUjayitum vA.
   evam ukte bhagavān śakraṃ devānām indram etad avocat: sacet kauśika	evam ukte BagavAn Sakram devAnAm indram etat avocat: saced kOSika
   (PSP_2 3:85) kulaputro vā kuladuhitā vā udāram avabhāsaṃ jñāsyati niṣṭhā	(PSu _2 3:85) kula putraH vA kula duhitA vA udAram avaBAsam jQAsyati nizWA
   tena gantavyā mahaujaskā mahaujaskā devā āgātā imāṃ prajñāpāramitāṃ	tena gantavyAH mahA ojaskAH mahA ojaskAH devAH AgAtA imAm prajQApAramitAm
   vācayitum udgrahītuṃ paryavāptuṃ dhārayituṃ satkartuṃ gurukartuṃ mānayituṃ	vAcayitum udgrahItum paryavAptum DArayitum satkartum gurukartum mAnayitum
   pūjayituṃ vandituṃ namaskartum.	pUjayitum vanditum namaskartum .
   punar aparaṃ kauśika sacet kulaputro vā kuladuhitā vā amānuṣaṃ divyaṃ	punar aparam kOSika saced kula putraH vA kula duhitA vA amAnuzam divyam
   gandham anāghrātapūrvam āghrāsyati niṣṭhā tena gantavyā mahaujaskā	ganDam anAGrAta pUrvam AGrAsyati nizWA tena gantavyA mahA ojaskA
   mahaujaskā iha devaputrā āgatā iti prajñāpāramitāṃ vācayituṃ śrotum	mahA ojaskAH iha deva putrAH AgatAH iti prajQApAramitAm vAcayitum Srotum
   udgrahītuṃ paryavāptuṃ dhārayituṃ satkartuṃ gurukartuṃ mānayituṃ	udgrahItum paryavAptum DArayitum satkartum gurukartum mAnayitum
   pūjayitum.	pUjayitum.
   punar aparaṃ kauśika kulaputro vā kuladuhitā vā caukṣasamudācāro	punar aparam kOSika kula putraH vA kula duhitA vA cOkza samudAcAraH 
   bhaviṣyati, tasya tayā caukṣasamudācāratayā devatā āgatyemāṃ	Bavizyati, tasya tayA cOkza samudAcAra tayA devatAH Agatya imAm
   prajñāpāramitām udgṛhya dhārayitvā vācayitvā satkṛtya gurukṛtya mānayitvā	prajQApAramitAm udgRhya DArayitvA vAcayitvA satkRtya gurukRtya mAnayitvA
   pūjayitvā āttamanaskā bhaviṣyanti. yāś ca tatra pṛthivīpradeśe 'lpaujaskā	pUjayitvA Atta manaskAH Bavizyanti. yAH ca tatra pRTivI pradeSe alpa ojaskA
   alpaujaskā devatā bhaviṣyanti tās tato 'pakramitavyaṃ maṃsyante. teṣāṃ	alpa ojaskAH devatAH Bavizyanti tAH tatas apakramitavyam maMsyante. tezAm
   mahaujaskānāṃ mahaujaskānāṃ devānāṃ tejaś ca śriyaś cāsahamānāḥ.	mahA ojaskAnAm mahA ojaskAnAm devAnAm tejaH ca SriyaH ca asahamAnAH.
   yathāyathā mahaujaskā mahaujaskā devatā upasaṃkramiṣyanti tathātathā te	yaTA yaTA mahA ojaskAH mahA ojaskAH devatAH upasaMkramizyanti taTA taTA te
   kulaputrāḥ kuladuhitaro vā udārādhimuktikā bhaviṣyanti. tasmiṃś ca	kula putrAH kula duhitaraH vA udAra aDimuktikA Bavizyanti. tasmin ca
   pṛthivīpradeśe 'caukṣasamudācāratā na pracārayitavyā,	pRTivI pradeSe acOkza samudAcAra tA na pracArayitavyA,
   puṣpadhūpagandhamālyavilepanacūrṇacivaracchatradhvajapatākābhiś ca sa	puzpa DUpa ganDa mAlya vilepana cUrNa civara= Catra Dvaja patAkABiH ca sa
   pṛthivīpradeśo 'laṃkartavyaḥ gandhalipto muktapuṣpāvakīrṇaḥ kārayitavyaḥ.	pRTivI pradeSaH alaMkartavyaH ganDa liptaH mukta puzpa avakIrNaH kArayitavyaH.
   avasaktapaṭadāmakalāpaś cailavitānavitataḥ. anekaprakāraṃ ca sa	avasakta pawa dAma kalApaH ca ela vitAna vitataH. aneka prakAram ca sa
   pṛthivīpradeśo 'laṃkartavyaḥ.	pRTivI pradeSaH alaMkartavyaH.
   punar aparaṃ kauśika tasya kulaputrasya vā kuladuhitur vā kāyo na klānto	punar aparam kOSika tasya kula putrasya vA kula duhituH vA kAyaH na klAntaH 
   bhaviṣyati. kāyasukhaṃ bhaviṣyati. kāyalaghutāṃ ca bahujanahitāya	Bavizyati. kAya suKam Bavizyati. kAya laGu tAm ca bahu jana hitAya
   bahujanasukhāya pratipanno bhaviṣyati. sa ca kauśika kulaputro vā	bahu jana suKAya pratipannaH Bavizyati. sa ca kOSika kula putraH vA
   kuladuhitā vā kāyalaghutāṃ kāyakarmaṇyatāṃ kāyasukhatāṃ cittalaghutāṃ	kula duhitA vA kAya laGu tAm kAya karmaNya tAm kAya suKa tAm citta laGutAm
   cittakarmaṇyatāṃ cittasukhatāṃ ca jñāsyati. sukhena sa rātrau śayyāṃ	citta karmaNya tAm citta suKa tAm ca jQAsyati. suKena sa rAtrO SayyAm
   kalpayiṣyati. imāṃ eva prajñāpāramitām āśayena kalpayan na pāpakān svapnān	kalpayizyati. imAm eva prajQApAramitAm ASayena kalpayan na pApakAn svapnAn
   drakṣyati, drakṣyaṃś ca punaḥ svapnena tathāgatān evārhataḥ	drakzyati, drakzyan ca punar svapnena taTAgatAn eva arhataH
   samyaksaṃbuddhān drakṣyati dvātriṃśanmahāpuruṣalakṣaṇacitritagātrān	samyaksaMbudDAn drakzyati dvAtriMSat mahApuruza lakzaNa citrita gAtrAn
   suvarṇavarṇena samucchrayeṇa bhikṣusaṃghaparivṛtān	suvarNa varNena samucCrayeNa Bikzu saMGa parivRtAn
   bodhisattvagaṇaparivṛtān dharmaṃ deśayamānāṃs (PSP_2 3:86) tebhyaḥ	boDisattva gaNa parivRtAn Darmam deSayamAnAn (PSu _2 3:86) teByaH
   ṣaṭpāramitāpratisaṃyuktām eva kathāṃ śroṣyati.	zaz pAramitA pratisaMyuktAm eva kaTAm Srozyati.
   saptatriṃśadbodhipakṣyadharmapratisaṃyuktāṃ yāvad	saptatriMSat boDi pakzya Darma pratisaMyuktAm yAvat 
   aṣṭādaśāveṇikabuddhadharmapratisaṃyuktām eva kathāṃ śroṣyati. tāsāṃ ca	azwAdaSa AveNika budDa Darma pratisaMyuktAm eva kaTAm Srozyati. tAsAm ca
   pāramitānām arthaṃ śroṣyati yāvad aṣṭādaśānām āveṇikānām arthaṃ śroṣyati.	pAramitAnAm arTam Srozyati yAvat azwAdaSAnAm AveNikAnAm arTam Srozyati.
   bodhivṛkṣaṃ drakṣyati. bodhisattvaṃ mahāsattvaṃ bodhimaṇḍam	boDi vRkzam drakzyati. boDisattvam mahAsattvam boDimaNxam
   upasaṃkramamāṇaṃ drakṣyati. anuttarāṃ samyaksaṃbodhim abhisaṃbudhyamānaṃ	upasaMkramamANam drakzyati. anuttarAm samyaksaMboDim aBisaMbuDyamAnam
   drakṣyati. abhisaṃbudhyādvayaṃ dharmacakrapravartayamānaṃ drakṣyati.	drakzyati. aBisaMbuDyAH dvayam Darma cakra pravartayamAnam drakzyati.
   bahūni bodhisattvakoṭīniyutaśatasahasrāṇi drakṣyati dharmasaṃgītiratāni	bahUni boDisattva kowI niyuta Sata sahasrANi drakzyati Darma saMgIti ratAni
   evaṃ sarvajñatā parigrahītavyā evaṃ sattvāḥ paripācayitavyā evaṃ	evam sarvajQa tA parigrahItavyAH evam sattvAH paripAcayitavyAH evam
   buddhakṣetraṃ pariśodhayitavyam iti. bahunāṃ	budDa kzetram pariSoDayitavyam iti. bahunAm
   buddhakoṭīniyutaśataśahasrāṇāṃ pūrvasyāṃ diśi śabdaṃ śroṣyati.	budDa kowI niyuta Sata SahasrANAm pUrvasyAm diSi Sabdam Srozyati.
   evaṃ dakṣiṇasyāṃ paścimāyām uttarasyām ūrdhvam adho vidikṣu bahūnāṃ	evam dakziNasyAm paScimAyAm uttarasyAm UrDvam aDas vidikzu bahUnAm
   buddhakoṭīniyutaśatasahasrāṇāṃ śabdaṃ śroṣyati. amuṣmin lokadhātau amuko	budDa kowI niyuta Sata sahasrANAm Sabdam Srozyati. amuzmin lokaDAtO amukaH 
   nāma tathāgato 'rhan samyaksaṃbuddhaḥ iyadbhir	nAma taTAgataH arhan samyaksaMbudDaH iyadBiH 
   bodhisattvakoṭīśatasahasrair iyadbhiḥ śrāvakakoṭīniyutaśatasahasraiḥ	boDisattva kowI Sata sahasrEH iyadBiH SrAvaka kowI niyuta Sata sahasrEH
   parivṛtaḥ puraskṛto dharmaṃ deśayati. pūrvasyāṃ diśi bahūni	parivRtaH puraskRtaH Darmam deSayati. pUrvasyAm diSi bahUni
   buddhakoṭīniyutaśatasahasrāṇi drakṣyati parinirvāyamāṇāni yāvad daśasu	budDa kowI niyuta Sata sahasrANi drakzyati parinirvAyamANAni yAvat daSasu
   dikṣu bahūni buddhakoṭīniyutaśatasahasrāṇi drakṣyati parinirvāyamāṇāni.	dikzu bahUni budDa kowI niyuta Sata sahasrANi drakzyati parinirvAyamANAni.
   teṣāṃ ca tathāgatānāṃ stūpān dhātudharān nānāratnamayān bahūni	tezAm ca taTAgatAnAm stUpAn DAtu DarAn nAnA ratna mayAn bahUni
   stūpakoṭīniyutaśatasahasrāṇi drakṣyati. tāṃś ca stūpān satkariṣyati	stu upa kowI niyuta Sata sahasrANi drakzyati. tAn ca stUpAn satkarizyati
   gurukariṣyati mānayiṣyati pūjayiṣyati	gurukarizyati mAnayizyati pUjayizyati
   puṣpadhūpagandhamālyavilepanacūrṇacīvaracchatradhvajapatākābhiḥ.	puzpa DUpa ganDa mAlya vilepana cUrNa cIvara= Catra Dvaja patAkABiH.
   sa khalu punaḥ kauśika kulaputro vā kuladuhitā vā imān evaṃrūpān	sa Kalu punar kOSika kula putraH vA kula duhitA vA imAn evaMrUpAn
   bhadrakāṃś ca svapnān drakṣyati. sa sukham eva svapsyati sukhaṃ ca	BadrakAn ca svapnAn drakzyati. sa suKam eva svapsyati suKam ca
   pratibhotsyate ojaḥprakṣiptaṃ ca kāyaṃ saṃjñāsyati. laghuṃ ca kāyaṃ	pratiBotsyate ojaH prakziptam ca kAyam saMjQAsyati. laGum ca kAyam
   saṃjñāsyati na guruṃ. na cāsya balavatī gṛddhir āhāre bhaviṣyati. na	saMjQAsyati na guruM. na ca asya balavatI gRdDiH AhAre Bavizyati. na
   cīvarapiṇḍapātaśayanāśanaglānapratyayabhaiṣajyapariṣkāragṛddhir	cIvara piNxapAta SayanASana glAna pratyaya BEzajya parizkAra gRdDiH 
   bhaviṣyati. tadyathāpi nāma kauśika yogācārasya bhikṣoḥ samādher	Bavizyati. tat yaTA api nAma kOSika yoga AcArasya BikzoH samADeH 
   vyutthitasya manasikārasaṃtarpitena cittena na balavaty āhāre gṛddhir	vyutTitasya manasikAra saMtarpitena cittena na balavatI AhAre gRdDiH 
   bhavati.	Bavati.
   evam eva kauśika tasya kulaputrasya vā kuladuhitur vā na balavaty āhāre	evam eva kOSika tasya kula putrasya vA kula duhituH vA na balavati AhAre
   gṛddhir bhaviṣyati.	gRdDiH Bavizyati.
   tat kasya hetos? tathā hi tasyāmanuṣyā ojaḥ kāya upasaṃharanti. ye cāpi	tat kasya hetos? taTA hi tasya amanuzyAH ojaH kAyaH upasaMharanti. ye ca api
   (PSP_2 3:87) daśasu dikṣu buddhā bhagavantas te 'pi	(PSu _2 3:87) daSasu dikzu budDAH BagavantaH te api
   sadevanāgayakṣagandharvāsuragaruḍakiṃnaramahoragāḥ ojaḥ kāye prakṣipanti.	sa deva nAga yakza ganDarva asura garuxa kiMnara mahA uragAH ojaH kAye prakzipanti.
   imaṃ sa kauśika kulaputro vā kuladuhitā vā dṛṣṭadhārmikaṃ guṇaṃ	imam sa kOSika kula putraH vA kula duhitA vA dRzwa DArmikam guNam
   parigṛhṇīte ya imāṃ prajñāpāramitām udgṛhṇīte paryavāpnoti dhārayati	parigRhNIte yaH imAm prajQApAramitAm udgRhNIte paryavApnoti DArayati
   vācayati yoniśaś ca manasikaroti avirahitaś ca sarvajñatācittena. iti	vAcayati yoniSas ca manasikaroti avirahitaH ca sarvajQa tA cittena. iti
   svaparārthādhimuktir adhimātrādhimātrā	sva para arTa aDimuktiH aDimAtra aDimAtrA
   kiṃ cāpi sa kulaputro vā kuladuhitā vā imāṃ prajñāpāramitāṃ nodgṛhṇīyān na	kim ca api sa kula putraH vA kula duhitA vA imAm prajQApAramitAm na udgRhNIyAt na
   dhārayen na vācayen na paryavāpnuyān na yoniśaś ca manasikuryān na	DArayet na vAcayet na paryavApnuyAt na yoniSas ca manasikuryAt na
   parebhyaś ca saṃprakāśayed api tu khalu punaḥ pustakalikhitāṃ kṛtvā	pareByaH ca saMprakASayet api tu Kalu punar pusta kaliKitAm kRtvA
   satkuryād gurukuryād mānayet pūjayet	satkuryAt gurukuryAt mAnayet pUjayet 
   puṣpadhūpagandhamālyavilepanacūrṇacīvaracchatradhvajapatākābhiḥ.	puzpa DUpa ganDa mAlya vilepana cUrNa cIvara= Catra Dvaja patAkABiH.
   yaś ca kauśika kulaputro vā kuladuhitā vā imāṃ prajñāpāramitām udgṛhṇīyād	yaH ca kOSika kula putraH vA kula duhitA vA imAm prajQApAramitAm udgRhNIyAt 
