   akasmāj jāyate yatra ST_2.49a	akasmAt jAyate yatra ST_2.49a
   tasyānukūla-dakṣiṇa-śaṭha-dhṛṣṭā ittham atra catvāraḥ ST_1.24a	tasya-anukUla--dakziNa--SaWa--DRzwAH itTam atra catvAraH ST_1.24a
   tasyās tad-darśane yathā ST_1.59d	tasyAH tad--darSane yaTA ST_1.59d
   tasyāḥ kiñcit subhaga tad abhūt tānavaṃ tvad-viyoge ST_1.60ac	tasyAH kiQcid suBaga tat aBUt tAnavam tvad--viyoge ST_1.60ac
   tasyāḥ prasādane sadbhir ST_2.43a	tasyAH prasAdane sadBiH ST_2.43a
   tā evātra bhavanty aṣṭāv ST_1.73c	tAH eva-atra Bavanti azwO ST_1.73c
   tān etās tāpayanti ca ST_1.67d	tAn etAH tApayanti ca ST_1.67d
   tāpaḥ śoṣita-candanodaka-rasaḥ śvāsā vikīrṇotpalāḥ ST_2.14aa	tApaH Sozita-candana-udaka--rasaH SvAsAH vikIrNa-utpalAH ST_2.14aa
   tām evānucitāṃ gaccha ST_3.50a	tAm eva-anucitAm gacCa ST_3.50a
   tāsām apy anurāgitām ST_1.63d	tAsAm api anurAgitAm ST_1.63d
   tiryag-vartita-gātra-yaṣṭi-viṣamodvṛtta-stanāsphālana- ST_1.56ba	tiryak--varti-ta--gAtra-yazwi-vizama-udvRtta--stana-AsPAlana ST_1.56ba
   tilakam alike kurvan gaṇḍād udasyati kuntalān ST_1.74ab	tilakam alike kurvan gaNxAt udasyati kuntalAn ST_1.74ab
   tila-mātrakam apy abhūn nahi śraveṇendīvara-locanānantaram ST_1.50bb	tila--mAtrakam api aBUt na-hi SraveNa-indIvara--locana-anantaram ST_1.50bb
   tiṣṭhaty akhaṇḍam iha kāvya-mayaṃ śarīram ST_1.2d	tizWati aKaNxam iha kAvya-mayam SarIram ST_1.2d
   tisandhitāḥ khaṇḍitayā sahātra ST_1.82d	tisanDitAH KaNxitayA saha-atra ST_1.82d
   tisras tasyeha nāyikāḥ ST_1.33d	tisraH tasya-iha nAyikAH ST_1.33d
   tulyam etad itaraiḥ samaṃ satām ST_3.44ab	tulyam etat itarEH samam satAm ST_3.44ab
   tenaiva labhate kāntāṃ ST_2.46c	tena-eva laBate kAntAm ST_2.46c
   tenaiṣā rāgiṇāṃ matā ST_1.61d	tena-ezA rAgiNAm matA ST_1.61d
   tenoktaṃ subhagena tatra na mayā dattaṃ vaco mandayā ST_2.12ab	tena-uktam suBagena tatra na mayA dattam vacaH mandayA ST_2.12ab
   teṣām apy upari sphuranti matayaḥ kasyāpi puṇyātmanaḥ ST_1.4d	tezAm api upari sPuranti matayaH kasya-api puNya-AtmanaH ST_1.4d
   tprāptāntaḥ sukha-mīlitākṣi-yugalā svidyat kapola-sthalī ST_1.40ab	tprApta-antaH suKa--mIlita-akzi-yugalA svidyat kapola--sTalI ST_1.40ab
   tyaktvā guñja-phalāni mauktikamayī bhūṣā staneṣv āhitā ST_3.3ba	tyaktvA guQja--PalAni mOktika-mayI BUzA stanezu AhitA ST_3.3ba
   tyavanata-mukhaṃ tūṣṇīm eva sthitaṃ mṛga-netrayā ST_1.56ab	tyavanata-muKam tUzNIm eva sTitam mRga-netrayA ST_1.56ab
   tyāgī kulīnaḥ kuśalo rateṣu ST_1.23a	tyAgI kulInaH kuSalaH ratezu ST_1.23a
   tyāgottarodāra-vaco-manojñā ST_3.42b	tyAga-uttara-udAra--vacaH--manojQA ST_3.42b
   trayastriṃśad ime bhāvāḥ ST_1.14c	trayastriMSat ime BAvAH ST_1.14c
   trayodaśa-vidhā svīyā ST_1.87a	trayodaSa-viDA svIyA ST_1.87a
   trāsaś caiva vitarkaś ca ST_1.14a	trAsaH ca-eva vitarkaH ca ST_1.14a
   tridhā syād abhisārikā ST_1.84b	triDA syAt aBisArikA ST_1.84b
   tripura-vadhād eva gatām ullāsam umāṃ samasta-deva-natām ST_3.57da	tripura--vaDAt eva gatAm ullAsam umAm samasta--deva-natAm ST_3.57da
   trividho nāyakas tatra ST_3.9c	triviDaH nAyakaH tatra ST_3.9c
   truṭita-tarala-hāraṃ sasvaje prāṇanāthaḥ ST_3.12bd	truwita-tarala--hAram sasvaje prANanATaH ST_3.12bd
   truṭyan-mauktika-mālayā sa-pulaka-svedollasad-gaṇḍayā ST_1.56bb	truwi-an-mOkti-ka-mAlayA sa-pulaka-sveda-ullasat--gaNxayA ST_1.56bb
   tvad-akṣiṇī kuvalaya-buddhir atyalī ST_1.48aa	tvad--akziNI kuvalaya--budDiH atyalI ST_1.48aa
   tvad-ārabdhair mahī-nātha ST_3.12cc	tvad--ArabDEH mahI-nATa ST_3.12cc
   tvayā subhru kṣamābhṛtā ST_2.44b	tvayA suBru kzamABRtA ST_2.44b
   tvayi niyatam aśoke yujyate pādaghātaḥ ST_1.39cc	tvayi niyatam aSoke yujyate pAda-GAtaH ST_1.39cc
   tvaṃ niḥśeṣa-vilāsi-varga-gaṇanā-cūḍāmaṇe saṃśritaḥ ST_1.ad	tvam niHSeza--vilAsi--varga--gaNanA--cUxAmaNe saMSritaH ST_1.ad
   dagdhā snigdha-vadhū-vilāsa-kadalī vīṇā samunmūlitā ST_2.60aa	dagDA snigDa--vaDU-vilAsa--kadalI vINA samunmUlitA ST_2.60aa
   daṇḍaḥ śṛṅgāra-hānaye ST_2.42d	daNxaH SRFgAra-hAnaye ST_2.42d
   dattvāvadhiṃ bhṛśārtā sā ST_1.81c	dattvA-avaDim BRSa-ArtA sA ST_1.81c
   dampatyor darśanād eva samutpannānurāgayoḥ ST_2.2a	dampatyoH darSanAt eva samutpanna-anurAgayoH ST_2.2a
   dayā-dānāji-pūrvakaḥ ST_3.9b	dayA-dAna-aji--pUrvakaH ST_3.9b
   dayita-pāṇim amanyata dakṣiṇam ST_1.22ad	dayita--pANim amanyata dakziNam ST_1.22ad
   dayita manorama ramaṇī-jīvita ity ādi nāma syāt ST_2.54b	dayita manorama ramaNI--jIvitaH iti Adi nAma syAt ST_2.54b
   dayita-vadanāloke mandaṃ yathā ca calaty asau ST_2.7bc	dayita--vadana-Aloke mandam yaTA ca calati asO ST_2.7bc
   dayitaṃ vilokya tad iyaṃ śaṃsati tad adhīnam ātmānam ST_1.56cb	dayitam vilokya tat iyam SaMsati tat aDInam AtmAnam ST_1.56cb
   darśanāc chravaṇād vāpi ST_1.50c	darSanAt SravaNAt vA-api ST_1.50c
   daśamaṃ jāyate dhruvam ST_2.6b	daSamam jAyate Druvam ST_2.6b
   daśāvasthaḥ smaro yathā ST_2.4d	daSa-avasTaH smaraH yaTA ST_2.4d
   daśāvasthā manobhavāt ST_2.17b	daSa-avasTA manoBavAt ST_2.17b
   dānaṃ lubdhāsu tad yathā ST_2.45d	dAnam lubDAsu tat yaTA ST_2.45d
   dāstāṃ rantum aho nirīkṣitum api preyān na sambhāvitaḥ ST_1.59ad	dAstAm rantum aho nirIkzitum api preyAt na samBAvitaH ST_1.59ad
   dihaiva te priya viditā kṛtārthatā ST_1.41ad	diha-eva te priya viditA kRtArTa-tA ST_1.41ad
   dīpārciḥ-kapiśaṃ ca mohana-gṛhaṃ trasyāt-kuraṅgī-dṛśā ST_1.76ab	dIpa-arciH-kapiSam ca mohana--gRham trasya-at--kuraFgI--dRSA ST_1.76ab
   dīrgha-śvāsa-samākulaḥ ST_2.14b	dIrGa-SvAsa--samAkulaH ST_2.14b
   dīrghe niḥśvasitaṃ ciraṃ ca ruditaṃ kṣiptāś ca puṣpa-srajaḥ ST_1.75ad	dIrGe niHSvasitam ciram ca ruditam kziptAH ca puzpa-srajaH ST_1.75ad
   duravasthā punaḥ kāntam ST_1.58c	duravasTA punar kAntam ST_1.58c
   durjano dayitaḥ kāmaṃ ST_3.51a	durjanaH dayitaH kAmam ST_3.51a
   durnimitta-taḍid-ākṛtir babhau dṛṣṭir iṣṭa-samarāṃśu-mālinaḥ ST_3.43bb	durnimitta--taxid-A-AkRtiH baBO dRzwiH izwa-samara-aMSu--mAlinaH ST_3.43bb
   durvāra-smarayā tayā sahacarī gāḍhaṃ samāliṅgitā ST_1.56bd	durvAra-smarayA tayA sahacarI gAXam samAliFgitA ST_1.56bd
   durvijñeyāḥ prakṛtyaiva ST_1.71c	durvijQeyAH prakRtyA-eva ST_1.71c
   duṣprāpaḥ sa tu ko'pi kovida-patir yad vāg-rasa-grāhiṇāṃ ST_1.7c	duzprApaH sa tu kaH-api kovida-patiH yat vAg--rasa--grAhiNAm ST_1.7c
   duḥsandhāna-rasaṃ tathā ST_3.46b	duHsanDAna--rasam taTA ST_3.46b
   duḥsandhāna-rasaṃ tv idam ST_3.50d	duHsanDAna--rasam tu idam ST_3.50d
   duḥsthitā taṃ vinā sāti- ST_1.77c	duHsTitA tam vinA sAti ST_1.77c
   dūtī-janasya parato laghur api doṣo gurūyate prāyaḥ ST_2.41a	dUtI--janasya paratas laGuH api dozaH gurUyate prAyas ST_2.41a
   dūrāt kandalitair hṛdi pravitataiḥ kaṇṭhe luṭhadbhir haṭhā ST_1.32ca	dUrAt kandalitEH hRdi pravitatEH kaNWe luWadBiH haWA ST_1.32ca
   dūrād ālokayaty eva ST_1.54c	dUrAt Alokayati eva ST_1.54c
   dūrād eva vilokayety abhimate tad vaktra-dattekṣaṇaṃ ST_1.56bc	dUrAt eva vilokaya-iti aBimate tat vaktra-datta-IkzaNam ST_1.56bc
   dṛṣṭaṃ ketaka-dhūli-dhūsaram idaṃ vyoma kramād vīkṣitāḥ ST_2.57aa	dRzwam ketaka-DUli--DUsaram idam vyoma kramAt vIkzitAH ST_2.57aa
   dṛṣṭir niścalatārakādhara-dalaṃ śvāsaiḥ kṛtaṃ dhūṣaraṃ ST_2.15aa	dRzwiH niScala-tArakA-Dara--dalam SvAsEH kRtam DUzaram ST_2.15aa
   dṛṣṭiṃ niḥkṣipatīti viśvam iyatā manyāmahe duḥkhitam ST_1.25ad	dRzwim niHkzipati-iti viSvam iyatA manyAmahe duHKitam ST_1.25ad
   dṛṣṭiḥ stabdhā gatā smṛtiḥ ST_2.15b	dRzwiH stabDA gatA smRtiH ST_2.15b
   dṛṣṭiḥ snihyati nirbharaṃ priyatame vaidagdhya-bhājo giraḥ ST_1.39ba	dRzwiH snihyati nirBaram priyatame vEdagDya-BAjaH giraH ST_1.39ba
   dṛṣṭe priyatame rāgād ST_2.35a	dRzwe priyatame rAgAt ST_2.35a
   dṛṣṭer niśalatāratvaṃ ST_3.17c	dRzweH niSala-tAra-tvam ST_3.17c
   dṛṣṭvā darpaṇa-maṇḍale nija-mukhaṃ bhūṣāṃ manohāriṇīṃ ST_1.76aa	dRzwvA darpaNa--maNxale nija--muKam BUzAm manohAriNIm ST_1.76aa
   dṛṣṭvādhigata-rater nirmīlitākṣyāḥ ST_1.50cb	dRzwvA-aDigata--rateH nirmIlita-akzyAH ST_1.50cb
   dṛṣṭvā nibandhāṃś ca mahā-kavīnām ST_3.45b	dRzwvA nibanDAn ca mahA-kavInAm ST_3.45b
   devīvānimiṣekṣaṇā vilikhati kṣoṇīṃ śvasity uccakaiḥ ST_2.13aa	devI-ivA-nimiza-IkzaNAH viliKati kzoNIm Svasiti uccakEs ST_2.13aa
   deśa-kāla-balāt kopaḥ ST_2.37a	deSa--kAla-balAt kopaH ST_2.37a
   deśe kāle ca bhaṅgyā ca ST_1.51c	deSe kAle ca BaFgyA ca ST_1.51c
   dainyaṃ cintā tathā glānir ST_3.31a	dEnyam cintA taTA glAniH ST_3.31a
   doṣānurūpa-kopā yā- ST_1.89a	doza-anurUpa-kopAH yA ST_1.89a
   doṣā varjyā manīṣibhiḥ ST_3.53b	dozAH varjyAH manIziBiH ST_3.53b
   doṣe svalpe'pi yā kopaṃ ST_1.90a	doze su-alpe-api yA kopam ST_1.90a
   dautsukyaṃ pravilokya mohana-vidhau cāturyam ālokya ca ST_2.67bb	dOtsukyam pravilokya mohana-viDO cAturyam Alokya ca ST_2.67bb
   dgāḍhānaṅga-vimarda-niḥsaha-vapur-nidrāṃ sahaivāgataḥ ST_1.40ad	dgAXA-anaFga--vimarda--niHsaha--vapuH--nidrAm saha-eva-AgataH ST_1.40ad
   dgārāvartibhir āpatadbhir abhitaḥ siktaś ca netrāmbubhiḥ ST_1.22bb	dgArAvartiBiH ApatadBiH aBitas siktaH ca netra-ambuBiH ST_1.22bb
   dgharmāmbhaḥ-kaṇikāpi bhaṅguratara-bhrū-bheda-bhūṣāpy alam ST_1.90ab	dGarmAmBaH--kaNikA-api BaFguratara--BrU--Beda--BUzA-api alam ST_1.90ab
   dravatīva priyāṅgake ST_1.43b	dravati-iva priya-aFgake ST_1.43b
   draṣṭuṃ vaktuṃ ca no kanyā ST_1.52a	drazwum vaktum ca no kanyA ST_1.52a
   dromāñcārcitayā śarīra-latayā saṃsūcya kopāt kila ST_1.51cb	dromAQca-arcitayA SarIra-latayA saMsUcya kopAt kila ST_1.51cb
   dvayoḥ prema-prakāśakaḥ ST_2.53d	dvayoH prema--prakASakaH ST_2.53d
   dvāra-stambha-niṣaṇṇa-gātra-latikā kenāpi puṇyātmanā ST_1.81ac	dvAra--stamBa--nizaNNa--gAtra-latikA kena-api puNya-AtmanA ST_1.81ac
   dvārekṣaṇa-parā yathā ST_1.76d	dvAra-IkzaNa--parAH yaTA ST_1.76d
   dvidhā sā paribhidyate ST_1.47b	dviDA sA pariBidyate ST_1.47b
   dvividhā ca parāṅganā ST_1.87b	dviviDA ca para-aFganA ST_1.87b
   dviśliṣyad-valaya-prapāta-bhayataḥ prodyamya kiñcit karau ST_1.81ab	dvi-Slizyat--valaya--prapAta--BayataH prodyamya kiQcid karO ST_1.81ab
   dveṣo yatrānya-kāryeṣu ST_2.9a	dvezaH yatra-anya--kAryezu ST_2.9a
   dhatte kaṣṭena muñcati ST_1.90b	Datte kazwena muQcati ST_1.90b
   dhatte muñca ruṣaṃ mamātra dayite leśo'pi nāsty āgasaḥ ST_2.35ad	Datte muQca ruzam mama-atra dayite leSaH-api na-asti AgasaH ST_2.35ad
   dhatte vikāram anya-strī- ST_2.32c	Datte vikAram anya--strI ST_2.32c
   dhanam aharahar dattaṃ svīyaṃ yathārthitam arthine ST_3.18aa	Danam aharahar dattam svIyam yaTA-arTitam arTine ST_3.18aa
   dhanārthaṃ kṛtrimair bhāvair ST_1.65c	Dana-arTam kRtrimEH BAvEH ST_1.65c
   dhanāhāryā parāṅganā ST_1.61b	Dana-AhAryA para-aFganA ST_1.61b
   dhanyasya lagati kaṇṭhe mugdha-śiśur dhūli-dhūsaritaḥ ST_3.12ab	Danyasya lagati kaNWe mugDa-SiSuH DUli-DU-saritaH ST_3.12ab
   dhanyās tāḥ sakhi yoṣitaḥ priyatame sarvāṅga-lagne'pi yāḥ ST_1.43aa	DanyAH tAH saKi yozitaH priyatame sarva-aFga--lagne-api yAH ST_1.43aa
   dharmād artho'rthataḥ kāmaḥ ST_1.20a	DarmAt arTaH-arTataH kAmaH ST_1.20a
   dhātrī-sakhī-veśmani rātri-cāre ST_2.27a	DAtrI--saKI--veSmani rAtri-cAre ST_2.27a
   dhārāpātasamudbhavā na ca matā pīḍā tad-āliṅganaṃ ST_1.80ac	DArA-pAta-samudBavA na ca matA pIxA tat--AliFganam ST_1.80ac
   dhik tvām dhūrta gata-trapa praṇayinī saiva tvayārādhyatā ST_1.28ba	Dik tvAm DUrta gata-trapa praNayinI sA-eva tvayA-ArADyatA ST_1.28ba
   dhik tvāṃ dhūrta viniryad-aśrur abalā mohaṃ rudantī gatā ST_1.41bd	Dik tvAm DUrta viniryat--aSruH abalA moham rudantI gatA ST_1.41bd
   dhūrtena locana-jalaṃ parimṛjya gāḍhaṃ ST_1.38ac	DUrtena locana--jalam parimRjya gAXam ST_1.38ac
   dhṛtāñjanaḥ sapadi tad-akṣi-cumbanā- ST_1.41ac	DRtAQjanaH sapadi tat--akzi--cumbanA ST_1.41ac
   dhṛti-garvauddhatya-mati-smṛti-romāñcā bhavanti cāmuṣmin ST_3.11a	DRti--garva-OdDatya-mati--smRti-romAQcAH Bavanti ca-amuzmin ST_3.11a
   dhṛṣṭo'sau kathito yathā ST_1.28d	DRzwaH-asO kaTitaH yaTA ST_1.28d
   nakha-kṣatocchalat-pūti- ST_3.49a	naKa--kzata-ucCalat-pUti ST_3.49a
   na ca harṣāya jāyate ST_2.11b	na ca harzAya jAyate ST_2.11b
   nanu vadati tad adya preyasā saṃgamaṃ te ST_2.67gd	nanu vadati tat adya preyasA saMgamam te ST_2.67gd
   na madhyasthaṃ cetaḥ praguṇa-ramaṇīyaṃ na ca dṛḍham ST_1.35bd	na maDya-sTam cetaH praguNa--ramaNIyam na ca dRXam ST_1.35bd
   namann api yayā punaḥ ST_1.77b	naman api yayA punar ST_1.77b
   na mugdhe pretyetuṃ prabhavati gataḥ kāla-hariṇaḥ ST_1.32ad	na mugDe pretyetum praBavati gataH kAla-hariNaH ST_1.32ad
   na muñcaty anya-citto'pi ST_1.26c	na muQcati anya-cittaH-api ST_1.26c
   na yācitaḥ kiṃcid apy adhikam ST_3.10bd	na yAcitaH kiMcid api aDikam ST_3.10bd
   naraṃmanyaś ca ṣaṇḍakaḥ ST_1.66b	naraMmanyaH ca zaNxakaH ST_1.66b
   na rāgo'syā guṇiny api ST_1.62d	na rAgaH-asyAH guNini api ST_1.62d
   nava kāvye rasāḥ smṛtāḥ ST_1.9d	nava kAvye rasAH smRtAH ST_1.9d
   na vaktuṃ tanvaṅgyā śakitam atha coddāma-vidalat- ST_2.67ac	na vaktum tanu-aFgyA Sakitam aTa ca-uddAma--vidalat ST_2.67ac
   nava-jaladhara-garjer bhītayāsau kayācit ST_3.12bc	nava--jalaDara--garjeH BItayA-asO kayAcid ST_3.12bc
   nava-yauvana-bhūṣitā ST_1.35b	nava--yOvana--BUzitA ST_1.35b
   navānaṅga-rahasyāpi ST_1.35c	nava-anaFga-rahasya-api ST_1.35c
   na vetti ca rasād yathā ST_1.43d	na vetti ca rasAt yaTA ST_1.43d
   na śṛṅgāraḥ kadācana ST_1.64b	na SRFgAraH kadAcana ST_1.64b
   nāgacchaty ucite'pi vāsaka-vidhau kānte samudvignayā ST_1.79ac	na-AgacCati ucite-api vAsaka-viDO kAnte samudvignayA ST_1.79ac
   nātikhedayitavyo'yaṃ ST_2.51a	na-ati-KedayitavyaH-ayam ST_2.51a
   nātigūḍhārtha-saṃpattiḥ ST_3.43a	na-ati-gUXa-arTa--saMpattiH ST_3.43a
   nātibhītikarair bhāvaair ST_1.37c	na-ati-BIti-karEH BAvaEH ST_1.37c
   nābhiyuṅkte svayaṃ kantyā ST_1.60a	na-aBiyuFkte svayam kantyA ST_1.60a
   nāyaka-praṇayaṃ prati ST_1.47d	nAyaka--praNayam prati ST_1.47d
   nāyakas tat-sakhī-janam ST_2.23b	nAyakaH tat--saKI--janam ST_2.23b
   nāyakaṃ para-nārī ca ST_1.85c	nAyakam para-nArI ca ST_1.85c
   nāyakaḥ pralapet premṇā ST_2.60c	nAyakaH pralapet premNA ST_2.60c
   nāyakaḥ sādhayed iti ST_2.28d	nAyakaH sADayet iti ST_2.28d
   nāyako'tyugra-vigrahaḥ ST_3.7d	nAyakaH-ati-ugra--vigrahaH ST_3.7d
   nāyako yatra tuṣṭaye ST_2.45b	nAyakaH yatra tuzwaye ST_2.45b
   nāyako vā sakhīṃ tasyāḥ ST_1.53c	nAyakaH vA saKIm tasyAH ST_1.53c
   nāyaṃ garji-ravo gabhīra-paruṣaṃ tūryaṃ tadīyaṃ tv idaṃ ST_3.41ba	na-ayam garji--ravaH gaBIra--paruzam tUryam tadIyam tu idam ST_3.41ba
   nāyikā-nāyakānugaḥ ST_1.30d	nAyikA--nAyaka-anugaH ST_1.30d
   nāyikāpi priyaṃ prati ST_2.52b	nAyikA-api priyam prati ST_2.52b
   nāyikāḥ pūrva-sūcitāḥ ST_1.73b	nAyikAH pUrva-sUcitAH ST_1.73b
   nārīva ramaṇaṃ vinā ST_1.6b	nArI-iva ramaNam vinA ST_1.6b
   nālpaiḥ parītam anuśabditalāvakaughaiḥ ST_1.22cd	na-alpEH parItam anu-Sabdita-lAvaka-oGEH ST_1.22cd
   nāsākapola-vispando ST_3.4c	nAsA-kapola--vispandaH ST_3.4c
   nāsāpracchādanaṃ vaktra- ST_3.15a	nAsA-pracCAdanam vaktra ST_3.15a
   nāsty anyas tat-samo yuvā ST_2.10b	na-asti anyaH tat-samaH yuvA ST_2.10b
   nitamba-prāg-bhāro gurur api gurutvaṃ mṛgayate ST_1.35ac	nitamba--prAc--BAraH guruH api guru-tvam mRgayate ST_1.35ac
   nitambaḥ prasravaty api ST_1.59b	nitambaH prasravati api ST_1.59b
   nidrāpasmāra eva ca ST_1.12d	nidrA-apasmAraH eva ca ST_1.12d
   nidhāna-kalaśopamāḥ ST_2.68d	niDAna--kalaSa-upamAH ST_2.68d
   nibaddho viralaṃ budhaiḥ ST_2.64d	nibadDaH viralam buDEH ST_2.64d
   nibandhair bāla-bhīṣakaiḥ ST_1.37d	nibanDEH bAla-BIzakEH ST_1.37d
   nimantreṇa vyādhi-miṣeṇa śūnye ST_2.27c	nimantreNa vyADi-mizeNa SUnye ST_2.27c
   nirasto manyunā kānto ST_1.77a	nirastaH manyunA kAntaH ST_1.77a
   nirākulā ratāv eṣā ST_1.43a	nirAkulAH ratO ezA ST_1.43a
   nirālambaṃ mano hy atra ST_3.19a	nirAlambam manaH hi atra ST_3.19a
   nirguṇe'pi na vidveṣo ST_1.62c	nirguNe-api na vidvezaH ST_1.62c
   nirdravyeṇa mayā sārdhaṃ ST_2.22c	nirdravyeNa mayA sArDam ST_2.22c
   nirnimittaṃ hasantī ca ST_1.55a	nirnimittam hasantI ca ST_1.55a
   nirbhayo'py eṣa bhūpālas ST_3.44ca	nirBayaH-api eza BUpAlaH ST_3.44ca
   nirlajja-durācārau niṣṭhura-duḥśīlavānādi ST_2.55b	nirlajja--durAcArO nizWura--duHSIlavAn-Adi ST_2.55b
   nirvedo jaḍatā-smṛtiḥ ST_3.31b	nirvedaH jaxa-tA--smRtiH ST_3.31b
   nirvedo'tha tathā glāniḥ ST_1.11a	nirvedaH-aTa taTA glAniH ST_1.11a
   nirvyūḍha-prauḍha-vikramaḥ ST_3.10d	nirvyUXa--prOXa--vikramaH ST_3.10d
   nirhetuka-pravṛttiś ca ST_1.91c	nirhetuka--pravRttiH ca ST_1.91c
   nivṛtta-viṣayāsaṅga- ST_3.43da	nivRtta--vizaya-AsaFga ST_3.43da
   nivṛtya kiṃ kim idam iti bruvāṇayā ST_2.49ac	nivRtya kim kim idam iti bruvANayA ST_2.49ac
   niśamayya bahir manoharaṃ svaram aikṣiṣṭa tathāparā yā ST_1.50ba	niSamayya bahis manoharam svaram Ekzizwa taTA-aparA yA ST_1.50ba
   niśityāgamanaṃ bhartur ST_1.76c	niSiti-Agamanam BartuH ST_1.76c
   niṣṭhīvanādi cātra syād ST_3.15c	nizWIvana-Adi ca-atra syAt ST_3.15c
   nispandaṃ vapur avalokya sauvidallāḥ ST_1.50cc	nispandam vapuH avalokya sOvidallAH ST_1.50cc
   niḥśaṅka-kelir na parāṅganāsu ST_1.69b	niHSaFka-keliH na para-aFganAsu ST_1.69b
   niḥśaṅkaḥ kṛta-doṣo'pi ST_1.28a	niHSaFkaH kRta-dozaH-api ST_1.28a
   niḥśvāsa-santāpa-sakhī-vacorti- ST_1.82a	niHSvAsa--santApa--saKI--vacorti ST_1.82a
   niḥśvāseṣu skhalati kadalī-bījanaṃ tāpa-sampa- ST_1.60aa	niHSvAsezu sKalati kadalI--bIjanam tApa--sampa ST_1.60aa
   niḥśvāsaiḥ pṛthu-manmathottha-davathur vyaktaṃ tavāvedito ST_1.32cc	niHSvAsEH pRTu--manmaTa-utTa--davaTuH vyaktam tava-AveditaH ST_1.32cc
   niḥśvāsaiḥ saha sāmprataṃ sakhi gatā vṛddhiṃ dhruvaṃ rātrayaḥ ST_2.58ba	niHSvAsEH saha sAmpratam saKi gatAH vRdDim Druvam rAtrayaH ST_2.58ba
   nīcānāṃ nipatad-bāṣpaḥ ST_3.3c	nIcAnAm nipatad--bAzpaH ST_3.3c
   nītvā mohana-mandiraṃ dayitayā hāreṇa bahvā dṛḍham ST_1.27bb	nItvA mohana--mandiram dayitayA hAreNa bahvA dRXam ST_1.27bb
   nīrandhraṃ timiraṃ kiranti salilaṃ garjanta ete ghanāḥ ST_2.31ab	nIranDram timiram kiranti salilam garjante ete GanAH ST_2.31ab
   nīrandhraṃ parirabhyate priyatamo bhūyastarāṃ cumbyate ST_2.67ca	nIranDram pariraByate priyatamaH BUyastarAm cumbyate ST_2.67ca
   nīrasaṃ tac ca kecana ST_3.48d	nIrasam tat ca kecana ST_3.48d
   nīrasaṃ pātra-duṣṭaṃ ca ST_3.46c	nIrasam pAtra-duzwam ca ST_3.46c
   nīrāgo'dhara-pallavo'timalinā veṇī dṛśau nāñjite ST_2.58ca	nIrAgaH-aDara--pallavaH-ati-malinA veNI dRSO na-aQjite ST_2.58ca
   nūnaṃ te jalajaiṣiṇāyam alinā dṛṣṭo na bhartādharaḥ ST_3.3ab	nUnam te jalaja-eziNA-ayam alinA dRzwaH na BartA-DaraH ST_3.3ab
   nṛṇām anyatra yoṣiti ST_2.31b	nRNAm anyatra yoziti ST_2.31b
   netrāmbhaḥ-kaṇikāṅkite stana-taṭe tanvyā samāropitaḥ ST_1.89ad	netra-amBaH--kaNikA-aFkite stana--tawe tanvyA samAropitaH ST_1.89ad
   netrollāsāṅga-vartanam ST_3.4b	netra-ullAsa-aFga--vartanam ST_3.4b
   nerṣyā ca praṇayaṃ vinā ST_2.53b	na-IrzyA ca praNayam vinA ST_2.53b
   naite bhīma-bhujaṅga-bhoga-rucayo meghā ime tad-rajāḥ ST_3.41bb	na-ete BIma--BujaFga--Boga--rucayaH meGAH ime tad--rajAH ST_3.41bb
   noktāpi jalpati vivakṣati cādareṇa ST_1.52ab	na-uktA-api jalpati vivakzati ca-AdareNa ST_1.52ab
   noktā vistara-bhītitaḥ ST_1.92d	na-uktAH vistara--BItitaH ST_1.92d
   no garjir gaṇitā bhṛśaṃ śruti-mukhaṃ tad-vāci saṃcintya ca ST_1.80ab	naH garjiH gaNitA BRSam Sruti-muKam tat--vAci saMcintya ca ST_1.80ab
   no jānatī nava-vadhū rudatī paraṃ sā ST_1.38ab	no jAnatI nava-vaDuH rudatI param sA ST_1.38ab
   no jāne kim ayaṃ priye prakaṭitaḥ kopo'bhilāṣo'thavā ST_2.32ad	naH jAne kim ayam priye prakawitaH kopaH-aBilAzaH-aTavA ST_2.32ad
   no jāne sakhi sāmprataṃ praṇayien kupyāmi tasmai katham ST_1.28ad	naH jAne saKi sAmpratam praNayiet kupyAmi tasmE kaTam ST_1.28ad
   no bhītaṃ taḍito dṛśā jalamucā tad-darśanākāṅkṣayā ST_1.80aa	no BItam taxitaH dRSA jalamucA tad--darSana-AkAFkzayA ST_1.80aa
   no vaktrā gatir uddhataṃ na hasitaṃ naivāsti kaścin madaḥ ST_1.25ab	naH vaktrA gatiH udDatam na hasitam na-eva-asti kaScid madaH ST_1.25ab
   no vāṇī bhāti nīrasā ST_1.6d	naH vANI BAti nIrasA ST_1.6d
   nnetrāmbhobhiś cham iti patitaiḥ sicyate ca stanāntaḥ ST_1.60ab	nnetra-amBoBiH Cam iti patitEH sicyate ca stanAntaH ST_1.60ab
   nbhrū-bhedo na kṛto manāg api muhur yat-khaṇḍyamāne'dhare ST_1.44bb	nBrU--BedaH na kRtaH manAk api muhur yat--KaNxyamAne-aDare ST_1.44bb
   nyo'muṃ nibadhnāti rasaṃ rasajñaḥ ST_2.70b	nyaH-amum nibaDnAti rasam rasa-jQaH ST_2.70b
