   // śrīḥ //	// SrIH //
   alaṅkārasarvasvam	alaFkAra-sarvasvam
   nānāvidhadharmayogitvākhyanimittavaśādetatkriyate /	nAnAviDa-Darma-yogi-tva-AKya-nimitta-vaSAt-etat-kriyate /
   tatra rucyarthitvavyutpattayo yathāyogaṃ prayojikāḥ /	tatra ruci-arTi-tva-vyutpattayaH yaTAyogam prayojikAH /
   taduktam-	tat-uktam-
   'yathāruci yathārthitvaṃ yathāvyutpatti bhidyate /	ayaTAruci yaTArTi-tvam yaTAvyutpatti Bidyate /
   ābhāso 'pyartha ekasminnanusaṃdhānasādhite' //	ABAsaH api-arTaH ekasmin=-anusaMDAna-sADite-a //
   iti //	iti //
   yathā-	yaTA-
   'yastapovanamit.i munibhiḥ kāmāyatanamiti veśyābhiḥ saṃgītaśāleti	ayaH-tapaH-vanam-it.i muniBiH kAma-Ayatanam-iti veSyABiH saMgIta-SAlA-iti
   lāsakaiḥ' ityādi harṣacarite śrīkaṇṭhākhyajanapadavarṇane /	lAsakEHa ityAdi harza-carite SrIkaNWa-AKya-janapada-varNane /
   atra hyeka eva	atra hi-ekaH eva
   śrīkaṇṭhākhyojanapadastattadguṇayogāttapovanādyanekarūpatayā nirūpitaḥ /	SrIkaNWa-AKyojanapadaH-tad-tad-guNa-yogAt-tapaH-vana-Adi-aneka-rUpa-tayA nirUpitaH /
   ruccarthitvavyutpattayaśca prāyaśaḥ samastavyastā yojayituṃ śakyante /	rud-carTi-tva-vyutpattayaH-ca prAyaSas samasta-vyastAH yojayitum Sakyante /
   nanvetanmadhye 'vajravañjaramiti śaraṇāgatairasuravivaramiti vātikaiḥ'	nanu-etat-maDye avajra-vaQjaram-iti SaraNa-AgatEH-asura-vivaram-iti vAtikEH-a
   ityādau rūpakālaṅkārayoga iti kathamayamullekhālaṅkāraviṣayaḥ /	ityAdO rUpaka-alaFkAra-yogaH iti kaTam-ayam-ulleKA-alaFkAra-vizayaH /
   satyam /	satyam /
   asti tāvat 'tapovanam' ityādau rūpakavivikto 'sya viṣayaḥ /	asti tAvat atapaH-vanam-a ityAdO rUpaka-vi-viktaH asya vizayaH /
   yatra vastutastadrūpatāyāḥ saṃbhavaḥ /	yatra vastutas-tad-rUpa-tAyAH saMBavaH /
   yatra tu rūpakaṃ vyavasthitaṃ tatra cediyamapi bhaṅgiḥ saṃbhāvinī	yatra tu rUpakam vyavasTitam tatra ced-iyam-api BaFgiH saMBAvinI
   tatsaṃkaro 'stu /	tad-saMkaraH astu /
   na tvetāvatāsyābhāvaḥ śakyate vaktum /	na tu-etAvatA-asya-aBAvaH Sakyate vaktum /
   tataśca na doṣaḥ kaścit /	tatas-ca na dozaH kaScid /
   evaṃ hi tatra viṣaye bhrāntimadalaṅkāro 'stu atadrūpasya	evam hi tatra vizaye BrAntimat-alaFkAraH astu atat-rUpasya
   tadrūpatāpratītinibandhanatvāt /	tad-rUpa-tA-pratIti-nibanDana-tvAt /
   naitat /	na-etat /
   anaikadhāgrahaṇākhyasyāpūrvasyātiśayasyābhāvāt,	anEkaDA-grahaNa-AKyasya-apUrvasya-atiSayasya-aBAvAt,
   taddhetukatvāccāsyālaṅkārasya /	tad-hetuka-tvAt-ca-asya-alaFkArasya /
   saṃkarapratītistvaṅgīkṛtaiva yadyevam, abhede bheda	saMkara-pratItiH-tu-aFgIkRtA-eva yadi-evam, aBede Beda
   ityevaṃrūpātiśayoktiratrāstu /	iti-evaMrUpa-atiSaya-ukti-ratrAH-tu /
   naiṣā doṣaḥ /	na-ezA dozaH /
   grahītṛbhedākhyena viṣayavibhāgenānekadhātvoṭṭaṅkanāttasya ca	grahItR-Beda-AKyena vizaya-viBAgena-aneka-DAtva-uwwaFkanAt-tasya ca
   vicchittyantararūpatvāt sarvathā nāsyāntarbhāvaḥ śakyakriya iti niścayaḥ /	vicCitti-antara-rUpa-tvAt sarvaTA na-asya-antarBAvaH Sakya-kriyaH iti niScayaH /
   yathā vā- 'ṇārāaṇot ti pariṇaavaāhiṃ sirivallahot ti taruṇīhiṃ /	yaTA vA aNArAaNot ti pariNaavaa-ahim sirivat-lahot ti taruNIhim /
   bālāhiṃ uṇa kodūhaleṇa eme a saccavio' //	bAla-ahim uNa kodUhaleNa eme a sat-caviaH-a //
   ('nārāyaṇa iti pariṇatavayobhiḥ śrīvallabha iti taruṇībhiḥ /	(-anArAyaNaH iti pariNata-vayoBiH SrIvallaBaH iti taruNIBiH /
   bālābhiḥ panaḥ kautūhalena evameva satyāpitaḥ' //)//	bAlABiH panaH kOtUhalena evam-eva satyApitaH-a //)//
   evam	evam
   'garurvacasi pṛthururasi arjuno yaśasi' ityādāvavaseyam /	agaruH-vacasi pRTuH-uH-asi arjunaH yaSasi-a iti-AdO=-avaseyam /
   iyāṃstu viśeṣaḥ-pūrvatra grahītṛbhedenānekadhātvollekhaḥ, iha tu	iyAn=-tu viSezaH-pUrvatra grahItR-Bedena-aneka-DAtva-ulleKaH, iha tu
   viṣayabhedena /	vizaya-Bedena /
   nanvanekadhātvollekhane gurvādirūpatayā śleṣa iti kathamalaṅkārāntaramatra	nanu-aneka-DAtva-ulleKane guru-Adi-rUpa-tayA SlezaH iti kaTam-alaFkAra-antaram-atra
   sthāpyate /	sTApyate /
   satyam /	satyam /
   anekadhātvanimittaṃ tu vicchittyantaramatra dṛśyate iti	anekaDAtu-animittam tu vicCitti-antaram-atra dRSyate iti
   tatpratibhotpattihetuḥ śleṣo 'tra syāt /	tad-pratiBA-utpatti-hetuH SlezaH atra syAt /
   na tu sarvathā tadabhāvaḥ /	na tu sarvaTA tad-aBAvaH /
   ataścālaṅkārāntaraṃ yadevaṃvidhe viṣaye śleṣābhāve 'pi vicchittisadbhāvaḥ	atas-ca-alaFkAra-antaram yat-evaMviDe vizaye Sleza-aBAve api vicCitti-sadBAvaH
   tasmādevamādāvullekha eva śreyān /	tasmAt-evam-AdO=-ulleKaH eva SreyAn /
   evamalaṅkārāntaravicchittyāśrayeṇāpyayamalaṅkāro nidarśanīyaḥ /	evam-alaFkAra-antara-vicCitti-ASrayeNa-api-ayam-alaFkAraH nidarSanIyaH /
   START Sūtra 21:	START SUtra 21:
   viṣayasyāpahnave 'pahnutiḥ // RuAss_21 //	vizayasya-apahnave apahnutiH // RuAsH-_21 //
   vastvantarapratītirityeva prakrāntāpahnavavaidharmyeṇedamucyate /	vastu-antara-pratItiH-iti-eva prakrAnta-apahnava-vEDarmyeNa-idam-ucyate /
   āropaprastāvādāropaviṣayāpahnutāvāropyamāṇapratītāvapahnutyākhyo	Aropa-prastAvAdAra-upavizaya-apahnutO=-AropyamANa-pratItO=-apahnuti-AKyaH-
   'laṃṅkāraḥ /	alaMFkAraH /
   tasya ca trayī bandhacchāyā, apahnavapūrvaka āropaḥ, āropapūrvako	tasya ca trayI banDa=-CAyA, apahnava-pUrvakaH AropaH, Aropa-pUrva-kaH-
   'pahnavaḥ /	apahnavaH /
   chalādiśabdairasatyatvapratipādakairvāpahnavanirdeśaḥ /	Cala-Adi-SabdEH-asatya-tva-pratipAdakEH-vA-apahna-va-nirdeSaH /
   pūrvoktabhedadvaye vākyabhedaḥ /	pUrva-ukta-Beda-dvaye vAkya-BedaH /
   tṛtīyabhede tvekavākyatvam /	tRtIya-Bede tu-eka-vAkya-tvam /
   ādyo yathā--	AdyaH yaTA--
   'yadetaccandrāntarjaladalavalīlāṃ prakurute tadācaṣṭe lokaḥ śaśaka iti no	ayat-etat-candra-antar-jalada-lava-lIlAm prakurute tadA-Acazwe lokaH SaSakaH iti no
   māṃ prati tathā /	mAm prati taTA /
   ahaṃ tvinduṃ manye tvadarivirahākrāntataruṇī	aham tu-indum manye tvad-ari-viraha-AkrAnta-taruNI
   kaṭākṣolkāpātavraṇakiṇakalaṅkāṅkitatanum' //	kawAkza-ulkA-pAta-vraNa-kiNa-kalaFka-aFkita-tanum-a //
   atraindavasya śaśasyāpahnave upakṣitpe śaśakaprativastukiṇavata indorāropo	atra-Endavasya SaSasya-apahnave upakzitpe SaSaka-prativastu-kiNavataH indoH-AropaH-
   nānvayaghaṭanāṃ puṣyatīti na niravadyam /	na-anvaya-GawanAm puzyati-iti na niravadyam /
   tattu yathā 'pūrṇendoḥ paripoṣakāntavapuṣaḥ sphāraprabhābhāsvaraṃ nedaṃ	tat-tu yaTA apUrNa-indoH paripoza-kAnta-vapuzaH sPAra-praBA-BAsvaram na-idam
   maṇḍalamabhyayudeni gaganābhoge jigīṣorjagat /	maNxalam-aByayudeni gagana-ABoge jigIzoH-jagat /
   bhārasyocchritamātapatramadhunā pāṇḍupradeṣaśriyā	BArasya-ucCritam-Atapatram-aDunA pANxu-pradeza-SriyA
   mānonnaddhajanābhimānadalanodyogaikahevākinaḥ' //	mAna-unnadDa-jana-aBimAna-dalana-udyoga-eka-hevAkinaH-a //
   dvitīyo yathā-	dvitIyaH yaTA-
   'vilasadamaranārīnetranīlābjaṣaṇḍā- nyadhivasati sadā yaḥ	avilasat-amara-nArI-netra-nIla-abja-zaNxA nyaDivasati sadA yaH
   saṃyamādhaḥkṛtāni /	saMyama-aDas-kRtAni /
   na tu rucirakalāpe vartate yo mayūre vitaratu sa kumāro brahmacaryaśriyaṃ	na tu rucira-kalApe vartate yaH mayUre vitaratu sa kumAraH brahmacarya-Sriyam
   vaḥ' //	vaH-a //
   tṛtīyo yathā--	tRtIyaH yaTA--
   'ud bhrāntojjhitagehagūrjaravadhūkampākuloccaiḥ kuca-	aud BrAnta-ujJita-geha-gUrjara-vaDU-kampa-Akula-uccEH kuca-
   preṅkholāmalahāravallivilanmuktāphalacchajhanā /	preFKolA-mala-hAra-vallivilat-muktAPala=-CaJanA /
   sārdhaṃ tvadripubhistvadīyaśasāṃ śūnye marau dhāvatāṃ bhraṣṭaṃ	sArDam tu-adri-puBiH-tvadI-yaSasAm SUnye marO DAvatAm Brazwam
   rājamṛgāṅkaṃ! kundamukulasthūlaiḥ śramāmbhaḥkaṇaiḥ' //	rAjamRgAFkaM! kunda-mukula-sTUlEH Srama-amBaH-kaNEH-a //
   atra śūnya ityasya sthāne manyeśabdaprayoge sāpahnavotprekṣā ittayapi	atra SUnyaH iti-asya sTAne manyeSabda-prayoge sa-apahnava-utprekzA ittayapi
   sthāpayiṣyate, ' ahaṃ tvinduṃ manye ' iti tu vākyabhede	sTApayizyate, a aham tu-indum manye a iti tu vAkya-Bede
   manyeśabdaprayogenotprekṣeti ca vakṣyate /	manyeSabda-prayogena-utprekzA-iti ca vakzyate /
   etasminnapi bhedo 'pahnavāropayoḥ paurvāparyaprayogaviparyaye bhedadvayaṃ	etasmin=-api BedaH apahnavAropayoH pOrvAparya-prayoga-viparyaye Beda-dvayam
   sadapi na pūrvavaccitratāvahamiti na bhedatvena gaṇitam /	sat-api na pUrvavat-citra-tAvaham-iti na Beda-tvena gaNitam /
   tatrāpahnuvapūrvake ārope nirantaramudāhṛtam /	tatra-apahnuva-pUrvake Arope nirantaram-udAhRtam /
   āropapūrvake tvapahnave yathā--	Aropa-pUrvake tu-apahnave yaTA--
   'jyotsnābhasmacchuraṇadhavalā bibhratī tārakāsthī	ajyotsnA-Basma=-CuraNa-DavalA biBratI tAraka-asTI
   nyantardhānavyasanarasikā kātrikāpālikīyam /	nyantarDAna-vyasana-rasikA kAtrikA-pAlikIyam /
   dvīpāddvīpaṃ bhramati dadhatī candramudākāpāne nyastaṃ	dvIpAt-dvIpam Bramati daDatI candramudAkA-pAne nyastam
   siddhāñjanaparimalaṃ lāñcanasya cchalena' //	sidDAQjana-parimalam lAQcanasya cCalena-a //
   kacitpunarasatyatvaṃ vastvantararūpatābhidhāyi-vapuḥ-śabdādinibandhanaṃ	kacid-punar-asatya-tvam vastu-antara-rUpatA-aBiDAyi-vapuH--Sabda-Adi-nibanDanam
   yathā-	yaTA-
   'amuṣmiṃllāvaṇyāmṛtasarasi nūnaṃ mṛgadṛśaḥ smaraḥ śarvapluṣṭaḥ	aamuzmin=-lAvaNya-amRta-sarasi nUnam mRga-dRSaH smaraH Sarva-pluzwaH
   pṛthujaghanabhāge nipatitaḥ /	pRTu-jaGana-BAge nipatitaH /
   yadaṅgāṅgārāṇāṃ praśamapiśunā nābhikuhare khikhā dhūmasyeyaṃ pariṇamati	yad-aFga-aFgArANAm praSama-piSunAH nABi-kuhare KiKAH DUmasya-iyam pariNamati
   romāvalivapuḥ' //	romAvali-vapuH-a //
   iti /	iti /
   START Sūtra 22:	START SUtra 22:
   evamabhedaprādhānye āropagarbhānalaṅkārāṃllakṣayitvā	evam-aBeda-prADAnye AropagarBAn-alaFkArAn=-lakzayitvA
   adhyavasāyagarbhāṃllukṣayati- tatra	aDyavasAya-garBAn=-lukzayati tatra
   adhyavasāye vyāpāraprādhānye utprekṣā // RuAss_22 //	aDyavasAye vyApAra-prADAnye utprekzAH // RuAsH-_22 //
   viṣayanigaraṇenābhedapratipattirviṣayiṇo 'dhyavasāyaḥ /	vizaya-nigaraNena-aBeda-pratipattiH-vizayiNaH aDyavasAyaH /
   sa ca dvividhaḥ - sādhyaḥ siddhaśca /	sa ca dviviDaH  sADyaH sidDaH-ca /
   sādhyo yatra viṣayiṇo 'satyatayā pratītiḥ /	sADyaH yatra vizayiNaH asatyatayA pratItiH /
   asatyatvaṃ ca viṣayigatasya dharmasya viṣaya upanibandhe	asatya-tvam ca vizayi-gatasya Darmasya vizayaH upanibanDe
   viṣayisaṃbhāvitvena viṣayāsaṃbhāvitvena ca pratīteḥ /	vizayi-saMBAvi-tvena vizaya-asaMBAvi-tvena ca pratIteH /
   dharmo,guṇakriyārūpaḥ tasya saṃbhavāsaṃbhavapratītau saṃbhavāśrayasya	Darma-u,guNa-kriyA-rUpaH tasya saMBava-asaMBava-pratItO saMBava-ASrayasya
   tatrāparamārthatayā asatyatvaṃ pratīyate, itarasya tu paramārthatayā	tatra-aparamArTa-tayA asatya-tvam pratIyate, itarasya tu parama-arTa-tayA
   satyatvam /	satya-tvam /
   yasyāsatyatvaṃ, tasya satyatvapratītāvadhyavasāyaḥ sādhyaḥ /	yasya-asatya-tvan, tasya satya-tva-pratItO=-aDyavasAyaH sADyaH /
   ataśca vyāpāraprādhānyam /	atas-ca vyApAra-prADAnyam /
   siddho yatra viṣayiṇo vastuto 'satyasyāpi satyatāpratītiḥ /	sidDaH yatra vizayiNaH vastutas asati-asya-api satya-tA-pratItiH /
   satvatvaṃ ca pūrvakasyāsatyatvanimittasyabhāvāt /	satva-tvam ca pUrvakasya-asatya-tva-nimittasyaBAvAt /
   ataścādhyavasitaprādhānyam /	atas-ca-aDyavasita-prADAnyam /
   tatra sādhyatvapratītau vyāpāraprādhānye 'dhyavasāyaḥ	tatra sADya-tva-pratItO vyApAra-prADAnye aDyavasAyaH
   saṃbhāvanamabhimānastarka ūhṛ utprekṣetyādiśabdairucyate /	saMBAvanam-aBimAnaH-tarkaH UhR utprekza-iti-Adi-SabdEH-ucyate /
   tadevamaprakṛtagataguṇakriyābhisaṃbandhādaprakṛtatvena prakṛtasya	tat-evam-aprakRta-gata-guNa-kriyA-aBisaMbanDAt-aprakRta-tvena prakRtasya
   saṃbhāvanamutprekṣā /	saMBAvanam-utprekzAH /
   sā ca vācyā ivādibhiḥ pradarśyate /	sA ca vAcyAH iva-AdiBiH pradarSyate /
   pratīyamānāyāṃ punarivādyaprayogaḥ /	pratIyamAnAyAm punar-iva-Adya-prayogaH /
   sā ca jātikriyāguṇadravyatāṇāmaprakṛtānāmadhyavaseyatvena caturthā /	sA ca jAti-kriyA-guNa-dravya-tANA-Am-aprakRtAnAm-aDyavaseya-tvena caturTAH /
   prakṛtasyaitadbhedayoge 'pi na vaicitryamiti na te gaṇitāḥ /	prakRtasya-etad-Beda-yoge api na vEcitryam-iti na te gaNitAH /
   pratyekaṃ ca bhāvābhāvābhimānarūpatayā dvaividhye 'ṣṭavivatvam /	pratyekam ca BAva-aBAva-aBimAna-rUpa-tayA dvEviDye azwa-viva-tvam /
   bhedāṣṭakasya ca pratyekaṃ nimittasya guṇākriyārūpatve ṣoḍaśa bhedāḥ /	Beda-azwakasya ca pratyekam nimittasya guNa-akriyA-rUpa-tve zoxaSa BedAH /
   teṣāṃ ca pratyekaṃ nimittasyopādānānupādanābhyāṃ dvātriṃśatprabhedāḥ, teṣu	tezAm ca pratyekam nimittasya-upAdAna-anupAdanAByAm dvAtriMSat-praBedAH, tezu
   ca pratyekaṃ hetusvarūpaphalotprekṣaṇarūpatvena ṣaṇṇavatirbhedāḥ /	ca pratyekam hetu-svarUpa-Pala-utprekzaNa-rUpa-tvena zaNNavatiH-BedAH /
   eṣā gatirvācyotprekṣāyā /	ezA gatiH-vAcya-utprekzAyAH /
   tatrāpi dravyasya prāyaḥ svarūpotprekṣaṇameveti	tatra-api dravyasya prAyas svarUpa-utprekzaNam-eva-iti
   hetuphalotprekṣābhedāstataḥ pātanīyāḥ /	hetu-Pala-utprekzA-BedAH-tatas pAtanIyAH /
   pratīyamānāyāstu yadyapyuddeśata etāvantobhedāḥ, tathāpi	pratIyamAnAyAH-tu yadi-api-uddeSataH etA=-antaH-BedAH, taTA-api
   nimittasyānupādānaṃ tasyāṃ na saṃbhavatīti tairbhedair yūno 'yaṃ prakāraḥ	nimittasya-anupAdAnam tasyAm na saMBavati-iti tEH-BedEH yUnaH ayam prakAraH
   ivādyanupādāne nimittasyata cākīrtane utprekṣaṇasya niṣpamāṇatvāt /	iva-Adi-anupAdAne nimittasyata ca-akIrtane utprekzaNasya nizpamANa-tvAt /
   prāyaśca svarūpotprakṣāyā yathāsaṃbhavaṃ bhedanirdeśa /	prAyas-ca svarUpa-utprakzAyAH yaTAsaMBavam Beda-nirdeSaH /
   eṣā cārthāśrayati dharmaviṣaye śliṣṭaśabdahetukā	ezA ca-arTa-ASrayati Darma-vizaye Slizwa-Sabda-hetukA
   kvacitpadārthānvayavelāyāṃ	kvacid-padArTa-anvaya-velAyAm
   sādṛśyābhivānādupakrāntāpyupamāvākyārthatātparyasāmarythābhimantṛvyāpāropārohakrameṇotprekṣāyāṃ	sAdRSya-aBivAnAt-upakrAntA-api-upamA-vAkya-arTa-tAtparyasA-maryTa-aBimantR-vyApAra-upAroha-krameNa-utprekzAyAm
   paryavasyati /	paryavasyati /
   kvacicchalādiśabdaprayoge sāpahnavātprekṣā bhavati /	kvacid-Sala-Adi-Sabda-prayoge sa-apahnavAt-prekzA Bavati /
   ataścoktavakṣyamāṇaprakāravaicitryeṇānantyamasyāḥ /	atas-ca-ukta-vakzyamANa-prakAra-vEcitryeNa-Anantyam-asyAH /
   sāprataṃ tviyaṃ diḍvrātreṇodāhniyate /	sa-apratam tu-iyam diz-vrAtreNa-udAhniyate /
   tatra jātyutprekṣā yathā-	tatra jAti-utprekzAH yaTA-
   'sa vaḥ pāyādindurnavabisalatākoṭikuṭilaḥ- smārāreryo mūrdhni	asa vaH pAyAt-induH-nava-bisa-latA-kowi-kuwilaH smArAreryaH mUrDni
   jvalanakapiśo bhāti nihitaḥ /	jvalana-kapiSaH BAti nihitaH /
   stravanmandākinyāḥ pratidivasasiktena payasā kapālenonmuktaḥ	stravat-mandAkinyAH pratidivasa-siktena payasA kapAlena-unmuktaH
   sphaṭikadhavalenāṅkura iva' //	sPawika-Davalena-aFkuraH iva-a //
   atrāṅkuraśabdasya jātiśabdatvājjātirutprekṣyate /	atra-aFkura-Sabdasya jAti-Sabda-tvAt-jAtiH-utprekzyate /
   kriyotprekṣā yathā--	kriyA-utprekzA yaTA--
   'limpatīva tamoṅgāni varṣatīvāñjanaṃ nabhaḥ' /	alimpati-iva tamaH-FgAni varzati-iva-aQjanam naBaH-a /
   atra lepanavarṣaṇakriye tamonabhogatatvenotprekṣyete /	atra lepana-varzaNa-kriye tamaH-naBaH-gata-tvena-utprekzyete /
   uttarārdhe tu 'asatpuruṣaseveva dṛṣṭirniṣphalatāṃ gatā' //	uttara-arDe tu aasat-puruza-sevA-iva dRzwiH-nizPala-tAm gatA-a //
   ityatropamaiva notprekṣā /	iti-atra-upamA-eva na-utprekzA /
   guṇotprekṣā yathā-	guNa-utprekzA yaTA-
   'saiṣā sthalī yatra vicinvatā tvāṃ bhraṣṭaṃ mayā nūpuramekamurvyām /	asA-ezA sTalI yatra vicinvatA tvAm Brazwam mayA nUpuram-ekam-urvyAm /
   adṛśyata tvaccaraṇāravindaviśleṣaduḥkhādiva baddhamaunam' //	adRSyata tvad-caraNa-aravinda-viSleza-duHKAt-iva badDa-mOnam-a //
   atra dukhaṃ guṇaḥ /	atra duKam guNaH /
   dravyotprekṣā yathā-	dravya-utprekzA yaTA-
   'pātālametannayanotsavena vilokya śūnyaṃ mṛgalāñchanena /	apAtAlam-etat-nayana-utsavena vilokya SUnyam mRga-lAQCanena /
   ihāṅganābhiḥ svamukhacchalena kṛtāmbare candramayīva sṛṣṭiḥ' //	iha-aFganABiH sva-muKa=-Calena kRta-ambare candra-mayI-iva sRzwiH-a //
   atra candrasyaikatvād dravyatvam /	atra candrasya-ekatvAt dravya-tvam /
   etāni bhāvābhimāne udāharaṇāni /	etAni BAva-aBimAne udAharaNAni /
   abhāvābhimāne yathā-	aBAva-aBimAne yaTA-
   'kapolaphalakāvasyāḥ kaṣṭaṃ bhūtvā tathāvidhau /	akapola-Pala-kO=-asyAH kazwam BUtvA taTAviDO /
   apaśyantāvivānyonyamīdṛkṣāṃ kṣamatāṃ gatau' //	apaSyantO=-iva-anyoni-amIdRkzAm kzamatAm gatO-a //
   atrāpaśyantāviti kriyāyā abhāvābhimānaḥ /	atra-apaSyantO=-iti kriyAyAH aBAva-aBimAnaH /
   evaṃ jātyādāvapyūdyam /	evam jAti-AdO=-api-Udyam /
   guṇasya nimittatvaṃ yathā-	guNasya nimitta-tvam yaTA-
   'navabisalatākoṭikuṭilaḥ' ityatrodāhṛte kuṭilatvasya /	anavabisa-latA-kowi-kuwilaH-a iti-atra-udAhRte kuwila-tvasya /
   kriyāyā yathā- r'idṛkṣāṃ kṣāmatāṃ gatau' ityatra kṣāmatāgamanasya /	kriyAyAH yaTA raidRkzAm kzAma-tAm gatO-a iti-atra kzAma-tA-gamanasya /
   nimittopādānasyaite udāharaṇe /	nimitta-upAdAnasya-ete udAharaNe /
   anupādāne 'limpatīva tamo 'ṅgāni' ityādyudāharaṇam /	anupAdAne alimpati-iva tamaH aFgAni-a iti-Adi-udAharaNam /
   hetūtprekṣā yathā - 'viśleṣaduḥkhādiva baddhamaunam' ityādau /	hetu-utprekzAH yaTA  aviSleza-duHKAt-iva badDa-mOnam-a ityAdO /
   svārūpotprekṣā yathā - 'kuberajuṣṭāṃ diśamuṣṇaraśmau gantuṃ pravṛtte	svArUpa-utprekzAH yaTA  akubera-juzwAm diSam-uzNa-raSmO gantum pravRtte
   samayaṃ vilaṅghya /	samayam vilaFGya /
   dig dakṣiṇā gandhavahaṃ mukhena vyalīkaniḥ śvāsamivotsasarja' //	diS dakziNA ganDavaham muKena vyalIka-niH SvAsam-iva-utsasarja-a //
   phalotprekṣā yathā - 'colasya yadbhītipalāyitasya bhālatvacaṃ kaṇṭakino	Pala-utprekzA yaTA  acolasya yat-BIti-palAyitasya BAla-tvacam kaNwakino
   vanāntāḥ /	vanAntAH /
   adyāpi kiṃ vānubhaviṣyatīti vyapāṭayandraṣṭumivākṣarāṇi' //	adya-api kim vA-anuBavizyati-iti vyapAwayan-drazwum-iva-akzarANi-a //
   evaṃ vācyotprekṣāyā udāharaṇadig dattā /	evam vAcya-utprekzAyAH udAharaNa-diS dattA /
   pratīyamānotprekṣā yathā -	pratIyamAna-utprekzA yaTA -
   'mahilāsahaḥsabharie tuha hiae suhaa sā asāantī /	amahilAsa-haH-saBarie tuha hiae suhaa sA asAantI /
   aṇudiṇamaṇaṇṇaambhā aṅgaṃ taṇuaṃpi taṇuei' //	aNudiNa-maNaNNaamBAH aFgam taNuaMpi taNuei-a //
   ('mahilāsahasrabharite tava hṛdaye subhaga sā amāntī /	(-amahilA-sahasra-Barite tava hRdaye suBaga sA amAntI /
   anudinamananyakarmā aṅgaṃ tanakamapi tanayati' //) //	anudinam-ananya-karmA aFgam tanakam-api tanayati-a //) //
   atra-	atra-
   amāantītyavartamāneveti tanūkaraṇahetutvenotprekṣitam /	amAanti-iti-avartamAn-A-iva-iti tanUkaraNa-hetu-tvena-utprekzitam /
   evaṃ bhedāntareṣvapi jñeyam /	evam Beda-antarezu-api jQeyam /
   śliṣṭaśabdaheturyathā - 'ananyasāmānyatayā prasiddhasttayāgīti gīto	Slizwa-Sabda-hetuH-yaTA  aananya-sAmAnya-tayA prasidDa-H-ttayA-agI-iti gItaH-
   jagatītale yaḥ /	jagatI-tale yaH /
   abhūdahaṃpūrvikayā gatānāmatīva bhūmiḥ smaramārgaṇānām' //	aBUt-ahaMpUrvikayA gatAnAm-atIva BUmiH smara-mArgaNAnAm-a //
   atra dharmaviṣaye mārgaṇaśabdaḥ śliṣṭaḥ /	atra Darma-vizaye mArgaNa-SabdaH SlizwaH /
   upamopakramotprekṣā yathā - 'kastūrītilakanti bhālaphalake devyā	upama-upakrama-utprekzA yaTA  akastUrI-tilakanti BAla-Palake devyA
   mukhāmbhoruhe rolambanti tamālabālamukulottaṃsanti maulāvapi /	muKa-amBoruhe rolambanti tamAla-bAla-mukula-uttaMsanti mOlO=-api /
   yāḥ karṇe vikacotpalanti kucayoraṅke ca kālāguru- sthāsanti prathayantu	yAH karNe vikaca-utpalanti kucayoH-aFke ca kAlAguru sTAsanti praTayantu
   tāstava śivaṃ śrīkaṇṭhakaṇṭhatviśaṣaḥ' //	tAH-tava Sivam SrIkaNWa-kaNWa-tviSazaH-a //
   atra yadyapi 'sarvaprātipadikebhyaḥ kkip' ityupamānātkkibvidhāvāmukhe	atra yadi-api asarva-prAtipadikeByaH kkipa iti-upamAnAtkkibviDO=-AmuKe
   upamāpratītistathāpyupamānasya prakṛte saṃbhavaucityātsaṃbhāvanotthane	upamA-pratItiH-taTA-api-upamAnasya prakRte saMBava-OcityAt-saMBAvanA-utTane
   utprekṣāyāṃ paryavasānam /	utprekzAyAm paryavasAnam /
   yathā vā virahavaṇaṃne 'keyūrāyitamaṅgadaiḥ' ityādau /	yaTA vA viraha-vaNaMne akeyUrAyitam-aFgadEH-a ityAdO /
   eṣāpi samastopamāpratīpādakaviṣaye 'pi harṣacaritavārtite	ezA-api samasta-upamA-pratIpAdaka-vizaye api harza-carita-vArtite
   sāhityamīmāṃsāyāṃ ca teṣu teṣu pradeśeṣudāhṛtā, iha tu	sAhitya-mImAMsAyAm ca tezu tezu pradeSezu-dAhRtA, iha tu
   granthavistarabhayānna prapañcitā /	granTa-vistara-BayAt-na prapaQcitA /
   sāpahnavotprekṣā yathā-	sa-apahnava-utprekzA yaTA-
   'gatāsu tīraṃ timighaṭṭanena sasaṃbhramaṃ pauravilāsinīṣu /	agatAsu tIram timi-Gawwanena sa-saMBramam pOra-vilAsinIzu /
   yatrollasatphenataticchalena muktāṭṭahāseva vibhāti siprā' //	yatra-ullasat-Penata-ticCalena mukta-awwahAsa-iva viBAti siprA-a //
   atrevaśabdamāhātmyātsaṃbhāvanaṃ chalaśabdaprayogāccāpahnavo gamyate /	atra-iva-Sabda-mAhAtmyAt-saMBAvanam Cala-Sabda-prayogAt-ca-apahnavaH gamyate /
   evaṃ chadmādiśabdaprayoge 'pi jñeyam /	evam Cadma-Adi-Sabda-prayoge api jQeyam /
   'apara iva pākaśāsanaḥ' ityādāvaparaśabdāprayoge upamaiveyam /	aaparaH iva pAkaSAsanaH-a iti-AdO=-apara-Sabda-aprayoge upamA-eva-iyam /
   tatprayoge tu prakṛtasya rājñaḥ	tad-prayoge tu prakRtasya rAjQaH
