   śrīvyāsatīrtharacitam	SrI vyAsa tIrTa racitam
   cākāśamastītivākyādākāśa 3 śabdasamāvāyitvenākāśasmṛtimata ākāśaśabde  	ca AkASamasti iti vAkyAt AkASa 3 Sabda samAvAyi tvena AkASa smRtimataH AkASa Sabde  
   4 ayogyepi vākye 'nvayadhīranyahetuketyāśaṅkyāha   na ceti// taditi//	4 ayogyepi vAkye anvaya DIH anya hetukA iti ASaFkya aha  na ca iti// tad iti//
   ghaṭaḥ karmatvamityādivākyamityarthaḥ/ tataśca kiṃ prakṛta ityata āha  	GawaH karma tvam ityAdi vAkyam iti arTaH/ tatas ca kim prakRtaH iti atas Aha  
   bālaṃ pratīti// śaktitvena śaktijñānasyā 5 nanyathāsiddhatvaṃ	bAlam prati iti// Sakti tvena Sakti jQAnasyAH 5 nanyaTA sidDa tvam
   cānvayadhīhetutve mānāmityāhu    kiṃ ceti// te matamiti// siddhānte	ca anvayaDI hetu tve mAnAm iti Ahu   kim ca iti// te matam iti// sidDAnte
   śaktijñānavākyārthajñānayormadhye padārthasmṛteranabhyupagamāditi bhāvaḥ/	Sakti jQAna vAkya arTa jQAnayoH maDye padArTa smRteH anaByupagamAt iti BAvaH/
   astvevaṃ tataḥ kimityata āha   evaṃ ceti// sambandhatvena śaktijñānasya	astu evam tatas kim iti atas Aha  evam ca iti// sambanDa tvena Sakti jQAnasya
   padārthasmṛtihetutve satītyarthaḥ/	padArTa smRti hetu tve sati iti arTaH/
   1.nasya saha naṃ.su.rā.ga. 2.śabdadhī naṃ.su.rā.ga.ka. 3.śasya su.rā.	1.nasya sa ha naM.su. rA. ga. 2. Sabda DI naM.su. rA. ga.ka. 3.Sasya  su.rA.
   4.ayogyeti / ityasti naṃ.u. 5.syānyathā naṃ.u.	4.a yogyA iti / iti asti naM.u. 5.syAnyaTA naM.u.
   nyāyadīpayutatarkatāṇḍavam (dvi.paricchedaḥ pu   192.	nyAya dIpa yuta tarka tANxavam (dvi. paricCedaH pu  192.
    vyutpattihīnasyāpi puṃsa ākāśāstitvabodhaḥ syāt/ na cātra	 vyutpatti hInasya api puMsaH AkASa astitva boDaH syAt/ na ca atra
   nāmavibhaktyākhyātayukte svarūpāyogyatvaṃ śaṅkārham//	nAma viBakti AKyAta yukte svarUpa ayogya tvam SaFkA arham//
   atha saṃbandhatvaprakārakajñānenaivākāśasya smaraṇe siddhe 'nubhavārthaṃ	aTa saMbanDa tva prakAraka jQAnena eva AkASasya smaraNe sidDe anuBava arTam
   śaktitvena jñānamapekṣyata 1 iti cettarhyanvayānubhavārthaṃ tatraiva	Sakti tvena jQAnam apekzyate 1 iti ced tarhi anvaya anuBava arTam tatra eva
   śaktijñānāpekṣeti madiṣṭasiddhiḥ//	Sakti jQAna apekzA iti mad izwa sidDiH//
   evaṃ cānvitābhidhāne na kevalaṃ pūrvoktaṃ ṣaṭkam/ kiṃ tu vṛttijñāne	evam ca anvita aBiDAne na kevalam pUrva uktam zawkam/ kim tu vRtti jQAne
   satyeva śābdadhīḥ, parokṣajñāne phalībhūtajñānaviṣayasya saṃbandhasya	sati eva SAbda DIH, parokza jQAne PalIBUta jQAna vizayasya saMbanDasya
   janakībhūtajñānaviṣayatvaniyamo ghaṭaḥ karmatvamityādāvanvayāpratītiḥ,	janakIBUta jQAna vizaya tva niyamaH GawaH karma tvam iti AdO= anvayA pratItiH,
   padārthasmṛteranyathāpi siddhyānvayānu  	padArTa smRteH anyaTA api sidDyA anvayAnu  
   ākāśāstitvabodhaḥ syāditi// śaktitvena śaktijñānarūpakāraṇaṃ vinā 2 nyasya	AkASa astitva boDaH syAt iti// Sakti tvena Sakti jQAna rUpa kAraNam vinA 2 nyasya
   padārthasmṛtyādirūpakāraṇasya sarvasya satvāditi bhāvaḥ/	padArTa smRti Adi rUpa kAraNasya sarvasya satvAt iti BAvaH/
   yogyatāvirahadanvayayabuddhyabhāva ityata āha   nacātreti// ākāśamastīti	yogya tA virahat anvayaya budDi aBAvaH iti atas Aha  na cAtra iti// AkASam asti iti
   vākya 3 mityarthaḥ/ tarhīti// anubhavār 4 thakatvapakṣe kevalapadārthe	vAkya 3 miti arTaH/ tarhi iti// anuBavAH 4 Taka tva pakze kevala padArTe
   tadayogenānvayasahita evānubhavasya vācyatvena tadarthamevānvaye	tad ayogena anvaya sahitaH eva anuBavasya vAcya tvena tad arTam eva anvaye
   śaktijñānamapekṣitamityuktaṃ bhavatītyarthaḥ/ evamupapāditaṃ	Sakti jQAnam apekzitam iti uktam Bavati iti arTaH/ evam upapAditam
   saṅgraheṇānuvadannupasaṃharati    evaṃ ceti// anviteti//	saFgraheNa anuvadan= upasaMharati   evam ca iti// anvitA iti//
   1.iti cet iti nāsti su.rā.ja.ga. 2.nāsyapadā naṃ.u. 3.kya itya er.	1. iti ced iti nAsti su.rA. ja.ga. 2.nAsya padA naM.u. 3.kyaH iti a eH .
   4.thatvapa  naṃ.u.e.	4.Ta tu apaH  naM.u.e.
   vyakti prandyā duri hatvam) śaktivādaḥ pu   193.	vyakti  prandyA  duri ha tvam) SaktivAdaH pu  193.
   bhavārthaṃ tatraiva śaktijñānāpekṣeti yukticatuṣṭayamapi //	Bava arTam tatra eva Sakti jQAna apekzA iti yukti catuzwayam api //
   anvitābhidhāne yuktidaśakam // 18 //	anvita aBiDAne yukti daSakam // 18 //
   aṃśadvaye 'pi śaktijñānenaiva padārthatadanvayābhidhāna ityarthaḥ/ spaṣṭo	aMSa dvaye api Sakti jQAnena eva padArTa tad anvaya aBiDAnaH iti arTaH/ spazwaH 
   'yaṃ granthaḥ//	ayam granTaH//
   anvitābhidhāne 1 prāguktena saha yuktidaśakam// 18 //	anvita aBiDAne 1 prAk uktena saha yukti daSa kam// 18 //
   atha vyaktipratibandyā duṣpariharatvam // 19 //	aTa vyakti pratibandyAH duzparihara tvam // 19 //
   nanu    ṣaṭkāntargatā vyaktipratibandī na yuktā/ vyaktau	nanu   zawka antargatA vyakti pratibandI na yuktA/ vyaktO
   śaktijñānasyāhetutve jātāviva vyaktāvapi   	Sakti jQAnasya ahetutve jAtO= iva vyaktO= api   
   atha vyaktipratibandī duṣpariharatvāt // 19 //	aTa vyakti pratibandI duzparihara tvAt // 19 //
   nanu    yaduktaṃ śaktiḥ padārthe jñātopayujyate, anvaye tu svarūpasatīti	nanu   yat uktam SaktiH padArTe jQAta upayujyate, anvaye tu svarUpa satI iti
   kubjaśaktipakṣe sādhakaṣṭakaṃ sthirameveti tatrānvayasya śābdatvaṃ	kubja Sakti pakze sADakazwakam sTiram eva iti tatra anvayasya SAbda tvam
   kāraṇarūpaśabdasya	kAraNa rUpa Sabdasya
   pratyāsannatvaṃ ca śaktijñānaṃ vinā na yuktamiti sādhakadvayasyopapādane	pratyAsanna tvam ca Sakti jQAnam vinA na yuktam iti sADaka dvayasya upapAdane
   'pi śaktirjātāviva vyaktāvapi tadviśiṣṭavyaktibodhe jñātopayujyate na tu	api SaktiH jAtO= iva vyaktO= api tad viSizwa vyakti boDe jQAta upayujyate na tu
   vyaktyaṃśe ajñāteti yathocyate tathānvayāṃśe 'pīti yatsādhakamabhihitaṃ	vyakti aMSe ajQAtA iti yaTA ucyate taTA anvaya aMSe api iti yat sADakam aBihitam
   tadayuktam/ yena jātivyaktipratibandyānvayāṃśe 'pi śaktirjñātopayuktā	tat ayuktam/ yena jAti vyakti pratibandya anvaya aMSe api SaktiH jQAta upayuktA
   śābdabodhe syāditi bhāvena śaṅkate    nanviti// padaśaktivādasiddhānte	SAbda boDe syAt iti BAvena SaFkate   nanu iti// pada Sakti vAda sidDAnte
   maṇyuktamāha   vyaktāviti// vyaktyaṃśe yā   	maNI uktam Aha  vyaktO= iti// vyakti aMSe yA   
   1. śaktijñānapūrvakamevānvitābhidhānamityatra prāgu  naṃ.u.e.	1. Sakti jQAna pUrvakam eva anvita aBiDAnam iti atra prAgu  naM.u.e.
   nyāyadīpayutatarkatāṇḍavam (dvi.paricchedaḥ pu   194.	nyAya dIpa yuta tarka tANxavam (dvi. paricCedaH pu  194.
   śaktatvena jñātasyaiva prayojakatvasambhave śakyatvena	Sakta tvena jQAtasya eva prayojaka tva samBave Sakya tvena
   jñātajātisaṃbandhivyaktitvarūpaprayojakāntarakalpane gauravamiti cet	jQAta jAti saMbanDi vyakti tva rUpa prayojaka antara kalpane gOravam iti ced 
   samanvaye 'pi projakāntaralpane 'nuvyākhyānoktaṃ gauravam//	samanvaye api projaka antaralpane anuvyAKyAna uktam gOravam//
   nanu gotve gaupadaṃ śaktamiti jñātaṃ prati viṣatayā jāteravacchedakatvaṃ	nanu go tve gOpadam Saktam iti jQAtam prati vizatayA jAteH avacCedaka tvam
   nāgṛhītaviśeṣaṇānyāyena viśeṣaṇībhūtavyaktimādāyaiva yuktam/ vyaktiṃ vinā	na agRhIta viSezaNA nyAyena viSezaNIBUta vyaktim AdAya eva yuktam/ vyaktim vinA
   jāteranupasthiteḥ/	jAteH anupasTiteH/
     śaktistajjñānasya jitiviśiṣṭavyaktijñāna 2 hetutve vyaktyaṃśe śakteḥ	 SaktiH tad jQAnasya jiti viSizwa vyakti jQAnaH 2 hetu tve vyakti aMSe SakteH
   svarūpasatyā eva hetutve gauravamityanvayaḥ/ kathamityata uktaṃ	svarUpa satyAH eva hetu tve gOravam iti anvayaH/ kaTam iti atas uktam
   jātiveśatyādi/ ga 3 vādiśabdena gotvādijñāne janayitavye	jAtiveSati Adi/ ga 3 vAdi Sabdena go tva Adi jQAne janayitavye
   jātergopadaśakyatvena jñānatatvaṃ yathā prayojakaṃ tathā govyaktijñāne	jAteH go pada Sakya tvena jQAnatatvam yaTA prayojakam taTA go vyakti jQAne
   janayitavye 'pa gopadaśakyatvena jñānatatvasyaiva prayojakatvasaṃbhave	janayitavye apa go pada Sakya tvena jQAna tatvasya eva prayojaka tva saMBave
   tatyāgena gopadādiśakyatvena jñātā yā	tatyAgena gopada Adi Sakya tvena jQAtA yA
   gotvādijātistatsaṃbhabandhivyaktitvādirūpaprayojakāntarasya	go tva Adi jAtiH tad saMBa banDi vyakti tva Adi rUpa prayojaka antarasya
   kalpanīyatvādityarthaḥ// prayojakāntareti// padārtha ivānye 'pi	kalpanIya tvAt iti arTaH// prayojaka antarA iti// padArTaH iva anye api
   śabdaśakyatvena jñātatvarūpakḷptaprayojakatyāgena śakyatvena	Sabda Sakya tvena jQAta tva rUpa k?pta prayojaka tyAgena Sakya tvena
   jñātapadārthānvayatvarūprayojakāntaralpane"gauravaṃ kalpane 'nyathe"ti	jQAta padArTa anvayatva rU prayojaka antaralpane" gOravam kalpane anyaTA i"ti
   sādhakaṣaṭkavādodāhṛtānuvyakhyānoktagauravamiti	sADaka zawka vAda udAhRta anuvyaKyAna ukta gOravam iti
   mūlārūḍhatāpradarśanāyānuvyākhyānetyuktam //	mUla ArUXa tA pradarSanAya anuvyAKyAna iti uktam //
   padaśaktivādasiddhānte maṇyuktadiśā śaṅkate   nanviti// gotve gopadaṃ	pada Sakti vAda sidDAnte maNI ukta diSA SaFkate  nanu iti// go tve go padam
   śaktamitijñāte gotvaṃ viśeṣyatvena viṣayaḥ/ ata eva jñāne	Sakta miti jQAte go tvam viSezya tvena vizayaH/ atas eva jQAne
   vyāvartakāparaparyāyamavacchedakaṃ jātau ca govyakti 4 rviśeṣaṇam/ tayā	vyAvartaka apara paryAyam avacCedakam jAtO ca go vyakti 4 rviSezaNam/ tayA
   vinā jāterapratīteḥ/	vinA jAteH apratIteH/
   1.śakyatve rā.su.ga. 2.nāha e. 3.gakāradi śa naṃ.u.	1.Sakya tve rA. su.ga. 2.nAha e. 3.gakAra di Sa naM.u.
   4.ktiviśeṣaṇatayā naṃ.e.	4.kti viSezaNa tayA naM.e.
   vyakti prandyā duri hatvam) śaktivādaḥ pu   195.	vyakti  prandyA  duri ha tvam) SaktivAdaH pu  195.
   anvaye tu naivam/ taṃ vināpi padārthopasthiteriti cenmaivam/	anvaye tu na evam/ tam vinA api padArTa upasTiteH iti ced mA evam/
   anvitaviṣayakavyavahārarūpaliṅgajanye śaktigrahe jñāne	anvita vizaya kavyavahAra rUpa liFga janye Sakti grahe jQAne
   niyamopasthiteranvaye 'pi satvāt/ anyatra niyamena pratītestu	niyama upasTiteH anvaye api satva at/ anyatra niyamena pratIteH tu
   nityādipadanyajñāne gotvapratītāvapi gavādi 1 vyakterapratītyā	nitya Adi padanya jQAne go tva pratItO= api gavA Adi 1 vyakteH apratItyA
   vyaktāvapyasatvāt/ evaṃ vyaktyanvayayossāmye 'pi vairūpyakalpane	vyaktO= api asatva at/ evam vyakti anvayayossAmye api vErUpya kalpane
   gauravam//	gOravam//
   tathā ca nāgṛhītaviśeṣaṇā viśeṣye buddhirita nyāyena gotve gopadaṃ	taTA ca na agRhIta viSezaNA viSezye budDiH ita nyAyena go tve go padam
   śaktamiti jñānaṃ govyaktiṃ gotvaṃ ca viṣayīkarotīti tādṛśajñānaṃ prati	Saktam iti jQAnam go vyaktim go tvam ca vizayIkaroti iti tAdRSa jQAnam prati
   jātivyaktyordvayorapi viṣayatayāvacchedakatvaṃ nyāyyamiti jātyaṃśa iva	jAti vyaktyoH dvayoH api vizaya tayA avacCedaka tvam nyAyyam iti jAti aMSaH iva
   vyaktyaṃśe 'pi śaktijñānaṃ jātiviśiṣṭvyaktijñāne heturiti yuktam/ anvaye	vyakti aMSe api Sakti jQAnam jAti viSizwu yakti jQAne hetuH iti yuktam/ anvaye
   tu naivam/ tadvyanakti   2 tamiti // jñāna iti// itarānvite	tu na evam/ tad vyanakti  2 tam iti // jQAnaH iti// itara anvite
   śaktamityevaṃrūpajñānasyaiva vṛddhavyavahārajanyatvasya prāgupādā 3 nāt/	Saktam iti evaMrUpa jQAnasya eva vRdDa vyavahAra janya tvasya prAk upAdAH 3 na at/
   tādṛśajñāne ca padārthasyevānvayasyāpi niyamenopasthityā taṃ vinā	tAdRSa jQAne ca padArTasya iva anvayasya api niyamena upasTityA tam vinA
   padārthopasthiterityasyāsiddhiritibhāvaḥ//	padArTa upasTiteH iti asya asidDiH iti BAvaH//
   nanu vyavahārarūpaliṅgajanyaprādhamikaśaktijñāne 'nvayasya	nanu vyavahAra rUpa liFga janya prADamika Sakti jQAne anvayasya
   niyamenopasthitāvapi vyākaraṇopamānakośādijanyapāścātyaśaktijñāne	niyamena upasTitO= api vyAkaraNa upamAna koSa Adi janyapAH cAtya Sakti jQAne
   anvayapratīterasatvamevetyato vyaktāvapi tathetyāha   anyatreti//	anvaya pratIteH asatvam eva iti atas vyaktO= api taTA iti Aha  anyatra iti//
   gaurnityetyadau vyakterbādhena jātereva pratītyā	gOH nitya iti adO vyakteH bADena jAteH eva pratItyE 
   vyaktipratīterasatvādityarthaḥ//	vyakti pratIteH asatvAt iti arTaH//
   "gauravaṃ kalpane 'nyathā"iti mūlārūḍhatāṃ darśayati   evamiti// api ca	"gOravam kalpane anyaTA"iti mUla ArUXa tAm darSayati  evam iti// api ca
   yaddharmavattayā jñāta eva yatra yasya jñānaṃ sa tatrāvacchedaka	yat Darmavat tayA jQAtaH eva yatra yasya jQAnam sa tatra avacCedaka
   ityādimaṇyuktaṃ hṛdi kṛtvā vaiṣamyāntaramanūdya nirāha    eteneti//	ityAdi maNI uktam hRdi kRtvA vEzamya antara m anUdya nirAha   etena iti//
   1.gavādi iti nāsti  su.rā. 2.taṃ vināpīti/ anviteti// itarā u.	1.gavAdi iti nAsti su.rA. 2.tam vinA api iti/ anvitA iti// itarA u.
   3.papāditvāt u. danāt  e.	3.papAdi tvA at u. danAt  e.
   nyāyadīpayutatarkatāṇḍavam (dvi.paricchedaḥ pu   196.	nyAya dIpa yuta tarka tANxavam (dvi. paricCedaH pu  196.
   etena jātivyaktyossamānasaṃvitsaṃvedyatayā vyaktijñānatvena jñāta eva	etena jAti vyakti ossamAna saMvid saMvedya tayA vyakti jQAna tvena jQAtaH eva
   jātijñāne śaktigrahādvyakterapyavacchedaka 1 tayā śakyatvaṃ, na	jAti jQAne Sakti grahAt vyakteH api avacCedakaH 1 tayA Sakya tvaM, na
   tvanyayasyeti nirastam/ śaktigrāhake jñāne samānasaṃvitsaṃvedyatvasyānvaye	tu anyayasya iti nirastam/ Sakti grAhake jQAne samAna saMvid saMvedya tvasya anvaye
   'pi satvāt/ anyatra tadasatvasyākiñcitkaratvādi 2 tyuktatvāt/ jātivyaktyoḥ	api satva at/ anyatra tad asatvasya akiQcitkara tva Adi 2 tyukta tva at/ jAti vyaktyoH
   samānasaṃvitsaṃvedyatve 'pi tajjñānatvayostadabhāvācca//	samAna saMvid saMvedya tve api tad jQAna tvayoH tad aBAvAt ca//
   gotvādyarthe gavādipadaṃ śaktamityekaṃ matam/ gotvādijñāne śaktamityaparaṃ	go tva Adi arTe gavA Adi padam Saktam iti ekam matam/ go tva Adi jQAne Saktam iti aparam
   matam/ tanmatāvaṣṭambhena vyaktijñānatvena jñāta eva, jātijñāna	matam/ tad mata avazwamBena vyakti jQAna tvena jQAtaH eva, jAti jQAna
   ityanuvādaḥ/ jātivyaktyubhayiṣayajñānsyaikatvāt/ asmin pakṣe śaktipadaṃ	iti anuvAdaH/ jAti vyakti uBayiza yajQAn sya eka tva at/ asmin pakze Sakti padam
   kāraṇatvam/ arthe	kAraNa tvam/ arTe
   śaktamiti pakṣe ceśvarasaṅketaparamiti dhyeyam/ paramate 3	Saktam iti pakze ca ISvara saFketa param iti Dyeyam/ para mate 3
   indriyaśakterabhāvāt// uktatvādita// 4 prādhamikavyutpattito 'nyatra	indriya SakteH aBAvAt// ukta tvAt ita// 4 prADamika vyutpattitaH anyatra
   vyākāraṇādivyutpattisthale samānavittivedya 5 tvāsatvasyānyatra niyamena	vyAkAraNa Adi vyutpatti sTale samAna vitti vedya 5 tvA asatvasya anyatra niyamena
   pratīte 6 stvityādipūrvavākye jātivyaktyorapi	pratIte 6 stu iti Adi pUrva vAkye jAti vyaktyoH api
   tadasatvasyoktyākiñcitkaratvādityuktaprāyatvādityarthaḥ/	tat asatvasya uktyA kiQcitkara tvAt iti ukta prAya tvAt iti arTaH/
   tajjñānatvayoriti// jātijñānatvavyaktijñānatvayorityarthaḥ/ tathāca	tad jQAna tvayoH iti// jAti jQAna tva vyakti jQAna tvayoH iti arTaH/ taTA ca
   vyaktijñānatve 7 na jñāna eva jātijñāna ityayuktamiti bhāvaḥ//	vyakti jQAna tve 7 na jQAnaH eva jAti jQAnaH iti ayuktam iti BAvaH//
   1.kāyāḥ su.rā. 2.'ityuktatvāta' iti nāsti su.rā. 3.tetīndriya e.	1.kAyAH su.rA. 2. aiti ukta tvAta a iti nAsti su.rA. 3.tA iti indriya e.
   4.anvayepi satvādityanenoktatvādityarthaḥ/ ityadhikam e. 5.dyatvasyā naṃ.	4.anvayepi satvAt iti anena ukta tvAt iti arTaH/ iti aDikam e. 5.dya tvasya a naM.
   6.terastvi u. 7. tve jñā  naṃ	6.teraH tu i u. 7. tve jQAH  nam
   vyakti prandyā duri hatvam) śaktivādaḥ pu   197.	vyakti  prandyA  duri ha tvam) SaktivAdaH pu  197.
   na ca jātiviśiṣṭavyaktau śaktyabhāve tayorvi 1 śiṣṭā dhīrna syāditi	na ca jAti viSizwa vyaktO Sakti aBAve tayoH vi 1 SizwA DIH na syAt iti
   vācyam/	vAcyam/
   tvanmate padārthayoriva jātivyaktyorapi prathamaṃ	tvad mate padArTayoH iva jAti vyaktyoH api praTamam
   padādananvitayorevopasthitāvapi paścādākāṅkṣādisahakāreṇa	padAdananvitayoH eva upasTitO= api paScAt AkAFkza Adi sahakAreNa
   vaiśiṣṭyarūpānvayadhīsaṃbhavāt//	vESizwya rUpa anvayaDI saMBavAt//
   na caikapadopasthāpya 2 yoḥ parasparamanvayoḥ na vyutpanna iti vācyam/	na ca eka pada upasTApya 2 yoH parasparam anvayoH na vyutpannaH iti vAcyam/
   jīrṇanaiyāyikamate eka liṅpratyayopāttayorapi kṛtīṣṭasādhanatvayoḥ	jIrNa nEyAyika mate eka liFpratyaya upAttayoH api kRti izwa sADana tvayoH
   sarveṣāṃ mate ekalaṭpratyayopāttayoḥ	sarvezAm mate eka laz pratyaya upAttayoH
   kṛtivartamānatvayoranvayadhīdarśanāt//	kRti vartamAna tvayoH anvayaDI darSanAt//
   nanu    jātaveva śaktiritipakṣe jātiviśiṣṭavyaktibuddhyanupapatyā tatra	nanu   jAtaveva SaktiH iti pakze jAti viSizwa vyakti budDi anupapatyA tatra
   viśiṣṭe śaktirastu/ na tvinvite// anvayadhiyo 'nyalabhyatvādita	viSizwe SaktiH astu/ na tu invite// anvayaDiyaH anya laBya tvAt ita
   bhāvenāśaṅkyāha   na ceti// jātiviśiṣṭavyaktibuddherapi	BAvena ASaFkya aha  na ca iti// jAti viSizwa vyakti budDeH api
   tathaivānyalabhyatvātanna viśiṣṭe śaktirastvityāha   tvanmata iti//	taTA eva anyalaBya tva Atat na viSizwe SaktiH astu iti Aha  tvad mataH iti//
   gāmānayetyādau gavānayanādirūpapadārthayorivetyarthaḥ/	gAmAnaya ityAdO gavAnayana Adi rUpa padArTayoH ivA iti arTaH/
   ananvitayoranvayavinākṛtayorityarthaḥ/ vākye	ananvitayoH anvayavinAkRtayoH iti arTaH/ vAkye
   padadvayopasthāpyapadārthayostathānvayabodhayoge 'pi na	pada dvaya upasTApya padArTayoH taTA anvaya boDa yoge api na
   jātivyaktyorekaśabdopasthāpyatvāditi śaṅkate    na ceti //	jAti vyaktyoH eka Sabda upasTApya tvAt iti SaFkate   na ca iti //
   ekaliṅiti// nanu 3 tatra vācakaikyepi 4	eka liFiti// nanu 3 tatra vAcakEkyepi 4
   liṅākhyātatvarūpavācakatāvacchedakabhedostīti cenna/ tasyāprayojakatvāditi	liFA AKyAta tva rUpa vAcaka tAvacCedaka Beda usti iti ced na/ tasya aprayojaka tvAt iti
   bhāvaḥ//	BAvaH//
   1.vaiśiṣṭya  ga.ja.ka. 2.pitayoḥ naṃ. 3.yatra naṃ. ekatra e.	1. vESizwya ga.ja.ka. 2.pitayoH naM. 3.yatra naM. ekatra e.
   4.pulliṅākhyātatva naṃ.	4.pulliFA AKyAta tva naM.
   nyāyadīpayutatarkatāṇḍavam (dvi.paricchedaḥ pu   198.	nyAya dIpa yuta tarka tANxavam (dvi. paricCedaH pu  198.
   na ca vyakeranya 1 labhyatvasaṃbhave 'pi	na ca vyakeranyaH 1 laBya tva saMBave api
   vibhaktyarthībhūtasaṅkhyākarmatvādyanvayārthaṃ vyakteḥ padārthatvamupeyam,	viBakti arTIBUta saFKyA karma tva Adi anvaya arTam vyakteH padArTa tvam upeyam,
   subdhibhaktīnāṃ prakṛtyarthānvitasvārthabodhakatvasya vyutpannatvāditi	subDi BaktInAm prakRti arTa anvita sva arTa boDaka tvasya vyutpanna tvAt iti
   vācyam/ anvayasya śabdavṛtyaviṣayatve 'pi śābdatvavadvyakterapi	vAcyam/ anvayasya Sabda vRtya vizaya tve api SAbda tva vat vyakteH api
   prakṛtivṛtyaviṣayatve 'pi prakṛtyarthatvasya saṃbhavena	prakRti vRtya vizaya tve api prakRti arTa tvasya saMBavena
   vibhaktarthānvayopapatteḥ//	viBaktarTa anvaya upapatteH//
   anyathā daṇḍinamānayetyādau daṇḍiśabdapratipādye daṇḍaviśiṣṭapuruṣe	anyaTA daNxinam AnayA ityAdO daNxi Sabda pratipAdye daNxa viSizwa puruze
   karmatvādyanvayo na syāt/ 2 tanmate daṇḍiśabdasya tatra vṛtyabhāvāt//	karma tva Adi anvayaH na syAt/ 2 tad mate daNxi Sabdasya tatra vRtyaBAva at//
   nanu jñātakaraṇe saṃbandho yāvatpratiyogikatvena jñāta eva jñātahetuḥ,	nanu jQAta karaNe saMbanDaH yAvat pratiyogika tvena jQAtaH eva jQAta hetuH,
   vyāptihetuḥ	vyApti hetuH
   saṃbandhe tathādarśanāditi   	saMbanDe taTA adarSanAt iti   
   nanu vyakteraśabdārthatve śabdārthabhūtaikatvā 3 disaṃkhyādyanvayo na	nanu vyakteH aSabda arTa tve Sabda arTa BUta ekatvA 3 disaMKya Adi anvayaH na
   syādatastatra śakttayaivopasthitirapekṣitetyāśaṅkate    na ceti//	syAt atas tatra SakttayA eva upasTitiH apekzitA iti ASaFkate   na ca iti//
   anyayapratibandīmāha   anvayasyeti// prakṛti 4 vṛttīti//	anyaya pratibandIm Aha  anvayasya iti// prakRti 4 vRtti iti//
   prātipadikaniṣṭhaśaktyādirūpavṛttyaviṣayatve 'pi śakya 5	prAtipadika nizWa Sakti Adi rUpa vRtti avizaya tve api SakyaH 5
   padārthānvayatvenānvayasyeva śakya	padArTa anvaya tvena anvayasya iva Sakya
   jātisambandhavyaktitvenopasthitasya prātipadikarūpaprakṛtiśabdārtha 6 tvaṃ	jAti sambanDa vyakti tvena upasTitasya prAtipadika rUpa prakRti Sabda arTaH 6 tvam
   syādevetyarthaḥ/ prakārāntareṇa vyaktyaṃśaśaktijñānaṃ	syAt eva iti arTaH/ prakAra antareNa vyakti aMSa Sakti jQAnam
   jātiviśiṣṭavyaktidhīheturiti śaṅkate    nanviti// jñātaṃ yatkaraṇaṃ	jAti viSizwa vyakti DIhetuH iti SaFkate   nanu iti// jQAtam yat karaNam
   gośabdādirūpaṃ tatsaṃbandho jātivyaktyādirūpayāvatpratiyogitvenetyarthaḥ/	go Sabda Adi rUpam tad saMbanDaH jAti vyakti Adi rUpa yAvat pratiyogi tvena iti arTaH/
   tatheti// vyāpyavyāpakarūpayāvatpratiyogikatvena jñāne	taTA iti// vyApya vyApaka rUpa yAvat pratiyogika tvena jQAne
   satyevānumitihetutvadarśanādityarthaḥ/	sati eva anumiti hetu tva darSanAt iti arTaH/
   1.rala  ga.su.ga. 2.tvanma su.rā.ga.ja.ka. 3.tvasaṃ u. tvātsaṃ naṃ.	1.rala  ga. su.ga. 2.tvad ma su.rA. ga.ja.ka. 3.tu a saM u. tvAt saM naM.
   4.vṛttipadaṃ na  u. 5.ktapa u. ktipa narṃ. 6.thaḥ  u.naṃ.	4.vRtti padam na  u. 5.ktapa u. ktipa narM. 6.TaH u.naM.
   vyakti prandyā duri hatvam) śaktivādaḥ pu   199.	vyakti  prandyA  duri ha tvam) SaktivAdaH pu  199.
   vyaktyaṃśe 'pi śaktirūpasaṃbandhajñānaṃ heturiti cetta 1 ttulyamanvayāṃśe	vyakti aMSe api Sakti rUpa saMbanDa jQAnam hetuH iti cetta 1 ttulyam anvaya aMSe
   'pi/ anyathā goravāt//	api/ anyaTA goravAt//
   tasmāllāghavaṃ, nāgṛhītaviśeṣaṇanyāyaḥ, eka 2 vittivedyatvaṃ, vṛtyabhāve	tasmAt lAGavan, na agRhIta viSezaNa nyAyaH, ekaH 2 vitti vedya tvan, vRtya BAve
   'pi śābdatsiddhiḥ, saṃbandhajñānasya yāvatsaṃbandhiviṣayatvaniyamaḥ, iti	api SAbdat sidDiH, saMbanDa jQAnasya yAvat saMbanDi vizaya tva niyamaH, iti
   yuktipañcakaṃ vyaktyanvayayoḥ samam//	yukti paQcakam vyakti anvayayoH samam//
   vyaktipratibandyā duṣpariharatvam// 19 //	vyakti pratibandyAH duzparihara tvam // 19 //
   anyatheti// prakārantareṇa yatkiñcitpratiyogikatvena jñāta iti kalpana	anyaTA iti// prakArantareNa yat kiQcit pratiyogika tvena jQAtaH iti kalpana
   ityarthaḥ//	iti arTaH//
   prāgupapāditaṃ saṃgraheṇānuvadannupasaṃharati   tasmāditi// lāghavamiti//	prAk upapAditam saMgraheNa anuvat an= upasaMharati  tasmAt iti// lAGavam iti//
   śakta 3 tvena jātatvarūpaikaprayojakakalpanākhyāmityarthaḥ/ nanu gotva	SaktaH 3 tvena jAta tva rUpa eka prayojaka kalpanA AKyAm iti arTaH/ nanu go tva
