   ṣaṭ-sandarbha-nāmaka-	zaw-sandarBa-nAmaka-
   taṭasthākhyo jīvaś ca sa iveti pūrvavat | ataeva etad-ātmyam idaṃ sarvam	tawa-sTa-AKyaH jIvaH ca saH iva-iti pUrvavat | ataeva etat--Atmyam idam sarvam
   iti	iti
   sarvaṃ khalv idaṃ brahmeti śrutḥ | yato bhagavataḥ | bhavato bhavantaṃ	sarvam Kalu idam brahma-iti SrutH | yatas BagavataH | BavataH Bavantam
   prati	prati
   pradeśa-mātraṃ kiñcin-mātraṃ darśitam ity arthaḥ || 1.5 || śrī-nāradaḥ	pradeSa--mAtram kiQcin--mAtram darSitam iti arTaH || 1.5 || SrI-nAradaH
   śrī-	SrI-
   vyāsam || 60 ||	vyAsam || 60 ||
   spaṣṭam evāha -	spazwam eva-Aha -
   so 'yaṃ te 'bhihitas tāta	saH ayam te aBihitaH tAta
   bhagavān viśva-bhāvanaḥ |	BagavAn viSva-BAvanaH |
   samāsena harer nānyad	samAsena hareH na-anyat-
   anyasmāt sad-asac ca yat || [BhP 2.7.50]	anyasmAt sat--asat ca yat || [Bhj 2.7.50]
   so'yaṃ samāsena saṅkṣepeṇābhihitaḥ | kathaṃ taṭastha-lakṣaṇenaivety āha |	saH-ayam samAsena saFkzepeNa-aBihitaH | kaTam tawasTa--lakzaNena-eva-iti Aha |
   sat kāryaṃ sthūlam aśuddha-jīva-jagad-ākhyaṃ cetanācetanaṃ vastu | asat	sat kAryam sTUlam aSudDa-jIva--jagat--AKyam cetana-acetanam vastu | asat-
   karaṇaṃ sūkṣmaṃ śuddha-jīva-pradhānākhyaṃ cid-acid-vastu ca yat tat sarvaṃ	karaNam sUkzmam SudDa--jIva--praDAna-AKyam cit--acit--vastu ca yat tat sarvam
   harer anyan na bhavati sūkṣmasya tac-chakti-rūpatvāt sthūlasya tat-kārya-	hareH anyat na Bavati sUkzmasya tac--Sakti-rUpa-tvAt sTUlasya tat-kArya-
   rūpatvād iti bhāvaḥ | idam eva śrī-haṃsa-devenoktaṃ - aham eva na	rUpa-tvAt iti BAvaH | idam eva SrI--haMsa-devena-uktam  aham eva na
   matto'nyad iti budhyadhvam añjasā iti [BhP 11.13.24] | jagatas	mattaH-anyat iti buDyaDvam aQjasA iti [Bhj 11.13.24] | jagata-s
   tad-ananyatve'pi	tat--ananya-tve-api
   śuddhasya tasya tad-doṣa-sāṅkaryaṃ nāstīty āha anyasmād iti || 2.7 || śrī-	SudDasya tasya tad--doza--sa-aFkaryam na-asti-iti Aha anyasmAt iti || 2.7 || SrI-
   brahmā śrī-nāradam ||61||	brahmA SrI-nAradam ||61||
   tatrānanyatve yuktiṃ vivṛṇoti pañcabhiḥ -	tatra-ananya-tve yuktim vivRNoti paQcaBiH -
   ādāv ante janānāṃ sad	AdO ante janAnAm sat-
   bahir antaḥ parāvaram |	bahis antar parAvaram |
   jñānaṃ jñeyaṃ vaco vācyaṃ	jQAnam jQeyam vacaH vAcyam
   tamo jyotis tv ayaṃ svayam || [BhP 7.15.57]	tamaH jyotiH tu ayam svayam || [Bhj 7.15.57]
   janānāṃ dehādīnām ādau kāraṇatvena ante cāvadhitvena yat paramātma-	janAnAm deha-AdInAm AdO kAraNa-tvena ante ca-avaDi-tvena yat paramAtma-
   lakṣaṇaṃ sarva-kāraṇaṃ vastu sad vartamānaṃ tad eva svayaṃ bahir bhogyaṃ	lakzaNam sarva-kAraNam vastu sat vartamAnam tat eva svayam bahis Bogyam
   anta-bhoktṛ paravaraṃ cocca-nīcaṃ tamo'prakāśaḥ jyotiḥ prakāśaś ca	anta-BoktR para-varam ca-ucca-nIcam tamaH-aprakASaH jyotiH prakASaH ca
   sphurati	sPurati
   nānyat | anyasya tad vinā svataḥ sphuraṇānirūpyatvād iti bhāvaḥ |	na-anyat | anyasya tat vinA svatas sPuraNa-anirUpya-tvAt iti BAvaH |
   nanu kathaṃ tarhi tasmād atyanta-pṛthag ivāthajātaṃ pratīyate tatrāha -	nanu kaTam tarhi tasmAt atyanta--pRTak iva-aTa-jAtam pratIyate tatra-Aha -
   ābādhito 'pi hy ābhāso	AbADitaH api hi ABAsaH-
   yathā vastutayā smṛtaḥ |	yaTA vastu-tayA smRtaH |
   durghaṭatvād aindriyakaṃ	durGawa-tvAt Endriyakam
   tadvad artha-vikalpitam || [BhP 7.15.58]	tadvat arTa--vikalpitam || [Bhj 7.15.58]
   ābādhitas tarka-virodhena sarvato bādhitaḥ svātantrya-sattāyāḥ sakāśān	AbADitaH tarka--viroDena sarvatas bADitaH svAtantrya--sattAyAH sakASAn
   nirasto'pi yathā ābhāsaḥ sūryādi-prati-raśmir bālādibhiḥ pṛthak prakāśam	nirastaH-api yaTA ABAsaH sUrya-Adi-prati-raSmiH bAla-AdiBiH pRTak prakASam
   ānatād arthanād vastutayā svatantra-padārthatayā smṛtaḥ kalpitaḥ tadvad	AnatAt arTanAt vastu-tayA svatantra--padArTa-tayA smRtaH kalpitaH tadvat-
   aindriyaka sarvaṃ mūḍhaiḥ svatantrārthatvena vividhaṃ kalpitaṃ tat tu na	Endriyaka sarvam mUXEH svatantra-arTa-tvena viviDam kalpitam tat tu na
   tattva-dṛṣṭyā svātantrya-nirūpaṇasya durghaṭatvād ity arthaḥ |	tattva--dRzwyA svAtantrya-nirUpaNasya durGawa-tvAt iti arTaH |
   tad evāha dvābhyām -	tat eva-Aha dvAByAm -
   kṣity-ādīnām ihārthānāṃ	kziti--AdInAm iha-arTAnAm
   chāyā na katamāpi hi |	CAyA na katamA-api hi |
   na saṅghāto vikāro 'pi	na saFGAtaH vikAraH api
   na pṛthaṅ nānvito mṛṣā || [BhP 7.15.59]	na pRTak na-anvitaH mRzA || [Bhj 7.15.59]
   kṣity-ādīnāṃ pañca-bhūtānāṃ chāyā aikya-buddhyālambana-rūpaṃ dehādi-	kziti--AdInAm paQca-BUtAnAm CAyA Ekya-budDi-Alambana--rUpam deha-Adi-
   saṅghātārambha-pariṇāmānāṃ madhye katamāpy anyatamāpi na bhavati |	saFGAta-AramBa--pariNAmAnAm maDye katamA-api anyatama-api na Bavati |
   na tāvat teṣāṃ saṅghāto vṛkṣāṇām iva vanam eka-deśākarṣaṇe	na tAvat tezAm saFGAtaH vRkzANAm iva vanam eka-deSa-AkarzaNe
   sarvākarṣaṇānupapatteḥ | na hy ekasmin vṛkṣa ākṛṣṭe sarvaṃ vanam	sarva-AkarzaNa-anupapatteH | na hi ekasmin vRkzaH AkRzwe sarvam vanam
   ākṛṣyate | na ca vikāraḥ ārabdho'vayavī | api-śabdāt pariṇāmo'pi | kutaḥ |	AkRzyate | na ca vikAraH ArabDaH-avayavI | api--SabdAt pariNAmaH-api | kutas |
   kim avayavebhyaḥ pṛthag ārabhyate pariṇamate ca tad-anvito vā | na tāvad	kim avayaveByaH pRTak AraByate pariNamate ca tad--anvitaH vA | na tAvat-
   atyantaṃ pṛthak tathā apratīteḥ | na cānvitaḥ | sa kiṃ pratyavayavam	atyantam pRTak taTA apratIteH | na ca-anvitaH | sa kim pratyavayavam
   anveti	anveti
   aṃśena vā | ādye aṅguli-mātre'pi deha-buddhiḥ syāt | dvitīye tasyāpy	aMSena vA | Adye aFguli--mAtre-api deha-budDiH syAt | dvitIye tasya-api-
   aṃśāṅgīkāre saty anavasthāpātaḥ syāt | ato dehādeḥ svātantryeṇāvasthitir	aMSa-aFgIkAre sati anavasTApAtaH syAt | atas deha-AdeH svAtantryeNa-avasTitiH-
   mṛṣaiveti |	mRzA-eva-iti |
   evaṃ dehādeḥ svātantryeṇānirūpyatvam uktvā tad-dhetūnāṃ kṣity-ādīnām	evam deha-AdeH svAtantryeNa-anirUpya-tvam uktvA tad--DetUnAm kziti--AdInAm
   api tathaivānirūpyatvam āha	api taTA-eva-anirUpya-tvam Aha
   dhātavo 'vayavitvāc ca	DAtavaH avayavi-tvAt ca
   tan-mātrāvayavair vinā |	tan--mAtra-avayavEH vinA |
   na syur hy asaty avayaviny	na syuH hi asati avayaviny
   asann avayavo 'ntataḥ || [BhP 7.15.60]	asan avayavaH antatas || [Bhj 7.15.60]
   dhārayantīti | dhātavo mahābhūtāni tan-mātraiḥ sūkṣmair avayavair vinā na	DArayanti-iti | DAtavaH mahABUtAni tan--mAtrEH sUkzmEH avayavEH vinA na
   syuḥ | avayavitvāt teṣām api | tarhy avayava eva svatantra iti cet tatrāha	syuH | avayavi-tvAt tezAm api | tarhi avayavaH eva svatantraH iti ced tatra-Aha
   ukta-	ukta-
   prakāreṇāvayavini nirūpayitum asati avayavo'py antato nirūpayitum asann	prakAreNa-avayavini nirUpayitum asati avayavaH-api antatas nirUpayitum asann
   iva	iva
   syāt | avayavi-pratīty-anyathānupapattiṃ vinā paramāṇu-lakṣaṇāvayava-sad-	syAt | avayavi-prati-iti--anyaTA-anupapattim vinA paramANu--lakzaNa-avayava--sad-
   bhāve pramāṇābhāvād ity arthaḥ | tad uktaṃ pañcame -	BAve pramANa-aBAvAt iti arTaH | tat uktam paQcame -
   evaṃ niruktaṃ kṣiti-śabda-vṛttam ity [BhP 5.12.9] ādi | tasmād aikya-	evam niruktam kziti--Sabda-vRttam iti [Bhj 5.12.9] Adi | tasmAt Ekya-
   buddhyālambana-rūpaṃ yat pratīyate tat sarvatra paramātma-lakṣaṇaṃ sarva-	budDi-Alambana--rUpam yat pratIyate tat sarvatra paramAtma--lakzaNam sarva-
   kāraṇaṃ vastv eveti sādhūktam ādāv ante janānāṃ sad ity ādinā | evam eva	kAraNam vastu eva-iti sADu-uktam AdO ante janAnAm sat iti AdinA | evam eva
   tṛtīye'py uktam -	tRtIye-api uktam -
   iti tāsāṃ sva-śaktīnāṃ satīnām asametya saḥ |	iti tAsAm sva--SaktInAm satInAm asametya saH |
   prasupta-loka-tantrāṇāṃ niśāmya gatim īśvaraḥ ||	prasupta--loka-tantrANAm niSAmya gatim ISvaraH ||
   kāla-saṃjñā tato devīṃ vibhrac chaktim urukramaḥ |	kAla--saMjQA tatas devIm viBrat Saktim urukramaH |
   trayoviṃśatit-tattvānāṃ gaṇaṃ yugapad āviśat ||	trayoviMSatit--tattvAnAm gaNam yugapad AviSat ||
   so 'nupraviṣṭo bhagavāṃś ceṣṭārūpeṇa taṃ gaṇam	saH anupravizwaH BagavAn cezwA-rUpeNa tam gaNam
   bhinnaṃ saṃyojayām āsa suptaṃ karma prabodhayan || iti [BhP 3.6.1-3]	Binnam saMyojayAm Asa suptam karma praboDayan || iti [Bhj 3.6.1-3]
   ataeva yasya pṛthivī śarīram ity ādi-śrutau [BṛhadU 3.7.3] sarvasya	ataeva yasya pRTivI SarIram iti Adi-SrutO [BRha-dU 3.7.3] sarvasya
   paramātma-śarīratvena prasiddhiḥ paramātmanas tu śarīratvena | tad evam	paramAtma--SarIra-tvena prasidDiH paramAtmanaH tu SarIra-tvena | tat evam
   avayava-rūpeṇa pradhāna-pariṇāmaḥ sarvatrāvayavī tu paramātma-vastv eveti	avayava--rUpeNa praDAna--pariNAmaH sarvatra-avayavI tu paramAtma--vastu eva-iti
   siddham | tato'py amithyātvam eva jagata upapadyeta ||	sidDam | tatas-api amiTyAtvam eva jagataH upapadyeta ||
   nanu yadi paramātma-vastv eva sarvatrāvayavī dehaḥ syāt tataś ca tatraiva	nanu yadi paramAtma-vastu eva sarvatra-avayavI dehaH syAt tatas ca tatra-eva
   brāhmaṇatvādi-saṃjñā-prāpte guṇa-doṣa-hetū vidhi-niṣedhāv api syātāṃ | tau	brAhmaNa-tva-Adi-saMjQA--prApte guNa--doza-hetU viDi-nizeDO api syAtAm | tO
   ca na sambhavataḥ | tasmād anya evāvayavī yujyate | ity āśaṅkyāha -	ca na samBavataH | tasmAt anyaH eva-avayavI yujyate | iti ASaFkya-Aha -
   syāt sādṛśya-bhramas tāvad	syAt sAdRSya--BramaH tAvat-
   vikalpe sati vastunaḥ |	vikalpe sati vastunaH |
   jāgrat-svāpau yathā svapne	jAgrat--svApO yaTA svapne
   tathā vidhi-niṣedhatā || [BhP 7.15.61]	taTA viDi--nizeDa-tA || [Bhj 7.15.61]
   vastunaḥ paramātmano vikalpe saṃśaye satīti tasya tādṛśatvena nirṇayo	vastunaH paramAtmanaH vikalpe saMSaye sati-iti tasya tAdRSa-tvena nirNayaH-
   yāvan	yAvat-
   na syāt ity arthaḥ | tāvad eva tasmāt sarvaikya-buddhi-nidānāt pṛthag	na syAt iti arTaH | tAvat eva tasmAt sarva-Ekya-budDi--nidAnAt pRTak-
   dehaikya-buddhiḥ sādṛśya-bhramaḥ syāt | pūrvāparāvayavānusandhāne sati	deha-Ekya--budDiH sAdRSya--BramaH syAt | pUrva-apara-avayava-anusanDAne sati
   parasparam āsajyaikatra sthitatvenāvayavatva-sādhāraṇyena caikya-sādṛśyāt	parasparam Asajya-ekatra sTita-tvena-avayava-tva--sADAraNyena ca-Ekya--sAdRSyAt-
   pratyavayavam ekatayā pratīteḥ | so'yaṃ deha iti bhrama eva bhavatīty	pratyavayavam ekatayA pratIteH | saH-ayam dehaH iti BramaH eva Bavati-iti-
   arthaḥ |	arTaH |
   prativṛkṣaṃ tad idaṃ vanam itivat | yathoktaṃ svayaṃ bhagavatā -	prativRkzam tat idam vanam iti-vat | yaToktam svayam BagavatA -
   so'yaṃ dīpo'rciṣāṃ yadvat srotasāṃ tad idaṃ jalam |	saH-ayam dIpaH-arcizAm yadvat srotasAm tat idam jalam |
   so'yaṃ pumān iti nṝṇāṃ mṛṣā dhīr gor mṛṣāyuṣām || iti [BhP 11.22.45] |	saH-ayam pumAn iti nLNAm mRzA DIH goH mRzA-AyuzAm || iti [Bhj 11.22.45] |
   tataś ca tatraiva brāhmaṇatvādy-abhimāne sati svapna-vaiṣayakau jāgrat-	tatas ca tatra-eva brAhmaNa-tva-Adi--aBimAne sati svapna--vEzayakO jAgrat-
   svapnāv iva tad-viṣayakau vidhi-niṣedhau syātām ity āha jāgrad iti | tathā	svapnO iva tad--vizayakO viDi-nizeDO syAtAm iti Aha jAgrat iti | taTA
   tena prakāreṇa vidher vidhitā niṣedhasya niṣedhatety arthaḥ | evaṃ	tena prakAreNa viDeH viDitA nizeDasya nizeDatA-iti arTaH | evam
   parasvabhāva-karmaṇi na praśaṃsen na garhayet |	para-svaBAva--karmaNi na praSaMset na garhayet |
   viśvam ekātmakaṃ paśyan prakṛtyā puruṣeṇa ca || [BhP 11.28.1]	viSvam eka-Atmakam paSyan prakRtyA puruzeNa ca || [Bhj 11.28.1]
   ity ādir ekādaśāṣṭaviṃśatitamādhyāyo jñeyaḥ | tatra ca kiṃ bhadraṃ kim	iti AdiH ekAdaSa-azwaviMSatitama-aDyAyaH jQeyaH | tatra ca kim Badram kim
   abhadraṃ vā dvaitasyāvastunaḥ kiyad ity ādikaṃ syāt sādṛśya-bhramas tāvad	aBadram vA dvEtasya-avastunaH kiyat iti Adikam syAt sAdRSya--BramaH tAvat-
   ity ādy-anusāreṇaiva vyākhyeyam | avastu yad dvaitaṃ tasyety arthaḥ |	iti Ady-anusAreNa-eva vyAKyeyam | avastu yat dvEtam tasya-iti arTaH |
   tasmāt	tasmAt-
   svātantryeṇa nirūpaṇāśaktyā paramātmano ænanyad eva sarvam iti	svAtantryeNa nirUpaNa-aSaktyA paramAtmanaH ænanyat eva sarvam iti
   prakaraṇārthaḥ ||	prakaraNa-arTaH ||
   ||7.15 || śrī-nāradaḥ śrī-yudhiṣṭhiram || 66||	||7.15 || SrI-nAradaH SrI-yuDizWiram || 66||
   ata āha -	atas Aha -
   tvaṃ vāyur agnir avanir viyad ambu mātrāḥ	tvam vAyuH agniH avaniH viyat ambu mAtrAH
   prāṇendriyāṇi hṛdayaṃ cid anugrahaś ca |	prANa-indriyANi hRdayam cit anugrahaH ca |
   sarvaṃ tvam eva saguṇo viguṇaś ca bhūman	sarvam tvam eva sa-guNaH viguNaH ca BUman
   nānyat tvad asty api mano-vacasā niruktam || [BhP 7.9.48]	na-anyat tvat asti api mano--vacasA niruktam || [Bhj 7.9.48]
   hṛdayam antar-indriyaṃ mano buddhyāhaṅkāra-cittātmakaṃ, cit śuddo jīvaḥ |	hRdayam antar-indriyam manaH budDyA-ahaFkAra--citta-AtmakaM, cit SuddaH jIvaH |
   anugrahaḥ sva-sammukhī-karaṇa-śaktiḥ | kiṃ bahunā sa-guṇo māyikaḥ	anugrahaH sva--sammuKI--karaNa--SaktiH | kim bahunA sa-guNaH mAyikaH
   viguṇaś cāmāyikaḥ sarvārthas tvam eveti || 7.9 || śrī-prahlādaḥ śrī-	viguNaH ca-AmAyikaH sarva-arTaH tvam eva-iti || 7.9 || SrI--prahlAdaH SrI-
   nṛsiṃham ||67||	nRsiMham ||67||
   atha tasya māyā-śakti-kārya-māyā-jīvebhyo'nyatvaṃ ca spaṣṭayati -	aTa tasya mAyA--Sakti-kArya-mAyA--jIveByaH-anya-tvam ca spazwayati -
   yatholmukād visphuliṅgād	yaTA-ulmukAt visPuliFgAt-
   dhūmād vāpi sva-sambhavāt |	DUmAt vA-api sva-samBavAt |
   apy ātmatvenābhimatād	api Atma-tvena-aBimatAt-
   yathāgniḥ pṛthag ulmukāt || [BhP 3.28.40]	yaTA-agniH pRTak ulmukAt || [Bhj 3.28.40]
   bhūtendriyāntaḥ-karaṇāt	BUta-indriya-antaH-karaNAt-
   pradhānāj jīva-saṃjñitāt |	praDAnAt jIva--saMjQitAt |
   ātmā tathā pṛthag draṣṭā	AtmA taTA pRTak drazwA
   bhagavān brahma-saṃjñitaḥ || [BhP 3.28.41]	BagavAn brahma--saMjQitaH || [Bhj 3.28.41]
   ayam arthaḥ | sva-sambhavāt svopādāna-kāraṇāt ulmukāt kāṣṭha-muṣṭy-	ayam arTaH | sva-samBavAt sva-upAdAna--kAraNAt ulmukAt kAzWa-muzwy-
   upādhikāt | agner hetor yā visphuliṅgo yaś ca dhūmas tasmāt tasmād yathā	upADikAt | agneH hetoH yA visPuliFgaH yaH ca DUmaH tasmAt tasmAt yaTA
   tat-tad-upādānam agniḥ pṛthag yathā ca tasmād ulmukāt tad-upādāna, asāv	tat-tad--upAdAnam agniH pRTak yaTA ca tasmAt ulmukAt tad--upAdAna, asO=-
   agniḥ pṛthak | kīdṛśād api tat-trayād apy ātmatvenābhimatāt nāpakatayā	agniH pRTak | kIdRSAt api tat--trayAt api Atma-tvena-aBimatAt nApakatayA
   dhūme'gny-aṃśa-sad-bhāvenāgni-svarūpatayā pratītād api tathā visphuliṅga-	DUme-agni--aMSa--sad-BAvena-agni--svarUpa-tayA pratItAt api taTA visPuliFga-
   sthānīyāj jīva-saṃjñitāj jīvāt ulmuka-sthānīyāt pradhānāt	sTAnIyAt jIva--saMjQitAt jIvAt ulmuka--sTAnIyAt praDAnAt-
   pradhānopādhika-bhagavat-tejasaḥ dhūma-sthānīyād bhūtādeḥ sarvopādāna-	praDAna-upADi-ka-Bagavat--tejasaH DUma-sTAnIyAt BUtAdeH sarva-upAdAna-
   rūpo bhagavān pṛthak | ya evātmā svāṃśena tat-tad-antaryāmitayā	rUpaH BagavAn pRTak | yaH eva-AtmA sva-aMSena tat-tad--antaryAmitayA
   paramātmā | kvacid adhikāriṇi nirviśeṣa-cinmātratayā sphuran brahma-	paramAtmA | kvacid aDikAriNi nirviSeza--cit-mAtra-tayA sPuran brahma-
   saṃjñitaś ca | yata eva draṣṭā teṣām ādi-madhyāntāvasthā-	saMjQitaH ca | yatas eva drazwA tezAm Adi-maDya-anta-avasTA-
   sākṣīti || 3.28 || śrī-kapiladevaḥ ||68||	sAkzI-iti || 3.28 || SrI--kapiladevaH ||68||
   tatra yeṣāṃ manaḥ paramātmani nāsti, te paramātmātmake jagaty asad aṃśam	tatra yezAm manaH paramAtmani nAsti, te paramAtma-Atmake jagati asat aMSam
   eva gṛhṇanti, ye tu paramātma-vidas te sad-aṃśam eva gṛhṇantīty āhur	eva gRhNanti, ye tu paramAtma-vidaH te sat--aMSam eva gRhNanti-iti AhuH-
   bhāgavatāḥ |	BAgavatAH |
   sad iva manas tirvṛt tvayi vibhāty asadām anujāt	sat iva manaH tirvRt tvayi viBAti asadAm anujAt-
   sad abhimṛśanty aśeṣam idam ātmatayātmavidaḥ |	sat aBimRSanti aSezam idam Atma-tayA-Atma-vidaH |
   na hi vikṛtiṃ tyajanti kanakasya tad-ātmatayā	na hi vikRtim tyajanti kanakasya tad--a-Atma-tayA
   svakṛtam anupraviṣṭam idam ātmatayāvasitam || [BhP 10.87.26]	sva-kRtam anupravizwam idam Atma-tayA-avasitam || [Bhj 10.87.26]
   tvayy asad avartamānaṃ yan manas tat khalu trivṛt tri-guṇa-kārye jagati	tvayi asat avartamAnam yat manaH tat Kalu trivRt tri-guNa--kArye jagati
   vartamānaṃ sat tvayi sad iva vartamānam iva vibhāti | darvīsūparasa-	vartamAnam sat tvayi sat iva vartamAnam iva viBAti | darvIsu-upa-rasa-
   nyāyena svāvagāḍhe jagati sato'pi paramātmano grahaṇābhāvāt | na tu	nyAyena sva-avagAXe jagati sataH-api paramAtmanaH grahaNa-aBAvAt | na tu
   vartamānam eva vibhātīty arthaḥ | ataevāsad-aṃśasya triguṇa-māyāmayatvaṃ	vartamAnam eva viBAti-iti arTaH | ataeva-asat--aMSasya triguNa-mAyA-maya-tvam
   manomayatvaṃ coktam -	manaH-maya-tvam ca-uktam -
   yad idaṃ manasā vācā	yat idam manasA vAcA
   cakṣurbhyāṃ śravaṇādibhiḥ |	cakzurByAm SravaNa-AdiBiH |
   naśvaraṃ gṛhyamāṇaṃ ca	naSvaram gRhyamANam ca
   viddhi māyā-manomayam || iti | [BhP 11.7.7]	vidDi mAyA-manaH-mayam || iti | [Bhj 11.7.7]
   ye tv ātma-vidas tvad-dhetor aaste āmanujāt sopādhika-jīvasvarūpam	ye tu Atma--vidaH tvad--DetoH aaste AmanujAt sa-upADika-jIva-svarUpam
   abhivyāpya idam aśeṣaṃ jagad eva ātmatayā tvad-rūpatayā sad abhimṛśanti	aBivyApya idam aSezam jagat eva Atma-tayA tvad--rUpa-tayA sat aBimRSanti
   teṣāṃ sad-aṃśa eva dṛṣṭir nānyatrety arthaḥ |	tezAm sat--aMSaH eva dRzwiH na-anyatra-iti arTaH |
   tatra dṛṣṭāntaḥ na hi vikṛtam iti | teṣāṃ kanaka-mātraṃ mṛgayamānānāṃ	tatra dRzwAntaH na hi vikRtam iti | tezAm kanaka--mAtram mRgayamAnAnAm
   kanaka-vaṇijāṃ hi kanaka-vikāre sundara-kurūpākāratāyāṃ dṛṣṭir nāsti |	kanaka--vaNijAm hi kanaka-vikAre sundara--kurUpa-AkAra-tAyAm dRzwiH na-asti |
   śuddha-kanaka-mātra-gṛāhitvāt tathātma-vidām apīti bhāvaḥ |	SudDa-kanaka--mAtra-gRAhi-tvAt taTA-Atma-vidAm api-iti BAvaH |
   dārṣṭāntike'pi tad-ātmatve hetu-trayam āhuḥ idaṃ jagat svena sac-chakti-	dArzwa-antike-api tad--Atma-tve hetu-trayam AhuH idam jagat svena sac-Cakti-
   viśiṣṭena upādāna-rūpeṇa tvayā kṛtaṃ paścāt siddhe'pi kārye kāraṇāṃśa-	viSizwena upAdAna--rUpeNa tvayA kRtam paScAt sidDe-api kArye kAraNa-aMSa-
   vyabhicāritayāntaryāmitayā ca svena tvayā praviṣṭaṃ punaḥ pralaye'py	vyaBicAritayA-antaryAmi-tayA ca svena tvayA pravizwam punar pralaye-api-
   ātmatayā sac-chakti-viśiṣṭa-sad-rūpatayaivāvasitaṃ ceti | evaṃ dṛṣṭānte'pi	Atma-tayA sac--Sakti-viSizwa-sat--rUpa-tayA-eva-avasitam ca-iti | evam dRzwAnte-api
   vivecanīyam | tad etat sarvam abhipretyoktaṃ vaiṣṇave -	vivecanIyam | tat etat sarvam aBipretya-uktam vEzNave -
   jñāna-svarūpam akhilaṃ	jQAna--svarUpam aKilam
   jagad etad abuddhayaḥ |	jagat etat abudDayaH |
   artha-svarūpaṃ paśyanto	arTa--svarUpam paSyantaH-
   bhrāmyante moha-samplave ||	BrAmyante moha--samplave ||
   ye tu jñāna-vidaḥ śuddha-	ye tu jQAna--vidaH SudDa-
   cetasas te'khilaṃ jagat |	cetasaH te-aKilam jagat |
   jñānātmakaṃ prapaśyanti	jQAna-Atmakam prapaSyanti
   tvad-rūpaṃ parameśvara || iti || [ViP 1.4.40-41]	tvad--rUpam parameSvaraH || iti || [ViS 1.4.40-41]
   ||10.87|| śrutayaḥ ||69||	||10.87|| SrutayaH ||69||
   tad evaṃ pariṇāmādikaṃ sādhitam | vivartaś ca parihṛtaḥ | tato vivarta-	tat evam pariNAma-Adikam sADitam | vivartaH ca parihRtaH | tatas vivarta-
   vādinām iva rajju-sarpavan na mithyātvaṃ kintu ghaṭavan naśvaratvam eva	vAdinAm iva rajju--sarpa-vat na miTyAtvam kintu Gawa-vat naSvara-tvam eva
   tasya | tato mithyātvābhāve'pi trikāla-vyabhicārabhāvāj jagato na sattvam	tasya | tatas miTyAtvA-aBAve-api tri-kAla-vyaBicAra-BAvAt jagataH na sattvam
   vivarta-pariṇāmāsiddhatvena tad-doṣa-dvayābhāvavaty eva hi vastūni sattvaṃ	vivarta--pariNAma-asidDa-tvena tad--doza--dvaya-aBAvavatI eva hi vastUni sattvam
   vidhīyate | yathā paramātmani tac-chaktau vā | sad eva saumyedam agra āsīd	viDIyate | yaTA paramAtmani tac--SaktO vA | sat eva sOmya-idam agre AsIt-
   ity ādau idaṃ-śabdoktaṃ jagat | sūkṣmāvasthā-lakṣaṇa-tac-chakti-brahmaṇor	iti AdO idaM-Sabda-uktam jagat | sUkzma-avasTA--lakzaNa-tac--Sakti-brahmaNoH-
   mithas tādātmyāpannayoḥ sac-chabda-vacanāt | ataḥ sat-kārya-vādaś ca	miTas tAdAtmya-ApannayoH sac--Sabda-vacanAt | atas sat-kArya-vAdaH ca
   sūkṣmāvasthām avalambyaiva pravartate | tad evaṃ sthite'pi punar āśaṅkate	sUkzma-avasTAm avalambya-eva pravartate | tat evam sTite-api punar ASaFkate
   nanu sad-upādānaṃ jagat kathaṃ tadvan naśvaratām api bhajan na khalu sat	nanu sad-upAdAnam jagat kaTam tadvat naSvara-tAm api Bajan na Kalu sat-
   syāt | yadi ca naśvaraṃ syāt tarhi kathaṃ śukti-rajatavat vyabhicāritvena	syAt | yadi ca naSvaram syAt tarhi kaTam Sukti-rajata-vat vyaBicAri-tvena
   kevala-vivartāntaḥ pāti na syāt | tad etat praśnam uṭṭaṅkya pariharanti ||	kevala--vivartA-antaH pAti na syAt | tat etat praSnam uwwaFkya pariharanti ||
   sata idam utthitaṃ sad iti cen nanu tarka-hataṃ	sataH idam utTitam sat iti ced nanu tarka-hatam
   vyabhicarati kva ca kva ca mṛṣā na tathobhaya-yuk |	vyaBicarati kva ca kva ca mRzA na taTA-uBaya--yuj |
   vyavahṛtaye vikalpa iṣito'ndha-paramparayā	vyavahRtaye vikalpaH izitaH-anDa-paramparayA
   bhramayati bhāratī ta uruvṛttibhir uktha-jaḍān || [BhP 10.87.36]	Bramayati BAratI te uru-vRttiBiH ukTa--jaxAn || [Bhj 10.87.36]
   idaṃ viśvaṃ dharmi sad iti sādhyo dharmaḥ sata utpannatvāt yad yata	idam viSvam Darmi sat iti sADyaH DarmaH sataH utpanna-tvAt yat yata
   utpannaṃ tat khalu tad-ātmakam eva dṛṣṭaṃ | yathā kanakād utpannaṃ	utpannam tat Kalu tat--Atmakam eva dRzwam | yaTA kanakAt utpannam
   kuṇḍalādikaṃ tad-ātmakaṃ tadvat | tatrotthitam eva na tu śuktau rajatam	kuNxala-Adikam tat--a-Atmakam tadvat | tatra-utTitam eva na tu SuktO rajatam
   iva |	iva |
