   (KauśS_1,1.1) atha vidhiṃ vakṣyāmaḥ	(KOSS_1,1.1) aTa viDim vakzyAmaH
   dohayitvā_upasiñcati	dohayitvA_upasiQcati
   (KauśS_8,3[62].21) <atyāsarat prathamā dhokṣyamāṇā sarvān yajñān bibhratī	(KOSS_8,3[62].21) <atyAsarat praTamA DokzyamANA sarvAn yajQAn biBratI
   vaiśvadevī | upa vatsaṃ sṛjata vāśyate gaur vy asṛṣṭa sumanā hiṃ kṛṇoti ||	vESvadevI | upa vatsam sRjata vASyate gOH vi asRzwa sumanAH him kRNoti ||
   badhāna vatsam abhi dhehi bhuñjatī nijya godhug upa sīda dugdhi | irām	baDAna vatsam aBi Dehi BuQjatI nijya goDuk upa sIda dugDi | irAm
   asmā odanaṃ pinvamānā kīlālaṃ ghṛtaṃ madam annabhāgam || sā dhāvatu	asmE odanam pinvamAnA kIlAlam GRtam madam anna BAgam || sA DAvatu
   yamarājñaḥ savatsā sudughāṃ pathā prathameha dattā | atūrṇadattā	yama rAjQaH sa vatsA su duGAm paTA praTamA iha dattA | atUrNa dattA
   prathamedam āgan vatsena gāṃ saṃ sṛja viśvarūpām [PS 5.31.1 3]> iti	praTama idam Agan vatsena gAm sam sRja viSva rUpAm [PS 5.31.1 3]> iti
   (KauśS_8,3[62].22) <idaṃ me jyotir [11.1.28]>_<sam agnayaḥ [12.3.50]>_iti	(KOSS_8,3[62].22) <idam me jyotiH [11.1.28]>_<sam agnayaH [12.3.50]>_iti
   hiraṇyam adhidadhāti	hiraNyam aDidaDAti
   (KauśS_8,3[62].23) <eṣā tvacāṃ [12.3.51]>_ity amā_ūtaṃ vāso_agrataḥ	(KOSS_8,3[62].23) <ezA tvacAm [12.3.51]>_iti amA_Utam vAsaH _agratas 
   sahiraṇyaṃ nidadhāti	sa hiraNyam nidaDAti
   (KauśS_8,4[63].1) <yad akṣeṣu [12.3.52]>_iti samānavasanau bhavataḥ	(KOSS_8,4[63].1) <yat akzezu [12.3.52]>_iti samAna vasanO BavataH
   (KauśS_8,4[63].2) dvitīyaṃ tat pāpacailaṃ bhavati tan manuṣyāndhamāya	(KOSS_8,4[63].2) dvitIyam tat pApa cElam Bavati tat manuzya anDamAya
   dadyād ity eke	dadyAt iti eke
   (KauśS_8,4[63].3) <śṛtaṃ tvā havyam [11.1.25]> iti vatura ārṣeyān	(KOSS_8,4[63].3) <SRtam tvA havyam [11.1.25]> iti vaturaH ArzeyAn
   bhṛgvaṅgirovid upasādayati	BRgu aFgiraH vid upasAdayati
   (KauśS_8,4[63].4) <śuddhāḥ pūtā [11.1.27]> iti mantroktam	(KOSH _8,4[63].4) <SudDAH pUtAH [11.1.27]> iti mantra uktam
   (KauśS_8,4[63].5) <pakvaṃ kṣetrāt [11.1.28b]>_<varṣaṃ vanuṣva	(KOSH _8,4[63].5) <pakvam kzetrAt [11.1.28b]>_<varzam vanuzva
   [12.3.53]>_ity apakarṣati	[12.3.53]>_iti apakarzati
   (KauśS_8,4[63].6) <agnau tuṣān [11.1.29]> iti tuṣān āvapati	(KOSH _8,4[63].6) <agnO tuzAn [11.1.29]> iti tuzAn Avapati
   (KauśS_8,4[63].7) <paraḥ kambūkān [11.1.29b]> iti savyena pādena	(KOSH _8,4[63].7) <paraH kambUkAn [11.1.29b]> iti savyena pAdena
   phalīkaraṇān apohati	PalIkaraNAn apohati
   (KauśS_8,4[63].8) <tanvaṃ svargo [12.3.54]>_ity anyān āvapati	(KOSS_8,4[63].8) <tanvam svargaH [12.3.54]>_iti anyAn Avapati
   (KauśS_8,4[63].9) <agne prehi [4.14.5]>_<samācinuṣva [11.1.36]>_ity ājyaṃ	(KOSH _8,4[63].9) <agne prehi [4.14.5]>_<samAcinuzva [11.1.36]>_iti Ajyam
   juhuyāt	juhuyAt 
   (KauśS_8,4[63].10) eṣa savānāṃ saṃskāraḥ	(KOSS_8,4[63].10) eza savAnAm saMskAraH
   (KauśS_8,4[63].11) arthaluptāni nivartante	(KOSH _8,4[63].11) arTa luptAni nivartante
   (KauśS_8,4[63].12) yathāsavaṃ mantraṃ saṃnamayati	(KOSS_8,4[63].12) yaTAsavam mantram saMnamayati
   (KauśS_8,4[63].13) liṅgaṃ parihitasya liṅgasyānantaraṃ karmakarmānupūrveṇa	(KOSH _8,4[63].13) liFgam parihitasya liFgasya anantaram karma karma AnupUrveNa
   liṅgaṃ parīkṣeta	liFgam parIkzeta
   (KauśS_8,4[63].14) liṅgena vā	(KOSH _8,4[63].14) liFgena vA
   (KauśS_8,4[63].15) karmotpattyānupūrvaṃ praśastam	(KOSS_8,4[63].15) karma utpatti A anupUrvam praSastam
   (KauśS_8,4[63].16) atathā_utpatter yathāliṅgam	(KOSS_8,4[63].16) ataTA_utpatteH yaTAliFgam
   (KauśS_8,4[63].17) samuccayas tulyārthānāṃ vikalpo vā	(KOSS_8,4[63].17) samuccayaH tulya arTAnAm vikalpaH vA
   (KauśS_8,4[63].18) atha_etayor vibhāgaḥ	(KOSS_8,4[63].18) aTa_etayoH viBAgaH
   (KauśS_8,4[63].19) sūktena pūrvaṃ saṃpātavantaṃ karoti	(KOSS_8,4[63].19) sUktena pUrvam saMpAtavantam karoti
   (KauśS_8,4[63].20) <śrāmyataḥ [11.1.30]>_itiprabhṛtibhir vā	(KOSS_8,4[63].20) <SrAmyataH [11.1.30]>_iti praBRtiBiH vA
   sūktenābhimantryābhinigadya dadyād dātā vācyamānaḥ	sUktena aBimantrya aBinigadya dadyAt dAtA vAcyamAnaH
   (KauśS_8,4[63].21) anuvākena_uttaraṃ saṃpātavantaṃ karoti	(KOSS_8,4[63].21) anuvAkena_uttaram saMpAtavantam karoti
   (KauśS_8,4[63].22) <prācyai tvā diśe [12.3.55]>_itiprabhṛtibhir	(KOSS_8,4[63].22) <prAcyE tvA diSe [12.3.55]>_iti praBRtiBiH 
   vānuvākenābhimantryābhinigadya dadyād dātā vācyamānaḥ	vA anuvAkena aBimantrya aBinigadya dadyAt dAtA vAcyamAnaH
   (KauśS_8,4[63].23) yathāsavam anyān pṛthag vā_iti prakṛtiḥ	(KOSS_8,4[63].23) yaTAsavam anyAn pRTak vA_iti prakRtiH
   (KauśS_8,4[63].24) sarve yathotpattyācāryāṇāṃ pañcaudanavarjam	(KOSS_8,4[63].24) sarve yaTA utpatti AcAryANAm paQca odana varjam
   (KauśS_8,4[63].25) prayuktānāṃ punar aprayogam	(KOSH _8,4[63].25) prayuktAnAm punar aprayogam
   (KauśS_8,4[63].26) eke sahiraṇyāṃ dhenuṃ dakṣiṇāṃ	(KOSS_8,4[63].26) eke sa hiraNyAm Denum dakziNAm
   (KauśS_8,4[63].27) godakṣiṇāṃ vā kaurupathiḥ	(KOSS_8,4[63].27) go dakziNAm vA kOrupaTiH
   (KauśS_8,4[63].28) saṃpātavato_abhimantryābhinigadya dadyād dātā	(KOSS_8,4[63].28) saMpAtavataH _aBimantrya aBinigadya dadyAt dAtA
   vācyamānaḥ	vAcyamAnaH
   (KauśS_8,4[63].29) <etaṃ bhāgaṃ [6.122.1]>_<etaṃ sadhasthāḥ	(KOSS_8,4[63].29) <etam BAgam [6.122.1]>_<etam saDasTAH
   [6.123.1]>_<ulūkhale [10.9.26]>_iti saṃsthitahomāḥ	[6.123.1]>_<ulUKale [10.9.26]>_iti saMsTita homAH
   (KauśS_8,4[63].30) āvapate	(KOSS_8,4[63].30) Avapate
   (KauśS_8,4[63].31) anumantraṇaṃ ca	(KOSH _8,4[63].31) anumantraNam ca
   (KauśS_8,5[64].1) <āśānām [1.31.1]> iti catuḥśarāvam	(KOSH _8,5[64].1) <ASAnAm [1.31.1]> iti catur SarAvam
   (KauśS_8,5[64].2) <yad rājāno [3.29.1]>_ity avekṣati	(KOSS_8,5[64].2) <yat rAjAnaH [3.29.1]>_iti avekzati
   (KauśS_8,5[64].3) padasnātasya pṛthakpādeṣu_apūpān nidadhāti	(KOSS_8,5[64].3) pada snAtasya pRTak pAdezu_apUpAt nidaDAti
   (KauśS_8,5[64].4) nābhyāṃ pañcamam	(KOSS_8,5[64].4) nAByAm paQcamam
   (KauśS_8,5[64].5) unnahyan vasanena sahiraṇyaṃ saṃpātavantam	(KOSS_8,5[64].5) unnahyan vasanena sa hiraNyam saMpAtavantam
   (KauśS_8,5[64].6) <ā nayaitam [9.5.1]> ity aparājitād ajamānīyamānam	(KOSS_8,5[64].6) <A naya etam [9.5.1]> iti aparAjitAt ajam AnIyamAnam
   anumantrayate	anumantrayate
   (KauśS_8,5[64].7) <indrāya bhāgaṃ [9.5.2]>_iti agniṃ pariṇīyamānam	(KOSS_8,5[64].7) <indrAya BAgam [9.5.2]>_iti agnim pariNIyamAnam
   (KauśS_8,5[64].8) <ye no dviṣanti [9.5.2c]>_iti saṃjñapyamānam	(KOSS_8,5[64].8) <ye naH dvizanti [9.5.2c]>_iti saMjQapyamAnam
   (KauśS_8,5[64].9) <pra pado [9.5.3]>_iti padaḥ prakṣālayantam	(KOSS_8,5[64].9) <pra padaH [9.5.3]>_iti padaH prakzAlayantam
   (KauśS_8,5[64].10) <anuchya śyāmena [9.5.4]>_iti yathāparu viśantam	(KOSS_8,5[64].10) <anuCya SyAmena [9.5.4]>_iti yaTA aparu viSantam
   (KauśS_8,5[64].11) <ṛcā kumbhīm [9.5.5]> ity adhiśrayantam	(KOSS_8,5[64].11) <RcA kumBIm [9.5.5]> iti aDiSrayantam
   (KauśS_8,5[64].12) <ā siñca [9.5.5b]>_ity āsiñcantam	(KOSS_8,5[64].12) <A siQcaH [9.5.5b]>_iti AsiQcantam
   (KauśS_8,5[64].13) <ava dhehi [9.5.5b Part]>_ity avadadhatam	(KOSS_8,5[64].13) <ava Dehi [9.5.5b Part]>_iti avadaDatam
   (KauśS_8,5[64].14) <paryādhatta [9.5.5c]>_iti paryādadhatam	(KOSS_8,5[64].14) <paryADatta [9.5.5c]>_iti paryAdaDatam
   (KauśS_8,5[64].15) <śṛto gachatu [9.5.5d]>_ity udvāsayantam	(KOSH _8,5[64].15) <SRtaH gaCatu [9.5.5d]>_iti udvAsayantam
   (KauśS_8,5[64].16) <ut krāmātaḥ [9.5.6]>_iti paścād agner	(KOSS_8,5[64].16) <ud krAmAtaH [9.5.6]>_iti paScAt agneH 
   darbheṣūddharantam	darBezu udDarantam
   (KauśS_8,5[64].17) uddhṛtam <ajam anajmi [4.14.6]>_ity ājyenānakti	(KOSS_8,5[64].17) udDRtam <ajam anajmi [4.14.6]>_iti Ajyena anakti
   (KauśS_8,5[64].18) <pañcaudanaṃ [4.14.7]>_iti mantroktam	(KOSS_8,5[64].18) <paQca odanam [4.14.7]>_iti mantra uktam
   (KauśS_8,5[64].19) odanān pṛthakpādeṣu nidadhāti	(KOSS_8,5[64].19) odanAn pRTak pAdezu nidaDAti
   (KauśS_8,5[64].20) madhye pañcamam	(KOSH _8,5[64].20) maDye paQcamam
   (KauśS_8,5[64].21) dakṣiṇaṃ paścārdhaṃ yūpena_upasicya	(KOSH _8,5[64].21) dakziNam paSca arDam yUpena_upasicya
   (KauśS_8,5[64].22) <śṛtam ajaṃ [4.14.9]>_ity anubaddhaśiraḥpādaṃ tu_etasya	(KOSS_8,5[64].22) <SRtam ajam [4.14.9]>_iti anubadDa SiraH pAdam tu_etasya
   carma	carma
   (KauśS_8,5[64].23) <ajo hi [4.14.1]>_iti sūktena saṃpātavantaṃ yathoktam	(KOSS_8,5[64].23) <ajaH hi [4.14.1]>_iti sUktena saMpAtavantam yaTA uktam
   (KauśS_8,5[64].24) uttaro_amotaṃ tasyāgrataḥ sahiraṇyaṃ nidadhāti	(KOSH _8,5[64].24) uttaraH _amotam tasya agratas sa hiraNyam nidaDAti
   (KauśS_8,5[64].25) <pañca rukmā [9.5.25(26)]>_iti mantroktam	(KOSS_8,5[64].25) <paQca rukmA [9.5.25(26)]>_iti mantra uktam
   (KauśS_8,5[64].26) dhenvādīni_uttarataḥ sopadhānam āstaraṇam vāso hiraṇyaṃ	(KOSS_8,5[64].26) Denu AdIni_uttaratas sa upaDAnam AstaraNam vAsaH hiraNyam
   ca	ca
   (KauśS_8,5[64].27) <ā nayaitam [9.5.1]> iti sūktena saṃpātavantam	(KOSS_8,5[64].27) <A naya etam [9.5.1]> iti sUktena saMpAtavantam
   (KauśS_8,5[64].28) āñjanāntaṃ śataudanāyāḥ pañcaudena vyākhyātam	(KOSS_8,5[64].28) AQjana antam Sata odanAyAH paQca odena vyAKyAtam
   (KauśS_8,6[65].1) <aghāyatām [10.9.1]> ity atra mukham apinahyamānam	(KOSS_8,6[65].1) <aGAyatAm [10.9.1]> iti atra muKam apinahyamAnam
   anumantrayate	anumantrayate
   (KauśS_8,6[65].2) <sapatneṣu vajram [10.9.1b]>_<grāvā tvaiṣo	(KOSS_8,6[65].2) <sapatnezu vajram [10.9.1b]>_<grAvA tvA ezo
   [10.9.2d]>_iti nipatantam	[10.9.2d]>_iti nipatantam
   (KauśS_8,6[65].3) <vediṣ ṭe [10.9.2]>_iti mantroktam āstṛṇāti	(KOSS_8,6[65].3) <vediH we [10.9.2]>_iti mantra uktam AstRNAti
   (KauśS_8,6[65].4) viṃśatyodanāsu śrayaṇīṣu śatam avadānāni	(KOSH _8,6[65].4) viMSati odanAsu SrayaNIzu Satam avadAnAni
   vadhrīsaṃnaddhāni pṛthagodaneṣūpary ādadhati	vaDrI saMnadDAni pRTak odanezu upari AdaDati
   (KauśS_8,6[65].5) madhyamāyāḥ prathame randhriṇyāmikṣāṃ daśame_abhitaḥ	(KOSH _8,6[65].5) maDyamAyAH praTame ranDriNI AmikzAm daSame_aBitas 
   saptasaptāpūpān pariśrayati	sapta sapta apUpAn pariSrayati
   (KauśS_8,6[65].6) pañcadaśe puroḍāśau	(KOSS_8,6[65].6) paQcadaSe puroxASO
   (KauśS_8,6[65].7) agre hiraṇyam	(KOSH _8,6[65].7) agre hiraNyam
   (KauśS_8,6[65].8) <apo devīr [10.9.27]>_ity agrata udakumbhān	(KOSS_8,6[65].8) <apaH devIH [10.9.27]>_iti agratas uda kumBAn
   (KauśS_8,6[65].9) <bālās te [10.9.3]>_iti sūktena saṃpātavatīm	(KOSH _8,6[65].9) <bAlAH te [10.9.3]>_iti sUktena saMpAtavatIm
   (KauśS_8,6[65].10) pradakṣiṇam agnim	(KOSS_8,6[65].10) pradakziNam agnim
   anupariṇīya_upaveśanaprakṣālanācamanam uktam	anupariNIya_upaveSana prakzAlana Acamanam uktam
   (KauśS_8,6[65].11) pāṇau_udakam ānīya	(KOSS_8,6[65].11) pANO_udakam AnIya
   (KauśS_8,6[65].12) athāmuṣya_odanasyāvadānānāṃ ca madhyāt pūrvārdhāt_ca	(KOSS_8,6[65].12) aTa amuzya_odanasya avadAnAnAm ca maDyAt pUrva arDAt _ca
   dvir avadāya_upariṣṭād udakenābhighārya juhoti <somena pūto jaṭhare sīda	dvis avadAyaH _uparizwAt udakena aBiGArya juhoti <somena pUtaH jaWare sIda
   brahmaṇām [11.1.25c]> <ārṣeyeṣu ni dadha odana tvā [11.1.33a]>_iti	brahmaNAm [11.1.25c]> <Arzeyezu ni daDe odana tvA [11.1.33a]>_iti
   (KauśS_8,6[65].13) atha prāśnāti	(KOSS_8,6[65].13) aTa prASnAti
   (KauśS_8,6[65].14) <agneṣ ṭvāsyena prāśnāmi bṛhaspater mukhena | indrasya	(KOSS_8,6[65].14) <agneH wu Asyena prASnAmi bRhaspateH muKena | indrasya
   tvā jaṭhare sādayāmi varuṇasyodare | tad yathā hutam iṣṭaṃ prāśnīyād	tvA jaWare sAdayAmi varuNasya udare | tat yaTA hutam izwam prASnIyAt 
   devātmā tvā prāśnāmy ātmāsy ātmann ātmānaṃ me mā hiṃsīr [PS 20.57.14; cf.	deva AtmA tvA prASnAmi AtmA asi Atman AtmAnam me mA hiMsIH [PH 20.57.14; cf.
   PS 9.21.1ff., VSK 2.3.5+7, VaitS 3.11]> iti prāśitam anumantrayate	PS 9.21.1ff., VSK 2.3.5+7, VEtS 3.11]> iti prASitam anumantrayate
   (KauśS_8,6[65].15) <yo 'gnir nṛmaṇā nāma brāhmaṇeṣu praviṣṭaḥ | tasmin ma	(KOSS_8,6[65].15) <yaH agniH nRmaNAH nAma brAhmaNezu pravizwaH | tasmin ma
   eṣa suhuto 'stv odanaḥ sa mā mā hiṃsīt parame vyoman || so asmabhyam astu	eza su hutaH astu odanaH sa mA mA hiMsIt parame vyoman || saH asmaByam astu
   parame vyomann [cf. PS 20.57.15, PS 16.72.9]> iti dātāraṃ vācayati	parame vyoman [cf. PH 20.57.15, PS 16.72.9]> iti dAtAram vAcayati
   (KauśS_8,6[65].16) vīkṣaṇāntam śataudanāyāḥ prātarjapena vyākhyātam	(KOSS_8,6[65].16) vIkzaNa antam Sata odanAyAH prAtar japena vyAKyAtam
   (KauśS_8,7[66].1) <vāṅ ma āsan [19.60.1]>_iti mantroktāni_abhimantrayate	(KOSS_8,7[66].1) <vAc me Asan [19.60.1]>_iti mantra uktAni_aBimantrayate
   (KauśS_8,7[66].2) <bṛhatā mano [5.10.8]> <dyauś ca me [6.53.1]> <punar	(KOSH _8,7[66].2) <bRhatA manaH [5.10.8]> <dyOH ca me [6.53.1]> <punar
   maitv indriyaṃ [7.67.1]>_iti pratimantrayate	mA etu indriyam [7.67.1]>_iti pratimantrayate
   (KauśS_8,7[66].3) pratimantrite vyavadāyāśnanti	(KOSH _8,7[66].3) pratimantrite vyavadAya aSnanti
   (KauśS_8,7[66].4) śataudanāyāṃ dvādaśaṃ śataṃ dakṣiṇāḥ	(KOSS_8,7[66].4) Sata odanAyAm dvAdaSam Satam dakziNAH
   (KauśS_8,7[66].5) adhikaṃ dadataḥ kāmapraṃ saṃpadyate	(KOSH _8,7[66].5) aDikam dadataH kAma pram saMpadyate
   (KauśS_8,7[66].6) <brahmāsya [4.34.1]>_ity odane hradān pratidiśaṃ karoti	(KOSS_8,7[66].6) <brahma asya [4.34.1]>_iti odane hradAn pratidiSam karoti
   (KauśS_8,7[66].7) upari_āpānam	(KOSS_8,7[66].7) upari_ApAnam
   (KauśS_8,7[66].8) tadabhitaś catasro diśyāḥ kulyāḥ	(KOSS_8,7[66].8) tad aBitas catasraH diSyAH kulyAH
   (KauśS_8,7[66].9) tā rasaiḥ pūrayati	(KOSS_8,7[66].9) tAH rasEH pUrayati
   (KauśS_8,7[66].10) pṛthivyāṃ surayādbhir āṇḍīkādivanti mantroktāni	(KOSS_8,7[66].10) pRTivyAm surayAdBiH ANxIka Adivanti mantra uktAni
   pratidiśaṃ nidhāya	pratidiSam niDAya
   (KauśS_8,7[66].11) <yam odanaṃ [4.35.1]>_ity atimṛtyum	(KOSS_8,7[66].11) <yam odanam [4.35.1]>_iti atimRtyum
   (KauśS_8,7[66].12) <anaḍvān [4.11.1]> ity anaḍvāham	(KOSS_8,7[66].12) <anaxvAn [4.11.1]> iti anaxvAham
   (KauśS_8,7[66].13) <sūryasya raśmīn [4.38.5]> iti karkīṃ sānūbandhyāṃ	(KOSS_8,7[66].13) <sUryasya raSmIn [4.38.5]> iti karkIm sa anUbanDyAm
   dadāti	dadAti
   (KauśS_8,7[66].14) <āyaṃ gauḥ pṛśnir [6.31.1]> <ayaṃ sahasram [7.22.1]>	(KOSS_8,7[66].14) <a ayam gOH pRSniH [6.31.1]> <ayam sahasram [7.22.1]>
   iti pṛśnim gām	iti pRSnim gAm
   (KauśS_8,7[66].15) <devā imaṃ madunā saṃyutaṃ yavaṃ [6.30.1]> iti	(KOSS_8,7[66].15) <devA imam madunA saMyutam yavam [6.30.1]> iti
   paunaḥśilaṃ madhumantaṃ sahiraṇyaṃ saṃpātavantam	pOnaHSilam maDumantam sa hiraNyam saMpAtavantam
   (KauśS_8,7[66].16) <punantu mā devajanāḥ [6.19.1]>_iti pavitraṃ kṛśaram	(KOSS_8,7[66].16) <punantu mA deva janAH [6.19.1]>_iti pavitram kRSaram
   (KauśS_8,7[66].17) <kaḥ pṛśniṃ [7.104.1]>_ity urvarām	(KOSS_8,7[66].17) <kaH pRSnim [7.104.1]>_iti urvarAm
   (KauśS_8,7[66].18) <sāhasras [9.4.1]>_ity ṛṣabham	(KOSS_8,7[66].18) <sAhasraH [9.4.1]>_iti RzaBam
   (KauśS_8,7[66].19) <prajāpatiś ca [9.7.1]>_ity anaḍvāham	(KOSS_8,7[66].19) <prajApatiH ca [9.7.1]>_iti anaxvAham
   (KauśS_8,7[66].20) <namas te jāyamānāyai [10.10.1]> <dadāmi [12.4.1]>_iti	(KOSH _8,7[66].20) <namaH te jAyamAnAyE [10.10.1]> <dadAmi [12.4.1]>_iti
   vaśām udapātreṇa saṃpātavatā saṃprokṣyābhimantryābhinigadya dadyād dātā	vaSAm uda pAtreNa saMpAtavatA saMprokzya aBimantrya aBinigadya dadyAt dAtA
   vācyamānaḥ	vAcyamAnaH
   (KauśS_8,7[66].21) <bhūmiṣ ṭvā [3.29.8]>_ity enāṃ pratigṛhṇāti	(KOSS_8,7[66].21) <BUmiH wvA [3.29.8]>_iti enAm pratigRhNAti
   (KauśS_8,7[66].22) <upamitāṃ [9.3.1 (5.28.5)]>_iti yat_śālayā saha dāsyan	(KOSS_8,7[66].22) <upamitAm [9.3.1 (5.28.5)]>_iti yat _SAlayA saha dAsyan
   bhavati tad antar bhavati_apihitam	Bavati tat antar Bavati_apihitam
   (KauśS_8,7[66].23) mantroktaṃ tu praśastam	(KOSH _8,7[66].23) mantra uktam tu praSastam
   (KauśS_8,7[66].24) <iṭasya te vi cṛtāmi [9.3.18]>_iti dvāram avasārayati	(KOSS_8,7[66].24) <iwasya te vi cRtAmi [9.3.18]>_iti dvAram avasArayati
   (KauśS_8,7[66].25) <pratīcīṃ tvā pratīcīnaḥ [9.3.22]>_ity udapātram agnim	(KOSS_8,7[66].25) <pratIcIm tvA pratIcInaH [9.3.22]>_iti uda pAtram agnim
   ādāya prapadyante	AdAya prapadyante
   (KauśS_8,7[66].26) tad antar eva sūktena saṃpātavat karoti	(KOSS_8,7[66].26) tat antar eva sUktena saMpAta vat karoti
   (KauśS_8,7[66].27) udapātreṇa saṃpātavatā śālāṃ	(KOSS_8,7[66].27) uda pAtreNa saMpAtavatA SAlAm
   saṃprokṣyābhimantryābhinigadya dadyād dātā vācyamānaḥ	saMprokzya aBimantrya aBinigadya dadyAt dAtA vAcyamAnaH
   (KauśS_8,7[66].28) <antarā dyāṃ ca pṛthivīṃ ca [9.3.15]>_ity enāṃ	(KOSH _8,7[66].28) <antarA dyAm ca pRTivIm ca [9.3.15]>_iti enAm
   pratigṛhṇāti	pratigRhNAti
   (KauśS_8,7[66].29) <upamitāṃ [9.3.1]>_iti mantroktāni pracṛtati	(KOSS_8,7[66].29) <upamitAm [9.3.1]>_iti mantra uktAni pracRtati
   (KauśS_8,7[66].30) <mā naḥ pāśaṃ [9.3.24]>_ity abhimantrya dhārayati	(KOSS_8,7[66].30) <mA naH pASam [9.3.24]>_iti aBimantrya DArayati
   (KauśS_8,7[66].31) <nāsyāsthīni [9.5.23]>_iti yathoktam	(KOSH _8,7[66].31) <nAsya asTIni [9.5.23]>_iti yaTA uktam
   (KauśS_8,7[66].32) <sarvam enaṃ samādaya [9.5.23c]>_ity adbhiḥ pūrṇe garte	(KOSS_8,7[66].32) <sarvam enam samAdaya [9.5.23c]>_iti adBiH pUrNe garte
   pravidhya saṃvapati	praviDya saMvapati
   (KauśS_8,7[66].33) śataudanāṃ ca	(KOSS_8,7[66].33) Sata odanAm ca
   (KauśS_8,8[67].1) saṃbhṛteṣu sāvikeṣu saṃbhāreṣu brāhmaṇam ṛtvijaṃ vṛṇīta	(KOSS_8,8[67].1) saMBRtezu sAvikezu saMBArezu brAhmaNam Rtvijam vRNIta
   (KauśS_8,8[67].2) ṛṣim ārṣeyaṃ sudhātudakṣiṇam anaimittikam	(KOSS_8,8[67].2) Rzim Arzeyam suDAtu dakziNam anEmittikam
   (KauśS_8,8[67].3) eṣa ha vā ṛṣir ārṣeyaḥ sudhātudakṣiṇo yasya	(KOSS_8,8[67].3) eza ha vE RziH ArzeyaH suDAtu dakziNaH yasya
   tryavarārdhyāḥ pūrvapuruṣā vidyācaraṇavṛttaśīlasaṃpannāḥ	tri avara ArDyAH pUrva puruzAH vidyA caraNa vRtta SIla saMpannAH
   (KauśS_8,8[67].4) udagayana ity eke	(KOSS_8,8[67].4) udagayane iti eke
   (KauśS_8,8[67].5) athāta odanasavānām upācārakalpaṃ vyākhyāsyāmaḥ	(KOSS_8,8[67].5) aTa atas odanasavAnAm upAcArakalpam vyAKyAsyAmaH
   (KauśS_8,8[67].6) savān dattvāgnīn ādadhīta	(KOSS_8,8[67].6) savAn dattvA agnIn AdaDIta
   (KauśS_8,8[67].7) sārvavaidika ity eke	(KOSS_8,8[67].7) sArvavEdikaH iti eke
   (KauśS_8,8[67].8) sarve vedā dvikalpāḥ	(KOSS_8,8[67].8) sarve vedAH dvi kalpAH
   (KauśS_8,8[67].9) māsaparārdhyā dīkṣā dvādaśarātro vā	(KOSH _8,8[67].9) mAsa parArDyA dIkzA dvAdaSa rAtraH vA
   (KauśS_8,8[67].10) trirātra ity eke	(KOSH _8,8[67].10) tri rAtre iti eke
   (KauśS_8,8[67].11) haviṣyabhakṣā syur brahmacāriṇaḥ	(KOSS_8,8[67].11) havizya BakzA syuH brahmacAriNaH
   (KauśS_8,8[67].12) adhaḥ śayīran	(KOSS_8,8[67].12) aDas SayIran
   (KauśS_8,8[67].13) kartṛdātārau_ā samāpanāt kāmaṃ na bhuñjīran saṃtatāś	(KOSS_8,8[67].13) kartR dAtArO_A samApanAt kAmam na BuQjIran saMtatAH 
   cet syuḥ	ced syuH
   (KauśS_8,8[67].14) ahani samāptam ity eke	(KOSS_8,8[67].14) ahani samAptam iti eke
   (KauśS_8,8[67].15) yātrārthaṃ dātārau vā dātā keśaśmaśruromanakhāni	(KOSS_8,8[67].15) yAtrA arTam dAtArO vA dAtA keSa SmaSru roma naKAni
   vāpayīta	vApayIta
   (KauśS_8,8[67].16) keśavarjaṃ patnī	(KOSS_8,8[67].16) keSa varjam patnI
   (KauśS_8,8[67].17) snātāvahatavasanau surabhiṇau vratavantau	(KOSS_8,8[67].17) snAta avahata vasanO suraBiNO vratavantO
   karmaṇyau_upavasataḥ	karmaNyO_upavasataH
   (KauśS_8,8[67].18) śvo bhūte yajñopavītī śāntyudakaṃ kṛtvā yajñavāstu ca	(KOSS_8,8[67].18) Svas BUte yajQa upavItI SAntyudakam kRtvA yajQavAstu ca
   saṃprokṣya brahmaudanikam agniṃ mathitvā	saMprokzya brahmOdanikam agnim maTitvA
   (KauśS_8,8[67].19) <yad devā devaheḍanaṃ [6.114.1]> <yad vidvāṃso yad	(KOSS_8,8[67].19) <yat devAH deva hexanam [6.114.1]> <yat vidvAMsaH yat 
   avidvāṃso [6.115.1]> <'pamityam apratīttaṃ [6.117.1]>_ity etais tribhiḥ	avidvAMsaH [6.115.1]> < apamityam apratIttam [6.117.1]>_iti etEH triBiH
   sūktair anvārabdhe dātari pūrṇahomaṃ juhuyāt	sUktEH anvArabDe dAtari pUrNa homam juhuyAt 
   (KauśS_8,8[67].20) pūrvāhṇe bāhyataḥ śāntavṛkṣasya_idhmaṃ prāñcam	(KOSS_8,8[67].20) pUrvAhNe bAhyatas SAnta vRkzasya_iDmam prAQcam
   upasamādhāya	upasamADAya
   (KauśS_8,8[67].21) parisamuhya paryukṣya paristīrya barhir udapātram	(KOSS_8,8[67].21) parisamuhya paryukzya paristIrya barhiH uda pAtram
   upasādya paricaraṇenājyaṃ paricarya	upasAdya paricaraNena Ajyam paricarya
   (KauśS_8,8[67].22) nityān purastāddhomān hutvājyabhāgau ca	(KOSS_8,8[67].22) nityAn purastAt DomAn hutvA Ajya BAgO ca
