   Vādivāgīśvara: Mānamanohara	VAdi-vAc-ISvara: MAna-manohara
   vyañjakatve pūrvavad doṣo 'nusandheyaḥ /	vyaQjaka-tve pUrvavat dozaH anusanDeyaH /
   2) vivādādhyāsito 'dviṣṭhabuddhijaguṇayorāśrayaḥ,	2) vivAda-aDyAsitaH advizWa-budDi-jaguNayoH-ASrayaH,
   vijñānāsamavāyikāraṇādhāratvādātmavat /	vijQAna-asamavAyi-kAraNa-ADAra-tvAt-Atma-vat /
   aśrotrāṇāmaviśeṣaguṇavatvāt /	aSrotrANAm-aviSeza-guNava-tvAt /
   kāryadravyeṇa svasamavāyikāraṇena kṛtādviṣṭhaguṇena guṇatvāvāntarajātīyaṃ	kArya-dravyeNa sva-samavAyi-kAraNena kRtAt-vizWa-guNena guNa-tva-avAntara-jAtIyam
   paratvam /	paratvam /
   samavāyikāraṇena svakārye kriyamāṇenādviṣṭhaguṇena	samavAyi-kAraNena sva-kArye kriyamANena-advizWa-guNena
   guṇatvāvāntarajātīyamaparatvam /	guNa-tva-avAntara-jAtIyam-aparatvam /
   kāraṇavināśād vināśaḥ /	kAraNa-vinASAt vinASaH /
   [12 buddhernirūpaṇam--]	[12 budDeH-nirUpaNam--]
   1) buddhau pramāṇaṃ na vaktavyam, sarvatantrasiddhāntasiddhatvāt /	1) budDO pramANam na vaktavyam, sarva-tantra-sidDAnta-sidDa-tvAt /
   tadanabhyupagame svavacanavirodhādayaḥ prasañjanīyāḥ /	tad-anaByupagame sva-vacana-viroDa-AdayaH prasaQjanIyAH /
   jñānatvaṃ asmadādimānasapratyakṣavyaktisamavetam, jñānajātitvātsattāvat /	jQAna-tvam asmad-Adi-mAnasa-pratyakza-vyakti-samavetam, jQAna-jAti-tvAt-sat-tAvat /
   asmadādītyavivakṣāyāṃ prameyatvādikaṃ yogipratyakṣasādhakamanusandheyam /	asmad-Adi-iti-avivakzAyAm prameya-tva-Adikam yogi-pratyakza-sADakam-anusanDeyam /
   pratyakṣatvānabhyupagame jñānābhyupagamo nirmūlaḥ, tatkāraṇenaiva	pratyakza-tvA-anaByupagame jQAna-aByupagamaH nirmUlaH, tad-kAraNena-eva
   tatkalpakavyavahāropapatteḥ /	tad-kalpaka-vyavahAra-upapatteH /
   anavasthā tu nāsti, adṛṣṭādikāraṇasāmagryā niyāmakatvāt /	anavasTA tu nAsti, adRzwa-Adi-kAraNa-sAmagryA niyAmaka-tvAt /
   rūpādivadudbhūtatvasyāpi jñāne 'nabhyupagatatvāt, tathāvidhasyaiva	rUpa-Adi-vat-udBUta-tvasya-api jQAne anaByupagata-tvAt, taTAviDasya-eva
   pratyakṣatvāt /	pratyakza-tvAt /
   2) prabhākaramate vivādapadaṃ na mānasapratyakṣaṃ jñānatvāditi na	2) praBAkara-mate vivAda-padam na mAnasa-pratyakzam jQAna-tvAt-iti na
   sāmpratam, sarvamuktipakṣe dṛṣṭāntāsiddheḥ, anyasminnapi prabhākarasya	sAmpratam, sarva-mukti-pakze dRzwAnta-asidDeH, anyasmin=-api praBAkarasya
   sarvadā ekatve niścāyakābhāvāt /	sarvadA eka-tve niScAyaka-aBAvAt /
   na ca ghaṭaṃ jānāmītyatra kalpanālāghavādekameva jñānaṃ kalpanīyam ---	na ca Gawam jAnAmi-iti-atra kalpanA-lAGavAt-ekam-eva jQAnam kalpanIyam ---
   ityarthāpattyupanyāso doṣaḥ syāt, na hi pareṇānekatvasādhane sopanyastā /	iti-arTApatti-upanyAsaH dozaH syAt, na hi pareNa-aneka-tva-sADane sa-upanyastA /
   3) kiṃ ca jñānaṃ pratyakṣaṃ vastutvādghaṭavat /	3) kim ca jQAnam pratyakzam vastu-tvAt-Gawa-vat /
   na cājñānatvamupādhiḥ, tava sarvajñānasya pratyakṣatvāsiddheḥ /	na ca-ajQAna-tvam-upADiH, tava sarva-jQAnasya pratyakza-tva-asidDeH /
   nañaścetaretarābhāvavācakatve 'pi viśeṣaṇavaiyarthyāt /	naQaH-ca-itara-itara-aBAva-vAcaka-tve api viSezaNa-vEyarTyAt /
   jñānavyatiriktatvamiti tasyārthaḥ /	jQAna-vyatirikta-tvam-iti tasya-arTaH /
   tatra ca na jñānapadasyopayogaḥ /	tatra ca na jQAna-padasya-upayogaH /
   na ca jñānaṃ mānasapratyakṣaṃ na bhavati, jñānatvāditi sāmpratam,	na ca jQAnam mAnasa-pratyakzam na Bavati, jQAna-tvAt-iti sAmpratam,
   asādhāraṇatvāt /	asADAraNa-tvAt /
   na ca mānasapratyakṣatve 'navasthādoṣaḥ, yogyabhyupagamavādināṃ	na ca mAnasa-pratyakza-tve anavasTA-dozaH, yogi-aByupagama-vAdinAm
   tasyāsambhavādadoṣācca /	tasya-asamBavAda-dozAt-ca /
   tasmājjñānaṃ mānasapratyakṣamiti /	tasmAt-jQAnam mAnasa-pratyakzam-iti /
   (1 akhyātivādanirāsaḥ--)	(1 aKyAti-vAda-nirAsaH--)
   atha kecidakhyātiṃ samarthayanti, vivādapadaṃ rajataviṣayaṃ	aTa kecid-aKyAtim samarTayanti, vivAda-padam rajata-vizayam
   rajatajñānatvāditi bruvate /	rajata-jQAna-tvAt-iti bruvate /
   te tu praṣṭavyāḥ--- kimidaṃ rajatajñānaṃ nāma? 1 rajatasya jñānaṃ	te tu prazwavyAH-- kim-idam rajata-jQAnam nAma? 1 rajatasya jQAnam
   rajatajñānam? 2 rajataṃ tajjñānaṃ ca rajatajñānamiti vā? 3	rajata-jQAnam? 2 rajatam tat-jQAnam ca rajata-jQAnam-iti vA? 3
   rajataśabdollekhi jñānaṃ vā? 4 rajatārthinaḥ pravṛttihetubhūtaṃ jñānaṃ vā?	rajata-Sabda-ulleKi jQAnam vA? 4 rajata-arTinaH pravRtti-hetu-BUtam jQAnam vA?
   na prathamaḥ, ṣaṣṭhyarthasya viṣayaviṣayibhāvavyatirekeṇānyasyāsambhave	na praTamaH, zazWI-arTasya vizaya-vizayi-BAva-vyatirekeNa-anyasya-asamBave
   sādhyāviśiṣṭatvāt /	sADya-aviSizwa-tvAt /
   na dvitīyaḥ, ubhayāsiddheḥ, jñānasya nirākāratvāt /	na dvitIyaH, uBaya-asidDeH, jQAnasya nirAkAra-tvAt /
   nāpi tṛtīyaḥ, ullekhārthasya viśeṣaṇatve 'siddheḥ /	na-api tRtIyaH, ulleKA-arTasya viSezaNa-tve asidDeH /
   tajjñānajanitasmṛtimātrayogitve pūrvapadajñānenāpi rajatapadasya	tad-jQAna-janita-smRti-mAtra-yogi-tve pUrva-pada-jQAnena-api rajata-padasya
   smaraṇasambhavena vyabhicārāt /	smaraNa-samBavena vyaBicArAt /
   na caturthaḥ, vivekāgrahaṇavādināmidamiti jñānasyāpi śuktikālambanasya	na caturTaH, viveka-agrahaNa-vAdinAm-idam-iti jQAnasya-api SuktikA-Alambanasya
   taddhetutvena vyabhicārāt /	tad-hetu-tvena vyaBicArAt /
   etena rajatamiti pratyuktam, pūrvoktapakṣādbahirbhāvābhāvāt /	etena rajatam-iti pratyuktam, pUrva-ukta-pakzAt-bahirBAva-aBAvAt /
   yacca vimataṃ jñānaṃ yathārthaṃ jñānatvāditi bruvate,	yat-ca vimatam jQAnam yaTArTam jQAna-tvAt-iti bruvate,
   tatrobhayavādipratipannajñānavyakterasiddhatvādāśrayāsiddhiḥ /	tatra-uBaya-vAdi-pratipanna-jQAna-vyakteH-asidDa-tvAt-ASraya-asidDiH /
   rajatārthinaḥ pravṛttyanyathānupapattiparikalpitatajjanakajñānamātrasya	rajata-arTinaH pravRtti-anyaTA-anupapatti-parikalpita-tad-janaka-jQAna-mAtrasya
   pakṣīkāre pramāṇabādhaḥ, svasamānaviṣayeṣṭasādhanajñānajanyatvātpravṛtteḥ	pakzIkAre pramANa-bADaH, sva-samAna-vizaya-izwa-sA-Dana-jQAna-janya-tvAt-pravRtteH
   tvayāpyetasya samyagrajatapravṛttāvabhyupagamāt /	tvayA-api-etasya samyak-rajata-pravRttO=-aByupagamAt /
   tatrāpi vivekagrahaṇamātrasyaiva prayojakatve	tatra-api viveka-grahaNa-mAtrasya-eva prayojaka-tve
   padānāmanvitābhidhāyitvabhaṅgaprasaṅgaḥ /	padAnAm-anvita-aBiDAyi-tva-BaFga-prasaFgaH /
   bālakasya svātmani vivekāgrahaṇamātrātpravṛttiṃ paśyata	bAlakasya sva-Atmani viveka-agrahaNa-mAtrAt-pravRttim paSyata
   uttamavṛddhavākyaprayogānantaraṃ pravarttamānamadhyamavṛddhapravṛtterapi	uttama-vRdDa-vAkya-prayoga-anantaram pravarttamAna-maDyama-vRdDa-pravRtteH-api
   tanmātrapūrvakatvakalpanāt /	tanmAtra-pUrvaka-tva-kalpanAt /
   tadakāraṇibhūtamapi tatra viśiṣṭajñānamavyabhicārabalena	tat-akAraNiBUtam-api tatra viSizwa-jQAnam-avyaBicAra-balena
   pravṛttipūrvakṣaṇe kalpyate /	pravRtti-pUrvakzaNe kalpyate /
   tatra ca śabdasya kāraṇatvamiti vadato 'bhyupagatasiddhāntabhaṅgaḥ, tasya	tatra ca Sabdasya kAraNa-tvam-iti vadataH aByupagata-sidDAnta-BaFgaH, tasya
   ca pravṛttimātreṇaiva kalpanābhāvāt /	ca pravRtti-mAtreNa-eva kalpanA-BAvAt /
   cakṣuścākṣuṣasatyajñānātiriktajñānajanakam, indriyatvāttvagvat /	cakzuH-cAkzuza-satya-jQAna-atirikta-jQAna-janakam, indriya-tvAt-tvak-vat /
   vivādapadaṃ svasmāritapadārthānvayabodhakam,	vivAda-padam sva-smArita-padArTa-anvaya-boDakam,
   ākāṅkṣāsannidhimatpadakadambatvātsampratipannavat /	AkAFkzA-sanniDimat-pada-kadamba-tvAt-sampratipanna-vat /
   na ca yogyatāvattvamupādhiḥ, anākāṃkṣitāsannihitapadānāṃ yogyatāvattve	na ca yogya-tAvat-tvam-upADiH, anAkAMkzita-asat-nihita-padAnAm yogya-tAvat-tve
   'pyabodhakatvāt /	api-aboDaka-tvAt /
   ākāṃkṣāsannidhibhyāṃ viśeṣaṇe viśeṣyavaiyarthyāt /	AkAMkzA-sanniDiByAm viSezaNe viSezya-vEyarTyAt /
   tasmādastyayathārthaṃ jñānam /	tasmAt-asti-ayaTArTam jQAnam /
   (2 apramājñānasya bhedāḥ--)	(2 apramA-jQAnasya BedAH--)
   tacca lokapravṛttyanusāreṇa niścayāniścayabhedena bhinnam /	tat-ca loka-pravRtti-anusAreNa niScaya-aniScaya-Bedena Binnam /
   aniścayo 'pyanadhyavasāyaḥ saṃśaya iti /	aniScayaH api-anaDyavasAyaH saMSayaH iti /
   mithyāniścayo viparyayaḥ /	miTyA-niScayaH viparyayaH /
   viruddhakoṭisaṃsparśyaniścayaḥ saṃśayaḥ /	virudDa-kowi-saMsparSya-niScayaH saMSayaH /
   viruddhakoṭyasaṃsparśyaniścayo 'nadhyavasāyaḥ,	virudDa-kowi-asaMsparSya-niScayaH anaDyavasAyaH,
   asmābhirapyanavadhāraṇatvasya saṃśayānadhyavasāyayorabhyupagateḥ /	asmABiH-api-anavaDAraNa-tvasya saMSaya-anaDyavasAyayoH-aByupagateH /
   tena cāsmaduktāvāntarabhedasyābhyupagatatvādbhāsarvajñena sahāsmākaṃ nāsti	tena ca-asmad-uktOvAntara-Bedasya-aByupagata-tvAt-BAsarvajQena saha-asmAkam na-asti
   vipratipattiriti nātra prapañcyate /	vipratipattiH-iti na-atra prapaQcyate /
   tarkastu nānyo 'sti, anadhyavasāyalakṣaṇenaiva saṃgṛhītatvāt /	tarkaH-tu na-anyaH asti, anaDyavasAya-lakzaNena-eva saMgRhIta-tvAt /
   [3 pratyakṣajñānasya nirūpaṇam--]	[3 pratyakza-jQAnasya nirUpaNam--]
   cakṣuścakṣurjanyasavikalpakavyatiriktajñānajanakam, indriyatvānmanovat /	cakzuH-cakzuH-janya-sa-vikalpaka-vyatirikta-jQAna-janakam, indriya-tvAt-manaH-vat /
   vivādapadaṃ pratyakṣam, vastutvātprameyatvādghaṭavat /	vivAda-padam pratyakzam, vastu-tvAt-prameya-tvAt-Gawa-vat /
   pratyakṣasāmagryasadbhāva upādhiriti kaścit /	pratyakza-sAmagrya-sadBAvaH upADiH-iti kaScid /
   tanna, tasyāpi sādhanāt /	tat-na, tasya-api sADanAt /
   anupapannametad, bādhitaviṣayatvād, bāhyendriyāsambaddhaviṣayatvāt, manaso	anupapannam-etat-, bADita-vizaya-tvAd, bAhya-indriya-asambadDa-vizaya-tvAt, manasaH-
   bāhye 'rthe 'svātantryāt /	bAhye arTe asvAtantryAt /
   anyathātiprasaṅgāditi cet, nātiprasaṅgo hi bādhakaḥ syāt,	anyaTA-ati-prasaFgAt-iti cet, na-ati-prasaFgaH hi bADakaH syAt-,
   tanniyāmakamukhena sādhako 'pi bhaviṣyati /	tad-niyAmaka-muKena sADakaH api Bavizyati /
   ātmā jñātavya iti vākyaprasiddho yogajo dharmaḥ sarvadarśitvādiphalakaḥ /	AtmA jQAtavyaH iti vAkya-prasidDaH yoga-jaH DarmaH sarva-darSi-tva-Adi-PalakaH /
   na ca nāsau dharmakalpakaḥ, tena vinānupapatterabhāvāditi sāmpratam,	na ca na-asO Darma-kalpakaH, tena vinA-anupapatteH-aBAvAt-iti sAmpratam,
   yogavatāṃ viśiṣṭakule 'pyutpādasya tattvajñānopayogino	yogavatAm viSizwa-kule api-utpAdasya tattva-jQAna-upayoginaH-
   dharmaviśeṣamantareṇāsambhavāt /	Darma-viSezam-antareNa-asamBavAt /
   yadāha bhagavān svayameva-- `śucīnāṃ śrīmatāṃ gehe yogabhraṣṭo 'bhijāyate'	yat-Aha BagavAn svayam-eva- `SucInAm SrImatAm gehe yoga-BrazwaH aBijAyate-a
   (gī 6.11) iti /	(gI 6.11) iti /
   asmadādijñānotpattyarthamindriyamarthena saṃyogasamavāyāvapekṣya	asmad-Adi-jQAna-utpatti-arTam-indriyam-arTena saMyoga-samavAyO=-apekzya
   yathāyogaṃ karoti /	yaTAyogam karoti /
   saṃyuktasamavāyastu na saṃyogasamavāyavyatirekeṇānyo 'sti /	saMyukta-samavAyaH-tu na saMyoga-samavAya-vyatirekeNa-anyaH asti /
   anyathā padārthāntaratvaprasaṅgāditi na prapañcyate /	anyaTA padArTa-antara-tva-prasaFgAt-iti na prapaQcyate /
   nityamīśvarajñānaṃ yathārthaparokṣamiti pratyakṣam /	nityam-ISvara-jQAnam yaTArTa-parokzam-iti pratyakzam /
   (4 anumitijñānasya nirūpaṇam--)	(4 anumiti-jQAnasya nirUpaNam--)
   (4.1 syādetat --) anumitau kiṃ pramāṇamiti cet, pratyakṣamiti brūmaḥ /	(4.1 syAt-etat --) anumitO kim pramANam-iti cet, pratyakzam-iti brUmaH /
   bhavati hi vahnimān parvata iti jñānamiti hi dūradeśasthasya kasyāpi matiḥ	Bavati hi vahnimAn parvataH iti jQAnam-iti hi dUra-deSa-sTasya kasya-api matiH
   tathāpi tena tasyānumititvaṃ kathamavagamyate iti mā vocaḥ, pratyakṣatve'	taTA-api tena tasya-anumiti-tvam kaTam-avagamyate iti mA vocaH, pratyakza-tve-a
   pi samānatvāt /	pi samAna-tvAt /
   tatkāraṇānumāne kiṃ pramāṇamityapi na vaktavyam, tatkiṃ pramāṇamātraṃ	tad-kAraNa-anumAne kim pramANam-iti-api na vaktavyam, tat-kim pramANa-mAtram
   siddham, yena viśeṣe praśnaḥ syāt? tatsiddhau cānena	sidDam, yena viSeze praSnaH syAt? tad-sidDO ca-anena
   pramāṇenānvayavyatirekāparanāmnā pratyakṣasāmagrīpraviṣṭenānyena vā	pramANena-anvaya-vyatireka-apara-nAmnA pratyakza-sAmagrI-pravizwena-anyena vA
   siddhiriti yatkiñcidetat /	sidDiH-iti yat-kiQcid-etat /
   (4.2 vyāptisvarūpam--) nanu karaṇaṃ bhavadbhirucyamānamanupapannam,	(4.2 vyApti-svarUpam--) nanu karaNam BavadBiH-ucyamAnam-anupapannam,
   vyāpterabhāvāt, siddhāyāṃ vā jñātumaśakyatvāt, na, nirupādhikasambandhasya	vyApteH-aBAvAt, sidDAyAm vA jQAtum-aSakyatvAt, na, nirupADika-sambanDasya
   vyāptitvāt /	vyApti-tvAt /
   kaḥ punarupādhiriti cet, yena vinā yayoḥ sahabhāvādarśanaṃ tatra yena	kaH punar-upADiH-iti cet, yena vinA yayoH sahaBAva-adarSanam tatra yena
   yasya vyabhicāraḥ, sa tasminnupādhiriti /	yasya vyaBicAraH, sa tasmin=-upADiH-iti /
   dṛṣṭāntamātravyāpako vā, sādhanavyāpakatve sati sādhyavyāpako vā /	dRzwAnta-mAtra-vyApakaH vA, sADana-vyApaka-tve sati sADya-vyApakaH vA /
   sa dvividhaḥ--- anvayopādhirvyatirekopādhiriti /	sa dviviDaH-- anvaya-upADiH-vyatireka-upADiH-iti /
   ubhāvapi śaṅkitau niścitau ca /	uBO=-api SaFkitO niScitO ca /
   vivādapadaṃ sattārahitaṃ jātitvātsattāvadityatra sattāsvarūpamupādhiḥ	vivAda-padam sattA-rahitam jAti-tvAt-sat-tAvat-iti-atra sattA-svarUpam-upADiH
   śaṅkyate /	SaFkyate /
   agniṣomīyahiṃsā pāpasādhanaṃ hiṃsātvādityatra	agnizomIya-hiMsA pApa-sADanam hiMsA-tva-Aditi-atra
   niṣiddhatvamupādhirniścīyate, sādhanenāvinābhāvābhāve 'pi sādhyena saha	nizidDa-tvam-upADiH-niScIyate, sADanena-AvinA-aBAva-aBAve api sADyena saha
   suvarṇasteyādiṣupādheranugamadarśanāt /	suvarNa-steya-Adizu-pADeH-anugama-darSanAt /
   kṣityādikamakartṛkaṃ	kziti-Adikam-akartRkam
   śarīriṇājanyatvādvyomavadityatrājanyatvamupādhirniścitaḥ, viśiṣṭasya	SarIriNA-janya-tvAt-vyoma-vat-iti-atra-ajanya-tvam-upADiH-niScitaH, viSizwasya
   prayojakatvakalpanāyāṃ pramāṇābhāvāt /	prayojaka-tva-kalpanAyAm pramANa-aBAvAt /
   sarvaṃ kāryaṃ nityaprayatnapūrvakaṃ	sarvam kAryam nitya-prayatna-pUrvakam
   kāryatvādvyatirekeṇākāśavadityatrāprayatnapūrvakatvamupādhiḥ /	kAryatvAt-vyatirekeNa-AkASa-vat-iti-atra-aprayatna-pUrvaka-tvam-upADiH /
   sādhye viśeṣaṇasyopādānamanvayini dūṣaṇam, vyatirekiṇi tu tadabhāvasya	sADye viSezaNasya-upAdAnam-anvayini dUzaNam, vyatirekiNi tu tad-aBAvasya
   sādhanatvenopayoge tasya vyavacchedakatve nopayoga iti viśeṣaṇavaiyarthyam	sADana-tvena-upayoge tasya vyavacCedaka-tve na-upayogaH iti viSezaNa-vEyarTyam
   dhūmagatakaṭukatvādivad dūṣaṇameva /	DUma-gata-kawuka-tva-Adi-vat dUzaNam-eva /
   etena śaṅkitopādhirapyūhyaḥ /	etena SaFkita-upADiH-api-UhyaH /
   sādhyasādhanabhāvaśca vyāptisthala eva vivakṣita iti /	sADya-sADana-BAvaH-ca vyApti-sTalaH eva vivakzitaH iti /
   vyatirekeṇāpi tatrānvayisamānatvameveti caramalakṣaṇasyāpi tatra sambhavaḥ	vyatirekeNa-api tatra-anvayi-samAna-tvam-eva-iti carama-lakzaNasya-api tatra samBavaH
   na copādhyabhāvo jñātuṃ na śakyate /	na ca-upADi-aBAvaH jQAtum na Sakyate /
   adṛṣṭānāṃ prathamapiṇḍa evābhāvenopādhitvānupapatteḥ /	adRzwAnAm praTama-piNxe eva-aBAvena-upADi-tva-anupapatteH /
   na hyavidyamānaṃ japākusumamupādhirbhavati /	na hi-avidyamAnam japA-kusumam-upADiH-Bavati /
   teṣāṃ pañcapiṇḍādarśanenābhāvo niścīyate /	tezAm paQca-piNxAdarSanena-aBAvaH niScIyate /
   atīndriyopādhiprasañjanaṃ tu nānumānamātrasadbhāve 'pi bhavitumarhati,	atIndriya-upADi-prasaQjanam tu na-anumAna-mAtra-sadBAve api Bavitum-arhati,
   nirbījatvāt /	nirbIja-tvAt /
   anumānaviśeṣe tu vādiprativādyabhyupagataṃ	anumAna-viSeze tu vAdi-prativAdi-aByupagatam
   tatpadārthaviśeṣasvarūpanirūpaṇena nirākartavyamiti /	tad-padArTa-viSeza-svarUpa-nirUpaNena nirAkartavyam-iti /
   (4.3 parārthānumānam--) tatra	(4.3 para-arTa-anumAnam--) tatra
   pratijñāhetunidarśanānusandhānapratyāmnānātmakaṃ vākyarūpaṃ	pratijQA-hetu-nidarSana-anusanDAna-pratyAmnAnAtmakam vAkya-rUpam
   parārthānumānam /	para-arTa-anumAnam /
   tatrākāṃkṣākrameṇa laukikapadapravṛtteḥ /	tatra-akAMkzA-krameNa lOkika-pada-pravRtteH /
   siddhasādhyatāyāśca parihārārthamāśrayajñānasya ca prathamamākāṃkṣitatvāt	sidDa-sADyatAyAH-ca parihAra-arTam-ASraya-jQAnasya ca praTamam-AkAMkzita-tvAt-
   prathamataḥ pratijñāvacanam /	praTamatas pratijQA-vacanam /
   tadanantaraṃ hetoḥ, tadāśrayatvāt /	tad-anantaram hetoH, tad-ASraya-tvAt /
   kāraṇamātrasiddhau viśeṣe jijñāsāyāṃ satyāmākāṃkṣāparyālocanayā	kAraNa-mAtra-sidDO viSeze jijQAsAyAm satyAmAka-aMkzA-paryAlocanayA
   hetumātrasyaiva vacanam /	hetu-mAtrasya-eva vacanam /
   tadanu dharmajijñāsāyāṃ satyāṃ vyāpterākāṃkṣitatvāttannirūpaṇam /	tadanu Darma-jijQAsAyAm satyAm vyApteH-AkAMkzita-tvAt-tad-nirUpaNam /
   tadanantaraṃ sarvavākyānāmekavākyatāpratipādanāya	tad-anantaram sarva-vAkyAnAm-eka-vAkyatA-pratipAdanAya
   sādhyasiddherabhilaṣitāyāḥ khyāpanāya nigamanavacanam /	sADya-sidDeH-aBilazitAyAH KyApanAya nigamana-vacanam /
   tathā hi śabdo 'nityaḥ kāryatvād, yatkāryaṃ tadanityaṃ yathā ghaṭaḥ,	taTA hi SabdaH anityaH kArya-tvAt-, yat-kAryam tat-anityam yaTA GawaH,
   kāryaśca śabdaḥ, tasmācchabdo 'nityaḥ /	kAryaH-ca SabdaH, tasmAt-SabdaH anityaH /
   pakṣavacanaṃ pratijñā, hetuvacanamapadeśaḥ, dṛṣṭāntavacanamudāharaṇam,	pakza-vacanam pratijQA, hetu-vacanam-apadeSaH, dRzwAnta-vacanam-udAharaNam,
   dṛṣṭāntavacanānantarahetuvacanamupanayaḥ, upanayānantaraṃ sahetukaṃ	dRzwAnta-vacana-anantara-hetu-vacanam-upanayaH, upanaya-anantaram sa-hetukam
   pratijñāvacanaṃ nigamanam /	pratijQA-vacanam nigamanam /
   gamyamānārthatvānnigamanaṃ na prayoktavyamiti cenna, tasyādūṣaṇatvāt /	gamyamAna-arTa-tvAt-nigamanam na prayoktavyam-iti ced-na, tasya-adUzaNa-tvAt /
   anyathā hetumātrameva prayoktavyaṃ syād, viduṣāṃ viśiṣṭārthasyārthādeva	anyaTA hetu-mAtram-eva prayoktavyam syAd, viduzAm viSizwa-arTasya-arTAt-eva
   pratīteḥ /	pratIteH /
   (4.4 avayavadvayavādaḥ--)	(4.4 avayava-dvaya-vAdaH--)
   vayaṃ tanna budhyāmahe, sādhanānupayuktavacanasyādhikatvāt /	vayam tat-na buDyAmahe, sADana-anupayukta-vacanasya-aDika-tvAt /
   prativādinā hi sādhanajijñāsā kṛtā kiṃ pramāṇamiti /	prativAdinA hi sADana-jijQAsA kRtA kim pramANam-iti /
   tatra yāvadaṅgaviśiṣṭaṃ sādhanam, tāvad vaktavyam /	tatra yAvat-aFga-viSizwam sADanam, tAvat vaktavyam /
   aṅge ca dve eva vyāptipakṣadharmatve /	aFge ca dve eva vyApti-pakza-Darma-tve /
   na hi tato 'dhikaṃ pravṛtyaṅgam /	na hi tatas aDikam pravRti-aFgam /
   tadadhikabhūtaṃ jñātavyaṃ kimasti? kālātyayāpadiṣṭasyānaikāntike	tad-aDika-BUtam jQAtavyam kim-asti? kAla-atyaya-apadizwasya-anEkAntike
   'ntarbhāvāt /	antarBAvAt /
   nirupādhikānumānadvayasya caikatrāsambhavāt /	nirupADika-anumAna-dvayasya ca-ekatra-asamBavAt /
   sambhave vā vastuno dvyātmakatvaṃ ko nivārayet? nirupādhikasya	samBave vA vastunaH dvi-Atmaka-tvam kaH nivArayet? nirupADikasya
   sādhyaparityāge svabhāvaparityāgaprasaṅgāt /	sADya-parityAge svaBAva-parityAga-prasaFgAt /
   tadevaṃ sthite rūpadvaye, tatpratipādanārthaṃ vacanadvayameva vaktavyam,	tat-evam sTite rUpa-dvaye, tad-pratipAdana-arTam vacana-dvayam-eva vaktavyam,
   hetoḥ pakṣadharmatāvacanena viśiṣṭavācinā tatsiddheḥ /	hetoH pakza-Darma-tA-vacanena viSizwa-vAcinA tad-sidDeH /
   tasmādyatkāryam, tadanityaṃ yathā ghaṭaḥ, kāryaśca śabda ityanvayini /	tasmAt-yat-kAryam, tat-anityam yaTA GawaH, kAryaH-ca SabdaH iti-anvayini /
   yannityam, tadakāryaṃ yathā vyoma, kāryaśca śabda iti vyatirekiṇi /	yat-nityam, tat-akAryam yaTA vyoma, kAryaH-ca SabdaH iti vyatirekiNi /
   tasmādavayavadvayameva prayoktavyam /	tasmAt-avayava-dvayam-eva prayoktavyam /
   anvayavyatirekītyaparo neṣyate, ekenaivānumitisiddhau samuditasya hetutve	anvaya-vyatirekI-iti-aparaH nezyate, ekena-eva-anumiti-sidDO samuditasya hetu-tve
   pramāṇābhāvāt /	pramANa-aBAvAt /
   avinābhāvajanitaparokṣānubhavo 'numitiḥ tatsādhakatamamanumānam /	avinA-aBAva-janita-parokza-anuBavaH anumitiH tad-sADakatamam-anumAnam /
   tallakṣaṇarahitaṃ tatsadṛśamanumānābhāsam /	tad-lakzaNa-rahitam tad-sadRSam-anumAna-ABAsam /
   (4.5 hetvābhāsāḥ--) taccāsiddhaviruddhānaikāntikabhedabhinnam /	(4.5 hetvABAsAH--) tat-ca-asidDa-virudDa-anEkAntika-Beda-Binnam /
   aniścitapakṣavṛttirasiddhaḥ, śabdo 'nityaḥ cākṣuṣatvāditi /	aniScita-pakza-vRttiH-asidDaH, SabdaH anityaH cAkzuza-tvAt-iti /
   sa cobhayāsiddho 'nyatarāsiddhaśca /	sa ca-uBayA-sidDaH anyatara-asidDaH-ca /
   pakṣavipakṣayoreva vartamāno heturviruddhaḥ, nityaḥ śabdaḥ kāryatvāditi /	pakza-vipakzayoH-eva vartamAnaH hetuH-virudDaH, nityaH SabdaH kAryatvAt-iti /
   asādhakatvajñāpakatvaṃ hi dūṣaṇam /	asADaka-tva-jQApaka-tvam hi dUzaNam /
   sādhyaviparītānaupādhikasambandhitayā viruddhasya liṅgatā /	sADya-viparItAnOpADika-sambanDi-tayA virudDasya liFgatA /
   nanu sādhyaviparītagāmitā kvacidvyabhicarati, yenānaupādhikatve samarthaṃ	nanu sADya-viparIta-gAmitA kvacid-vyaBicarati, yena-anOpADika-tve samarTam
   syādato viśiṣṭaṃ na dūṣaṇamiti cet /	syAt-atas viSizwam na dUzaNam-iti ced /
   tanna, jalpavādayorhi parasādhanaṃ nivartya svapakṣe sādhanaṃ vācyam, ato	tat-na, jalpa-vAdayoH-hi para-sADanam nivartya sva-pakze sADanam vAcyam, atas-
   lāghavāya viśiṣṭopanyāsaḥ /	lAGavAya viSizwa-upanyAsaH /
   sādhanāntaraṃ tu na vācyameva /	sADana-antaram tu na vAcyam-eva /
   vitaṇḍāyāṃ tu vipakṣavṛttitā paramudbhāvyā,	vitaNxAyAm tu vipakza-vRtti-tA param-udBAvyA,
   anumityutpattipratibandhakatvaṃ ca dūṣaṇam /	anumiti-utpatti-pratibanDaka-tvam ca dUzaNam /
