   // śrīḥ //	// SrIH //
   mattavilāsaprahasanaṃ	matta-vilAsa-prahasanam
   [bhagavan! etasya haste cīvarāntaḥpracchāditaṃ kapālam /]	[Baga-van! etasya haste cIvara-antar-pracCAditam kapAlam /]
   Pāśupataḥ - śrutaṃ bhavatā /	PASupataH  Srutam BavatA /
   Śākyabhikṣuḥ - bho bhaavaṃ! edaṃ kavālaṃ ṇa parakeraaṃ /	ŚAkI-aBikzuH  Bo Baavan! edam kavAlam Na para-keraam /
   [bho bhagavan! etat kapālaṃ na parakīyam /]	[BaH Bagavan etat kapAlam na parakIyam /]
   Kapālī - tena hi darśaya tāvat /	KapAlI  tena hi darSaya tAvat /
   Śākyabhikṣuḥ - taha /	ŚAkI-aBikzuH  taha /
   [tathā /] (darśayati /)	[taTA /] (darSayati /)
   Kapālī - paśyantu paśyantu māheśvarāḥ kāpālikena {kapāline KaAF} kṛtam	Ka-pAlI  paSyantu paSyantu mAheSvarAH kApAlikena {kapAline KaAF} kRtam
   anyāyyam asya bhadantasya sādhuvṛttatāṃ ca /	anyAyyam asya Badantasya sADu-vRtta-tAm ca /
   Śākyabhikṣuḥ - ādiṇṇādāṇā veramaṇaṃ sikkhāpadaṃ / {... (iti punas tad eva	ŚAkI-aBikzuH  AdiNNAdANAH veramaNam sikKa-Apadam / {... (iti punar tat eva
   paṭhati /) : KaACD repeat the whole passage}	paWati /) : Kaa-aCD repeat Te whole passage}
   ({ityādi paṭhitvā E} ubhau nṛtyataḥ /)	({-ityAdi paWitvA E} uBO nRtyataH /)
   Śākyabhikṣuḥ - haddhi / {lajjitavve : udidavve C} kāle ṇaccadi /	ŚAkI-aBikzuH  hadDi / {lajjitavve : udidavve C} kAle Naccadi /
   [hā dhik / lajjitavye kāle nṛtyati /]	[hA Dik / lajjitavye kAle nRtyati /]
   Kapālī - āḥ ko nṛtyati / (sarvato vilokya {ātmagatam R} /) ā mama	KapAlI  AH kaH nRtyati / (sarvatas vilokya {Atma-gatam R} /) A mama
   naṣṭabhikṣābhājana{darśana : janita H}kutūhalamalayānilaprayuktāyā dhruvam	nazwa-BikzA-BAjana{-darSana : janita H}kutUhala-malaya-anila-prayuktAyAH Druvam
   asya nṛttabuddhiḥ prītilatāyā vilasiteṣu /	asya nRtta-budDiH prIti-latAyAH vilasitezu /
   Śākyabhikṣuḥ - bhaavaṃ! keṇa kāraṇeṇa edaṃ ṇa lakkhīadi / bho ācikkhadu	ŚAkI-aBikzuH  BaavaM! keNa kAraNeNa edam Na lakKIa-di / Bo AcikKa-du
   bhaavaṃ / imassa aaṃ vaṇṇo /	Baavam / imassaH aam vaNNaH /
   [{bho G} bhagavan! kena kāraṇenaitan na lakṣyate / bhoḥ ācaṣṭāṃ bhagavān /	[{BaH G} Bagavan! kena kAraNena-etat na lakzyate / BoH AcazwAm BagavAn /
   asyāyaṃ varṇaḥ /]	asya-ayam varNaH /]
   Kapālī - kim atra vaktavyam / nanu mayā dṛṣṭam / kākād api kṛṣṇam idaṃ	KapAlI  kim atra vaktavyam / nanu mayA dRzwam / kAkAt api kRzNam idam
   kapālam /	kapAlam /
   Śākyabhikṣuḥ - teṇa hi edaṃ mamakeraaṃ ti saaṃ eva abbhuvagadaṃ /	ŚAkI-aBikzuH  teNa hi edam mamakeraam ti saam eva abBuvagadam /
   [tena hy etan madīyam iti svayam evābhyupagatam /]	[tena hi etat madIyam iti svayam eva-aByupagatam /]
   Kapālī - satyam abhyupagataṃ tava varṇāntarakaraṇe naipuṇyam /	Ka-pAlI  satyam aByupagatam tava varNa-antara-karaNe nEpuNyam /
   paśya,	paSya,
   yad etad āsīt prathamaṃ svabhāvato	yat etat AsIt praTamam svaBAvataH-
   mṛṇālabhaṅgacchavicoram ambaram /	mRNAla-BaFga=-Cavi-coram ambaram /
   nanu tvayā nītam acintyakarmaṇā	nanu tvayA nItam acintya-karmaNA
   tad eva bālāruṇarāgatāmratām // 15 //	tat eva bAla-aruNa-rAga-tAmra-tAm // 15 //
   api ca,	api ca,
   āvṛtaṃ bahir antaś ca kaṣāyeṇānapāyinā /	AvRtam bahis antar ca kazAyeNa-anapAyinA /
   tvāṃ prāptaṃ syāt kathaṃ nāma kapālam akaṣāyitam // 16 //	tvAm prAptam syAt kaTam nAma kapAlam akazAyitam // 16 //
   Devasomā - hā hadahmi mandabhāā / savvalakkhaṇasampaṇṇadāe	DevasomAH  hA hadahmi mandaBAA / savva-lakKaNa-sampaNNa-dAe
   kamalāsaṇasīsakavālāṇubhāvassa puṇṇamāsisomadaṃsaṇassa ṇiccasurāgandhiṇo	kamala-AsaNa-sIsaka-vAla-aNu-BAvaH-sa puNNa-mAsi-soma-daMsaNassa Nit-ca-surA-ganDiNaH-
   edassa maliṇapaḍasaṃsaggeṇa ia īdisī avitthā saṃvuttā / (iti roditi /)	edaH-sa maliNa-paxa-saMsaggeNaH iaH IdisI avitTA saMvuttA / (iti roditi /)
   [hā hatāsmi mandabhāgā / sarvalakṣaṇasaṃpannatayā	[hA hatA-asmi mandaBAgA / sarva-lakzaNa-saMpanna-tayA
   {kamalāsanaśīrṣakapālānubhāvasya : om. G} paurṇamāsīsomadarśanasya	{kamala-Asana-SIrza-kapAla-anuBAvasya : om. G} pOrNamAsI-soma-darSanasya
   nityasurāgandhina etasya malinapaṭasaṃsargeṇeyam īdṛśy avasthā saṃvṛttā /]	nitya-surAj-anDinaH etasya malina-pawa-saMsargeNa-iyam IdRSI avasTA saMvRttAH /]
   Kapālī - priye! alaṃ santāpena / punaḥ śucir bhaviṣyati / śrūyante hi	KapAlI  priye! alam santApena / punar SuciH Bavizyati / SrUyante hi
   mahānti bhūtāni prāyaścittair apanītakalmaṣāṇi bhavanti / {tathā hi :	mahAnti BUtAni prAyaScittEH apanIta-kalmazANi Bavanti / {taTA hi :
   yathā C} -	yaTA C} -
   āsthāya prayato mahāvratam idaṃ bālenducūḍāmaṇiḥ	AsTAya prayataH mahA-vratam idam bAla-indu-cUxAmaNiH
   svāmī no mumuce pitāmahaśiraśchedodbhavād enasaḥ /	svAmI naH mumuce pitAmaha-SiraH-Ceda-udBavAt enasaH /
   nātho 'pi tridivaukasāṃ triśirasaṃ tvaṣṭus tanūjaṃ purā	nATaH api tridivOkasAm triSirasam tvazwuH tanUjam purA
   hatvā yajñaśatena śāntadurito bheje punaḥ puṇyatām // 17 //	hatvA yajQa-Satena SAnta-duritaH Beje punar puNya-tAm // 17 //
   bho babhrukalpa! nanv evam etat /	Bo baBru-kalpa! nanu evam etat /
   Pāśupataḥ - {āgamānugatam : āgamānurūpam C} abhihitam /	PASupataH  {Agama-anugatam : Agama-anurUpam C} aBihitam /
   Śākyabhikṣuḥ - {bho : bhodu C} vaṇṇo dāva mae kido / imassa	ŚAkI-aBikzuH  {BaH : Bodu C} vaNNaH dAva mae kidaH / imassa
   saṇṭhāṇaparimāṇaṃ keṇa ṇimmidaṃ / [bhoḥ! varṇas tāvan mayā kṛtaḥ / asya	saNWANa-parimANam keNa Nimm-idam / [BoH! varNaH tAvat mayA kRtaH / asya
   saṃsthānaparimāṇaṃ {kena nirmitaṃ : tāvat katham G} /]	saMsTAna-parimANam {kena nirmitam : tAvat kaTam G} /]
   Kapālī - nanu māyāsantānasambhavāḥ khalu bhavantaḥ /	KapAlI  nanu mAyA-santAna-samBavAH Kalu BavantaH /
   Śākyabhikṣuḥ - kettiaṃ velaṃ bhavantaṃ akkosāmi / gaṇhadu bhaavaṃ /	ŚAkI-aBikzuH  kettiam velam Bavantam akkosAmi / gaNhadu Baavam /
   [kiyantīṃ velāṃ bhavantam ākrośāmi / gṛhṇātu (11) bhagavān /]	[kiyantIm velAm Bavantam AkroSAmi / gRhNAtu (11) BagavAn /]
   Kapālī - nūnam evaṃ buddhenāpi dānaparimitā pūritā /	KapAlI  nUnam evam budDena-api dAna-parimitA pUritA /
   Śākyabhikṣuḥ - evaṃ {gade : kide F} {kiṃ S : ki U} dāṇiṃ me saraṇaṃ /	ŚAkI-aBikzuH  evam {gade : kide F} {kim S : ki U} dANim me saraNam /
   [evaṃ gate kim idānīṃ me śaraṇam /]	[evam gate kim idAnIm me SaraNam /]
   Kapālī - nanu buddhadharmasaṅghāḥ /	KapAlI  nanu budDa-Darma-saFGAH /
   Pāśupataḥ - nāyaṃ vyavahāro mayā paricchettuṃ śakyate / tad adhikaraṇam	PASupataH  na-ayam vyavahAraH mayA paricCettum Sakyate / tat aDikaraNam
   eva yāsyāmaḥ /	eva yAsyAmaH /
   Devasomā - bhagavan! yady evaṃ, namaḥ kapālāya /	DevasomAH  Bagavan! yadi evaM, namaH kapAlAya /
   [bhaavaṃ! jai evaṃ, ṇamo kavālassa /]	[Baavan! jEH evaM, NamaH kavAlassa /]
   Pāśupataḥ - ko 'bhiprāyaḥ /	PASupataH  kaH aBiprAyaH /
   Devasomā - eso uṇa aṇeavihārabhoasamadhigadavittasañcao jahākāmaṃ	DevasomA  esaH uNa aNea-vihAra-Boa-samaDi-gada-vitta-saQcaaH jahAkAmam
   adhikaraṇakāruṇiāṇaṃ muhāṇi pūreduṃ pāredi / ahmāaṃ puṇa	aDikaraNa-kAruNiANam muhANi pUredum pAredi / ahmAam puNa
   ahicammabhūdimattavibhavassa dariddakavāliassa pariāriāṇaṃ ko etta vibhavo	ahicamma-BUdimatta-viBavaH-sa dariddaka-vAliaH-sa pariAriANam kaH etta viBavaH-
   adhikaraṇaṃ pavisiduṃ /	aDikaraNam pavi-sidum /
   [eṣa punar anekavihārabhogasamadhigatavittasaṃcayo yathākāmam {adhikaraṇa	[eza punar aneka-vihAra-Boga-samaDi-gata-vitta-saMcayaH yaTAkAmam {aDikaraNa
   : kāruṇa C}{kāraṇikānāṃ : kāruṇikānāṃ All mss.(12)} mukhāni pūrayituṃ	: kAruNa C}{-kAraNikAnAm : kAruNikAnAm Alt mss.(12)} muKAni pUrayitum
   pārayati / asmākaṃ punar ahicarmabhūtimātra{vibhavasya : vibhava	pArayati / asmAkam punar ahi-carma-BUti-mAtra{-viBavasya : viBava
   G}daridrakāpālikasya paricārikāṇāṃ ko 'tra vibhavo 'dhikaraṇaṃ praveṣṭum /	G}daridrakApAlikasya paricArikANAm kaH atra viBavaH aDikaraNam pravezwum /
   Pāśupataḥ - {naitad evam : mā maivam C} /	PASupataH  {na-etat evam : mA mA-evam C} /
   ajihmaiḥ sāragurubhiḥ	ajihmEH sAra-guruBiH
   sthiraiḥ ślakṣṇaiḥ sujanmabhiḥ /	sTirEH SlakzNEH su-janmaBiH /
   tair dharmo dhāryate stambhaiḥ	tEH DarmaH DAryate stamBEH
   prāsāda iva sādhubhḥ // 18 //	prAsAdaH iva sADuBH // 18 //
   Kapālī - kṛtam anena / kutaś cid api nyāyya{nyāya BCE}vṛtter bhayaṃ nāsti	KapAlI  kRtam anena / kutas cit api nyAyya{nyAya BCE}vRtteH Bayam na-asti
   Śākyabhikṣuḥ - {(pāśupatam avalokya) D} bho bhaavaṃ! tumaṃ dāva aggado	ŚAkI-aBikzuH  {(pASupatam avalokya) D} Bo Baavan! tumam dAva aggadaH-
   hohi {hodu ABCF} / [bho bhagavan! tvaṃ tāvad agrato bhava /]	hohi {ha-udu ABCF} / [BaH Bagavan! tvam tAvat agratas Bava /]
   Pāśupataḥ - bāḍham {prathamaḥ kalpaḥ KhaBCDE} /	PASupataH  bAXam {praTamaH kalpaH KhaBCDE} /
   (sarve parikrāmanti /)	(sarve parikrAmanti /)
   (tataḥ praviśaty unmattakaḥ /)	(tatas praviSati unmattakaH /)
   Unmattakaḥ - eśo eśo duṭṭhakukkule / śullamaṃśagabbhaṃ kavālaṃ gaṇhia	UnmattakaH  eSaH eSaH duwWa-kukkule / Sullam-aMSa-gabBam kavAlam gaNhia
   dhāvaśi / dāśīevutta! kahiṃ gamiśśiśi / eśo dāṇiṃ kavālaṃ ṇikkhivia maṃ	DAvaSi / dASIevutta! kahim gamiH-SiSi / eSaH dANim kavAlam NikKivia mam
   khāyidukāmo ahimuhaṃ āhāvai / (diśo vilokya) imiṇā patthaleṇa dantāṇi śe	KAyi-du-kAmaH ahimuham AhAvE / (diSaH vilokya) imiNA patTaleNa dantANi Se
   bhañjiśśaṃ / kahaṃ kavālaṃ ujjhia palāaśi / ummatte duṭṭhakukkule īdiśeṇa	BaQjiSSam / kaham kavAlam ujJia palAaSi / ummatte duwWa-kukkule IdiSeNa
   {ṇāma : om. F} śūlattaṇeṇa mae śaha vi lośaṃ kaleśi / gāmaśūgalaṃ āluhia	{NAma : om. F} SUlattaNeNa mae Saha vi loSam kaleSi / gAm-aSUgalam Aluhia
   gagaṇam uppadideṇa śāgaleṇa paḍipañjia lāvaṇaṃ balā gahīde śakkaśude	gagaNam uppadideNa SAgaleNa paxipaQjia lAvaNam balA gahIde Sakka-Sude
   timiṅgale / ai elaṇḍalukkha! kiṃ bhaṇāśi / aliaṃ aliaṃ tti / ṇaṃ eśe	timiFgale / E elaNxa-lukKa! kim BaNa-ASi / aliam aliam tti / Nam eSe
   muśalaśamaviśālalambahatthe daddule me śakkhī / ahava	muSala-Sama-viSAla-lamba-hatTe daddule me SakKI / ahava
   tellokkavidiapalakkamaśśa śakkhiṇā kiṃ kayyaṃ / {evaṃ : evvaṃ dāva D}	tet-lokka-vidia-palakkamaH-Sa SakKiNA kim kayyam / {evam : evvam dAva D}
   kaliśśaṃ / kukkilakhādiaśeśaṃ maṃśakhaṇḍaṃ khādiśśaṃ / (khādan bhrāntaḥ /)	kaliSSam / kukkila-Ka-AdiaSeSam maMSa-KaNxam KAdiSSam / (KAdan BrAntaH /)
   hā hā mālido mhi, bappheṇa mālido mhi / (ruditvā vilokya) ke eśe maṃ	hA hA mAlidaH mhi, bapPeNa mAlidaH mhi / (ruditvA vilokya) ke eSe mam
   tāleśi / (vilokya /) duṭṭhadālaā! jaśśa vā kaśśa vā {bhāuṇeo S : bhāaṇeo	tAleSi / (vilokya /) duwWa-dAlaA! jaSSa vA kaSSa vA {BAuNeaH S : BAaNeaH-
   U} khu ahaṃ, bhīmaśeṇaśśa ghaṭukkao via / avi a śuṇātha -	U} Ku ahaM, BImaSeNaH-Sa GawukkaaH via / avi a SuNa-aTa -
   gahīdaśūlā bahuveśadhāliṇo	gahIda-SUlAH bahu-veSa-DAliNaH-
   śadaṃ piśāā udale vahanti me /	Sadam piSAAH udale vahanti me /
   śadaṃ ca vagghāṇa ṇiśaggabhīśaṇaṃ	Sadam ca vagGANa Ni-SaggaBISaNam
   muheṇa muñcāmi ahaṃ {maholae S : maholaye U} // 19 //	muheNa muQcAmi aham {mahA-ulae S : mahA-ulaye U} // 19 //
   kahaṃ maṃ bāhanti / paśīdantu paśīdantu dālaabhaṭṭā / imaśśa	kaham mam bAhanti / paSIdantu paSIdantu dAlaa-BawwAH / imaH-Sa
   maṃśakhaṇḍaśśa kālaṇādo mā maṃ bāheha / (agrato vilokya /) eśe khu amhāṇaṃ	maMSa-KaNxaH-Sa kAlaNa-AdaH mA mam bAha-iha / (agratas vilokya /) eSe Ku amhANam
   āālie śūlanandī / {jāva S : jāvaṃ U} ṇaṃ uvaśappāmi / (iti dhāvati /)	AAlie SUla-nandI / {jAva S : jAvam U} Nam uvaSappAmi / (iti DAvati /)
   [eṣa eṣa duṣṭakukkuraḥ / śūlyamāṃsagarbhaṃ kapālaṃ gṛhītvā {dhāvasi :	[ezaH eza duzwa-kukkuraH / SUlya-mAMsa-garBam kapAlam gRhItvA {DAvasi :
   dhāvati G} / dāsyāḥputra! kutra gamiṣyasi / eṣa idānīṃ kapālaṃ nikṣipya	DAvati G} / dAsyAH-putra! kutra gamizyasi / ezaH idAnIm kapAlam nikzipya
   māṃ khāditukāmo 'bhimukham ādhāvati / anena prastareṇa dantān asya	mAm KAditu-kAmaH aBimuKam ADAvati / anena prastareNa dantAn asya
   bhaṅkṣyāmi / kathaṃ kapālam ujjhitvā palāyase / unmatto duṣṭakukkura	BaFkzyAmi / kaTam kapAlam ujJitvA palAyase / unmattaH duzwa-kukkura
   īdṛśena nāma śūratvena {saha G} mayā {sahāpi roṣaṃ : saha virodhaṃ G}	IdRSena nAma SUra-tvena {saha G} mayA {saha-api rozam : saha viroDam G}
   karoṣi / grāma{sūkaram : sūkaragalam G} āruhya gaganam utpatitena	karozi / grAma{sUkaram : sUkara-galam G} Aruhya gaganam utpatitena
   {sāgareṇa : (probably) śvagaṇena G(13)} {prabhañjya : pratibhañjya G}	{sAgareNa : (probably) Sva-gaNena G(13)} {praBaQjya : pratiBaQjya G}
   {rāvaṇaṃ balād : airāvataṃ G} gṛhītaḥ {śakrasutas : sasutas G} timiṅgilaḥ	{rAvaNam balAt : ErAvatam G} gRhItaH {Sakra-sutaH : sa-sutaH G} timiFgilaH
   /(14) ayi eraṇḍavṛkṣa! kiṃ bhaṇasi / alīkam alīkam iti / {nanv eṣa	/(14) ayi eraNxa-vRkza! kim BaNasi / alIkam alIkam iti / {nanu eza
   musalasamaviśālalambahasto darduro me sākṣī : hanumata eṣā	musala-sama-viSAla-lamba-hastaH darduraH me sAkzI : hanumate ezA
   musalasamaviśālalambahaste dardure me śaktiḥ G} / {athavā	musala-sama-viSAla-lamba-haste dardure me SaktiH G} / {aTavA
   trailokyaviditaparākramasya sākṣiṇā kiṃ kāryam : athavā kiṃ mama	trElokya-vidita-parAkramasya sAkziNA kim kAryam : aTavA kim mama
   trailokyaviditaparākramasya śaktyāḥ kāryam G} / evaṃ {kariṣyāmi : tāvat	trElokya-vidita-parAkramasya SaktyAH kAryam G} / evam {karizyAmi : tAvat-
   kariṣye G} / kukkurakhāditaśeṣaṃ māṃsakhaṇḍaṃ khādiṣyāmi / hā hā {bāṣpeṇa	karizye G} / kukkura-KAdita-Sezam mAMsa-KaNxam KAdizyAmi / hA hA {bAzpeNa
   mārito 'smi : mālito 'smi bāṣpeṇa G} / ka eṣa māṃ tāḍayasi / {duṣṭadārakā	mAritaH asmi : mAlitaH asmi bAzpeNa G} / kaH eza mAm tAxayasi / {duzwa-dArakA
   : duṣṭadārakabhartāra! vāsudevasya bhāgi G}! yasya vā kasya vā bhāgineyaḥ	: duzwa-dAraka-BartAra! vAsudevasya BAgi G}! yasya vA kasya vA BAgineyaH
   khalv ahaṃ, bhīmasenasya ghaṭotkaca iva / api ca śṛṇutha -	Kalu ahaM, BImasenasya GawotkacaH iva / api ca SRNuTa -
   gṛhītaśūlā bahuveṣadhāriṇaḥ	gRhIta-SUlAH bahu-veza-DAriNaH
   śataṃ piśācā udare {vahanti : vasanti G} me /	Satam piSAcAH udare {vahanti : vasanti G} me /
   śataṃ ca vyāghrāṇāṃ nisargabhīṣaṇaṃ	Satam ca vyAGrANAm nisarga-BIzaNam
   mukhena muñcāmy ahaṃ mahoragān // 19 //	muKena muQcAmi aham mahA-uragAn // 19 //
   kathaṃ {māṃ bādhante : punar api māṃ tāḍayanti G} / prasīdantu prasīdantu	kaTam {mAm bADante : punar api mAm tAxayanti G} / prasIdantu prasIdantu
   dārakabhartāraḥ! asya māṃsakhaṇḍasya kāraṇād mā māṃ {bādhadhvam :	dAraka-BartAraH! asya mAMsa-KaNxasya kAraNAt mA mAm {bADaDvam :
   tāḍayatha G} / eṣa khalv asmākam ācāryaḥ śūranandī / yāvad enam	tAxayaTa G} / eza Kalu asmAkam AcAryaH SUra-nandI / yAvat enam
   {upasarpāmi : upaharāmi G(15)}/]	{upasarpAmi : upaharAmi G(15)}/]
   Pāśupata - aye! ayam unmattakaḥ ita evābhivartate / ya eṣaḥ -	PASupata  aye! ayam unmattakaH itas eva-aBivartate / yaH ezaH -
   nirviṣṭojjhitacitracīvaradharo rūkṣair nitāntākulaiḥ	nirvizwa-ujJita-citra-cIvara-DaraH rUkzEH nitAnta-AkulEH
   keśair uddhatabhasma{pāṃsu : pāṇḍu D}nicayair nirmālya{mālākulaiḥ :	keSEH udData-Basma{pAMsu : pANxu D}ni-cayEH nirmAlya{-mAlA-AkulEH :
   mālāvṛtaḥ CE : mālāvṛtaiḥ D} /	mAlA-AvRtaH CE : mAlA-AvRtEH D} /
   ucchiṣṭāśanalolupair balibhujām anvāsyamāno gaṇair	ucCizwa-aSana-lolupEH baliBujAm anvAsyamAnaH gaNEH-
   bhūyān grāmakasārasañcaya iva bhrāmyan manuṣyākṛtiḥ // 20 //	BUyAn grAmaka-sAra-saQcayaH iva BrAmyan manuzya-AkRtiH // 20 //
   Unmattakaḥ - {(pāśupatam avalokya) CDE} jāva ṇaṃ uvaśappāmi / (upasṛtya)	UnmattakaH  {(pASupatam avalokya) CDE} jAva Nam uvaSappAmi / (upasRtya)
   mahāśāhuṇo caṇḍālakukkulaśśa śaāśādo ahiadaṃ edaṃ {kavālaṃ : om. D}	mahA-SAhuNaH caNxAla-kukkulaH-Sa SaASa-AdaH ahiadam edam {ka-vAlam : om. D}
   paḍigaṇhadu bhaavaṃ /	paxi-gaNhadu Baavam /
   [yāvad enam upasarpāmi / mahāsādhoś caṇḍālakukkurasya sakāśād {mayā G}	[yAvat enam upasarpAmi / mahA-sADoH caNxAla-kukkurasya sakASAt {mayA G}
   adhigatam etat kapālaṃ pratigṛhṇātu {bhagavān : bhavān / bhagavan(16) /	aDigatam etat kapAlam pratigRhNAtu {BagavAn : BavAn / Bagavan-(16) /
   mastakena vandāmi G} /]	mastakena vandAmi G} /]
   Pāśupataḥ - (sadṛṣṭikṣepam /) pātre pratipādyatām /	PASupataH  (sadRzwi-kzepam /) pAtre pratipAdyatAm /
   Unmattakaḥ - mahābamhaṇa! kaliadu paśādo /	UnmattakaH  mahA-bamhaNa! kaliadu paSAdaH /
   [mahābrāhmaṇa! kriyatāṃ prasādaḥ /]	[mahA-brAhmaNa! kriyatAm prasAdaH /]
   Śākyabhikṣuḥ - eso mahāpāsuvado edassa joggī /	ŚAkI-aBikzuH  esaH mahA-pAsu-vadaH edaH-sa joggI /
   [eṣa mahāpāśupata etasya yogyaḥ /] (Satyasoma!)	[eza mahA-pASupate etasya yogyaH /] (Sati-asoma!)
   Unmattakaḥ - (kapālinam upagamya kapālaṃ bhūmau nikṣipya pradakṣiṇīkṛtya	UnmattakaH  (kapAlinam upagamya kapAlam BUmO nikzipya pradakziNIkRtya
   pādayoḥ patitvā) mahādeva! kalīadu paśādo / eśo de añjalī /	pAdayoH patitvA) mahAdeva! kalIadu paSAdaH / eSaH de aQjalI /
   [mahādeva! kriyatāṃ prasādaḥ / eṣa te 'ñjaliḥ /]	[mahAdeva! kriyatAm prasAdaH / eza te aQjaliH /]
   Kapālī - {priye! C} asmadīyaṃ {idaṃ E} kapālam /	KapAlI  {priye! C} asmadIyam {idam E} kapAlam /
   Devasomā - {bhagavan! G} evaṃ edaṃ /	DevasomAH  {Baga-van! G} evam edam /
   [evam etat /]	[evam etat /]
   Kapālī - bhagavatprasādāt punar api kapālī saṃvṛttaḥ / (grahītum icchati	KapAlI  Bagavat-prasAdAt punar api kapAlI saMvRttaH / (grahItum icCati
   Unmattakaḥ - dāśīevutta! viśaṃ khādehi /	UnmattakaH  dASIevutta! viSam KAda-ihi /
   [dāsyāḥputra! viṣaṃ khāda /]	[dAsyAHputra! vizam KAda /]
   (kapālam ācchidya gacchati /)	(kapAlam AcCidya gacCati /)
   Kapālī - (anusṛtya) {eṣa : hanta C : kaṣṭam eṣa E} yamapuruṣo me jīvitaṃ	KapAlI  (anusRtya) {eza : hanta C : kazwam ezaH E} yama-puruzaH me jIvitam
   harati / abhyavapadyetāṃ bhavantau /	harati / aByavapadyetAm BavantO /
   Ubhau - hodu / amhe de sahāā homa /	UBO  hodu / amhe de sahAA homa /
   [bhavatu / āvāṃ te sahāyau bhavāvaḥ /]	[Bavatu / AvAm te sahAyO BavAvaH /]
   (sarve rundhanti /)	(sarve runDanti /)
   Kapālī - bhoḥ / tiṣṭha tiṣṭha /	KapAlI  BoH / tizWa tizWa /
   Unmattakaḥ - kiśśa maṃ lundhanti /	UnmattakaH  kiSSa mam lunDanti /
   [kasmān māṃ rundhanti /]	[kasmAt mAm runDanti /]
   Kapālī - asmadīyaṃ kapālaṃ dattvā gamyatām /	KapAlI  asmadIyam kapAlam dattvA gamyatAm /
   Unmattakaḥ - mūḍha! ki ṇa pekkhaśi, śuvaṇṇabhāaṇaṃ khu edaṃ /	UnmattakaH  mUXa! ki Na pekKaSi, SuvaNNa-BAaNam Ku edam /
   [mūḍha! kiṃ na paśyasi, suvarṇabhājanaṃ khalv etat /]	[mUXa! kim na paSyasi, suvarNa-BAjanam Kalu etat /]
   Kapālī - evaṃvidhaṃ suvarṇabhājanaṃ kena kṛtam /	KapAlI  evaMviDam suvarNa-BAjanam kena kRtam /
   Unmattakaḥ - ediṇā śuvaṇṇavaṇṇapaḍāvudeṇa śuvaṇṇakārāvuttaeṇa kidaṃ tti	UnmattakaH  ediNA SuvaNNa-vaNNa-paxA-=-udeNa SuvaNNakArO=-uttaeNa kidam tti
   bhaavaṃ / śuvaṇṇabhāaṇaṃ tti bhaṇāmi /	Baavam / SuvaNNa-BAaNam tti BaNAmi /
   [etena suvarṇavarṇapaṭāvṛtena suvarṇa{kārāvuttena : kāreṇa G} kṛtam iti	[etena suvarNa-varNa-pawa-AvRtena suvarNa{kArO=-uttena : kAreNa G} kRtam iti
   bhagavan / suvarṇabhājanam iti bhaṇāmi /]	Bagavan / suvarNa-BAjanam iti BaNAmi /]
   Śākyabhikṣuḥ - kim aaṃ ummattao /	ŚAkI-aBikzuH  kim aam ummattaaH /
   [kim ayam unmattakaḥ /]	[kim ayam unmattakaH /]
   Unmattakaḥ - ummattao tti bahuśo edaṃ śaddaṃ śuṇomi / edaṃ gaṇhia daliśehi	UnmattakaH  ummattaaH tti bahuSas edam Saddam SuNomi / edam gaNhia daliSehi
   ummattaaṃ / (kapāline kapālaṃ prayachati /)	ummattaam / (kapAline kapAlam prayaCati /)
   [{unmattaka iti bahuśa etaṃ śabdaṃ śṛṇomi / etad gṛhītvā darśayonmattakam	[{unmattakaH iti bahuSas etam Sabdam SRNomi / etat gRhItvA darSaya-unmattakam
   / : yuṣmākaṃ unmattakā / yuṣmākaṃ putrā unmattakāḥ / etad dattvā darśayāmi	/ : yuzmAkam unmattakAH / yuzmAkam putrAH unmattakAH / etat dattvA darSayAmi
   unmattakatvam / G}]	unmattaka-tvam / G}]
   Kapālī - (kapālaṃ gṛhītvā) ayam idānīṃ kuḍyenāntarhitaḥ / śīghram	KapAlI  (kapAlam gRhItvA) ayam idAnIm kuxyena-antarhitaH / SIGram
   anugamyatām /	anugamyatAm /
   Unmattakaḥ - laddhappaśāde hmi /	UnmattakaH  ladDappaSAde hmi /
   [labdhaprasādo 'smi /]	[labDa-prasAdaH asmi /]
   (niṣkrānto javenonmattakaḥ /)	(nizkrAntaH javena-unmattakaH /)
   Śākyabhikṣuḥ - aho acchariaṃ / paravakkhassa lābheṇa ahaṃ parituṭṭho hmi /	ŚAkI-aBikzuH  aho acSariam / paravakKaH-sa lABeNa aham parituwWaH hmi /
   [aho āścaryam / parapakṣasya lābhenāhaṃ parituṣṭo 'smi /]	[aho AScaryam / para-pakzasya lABena-aham parituzwaH asmi /]
   Kapālī - (kapālaṃ pariṣvajya /)	Ka-pAlI  (kapAlam parizvajya /)
   ciraṃ mayā caritam akhaṇḍitaṃ tapo	ciram mayA caritam aKaNxitam tapaH-
   maheśvare bhagavati bhaktir {asti : astu C} me /	maheSvare Bagavati BaktiH {asti : astu C} me /
   tirohitaḥ sa tu sahasā sukhena nas	tirohitaH sa tu sahasA suKena naH-
   tvam adya yat kuśali kapāla dṛśyase // 21 //	tvam adya yat kuSali kapAla dRSyase // 21 //
