   śivopaniṣad	Siva-upanizad-
   puruṣaḥ sarvadānaiś ca yathā kṣāntyā viśuddhyati // 5.38 //	puruzaH sarva-dAnEH ca yaTA kzAntyA viSudDi-ati // 5.38 //
   ākruṣṭas tāḍitas tasmād adhikṣiptas tiraskṛta /	AkruzwaH tAxitaH tasmAt aDikziptaH tiraskRta /
   kṣamed akṣamamānānāṃ svargamokṣajigīṣayā // 5.39 //	kzamet akzamamAnAnAm svarga-mokza-jigIzayA // 5.39 //
   yaiva brahmavidāṃ prāptir yaiva prāptis tapasvinām /	yA-eva brahma-vidAm prAptiH yA-eva prAptiH tapasvinAm /
   yaiva yogābhiyuktānāṃ gatiḥ saiva kṣamāvatām // 5.40 //	yA-eva yoga-aBiyuktAnAm gatiH sA-eva kzamAvatAm // 5.40 //
   jñānāmalāmbhasā snātaḥ sarvadaiva muniḥ śuciḥ /	jQAna-amala-amBasA snAtaH sarvadA-eva muniH SuciH /
   nirmalaḥ suviśuddhaś ca vijñeyaḥ sūryaraśmivat // 5.41 //	nirmalaH su-viSudDaH ca vijQeyaH sUrya-raSmi-vat // 5.41 //
   medhyāmedhyarasaṃ yadvad api vatsa vinā karaiḥ /	meDya-ameDya-rasam yadvat api vatsa vinA karEH /
   naiva lipyati tad doṣais tadvaj jñānī sunirmalaḥ // 5.42 //	na-eva lipyati tat dozEH tadvat jQAnI su-nirmalaH // 5.42 //
   eṣām ekatame snātaḥ śuddhabhāvaḥ śivaṃ vrajet /	ezAm ekatame snAtaH SudDa-BAvaH Sivam vrajet /
   aśuddhabhāvaḥ snāto 'pi pūjayann āpnuyāt phalam // 5.43 //	aSudDa-BAvaH snAtaH api pUjayan ApnuyAt Palam // 5.43 //
   jalaṃ mantraṃ dayā dānaṃ satyam indriyasaṃyamaḥ /	jalam mantram dayA dAnam satyam indriya-saMyamaH /
   jñānaṃ bhāvātmaśuddhiś ca śaucam aṣṭavidhaṃ śrutam // 5.44 //	jQAnam BAva-Atma-SudDiH ca SOcam azwaviDam Srutam // 5.44 //
   aṅguṣṭhatalamūle ca brāhmaṃ tīrtham avasthitam /	aFguzWa-tala-mUle ca brAhmam tIrTam avasTitam /
   tenācamya bhavec chuddhaḥ śivamantreṇa bhāvitaḥ // 5.45 //	tena-Acamya Bavet SudDaH Siva-mantreNa BAvitaH // 5.45 //
   yad adhaḥ kanyakāyāś ca tat tīrthaṃ daivam ucyate /	yat aDas kanyakAyAH ca tat tIrTam dEvam ucyate /
   tīrthaṃ pradeśinīmūle pitryaṃ pitṛvidhodayam(?) // 5.46 //	tIrTam pradeSinI-mUle pitryam pitRviDa-udayam(?) // 5.46 //
   madhyamāṅgulimadhyena tīrtham āriṣam ucyate /	maDyama-aFguli-maDyena tIrTam Arizam ucyate /
   karapuṣkaramadhye tu śivatīrthaṃ pratiṣṭhitam // 5.47 //	kara-puzkara-maDye tu SivatIrTam pratizWitam // 5.47 //
   vāmapāṇitale tīrtham aumam nāma prakīrtitam /	vAma-pANi-tale tIrTam Omam nAma prakIrtitam /
   śivomātīrthasaṃyogāt kuryāt snānābhiṣecanam // 5.48 //	Siva-umA-tIrTa-saMyogAt kuryAt snAna-aBizecanam // 5.48 //
   devān daivena tīrthena tarpayed akṛtāmbhasā /	devAn dEvena tIrTena tarpayet akRta-amBasA /
   uddhṛtya dakṣiṇaṃ pāṇim upavītī sadā budhaḥ // 5.49 //	udDRtya dakziNam pANim upavItI sadA buDaH // 5.49 //
   prācīnāvītinā kāryaṃ pitṝṇāṃ tilavāriṇā /	prAcInAvItinA kAryam pitLNAm tila-vAriNA /
   tarpaṇaṃ sarvabhūtānām āriṣeṇa nivītinā // 5.50 //	tarpaNam sarva-BUtAnAm ArizeNa nivItinA // 5.50 //
   savyaskandhe yadā sūtram upavīty ucyate tadā /	savya-skanDe yadA sUtram upavItI ucyate tadA /
   prācīnāvīty asavyena nivītī kaṇṭhasaṃsthite // 5.51 //	prAcInAvIti asavyena nivItI kaNWa-saMsTite // 5.51 //
   pitṝṇāṃ tarpaṇaṃ kṛtvā sūryāyārghyaṃ prakalpayet /	pitLNAm tarpaNam kRtvA sUryAya-arGyam prakalpayet /
   upasthāya tataḥ sūryaṃ yajec chivam anantaram // 5.52 //	upasTAya tatas sUryam yajet Sivam anantaram // 5.52 //
   // iti śivopaniṣadi śivabhasmasnānādhyāyaḥ pañcamaḥ //	// iti Siva-upanizadi Siva-Basma-snAna-aDyAyaH paQcamaH //
   atha bhaktyā śivaṃ pūjya naivedyam upakalpayet /	aTa BaktyA Sivam pUjya nEvedyam upakalpayet /
   yad annam ātmanāśnīyāt tasyāgre vinivedayet // 6.1 //	yat annam AtmanA-aSnIyAt tasya-agre vinivedayet // 6.1 //
   yaḥ kṛtvā bhakṣyabhojyāni yatnena vinivedayet /	yaH kRtvA Bakzya-BojyAni yatnena vinivedayet /
   śivāya sa śive loke kalpakoṭiṃ pramodate // 6.2 //	SivAya sa Sive loke kalpa-kowim pramodate // 6.2 //
   yaḥ pakvaṃ śrīphalaṃ dadyāc chivāya vinivedayet /	yaH pakvam SrIPalam dadyAt SivAya vinivedayet /
   guror vā homayed vāpi tasya puṇyaphalaṃ śṛṇu // 6.3 //	guroH vA homayet vA-api tasya puNya-Palam SRNu // 6.3 //
   śrīmadbhiḥ sa mahāyānair bhogān bhuṅkte śive pure /	SrImadBiH sa mahAyAnEH BogAn BuFkte Sive pure /
   varṣāṇām ayutaṃ sāgraṃ tadante śrīpatir bhavet // 6.4 //	varzANAm ayutam sAgram tad-ante SrIpatiH Bavet // 6.4 //
   kapittham ekaṃ yaḥ pakvam īśvarāya nivedayet /	kapitTam ekam yaH pakvam ISvarAya nivedayet /
   varṣalakṣaṃ mahābhogaiḥ śivaloke mahīyate // 6.5 //	varza-lakzam mahA-BogEH Siva-loke mahIyate // 6.5 //
   ekam āmraphalaṃ pakvaṃ yaḥ śambhor vinivedayet /	ekam Amra-Palam pakvam yaH SamBoH vinivedayet /
   varṣāṇām yutaṃ bhogaiḥ krīḍate sa śive pure // 6.6 //	varzANAm yutam BogEH krIxate sa Sive pure // 6.6 //
   ekaṃ vaṭaphalaṃ pakvaṃ yaḥ śivāya nivedayet /	ekam vawa-Palam pakvam yaH SivAya nivedayet /
   varṣalakṣaṃ mahābhogaiḥ śivaloke mahīyate // 6.7 //	varza-lakzam mahA-BogEH Siva-loke mahIyate // 6.7 //
   yaḥ pakvaṃ dāḍimaṃ caikaṃ dadyād vikasitaṃ navam /	yaH pakvam dAximam ca-ekam dadyAt vikasitam navam /
   śivāya gurave vāpi tasya puṇyaphalaṃ śṛṇu // 6.8 //	SivAya gurave vA-api tasya puNya-Palam SRNu // 6.8 //
   yāvat tadbījasaṃkhyānaṃ śobhanaṃ parikīrtitam /	yAvat tad-bIja-saMKyAnam SoBanam parikIrtitam /
   tāvadaṣṭāyutāny uccaiḥ śivaloke mahīyate // 6.9 //	tAvat-azwa-AyutAni uccEs Siva-loke mahIyate // 6.9 //
   drākṣāphalāni pakvāni yaḥ śivāya nivedayet /	drAkzA-PalAni pakvAni yaH SivAya nivedayet /
   bhaktyā vā śivayogibhyas tasya puṇyaphalaṃ śṛṇu // 6.10 //	BaktyA vA Siva-yogiByaH tasya puNya-Palam SRNu // 6.10 //
   yāvat tatphalasaṃkhyānam ubhayor viniveditam /	yAvat tad-Pala-saMKyAnam uBayoH viniveditam /
   tāvadyugasahasrāṇi rudraloke mahīyate // 6.11 //	tAvat-yuga-sahasrANi rudra-loke mahIyate // 6.11 //
   drākṣāphaleṣu yat puṇyaṃ tat kharjūraphaleṣu ca /	drAkzA-Palezu yat puNyam tat KarjUra-Palezu ca /
   tad eva rājavṛkṣeṣu pārāvataphaleṣu ca // 6.12 //	tat eva rAjavRkzezu pArAvata-Palezu ca // 6.12 //
   yo nāraṅgaphalaṃ pakvaṃ vinivedya maheśvare /	yaH nAraFga-Palam pakvam vinivedya maheSvare /
   aṣṭalakṣaṃ mahābhogaiḥ kṛḍate sa śive pure // 6.13 //	azwa-lakzam mahA-BogEH kRxate sa Sive pure // 6.13 //
   bījapūreṣu tasyārdhaṃ tadardhaṃ likuceṣu ca /	bIjapUrezu tasya-arDam tad-arDam likucezu ca /
   jambūphaleṣu yat puṇyaṃ tat puṇyaṃ tindukeṣu ca // 6.14 //	jambU-Palezu yat puNyam tat puNyam tindukezu ca // 6.14 //
   panasaṃ nārikelaṃ vā śivāya vinivedayet /	panasam nArikelam vA SivAya vinivedayet /
   varṣalakṣaṃ mahābhogaiḥ śivaloke mahīyate // 6.15 //	varza-lakzam mahA-BogEH Siva-loke mahIyate // 6.15 //
   puruṣaṃ ca priyālaṃ ca madhūkakusumāni ca /	puruzam ca priyAlam ca maDUka-kusumAni ca /
   jambūphalāni pakvāni vaikaṅkataphalāni ca // 6.16 //	jambU-PalAni pakvAni vEkaFkata-PalAni ca // 6.16 //
   nivedya bhaktyā śarvāya pratyekaṃ tu phale phale /	nivedya BaktyA SarvAya pratyekam tu Pale Pale /
   daśavarṣasahasrāṇi rudraloke mahīyate // 6.17 //	daSa-varza-sahasrANi rudra-loke mahIyate // 6.17 //
   kṣīrikāyāḥ phalaṃ pakvaṃ yaḥ śivāya nivedayet /	kzIrikAyAH Palam pakvam yaH SivAya nivedayet /
   varṣalakṣaṃ mahābhogair modate sa śive pure // 6.18 //	varza-lakzam mahA-BogEH modate sa Sive pure // 6.18 //
   vālukātrapusādīni yaḥ phalāni nivedayet /	vAlukA-trapusa-AdIni yaH PalAni nivedayet /
   śivāya gurave vāpi pakvaṃ ca karamardakam // 6.19 //	SivAya gurave vA-api pakvam ca karamardakam // 6.19 //
   daśavarṣasahasrāṇi rudraloke mahīyate /	daSa-varza-sahasrANi rudra-loke mahIyate /
   badarāṇi supakvāni tintiḍīkaphalāni ca // 6.20 //	badarANi su-pakvAni tintixIka-PalAni ca // 6.20 //
   darśanīyāni pakvāni hy āmalakyāḥ phalāni ca /	darSanIyAni pakvAni hi AmalakyAH PalAni ca /
   evam ādīni cānyāni śākamūlaphalāni ca // 6.21 //	evam AdIni ca-anyAni SAka-mUla-PalAni ca // 6.21 //
   nivedayati śarvāya śṛṇu yat phalam āpnuyāt /	nivedayati SarvAya SRNu yat Palam ApnuyAt /
   ekaikasmin phale bhogān prāpnuyād anupūrvaśaḥ // 6.22 //	ekEkasmin Pale BogAn prApnuyAt anupUrvaSas // 6.22 //
   pañcavarṣasahasrāṇi rudraloke mahīyate /	paQca-varza-sahasrANi rudra-loke mahIyate /
   godhūmacandakādyāni sukṛtaṃ saktubharjitam // 6.23 //	goDUma-candaka-AdyAni sukRtam saktu-Barjitam // 6.23 //
   nivedayīta śarvāya tasya puṇyaphalaṃ śṛṇu /	nivedayIta SarvAya tasya puNya-Palam SRNu /
   yāvat tadbījasaṃkhyānaṃ śubhaṃ bhraṣṭaṃ nivedayet // 6.24 //	yAvat tad-bIja-saMKyAnam SuBam Brazwam nivedayet // 6.24 //
   tāvadvarṣasahasrāṇi rudraloke mahīyate /	tAvat-varza-sahasrANi rudra-loke mahIyate /
   yaḥ pakvānīkṣudaṇḍāni śivāya vinivedayet // 6.25 //	yaH pakvAni-ikzu-daNxAni SivAya vinivedayet // 6.25 //
   gurave vāpi tad bhaktyā tasya puṇyaphalaṃ śṛṇu /	gurave vA-api tat BaktyA tasya puNya-Palam SRNu /
   ikṣuparṇāni caikaikaṃ varṣalokaṃ pramodate // 6.26 //	ikzu-parNAni ca-ekEkam varza-lokam pramodate // 6.26 //
   sākaṃ śivapure bhogaiḥ pauṇḍraṃ pañcaguṇaṃ phalam /	sAkam Siva-pure BogEH pONxram paQcaguNam Palam /
   nivedya parameśāya śuktimātrarasasya tu // 6.27 //	nivedya parameSAya Sukti-mAtra-rasasya tu // 6.27 //
   varṣakoṭiṃ mahābhogaiḥ śivaloke mahīyate /	varza-kowim mahA-BogEH Siva-loke mahIyate /
   nivedya phāṇitaṃ śuddhaṃ śivāya gurave 'pi vā // 6.28 //	nivedya PANitam SudDam SivAya gurave api vA // 6.28 //
   rasāt sahasraguṇitaṃ phalaṃ prāpnoti mānavaḥ /	rasAt sahasra-guNitam Palam prApnoti mAnavaH /
   guḍasya phalam ekaṃ yaḥ śivāya vinivedayet // 6.29 //	guxasya Palam ekam yaH SivAya vinivedayet // 6.29 //
   ambakoṭiṃ śive loke mahābhogaiḥ pramodate /	amba-kowim Sive loke mahA-BogEH pramodate /
   khaṇḍasya palanaivedyaṃ guḍāc chataguṇaṃ phalam // 6.30 //	KaNxasya pala-nEvedyam guxAt SataguNam Palam // 6.30 //
   khaṇḍāt sahasraguṇitaṃ śarkarāyā nivedane /	KaNxAt sahasra-guNitam SarkarAyAH nivedane /
   matsaṇḍikāṃ mahāśuddhāṃ śaṃkarāya nivedayet // 6.31 //	mad-saNxikAm mahA-SudDAm SaMkarAya nivedayet // 6.31 //
   kalpakoṭiṃ naraḥ sāgraṃ śivaloke mahīyate /	kalpa-kowim naraH sAgram Siva-loke mahIyate /
   pariśuddhaṃ bhṛṣṭam ājyaṃ siddhaṃ caiva susaṃskṛtam // 6.32 //	pariSudDam BRzwam Ajyam sidDam ca-eva susaMskRtam // 6.32 //
   māsaṃ nivedya śarvāya śṛṇu yat phalam āpnuyāt /	mAsam nivedya SarvAya SRNu yat Palam ApnuyAt /
   aśeṣaphaladānena yat puṇyaṃ parikīrtitam // 6.33 //	aSeza-Pala-dAnena yat puNyam parikIrtitam // 6.33 //
   tat puṇyaṃ prāpnuyāt sarvaṃ mahādānanivedane /	tat puNyam prApnuyAt sarvam mahA-dAna-nivedane /
   panasāni ca divyāni svādūni surabhīṇi ca // 6.34 //	panasAni ca divyAni svAdUni suraBINi ca // 6.34 //
   nivedayet tu śarvāya tasya puṇyaphalaṃ śṛṇu /	nivedayet tu SarvAya tasya puNya-Palam SRNu /
   kalpakoṭiṃ naraḥ sāgraṃ śivaloke vyavasthitaḥ // 6.35 //	kalpa-kowim naraH sAgram Siva-loke vyavasTitaH // 6.35 //
   piban śivāmṛtaṃ divyaṃ mahābhogaiḥ pramodate /	piban Siva-amRtam divyam mahA-BogEH pramodate /
   dine dine ca yas tv āpaṃ vastrapūtaṃ samācaret // 6.36 //	dine dine ca yaH tu Apam vastra-pUtam samAcaret // 6.36 //
   sukhāya śivabhaktebhyas tasya puṇyaphalaṃ śṛṇu /	suKAya Siva-BakteByaH tasya puNya-Palam SRNu /
   mahāsarāṃsi yaḥ kuryād bhavet puṇyaṃ śivāgrataḥ // 6.37 //	mahA-sarAMsi yaH kuryAt Bavet puNyam Siva-agratas // 6.37 //
   tat puṇyaṃ sakalaṃ prāpya śivaloke mahīyate /	tat puNyam sakalam prApya Siva-loke mahIyate /
   yad iṣṭam ātmanaḥ kiṃcid annapānaphalādikam // 6.38 //	yat izwam AtmanaH kiMcid anna-pAna-Pala-Adikam // 6.38 //
   tat tac chivāya deyaṃ syād uttamaṃ bhogam icchatā /	tat tat SivAya deyam syAt uttamam Bogam icCatA /
   na śivaḥ paripūrṇatvāt kiṃcid aśnāti kasyacit // 6.39 //	na SivaH paripUrNa-tvAt kiMcid aSnAti kasyacid // 6.39 //
   kintv īśvaranibhaṃ kṛtvā sarvam ātmani dīyate /	kintu ISvara-niBam kRtvA sarvam Atmani dIyate /
   na rohati yathā bījaṃ svastham āśrayavarjitam // 6.40 //	na rohati yaTA bIjam svasTam ASraya-varjitam // 6.40 //
   puṇyabījaṃ tathā sūkṣmaṃ niṣphalaṃ syān nirāśrayam /	puNya-bIjam taTA sUkzmam nizPalam syAt nirASrayam /
   sukṣetreṣu yathā bījam uptaṃ bhavati satphalam // 6.41 //	su-kzetrezu yaTA bIjam uptam Bavati sat-Palam // 6.41 //
   alpam apy akṣayaṃ tadvat puṇyaṃ śivasamāśrayāt /	alpam api akzayam tadvat puNyam Siva-samASrayAt /
   tasmād īśvaram uddiśya yad yad ātmani rocate // 6.42 //	tasmAt ISvaram uddiSya yat yat Atmani rocate // 6.42 //
   tat tad īśvarabhaktebhyaḥ pradātavyaṃ phalārthinā /	tat tat ISvara-BakteByaH pradAtavyam Pala-arTinA /
   yaḥ śivāya guror vāpi racayen maṇibhūmikam // 6.43 //	yaH SivAya guroH vA-api racayet maNi-BUmikam // 6.43 //
   naivedya bhojanārthaṃ yaḥ pattraiḥ puṣpaiś ca śobhanam /	nEvedya Bojana-arTam yaH pattrEH puzpEH ca SoBanam /
   yāvat tat pattrapuṣpāṇāṃ parisaṃkhyā vidhīyate // 6.44 //	yAvat tat pattra-puzpANAm parisaMKyA viDIyate // 6.44 //
   tāvadvarṣasahasrāṇi suraloke mahīyate /	tAvat-varza-sahasrANi sura-loke mahIyate /
   palāśakadalīpadma- pattrāṇi ca viśeṣataḥ // 6.45 //	palASa-kadalI-padma pattrANi ca viSezataH // 6.45 //
   dattvā śivāya gurave śṛṇu yat phalam āpnuyāt /	dattvA SivAya gurave SRNu yat Palam ApnuyAt /
   yāvat tatpattrasaṃkhyānam īśvarāya niveditam // 6.46 //	yAvat tad-pattra-saMKyAnam ISvarAya niveditam // 6.46 //
   tāvadabdāyutānāṃ sa loke bhogān avāpnuyāt /	tAvat-abda-ayutAnAm sa loke BogAn avApnuyAt /
   yāvat tāmbulapattrāṇi pūgāṃś ca vinivedayet // 6.47 //	yAvat tAmbula-pattrANi pUgAn ca vinivedayet // 6.47 //
   tāvanti varṣalakṣāṇi śivaloke mahīyate /	tAvanti varza-lakzANi Siva-loke mahIyate /
   yac chuddhaṃ śaṅkhacūrṇaṃ vā gurave vinivedayet // 6.48 //	yat SudDam SaFKa-cUrNam vA gurave vinivedayet // 6.48 //
   tāmbūlayogasiddhyarthaṃ tasya puṇyaphalaṃ śṛṇu /	tAmbUla-yoga-sidDi-arTam tasya puNya-Palam SRNu /
   yāvat tāmbūlapattrāṇi cūrṇamānena bhakṣayet // 6.49 //	yAvat tAmbUla-pattrANi cUrNamAnena Bakzayet // 6.49 //
   tāvadvarṣasahasrāṇi rudraloke mahīyate /	tAvat-varza-sahasrANi rudra-loke mahIyate /
   jātīphalaṃ sakaṅkolaṃ latākastūrikotpalam // 6.50 //	jAtIPalam sa-kaFkolam latAkastUrikA-utpalam // 6.50 //
   ity etāni sugandhīni phalāni vinivedayet /	iti etAni suganDIni PalAni vinivedayet /
   phale phale mahābhogair varṣalakṣaṃ tu yatnataḥ // 6.51 //	Pale Pale mahA-BogEH varza-lakzam tu yatnatas // 6.51 //
   kāmikena vimānena krīḍate sa śive pure /	kAmikena vimAnena krIxate sa Sive pure /
   truṭimātrapramāṇena karpūrasya śive gurau // 6.52 //	truwi-mAtra-pramANena karpUrasya Sive gurO // 6.52 //
   varṣakoṭiṃ mahābhogaiḥ śivaloke mahīyate /	varza-kowim mahA-BogEH Siva-loke mahIyate /
   pūgatāmbūlapattrāṇām ādhāraṃ yo nivedayet // 6.53 //	pUga-tAmbUla-pattrANAm ADAram yaH nivedayet // 6.53 //
   varṣakoṭyaṣṭakaṃ bhogaiḥ śivaloke mahīyate /	varza-kowI-azwakam BogEH Siva-loke mahIyate /
   yaś cūeṇādhārasatpātraṃ kasyāpi vinivedayet // 6.54 //	yaH cUeNa-ADArasat-pAtram kasya-api vinivedayet // 6.54 //
   modate sa śive loke varṣakoṭīś caturdaśa /	modate sa Sive loke varza-kowIH caturdaSa /
   mṛtkāṣṭhavaṃśakhaṇḍāni yaḥ pradadyāc chivāśrame // 6.55 //	mRd-kAzWa-vaMSa-KaNxAni yaH pradadyAt Siva-ASrame // 6.55 //
   prāpnuyād vipulān bhogān divyāñ chivapure naraḥ /	prApnuyAt vipulAn BogAn divyAn Civa-pure naraH /
   māṇikyaṃ kalaśaṃ pātrīṃ sthālyādīn bhāṇḍasaṃpuṭān // 6.56 //	mANikyam kalaSam pAtrIm sTAlI-AdIn BANxa-saMpuwAn // 6.56 //
   dattvā śivāgrajas tebhyaḥ śivaloke mahīyate /	dattvA Siva-agrajaH teByaH Siva-loke mahIyate /
   toyādhārapidhānāni mṛdvastratarujāni vā // 6.57 //	toya-ADAra-piDAnAni mRdvastrataru-jAni vA // 6.57 //
   vaṃśālābusamutthāni dattvāpnoti śivaṃ puram /	vaMSa-alAbu-samutTAni dattvA-Apnoti Sivam puram /
   pañcasaṃmārjanītoyaṃ gomayāñjanakarpaṭān // 6.58 //	paQca-saMmArjanI-toyam gomaya-aQjana-karpawAn // 6.58 //
   mṛtkumbhapīṭikāṃ dadyād bhogāñ chivapure labhet /	mRd-kumBa-pIwikAm dadyAt BogAn Civa-pure laBet /
   yaḥ puṣpadhūpagandhānāṃ dadhikṣīraghṛtāmbhasām // 6.59 //	yaH puzpa-DUpa-ganDAnAm daDi-kzIra-GRta-amBasAm // 6.59 //
   dadyād ādhārapātrāṇi śivaloke sa gacchati /	dadyAt ADAra-pAtrANi Siva-loke sa gacCati /
   vaṃśatālādisaṃbhūtaṃ puṣpādhārakaraṇḍakam // 6.60 //	vaMSa-tAla-Adi-saMBUtam puzpa-ADAra-karaNxakam // 6.60 //
   ity evamādyān yo dadyāc chivalokam avāpnuyāt /	iti evamAdyAn yaH dadyAt Siva-lokam avApnuyAt /
   yaḥ sruksruvādipātrāṇi homārthaṃ vinivedayet // 6.61 //	yaH sruc-sruva-Adi-pAtrANi homa-arTam vinivedayet // 6.61 //
   varṣakoṭiṃ mahābhāgaiḥ śivaloke mahīyate /	varza-kowim mahABAgEH Siva-loke mahIyate /
   yaḥ sarvadhātusaṃyuktaṃ dadyāl lavaṇaparvatam // 6.62 //	yaH sarva-DAtu-saMyuktam dadyAt lavaNaparvatam // 6.62 //
   śivāya gurave vāpi tasya puṇyaphalaṃ śṛṇu /	SivAya gurave vA-api tasya puNya-Palam SRNu /
   kalpakoṭisahasrāṇi kalpakoṭiśatāni ca // 6.63 //	kalpa-kowi-sahasrANi kalpa-kowi-SatAni ca // 6.63 //
   sa gotrabhṛtyasaṃyukto vasec chivapure naraḥ /	sa gotra-BRtya-saMyuktaH vaset Siva-pure naraH /
   vimānayānaiḥ śrīmadbhiḥ sarvakāmasamanvitaiḥ // 6.64 //	vimAna-yAnEH SrImadBiH sarva-kAma-samanvitEH // 6.64 //
   bhogān bhuktvā tu vipulāṃs tadante sa mahīpatiḥ /	BogAn BuktvA tu vipulAn tad-ante sa mahIpatiH /
   manaḥśilāṃ harītālaṃ rājapaṭṭaṃ ca hiṅgulam // 6.65 //	manaHSilAm harItAlam rAja-pawwam ca hiFgulam // 6.65 //
   gairikaṃ maṇidantaṃ ca hematoyaṃ tathāṣṭamam /	gErikam maNidantam ca hema-toyam taTA-azwamam /
   yaś ca taṃ parvatavaraṃ śālitaṇḍulakalpitam // 6.66 //	yaH ca tam parvata-varam SAli-taNxula-kalpitam // 6.66 //
   śivāyagurave vāpi tasya puṇyaphalaṃ śṛṇu /	SivAya-gurave vA-api tasya puNya-Palam SRNu /
   kalpakoṭiśataṃ sāgraṃ bhogān bhuṅkte śive pure // 6.67 //	kalpa-kowi-Satam sAgram BogAn BuFkte Sive pure // 6.67 //
   yaḥ sarvadhānyaśikharair upetaṃ yavaparvatam /	yaH sarva-DAnya-SiKarEH upetam yava-parvatam /
   ghṛtatailanadīyuktaṃ tasya puṇyaphalaṃ śṛṇu // 6.68 //	GRta-tEla-nadI-yuktam tasya puNya-Palam SRNu // 6.68 //
   kalpakoṭiśataṃ sāgraṃ bhogān bhuṅkte śive pure /	kalpa-kowi-Satam sAgram BogAn BuFkte Sive pure /
   samastakulajaiḥ sārdhaṃ tasyānte sa mahīpatiḥ // 6.69 //	samasta-kula-jEH sArDam tasya-ante sa mahIpatiH // 6.69 //
   tiladhenuṃ pradadyād yaḥ kṛtvā kṛṣṇājine naraḥ /	tilaDenum pradadyAt yaH kRtvA kRzNAjine naraH /
   kapilāyāḥ pradānasya yat phalaṃ tad avāpnuyāt // 6.70 //	kapilAyAH pradAnasya yat Palam tat avApnuyAt // 6.70 //
   ghṛtadhenuṃ naraḥ kṛtvā kāṃsyapātre sakāñcanān /	GRtaDenum naraH kRtvA kAMsya-pAtre sa-kAQcanAn /
   nivedya gopradānasya samagraṃ phalam āpnuyāt // 6.71 //	nivedya go-pradAnasya samagram Palam ApnuyAt // 6.71 //
   dvīpicarmaṇi yaḥ sthāpya pradadyāl lavaṇāḍhakam /	dvIpi-carmaNi yaH sTApya pradadyAt lavaNa-AXakam /
   aśeṣarasadānasya yat puṇyaṃ tad avāpnuyāt // 6.72 //	aSeza-rasa-dAnasya yat puNyam tat avApnuyAt // 6.72 //
   maricāḍhena kurvīta(?) mārīcaṃ nāma parvatam /	marica-AXena kurvIta(?) mArIcam nAma parvatam /
   dadyād yaj jīrakaṃ pūrvam āgneyaṃ hiṅgum uttamam // 6.73 //	dadyAt yat jIrakam pUrvam Agneyam hiFgum uttamam // 6.73 //
   dakṣiṇe guḍaśuṇṭhīṃ ca nairṛte nāgakesaram /	dakziNe guxa-SuNWIm ca nErRte nAgakesaram /
   pippalīṃ paścime dadyād vāyavye kṛṣṇajīrakam // 6.74 //	pippalIm paScime dadyAt vAyavye kRzNajIrakam // 6.74 //
   kauberyām ajamodaṃ ca tvagelāś ceśadaivate /	kOberyAm ajamodam ca tvac-elAH ca-ISa-dEvate /
   kustumbaryāḥ pradeyāḥ syur bahiḥ prākārataḥ sthitāḥ // 6.75 //	kustumbaryAH pradeyAH syuH bahis prAkArataH sTitAH // 6.75 //
   kakubhām antarāleṣu samantāt saindhavaṃ nyaset /	kakuBAm antarAlezu samantAt sEnDavam nyaset /
   sapuṣpākṣatatoyena śivāya vinivedayet // 6.76 //	sa-puzpa-akzata-toyena SivAya vinivedayet // 6.76 //
   yāvat taddīpasaṃkhyānaṃ sarvam ekatra parvate /	yAvat tad-dIpa-saMKyAnam sarvam ekatra parvate /
   tāvadvarṣaśatād ūrdhvaṃ bhogān bhuṅkte śive pure // 6.77 //	tAvat-varza-SatAt UrDvam BogAn BuFkte Sive pure // 6.77 //
   kūśmāṇḍaṃ madhyataḥ sthāpya kāliṅgaṃ pūrvato nyaset /	kUSmANxam maDyatas sTApya kAliFgam pUrvatas nyaset /
   dakṣiṇe kṣīratumbīṃ tu vṛntākaṃ paścime nyaset // 6.78 //	dakziNe kzIratumbIm tu vRntAkam paScime nyaset // 6.78 //
   paṭīsāny uttare sthāpya karkaṭīm īśadaivate /	pawIsAni uttare sTApya karkawIm ISa-dEvate /
   nyased gajapaṭolāṃś ca madhurān vahnidaivate // 6.79 //	nyaset gaja-pawolAn ca maDurAn vahni-dEvate // 6.79 //
   kāravellāṃś ca nairṛtyāṃ vāyavyāṃ nimbakaṃ phalam /	kAravellAn ca nErRtyAm vAyavyAm nimbakam Palam /
   uccāvacāni cānyāni phalāni sthāpayed bahiḥ // 6.80 //	uccAvacAni ca-anyAni PalAni sTApayet bahis // 6.80 //
   abhyarcya puṣpadhūpaiś ca samantāt phalaparvatam /	aByarcya puzpa-DUpEH ca samantAt Pala-parvatam /
   śivāya gurave vāpi praṇipatya nivedayet // 6.81 //	SivAya gurave vA-api praNipatya nivedayet // 6.81 //
   yāvat tatphalasaṃkhyānaṃ taddīpānāṃ ca madhyataḥ /	yAvat tad-Pala-saMKyAnam tad-dIpAnAm ca maDyatas /
   tāvadvarṣasahasrāṇi rudraloke mahīyate // 6.82 //	tAvat-varza-sahasrANi rudra-loke mahIyate // 6.82 //
   mūlakaṃ madhyataḥ sthāpya tatpūrve vālamūlakam /	mUlakam maDyatas sTApya tad-pUrve vAlamUlakam /
   āgneyyāṃ vāstukaṃ sthāpya yāmyāyāṃ kṣāravāstukam // 6.83 //	AgneyyAm vAstukam sTApya yAmyAyAm kzAra-vAstukam // 6.83 //
